ko:K04042	spv:SPH_1089
ko:K02221	spv:SPH_1771
ko:K09772	spv:SPH_1772
ko:K11069	spv:SPH_1516
ko:K03624	spv:SPH_1629
ko:K04488	spv:SPH_0973
ko:K02759	spv:SPH_0366
ko:K04083	spv:SPH_2383
ko:K11068	spv:SPH_1582
ko:K02315	spv:SPH_0040
ko:K02372	spv:SPH_0533
ko:K03475	spv:SPH_2191
ko:K03111	spv:SPH_0082
ko:K06173	spv:SPH_1711
ko:K01624	spv:SPH_0699
ko:K04567	spv:SPH_0799
ko:K03763	spv:SPH_0390
ko:K05878	spv:SPH_1292
ko:K05879	spv:SPH_1291
ko:K06949	spv:SPH_2125
ko:K06346	spv:SPH_2193
ko:K03555	spv:SPH_2264
ko:K03402	spv:SPH_2265
ko:K09861	spv:SPH_1662
ko:K02016	spv:SPH_1134
ko:K02015	spv:SPH_1135
ko:K02015	spv:SPH_1136
ko:K02013	spv:SPH_1137
ko:K06400	spv:SPH_1141
ko:K01989	spv:SPH_1157
ko:K05832	spv:SPH_1159
ko:K03086	spv:SPH_1161
ko:K03979	spv:SPH_1167
ko:K03657	spv:SPH_1179
ko:K07010	spv:SPH_1180
ko:K07816	spv:SPH_1188
ko:K09747	spv:SPH_1195
ko:K07584	spv:SPH_1198
ko:K03530	spv:SPH_1205
ko:K06158	spv:SPH_1207
ko:K07729	spv:SPH_1553
ko:K01992	spv:SPH_1554
ko:K03710	spv:SPH_1563
ko:K03218	spv:SPH_1573
ko:K02028	spv:SPH_1576
ko:K02029	spv:SPH_1577
ko:K00537	spv:SPH_1578
ko:K00567	spv:SPH_1579
ko:K08681	spv:SPH_1583
ko:K06215	spv:SPH_1584
ko:K03734	spv:SPH_1586
ko:K02440	spv:SPH_1603
ko:K02030	spv:SPH_1612
ko:K02028	spv:SPH_1613
ko:K02029	spv:SPH_1614
ko:K02086	spv:SPH_1689
ko:K10112	spv:SPH_1694
ko:K05592	spv:SPH_1698
ko:K01928	spv:SPH_1701
ko:K07009	spv:SPH_1702
ko:K02770	spv:SPH_1731
ko:K02768	spv:SPH_1733
ko:K02806	spv:SPH_1734
ko:K02538	spv:SPH_1735
ko:K00655	spv:SPH_1737
ko:K07118	spv:SPH_1740
ko:K03709	spv:SPH_1749
ko:K07386	spv:SPH_1756
ko:K02004	spv:SPH_1761
ko:K02003	spv:SPH_1762
ko:K06890	spv:SPH_2114
ko:K03437	spv:SPH_2115
ko:K01512	spv:SPH_2116
ko:K03217	spv:SPH_2117
ko:K04069	spv:SPH_2118
ko:K01586	spv:SPH_2119
ko:K09685	spv:SPH_2120
ko:K09760	spv:SPH_2122
ko:K02003	spv:SPH_2128
ko:K02004	spv:SPH_2129
ko:K05985	spv:SPH_2132
ko:K01424	spv:SPH_2141
ko:K02529	spv:SPH_2142
ko:K07778	spv:SPH_2144
ko:K00134	spv:SPH_2168
ko:K03492	spv:SPH_2174
ko:K05350	spv:SPH_2175
ko:K02761	spv:SPH_2176
ko:K02760	spv:SPH_2177
ko:K02759	spv:SPH_2178
ko:K01104	spv:SPH_2181
ko:K03210	spv:SPH_2182
ko:K03476	spv:SPH_2184
ko:K03493	spv:SPH_2185
ko:K05823	spv:SPH_2284
ko:K00674	spv:SPH_2285
ko:K03693	spv:SPH_2287
ko:K01541	spv:SPH_2289
ko:K00563	spv:SPH_2291
ko:K02529	spv:SPH_2301
ko:K07052	spv:SPH_2306
ko:K07729	spv:SPH_2309
ko:K00615	spv:SPH_2319
ko:K00615	spv:SPH_2320
ko:K03475	spv:SPH_2321
ko:K01191	spv:SPH_2336
ko:K09704	spv:SPH_2337
ko:K01206	spv:SPH_2339
ko:K02796	spv:SPH_2355
ko:K02795	spv:SPH_2356
ko:K02794	spv:SPH_2357
ko:K02793	spv:SPH_2358
ko:K02431	spv:SPH_2359
ko:K01628	spv:SPH_2360
ko:K09815	spv:SPH_2364
ko:K09816	spv:SPH_2365
ko:K02755	spv:SPH_0675
ko:K02756	spv:SPH_0675
ko:K02757	spv:SPH_0675
ko:K05837	spv:SPH_0905
ko:K03402	spv:SPH_1321
ko:K02123	spv:SPH_1464
ko:K02528	spv:SPH_2126
ko:K02992	spv:SPH_0388
ko:K03671	spv:SPH_1891
ko:K03048	spv:SPH_0603
ko:K03070	spv:SPH_1806
ko:K03655	spv:SPH_1801
ko:K04077	spv:SPH_2050
ko:K04078	spv:SPH_2051
ko:K06180	spv:SPH_2167
ko:K03570	spv:SPH_2413
ko:K01878	spv:SPH_1591
ko:K01153	spv:SPH_0998
ko:K03427	spv:SPH_0992
ko:K01673	spv:SPH_0125
ko:K07658	spv:SPH_2269
ko:K11072	spv:SPH_1519
ko:K01625	spv:SPH_0428
ko:K12574	spv:SPH_0237
ko:K02072	spv:SPH_0264
ko:K01992	spv:SPH_1825
ko:K00602	spv:SPH_0157
ko:K11717	spv:SPH_0972
ko:K13292	spv:SPH_1543
ko:K08986	spv:SPH_1011
ko:K12267	spv:SPH_0755
ko:K12268	spv:SPH_1873
ko:K12269	spv:SPH_1872
ko:K07447	spv:SPH_0310
ko:K08643	spv:SPH_0759
ko:K12415	spv:SPH_2434
ko:K01491	spv:SPH_0924
ko:K03574	spv:SPH_1349
ko:K12296	spv:SPH_0014
ko:K12295	spv:SPH_2432
ko:K12294	spv:SPH_2433
ko:K12293	spv:SPH_0149
ko:K03768	spv:SPH_1652
ko:K07404	spv:SPH_1617
ko:K03524	spv:SPH_2017
ko:K05362	spv:SPH_1643
ko:K01990	spv:SPH_1826
ko:K01243	spv:SPH_1092
ko:K12270	spv:SPH_1871
ko:K03574	spv:SPH_0918
ko:K12373	spv:SPH_0164
ko:K13747	spv:SPH_1029
ko:K02503	spv:SPH_0627
ko:K12554	spv:SPH_0709
ko:K12555	spv:SPH_2166
ko:K12573	spv:SPH_1076
ko:K13925	spv:SPH_1950
ko:K11754	spv:SPH_0313
ko:K13789	spv:SPH_1323
ko:K00687	spv:SPH_1781
ko:K03574	spv:SPH_1900
ko:K09457	spv:SPH_1892
ko:K04072	spv:SPH_2179
ko:K13953	spv:SPH_0401
ko:K12556	spv:SPH_0446
ko:K05363	spv:SPH_0708
ko:K01835	spv:SPH_1610
ko:K03342	spv:SPH_0760
ko:K13678	spv:SPH_1163
ko:K14228	spv:SPH_2030
ko:K14228	spv:SPH_2151
ko:K01961	spv:SPH_0534
ko:K13940	spv:SPH_0409
ko:K11754	spv:SPH_0407
ko:K00941	spv:SPH_0813
ko:K14233	spv:SPH_2025
ko:K14233	spv:SPH_2245
ko:K14222	spv:SPH_2103
ko:K14225	spv:SPH_2022
ko:K14225	spv:SPH_2247
ko:K14228	spv:SPH_2239
ko:K01990	spv:SPH_1823
ko:K14228	spv:SPH_2033
ko:K14228	spv:SPH_2154
ko:K14228	spv:SPH_1695
ko:K14230	spv:SPH_2027
ko:K14219	spv:SPH_1364
ko:K14219	spv:SPH_2435
ko:K14225	spv:SPH_2031
ko:K14225	spv:SPH_2152
ko:K11070	spv:SPH_1517
ko:K11071	spv:SPH_1518
ko:K14223	spv:SPH_0962
ko:K14223	spv:SPH_2240
ko:K14219	spv:SPH_1434
ko:K14260	spv:SPH_2136
ko:K14219	spv:SPH_2029
ko:K14219	spv:SPH_2150
ko:K14233	spv:SPH_2020
ko:K14155	spv:SPH_1636
ko:K14233	spv:SPH_0978
ko:K14230	spv:SPH_2026
ko:K14234	spv:SPH_1115
ko:K14218	spv:SPH_0017
ko:K14218	spv:SPH_2160
ko:K14218	spv:SPH_2039
ko:K14218	spv:SPH_2252
ko:K14220	spv:SPH_0021
ko:K14220	spv:SPH_2430
ko:K14229	spv:SPH_2034
ko:K14229	spv:SPH_2155
ko:K14229	spv:SPH_1908
ko:K00868	spv:SPH_1710
ko:K14230	spv:SPH_2024
ko:K14230	spv:SPH_2244
ko:K01978	spv:SPH_2442
ko:K13052	spv:SPH_0008
ko:K14231	spv:SPH_2023
ko:K14231	spv:SPH_2243
ko:K01983	spv:SPH_2440
ko:K14982	spv:SPH_0901
ko:K11618	spv:SPH_0494
ko:K11617	spv:SPH_0493
ko:K14983	spv:SPH_0900
ko:K01980	spv:SPH_0019
ko:K01980	spv:SPH_2250
ko:K01980	spv:SPH_2037
ko:K01980	spv:SPH_2158
ko:K03324	spv:SPH_0606
ko:K08177	spv:SPH_1699
ko:K14236	spv:SPH_0961
ko:K01985	spv:SPH_0020
ko:K01985	spv:SPH_2157
ko:K01985	spv:SPH_2249
ko:K01985	spv:SPH_2036
ko:K01977	spv:SPH_0016
ko:K01977	spv:SPH_2161
ko:K01977	spv:SPH_2253
ko:K01977	spv:SPH_2040
ko:K14188	spv:SPH_2370
ko:K02003	spv:SPH_0885
ko:K14227	spv:SPH_2021
ko:K14227	spv:SPH_2246
ko:K15051	spv:SPH_2106
ko:K15035	spv:SPH_2441
ko:K07729	spv:SPH_0443
ko:K14234	spv:SPH_2032
ko:K14234	spv:SPH_2153
ko:K14232	spv:SPH_2028
ko:K14232	spv:SPH_2149
ko:K00965	spv:SPH_1968
ko:K10122	spv:SPH_1910
ko:K14226	spv:SPH_2241
ko:K12960	spv:SPH_1487
ko:K10120	spv:SPH_1912
ko:K14540	spv:SPH_1273
ko:K11749	spv:SPH_0380
ko:K19689	spv:SPH_0394
ko:K06919	spv:SPH_0300
ko:K14652	spv:SPH_0279
ko:K10040	spv:SPH_0701
ko:K16169	spv:SPH_1963
ko:K08316	spv:SPH_2112
ko:K14224	spv:SPH_2431
ko:K14224	spv:SPH_2041
ko:K14224	spv:SPH_0015
ko:K14224	spv:SPH_2254
ko:K14224	spv:SPH_2162
ko:K10947	spv:SPH_0199
ko:K03215	spv:SPH_1131
ko:K15581	spv:SPH_2008
ko:K15580	spv:SPH_1641
ko:K15583	spv:SPH_2006
ko:K07243	spv:SPH_1442
ko:K02428	spv:SPH_1996
ko:K15738	spv:SPH_1669
ko:K05352	spv:SPH_1386
ko:K15582	spv:SPH_2007
ko:K10823	spv:SPH_2005
ko:K15986	spv:SPH_1648
ko:K03152	spv:SPH_0906
ko:K12296	spv:SPH_2163
ko:K02030	spv:SPH_0792
ko:K10716	spv:SPH_1336
ko:K01390	spv:SPH_1229
ko:K16511	spv:SPH_1494
ko:K16786	spv:SPH_0807
ko:K16787	spv:SPH_0807
ko:K07482	spv:SPH_1626
ko:K16509	spv:SPH_1536
ko:K16214	spv:SPH_1263
ko:K05845	spv:SPH_1977
ko:K05846	spv:SPH_1977
ko:K16264	spv:SPH_1973
ko:K14237	spv:SPH_2248
ko:K16785	spv:SPH_0597
ko:K03699	spv:SPH_2105
ko:K01223	spv:SPH_0382
ko:K16301	spv:SPH_1443
ko:K15770	spv:SPH_2297
ko:K15772	spv:SPH_2299
ko:K15771	spv:SPH_2298
ko:K16786	spv:SPH_2416
ko:K16785	spv:SPH_2414
ko:K16788	spv:SPH_1348
ko:K18830	spv:SPH_1262
ko:K02029	spv:SPH_0797
ko:K02028	spv:SPH_0923
ko:K16786	spv:SPH_0596
ko:K16787	spv:SPH_0596
ko:K14221	spv:SPH_2156
ko:K14237	spv:SPH_2156
ko:K14221	spv:SPH_2035
ko:K14237	spv:SPH_2035
ko:K16785	spv:SPH_0808
ko:K00882	spv:SPH_0980
ko:K11991	spv:SPH_0069
ko:K16868	spv:SPH_1078
ko:K16925	spv:SPH_0806
ko:K16924	spv:SPH_0594
ko:K16926	spv:SPH_0265
ko:K16898	spv:SPH_1226
ko:K16899	spv:SPH_1225
ko:K17195	spv:SPH_1730
ko:K02029	spv:SPH_1356
ko:K02030	spv:SPH_1356
ko:K17319	spv:SPH_0191
ko:K17319	spv:SPH_0825
ko:K17318	spv:SPH_0193
ko:K02011	spv:SPH_2074
ko:K02028	spv:SPH_1357
ko:K17320	spv:SPH_0192
ko:K17320	spv:SPH_0826
ko:K07271	spv:SPH_0461
ko:K17076	spv:SPH_0559
ko:K02029	spv:SPH_0922
ko:K17073	spv:SPH_0560
ko:K17074	spv:SPH_0560
ko:K02012	spv:SPH_2072
ko:K02010	spv:SPH_2073
ko:K02030	spv:SPH_0214
ko:K02030	spv:SPH_1525
ko:K01992	spv:SPH_0728
ko:K01992	spv:SPH_2145
ko:K10121	spv:SPH_1911
ko:K01990	spv:SPH_0727
ko:K01990	spv:SPH_0791
ko:K01990	spv:SPH_1555
ko:K01990	spv:SPH_1808
ko:K01990	spv:SPH_2146
ko:K17624	spv:SPH_0475
ko:K17686	spv:SPH_0816
ko:K01467	spv:SPH_0010
ko:K17828	spv:SPH_1065
ko:K12574	spv:SPH_0706
ko:K18220	spv:SPH_1409
ko:K02761	spv:SPH_0586
ko:K07260	spv:SPH_0722
ko:K18369	spv:SPH_2210
ko:K03742	spv:SPH_2090
ko:K18474	spv:SPH_0523
ko:K18581	spv:SPH_0433
ko:K18682	spv:SPH_1848
ko:K18672	spv:SPH_1676
ko:K18692	spv:SPH_0861
ko:K06218	spv:SPH_1337
ko:K18892	spv:SPH_2260
ko:K00571	spv:SPH_1965
ko:K18891	spv:SPH_2263
ko:K03790	spv:SPH_1174
ko:K18816	spv:SPH_1149
ko:K19002	spv:SPH_1164
ko:K19159	spv:SPH_1850
ko:K01154	spv:SPH_0614
ko:K19158	spv:SPH_1849
ko:K19157	spv:SPH_0392
ko:K00571	spv:SPH_1561
ko:K05881	spv:SPH_1290
ko:K01990	spv:SPH_1287
ko:K12952	spv:SPH_1736
ko:K07492	spv:SPH_2267
ko:K04771	spv:SPH_2438
ko:K02035	spv:SPH_0956
ko:K19271	spv:SPH_1266
ko:K07486	spv:SPH_0561
ko:K01992	spv:SPH_1058
ko:K06881	spv:SPH_1440
ko:K01990	spv:SPH_1057
ko:K07487	spv:SPH_1920
ko:K00887	spv:SPH_1069
ko:K07497	spv:SPH_1455
ko:K21636	spv:SPH_0317
ko:K19971	spv:SPH_1759
ko:K19972	spv:SPH_1758
ko:K10830	spv:SPH_1757
ko:K20074	spv:SPH_1842
ko:K12132	spv:SPH_1841
ko:K20073	spv:SPH_0481
ko:K20112	spv:SPH_0738
ko:K15580	spv:SPH_2009
ko:K02777	spv:SPH_0859
ko:K20107	spv:SPH_0859
ko:K20108	spv:SPH_0859
ko:K20114	spv:SPH_0740
ko:K20113	spv:SPH_0739
ko:K20113	spv:SPH_1315
ko:K20341	spv:SPH_0642
ko:K20342	spv:SPH_2131
ko:K20344	spv:SPH_0636
ko:K20345	spv:SPH_0635
ko:K20343	spv:SPH_0634
ko:K18889	spv:SPH_1955
ko:K01447	spv:SPH_2087
ko:K18890	spv:SPH_1954
ko:K01208	spv:SPH_1270
ko:K01208	spv:SPH_1147
ko:K21030	spv:SPH_1387
ko:K21064	spv:SPH_0402
ko:K08968	spv:SPH_0967
ko:K00951	spv:SPH_1753
ko:K21471	spv:SPH_2411
ko:K21567	spv:SPH_1677
ko:K21977	spv:SPH_1345
ko:K22044	spv:SPH_1861
ko:K14236	spv:SPH_2242
ko:K03078	spv:SPH_2188
ko:K22278	spv:SPH_1594
ko:K17758	spv:SPH_0925
ko:K03077	spv:SPH_2186
ko:K03079	spv:SPH_2187
ko:K22441	spv:SPH_0679
ko:K22457	spv:SPH_1658
