ko:K15581	see:SNSL254_A1873
ko:K03722	see:SNSL254_A0884
ko:K06970	see:SNSL254_A0890
ko:K00656	see:SNSL254_A0911
ko:K04069	see:SNSL254_A0912
ko:K03750	see:SNSL254_A0914
ko:K00384	see:SNSL254_A0991
ko:K03634	see:SNSL254_A0995
ko:K07478	see:SNSL254_A0996
ko:K01875	see:SNSL254_A0997
ko:K05997	see:SNSL254_A1482
ko:K09014	see:SNSL254_A1483
ko:K09013	see:SNSL254_A1484
ko:K09015	see:SNSL254_A1485
ko:K02426	see:SNSL254_A1487
ko:K06078	see:SNSL254_A1489
ko:K06078	see:SNSL254_A1490
ko:K00873	see:SNSL254_A1491
ko:K03219	see:SNSL254_A1506
ko:K03220	see:SNSL254_A1507
ko:K03221	see:SNSL254_A1517
ko:K00931	see:SNSL254_A0362
ko:K00147	see:SNSL254_A0363
ko:K01703	see:SNSL254_A0370
ko:K01704	see:SNSL254_A0371
ko:K00969	see:SNSL254_A0702
ko:K02340	see:SNSL254_A0703
ko:K03643	see:SNSL254_A0704
ko:K01869	see:SNSL254_A0705
ko:K07127	see:SNSL254_A1192
ko:K00483	see:SNSL254_A1194
ko:K00151	see:SNSL254_A1197
ko:K00984	see:SNSL254_A1370
ko:K09712	see:SNSL254_A1383
ko:K00849	see:SNSL254_A0838
ko:K05776	see:SNSL254_A0842
ko:K02019	see:SNSL254_A0843
ko:K02020	see:SNSL254_A0845
ko:K02018	see:SNSL254_A0846
ko:K01468	see:SNSL254_A0851
ko:K05836	see:SNSL254_A0853
ko:K01712	see:SNSL254_A0854
ko:K01745	see:SNSL254_A0855
ko:K06910	see:SNSL254_A0856
ko:K01012	see:SNSL254_A0858
ko:K02169	see:SNSL254_A0860
ko:K01935	see:SNSL254_A0861
ko:K03702	see:SNSL254_A0862
ko:K03639	see:SNSL254_A0865
ko:K03638	see:SNSL254_A0866
ko:K03637	see:SNSL254_A0867
ko:K03635	see:SNSL254_A0869
ko:K06890	see:SNSL254_A0870
ko:K06890	see:SNSL254_A0871
ko:K01993	see:SNSL254_A0881
ko:K03449	see:SNSL254_A1387
ko:K09786	see:SNSL254_A1394
ko:K07180	see:SNSL254_A1396
ko:K06871	see:SNSL254_A1398
ko:K00134	see:SNSL254_A1401
ko:K07305	see:SNSL254_A1402
ko:K09916	see:SNSL254_A1403
ko:K04773	see:SNSL254_A1406
ko:K01008	see:SNSL254_A1408
ko:K03169	see:SNSL254_A1409
ko:K08320	see:SNSL254_A1412
ko:K01142	see:SNSL254_A1413
ko:K00840	see:SNSL254_A1415
ko:K00990	see:SNSL254_A0235
ko:K01265	see:SNSL254_A0236
ko:K02967	see:SNSL254_A0238
ko:K02357	see:SNSL254_A0239
ko:K09903	see:SNSL254_A0240
ko:K02838	see:SNSL254_A0241
ko:K00099	see:SNSL254_A0242
ko:K00806	see:SNSL254_A0243
ko:K00981	see:SNSL254_A0244
ko:K07277	see:SNSL254_A0246
ko:K06142	see:SNSL254_A0247
ko:K02536	see:SNSL254_A0248
ko:K10823	see:SNSL254_A1870
ko:K18138	see:SNSL254_A0525
ko:K13041	see:SNSL254_A1500
ko:K01845	see:SNSL254_A0223
ko:K03281	see:SNSL254_A0224
ko:K01129	see:SNSL254_A0229
ko:K02647	see:SNSL254_A0231
ko:K01547	see:SNSL254_A0766
ko:K03077	see:SNSL254_A4749
ko:K05964	see:SNSL254_A0674
ko:K01646	see:SNSL254_A0677
ko:K01910	see:SNSL254_A0678
ko:K07700	see:SNSL254_A0680
ko:K03326	see:SNSL254_A0682
ko:K03704	see:SNSL254_A0684
ko:K06199	see:SNSL254_A0685
ko:K03644	see:SNSL254_A0688
ko:K03801	see:SNSL254_A0691
ko:K09158	see:SNSL254_A0692
ko:K07258	see:SNSL254_A0693
ko:K03642	see:SNSL254_A0694
ko:K05837	see:SNSL254_A0695
ko:K00783	see:SNSL254_A0697
ko:K09710	see:SNSL254_A0698
ko:K02300	see:SNSL254_A0487
ko:K02299	see:SNSL254_A0488
ko:K02298	see:SNSL254_A0489
ko:K02297	see:SNSL254_A0490
ko:K08218	see:SNSL254_A0492
ko:K03545	see:SNSL254_A0496
ko:K03544	see:SNSL254_A0498
ko:K01338	see:SNSL254_A0499
ko:K03530	see:SNSL254_A0500
ko:K03770	see:SNSL254_A0501
ko:K06920	see:SNSL254_A0504
ko:K01738	see:SNSL254_A0507
ko:K05800	see:SNSL254_A0508
ko:K04752	see:SNSL254_A0512
ko:K03320	see:SNSL254_A0513
ko:K10805	see:SNSL254_A0514
ko:K09914	see:SNSL254_A0515
ko:K07443	see:SNSL254_A0516
ko:K02909	see:SNSL254_A0519
ko:K02919	see:SNSL254_A0520
ko:K05839	see:SNSL254_A0523
ko:K05522	see:SNSL254_A0788
ko:K07120	see:SNSL254_A0789
ko:K01647	see:SNSL254_A0790
ko:K00241	see:SNSL254_A0791
ko:K00242	see:SNSL254_A0792
ko:K00239	see:SNSL254_A0793
ko:K00240	see:SNSL254_A0794
ko:K00164	see:SNSL254_A0795
ko:K01903	see:SNSL254_A0797
ko:K01902	see:SNSL254_A0798
ko:K00425	see:SNSL254_A0803
ko:K03327	see:SNSL254_A1535
ko:K00793	see:SNSL254_A1536
ko:K00574	see:SNSL254_A1537
ko:K03604	see:SNSL254_A1540
ko:K07390	see:SNSL254_A1543
ko:K03683	see:SNSL254_A1544
ko:K10680	see:SNSL254_A1546
ko:K06938	see:SNSL254_A1548
ko:K06077	see:SNSL254_A1555
ko:K09001	see:SNSL254_A1556
ko:K00275	see:SNSL254_A1558
ko:K01866	see:SNSL254_A1559
ko:K03305	see:SNSL254_A1562
ko:K10773	see:SNSL254_A1563
ko:K03613	see:SNSL254_A1564
ko:K03612	see:SNSL254_A1565
ko:K03614	see:SNSL254_A1566
ko:K03615	see:SNSL254_A1567
ko:K03616	see:SNSL254_A1568
ko:K03617	see:SNSL254_A1569
ko:K01751	see:SNSL254_A1038
ko:K03310	see:SNSL254_A1040
ko:K00763	see:SNSL254_A1041
ko:K02405	see:SNSL254_A2118
ko:K02406	see:SNSL254_A2120
ko:K02407	see:SNSL254_A2122
ko:K02422	see:SNSL254_A2123
ko:K07112	see:SNSL254_A2127
ko:K02408	see:SNSL254_A2130
ko:K02410	see:SNSL254_A2133
ko:K02413	see:SNSL254_A2136
ko:K02415	see:SNSL254_A2138
ko:K00426	see:SNSL254_A0804
ko:K07107	see:SNSL254_A0807
ko:K03562	see:SNSL254_A0808
ko:K03560	see:SNSL254_A0809
ko:K03646	see:SNSL254_A0810
ko:K03641	see:SNSL254_A0811
ko:K03640	see:SNSL254_A0812
ko:K03517	see:SNSL254_A0820
ko:K03811	see:SNSL254_A0821
ko:K01626	see:SNSL254_A0824
ko:K01678	see:SNSL254_A0825
ko:K01677	see:SNSL254_A0826
ko:K07082	see:SNSL254_A1298
ko:K00943	see:SNSL254_A1299
ko:K02341	see:SNSL254_A1300
ko:K03424	see:SNSL254_A1301
ko:K07347	see:SNSL254_A0025
ko:K06871	see:SNSL254_A0040
ko:K03313	see:SNSL254_A0043
ko:K03717	see:SNSL254_A0044
ko:K01811	see:SNSL254_A0045
ko:K02968	see:SNSL254_A0047
ko:K01870	see:SNSL254_A0050
ko:K03774	see:SNSL254_A0052
ko:K03527	see:SNSL254_A0053
ko:K07700	see:SNSL254_A0058
ko:K01572	see:SNSL254_A0059
ko:K01573	see:SNSL254_A0061
ko:K01910	see:SNSL254_A0063
ko:K06200	see:SNSL254_A0653
ko:K03805	see:SNSL254_A0660
ko:K03184	see:SNSL254_A0730
ko:K01953	see:SNSL254_A0739
ko:K02565	see:SNSL254_A0741
ko:K01443	see:SNSL254_A0742
ko:K02564	see:SNSL254_A0743
ko:K02802	see:SNSL254_A0744
ko:K02803	see:SNSL254_A0744
ko:K02804	see:SNSL254_A0744
ko:K01886	see:SNSL254_A0745
ko:K03839	see:SNSL254_A0753
ko:K02393	see:SNSL254_A1277
ko:K02394	see:SNSL254_A1278
ko:K02395	see:SNSL254_A1279
ko:K02396	see:SNSL254_A1280
ko:K02397	see:SNSL254_A1281
ko:K08300	see:SNSL254_A1282
ko:K06179	see:SNSL254_A1284
ko:K07040	see:SNSL254_A1289
ko:K03621	see:SNSL254_A1290
ko:K00648	see:SNSL254_A1292
ko:K00645	see:SNSL254_A1293
ko:K02078	see:SNSL254_A1295
ko:K09458	see:SNSL254_A1296
ko:K01611	see:SNSL254_A0181
ko:K00797	see:SNSL254_A0182
ko:K03521	see:SNSL254_A0925
ko:K03522	see:SNSL254_A0926
ko:K00311	see:SNSL254_A0929
ko:K06140	see:SNSL254_A0670
ko:K03756	see:SNSL254_A0760
ko:K07667	see:SNSL254_A0763
ko:K07646	see:SNSL254_A0764
ko:K01548	see:SNSL254_A0765
ko:K03670	see:SNSL254_A1246
ko:K03669	see:SNSL254_A1247
ko:K02517	see:SNSL254_A1251
ko:K07146	see:SNSL254_A1252
ko:K07337	see:SNSL254_A1306
ko:K07000	see:SNSL254_A1309
ko:K03885	see:SNSL254_A1310
ko:K03723	see:SNSL254_A1315
ko:K01524	see:SNSL254_A2698
ko:K02935	see:SNSL254_A4484
ko:K03043	see:SNSL254_A4486
ko:K03046	see:SNSL254_A4487
ko:K03150	see:SNSL254_A4491
ko:K03149	see:SNSL254_A4492
ko:K03154	see:SNSL254_A4493
ko:K00788	see:SNSL254_A4495
ko:K03147	see:SNSL254_A4496
ko:K07740	see:SNSL254_A4498
ko:K01599	see:SNSL254_A4500
ko:K05982	see:SNSL254_A4501
ko:K09891	see:SNSL254_A4502
ko:K07803	see:SNSL254_A4505
ko:K00631	see:SNSL254_A4578
ko:K07490	see:SNSL254_A3780
ko:K02170	see:SNSL254_A3783
ko:K04084	see:SNSL254_A4684
ko:K03926	see:SNSL254_A4685
ko:K01744	see:SNSL254_A4687
ko:K07113	see:SNSL254_A4688
ko:K04078	see:SNSL254_A4690
ko:K04077	see:SNSL254_A4691
ko:K02356	see:SNSL254_A4695
ko:K03098	see:SNSL254_A4700
ko:K00246	see:SNSL254_A4702
ko:K04568	see:SNSL254_A4705
ko:K01613	see:SNSL254_A4709
ko:K06949	see:SNSL254_A4710
ko:K09996	see:SNSL254_A4712
ko:K06925	see:SNSL254_A4718
ko:K01448	see:SNSL254_A4719
ko:K06223	see:SNSL254_A2942
ko:K06915	see:SNSL254_A2954
ko:K02406	see:SNSL254_A2966
ko:K07400	see:SNSL254_A3785
ko:K06155	see:SNSL254_A3786
ko:K00705	see:SNSL254_A3787
ko:K00688	see:SNSL254_A3788
ko:K03556	see:SNSL254_A3789
ko:K02444	see:SNSL254_A3790
ko:K02441	see:SNSL254_A3791
ko:K02439	see:SNSL254_A3792
ko:K00111	see:SNSL254_A3793
ko:K00005	see:SNSL254_A3796
ko:K01687	see:SNSL254_A3798
ko:K07709	see:SNSL254_A4506
ko:K01945	see:SNSL254_A4508
ko:K00651	see:SNSL254_A4518
ko:K01638	see:SNSL254_A4519
ko:K01637	see:SNSL254_A4520
ko:K00548	see:SNSL254_A4526
ko:K05995	see:SNSL254_A4528
ko:K09912	see:SNSL254_A4529
ko:K06182	see:SNSL254_A4530
ko:K06903	see:SNSL254_A4540
ko:K03624	see:SNSL254_A3558
ko:K07259	see:SNSL254_A3560
ko:K03979	see:SNSL254_A3562
ko:K02899	see:SNSL254_A3564
ko:K02888	see:SNSL254_A3565
ko:K02523	see:SNSL254_A3566
ko:K00790	see:SNSL254_A3568
ko:K07323	see:SNSL254_A3571
ko:K02067	see:SNSL254_A3572
ko:K02066	see:SNSL254_A3573
ko:K02065	see:SNSL254_A3574
ko:K07301	see:SNSL254_A3575
ko:K06041	see:SNSL254_A3576
ko:K03270	see:SNSL254_A3577
ko:K02314	see:SNSL254_A4589
ko:K01775	see:SNSL254_A4590
ko:K03788	see:SNSL254_A4593
ko:K03701	see:SNSL254_A4598
ko:K03111	see:SNSL254_A4599
ko:K07751	see:SNSL254_A2735
ko:K04044	see:SNSL254_A2738
ko:K04082	see:SNSL254_A2739
ko:K04488	see:SNSL254_A2741
ko:K05820	see:SNSL254_A2754
ko:K00600	see:SNSL254_A2755
ko:K05916	see:SNSL254_A2757
ko:K03305	see:SNSL254_A2761
ko:K07715	see:SNSL254_A2763
ko:K01952	see:SNSL254_A2768
ko:K02809	see:SNSL254_A2773
ko:K02810	see:SNSL254_A2773
ko:K07106	see:SNSL254_A2774
ko:K00077	see:SNSL254_A2776
ko:K00997	see:SNSL254_A2780
ko:K03474	see:SNSL254_A2781
ko:K03584	see:SNSL254_A2782
ko:K03595	see:SNSL254_A2783
ko:K03685	see:SNSL254_A2784
ko:K03100	see:SNSL254_A2786
ko:K03596	see:SNSL254_A2787
ko:K07566	see:SNSL254_A3671
ko:K07479	see:SNSL254_A3672
ko:K03747	see:SNSL254_A3673
ko:K04096	see:SNSL254_A3674
ko:K01462	see:SNSL254_A3675
ko:K00604	see:SNSL254_A3676
ko:K03500	see:SNSL254_A3677
ko:K03499	see:SNSL254_A3678
ko:K03282	see:SNSL254_A3679
ko:K02879	see:SNSL254_A3682
ko:K03040	see:SNSL254_A3683
ko:K02986	see:SNSL254_A3684
ko:K02948	see:SNSL254_A3685
ko:K02952	see:SNSL254_A3686
ko:K03076	see:SNSL254_A3689
ko:K02876	see:SNSL254_A3690
ko:K02907	see:SNSL254_A3691
ko:K00688	see:SNSL254_A3801
ko:K00975	see:SNSL254_A3803
ko:K02438	see:SNSL254_A3804
ko:K02988	see:SNSL254_A3692
ko:K02881	see:SNSL254_A3693
ko:K02933	see:SNSL254_A3694
ko:K02994	see:SNSL254_A3695
ko:K02954	see:SNSL254_A3696
ko:K02931	see:SNSL254_A3697
ko:K02895	see:SNSL254_A3698
ko:K02874	see:SNSL254_A3699
ko:K02961	see:SNSL254_A3700
ko:K02904	see:SNSL254_A3701
ko:K02878	see:SNSL254_A3702
ko:K02982	see:SNSL254_A3703
ko:K02890	see:SNSL254_A3704
ko:K02965	see:SNSL254_A3705
ko:K02886	see:SNSL254_A3706
ko:K02892	see:SNSL254_A3707
ko:K02926	see:SNSL254_A3708
ko:K02906	see:SNSL254_A3709
ko:K02946	see:SNSL254_A3710
ko:K03594	see:SNSL254_A3712
ko:K02192	see:SNSL254_A3713
ko:K02358	see:SNSL254_A3715
ko:K02355	see:SNSL254_A3716
ko:K02992	see:SNSL254_A3717
ko:K02950	see:SNSL254_A3718
ko:K07237	see:SNSL254_A3719
ko:K07236	see:SNSL254_A3720
ko:K03745	see:SNSL254_A3724
ko:K03775	see:SNSL254_A3725
ko:K07070	see:SNSL254_A3726
ko:K06901	see:SNSL254_A4614
ko:K03385	see:SNSL254_A4622
ko:K04013	see:SNSL254_A4623
ko:K11102	see:SNSL254_A4628
ko:K04095	see:SNSL254_A3741
ko:K06141	see:SNSL254_A3743
ko:K00362	see:SNSL254_A3744
ko:K00363	see:SNSL254_A3746
ko:K01867	see:SNSL254_A3753
ko:K01783	see:SNSL254_A3755
ko:K06223	see:SNSL254_A3756
ko:K03112	see:SNSL254_A3757
ko:K01735	see:SNSL254_A3758
ko:K00891	see:SNSL254_A3759
ko:K08312	see:SNSL254_A3766
ko:K04762	see:SNSL254_A3769
ko:K04083	see:SNSL254_A3770
ko:K07638	see:SNSL254_A3774
ko:K04760	see:SNSL254_A3776
ko:K06959	see:SNSL254_A3777
ko:K04758	see:SNSL254_A3778
ko:K04759	see:SNSL254_A3779
ko:K03101	see:SNSL254_A0051
ko:K06866	see:SNSL254_A2858
ko:K03557	see:SNSL254_A3649
ko:K01963	see:SNSL254_A2554
ko:K03609	see:SNSL254_A1954
ko:K03110	see:SNSL254_A3840
ko:K11250	see:SNSL254_A1375
ko:K04564	see:SNSL254_A1541
ko:K11249	see:SNSL254_A2857
ko:K05851	see:SNSL254_A4221
ko:K01714	see:SNSL254_A2682
ko:K05516	see:SNSL254_A1207
ko:K11741	see:SNSL254_p_0090
ko:K03666	see:SNSL254_A4722
ko:K00230	see:SNSL254_A4266
ko:K02498	see:SNSL254_A4217
ko:K05804	see:SNSL254_A4944
ko:K07636	see:SNSL254_A0442
ko:K05966	see:SNSL254_A0673
ko:K01823	see:SNSL254_A3273
ko:K00984	see:SNSL254_p_0144
ko:K04078	see:SNSL254_p_0146
ko:K04077	see:SNSL254_p_0147
ko:K08276	see:SNSL254_A2446
ko:K03919	see:SNSL254_A2448
ko:K01935	see:SNSL254_A1600
ko:K03281	see:SNSL254_A1601
ko:K05846	see:SNSL254_A1603
ko:K05846	see:SNSL254_A1605
ko:K02003	see:SNSL254_A0560
ko:K02073	see:SNSL254_A0564
ko:K02071	see:SNSL254_A0565
ko:K02072	see:SNSL254_A0566
ko:K06917	see:SNSL254_A0567
ko:K01483	see:SNSL254_A0569
ko:K01608	see:SNSL254_A0571
ko:K02416	see:SNSL254_A2139
ko:K02418	see:SNSL254_A2141
ko:K02419	see:SNSL254_A2142
ko:K02421	see:SNSL254_A2144
ko:K07026	see:SNSL254_A2149
ko:K09781	see:SNSL254_A2152
ko:K07458	see:SNSL254_A2154
ko:K06950	see:SNSL254_A2156
ko:K02377	see:SNSL254_A2290
ko:K01711	see:SNSL254_A2291
ko:K03818	see:SNSL254_A2292
ko:K02115	see:SNSL254_A4147
ko:K02111	see:SNSL254_A4148
ko:K02113	see:SNSL254_A4149
ko:K02109	see:SNSL254_A4150
ko:K02110	see:SNSL254_A4151
ko:K02108	see:SNSL254_A4152
ko:K03501	see:SNSL254_A4156
ko:K03495	see:SNSL254_A4157
ko:K06205	see:SNSL254_A4158
ko:K01914	see:SNSL254_A4160
ko:K03924	see:SNSL254_A4162
ko:K03549	see:SNSL254_A4163
ko:K06726	see:SNSL254_A4164
ko:K10441	see:SNSL254_A4165
ko:K10440	see:SNSL254_A4166
ko:K10439	see:SNSL254_A4167
ko:K00852	see:SNSL254_A4168
ko:K10009	see:SNSL254_A2114
ko:K02424	see:SNSL254_A2116
ko:K07306	see:SNSL254_A0998
ko:K05541	see:SNSL254_A2364
ko:K00450	see:SNSL254_A2368
ko:K01489	see:SNSL254_A2373
ko:K10541	see:SNSL254_A2378
ko:K10542	see:SNSL254_A2379
ko:K10540	see:SNSL254_A2381
ko:K07148	see:SNSL254_A2383
ko:K01495	see:SNSL254_A2384
ko:K01752	see:SNSL254_A2387
ko:K07783	see:SNSL254_A2389
ko:K01241	see:SNSL254_A2179
ko:K03325	see:SNSL254_A2186
ko:K01551	see:SNSL254_A2187
ko:K04046	see:SNSL254_A2309
ko:K07799	see:SNSL254_A2312
ko:K07788	see:SNSL254_A2313
ko:K07789	see:SNSL254_A2314
ko:K07664	see:SNSL254_A2317
ko:K08303	see:SNSL254_A2321
ko:K00697	see:SNSL254_A2089
ko:K03834	see:SNSL254_A2099
ko:K07039	see:SNSL254_A2100
ko:K00995	see:SNSL254_A2108
ko:K03606	see:SNSL254_A2285
ko:K03207	see:SNSL254_A2289
ko:K00878	see:SNSL254_A2334
ko:K03703	see:SNSL254_A2109
ko:K10010	see:SNSL254_A2113
ko:K05964	see:SNSL254_A0067
ko:K05966	see:SNSL254_A0068
ko:K07306	see:SNSL254_A4651
ko:K03734	see:SNSL254_A2450
ko:K09475	see:SNSL254_A2451
ko:K04031	see:SNSL254_A2232
ko:K04029	see:SNSL254_A2233
ko:K09802	see:SNSL254_A2236
ko:K07258	see:SNSL254_A2239
ko:K08354	see:SNSL254_A2240
ko:K01141	see:SNSL254_A2244
ko:K00765	see:SNSL254_A2250
ko:K03307	see:SNSL254_A1223
ko:K01788	see:SNSL254_A1224
ko:K06214	see:SNSL254_A1235
ko:K04338	see:SNSL254_A1236
ko:K01646	see:SNSL254_A0064
ko:K01956	see:SNSL254_A0070
ko:K01955	see:SNSL254_A0071
ko:K02182	see:SNSL254_A0075
ko:K05245	see:SNSL254_A0078
ko:K03521	see:SNSL254_A0081
ko:K03522	see:SNSL254_A0082
ko:K00313	see:SNSL254_A0083
ko:K00287	see:SNSL254_A0092
ko:K06195	see:SNSL254_A0094
ko:K02528	see:SNSL254_A0095
ko:K00097	see:SNSL254_A0096
ko:K03771	see:SNSL254_A0097
ko:K04744	see:SNSL254_A0098
ko:K05801	see:SNSL254_A0100
ko:K06177	see:SNSL254_A0101
ko:K03580	see:SNSL254_A0102
ko:K02336	see:SNSL254_A0103
ko:K01804	see:SNSL254_A0109
ko:K02063	see:SNSL254_A0114
ko:K02064	see:SNSL254_A0115
ko:K02846	see:SNSL254_A1257
ko:K01465	see:SNSL254_A1260
ko:K03675	see:SNSL254_A1262
ko:K08162	see:SNSL254_A1263
ko:K03790	see:SNSL254_A1264
ko:K09915	see:SNSL254_A1265
ko:K03980	see:SNSL254_A1267
ko:K02399	see:SNSL254_A1268
ko:K02398	see:SNSL254_A1269
ko:K02386	see:SNSL254_A1270
ko:K02387	see:SNSL254_A1271
ko:K02388	see:SNSL254_A1272
ko:K02389	see:SNSL254_A1273
ko:K02390	see:SNSL254_A1274
ko:K02391	see:SNSL254_A1275
ko:K02392	see:SNSL254_A1276
ko:K10004	see:SNSL254_A0719
ko:K10002	see:SNSL254_A0720
ko:K10003	see:SNSL254_A0721
ko:K10001	see:SNSL254_A0723
ko:K03820	see:SNSL254_A0725
ko:K06189	see:SNSL254_A0726
ko:K07042	see:SNSL254_A0727
ko:K06217	see:SNSL254_A0728
ko:K01991	see:SNSL254_A2300
ko:K01494	see:SNSL254_A2304
ko:K00876	see:SNSL254_A2305
ko:K01247	see:SNSL254_A2308
ko:K01546	see:SNSL254_A0767
ko:K01669	see:SNSL254_A0769
ko:K03305	see:SNSL254_A0770
ko:K07160	see:SNSL254_A0774
ko:K09690	see:SNSL254_A0782
ko:K09691	see:SNSL254_A0783
ko:K00013	see:SNSL254_A2251
ko:K00817	see:SNSL254_A2252
ko:K02501	see:SNSL254_A2254
ko:K01814	see:SNSL254_A2255
ko:K02500	see:SNSL254_A2256
ko:K00012	see:SNSL254_A2259
ko:K00033	see:SNSL254_A2260
ko:K01709	see:SNSL254_A2273
ko:K00978	see:SNSL254_A2274
ko:K01790	see:SNSL254_A2276
ko:K00973	see:SNSL254_A2277
ko:K00067	see:SNSL254_A2278
ko:K00963	see:SNSL254_A2280
ko:K00872	see:SNSL254_A0003
ko:K01733	see:SNSL254_A0004
ko:K09861	see:SNSL254_A0005
ko:K03310	see:SNSL254_A0006
ko:K00616	see:SNSL254_A0007
ko:K03831	see:SNSL254_A0008
ko:K07034	see:SNSL254_A0009
ko:K04043	see:SNSL254_A0013
ko:K09774	see:SNSL254_A3579
ko:K06861	see:SNSL254_A3580
ko:K03092	see:SNSL254_A3581
ko:K05808	see:SNSL254_A3582
ko:K02806	see:SNSL254_A3583
ko:K03814	see:SNSL254_A3587
ko:K07648	see:SNSL254_A3590
ko:K07139	see:SNSL254_A3591
ko:K10974	see:SNSL254_A3596
ko:K01788	see:SNSL254_A3600
ko:K03290	see:SNSL254_A3601
ko:K01639	see:SNSL254_A3602
ko:K03600	see:SNSL254_A3604
ko:K03599	see:SNSL254_A3605
ko:K02996	see:SNSL254_A3607
ko:K02871	see:SNSL254_A3608
ko:K06916	see:SNSL254_A3609
ko:K02601	see:SNSL254_A4480
ko:K02867	see:SNSL254_A4481
ko:K02863	see:SNSL254_A4482
ko:K02864	see:SNSL254_A4483
ko:K01676	see:SNSL254_A1577
ko:K01679	see:SNSL254_A1578
ko:K10748	see:SNSL254_A1579
ko:K07661	see:SNSL254_A1584
ko:K01921	see:SNSL254_A0422
ko:K00286	see:SNSL254_A0428
ko:K09768	see:SNSL254_A0430
ko:K00891	see:SNSL254_A0431
ko:K09913	see:SNSL254_A0434
ko:K03554	see:SNSL254_A0435
ko:K00847	see:SNSL254_A0436
ko:K03546	see:SNSL254_A0438
ko:K03547	see:SNSL254_A0439
ko:K03311	see:SNSL254_A0444
ko:K07568	see:SNSL254_A0449
ko:K00773	see:SNSL254_A0451
ko:K03210	see:SNSL254_A0452
ko:K03072	see:SNSL254_A0453
ko:K03074	see:SNSL254_A0454
ko:K06996	see:SNSL254_A0455
ko:K05517	see:SNSL254_A0459
ko:K03610	see:SNSL254_A1952
ko:K03225	see:SNSL254_A3096
ko:K03225	see:SNSL254_A1529
ko:K02484	see:SNSL254_A1190
ko:K02483	see:SNSL254_A1191
ko:K03226	see:SNSL254_A1530
ko:K02621	see:SNSL254_A3430
ko:K02160	see:SNSL254_A3642
ko:K03608	see:SNSL254_A1955
ko:K01515	see:SNSL254_A3443
ko:K02681	see:SNSL254_A3223
ko:K02420	see:SNSL254_A2143
ko:K00684	see:SNSL254_A0988
ko:K02527	see:SNSL254_A4004
ko:K00954	see:SNSL254_A4005
ko:K10563	see:SNSL254_A4006
ko:K02913	see:SNSL254_A4007
ko:K02902	see:SNSL254_A4008
ko:K02317	see:SNSL254_A4899
ko:K02344	see:SNSL254_A4913
ko:K03789	see:SNSL254_A4914
ko:K02837	see:SNSL254_A4916
ko:K03424	see:SNSL254_A4920
ko:K01619	see:SNSL254_A4923
ko:K01839	see:SNSL254_A4925
ko:K03784	see:SNSL254_A4926
ko:K03800	see:SNSL254_A4933
ko:K04485	see:SNSL254_A4937
ko:K01226	see:SNSL254_A4800
ko:K02818	see:SNSL254_A4801
ko:K02819	see:SNSL254_A4801
ko:K03485	see:SNSL254_A4803
ko:K01531	see:SNSL254_A4804
ko:K09022	see:SNSL254_A4805
ko:K00610	see:SNSL254_A4806
ko:K00611	see:SNSL254_A4811
ko:K00926	see:SNSL254_A4813
ko:K01478	see:SNSL254_A4814
ko:K00611	see:SNSL254_A4817
ko:K09893	see:SNSL254_A4818
ko:K06169	see:SNSL254_A4819
ko:K03828	see:SNSL254_A4822
ko:K01873	see:SNSL254_A4824
ko:K02339	see:SNSL254_A4825
ko:K01255	see:SNSL254_A4826
ko:K07091	see:SNSL254_A4827
ko:K00098	see:SNSL254_A4832
ko:K00851	see:SNSL254_A4833
ko:K09824	see:SNSL254_A2975
ko:K07241	see:SNSL254_A2979
ko:K07649	see:SNSL254_A2980
ko:K07795	see:SNSL254_A2982
ko:K08309	see:SNSL254_A4940
ko:K03720	see:SNSL254_A4941
ko:K05805	see:SNSL254_A4945
ko:K07663	see:SNSL254_A4946
ko:K07641	see:SNSL254_A4947
ko:K06143	see:SNSL254_A4948
ko:K00135	see:SNSL254_A2988
ko:K00375	see:SNSL254_A3002
ko:K06191	see:SNSL254_A3005
ko:K03647	see:SNSL254_A3006
ko:K00525	see:SNSL254_A3007
ko:K00526	see:SNSL254_A3008
ko:K03543	see:SNSL254_A3014
ko:K07173	see:SNSL254_A3018
ko:K01919	see:SNSL254_A3020
ko:K03563	see:SNSL254_A3028
ko:K01872	see:SNSL254_A3029
ko:K03565	see:SNSL254_A3030
ko:K03553	see:SNSL254_A3031
ko:K03743	see:SNSL254_A3032
ko:K07347	see:SNSL254_A3916
ko:K01246	see:SNSL254_A3921
ko:K01270	see:SNSL254_A0355
ko:K09897	see:SNSL254_A4181
ko:K07391	see:SNSL254_A4182
ko:K00826	see:SNSL254_A4185
ko:K01687	see:SNSL254_A4186
ko:K01754	see:SNSL254_A4187
ko:K06181	see:SNSL254_A1338
ko:K04080	see:SNSL254_A1355
ko:K01704	see:SNSL254_A0122
ko:K01703	see:SNSL254_A0123
ko:K00052	see:SNSL254_A0124
ko:K01649	see:SNSL254_A0125
ko:K05798	see:SNSL254_A0127
ko:K01653	see:SNSL254_A0129
ko:K03435	see:SNSL254_A0130
ko:K03925	see:SNSL254_A0131
ko:K03438	see:SNSL254_A0132
ko:K03586	see:SNSL254_A0133
ko:K01928	see:SNSL254_A0135
ko:K11073	see:SNSL254_A0950
ko:K11076	see:SNSL254_A0951
ko:K11075	see:SNSL254_A0952
ko:K11074	see:SNSL254_A0953
ko:K03212	see:SNSL254_A0955
ko:K03475	see:SNSL254_A0956
