ko:K00090	bpr:GBP346_A2224
ko:K00566	bpr:GBP346_A3530
ko:K09136	bpr:GBP346_A0549
ko:K01991	bpr:GBP346_A0574
ko:K01753	bpr:GBP346_A0584
ko:K01754	bpr:GBP346_A0590
ko:K03183	bpr:GBP346_A0595
ko:K03690	bpr:GBP346_A0597
ko:K03688	bpr:GBP346_A0598
ko:K09695	bpr:GBP346_A1877
ko:K01356	bpr:GBP346_A1882
ko:K02048	bpr:GBP346_A1884
ko:K02046	bpr:GBP346_A1885
ko:K02047	bpr:GBP346_A1886
ko:K02045	bpr:GBP346_A1887
ko:K10441	bpr:GBP346_A1892
ko:K02529	bpr:GBP346_A1894
ko:K07180	bpr:GBP346_A1898
ko:K09786	bpr:GBP346_A1899
ko:K02278	bpr:GBP346_A1909
ko:K02279	bpr:GBP346_A1910
ko:K02280	bpr:GBP346_A1911
ko:K02282	bpr:GBP346_A1913
ko:K02283	bpr:GBP346_A1914
ko:K07345	bpr:GBP346_A1936
ko:K03578	bpr:GBP346_A2823
ko:K01915	bpr:GBP346_A2835
ko:K07010	bpr:GBP346_A2836
ko:K01468	bpr:GBP346_A2842
ko:K09975	bpr:GBP346_A2843
ko:K01712	bpr:GBP346_A2844
ko:K05836	bpr:GBP346_A2845
ko:K01745	bpr:GBP346_A2846
ko:K00860	bpr:GBP346_A2855
ko:K01669	bpr:GBP346_A2856
ko:K00496	bpr:GBP346_A2857
ko:K04561	bpr:GBP346_A2859
ko:K08303	bpr:GBP346_A2871
ko:K03577	bpr:GBP346_A0780
ko:K03585	bpr:GBP346_A0782
ko:K09823	bpr:GBP346_A0795
ko:K00847	bpr:GBP346_A0798
ko:K10227	bpr:GBP346_A0800
ko:K10228	bpr:GBP346_A0801
ko:K10229	bpr:GBP346_A0802
ko:K01576	bpr:GBP346_A0814
ko:K00077	bpr:GBP346_A0816
ko:K08195	bpr:GBP346_A0818
ko:K00453	bpr:GBP346_A0819
ko:K01556	bpr:GBP346_A0820
ko:K00574	bpr:GBP346_A0827
ko:K00275	bpr:GBP346_A0828
ko:K05838	bpr:GBP346_A0830
ko:K02387	bpr:GBP346_A0182
ko:K02388	bpr:GBP346_A0183
ko:K02389	bpr:GBP346_A0184
ko:K02390	bpr:GBP346_A0185
ko:K02391	bpr:GBP346_A0186
ko:K02392	bpr:GBP346_A0187
ko:K02393	bpr:GBP346_A0188
ko:K02394	bpr:GBP346_A0189
ko:K02395	bpr:GBP346_A0190
ko:K02396	bpr:GBP346_A0192
ko:K02397	bpr:GBP346_A0193
ko:K07240	bpr:GBP346_A0198
ko:K07240	bpr:GBP346_A0199
ko:K06193	bpr:GBP346_A0202
ko:K00720	bpr:GBP346_A0212
ko:K07267	bpr:GBP346_A0213
ko:K01940	bpr:GBP346_A0224
ko:K03744	bpr:GBP346_A0232
ko:K06872	bpr:GBP346_A0233
ko:K07798	bpr:GBP346_A0238
ko:K07787	bpr:GBP346_A0239
ko:K00820	bpr:GBP346_A0243
ko:K05782	bpr:GBP346_A1196
ko:K09989	bpr:GBP346_A1197
ko:K10773	bpr:GBP346_A1203
ko:K03466	bpr:GBP346_A1212
ko:K08289	bpr:GBP346_A1215
ko:K01894	bpr:GBP346_A1222
ko:K07146	bpr:GBP346_A1223
ko:K02337	bpr:GBP346_A1225
ko:K03088	bpr:GBP346_A1239
ko:K06044	bpr:GBP346_A1578
ko:K00705	bpr:GBP346_A1579
ko:K01236	bpr:GBP346_A1580
ko:K09801	bpr:GBP346_A2534
ko:K03664	bpr:GBP346_A2537
ko:K09773	bpr:GBP346_A2545
ko:K03437	bpr:GBP346_A2546
ko:K03470	bpr:GBP346_A2547
ko:K00748	bpr:GBP346_A2548
ko:K00677	bpr:GBP346_A2549
ko:K02372	bpr:GBP346_A2550
ko:K02536	bpr:GBP346_A2551
ko:K06142	bpr:GBP346_A2552
ko:K07277	bpr:GBP346_A2553
ko:K11749	bpr:GBP346_A2554
ko:K00099	bpr:GBP346_A2556
ko:K00981	bpr:GBP346_A2557
ko:K00806	bpr:GBP346_A2558
ko:K02838	bpr:GBP346_A2559
ko:K09903	bpr:GBP346_A2560
ko:K02357	bpr:GBP346_A2561
ko:K02967	bpr:GBP346_A2562
ko:K01265	bpr:GBP346_A2564
ko:K00990	bpr:GBP346_A2565
ko:K06182	bpr:GBP346_A2566
ko:K01462	bpr:GBP346_A2567
ko:K01972	bpr:GBP346_A2568
ko:K03529	bpr:GBP346_A2571
ko:K07320	bpr:GBP346_A2577
ko:K06131	bpr:GBP346_A2578
ko:K00432	bpr:GBP346_A2579
ko:K06158	bpr:GBP346_A2580
ko:K04485	bpr:GBP346_A2582
ko:K01775	bpr:GBP346_A2583
ko:K01933	bpr:GBP346_A3446
ko:K10763	bpr:GBP346_A3447
ko:K00950	bpr:GBP346_A3450
ko:K00606	bpr:GBP346_A3452
ko:K02911	bpr:GBP346_A2975
ko:K07040	bpr:GBP346_A2976
ko:K06287	bpr:GBP346_A2977
ko:K07056	bpr:GBP346_A2978
ko:K06911	bpr:GBP346_A0831
ko:K01448	bpr:GBP346_A0834
ko:K07345	bpr:GBP346_A2157
ko:K07347	bpr:GBP346_A2158
ko:K07345	bpr:GBP346_A2160
ko:K03522	bpr:GBP346_A3046
ko:K03521	bpr:GBP346_A3047
ko:K02073	bpr:GBP346_A3048
ko:K02072	bpr:GBP346_A3049
ko:K02071	bpr:GBP346_A3050
ko:K02237	bpr:GBP346_A3055
ko:K03274	bpr:GBP346_A3056
ko:K00012	bpr:GBP346_A3058
ko:K05788	bpr:GBP346_A3061
ko:K02945	bpr:GBP346_A3062
ko:K00945	bpr:GBP346_A3063
ko:K00831	bpr:GBP346_A3066
ko:K09924	bpr:GBP346_A3067
ko:K02469	bpr:GBP346_A3068
ko:K00123	bpr:GBP346_A3101
ko:K00126	bpr:GBP346_A3102
ko:K04773	bpr:GBP346_A2979
ko:K01091	bpr:GBP346_A2981
ko:K08300	bpr:GBP346_A2983
ko:K03639	bpr:GBP346_A2984
ko:K03752	bpr:GBP346_A2986
ko:K07649	bpr:GBP346_A0734
ko:K03565	bpr:GBP346_A0737
ko:K01903	bpr:GBP346_A0739
ko:K01902	bpr:GBP346_A0740
ko:K03832	bpr:GBP346_A0747
ko:K03637	bpr:GBP346_A0748
ko:K00826	bpr:GBP346_A0757
ko:K00927	bpr:GBP346_A0760
ko:K00873	bpr:GBP346_A0762
ko:K01624	bpr:GBP346_A0763
ko:K01923	bpr:GBP346_A0764
ko:K01588	bpr:GBP346_A0765
ko:K01589	bpr:GBP346_A0766
ko:K07566	bpr:GBP346_A0767
ko:K07259	bpr:GBP346_A0771
ko:K09930	bpr:GBP346_A2081
ko:K03088	bpr:GBP346_A2086
ko:K09703	bpr:GBP346_A2094
ko:K01712	bpr:GBP346_A2095
ko:K01745	bpr:GBP346_A2097
ko:K00860	bpr:GBP346_A2108
ko:K03750	bpr:GBP346_A2987
ko:K09760	bpr:GBP346_A2990
ko:K00782	bpr:GBP346_A2993
ko:K00154	bpr:GBP346_A0127
ko:K09456	bpr:GBP346_A0128
ko:K02413	bpr:GBP346_A0132
ko:K02412	bpr:GBP346_A0133
ko:K02411	bpr:GBP346_A0134
ko:K02410	bpr:GBP346_A0135
ko:K02409	bpr:GBP346_A0136
ko:K02408	bpr:GBP346_A0137
ko:K02422	bpr:GBP346_A0138
ko:K04061	bpr:GBP346_A0141
ko:K09939	bpr:GBP346_A0142
ko:K07402	bpr:GBP346_A0143
ko:K00528	bpr:GBP346_A0147
ko:K01338	bpr:GBP346_A0152
ko:K09973	bpr:GBP346_A0163
ko:K07160	bpr:GBP346_A0167
ko:K08309	bpr:GBP346_A0172
ko:K02399	bpr:GBP346_A0179
ko:K02398	bpr:GBP346_A0180
ko:K02386	bpr:GBP346_A0181
ko:K02518	bpr:GBP346_A1160
ko:K02622	bpr:GBP346_A1166
ko:K02621	bpr:GBP346_A1167
ko:K07240	bpr:GBP346_A1178
ko:K04079	bpr:GBP346_A1186
ko:K03181	bpr:GBP346_A1187
ko:K03798	bpr:GBP346_A1517
ko:K00796	bpr:GBP346_A1518
ko:K03431	bpr:GBP346_A1519
ko:K02040	bpr:GBP346_A1520
ko:K02037	bpr:GBP346_A1521
ko:K02038	bpr:GBP346_A1522
ko:K02036	bpr:GBP346_A1523
ko:K02039	bpr:GBP346_A1524
ko:K07636	bpr:GBP346_A1526
ko:K00937	bpr:GBP346_A1527
ko:K08296	bpr:GBP346_A1538
ko:K02444	bpr:GBP346_A0659
ko:K11927	bpr:GBP346_A0665
ko:K06917	bpr:GBP346_A0685
ko:K00763	bpr:GBP346_A0694
ko:K02275	bpr:GBP346_A0701
ko:K00156	bpr:GBP346_A0702
ko:K05936	bpr:GBP346_A1997
ko:K03449	bpr:GBP346_A1999
ko:K00926	bpr:GBP346_A2010
ko:K00611	bpr:GBP346_A2011
ko:K03758	bpr:GBP346_A2013
ko:K05846	bpr:GBP346_A2018
ko:K05846	bpr:GBP346_A2020
ko:K03408	bpr:GBP346_A2029
ko:K00817	bpr:GBP346_A2039
ko:K01940	bpr:GBP346_A2042
ko:K01755	bpr:GBP346_A2043
ko:K01738	bpr:GBP346_A2047
ko:K01755	bpr:GBP346_A2048
ko:K01620	bpr:GBP346_A2049
ko:K00612	bpr:GBP346_A2053
ko:K00697	bpr:GBP346_A2934
ko:K07152	bpr:GBP346_A2938
ko:K06911	bpr:GBP346_A2942
ko:K03703	bpr:GBP346_A2949
ko:K02356	bpr:GBP346_A2952
ko:K01207	bpr:GBP346_A2955
ko:K00997	bpr:GBP346_A2956
ko:K03474	bpr:GBP346_A2957
ko:K03584	bpr:GBP346_A2958
ko:K03685	bpr:GBP346_A2960
ko:K03100	bpr:GBP346_A2961
ko:K03596	bpr:GBP346_A2962
ko:K03598	bpr:GBP346_A2965
ko:K03597	bpr:GBP346_A2966
ko:K03088	bpr:GBP346_A2967
ko:K09458	bpr:GBP346_A2969
ko:K02078	bpr:GBP346_A2970
ko:K00645	bpr:GBP346_A2972
ko:K00648	bpr:GBP346_A2973
ko:K03621	bpr:GBP346_A2974
ko:K00523	bpr:GBP346_A0919
ko:K01426	bpr:GBP346_A1281
ko:K00821	bpr:GBP346_A0918
ko:K11189	bpr:GBP346_A0402
ko:K00568	bpr:GBP346_A3071
ko:K02458	bpr:GBP346_A4204
ko:K05520	bpr:GBP346_A0583
ko:K00906	bpr:GBP346_A0325
ko:K12508	bpr:GBP346_A4130
ko:K11085	bpr:GBP346_A1226
ko:K00620	bpr:GBP346_A3687
ko:K12370	bpr:GBP346_A0160
ko:K00951	bpr:GBP346_A1754
ko:K03446	bpr:GBP346_A4213
ko:K03446	bpr:GBP346_A1787
ko:K03446	bpr:GBP346_A1668
ko:K04751	bpr:GBP346_A1082
ko:K07687	bpr:GBP346_A1666
ko:K07687	bpr:GBP346_A2149
ko:K02498	bpr:GBP346_A1072
ko:K07461	bpr:GBP346_A1077
ko:K09919	bpr:GBP346_A1080
ko:K01950	bpr:GBP346_A1081
ko:K10017	bpr:GBP346_A1084
ko:K10015	bpr:GBP346_A1086
ko:K10016	bpr:GBP346_A1087
ko:K06911	bpr:GBP346_A1090
ko:K07659	bpr:GBP346_A1093
ko:K07638	bpr:GBP346_A1094
ko:K00697	bpr:GBP346_A1103
ko:K08169	bpr:GBP346_A1106
ko:K08276	bpr:GBP346_A1114
ko:K07262	bpr:GBP346_A1115
ko:K09965	bpr:GBP346_A1458
ko:K00381	bpr:GBP346_A1465
ko:K00645	bpr:GBP346_A1491
ko:K09771	bpr:GBP346_A1498
ko:K08307	bpr:GBP346_A1503
ko:K01956	bpr:GBP346_A1509
ko:K11250	bpr:GBP346_A1510
ko:K01955	bpr:GBP346_A1511
ko:K03624	bpr:GBP346_A1512
ko:K03824	bpr:GBP346_A2411
ko:K01952	bpr:GBP346_A2412
ko:K00285	bpr:GBP346_A2414
ko:K01810	bpr:GBP346_A2417
ko:K02003	bpr:GBP346_A2418
ko:K03770	bpr:GBP346_A2421
ko:K01338	bpr:GBP346_A2433
ko:K03544	bpr:GBP346_A2435
ko:K01358	bpr:GBP346_A2436
ko:K03545	bpr:GBP346_A2437
ko:K00865	bpr:GBP346_A2439
ko:K00077	bpr:GBP346_A2442
ko:K02291	bpr:GBP346_A2460
ko:K07659	bpr:GBP346_A2465
ko:K07638	bpr:GBP346_A2466
ko:K04756	bpr:GBP346_A2468
ko:K01770	bpr:GBP346_A2469
ko:K02016	bpr:GBP346_A3333
ko:K02013	bpr:GBP346_A3334
ko:K03778	bpr:GBP346_A3348
ko:K04719	bpr:GBP346_A3349
ko:K00451	bpr:GBP346_A3353
ko:K08195	bpr:GBP346_A3354
ko:K00252	bpr:GBP346_A3363
ko:K02655	bpr:GBP346_A3368
ko:K02672	bpr:GBP346_A3370
ko:K08084	bpr:GBP346_A3372
ko:K07738	bpr:GBP346_A3373
ko:K00600	bpr:GBP346_A3374
ko:K07107	bpr:GBP346_A3377
ko:K03562	bpr:GBP346_A3378
ko:K03641	bpr:GBP346_A3381
ko:K03640	bpr:GBP346_A3382
ko:K02403	bpr:GBP346_A3386
ko:K00963	bpr:GBP346_A3388
ko:K02914	bpr:GBP346_A0002
ko:K03536	bpr:GBP346_A0003
ko:K08998	bpr:GBP346_A0004
ko:K03217	bpr:GBP346_A0005
ko:K03650	bpr:GBP346_A0009
ko:K01247	bpr:GBP346_A0035
ko:K01919	bpr:GBP346_A0037
ko:K03086	bpr:GBP346_A0038
ko:K01951	bpr:GBP346_A4186
ko:K06048	bpr:GBP346_A4189
ko:K03530	bpr:GBP346_A4193
ko:K02453	bpr:GBP346_A4197
ko:K02452	bpr:GBP346_A4200
ko:K02456	bpr:GBP346_A4202
ko:K02457	bpr:GBP346_A4203
ko:K02459	bpr:GBP346_A4205
ko:K02460	bpr:GBP346_A4206
ko:K02461	bpr:GBP346_A4207
ko:K02415	bpr:GBP346_A4219
ko:K02416	bpr:GBP346_A4220
ko:K02417	bpr:GBP346_A4221
ko:K02418	bpr:GBP346_A4222
ko:K02419	bpr:GBP346_A4223
ko:K02420	bpr:GBP346_A4224
ko:K02421	bpr:GBP346_A4225
ko:K07649	bpr:GBP346_A4232
ko:K01996	bpr:GBP346_A4241
ko:K01995	bpr:GBP346_A4243
ko:K01998	bpr:GBP346_A4244
ko:K01997	bpr:GBP346_A4245
ko:K01999	bpr:GBP346_A4246
ko:K02616	bpr:GBP346_A4257
ko:K03088	bpr:GBP346_A4272
ko:K02470	bpr:GBP346_A4276
ko:K02338	bpr:GBP346_A4277
ko:K02313	bpr:GBP346_A4278
ko:K01975	bpr:GBP346_A3872
ko:K03310	bpr:GBP346_A3873
ko:K00266	bpr:GBP346_A3874
ko:K07275	bpr:GBP346_A3877
ko:K01126	bpr:GBP346_A3878
ko:K05813	bpr:GBP346_A3882
ko:K01129	bpr:GBP346_A3883
ko:K01735	bpr:GBP346_A3884
ko:K00891	bpr:GBP346_A3885
ko:K02666	bpr:GBP346_A3886
ko:K05366	bpr:GBP346_A3890
ko:K06202	bpr:GBP346_A3891
ko:K01586	bpr:GBP346_A3893
ko:K07399	bpr:GBP346_A3898
ko:K03978	bpr:GBP346_A3900
ko:K01698	bpr:GBP346_A3901
ko:K04084	bpr:GBP346_A3902
ko:K03926	bpr:GBP346_A3903
ko:K02879	bpr:GBP346_A3904
ko:K03040	bpr:GBP346_A3905
ko:K02986	bpr:GBP346_A3906
ko:K02948	bpr:GBP346_A3907
ko:K02952	bpr:GBP346_A3908
ko:K02919	bpr:GBP346_A3909
ko:K02518	bpr:GBP346_A3910
ko:K03076	bpr:GBP346_A3911
ko:K02876	bpr:GBP346_A3912
ko:K02907	bpr:GBP346_A3913
ko:K02988	bpr:GBP346_A3914
ko:K02881	bpr:GBP346_A3915
ko:K02933	bpr:GBP346_A3916
ko:K02994	bpr:GBP346_A3917
ko:K02954	bpr:GBP346_A3918
ko:K02931	bpr:GBP346_A3919
ko:K02895	bpr:GBP346_A3920
ko:K02874	bpr:GBP346_A3921
ko:K02961	bpr:GBP346_A3922
ko:K02904	bpr:GBP346_A3923
ko:K02878	bpr:GBP346_A3924
ko:K02982	bpr:GBP346_A3925
ko:K02890	bpr:GBP346_A3926
ko:K02965	bpr:GBP346_A3927
ko:K02886	bpr:GBP346_A3928
ko:K02892	bpr:GBP346_A3929
ko:K02926	bpr:GBP346_A3930
ko:K02906	bpr:GBP346_A3931
ko:K02946	bpr:GBP346_A3932
ko:K02358	bpr:GBP346_A3933
ko:K02355	bpr:GBP346_A3934
ko:K02992	bpr:GBP346_A3935
ko:K02950	bpr:GBP346_A3936
ko:K03654	bpr:GBP346_A3938
ko:K03046	bpr:GBP346_A3941
ko:K03117	bpr:GBP346_A3839
ko:K03116	bpr:GBP346_A3840
ko:K02500	bpr:GBP346_A3845
ko:K01814	bpr:GBP346_A3846
ko:K02501	bpr:GBP346_A3847
ko:K01693	bpr:GBP346_A3849
ko:K00817	bpr:GBP346_A3850
ko:K00013	bpr:GBP346_A3851
ko:K00765	bpr:GBP346_A3852
ko:K00790	bpr:GBP346_A3853
ko:K07122	bpr:GBP346_A3857
ko:K07323	bpr:GBP346_A3858
ko:K04754	bpr:GBP346_A3859
ko:K02066	bpr:GBP346_A3861
ko:K02065	bpr:GBP346_A3862
ko:K00788	bpr:GBP346_A3863
ko:K03149	bpr:GBP346_A3864
ko:K03154	bpr:GBP346_A3865
ko:K02471	bpr:GBP346_A3870
ko:K03043	bpr:GBP346_A3942
ko:K02935	bpr:GBP346_A3943
ko:K02864	bpr:GBP346_A3944
ko:K02863	bpr:GBP346_A3945
ko:K02867	bpr:GBP346_A3946
ko:K02601	bpr:GBP346_A3947
ko:K03073	bpr:GBP346_A3948
ko:K02609	bpr:GBP346_A3962
ko:K02610	bpr:GBP346_A3963
ko:K02611	bpr:GBP346_A3964
ko:K02612	bpr:GBP346_A3965
ko:K02613	bpr:GBP346_A3966
ko:K00457	bpr:GBP346_A3971
ko:K04090	bpr:GBP346_A3973
ko:K00029	bpr:GBP346_A3975
ko:K00762	bpr:GBP346_A3977
ko:K03809	bpr:GBP346_A3980
ko:K00145	bpr:GBP346_A3981
ko:K07275	bpr:GBP346_A3985
ko:K09122	bpr:GBP346_A3990
ko:K01912	bpr:GBP346_A3724
ko:K08304	bpr:GBP346_A3725
ko:K06195	bpr:GBP346_A3726
ko:K01783	bpr:GBP346_A3728
ko:K01091	bpr:GBP346_A3729
ko:K01657	bpr:GBP346_A3730
ko:K00766	bpr:GBP346_A3732
ko:K01609	bpr:GBP346_A3733
ko:K03648	bpr:GBP346_A3735
ko:K01118	bpr:GBP346_A3736
ko:K03981	bpr:GBP346_A3738
ko:K06942	bpr:GBP346_A3745
ko:K00331	bpr:GBP346_A3747
ko:K01126	bpr:GBP346_A3753
ko:K02492	bpr:GBP346_A3763
ko:K02835	bpr:GBP346_A3764
ko:K02493	bpr:GBP346_A3765
ko:K07390	bpr:GBP346_A3766
ko:K03186	bpr:GBP346_A3767
ko:K03704	bpr:GBP346_A3771
ko:K04046	bpr:GBP346_A3772
ko:K09941	bpr:GBP346_A3777
ko:K01256	bpr:GBP346_A3786
ko:K11891	bpr:GBP346_A3800
ko:K11890	bpr:GBP346_A3801
ko:K11907	bpr:GBP346_A3804
ko:K11895	bpr:GBP346_A3805
ko:K11896	bpr:GBP346_A3806
ko:K11897	bpr:GBP346_A3807
ko:K11903	bpr:GBP346_A3808
ko:K11900	bpr:GBP346_A3809
ko:K11901	bpr:GBP346_A3810
ko:K11906	bpr:GBP346_A3813
ko:K11893	bpr:GBP346_A3814
ko:K11892	bpr:GBP346_A3815
ko:K03600	bpr:GBP346_A3830
ko:K03599	bpr:GBP346_A3831
ko:K00413	bpr:GBP346_A3832
ko:K00412	bpr:GBP346_A3833
ko:K00411	bpr:GBP346_A3834
ko:K03118	bpr:GBP346_A3838
ko:K05540	bpr:GBP346_A3536
ko:K01560	bpr:GBP346_A2598
ko:K00666	bpr:GBP346_A2025
ko:K00666	bpr:GBP346_A4141
ko:K10804	bpr:GBP346_A2419
ko:K01760	bpr:GBP346_A2266
ko:K12372	bpr:GBP346_A0162
ko:K03574	bpr:GBP346_A3685
ko:K00970	bpr:GBP346_A3449
ko:K01736	bpr:GBP346_A1735
ko:K09456	bpr:GBP346_A4129
ko:K01999	bpr:GBP346_A4131
ko:K04066	bpr:GBP346_A4135
ko:K01599	bpr:GBP346_A4137
ko:K06929	bpr:GBP346_A4139
ko:K02114	bpr:GBP346_A4142
ko:K02112	bpr:GBP346_A4143
ko:K02115	bpr:GBP346_A4144
ko:K02111	bpr:GBP346_A4145
ko:K02113	bpr:GBP346_A4146
ko:K02109	bpr:GBP346_A4147
ko:K02110	bpr:GBP346_A4148
ko:K02108	bpr:GBP346_A4149
ko:K03501	bpr:GBP346_A4155
ko:K03495	bpr:GBP346_A4156
ko:K01996	bpr:GBP346_A4157
ko:K01995	bpr:GBP346_A4158
ko:K01998	bpr:GBP346_A4158
ko:K01997	bpr:GBP346_A4159
ko:K01999	bpr:GBP346_A4160
ko:K01998	bpr:GBP346_A4164
ko:K01997	bpr:GBP346_A4166
ko:K01999	bpr:GBP346_A4168
ko:K01996	bpr:GBP346_A4169
ko:K01995	bpr:GBP346_A4170
ko:K00140	bpr:GBP346_A4173
ko:K00500	bpr:GBP346_A4179
ko:K00931	bpr:GBP346_A3671
ko:K03979	bpr:GBP346_A3672
ko:K02899	bpr:GBP346_A3674
ko:K02888	bpr:GBP346_A3675
ko:K02523	bpr:GBP346_A3676
ko:K02652	bpr:GBP346_A3679
ko:K02654	bpr:GBP346_A3681
ko:K00859	bpr:GBP346_A3682
ko:K09862	bpr:GBP346_A3684
ko:K06923	bpr:GBP346_A3686
ko:K03070	bpr:GBP346_A3688
ko:K02535	bpr:GBP346_A3691
ko:K03531	bpr:GBP346_A3693
ko:K03590	bpr:GBP346_A3694
ko:K03589	bpr:GBP346_A3695
ko:K01921	bpr:GBP346_A3696
ko:K01924	bpr:GBP346_A3697
ko:K02563	bpr:GBP346_A3698
ko:K03588	bpr:GBP346_A3699
ko:K01925	bpr:GBP346_A3700
ko:K01000	bpr:GBP346_A3701
ko:K01929	bpr:GBP346_A3702
ko:K01928	bpr:GBP346_A3703
ko:K03587	bpr:GBP346_A3704
ko:K03586	bpr:GBP346_A3705
ko:K03438	bpr:GBP346_A3706
ko:K03925	bpr:GBP346_A3707
ko:K06134	bpr:GBP346_A3708
ko:K03271	bpr:GBP346_A4004
ko:K07460	bpr:GBP346_A4005
ko:K07056	bpr:GBP346_A4006
ko:K03642	bpr:GBP346_A4007
ko:K07226	bpr:GBP346_A4015
ko:K01999	bpr:GBP346_A4017
ko:K08972	bpr:GBP346_A4023
ko:K01251	bpr:GBP346_A4024
ko:K02405	bpr:GBP346_A4026
ko:K04562	bpr:GBP346_A4027
ko:K02404	bpr:GBP346_A4028
ko:K02400	bpr:GBP346_A4029
ko:K02401	bpr:GBP346_A4030
ko:K03414	bpr:GBP346_A4034
ko:K03413	bpr:GBP346_A4035
ko:K03412	bpr:GBP346_A4036
ko:K03411	bpr:GBP346_A4037
ko:K03408	bpr:GBP346_A4040
ko:K03407	bpr:GBP346_A4041
ko:K03413	bpr:GBP346_A4042
ko:K02557	bpr:GBP346_A4043
ko:K02556	bpr:GBP346_A4044
ko:K02402	bpr:GBP346_A4045
ko:K02403	bpr:GBP346_A4046
ko:K06188	bpr:GBP346_A4051
ko:K01246	bpr:GBP346_A4054
ko:K02970	bpr:GBP346_A4055
ko:K02406	bpr:GBP346_A4057
ko:K02407	bpr:GBP346_A4058
ko:K00648	bpr:GBP346_A4062
ko:K02078	bpr:GBP346_A4063
ko:K00648	bpr:GBP346_A4064
ko:K03656	bpr:GBP346_A4089
ko:K00605	bpr:GBP346_A4098
ko:K02437	bpr:GBP346_A4099
ko:K01752	bpr:GBP346_A4103
ko:K01652	bpr:GBP346_A4105
ko:K04033	bpr:GBP346_A4107
ko:K03736	bpr:GBP346_A4110
ko:K03735	bpr:GBP346_A4111
ko:K10013	bpr:GBP346_A4125
ko:K01628	bpr:GBP346_A0929
ko:K00874	bpr:GBP346_A2269
ko:K13292	bpr:GBP346_A1017
ko:K07232	bpr:GBP346_A0633
ko:K12373	bpr:GBP346_A0467
ko:K02455	bpr:GBP346_A4199
ko:K01061	bpr:GBP346_A4020
ko:K03500	bpr:GBP346_A0067
ko:K06920	bpr:GBP346_A0073
ko:K01737	bpr:GBP346_A0075
ko:K05837	bpr:GBP346_A0080
ko:K05515	bpr:GBP346_A0081
ko:K03571	bpr:GBP346_A0083
ko:K03570	bpr:GBP346_A0084
ko:K03569	bpr:GBP346_A0085
ko:K02435	bpr:GBP346_A0086
ko:K02434	bpr:GBP346_A0088
ko:K01142	bpr:GBP346_A0090
ko:K08218	bpr:GBP346_A0094
ko:K00641	bpr:GBP346_A0096
ko:K05501	bpr:GBP346_A0097
ko:K00930	bpr:GBP346_A0099
ko:K03667	bpr:GBP346_A0104
ko:K01419	bpr:GBP346_A0105
ko:K06204	bpr:GBP346_A0106
ko:K06969	bpr:GBP346_A0108
ko:K03733	bpr:GBP346_A0109
ko:K09921	bpr:GBP346_A0110
ko:K01778	bpr:GBP346_A0111
ko:K02517	bpr:GBP346_A0112
ko:K00789	bpr:GBP346_A0113
ko:K08224	bpr:GBP346_A0121
ko:K12262	bpr:GBP346_A3511
ko:K03768	bpr:GBP346_A2669
ko:K04618	bpr:GBP346_A1612
ko:K06895	bpr:GBP346_A3213
ko:K03711	bpr:GBP346_A3600
ko:K03819	bpr:GBP346_A3395
ko:K00863	bpr:GBP346_A2178
ko:K06020	bpr:GBP346_A3755
ko:K01631	bpr:GBP346_A3632
ko:K01684	bpr:GBP346_A0670
ko:K00860	bpr:GBP346_A2649
ko:K01784	bpr:GBP346_A3267
ko:K01784	bpr:GBP346_A3272
ko:K00104	bpr:GBP346_A3474
ko:K00956	bpr:GBP346_A1004
ko:K01897	bpr:GBP346_A1823
ko:K02503	bpr:GBP346_A3841
ko:K01961	bpr:GBP346_A3649
ko:K01491	bpr:GBP346_A2796
ko:K01104	bpr:GBP346_A3399
ko:K01104	bpr:GBP346_A2781
ko:K13255	bpr:GBP346_A1961
ko:K13288	bpr:GBP346_A3028
ko:K06183	bpr:GBP346_A0922
ko:K02462	bpr:GBP346_A4208
ko:K02463	bpr:GBP346_A4209
ko:K02116	bpr:GBP346_A4150
ko:K00215	bpr:GBP346_A3598
ko:K02414	bpr:GBP346_A0131
ko:K08234	bpr:GBP346_A0033
ko:K00128	bpr:GBP346_A1075
ko:K02423	bpr:GBP346_A0139
ko:K00297	bpr:GBP346_A4022
ko:K12972	bpr:GBP346_A0273
ko:K00974	bpr:GBP346_A0175
ko:K06938	bpr:GBP346_A0270
ko:K00007	bpr:GBP346_A0812
ko:K05343	bpr:GBP346_A1583
ko:K13543	bpr:GBP346_A1070
ko:K01534	bpr:GBP346_A4119
ko:K08715	bpr:GBP346_A0301
ko:K13482	bpr:GBP346_A3339
ko:K03296	bpr:GBP346_A2655
ko:K03386	bpr:GBP346_A2467
ko:K12339	bpr:GBP346_A3054
ko:K12371	bpr:GBP346_A0161
ko:K07684	bpr:GBP346_A2810
ko:K03294	bpr:GBP346_A0144
ko:K03719	bpr:GBP346_A3043
ko:K03719	bpr:GBP346_A3970
ko:K03719	bpr:GBP346_A0268
ko:K12510	bpr:GBP346_A1812
ko:K01069	bpr:GBP346_A1502
ko:K00146	bpr:GBP346_A4247
ko:K12511	bpr:GBP346_A1916
ko:K13038	bpr:GBP346_A0894
ko:K12573	bpr:GBP346_A1838
ko:K03457	bpr:GBP346_A2502
ko:K13628	bpr:GBP346_A2777
ko:K07497	bpr:GBP346_A0992
ko:K05603	bpr:GBP346_A2841
ko:K07130	bpr:GBP346_A0821
