ko:K01212	bya:BANAU_3943
ko:K01887	bya:BANAU_3637
ko:K00797	bya:BANAU_3645
ko:K01821	bya:BANAU_3650
ko:K06885	bya:BANAU_3654
ko:K03924	bya:BANAU_0583
ko:K01951	bya:BANAU_0586
ko:K01841	bya:BANAU_0589
ko:K00812	bya:BANAU_0590
ko:K03088	bya:BANAU_0592
ko:K06901	bya:BANAU_0594
ko:K01588	bya:BANAU_0599
ko:K01589	bya:BANAU_0600
ko:K01756	bya:BANAU_0601
ko:K01923	bya:BANAU_0602
ko:K01952	bya:BANAU_0603
ko:K01952	bya:BANAU_0604
ko:K01952	bya:BANAU_0605
ko:K00764	bya:BANAU_0606
ko:K01933	bya:BANAU_0607
ko:K11175	bya:BANAU_0608
ko:K00602	bya:BANAU_0609
ko:K01945	bya:BANAU_0610
ko:K01486	bya:BANAU_0612
ko:K03657	bya:BANAU_0617
ko:K01972	bya:BANAU_0618
ko:K07507	bya:BANAU_0621
ko:K02435	bya:BANAU_0623
ko:K02434	bya:BANAU_0625
ko:K03215	bya:BANAU_0629
ko:K02003	bya:BANAU_0630
ko:K01462	bya:BANAU_1366
ko:K00161	bya:BANAU_1379
ko:K00162	bya:BANAU_1380
ko:K00627	bya:BANAU_1381
ko:K00382	bya:BANAU_1382
ko:K06207	bya:BANAU_1397
ko:K07175	bya:BANAU_1401
ko:K07727	bya:BANAU_1409
ko:K03088	bya:BANAU_2161
ko:K03816	bya:BANAU_2178
ko:K01299	bya:BANAU_2179
ko:K07444	bya:BANAU_2183
ko:K06327	bya:BANAU_2186
ko:K07502	bya:BANAU_2187
ko:K05366	bya:BANAU_2198
ko:K10773	bya:BANAU_2200
ko:K01893	bya:BANAU_2202
ko:K00812	bya:BANAU_2203
ko:K01579	bya:BANAU_2207
ko:K01918	bya:BANAU_2208
ko:K00606	bya:BANAU_2209
ko:K03524	bya:BANAU_2210
ko:K01975	bya:BANAU_2922
ko:K01738	bya:BANAU_2923
ko:K06901	bya:BANAU_2925
ko:K07007	bya:BANAU_2931
ko:K02529	bya:BANAU_2934
ko:K10117	bya:BANAU_2935
ko:K07406	bya:BANAU_2938
ko:K01869	bya:BANAU_2941
ko:K11632	bya:BANAU_2946
ko:K11631	bya:BANAU_2947
ko:K11629	bya:BANAU_2948
ko:K11630	bya:BANAU_2949
ko:K07139	bya:BANAU_2958
ko:K01126	bya:BANAU_2961
ko:K01953	bya:BANAU_2966
ko:K00789	bya:BANAU_2967
ko:K01610	bya:BANAU_2968
ko:K06314	bya:BANAU_3656
ko:K07552	bya:BANAU_3677
ko:K00260	bya:BANAU_3681
ko:K01790	bya:BANAU_3687
ko:K00067	bya:BANAU_3688
ko:K00973	bya:BANAU_3690
ko:K06305	bya:BANAU_3698
ko:K03648	bya:BANAU_3702
ko:K10010	bya:BANAU_0313
ko:K02988	bya:BANAU_0132
ko:K02907	bya:BANAU_0133
ko:K02876	bya:BANAU_0134
ko:K03076	bya:BANAU_0135
ko:K01265	bya:BANAU_0137
ko:K02518	bya:BANAU_0138
ko:K02919	bya:BANAU_0139
ko:K02952	bya:BANAU_0140
ko:K02948	bya:BANAU_0141
ko:K03040	bya:BANAU_0142
ko:K02879	bya:BANAU_0143
ko:K06173	bya:BANAU_0147
ko:K02871	bya:BANAU_0148
ko:K02996	bya:BANAU_0149
ko:K01448	bya:BANAU_0153
ko:K06294	bya:BANAU_0155
ko:K06349	bya:BANAU_0156
ko:K02015	bya:BANAU_0165
ko:K02015	bya:BANAU_0166
ko:K02016	bya:BANAU_0167
ko:K01207	bya:BANAU_0170
ko:K06199	bya:BANAU_0888
ko:K06199	bya:BANAU_0889
ko:K01126	bya:BANAU_0890
ko:K12410	bya:BANAU_0892
ko:K00824	bya:BANAU_0894
ko:K03897	bya:BANAU_0911
ko:K07228	bya:BANAU_0913
ko:K09682	bya:BANAU_0927
ko:K00831	bya:BANAU_0931
ko:K02503	bya:BANAU_0932
ko:K01599	bya:BANAU_0940
ko:K01772	bya:BANAU_0941
ko:K00791	bya:BANAU_1692
ko:K03666	bya:BANAU_1693
ko:K01448	bya:BANAU_1700
ko:K06413	bya:BANAU_1702
ko:K03665	bya:BANAU_1703
ko:K01915	bya:BANAU_1706
ko:K03733	bya:BANAU_1728
ko:K01308	bya:BANAU_2468
ko:K03315	bya:BANAU_2471
ko:K02913	bya:BANAU_2474
ko:K02036	bya:BANAU_2477
ko:K02036	bya:BANAU_2478
ko:K02038	bya:BANAU_2479
ko:K02037	bya:BANAU_2480
ko:K02040	bya:BANAU_2481
ko:K08222	bya:BANAU_2483
ko:K04564	bya:BANAU_2484
ko:K09793	bya:BANAU_2485
ko:K05967	bya:BANAU_2490
ko:K01151	bya:BANAU_2494
ko:K03527	bya:BANAU_2497
ko:K06967	bya:BANAU_2499
ko:K03086	bya:BANAU_2501
ko:K09768	bya:BANAU_2503
ko:K09773	bya:BANAU_2504
ko:K01879	bya:BANAU_2506
ko:K01878	bya:BANAU_2507
ko:K03584	bya:BANAU_2508
ko:K07042	bya:BANAU_2512
ko:K07037	bya:BANAU_2513
ko:K11622	bya:BANAU_3212
ko:K11619	bya:BANAU_3215
ko:K02013	bya:BANAU_3218
ko:K02015	bya:BANAU_3219
ko:K02016	bya:BANAU_3220
ko:K02013	bya:BANAU_3230
ko:K02015	bya:BANAU_3231
ko:K02015	bya:BANAU_3232
ko:K02016	bya:BANAU_3233
ko:K03758	bya:BANAU_3235
ko:K07038	bya:BANAU_3237
ko:K07219	bya:BANAU_3239
ko:K02020	bya:BANAU_3240
ko:K02018	bya:BANAU_3241
ko:K00381	bya:BANAU_3250
ko:K03657	bya:BANAU_3252
ko:K06332	bya:BANAU_0645
ko:K06333	bya:BANAU_0646
ko:K06334	bya:BANAU_0647
ko:K06890	bya:BANAU_0657
ko:K00978	bya:BANAU_0667
ko:K01709	bya:BANAU_0668
ko:K08223	bya:BANAU_0672
ko:K15738	bya:BANAU_0678
ko:K01425	bya:BANAU_1437
ko:K03588	bya:BANAU_1439
ko:K02259	bya:BANAU_1441
ko:K02275	bya:BANAU_1443
ko:K02276	bya:BANAU_1445
ko:K00954	bya:BANAU_1456
ko:K07001	bya:BANAU_1458
ko:K10040	bya:BANAU_2663
ko:K07106	bya:BANAU_0173
ko:K03088	bya:BANAU_0176
ko:K03431	bya:BANAU_0180
ko:K00820	bya:BANAU_0181
ko:K01126	bya:BANAU_0206
ko:K02445	bya:BANAU_0207
ko:K08317	bya:BANAU_0214
ko:K08289	bya:BANAU_0215
ko:K01613	bya:BANAU_0218
ko:K07146	bya:BANAU_0220
ko:K00231	bya:BANAU_0942
ko:K01421	bya:BANAU_0944
ko:K00648	bya:BANAU_0945
ko:K11102	bya:BANAU_0947
ko:K03800	bya:BANAU_0949
ko:K02016	bya:BANAU_0955
ko:K03523	bya:BANAU_0959
ko:K02250	bya:BANAU_0964
ko:K03100	bya:BANAU_0974
ko:K03547	bya:BANAU_0984
ko:K06304	bya:BANAU_0987
ko:K06303	bya:BANAU_0988
ko:K06302	bya:BANAU_0989
ko:K06301	bya:BANAU_0990
ko:K06300	bya:BANAU_0991
ko:K06299	bya:BANAU_0992
ko:K03530	bya:BANAU_1750
ko:K06438	bya:BANAU_2515
ko:K07403	bya:BANAU_2519
ko:K09117	bya:BANAU_2520
ko:K02970	bya:BANAU_2521
ko:K03324	bya:BANAU_2522
ko:K09761	bya:BANAU_2524
ko:K02687	bya:BANAU_2525
ko:K03686	bya:BANAU_2526
ko:K04043	bya:BANAU_2527
ko:K03687	bya:BANAU_2528
ko:K03705	bya:BANAU_2529
ko:K03596	bya:BANAU_2532
ko:K06385	bya:BANAU_2534
ko:K06012	bya:BANAU_2535
ko:K02968	bya:BANAU_2536
ko:K02340	bya:BANAU_2537
ko:K02237	bya:BANAU_2541
ko:K02239	bya:BANAU_2542
ko:K09710	bya:BANAU_2544
ko:K00969	bya:BANAU_2546
ko:K07574	bya:BANAU_2547
ko:K00014	bya:BANAU_2548
ko:K07015	bya:BANAU_2550
ko:K06371	bya:BANAU_2551
ko:K03091	bya:BANAU_2556
ko:K13653	bya:BANAU_2559
ko:K07040	bya:BANAU_1461
ko:K02911	bya:BANAU_1462
ko:K00077	bya:BANAU_1465
ko:K03925	bya:BANAU_1467
ko:K03438	bya:BANAU_1468
ko:K01734	bya:BANAU_2214
ko:K00215	bya:BANAU_2215
ko:K03888	bya:BANAU_2221
ko:K03887	bya:BANAU_2222
ko:K00800	bya:BANAU_2227
ko:K00817	bya:BANAU_2229
ko:K01695	bya:BANAU_2230
ko:K01696	bya:BANAU_2231
ko:K01817	bya:BANAU_2232
ko:K01609	bya:BANAU_2233
ko:K00766	bya:BANAU_2234
ko:K01657	bya:BANAU_2235
ko:K06208	bya:BANAU_2236
ko:K01735	bya:BANAU_2237
ko:K01736	bya:BANAU_2238
ko:K00940	bya:BANAU_2240
ko:K03183	bya:BANAU_2242
ko:K06285	bya:BANAU_2244
ko:K01495	bya:BANAU_2245
ko:K03530	bya:BANAU_2246
ko:K06398	bya:BANAU_2247
ko:K00057	bya:BANAU_2250
ko:K03977	bya:BANAU_2251
ko:K02945	bya:BANAU_2255
ko:K00945	bya:BANAU_2256
ko:K04047	bya:BANAU_2976
ko:K07173	bya:BANAU_2979
ko:K08998	bya:BANAU_2980
ko:K01673	bya:BANAU_2981
ko:K02909	bya:BANAU_2982
ko:K00425	bya:BANAU_2983
ko:K00426	bya:BANAU_2984
ko:K01911	bya:BANAU_2991
ko:K01661	bya:BANAU_2992
ko:K02551	bya:BANAU_2994
ko:K00868	bya:BANAU_3707
ko:K01193	bya:BANAU_3709
ko:K14647	bya:BANAU_3713
ko:K05837	bya:BANAU_3716
ko:K03829	bya:BANAU_3717
ko:K02829	bya:BANAU_3719
ko:K02828	bya:BANAU_3720
ko:K02827	bya:BANAU_3721
ko:K02826	bya:BANAU_3722
ko:K00965	bya:BANAU_3724
ko:K00849	bya:BANAU_3725
ko:K00788	bya:BANAU_3734
ko:K00878	bya:BANAU_3735
ko:K06969	bya:BANAU_3743
ko:K02761	bya:BANAU_3745
ko:K01866	bya:BANAU_3749
ko:K02548	bya:BANAU_3751
ko:K03367	bya:BANAU_3753
ko:K13256	bya:BANAU_2562
ko:K03611	bya:BANAU_3255
ko:K01534	bya:BANAU_3257
ko:K01118	bya:BANAU_3262
ko:K03623	bya:BANAU_3274
ko:K03623	bya:BANAU_3275
ko:K03664	bya:BANAU_3276
ko:K12573	bya:BANAU_3277
ko:K03928	bya:BANAU_3278
ko:K03075	bya:BANAU_3279
ko:K05846	bya:BANAU_3289
ko:K05845	bya:BANAU_3290
ko:K05846	bya:BANAU_3294
ko:K05845	bya:BANAU_3295
ko:K05846	bya:BANAU_3296
ko:K05847	bya:BANAU_3297
ko:K03319	bya:BANAU_0688
ko:K00491	bya:BANAU_0700
ko:K01512	bya:BANAU_0701
ko:K01265	bya:BANAU_0706
ko:K13993	bya:BANAU_0711
ko:K02818	bya:BANAU_0714
ko:K02819	bya:BANAU_0714
ko:K05520	bya:BANAU_0721
ko:K02529	bya:BANAU_0722
ko:K00014	bya:BANAU_0723
ko:K03785	bya:BANAU_0724
ko:K07058	bya:BANAU_0729
ko:K07300	bya:BANAU_0731
ko:K08384	bya:BANAU_1471
ko:K01928	bya:BANAU_1472
ko:K01000	bya:BANAU_1473
ko:K01925	bya:BANAU_1474
ko:K03588	bya:BANAU_1475
ko:K02563	bya:BANAU_1476
ko:K00075	bya:BANAU_1477
ko:K03589	bya:BANAU_1478
ko:K03590	bya:BANAU_1479
ko:K03531	bya:BANAU_1480
ko:K06383	bya:BANAU_1482
ko:K03091	bya:BANAU_1483
ko:K03091	bya:BANAU_1484
ko:K02013	bya:BANAU_1485
ko:K05810	bya:BANAU_1488
ko:K06997	bya:BANAU_1489
ko:K09772	bya:BANAU_1490
ko:K02221	bya:BANAU_1491
ko:K04074	bya:BANAU_1493
ko:K01870	bya:BANAU_1494
ko:K03101	bya:BANAU_1496
ko:K06180	bya:BANAU_1497
ko:K02825	bya:BANAU_1498
ko:K00609	bya:BANAU_1500
ko:K01465	bya:BANAU_1501
ko:K01956	bya:BANAU_1502
ko:K01955	bya:BANAU_1503
ko:K01591	bya:BANAU_1506
ko:K00762	bya:BANAU_1507
ko:K00390	bya:BANAU_1508
ko:K00958	bya:BANAU_1510
ko:K00860	bya:BANAU_1511
ko:K02304	bya:BANAU_1514
ko:K09777	bya:BANAU_1519
ko:K00942	bya:BANAU_1520
ko:K01449	bya:BANAU_2260
ko:K00384	bya:BANAU_2262
ko:K00260	bya:BANAU_2263
ko:K03654	bya:BANAU_2269
ko:K03088	bya:BANAU_2275
ko:K07651	bya:BANAU_2276
ko:K07775	bya:BANAU_2277
ko:K07399	bya:BANAU_2279
ko:K06178	bya:BANAU_2281
ko:K06374	bya:BANAU_2282
ko:K06373	bya:BANAU_2283
ko:K06024	bya:BANAU_2286
ko:K05896	bya:BANAU_2287
ko:K02859	bya:BANAU_2289
ko:K00794	bya:BANAU_2290
ko:K14652	bya:BANAU_2291
ko:K00793	bya:BANAU_2292
ko:K11752	bya:BANAU_2293
ko:K03100	bya:BANAU_2295
ko:K01586	bya:BANAU_2299
ko:K06408	bya:BANAU_2300
ko:K06407	bya:BANAU_2301
ko:K06407	bya:BANAU_2302
ko:K06406	bya:BANAU_2303
ko:K11102	bya:BANAU_0221
ko:K00826	bya:BANAU_0222
ko:K01425	bya:BANAU_0226
ko:K07717	bya:BANAU_0227
ko:K07719	bya:BANAU_0228
ko:K01449	bya:BANAU_0233
ko:K03116	bya:BANAU_0236
ko:K03118	bya:BANAU_0237
ko:K01304	bya:BANAU_0238
ko:K07039	bya:BANAU_0244
ko:K09817	bya:BANAU_0254
ko:K09816	bya:BANAU_0255
ko:K05795	bya:BANAU_0258
ko:K05795	bya:BANAU_0259
ko:K08369	bya:BANAU_0263
ko:K02000	bya:BANAU_0264
ko:K02001	bya:BANAU_0265
ko:K02002	bya:BANAU_0266
ko:K14665	bya:BANAU_0267
ko:K01953	bya:BANAU_0997
ko:K02291	bya:BANAU_0998
ko:K06895	bya:BANAU_1004
ko:K09767	bya:BANAU_1009
ko:K00243	bya:BANAU_1010
ko:K07335	bya:BANAU_1011
ko:K11210	bya:BANAU_1022
ko:K00145	bya:BANAU_1025
ko:K00620	bya:BANAU_1026
ko:K00930	bya:BANAU_1027
ko:K01956	bya:BANAU_1029
ko:K01955	bya:BANAU_1030
ko:K00611	bya:BANAU_1031
ko:K02254	bya:BANAU_1037
ko:K00648	bya:BANAU_1039
ko:K09458	bya:BANAU_1040
ko:K02337	bya:BANAU_1802
ko:K07148	bya:BANAU_2565
ko:K01809	bya:BANAU_2576
ko:K08224	bya:BANAU_2582
ko:K00123	bya:BANAU_2590
ko:K03624	bya:BANAU_2600
ko:K01689	bya:BANAU_3303
ko:K15633	bya:BANAU_3304
ko:K01803	bya:BANAU_3305
ko:K00927	bya:BANAU_3306
ko:K00134	bya:BANAU_3307
ko:K05311	bya:BANAU_3308
ko:K02103	bya:BANAU_3310
ko:K00782	bya:BANAU_3319
ko:K03303	bya:BANAU_3324
ko:K03092	bya:BANAU_3325
ko:K13727	bya:BANAU_3348
ko:K06405	bya:BANAU_2304
ko:K06404	bya:BANAU_2305
ko:K06403	bya:BANAU_2306
ko:K03091	bya:BANAU_2307
ko:K06379	bya:BANAU_2308
ko:K05916	bya:BANAU_3009
ko:K06153	bya:BANAU_3012
ko:K05520	bya:BANAU_3015
ko:K00686	bya:BANAU_3020
ko:K00459	bya:BANAU_3022
ko:K06973	bya:BANAU_3026
ko:K01810	bya:BANAU_3032
ko:K09779	bya:BANAU_3037
ko:K10907	bya:BANAU_3039
ko:K14155	bya:BANAU_3043
ko:K07697	bya:BANAU_3044
ko:K06347	bya:BANAU_3045
ko:K06348	bya:BANAU_3046
ko:K03739	bya:BANAU_3754
ko:K14188	bya:BANAU_3755
ko:K03740	bya:BANAU_3756
ko:K00826	bya:BANAU_3757
ko:K02759	bya:BANAU_3759
ko:K02761	bya:BANAU_3760
ko:K02760	bya:BANAU_3761
ko:K03652	bya:BANAU_3763
ko:K02015	bya:BANAU_3764
ko:K02015	bya:BANAU_3765
ko:K02016	bya:BANAU_3766
ko:K03893	bya:BANAU_3768
ko:K02760	bya:BANAU_3769
ko:K02759	bya:BANAU_3770
ko:K02761	bya:BANAU_3771
ko:K00847	bya:BANAU_3773
ko:K01809	bya:BANAU_3774
ko:K03781	bya:BANAU_3776
ko:K01442	bya:BANAU_3777
ko:K00426	bya:BANAU_3782
ko:K00425	bya:BANAU_3783
ko:K00563	bya:BANAU_3795
ko:K03781	bya:BANAU_3800
ko:K03300	bya:BANAU_3801
ko:K02313	bya:BANAU_0001
ko:K02338	bya:BANAU_0002
ko:K03629	bya:BANAU_0004
ko:K02470	bya:BANAU_0006
ko:K02469	bya:BANAU_0007
ko:K06215	bya:BANAU_0011
ko:K08681	bya:BANAU_0012
ko:K01875	bya:BANAU_0013
ko:K00865	bya:BANAU_0014
ko:K15519	bya:BANAU_0015
ko:K15518	bya:BANAU_0016
ko:K06306	bya:BANAU_0017
ko:K02343	bya:BANAU_0020
ko:K09747	bya:BANAU_0021
ko:K06187	bya:BANAU_0022
ko:K06317	bya:BANAU_0024
ko:K00943	bya:BANAU_0028
ko:K09770	bya:BANAU_0030
ko:K02341	bya:BANAU_0031
ko:K03284	bya:BANAU_0744
ko:K01247	bya:BANAU_0745
ko:K03215	bya:BANAU_0746
ko:K00627	bya:BANAU_0751
ko:K00382	bya:BANAU_0752
ko:K06425	bya:BANAU_0754
ko:K01232	bya:BANAU_0755
ko:K03481	bya:BANAU_0756
ko:K02749	bya:BANAU_0757
ko:K02750	bya:BANAU_0757
ko:K03623	bya:BANAU_0767
ko:K14205	bya:BANAU_0771
ko:K07071	bya:BANAU_0776
ko:K03565	bya:BANAU_0777
ko:K06428	bya:BANAU_0782
ko:K03575	bya:BANAU_0790
ko:K10780	bya:BANAU_0792
ko:K06422	bya:BANAU_0793
ko:K03060	bya:BANAU_1521
ko:K13038	bya:BANAU_1522
ko:K04066	bya:BANAU_1523
ko:K01462	bya:BANAU_1524
ko:K00604	bya:BANAU_1525
ko:K03500	bya:BANAU_1526
ko:K06941	bya:BANAU_1527
ko:K06949	bya:BANAU_1530
ko:K01783	bya:BANAU_1531
ko:K02902	bya:BANAU_1534
ko:K01752	bya:BANAU_1537
ko:K01752	bya:BANAU_1538
ko:K03655	bya:BANAU_1539
ko:K03621	bya:BANAU_1541
ko:K00645	bya:BANAU_1542
ko:K02078	bya:BANAU_1544
ko:K03685	bya:BANAU_1545
ko:K03529	bya:BANAU_1546
ko:K03110	bya:BANAU_1548
ko:K03106	bya:BANAU_1551
ko:K02959	bya:BANAU_1552
ko:K06960	bya:BANAU_1553
ko:K02860	bya:BANAU_1555
ko:K00554	bya:BANAU_1556
ko:K02884	bya:BANAU_1557
ko:K14540	bya:BANAU_1558
ko:K03470	bya:BANAU_1559
ko:K04061	bya:BANAU_1561
ko:K01903	bya:BANAU_1562
ko:K01902	bya:BANAU_1563
ko:K04096	bya:BANAU_1564
ko:K03168	bya:BANAU_1565
ko:K04094	bya:BANAU_1566
ko:K03733	bya:BANAU_1567
ko:K01419	bya:BANAU_1568
ko:K03667	bya:BANAU_1569
ko:K03706	bya:BANAU_1570
ko:K02387	bya:BANAU_1571
ko:K01839	bya:BANAU_2312
ko:K03315	bya:BANAU_2320
ko:K01744	bya:BANAU_2321
ko:K02346	bya:BANAU_2335
ko:K01753	bya:BANAU_2342
ko:K07124	bya:BANAU_2343
ko:K00286	bya:BANAU_2345
ko:K15311	bya:BANAU_2347
ko:K11614	bya:BANAU_3051
ko:K07335	bya:BANAU_3053
ko:K02057	bya:BANAU_3055
ko:K02057	bya:BANAU_3056
ko:K05566	bya:BANAU_3058
ko:K05567	bya:BANAU_3059
ko:K05569	bya:BANAU_3061
ko:K05571	bya:BANAU_3063
ko:K07691	bya:BANAU_3065
ko:K07680	bya:BANAU_3066
ko:K00763	bya:BANAU_3071
ko:K06950	bya:BANAU_3078
ko:K03466	bya:BANAU_3082
ko:K00259	bya:BANAU_3087
ko:K04780	bya:BANAU_3090
ko:K01252	bya:BANAU_3091
ko:K02363	bya:BANAU_3092
ko:K02361	bya:BANAU_3093
ko:K00216	bya:BANAU_3094
ko:K03523	bya:BANAU_3097
ko:K07084	bya:BANAU_3098
ko:K01255	bya:BANAU_3099
ko:K09775	bya:BANAU_3100
ko:K09683	bya:BANAU_3822
ko:K01745	bya:BANAU_3823
ko:K01712	bya:BANAU_3824
ko:K01468	bya:BANAU_3825
ko:K00756	bya:BANAU_3828
ko:K11535	bya:BANAU_3829
ko:K05346	bya:BANAU_3831
ko:K02016	bya:BANAU_3838
ko:K06606	bya:BANAU_3854
ko:K06605	bya:BANAU_3855
ko:K09190	bya:BANAU_0275
ko:K09967	bya:BANAU_0277
ko:K15652	bya:BANAU_0281
ko:K00891	bya:BANAU_0283
ko:K01060	bya:BANAU_0284
ko:K07074	bya:BANAU_0285
ko:K00318	bya:BANAU_0286
ko:K13542	bya:BANAU_0291
ko:K00363	bya:BANAU_0292
ko:K00362	bya:BANAU_0293
ko:K00372	bya:BANAU_0294
ko:K00362	bya:BANAU_0295
ko:K02575	bya:BANAU_0296
ko:K08094	bya:BANAU_0304
ko:K06133	bya:BANAU_0311
ko:K03186	bya:BANAU_0317
ko:K03305	bya:BANAU_0321
ko:K06295	bya:BANAU_0324
ko:K02034	bya:BANAU_1046
ko:K01867	bya:BANAU_1048
ko:K15580	bya:BANAU_1049
ko:K15581	bya:BANAU_1050
ko:K08602	bya:BANAU_1060
ko:K06886	bya:BANAU_1063
ko:K00858	bya:BANAU_1068
ko:K06180	bya:BANAU_1069
ko:K03707	bya:BANAU_1072
ko:K03154	bya:BANAU_1075
ko:K03149	bya:BANAU_1076
ko:K00941	bya:BANAU_1078
ko:K00208	bya:BANAU_1079
ko:K06342	bya:BANAU_1083
ko:K03657	bya:BANAU_1090
ko:K01198	bya:BANAU_1857
ko:K01805	bya:BANAU_1859
ko:K01356	bya:BANAU_1891
ko:K00615	bya:BANAU_1895
ko:K03413	bya:BANAU_1900
ko:K00876	bya:BANAU_2651
ko:K08303	bya:BANAU_2652
ko:K08303	bya:BANAU_2653
ko:K07082	bya:BANAU_2655
ko:K07447	bya:BANAU_2657
ko:K01872	bya:BANAU_2659
ko:K03581	bya:BANAU_2668
ko:K01193	bya:BANAU_3357
ko:K02532	bya:BANAU_3358
ko:K03484	bya:BANAU_3359
ko:K01358	bya:BANAU_3360
ko:K06966	bya:BANAU_3370
ko:K03321	bya:BANAU_3372
ko:K01673	bya:BANAU_3373
ko:K00675	bya:BANAU_3376
ko:K11184	bya:BANAU_3377
ko:K06958	bya:BANAU_3380
ko:K00384	bya:BANAU_3382
ko:K11755	bya:BANAU_3389
ko:K02500	bya:BANAU_3390
ko:K01814	bya:BANAU_3391
ko:K02501	bya:BANAU_3392
ko:K01693	bya:BANAU_3393
ko:K00013	bya:BANAU_3394
ko:K00765	bya:BANAU_3395
ko:K02502	bya:BANAU_3396
ko:K06019	bya:BANAU_3399
ko:K13292	bya:BANAU_3400
ko:K07461	bya:BANAU_0035
ko:K07056	bya:BANAU_0036
ko:K06284	bya:BANAU_0037
ko:K01874	bya:BANAU_0038
ko:K03424	bya:BANAU_0039
ko:K05985	bya:BANAU_0041
ko:K02528	bya:BANAU_0042
ko:K06436	bya:BANAU_0043
ko:K06423	bya:BANAU_0045
ko:K00919	bya:BANAU_0046
ko:K06412	bya:BANAU_0049
ko:K04042	bya:BANAU_0050
ko:K00948	bya:BANAU_0051
ko:K02897	bya:BANAU_0052
ko:K01056	bya:BANAU_0053
ko:K03723	bya:BANAU_0055
ko:K04769	bya:BANAU_0056
ko:K07571	bya:BANAU_0063
ko:K06382	bya:BANAU_0064
ko:K04075	bya:BANAU_0067
ko:K00760	bya:BANAU_0068
ko:K03798	bya:BANAU_0069
ko:K03525	bya:BANAU_0070
ko:K04083	bya:BANAU_0071
ko:K01738	bya:BANAU_0073
ko:K01665	bya:BANAU_0074
ko:K00796	bya:BANAU_0077
ko:K01633	bya:BANAU_0078
ko:K00950	bya:BANAU_0079
ko:K04567	bya:BANAU_0081
ko:K01845	bya:BANAU_0798
ko:K03564	bya:BANAU_0799
ko:K03147	bya:BANAU_0805
ko:K16188	bya:BANAU_2962
ko:K10710	bya:BANAU_3149
ko:K13615	bya:BANAU_1678
ko:K15313	bya:BANAU_1673
ko:K16248	bya:BANAU_0566
ko:K00008	bya:BANAU_0565
ko:K16247	bya:BANAU_0564
ko:K06352	bya:BANAU_1180
ko:K06353	bya:BANAU_0339
ko:K00483	bya:BANAU_0209
ko:K06291	bya:BANAU_3481
ko:K10823	bya:BANAU_1053
ko:K06366	bya:BANAU_2834
ko:K06360	bya:BANAU_3575
ko:K11635	bya:BANAU_3841
ko:K11633	bya:BANAU_3842
ko:K13613	bya:BANAU_1676
ko:K16331	bya:BANAU_1509
ko:K07038	bya:BANAU_0789
ko:K16593	bya:BANAU_1949
ko:K16216	bya:BANAU_3079
ko:K16509	bya:BANAU_1056
ko:K16511	bya:BANAU_2264
ko:K01838	bya:BANAU_3361
ko:K01739	bya:BANAU_1099
ko:K01977	bya:BANAU_r013
ko:K01977	bya:BANAU_r025
ko:K01977	bya:BANAU_r019
ko:K01977	bya:BANAU_r001
ko:K05846	bya:BANAU_3291
ko:K05847	bya:BANAU_3292
ko:K01179	bya:BANAU_1935
ko:K02480	bya:BANAU_0863
ko:K01977	bya:BANAU_r022
ko:K01977	bya:BANAU_r007
ko:K01977	bya:BANAU_r016
ko:K01977	bya:BANAU_r010
ko:K01977	bya:BANAU_r030
ko:K01977	bya:BANAU_r004
ko:K01223	bya:BANAU_0301
ko:K06437	bya:BANAU_1337
ko:K07258	bya:BANAU_0010
ko:K07698	bya:BANAU_1359
ko:K06362	bya:BANAU_3546
ko:K11620	bya:BANAU_3214
ko:K11623	bya:BANAU_0512
ko:K03339	bya:BANAU_3853
ko:K11624	bya:BANAU_0513
ko:K13955	bya:BANAU_1984
ko:K00355	bya:BANAU_0764
ko:K16167	bya:BANAU_2126
ko:K16168	bya:BANAU_2125
ko:K00104	bya:BANAU_2790
ko:K15583	bya:BANAU_1052
ko:K16511	bya:BANAU_1058
ko:K01906	bya:BANAU_1954
ko:K06324	bya:BANAU_0580
ko:K16137	bya:BANAU_0450
ko:K10708	bya:BANAU_3153
ko:K11636	bya:BANAU_3840
ko:K11634	bya:BANAU_3843
ko:K01223	bya:BANAU_3772
ko:K16323	bya:BANAU_3796
ko:K11735	bya:BANAU_0581
ko:K16169	bya:BANAU_2177
ko:K06288	bya:BANAU_3207
ko:K06290	bya:BANAU_3209
ko:K06372	bya:BANAU_2445
ko:K06359	bya:BANAU_1179
ko:K11440	bya:BANAU_3003
ko:K06322	bya:BANAU_2085
ko:K06361	bya:BANAU_0338
ko:K06364	bya:BANAU_3639
ko:K11621	bya:BANAU_3213
ko:K01342	bya:BANAU_0954
ko:K06429	bya:BANAU_2120
ko:K02251	bya:BANAU_3067
ko:K06414	bya:BANAU_1533
ko:K11737	bya:BANAU_3882
ko:K13533	bya:BANAU_1267
ko:K06321	bya:BANAU_2086
ko:K06340	bya:BANAU_1085
ko:K06368	bya:BANAU_0250
ko:K06319	bya:BANAU_2087
ko:K06293	bya:BANAU_3483
ko:K06323	bya:BANAU_2084
ko:K06376	bya:BANAU_1277
ko:K06388	bya:BANAU_1203
ko:K03794	bya:BANAU_1513
ko:K15328	bya:BANAU_1668
ko:K06440	bya:BANAU_0507
ko:K02491	bya:BANAU_1312
ko:K06341	bya:BANAU_1084
ko:K08174	bya:BANAU_0158
ko:K15329	bya:BANAU_1669
