ko:K08744	mtuh:I917_12955
ko:K02067	mtuh:I917_04260
ko:K02067	mtuh:I917_04265
ko:K01692	mtuh:I917_04515
ko:K01424	mtuh:I917_10890
ko:K00245	mtuh:I917_11010
ko:K00247	mtuh:I917_11020
ko:K06994	mtuh:I917_11030
ko:K01092	mtuh:I917_11315
ko:K11263	mtuh:I917_17650
ko:K00666	mtuh:I917_17680
ko:K01409	mtuh:I917_24025
ko:K14743	mtuh:I917_24245
ko:K02067	mtuh:I917_24535
ko:K05337	mtuh:I917_24570
ko:K00845	mtuh:I917_04650
ko:K07052	mtuh:I917_04695
ko:K03932	mtuh:I917_04785
ko:K01692	mtuh:I917_04795
ko:K01692	mtuh:I917_04810
ko:K14340	mtuh:I917_11535
ko:K16167	mtuh:I917_11750
ko:K03768	mtuh:I917_18220
ko:K02035	mtuh:I917_18240
ko:K02067	mtuh:I917_24515
ko:K02067	mtuh:I917_24520
ko:K02067	mtuh:I917_24525
ko:K00666	mtuh:I917_24600
ko:K01692	mtuh:I917_24670
ko:K16046	mtuh:I917_24680
ko:K00101	mtuh:I917_04945
ko:K00939	mtuh:I917_05190
ko:K00545	mtuh:I917_12090
ko:K16647	mtuh:I917_18775
ko:K00626	mtuh:I917_24720
ko:K15982	mtuh:I917_24735
ko:K15981	mtuh:I917_24870
ko:K00626	mtuh:I917_24885
ko:K00059	mtuh:I917_24980
ko:K00622	mtuh:I917_25040
ko:K16050	mtuh:I917_25075
ko:K16047	mtuh:I917_25085
ko:K15983	mtuh:I917_25090
ko:K05917	mtuh:I917_05415
ko:K01607	mtuh:I917_05465
ko:K06986	mtuh:I917_05570
ko:K07077	mtuh:I917_05575
ko:K07052	mtuh:I917_05685
ko:K02619	mtuh:I917_05750
ko:K01011	mtuh:I917_05770
ko:K01823	mtuh:I917_12395
ko:K07305	mtuh:I917_18780
ko:K01692	mtuh:I917_18820
ko:K16905	mtuh:I917_18870
ko:K16906	mtuh:I917_18875
ko:K16907	mtuh:I917_18880
ko:K03499	mtuh:I917_18910
ko:K03499	mtuh:I917_18915
ko:K03709	mtuh:I917_19035
ko:K05794	mtuh:I917_19115
ko:K07067	mtuh:I917_25185
ko:K01507	mtuh:I917_25420
ko:K09153	mtuh:I917_25455
ko:K01784	mtuh:I917_25470
ko:K01664	mtuh:I917_00085
ko:K07031	mtuh:I917_00875
ko:K01104	mtuh:I917_01145
ko:K00666	mtuh:I917_01235
ko:K01259	mtuh:I917_05915
ko:K00626	mtuh:I917_06045
ko:K01782	mtuh:I917_06050
ko:K10843	mtuh:I917_06065
ko:K00088	mtuh:I917_13095
ko:K10533	mtuh:I917_19235
ko:K00619	mtuh:I917_19265
ko:K15582	mtuh:I917_25650
ko:K01243	mtuh:I917_00645
ko:K12949	mtuh:I917_00775
ko:K02067	mtuh:I917_01250
ko:K02067	mtuh:I917_01260
ko:K02067	mtuh:I917_01265
ko:K02067	mtuh:I917_01285
ko:K06860	mtuh:I917_01490
ko:K01596	mtuh:I917_01520
ko:K07048	mtuh:I917_01665
ko:K04750	mtuh:I917_06230
ko:K07655	mtuh:I917_06350
ko:K07671	mtuh:I917_06355
ko:K01962	mtuh:I917_06360
ko:K01963	mtuh:I917_06360
ko:K11159	mtuh:I917_06415
ko:K10563	mtuh:I917_06655
ko:K04093	mtuh:I917_06685
ko:K00626	mtuh:I917_13250
ko:K04093	mtuh:I917_13375
ko:K08178	mtuh:I917_13480
ko:K03709	mtuh:I917_19515
ko:K03177	mtuh:I917_19550
ko:K01692	mtuh:I917_19790
ko:K05816	mtuh:I917_19795
ko:K05815	mtuh:I917_19810
ko:K05814	mtuh:I917_19815
ko:K02342	mtuh:I917_26020
ko:K09966	mtuh:I917_26300
ko:K04517	mtuh:I917_26345
ko:K07669	mtuh:I917_06915
ko:K07653	mtuh:I917_06925
ko:K02004	mtuh:I917_06970
ko:K02067	mtuh:I917_13880
ko:K02067	mtuh:I917_13900
ko:K02067	mtuh:I917_13905
ko:K03404	mtuh:I917_19910
ko:K02348	mtuh:I917_19915
ko:K04652	mtuh:I917_19945
ko:K06976	mtuh:I917_20035
ko:K01426	mtuh:I917_20160
ko:K14953	mtuh:I917_26410
ko:K16653	mtuh:I917_26615
ko:K16652	mtuh:I917_26620
ko:K12437	mtuh:I917_26720
ko:K12428	mtuh:I917_26725
ko:K13687	mtuh:I917_26750
ko:K14136	mtuh:I917_26755
ko:K00666	mtuh:I917_07185
ko:K02428	mtuh:I917_07245
ko:K09009	mtuh:I917_07285
ko:K07672	mtuh:I917_07355
ko:K12953	mtuh:I917_14095
ko:K03294	mtuh:I917_14115
ko:K00038	mtuh:I917_14135
ko:K07258	mtuh:I917_20315
ko:K10563	mtuh:I917_20405
ko:K12441	mtuh:I917_20485
ko:K12427	mtuh:I917_20620
ko:K12430	mtuh:I917_20695
ko:K01854	mtuh:I917_26780
ko:K14952	mtuh:I917_26850
ko:K06994	mtuh:I917_26885
ko:K04518	mtuh:I917_26985
ko:K10215	mtuh:I917_27070
ko:K01692	mtuh:I917_07585
ko:K01692	mtuh:I917_07590
ko:K12503	mtuh:I917_07710
ko:K03922	mtuh:I917_07775
ko:K16045	mtuh:I917_07855
ko:K02025	mtuh:I917_14380
ko:K02077	mtuh:I917_14505
ko:K02075	mtuh:I917_14510
ko:K13540	mtuh:I917_14560
ko:K07030	mtuh:I917_20890
ko:K14941	mtuh:I917_20945
ko:K01885	mtuh:I917_21005
ko:K00058	mtuh:I917_21030
ko:K14743	mtuh:I917_27295
ko:K14743	mtuh:I917_27340
ko:K06346	mtuh:I917_27575
ko:K00033	mtuh:I917_07925
ko:K00626	mtuh:I917_08050
ko:K07052	mtuh:I917_08075
ko:K01692	mtuh:I917_08080
ko:K01796	mtuh:I917_08095
ko:K06994	mtuh:I917_08115
ko:K13669	mtuh:I917_08225
ko:K01724	mtuh:I917_08230
ko:K03574	mtuh:I917_08235
ko:K00374	mtuh:I917_08270
ko:K03727	mtuh:I917_14735
ko:K13570	mtuh:I917_14840
ko:K09764	mtuh:I917_14885
ko:K07442	mtuh:I917_14890
ko:K01523	mtuh:I917_14905
ko:K00548	mtuh:I917_14920
ko:K02433	mtuh:I917_21155
ko:K01692	mtuh:I917_21335
ko:K02274	mtuh:I917_21360
ko:K03647	mtuh:I917_21430
ko:K00135	mtuh:I917_01690
ko:K16648	mtuh:I917_01715
ko:K00059	mtuh:I917_01755
ko:K00626	mtuh:I917_01760
ko:K00666	mtuh:I917_01925
ko:K15525	mtuh:I917_08310
ko:K06994	mtuh:I917_08410
ko:K12423	mtuh:I917_08420
ko:K16148	mtuh:I917_08635
ko:K08981	mtuh:I917_08725
ko:K09167	mtuh:I917_08730
ko:K03593	mtuh:I917_08745
ko:K02025	mtuh:I917_08795
ko:K13671	mtuh:I917_15315
ko:K13668	mtuh:I917_15355
ko:K02342	mtuh:I917_15385
ko:K03889	mtuh:I917_15410
ko:K03890	mtuh:I917_15415
ko:K03891	mtuh:I917_15420
ko:K00856	mtuh:I917_15465
ko:K01835	mtuh:I917_21540
ko:K00121	mtuh:I917_21670
ko:K00803	mtuh:I917_21820
ko:K01724	mtuh:I917_21825
ko:K01011	mtuh:I917_21875
ko:K14743	mtuh:I917_02085
ko:K00598	mtuh:I917_02105
ko:K06147	mtuh:I917_09025
ko:K06147	mtuh:I917_09030
ko:K02033	mtuh:I917_09100
ko:K03386	mtuh:I917_15770
ko:K11609	mtuh:I917_15810
ko:K07491	mtuh:I917_21900
ko:K05602	mtuh:I917_22035
ko:K00274	mtuh:I917_22280
ko:K01426	mtuh:I917_22315
ko:K13640	mtuh:I917_02510
ko:K07161	mtuh:I917_02615
ko:K03518	mtuh:I917_02655
ko:K03519	mtuh:I917_02665
ko:K02851	mtuh:I917_09275
ko:K00567	mtuh:I917_09355
ko:K07503	mtuh:I917_09395
ko:K00700	mtuh:I917_09430
ko:K02428	mtuh:I917_09520
ko:K01909	mtuh:I917_09540
ko:K14698	mtuh:I917_09560
ko:K00059	mtuh:I917_09585
ko:K00389	mtuh:I917_16030
ko:K01011	mtuh:I917_16125
ko:K02025	mtuh:I917_16275
ko:K00819	mtuh:I917_16310
ko:K00819	mtuh:I917_16315
ko:K00027	mtuh:I917_16380
ko:K09118	mtuh:I917_22405
ko:K00508	mtuh:I917_22660
ko:K00966	mtuh:I917_22930
ko:K10112	mtuh:I917_08805
ko:K15911	mtuh:I917_23750
ko:K04787	mtuh:I917_16785
ko:K14955	mtuh:I917_09015
ko:K00344	mtuh:I917_10345
ko:K17836	mtuh:I917_14570
ko:K01130	mtuh:I917_05035
ko:K01130	mtuh:I917_04725
ko:K12574	mtuh:I917_19300
ko:K07684	mtuh:I917_05935
ko:K01840	mtuh:I917_23265
ko:K01239	mtuh:I917_23845
ko:K03767	mtuh:I917_00060
ko:K14956	mtuh:I917_27210
ko:K04757	mtuh:I917_23105
ko:K02026	mtuh:I917_14375
ko:K02026	mtuh:I917_08800
ko:K02026	mtuh:I917_16280
ko:K12431	mtuh:I917_26895
ko:K14337	mtuh:I917_15260
ko:K00020	mtuh:I917_05310
ko:K00128	mtuh:I917_23140
ko:K17811	mtuh:I917_23745
ko:K01496	mtuh:I917_11325
ko:K00606	mtuh:I917_15655
ko:K12422	mtuh:I917_00710
ko:K12424	mtuh:I917_20710
ko:K05898	mtuh:I917_24820
ko:K02027	mtuh:I917_16285
ko:K01187	mtuh:I917_17455
ko:K02031	mtuh:I917_09085
ko:K02032	mtuh:I917_09085
ko:K17947	mtuh:I917_03845
ko:K07493	mtuh:I917_24110
ko:K07064	mtuh:I917_25925
ko:K17883	mtuh:I917_19935
ko:K13572	mtuh:I917_14760
ko:K00249	mtuh:I917_06880
ko:K07001	mtuh:I917_26180
ko:K03217	mtuh:I917_27580
ko:K03520	mtuh:I917_02640
ko:K03520	mtuh:I917_02645
ko:K00897	mtuh:I917_26845
ko:K00104	mtuh:I917_16060
ko:K03719	mtuh:I917_23130
ko:K07068	mtuh:I917_24695
ko:K01243	mtuh:I917_16130
ko:K02805	mtuh:I917_10670
ko:K11159	mtuh:I917_04670
ko:K21688	mtuh:I917_07170
ko:K01154	mtuh:I917_19315
ko:K00728	mtuh:I917_07105
ko:K00728	mtuh:I917_07120
ko:K00135	mtuh:I917_12300
ko:K14728	mtuh:I917_20725
ko:K02874	mtuh:I917_05055
ko:K02881	mtuh:I917_05085
ko:K02876	mtuh:I917_05105
ko:K00074	mtuh:I917_12165
ko:K04073	mtuh:I917_24805
ko:K04073	mtuh:I917_24810
ko:K01114	mtuh:I917_12485
ko:K03635	mtuh:I917_06105
ko:K03639	mtuh:I917_06110
ko:K03704	mtuh:I917_06120
ko:K02471	mtuh:I917_12925
ko:K02471	mtuh:I917_12935
ko:K03189	mtuh:I917_13150
ko:K03405	mtuh:I917_06755
ko:K07052	mtuh:I917_13220
ko:K03782	mtuh:I917_13510
ko:K03782	mtuh:I917_13525
ko:K02600	mtuh:I917_19855
ko:K02600	mtuh:I917_19860
ko:K07001	mtuh:I917_26175
ko:K06937	mtuh:I917_26185
ko:K02469	mtuh:I917_00030
ko:K02004	mtuh:I917_06965
ko:K03424	mtuh:I917_07160
ko:K02067	mtuh:I917_13885
ko:K02484	mtuh:I917_26415
ko:K00817	mtuh:I917_26485
ko:K11385	mtuh:I917_26660
ko:K11386	mtuh:I917_26665
ko:K11386	mtuh:I917_26670
ko:K12437	mtuh:I917_26715
ko:K13687	mtuh:I917_26745
ko:K00600	mtuh:I917_00465
ko:K12949	mtuh:I917_00780
ko:K01689	mtuh:I917_07255
ko:K01689	mtuh:I917_07260
ko:K09009	mtuh:I917_07280
ko:K00666	mtuh:I917_07500
ko:K07001	mtuh:I917_07535
ko:K10563	mtuh:I917_20410
ko:K12441	mtuh:I917_20470
ko:K12441	mtuh:I917_20480
ko:K12430	mtuh:I917_20700
ko:K01126	mtuh:I917_27005
ko:K03271	mtuh:I917_00865
ko:K07304	mtuh:I917_01035
ko:K07304	mtuh:I917_01045
ko:K01104	mtuh:I917_01140
ko:K00324	mtuh:I917_01175
ko:K01692	mtuh:I917_07595
ko:K03820	mtuh:I917_14465
ko:K00595	mtuh:I917_14600
ko:K03655	mtuh:I917_20880
ko:K03655	mtuh:I917_20885
ko:K03648	mtuh:I917_20895
ko:K01703	mtuh:I917_20980
ko:K01885	mtuh:I917_21000
ko:K00970	mtuh:I917_27475
ko:K02067	mtuh:I917_01255
ko:K01720	mtuh:I917_07990
ko:K12410	mtuh:I917_08165
ko:K12410	mtuh:I917_08170
ko:K00370	mtuh:I917_08240
ko:K00548	mtuh:I917_14925
ko:K06910	mtuh:I917_15040
ko:K01079	mtuh:I917_21350
ko:K01079	mtuh:I917_21355
ko:K00294	mtuh:I917_08430
ko:K06978	mtuh:I917_08655
ko:K03284	mtuh:I917_08810
ko:K14337	mtuh:I917_15265
ko:K01626	mtuh:I917_15300
ko:K01897	mtuh:I917_15345
ko:K02342	mtuh:I917_15380
ko:K09781	mtuh:I917_21725
ko:K09781	mtuh:I917_21730
ko:K07238	mtuh:I917_02285
ko:K02031	mtuh:I917_09090
ko:K02032	mtuh:I917_09090
ko:K01887	mtuh:I917_09180
ko:K02493	mtuh:I917_09265
ko:K00658	mtuh:I917_15570
ko:K09990	mtuh:I917_15670
ko:K01104	mtuh:I917_15730
ko:K01104	mtuh:I917_15735
ko:K01939	mtuh:I917_02550
ko:K03519	mtuh:I917_02660
ko:K09165	mtuh:I917_02685
ko:K06889	mtuh:I917_16220
ko:K03568	mtuh:I917_16270
ko:K00027	mtuh:I917_16385
ko:K03153	mtuh:I917_02970
ko:K01462	mtuh:I917_03095
ko:K17103	mtuh:I917_03140
ko:K00574	mtuh:I917_03375
ko:K01114	mtuh:I917_16510
ko:K04792	mtuh:I917_16725
ko:K04789	mtuh:I917_16750
ko:K03455	mtuh:I917_22690
ko:K07654	mtuh:I917_22790
ko:K07654	mtuh:I917_22795
ko:K16870	mtuh:I917_22935
ko:K03524	mtuh:I917_23050
ko:K06895	mtuh:I917_03500
ko:K01834	mtuh:I917_03510
ko:K00286	mtuh:I917_03595
ko:K06994	mtuh:I917_03655
ko:K06994	mtuh:I917_03660
ko:K01692	mtuh:I917_10445
ko:K03924	mtuh:I917_10510
ko:K03386	mtuh:I917_17140
ko:K00128	mtuh:I917_23145
ko:K00382	mtuh:I917_23230
ko:K00382	mtuh:I917_23235
ko:K00240	mtuh:I917_23345
ko:K01867	mtuh:I917_23420
ko:K00666	mtuh:I917_03940
ko:K07114	mtuh:I917_10520
ko:K06994	mtuh:I917_10785
ko:K12433	mtuh:I917_10810
ko:K12433	mtuh:I917_10815
ko:K12433	mtuh:I917_10820
ko:K00174	mtuh:I917_17325
ko:K03544	mtuh:I917_17345
ko:K03545	mtuh:I917_17380
ko:K01187	mtuh:I917_17450
ko:K00631	mtuh:I917_17505
ko:K03216	mtuh:I917_23665
ko:K02067	mtuh:I917_04235
ko:K02067	mtuh:I917_04240
ko:K02067	mtuh:I917_04245
ko:K01644	mtuh:I917_17635
ko:K00666	mtuh:I917_17685
ko:K06902	mtuh:I917_17700
ko:K11533	mtuh:I917_17810
ko:K07447	mtuh:I917_18035
ko:K03088	mtuh:I917_24000
ko:K01775	mtuh:I917_24045
ko:K14743	mtuh:I917_24250
ko:K01130	mtuh:I917_04720
ko:K02003	mtuh:I917_18090
ko:K01876	mtuh:I917_18155
ko:K07054	mtuh:I917_18180
ko:K01868	mtuh:I917_18460
ko:K00697	mtuh:I917_24490
ko:K02067	mtuh:I917_01270
ko:K18481	mtuh:I917_24510
ko:K18481	mtuh:I917_13925
ko:K18481	mtuh:I917_09670
ko:K18481	mtuh:I917_24505
ko:K18481	mtuh:I917_09665
ko:K18481	mtuh:I917_13930
ko:K18481	mtuh:I917_16850
ko:K18481	mtuh:I917_01290
ko:K18481	mtuh:I917_01295
ko:K18481	mtuh:I917_01300
ko:K18455	mtuh:I917_07680
ko:K18472	mtuh:I917_15825
ko:K03574	mtuh:I917_20960
ko:K22311	mtuh:I917_18425
ko:K18554	mtuh:I917_18595
ko:K18688	mtuh:I917_24660
ko:K12429	mtuh:I917_08490
ko:K07485	mtuh:I917_09340
ko:K18687	mtuh:I917_24990
ko:K01990	mtuh:I917_26560
ko:K01992	mtuh:I917_26575
ko:K07171	mtuh:I917_21765
ko:K18913	mtuh:I917_25945
ko:K18851	mtuh:I917_00980
ko:K07171	mtuh:I917_14545
ko:K18917	mtuh:I917_22450
ko:K18923	mtuh:I917_08740
ko:K18955	mtuh:I917_24010
ko:K07171	mtuh:I917_18645
ko:K07171	mtuh:I917_10630
ko:K07171	mtuh:I917_14045
ko:K18955	mtuh:I917_22585
ko:K07481	mtuh:I917_07370
ko:K07171	mtuh:I917_19600
ko:K18851	mtuh:I917_26740
ko:K18851	mtuh:I917_13380
ko:K01971	mtuh:I917_06615
ko:K18894	mtuh:I917_01385
ko:K18955	mtuh:I917_25775
ko:K18912	mtuh:I917_25965
ko:K03496	mtuh:I917_12120
ko:K03111	mtuh:I917_00345
ko:K03497	mtuh:I917_27560
ko:K03496	mtuh:I917_27565
ko:K03496	mtuh:I917_22555
ko:K04565	mtuh:I917_03110
ko:K03111	mtuh:I917_17500
ko:K07482	mtuh:I917_22390
ko:K07492	mtuh:I917_07415
ko:K07496	mtuh:I917_19535
ko:K07496	mtuh:I917_26915
ko:K03325	mtuh:I917_18635
ko:K03741	mtuh:I917_18635
ko:K07481	mtuh:I917_20780
ko:K07481	mtuh:I917_23790
ko:K03822	mtuh:I917_11960
ko:K07064	mtuh:I917_18360
ko:K03761	mtuh:I917_24400
ko:K07497	mtuh:I917_05640
ko:K07497	mtuh:I917_12490
ko:K07497	mtuh:I917_19685
ko:K07497	mtuh:I917_24395
ko:K07064	mtuh:I917_01745
ko:K00001	mtuh:I917_01215
ko:K00001	mtuh:I917_10840
ko:K02113	mtuh:I917_09300
ko:K02109	mtuh:I917_09300
ko:K07496	mtuh:I917_06490
ko:K01822	mtuh:I917_05390
ko:K01046	mtuh:I917_21755
ko:K01768	mtuh:I917_09380
ko:K01436	mtuh:I917_23250
ko:K03892	mtuh:I917_18630
ko:K07064	mtuh:I917_17880
ko:K07064	mtuh:I917_23780
ko:K16191	mtuh:I917_06335
ko:K02483	mtuh:I917_05375
ko:K00344	mtuh:I917_01120
ko:K13670	mtuh:I917_10655
ko:K16193	mtuh:I917_06345
ko:K02483	mtuh:I917_26430
ko:K08095	mtuh:I917_13990
ko:K03976	mtuh:I917_22625
ko:K08095	mtuh:I917_24265
ko:K07481	mtuh:I917_07375
ko:K07483	mtuh:I917_05635
ko:K07483	mtuh:I917_12495
ko:K07483	mtuh:I917_19690
ko:K07483	mtuh:I917_24390
ko:K07493	mtuh:I917_07435
ko:K07493	mtuh:I917_21225
ko:K07493	mtuh:I917_21855
ko:K00370	mtuh:I917_12340
ko:K03526	mtuh:I917_20040
ko:K07493	mtuh:I917_08525
ko:K07493	mtuh:I917_17730
ko:K07746	mtuh:I917_13820
ko:K19092	mtuh:I917_13815
ko:K19139	mtuh:I917_19715
ko:K19140	mtuh:I917_19710
ko:K00273	mtuh:I917_13495
ko:K19221	mtuh:I917_19905
ko:K19159	mtuh:I917_23605
ko:K19138	mtuh:I917_19730
ko:K16192	mtuh:I917_06340
ko:K06893	mtuh:I917_00220
ko:K06893	mtuh:I917_01075
ko:K07064	mtuh:I917_04710
ko:K07064	mtuh:I917_20060
ko:K19093	mtuh:I917_15055
ko:K00798	mtuh:I917_09345
ko:K19158	mtuh:I917_23610
ko:K07064	mtuh:I917_01975
ko:K07064	mtuh:I917_04400
ko:K01865	mtuh:I917_21620
ko:K01710	mtuh:I917_24335
ko:K09951	mtuh:I917_19695
ko:K00135	mtuh:I917_12295
ko:K07064	mtuh:I917_05295
ko:K07064	mtuh:I917_08825
ko:K07064	mtuh:I917_13065
ko:K07064	mtuh:I917_13835
ko:K07064	mtuh:I917_22345
ko:K16233	mtuh:I917_09720
ko:K14215	mtuh:I917_16605
ko:K19094	mtuh:I917_15060
ko:K12349	mtuh:I917_04770
ko:K08095	mtuh:I917_24270
ko:K12952	mtuh:I917_06370
ko:K12952	mtuh:I917_06375
ko:K07496	mtuh:I917_05845
ko:K07496	mtuh:I917_20140
ko:K07496	mtuh:I917_20145
ko:K01992	mtuh:I917_11975
ko:K07485	mtuh:I917_26700
ko:K17840	mtuh:I917_01870
ko:K19311	mtuh:I917_22500
ko:K01267	mtuh:I917_05660
ko:K07492	mtuh:I917_07420
ko:K07068	mtuh:I917_24855
ko:K07497	mtuh:I917_26475
ko:K07068	mtuh:I917_11480
ko:K07496	mtuh:I917_04340
ko:K21310	mtuh:I917_22710
ko:K15856	mtuh:I917_00860
ko:K07098	mtuh:I917_25800
ko:K07064	mtuh:I917_19995
ko:K19686	mtuh:I917_04350
ko:K07064	mtuh:I917_17605
ko:K19686	mtuh:I917_04450
ko:K19687	mtuh:I917_04445
ko:K19710	mtuh:I917_18440
ko:K07064	mtuh:I917_23350
ko:K19687	mtuh:I917_04345
ko:K19686	mtuh:I917_13980
ko:K19686	mtuh:I917_12370
ko:K03929	mtuh:I917_07845
ko:K07682	mtuh:I917_22000
ko:K20814	mtuh:I917_14850
ko:K12132	mtuh:I917_00090
ko:K07054	mtuh:I917_03010
ko:K07054	mtuh:I917_03015
ko:K00632	mtuh:I917_19530
ko:K12132	mtuh:I917_00100
ko:K12132	mtuh:I917_00095
ko:K20074	mtuh:I917_00120
ko:K12132	mtuh:I917_14710
ko:K20467	mtuh:I917_01465
ko:K22552	mtuh:I917_05950
ko:K03636	mtuh:I917_09485
ko:K20497	mtuh:I917_15990
ko:K20470	mtuh:I917_01485
ko:K20469	mtuh:I917_01480
ko:K07695	mtuh:I917_22010
ko:K19686	mtuh:I917_19335
ko:K01179	mtuh:I917_07745
ko:K01179	mtuh:I917_07750
ko:K01179	mtuh:I917_00400
ko:K01214	mtuh:I917_11075
ko:K07100	mtuh:I917_04075
ko:K07100	mtuh:I917_15065
ko:K20814	mtuh:I917_14855
ko:K21059	mtuh:I917_20720
ko:K01768	mtuh:I917_11465
ko:K01768	mtuh:I917_08985
ko:K01768	mtuh:I917_25530
ko:K21014	mtuh:I917_02110
ko:K00821	mtuh:I917_11715
ko:K21119	mtuh:I917_08920
ko:K21147	mtuh:I917_22515
ko:K21142	mtuh:I917_21885
ko:K21199	mtuh:I917_16010
ko:K21140	mtuh:I917_09480
ko:K00526	mtuh:I917_21390
ko:K00526	mtuh:I917_01685
ko:K00526	mtuh:I917_13975
ko:K06904	mtuh:I917_18675
ko:K06904	mtuh:I917_11150
ko:K06919	mtuh:I917_11175
ko:K07465	mtuh:I917_14895
ko:K02316	mtuh:I917_16455
ko:K02316	mtuh:I917_16460
ko:K06217	mtuh:I917_16645
ko:K01520	mtuh:I917_18945
ko:K03553	mtuh:I917_19190
ko:K03553	mtuh:I917_19195
ko:K03465	mtuh:I917_19310
ko:K00287	mtuh:I917_19365
ko:K00560	mtuh:I917_19370
ko:K00525	mtuh:I917_21425
ko:K06191	mtuh:I917_21435
ko:K02314	mtuh:I917_00365
ko:K02314	mtuh:I917_00370
ko:K02314	mtuh:I917_00375
ko:K08884	mtuh:I917_12400
ko:K21142	mtuh:I917_23365
ko:K00525	mtuh:I917_21420
ko:K21302	mtuh:I917_23275
ko:K22468	mtuh:I917_22675
ko:K00249	mtuh:I917_00990
ko:K05375	mtuh:I917_16705
ko:K07133	mtuh:I917_23150
ko:K21200	mtuh:I917_12630
ko:K21199	mtuh:I917_16005
ko:K21401	mtuh:I917_04010
ko:K21473	mtuh:I917_10500
ko:K03651	mtuh:I917_05690
ko:K21474	mtuh:I917_10505
ko:K02483	mtuh:I917_26435
ko:K21600	mtuh:I917_06815
ko:K21600	mtuh:I917_01360
ko:K10914	mtuh:I917_25740
ko:K21608	mtuh:I917_05955
ko:K21691	mtuh:I917_17305
ko:K21689	mtuh:I917_13370
ko:K21690	mtuh:I917_16845
ko:K21884	mtuh:I917_11910
ko:K21885	mtuh:I917_14070
ko:K21886	mtuh:I917_26295
ko:K21929	mtuh:I917_08945
ko:K21961	mtuh:I917_27075
ko:K21992	mtuh:I917_09555
ko:K21962	mtuh:I917_10475
ko:K00936	mtuh:I917_22590
ko:K22010	mtuh:I917_11470
ko:K22044	mtuh:I917_21800
ko:K22107	mtuh:I917_25105
ko:K12436	mtuh:I917_14440
ko:K12436	mtuh:I917_14445
ko:K16048	mtuh:I917_25055
ko:K17758	mtuh:I917_24125
ko:K17759	mtuh:I917_24125
ko:K22297	mtuh:I917_13530
ko:K22306	mtuh:I917_17075
ko:K02257	mtuh:I917_10315
ko:K22336	mtuh:I917_27000
ko:K01563	mtuh:I917_18205
ko:K19302	mtuh:I917_02215
ko:K13775	mtuh:I917_22615
ko:K01934	mtuh:I917_07010
ko:K00721	mtuh:I917_14460
ko:K21495	mtuh:I917_13790
ko:K18688	mtuh:I917_24650
ko:K22295	mtuh:I917_23930
ko:K22298	mtuh:I917_16590
ko:K01551	mtuh:I917_15330
ko:K22303	mtuh:I917_23935
ko:K03181	mtuh:I917_20715
ko:K11206	mtuh:I917_03445
ko:K07141	mtuh:I917_02445
ko:K07566	mtuh:I917_09270
ko:K00728	mtuh:I917_07110
ko:K22476	mtuh:I917_03090
