ko:K01006	lmog:BN389_18920
ko:K03639	lmog:BN389_10780
ko:K03638	lmog:BN389_10790
ko:K01462	lmog:BN389_10820
ko:K00161	lmog:BN389_10830
ko:K00162	lmog:BN389_10840
ko:K00627	lmog:BN389_10850
ko:K00382	lmog:BN389_10870
ko:K03284	lmog:BN389_10930
ko:K06207	lmog:BN389_10960
ko:K01358	lmog:BN389_11580
ko:K02304	lmog:BN389_11600
ko:K04031	lmog:BN389_11630
ko:K04029	lmog:BN389_11640
ko:K02231	lmog:BN389_11660
ko:K02233	lmog:BN389_11670
ko:K13919	lmog:BN389_11730
ko:K13920	lmog:BN389_11740
ko:K04024	lmog:BN389_11800
ko:K13922	lmog:BN389_11840
ko:K03816	lmog:BN389_19100
ko:K07444	lmog:BN389_19120
ko:K05366	lmog:BN389_19170
ko:K10773	lmog:BN389_19190
ko:K01893	lmog:BN389_19210
ko:K00812	lmog:BN389_19220
ko:K01579	lmog:BN389_19250
ko:K01918	lmog:BN389_19260
ko:K00606	lmog:BN389_19270
ko:K01735	lmog:BN389_19520
ko:K01736	lmog:BN389_19530
ko:K00940	lmog:BN389_19540
ko:K03183	lmog:BN389_19560
ko:K01495	lmog:BN389_19580
ko:K00057	lmog:BN389_19610
ko:K03977	lmog:BN389_19620
ko:K02945	lmog:BN389_19630
ko:K00945	lmog:BN389_19640
ko:K03654	lmog:BN389_19670
ko:K07651	lmog:BN389_19720
ko:K07775	lmog:BN389_19730
ko:K00036	lmog:BN389_19970
ko:K01687	lmog:BN389_20010
ko:K01652	lmog:BN389_20020
ko:K01653	lmog:BN389_20030
ko:K00053	lmog:BN389_20040
ko:K01649	lmog:BN389_20050
ko:K00052	lmog:BN389_20060
ko:K01703	lmog:BN389_20070
ko:K01704	lmog:BN389_20080
ko:K01754	lmog:BN389_20090
ko:K01575	lmog:BN389_20100
ko:K00756	lmog:BN389_20110
ko:K02529	lmog:BN389_20120
ko:K05346	lmog:BN389_20140
ko:K00767	lmog:BN389_20440
ko:K03517	lmog:BN389_20450
ko:K02221	lmog:BN389_20570
ko:K09772	lmog:BN389_20580
ko:K06997	lmog:BN389_20590
ko:K03531	lmog:BN389_20600
ko:K03590	lmog:BN389_20610
ko:K03589	lmog:BN389_20620
ko:K02563	lmog:BN389_20630
ko:K01925	lmog:BN389_20640
ko:K01000	lmog:BN389_20650
ko:K01928	lmog:BN389_20660
ko:K01940	lmog:BN389_21190
ko:K01755	lmog:BN389_21200
ko:K01628	lmog:BN389_21230
ko:K02774	lmog:BN389_21260
ko:K02773	lmog:BN389_21270
ko:K06215	lmog:BN389_21310
ko:K08681	lmog:BN389_21320
ko:K04758	lmog:BN389_21340
ko:K04759	lmog:BN389_21350
ko:K01443	lmog:BN389_21390
ko:K01809	lmog:BN389_21410
ko:K02440	lmog:BN389_11860
ko:K00925	lmog:BN389_11870
ko:K16651	lmog:BN389_11890
ko:K04019	lmog:BN389_11930
ko:K03735	lmog:BN389_11940
ko:K03736	lmog:BN389_11950
ko:K04026	lmog:BN389_11960
ko:K02347	lmog:BN389_12490
ko:K07456	lmog:BN389_12500
ko:K03671	lmog:BN389_12510
ko:K03703	lmog:BN389_12520
ko:K00928	lmog:BN389_12530
ko:K01776	lmog:BN389_12550
ko:K00989	lmog:BN389_12560
ko:K07095	lmog:BN389_12580
ko:K02818	lmog:BN389_12800
ko:K02819	lmog:BN389_12800
ko:K00147	lmog:BN389_12840
ko:K00931	lmog:BN389_12850
ko:K03545	lmog:BN389_12920
ko:K03544	lmog:BN389_12930
ko:K03100	lmog:BN389_12940
ko:K03100	lmog:BN389_12950
ko:K03100	lmog:BN389_12960
ko:K14540	lmog:BN389_12970
ko:K11749	lmog:BN389_13420
ko:K01881	lmog:BN389_13430
ko:K03763	lmog:BN389_13440
ko:K09748	lmog:BN389_13450
ko:K02600	lmog:BN389_13460
ko:K07742	lmog:BN389_13470
ko:K02519	lmog:BN389_13490
ko:K02834	lmog:BN389_13510
ko:K11753	lmog:BN389_13530
ko:K02956	lmog:BN389_13540
ko:K00962	lmog:BN389_13550
ko:K06949	lmog:BN389_13560
ko:K02913	lmog:BN389_13590
ko:K02247	lmog:BN389_13670
ko:K00382	lmog:BN389_13950
ko:K00166	lmog:BN389_13960
ko:K00167	lmog:BN389_13970
ko:K09699	lmog:BN389_13980
ko:K03217	lmog:BN389_14040
ko:K01512	lmog:BN389_14060
ko:K07146	lmog:BN389_14090
ko:K03466	lmog:BN389_14110
ko:K00286	lmog:BN389_14120
ko:K07335	lmog:BN389_14130
ko:K02057	lmog:BN389_14150
ko:K02057	lmog:BN389_14160
ko:K00075	lmog:BN389_14460
ko:K05847	lmog:BN389_14470
ko:K03322	lmog:BN389_14500
ko:K05846	lmog:BN389_14510
ko:K05845	lmog:BN389_14520
ko:K05846	lmog:BN389_14530
ko:K05847	lmog:BN389_14540
ko:K01714	lmog:BN389_14610
ko:K00928	lmog:BN389_14620
ko:K00133	lmog:BN389_14630
ko:K04564	lmog:BN389_14650
ko:K07037	lmog:BN389_14910
ko:K09117	lmog:BN389_14930
ko:K02970	lmog:BN389_14940
ko:K09761	lmog:BN389_14950
ko:K02687	lmog:BN389_14960
ko:K03686	lmog:BN389_14970
ko:K04043	lmog:BN389_14980
ko:K03687	lmog:BN389_14990
ko:K03705	lmog:BN389_15000
ko:K03596	lmog:BN389_15040
ko:K02968	lmog:BN389_15050
ko:K02340	lmog:BN389_15060
ko:K02237	lmog:BN389_15090
ko:K09710	lmog:BN389_15110
ko:K00969	lmog:BN389_15130
ko:K07574	lmog:BN389_15140
ko:K00014	lmog:BN389_15150
ko:K02888	lmog:BN389_15670
ko:K08301	lmog:BN389_15680
ko:K03609	lmog:BN389_15690
ko:K03610	lmog:BN389_15700
ko:K03571	lmog:BN389_15710
ko:K03570	lmog:BN389_15720
ko:K03569	lmog:BN389_15730
ko:K03630	lmog:BN389_15740
ko:K11754	lmog:BN389_15760
ko:K01873	lmog:BN389_15770
ko:K01845	lmog:BN389_15780
ko:K01698	lmog:BN389_15790
ko:K01749	lmog:BN389_15810
ko:K02492	lmog:BN389_15820
ko:K03978	lmog:BN389_15830
ko:K01868	lmog:BN389_15840
ko:K07738	lmog:BN389_15870
ko:K00859	lmog:BN389_15880
ko:K06187	lmog:BN389_26710
ko:K09747	lmog:BN389_26720
ko:K02343	lmog:BN389_26730
ko:K02761	lmog:BN389_26770
ko:K00426	lmog:BN389_26860
ko:K00425	lmog:BN389_26870
ko:K01895	lmog:BN389_26890
ko:K02768	lmog:BN389_27080
ko:K02769	lmog:BN389_27080
ko:K02770	lmog:BN389_27080
ko:K00865	lmog:BN389_27110
ko:K02034	lmog:BN389_01560
ko:K09817	lmog:BN389_01710
ko:K09816	lmog:BN389_01720
ko:K02341	lmog:BN389_01790
ko:K07461	lmog:BN389_01830
ko:K07056	lmog:BN389_01840
ko:K06284	lmog:BN389_01850
ko:K05340	lmog:BN389_01860
ko:K01874	lmog:BN389_01900
ko:K03424	lmog:BN389_01980
ko:K05985	lmog:BN389_02000
ko:K02528	lmog:BN389_02010
ko:K00919	lmog:BN389_02030
ko:K02003	lmog:BN389_02070
ko:K03696	lmog:BN389_02470
ko:K04485	lmog:BN389_02480
ko:K00991	lmog:BN389_02500
ko:K01770	lmog:BN389_02510
ko:K00640	lmog:BN389_02530
ko:K01883	lmog:BN389_02540
ko:K11145	lmog:BN389_02550
ko:K03218	lmog:BN389_02560
ko:K06962	lmog:BN389_02570
ko:K03091	lmog:BN389_02580
ko:K02913	lmog:BN389_02590
ko:K03073	lmog:BN389_02600
ko:K02601	lmog:BN389_02610
ko:K02867	lmog:BN389_02630
ko:K02863	lmog:BN389_02640
ko:K02864	lmog:BN389_02650
ko:K02935	lmog:BN389_02660
ko:K15771	lmog:BN389_02710
ko:K15772	lmog:BN389_02720
ko:K00690	lmog:BN389_02740
ko:K03043	lmog:BN389_02750
ko:K03046	lmog:BN389_02760
ko:K01223	lmog:BN389_02780
ko:K15975	lmog:BN389_02890
ko:K02034	lmog:BN389_02910
ko:K00657	lmog:BN389_23660
ko:K04488	lmog:BN389_23750
ko:K06023	lmog:BN389_24460
ko:K02242	lmog:BN389_24750
ko:K02240	lmog:BN389_24760
ko:K07692	lmog:BN389_24780
ko:K02851	lmog:BN389_24820
ko:K02549	lmog:BN389_24830
ko:K02035	lmog:BN389_25310
ko:K03491	lmog:BN389_27640
ko:K02798	lmog:BN389_27740
ko:K02799	lmog:BN389_27760
ko:K02800	lmog:BN389_27760
ko:K01788	lmog:BN389_27780
ko:K02114	lmog:BN389_24900
ko:K02112	lmog:BN389_24910
ko:K02115	lmog:BN389_24920
ko:K02111	lmog:BN389_24930
ko:K02113	lmog:BN389_24940
ko:K02109	lmog:BN389_24950
ko:K02110	lmog:BN389_24960
ko:K02108	lmog:BN389_24970
ko:K00761	lmog:BN389_25000
ko:K00600	lmog:BN389_25010
ko:K02493	lmog:BN389_25040
ko:K02835	lmog:BN389_25050
ko:K02379	lmog:BN389_25440
ko:K00123	lmog:BN389_25460
ko:K00059	lmog:BN389_27960
ko:K00058	lmog:BN389_28060
ko:K04844	lmog:BN389_28150
ko:K02025	lmog:BN389_28200
ko:K01629	lmog:BN389_28280
ko:K01813	lmog:BN389_28290
ko:K06610	lmog:BN389_28310
ko:K06346	lmog:BN389_28340
ko:K02793	lmog:BN389_01140
ko:K02794	lmog:BN389_01140
ko:K02795	lmog:BN389_01150
ko:K06147	lmog:BN389_01260
ko:K06147	lmog:BN389_01270
ko:K01081	lmog:BN389_01490
ko:K00088	lmog:BN389_01510
ko:K01426	lmog:BN389_25630
ko:K00939	lmog:BN389_25710
ko:K00805	lmog:BN389_26000
ko:K00805	lmog:BN389_26010
ko:K01470	lmog:BN389_26060
ko:K07048	lmog:BN389_26070
ko:K03475	lmog:BN389_26080
ko:K02822	lmog:BN389_26090
ko:K02775	lmog:BN389_26310
ko:K00016	lmog:BN389_15590
ko:K04518	lmog:BN389_15610
ko:K07584	lmog:BN389_15660
ko:K06286	lmog:BN389_16190
ko:K19975	lmog:BN389_18720
ko:K02025	lmog:BN389_17580
ko:K01258	lmog:BN389_18070
ko:K02823	lmog:BN389_18590
ko:K02824	lmog:BN389_18640
ko:K07213	lmog:BN389_18770
ko:K03784	lmog:BN389_18810
ko:K03700	lmog:BN389_19160
ko:K02086	lmog:BN389_19200
ko:K00805	lmog:BN389_19550
ko:K00805	lmog:BN389_19570
ko:K01104	lmog:BN389_19600
ko:K01424	lmog:BN389_19650
ko:K00784	lmog:BN389_19960
ko:K01619	lmog:BN389_20130
ko:K02793	lmog:BN389_20150
ko:K08724	lmog:BN389_20670
ko:K05020	lmog:BN389_21210
ko:K00882	lmog:BN389_21240
ko:K02775	lmog:BN389_21250
ko:K00625	lmog:BN389_21330
ko:K07098	lmog:BN389_21370
ko:K09825	lmog:BN389_17110
ko:K07586	lmog:BN389_17150
ko:K09963	lmog:BN389_17450
ko:K02116	lmog:BN389_24980
ko:K02004	lmog:BN389_25410
ko:K19973	lmog:BN389_18740
ko:K01222	lmog:BN389_05590
ko:K01222	lmog:BN389_05730
ko:K01635	lmog:BN389_05760
ko:K02782	lmog:BN389_05800
ko:K02783	lmog:BN389_05800
ko:K02783	lmog:BN389_05810
ko:K07404	lmog:BN389_05950
ko:K01523	lmog:BN389_05980
ko:K01496	lmog:BN389_05990
ko:K07025	lmog:BN389_06720
ko:K03294	lmog:BN389_06830
ko:K07104	lmog:BN389_06850
ko:K07457	lmog:BN389_06980
ko:K00158	lmog:BN389_07680
ko:K03406	lmog:BN389_07690
ko:K07098	lmog:BN389_07960
ko:K02795	lmog:BN389_08080
ko:K02793	lmog:BN389_08100
ko:K03976	lmog:BN389_08170
ko:K03316	lmog:BN389_08300
ko:K11072	lmog:BN389_08340
ko:K11071	lmog:BN389_08350
ko:K11069	lmog:BN389_08370
ko:K01674	lmog:BN389_08380
ko:K02371	lmog:BN389_08410
ko:K00054	lmog:BN389_08550
ko:K09167	lmog:BN389_09110
ko:K08981	lmog:BN389_09120
ko:K07315	lmog:BN389_09210
ko:K03090	lmog:BN389_09240
ko:K05518	lmog:BN389_09250
ko:K03095	lmog:BN389_09280
ko:K03492	lmog:BN389_09330
ko:K00383	lmog:BN389_09370
ko:K00135	lmog:BN389_09440
ko:K03491	lmog:BN389_09490
ko:K00867	lmog:BN389_09530
ko:K00567	lmog:BN389_10270
ko:K03697	lmog:BN389_10280
ko:K07052	lmog:BN389_10290
ko:K11189	lmog:BN389_10330
ko:K08483	lmog:BN389_10340
ko:K00841	lmog:BN389_10370
ko:K05822	lmog:BN389_10420
ko:K06201	lmog:BN389_10500
ko:K01958	lmog:BN389_11010
ko:K09693	lmog:BN389_11040
ko:K01916	lmog:BN389_11200
ko:K06889	lmog:BN389_11460
ko:K03399	lmog:BN389_12130
ko:K02190	lmog:BN389_12200
ko:K02009	lmog:BN389_12230
ko:K02004	lmog:BN389_12420
ko:K06994	lmog:BN389_12440
ko:K03471	lmog:BN389_12460
ko:K09787	lmog:BN389_18280
ko:K00059	lmog:BN389_18330
ko:K03810	lmog:BN389_18830
ko:K07305	lmog:BN389_18840
ko:K07304	lmog:BN389_18850
ko:K03469	lmog:BN389_19050
ko:K00974	lmog:BN389_19300
ko:K00027	lmog:BN389_19400
ko:K04517	lmog:BN389_19490
ko:K03783	lmog:BN389_19780
ko:K04763	lmog:BN389_19800
ko:K03711	lmog:BN389_19810
ko:K01515	lmog:BN389_19910
ko:K07720	lmog:BN389_20290
ko:K09704	lmog:BN389_20320
ko:K01191	lmog:BN389_20330
ko:K01191	lmog:BN389_20350
ko:K07105	lmog:BN389_20410
ko:K08152	lmog:BN389_20710
ko:K07177	lmog:BN389_20790
ko:K02004	lmog:BN389_21460
ko:K00691	lmog:BN389_21540
ko:K15770	lmog:BN389_21580
ko:K07052	lmog:BN389_21600
ko:K01759	lmog:BN389_22010
ko:K01026	lmog:BN389_22050
ko:K06976	lmog:BN389_22420
ko:K07533	lmog:BN389_22520
ko:K03698	lmog:BN389_22530
ko:K01679	lmog:BN389_22580
ko:K12555	lmog:BN389_22610
ko:K06889	lmog:BN389_22920
ko:K00882	lmog:BN389_23030
ko:K03436	lmog:BN389_23040
ko:K01372	lmog:BN389_23050
ko:K16329	lmog:BN389_23070
ko:K06183	lmog:BN389_23090
ko:K07570	lmog:BN389_23340
ko:K02004	lmog:BN389_23360
ko:K00657	lmog:BN389_00090
ko:K00869	lmog:BN389_00110
ko:K01597	lmog:BN389_00120
ko:K00938	lmog:BN389_00130
ko:K02793	lmog:BN389_00250
ko:K02795	lmog:BN389_00270
ko:K06201	lmog:BN389_00300
ko:K02755	lmog:BN389_00310
ko:K02756	lmog:BN389_00310
ko:K02757	lmog:BN389_00310
ko:K06147	lmog:BN389_08650
ko:K07784	lmog:BN389_08660
ko:K01426	lmog:BN389_08770
ko:K02025	lmog:BN389_08880
ko:K01226	lmog:BN389_08900
ko:K01104	lmog:BN389_09680
ko:K02564	lmog:BN389_09860
ko:K02851	lmog:BN389_09890
ko:K07816	lmog:BN389_09970
ko:K11617	lmog:BN389_10530
ko:K11618	lmog:BN389_10540
ko:K03499	lmog:BN389_10550
ko:K02755	lmog:BN389_10670
ko:K02756	lmog:BN389_10670
ko:K02757	lmog:BN389_10670
ko:K02017	lmog:BN389_10700
ko:K03635	lmog:BN389_10750
ko:K01092	lmog:BN389_10950
ko:K13921	lmog:BN389_11850
ko:K04720	lmog:BN389_11880
ko:K02428	lmog:BN389_12570
ko:K03486	lmog:BN389_12780
ko:K01226	lmog:BN389_12790
ko:K09764	lmog:BN389_13500
ko:K03177	lmog:BN389_13520
ko:K01934	lmog:BN389_13600
ko:K00845	lmog:BN389_13630
ko:K02249	lmog:BN389_13650
ko:K02248	lmog:BN389_13660
ko:K02246	lmog:BN389_13680
ko:K00929	lmog:BN389_13940
ko:K00033	lmog:BN389_14010
ko:K01823	lmog:BN389_14080
ko:K02056	lmog:BN389_14140
ko:K05845	lmog:BN389_14480
ko:K05846	lmog:BN389_14480
ko:K00383	lmog:BN389_14590
ko:K02238	lmog:BN389_15070
ko:K07052	lmog:BN389_20990
ko:K06889	lmog:BN389_21030
ko:K01409	lmog:BN389_21040
ko:K07035	lmog:BN389_21780
ko:K06198	lmog:BN389_22230
ko:K16509	lmog:BN389_22250
ko:K15583	lmog:BN389_22260
ko:K15582	lmog:BN389_22270
ko:K02564	lmog:BN389_23240
ko:K01580	lmog:BN389_23290
ko:K03768	lmog:BN389_23430
ko:K05565	lmog:BN389_23450
ko:K05568	lmog:BN389_23480
ko:K05570	lmog:BN389_23500
ko:K01580	lmog:BN389_23960
ko:K03488	lmog:BN389_23980
ko:K07032	lmog:BN389_23990
ko:K06994	lmog:BN389_24260
ko:K09762	lmog:BN389_24350
ko:K01835	lmog:BN389_24380
ko:K01785	lmog:BN389_24390
ko:K01784	lmog:BN389_24400
ko:K07658	lmog:BN389_24640
ko:K07027	lmog:BN389_25140
ko:K03048	lmog:BN389_25210
ko:K03593	lmog:BN389_25500
ko:K07258	lmog:BN389_27300
ko:K00088	lmog:BN389_27340
ko:K06948	lmog:BN389_15160
ko:K02236	lmog:BN389_15750
ko:K01719	lmog:BN389_15800
ko:K11144	lmog:BN389_15850
ko:K03346	lmog:BN389_15860
ko:K10563	lmog:BN389_15890
ko:K02755	lmog:BN389_27500
ko:K02756	lmog:BN389_27500
ko:K02757	lmog:BN389_27500
ko:K03488	lmog:BN389_27510
ko:K02004	lmog:BN389_27540
ko:K02110	lmog:BN389_01060
ko:K02113	lmog:BN389_01070
ko:K02111	lmog:BN389_01080
ko:K02115	lmog:BN389_01090
ko:K02112	lmog:BN389_01100
ko:K02114	lmog:BN389_01110
ko:K01448	lmog:BN389_01480
ko:K06975	lmog:BN389_01530
ko:K00851	lmog:BN389_26810
ko:K16012	lmog:BN389_26840
ko:K16013	lmog:BN389_26850
ko:K04750	lmog:BN389_27000
ko:K01191	lmog:BN389_27090
ko:K02035	lmog:BN389_01540
ko:K02033	lmog:BN389_01550
ko:K02035	lmog:BN389_01690
ko:K09815	lmog:BN389_01700
ko:K02025	lmog:BN389_01920
ko:K01182	lmog:BN389_01970
ko:K03478	lmog:BN389_02040
ko:K09685	lmog:BN389_02050
ko:K02005	lmog:BN389_02060
ko:K03708	lmog:BN389_02440
ko:K09698	lmog:BN389_02520
ko:K00564	lmog:BN389_02670
ko:K15770	lmog:BN389_02700
ko:K01182	lmog:BN389_02730
ko:K01439	lmog:BN389_02870
ko:K03699	lmog:BN389_27130
ko:K08161	lmog:BN389_27160
ko:K00616	lmog:BN389_27180
ko:K07343	lmog:BN389_27210
ko:K03342	lmog:BN389_27250
ko:K02004	lmog:BN389_02080
ko:K01771	lmog:BN389_02150
ko:K11031	lmog:BN389_02160
ko:K00016	lmog:BN389_02240
ko:K08969	lmog:BN389_03100
ko:K07668	lmog:BN389_03110
ko:K07652	lmog:BN389_03120
ko:K03491	lmog:BN389_03210
ko:K00616	lmog:BN389_03660
ko:K00244	lmog:BN389_03790
ko:K05350	lmog:BN389_03920
ko:K05937	lmog:BN389_04040
ko:K02004	lmog:BN389_04230
ko:K15524	lmog:BN389_04290
ko:K01759	lmog:BN389_04340
ko:K07729	lmog:BN389_04430
ko:K10254	lmog:BN389_05160
ko:K02775	lmog:BN389_05460
ko:K03492	lmog:BN389_06120
ko:K07030	lmog:BN389_06270
ko:K10947	lmog:BN389_06360
ko:K06147	lmog:BN389_06440
ko:K06147	lmog:BN389_06450
ko:K00575	lmog:BN389_07290
ko:K01478	lmog:BN389_00530
ko:K07706	lmog:BN389_00600
ko:K03713	lmog:BN389_13220
ko:K09976	lmog:BN389_13310
ko:K02244	lmog:BN389_13700
ko:K02243	lmog:BN389_13710
ko:K01262	lmog:BN389_13780
ko:K00059	lmog:BN389_14190
ko:K02443	lmog:BN389_14310
ko:K00626	lmog:BN389_14400
ko:K01641	lmog:BN389_14410
ko:K06902	lmog:BN389_14430
ko:K07533	lmog:BN389_14700
ko:K02076	lmog:BN389_14710
ko:K15986	lmog:BN389_14740
ko:K01243	lmog:BN389_15190
ko:K02004	lmog:BN389_15310
ko:K01439	lmog:BN389_16430
ko:K00016	lmog:BN389_16950
ko:K09815	lmog:BN389_16990
ko:K08680	lmog:BN389_17020
ko:K02552	lmog:BN389_17040
ko:K01760	lmog:BN389_17070
ko:K02004	lmog:BN389_17730
ko:K02433	lmog:BN389_17820
ko:K07094	lmog:BN389_17870
ko:K07030	lmog:BN389_18390
ko:K00949	lmog:BN389_18420
ko:K16898	lmog:BN389_22970
ko:K14219	lmog:BN389_t0080
ko:K14219	lmog:BN389_t0320
ko:K01834	lmog:BN389_22380
ko:K02030	lmog:BN389_17650
ko:K01985	lmog:BN389_r0030
ko:K01985	lmog:BN389_r0070
ko:K01985	lmog:BN389_r0130
ko:K01985	lmog:BN389_r0160
ko:K01985	lmog:BN389_r0060
ko:K01985	lmog:BN389_r0100
ko:K02006	lmog:BN389_12250
ko:K01271	lmog:BN389_16030
ko:K02226	lmog:BN389_11680
ko:K11991	lmog:BN389_26880
ko:K00951	lmog:BN389_15480
ko:K10974	lmog:BN389_04960
ko:K02008	lmog:BN389_12240
ko:K14221	lmog:BN389_t0150
ko:K14221	lmog:BN389_t0540
ko:K14221	lmog:BN389_t0250
ko:K04027	lmog:BN389_11990
ko:K16899	lmog:BN389_22980
ko:K14222	lmog:BN389_t0470
ko:K16960	lmog:BN389_23130
ko:K16959	lmog:BN389_23140
ko:K16957	lmog:BN389_23150
ko:K11070	lmog:BN389_08360
ko:K10027	lmog:BN389_10310
ko:K01980	lmog:BN389_r0020
ko:K01980	lmog:BN389_r0050
ko:K01980	lmog:BN389_r0170
ko:K01980	lmog:BN389_r0110
ko:K01980	lmog:BN389_r0140
ko:K01980	lmog:BN389_r0080
ko:K14218	lmog:BN389_t0100
ko:K14218	lmog:BN389_t0650
ko:K14218	lmog:BN389_t0600
ko:K14218	lmog:BN389_t0300
ko:K01978	lmog:BN389_nc0960
ko:K01978	lmog:BN389_nc0970
ko:K15035	lmog:BN389_nc1230
ko:K14228	lmog:BN389_t0050
ko:K14228	lmog:BN389_t0350
ko:K14232	lmog:BN389_t0090
ko:K14232	lmog:BN389_t0310
ko:K01990	lmog:BN389_22590
ko:K01992	lmog:BN389_22470
ko:K02029	lmog:BN389_08750
ko:K02030	lmog:BN389_08750
ko:K02029	lmog:BN389_22810
ko:K02030	lmog:BN389_22810
ko:K17319	lmog:BN389_20280
ko:K17318	lmog:BN389_20260
ko:K14219	lmog:BN389_t0390
ko:K14229	lmog:BN389_t0450
ko:K14229	lmog:BN389_t0040
ko:K14229	lmog:BN389_t0360
ko:K02028	lmog:BN389_17660
ko:K01983	lmog:BN389_nc1300
ko:K01983	lmog:BN389_nc1310
ko:K14228	lmog:BN389_t0460
ko:K13923	lmog:BN389_11790
ko:K01990	lmog:BN389_07810
ko:K01990	lmog:BN389_21720
ko:K01990	lmog:BN389_17510
ko:K14228	lmog:BN389_t0400
ko:K14220	lmog:BN389_t0590
ko:K14220	lmog:BN389_t0640
ko:K14220	lmog:BN389_t0200
ko:K14220	lmog:BN389_t0120
ko:K01992	lmog:BN389_19890
ko:K01992	lmog:BN389_21730
ko:K02028	lmog:BN389_08760
ko:K02028	lmog:BN389_22820
ko:K01977	lmog:BN389_r0090
ko:K01977	lmog:BN389_r0180
ko:K01977	lmog:BN389_r0150
ko:K01977	lmog:BN389_r0040
ko:K01977	lmog:BN389_r0120
ko:K01977	lmog:BN389_r0010
ko:K03574	lmog:BN389_12700
ko:K03574	lmog:BN389_23330
ko:K17320	lmog:BN389_20270
ko:K00265	lmog:BN389_17610
ko:K08986	lmog:BN389_09520
ko:K14226	lmog:BN389_t0230
ko:K14226	lmog:BN389_t0500
ko:K01992	lmog:BN389_07900
ko:K09692	lmog:BN389_11030
ko:K17472	lmog:BN389_15400
ko:K01992	lmog:BN389_07110
ko:K01992	lmog:BN389_10110
ko:K01992	lmog:BN389_11260
ko:K01992	lmog:BN389_22710
ko:K14233	lmog:BN389_t0580
ko:K10112	lmog:BN389_03010
ko:K14224	lmog:BN389_t0140
ko:K14224	lmog:BN389_t0570
ko:K14224	lmog:BN389_t0410
ko:K14224	lmog:BN389_t0180
ko:K14227	lmog:BN389_t0210
ko:K14227	lmog:BN389_t0610
ko:K14227	lmog:BN389_t0660
ko:K14230	lmog:BN389_t0260
ko:K14230	lmog:BN389_t0550
ko:K14233	lmog:BN389_t0130
ko:K14233	lmog:BN389_t0190
ko:K14223	lmog:BN389_t0490
ko:K14225	lmog:BN389_t0060
ko:K14225	lmog:BN389_t0340
ko:K14225	lmog:BN389_t0480
ko:K03799	lmog:BN389_03330
ko:K17686	lmog:BN389_18780
ko:K01990	lmog:BN389_00340
ko:K01990	lmog:BN389_07100
ko:K01990	lmog:BN389_10100
ko:K01990	lmog:BN389_11250
ko:K01990	lmog:BN389_19900
ko:K01990	lmog:BN389_22720
ko:K01990	lmog:BN389_26130
ko:K01990	lmog:BN389_27470
ko:K14237	lmog:BN389_t0020
ko:K14237	lmog:BN389_t0380
ko:K14237	lmog:BN389_t0560
ko:K14234	lmog:BN389_t0030
ko:K14234	lmog:BN389_t0370
ko:K14225	lmog:BN389_t0160
ko:K14225	lmog:BN389_t0220
ko:K14228	lmog:BN389_t0070
ko:K14228	lmog:BN389_t0330
ko:K14219	lmog:BN389_t0170
ko:K14233	lmog:BN389_t0110
ko:K14233	lmog:BN389_t0270
ko:K14231	lmog:BN389_t0240
ko:K14231	lmog:BN389_t0530
ko:K14230	lmog:BN389_t0280
ko:K14230	lmog:BN389_t0290
ko:K14234	lmog:BN389_t0420
ko:K14234	lmog:BN389_t0630
ko:K14236	lmog:BN389_t0430
ko:K14236	lmog:BN389_t0520
ko:K14223	lmog:BN389_t0440
ko:K14235	lmog:BN389_t0510
ko:K14219	lmog:BN389_t0620
ko:K14237	lmog:BN389_t0670
ko:K14229	lmog:BN389_t0010
ko:K07260	lmog:BN389_18800
ko:K01739	lmog:BN389_17080
ko:K01791	lmog:BN389_24990
ko:K01840	lmog:BN389_08930
ko:K02027	lmog:BN389_17570
ko:K17752	lmog:BN389_09200
ko:K02027	lmog:BN389_01940
ko:K02026	lmog:BN389_01930
ko:K02026	lmog:BN389_08890
ko:K02026	lmog:BN389_17590
ko:K02026	lmog:BN389_28190
ko:K17828	lmog:BN389_18580
ko:K01658	lmog:BN389_16550
ko:K02027	lmog:BN389_28210
ko:K12574	lmog:BN389_10590
ko:K12574	lmog:BN389_14600
ko:K17763	lmog:BN389_01780
ko:K17763	lmog:BN389_09180
ko:K07284	lmog:BN389_09590
ko:K02027	lmog:BN389_08870
ko:K00537	lmog:BN389_23890
ko:K01183	lmog:BN389_01240
ko:K00661	lmog:BN389_07070
ko:K04757	lmog:BN389_09230
ko:K17762	lmog:BN389_09190
ko:K01187	lmog:BN389_01960
ko:K02769	lmog:BN389_04270
ko:K02769	lmog:BN389_21690
ko:K07145	lmog:BN389_05190
ko:K18104	lmog:BN389_27200
ko:K08221	lmog:BN389_14350
ko:K02770	lmog:BN389_21680
ko:K08316	lmog:BN389_20810
ko:K01101	lmog:BN389_23670
ko:K02809	lmog:BN389_16850
ko:K02810	lmog:BN389_16850
ko:K02770	lmog:BN389_04280
ko:K02770	lmog:BN389_04510
ko:K13731	lmog:BN389_04790
ko:K22597	lmog:BN389_28220
ko:K02794	lmog:BN389_08090
ko:K02794	lmog:BN389_00260
ko:K22597	lmog:BN389_27100
ko:K00008	lmog:BN389_26300
ko:K00008	lmog:BN389_05440
ko:K00008	lmog:BN389_26290
ko:K18231	lmog:BN389_09500
ko:K05352	lmog:BN389_11140
ko:K02518	lmog:BN389_25700
ko:K08987	lmog:BN389_05560
