ko:K19743	apt:APA01_08140
ko:K00059	apt:APA01_22030
ko:K00137	apt:APA01_22210
ko:K11103	apt:APA01_22340
ko:K00135	apt:APA01_22400
ko:K02231	apt:APA01_22420
ko:K00768	apt:APA01_22430
ko:K02233	apt:APA01_22440
ko:K02225	apt:APA01_22460
ko:K02227	apt:APA01_22450
ko:K04719	apt:APA01_22470
ko:K02232	apt:APA01_22480
ko:K02230	apt:APA01_22520
ko:K03525	apt:APA01_16290
ko:K03524	apt:APA01_16300
ko:K00343	apt:APA01_16310
ko:K00341	apt:APA01_16320
ko:K00340	apt:APA01_16330
ko:K00339	apt:APA01_16340
ko:K00338	apt:APA01_16350
ko:K00337	apt:APA01_16360
ko:K00336	apt:APA01_16370
ko:K00335	apt:APA01_16380
ko:K00334	apt:APA01_16390
ko:K00333	apt:APA01_16400
ko:K00332	apt:APA01_16410
ko:K00331	apt:APA01_16420
ko:K00330	apt:APA01_16430
ko:K03530	apt:APA01_16460
ko:K01338	apt:APA01_16470
ko:K02835	apt:APA01_11320
ko:K02493	apt:APA01_11340
ko:K00432	apt:APA01_16240
ko:K09808	apt:APA01_16260
ko:K01881	apt:APA01_16270
ko:K03811	apt:APA01_05480
ko:K01433	apt:APA01_05510
ko:K06199	apt:APA01_05550
ko:K10806	apt:APA01_05590
ko:K07386	apt:APA01_05620
ko:K03521	apt:APA01_05750
ko:K07391	apt:APA01_11920
ko:K01920	apt:APA01_16860
ko:K00384	apt:APA01_16900
ko:K05788	apt:APA01_16930
ko:K03980	apt:APA01_16950
ko:K04764	apt:APA01_16990
ko:K00648	apt:APA01_17000
ko:K03621	apt:APA01_17010
ko:K03797	apt:APA01_07510
ko:K12573	apt:APA01_07520
ko:K03168	apt:APA01_07530
ko:K04096	apt:APA01_07580
ko:K08591	apt:APA01_07590
ko:K01465	apt:APA01_07600
ko:K00609	apt:APA01_07610
ko:K01885	apt:APA01_07620
ko:K02238	apt:APA01_07630
ko:K06916	apt:APA01_07650
ko:K00164	apt:APA01_07660
ko:K00658	apt:APA01_07670
ko:K02440	apt:APA01_12560
ko:K00111	apt:APA01_12570
ko:K02444	apt:APA01_12580
ko:K03654	apt:APA01_12590
ko:K02048	apt:APA01_01350
ko:K03735	apt:APA01_01370
ko:K03736	apt:APA01_01380
ko:K03585	apt:APA01_01400
ko:K03704	apt:APA01_01430
ko:K07043	apt:APA01_01830
ko:K09160	apt:APA01_01840
ko:K02050	apt:APA01_12790
ko:K02433	apt:APA01_12870
ko:K07402	apt:APA01_12880
ko:K07127	apt:APA01_12920
ko:K00681	apt:APA01_12980
ko:K03832	apt:APA01_13020
ko:K01993	apt:APA01_13030
ko:K06045	apt:APA01_13100
ko:K03313	apt:APA01_13140
ko:K00135	apt:APA01_13150
ko:K02045	apt:APA01_01280
ko:K02047	apt:APA01_01290
ko:K02046	apt:APA01_01300
ko:K03189	apt:APA01_23410
ko:K03188	apt:APA01_23420
ko:K03187	apt:APA01_23430
ko:K01428	apt:APA01_23440
ko:K01429	apt:APA01_23450
ko:K01430	apt:APA01_23460
ko:K03190	apt:APA01_23470
ko:K07241	apt:APA01_23480
ko:K02435	apt:APA01_25360
ko:K02433	apt:APA01_25370
ko:K02434	apt:APA01_25380
ko:K10773	apt:APA01_25410
ko:K01772	apt:APA01_25420
ko:K03575	apt:APA01_25430
ko:K01869	apt:APA01_25480
ko:K03643	apt:APA01_25490
ko:K02340	apt:APA01_25500
ko:K03522	apt:APA01_25590
ko:K03521	apt:APA01_25600
ko:K00311	apt:APA01_25610
ko:K07010	apt:APA01_25690
ko:K06178	apt:APA01_25700
ko:K03111	apt:APA01_25720
ko:K06204	apt:APA01_25740
ko:K01866	apt:APA01_25860
ko:K03568	apt:APA01_25870
ko:K01710	apt:APA01_25900
ko:K00973	apt:APA01_25910
ko:K01790	apt:APA01_25920
ko:K00067	apt:APA01_25930
ko:K03466	apt:APA01_25950
ko:K03594	apt:APA01_23530
ko:K01246	apt:APA01_23560
ko:K07090	apt:APA01_23600
ko:K06911	apt:APA01_23640
ko:K03543	apt:APA01_23660
ko:K09768	apt:APA01_00030
ko:K07552	apt:APA01_00050
ko:K09791	apt:APA01_00070
ko:K07157	apt:APA01_00080
ko:K05838	apt:APA01_00090
ko:K03701	apt:APA01_00110
ko:K09384	apt:APA01_00140
ko:K09019	apt:APA01_00160
ko:K03789	apt:APA01_00180
ko:K01945	apt:APA01_00190
ko:K03601	apt:APA01_00200
ko:K00831	apt:APA01_00230
ko:K00325	apt:APA01_00260
ko:K00324	apt:APA01_00270
ko:K00324	apt:APA01_00280
ko:K00133	apt:APA01_00300
ko:K00241	apt:APA01_00310
ko:K00242	apt:APA01_00320
ko:K00239	apt:APA01_00330
ko:K04568	apt:APA01_02750
ko:K00681	apt:APA01_02770
ko:K01265	apt:APA01_02780
ko:K06891	apt:APA01_02800
ko:K03694	apt:APA01_02810
ko:K00925	apt:APA01_14700
ko:K00226	apt:APA01_14720
ko:K03737	apt:APA01_14730
ko:K02379	apt:APA01_14790
ko:K03752	apt:APA01_14800
ko:K03753	apt:APA01_14810
ko:K03750	apt:APA01_14820
ko:K02380	apt:APA01_14830
ko:K00123	apt:APA01_14860
ko:K02427	apt:APA01_14890
ko:K00847	apt:APA01_14900
ko:K03602	apt:APA01_14920
ko:K00795	apt:APA01_14930
ko:K01662	apt:APA01_14940
ko:K06442	apt:APA01_14950
ko:K06941	apt:APA01_14970
ko:K01940	apt:APA01_14980
ko:K01939	apt:APA01_03160
ko:K07657	apt:APA01_03170
ko:K07636	apt:APA01_03180
ko:K02040	apt:APA01_03190
ko:K01093	apt:APA01_03230
ko:K00145	apt:APA01_03310
ko:K04079	apt:APA01_03340
ko:K01720	apt:APA01_03590
ko:K01895	apt:APA01_03620
ko:K08178	apt:APA01_03630
ko:K01876	apt:APA01_03690
ko:K01620	apt:APA01_03700
ko:K02897	apt:APA01_03710
ko:K01056	apt:APA01_03720
ko:K06942	apt:APA01_03730
ko:K00147	apt:APA01_03740
ko:K00969	apt:APA01_03750
ko:K09710	apt:APA01_03760
ko:K00783	apt:APA01_03770
ko:K01575	apt:APA01_03800
ko:K01652	apt:APA01_03810
ko:K02050	apt:APA01_09580
ko:K02049	apt:APA01_09590
ko:K07789	apt:APA01_09630
ko:K07788	apt:APA01_09640
ko:K00382	apt:APA01_07680
ko:K01251	apt:APA01_07710
ko:K00655	apt:APA01_07720
ko:K03702	apt:APA01_02400
ko:K02346	apt:APA01_02490
ko:K00606	apt:APA01_08560
ko:K07735	apt:APA01_02840
ko:K06958	apt:APA01_02850
ko:K03687	apt:APA01_02890
ko:K04043	apt:APA01_02900
ko:K03686	apt:APA01_02910
ko:K00789	apt:APA01_02930
ko:K03439	apt:APA01_02940
ko:K01613	apt:APA01_07830
ko:K01872	apt:APA01_07840
ko:K04763	apt:APA01_07890
ko:K01962	apt:APA01_07900
ko:K04566	apt:APA01_07920
ko:K07027	apt:APA01_07930
ko:K05595	apt:APA01_07940
ko:K07115	apt:APA01_07950
ko:K01409	apt:APA01_07960
ko:K01749	apt:APA01_07970
ko:K01719	apt:APA01_07980
ko:K03071	apt:APA01_07990
ko:K00428	apt:APA01_08030
ko:K00228	apt:APA01_08060
ko:K00413	apt:APA01_08080
ko:K00772	apt:APA01_08090
ko:K10679	apt:APA01_08130
ko:K00240	apt:APA01_00340
ko:K00927	apt:APA01_00370
ko:K00134	apt:APA01_00380
ko:K00643	apt:APA01_00410
ko:K00681	apt:APA01_00430
ko:K03553	apt:APA01_00440
ko:K02019	apt:APA01_00460
ko:K03670	apt:APA01_00470
ko:K03669	apt:APA01_00480
ko:K01443	apt:APA01_00490
ko:K02343	apt:APA01_00520
ko:K09747	apt:APA01_00530
ko:K06187	apt:APA01_00540
ko:K01633	apt:APA01_00560
ko:K00800	apt:APA01_00580
ko:K00945	apt:APA01_00590
ko:K02945	apt:APA01_00600
ko:K00989	apt:APA01_00630
ko:K03705	apt:APA01_00640
ko:K00950	apt:APA01_06430
ko:K03060	apt:APA01_06440
ko:K00997	apt:APA01_06460
ko:K03100	apt:APA01_06470
ko:K03685	apt:APA01_06480
ko:K03595	apt:APA01_06490
ko:K09903	apt:APA01_06500
ko:K02838	apt:APA01_06510
ko:K00806	apt:APA01_06520
ko:K00981	apt:APA01_06530
ko:K00099	apt:APA01_06540
ko:K11749	apt:APA01_06550
ko:K07277	apt:APA01_06560
ko:K02536	apt:APA01_06580
ko:K02372	apt:APA01_06590
ko:K00677	apt:APA01_06600
ko:K09949	apt:APA01_06610
ko:K02914	apt:APA01_06640
ko:K03536	apt:APA01_06650
ko:K03217	apt:APA01_06660
ko:K03978	apt:APA01_06670
ko:K00930	apt:APA01_06680
ko:K00674	apt:APA01_06690
ko:K01439	apt:APA01_06700
ko:K06173	apt:APA01_06720
ko:K00604	apt:APA01_06730
ko:K01462	apt:APA01_06740
ko:K07140	apt:APA01_06790
ko:K06861	apt:APA01_06800
ko:K09774	apt:APA01_06810
ko:K11719	apt:APA01_06820
ko:K06041	apt:APA01_06830
ko:K03684	apt:APA01_06840
ko:K03218	apt:APA01_06850
ko:K00942	apt:APA01_06880
ko:K02314	apt:APA01_06910
ko:K02065	apt:APA01_06950
ko:K02066	apt:APA01_06960
ko:K04485	apt:APA01_06980
ko:K06131	apt:APA01_11980
ko:K07460	apt:APA01_11970
ko:K07390	apt:APA01_12000
ko:K01952	apt:APA01_12020
ko:K01952	apt:APA01_12030
ko:K01952	apt:APA01_12050
ko:K01923	apt:APA01_12060
ko:K01756	apt:APA01_12070
ko:K08309	apt:APA01_12090
ko:K01095	apt:APA01_12100
ko:K03743	apt:APA01_12110
ko:K03644	apt:APA01_12140
ko:K00382	apt:APA01_12150
ko:K00627	apt:APA01_12160
ko:K00162	apt:APA01_12170
ko:K00161	apt:APA01_12180
ko:K03637	apt:APA01_12190
ko:K01609	apt:APA01_12200
ko:K00766	apt:APA01_12210
ko:K01658	apt:APA01_12220
ko:K01657	apt:APA01_12230
ko:K03770	apt:APA01_12240
ko:K01803	apt:APA01_12250
ko:K03075	apt:APA01_12260
ko:K01937	apt:APA01_12270
ko:K01627	apt:APA01_12280
ko:K02470	apt:APA01_12290
ko:K03629	apt:APA01_12300
ko:K02338	apt:APA01_12310
ko:K02313	apt:APA01_12320
ko:K02968	apt:APA01_12330
ko:K10563	apt:APA01_12340
ko:K03183	apt:APA01_12350
ko:K01520	apt:APA01_12370
ko:K02050	apt:APA01_12380
ko:K02049	apt:APA01_12390
ko:K07304	apt:APA01_12400
ko:K01873	apt:APA01_12410
ko:K09991	apt:APA01_12420
ko:K00573	apt:APA01_12440
ko:K00946	apt:APA01_12510
ko:K03625	apt:APA01_12520
ko:K07738	apt:APA01_12530
ko:K00864	apt:APA01_12552
ko:K05366	apt:APA01_00650
ko:K02836	apt:APA01_00660
ko:K09457	apt:APA01_01220
ko:K01491	apt:APA01_02250
ko:K00117	apt:APA01_06330
ko:K00117	apt:APA01_14620
ko:K13038	apt:APA01_12360
ko:K03530	apt:APA01_40350
ko:K07043	apt:APA01_42370
ko:K02067	apt:APA01_08850
ko:K07126	apt:APA01_15450
ko:K03272	apt:APA01_06890
ko:K07126	apt:APA01_24450
ko:K13979	apt:APA01_15620
ko:K00955	apt:APA01_11630
ko:K13810	apt:APA01_23120
ko:K01070	apt:APA01_10150
ko:K02224	apt:APA01_22510
ko:K13993	apt:APA01_05970
ko:K13581	apt:APA01_09690
ko:K07215	apt:APA01_14070
ko:K07276	apt:APA01_19310
ko:K13481	apt:APA01_12900
ko:K12217	apt:APA01_42710
ko:K13821	apt:APA01_07050
ko:K13599	apt:APA01_17490
ko:K00537	apt:APA01_42360
ko:K01835	apt:APA01_15810
ko:K07123	apt:APA01_41630
ko:K02077	apt:APA01_22630
ko:K11754	apt:APA01_26070
ko:K02170	apt:APA01_10920
ko:K14221	apt:APA01_02070
ko:K13688	apt:APA01_13220
ko:K11738	apt:APA01_02480
ko:K01470	apt:APA01_00120
ko:K07221	apt:APA01_03200
ko:K01079	apt:APA01_19290
ko:K13598	apt:APA01_17500
ko:K07497	apt:APA01_08400
ko:K07497	apt:APA01_20950
ko:K07497	apt:APA01_08180
ko:K01455	apt:APA01_01550
ko:K13953	apt:APA01_08590
ko:K01961	apt:APA01_20730
ko:K13829	apt:APA01_07870
ko:K14232	apt:APA01_26730
ko:K14226	apt:APA01_06280
ko:K14232	apt:APA01_17630
ko:K01784	apt:APA01_08610
ko:K00121	apt:APA01_12700
ko:K13584	apt:APA01_26130
ko:K22474	apt:APA01_00860
ko:K14224	apt:APA01_21950
ko:K14224	apt:APA01_23280
ko:K00799	apt:APA01_26620
ko:K07213	apt:APA01_19580
ko:K07222	apt:APA01_41610
ko:K01502	apt:APA01_41660
ko:K07222	apt:APA01_42010
ko:K07483	apt:APA01_42520
ko:K12203	apt:APA01_42760
ko:K12204	apt:APA01_42770
ko:K07483	apt:APA01_43360
ko:K09024	apt:APA01_14130
ko:K00124	apt:APA01_14850
ko:K06218	apt:APA01_41270
ko:K02483	apt:APA01_09180
ko:K02482	apt:APA01_10210
ko:K07484	apt:APA01_14320
ko:K02483	apt:APA01_15920
ko:K01169	apt:APA01_15160
ko:K00045	apt:APA01_10290
ko:K08305	apt:APA01_11420
ko:K22473	apt:APA01_00870
ko:K07497	apt:APA01_11810
ko:K02055	apt:APA01_01860
ko:K00146	apt:APA01_22090
ko:K07506	apt:APA01_40700
ko:K00951	apt:APA01_06450
ko:K01843	apt:APA01_02760
ko:K14233	apt:APA01_17800
ko:K07726	apt:APA01_42310
ko:K07726	apt:APA01_43930
ko:K08281	apt:APA01_19190
ko:K01154	apt:APA01_41860
ko:K03496	apt:APA01_44150
ko:K00135	apt:APA01_40440
ko:K09472	apt:APA01_42000
ko:K00215	apt:APA01_02920
ko:K08884	apt:APA01_01760
ko:K03496	apt:APA01_43720
ko:K00058	apt:APA01_11910
ko:K01273	apt:APA01_10840
ko:K07483	apt:APA01_01800
ko:K01259	apt:APA01_18310
ko:K03394	apt:APA01_14540
ko:K13771	apt:APA01_05530
ko:K05934	apt:APA01_14530
ko:K04092	apt:APA01_10690
ko:K14228	apt:APA01_01820
ko:K01011	apt:APA01_11940
ko:K01011	apt:APA01_03780
ko:K07248	apt:APA01_04640
ko:K08325	apt:APA01_40430
ko:K03762	apt:APA01_21460
ko:K14229	apt:APA01_26630
ko:K02052	apt:APA01_22200
ko:K00799	apt:APA01_10080
ko:K14225	apt:APA01_26500
ko:K14233	apt:APA01_18800
ko:K14347	apt:APA01_11080
ko:K14237	apt:APA01_03360
ko:K00721	apt:APA01_16880
ko:K13472	apt:APA01_40580
ko:K07486	apt:APA01_40040
ko:K07497	apt:APA01_08170
ko:K14219	apt:APA01_22730
ko:K13628	apt:APA01_16560
ko:K06867	apt:APA01_23100
ko:K02510	apt:APA01_13850
ko:K01934	apt:APA01_02560
ko:K14236	apt:APA01_08550
ko:K14234	apt:APA01_25750
ko:K14228	apt:APA01_00220
ko:K14218	apt:APA01_26810
ko:K00030	apt:APA01_10420
ko:K01090	apt:APA01_10700
ko:K14233	apt:APA01_25390
ko:K00666	apt:APA01_16040
ko:K02055	apt:APA01_22190
ko:K14219	apt:APA01_17610
ko:K07132	apt:APA01_43700
ko:K06147	apt:APA01_10030
ko:K09017	apt:APA01_21710
ko:K02053	apt:APA01_22140
ko:K02054	apt:APA01_22150
ko:K02022	apt:APA01_24460
ko:K14223	apt:APA01_14870
ko:K14233	apt:APA01_21720
ko:K14219	apt:APA01_21070
ko:K14228	apt:APA01_11160
ko:K14230	apt:APA01_11360
ko:K14234	apt:APA01_24560
ko:K02483	apt:APA01_19640
ko:K06147	apt:APA01_25400
ko:K01840	apt:APA01_11180
ko:K01977	apt:APA01_25560
ko:K00941	apt:APA01_13250
ko:K00128	apt:APA01_20430
ko:K01985	apt:APA01_25520
ko:K14235	apt:APA01_01140
ko:K11085	apt:APA01_09770
ko:K03072	apt:APA01_10580
ko:K07003	apt:APA01_18530
ko:K14225	apt:APA01_06990
ko:K14218	apt:APA01_04780
ko:K14237	apt:APA01_16440
ko:K14237	apt:APA01_16450
ko:K14237	apt:APA01_15030
ko:K05372	apt:APA01_40590
ko:K01524	apt:APA01_08810
ko:K01524	apt:APA01_14880
ko:K01173	apt:APA01_03550
ko:K14652	apt:APA01_18560
ko:K14228	apt:APA01_16510
ko:K01760	apt:APA01_11930
ko:K14228	apt:APA01_19840
ko:K04763	apt:APA01_20200
ko:K07484	apt:APA01_01790
ko:K00091	apt:APA01_02000
ko:K01659	apt:APA01_03600
ko:K01286	apt:APA01_02790
ko:K01759	apt:APA01_06620
ko:K01069	apt:APA01_07740
ko:K00839	apt:APA01_12840
ko:K07165	apt:APA01_13600
ko:K07749	apt:APA01_15730
ko:K09810	apt:APA01_16250
ko:K06147	apt:APA01_16700
ko:K07496	apt:APA01_17700
ko:K00329	apt:APA01_19830
ko:K00356	apt:APA01_19830
ko:K01185	apt:APA01_19980
ko:K00102	apt:APA01_21930
ko:K02075	apt:APA01_22610
ko:K01759	apt:APA01_24670
ko:K00344	apt:APA01_24830
ko:K14220	apt:APA01_19510
ko:K07497	apt:APA01_15860
ko:K02484	apt:APA01_15910
ko:K00459	apt:APA01_15140
ko:K00799	apt:APA01_14780
ko:K00721	apt:APA01_24580
ko:K12218	apt:APA01_42730
ko:K14261	apt:APA01_21330
ko:K14230	apt:APA01_02110
ko:K01980	apt:APA01_25530
ko:K14223	apt:APA01_26430
ko:K03457	apt:APA01_41980
ko:K02083	apt:APA01_12830
ko:K14974	apt:APA01_23790
ko:K14232	apt:APA01_16970
ko:K19689	apt:APA01_03660
ko:K06919	apt:APA01_26880
ko:K12205	apt:APA01_42780
ko:K16013	apt:APA01_15410
ko:K16013	apt:APA01_12620
ko:K16012	apt:APA01_12610
ko:K13409	apt:APA01_03260
ko:K13408	apt:APA01_03270
ko:K03088	apt:APA01_13660
ko:K03088	apt:APA01_15880
ko:K22475	apt:APA01_07070
ko:K03297	apt:APA01_21110
ko:K11939	apt:APA01_07430
ko:K15229	apt:APA01_04540
ko:K14225	apt:APA01_01150
ko:K14231	apt:APA01_19940
ko:K08316	apt:APA01_25710
ko:K01941	apt:APA01_13990
ko:K01457	apt:APA01_14000
ko:K15034	apt:APA01_13190
ko:K16012	apt:APA01_15400
ko:K04765	apt:APA01_03320
ko:K15547	apt:APA01_15290
ko:K15549	apt:APA01_15280
ko:K02428	apt:APA01_00620
ko:K01082	apt:APA01_07200
ko:K15555	apt:APA01_13680
ko:K15539	apt:APA01_11290
ko:K15633	apt:APA01_09840
ko:K15554	apt:APA01_13690
ko:K00220	apt:APA01_02020
ko:K15553	apt:APA01_13670
ko:K15738	apt:APA01_12680
ko:K15357	apt:APA01_23740
ko:K16011	apt:APA01_18380
ko:K06177	apt:APA01_25960
ko:K15342	apt:APA01_41090
ko:K02032	apt:APA01_15130
ko:K15228	apt:APA01_04570
ko:K07267	apt:APA01_22080
ko:K03417	apt:APA01_03610
ko:K08679	apt:APA01_24140
ko:K00570	apt:APA01_16840
ko:K07267	apt:APA01_22350
ko:K16092	apt:APA01_04230
ko:K16090	apt:APA01_15440
ko:K03561	apt:APA01_13010
ko:K03559	apt:APA01_13000
ko:K03559	apt:APA01_12990
ko:K07484	apt:APA01_21640
ko:K07484	apt:APA01_18230
ko:K07484	apt:APA01_17900
ko:K07484	apt:APA01_08380
ko:K07483	apt:APA01_21650
ko:K07483	apt:APA01_18240
ko:K07483	apt:APA01_17890
ko:K07483	apt:APA01_08370
ko:K07497	apt:APA01_44110
ko:K07497	apt:APA01_43980
ko:K07497	apt:APA01_42620
ko:K07497	apt:APA01_42430
ko:K07497	apt:APA01_41240
ko:K07497	apt:APA01_40180
ko:K07497	apt:APA01_17950
ko:K07497	apt:APA01_14360
ko:K07497	apt:APA01_08410
ko:K07497	apt:APA01_18770
ko:K07497	apt:APA01_42980
ko:K07497	apt:APA01_43690
ko:K07497	apt:APA01_42990
ko:K07497	apt:APA01_42820
ko:K07497	apt:APA01_42580
ko:K07497	apt:APA01_42030
ko:K07497	apt:APA01_40010
ko:K02483	apt:APA01_42180
ko:K01546	apt:APA01_43100
ko:K01547	apt:APA01_43110
ko:K01548	apt:APA01_43120
ko:K07646	apt:APA01_43130
ko:K07667	apt:APA01_43140
ko:K00537	apt:APA01_42450
ko:K07726	apt:APA01_44140
ko:K15726	apt:APA01_15930
ko:K16137	apt:APA01_20520
ko:K16137	apt:APA01_40420
ko:K19164	apt:APA01_43300
ko:K16074	apt:APA01_23070
ko:K07267	apt:APA01_40870
ko:K11645	apt:APA01_02600
ko:K16264	apt:APA01_06040
ko:K03699	apt:APA01_03990
ko:K02014	apt:APA01_01490
ko:K03321	apt:APA01_17400
ko:K11959	apt:APA01_23330
ko:K11959	apt:APA01_01580
ko:K11960	apt:APA01_23320
ko:K11960	apt:APA01_01590
ko:K11961	apt:APA01_01600
ko:K07323	apt:APA01_02140
ko:K11961	apt:APA01_23310
ko:K02074	apt:APA01_22620
ko:K11962	apt:APA01_23300
ko:K11962	apt:APA01_01610
ko:K11963	apt:APA01_23290
ko:K18828	apt:APA01_43270
ko:K07012	apt:APA01_41030
ko:K11963	apt:APA01_01620
ko:K14234	apt:APA01_26060
ko:K02226	apt:APA01_22500
ko:K13485	apt:APA01_12930
ko:K02196	apt:APA01_08980
ko:K01980	apt:APA01_14390
ko:K14218	apt:APA01_14390
ko:K14227	apt:APA01_14390
ko:K01980	apt:APA01_24100
ko:K14218	apt:APA01_24100
ko:K14227	apt:APA01_24100
ko:K01980	apt:APA01_20990
ko:K14218	apt:APA01_20990
ko:K14227	apt:APA01_20990
ko:K01980	apt:APA01_15990
ko:K14218	apt:APA01_15990
ko:K14227	apt:APA01_15990
ko:K01977	apt:APA01_16020
ko:K01977	apt:APA01_21020
ko:K01977	apt:APA01_24130
ko:K14229	apt:APA01_24290
ko:K07091	apt:APA01_16100
ko:K01977	apt:APA01_14420
ko:K02029	apt:APA01_25100
ko:K02030	apt:APA01_25100
ko:K02066	apt:APA01_08830
ko:K02065	apt:APA01_08840
ko:K02028	apt:APA01_25110
ko:K17218	apt:APA01_18520
ko:K00970	apt:APA01_09760
ko:K02169	apt:APA01_10930
ko:K11532	apt:APA01_21350
ko:K07323	apt:APA01_03960
ko:K14222	apt:APA01_12450
ko:K04084	apt:APA01_21100
ko:K17686	apt:APA01_19210
ko:K17675	apt:APA01_01070
ko:K17675	apt:APA01_00960
ko:K17723	apt:APA01_21610
ko:K19745	apt:APA01_03250
ko:K14230	apt:APA01_14370
ko:K14230	apt:APA01_24080
ko:K14230	apt:APA01_20970
ko:K14230	apt:APA01_25510
ko:K14230	apt:APA01_15970
ko:K12574	apt:APA01_16280
ko:K00127	apt:APA01_14840
ko:K18028	apt:APA01_23760
ko:K13995	apt:APA01_23750
ko:K16090	apt:APA01_22280
ko:K18030	apt:APA01_23770
ko:K18029	apt:APA01_23780
ko:K01985	apt:APA01_14380
ko:K01985	apt:APA01_24090
ko:K01985	apt:APA01_20980
ko:K01985	apt:APA01_15980
ko:K03074	apt:APA01_10570
ko:K04771	apt:APA01_24860
ko:K01935	apt:APA01_10930
ko:K18118	apt:APA01_10710
ko:K21678	apt:APA01_01970
ko:K18588	apt:APA01_12130
ko:K18587	apt:APA01_17080
ko:K18707	apt:APA01_24650
ko:K18702	apt:APA01_15690
ko:K01568	apt:APA01_23490
ko:K07172	apt:APA01_41500
ko:K18829	apt:APA01_41520
ko:K07171	apt:APA01_41490
ko:K21677	apt:APA01_01960
ko:K18829	apt:APA01_43260
ko:K18831	apt:APA01_23920
ko:K18918	apt:APA01_41260
ko:K18918	apt:APA01_42790
ko:K18928	apt:APA01_03840
ko:K18929	apt:APA01_03850
ko:K16898	apt:APA01_26100
ko:K15726	apt:APA01_42190
ko:K18138	apt:APA01_01410
ko:K16899	apt:APA01_26110
ko:K07063	apt:APA01_43550
ko:K18979	apt:APA01_02180
ko:K03526	apt:APA01_11300
ko:K00611	apt:APA01_07290
ko:K03297	apt:APA01_13370
ko:K18996	apt:APA01_40640
ko:K19046	apt:APA01_41050
ko:K07497	apt:APA01_17940
ko:K07497	apt:APA01_43660
ko:K16238	apt:APA01_01390
ko:K19155	apt:APA01_40790
ko:K19156	apt:APA01_40780
ko:K19123	apt:APA01_41040
ko:K19163	apt:APA01_43310
ko:K00798	apt:APA01_07140
ko:K19124	apt:APA01_41060
ko:K22468	apt:APA01_05910
ko:K03446	apt:APA01_23670
ko:K19125	apt:APA01_41070
ko:K19126	apt:APA01_41080
ko:K09951	apt:APA01_41100
ko:K19221	apt:APA01_22490
ko:K01992	apt:APA01_13050
ko:K19338	apt:APA01_20760
ko:K04771	apt:APA01_25660
ko:K19336	apt:APA01_15750
ko:K01066	apt:APA01_18890
ko:K00571	apt:APA01_08020
ko:K20074	apt:APA01_01740
ko:K19577	apt:APA01_20550
ko:K18828	apt:APA01_42550
ko:K17722	apt:APA01_21620
ko:K00799	apt:APA01_25980
ko:K19784	apt:APA01_20570
ko:K08744	apt:APA01_10860
ko:K21679	apt:APA01_01980
ko:K12132	apt:APA01_01750
ko:K20534	apt:APA01_17550
ko:K20531	apt:APA01_23880
ko:K20532	apt:APA01_23870
ko:K20533	apt:APA01_23840
ko:K20539	apt:APA01_16230
ko:K11529	apt:APA01_05700
ko:K01214	apt:APA01_20830
ko:K11529	apt:APA01_00840
ko:K21029	apt:APA01_06140
ko:K09806	apt:APA01_26390
ko:K21416	apt:APA01_05940
ko:K21417	apt:APA01_05950
ko:K21420	apt:APA01_19390
ko:K22044	apt:APA01_26330
ko:K10026	apt:APA01_11580
ko:K21495	apt:APA01_43870
ko:K21686	apt:APA01_03580
ko:K21929	apt:APA01_16940
ko:K21929	apt:APA01_04010
ko:K22027	apt:APA01_22070
ko:K22067	apt:APA01_42050
ko:K22186	apt:APA01_13840
ko:K22296	apt:APA01_23800
ko:K02257	apt:APA01_16820
