ko:K07591	eoj:ECO26_4224
ko:K07700	eoj:ECO26_0694
ko:K07702	eoj:ECO26_0695
ko:K03326	eoj:ECO26_0696
ko:K12973	eoj:ECO26_0697
ko:K03704	eoj:ECO26_0698
ko:K06199	eoj:ECO26_0699
ko:K03425	eoj:ECO26_0701
ko:K03644	eoj:ECO26_0702
ko:K03801	eoj:ECO26_0704
ko:K09158	eoj:ECO26_0705
ko:K07258	eoj:ECO26_0706
ko:K03642	eoj:ECO26_0707
ko:K05837	eoj:ECO26_0708
ko:K05515	eoj:ECO26_0709
ko:K00783	eoj:ECO26_0710
ko:K09710	eoj:ECO26_0711
ko:K00969	eoj:ECO26_0713
ko:K02340	eoj:ECO26_0714
ko:K00425	eoj:ECO26_0793
ko:K00426	eoj:ECO26_0794
ko:K07107	eoj:ECO26_0797
ko:K03562	eoj:ECO26_0798
ko:K03560	eoj:ECO26_0799
ko:K03641	eoj:ECO26_0801
ko:K03640	eoj:ECO26_0802
ko:K03517	eoj:ECO26_0804
ko:K03811	eoj:ECO26_0805
ko:K01626	eoj:ECO26_0808
ko:K01785	eoj:ECO26_0810
ko:K00849	eoj:ECO26_0811
ko:K05776	eoj:ECO26_0814
ko:K02019	eoj:ECO26_0815
ko:K02020	eoj:ECO26_0817
ko:K02018	eoj:ECO26_0818
ko:K02017	eoj:ECO26_0819
ko:K03319	eoj:ECO26_0824
ko:K01681	eoj:ECO26_0825
ko:K06910	eoj:ECO26_0899
ko:K00833	eoj:ECO26_0900
ko:K01012	eoj:ECO26_0901
ko:K01935	eoj:ECO26_0904
ko:K00926	eoj:ECO26_0357
ko:K03329	eoj:ECO26_0366
ko:K02688	eoj:ECO26_0368
ko:K01720	eoj:ECO26_0371
ko:K01908	eoj:ECO26_0372
ko:K10974	eoj:ECO26_0373
ko:K11921	eoj:ECO26_0375
ko:K01673	eoj:ECO26_0376
ko:K01725	eoj:ECO26_0377
ko:K03449	eoj:ECO26_0378
ko:K02532	eoj:ECO26_0379
ko:K01483	eoj:ECO26_0538
ko:K10973	eoj:ECO26_0539
ko:K01608	eoj:ECO26_0540
ko:K10975	eoj:ECO26_0543
ko:K00865	eoj:ECO26_0547
ko:K02381	eoj:ECO26_0551
ko:K00926	eoj:ECO26_0554
ko:K01589	eoj:ECO26_0555
ko:K01588	eoj:ECO26_0556
ko:K03269	eoj:ECO26_0557
ko:K03768	eoj:ECO26_0558
ko:K01883	eoj:ECO26_0559
ko:K07038	eoj:ECO26_0560
ko:K11071	eoj:ECO26_1642
ko:K01258	eoj:ECO26_1644
ko:K03190	eoj:ECO26_1279
ko:K01430	eoj:ECO26_1280
ko:K01429	eoj:ECO26_1281
ko:K01428	eoj:ECO26_1282
ko:K03187	eoj:ECO26_1283
ko:K03188	eoj:ECO26_1284
ko:K03189	eoj:ECO26_1285
ko:K02909	eoj:ECO26_1289
ko:K05795	eoj:ECO26_1312
ko:K05795	eoj:ECO26_1313
ko:K09808	eoj:ECO26_1449
ko:K01079	eoj:ECO26_5594
ko:K05877	eoj:ECO26_2737
ko:K01491	eoj:ECO26_0562
ko:K00884	eoj:ECO26_1452
ko:K07263	eoj:ECO26_2092
ko:K00823	eoj:ECO26_1869
ko:K00564	eoj:ECO26_5576
ko:K03761	eoj:ECO26_3634
ko:K01524	eoj:ECO26_4808
ko:K09477	eoj:ECO26_0687
ko:K01835	eoj:ECO26_0753
ko:K09810	eoj:ECO26_1450
ko:K13292	eoj:ECO26_3900
ko:K02001	eoj:ECO26_3747
ko:K02000	eoj:ECO26_3746
ko:K12142	eoj:ECO26_3533
ko:K05595	eoj:ECO26_2131
ko:K05799	eoj:ECO26_0115
ko:K10804	eoj:ECO26_0529
ko:K07279	eoj:ECO26_3226
ko:K14225	eoj:ECO26_tRNA091
ko:K16345	eoj:ECO26_4945
ko:K00024	eoj:ECO26_4335
ko:K03655	eoj:ECO26_4948
ko:K00556	eoj:ECO26_4949
ko:K03060	eoj:ECO26_4951
ko:K00942	eoj:ECO26_4952
ko:K01972	eoj:ECO26_4953
ko:K00989	eoj:ECO26_4957
ko:K00762	eoj:ECO26_4958
ko:K05501	eoj:ECO26_4959
ko:K13038	eoj:ECO26_4961
ko:K03630	eoj:ECO26_4962
ko:K02902	eoj:ECO26_4963
ko:K02913	eoj:ECO26_4964
ko:K00954	eoj:ECO26_4966
ko:K02527	eoj:ECO26_4967
ko:K02844	eoj:ECO26_4969
ko:K02848	eoj:ECO26_4970
ko:K02850	eoj:ECO26_4972
ko:K02847	eoj:ECO26_4975
ko:K09476	eoj:ECO26_1056
ko:K00371	eoj:ECO26_2066
ko:K00373	eoj:ECO26_2065
ko:K00374	eoj:ECO26_2064
ko:K01784	eoj:ECO26_0813
ko:K09802	eoj:ECO26_2917
ko:K07470	eoj:ECO26_2919
ko:K01141	eoj:ECO26_2921
ko:K07112	eoj:ECO26_2923
ko:K00765	eoj:ECO26_2930
ko:K00013	eoj:ECO26_2931
ko:K00817	eoj:ECO26_2932
ko:K01089	eoj:ECO26_2933
ko:K02501	eoj:ECO26_2934
ko:K01814	eoj:ECO26_2935
ko:K02500	eoj:ECO26_2936
ko:K11755	eoj:ECO26_2937
ko:K05789	eoj:ECO26_2938
ko:K00012	eoj:ECO26_2939
ko:K02532	eoj:ECO26_3421
ko:K00847	eoj:ECO26_3422
ko:K01193	eoj:ECO26_3423
ko:K01753	eoj:ECO26_3426
ko:K07690	eoj:ECO26_3429
ko:K07679	eoj:ECO26_3430
ko:K07088	eoj:ECO26_3432
ko:K07043	eoj:ECO26_4187
ko:K07862	eoj:ECO26_4192
ko:K01685	eoj:ECO26_4194
ko:K01812	eoj:ECO26_4195
ko:K08191	eoj:ECO26_4196
ko:K06911	eoj:ECO26_4213
ko:K01752	eoj:ECO26_4217
ko:K00656	eoj:ECO26_4219
ko:K03838	eoj:ECO26_4221
ko:K01754	eoj:ECO26_4222
ko:K07592	eoj:ECO26_4223
ko:K00865	eoj:ECO26_4227
ko:K12299	eoj:ECO26_4230
ko:K02841	eoj:ECO26_4976
ko:K03274	eoj:ECO26_4978
ko:K00060	eoj:ECO26_4981
ko:K09798	eoj:ECO26_4983
ko:K03071	eoj:ECO26_4988
ko:K00057	eoj:ECO26_4989
ko:K00640	eoj:ECO26_4990
ko:K03216	eoj:ECO26_4991
ko:K00427	eoj:ECO26_4994
ko:K02562	eoj:ECO26_4999
ko:K00009	eoj:ECO26_5000
ko:K01042	eoj:ECO26_5010
ko:K03833	eoj:ECO26_5011
ko:K00880	eoj:ECO26_5021
ko:K08092	eoj:ECO26_5026
ko:K00879	eoj:ECO26_3873
ko:K00995	eoj:ECO26_2804
ko:K03703	eoj:ECO26_2805
ko:K07689	eoj:ECO26_2806
ko:K10010	eoj:ECO26_2809
ko:K10009	eoj:ECO26_2810
ko:K02424	eoj:ECO26_2812
ko:K02425	eoj:ECO26_2813
ko:K02405	eoj:ECO26_2814
ko:K02406	eoj:ECO26_2815
ko:K02407	eoj:ECO26_2816
ko:K02422	eoj:ECO26_2817
ko:K07112	eoj:ECO26_2821
ko:K02408	eoj:ECO26_2824
ko:K02409	eoj:ECO26_2825
ko:K02410	eoj:ECO26_2826
ko:K02411	eoj:ECO26_2827
ko:K02412	eoj:ECO26_2828
ko:K02413	eoj:ECO26_2829
ko:K02415	eoj:ECO26_2831
ko:K02416	eoj:ECO26_2832
ko:K02417	eoj:ECO26_2833
ko:K02418	eoj:ECO26_2834
ko:K02419	eoj:ECO26_2835
ko:K02420	eoj:ECO26_2836
ko:K02421	eoj:ECO26_2837
ko:K07781	eoj:ECO26_2838
ko:K07026	eoj:ECO26_2841
ko:K00331	eoj:ECO26_3275
ko:K00330	eoj:ECO26_3276
ko:K09161	eoj:ECO26_3282
ko:K09899	eoj:ECO26_3283
ko:K00925	eoj:ECO26_3284
ko:K07095	eoj:ECO26_3288
ko:K07589	eoj:ECO26_3291
ko:K07071	eoj:ECO26_3292
ko:K10017	eoj:ECO26_3294
ko:K10015	eoj:ECO26_3295
ko:K10016	eoj:ECO26_3296
ko:K03186	eoj:ECO26_3299
ko:K00764	eoj:ECO26_3300
ko:K03558	eoj:ECO26_3301
ko:K03749	eoj:ECO26_3302
ko:K01963	eoj:ECO26_3304
ko:K03975	eoj:ECO26_3305
ko:K06173	eoj:ECO26_3306
ko:K03473	eoj:ECO26_3308
ko:K09906	eoj:ECO26_3314
ko:K07090	eoj:ECO26_3315
ko:K07261	eoj:ECO26_3316
ko:K01736	eoj:ECO26_3317
ko:K07320	eoj:ECO26_3318
ko:K01460	eoj:ECO26_4096
ko:K04653	eoj:ECO26_4098
ko:K04651	eoj:ECO26_4099
ko:K01061	eoj:ECO26_4107
ko:K03561	eoj:ECO26_4112
ko:K08325	eoj:ECO26_4116
ko:K00655	eoj:ECO26_4122
ko:K02621	eoj:ECO26_4123
ko:K03923	eoj:ECO26_4129
ko:K02622	eoj:ECO26_4131
ko:K07000	eoj:ECO26_4132
ko:K03651	eoj:ECO26_4133
ko:K09920	eoj:ECO26_4134
ko:K03836	eoj:ECO26_4873
ko:K01667	eoj:ECO26_4874
ko:K03650	eoj:ECO26_4876
ko:K03217	eoj:ECO26_4877
ko:K03536	eoj:ECO26_4878
ko:K02914	eoj:ECO26_4879
ko:K02313	eoj:ECO26_4880
ko:K02338	eoj:ECO26_4881
ko:K03629	eoj:ECO26_4882
ko:K02470	eoj:ECO26_4883
ko:K00883	eoj:ECO26_4888
ko:K01631	eoj:ECO26_4889
ko:K04080	eoj:ECO26_4895
ko:K04081	eoj:ECO26_4896
ko:K07085	eoj:ECO26_4897
ko:K03482	eoj:ECO26_4898
ko:K02749	eoj:ECO26_4899
ko:K02750	eoj:ECO26_4899
ko:K01232	eoj:ECO26_4900
ko:K06871	eoj:ECO26_4908
ko:K01652	eoj:ECO26_4912
ko:K01653	eoj:ECO26_4913
ko:K07783	eoj:ECO26_4916
ko:K01486	eoj:ECO26_4918
ko:K06901	eoj:ECO26_4919
ko:K02073	eoj:ECO26_4923
ko:K11072	eoj:ECO26_1643
ko:K04844	eoj:ECO26_1884
ko:K03668	eoj:ECO26_1983
ko:K09781	eoj:ECO26_2844
ko:K07127	eoj:ECO26_2854
ko:K09933	eoj:ECO26_2858
ko:K01241	eoj:ECO26_2875
ko:K00768	eoj:ECO26_2881
ko:K02233	eoj:ECO26_2882
ko:K02231	eoj:ECO26_2883
ko:K08296	eoj:ECO26_3327
ko:K06076	eoj:ECO26_3331
ko:K04754	eoj:ECO26_3333
ko:K07238	eoj:ECO26_4141
ko:K03272	eoj:ECO26_4154
ko:K00982	eoj:ECO26_4155
ko:K07184	eoj:ECO26_4157
ko:K06153	eoj:ECO26_4159
ko:K01633	eoj:ECO26_4160
ko:K08591	eoj:ECO26_4161
ko:K03780	eoj:ECO26_4164
ko:K11106	eoj:ECO26_4165
ko:K02970	eoj:ECO26_4167
ko:K03086	eoj:ECO26_4169
ko:K06878	eoj:ECO26_4175
ko:K12113	eoj:ECO26_4176
ko:K12111	eoj:ECO26_4177
ko:K12112	eoj:ECO26_4178
ko:K03291	eoj:ECO26_4925
ko:K01811	eoj:ECO26_4943
ko:K03312	eoj:ECO26_4946
ko:K01466	eoj:ECO26_0544
ko:K00652	eoj:ECO26_0902
ko:K10038	eoj:ECO26_0936
ko:K03221	eoj:ECO26_3934
ko:K04772	eoj:ECO26_4333
ko:K10708	eoj:ECO26_4460
ko:K10709	eoj:ECO26_4461
ko:K10711	eoj:ECO26_4463
ko:K06887	eoj:ECO26_4531
ko:K08177	eoj:ECO26_5054
ko:K08351	eoj:ECO26_5050
ko:K00835	eoj:ECO26_5029
ko:K07274	eoj:ECO26_5017
ko:K03445	eoj:ECO26_4921
ko:K08154	eoj:ECO26_4909
ko:K08194	eoj:ECO26_4891
ko:K00632	eoj:ECO26_4742
ko:K00124	eoj:ECO26_4693
ko:K11201	eoj:ECO26_4686
ko:K01739	eoj:ECO26_4645
ko:K00344	eoj:ECO26_5167
ko:K04017	eoj:ECO26_5193
ko:K00297	eoj:ECO26_4643
ko:K03762	eoj:ECO26_5223
ko:K01582	eoj:ECO26_5243
ko:K13892	eoj:ECO26_0956
ko:K10985	eoj:ECO26_4244
ko:K02057	eoj:ECO26_3593
ko:K07733	eoj:ECO26_1262
ko:K05685	eoj:ECO26_1006
ko:K01766	eoj:ECO26_3880
ko:K02799	eoj:ECO26_4024
ko:K02800	eoj:ECO26_4024
ko:K02798	eoj:ECO26_4025
ko:K13889	eoj:ECO26_0957
ko:K13890	eoj:ECO26_0958
ko:K05817	eoj:ECO26_3584
ko:K00529	eoj:ECO26_3589
ko:K07483	eoj:ECO26_1268
ko:K13637	eoj:ECO26_5520
ko:K01270	eoj:ECO26_0293
ko:K01271	eoj:ECO26_4740
ko:K00537	eoj:ECO26_4591
ko:K19124	eoj:ECO26_3827
ko:K01104	eoj:ECO26_2972
ko:K01104	eoj:ECO26_1537
ko:K03321	eoj:ECO26_1719
ko:K13256	eoj:ECO26_5145
ko:K11178	eoj:ECO26_0320
ko:K11991	eoj:ECO26_3606
ko:K05520	eoj:ECO26_4258
ko:K12262	eoj:ECO26_2016
ko:K13255	eoj:ECO26_5574
ko:K07232	eoj:ECO26_1734
ko:K07353	eoj:ECO26_0564
ko:K07245	eoj:ECO26_2678
ko:K01011	eoj:ECO26_3568
ko:K02116	eoj:ECO26_4839
ko:K06879	eoj:ECO26_3864
ko:K00971	eoj:ECO26_2960
ko:K00215	eoj:ECO26_0031
ko:K09473	eoj:ECO26_1865
ko:K13283	eoj:ECO26_4670
ko:K01897	eoj:ECO26_2574
ko:K13378	eoj:ECO26_3274
ko:K01420	eoj:ECO26_1903
ko:K08992	eoj:ECO26_1845
ko:K01497	eoj:ECO26_1843
ko:K03973	eoj:ECO26_1873
ko:K13243	eoj:ECO26_2087
ko:K13244	eoj:ECO26_0350
ko:K01485	eoj:ECO26_0374
ko:K07356	eoj:ECO26_0566
ko:K02423	eoj:ECO26_2818
ko:K00247	eoj:ECO26_5320
ko:K01297	eoj:ECO26_1705
ko:K12678	eoj:ECO26_0349
ko:K01826	eoj:ECO26_5554
ko:K07459	eoj:ECO26_1003
ko:K02614	eoj:ECO26_2000
ko:K07246	eoj:ECO26_2569
ko:K05540	eoj:ECO26_4366
ko:K13480	eoj:ECO26_3957
ko:K01118	eoj:ECO26_2011
ko:K03578	eoj:ECO26_2012
ko:K00134	eoj:ECO26_2015
ko:K05876	eoj:ECO26_2020
ko:K09794	eoj:ECO26_2024
ko:K03304	eoj:ECO26_2027
ko:K05782	eoj:ECO26_2032
ko:K08303	eoj:ECO26_2034
ko:K00137	eoj:ECO26_2043
ko:K01187	eoj:ECO26_0435
ko:K07484	eoj:ECO26_1267
ko:K13053	eoj:ECO26_1085
ko:K07346	eoj:ECO26_5513
ko:K11745	eoj:ECO26_0048
ko:K01582	eoj:ECO26_0188
ko:K01069	eoj:ECO26_0211
ko:K00108	eoj:ECO26_0345
ko:K00130	eoj:ECO26_0346
ko:K02058	eoj:ECO26_0360
ko:K02056	eoj:ECO26_0361
ko:K02057	eoj:ECO26_0362
ko:K02057	eoj:ECO26_0363
ko:K03417	eoj:ECO26_0369
ko:K01659	eoj:ECO26_0370
ko:K01190	eoj:ECO26_0380
ko:K05712	eoj:ECO26_0383
ko:K02554	eoj:ECO26_0386
ko:K01077	eoj:ECO26_0416
ko:K05939	eoj:ECO26_3909
ko:K07404	eoj:ECO26_0821
ko:K00799	eoj:ECO26_2364
ko:K01048	eoj:ECO26_4760
ko:K07684	eoj:ECO26_1737
ko:K02485	eoj:ECO26_1747
ko:K16371	eoj:ECO26_4235
ko:K00484	eoj:ECO26_5548
ko:K03407	eoj:ECO26_2740
ko:K02557	eoj:ECO26_2741
ko:K02556	eoj:ECO26_2742
ko:K02402	eoj:ECO26_2743
ko:K02403	eoj:ECO26_2744
ko:K00697	eoj:ECO26_2746
ko:K01087	eoj:ECO26_2747
ko:K10538	eoj:ECO26_2748
ko:K10539	eoj:ECO26_2749
ko:K10537	eoj:ECO26_2750
ko:K02255	eoj:ECO26_2751
ko:K02217	eoj:ECO26_2754
ko:K03834	eoj:ECO26_2756
ko:K07039	eoj:ECO26_2757
ko:K02469	eoj:ECO26_3224
ko:K11107	eoj:ECO26_3229
ko:K01126	eoj:ECO26_3232
ko:K02445	eoj:ECO26_3233
ko:K00111	eoj:ECO26_3234
ko:K00112	eoj:ECO26_3235
ko:K00113	eoj:ECO26_3236
ko:K07806	eoj:ECO26_3243
ko:K10012	eoj:ECO26_3244
ko:K10011	eoj:ECO26_3245
ko:K13014	eoj:ECO26_3246
ko:K07264	eoj:ECO26_3247
ko:K12962	eoj:ECO26_3248
ko:K12963	eoj:ECO26_3249
ko:K01911	eoj:ECO26_3251
ko:K01661	eoj:ECO26_3253
ko:K02551	eoj:ECO26_3255
ko:K05594	eoj:ECO26_3257
ko:K00343	eoj:ECO26_3264
ko:K00342	eoj:ECO26_3265
ko:K00341	eoj:ECO26_3266
ko:K00340	eoj:ECO26_3267
ko:K00339	eoj:ECO26_3268
ko:K00338	eoj:ECO26_3269
ko:K00337	eoj:ECO26_3270
ko:K00334	eoj:ECO26_3273
ko:K00789	eoj:ECO26_4041
ko:K08137	eoj:ECO26_4042
ko:K02742	eoj:ECO26_4043
ko:K09761	eoj:ECO26_4045
ko:K01920	eoj:ECO26_4046
ko:K07735	eoj:ECO26_4047
ko:K07447	eoj:ECO26_4048
ko:K02669	eoj:ECO26_4049
ko:K06997	eoj:ECO26_4050
ko:K02221	eoj:ECO26_4051
ko:K09131	eoj:ECO26_4052
ko:K09923	eoj:ECO26_4061
ko:K03439	eoj:ECO26_4062
ko:K03575	eoj:ECO26_4063
ko:K08306	eoj:ECO26_4065
ko:K01581	eoj:ECO26_4067
ko:K07150	eoj:ECO26_4068
ko:K01638	eoj:ECO26_4076
ko:K11473	eoj:ECO26_4078
ko:K11472	eoj:ECO26_4079
ko:K11474	eoj:ECO26_4081
ko:K02529	eoj:ECO26_4825
ko:K10441	eoj:ECO26_4829
ko:K06726	eoj:ECO26_4830
ko:K03549	eoj:ECO26_4831
ko:K03924	eoj:ECO26_4832
ko:K01914	eoj:ECO26_4834
ko:K06205	eoj:ECO26_4836
ko:K03495	eoj:ECO26_4837
ko:K03501	eoj:ECO26_4838
ko:K02108	eoj:ECO26_4840
ko:K02110	eoj:ECO26_4841
ko:K02109	eoj:ECO26_4842
ko:K02113	eoj:ECO26_4843
ko:K02111	eoj:ECO26_4844
ko:K02115	eoj:ECO26_4845
ko:K02112	eoj:ECO26_4846
ko:K02114	eoj:ECO26_4847
ko:K04042	eoj:ECO26_4848
ko:K00820	eoj:ECO26_4849
ko:K07345	eoj:ECO26_4850
ko:K07347	eoj:ECO26_4852
ko:K02040	eoj:ECO26_4854
ko:K02037	eoj:ECO26_4855
ko:K02038	eoj:ECO26_4856
ko:K02036	eoj:ECO26_4857
ko:K02039	eoj:ECO26_4858
ko:K01223	eoj:ECO26_4861
ko:K10124	eoj:ECO26_4862
ko:K06901	eoj:ECO26_4868
ko:K08163	eoj:ECO26_4872
ko:K15524	eoj:ECO26_0792
ko:K00104	eoj:ECO26_4080
ko:K01664	eoj:ECO26_4449
ko:K15548	eoj:ECO26_4340
ko:K01096	eoj:ECO26_1844
ko:K07491	eoj:ECO26_2564
ko:K07491	eoj:ECO26_5372
ko:K03468	eoj:ECO26_4339
ko:K14057	eoj:ECO26_1908
ko:K14062	eoj:ECO26_1980
ko:K14063	eoj:ECO26_1988
ko:K14064	eoj:ECO26_2745
ko:K14056	eoj:ECO26_1866
ko:K14061	eoj:ECO26_1979
ko:K11754	eoj:ECO26_3303
ko:K00713	eoj:ECO26_4974
ko:K14055	eoj:ECO26_1902
ko:K00821	eoj:ECO26_4448
ko:K13650	eoj:ECO26_0933
ko:K01916	eoj:ECO26_2515
ko:K03897	eoj:ECO26_1348
ko:K03896	eoj:ECO26_1346
ko:K11005	eoj:ECO26_p1-02
ko:K02062	eoj:ECO26_0068
ko:K13735	eoj:ECO26_0333
ko:K02575	eoj:ECO26_2068
ko:K14054	eoj:ECO26_1894
ko:K08349	eoj:ECO26_2073
ko:K08350	eoj:ECO26_2074
ko:K00027	eoj:ECO26_2077
ko:K02972	eoj:ECO26_2078
ko:K02034	eoj:ECO26_2083
ko:K02033	eoj:ECO26_2084
ko:K08641	eoj:ECO26_2086
ko:K01580	eoj:ECO26_2091
ko:K02471	eoj:ECO26_2094
ko:K06871	eoj:ECO26_2095
ko:K07347	eoj:ECO26_2103
ko:K07345	eoj:ECO26_2105
ko:K07154	eoj:ECO26_2107
ko:K11531	eoj:ECO26_2114
ko:K10558	eoj:ECO26_2115
ko:K10556	eoj:ECO26_2116
ko:K00657	eoj:ECO26_2286
ko:K07312	eoj:ECO26_2293
ko:K01679	eoj:ECO26_2339
ko:K11007	eoj:ECO26_1600
ko:K10762	eoj:ECO26_1113
ko:K14059	eoj:ECO26_2281
ko:K11139	eoj:ECO26_1695
ko:K14065	eoj:ECO26_4662
ko:K10762	eoj:ECO26_1928
ko:K14059	eoj:ECO26_1560
ko:K01782	eoj:ECO26_3328
ko:K01825	eoj:ECO26_4741
ko:K14059	eoj:ECO26_1914
ko:K14060	eoj:ECO26_2157
ko:K14052	eoj:ECO26_1863
ko:K14053	eoj:ECO26_1887
ko:K14058	eoj:ECO26_1913
ko:K14051	eoj:ECO26_1852
ko:K06211	eoj:ECO26_5596
ko:K13628	eoj:ECO26_3575
ko:K02814	eoj:ECO26_5129
ko:K02813	eoj:ECO26_5130
ko:K00632	eoj:ECO26_3329
ko:K07483	eoj:ECO26_p1-18
ko:K07483	eoj:ECO26_3726
ko:K13793	eoj:ECO26_1814
ko:K03719	eoj:ECO26_1015
ko:K12138	eoj:ECO26_3529
ko:K07749	eoj:ECO26_3434
ko:K02414	eoj:ECO26_2830
ko:K07782	eoj:ECO26_2808
ko:K16693	eoj:ECO26_4794
ko:K13069	eoj:ECO26_2561
ko:K04771	eoj:ECO26_0164
ko:K01487	eoj:ECO26_3972
ko:K04072	eoj:ECO26_1752
ko:K01355	eoj:ECO26_0631
ko:K11085	eoj:ECO26_1040
ko:K00666	eoj:ECO26_4083
ko:K07165	eoj:ECO26_5460
ko:K00281	eoj:ECO26_3992
ko:K00885	eoj:ECO26_4321
ko:K00537	eoj:ECO26_3542
ko:K00087	eoj:ECO26_3955
ko:K00675	eoj:ECO26_2062
ko:K09936	eoj:ECO26_2048
ko:K03823	eoj:ECO26_2049
ko:K02014	eoj:ECO26_2052
ko:K11738	eoj:ECO26_2054
ko:K11208	eoj:ECO26_2055
ko:K05794	eoj:ECO26_1311
ko:K05778	eoj:ECO26_2530
ko:K05779	eoj:ECO26_2531
ko:K08320	eoj:ECO26_2534
ko:K00262	eoj:ECO26_2536
ko:K01008	eoj:ECO26_2539
ko:K04773	eoj:ECO26_2541
ko:K09916	eoj:ECO26_2544
ko:K00134	eoj:ECO26_2546
ko:K07180	eoj:ECO26_2550
ko:K09786	eoj:ECO26_2551
ko:K03449	eoj:ECO26_2558
ko:K09712	eoj:ECO26_2560
ko:K11250	eoj:ECO26_2567
ko:K03684	eoj:ECO26_2573
ko:K07285	eoj:ECO26_2575
ko:K09917	eoj:ECO26_2580
ko:K01665	eoj:ECO26_2581
ko:K01752	eoj:ECO26_2583
ko:K00878	eoj:ECO26_3013
ko:K01874	eoj:ECO26_3023
ko:K02478	eoj:ECO26_3039
ko:K05846	eoj:ECO26_3041
ko:K05846	eoj:ECO26_3043
ko:K05845	eoj:ECO26_3044
ko:K05349	eoj:ECO26_3045
ko:K03777	eoj:ECO26_3046
ko:K07262	eoj:ECO26_3047
ko:K05541	eoj:ECO26_3052
ko:K10542	eoj:ECO26_3061
ko:K02529	eoj:ECO26_3063
ko:K07148	eoj:ECO26_3064
ko:K01495	eoj:ECO26_3065
ko:K00390	eoj:ECO26_3833
ko:K00381	eoj:ECO26_3834
ko:K01737	eoj:ECO26_3836
ko:K00313	eoj:ECO26_3837
ko:K10026	eoj:ECO26_3847
ko:K06872	eoj:ECO26_3848
ko:K01689	eoj:ECO26_3849
ko:K01937	eoj:ECO26_3850
ko:K03215	eoj:ECO26_3855
ko:K01706	eoj:ECO26_3857
ko:K06175	eoj:ECO26_3861
ko:K06966	eoj:ECO26_3865
ko:K03837	eoj:ECO26_3866
ko:K01752	eoj:ECO26_3867
ko:K00048	eoj:ECO26_3869
ko:K01628	eoj:ECO26_3870
ko:K02429	eoj:ECO26_3871
ko:K01818	eoj:ECO26_3872
ko:K02431	eoj:ECO26_3874
ko:K02430	eoj:ECO26_3875
ko:K06968	eoj:ECO26_3876
ko:K02426	eoj:ECO26_3881
ko:K12371	eoj:ECO26_4635
ko:K12370	eoj:ECO26_4636
ko:K12369	eoj:ECO26_4637
ko:K12368	eoj:ECO26_4638
ko:K09974	eoj:ECO26_4640
ko:K12525	eoj:ECO26_4644
ko:K03764	eoj:ECO26_4646
ko:K02909	eoj:ECO26_4649
ko:K04066	eoj:ECO26_4650
ko:K03591	eoj:ECO26_4652
ko:K01419	eoj:ECO26_4653
ko:K03667	eoj:ECO26_4654
ko:K02548	eoj:ECO26_4655
ko:K02553	eoj:ECO26_4656
ko:K09892	eoj:ECO26_4657
ko:K02440	eoj:ECO26_4658
ko:K00864	eoj:ECO26_4659
ko:K00528	eoj:ECO26_4661
ko:K01803	eoj:ECO26_4666
ko:K01521	eoj:ECO26_4667
ko:K02048	eoj:ECO26_4668
ko:K00850	eoj:ECO26_4669
ko:K06006	eoj:ECO26_4671
ko:K02526	eoj:ECO26_4675
ko:K04564	eoj:ECO26_4676
ko:K02856	eoj:ECO26_4677
ko:K02854	eoj:ECO26_4678
ko:K00848	eoj:ECO26_4681
ko:K03534	eoj:ECO26_4685
ko:K06915	eoj:ECO26_5433
ko:K12957	eoj:ECO26_5434
ko:K02013	eoj:ECO26_5455
ko:K02015	eoj:ECO26_5456
ko:K02015	eoj:ECO26_5457
ko:K02016	eoj:ECO26_5458
ko:K03088	eoj:ECO26_5461
ko:K00568	eoj:ECO26_3225
ko:K06183	eoj:ECO26_3096
ko:K00325	eoj:ECO26_2330
ko:K00324	eoj:ECO26_2331
ko:K03758	eoj:ECO26_2333
ko:K07661	eoj:ECO26_2336
ko:K07639	eoj:ECO26_2337
ko:K01676	eoj:ECO26_2340
ko:K01809	eoj:ECO26_2341
ko:K01195	eoj:ECO26_2345
ko:K10773	eoj:ECO26_2362
ko:K03305	eoj:ECO26_2363
ko:K00868	eoj:ECO26_2365
ko:K01866	eoj:ECO26_2366
ko:K00275	eoj:ECO26_2367
ko:K09001	eoj:ECO26_2369
ko:K00998	eoj:ECO26_3632
ko:K05811	eoj:ECO26_3633
ko:K03695	eoj:ECO26_3635
ko:K05810	eoj:ECO26_3636
ko:K06180	eoj:ECO26_3637
ko:K05807	eoj:ECO26_3638
ko:K05809	eoj:ECO26_3639
ko:K01626	eoj:ECO26_3643
ko:K02884	eoj:ECO26_3648
ko:K00554	eoj:ECO26_3649
ko:K02860	eoj:ECO26_3650
ko:K02959	eoj:ECO26_3651
ko:K03106	eoj:ECO26_3652
ko:K03687	eoj:ECO26_3655
ko:K00858	eoj:ECO26_3656
ko:K03631	eoj:ECO26_3657
ko:K06186	eoj:ECO26_3658
ko:K09801	eoj:ECO26_3659
ko:K03664	eoj:ECO26_3661
ko:K07237	eoj:ECO26_4431
ko:K07236	eoj:ECO26_4432
ko:K07235	eoj:ECO26_4433
ko:K03745	eoj:ECO26_4436
ko:K03775	eoj:ECO26_4437
ko:K07070	eoj:ECO26_4438
ko:K06158	eoj:ECO26_4441
ko:K00855	eoj:ECO26_4444
ko:K07397	eoj:ECO26_4445
ko:K04095	eoj:ECO26_4450
ko:K06141	eoj:ECO26_4453
