ko:K20265	banm:EN10_02245
ko:K01740	banm:EN10_02575
ko:K00973	banm:EN10_06965
ko:K12990	banm:EN10_07005
ko:K12992	banm:EN10_07015
ko:K00012	banm:EN10_07025
ko:K03322	banm:EN10_07060
ko:K06215	banm:EN10_07070
ko:K08681	banm:EN10_07075
ko:K12990	banm:EN10_07100
ko:K01897	banm:EN10_07115
ko:K06287	banm:EN10_07120
ko:K01104	banm:EN10_07125
ko:K00872	banm:EN10_07155
ko:K00003	banm:EN10_07160
ko:K01586	banm:EN10_07165
ko:K01887	banm:EN10_07170
ko:K01201	banm:EN10_07175
ko:K10242	banm:EN10_07185
ko:K05838	banm:EN10_07200
ko:K07503	banm:EN10_07220
ko:K12410	banm:EN10_08035
ko:K01754	banm:EN10_08040
ko:K01182	banm:EN10_08045
ko:K10119	banm:EN10_08060
ko:K10118	banm:EN10_08065
ko:K10117	banm:EN10_08070
ko:K07407	banm:EN10_08080
ko:K11991	banm:EN10_08085
ko:K03316	banm:EN10_08090
ko:K06999	banm:EN10_08095
ko:K06147	banm:EN10_07110
ko:K01978	banm:EN10_08230
ko:K19055	banm:EN10_04845
ko:K03976	banm:EN10_05895
ko:K07481	banm:EN10_04910
ko:K18220	banm:EN10_04905
ko:K07473	banm:EN10_00570
ko:K03496	banm:EN10_05860
ko:K03111	banm:EN10_02720
ko:K03502	banm:EN10_03045
ko:K03111	banm:EN10_07570
ko:K08168	banm:EN10_07590
ko:K07473	banm:EN10_07610
ko:K07473	banm:EN10_08000
ko:K09951	banm:EN10_06620
ko:K03497	banm:EN10_08195
ko:K03496	banm:EN10_08200
ko:K16785	banm:EN10_03610
ko:K16786	banm:EN10_03610
ko:K16787	banm:EN10_03610
ko:K03526	banm:EN10_06340
ko:K07816	banm:EN10_05685
ko:K00067	banm:EN10_06970
ko:K01790	banm:EN10_06970
ko:K00633	banm:EN10_00890
ko:K07172	banm:EN10_00220
ko:K19131	banm:EN10_06615
ko:K19157	banm:EN10_00210
ko:K19132	banm:EN10_06610
ko:K01239	banm:EN10_07275
ko:K01239	banm:EN10_07595
ko:K01710	banm:EN10_06975
ko:K01621	banm:EN10_04925
ko:K19265	banm:EN10_01440
ko:K01990	banm:EN10_05710
ko:K01992	banm:EN10_03965
ko:K12952	banm:EN10_05755
ko:K19302	banm:EN10_00885
ko:K01785	banm:EN10_05905
ko:K18205	banm:EN10_08025
ko:K08156	banm:EN10_00555
ko:K10547	banm:EN10_00310
ko:K00526	banm:EN10_01655
ko:K14233	banm:EN10_01870
ko:K14230	banm:EN10_07280
ko:K08744	banm:EN10_04030
ko:K21672	banm:EN10_05695
ko:K12132	banm:EN10_00430
ko:K12132	banm:EN10_05605
ko:K12132	banm:EN10_00435
ko:K01980	banm:EN10_07980
ko:K14227	banm:EN10_00085
ko:K14234	banm:EN10_08145
ko:K14224	banm:EN10_01210
ko:K01977	banm:EN10_07985
ko:K01977	banm:EN10_08015
ko:K20074	banm:EN10_00450
ko:K14232	banm:EN10_04105
ko:K14226	banm:EN10_03135
ko:K01214	banm:EN10_01905
ko:K01200	banm:EN10_07890
ko:K20814	banm:EN10_03250
ko:K00525	banm:EN10_01660
ko:K00821	banm:EN10_03665
ko:K06217	banm:EN10_04600
ko:K21636	banm:EN10_06660
ko:K00558	banm:EN10_00170
ko:K02314	banm:EN10_00995
ko:K01520	banm:EN10_05530
ko:K03553	banm:EN10_05645
ko:K06191	banm:EN10_01670
ko:K04068	banm:EN10_06655
ko:K00560	banm:EN10_02330
ko:K00287	banm:EN10_02335
ko:K02316	banm:EN10_02985
ko:K02031	banm:EN10_02855
ko:K02032	banm:EN10_02860
ko:K02335	banm:EN10_04970
ko:K01999	banm:EN10_00720
ko:K07005	banm:EN10_03065
ko:K03293	banm:EN10_00835
ko:K21471	banm:EN10_02775
ko:K21471	banm:EN10_02315
ko:K07749	banm:EN10_07330
ko:K03293	banm:EN10_00820
ko:K01802	banm:EN10_05120
ko:K05364	banm:EN10_00440
ko:K10914	banm:EN10_06875
ko:K14237	banm:EN10_04225
ko:K14220	banm:EN10_03870
ko:K14220	banm:EN10_03880
ko:K14228	banm:EN10_05135
ko:K14219	banm:EN10_02995
ko:K14232	banm:EN10_04945
ko:K00936	banm:EN10_05105
ko:K22010	banm:EN10_04975
ko:K03595	banm:EN10_04585
ko:K14235	banm:EN10_01560
ko:K03077	banm:EN10_00340
ko:K22306	banm:EN10_03785
ko:K22311	banm:EN10_04180
ko:K22441	banm:EN10_04205
ko:K00728	banm:EN10_07810
ko:K08300	banm:EN10_01530
ko:K08301	banm:EN10_01530
