ko:K01813	llx:NCDO2118_1683
ko:K02015	llx:NCDO2118_0900
ko:K02015	llx:NCDO2118_0901
ko:K02016	llx:NCDO2118_0902
ko:K06988	llx:NCDO2118_0903
ko:K07104	llx:NCDO2118_0905
ko:K03588	llx:NCDO2118_0906
ko:K11617	llx:NCDO2118_0909
ko:K11618	llx:NCDO2118_0910
ko:K03768	llx:NCDO2118_0912
ko:K07570	llx:NCDO2118_0913
ko:K05837	llx:NCDO2118_0915
ko:K00004	llx:NCDO2118_0916
ko:K03366	llx:NCDO2118_0917
ko:K02470	llx:NCDO2118_0925
ko:K10440	llx:NCDO2118_1738
ko:K10441	llx:NCDO2118_1739
ko:K06726	llx:NCDO2118_1740
ko:K00852	llx:NCDO2118_1741
ko:K02529	llx:NCDO2118_1742
ko:K01756	llx:NCDO2118_1743
ko:K03785	llx:NCDO2118_1744
ko:K03671	llx:NCDO2118_1746
ko:K07456	llx:NCDO2118_1747
ko:K02529	llx:NCDO2118_1750
ko:K07444	llx:NCDO2118_1753
ko:K02340	llx:NCDO2118_1755
ko:K03466	llx:NCDO2118_1757
ko:K00625	llx:NCDO2118_1760
ko:K00876	llx:NCDO2118_1761
ko:K03183	llx:NCDO2118_1770
ko:K01421	llx:NCDO2118_1771
ko:K01223	llx:NCDO2118_1772
ko:K01662	llx:NCDO2118_1773
ko:K14982	llx:NCDO2118_1774
ko:K14983	llx:NCDO2118_1775
ko:K02529	llx:NCDO2118_1776
ko:K00691	llx:NCDO2118_1777
ko:K01187	llx:NCDO2118_1778
ko:K01176	llx:NCDO2118_1779
ko:K00661	llx:NCDO2118_1780
ko:K15770	llx:NCDO2118_1783
ko:K15771	llx:NCDO2118_1784
ko:K15772	llx:NCDO2118_1785
ko:K08996	llx:NCDO2118_1786
ko:K09963	llx:NCDO2118_0164
ko:K02761	llx:NCDO2118_0165
ko:K01223	llx:NCDO2118_0168
ko:K06941	llx:NCDO2118_0174
ko:K00805	llx:NCDO2118_0176
ko:K02548	llx:NCDO2118_0177
ko:K04759	llx:NCDO2118_0180
ko:K04758	llx:NCDO2118_0181
ko:K07305	llx:NCDO2118_0183
ko:K07030	llx:NCDO2118_0184
ko:K02902	llx:NCDO2118_0186
ko:K00973	llx:NCDO2118_0188
ko:K01790	llx:NCDO2118_0190
ko:K00067	llx:NCDO2118_0193
ko:K12996	llx:NCDO2118_0194
ko:K12997	llx:NCDO2118_0195
ko:K01992	llx:NCDO2118_0196
ko:K01990	llx:NCDO2118_0197
ko:K07272	llx:NCDO2118_0200
ko:K09153	llx:NCDO2118_0203
ko:K01784	llx:NCDO2118_0204
ko:K07271	llx:NCDO2118_0207
ko:K00088	llx:NCDO2118_0213
ko:K06948	llx:NCDO2118_0214
ko:K03665	llx:NCDO2118_0216
ko:K07574	llx:NCDO2118_0217
ko:K02342	llx:NCDO2118_1046
ko:K02348	llx:NCDO2118_1047
ko:K02621	llx:NCDO2118_1048
ko:K11752	llx:NCDO2118_1050
ko:K00793	llx:NCDO2118_1051
ko:K14652	llx:NCDO2118_1052
ko:K00794	llx:NCDO2118_1053
ko:K03101	llx:NCDO2118_1054
ko:K06180	llx:NCDO2118_1055
ko:K09775	llx:NCDO2118_1056
ko:K00820	llx:NCDO2118_1063
ko:K03630	llx:NCDO2118_1064
ko:K01926	llx:NCDO2118_1065
ko:K16509	llx:NCDO2118_1066
ko:K06158	llx:NCDO2118_1067
ko:K00762	llx:NCDO2118_1071
ko:K01465	llx:NCDO2118_1072
ko:K02086	llx:NCDO2118_1073
ko:K10773	llx:NCDO2118_1074
ko:K06967	llx:NCDO2118_1075
ko:K06885	llx:NCDO2118_1079
ko:K02888	llx:NCDO2118_1082
ko:K07584	llx:NCDO2118_1083
ko:K02899	llx:NCDO2118_1084
ko:K03322	llx:NCDO2118_1085
ko:K07042	llx:NCDO2118_1088
ko:K09962	llx:NCDO2118_1090
ko:K02242	llx:NCDO2118_1091
ko:K02240	llx:NCDO2118_1092
ko:K09799	llx:NCDO2118_1095
ko:K01878	llx:NCDO2118_1097
ko:K01879	llx:NCDO2118_1098
ko:K04488	llx:NCDO2118_1895
ko:K11717	llx:NCDO2118_1897
ko:K09015	llx:NCDO2118_1898
ko:K09013	llx:NCDO2118_1899
ko:K16511	llx:NCDO2118_1901
ko:K02028	llx:NCDO2118_1902
ko:K02029	llx:NCDO2118_1903
ko:K03046	llx:NCDO2118_1905
ko:K03043	llx:NCDO2118_1906
ko:K07386	llx:NCDO2118_1909
ko:K07443	llx:NCDO2118_1910
ko:K05362	llx:NCDO2118_1912
ko:K13953	llx:NCDO2118_1914
ko:K03654	llx:NCDO2118_1915
ko:K01258	llx:NCDO2118_1917
ko:K15986	llx:NCDO2118_1919
ko:K04069	llx:NCDO2118_1920
ko:K03699	llx:NCDO2118_1921
ko:K03701	llx:NCDO2118_1940
ko:K02226	llx:NCDO2118_1942
ko:K07461	llx:NCDO2118_1943
ko:K03810	llx:NCDO2118_1945
ko:K00949	llx:NCDO2118_1946
ko:K16787	llx:NCDO2118_0331
ko:K16785	llx:NCDO2118_0332
ko:K00674	llx:NCDO2118_0335
ko:K05823	llx:NCDO2118_0336
ko:K02986	llx:NCDO2118_0340
ko:K06959	llx:NCDO2118_0341
ko:K03095	llx:NCDO2118_0342
ko:K01488	llx:NCDO2118_0343
ko:K12574	llx:NCDO2118_0345
ko:K03789	llx:NCDO2118_0349
ko:K03789	llx:NCDO2118_0350
ko:K01409	llx:NCDO2118_0351
ko:K02044	llx:NCDO2118_0355
ko:K02041	llx:NCDO2118_0356
ko:K02042	llx:NCDO2118_0357
ko:K02042	llx:NCDO2118_0358
ko:K01119	llx:NCDO2118_0359
ko:K11065	llx:NCDO2118_0361
ko:K01256	llx:NCDO2118_0362
ko:K00790	llx:NCDO2118_0371
ko:K06147	llx:NCDO2118_0375
ko:K03523	llx:NCDO2118_0377
ko:K03976	llx:NCDO2118_0378
ko:K16789	llx:NCDO2118_0379
ko:K02073	llx:NCDO2118_0380
ko:K02073	llx:NCDO2118_0381
ko:K02073	llx:NCDO2118_0382
ko:K02073	llx:NCDO2118_0383
ko:K02071	llx:NCDO2118_0384
ko:K12573	llx:NCDO2118_1214
ko:K00817	llx:NCDO2118_1215
ko:K02502	llx:NCDO2118_1216
ko:K00765	llx:NCDO2118_1217
ko:K00013	llx:NCDO2118_1218
ko:K01693	llx:NCDO2118_1220
ko:K02501	llx:NCDO2118_1222
ko:K01814	llx:NCDO2118_1223
ko:K02500	llx:NCDO2118_1224
ko:K11755	llx:NCDO2118_1225
ko:K04486	llx:NCDO2118_1226
ko:K07146	llx:NCDO2118_1227
ko:K01649	llx:NCDO2118_1228
ko:K00052	llx:NCDO2118_1229
ko:K01703	llx:NCDO2118_1230
ko:K01704	llx:NCDO2118_1231
ko:K02013	llx:NCDO2118_1232
ko:K01687	llx:NCDO2118_1233
ko:K01652	llx:NCDO2118_1234
ko:K01653	llx:NCDO2118_1235
ko:K00053	llx:NCDO2118_1236
ko:K01754	llx:NCDO2118_1237
ko:K01575	llx:NCDO2118_1238
ko:K09022	llx:NCDO2118_1239
ko:K04096	llx:NCDO2118_1240
ko:K03168	llx:NCDO2118_1241
ko:K04094	llx:NCDO2118_1242
ko:K01992	llx:NCDO2118_1255
ko:K01992	llx:NCDO2118_1256
ko:K01990	llx:NCDO2118_1257
ko:K01897	llx:NCDO2118_1260
ko:K02078	llx:NCDO2118_1261
ko:K03698	llx:NCDO2118_2043
ko:K09760	llx:NCDO2118_2044
ko:K01783	llx:NCDO2118_2045
ko:K06949	llx:NCDO2118_2047
ko:K01890	llx:NCDO2118_2049
ko:K01889	llx:NCDO2118_2050
ko:K13727	llx:NCDO2118_2051
ko:K01183	llx:NCDO2118_2053
ko:K01939	llx:NCDO2118_2055
ko:K04083	llx:NCDO2118_2062
ko:K01876	llx:NCDO2118_2069
ko:K01892	llx:NCDO2118_2071
ko:K00995	llx:NCDO2118_2078
ko:K03629	llx:NCDO2118_2083
ko:K01607	llx:NCDO2118_2084
ko:K01784	llx:NCDO2118_2087
ko:K01190	llx:NCDO2118_2088
ko:K00965	llx:NCDO2118_2090
ko:K00849	llx:NCDO2118_2091
ko:K01785	llx:NCDO2118_2092
ko:K16209	llx:NCDO2118_2093
ko:K06173	llx:NCDO2118_0495
ko:K00868	llx:NCDO2118_0496
ko:K01937	llx:NCDO2118_0500
ko:K00016	llx:NCDO2118_0501
ko:K06966	llx:NCDO2118_0504
ko:K02337	llx:NCDO2118_0506
ko:K11068	llx:NCDO2118_0507
ko:K01207	llx:NCDO2118_0510
ko:K03530	llx:NCDO2118_0512
ko:K00567	llx:NCDO2118_0514
ko:K13530	llx:NCDO2118_0515
ko:K01990	llx:NCDO2118_0516
ko:K01992	llx:NCDO2118_0517
ko:K04487	llx:NCDO2118_0520
ko:K15580	llx:NCDO2118_0522
ko:K01738	llx:NCDO2118_0523
ko:K05366	llx:NCDO2118_0526
ko:K03700	llx:NCDO2118_0527
ko:K16509	llx:NCDO2118_0529
ko:K01092	llx:NCDO2118_0531
ko:K00790	llx:NCDO2118_0532
ko:K03545	llx:NCDO2118_0534
ko:K03086	llx:NCDO2118_0536
ko:K07032	llx:NCDO2118_1371
ko:K03547	llx:NCDO2118_1374
ko:K00077	llx:NCDO2118_1375
ko:K16509	llx:NCDO2118_1376
ko:K00563	llx:NCDO2118_1380
ko:K02056	llx:NCDO2118_1381
ko:K02057	llx:NCDO2118_1382
ko:K02057	llx:NCDO2118_1383
ko:K00016	llx:NCDO2118_1384
ko:K00873	llx:NCDO2118_1385
ko:K00850	llx:NCDO2118_1386
ko:K01443	llx:NCDO2118_1388
ko:K00057	llx:NCDO2118_1391
ko:K00963	llx:NCDO2118_1392
ko:K00805	llx:NCDO2118_1394
ko:K00805	llx:NCDO2118_1395
ko:K03501	llx:NCDO2118_1396
ko:K01591	llx:NCDO2118_1398
ko:K17828	llx:NCDO2118_1399
ko:K02823	llx:NCDO2118_1400
ko:K03492	llx:NCDO2118_1402
ko:K01223	llx:NCDO2118_1403
ko:K02026	llx:NCDO2118_1405
ko:K02025	llx:NCDO2118_1406
ko:K01060	llx:NCDO2118_1409
ko:K06872	llx:NCDO2118_1412
ko:K06181	llx:NCDO2118_1413
ko:K01955	llx:NCDO2118_1414
ko:K00432	llx:NCDO2118_1415
ko:K09765	llx:NCDO2118_1418
ko:K08987	llx:NCDO2118_1423
ko:K02961	llx:NCDO2118_2200
ko:K02904	llx:NCDO2118_2201
ko:K02878	llx:NCDO2118_2202
ko:K02982	llx:NCDO2118_2203
ko:K02890	llx:NCDO2118_2204
ko:K02965	llx:NCDO2118_2205
ko:K02886	llx:NCDO2118_2206
ko:K02892	llx:NCDO2118_2207
ko:K02926	llx:NCDO2118_2208
ko:K02906	llx:NCDO2118_2209
ko:K03282	llx:NCDO2118_2210
ko:K01733	llx:NCDO2118_2212
ko:K02601	llx:NCDO2118_2213
ko:K03073	llx:NCDO2118_2214
ko:K12555	llx:NCDO2118_2216
ko:K06180	llx:NCDO2118_2220
ko:K09816	llx:NCDO2118_2221
ko:K09817	llx:NCDO2118_2222
ko:K09815	llx:NCDO2118_2223
ko:K02248	llx:NCDO2118_2226
ko:K02246	llx:NCDO2118_2228
ko:K02245	llx:NCDO2118_2229
ko:K02244	llx:NCDO2118_2230
ko:K02243	llx:NCDO2118_2231
ko:K03763	llx:NCDO2118_2233
ko:K01881	llx:NCDO2118_2236
ko:K11749	llx:NCDO2118_2237
ko:K00981	llx:NCDO2118_2238
ko:K00806	llx:NCDO2118_2239
ko:K03210	llx:NCDO2118_2240
ko:K00783	llx:NCDO2118_2242
ko:K01681	llx:NCDO2118_0649
ko:K00031	llx:NCDO2118_0650
ko:K01358	llx:NCDO2118_0651
ko:K16509	llx:NCDO2118_0653
ko:K01537	llx:NCDO2118_0655
ko:K03311	llx:NCDO2118_0656
ko:K06975	llx:NCDO2118_0657
ko:K03484	llx:NCDO2118_0662
ko:K01193	llx:NCDO2118_0663
ko:K02808	llx:NCDO2118_0664
ko:K02809	llx:NCDO2118_0664
ko:K02810	llx:NCDO2118_0664
ko:K00847	llx:NCDO2118_0665
ko:K01807	llx:NCDO2118_0668
ko:K03488	llx:NCDO2118_0672
ko:K02755	llx:NCDO2118_0673
ko:K02756	llx:NCDO2118_0673
ko:K02757	llx:NCDO2118_0673
ko:K01223	llx:NCDO2118_0674
ko:K03488	llx:NCDO2118_0675
ko:K02755	llx:NCDO2118_0676
ko:K02756	llx:NCDO2118_0676
ko:K02757	llx:NCDO2118_0676
ko:K01223	llx:NCDO2118_0677
ko:K03424	llx:NCDO2118_0703
ko:K05985	llx:NCDO2118_0705
ko:K03292	llx:NCDO2118_1527
ko:K01785	llx:NCDO2118_1528
ko:K00854	llx:NCDO2118_1529
ko:K01805	llx:NCDO2118_1530
ko:K01589	llx:NCDO2118_1532
ko:K01588	llx:NCDO2118_1533
ko:K01945	llx:NCDO2118_1534
ko:K00602	llx:NCDO2118_1538
ko:K00760	llx:NCDO2118_1539
ko:K11175	llx:NCDO2118_1543
ko:K01933	llx:NCDO2118_1544
ko:K03695	llx:NCDO2118_1545
ko:K00764	llx:NCDO2118_1548
ko:K01952	llx:NCDO2118_1550
ko:K01952	llx:NCDO2118_1551
ko:K01952	llx:NCDO2118_1552
ko:K01923	llx:NCDO2118_1553
ko:K01607	llx:NCDO2118_1556
ko:K00226	llx:NCDO2118_1571
ko:K07304	llx:NCDO2118_1572
ko:K15738	llx:NCDO2118_1575
ko:K08317	llx:NCDO2118_1577
ko:K03570	llx:NCDO2118_2352
ko:K03574	llx:NCDO2118_2353
ko:K01807	llx:NCDO2118_2354
ko:K06183	llx:NCDO2118_2361
ko:K03650	llx:NCDO2118_2363
ko:K03655	llx:NCDO2118_2365
ko:K06193	llx:NCDO2118_2366
ko:K00134	llx:NCDO2118_2367
ko:K02996	llx:NCDO2118_2373
ko:K02871	llx:NCDO2118_2374
ko:K02004	llx:NCDO2118_2375
ko:K02003	llx:NCDO2118_2376
ko:K03471	llx:NCDO2118_2377
ko:K03100	llx:NCDO2118_2378
ko:K09685	llx:NCDO2118_2379
ko:K02355	llx:NCDO2118_2380
ko:K02992	llx:NCDO2118_2381
ko:K02950	llx:NCDO2118_2382
ko:K07258	llx:NCDO2118_2383
ko:K05340	llx:NCDO2118_2384
ko:K07139	llx:NCDO2118_2386
ko:K00611	llx:NCDO2118_0816
ko:K03685	llx:NCDO2118_0817
ko:K03529	llx:NCDO2118_0818
ko:K03110	llx:NCDO2118_0826
ko:K00948	llx:NCDO2118_0827
ko:K01869	llx:NCDO2118_0829
ko:K02761	llx:NCDO2118_0831
ko:K01223	llx:NCDO2118_0832
ko:K03885	llx:NCDO2118_0835
ko:K03885	llx:NCDO2118_0836
ko:K01752	llx:NCDO2118_0837
ko:K01752	llx:NCDO2118_0838
ko:K17686	llx:NCDO2118_0841
ko:K00566	llx:NCDO2118_0844
ko:K02945	llx:NCDO2118_0845
ko:K00757	llx:NCDO2118_0846
ko:K03811	llx:NCDO2118_0847
ko:K03703	llx:NCDO2118_0848
ko:K03575	llx:NCDO2118_0849
ko:K00997	llx:NCDO2118_0851
ko:K01775	llx:NCDO2118_0852
ko:K16509	llx:NCDO2118_0853
ko:K00383	llx:NCDO2118_0854
ko:K05847	llx:NCDO2118_0855
ko:K05845	llx:NCDO2118_0856
ko:K05846	llx:NCDO2118_0856
ko:K01533	llx:NCDO2118_0864
ko:K01491	llx:NCDO2118_0866
ko:K03601	llx:NCDO2118_0867
ko:K03602	llx:NCDO2118_0868
ko:K13789	llx:NCDO2118_0870
ko:K06442	llx:NCDO2118_0871
ko:K03402	llx:NCDO2118_0872
ko:K03631	llx:NCDO2118_0873
ko:K01956	llx:NCDO2118_1699
ko:K00609	llx:NCDO2118_1700
ko:K02824	llx:NCDO2118_1701
ko:K02825	llx:NCDO2118_1702
ko:K16264	llx:NCDO2118_1705
ko:K00147	llx:NCDO2118_1706
ko:K00931	llx:NCDO2118_1707
ko:K09155	llx:NCDO2118_1708
ko:K06988	llx:NCDO2118_1712
ko:K00657	llx:NCDO2118_1713
ko:K03106	llx:NCDO2118_1714
ko:K12574	llx:NCDO2118_1716
ko:K01714	llx:NCDO2118_1718
ko:K00133	llx:NCDO2118_1720
ko:K02440	llx:NCDO2118_1721
ko:K00615	llx:NCDO2118_1723
ko:K03475	llx:NCDO2118_1724
ko:K02822	llx:NCDO2118_1725
ko:K01625	llx:NCDO2118_1727
ko:K00874	llx:NCDO2118_1728
ko:K01812	llx:NCDO2118_1729
ko:K16210	llx:NCDO2118_1731
ko:K01686	llx:NCDO2118_1732
ko:K00040	llx:NCDO2118_1734
ko:K10439	llx:NCDO2118_1737
ko:K01740	llx:NCDO2118_0054
ko:K06999	llx:NCDO2118_0058
ko:K15975	llx:NCDO2118_0059
ko:K02913	llx:NCDO2118_0061
ko:K02911	llx:NCDO2118_0062
ko:K07478	llx:NCDO2118_0065
ko:K02687	llx:NCDO2118_0070
ko:K09761	llx:NCDO2118_0071
ko:K00951	llx:NCDO2118_0073
ko:K07560	llx:NCDO2118_0075
ko:K03294	llx:NCDO2118_0078
ko:K00655	llx:NCDO2118_0079
ko:K01118	llx:NCDO2118_0081
ko:K03070	llx:NCDO2118_0082
ko:K01626	llx:NCDO2118_0083
ko:K11189	llx:NCDO2118_0084
ko:K08483	llx:NCDO2118_0085
ko:K09747	llx:NCDO2118_0087
ko:K06889	llx:NCDO2118_0088
ko:K07052	llx:NCDO2118_0091
ko:K01992	llx:NCDO2118_0092
ko:K01990	llx:NCDO2118_0093
ko:K01992	llx:NCDO2118_0094
ko:K00873	llx:NCDO2118_0096
ko:K01497	llx:NCDO2118_0098
ko:K00059	llx:NCDO2118_0099
ko:K00943	llx:NCDO2118_0100
ko:K01591	llx:NCDO2118_0101
ko:K09693	llx:NCDO2118_0933
ko:K01854	llx:NCDO2118_0941
ko:K01839	llx:NCDO2118_0950
ko:K03784	llx:NCDO2118_0952
ko:K07504	llx:NCDO2118_0955
ko:K08996	llx:NCDO2118_1793
ko:K07052	llx:NCDO2118_1794
ko:K02049	llx:NCDO2118_1796
ko:K02050	llx:NCDO2118_1797
ko:K00926	llx:NCDO2118_1798
ko:K10536	llx:NCDO2118_1799
ko:K13252	llx:NCDO2118_1801
ko:K00945	llx:NCDO2118_1804
ko:K05337	llx:NCDO2118_1806
ko:K02793	llx:NCDO2118_1807
ko:K02794	llx:NCDO2118_1807
ko:K02795	llx:NCDO2118_1808
ko:K01875	llx:NCDO2118_1813
ko:K01992	llx:NCDO2118_1816
ko:K01990	llx:NCDO2118_1817
ko:K06871	llx:NCDO2118_1818
ko:K01834	llx:NCDO2118_1822
ko:K02039	llx:NCDO2118_1823
ko:K02036	llx:NCDO2118_1824
ko:K02036	llx:NCDO2118_1825
ko:K02038	llx:NCDO2118_1826
ko:K02037	llx:NCDO2118_1827
ko:K02040	llx:NCDO2118_1828
ko:K02040	llx:NCDO2118_1829
ko:K03664	llx:NCDO2118_1830
ko:K01872	llx:NCDO2118_1832
ko:K07533	llx:NCDO2118_1833
ko:K08602	llx:NCDO2118_1835
ko:K06198	llx:NCDO2118_1836
ko:K06901	llx:NCDO2118_1839
ko:K09692	llx:NCDO2118_0934
ko:K14237	llx:NCDO2118_t21
ko:K14237	llx:NCDO2118_t62
ko:K14237	llx:NCDO2118_t51
ko:K14223	llx:NCDO2118_t42
ko:K14223	llx:NCDO2118_t58
ko:K14232	llx:NCDO2118_t17
ko:K14232	llx:NCDO2118_t28
ko:K14231	llx:NCDO2118_t04
ko:K14231	llx:NCDO2118_t31
ko:K20373	llx:NCDO2118_0373
ko:K03790	llx:NCDO2118_0805
ko:K18892	llx:NCDO2118_0370
ko:K18891	llx:NCDO2118_0369
ko:K03790	llx:NCDO2118_0749
ko:K14218	llx:NCDO2118_t20
ko:K14218	llx:NCDO2118_t55
ko:K14218	llx:NCDO2118_t54
ko:K14218	llx:NCDO2118_t66
ko:K14218	llx:NCDO2118_t52
ko:K14218	llx:NCDO2118_t63
ko:K14233	llx:NCDO2118_t02
ko:K14224	llx:NCDO2118_t01
ko:K14224	llx:NCDO2118_t65
ko:K18929	llx:NCDO2118_1842
ko:K18928	llx:NCDO2118_1841
ko:K07029	llx:NCDO2118_0479
ko:K01664	llx:NCDO2118_1358
ko:K19055	llx:NCDO2118_2137
ko:K19002	llx:NCDO2118_2245
ko:K07483	llx:NCDO2118_p0027
ko:K13052	llx:NCDO2118_0017
ko:K03497	llx:NCDO2118_0064
ko:K07467	llx:NCDO2118_0311
ko:K08151	llx:NCDO2118_0363
ko:K03111	llx:NCDO2118_0451
ko:K03502	llx:NCDO2118_0572
ko:K03111	llx:NCDO2118_2293
ko:K18967	llx:NCDO2118_0660
ko:K03496	llx:NCDO2118_p0003
ko:K03497	llx:NCDO2118_p0004
ko:K03502	llx:NCDO2118_p0006
ko:K07498	llx:NCDO2118_p0007
ko:K07498	llx:NCDO2118_p0016
ko:K07498	llx:NCDO2118_p0043
ko:K03741	llx:NCDO2118_0993
ko:K03741	llx:NCDO2118_1646
ko:K07816	llx:NCDO2118_0886
ko:K19005	llx:NCDO2118_0819
ko:K07497	llx:NCDO2118_p0028
ko:K00001	llx:NCDO2118_1568
ko:K01621	llx:NCDO2118_1516
ko:K05881	llx:NCDO2118_0245
ko:K01710	llx:NCDO2118_0192
ko:K02755	llx:NCDO2118_0486
ko:K19265	llx:NCDO2118_2095
ko:K19302	llx:NCDO2118_1062
ko:K00020	llx:NCDO2118_2338
ko:K03722	llx:NCDO2118_1953
ko:K12952	llx:NCDO2118_1174
ko:K01992	llx:NCDO2118_0250
ko:K07497	llx:NCDO2118_p0022
ko:K19267	llx:NCDO2118_2274
ko:K12952	llx:NCDO2118_0559
ko:K01215	llx:NCDO2118_1781
ko:K01215	llx:NCDO2118_1507
ko:K19350	llx:NCDO2118_0919
ko:K13614	llx:NCDO2118_1189
ko:K06881	llx:NCDO2118_0751
ko:K03483	llx:NCDO2118_0024
ko:K03768	llx:NCDO2118_0911
ko:K00526	llx:NCDO2118_1039
ko:K00887	llx:NCDO2118_1089
ko:K02796	llx:NCDO2118_1809
ko:K03711	llx:NCDO2118_1482
ko:K03284	llx:NCDO2118_0283
ko:K21636	llx:NCDO2118_0271
ko:K19965	llx:NCDO2118_1156
ko:K10830	llx:NCDO2118_1370
ko:K19972	llx:NCDO2118_1369
ko:K19971	llx:NCDO2118_1368
ko:K05770	llx:NCDO2118_0563
ko:K22457	llx:NCDO2118_1951
ko:K20074	llx:NCDO2118_2007
ko:K12132	llx:NCDO2118_2006
ko:K01560	llx:NCDO2118_1537
ko:K20073	llx:NCDO2118_1752
ko:K20265	llx:NCDO2118_1320
ko:K20265	llx:NCDO2118_1800
ko:K20491	llx:NCDO2118_1264
ko:K20483	llx:NCDO2118_1271
ko:K20482	llx:NCDO2118_1272
ko:K20484	llx:NCDO2118_1270
ko:K20492	llx:NCDO2118_1263
ko:K00525	llx:NCDO2118_1040
ko:K20487	llx:NCDO2118_1266
ko:K20488	llx:NCDO2118_1267
ko:K20489	llx:NCDO2118_1269
ko:K20490	llx:NCDO2118_1265
ko:K18889	llx:NCDO2118_1302
ko:K18890	llx:NCDO2118_1301
ko:K12999	llx:NCDO2118_0074
ko:K22103	llx:NCDO2118_1326
ko:K20866	llx:NCDO2118_0077
ko:K01208	llx:NCDO2118_1782
ko:K01977	llx:NCDO2118_r02
ko:K21064	llx:NCDO2118_1840
ko:K01980	llx:NCDO2118_r03
ko:K01980	llx:NCDO2118_r15
ko:K01980	llx:NCDO2118_r09
ko:K01980	llx:NCDO2118_r12
ko:K01980	llx:NCDO2118_r18
ko:K01980	llx:NCDO2118_r06
ko:K08968	llx:NCDO2118_2299
ko:K00821	llx:NCDO2118_0814
ko:K14230	llx:NCDO2118_t03
ko:K14230	llx:NCDO2118_t13
ko:K14230	llx:NCDO2118_t38
ko:K14230	llx:NCDO2118_t37
ko:K14230	llx:NCDO2118_t29
ko:K14230	llx:NCDO2118_t30
ko:K14230	llx:NCDO2118_t40
ko:K14230	llx:NCDO2118_t41
ko:K14225	llx:NCDO2118_t05
ko:K14225	llx:NCDO2118_t32
ko:K14225	llx:NCDO2118_t46
ko:K14227	llx:NCDO2118_t06
ko:K14227	llx:NCDO2118_t33
ko:K01985	llx:NCDO2118_r01
ko:K14220	llx:NCDO2118_t07
ko:K14220	llx:NCDO2118_t64
ko:K14229	llx:NCDO2118_t08
ko:K14229	llx:NCDO2118_t23
ko:K14229	llx:NCDO2118_t49
ko:K14229	llx:NCDO2118_t36
ko:K14228	llx:NCDO2118_t09
ko:K14228	llx:NCDO2118_t12
ko:K14228	llx:NCDO2118_t24
ko:K14228	llx:NCDO2118_t48
ko:K14228	llx:NCDO2118_t39
ko:K14228	llx:NCDO2118_t44
ko:K14228	llx:NCDO2118_t45
ko:K14233	llx:NCDO2118_t10
ko:K14233	llx:NCDO2118_t15
ko:K14233	llx:NCDO2118_t34
ko:K14234	llx:NCDO2118_t25
ko:K14234	llx:NCDO2118_t47
ko:K14234	llx:NCDO2118_t53
ko:K14227	llx:NCDO2118_t14
ko:K14219	llx:NCDO2118_t19
ko:K14219	llx:NCDO2118_t35
ko:K14219	llx:NCDO2118_t43
ko:K14222	llx:NCDO2118_t18
ko:K01985	llx:NCDO2118_r04
ko:K01985	llx:NCDO2118_r14
ko:K01985	llx:NCDO2118_r05
ko:K01985	llx:NCDO2118_r08
ko:K01985	llx:NCDO2118_r11
ko:K01985	llx:NCDO2118_r17
ko:K14221	llx:NCDO2118_t22
ko:K14221	llx:NCDO2118_t50
ko:K01977	llx:NCDO2118_r07
ko:K01977	llx:NCDO2118_r19
ko:K01977	llx:NCDO2118_r10
ko:K14228	llx:NCDO2118_t56
ko:K14228	llx:NCDO2118_t57
ko:K14226	llx:NCDO2118_t59
ko:K14235	llx:NCDO2118_t60
ko:K01071	llx:NCDO2118_1142
ko:K02314	llx:NCDO2118_0762
ko:K07455	llx:NCDO2118_1685
ko:K07455	llx:NCDO2118_0963
ko:K01520	llx:NCDO2118_0969
ko:K06191	llx:NCDO2118_1042
ko:K01520	llx:NCDO2118_0169
ko:K06217	llx:NCDO2118_1086
ko:K04068	llx:NCDO2118_0272
ko:K01493	llx:NCDO2118_1141
ko:K00287	llx:NCDO2118_1150
ko:K03553	llx:NCDO2118_1251
ko:K03553	llx:NCDO2118_0417
ko:K00558	llx:NCDO2118_1338
ko:K00558	llx:NCDO2118_1340
ko:K02316	llx:NCDO2118_0535
ko:K03546	llx:NCDO2118_1373
ko:K00857	llx:NCDO2118_0576
ko:K06919	llx:NCDO2118_2319
ko:K00560	llx:NCDO2118_1561
ko:K14219	llx:NCDO2118_t16
ko:K14219	llx:NCDO2118_t27
ko:K02335	llx:NCDO2118_2249
ko:K00980	llx:NCDO2118_0945
ko:K00980	llx:NCDO2118_0211
ko:K00633	llx:NCDO2118_2089
ko:K19577	llx:NCDO2118_0395
ko:K02031	llx:NCDO2118_1962
ko:K02032	llx:NCDO2118_1961
ko:K14225	llx:NCDO2118_t26
ko:K14236	llx:NCDO2118_t61
ko:K14234	llx:NCDO2118_t11
ko:K01977	llx:NCDO2118_r13
ko:K01977	llx:NCDO2118_r16
ko:K07741	llx:NCDO2118_0960
ko:K01101	llx:NCDO2118_1143
ko:K07005	llx:NCDO2118_2059
ko:K03293	llx:NCDO2118_1944
ko:K03293	llx:NCDO2118_0419
ko:K03293	llx:NCDO2118_0823
ko:K21471	llx:NCDO2118_0904
ko:K21471	llx:NCDO2118_2350
ko:K21471	llx:NCDO2118_0521
ko:K00950	llx:NCDO2118_1154
ko:K01495	llx:NCDO2118_1154
ko:K00863	llx:NCDO2118_0241
ko:K21562	llx:NCDO2118_p0044
