ko:K18893	mham:J450_04475
ko:K00048	mham:J450_07320
ko:K10441	mham:J450_07340
ko:K01628	mham:J450_07345
ko:K02431	mham:J450_07350
ko:K01818	mham:J450_07360
ko:K02430	mham:J450_07365
ko:K16087	mham:J450_07370
ko:K01952	mham:J450_07385
ko:K16087	mham:J450_07395
ko:K13821	mham:J450_07420
ko:K03315	mham:J450_07425
ko:K17247	mham:J450_07435
ko:K03088	mham:J450_07445
ko:K02781	mham:J450_07490
ko:K07106	mham:J450_11400
ko:K07320	mham:J450_11405
ko:K07648	mham:J450_11430
ko:K06076	mham:J450_11440
ko:K13643	mham:J450_11445
ko:K04487	mham:J450_11450
ko:K04082	mham:J450_11465
ko:K04044	mham:J450_11480
ko:K04755	mham:J450_11490
ko:K03304	mham:J450_11500
ko:K10773	mham:J450_11510
ko:K07090	mham:J450_11515
ko:K00931	mham:J450_11520
ko:K04485	mham:J450_11535
ko:K02682	mham:J450_11540
ko:K02504	mham:J450_11545
ko:K02505	mham:J450_11550
ko:K00859	mham:J450_11560
ko:K09862	mham:J450_11565
ko:K02340	mham:J450_11570
ko:K03643	mham:J450_11575
ko:K01869	mham:J450_11580
ko:K01875	mham:J450_11595
ko:K03664	mham:J450_11600
ko:K06918	mham:J450_11615
ko:K09917	mham:J450_11630
ko:K06175	mham:J450_11635
ko:K15461	mham:J450_11650
ko:K00677	mham:J450_11655
ko:K02372	mham:J450_11660
ko:K02536	mham:J450_11665
ko:K07277	mham:J450_11675
ko:K01626	mham:J450_00645
ko:K07090	mham:J450_00655
ko:K06871	mham:J450_00675
ko:K09892	mham:J450_00685
ko:K09946	mham:J450_00705
ko:K14682	mham:J450_00710
ko:K01653	mham:J450_00720
ko:K01652	mham:J450_00725
ko:K01673	mham:J450_00730
ko:K13788	mham:J450_00735
ko:K00925	mham:J450_00740
ko:K00215	mham:J450_00810
ko:K06968	mham:J450_00825
ko:K03321	mham:J450_00835
ko:K01682	mham:J450_00845
ko:K00031	mham:J450_00850
ko:K01647	mham:J450_00855
ko:K07821	mham:J450_00900
ko:K03639	mham:J450_00910
ko:K03637	mham:J450_00915
ko:K08300	mham:J450_04795
ko:K03182	mham:J450_04810
ko:K06193	mham:J450_04820
ko:K12573	mham:J450_04825
ko:K03925	mham:J450_04835
ko:K03438	mham:J450_04840
ko:K03586	mham:J450_04845
ko:K03587	mham:J450_04850
ko:K01928	mham:J450_04855
ko:K01929	mham:J450_04860
ko:K01000	mham:J450_04865
ko:K01925	mham:J450_04870
ko:K03588	mham:J450_04875
ko:K02563	mham:J450_04880
ko:K01924	mham:J450_04885
ko:K01921	mham:J450_04890
ko:K03589	mham:J450_04895
ko:K03590	mham:J450_04900
ko:K03531	mham:J450_04905
ko:K02535	mham:J450_04910
ko:K03631	mham:J450_04915
ko:K01661	mham:J450_04965
ko:K05365	mham:J450_04970
ko:K04047	mham:J450_04975
ko:K03665	mham:J450_04990
ko:K03666	mham:J450_04995
ko:K00791	mham:J450_05000
ko:K03572	mham:J450_05020
ko:K00147	mham:J450_05025
ko:K07058	mham:J450_05030
ko:K07560	mham:J450_05035
ko:K03311	mham:J450_05045
ko:K02914	mham:J450_08905
ko:K03536	mham:J450_08910
ko:K08998	mham:J450_08915
ko:K15724	mham:J450_08920
ko:K02970	mham:J450_08970
ko:K03086	mham:J450_08980
ko:K02548	mham:J450_08990
ko:K06188	mham:J450_09005
ko:K03775	mham:J450_09015
ko:K01754	mham:J450_09020
ko:K03431	mham:J450_09025
ko:K01807	mham:J450_09030
ko:K07773	mham:J450_09050
ko:K06211	mham:J450_09060
ko:K11753	mham:J450_09065
ko:K01870	mham:J450_09070
ko:K00998	mham:J450_09080
ko:K03218	mham:J450_09085
ko:K02034	mham:J450_09095
ko:K02837	mham:J450_09110
ko:K07262	mham:J450_09120
ko:K01056	mham:J450_09125
ko:K06942	mham:J450_09130
ko:K03303	mham:J450_09135
ko:K00782	mham:J450_09150
ko:K00989	mham:J450_09165
ko:K06980	mham:J450_09175
ko:K03580	mham:J450_10995
ko:K09803	mham:J450_11000
ko:K03806	mham:J450_11015
ko:K07115	mham:J450_11020
ko:K00762	mham:J450_11025
ko:K03611	mham:J450_11040
ko:K03314	mham:J450_11045
ko:K03603	mham:J450_11050
ko:K00615	mham:J450_11060
ko:K02909	mham:J450_11065
ko:K02521	mham:J450_11075
ko:K01338	mham:J450_11080
ko:K11752	mham:J450_11090
ko:K00793	mham:J450_11095
ko:K14652	mham:J450_11100
ko:K00794	mham:J450_11105
ko:K03820	mham:J450_11110
ko:K06189	mham:J450_11115
ko:K02956	mham:J450_02850
ko:K09781	mham:J450_02855
ko:K02498	mham:J450_02860
ko:K02496	mham:J450_02865
ko:K01749	mham:J450_02875
ko:K04072	mham:J450_02880
ko:K03758	mham:J450_02890
ko:K01448	mham:J450_02905
ko:K06925	mham:J450_02910
ko:K13288	mham:J450_02915
ko:K00954	mham:J450_02920
ko:K02527	mham:J450_02925
ko:K08303	mham:J450_02930
ko:K15536	mham:J450_02935
ko:K02337	mham:J450_02940
ko:K11720	mham:J450_02945
ko:K07091	mham:J450_02950
ko:K01255	mham:J450_02960
ko:K01738	mham:J450_02965
ko:K03628	mham:J450_02970
ko:K01085	mham:J450_02995
ko:K03551	mham:J450_03380
ko:K11749	mham:J450_11680
ko:K03636	mham:J450_00920
ko:K07042	mham:J450_00930
ko:K06957	mham:J450_00935
ko:K11754	mham:J450_00945
ko:K01963	mham:J450_00950
ko:K05685	mham:J450_00975
ko:K15125	mham:J450_01030
ko:K07568	mham:J450_01040
ko:K07862	mham:J450_01050
ko:K00901	mham:J450_01055
ko:K01524	mham:J450_01080
ko:K09802	mham:J450_01085
ko:K02803	mham:J450_01090
ko:K02804	mham:J450_01090
ko:K00928	mham:J450_01095
ko:K02621	mham:J450_01100
ko:K02040	mham:J450_01105
ko:K02037	mham:J450_01110
ko:K02038	mham:J450_01115
ko:K02036	mham:J450_01120
ko:K07636	mham:J450_01130
ko:K00962	mham:J450_01135
ko:K05803	mham:J450_01140
ko:K05592	mham:J450_01145
ko:K11991	mham:J450_01150
ko:K02834	mham:J450_01165
ko:K02519	mham:J450_01170
ko:K02600	mham:J450_01175
ko:K09748	mham:J450_01180
ko:K08309	mham:J450_01195
ko:K03113	mham:J450_01200
ko:K00645	mham:J450_05060
ko:K09765	mham:J450_05065
ko:K02523	mham:J450_05070
ko:K02888	mham:J450_05075
ko:K02899	mham:J450_05080
ko:K15977	mham:J450_05095
ko:K00611	mham:J450_05110
ko:K02339	mham:J450_05170
ko:K01873	mham:J450_05200
ko:K01057	mham:J450_05230
ko:K00036	mham:J450_05235
ko:K08312	mham:J450_05245
ko:K04762	mham:J450_05250
ko:K04083	mham:J450_05255
ko:K11755	mham:J450_05265
ko:K02500	mham:J450_05275
ko:K01814	mham:J450_05280
ko:K02501	mham:J450_05290
ko:K01089	mham:J450_05300
ko:K00817	mham:J450_05305
ko:K02344	mham:J450_05325
ko:K03789	mham:J450_05330
ko:K06207	mham:J450_05335
ko:K06726	mham:J450_09185
ko:K10441	mham:J450_09190
ko:K02529	mham:J450_09210
ko:K07685	mham:J450_09215
ko:K12297	mham:J450_09220
ko:K03216	mham:J450_09225
ko:K01443	mham:J450_09240
ko:K01866	mham:J450_09250
ko:K01573	mham:J450_09265
ko:K07160	mham:J450_09275
ko:K07238	mham:J450_09325
ko:K03978	mham:J450_09335
ko:K09893	mham:J450_09340
ko:K00930	mham:J450_03030
ko:K07270	mham:J450_03095
ko:K00785	mham:J450_03100
ko:K07265	mham:J450_06980
ko:K07266	mham:J450_06985
ko:K01991	mham:J450_07010
ko:K10107	mham:J450_07015
ko:K09688	mham:J450_07020
ko:K09689	mham:J450_07025
ko:K09858	mham:J450_07035
ko:K03495	mham:J450_07040
ko:K03501	mham:J450_07050
ko:K02445	mham:J450_07060
ko:K01126	mham:J450_07065
ko:K02445	mham:J450_07070
ko:K00111	mham:J450_07075
ko:K00880	mham:J450_07095
ko:K01053	mham:J450_07100
ko:K10441	mham:J450_07115
ko:K08092	mham:J450_07145
ko:K01804	mham:J450_07150
ko:K01955	mham:J450_07155
ko:K01956	mham:J450_07160
ko:K02108	mham:J450_07170
ko:K02110	mham:J450_07175
ko:K02109	mham:J450_07180
ko:K02113	mham:J450_07185
ko:K02111	mham:J450_07190
ko:K02115	mham:J450_07195
ko:K02112	mham:J450_07200
ko:K02114	mham:J450_07205
ko:K01914	mham:J450_07210
ko:K06205	mham:J450_07225
ko:K01151	mham:J450_11140
ko:K13694	mham:J450_11145
ko:K03648	mham:J450_11160
ko:K07340	mham:J450_11170
ko:K03687	mham:J450_11190
ko:K03327	mham:J450_11200
ko:K03582	mham:J450_11205
ko:K04760	mham:J450_11210
ko:K07751	mham:J450_11215
ko:K03453	mham:J450_11225
ko:K13888	mham:J450_11230
ko:K01649	mham:J450_11240
ko:K03088	mham:J450_11245
ko:K03597	mham:J450_11250
ko:K03598	mham:J450_11255
ko:K00761	mham:J450_11270
ko:K02528	mham:J450_11275
ko:K03771	mham:J450_11280
ko:K02825	mham:J450_11285
ko:K03272	mham:J450_11290
ko:K03977	mham:J450_11295
ko:K02492	mham:J450_11300
ko:K00099	mham:J450_11310
ko:K03315	mham:J450_11315
ko:K03564	mham:J450_11360
ko:K03273	mham:J450_11365
ko:K06879	mham:J450_11370
ko:K09001	mham:J450_11375
ko:K07113	mham:J450_09355
ko:K06181	mham:J450_09365
ko:K03426	mham:J450_09370
ko:K05539	mham:J450_09395
ko:K01704	mham:J450_09410
ko:K01703	mham:J450_09415
ko:K15580	mham:J450_09420
ko:K01512	mham:J450_09425
ko:K01256	mham:J450_09430
ko:K07226	mham:J450_09435
ko:K03834	mham:J450_09445
ko:K03723	mham:J450_09450
ko:K09803	mham:J450_09455
ko:K01897	mham:J450_11265
ko:K01897	mham:J450_03415
ko:K00951	mham:J450_11305
ko:K03427	mham:J450_09815
ko:K03559	mham:J450_03590
ko:K03604	mham:J450_11945
ko:K01990	mham:J450_10105
ko:K14237	mham:J450_01415
ko:K14220	mham:J450_02425
ko:K14220	mham:J450_07715
ko:K14220	mham:J450_07705
ko:K14233	mham:J450_02590
ko:K14233	mham:J450_05150
ko:K14232	mham:J450_02705
ko:K14232	mham:J450_05955
ko:K01985	mham:J450_03175
ko:K01985	mham:J450_06715
ko:K01985	mham:J450_06875
ko:K01985	mham:J450_09320
ko:K01985	mham:J450_06450
ko:K01985	mham:J450_05930
ko:K01980	mham:J450_03180
ko:K01980	mham:J450_06455
ko:K01980	mham:J450_05935
ko:K01980	mham:J450_06720
ko:K01980	mham:J450_06880
ko:K01980	mham:J450_09315
ko:K14224	mham:J450_03185
ko:K14224	mham:J450_06725
ko:K14224	mham:J450_06460
ko:K01977	mham:J450_03190
ko:K01977	mham:J450_09300
ko:K01977	mham:J450_05950
ko:K01977	mham:J450_06465
ko:K01977	mham:J450_06895
ko:K01977	mham:J450_06730
ko:K14228	mham:J450_04365
ko:K14219	mham:J450_05965
ko:K14234	mham:J450_06265
ko:K14234	mham:J450_07915
ko:K14226	mham:J450_05960
ko:K01992	mham:J450_10110
ko:K14225	mham:J450_00125
ko:K14225	mham:J450_09480
ko:K14225	mham:J450_09495
ko:K14222	mham:J450_00130
ko:K14230	mham:J450_00420
ko:K14230	mham:J450_01190
ko:K14230	mham:J450_12095
ko:K14230	mham:J450_04360
ko:K14219	mham:J450_02710
ko:K14219	mham:J450_05140
ko:K14219	mham:J450_05145
ko:K14237	mham:J450_04930
ko:K14237	mham:J450_04945
ko:K14237	mham:J450_04940
ko:K14237	mham:J450_04935
ko:K14223	mham:J450_04370
ko:K14223	mham:J450_04375
ko:K14218	mham:J450_04920
ko:K14218	mham:J450_05940
ko:K14218	mham:J450_09310
ko:K14218	mham:J450_06885
ko:K14229	mham:J450_05875
ko:K14229	mham:J450_05880
ko:K14227	mham:J450_05945
ko:K14227	mham:J450_09305
ko:K14227	mham:J450_06890
ko:K14235	mham:J450_06435
ko:K14221	mham:J450_06440
ko:K14221	mham:J450_06705
ko:K14221	mham:J450_09920
ko:K14238	mham:J450_07255
ko:K14231	mham:J450_07700
ko:K14231	mham:J450_07710
ko:K14233	mham:J450_07845
ko:K14233	mham:J450_07850
ko:K14236	mham:J450_07920
ko:K14225	mham:J450_07925
ko:K14228	mham:J450_09485
ko:K14228	mham:J450_09490
ko:K14228	mham:J450_11895
ko:K14228	mham:J450_12105
ko:K14219	mham:J450_01830
ko:K14235	mham:J450_04030
ko:K01985	mham:J450_06445
ko:K01985	mham:J450_06710
ko:K14234	mham:J450_07930
ko:K00813	mham:J450_00940
ko:K04015	mham:J450_09610
ko:K04018	mham:J450_09630
ko:K02067	mham:J450_09650
ko:K06212	mham:J450_09735
ko:K00939	mham:J450_09780
ko:K02843	mham:J450_05445
ko:K02793	mham:J450_05510
ko:K02794	mham:J450_05510
ko:K02795	mham:J450_05515
ko:K00059	mham:J450_06135
ko:K00647	mham:J450_06150
ko:K02822	mham:J450_06185
ko:K03475	mham:J450_06190
ko:K03286	mham:J450_06225
ko:K03476	mham:J450_06290
ko:K01784	mham:J450_09870
ko:K02342	mham:J450_10025
ko:K03617	mham:J450_10055
ko:K03616	mham:J450_10060
ko:K03615	mham:J450_10065
ko:K03614	mham:J450_10075
ko:K03612	mham:J450_10080
ko:K03613	mham:J450_10085
ko:K05844	mham:J450_01945
ko:K03316	mham:J450_05740
ko:K01439	mham:J450_05745
ko:K06179	mham:J450_05760
ko:K00101	mham:J450_05825
ko:K01507	mham:J450_05870
ko:K02821	mham:J450_06295
ko:K03299	mham:J450_06310
ko:K03776	mham:J450_06335
ko:K00380	mham:J450_06340
ko:K07343	mham:J450_06400
ko:K01679	mham:J450_06405
ko:K00799	mham:J450_06420
ko:K00247	mham:J450_06470
ko:K00245	mham:J450_06480
ko:K00244	mham:J450_06485
ko:K00230	mham:J450_06535
ko:K02017	mham:J450_10125
ko:K01270	mham:J450_10145
ko:K00769	mham:J450_10160
ko:K08359	mham:J450_10180
ko:K08358	mham:J450_10185
ko:K13040	mham:J450_10215
ko:K13041	mham:J450_10220
ko:K00568	mham:J450_10230
ko:K07343	mham:J450_10320
ko:K03748	mham:J450_02010
ko:K01156	mham:J450_02100
ko:K07316	mham:J450_02105
ko:K16012	mham:J450_02130
ko:K16013	mham:J450_02135
ko:K01834	mham:J450_02145
ko:K02010	mham:J450_02185
ko:K02852	mham:J450_05970
ko:K02851	mham:J450_06005
ko:K01243	mham:J450_06075
ko:K07258	mham:J450_06585
ko:K13637	mham:J450_06625
ko:K01785	mham:J450_10370
ko:K07098	mham:J450_10395
ko:K02824	mham:J450_10465
ko:K00073	mham:J450_02305
ko:K01466	mham:J450_02325
ko:K05595	mham:J450_02440
ko:K06177	mham:J450_02465
ko:K04763	mham:J450_06700
ko:K00616	mham:J450_06750
ko:K02193	mham:J450_06810
ko:K07034	mham:J450_10800
ko:K03972	mham:J450_10815
ko:K02778	mham:J450_10830
ko:K02779	mham:J450_10830
ko:K11179	mham:J450_10845
ko:K01409	mham:J450_10890
ko:K03560	mham:J450_02510
ko:K03574	mham:J450_02565
ko:K10439	mham:J450_07105
ko:K10440	mham:J450_07110
ko:K02549	mham:J450_10965
ko:K06183	mham:J450_10970
ko:K06177	mham:J450_11010
ko:K01760	mham:J450_11035
ko:K09909	mham:J450_11120
ko:K03593	mham:J450_02830
ko:K02035	mham:J450_02835
ko:K01719	mham:J450_02870
ko:K03491	mham:J450_02990
ko:K02116	mham:J450_07165
ko:K03718	mham:J450_07215
ko:K01639	mham:J450_07240
ko:K01788	mham:J450_07250
ko:K03499	mham:J450_07305
ko:K10439	mham:J450_07330
ko:K10440	mham:J450_07335
ko:K11069	mham:J450_11195
ko:K03803	mham:J450_11260
ko:K02031	mham:J450_11330
ko:K02034	mham:J450_11330
ko:K02033	mham:J450_11335
ko:K02035	mham:J450_11340
ko:K01104	mham:J450_03000
ko:K02795	mham:J450_03010
ko:K02793	mham:J450_03020
ko:K00799	mham:J450_03035
ko:K03784	mham:J450_03060
ko:K01619	mham:J450_03065
ko:K03317	mham:J450_03070
ko:K02552	mham:J450_03145
ko:K09806	mham:J450_03165
ko:K03768	mham:J450_03230
ko:K00819	mham:J450_07430
ko:K02783	mham:J450_07480
ko:K02782	mham:J450_07485
ko:K02783	mham:J450_07485
ko:K00068	mham:J450_07495
ko:K02466	mham:J450_07500
ko:K02798	mham:J450_07525
ko:K02799	mham:J450_07525
ko:K02800	mham:J450_07525
ko:K00854	mham:J450_07565
ko:K07792	mham:J450_07585
ko:K02050	mham:J450_07615
ko:K02051	mham:J450_07620
ko:K02049	mham:J450_07625
ko:K06889	mham:J450_11420
ko:K00567	mham:J450_11435
ko:K04488	mham:J450_11455
ko:K13628	mham:J450_11460
ko:K00974	mham:J450_11505
ko:K02506	mham:J450_11555
ko:K00124	mham:J450_03255
ko:K00383	mham:J450_03275
ko:K09998	mham:J450_03385
ko:K10000	mham:J450_03400
ko:K01759	mham:J450_03505
ko:K08234	mham:J450_07680
ko:K03299	mham:J450_07750
ko:K02200	mham:J450_07895
ko:K00867	mham:J450_07910
ko:K02010	mham:J450_07940
ko:K00882	mham:J450_11760
ko:K00700	mham:J450_11770
ko:K00970	mham:J450_03525
ko:K00647	mham:J450_03620
ko:K01176	mham:J450_03665
ko:K02806	mham:J450_03715
ko:K00484	mham:J450_03765
ko:K00851	mham:J450_08065
ko:K03299	mham:J450_08070
ko:K00135	mham:J450_08095
ko:K00010	mham:J450_08140
ko:K01206	mham:J450_08160
ko:K12984	mham:J450_12055
ko:K03469	mham:J450_12070
ko:K11072	mham:J450_03795
ko:K11071	mham:J450_03800
ko:K15582	mham:J450_03815
ko:K10823	mham:J450_03820
ko:K15583	mham:J450_03820
ko:K00674	mham:J450_08250
ko:K11689	mham:J450_08295
ko:K11688	mham:J450_08310
ko:K10540	mham:J450_08335
ko:K10541	mham:J450_08345
ko:K10914	mham:J450_08425
ko:K09898	mham:J450_08430
ko:K01092	mham:J450_04230
ko:K01664	mham:J450_04310
ko:K02619	mham:J450_04325
ko:K02574	mham:J450_08535
ko:K02569	mham:J450_08545
ko:K02571	mham:J450_08555
ko:K01515	mham:J450_08585
ko:K08978	mham:J450_08600
ko:K07186	mham:J450_04420
ko:K06039	mham:J450_04435
ko:K03711	mham:J450_04460
ko:K02784	mham:J450_08845
ko:K08483	mham:J450_08850
ko:K01854	mham:J450_08935
ko:K00058	mham:J450_09035
ko:K01424	mham:J450_04605
ko:K01934	mham:J450_04755
ko:K09815	mham:J450_04815
ko:K02033	mham:J450_09100
ko:K02035	mham:J450_09105
ko:K02014	mham:J450_09155
ko:K10440	mham:J450_09195
ko:K10439	mham:J450_09200
ko:K00852	mham:J450_09205
ko:K02564	mham:J450_09235
ko:K01572	mham:J450_09255
ko:K01571	mham:J450_09260
ko:K01885	mham:J450_04925
ko:K15460	mham:J450_04980
ko:K10563	mham:J450_05040
ko:K00059	mham:J450_05050
ko:K07792	mham:J450_05100
ko:K04085	mham:J450_09345
ko:K01258	mham:J450_09475
ko:K11604	mham:J450_09515
ko:K02348	mham:J450_05175
ko:K00033	mham:J450_05210
ko:K01082	mham:J450_05240
ko:K00564	mham:J450_05320
ko:K17686	mham:J450_02810
ko:K02371	mham:J450_00270
ko:K07112	mham:J450_00285
ko:K02057	mham:J450_00290
ko:K02057	mham:J450_00295
ko:K02056	mham:J450_00300
ko:K01791	mham:J450_03110
ko:K00226	mham:J450_10470
ko:K01658	mham:J450_09940
ko:K11928	mham:J450_04745
ko:K07459	mham:J450_10280
ko:K14742	mham:J450_00650
ko:K01654	mham:J450_03120
ko:K01069	mham:J450_11695
ko:K01840	mham:J450_06970
ko:K06518	mham:J450_00070
ko:K05540	mham:J450_03480
ko:K01739	mham:J450_00805
ko:K00018	mham:J450_04285
ko:K00884	mham:J450_12030
ko:K03566	mham:J450_04625
ko:K01271	mham:J450_09350
ko:K00254	mham:J450_00100
ko:K13695	mham:J450_01240
ko:K03772	mham:J450_06065
ko:K07812	mham:J450_00895
ko:K02031	mham:J450_09090
ko:K02032	mham:J450_09090
ko:K00123	mham:J450_03250
ko:K07812	mham:J450_00840
ko:K11747	mham:J450_03630
ko:K02809	mham:J450_08830
ko:K02810	mham:J450_08830
ko:K01096	mham:J450_12045
ko:K00127	mham:J450_03260
ko:K00557	mham:J450_07855
ko:K03585	mham:J450_01330
ko:K18138	mham:J450_01325
ko:K00879	mham:J450_07355
ko:K02794	mham:J450_03015
ko:K21449	mham:J450_09965
ko:K04753	mham:J450_06255
ko:K06149	mham:J450_01380
ko:K01999	mham:J450_00905
ko:K01175	mham:J450_11935
ko:K21105	mham:J450_09075
ko:K01347	mham:J450_09705
ko:K16092	mham:J450_09855
ko:K04752	mham:J450_05710
ko:K08223	mham:J450_06505
ko:K02805	mham:J450_05985
ko:K03773	mham:J450_02335
ko:K01207	mham:J450_06640
ko:K03088	mham:J450_06850
ko:K14445	mham:J450_02755
ko:K12368	mham:J450_07230
ko:K01424	mham:J450_07405
ko:K12267	mham:J450_03075
ko:K10540	mham:J450_08325
ko:K02902	mham:J450_08470
ko:K02493	mham:J450_04300
ko:K01347	mham:J450_08800
ko:K07227	mham:J450_09440
ko:K01347	mham:J450_05385
ko:K03462	mham:J450_00750
ko:K07243	mham:J450_00520
ko:K18691	mham:J450_05135
ko:K18928	mham:J450_09140
ko:K18929	mham:J450_09145
ko:K03427	mham:J450_09810
ko:K18829	mham:J450_09465
ko:K21645	mham:J450_08080
ko:K18842	mham:J450_05850
ko:K18841	mham:J450_05855
ko:K18800	mham:J450_03725
ko:K02847	mham:J450_08960
ko:K07339	mham:J450_04105
ko:K18843	mham:J450_04110
ko:K18850	mham:J450_08220
ko:K00526	mham:J450_00985
ko:K03111	mham:J450_00030
ko:K10747	mham:J450_09290
ko:K03746	mham:J450_02000
ko:K07724	mham:J450_10490
ko:K04565	mham:J450_10765
ko:K03646	mham:J450_02505
ko:K08364	mham:J450_07475
ko:K07389	mham:J450_07645
ko:K03169	mham:J450_11905
ko:K03111	mham:J450_04145
ko:K03674	mham:J450_08770
ko:K07724	mham:J450_08790
ko:K07473	mham:J450_05010
ko:K19055	mham:J450_11415
ko:K03526	mham:J450_04500
ko:K10954	mham:J450_00795
ko:K18991	mham:J450_10805
ko:K11005	mham:J450_07640
ko:K07746	mham:J450_00540
ko:K07746	mham:J450_05900
ko:K19226	mham:J450_01450
ko:K19119	mham:J450_02065
ko:K19117	mham:J450_02060
ko:K09951	mham:J450_02030
ko:K04772	mham:J450_09635
ko:K01154	mham:J450_05490
ko:K01239	mham:J450_06965
ko:K02777	mham:J450_08855
ko:K01710	mham:J450_08945
ko:K00020	mham:J450_06905
ko:K19118	mham:J450_02055
ko:K19092	mham:J450_05905
ko:K21498	mham:J450_04115
ko:K07062	mham:J450_06955
ko:K19157	mham:J450_05015
ko:K07268	mham:J450_05455
ko:K07497	mham:J450_10495
ko:K00839	mham:J450_02235
ko:K19416	mham:J450_10850
ko:K06867	mham:J450_01025
ko:K03722	mham:J450_00065
ko:K00525	mham:J450_00990
ko:K00525	mham:J450_09380
ko:K02796	mham:J450_03005
ko:K19784	mham:J450_05775
ko:K07147	mham:J450_07440
ko:K19804	mham:J450_01210
ko:K19810	mham:J450_00495
ko:K21636	mham:J450_09575
ko:K08723	mham:J450_04620
ko:K01161	mham:J450_10235
ko:K20074	mham:J450_10420
ko:K07488	mham:J450_12000
ko:K07488	mham:J450_04955
ko:K07488	mham:J450_05675
ko:K07488	mham:J450_07415
ko:K07488	mham:J450_02730
ko:K07488	mham:J450_07005
ko:K07488	mham:J450_00155
ko:K21394	mham:J450_07135
ko:K02438	mham:J450_11775
ko:K21029	mham:J450_02430
ko:K00821	mham:J450_03025
ko:K02495	mham:J450_02350
ko:K00526	mham:J450_09385
ko:K00857	mham:J450_00680
ko:K09960	mham:J450_01695
ko:K09961	mham:J450_01715
ko:K03791	mham:J450_01745
ko:K06223	mham:J450_03310
ko:K07455	mham:J450_01865
ko:K03791	mham:J450_04005
ko:K01160	mham:J450_04045
ko:K03553	mham:J450_04330
ko:K00560	mham:J450_05160
ko:K02314	mham:J450_00240
ko:K02316	mham:J450_08975
ko:K04068	mham:J450_09580
ko:K01520	mham:J450_08440
ko:K06217	mham:J450_11055
ko:K06866	mham:J450_11155
ko:K00287	mham:J450_11525
ko:K02314	mham:J450_12115
ko:K06919	mham:J450_11845
ko:K02335	mham:J450_01970
ko:K07741	mham:J450_10565
ko:K21645	mham:J450_08075
ko:K21393	mham:J450_07130
ko:K21395	mham:J450_07120
ko:K21395	mham:J450_07125
ko:K21449	mham:J450_05125
ko:K11690	mham:J450_08290
ko:K21470	mham:J450_04660
ko:K07334	mham:J450_04120
ko:K21602	mham:J450_04750
ko:K10026	mham:J450_03155
ko:K00983	mham:J450_03115
ko:K21936	mham:J450_07765
ko:K21948	mham:J450_07735
ko:K19591	mham:J450_02800
ko:K22024	mham:J450_08490
ko:K22132	mham:J450_10270
ko:K08319	mham:J450_07730
ko:K22131	mham:J450_07745
ko:K22105	mham:J450_08675
ko:K03595	mham:J450_02215
ko:K22130	mham:J450_07740
ko:K03079	mham:J450_06280
ko:K03077	mham:J450_06275
ko:K18446	mham:J450_11620
