ko:K22306	aact:ACT75_04875
ko:K02004	aact:ACT75_01525
ko:K02003	aact:ACT75_01530
ko:K03578	aact:ACT75_01555
ko:K07390	aact:ACT75_01570
ko:K03286	aact:ACT75_01575
ko:K01772	aact:ACT75_01590
ko:K11065	aact:ACT75_01595
ko:K01443	aact:ACT75_01600
ko:K02564	aact:ACT75_01605
ko:K01639	aact:ACT75_01610
ko:K00885	aact:ACT75_01620
ko:K01788	aact:ACT75_01625
ko:K17948	aact:ACT75_01640
ko:K02803	aact:ACT75_01645
ko:K02804	aact:ACT75_01645
ko:K11904	aact:ACT75_01655
ko:K02565	aact:ACT75_01735
ko:K02492	aact:ACT75_01740
ko:K01069	aact:ACT75_01745
ko:K09946	aact:ACT75_01760
ko:K01809	aact:ACT75_01765
ko:K09136	aact:ACT75_01770
ko:K09908	aact:ACT75_01775
ko:K04772	aact:ACT75_01780
ko:K03286	aact:ACT75_01785
ko:K03702	aact:ACT75_01790
ko:K07792	aact:ACT75_06010
ko:K03071	aact:ACT75_06020
ko:K00057	aact:ACT75_06025
ko:K00640	aact:ACT75_06030
ko:K02446	aact:ACT75_06040
ko:K09892	aact:ACT75_06045
ko:K06205	aact:ACT75_06050
ko:K03495	aact:ACT75_06055
ko:K19267	aact:ACT75_06060
ko:K03501	aact:ACT75_06070
ko:K02116	aact:ACT75_06075
ko:K02108	aact:ACT75_06080
ko:K02110	aact:ACT75_06085
ko:K02109	aact:ACT75_06090
ko:K02113	aact:ACT75_06095
ko:K02111	aact:ACT75_06100
ko:K02115	aact:ACT75_06105
ko:K02112	aact:ACT75_06110
ko:K02114	aact:ACT75_06115
ko:K11069	aact:ACT75_06120
ko:K07106	aact:ACT75_06125
ko:K09001	aact:ACT75_06130
ko:K04042	aact:ACT75_06135
ko:K11534	aact:ACT75_06145
ko:K01619	aact:ACT75_06150
ko:K01491	aact:ACT75_06255
ko:K04077	aact:ACT75_06260
ko:K04078	aact:ACT75_06265
ko:K07113	aact:ACT75_06270
ko:K01744	aact:ACT75_06275
ko:K03721	aact:ACT75_10485
ko:K03666	aact:ACT75_10490
ko:K00791	aact:ACT75_10495
ko:K03572	aact:ACT75_10500
ko:K01448	aact:ACT75_10505
ko:K06925	aact:ACT75_10510
ko:K07171	aact:ACT75_10570
ko:K18829	aact:ACT75_10575
ko:K11013	aact:ACT75_10585
ko:K11014	aact:ACT75_10590
ko:K11015	aact:ACT75_10595
ko:K13288	aact:ACT75_10655
ko:K06949	aact:ACT75_10660
ko:K02784	aact:ACT75_10665
ko:K08483	aact:ACT75_10670
ko:K02777	aact:ACT75_10675
ko:K01414	aact:ACT75_10680
ko:K09790	aact:ACT75_10685
ko:K07126	aact:ACT75_10695
ko:K07126	aact:ACT75_10700
ko:K07126	aact:ACT75_10705
ko:K02619	aact:ACT75_10720
ko:K01665	aact:ACT75_10725
ko:K01664	aact:ACT75_10730
ko:K00018	aact:ACT75_10735
ko:K03297	aact:ACT75_10740
ko:K01868	aact:ACT75_10750
ko:K07483	aact:ACT75_10760
ko:K00528	aact:ACT75_10765
ko:K13926	aact:ACT75_00005
ko:K01256	aact:ACT75_00025
ko:K00254	aact:ACT75_00030
ko:K07053	aact:ACT75_00035
ko:K03168	aact:ACT75_00040
ko:K14055	aact:ACT75_00050
ko:K02217	aact:ACT75_00060
ko:K02217	aact:ACT75_00065
ko:K10954	aact:ACT75_00075
ko:K00631	aact:ACT75_04330
ko:K18893	aact:ACT75_04335
ko:K18991	aact:ACT75_04340
ko:K12982	aact:ACT75_04350
ko:K11211	aact:ACT75_04355
ko:K00954	aact:ACT75_04360
ko:K02527	aact:ACT75_04365
ko:K12984	aact:ACT75_04370
ko:K21498	aact:ACT75_04375
ko:K07334	aact:ACT75_04380
ko:K00998	aact:ACT75_04385
ko:K03214	aact:ACT75_04390
ko:K01166	aact:ACT75_04400
ko:K00927	aact:ACT75_04405
ko:K01624	aact:ACT75_04410
ko:K02847	aact:ACT75_04415
ko:K01048	aact:ACT75_04420
ko:K01652	aact:ACT75_04430
ko:K02358	aact:ACT75_04435
ko:K00867	aact:ACT75_04460
ko:K02470	aact:ACT75_04465
ko:K03654	aact:ACT75_04470
ko:K06202	aact:ACT75_04475
ko:K01586	aact:ACT75_04480
ko:K02622	aact:ACT75_01820
ko:K02621	aact:ACT75_01825
ko:K00799	aact:ACT75_01830
ko:K04774	aact:ACT75_01840
ko:K01118	aact:ACT75_01845
ko:K03885	aact:ACT75_01850
ko:K00111	aact:ACT75_01855
ko:K07056	aact:ACT75_01860
ko:K07121	aact:ACT75_01865
ko:K07460	aact:ACT75_01870
ko:K03271	aact:ACT75_01875
ko:K01673	aact:ACT75_01885
ko:K12267	aact:ACT75_01890
ko:K06196	aact:ACT75_01895
ko:K03326	aact:ACT75_01925
ko:K08996	aact:ACT75_04485
ko:K01246	aact:ACT75_04490
ko:K04744	aact:ACT75_04495
ko:K00769	aact:ACT75_04500
ko:K01270	aact:ACT75_04505
ko:K07124	aact:ACT75_04510
ko:K03753	aact:ACT75_04515
ko:K03803	aact:ACT75_04520
ko:K03598	aact:ACT75_04525
ko:K03597	aact:ACT75_04530
ko:K03088	aact:ACT75_04535
ko:K09159	aact:ACT75_04540
ko:K03297	aact:ACT75_04545
ko:K01881	aact:ACT75_04550
ko:K01042	aact:ACT75_04555
ko:K03833	aact:ACT75_04560
ko:K07741	aact:ACT75_08820
ko:K02314	aact:ACT75_08830
ko:K03791	aact:ACT75_08890
ko:K07474	aact:ACT75_08905
ko:K09961	aact:ACT75_08915
ko:K09960	aact:ACT75_08930
ko:K03704	aact:ACT75_09040
ko:K00852	aact:ACT75_09045
ko:K10439	aact:ACT75_09050
ko:K10440	aact:ACT75_09055
ko:K10441	aact:ACT75_09060
ko:K06726	aact:ACT75_09065
ko:K08311	aact:ACT75_09070
ko:K07090	aact:ACT75_09075
ko:K13292	aact:ACT75_09080
ko:K00560	aact:ACT75_09085
ko:K11991	aact:ACT75_09095
ko:K07473	aact:ACT75_01930
ko:K19157	aact:ACT75_01935
ko:K01951	aact:ACT75_01940
ko:K07127	aact:ACT75_01950
ko:K01962	aact:ACT75_01955
ko:K00868	aact:ACT75_01960
ko:K04075	aact:ACT75_01965
ko:K06901	aact:ACT75_01970
ko:K01784	aact:ACT75_01980
ko:K04651	aact:ACT75_01985
ko:K08218	aact:ACT75_01990
ko:K00939	aact:ACT75_01995
ko:K04485	aact:ACT75_02005
ko:K07220	aact:ACT75_02015
ko:K03306	aact:ACT75_02020
ko:K07184	aact:ACT75_02025
ko:K00974	aact:ACT75_02030
ko:K02494	aact:ACT75_02035
ko:K00919	aact:ACT75_02040
ko:K00948	aact:ACT75_02045
ko:K00101	aact:ACT75_02050
ko:K03303	aact:ACT75_02055
ko:K09802	aact:ACT75_02060
ko:K00831	aact:ACT75_02065
ko:K00817	aact:ACT75_02070
ko:K02796	aact:ACT75_06285
ko:K02795	aact:ACT75_06290
ko:K02793	aact:ACT75_06295
ko:K02794	aact:ACT75_06295
ko:K00971	aact:ACT75_06305
ko:K09690	aact:ACT75_06310
ko:K09691	aact:ACT75_06315
ko:K01711	aact:ACT75_06335
ko:K12994	aact:ACT75_06340
ko:K02529	aact:ACT75_06355
ko:K03315	aact:ACT75_06360
ko:K14155	aact:ACT75_06365
ko:K10544	aact:ACT75_06370
ko:K10545	aact:ACT75_06375
ko:K10543	aact:ACT75_06380
ko:K01805	aact:ACT75_06385
ko:K07343	aact:ACT75_06405
ko:K03089	aact:ACT75_06410
ko:K00075	aact:ACT75_06420
ko:K07674	aact:ACT75_06425
ko:K02570	aact:ACT75_06430
ko:K02567	aact:ACT75_06435
ko:K02573	aact:ACT75_06440
ko:K02574	aact:ACT75_06445
ko:K02568	aact:ACT75_06450
ko:K02569	aact:ACT75_06455
ko:K01460	aact:ACT75_06460
ko:K02843	aact:ACT75_06465
ko:K03274	aact:ACT75_06475
ko:K11751	aact:ACT75_06485
ko:K09458	aact:ACT75_06510
ko:K00059	aact:ACT75_06515
ko:K00647	aact:ACT75_06525
ko:K07107	aact:ACT75_06545
ko:K02520	aact:ACT75_10770
ko:K02887	aact:ACT75_10780
ko:K09974	aact:ACT75_10785
ko:K01635	aact:ACT75_10790
ko:K00094	aact:ACT75_10800
ko:K02436	aact:ACT75_10805
ko:K01662	aact:ACT75_10810
ko:K00795	aact:ACT75_10815
ko:K03602	aact:ACT75_10820
ko:K01963	aact:ACT75_10825
ko:K11754	aact:ACT75_10830
ko:K06131	aact:ACT75_10840
ko:K06177	aact:ACT75_10850
ko:K06193	aact:ACT75_10860
ko:K05685	aact:ACT75_10875
ko:K13888	aact:ACT75_10880
ko:K01886	aact:ACT75_10885
ko:K07334	aact:ACT75_10890
ko:K21498	aact:ACT75_10895
ko:K09160	aact:ACT75_10900
ko:K09808	aact:ACT75_10930
ko:K09810	aact:ACT75_10935
ko:K09808	aact:ACT75_10940
ko:K01626	aact:ACT75_10945
ko:K02314	aact:ACT75_10950
ko:K01775	aact:ACT75_10955
ko:K01810	aact:ACT75_10960
ko:K00794	aact:ACT75_10970
ko:K03625	aact:ACT75_10975
ko:K00946	aact:ACT75_10980
ko:K01095	aact:ACT75_10985
ko:K00215	aact:ACT75_10995
ko:K11107	aact:ACT75_11000
ko:K00526	aact:ACT75_11010
ko:K00525	aact:ACT75_11025
ko:K02012	aact:ACT75_11035
ko:K02011	aact:ACT75_11040
ko:K02010	aact:ACT75_11045
ko:K10954	aact:ACT75_00130
ko:K01141	aact:ACT75_00180
ko:K03632	aact:ACT75_00190
ko:K03804	aact:ACT75_00195
ko:K05939	aact:ACT75_00200
ko:K03633	aact:ACT75_00205
ko:K07262	aact:ACT75_00210
ko:K02897	aact:ACT75_00220
ko:K00688	aact:ACT75_00230
ko:K00703	aact:ACT75_00235
ko:K00975	aact:ACT75_00240
ko:K02438	aact:ACT75_00245
ko:K00700	aact:ACT75_00250
ko:K15738	aact:ACT75_00280
ko:K01129	aact:ACT75_00295
ko:K06518	aact:ACT75_00305
ko:K07726	aact:ACT75_00320
ko:K05995	aact:ACT75_00345
ko:K03151	aact:ACT75_00350
ko:K07821	aact:ACT75_00355
ko:K07812	aact:ACT75_00360
ko:K03319	aact:ACT75_00370
ko:K18923	aact:ACT75_00375
ko:K06173	aact:ACT75_00385
ko:K02996	aact:ACT75_00390
ko:K02871	aact:ACT75_00395
ko:K11907	aact:ACT75_04615
ko:K11907	aact:ACT75_04620
ko:K03831	aact:ACT75_04645
ko:K00981	aact:ACT75_04650
ko:K00995	aact:ACT75_04660
ko:K03470	aact:ACT75_04670
ko:K00748	aact:ACT75_04675
ko:K00677	aact:ACT75_04680
ko:K02372	aact:ACT75_04685
ko:K02536	aact:ACT75_04690
ko:K06142	aact:ACT75_04695
ko:K07277	aact:ACT75_04700
ko:K11749	aact:ACT75_04705
ko:K00981	aact:ACT75_04710
ko:K00806	aact:ACT75_04715
ko:K00099	aact:ACT75_04720
ko:K02838	aact:ACT75_04725
ko:K09903	aact:ACT75_04730
ko:K07085	aact:ACT75_04735
ko:K02471	aact:ACT75_04740
ko:K16087	aact:ACT75_04745
ko:K02444	aact:ACT75_04750
ko:K02441	aact:ACT75_04755
ko:K02439	aact:ACT75_04765
ko:K09760	aact:ACT75_04775
ko:K07479	aact:ACT75_04780
ko:K07566	aact:ACT75_04785
ko:K00014	aact:ACT75_04790
ko:K05786	aact:ACT75_04795
ko:K02521	aact:ACT75_04800
ko:K00053	aact:ACT75_04805
ko:K02950	aact:ACT75_04810
ko:K02992	aact:ACT75_04815
ko:K02355	aact:ACT75_04820
ko:K02358	aact:ACT75_04825
ko:K10439	aact:ACT75_04830
ko:K10441	aact:ACT75_04835
ko:K10440	aact:ACT75_04840
ko:K00880	aact:ACT75_04845
ko:K06959	aact:ACT75_04850
ko:K07483	aact:ACT75_04855
ko:K04760	aact:ACT75_04885
ko:K07126	aact:ACT75_09110
ko:K03593	aact:ACT75_09135
ko:K01874	aact:ACT75_09140
ko:K04755	aact:ACT75_09150
ko:K04044	aact:ACT75_09155
ko:K04082	aact:ACT75_09160
ko:K13628	aact:ACT75_09165
ko:K04488	aact:ACT75_09170
ko:K04487	aact:ACT75_09175
ko:K13643	aact:ACT75_09180
ko:K15396	aact:ACT75_09185
ko:K01092	aact:ACT75_09190
ko:K03778	aact:ACT75_09250
ko:K03671	aact:ACT75_09255
ko:K06179	aact:ACT75_09260
ko:K08300	aact:ACT75_09265
ko:K15977	aact:ACT75_09275
ko:K04084	aact:ACT75_09280
ko:K06966	aact:ACT75_09285
ko:K02909	aact:ACT75_09290
ko:K02919	aact:ACT75_09295
ko:K07773	aact:ACT75_09300
ko:K10823	aact:ACT75_09305
ko:K15583	aact:ACT75_09310
ko:K15582	aact:ACT75_09315
ko:K15581	aact:ACT75_09325
ko:K15580	aact:ACT75_09330
ko:K03664	aact:ACT75_09335
ko:K03979	aact:ACT75_09340
ko:K02899	aact:ACT75_09355
ko:K00800	aact:ACT75_02090
ko:K03469	aact:ACT75_02095
ko:K02342	aact:ACT75_02100
ko:K18923	aact:ACT75_02115
ko:K06218	aact:ACT75_02120
ko:K07112	aact:ACT75_02130
ko:K08303	aact:ACT75_02135
ko:K03531	aact:ACT75_02170
ko:K07568	aact:ACT75_02175
ko:K00817	aact:ACT75_02180
ko:K00773	aact:ACT75_02185
ko:K03210	aact:ACT75_02190
ko:K03072	aact:ACT75_02195
ko:K03074	aact:ACT75_02200
ko:K16087	aact:ACT75_02205
ko:K04072	aact:ACT75_02210
ko:K17214	aact:ACT75_02215
ko:K17215	aact:ACT75_02220
ko:K17213	aact:ACT75_02225
ko:K17213	aact:ACT75_02230
ko:K00140	aact:ACT75_02240
ko:K19127	aact:ACT75_02245
ko:K19128	aact:ACT75_02250
ko:K19129	aact:ACT75_02255
ko:K19130	aact:ACT75_02260
ko:K07012	aact:ACT75_02265
ko:K15342	aact:ACT75_02270
ko:K01737	aact:ACT75_02275
ko:K10026	aact:ACT75_02280
ko:K00208	aact:ACT75_02290
ko:K01147	aact:ACT75_02295
ko:K04047	aact:ACT75_02300
ko:K03446	aact:ACT75_02310
ko:K15773	aact:ACT75_02315
ko:K07154	aact:ACT75_02320
ko:K01873	aact:ACT75_02330
ko:K09900	aact:ACT75_02335
ko:K02339	aact:ACT75_02340
ko:K01679	aact:ACT75_02345
ko:K05844	aact:ACT75_02355
ko:K03674	aact:ACT75_02365
ko:K02078	aact:ACT75_06575
ko:K02078	aact:ACT75_06580
ko:K20862	aact:ACT75_06605
ko:K03733	aact:ACT75_06610
ko:K01778	aact:ACT75_06615
ko:K01933	aact:ACT75_06625
ko:K03695	aact:ACT75_06635
ko:K02237	aact:ACT75_06640
ko:K00133	aact:ACT75_06645
ko:K07400	aact:ACT75_06660
ko:K11755	aact:ACT75_06665
ko:K03311	aact:ACT75_06670
ko:K01937	aact:ACT75_06675
ko:K01879	aact:ACT75_06680
ko:K01878	aact:ACT75_06705
ko:K07308	aact:ACT75_06720
ko:K07307	aact:ACT75_06725
ko:K07306	aact:ACT75_06730
ko:K02335	aact:ACT75_06740
ko:K03656	aact:ACT75_06755
ko:K00661	aact:ACT75_06785
ko:K07173	aact:ACT75_06795
ko:K07126	aact:ACT75_06835
ko:K07126	aact:ACT75_06840
ko:K01176	aact:ACT75_11050
ko:K10110	aact:ACT75_11055
ko:K10109	aact:ACT75_11060
ko:K10108	aact:ACT75_11065
ko:K10111	aact:ACT75_11070
ko:K02024	aact:ACT75_11075
ko:K05775	aact:ACT75_11080
ko:K01792	aact:ACT75_11085
ko:K03722	aact:ACT75_11090
ko:K14742	aact:ACT75_11095
ko:K02888	aact:ACT75_09360
ko:K02523	aact:ACT75_09365
ko:K09765	aact:ACT75_09370
ko:K06168	aact:ACT75_09375
ko:K07285	aact:ACT75_11100
ko:K01897	aact:ACT75_11105
ko:K01897	aact:ACT75_11110
ko:K03684	aact:ACT75_11115
ko:K00428	aact:ACT75_11120
ko:K07340	aact:ACT75_11150
ko:K02517	aact:ACT75_11165
ko:K03272	aact:ACT75_11170
ko:K02426	aact:ACT75_11175
ko:K01766	aact:ACT75_11180
ko:K14058	aact:ACT75_11190
ko:K15977	aact:ACT75_11195
ko:K02014	aact:ACT75_11200
ko:K02016	aact:ACT75_11210
ko:K02015	aact:ACT75_11215
ko:K02013	aact:ACT75_11220
ko:K19611	aact:ACT75_11230
ko:K02016	aact:ACT75_11240
ko:K02013	aact:ACT75_11245
ko:K02015	aact:ACT75_11250
ko:K03639	aact:ACT75_11280
ko:K03637	aact:ACT75_11285
ko:K03636	aact:ACT75_11290
ko:K03635	aact:ACT75_11295
ko:K03599	aact:ACT75_11300
ko:K03600	aact:ACT75_11305
ko:K01893	aact:ACT75_11310
ko:K15545	aact:ACT75_11315
ko:K01935	aact:ACT75_11320
ko:K03581	aact:ACT75_00405
ko:K03582	aact:ACT75_00410
ko:K06039	aact:ACT75_00415
ko:K01716	aact:ACT75_00425
ko:K04770	aact:ACT75_00430
ko:K09911	aact:ACT75_00435
ko:K03704	aact:ACT75_00440
ko:K09917	aact:ACT75_00445
ko:K06175	aact:ACT75_00450
ko:K06879	aact:ACT75_00465
ko:K08476	aact:ACT75_00470
ko:K08475	aact:ACT75_00475
ko:K08475	aact:ACT75_00480
ko:K07483	aact:ACT75_00485
ko:K08478	aact:ACT75_00495
ko:K02012	aact:ACT75_00500
ko:K02011	aact:ACT75_00510
ko:K02010	aact:ACT75_00515
ko:K09906	aact:ACT75_00520
ko:K03798	aact:ACT75_00525
ko:K02427	aact:ACT75_00530
ko:K01433	aact:ACT75_00535
ko:K03746	aact:ACT75_00540
ko:K02343	aact:ACT75_00580
ko:K00759	aact:ACT75_00585
ko:K02560	aact:ACT75_00590
ko:K07090	aact:ACT75_00595
ko:K07261	aact:ACT75_00600
ko:K01736	aact:ACT75_00605
ko:K05802	aact:ACT75_00610
ko:K01911	aact:ACT75_00615
ko:K03645	aact:ACT75_00620
ko:K01175	aact:ACT75_00625
ko:K03839	aact:ACT75_00630
ko:K03711	aact:ACT75_00635
ko:K02469	aact:ACT75_00640
ko:K03113	aact:ACT75_00650
ko:K01591	aact:ACT75_00655
ko:K19804	aact:ACT75_00660
ko:K08992	aact:ACT75_00665
ko:K05788	aact:ACT75_00670
ko:K02945	aact:ACT75_00675
ko:K03088	aact:ACT75_04895
ko:K09125	aact:ACT75_04905
ko:K02498	aact:ACT75_04910
ko:K02496	aact:ACT75_04915
ko:K01719	aact:ACT75_04920
ko:K01749	aact:ACT75_04925
ko:K05851	aact:ACT75_04930
ko:K07685	aact:ACT75_04935
ko:K07278	aact:ACT75_04940
ko:K09800	aact:ACT75_04945
ko:K01524	aact:ACT75_04950
ko:K01610	aact:ACT75_04955
ko:K01599	aact:ACT75_04970
ko:K09891	aact:ACT75_04975
ko:K05787	aact:ACT75_04980
ko:K00820	aact:ACT75_04990
ko:K06889	aact:ACT75_04995
ko:K03929	aact:ACT75_05010
ko:K06915	aact:ACT75_05035
ko:K09858	aact:ACT75_05045
ko:K07058	aact:ACT75_05050
ko:K07560	aact:ACT75_05055
ko:K03312	aact:ACT75_05060
ko:K07640	aact:ACT75_05065
ko:K07662	aact:ACT75_05070
ko:K06186	aact:ACT75_05075
ko:K06899	aact:ACT75_05080
ko:K09904	aact:ACT75_05085
ko:K07014	aact:ACT75_05090
ko:K04765	aact:ACT75_05100
ko:K06149	aact:ACT75_05105
ko:K01872	aact:ACT75_05110
ko:K03563	aact:ACT75_05115
ko:K01840	aact:ACT75_05120
ko:K00963	aact:ACT75_05125
ko:K03764	aact:ACT75_05130
ko:K09761	aact:ACT75_05135
ko:K07735	aact:ACT75_05140
ko:K07447	aact:ACT75_05145
ko:K01689	aact:ACT75_05150
ko:K00566	aact:ACT75_05155
ko:K05952	aact:ACT75_05160
ko:K03734	aact:ACT75_05165
ko:K04067	aact:ACT75_09380
ko:K07084	aact:ACT75_09385
ko:K03683	aact:ACT75_09390
ko:K01759	aact:ACT75_09395
ko:K16087	aact:ACT75_09400
ko:K02445	aact:ACT75_09405
ko:K15256	aact:ACT75_09415
ko:K01876	aact:ACT75_09425
ko:K07483	aact:ACT75_09435
ko:K08310	aact:ACT75_09445
ko:K01159	aact:ACT75_09460
ko:K03550	aact:ACT75_09465
ko:K03551	aact:ACT75_09470
ko:K00425	aact:ACT75_09480
ko:K00426	aact:ACT75_09485
ko:K07107	aact:ACT75_09495
ko:K03562	aact:ACT75_09500
ko:K03560	aact:ACT75_09505
ko:K03646	aact:ACT75_09510
ko:K03641	aact:ACT75_09515
ko:K03640	aact:ACT75_09520
ko:K02679	aact:ACT75_09540
ko:K02680	aact:ACT75_09545
ko:K02681	aact:ACT75_09555
ko:K03583	aact:ACT75_09560
ko:K03789	aact:ACT75_09565
ko:K02344	aact:ACT75_09570
ko:K00564	aact:ACT75_09575
ko:K00600	aact:ACT75_09590
ko:K07389	aact:ACT75_09600
ko:K11005	aact:ACT75_09605
ko:K11004	aact:ACT75_09610
ko:K11003	aact:ACT75_09615
ko:K02798	aact:ACT75_09620
ko:K02799	aact:ACT75_09620
ko:K02800	aact:ACT75_09620
ko:K00009	aact:ACT75_09625
ko:K02562	aact:ACT75_09630
ko:K00010	aact:ACT75_09635
ko:K03335	aact:ACT75_09640
ko:K03336	aact:ACT75_09645
ko:K03338	aact:ACT75_09650
ko:K03834	aact:ACT75_02375
ko:K03477	aact:ACT75_02420
ko:K03476	aact:ACT75_02425
ko:K02822	aact:ACT75_02430
ko:K03475	aact:ACT75_02430
ko:K02821	aact:ACT75_02435
ko:K03078	aact:ACT75_02440
ko:K11904	aact:ACT75_02465
ko:K05367	aact:ACT75_02470
ko:K06894	aact:ACT75_02480
ko:K03568	aact:ACT75_02485
ko:K03813	aact:ACT75_02490
ko:K02017	aact:ACT75_02495
ko:K02018	aact:ACT75_02500
ko:K02020	aact:ACT75_02505
ko:K04043	aact:ACT75_02525
ko:K03686	aact:ACT75_02530
ko:K18841	aact:ACT75_02535
ko:K01760	aact:ACT75_02550
ko:K00995	aact:ACT75_02555
ko:K12410	aact:ACT75_02575
ko:K03675	aact:ACT75_02580
ko:K08301	aact:ACT75_02585
ko:K11928	aact:ACT75_02590
ko:K15257	aact:ACT75_02595
ko:K01939	aact:ACT75_02600
ko:K18997	aact:ACT75_02605
ko:K05516	aact:ACT75_02610
ko:K03977	aact:ACT75_02615
ko:K08159	aact:ACT75_02620
ko:K01494	aact:ACT75_02630
ko:K00876	aact:ACT75_02635
ko:K02012	aact:ACT75_02640
ko:K02012	aact:ACT75_02645
ko:K02011	aact:ACT75_02650
ko:K07733	aact:ACT75_06905
ko:K05595	aact:ACT75_06935
ko:K06158	aact:ACT75_06940
ko:K03553	aact:ACT75_06945
ko:K03565	aact:ACT75_06950
ko:K09022	aact:ACT75_06955
ko:K00615	aact:ACT75_06960
ko:K00616	aact:ACT75_06965
ko:K07497	aact:ACT75_06995
ko:K07497	aact:ACT75_07000
ko:K07497	aact:ACT75_07005
ko:K07133	aact:ACT75_07015
ko:K05590	aact:ACT75_07020
ko:K15460	aact:ACT75_07025
ko:K03811	aact:ACT75_07030
ko:K06177	aact:ACT75_07035
ko:K09894	aact:ACT75_07045
ko:K02495	aact:ACT75_07055
ko:K01803	aact:ACT75_07065
ko:K01661	aact:ACT75_07070
ko:K02549	aact:ACT75_07085
ko:K03786	aact:ACT75_07090
ko:K02160	aact:ACT75_07095
ko:K01961	aact:ACT75_07100
ko:K14392	aact:ACT75_07120
ko:K04095	aact:ACT75_07125
ko:K11216	aact:ACT75_11325
ko:K11531	aact:ACT75_11330
ko:K10558	aact:ACT75_11335
ko:K10556	aact:ACT75_11340
ko:K10557	aact:ACT75_11345
ko:K10555	aact:ACT75_11350
ko:K08321	aact:ACT75_11355
ko:K11530	aact:ACT75_11360
ko:K00873	aact:ACT75_11365
ko:K00526	aact:ACT75_11370
ko:K00525	aact:ACT75_11375
ko:K01695	aact:ACT75_11380
ko:K01696	aact:ACT75_11385
ko:K16066	aact:ACT75_11390
ko:K16087	aact:ACT75_11405
ko:K01572	aact:ACT75_11410
ko:K01571	aact:ACT75_11415
ko:K01573	aact:ACT75_11420
ko:K04653	aact:ACT75_11430
ko:K13498	aact:ACT75_11440
ko:K21498	aact:ACT75_11445
ko:K07334	aact:ACT75_11450
ko:K00766	aact:ACT75_11455
ko:K01658	aact:ACT75_11465
ko:K01657	aact:ACT75_11470
ko:K03270	aact:ACT75_11475
ko:K06041	aact:ACT75_11480
ko:K03799	aact:ACT75_11485
ko:K01889	aact:ACT75_11490
ko:K01890	aact:ACT75_11495
ko:K04764	aact:ACT75_11500
ko:K13695	aact:ACT75_11505
ko:K01992	aact:ACT75_11520
ko:K02010	aact:ACT75_02655
ko:K00147	aact:ACT75_02665
ko:K03841	aact:ACT75_02680
ko:K02558	aact:ACT75_02685
ko:K08304	aact:ACT75_02695
ko:K09815	aact:ACT75_02705
ko:K08978	aact:ACT75_02725
ko:K09801	aact:ACT75_02735
ko:K18850	aact:ACT75_02740
ko:K03601	aact:ACT75_02745
ko:K06958	aact:ACT75_02750
ko:K02806	aact:ACT75_02755
ko:K06861	aact:ACT75_02760
ko:K09774	aact:ACT75_02765
ko:K11719	aact:ACT75_02770
ko:K02065	aact:ACT75_02775
ko:K02066	aact:ACT75_02780
ko:K02067	aact:ACT75_02785
ko:K07323	aact:ACT75_02790
ko:K07122	aact:ACT75_02795
ko:K00790	aact:ACT75_02805
ko:K06076	aact:ACT75_02815
ko:K00567	aact:ACT75_02820
ko:K03573	aact:ACT75_02825
ko:K01915	aact:ACT75_02835
ko:K06207	aact:ACT75_02840
ko:K03564	aact:ACT75_02850
ko:K01714	aact:ACT75_02855
ko:K07287	aact:ACT75_02860
ko:K05845	aact:ACT75_02865
ko:K05846	aact:ACT75_02865
ko:K05847	aact:ACT75_02870
ko:K06997	aact:ACT75_02875
ko:K03462	aact:ACT75_02880
ko:K12524	aact:ACT75_02885
ko:K00872	aact:ACT75_02890
ko:K01733	aact:ACT75_02900
ko:K06133	aact:ACT75_02905
ko:K04088	aact:ACT75_02910
ko:K04087	aact:ACT75_02915
ko:K03545	aact:ACT75_02920
ko:K04763	aact:ACT75_02925
ko:K00286	aact:ACT75_02930
ko:K02687	aact:ACT75_07130
ko:K05540	aact:ACT75_07135
ko:K03557	aact:ACT75_07140
ko:K05809	aact:ACT75_07150
ko:K03310	aact:ACT75_07155
ko:K06975	aact:ACT75_07160
ko:K09862	aact:ACT75_07165
ko:K00859	aact:ACT75_07170
ko:K07497	aact:ACT75_07175
ko:K07483	aact:ACT75_07180
ko:K07497	aact:ACT75_07185
ko:K01919	aact:ACT75_07200
ko:K01358	aact:ACT75_07210
ko:K03544	aact:ACT75_07215
ko:K17686	aact:ACT75_07235
ko:K07213	aact:ACT75_07240
ko:K03046	aact:ACT75_07265
ko:K03043	aact:ACT75_07270
ko:K02935	aact:ACT75_07275
ko:K02864	aact:ACT75_07280
ko:K02863	aact:ACT75_07285
ko:K02867	aact:ACT75_07290
ko:K02601	aact:ACT75_07295
ko:K03073	aact:ACT75_07300
ko:K07483	aact:ACT75_07315
ko:K02506	aact:ACT75_07340
ko:K02505	aact:ACT75_07345
ko:K02504	aact:ACT75_07350
ko:K02682	aact:ACT75_07355
ko:K03806	aact:ACT75_07360
ko:K00962	aact:ACT75_07370
ko:K05803	aact:ACT75_07375
ko:K05592	aact:ACT75_07380
ko:K02647	aact:ACT75_07390
ko:K03299	aact:ACT75_07395
ko:K00865	aact:ACT75_07400
ko:K01985	aact:ACT75_06990
ko:K19611	aact:ACT75_11225
ko:K01190	aact:ACT75_02370
ko:K18842	aact:ACT75_02540
ko:K14220	aact:ACT75_01795
ko:K14231	aact:ACT75_05215
ko:K14232	aact:ACT75_01455
