ko:K18929	cjv:MTVDSCj20_0073
ko:K03342	cjv:MTVDSCj20_0867
ko:K04763	cjv:MTVDSCj20_0868
ko:K03673	cjv:MTVDSCj20_0869
ko:K03611	cjv:MTVDSCj20_0870
ko:K03673	cjv:MTVDSCj20_0872
ko:K02400	cjv:MTVDSCj20_0878
ko:K02956	cjv:MTVDSCj20_0880
ko:K03466	cjv:MTVDSCj20_0881
ko:K02397	cjv:MTVDSCj20_0882
ko:K15738	cjv:MTVDSCj20_0885
ko:K00058	cjv:MTVDSCj20_0888
ko:K02945	cjv:MTVDSCj20_0890
ko:K03527	cjv:MTVDSCj20_0891
ko:K00800	cjv:MTVDSCj20_0892
ko:K01890	cjv:MTVDSCj20_0893
ko:K01889	cjv:MTVDSCj20_0894
ko:K02503	cjv:MTVDSCj20_0895
ko:K03152	cjv:MTVDSCj20_0896
ko:K02029	cjv:MTVDSCj20_0898
ko:K02028	cjv:MTVDSCj20_0899
ko:K03310	cjv:MTVDSCj20_0900
ko:K03216	cjv:MTVDSCj20_0901
ko:K01775	cjv:MTVDSCj20_0902
ko:K07152	cjv:MTVDSCj20_0907
ko:K02004	cjv:MTVDSCj20_1622
ko:K02004	cjv:MTVDSCj20_1623
ko:K02003	cjv:MTVDSCj20_1624
ko:K01689	cjv:MTVDSCj20_1637
ko:K11785	cjv:MTVDSCj20_1639
ko:K02420	cjv:MTVDSCj20_1640
ko:K00075	cjv:MTVDSCj20_1641
ko:K01082	cjv:MTVDSCj20_1643
ko:K01647	cjv:MTVDSCj20_1644
ko:K01012	cjv:MTVDSCj20_1646
ko:K03168	cjv:MTVDSCj20_1647
ko:K10112	cjv:MTVDSCj20_1649
ko:K02025	cjv:MTVDSCj20_1650
ko:K01091	cjv:MTVDSCj20_1653
ko:K03076	cjv:MTVDSCj20_1655
ko:K02876	cjv:MTVDSCj20_1656
ko:K02988	cjv:MTVDSCj20_1657
ko:K02881	cjv:MTVDSCj20_1658
ko:K02933	cjv:MTVDSCj20_1659
ko:K02994	cjv:MTVDSCj20_1660
ko:K02954	cjv:MTVDSCj20_1661
ko:K02931	cjv:MTVDSCj20_1662
ko:K02895	cjv:MTVDSCj20_1663
ko:K02874	cjv:MTVDSCj20_1664
ko:K02961	cjv:MTVDSCj20_1665
ko:K02904	cjv:MTVDSCj20_1666
ko:K02878	cjv:MTVDSCj20_1667
ko:K02982	cjv:MTVDSCj20_1668
ko:K02890	cjv:MTVDSCj20_1669
ko:K02965	cjv:MTVDSCj20_1670
ko:K02886	cjv:MTVDSCj20_1671
ko:K02892	cjv:MTVDSCj20_1672
ko:K03977	cjv:MTVDSCj20_0356
ko:K00891	cjv:MTVDSCj20_0357
ko:K01867	cjv:MTVDSCj20_0358
ko:K01875	cjv:MTVDSCj20_0359
ko:K00873	cjv:MTVDSCj20_0362
ko:K00116	cjv:MTVDSCj20_0363
ko:K03525	cjv:MTVDSCj20_0364
ko:K02435	cjv:MTVDSCj20_0368
ko:K03558	cjv:MTVDSCj20_0369
ko:K03711	cjv:MTVDSCj20_0370
ko:K04567	cjv:MTVDSCj20_0371
ko:K00600	cjv:MTVDSCj20_0372
ko:K03749	cjv:MTVDSCj20_0374
ko:K00014	cjv:MTVDSCj20_0375
ko:K13292	cjv:MTVDSCj20_0377
ko:K00246	cjv:MTVDSCj20_0378
ko:K00244	cjv:MTVDSCj20_0379
ko:K00245	cjv:MTVDSCj20_0380
ko:K07126	cjv:MTVDSCj20_0383
ko:K06152	cjv:MTVDSCj20_0384
ko:K06151	cjv:MTVDSCj20_0385
ko:K01925	cjv:MTVDSCj20_0406
ko:K07270	cjv:MTVDSCj20_1149
ko:K02843	cjv:MTVDSCj20_1153
ko:K03271	cjv:MTVDSCj20_1156
ko:K03272	cjv:MTVDSCj20_1157
ko:K03274	cjv:MTVDSCj20_1158
ko:K03273	cjv:MTVDSCj20_1159
ko:K08738	cjv:MTVDSCj20_1160
ko:K17686	cjv:MTVDSCj20_1162
ko:K03628	cjv:MTVDSCj20_1163
ko:K02343	cjv:MTVDSCj20_1164
ko:K01533	cjv:MTVDSCj20_1166
ko:K16264	cjv:MTVDSCj20_1168
ko:K09981	cjv:MTVDSCj20_1169
ko:K00016	cjv:MTVDSCj20_1172
ko:K03768	cjv:MTVDSCj20_1176
ko:K11743	cjv:MTVDSCj20_1178
ko:K11742	cjv:MTVDSCj20_1179
ko:K01887	cjv:MTVDSCj20_1180
ko:K03116	cjv:MTVDSCj20_1181
ko:K00942	cjv:MTVDSCj20_1182
ko:K02421	cjv:MTVDSCj20_1184
ko:K02003	cjv:MTVDSCj20_1185
ko:K02357	cjv:MTVDSCj20_1186
ko:K02967	cjv:MTVDSCj20_1187
ko:K00574	cjv:MTVDSCj20_1188
ko:K00413	cjv:MTVDSCj20_1189
ko:K00412	cjv:MTVDSCj20_1190
ko:K00411	cjv:MTVDSCj20_1191
ko:K03893	cjv:MTVDSCj20_1192
ko:K03495	cjv:MTVDSCj20_1193
ko:K01173	cjv:MTVDSCj20_0614
ko:K10773	cjv:MTVDSCj20_0615
ko:K01624	cjv:MTVDSCj20_0617
ko:K02557	cjv:MTVDSCj20_0619
ko:K03308	cjv:MTVDSCj20_0621
ko:K04084	cjv:MTVDSCj20_0623
ko:K13888	cjv:MTVDSCj20_0626
ko:K05685	cjv:MTVDSCj20_0627
ko:K09795	cjv:MTVDSCj20_0630
ko:K02217	cjv:MTVDSCj20_0632
ko:K02040	cjv:MTVDSCj20_0633
ko:K02037	cjv:MTVDSCj20_0634
ko:K02038	cjv:MTVDSCj20_0635
ko:K02036	cjv:MTVDSCj20_0636
ko:K07043	cjv:MTVDSCj20_0638
ko:K04656	cjv:MTVDSCj20_0640
ko:K04652	cjv:MTVDSCj20_0641
ko:K04653	cjv:MTVDSCj20_0642
ko:K04654	cjv:MTVDSCj20_0643
ko:K04655	cjv:MTVDSCj20_0644
ko:K04651	cjv:MTVDSCj20_0645
ko:K07504	cjv:MTVDSCj20_0646
ko:K02340	cjv:MTVDSCj20_0647
ko:K12573	cjv:MTVDSCj20_0648
ko:K00053	cjv:MTVDSCj20_0649
ko:K09798	cjv:MTVDSCj20_0650
ko:K04096	cjv:MTVDSCj20_0651
ko:K07447	cjv:MTVDSCj20_0652
ko:K07304	cjv:MTVDSCj20_0654
ko:K01507	cjv:MTVDSCj20_0655
ko:K00939	cjv:MTVDSCj20_0656
ko:K01876	cjv:MTVDSCj20_0657
ko:K00858	cjv:MTVDSCj20_0658
ko:K03631	cjv:MTVDSCj20_0659
ko:K03424	cjv:MTVDSCj20_0661
ko:K08307	cjv:MTVDSCj20_0662
ko:K07265	cjv:MTVDSCj20_1389
ko:K07266	cjv:MTVDSCj20_1390
ko:K00012	cjv:MTVDSCj20_1397
ko:K12452	cjv:MTVDSCj20_1399
ko:K01738	cjv:MTVDSCj20_0908
ko:K03530	cjv:MTVDSCj20_0909
ko:K10806	cjv:MTVDSCj20_0911
ko:K06200	cjv:MTVDSCj20_0913
ko:K00948	cjv:MTVDSCj20_0914
ko:K10040	cjv:MTVDSCj20_0915
ko:K10040	cjv:MTVDSCj20_0916
ko:K10039	cjv:MTVDSCj20_0917
ko:K10041	cjv:MTVDSCj20_0918
ko:K00575	cjv:MTVDSCj20_0919
ko:K03412	cjv:MTVDSCj20_0920
ko:K01808	cjv:MTVDSCj20_0921
ko:K00759	cjv:MTVDSCj20_0923
ko:K01255	cjv:MTVDSCj20_0925
ko:K06942	cjv:MTVDSCj20_0926
ko:K01755	cjv:MTVDSCj20_0927
ko:K01610	cjv:MTVDSCj20_0928
ko:K01960	cjv:MTVDSCj20_0929
ko:K03308	cjv:MTVDSCj20_0930
ko:K03308	cjv:MTVDSCj20_0931
ko:K02110	cjv:MTVDSCj20_0932
ko:K07088	cjv:MTVDSCj20_0939
ko:K05939	cjv:MTVDSCj20_0940
ko:K02029	cjv:MTVDSCj20_0949
ko:K02004	cjv:MTVDSCj20_0950
ko:K03070	cjv:MTVDSCj20_0951
ko:K03634	cjv:MTVDSCj20_0952
ko:K12251	cjv:MTVDSCj20_0956
ko:K02926	cjv:MTVDSCj20_1673
ko:K02906	cjv:MTVDSCj20_1674
ko:K02946	cjv:MTVDSCj20_1675
ko:K06178	cjv:MTVDSCj20_1676
ko:K12574	cjv:MTVDSCj20_1677
ko:K02528	cjv:MTVDSCj20_1678
ko:K06941	cjv:MTVDSCj20_1680
ko:K01704	cjv:MTVDSCj20_1688
ko:K01703	cjv:MTVDSCj20_1689
ko:K00052	cjv:MTVDSCj20_1690
ko:K01649	cjv:MTVDSCj20_1691
ko:K09457	cjv:MTVDSCj20_1694
ko:K02390	cjv:MTVDSCj20_1695
ko:K01159	cjv:MTVDSCj20_1696
ko:K01000	cjv:MTVDSCj20_0407
ko:K15633	cjv:MTVDSCj20_0408
ko:K00059	cjv:MTVDSCj20_0409
ko:K00239	cjv:MTVDSCj20_0411
ko:K00240	cjv:MTVDSCj20_0412
ko:K00241	cjv:MTVDSCj20_0413
ko:K03707	cjv:MTVDSCj20_0414
ko:K02078	cjv:MTVDSCj20_0415
ko:K09458	cjv:MTVDSCj20_0416
ko:K01962	cjv:MTVDSCj20_0417
ko:K16089	cjv:MTVDSCj20_0418
ko:K08077	cjv:MTVDSCj20_0419
ko:K09794	cjv:MTVDSCj20_0421
ko:K02902	cjv:MTVDSCj20_0422
ko:K01783	cjv:MTVDSCj20_0423
ko:K02342	cjv:MTVDSCj20_0424
ko:K03147	cjv:MTVDSCj20_0426
ko:K09778	cjv:MTVDSCj20_0430
ko:K06168	cjv:MTVDSCj20_0431
ko:K02600	cjv:MTVDSCj20_0433
ko:K11784	cjv:MTVDSCj20_0435
ko:K03655	cjv:MTVDSCj20_0437
ko:K06886	cjv:MTVDSCj20_0438
ko:K02029	cjv:MTVDSCj20_0440
ko:K02029	cjv:MTVDSCj20_0441
ko:K02028	cjv:MTVDSCj20_0442
ko:K02358	cjv:MTVDSCj20_0447
ko:K02913	cjv:MTVDSCj20_0448
ko:K03073	cjv:MTVDSCj20_0450
ko:K02601	cjv:MTVDSCj20_0451
ko:K02867	cjv:MTVDSCj20_0452
ko:K02863	cjv:MTVDSCj20_0453
ko:K02864	cjv:MTVDSCj20_0454
ko:K02935	cjv:MTVDSCj20_0455
ko:K03043	cjv:MTVDSCj20_0456
ko:K02950	cjv:MTVDSCj20_0458
ko:K11103	cjv:MTVDSCj20_1197
ko:K03306	cjv:MTVDSCj20_1199
ko:K01465	cjv:MTVDSCj20_1200
ko:K00057	cjv:MTVDSCj20_1201
ko:K02434	cjv:MTVDSCj20_1202
ko:K07173	cjv:MTVDSCj20_1203
ko:K02073	cjv:MTVDSCj20_1205
ko:K00549	cjv:MTVDSCj20_1206
ko:K00297	cjv:MTVDSCj20_1207
ko:K02108	cjv:MTVDSCj20_1209
ko:K04485	cjv:MTVDSCj20_1210
ko:K03110	cjv:MTVDSCj20_1211
ko:K01934	cjv:MTVDSCj20_1213
ko:K18682	cjv:MTVDSCj20_1214
ko:K02238	cjv:MTVDSCj20_1216
ko:K07058	cjv:MTVDSCj20_1217
ko:K00104	cjv:MTVDSCj20_1218
ko:K05810	cjv:MTVDSCj20_1222
ko:K00793	cjv:MTVDSCj20_1223
ko:K04078	cjv:MTVDSCj20_1225
ko:K04077	cjv:MTVDSCj20_1226
ko:K02484	cjv:MTVDSCj20_1227
ko:K02484	cjv:MTVDSCj20_1232
ko:K05516	cjv:MTVDSCj20_1235
ko:K13640	cjv:MTVDSCj20_1236
ko:K03455	cjv:MTVDSCj20_1237
ko:K01091	cjv:MTVDSCj20_1239
ko:K01879	cjv:MTVDSCj20_1240
ko:K00978	cjv:MTVDSCj20_1400
ko:K01854	cjv:MTVDSCj20_1403
ko:K01784	cjv:MTVDSCj20_1404
ko:K00012	cjv:MTVDSCj20_1405
ko:K06041	cjv:MTVDSCj20_1410
ko:K10107	cjv:MTVDSCj20_1412
ko:K09689	cjv:MTVDSCj20_1413
ko:K09688	cjv:MTVDSCj20_1414
ko:K09979	cjv:MTVDSCj20_1415
ko:K04075	cjv:MTVDSCj20_1419
ko:K02836	cjv:MTVDSCj20_1421
ko:K06176	cjv:MTVDSCj20_1423
ko:K00946	cjv:MTVDSCj20_1424
ko:K02394	cjv:MTVDSCj20_1428
ko:K02396	cjv:MTVDSCj20_1432
ko:K02992	cjv:MTVDSCj20_0459
ko:K02355	cjv:MTVDSCj20_0460
ko:K01173	cjv:MTVDSCj20_0482
ko:K01524	cjv:MTVDSCj20_1243
ko:K03474	cjv:MTVDSCj20_1244
ko:K00097	cjv:MTVDSCj20_1245
ko:K01599	cjv:MTVDSCj20_1249
ko:K03703	cjv:MTVDSCj20_1252
ko:K01951	cjv:MTVDSCj20_1254
ko:K01945	cjv:MTVDSCj20_1256
ko:K04744	cjv:MTVDSCj20_1258
ko:K00962	cjv:MTVDSCj20_1259
ko:K01104	cjv:MTVDSCj20_1263
ko:K03686	cjv:MTVDSCj20_1265
ko:K02484	cjv:MTVDSCj20_1267
ko:K06187	cjv:MTVDSCj20_1268
ko:K03605	cjv:MTVDSCj20_1269
ko:K03620	cjv:MTVDSCj20_1270
ko:K05922	cjv:MTVDSCj20_1271
ko:K05927	cjv:MTVDSCj20_1272
ko:K01448	cjv:MTVDSCj20_1274
ko:K00459	cjv:MTVDSCj20_1275
ko:K01866	cjv:MTVDSCj20_1276
ko:K03060	cjv:MTVDSCj20_1278
ko:K09903	cjv:MTVDSCj20_1279
ko:K09811	cjv:MTVDSCj20_1281
ko:K09812	cjv:MTVDSCj20_1282
ko:K03439	cjv:MTVDSCj20_1283
ko:K06180	cjv:MTVDSCj20_1285
ko:K05837	cjv:MTVDSCj20_1286
ko:K03498	cjv:MTVDSCj20_1289
ko:K03642	cjv:MTVDSCj20_0663
ko:K03270	cjv:MTVDSCj20_0664
ko:K09774	cjv:MTVDSCj20_0666
ko:K03978	cjv:MTVDSCj20_0667
ko:K05515	cjv:MTVDSCj20_0669
ko:K01262	cjv:MTVDSCj20_0670
ko:K03305	cjv:MTVDSCj20_0671
ko:K03305	cjv:MTVDSCj20_0672
ko:K03667	cjv:MTVDSCj20_0676
ko:K01419	cjv:MTVDSCj20_0677
ko:K02939	cjv:MTVDSCj20_0678
ko:K01940	cjv:MTVDSCj20_0679
ko:K06925	cjv:MTVDSCj20_0681
ko:K06861	cjv:MTVDSCj20_0682
ko:K03092	cjv:MTVDSCj20_0683
ko:K07792	cjv:MTVDSCj20_0684
ko:K01546	cjv:MTVDSCj20_0685
ko:K01547	cjv:MTVDSCj20_0686
ko:K01548	cjv:MTVDSCj20_0687
ko:K07646	cjv:MTVDSCj20_0688
ko:K03702	cjv:MTVDSCj20_0689
ko:K02456	cjv:MTVDSCj20_0692
ko:K04066	cjv:MTVDSCj20_0693
ko:K07010	cjv:MTVDSCj20_0695
ko:K00860	cjv:MTVDSCj20_0708
ko:K02393	cjv:MTVDSCj20_0710
ko:K13788	cjv:MTVDSCj20_0711
ko:K07090	cjv:MTVDSCj20_1434
ko:K02455	cjv:MTVDSCj20_1435
ko:K02454	cjv:MTVDSCj20_1436
ko:K01714	cjv:MTVDSCj20_1438
ko:K02453	cjv:MTVDSCj20_1439
ko:K03737	cjv:MTVDSCj20_1441
ko:K01091	cjv:MTVDSCj20_1442
ko:K03286	cjv:MTVDSCj20_1443
ko:K02996	cjv:MTVDSCj20_1444
ko:K02871	cjv:MTVDSCj20_1445
ko:K03582	cjv:MTVDSCj20_1446
ko:K00406	cjv:MTVDSCj20_1452
ko:K00407	cjv:MTVDSCj20_1453
ko:K00405	cjv:MTVDSCj20_1454
ko:K00404	cjv:MTVDSCj20_1455
ko:K09792	cjv:MTVDSCj20_1458
ko:K01956	cjv:MTVDSCj20_1459
ko:K09804	cjv:MTVDSCj20_1460
ko:K01939	cjv:MTVDSCj20_1463
ko:K07112	cjv:MTVDSCj20_1465
ko:K11928	cjv:MTVDSCj20_1467
ko:K13821	cjv:MTVDSCj20_1468
ko:K01008	cjv:MTVDSCj20_1469
ko:K03406	cjv:MTVDSCj20_1471
ko:K02379	cjv:MTVDSCj20_1473
ko:K00127	cjv:MTVDSCj20_1474
ko:K00124	cjv:MTVDSCj20_1475
ko:K00123	cjv:MTVDSCj20_1476
ko:K13747	cjv:MTVDSCj20_1479
ko:K04564	cjv:MTVDSCj20_0168
ko:K00290	cjv:MTVDSCj20_0169
ko:K02010	cjv:MTVDSCj20_0170
ko:K02011	cjv:MTVDSCj20_0171
ko:K02012	cjv:MTVDSCj20_0172
ko:K17938	cjv:MTVDSCj20_0174
ko:K06193	cjv:MTVDSCj20_0177
ko:K11175	cjv:MTVDSCj20_0179
ko:K07391	cjv:MTVDSCj20_0182
ko:K01462	cjv:MTVDSCj20_0183
ko:K01358	cjv:MTVDSCj20_0184
ko:K03545	cjv:MTVDSCj20_0185
ko:K01495	cjv:MTVDSCj20_0186
ko:K02412	cjv:MTVDSCj20_0187
ko:K00764	cjv:MTVDSCj20_0188
ko:K00215	cjv:MTVDSCj20_0189
ko:K07478	cjv:MTVDSCj20_0190
ko:K03300	cjv:MTVDSCj20_0195
ko:K06153	cjv:MTVDSCj20_0197
ko:K01868	cjv:MTVDSCj20_0198
ko:K02520	cjv:MTVDSCj20_0199
ko:K07318	cjv:MTVDSCj20_0200
ko:K00145	cjv:MTVDSCj20_0202
ko:K00930	cjv:MTVDSCj20_0204
ko:K00573	cjv:MTVDSCj20_0206
ko:K00763	cjv:MTVDSCj20_0208
ko:K00762	cjv:MTVDSCj20_0211
ko:K02838	cjv:MTVDSCj20_0212
ko:K03075	cjv:MTVDSCj20_0213
ko:K03406	cjv:MTVDSCj20_0960
ko:K00602	cjv:MTVDSCj20_0961
ko:K05801	cjv:MTVDSCj20_0962
ko:K01952	cjv:MTVDSCj20_0963
ko:K03650	cjv:MTVDSCj20_0964
ko:K06346	cjv:MTVDSCj20_0965
ko:K03217	cjv:MTVDSCj20_0966
ko:K03536	cjv:MTVDSCj20_0968
ko:K02914	cjv:MTVDSCj20_0969
ko:K07107	cjv:MTVDSCj20_0973
ko:K15257	cjv:MTVDSCj20_0979
ko:K01270	cjv:MTVDSCj20_0983
ko:K02030	cjv:MTVDSCj20_0985
ko:K09861	cjv:MTVDSCj20_0987
ko:K00611	cjv:MTVDSCj20_0995
ko:K01698	cjv:MTVDSCj20_0996
ko:K01497	cjv:MTVDSCj20_0997
ko:K03501	cjv:MTVDSCj20_0998
ko:K03086	cjv:MTVDSCj20_1002
ko:K08296	cjv:MTVDSCj20_1003
ko:K03427	cjv:MTVDSCj20_1053
ko:K18924	cjv:MTVDSCj20_0282
ko:K18925	cjv:MTVDSCj20_0281
ko:K10747	cjv:MTVDSCj20_1634
ko:K18138	cjv:MTVDSCj20_0337
ko:K09797	cjv:MTVDSCj20_0042
ko:K03496	cjv:MTVDSCj20_0097
ko:K03497	cjv:MTVDSCj20_0098
ko:K00335	cjv:MTVDSCj20_1529
ko:K18992	cjv:MTVDSCj20_0339
ko:K03526	cjv:MTVDSCj20_0709
ko:K03111	cjv:MTVDSCj20_1075
ko:K00662	cjv:MTVDSCj20_1302
ko:K07097	cjv:MTVDSCj20_0877
ko:K07452	cjv:MTVDSCj20_0136
ko:K08678	cjv:MTVDSCj20_1406
ko:K15461	cjv:MTVDSCj20_1273
ko:K00557	cjv:MTVDSCj20_0836
ko:K00336	cjv:MTVDSCj20_1528
ko:K11015	cjv:MTVDSCj20_0076
ko:K17251	cjv:MTVDSCj20_1129
ko:K19147	cjv:MTVDSCj20_0137
ko:K17249	cjv:MTVDSCj20_1132
ko:K15897	cjv:MTVDSCj20_1307
ko:K15912	cjv:MTVDSCj20_1124
ko:K15913	cjv:MTVDSCj20_1126
ko:K15914	cjv:MTVDSCj20_1128
ko:K15915	cjv:MTVDSCj20_1127
ko:K15342	cjv:MTVDSCj20_1485
ko:K00571	cjv:MTVDSCj20_0469
ko:K17250	cjv:MTVDSCj20_1131
ko:K08678	cjv:MTVDSCj20_1398
ko:K01710	cjv:MTVDSCj20_1140
ko:K22468	cjv:MTVDSCj20_0624
ko:K09951	cjv:MTVDSCj20_1484
ko:K15910	cjv:MTVDSCj20_1125
ko:K07317	cjv:MTVDSCj20_0039
ko:K04771	cjv:MTVDSCj20_1234
ko:K19210	cjv:MTVDSCj20_0272
ko:K15899	cjv:MTVDSCj20_1306
ko:K03892	cjv:MTVDSCj20_1517
ko:K00265	cjv:MTVDSCj20_0007
ko:K03761	cjv:MTVDSCj20_1576
ko:K06867	cjv:MTVDSCj20_1366
ko:K19416	cjv:MTVDSCj20_0214
ko:K06867	cjv:MTVDSCj20_0839
ko:K02031	cjv:MTVDSCj20_1536
ko:K07216	cjv:MTVDSCj20_0977
ko:K07216	cjv:MTVDSCj20_0069
ko:K07216	cjv:MTVDSCj20_0070
ko:K07216	cjv:MTVDSCj20_0071
ko:K10938	cjv:MTVDSCj20_0264
ko:K19713	cjv:MTVDSCj20_0873
ko:K07147	cjv:MTVDSCj20_0350
ko:K09796	cjv:MTVDSCj20_0905
ko:K20810	cjv:MTVDSCj20_0065
ko:K01977	cjv:MTVDSCj20_0029
ko:K01977	cjv:MTVDSCj20_0401
ko:K14227	cjv:MTVDSCj20_0031
ko:K14227	cjv:MTVDSCj20_0403
ko:K14227	cjv:MTVDSCj20_0762
ko:K01980	cjv:MTVDSCj20_0404
ko:K01980	cjv:MTVDSCj20_0763
ko:K01985	cjv:MTVDSCj20_0033
ko:K01985	cjv:MTVDSCj20_0405
ko:K01985	cjv:MTVDSCj20_0764
ko:K14224	cjv:MTVDSCj20_0166
ko:K14234	cjv:MTVDSCj20_0443
ko:K14234	cjv:MTVDSCj20_0446
ko:K14236	cjv:MTVDSCj20_0444
ko:K14225	cjv:MTVDSCj20_0445
ko:K14225	cjv:MTVDSCj20_0884
ko:K14225	cjv:MTVDSCj20_1579
ko:K14219	cjv:MTVDSCj20_0461
ko:K14219	cjv:MTVDSCj20_1013
ko:K14219	cjv:MTVDSCj20_1630
ko:K14230	cjv:MTVDSCj20_0590
ko:K14230	cjv:MTVDSCj20_1287
ko:K14223	cjv:MTVDSCj20_0591
ko:K14228	cjv:MTVDSCj20_0883
ko:K14228	cjv:MTVDSCj20_0933
ko:K14228	cjv:MTVDSCj20_1580
ko:K14221	cjv:MTVDSCj20_0942
ko:K14221	cjv:MTVDSCj20_0946
ko:K14237	cjv:MTVDSCj20_0943
ko:K14237	cjv:MTVDSCj20_0947
ko:K14237	cjv:MTVDSCj20_1686
ko:K14229	cjv:MTVDSCj20_0945
ko:K14229	cjv:MTVDSCj20_0948
ko:K14220	cjv:MTVDSCj20_1231
ko:K14231	cjv:MTVDSCj20_1288
ko:K14233	cjv:MTVDSCj20_1336
ko:K14233	cjv:MTVDSCj20_1582
ko:K14233	cjv:MTVDSCj20_1683
ko:K15035	cjv:MTVDSCj20_1342
ko:K14222	cjv:MTVDSCj20_1581
ko:K14232	cjv:MTVDSCj20_1633
ko:K14218	cjv:MTVDSCj20_1685
ko:K01980	cjv:MTVDSCj20_0032
ko:K14228	cjv:MTVDSCj20_1629
ko:K14226	cjv:MTVDSCj20_1632
ko:K01023	cjv:MTVDSCj20_0871
ko:K00821	cjv:MTVDSCj20_0205
ko:K02335	cjv:MTVDSCj20_0310
ko:K02316	cjv:MTVDSCj20_1599
ko:K03553	cjv:MTVDSCj20_1638
ko:K07455	cjv:MTVDSCj20_0474
ko:K02314	cjv:MTVDSCj20_0580
ko:K03465	cjv:MTVDSCj20_0025
ko:K02483	cjv:MTVDSCj20_1266
ko:K02483	cjv:MTVDSCj20_0327
ko:K02483	cjv:MTVDSCj20_1233
ko:K00525	cjv:MTVDSCj20_0023
ko:K02032	cjv:MTVDSCj20_1535
ko:K02481	cjv:MTVDSCj20_1026
ko:K01139	cjv:MTVDSCj20_1277
ko:K00526	cjv:MTVDSCj20_0209
ko:K10938	cjv:MTVDSCj20_0787
ko:K07741	cjv:MTVDSCj20_0467
ko:K03651	cjv:MTVDSCj20_1654
ko:K13695	cjv:MTVDSCj20_1614
ko:K21420	cjv:MTVDSCj20_1037
ko:K01451	cjv:MTVDSCj20_0988
ko:K10026	cjv:MTVDSCj20_0159
ko:K21600	cjv:MTVDSCj20_0530
ko:K21929	cjv:MTVDSCj20_0971
ko:K03595	cjv:MTVDSCj20_0675
ko:K14441	cjv:MTVDSCj20_1420
ko:K17758	cjv:MTVDSCj20_0180
ko:K17759	cjv:MTVDSCj20_0180
ko:K22391	cjv:MTVDSCj20_0727
ko:K22424	cjv:MTVDSCj20_0696
ko:K22477	cjv:MTVDSCj20_0203
