ko:K19079	sauf:X998_0708
ko:K16786	sauf:X998_2668
ko:K16787	sauf:X998_2668
ko:K16924	sauf:X998_2669
ko:K02352	sauf:X998_2672
ko:K07146	sauf:X998_2673
ko:K01304	sauf:X998_2674
ko:K10947	sauf:X998_2676
ko:K03319	sauf:X998_2678
ko:K05786	sauf:X998_2679
ko:K07241	sauf:X998_2681
ko:K11631	sauf:X998_2684
ko:K11632	sauf:X998_2685
ko:K03704	sauf:X998_2691
ko:K03501	sauf:X998_2696
ko:K03495	sauf:X998_2697
ko:K03650	sauf:X998_2698
ko:K03536	sauf:X998_2699
ko:K02914	sauf:X998_2700
ko:K00954	sauf:X998_1122
ko:K07040	sauf:X998_1124
ko:K02911	sauf:X998_1125
ko:K14193	sauf:X998_1127
ko:K02016	sauf:X998_1130
ko:K02015	sauf:X998_1131
ko:K08600	sauf:X998_1132
ko:K07145	sauf:X998_1133
ko:K03437	sauf:X998_1134
ko:K01889	sauf:X998_1135
ko:K01890	sauf:X998_1136
ko:K03471	sauf:X998_1137
ko:K09888	sauf:X998_1138
ko:K02347	sauf:X998_1140
ko:K07456	sauf:X998_1141
ko:K03671	sauf:X998_1142
ko:K03703	sauf:X998_1143
ko:K00241	sauf:X998_1144
ko:K01104	sauf:X998_1936
ko:K07058	sauf:X998_1938
ko:K07694	sauf:X998_1939
ko:K07681	sauf:X998_1940
ko:K01265	sauf:X998_1943
ko:K07009	sauf:X998_1946
ko:K02217	sauf:X998_1948
ko:K02342	sauf:X998_1949
ko:K02346	sauf:X998_1950
ko:K03215	sauf:X998_1952
ko:K02434	sauf:X998_1954
ko:K02433	sauf:X998_1955
ko:K02435	sauf:X998_1956
ko:K11928	sauf:X998_1957
ko:K01972	sauf:X998_1959
ko:K03657	sauf:X998_1960
ko:K07094	sauf:X998_1961
ko:K01756	sauf:X998_1963
ko:K08258	sauf:X998_1964
ko:K01916	sauf:X998_1967
ko:K00763	sauf:X998_1968
ko:K00491	sauf:X998_1969
ko:K04518	sauf:X998_1970
ko:K14445	sauf:X998_1971
ko:K15986	sauf:X998_1974
ko:K00128	sauf:X998_1976
ko:K01992	sauf:X998_1985
ko:K01990	sauf:X998_1986
ko:K09936	sauf:X998_0667
ko:K05565	sauf:X998_0671
ko:K05566	sauf:X998_0672
ko:K05567	sauf:X998_0673
ko:K05568	sauf:X998_0674
ko:K05569	sauf:X998_0675
ko:K05570	sauf:X998_0676
ko:K05571	sauf:X998_0677
ko:K03316	sauf:X998_0678
ko:K03709	sauf:X998_0682
ko:K05946	sauf:X998_0684
ko:K09693	sauf:X998_0685
ko:K07258	sauf:X998_0690
ko:K18104	sauf:X998_0691
ko:K16323	sauf:X998_0692
ko:K02013	sauf:X998_0694
ko:K02015	sauf:X998_0695
ko:K02015	sauf:X998_0696
ko:K05878	sauf:X998_0697
ko:K05879	sauf:X998_0698
ko:K07220	sauf:X998_0710
ko:K03306	sauf:X998_0711
ko:K06890	sauf:X998_0713
ko:K09705	sauf:X998_0717
ko:K00036	sauf:X998_1516
ko:K01187	sauf:X998_1519
ko:K00033	sauf:X998_1522
ko:K09699	sauf:X998_1527
ko:K00167	sauf:X998_1528
ko:K00166	sauf:X998_1529
ko:K00382	sauf:X998_1530
ko:K03631	sauf:X998_1531
ko:K03402	sauf:X998_1532
ko:K13789	sauf:X998_1533
ko:K03602	sauf:X998_1534
ko:K03601	sauf:X998_1535
ko:K03625	sauf:X998_1536
ko:K01961	sauf:X998_1538
ko:K02160	sauf:X998_1539
ko:K02356	sauf:X998_1555
ko:K03800	sauf:X998_1559
ko:K00283	sauf:X998_1561
ko:K00282	sauf:X998_1562
ko:K00605	sauf:X998_1563
ko:K00891	sauf:X998_1564
ko:K00116	sauf:X998_2350
ko:K03303	sauf:X998_2351
ko:K02809	sauf:X998_2363
ko:K02810	sauf:X998_2363
ko:K11102	sauf:X998_2368
ko:K10850	sauf:X998_2372
ko:K07696	sauf:X998_2376
ko:K07683	sauf:X998_2377
ko:K10851	sauf:X998_2378
ko:K00374	sauf:X998_2379
ko:K00373	sauf:X998_2380
ko:K00371	sauf:X998_2381
ko:K00370	sauf:X998_2382
ko:K02303	sauf:X998_2383
ko:K00363	sauf:X998_2384
ko:K00362	sauf:X998_2385
ko:K09815	sauf:X998_2391
ko:K10010	sauf:X998_2397
ko:K10009	sauf:X998_2398
ko:K07723	sauf:X998_2049
ko:K03311	sauf:X998_0292
ko:K02004	sauf:X998_0294
ko:K02003	sauf:X998_0295
ko:K16329	sauf:X998_0298
ko:K03307	sauf:X998_0300
ko:K01639	sauf:X998_0301
ko:K01788	sauf:X998_0304
ko:K00239	sauf:X998_1145
ko:K00240	sauf:X998_1146
ko:K01776	sauf:X998_1147
ko:K02428	sauf:X998_1148
ko:K07095	sauf:X998_1149
ko:K14200	sauf:X998_1154
ko:K11032	sauf:X998_1158
ko:K00611	sauf:X998_1164
ko:K00926	sauf:X998_1165
ko:K11041	sauf:X998_1168
ko:K07025	sauf:X998_1173
ko:K03925	sauf:X998_1177
ko:K03438	sauf:X998_1178
ko:K12552	sauf:X998_1180
ko:K01000	sauf:X998_1181
ko:K01925	sauf:X998_1182
ko:K03589	sauf:X998_1183
ko:K03590	sauf:X998_1184
ko:K03531	sauf:X998_1185
ko:K05810	sauf:X998_1186
ko:K06997	sauf:X998_1187
ko:K09772	sauf:X998_1188
ko:K02221	sauf:X998_1189
ko:K04074	sauf:X998_1191
ko:K01870	sauf:X998_1192
ko:K07104	sauf:X998_1193
ko:K03101	sauf:X998_1195
ko:K06180	sauf:X998_1196
ko:K02825	sauf:X998_1197
ko:K02824	sauf:X998_1198
ko:K00609	sauf:X998_1199
ko:K01990	sauf:X998_1988
ko:K07979	sauf:X998_1989
ko:K01114	sauf:X998_1994
ko:K01439	sauf:X998_1997
ko:K02016	sauf:X998_1999
ko:K04077	sauf:X998_2004
ko:K04078	sauf:X998_2005
ko:K07052	sauf:X998_2006
ko:K07078	sauf:X998_2008
ko:K07813	sauf:X998_2011
ko:K07800	sauf:X998_2012
ko:K07706	sauf:X998_2013
ko:K07707	sauf:X998_2014
ko:K00847	sauf:X998_2015
ko:K01193	sauf:X998_2016
ko:K03484	sauf:X998_2017
ko:K03320	sauf:X998_2018
ko:K07112	sauf:X998_2020
ko:K01926	sauf:X998_2021
ko:K06158	sauf:X998_2022
ko:K01409	sauf:X998_2024
ko:K03789	sauf:X998_2025
ko:K06925	sauf:X998_2027
ko:K01687	sauf:X998_2028
ko:K01652	sauf:X998_2029
ko:K01653	sauf:X998_2030
ko:K00053	sauf:X998_2031
ko:K01649	sauf:X998_2032
ko:K00052	sauf:X998_2033
ko:K01703	sauf:X998_2034
ko:K01704	sauf:X998_2035
ko:K01754	sauf:X998_2036
ko:K09793	sauf:X998_0723
ko:K06966	sauf:X998_0729
ko:K09768	sauf:X998_0730
ko:K06153	sauf:X998_0732
ko:K16013	sauf:X998_0733
ko:K16012	sauf:X998_0734
ko:K01669	sauf:X998_0740
ko:K06934	sauf:X998_0742
ko:K03976	sauf:X998_0745
ko:K03436	sauf:X998_0746
ko:K00882	sauf:X998_0747
ko:K02768	sauf:X998_0748
ko:K02769	sauf:X998_0748
ko:K02770	sauf:X998_0748
ko:K02768	sauf:X998_0749
ko:K02769	sauf:X998_0749
ko:K02770	sauf:X998_0749
ko:K01443	sauf:X998_0750
ko:K10681	sauf:X998_0754
ko:K10682	sauf:X998_0755
ko:K16937	sauf:X998_0756
ko:K10026	sauf:X998_0759
ko:K01737	sauf:X998_0760
ko:K06920	sauf:X998_0761
ko:K01664	sauf:X998_0762
ko:K01665	sauf:X998_0763
ko:K02619	sauf:X998_0764
ko:K15738	sauf:X998_0768
ko:K03654	sauf:X998_0769
ko:K05847	sauf:X998_0770
ko:K05845	sauf:X998_0771
ko:K05846	sauf:X998_0771
ko:K02246	sauf:X998_1567
ko:K02245	sauf:X998_1568
ko:K02244	sauf:X998_1569
ko:K02243	sauf:X998_1570
ko:K00845	sauf:X998_1573
ko:K02913	sauf:X998_1576
ko:K12553	sauf:X998_1577
ko:K04564	sauf:X998_1578
ko:K02076	sauf:X998_1579
ko:K09816	sauf:X998_1580
ko:K09817	sauf:X998_1581
ko:K01151	sauf:X998_1582
ko:K18692	sauf:X998_1583
ko:K06967	sauf:X998_1585
ko:K03086	sauf:X998_1586
ko:K09773	sauf:X998_1588
ko:K01880	sauf:X998_1590
ko:K03584	sauf:X998_1591
ko:K01489	sauf:X998_1593
ko:K07042	sauf:X998_1595
ko:K02970	sauf:X998_1600
ko:K18707	sauf:X998_1601
ko:K09761	sauf:X998_1602
ko:K02687	sauf:X998_1603
ko:K03686	sauf:X998_1604
ko:K04043	sauf:X998_1605
ko:K03687	sauf:X998_1606
ko:K03800	sauf:X998_0384
ko:K03475	sauf:X998_0386
ko:K01465	sauf:X998_1200
ko:K01956	sauf:X998_1201
ko:K01955	sauf:X998_1202
ko:K01591	sauf:X998_1203
ko:K00762	sauf:X998_1204
ko:K00942	sauf:X998_1209
ko:K03060	sauf:X998_1210
ko:K13038	sauf:X998_1211
ko:K04066	sauf:X998_1212
ko:K01462	sauf:X998_1215
ko:K00604	sauf:X998_1216
ko:K03500	sauf:X998_1217
ko:K06941	sauf:X998_1218
ko:K06949	sauf:X998_1222
ko:K01783	sauf:X998_1223
ko:K02902	sauf:X998_1225
ko:K07030	sauf:X998_1227
ko:K03655	sauf:X998_1228
ko:K03621	sauf:X998_1230
ko:K00645	sauf:X998_1231
ko:K00059	sauf:X998_1232
ko:K02078	sauf:X998_1233
ko:K03685	sauf:X998_1234
ko:K03529	sauf:X998_1235
ko:K03110	sauf:X998_1236
ko:K09787	sauf:X998_1237
ko:K03106	sauf:X998_1238
ko:K02959	sauf:X998_1239
ko:K02860	sauf:X998_1240
ko:K00554	sauf:X998_1241
ko:K02884	sauf:X998_1242
ko:K14540	sauf:X998_1244
ko:K03470	sauf:X998_1245
ko:K01903	sauf:X998_1246
ko:K01902	sauf:X998_1247
ko:K04096	sauf:X998_1250
ko:K03168	sauf:X998_1251
ko:K04094	sauf:X998_1252
ko:K03095	sauf:X998_2042
ko:K06959	sauf:X998_2043
ko:K03090	sauf:X998_2044
ko:K04757	sauf:X998_2045
ko:K04749	sauf:X998_2046
ko:K07315	sauf:X998_2047
ko:K01775	sauf:X998_2050
ko:K00997	sauf:X998_2051
ko:K09167	sauf:X998_2052
ko:K08981	sauf:X998_2053
ko:K01548	sauf:X998_2055
ko:K01547	sauf:X998_2056
ko:K01546	sauf:X998_2057
ko:K07646	sauf:X998_2058
ko:K07667	sauf:X998_2059
ko:K05592	sauf:X998_2060
ko:K01929	sauf:X998_2061
ko:K01921	sauf:X998_2062
ko:K05837	sauf:X998_2063
ko:K06131	sauf:X998_2067
ko:K06950	sauf:X998_2068
ko:K03217	sauf:X998_2069
ko:K00788	sauf:X998_2070
ko:K00878	sauf:X998_2071
ko:K00941	sauf:X998_2072
ko:K03707	sauf:X998_2073
ko:K02372	sauf:X998_2078
ko:K00790	sauf:X998_2079
ko:K02114	sauf:X998_2081
ko:K02112	sauf:X998_2082
ko:K02115	sauf:X998_2083
ko:K02111	sauf:X998_2084
ko:K02113	sauf:X998_2085
ko:K02109	sauf:X998_2086
ko:K02110	sauf:X998_2087
ko:K02108	sauf:X998_2088
ko:K02116	sauf:X998_2089
ko:K03705	sauf:X998_1607
ko:K03596	sauf:X998_1609
ko:K02968	sauf:X998_1610
ko:K02340	sauf:X998_1611
ko:K02238	sauf:X998_1612
ko:K02237	sauf:X998_1614
ko:K09710	sauf:X998_1616
ko:K02424	sauf:X998_2399
ko:K01834	sauf:X998_2401
ko:K14197	sauf:X998_2403
ko:K00652	sauf:X998_2410
ko:K01012	sauf:X998_2411
ko:K00833	sauf:X998_2412
ko:K01935	sauf:X998_2413
ko:K06147	sauf:X998_2414
ko:K06147	sauf:X998_2415
ko:K00865	sauf:X998_2417
ko:K11737	sauf:X998_2423
ko:K00077	sauf:X998_2428
ko:K08170	sauf:X998_2429
ko:K05846	sauf:X998_2430
ko:K05845	sauf:X998_2431
ko:K05846	sauf:X998_2432
ko:K05847	sauf:X998_2433
ko:K03929	sauf:X998_2436
ko:K02069	sauf:X998_2438
ko:K02068	sauf:X998_2439
ko:K10824	sauf:X998_2447
ko:K15587	sauf:X998_2448
ko:K02822	sauf:X998_0387
ko:K02821	sauf:X998_0388
ko:K02445	sauf:X998_0393
ko:K00299	sauf:X998_0396
ko:K03817	sauf:X998_0399
ko:K07224	sauf:X998_0400
ko:K16301	sauf:X998_0401
ko:K07243	sauf:X998_0402
ko:K03118	sauf:X998_0403
ko:K03116	sauf:X998_0404
ko:K07729	sauf:X998_0406
ko:K01990	sauf:X998_0408
ko:K00626	sauf:X998_0411
ko:K00549	sauf:X998_0413
ko:K01760	sauf:X998_0415
ko:K01739	sauf:X998_0416
ko:K06942	sauf:X998_0420
ko:K02990	sauf:X998_0422
ko:K02963	sauf:X998_0424
ko:K01834	sauf:X998_0433
ko:K03387	sauf:X998_0437
ko:K03386	sauf:X998_0438
ko:K06956	sauf:X998_0440
ko:K03733	sauf:X998_1253
ko:K01419	sauf:X998_1254
ko:K03667	sauf:X998_1255
ko:K03706	sauf:X998_1256
ko:K02967	sauf:X998_1257
ko:K02357	sauf:X998_1258
ko:K09903	sauf:X998_1259
ko:K02838	sauf:X998_1260
ko:K00806	sauf:X998_1261
ko:K00981	sauf:X998_1262
ko:K11749	sauf:X998_1263
ko:K01881	sauf:X998_1264
ko:K03763	sauf:X998_1265
ko:K09748	sauf:X998_1266
ko:K02600	sauf:X998_1267
ko:K07742	sauf:X998_1268
ko:K02519	sauf:X998_1270
ko:K02519	sauf:X998_1271
ko:K02834	sauf:X998_1272
ko:K03177	sauf:X998_1273
ko:K11753	sauf:X998_1274
ko:K02956	sauf:X998_1275
ko:K00962	sauf:X998_1276
ko:K12574	sauf:X998_1277
ko:K03466	sauf:X998_1279
ko:K00059	sauf:X998_1283
ko:K00995	sauf:X998_1286
ko:K18682	sauf:X998_1289
ko:K09769	sauf:X998_1291
ko:K00174	sauf:X998_1292
ko:K00175	sauf:X998_1293
ko:K06168	sauf:X998_1295
ko:K03555	sauf:X998_1298
ko:K03572	sauf:X998_1299
ko:K02443	sauf:X998_1300
ko:K02440	sauf:X998_1301
ko:K00864	sauf:X998_1302
ko:K00111	sauf:X998_1303
ko:K00791	sauf:X998_1305
ko:K03666	sauf:X998_1306
ko:K01791	sauf:X998_2090
ko:K00761	sauf:X998_2091
ko:K00600	sauf:X998_2092
ko:K01104	sauf:X998_2094
ko:K07566	sauf:X998_2095
ko:K02493	sauf:X998_2096
ko:K02835	sauf:X998_2097
ko:K02909	sauf:X998_2099
ko:K03628	sauf:X998_2100
ko:K00128	sauf:X998_2101
ko:K00790	sauf:X998_2103
ko:K01624	sauf:X998_2104
ko:K01937	sauf:X998_2106
ko:K03048	sauf:X998_2107
ko:K09680	sauf:X998_2109
ko:K07173	sauf:X998_2113
ko:K00756	sauf:X998_2115
ko:K01619	sauf:X998_2116
ko:K03784	sauf:X998_2117
ko:K04047	sauf:X998_2118
ko:K01809	sauf:X998_2122
ko:K16264	sauf:X998_2125
ko:K02013	sauf:X998_2130
ko:K00820	sauf:X998_2131
ko:K02799	sauf:X998_2132
ko:K02800	sauf:X998_2132
ko:K02798	sauf:X998_2134
ko:K00009	sauf:X998_2135
ko:K03431	sauf:X998_2137
ko:K00817	sauf:X998_0772
ko:K03305	sauf:X998_0775
ko:K09457	sauf:X998_0776
ko:K03647	sauf:X998_0778
ko:K02015	sauf:X998_0781
ko:K02015	sauf:X998_0782
ko:K02013	sauf:X998_0783
ko:K02016	sauf:X998_0784
ko:K00075	sauf:X998_0785
ko:K00865	sauf:X998_0789
ko:K01258	sauf:X998_0790
ko:K02851	sauf:X998_0794
ko:K02240	sauf:X998_0797
ko:K02242	sauf:X998_0798
ko:K03070	sauf:X998_0800
ko:K02836	sauf:X998_0801
ko:K07023	sauf:X998_0803
ko:K03702	sauf:X998_0805
ko:K03701	sauf:X998_0806
ko:K06023	sauf:X998_0807
ko:K13292	sauf:X998_0808
ko:K00384	sauf:X998_0811
ko:K09762	sauf:X998_0814
ko:K01358	sauf:X998_0816
ko:K07071	sauf:X998_0817
ko:K05311	sauf:X998_0819
ko:K00134	sauf:X998_0820
ko:K00927	sauf:X998_0821
ko:K01803	sauf:X998_0822
ko:K15633	sauf:X998_0823
ko:K01689	sauf:X998_0824
ko:K03075	sauf:X998_0826
ko:K00969	sauf:X998_1618
ko:K07574	sauf:X998_1619
ko:K00014	sauf:X998_1620
ko:K06948	sauf:X998_1621
ko:K07015	sauf:X998_1622
ko:K01243	sauf:X998_1623
ko:K07160	sauf:X998_1628
ko:K01961	sauf:X998_1629
ko:K02160	sauf:X998_1630
ko:K03624	sauf:X998_1633
ko:K00876	sauf:X998_1634
ko:K08303	sauf:X998_1635
ko:K07447	sauf:X998_1639
ko:K01872	sauf:X998_1641
ko:K03581	sauf:X998_1642
ko:K00566	sauf:X998_1644
ko:K04487	sauf:X998_1645
ko:K17472	sauf:X998_1649
ko:K07478	sauf:X998_1650
ko:K01876	sauf:X998_1652
ko:K01892	sauf:X998_1653
ko:K01448	sauf:X998_1654
ko:K07560	sauf:X998_1655
ko:K00951	sauf:X998_1656
ko:K00759	sauf:X998_1657
ko:K07462	sauf:X998_1658
ko:K12257	sauf:X998_1659
ko:K03210	sauf:X998_1660
ko:K00773	sauf:X998_1661
ko:K07568	sauf:X998_1662
ko:K03551	sauf:X998_1663
ko:K03550	sauf:X998_1664
ko:K06209	sauf:X998_1665
ko:K03979	sauf:X998_1666
ko:K02899	sauf:X998_1667
ko:K15586	sauf:X998_2449
ko:K15585	sauf:X998_2450
ko:K15584	sauf:X998_2451
ko:K12942	sauf:X998_2457
ko:K03574	sauf:X998_2472
ko:K01835	sauf:X998_2473
ko:K00963	sauf:X998_2479
ko:K13732	sauf:X998_2482
ko:K03299	sauf:X998_2484
ko:K00851	sauf:X998_2485
ko:K11476	sauf:X998_2486
ko:K03535	sauf:X998_2491
ko:K01990	sauf:X998_2496
ko:K01992	sauf:X998_2498
ko:K04041	sauf:X998_2499
ko:K06999	sauf:X998_2501
ko:K18908	sauf:X998_0391
ko:K18909	sauf:X998_0390
ko:K02469	sauf:X998_0006
ko:K18941	sauf:X998_1424
ko:K04940	sauf:X998_2283
ko:K07483	sauf:X998_1821
ko:K18907	sauf:X998_0087
ko:K07029	sauf:X998_1953
ko:K03741	sauf:X998_1788
ko:K09145	sauf:X998_0719
ko:K01271	sauf:X998_1723
ko:K03498	sauf:X998_2000
ko:K07483	sauf:X998_0450
ko:K03111	sauf:X998_0326
ko:K03111	sauf:X998_2076
ko:K03497	sauf:X998_0417
ko:K03111	sauf:X998_0423
ko:K03502	sauf:X998_1372
ko:K03169	sauf:X998_2238
ko:K07467	sauf:X998_1551
ko:K18979	sauf:X998_1880
ko:K00949	sauf:X998_1224
ko:K11040	sauf:X998_1625
ko:K14201	sauf:X998_0836
ko:K11040	sauf:X998_0865
ko:K11040	sauf:X998_0866
ko:K11040	sauf:X998_0886
ko:K08168	sauf:X998_0117
ko:K03497	sauf:X998_2695
ko:K01318	sauf:X998_1827
ko:K01318	sauf:X998_1048
ko:K13052	sauf:X998_0538
ko:K07816	sauf:X998_2488
ko:K07498	sauf:X998_0030
ko:K13733	sauf:X998_2480
ko:K03429	sauf:X998_1015
ko:K03293	sauf:X998_2298
ko:K19077	sauf:X998_0707
ko:K01174	sauf:X998_1334
ko:K14203	sauf:X998_1152
ko:K01980	sauf:X998_1912
ko:K11039	sauf:X998_2010
ko:K19078	sauf:X998_0706
ko:K01980	sauf:X998_0509
ko:K19158	sauf:X998_2392
ko:K19225	sauf:X998_1574
ko:K02777	sauf:X998_1430
ko:K01239	sauf:X998_2266
ko:K01980	sauf:X998_0553
ko:K02755	sauf:X998_0241
ko:K19068	sauf:X998_0137
ko:K19081	sauf:X998_2607
ko:K19082	sauf:X998_2608
ko:K19083	sauf:X998_2606
ko:K19084	sauf:X998_2605
ko:K01985	sauf:X998_2037
ko:K01985	sauf:X998_2148
ko:K01985	sauf:X998_1911
ko:K01985	sauf:X998_0549
ko:K01985	sauf:X998_0557
ko:K01985	sauf:X998_0554
ko:K01985	sauf:X998_0510
ko:K08259	sauf:X998_0253
ko:K19159	sauf:X998_2393
ko:K02031	sauf:X998_0990
ko:K02032	sauf:X998_1386
ko:K14195	sauf:X998_0052
ko:K14195	sauf:X998_2476
ko:K11442	sauf:X998_2156
ko:K07485	sauf:X998_1842
ko:K19285	sauf:X998_0439
ko:K01992	sauf:X998_2497
ko:K03722	sauf:X998_1464
ko:K19411	sauf:X998_0563
ko:K19302	sauf:X998_1425
ko:K19405	sauf:X998_0564
ko:K07485	sauf:X998_2141
ko:K07485	sauf:X998_1884
ko:K03574	sauf:X998_1807
ko:K02031	sauf:X998_1387
ko:K19576	sauf:X998_0743
ko:K01906	sauf:X998_2409
ko:K06881	sauf:X998_1719
ko:K03483	sauf:X998_2133
ko:K21721	sauf:X998_0096
ko:K14222	sauf:X998_1888
ko:K19689	sauf:X998_1934
ko:K14236	sauf:X998_2144
ko:K14236	sauf:X998_1892
ko:K01258	sauf:X998_1523
ko:K16899	sauf:X998_0962
ko:K20483	sauf:X998_1840
ko:K20482	sauf:X998_1841
ko:K14219	sauf:X998_1170
ko:K07119	sauf:X998_2175
ko:K00547	sauf:X998_0414
ko:K00297	sauf:X998_0414
ko:K02538	sauf:X998_2623
ko:K21636	sauf:X998_2599
ko:K19976	sauf:X998_0680
ko:K20074	sauf:X998_1219
ko:K12132	sauf:X998_1221
ko:K12132	sauf:X998_1220
ko:K20116	sauf:X998_0172
ko:K20117	sauf:X998_0172
ko:K20118	sauf:X998_0172
ko:K20116	sauf:X998_2520
ko:K20117	sauf:X998_2520
ko:K20118	sauf:X998_2520
ko:K20338	sauf:X998_1777
ko:K14218	sauf:X998_1902
ko:K14218	sauf:X998_1913
ko:K14218	sauf:X998_0550
ko:K14229	sauf:X998_1908
ko:K14229	sauf:X998_2142
ko:K14237	sauf:X998_1910
ko:K14237	sauf:X998_2145
ko:K20491	sauf:X998_1835
ko:K20494	sauf:X998_1834
ko:K20484	sauf:X998_1839
ko:K20486	sauf:X998_1837
ko:K14233	sauf:X998_1897
ko:K14233	sauf:X998_0500
ko:K14233	sauf:X998_1899
ko:K14225	sauf:X998_1850
ko:K14225	sauf:X998_2040
ko:K14231	sauf:X998_1852
ko:K14231	sauf:X998_1894
ko:K14221	sauf:X998_1853
ko:K14221	sauf:X998_1898
ko:K14221	sauf:X998_1895
ko:K14221	sauf:X998_0019
ko:K14230	sauf:X998_1854
ko:K14230	sauf:X998_1896
ko:K14230	sauf:X998_1900
ko:K20490	sauf:X998_1836
ko:K20337	sauf:X998_1171
ko:K20337	sauf:X998_1172
ko:K14230	sauf:X998_1901
ko:K14227	sauf:X998_0552
ko:K14227	sauf:X998_1914
ko:K20534	sauf:X998_0753
ko:K02790	sauf:X998_0218
ko:K02791	sauf:X998_0218
ko:K21029	sauf:X998_2259
ko:K21064	sauf:X998_0953
ko:K14224	sauf:X998_0018
ko:K14224	sauf:X998_1848
ko:K14224	sauf:X998_2146
ko:K21030	sauf:X998_0227
ko:K00525	sauf:X998_0779
ko:K14219	sauf:X998_0815
ko:K14225	sauf:X998_1906
ko:K14228	sauf:X998_1907
ko:K14228	sauf:X998_1885
ko:K14235	sauf:X998_1891
ko:K14226	sauf:X998_1890
ko:K14226	sauf:X998_1851
ko:K14223	sauf:X998_2143
ko:K14223	sauf:X998_1889
ko:K21030	sauf:X998_0231
ko:K14233	sauf:X998_1023
ko:K14228	sauf:X998_2041
ko:K21064	sauf:X998_0970
ko:K08968	sauf:X998_1734
ko:K14219	sauf:X998_1904
ko:K14228	sauf:X998_1905
ko:K01980	sauf:X998_0556
ko:K01980	sauf:X998_2038
ko:K01980	sauf:X998_2149
ko:K14233	sauf:X998_1847
ko:K14232	sauf:X998_1903
ko:K14220	sauf:X998_1024
ko:K14220	sauf:X998_2147
ko:K14220	sauf:X998_1849
ko:K00435	sauf:X998_0628
ko:K00526	sauf:X998_0780
ko:K00632	sauf:X998_0206
ko:K14199	sauf:X998_0204
ko:K02314	sauf:X998_0016
ko:K14199	sauf:X998_1155
ko:K11038	sauf:X998_1995
ko:K11038	sauf:X998_1996
ko:K07474	sauf:X998_2003
ko:K01520	sauf:X998_0344
ko:K03553	sauf:X998_1288
ko:K00857	sauf:X998_2098
ko:K03546	sauf:X998_1356
ko:K00287	sauf:X998_1434
ko:K00560	sauf:X998_1435
ko:K02316	sauf:X998_1587
ko:K06217	sauf:X998_1596
ko:K01493	sauf:X998_1613
ko:K11038	sauf:X998_2404
ko:K11038	sauf:X998_2406
ko:K11038	sauf:X998_2407
ko:K01174	sauf:X998_0840
ko:K07474	sauf:X998_0885
ko:K04068	sauf:X998_2598
ko:K11038	sauf:X998_1843
ko:K11038	sauf:X998_1844
ko:K06958	sauf:X998_0812
ko:K05020	sauf:X998_2173
ko:K02335	sauf:X998_1704
ko:K00108	sauf:X998_2593
ko:K21285	sauf:X998_0687
ko:K02032	sauf:X998_0991
ko:K03296	sauf:X998_2245
ko:K00980	sauf:X998_0689
ko:K22044	sauf:X998_0418
ko:K21478	sauf:X998_2651
ko:K02483	sauf:X998_2346
ko:K21453	sauf:X998_2648
ko:K21567	sauf:X998_2357
ko:K18704	sauf:X998_0229
ko:K21591	sauf:X998_0230
ko:K21600	sauf:X998_2066
ko:K18704	sauf:X998_0233
ko:K21828	sauf:X998_2614
ko:K21949	sauf:X998_0095
ko:K22043	sauf:X998_2124
ko:K22136	sauf:X998_1176
ko:K22135	sauf:X998_0609
ko:K00754	sauf:X998_1467
ko:K03595	sauf:X998_1592
ko:K22132	sauf:X998_1651
ko:K22109	sauf:X998_2595
ko:K03547	sauf:X998_1868
ko:K17758	sauf:X998_0007
ko:K01046	sauf:X998_0306
ko:K02257	sauf:X998_1114
ko:K22409	sauf:X998_0491
ko:K13566	sauf:X998_2009
ko:K22441	sauf:X998_2354
