ko:K07407	lrh:LGG_02079
ko:K02777	lrh:LGG_02705
ko:K01042	lrh:LGG_02708
ko:K01465	lrh:LGG_02709
ko:K02781	lrh:LGG_02717
ko:K02782	lrh:LGG_02718
ko:K02783	lrh:LGG_02718
ko:K02783	lrh:LGG_02719
ko:K00068	lrh:LGG_02722
ko:K02822	lrh:LGG_02730
ko:K03475	lrh:LGG_02731
ko:K02821	lrh:LGG_02732
ko:K03476	lrh:LGG_02733
ko:K03710	lrh:LGG_02739
ko:K01206	lrh:LGG_02741
ko:K00854	lrh:LGG_02743
ko:K02796	lrh:LGG_02745
ko:K03111	lrh:LGG_00012
ko:K02963	lrh:LGG_00013
ko:K00425	lrh:LGG_00016
ko:K02003	lrh:LGG_00033
ko:K07090	lrh:LGG_00037
ko:K08659	lrh:LGG_00041
ko:K01195	lrh:LGG_00050
ko:K01625	lrh:LGG_00052
ko:K00874	lrh:LGG_00053
ko:K01812	lrh:LGG_00054
ko:K01812	lrh:LGG_00055
ko:K01686	lrh:LGG_00056
ko:K00040	lrh:LGG_00057
ko:K00874	lrh:LGG_00060
ko:K06994	lrh:LGG_00068
ko:K07090	lrh:LGG_00070
ko:K05846	lrh:LGG_00075
ko:K03648	lrh:LGG_00958
ko:K06925	lrh:LGG_00960
ko:K02342	lrh:LGG_00963
ko:K01142	lrh:LGG_00964
ko:K00075	lrh:LGG_00966
ko:K11071	lrh:LGG_00970
ko:K11070	lrh:LGG_00971
ko:K11069	lrh:LGG_00972
ko:K03431	lrh:LGG_00982
ko:K00820	lrh:LGG_00983
ko:K02243	lrh:LGG_00987
ko:K02244	lrh:LGG_00988
ko:K02245	lrh:LGG_00989
ko:K06209	lrh:LGG_01007
ko:K03502	lrh:LGG_01010
ko:K00763	lrh:LGG_01860
ko:K03710	lrh:LGG_01861
ko:K01443	lrh:LGG_01862
ko:K00286	lrh:LGG_01863
ko:K03305	lrh:LGG_01868
ko:K01206	lrh:LGG_01874
ko:K01610	lrh:LGG_01876
ko:K04759	lrh:LGG_01878
ko:K04758	lrh:LGG_01879
ko:K07118	lrh:LGG_01882
ko:K01875	lrh:LGG_01893
ko:K01575	lrh:LGG_01898
ko:K01652	lrh:LGG_01899
ko:K02913	lrh:LGG_01904
ko:K06180	lrh:LGG_01906
ko:K02795	lrh:LGG_02746
ko:K02775	lrh:LGG_02753
ko:K02774	lrh:LGG_02754
ko:K02773	lrh:LGG_02755
ko:K03828	lrh:LGG_02758
ko:K00763	lrh:LGG_02765
ko:K01126	lrh:LGG_02766
ko:K05813	lrh:LGG_02768
ko:K05815	lrh:LGG_02769
ko:K05814	lrh:LGG_02770
ko:K07106	lrh:LGG_02775
ko:K02796	lrh:LGG_02778
ko:K02795	lrh:LGG_02779
ko:K00783	lrh:LGG_02797
ko:K05845	lrh:LGG_00076
ko:K05846	lrh:LGG_00077
ko:K01696	lrh:LGG_00099
ko:K01817	lrh:LGG_00100
ko:K01609	lrh:LGG_00101
ko:K00766	lrh:LGG_00102
ko:K01790	lrh:LGG_00107
ko:K01714	lrh:LGG_00109
ko:K05823	lrh:LGG_00110
ko:K01586	lrh:LGG_00112
ko:K00928	lrh:LGG_00113
ko:K01778	lrh:LGG_00114
ko:K00133	lrh:LGG_00115
ko:K02939	lrh:LGG_00122
ko:K02314	lrh:LGG_00123
ko:K07106	lrh:LGG_00126
ko:K09963	lrh:LGG_00127
ko:K02003	lrh:LGG_00130
ko:K01939	lrh:LGG_00133
ko:K03657	lrh:LGG_01015
ko:K01972	lrh:LGG_01016
ko:K02435	lrh:LGG_01018
ko:K02433	lrh:LGG_01019
ko:K02434	lrh:LGG_01020
ko:K07316	lrh:LGG_01023
ko:K07316	lrh:LGG_01026
ko:K07386	lrh:LGG_01033
ko:K02759	lrh:LGG_01045
ko:K03654	lrh:LGG_01049
ko:K07058	lrh:LGG_01054
ko:K01265	lrh:LGG_01056
ko:K00938	lrh:LGG_01061
ko:K00963	lrh:LGG_01062
ko:K01223	lrh:LGG_01064
ko:K02755	lrh:LGG_01065
ko:K02756	lrh:LGG_01065
ko:K02757	lrh:LGG_01065
ko:K03704	lrh:LGG_01072
ko:K05964	lrh:LGG_01913
ko:K01643	lrh:LGG_01914
ko:K01644	lrh:LGG_01915
ko:K01646	lrh:LGG_01916
ko:K01910	lrh:LGG_01917
ko:K01572	lrh:LGG_01918
ko:K03300	lrh:LGG_01921
ko:K07559	lrh:LGG_01923
ko:K06988	lrh:LGG_01925
ko:K07090	lrh:LGG_01934
ko:K01951	lrh:LGG_01968
ko:K07652	lrh:LGG_02812
ko:K07668	lrh:LGG_02813
ko:K01940	lrh:LGG_02817
ko:K01755	lrh:LGG_02818
ko:K09963	lrh:LGG_02819
ko:K02761	lrh:LGG_02821
ko:K02760	lrh:LGG_02823
ko:K02759	lrh:LGG_02824
ko:K03449	lrh:LGG_02832
ko:K02796	lrh:LGG_02836
ko:K02795	lrh:LGG_02837
ko:K02793	lrh:LGG_02838
ko:K02794	lrh:LGG_02838
ko:K01921	lrh:LGG_00148
ko:K03778	lrh:LGG_00158
ko:K02760	lrh:LGG_00159
ko:K02761	lrh:LGG_00162
ko:K01223	lrh:LGG_00163
ko:K08987	lrh:LGG_00166
ko:K06901	lrh:LGG_00168
ko:K07112	lrh:LGG_00176
ko:K07478	lrh:LGG_00189
ko:K00925	lrh:LGG_00190
ko:K01624	lrh:LGG_00193
ko:K03475	lrh:LGG_00194
ko:K07313	lrh:LGG_00195
ko:K03816	lrh:LGG_01076
ko:K01589	lrh:LGG_01078
ko:K01756	lrh:LGG_01079
ko:K05340	lrh:LGG_01084
ko:K01810	lrh:LGG_01085
ko:K07455	lrh:LGG_01104
ko:K00867	lrh:LGG_01969
ko:K08659	lrh:LGG_01972
ko:K03657	lrh:LGG_01975
ko:K03455	lrh:LGG_01978
ko:K01772	lrh:LGG_01982
ko:K01629	lrh:LGG_01984
ko:K02003	lrh:LGG_01986
ko:K03665	lrh:LGG_01989
ko:K00067	lrh:LGG_01996
ko:K01710	lrh:LGG_01997
ko:K01790	lrh:LGG_01998
ko:K00973	lrh:LGG_01999
ko:K02076	lrh:LGG_02012
ko:K00942	lrh:LGG_02014
ko:K01866	lrh:LGG_02017
ko:K00688	lrh:LGG_02023
ko:K09167	lrh:LGG_02857
ko:K08981	lrh:LGG_02858
ko:K03924	lrh:LGG_02866
ko:K01744	lrh:LGG_02872
ko:K00027	lrh:LGG_02875
ko:K06904	lrh:LGG_02901
ko:K00948	lrh:LGG_02906
ko:K06889	lrh:LGG_02907
ko:K00009	lrh:LGG_02909
ko:K07457	lrh:LGG_00196
ko:K06872	lrh:LGG_00215
ko:K00791	lrh:LGG_01700
ko:K07090	lrh:LGG_00216
ko:K01925	lrh:LGG_01282
ko:K02563	lrh:LGG_01283
ko:K03589	lrh:LGG_01284
ko:K03590	lrh:LGG_01285
ko:K03531	lrh:LGG_01286
ko:K09772	lrh:LGG_01287
ko:K02221	lrh:LGG_01288
ko:K04074	lrh:LGG_01290
ko:K01870	lrh:LGG_01291
ko:K03704	lrh:LGG_01292
ko:K02040	lrh:LGG_01293
ko:K01243	lrh:LGG_01299
ko:K04487	lrh:LGG_01300
ko:K00566	lrh:LGG_01304
ko:K03581	lrh:LGG_01308
ko:K12574	lrh:LGG_01311
ko:K01834	lrh:LGG_02138
ko:K00158	lrh:LGG_02145
ko:K02002	lrh:LGG_02146
ko:K06206	lrh:LGG_02149
ko:K00872	lrh:LGG_02153
ko:K01733	lrh:LGG_02154
ko:K00003	lrh:LGG_02155
ko:K00928	lrh:LGG_02156
ko:K07035	lrh:LGG_02159
ko:K03778	lrh:LGG_02163
ko:K01953	lrh:LGG_02175
ko:K02548	lrh:LGG_02181
ko:K00925	lrh:LGG_02183
ko:K03575	lrh:LGG_00676
ko:K07118	lrh:LGG_00684
ko:K05349	lrh:LGG_00685
ko:K05832	lrh:LGG_00690
ko:K05833	lrh:LGG_00691
ko:K01356	lrh:LGG_00717
ko:K03284	lrh:LGG_00724
ko:K07088	lrh:LGG_00727
ko:K11065	lrh:LGG_00728
ko:K03976	lrh:LGG_01596
ko:K00759	lrh:LGG_01597
ko:K07462	lrh:LGG_01598
ko:K03596	lrh:LGG_01602
ko:K03686	lrh:LGG_01603
ko:K04043	lrh:LGG_01604
ko:K03687	lrh:LGG_01605
ko:K03705	lrh:LGG_01606
ko:K11753	lrh:LGG_01608
ko:K03177	lrh:LGG_01609
ko:K02834	lrh:LGG_01611
ko:K02519	lrh:LGG_01612
ko:K07742	lrh:LGG_01614
ko:K02600	lrh:LGG_01615
ko:K09748	lrh:LGG_01616
ko:K03763	lrh:LGG_01617
ko:K01881	lrh:LGG_01618
ko:K00981	lrh:LGG_01620
ko:K00806	lrh:LGG_01621
ko:K02838	lrh:LGG_01624
ko:K09903	lrh:LGG_01625
ko:K02357	lrh:LGG_01627
ko:K02967	lrh:LGG_01628
ko:K07461	lrh:LGG_01629
ko:K00655	lrh:LGG_01631
ko:K09976	lrh:LGG_01636
ko:K02884	lrh:LGG_01639
ko:K00554	lrh:LGG_01640
ko:K02860	lrh:LGG_01641
ko:K06960	lrh:LGG_01642
ko:K02959	lrh:LGG_01643
ko:K03106	lrh:LGG_01644
ko:K02933	lrh:LGG_02472
ko:K02994	lrh:LGG_02473
ko:K02954	lrh:LGG_02474
ko:K02931	lrh:LGG_02475
ko:K02895	lrh:LGG_02476
ko:K02874	lrh:LGG_02477
ko:K02961	lrh:LGG_02478
ko:K02904	lrh:LGG_02479
ko:K02878	lrh:LGG_02480
ko:K02982	lrh:LGG_02481
ko:K02890	lrh:LGG_02482
ko:K02965	lrh:LGG_02483
ko:K02886	lrh:LGG_02484
ko:K02892	lrh:LGG_02485
ko:K02926	lrh:LGG_02486
ko:K02906	lrh:LGG_02487
ko:K02946	lrh:LGG_02488
ko:K02355	lrh:LGG_02493
ko:K02992	lrh:LGG_02494
ko:K02950	lrh:LGG_02495
ko:K03046	lrh:LGG_02497
ko:K03043	lrh:LGG_02498
ko:K03696	lrh:LGG_02499
ko:K03708	lrh:LGG_02500
ko:K04567	lrh:LGG_02508
ko:K04083	lrh:LGG_02510
ko:K03798	lrh:LGG_02514
ko:K00760	lrh:LGG_02515
ko:K04075	lrh:LGG_02516
ko:K07571	lrh:LGG_02517
ko:K03723	lrh:LGG_02521
ko:K01056	lrh:LGG_02522
ko:K00016	lrh:LGG_02523
ko:K12941	lrh:LGG_00476
ko:K14234	lrh:LGG_02948
ko:K02242	lrh:LGG_00895
ko:K01813	lrh:LGG_02688
ko:K01156	lrh:LGG_01027
ko:K02793	lrh:LGG_02748
ko:K01361	lrh:LGG_02274
ko:K01990	lrh:LGG_02245
ko:K01990	lrh:LGG_02613
ko:K01958	lrh:LGG_01329
ko:K09951	lrh:LGG_02202
ko:K14228	lrh:LGG_02988
ko:K02004	lrh:LGG_01426
ko:K02004	lrh:LGG_01795
ko:K02004	lrh:LGG_01985
ko:K02004	lrh:LGG_02450
ko:K02004	lrh:LGG_02921
ko:K00974	lrh:LGG_01394
ko:K02004	lrh:LGG_00489
ko:K02004	lrh:LGG_00131
ko:K02077	lrh:LGG_02423
ko:K02077	lrh:LGG_02426
ko:K00951	lrh:LGG_01569
ko:K03709	lrh:LGG_00759
ko:K07407	lrh:LGG_01001
ko:K07105	lrh:LGG_00791
ko:K02236	lrh:LGG_02496
ko:K14229	lrh:LGG_02982
ko:K14233	lrh:LGG_02961
ko:K14155	lrh:LGG_00351
ko:K01760	lrh:LGG_00571
ko:K01560	lrh:LGG_00796
ko:K13993	lrh:LGG_00675
ko:K01560	lrh:LGG_00232
ko:K14234	lrh:LGG_02983
ko:K14229	lrh:LGG_02947
ko:K14229	lrh:LGG_02985
ko:K01259	lrh:LGG_02587
ko:K14224	lrh:LGG_02960
ko:K14224	lrh:LGG_02980
ko:K14225	lrh:LGG_02957
ko:K14155	lrh:LGG_00857
ko:K00841	lrh:LGG_00828
ko:K00841	lrh:LGG_02164
ko:K05847	lrh:LGG_02616
ko:K14228	lrh:LGG_02970
ko:K07454	lrh:LGG_01755
ko:K06610	lrh:LGG_02691
ko:K07052	lrh:LGG_00023
ko:K03491	lrh:LGG_00357
ko:K01126	lrh:LGG_00799
ko:K05847	lrh:LGG_00078
ko:K07052	lrh:LGG_00089
ko:K07052	lrh:LGG_02625
ko:K01980	lrh:LGG_03002
ko:K01980	lrh:LGG_03004
ko:K01980	lrh:LGG_03003
ko:K01980	lrh:LGG_03005
ko:K01980	lrh:LGG_03006
ko:K14225	lrh:LGG_02949
ko:K14225	lrh:LGG_02990
ko:K14225	lrh:LGG_02987
ko:K14219	lrh:LGG_02978
ko:K14232	lrh:LGG_02951
ko:K01271	lrh:LGG_00792
ko:K14230	lrh:LGG_02952
ko:K01574	lrh:LGG_00705
ko:K02246	lrh:LGG_00990
ko:K01784	lrh:LGG_02005
ko:K04072	lrh:LGG_00757
ko:K11189	lrh:LGG_01821
ko:K10804	lrh:LGG_01013
ko:K01259	lrh:LGG_01979
ko:K13993	lrh:LGG_02804
ko:K07052	lrh:LGG_00021
ko:K01990	lrh:LGG_02187
ko:K01977	lrh:LGG_03012
ko:K01977	lrh:LGG_03016
ko:K01977	lrh:LGG_03013
ko:K01977	lrh:LGG_03015
ko:K01977	lrh:LGG_03014
ko:K07474	lrh:LGG_01124
ko:K01571	lrh:LGG_01912
ko:K14220	lrh:LGG_02971
ko:K14220	lrh:LGG_02995
ko:K02786	lrh:LGG_00652
ko:K05989	lrh:LGG_02433
ko:K16958	lrh:LGG_00481
ko:K02029	lrh:LGG_01270
ko:K14237	lrh:LGG_02973
ko:K14237	lrh:LGG_02984
ko:K14237	lrh:LGG_02946
ko:K09004	lrh:LGG_00169
ko:K00941	lrh:LGG_00370
ko:K14223	lrh:LGG_02968
ko:K14219	lrh:LGG_02989
ko:K14219	lrh:LGG_02950
ko:K14232	lrh:LGG_02991
ko:K14228	lrh:LGG_02999
ko:K14225	lrh:LGG_02997
ko:K14218	lrh:LGG_03000
ko:K14220	lrh:LGG_02992
ko:K14233	lrh:LGG_02998
ko:K14233	lrh:LGG_02959
ko:K03574	lrh:LGG_02590
ko:K14218	lrh:LGG_03001
ko:K14219	lrh:LGG_02975
ko:K14224	lrh:LGG_02976
ko:K14223	lrh:LGG_02977
ko:K01934	lrh:LGG_00722
ko:K14236	lrh:LGG_02965
ko:K14236	lrh:LGG_02996
ko:K05822	lrh:LGG_00111
ko:K10947	lrh:LGG_01926
ko:K02074	lrh:LGG_00285
ko:K02204	lrh:LGG_01951
ko:K06608	lrh:LGG_00260
ko:K07052	lrh:LGG_02241
ko:K14230	lrh:LGG_02954
ko:K14230	lrh:LGG_02962
ko:K02030	lrh:LGG_01272
ko:K14231	lrh:LGG_02964
ko:K14231	lrh:LGG_02956
ko:K14228	lrh:LGG_02979
ko:K14230	lrh:LGG_02953
ko:K14218	lrh:LGG_02994
ko:K02793	lrh:LGG_00416
ko:K01838	lrh:LGG_00946
ko:K01990	lrh:LGG_00961
ko:K01259	lrh:LGG_00736
ko:K14205	lrh:LGG_02270
ko:K01985	lrh:LGG_03007
ko:K01985	lrh:LGG_03011
ko:K01985	lrh:LGG_03008
ko:K01985	lrh:LGG_03010
ko:K01985	lrh:LGG_03009
ko:K01187	lrh:LGG_02105
ko:K00941	lrh:LGG_00681
ko:K02248	lrh:LGG_00992
ko:K14188	lrh:LGG_00779
ko:K07006	lrh:LGG_00440
ko:K10039	lrh:LGG_02008
ko:K14234	lrh:LGG_02981
ko:K01992	lrh:LGG_01776
ko:K01607	lrh:LGG_01348
ko:K14983	lrh:LGG_00700
ko:K14982	lrh:LGG_00701
ko:K01628	lrh:LGG_02681
ko:K03483	lrh:LGG_02911
ko:K03293	lrh:LGG_00472
ko:K03293	lrh:LGG_00616
ko:K03293	lrh:LGG_00996
ko:K01524	lrh:LGG_02599
ko:K15051	lrh:LGG_01145
ko:K02529	lrh:LGG_00419
ko:K15051	lrh:LGG_00636
ko:K02768	lrh:LGG_00092
ko:K07404	lrh:LGG_00871
ko:K07483	lrh:LGG_00452
ko:K03741	lrh:LGG_02767
ko:K14221	lrh:LGG_02955
ko:K14221	lrh:LGG_02963
ko:K01621	lrh:LGG_00200
ko:K01990	lrh:LGG_01777
ko:K10041	lrh:LGG_02009
ko:K14227	lrh:LGG_02993
ko:K10040	lrh:LGG_02007
ko:K00965	lrh:LGG_00655
ko:K14227	lrh:LGG_02958
ko:K03436	lrh:LGG_01361
ko:K14219	lrh:LGG_02974
ko:K14233	lrh:LGG_02972
ko:K14235	lrh:LGG_02966
ko:K14222	lrh:LGG_02969
ko:K14219	lrh:LGG_02945
ko:K14226	lrh:LGG_02967
ko:K14228	lrh:LGG_02986
ko:K07192	lrh:LGG_02157
ko:K07088	lrh:LGG_00719
ko:K01607	lrh:LGG_01231
ko:K01191	lrh:LGG_02675
ko:K03817	lrh:LGG_02864
ko:K02794	lrh:LGG_00415
ko:K03574	lrh:LGG_02556
ko:K01439	lrh:LGG_00798
ko:K14540	lrh:LGG_01408
ko:K06948	lrh:LGG_01738
ko:K02001	lrh:LGG_02147
ko:K11749	lrh:LGG_01619
ko:K02794	lrh:LGG_02777
ko:K02075	lrh:LGG_00286
ko:K06198	lrh:LGG_00862
ko:K02799	lrh:LGG_02912
ko:K02800	lrh:LGG_02912
ko:K01524	lrh:LGG_02601
ko:K01101	lrh:LGG_00806
ko:K00691	lrh:LGG_00945
ko:K01071	lrh:LGG_02257
ko:K12960	lrh:LGG_00071
ko:K16013	lrh:LGG_02206
ko:K16012	lrh:LGG_02205
ko:K02794	lrh:LGG_00337
ko:K02794	lrh:LGG_02747
ko:K02476	lrh:LGG_02878
ko:K01182	lrh:LGG_02696
ko:K07284	lrh:LGG_00441
ko:K07284	lrh:LGG_02369
ko:K06147	lrh:LGG_00362
ko:K06147	lrh:LGG_01163
ko:K06147	lrh:LGG_01164
ko:K02028	lrh:LGG_01271
ko:K01990	lrh:LGG_00591
ko:K01990	lrh:LGG_00979
ko:K07496	lrh:LGG_02305
ko:K07045	lrh:LGG_00538
ko:K07069	lrh:LGG_00853
ko:K06909	lrh:LGG_01125
ko:K00567	lrh:LGG_00157
ko:K07090	lrh:LGG_00544
ko:K02768	lrh:LGG_00395
ko:K00887	lrh:LGG_01552
ko:K00564	lrh:LGG_02269
ko:K03489	lrh:LGG_00164
ko:K02531	lrh:LGG_00648
ko:K01674	lrh:LGG_00624
ko:K00571	lrh:LGG_00994
ko:K01992	lrh:LGG_00962
ko:K01819	lrh:LGG_00666
ko:K10947	lrh:LGG_02377
ko:K07273	lrh:LGG_01039
ko:K07459	lrh:LGG_00450
ko:K03215	lrh:LGG_01022
ko:K15582	lrh:LGG_01943
ko:K15583	lrh:LGG_01941
ko:K15581	lrh:LGG_01944
ko:K15581	lrh:LGG_02065
ko:K15583	lrh:LGG_02063
ko:K15580	lrh:LGG_01224
ko:K15554	lrh:LGG_02439
ko:K15553	lrh:LGG_02435
ko:K15551	lrh:LGG_00173
ko:K15738	lrh:LGG_01396
ko:K15582	lrh:LGG_02064
ko:K10823	lrh:LGG_02062
ko:K15580	lrh:LGG_00201
ko:K15580	lrh:LGG_02066
ko:K02538	lrh:LGG_00393
ko:K02475	lrh:LGG_02879
ko:K01537	lrh:LGG_00456
ko:K01537	lrh:LGG_01855
ko:K05910	lrh:LGG_00491
ko:K00633	lrh:LGG_00039
ko:K15524	lrh:LGG_00093
ko:K07979	lrh:LGG_02186
ko:K07979	lrh:LGG_02246
ko:K06147	lrh:LGG_02580
ko:K06147	lrh:LGG_02581
ko:K06148	lrh:LGG_00209
ko:K06147	lrh:LGG_02626
ko:K01835	lrh:LGG_00921
ko:K15986	lrh:LGG_01424
ko:K17828	lrh:LGG_01455
ko:K15975	lrh:LGG_00178
ko:K15975	lrh:LGG_01741
ko:K10040	lrh:LGG_02006
ko:K10009	lrh:LGG_00573
ko:K02424	lrh:LGG_00572
ko:K11051	lrh:LGG_00621
ko:K03322	lrh:LGG_02411
ko:K16786	lrh:LGG_00364
ko:K16787	lrh:LGG_00364
ko:K16210	lrh:LGG_02432
ko:K16509	lrh:LGG_01792
ko:K16511	lrh:LGG_01791
ko:K11733	lrh:LGG_01896
ko:K16264	lrh:LGG_02567
ko:K10831	lrh:LGG_00172
ko:K15552	lrh:LGG_00174
ko:K16785	lrh:LGG_00431
ko:K03699	lrh:LGG_01826
ko:K02769	lrh:LGG_00410
ko:K02794	lrh:LGG_00090
ko:K02795	lrh:LGG_00090
ko:K16169	lrh:LGG_01077
ko:K01223	lrh:LGG_00095
ko:K12997	lrh:LGG_02046
ko:K11085	lrh:LGG_01350
ko:K02806	lrh:LGG_00394
ko:K03734	lrh:LGG_02021
ko:K15555	lrh:LGG_02438
ko:K01989	lrh:LGG_00689
ko:K01223	lrh:LGG_02672
ko:K16786	lrh:LGG_02458
ko:K02026	lrh:LGG_00952
ko:K16787	lrh:LGG_02457
ko:K16785	lrh:LGG_02456
ko:K15580	lrh:LGG_01945
ko:K10823	lrh:LGG_01940
ko:K16789	lrh:LGG_01815
ko:K11050	lrh:LGG_00622
ko:K02027	lrh:LGG_00951
ko:K02027	lrh:LGG_00329
ko:K15580	lrh:LGG_02801
ko:K02025	lrh:LGG_00953
ko:K02808	lrh:LGG_00125
ko:K02809	lrh:LGG_00125
ko:K02810	lrh:LGG_00125
ko:K16960	lrh:LGG_00478
ko:K16959	lrh:LGG_00480
ko:K16957	lrh:LGG_00479
ko:K16786	lrh:LGG_00430
ko:K16787	lrh:LGG_00430
ko:K01426	lrh:LGG_02292
ko:K11991	lrh:LGG_02267
ko:K16785	lrh:LGG_00365
ko:K10974	lrh:LGG_02090
ko:K16925	lrh:LGG_00363
ko:K16924	lrh:LGG_00429
ko:K16898	lrh:LGG_01496
ko:K16899	lrh:LGG_01497
ko:K17195	lrh:LGG_00399
ko:K02029	lrh:LGG_01356
ko:K02030	lrh:LGG_01356
ko:K02029	lrh:LGG_02816
ko:K02030	lrh:LGG_02816
ko:K02029	lrh:LGG_02862
ko:K02030	lrh:LGG_02862
ko:K02029	lrh:LGG_02863
ko:K02030	lrh:LGG_02863
ko:K01990	lrh:LGG_00546
ko:K01989	lrh:LGG_00687
ko:K01990	lrh:LGG_01547
ko:K01990	lrh:LGG_02184
ko:K02028	lrh:LGG_01357
ko:K02028	lrh:LGG_02861
ko:K17076	lrh:LGG_02849
ko:K17073	lrh:LGG_02848
ko:K17074	lrh:LGG_02848
ko:K01990	lrh:LGG_00028
ko:K01990	lrh:LGG_00205
ko:K01990	lrh:LGG_01227
ko:K01990	lrh:LGG_01240
ko:K01990	lrh:LGG_01930
ko:K01992	lrh:LGG_00025
ko:K01992	lrh:LGG_01228
ko:K01992	lrh:LGG_01239
ko:K01992	lrh:LGG_01931
ko:K01533	lrh:LGG_01801
ko:K10112	lrh:LGG_00954
ko:K12574	lrh:LGG_00949
ko:K17810	lrh:LGG_02152
ko:K17836	lrh:LGG_02773
ko:K12574	lrh:LGG_01340
ko:K17869	lrh:LGG_00325
ko:K03742	lrh:LGG_00888
ko:K02003	lrh:LGG_01869
ko:K02004	lrh:LGG_01869
ko:K18672	lrh:LGG_00980
ko:K18682	lrh:LGG_00892
ko:K18692	lrh:LGG_00764
ko:K18892	lrh:LGG_00599
ko:K18891	lrh:LGG_00598
ko:K07171	lrh:LGG_02534
ko:K18929	lrh:LGG_02070
ko:K18928	lrh:LGG_02071
ko:K07029	lrh:LGG_01021
ko:K19005	lrh:LGG_00830
ko:K18979	lrh:LGG_02221
ko:K19002	lrh:LGG_00825
ko:K19005	lrh:LGG_01082
ko:K02759	lrh:LGG_00160
ko:K02760	lrh:LGG_02671
ko:K19225	lrh:LGG_01705
ko:K07448	lrh:LGG_01842
ko:K02808	lrh:LGG_02103
ko:K02809	lrh:LGG_02103
ko:K02810	lrh:LGG_02103
ko:K05881	lrh:LGG_00506
ko:K01990	lrh:LGG_00630
ko:K12952	lrh:LGG_00735
ko:K19265	lrh:LGG_02630
ko:K01992	lrh:LGG_00978
ko:K04771	lrh:LGG_02806
ko:K08217	lrh:LGG_01430
ko:K19302	lrh:LGG_00847
ko:K19350	lrh:LGG_00612
ko:K01990	lrh:LGG_00511
ko:K01990	lrh:LGG_02318
ko:K06881	lrh:LGG_00763
ko:K06881	lrh:LGG_02782
ko:K19689	lrh:LGG_01050
ko:K21636	lrh:LGG_00138
ko:K00527	lrh:LGG_02296
ko:K19975	lrh:LGG_02419
ko:K19976	lrh:LGG_02420
ko:K19973	lrh:LGG_02421
ko:K20074	lrh:LGG_01668
ko:K12132	lrh:LGG_01667
ko:K20114	lrh:LGG_00659
ko:K20345	lrh:LGG_02385
ko:K20344	lrh:LGG_02386
ko:K20534	lrh:LGG_00695
ko:K18889	lrh:LGG_01635
ko:K18890	lrh:LGG_01634
ko:K01208	lrh:LGG_00944
ko:K08968	lrh:LGG_01256
ko:K21471	lrh:LGG_00031
ko:K21471	lrh:LGG_00324
ko:K21467	lrh:LGG_00382
ko:K21471	lrh:LGG_02016
ko:K21567	lrh:LGG_00810
ko:K21562	lrh:LGG_00085
ko:K22044	lrh:LGG_00787
ko:K22212	lrh:LGG_00726
ko:K03078	lrh:LGG_02728
ko:K22213	lrh:LGG_00132
ko:K03077	lrh:LGG_02723
ko:K03079	lrh:LGG_02725
ko:K17758	lrh:LGG_00854
ko:K13566	lrh:LGG_02925
