ko:K02028	ssf:SSUA7_0451
ko:K03698	ssf:SSUA7_1812
ko:K00949	ssf:SSUA7_1814
ko:K03574	ssf:SSUA7_1828
ko:K06346	ssf:SSUA7_1835
ko:K07105	ssf:SSUA7_1841
ko:K00547	ssf:SSUA7_1844
ko:K09698	ssf:SSUA7_1846
ko:K16511	ssf:SSUA7_1698
ko:K01835	ssf:SSUA7_0640
ko:K07393	ssf:SSUA7_0599
ko:K06183	ssf:SSUA7_0600
ko:K05362	ssf:SSUA7_0606
ko:K02238	ssf:SSUA7_0609
ko:K04767	ssf:SSUA7_0611
ko:K00058	ssf:SSUA7_0621
ko:K00567	ssf:SSUA7_0622
ko:K03294	ssf:SSUA7_0627
ko:K07052	ssf:SSUA7_0630
ko:K07316	ssf:SSUA7_0636
ko:K01156	ssf:SSUA7_0637
ko:K02004	ssf:SSUA7_0824
ko:K00845	ssf:SSUA7_0851
ko:K01206	ssf:SSUA7_0853
ko:K01639	ssf:SSUA7_0865
ko:K01186	ssf:SSUA7_0867
ko:K02025	ssf:SSUA7_0869
ko:K02035	ssf:SSUA7_1688
ko:K07258	ssf:SSUA7_1689
ko:K04488	ssf:SSUA7_1693
ko:K07720	ssf:SSUA7_1728
ko:K01191	ssf:SSUA7_1739
ko:K01739	ssf:SSUA7_1393
ko:K07025	ssf:SSUA7_0692
ko:K04750	ssf:SSUA7_0696
ko:K02428	ssf:SSUA7_1537
ko:K09976	ssf:SSUA7_1539
ko:K01372	ssf:SSUA7_1541
ko:K11144	ssf:SSUA7_1557
ko:K03346	ssf:SSUA7_1558
ko:K00033	ssf:SSUA7_1562
ko:K12556	ssf:SSUA7_1569
ko:K07729	ssf:SSUA7_1572
ko:K12296	ssf:SSUA7_0016
ko:K00841	ssf:SSUA7_0023
ko:K01507	ssf:SSUA7_0883
ko:K02823	ssf:SSUA7_0886
ko:K00700	ssf:SSUA7_0891
ko:K03574	ssf:SSUA7_0894
ko:K01220	ssf:SSUA7_0907
ko:K02786	ssf:SSUA7_0909
ko:K01635	ssf:SSUA7_0911
ko:K00917	ssf:SSUA7_0912
ko:K01819	ssf:SSUA7_0914
ko:K01819	ssf:SSUA7_0915
ko:K02530	ssf:SSUA7_0917
ko:K06147	ssf:SSUA7_0926
ko:K00625	ssf:SSUA7_0928
ko:K09704	ssf:SSUA7_1740
ko:K02824	ssf:SSUA7_1757
ko:K06183	ssf:SSUA7_1760
ko:K07004	ssf:SSUA7_1790
ko:K01641	ssf:SSUA7_1474
ko:K00054	ssf:SSUA7_1475
ko:K07054	ssf:SSUA7_1489
ko:K15986	ssf:SSUA7_1498
ko:K02236	ssf:SSUA7_1504
ko:K01916	ssf:SSUA7_1506
ko:K07177	ssf:SSUA7_1510
ko:K01104	ssf:SSUA7_1522
ko:K11072	ssf:SSUA7_0747
ko:K11071	ssf:SSUA7_0748
ko:K11069	ssf:SSUA7_0750
ko:K00805	ssf:SSUA7_1582
ko:K00805	ssf:SSUA7_1584
ko:K03498	ssf:SSUA7_1585
ko:K03499	ssf:SSUA7_1587
ko:K01439	ssf:SSUA7_1597
ko:K02793	ssf:SSUA7_1604
ko:K02794	ssf:SSUA7_1604
ko:K02795	ssf:SSUA7_1605
ko:K07052	ssf:SSUA7_1614
ko:K00059	ssf:SSUA7_1624
ko:K02371	ssf:SSUA7_1626
ko:K04518	ssf:SSUA7_0559
ko:K01854	ssf:SSUA7_0563
ko:K09762	ssf:SSUA7_0577
ko:K01478	ssf:SSUA7_0579
ko:K12373	ssf:SSUA7_0585
ko:K02564	ssf:SSUA7_0589
ko:K00059	ssf:SSUA7_1419
ko:K07491	ssf:SSUA7_1424
ko:K02004	ssf:SSUA7_1425
ko:K05845	ssf:SSUA7_1432
ko:K05846	ssf:SSUA7_1432
ko:K06023	ssf:SSUA7_1438
ko:K03095	ssf:SSUA7_1443
ko:K01759	ssf:SSUA7_1469
ko:K02808	ssf:SSUA7_1641
ko:K02809	ssf:SSUA7_1641
ko:K02810	ssf:SSUA7_1641
ko:K01262	ssf:SSUA7_1647
ko:K07030	ssf:SSUA7_1681
ko:K02033	ssf:SSUA7_1685
ko:K03436	ssf:SSUA7_0762
ko:K00882	ssf:SSUA7_0763
ko:K00974	ssf:SSUA7_0768
ko:K00845	ssf:SSUA7_0771
ko:K09787	ssf:SSUA7_0812
ko:K01788	ssf:SSUA7_1244
ko:K11031	ssf:SSUA7_1245
ko:K07025	ssf:SSUA7_1246
ko:K00939	ssf:SSUA7_0091
ko:K09815	ssf:SSUA7_0111
ko:K03693	ssf:SSUA7_0117
ko:K02243	ssf:SSUA7_0122
ko:K02244	ssf:SSUA7_0123
ko:K02245	ssf:SSUA7_0124
ko:K02246	ssf:SSUA7_0125
ko:K02248	ssf:SSUA7_0127
ko:K01261	ssf:SSUA7_0134
ko:K01258	ssf:SSUA7_0986
ko:K15051	ssf:SSUA7_1022
ko:K01934	ssf:SSUA7_1861
ko:K00674	ssf:SSUA7_1864
ko:K03476	ssf:SSUA7_1872
ko:K03493	ssf:SSUA7_1873
ko:K02821	ssf:SSUA7_1878
ko:K07457	ssf:SSUA7_0195
ko:K02050	ssf:SSUA7_0202
ko:K02049	ssf:SSUA7_0203
ko:K03471	ssf:SSUA7_0211
ko:K01226	ssf:SSUA7_0214
ko:K03486	ssf:SSUA7_0216
ko:K01990	ssf:SSUA7_0238
ko:K06198	ssf:SSUA7_1095
ko:K05833	ssf:SSUA7_1103
ko:K05832	ssf:SSUA7_1104
ko:K01635	ssf:SSUA7_1108
ko:K04517	ssf:SSUA7_1111
ko:K05337	ssf:SSUA7_1121
ko:K09153	ssf:SSUA7_1125
ko:K07272	ssf:SSUA7_1133
ko:K12997	ssf:SSUA7_1136
ko:K12996	ssf:SSUA7_1137
ko:K00244	ssf:SSUA7_1961
ko:K00088	ssf:SSUA7_1989
ko:K14226	ssf:SSUA7_t028
ko:K03475	ssf:SSUA7_1880
ko:K03491	ssf:SSUA7_1891
ko:K09963	ssf:SSUA7_1892
ko:K01222	ssf:SSUA7_1894
ko:K07386	ssf:SSUA7_1896
ko:K11709	ssf:SSUA7_1897
ko:K02822	ssf:SSUA7_1879
ko:K11708	ssf:SSUA7_1898
ko:K14230	ssf:SSUA7_t014
ko:K07260	ssf:SSUA7_0695
ko:K07032	ssf:SSUA7_0368
ko:K03700	ssf:SSUA7_0374
ko:K11617	ssf:SSUA7_0391
ko:K11618	ssf:SSUA7_0392
ko:K03768	ssf:SSUA7_0393
ko:K07570	ssf:SSUA7_0394
ko:K02240	ssf:SSUA7_0397
ko:K02242	ssf:SSUA7_0398
ko:K07586	ssf:SSUA7_0403
ko:K02795	ssf:SSUA7_0409
ko:K16509	ssf:SSUA7_0972
ko:K02793	ssf:SSUA7_0411
ko:K01784	ssf:SSUA7_1272
ko:K03784	ssf:SSUA7_1281
ko:K03783	ssf:SSUA7_1282
ko:K07192	ssf:SSUA7_1293
ko:K07009	ssf:SSUA7_1309
ko:K14233	ssf:SSUA7_t013
ko:K03699	ssf:SSUA7_1501
ko:K14231	ssf:SSUA7_t015
ko:K14231	ssf:SSUA7_t018
ko:K14231	ssf:SSUA7_t025
ko:K14233	ssf:SSUA7_t020
ko:K13953	ssf:SSUA7_0260
ko:K00869	ssf:SSUA7_0270
ko:K01597	ssf:SSUA7_0271
ko:K00938	ssf:SSUA7_0272
ko:K01823	ssf:SSUA7_0273
ko:K09825	ssf:SSUA7_0290
ko:K09702	ssf:SSUA7_0295
ko:K09815	ssf:SSUA7_0311
ko:K02086	ssf:SSUA7_1150
ko:K00784	ssf:SSUA7_1159
ko:K07386	ssf:SSUA7_0148
ko:K03713	ssf:SSUA7_0152
ko:K01409	ssf:SSUA7_0159
ko:K02025	ssf:SSUA7_0162
ko:K02822	ssf:SSUA7_0179
ko:K03475	ssf:SSUA7_0180
ko:K01281	ssf:SSUA7_0187
ko:K08483	ssf:SSUA7_1052
ko:K11189	ssf:SSUA7_1053
ko:K08234	ssf:SSUA7_1179
ko:K11209	ssf:SSUA7_1174
ko:K02745	ssf:SSUA7_1070
ko:K02744	ssf:SSUA7_1072
ko:K00046	ssf:SSUA7_1076
ko:K07052	ssf:SSUA7_1078
ko:K07052	ssf:SSUA7_1080
ko:K07729	ssf:SSUA7_1083
ko:K07533	ssf:SSUA7_1090
ko:K11710	ssf:SSUA7_1899
ko:K11707	ssf:SSUA7_1901
ko:K03709	ssf:SSUA7_1902
ko:K01119	ssf:SSUA7_1910
ko:K03647	ssf:SSUA7_1949
ko:K02348	ssf:SSUA7_1952
ko:K01785	ssf:SSUA7_0412
ko:K00657	ssf:SSUA7_0444
ko:K00383	ssf:SSUA7_0468
ko:K02005	ssf:SSUA7_0469
ko:K01977	ssf:SSUA7_r09
ko:K01977	ssf:SSUA7_r12
ko:K01977	ssf:SSUA7_r10
ko:K01977	ssf:SSUA7_r11
ko:K02004	ssf:SSUA7_0471
ko:K03930	ssf:SSUA7_1316
ko:K05833	ssf:SSUA7_1320
ko:K05832	ssf:SSUA7_1321
ko:K01989	ssf:SSUA7_1322
ko:K02755	ssf:SSUA7_1324
ko:K02756	ssf:SSUA7_1324
ko:K02757	ssf:SSUA7_1324
ko:K03488	ssf:SSUA7_1325
ko:K07404	ssf:SSUA7_1330
ko:K07025	ssf:SSUA7_1332
ko:K06286	ssf:SSUA7_1343
ko:K01223	ssf:SSUA7_0176
ko:K03048	ssf:SSUA7_0313
ko:K01424	ssf:SSUA7_0318
ko:K02433	ssf:SSUA7_0328
ko:K06201	ssf:SSUA7_0335
ko:K06948	ssf:SSUA7_0338
ko:K04086	ssf:SSUA7_0354
ko:K07652	ssf:SSUA7_1203
ko:K07668	ssf:SSUA7_1204
ko:K10563	ssf:SSUA7_1238
ko:K14237	ssf:SSUA7_t02
ko:K14237	ssf:SSUA7_t022
ko:K14237	ssf:SSUA7_t036
ko:K14228	ssf:SSUA7_t030
ko:K16785	ssf:SSUA7_0370
ko:K14234	ssf:SSUA7_t040
ko:K14234	ssf:SSUA7_t06
ko:K14225	ssf:SSUA7_t023
ko:K14222	ssf:SSUA7_t048
ko:K01223	ssf:SSUA7_1893
ko:K05349	ssf:SSUA7_1957
ko:K02051	ssf:SSUA7_0204
ko:K14235	ssf:SSUA7_t027
ko:K15770	ssf:SSUA7_1943
ko:K01989	ssf:SSUA7_1106
ko:K16787	ssf:SSUA7_0691
ko:K16785	ssf:SSUA7_0689
ko:K15772	ssf:SSUA7_1945
ko:K15771	ssf:SSUA7_1944
ko:K16786	ssf:SSUA7_1981
ko:K16787	ssf:SSUA7_1980
ko:K02778	ssf:SSUA7_1243
ko:K02779	ssf:SSUA7_1243
ko:K16785	ssf:SSUA7_1979
ko:K10118	ssf:SSUA7_1388
ko:K16788	ssf:SSUA7_1840
ko:K01989	ssf:SSUA7_1105
ko:K16789	ssf:SSUA7_0478
ko:K01985	ssf:SSUA7_r01
ko:K01985	ssf:SSUA7_r03
ko:K01985	ssf:SSUA7_r04
ko:K16786	ssf:SSUA7_0690
ko:K10118	ssf:SSUA7_0855
ko:K10119	ssf:SSUA7_1387
ko:K01980	ssf:SSUA7_r08
ko:K01980	ssf:SSUA7_r05
ko:K01980	ssf:SSUA7_r07
ko:K01980	ssf:SSUA7_r06
ko:K14219	ssf:SSUA7_t043
ko:K14219	ssf:SSUA7_t09
ko:K14219	ssf:SSUA7_t054
ko:K14230	ssf:SSUA7_t012
ko:K14236	ssf:SSUA7_t016
ko:K14236	ssf:SSUA7_t026
ko:K14236	ssf:SSUA7_t045
ko:K10009	ssf:SSUA7_0286
ko:K16786	ssf:SSUA7_0268
ko:K16787	ssf:SSUA7_0268
ko:K02424	ssf:SSUA7_0285
ko:K14230	ssf:SSUA7_t017
ko:K02030	ssf:SSUA7_0507
ko:K14232	ssf:SSUA7_t010
ko:K14232	ssf:SSUA7_t044
ko:K14225	ssf:SSUA7_t041
ko:K14225	ssf:SSUA7_t07
ko:K00355	ssf:SSUA7_1452
ko:K14218	ssf:SSUA7_t01
ko:K14218	ssf:SSUA7_t035
ko:K14218	ssf:SSUA7_t021
ko:K14218	ssf:SSUA7_t032
ko:K14229	ssf:SSUA7_t038
ko:K14229	ssf:SSUA7_t04
ko:K14229	ssf:SSUA7_t050
ko:K14228	ssf:SSUA7_t05
ko:K14228	ssf:SSUA7_t039
ko:K14228	ssf:SSUA7_t042
ko:K14228	ssf:SSUA7_t08
ko:K14228	ssf:SSUA7_t049
ko:K16786	ssf:SSUA7_0369
ko:K16787	ssf:SSUA7_0369
ko:K01426	ssf:SSUA7_0284
ko:K16923	ssf:SSUA7_0688
ko:K14219	ssf:SSUA7_t047
ko:K16785	ssf:SSUA7_0267
ko:K08316	ssf:SSUA7_1512
ko:K08986	ssf:SSUA7_1038
ko:K14219	ssf:SSUA7_t051
ko:K11991	ssf:SSUA7_1870
ko:K16868	ssf:SSUA7_1230
ko:K16924	ssf:SSUA7_0364
ko:K16926	ssf:SSUA7_0266
ko:K14221	ssf:SSUA7_t03
ko:K14221	ssf:SSUA7_t037
ko:K14230	ssf:SSUA7_t011
ko:K14228	ssf:SSUA7_t031
ko:K16898	ssf:SSUA7_0705
ko:K16899	ssf:SSUA7_0704
ko:K14227	ssf:SSUA7_t019
ko:K14227	ssf:SSUA7_t024
ko:K14223	ssf:SSUA7_t029
ko:K14223	ssf:SSUA7_t046
ko:K01985	ssf:SSUA7_r02
ko:K14220	ssf:SSUA7_t033
ko:K14220	ssf:SSUA7_t053
ko:K14224	ssf:SSUA7_t034
ko:K14224	ssf:SSUA7_t052
ko:K14234	ssf:SSUA7_t056
ko:K14233	ssf:SSUA7_t055
ko:K03574	ssf:SSUA7_0447
ko:K11070	ssf:SSUA7_0749
ko:K01992	ssf:SSUA7_0237
ko:K10010	ssf:SSUA7_1883
ko:K01990	ssf:SSUA7_0698
ko:K02029	ssf:SSUA7_0899
ko:K02030	ssf:SSUA7_0899
ko:K01990	ssf:SSUA7_1134
ko:K10947	ssf:SSUA7_1422
ko:K17318	ssf:SSUA7_1182
ko:K17318	ssf:SSUA7_1734
ko:K17319	ssf:SSUA7_1184
ko:K17319	ssf:SSUA7_1736
ko:K01992	ssf:SSUA7_0697
ko:K01992	ssf:SSUA7_1674
ko:K01992	ssf:SSUA7_1135
ko:K01990	ssf:SSUA7_1675
ko:K01990	ssf:SSUA7_0174
ko:K01990	ssf:SSUA7_0495
ko:K02032	ssf:SSUA7_1686
ko:K02028	ssf:SSUA7_0506
ko:K03574	ssf:SSUA7_1003
ko:K02028	ssf:SSUA7_0900
ko:K01598	ssf:SSUA7_0642
ko:K00951	ssf:SSUA7_1909
ko:K17320	ssf:SSUA7_1183
ko:K17320	ssf:SSUA7_1735
ko:K01537	ssf:SSUA7_1260
ko:K02030	ssf:SSUA7_0892
ko:K02030	ssf:SSUA7_0893
ko:K17076	ssf:SSUA7_1701
ko:K02029	ssf:SSUA7_0450
ko:K01992	ssf:SSUA7_0236
ko:K17073	ssf:SSUA7_1700
ko:K17074	ssf:SSUA7_1700
ko:K10947	ssf:SSUA7_0243
ko:K10947	ssf:SSUA7_0989
ko:K10119	ssf:SSUA7_0854
ko:K10112	ssf:SSUA7_1726
ko:K01990	ssf:SSUA7_1519
ko:K01992	ssf:SSUA7_1518
ko:K02027	ssf:SSUA7_0161
ko:K17686	ssf:SSUA7_1228
ko:K02027	ssf:SSUA7_0870
ko:K00226	ssf:SSUA7_0233
ko:K17828	ssf:SSUA7_0885
ko:K06518	ssf:SSUA7_0244
ko:K03767	ssf:SSUA7_1189
ko:K01791	ssf:SSUA7_0539
ko:K00537	ssf:SSUA7_1283
ko:K03486	ssf:SSUA7_0357
ko:K02004	ssf:SSUA7_1224
ko:K01467	ssf:SSUA7_0012
ko:K02026	ssf:SSUA7_0868
ko:K02026	ssf:SSUA7_0163
ko:K07284	ssf:SSUA7_0940
ko:K12574	ssf:SSUA7_0154
ko:K00661	ssf:SSUA7_0842
ko:K12574	ssf:SSUA7_1317
ko:K07284	ssf:SSUA7_0432
ko:K07284	ssf:SSUA7_0457
ko:K18216	ssf:SSUA7_1248
ko:K02809	ssf:SSUA7_1753
ko:K02810	ssf:SSUA7_1753
ko:K01071	ssf:SSUA7_1277
ko:K05799	ssf:SSUA7_1018
ko:K06148	ssf:SSUA7_0927
ko:K02794	ssf:SSUA7_0408
ko:K02614	ssf:SSUA7_0925
ko:K18217	ssf:SSUA7_1247
ko:K07491	ssf:SSUA7_1470
ko:K07491	ssf:SSUA7_0639
ko:K01154	ssf:SSUA7_1610
ko:K01788	ssf:SSUA7_0872
ko:K12296	ssf:SSUA7_0067
ko:K07491	ssf:SSUA7_0956
ko:K00917	ssf:SSUA7_0194
ko:K07491	ssf:SSUA7_1264
ko:K18231	ssf:SSUA7_1199
ko:K03742	ssf:SSUA7_0060
ko:K18474	ssf:SSUA7_1630
ko:K00105	ssf:SSUA7_0673
ko:K16235	ssf:SSUA7_1845
ko:K01200	ssf:SSUA7_1948
ko:K18581	ssf:SSUA7_1071
ko:K00983	ssf:SSUA7_0541
ko:K18682	ssf:SSUA7_0381
ko:K06896	ssf:SSUA7_0358
ko:K18672	ssf:SSUA7_1307
ko:K18692	ssf:SSUA7_1566
ko:K06218	ssf:SSUA7_1333
ko:K18815	ssf:SSUA7_1297
ko:K06218	ssf:SSUA7_0572
ko:K18892	ssf:SSUA7_1855
ko:K18891	ssf:SSUA7_1856
ko:K03790	ssf:SSUA7_1450
ko:K03789	ssf:SSUA7_1761
ko:K18888	ssf:SSUA7_0742
ko:K18887	ssf:SSUA7_0741
ko:K03111	ssf:SSUA7_1652
ko:K06218	ssf:SSUA7_0822
ko:K03111	ssf:SSUA7_0140
ko:K03497	ssf:SSUA7_1998
ko:K07029	ssf:SSUA7_1034
ko:K19055	ssf:SSUA7_1319
ko:K07484	ssf:SSUA7_0547
ko:K19002	ssf:SSUA7_1212
ko:K18979	ssf:SSUA7_1255
ko:K13052	ssf:SSUA7_0010
ko:K18986	ssf:SSUA7_1492
ko:K02851	ssf:SSUA7_1697
ko:K18987	ssf:SSUA7_1493
ko:K07452	ssf:SSUA7_0796
ko:K06893	ssf:SSUA7_1974
ko:K19159	ssf:SSUA7_1827
ko:K19147	ssf:SSUA7_0797
ko:K19158	ssf:SSUA7_1826
ko:K05881	ssf:SSUA7_1779
ko:K01710	ssf:SSUA7_1143
ko:K01215	ssf:SSUA7_1385
ko:K03722	ssf:SSUA7_0511
ko:K19302	ssf:SSUA7_1525
ko:K12952	ssf:SSUA7_1192
ko:K04771	ssf:SSUA7_1997
ko:K02031	ssf:SSUA7_1687
ko:K06881	ssf:SSUA7_1367
ko:K02796	ssf:SSUA7_1606
ko:K02796	ssf:SSUA7_0410
ko:K01654	ssf:SSUA7_0538
ko:K00887	ssf:SSUA7_1240
ko:K00526	ssf:SSUA7_1060
ko:K01101	ssf:SSUA7_1275
ko:K21636	ssf:SSUA7_1931
ko:K20074	ssf:SSUA7_0387
ko:K12132	ssf:SSUA7_0388
ko:K20073	ssf:SSUA7_0379
ko:K02777	ssf:SSUA7_0359
ko:K20107	ssf:SSUA7_0359
ko:K20108	ssf:SSUA7_0359
ko:K20342	ssf:SSUA7_0050
ko:K20459	ssf:SSUA7_0828
ko:K20460	ssf:SSUA7_0827
ko:K20461	ssf:SSUA7_0826
ko:K00525	ssf:SSUA7_1058
ko:K20489	ssf:SSUA7_0829
ko:K18889	ssf:SSUA7_0275
ko:K18890	ssf:SSUA7_0274
ko:K11751	ssf:SSUA7_1929
ko:K21064	ssf:SSUA7_1603
ko:K08968	ssf:SSUA7_1460
ko:K01493	ssf:SSUA7_1454
ko:K00560	ssf:SSUA7_0774
ko:K00287	ssf:SSUA7_0775
ko:K00857	ssf:SSUA7_0783
ko:K03553	ssf:SSUA7_0061
ko:K01520	ssf:SSUA7_1854
ko:K07313	ssf:SSUA7_1867
ko:K06191	ssf:SSUA7_1057
ko:K04068	ssf:SSUA7_1927
ko:K02314	ssf:SSUA7_1966
ko:K06217	ssf:SSUA7_1166
ko:K02316	ssf:SSUA7_1270
ko:K06919	ssf:SSUA7_1349
ko:K00571	ssf:SSUA7_0129
ko:K02335	ssf:SSUA7_1222
ko:K01759	ssf:SSUA7_1187
ko:K06148	ssf:SSUA7_0265
ko:K06148	ssf:SSUA7_0264
ko:K21471	ssf:SSUA7_0021
ko:K21567	ssf:SSUA7_1808
ko:K00863	ssf:SSUA7_1775
ko:K21828	ssf:SSUA7_0578
ko:K21977	ssf:SSUA7_0643
ko:K22044	ssf:SSUA7_0230
ko:K03595	ssf:SSUA7_1239
ko:K03078	ssf:SSUA7_1877
ko:K22278	ssf:SSUA7_1467
ko:K17758	ssf:SSUA7_0754
ko:K03077	ssf:SSUA7_1875
ko:K03079	ssf:SSUA7_1876
ko:K22441	ssf:SSUA7_1009
ko:K22457	ssf:SSUA7_0569
