ko:K00127	hik:HifGL_001505
ko:K05592	hik:HifGL_000064
ko:K05803	hik:HifGL_000065
ko:K00962	hik:HifGL_000066
ko:K09125	hik:HifGL_000068
ko:K00275	hik:HifGL_000069
ko:K06207	hik:HifGL_000070
ko:K01915	hik:HifGL_000073
ko:K07751	hik:HifGL_000075
ko:K00940	hik:HifGL_000076
ko:K03979	hik:HifGL_000077
ko:K02899	hik:HifGL_000079
ko:K02888	hik:HifGL_000080
ko:K02523	hik:HifGL_000081
ko:K09765	hik:HifGL_000082
ko:K03310	hik:HifGL_000083
ko:K07773	hik:HifGL_000084
ko:K04084	hik:HifGL_000085
ko:K15977	hik:HifGL_000086
ko:K00602	hik:HifGL_000087
ko:K01945	hik:HifGL_000088
ko:K00600	hik:HifGL_000089
ko:K00859	hik:HifGL_000090
ko:K09862	hik:HifGL_000091
ko:K03732	hik:HifGL_000092
ko:K08218	hik:HifGL_000095
ko:K02568	hik:HifGL_000098
ko:K02573	hik:HifGL_000100
ko:K02567	hik:HifGL_000101
ko:K02570	hik:HifGL_000102
ko:K02572	hik:HifGL_000103
ko:K09923	hik:HifGL_000104
ko:K03439	hik:HifGL_000105
ko:K04066	hik:HifGL_000106
ko:K05541	hik:HifGL_000001
ko:K03089	hik:HifGL_000002
ko:K00075	hik:HifGL_000004
ko:K07674	hik:HifGL_000005
ko:K08591	hik:HifGL_000006
ko:K01633	hik:HifGL_000007
ko:K16087	hik:HifGL_000010
ko:K12982	hik:HifGL_000011
ko:K11211	hik:HifGL_000012
ko:K05809	hik:HifGL_000015
ko:K07287	hik:HifGL_000016
ko:K01714	hik:HifGL_000017
ko:K03564	hik:HifGL_000018
ko:K03561	hik:HifGL_000019
ko:K03832	hik:HifGL_000021
ko:K03701	hik:HifGL_000023
ko:K01347	hik:HifGL_000025
ko:K07568	hik:HifGL_000027
ko:K00773	hik:HifGL_000028
ko:K03075	hik:HifGL_000031
ko:K06187	hik:HifGL_000033
ko:K09747	hik:HifGL_000034
ko:K07115	hik:HifGL_000035
ko:K05366	hik:HifGL_000036
ko:K02507	hik:HifGL_000041
ko:K07400	hik:HifGL_000044
ko:K03426	hik:HifGL_000045
ko:K09891	hik:HifGL_000046
ko:K05787	hik:HifGL_000047
ko:K00820	hik:HifGL_000048
ko:K03611	hik:HifGL_000049
ko:K03314	hik:HifGL_000050
ko:K03603	hik:HifGL_000051
ko:K01770	hik:HifGL_000300
ko:K00246	hik:HifGL_000508
ko:K04568	hik:HifGL_000511
ko:K06186	hik:HifGL_000515
ko:K06899	hik:HifGL_000516
ko:K09904	hik:HifGL_000517
ko:K07014	hik:HifGL_000518
ko:K03591	hik:HifGL_000524
ko:K03446	hik:HifGL_000525
ko:K03543	hik:HifGL_000526
ko:K00931	hik:HifGL_000528
ko:K08311	hik:HifGL_000529
ko:K13292	hik:HifGL_000531
ko:K11991	hik:HifGL_000533
ko:K03070	hik:HifGL_000536
ko:K02967	hik:HifGL_000540
ko:K02357	hik:HifGL_000541
ko:K02536	hik:HifGL_000542
ko:K06142	hik:HifGL_000543
ko:K07277	hik:HifGL_000544
ko:K11749	hik:HifGL_000545
ko:K00981	hik:HifGL_000546
ko:K00806	hik:HifGL_000547
ko:K01869	hik:HifGL_000549
ko:K03643	hik:HifGL_000550
ko:K02340	hik:HifGL_000551
ko:K01879	hik:HifGL_000552
ko:K01878	hik:HifGL_000554
ko:K03781	hik:HifGL_000555
ko:K01689	hik:HifGL_000559
ko:K07007	hik:HifGL_000560
ko:K02199	hik:HifGL_000562
ko:K04016	hik:HifGL_000563
ko:K02679	hik:HifGL_000565
ko:K02680	hik:HifGL_000566
ko:K02681	hik:HifGL_000568
ko:K03583	hik:HifGL_000569
ko:K07738	hik:HifGL_000570
ko:K11752	hik:HifGL_000571
ko:K04691	hik:HifGL_000572
ko:K13745	hik:HifGL_000574
ko:K00836	hik:HifGL_000575
ko:K02913	hik:HifGL_000576
ko:K02902	hik:HifGL_000577
ko:K03630	hik:HifGL_000578
ko:K13038	hik:HifGL_000579
ko:K05501	hik:HifGL_000581
ko:K03212	hik:HifGL_000584
ko:K01207	hik:HifGL_000585
ko:K02503	hik:HifGL_000587
ko:K01870	hik:HifGL_000588
ko:K11753	hik:HifGL_000589
ko:K03980	hik:HifGL_000590
ko:K02968	hik:HifGL_000591
ko:K01661	hik:HifGL_000593
ko:K03786	hik:HifGL_000595
ko:K02160	hik:HifGL_000596
ko:K01961	hik:HifGL_000597
ko:K14392	hik:HifGL_000601
ko:K04095	hik:HifGL_000603
ko:K02687	hik:HifGL_000604
ko:K03557	hik:HifGL_000606
ko:K03664	hik:HifGL_000607
ko:K00850	hik:HifGL_000609
ko:K09861	hik:HifGL_000611
ko:K04096	hik:HifGL_000612
ko:K01649	hik:HifGL_000613
ko:K00052	hik:HifGL_000614
ko:K01703	hik:HifGL_000615
ko:K01704	hik:HifGL_000616
ko:K01347	hik:HifGL_000617
ko:K03629	hik:HifGL_000618
ko:K02338	hik:HifGL_000619
ko:K02313	hik:HifGL_000620
ko:K16087	hik:HifGL_000621
ko:K02914	hik:HifGL_000624
ko:K03536	hik:HifGL_000625
ko:K08998	hik:HifGL_000626
ko:K03217	hik:HifGL_000627
ko:K03650	hik:HifGL_000628
ko:K03770	hik:HifGL_000629
ko:K03770	hik:HifGL_000632
ko:K03101	hik:HifGL_000634
ko:K03527	hik:HifGL_000635
ko:K02237	hik:HifGL_000637
ko:K02064	hik:HifGL_000638
ko:K02063	hik:HifGL_000639
ko:K02062	hik:HifGL_000640
ko:K01012	hik:HifGL_000641
ko:K00615	hik:HifGL_000642
ko:K01079	hik:HifGL_000644
ko:K09767	hik:HifGL_000645
ko:K03284	hik:HifGL_000646
ko:K02221	hik:HifGL_000647
ko:K07133	hik:HifGL_000649
ko:K07306	hik:HifGL_000659
ko:K01914	hik:HifGL_000206
ko:K01091	hik:HifGL_000207
ko:K01783	hik:HifGL_000208
ko:K02470	hik:HifGL_000209
ko:K06959	hik:HifGL_000210
ko:K04760	hik:HifGL_000211
ko:K04761	hik:HifGL_000213
ko:K03745	hik:HifGL_000214
ko:K07235	hik:HifGL_000217
ko:K07236	hik:HifGL_000218
ko:K07237	hik:HifGL_000219
ko:K02358	hik:HifGL_000220
ko:K03598	hik:HifGL_000222
ko:K03597	hik:HifGL_000223
ko:K03088	hik:HifGL_000224
ko:K09159	hik:HifGL_000225
ko:K03282	hik:HifGL_000226
ko:K03500	hik:HifGL_000228
ko:K00604	hik:HifGL_000229
ko:K01462	hik:HifGL_000230
ko:K03565	hik:HifGL_000236
ko:K06199	hik:HifGL_000237
ko:K00611	hik:HifGL_000239
ko:K00926	hik:HifGL_000240
ko:K06016	hik:HifGL_000244
ko:K05995	hik:HifGL_000245
ko:K01581	hik:HifGL_000250
ko:K09689	hik:HifGL_000665
ko:K09688	hik:HifGL_000666
ko:K10107	hik:HifGL_000667
ko:K01991	hik:HifGL_000668
ko:K07266	hik:HifGL_000672
ko:K07265	hik:HifGL_000673
ko:K03453	hik:HifGL_000686
ko:K03470	hik:HifGL_000722
ko:K00748	hik:HifGL_000723
ko:K00677	hik:HifGL_000724
ko:K02372	hik:HifGL_000725
ko:K09903	hik:HifGL_000727
ko:K04014	hik:HifGL_000729
ko:K04013	hik:HifGL_000730
ko:K03385	hik:HifGL_000732
ko:K03578	hik:HifGL_000733
ko:K00426	hik:HifGL_000737
ko:K00425	hik:HifGL_000738
ko:K01937	hik:HifGL_000739
ko:K03811	hik:HifGL_000740
ko:K10010	hik:HifGL_000741
ko:K10009	hik:HifGL_000742
ko:K02424	hik:HifGL_000743
ko:K00790	hik:HifGL_000744
ko:K07122	hik:HifGL_000746
ko:K07323	hik:HifGL_000747
ko:K02066	hik:HifGL_000749
ko:K02065	hik:HifGL_000750
ko:K04564	hik:HifGL_000751
ko:K02194	hik:HifGL_000753
ko:K02195	hik:HifGL_000754
ko:K02196	hik:HifGL_000755
ko:K02197	hik:HifGL_000756
ko:K02198	hik:HifGL_000757
ko:K02199	hik:HifGL_000758
ko:K01972	hik:HifGL_000763
ko:K03528	hik:HifGL_000764
ko:K06203	hik:HifGL_000765
ko:K01738	hik:HifGL_000766
ko:K02529	hik:HifGL_000770
ko:K03315	hik:HifGL_000771
ko:K14155	hik:HifGL_000772
ko:K10544	hik:HifGL_000773
ko:K10545	hik:HifGL_000774
ko:K10543	hik:HifGL_000775
ko:K01805	hik:HifGL_000776
ko:K03274	hik:HifGL_000778
ko:K07391	hik:HifGL_000781
ko:K03978	hik:HifGL_000782
ko:K09824	hik:HifGL_000783
ko:K15581	hik:HifGL_000787
ko:K15580	hik:HifGL_000789
ko:K00656	hik:HifGL_000792
ko:K04069	hik:HifGL_000793
ko:K05807	hik:HifGL_000795
ko:K06180	hik:HifGL_000796
ko:K05810	hik:HifGL_000797
ko:K00566	hik:HifGL_000798
ko:K05952	hik:HifGL_000801
ko:K03734	hik:HifGL_000802
ko:K00351	hik:HifGL_000803
ko:K00350	hik:HifGL_000804
ko:K00349	hik:HifGL_000805
ko:K00348	hik:HifGL_000806
ko:K00347	hik:HifGL_000807
ko:K00346	hik:HifGL_000808
ko:K05527	hik:HifGL_000809
ko:K07286	hik:HifGL_000810
ko:K01613	hik:HifGL_000812
ko:K07040	hik:HifGL_000813
ko:K02911	hik:HifGL_000814
ko:K00648	hik:HifGL_000815
ko:K00645	hik:HifGL_000817
ko:K02078	hik:HifGL_000819
ko:K06133	hik:HifGL_000821
ko:K04088	hik:HifGL_000822
ko:K04087	hik:HifGL_000823
ko:K00885	hik:HifGL_000829
ko:K01443	hik:HifGL_000833
ko:K02647	hik:HifGL_000842
ko:K02647	hik:HifGL_000849
ko:K00865	hik:HifGL_000851
ko:K06997	hik:HifGL_000852
ko:K12524	hik:HifGL_000853
ko:K00872	hik:HifGL_000854
ko:K01733	hik:HifGL_000855
ko:K03778	hik:HifGL_000857
ko:K03671	hik:HifGL_000858
ko:K03424	hik:HifGL_000860
ko:K01883	hik:HifGL_000862
ko:K10805	hik:HifGL_000864
ko:K03310	hik:HifGL_000866
ko:K01070	hik:HifGL_000867
ko:K03116	hik:HifGL_000870
ko:K03117	hik:HifGL_000871
ko:K03118	hik:HifGL_000872
ko:K00262	hik:HifGL_000873
ko:K03839	hik:HifGL_000875
ko:K03645	hik:HifGL_000877
ko:K01911	hik:HifGL_000878
ko:K05802	hik:HifGL_000879
ko:K01736	hik:HifGL_000880
ko:K07261	hik:HifGL_000881
ko:K07090	hik:HifGL_000882
ko:K02560	hik:HifGL_000883
ko:K01008	hik:HifGL_000884
ko:K01875	hik:HifGL_000885
ko:K09794	hik:HifGL_000886
ko:K03106	hik:HifGL_000891
ko:K06920	hik:HifGL_000893
ko:K00826	hik:HifGL_000895
ko:K06968	hik:HifGL_000897
ko:K01903	hik:HifGL_000898
ko:K01902	hik:HifGL_000899
ko:K06178	hik:HifGL_000901
ko:K13634	hik:HifGL_000902
ko:K07320	hik:HifGL_000903
ko:K13788	hik:HifGL_000905
ko:K00925	hik:HifGL_000906
ko:K09899	hik:HifGL_000908
ko:K03558	hik:HifGL_000909
ko:K00764	hik:HifGL_000910
ko:K07071	hik:HifGL_000911
ko:K03402	hik:HifGL_000912
ko:K00024	hik:HifGL_000913
ko:K04567	hik:HifGL_000914
ko:K02836	hik:HifGL_000915
ko:K03981	hik:HifGL_000916
ko:K07462	hik:HifGL_000917
ko:K03673	hik:HifGL_000918
ko:K16087	hik:HifGL_000920
ko:K03303	hik:HifGL_000921
ko:K08681	hik:HifGL_000922
ko:K06215	hik:HifGL_000923
ko:K00945	hik:HifGL_000924
ko:K02945	hik:HifGL_000925
ko:K05788	hik:HifGL_000926
ko:K01591	hik:HifGL_000929
ko:K03113	hik:HifGL_000930
ko:K10763	hik:HifGL_000931
ko:K00761	hik:HifGL_000933
ko:K02343	hik:HifGL_000934
ko:K00759	hik:HifGL_000935
ko:K00382	hik:HifGL_000936
ko:K00627	hik:HifGL_000937
ko:K00163	hik:HifGL_000938
ko:K01734	hik:HifGL_000939
ko:K04043	hik:HifGL_000942
ko:K03686	hik:HifGL_000943
ko:K00147	hik:HifGL_000944
ko:K07552	hik:HifGL_000947
ko:K00029	hik:HifGL_000950
ko:K03702	hik:HifGL_000952
ko:K06957	hik:HifGL_000960
ko:K03723	hik:HifGL_000962
ko:K01963	hik:HifGL_000964
ko:K11754	hik:HifGL_000965
ko:K00641	hik:HifGL_000968
ko:K02469	hik:HifGL_000969
ko:K09136	hik:HifGL_000970
ko:K16868	hik:HifGL_000973
ko:K01874	hik:HifGL_000974
ko:K00785	hik:HifGL_000980
ko:K07270	hik:HifGL_000982
ko:K02019	hik:HifGL_000985
ko:K02020	hik:HifGL_000986
ko:K02018	hik:HifGL_000987
ko:K15540	hik:HifGL_000990
ko:K07347	hik:HifGL_000991
ko:K07345	hik:HifGL_000993
ko:K02440	hik:HifGL_001006
ko:K07259	hik:HifGL_001173
ko:K02956	hik:HifGL_001180
ko:K01716	hik:HifGL_001183
ko:K04770	hik:HifGL_001184
ko:K09911	hik:HifGL_001185
ko:K03704	hik:HifGL_001186
ko:K09917	hik:HifGL_001187
ko:K06175	hik:HifGL_001188
ko:K03151	hik:HifGL_001190
ko:K03602	hik:HifGL_001191
ko:K00795	hik:HifGL_001192
ko:K01662	hik:HifGL_001193
ko:K03600	hik:HifGL_001194
ko:K03599	hik:HifGL_001195
ko:K02996	hik:HifGL_001196
ko:K02871	hik:HifGL_001197
ko:K00297	hik:HifGL_001199
ko:K01935	hik:HifGL_001200
ko:K09902	hik:HifGL_001201
ko:K01495	hik:HifGL_001202
ko:K03750	hik:HifGL_001203
ko:K09901	hik:HifGL_001205
ko:K12267	hik:HifGL_001209
ko:K03088	hik:HifGL_001215
ko:K08301	hik:HifGL_001219
ko:K15257	hik:HifGL_001221
ko:K04047	hik:HifGL_001223
ko:K15738	hik:HifGL_001229
ko:K01129	hik:HifGL_001230
ko:K01766	hik:HifGL_001234
ko:K02426	hik:HifGL_001235
ko:K06879	hik:HifGL_001237
ko:K14187	hik:HifGL_001238
ko:K02834	hik:HifGL_001240
ko:K03427	hik:HifGL_001241
ko:K01154	hik:HifGL_001242
ko:K00873	hik:HifGL_001246
ko:K01775	hik:HifGL_001248
ko:K01810	hik:HifGL_001249
ko:K06077	hik:HifGL_001250
ko:K09907	hik:HifGL_001252
ko:K01887	hik:HifGL_001253
ko:K01653	hik:HifGL_001254
ko:K01652	hik:HifGL_001255
ko:K01433	hik:HifGL_001258
ko:K00800	hik:HifGL_001259
ko:K07478	hik:HifGL_001260
ko:K03634	hik:HifGL_001261
ko:K03466	hik:HifGL_001262
ko:K04485	hik:HifGL_001264
ko:K09929	hik:HifGL_001266
ko:K09930	hik:HifGL_001267
ko:K15977	hik:HifGL_001269
ko:K07220	hik:HifGL_001270
ko:K03306	hik:HifGL_001271
ko:K07184	hik:HifGL_001272
ko:K02494	hik:HifGL_001274
ko:K00919	hik:HifGL_001275
ko:K00948	hik:HifGL_001276
ko:K01866	hik:HifGL_001277
ko:K06206	hik:HifGL_001278
ko:K03327	hik:HifGL_001279
ko:K00793	hik:HifGL_001280
ko:K01256	hik:HifGL_001281
ko:K07345	hik:HifGL_001282
ko:K07345	hik:HifGL_001285
ko:K01588	hik:HifGL_001286
ko:K01589	hik:HifGL_001287
ko:K02006	hik:HifGL_001289
ko:K02008	hik:HifGL_001290
ko:K02007	hik:HifGL_001291
ko:K16915	hik:HifGL_001292
ko:K09908	hik:HifGL_001298
ko:K02897	hik:HifGL_001301
ko:K00928	hik:HifGL_001303
ko:K01939	hik:HifGL_001304
ko:K01595	hik:HifGL_001307
ko:K06918	hik:HifGL_001308
ko:K06173	hik:HifGL_001315
ko:K03841	hik:HifGL_001316
ko:K13694	hik:HifGL_001317
ko:K03568	hik:HifGL_001318
ko:K07056	hik:HifGL_001319
ko:K05838	hik:HifGL_001466
ko:K00384	hik:HifGL_001467
ko:K06956	hik:HifGL_001472
ko:K00760	hik:HifGL_001474
ko:K03592	hik:HifGL_001475
ko:K09889	hik:HifGL_001476
ko:K11719	hik:HifGL_001477
ko:K09774	hik:HifGL_001478
ko:K06861	hik:HifGL_001479
ko:K06958	hik:HifGL_001481
ko:K14170	hik:HifGL_001482
ko:K02535	hik:HifGL_001483
ko:K03531	hik:HifGL_001484
ko:K03590	hik:HifGL_001485
ko:K03589	hik:HifGL_001486
ko:K01921	hik:HifGL_001487
ko:K01924	hik:HifGL_001488
ko:K02563	hik:HifGL_001489
ko:K03588	hik:HifGL_001490
ko:K01925	hik:HifGL_001491
ko:K01000	hik:HifGL_001492
ko:K01929	hik:HifGL_001493
ko:K01928	hik:HifGL_001494
ko:K03587	hik:HifGL_001495
ko:K03586	hik:HifGL_001496
ko:K03438	hik:HifGL_001497
ko:K03925	hik:HifGL_001498
ko:K02379	hik:HifGL_001501
ko:K00123	hik:HifGL_001502
ko:K02380	hik:HifGL_001506
ko:K03789	hik:HifGL_001507
ko:K02344	hik:HifGL_001508
ko:K03685	hik:HifGL_001511
ko:K03100	hik:HifGL_001512
ko:K03596	hik:HifGL_001513
ko:K03648	hik:HifGL_001516
ko:K06168	hik:HifGL_001517
ko:K03319	hik:HifGL_001518
ko:K01643	hik:HifGL_001520
ko:K01644	hik:HifGL_001521
ko:K01646	hik:HifGL_001522
ko:K01910	hik:HifGL_001523
ko:K03644	hik:HifGL_001524
ko:K03801	hik:HifGL_001525
ko:K09158	hik:HifGL_001526
ko:K03642	hik:HifGL_001528
ko:K05837	hik:HifGL_001529
ko:K05515	hik:HifGL_001530
ko:K00783	hik:HifGL_001531
ko:K09710	hik:HifGL_001532
ko:K07085	hik:HifGL_001533
ko:K02471	hik:HifGL_001534
ko:K03569	hik:HifGL_001535
ko:K03570	hik:HifGL_001536
ko:K03571	hik:HifGL_001537
ko:K01142	hik:HifGL_001539
ko:K08990	hik:HifGL_001541
ko:K07109	hik:HifGL_001543
ko:K06193	hik:HifGL_001544
ko:K01625	hik:HifGL_001545
ko:K01812	hik:HifGL_001546
ko:K00874	hik:HifGL_001548
ko:K01686	hik:HifGL_001555
ko:K03703	hik:HifGL_001557
ko:K00979	hik:HifGL_001558
ko:K00912	hik:HifGL_001559
ko:K06204	hik:HifGL_001562
ko:K01491	hik:HifGL_001608
ko:K14445	hik:HifGL_001609
ko:K00640	hik:HifGL_001610
ko:K00057	hik:HifGL_001611
ko:K05851	hik:HifGL_001612
ko:K02496	hik:HifGL_001613
ko:K02498	hik:HifGL_001614
ko:K13256	hik:HifGL_001615
ko:K03524	hik:HifGL_001617
ko:K01951	hik:HifGL_001619
ko:K05786	hik:HifGL_001620
ko:K03313	hik:HifGL_001622
ko:K03311	hik:HifGL_001623
ko:K12573	hik:HifGL_001627
ko:K03218	hik:HifGL_001628
ko:K03695	hik:HifGL_001629
ko:K09888	hik:HifGL_001631
ko:K07226	hik:HifGL_001637
ko:K12368	hik:HifGL_001638
ko:K03753	hik:HifGL_001640
ko:K15984	hik:HifGL_001643
ko:K09897	hik:HifGL_001645
ko:K03673	hik:HifGL_001646
ko:K09896	hik:HifGL_001647
ko:K01840	hik:HifGL_000154
ko:K00254	hik:HifGL_001146
ko:K06518	hik:HifGL_001232
ko:K01658	hik:HifGL_001133
ko:K11928	hik:HifGL_001220
ko:K01069	hik:HifGL_000972
ko:K00537	hik:HifGL_000059
ko:K05540	hik:HifGL_000605
ko:K01739	hik:HifGL_000856
ko:K00018	hik:HifGL_001039
ko:K00884	hik:HifGL_000865
ko:K03566	hik:HifGL_000896
ko:K01497	hik:HifGL_001579
ko:K13695	hik:HifGL_001087
ko:K01187	hik:HifGL_001553
ko:K03772	hik:HifGL_000215
ko:K11747	hik:HifGL_000538
ko:K07812	hik:HifGL_000269
ko:K06148	hik:HifGL_000293
ko:K03719	hik:HifGL_001263
ko:K03719	hik:HifGL_001621
ko:K07645	hik:HifGL_001385
ko:K01139	hik:HifGL_001421
ko:K00557	hik:HifGL_001644
ko:K01096	hik:HifGL_001578
ko:K13927	hik:HifGL_001519
ko:K14742	hik:HifGL_001718
ko:K17948	hik:HifGL_000825
ko:K18138	hik:HifGL_000523
ko:K00879	hik:HifGL_001604
ko:K21449	hik:HifGL_001431
ko:K21449	hik:HifGL_001217
ko:K21449	hik:HifGL_001626
ko:K21449	hik:HifGL_001407
ko:K01035	hik:HifGL_000448
ko:K07090	hik:HifGL_000530
ko:K07076	hik:HifGL_001573
ko:K01175	hik:HifGL_000876
ko:K04753	hik:HifGL_000166
ko:K01652	hik:HifGL_000159
ko:K01652	hik:HifGL_000160
ko:K03431	hik:HifGL_001163
ko:K03616	hik:HifGL_001349
ko:K03615	hik:HifGL_001350
ko:K03614	hik:HifGL_001352
ko:K04774	hik:HifGL_001353
ko:K03615	hik:HifGL_001357
ko:K07213	hik:HifGL_001780
ko:K07213	hik:HifGL_001781
ko:K01126	hik:HifGL_000392
ko:K00769	hik:HifGL_000393
ko:K00864	hik:HifGL_000396
ko:K03650	hik:HifGL_000631
ko:K00548	hik:HifGL_000654
ko:K03299	hik:HifGL_000843
ko:K07345	hik:HifGL_000992
ko:K03308	hik:HifGL_000995
ko:K07347	hik:HifGL_001284
ko:K18691	hik:HifGL_000063
ko:K18829	hik:HifGL_001751
ko:K18828	hik:HifGL_001750
ko:K00526	hik:HifGL_001325
ko:K19239	hik:HifGL_001314
ko:K18850	hik:HifGL_001726
ko:K10747	hik:HifGL_001437
ko:K18893	hik:HifGL_000717
ko:K03674	hik:HifGL_001062
ko:K03646	hik:HifGL_001713
ko:K07473	hik:HifGL_000370
ko:K03111	hik:HifGL_000022
ko:K03169	hik:HifGL_000032
ko:K08363	hik:HifGL_000661
ko:K08364	hik:HifGL_000662
ko:K04565	hik:HifGL_000663
ko:K08363	hik:HifGL_000715
ko:K08364	hik:HifGL_000716
ko:K07473	hik:HifGL_000956
ko:K03746	hik:HifGL_001257
ko:K03976	hik:HifGL_001096
ko:K03526	hik:HifGL_001698
ko:K18991	hik:HifGL_000718
ko:K19226	hik:HifGL_001309
ko:K00983	hik:HifGL_000977
ko:K02777	hik:HifGL_001388
ko:K04772	hik:HifGL_000963
ko:K19157	hik:HifGL_000369
ko:K19157	hik:HifGL_000957
ko:K01710	hik:HifGL_000074
ko:K00355	hik:HifGL_001051
ko:K19228	hik:HifGL_001311
ko:K10094	hik:HifGL_001293
ko:K07268	hik:HifGL_000115
ko:K03722	hik:HifGL_001717
ko:K07496	hik:HifGL_000684
ko:K07149	hik:HifGL_000328
ko:K19416	hik:HifGL_001542
ko:K19804	hik:HifGL_000928
ko:K19810	hik:HifGL_000116
ko:K07662	hik:HifGL_000514
ko:K21636	hik:HifGL_001576
ko:K16066	hik:HifGL_001101
ko:K21449	hik:HifGL_001328
ko:K02438	hik:HifGL_001152
ko:K11751	hik:HifGL_001652
ko:K21029	hik:HifGL_001204
ko:K06223	hik:HifGL_001649
ko:K02316	hik:HifGL_000318
ko:K00857	hik:HifGL_000321
ko:K00287	hik:HifGL_000527
ko:K00560	hik:HifGL_000532
ko:K01520	hik:HifGL_000580
ko:K02314	hik:HifGL_001247
ko:K04068	hik:HifGL_001471
ko:K06866	hik:HifGL_001515
ko:K02335	hik:HifGL_001632
ko:K00525	hik:HifGL_001324
ko:K21470	hik:HifGL_001333
ko:K21948	hik:HifGL_000999
ko:K19591	hik:HifGL_001779
ko:K22025	hik:HifGL_001002
ko:K22132	hik:HifGL_001668
ko:K08319	hik:HifGL_000998
ko:K22131	hik:HifGL_001001
ko:K22105	hik:HifGL_000212
ko:K03595	hik:HifGL_001510
ko:K22130	hik:HifGL_001000
ko:K07488	hik:HifGL_000996
ko:K07488	hik:HifGL_001007
ko:K18446	hik:HifGL_001265
ko:K00571	hik:HifGL_001636
