ko:K03741	fpo:FPG3_10060
ko:K01847	fpo:FPG3_03885
ko:K01847	fpo:FPG3_03895
ko:K00876	fpo:FPG3_03905
ko:K01278	fpo:FPG3_03940
ko:K03802	fpo:FPG3_03945
ko:K13282	fpo:FPG3_03960
ko:K01424	fpo:FPG3_03965
ko:K03701	fpo:FPG3_03980
ko:K03088	fpo:FPG3_03985
ko:K10773	fpo:FPG3_04030
ko:K03564	fpo:FPG3_04035
ko:K06167	fpo:FPG3_04045
ko:K06999	fpo:FPG3_04055
ko:K01465	fpo:FPG3_04065
ko:K11927	fpo:FPG3_04075
ko:K02338	fpo:FPG3_04080
ko:K01992	fpo:FPG3_04090
ko:K02963	fpo:FPG3_08780
ko:K02939	fpo:FPG3_08785
ko:K01972	fpo:FPG3_08795
ko:K00209	fpo:FPG3_08815
ko:K03631	fpo:FPG3_08820
ko:K08068	fpo:FPG3_03205
ko:K00640	fpo:FPG3_03215
ko:K00640	fpo:FPG3_03240
ko:K17103	fpo:FPG3_03285
ko:K07273	fpo:FPG3_03290
ko:K06861	fpo:FPG3_03295
ko:K03118	fpo:FPG3_03305
ko:K06041	fpo:FPG3_03310
ko:K03654	fpo:FPG3_03315
ko:K07137	fpo:FPG3_03340
ko:K03442	fpo:FPG3_03345
ko:K06182	fpo:FPG3_03370
ko:K07164	fpo:FPG3_03380
ko:K00134	fpo:FPG3_03400
ko:K01778	fpo:FPG3_03410
ko:K00657	fpo:FPG3_03415
ko:K07082	fpo:FPG3_03420
ko:K07056	fpo:FPG3_03435
ko:K01104	fpo:FPG3_03440
ko:K02313	fpo:FPG3_03445
ko:K07107	fpo:FPG3_03450
ko:K01845	fpo:FPG3_03465
ko:K04567	fpo:FPG3_03475
ko:K03801	fpo:FPG3_03480
ko:K03470	fpo:FPG3_03485
ko:K01697	fpo:FPG3_03505
ko:K02493	fpo:FPG3_07855
ko:K02004	fpo:FPG3_07860
ko:K01892	fpo:FPG3_07865
ko:K04763	fpo:FPG3_07870
ko:K03786	fpo:FPG3_07880
ko:K00790	fpo:FPG3_07925
ko:K09158	fpo:FPG3_07935
ko:K03654	fpo:FPG3_07945
ko:K00604	fpo:FPG3_07950
ko:K03530	fpo:FPG3_07960
ko:K07735	fpo:FPG3_07965
ko:K00826	fpo:FPG3_07970
ko:K00794	fpo:FPG3_07985
ko:K03629	fpo:FPG3_07995
ko:K01953	fpo:FPG3_08015
ko:K00075	fpo:FPG3_08020
ko:K02013	fpo:FPG3_08025
ko:K03216	fpo:FPG3_08030
ko:K06181	fpo:FPG3_08035
ko:K09760	fpo:FPG3_08040
ko:K08715	fpo:FPG3_08055
ko:K01955	fpo:FPG3_08060
ko:K02914	fpo:FPG3_08065
ko:K04077	fpo:FPG3_08075
ko:K04078	fpo:FPG3_08085
ko:K03075	fpo:FPG3_08090
ko:K06168	fpo:FPG3_08110
ko:K03168	fpo:FPG3_08135
ko:K13038	fpo:FPG3_08830
ko:K05807	fpo:FPG3_08840
ko:K01714	fpo:FPG3_08845
ko:K01081	fpo:FPG3_08860
ko:K00859	fpo:FPG3_08890
ko:K07636	fpo:FPG3_08895
ko:K00254	fpo:FPG3_08920
ko:K01640	fpo:FPG3_08925
ko:K00088	fpo:FPG3_08940
ko:K02428	fpo:FPG3_08945
ko:K05592	fpo:FPG3_08950
ko:K07090	fpo:FPG3_08965
ko:K03671	fpo:FPG3_08985
ko:K00556	fpo:FPG3_09015
ko:K12410	fpo:FPG3_09020
ko:K01756	fpo:FPG3_09025
ko:K00639	fpo:FPG3_09030
ko:K06199	fpo:FPG3_09055
ko:K02825	fpo:FPG3_09065
ko:K00609	fpo:FPG3_09070
ko:K02945	fpo:FPG3_09080
ko:K01823	fpo:FPG3_09085
ko:K01737	fpo:FPG3_09090
ko:K02341	fpo:FPG3_00105
ko:K00927	fpo:FPG3_00140
ko:K08307	fpo:FPG3_00145
ko:K02348	fpo:FPG3_00150
ko:K07146	fpo:FPG3_00160
ko:K05366	fpo:FPG3_00175
ko:K01028	fpo:FPG3_00180
ko:K01029	fpo:FPG3_00200
ko:K07501	fpo:FPG3_00210
ko:K00567	fpo:FPG3_00215
ko:K08738	fpo:FPG3_00220
ko:K01698	fpo:FPG3_00225
ko:K00228	fpo:FPG3_00235
ko:K01599	fpo:FPG3_00255
ko:K01719	fpo:FPG3_00260
ko:K01749	fpo:FPG3_00265
ko:K02492	fpo:FPG3_00270
ko:K01772	fpo:FPG3_00280
ko:K08973	fpo:FPG3_00285
ko:K01715	fpo:FPG3_00295
ko:K06950	fpo:FPG3_00300
ko:K03921	fpo:FPG3_00305
ko:K00655	fpo:FPG3_00310
ko:K07025	fpo:FPG3_00320
ko:K01874	fpo:FPG3_00325
ko:K01297	fpo:FPG3_00340
ko:K07460	fpo:FPG3_00345
ko:K02557	fpo:FPG3_00355
ko:K01142	fpo:FPG3_00360
ko:K00058	fpo:FPG3_00370
ko:K00286	fpo:FPG3_00375
ko:K06213	fpo:FPG3_00380
ko:K02528	fpo:FPG3_00385
ko:K07636	fpo:FPG3_04765
ko:K14441	fpo:FPG3_04775
ko:K01881	fpo:FPG3_04790
ko:K02968	fpo:FPG3_04805
ko:K06207	fpo:FPG3_04840
ko:K00243	fpo:FPG3_04845
ko:K01661	fpo:FPG3_04850
ko:K02548	fpo:FPG3_04855
ko:K01153	fpo:FPG3_04875
ko:K01154	fpo:FPG3_04890
ko:K03427	fpo:FPG3_04900
ko:K01627	fpo:FPG3_04940
ko:K03446	fpo:FPG3_04945
ko:K03543	fpo:FPG3_04950
ko:K01695	fpo:FPG3_04965
ko:K01696	fpo:FPG3_04970
ko:K01817	fpo:FPG3_04975
ko:K01609	fpo:FPG3_04980
ko:K00766	fpo:FPG3_04985
ko:K01658	fpo:FPG3_04990
ko:K01657	fpo:FPG3_04995
ko:K09812	fpo:FPG3_05025
ko:K02014	fpo:FPG3_05040
ko:K00133	fpo:FPG3_05050
ko:K00384	fpo:FPG3_09700
ko:K03593	fpo:FPG3_09710
ko:K08301	fpo:FPG3_09715
ko:K03530	fpo:FPG3_09720
ko:K03575	fpo:FPG3_09725
ko:K02259	fpo:FPG3_09820
ko:K07566	fpo:FPG3_09830
ko:K01711	fpo:FPG3_09845
ko:K00674	fpo:FPG3_09910
ko:K04084	fpo:FPG3_09915
ko:K04075	fpo:FPG3_09920
ko:K01665	fpo:FPG3_09925
ko:K08641	fpo:FPG3_09935
ko:K09761	fpo:FPG3_09965
ko:K01409	fpo:FPG3_09970
ko:K00850	fpo:FPG3_09980
ko:K00134	fpo:FPG3_09985
ko:K07094	fpo:FPG3_01035
ko:K01251	fpo:FPG3_01045
ko:K03723	fpo:FPG3_01060
ko:K03642	fpo:FPG3_01070
ko:K00764	fpo:FPG3_01080
ko:K03469	fpo:FPG3_01090
ko:K11175	fpo:FPG3_01095
ko:K02078	fpo:FPG3_01100
ko:K09458	fpo:FPG3_01110
ko:K03685	fpo:FPG3_01115
ko:K00873	fpo:FPG3_01125
ko:K01159	fpo:FPG3_01150
ko:K09793	fpo:FPG3_01170
ko:K01870	fpo:FPG3_01190
ko:K03101	fpo:FPG3_01200
ko:K01934	fpo:FPG3_01205
ko:K06987	fpo:FPG3_01210
ko:K03703	fpo:FPG3_01215
ko:K07001	fpo:FPG3_01220
ko:K03294	fpo:FPG3_01225
ko:K00451	fpo:FPG3_01230
ko:K00457	fpo:FPG3_01235
ko:K00453	fpo:FPG3_01245
ko:K01056	fpo:FPG3_01255
ko:K11753	fpo:FPG3_01270
ko:K01012	fpo:FPG3_01275
ko:K05606	fpo:FPG3_01290
ko:K02834	fpo:FPG3_01295
ko:K09808	fpo:FPG3_01300
ko:K07568	fpo:FPG3_01305
ko:K00800	fpo:FPG3_01310
ko:K07461	fpo:FPG3_01320
ko:K02361	fpo:FPG3_05690
ko:K00762	fpo:FPG3_05715
ko:K01992	fpo:FPG3_05740
ko:K01990	fpo:FPG3_05745
ko:K03686	fpo:FPG3_05750
ko:K03687	fpo:FPG3_05755
ko:K07071	fpo:FPG3_05760
ko:K09940	fpo:FPG3_05770
ko:K10947	fpo:FPG3_05775
ko:K01555	fpo:FPG3_05800
ko:K00600	fpo:FPG3_05805
ko:K00615	fpo:FPG3_05810
ko:K00615	fpo:FPG3_05815
ko:K01933	fpo:FPG3_05825
ko:K01952	fpo:FPG3_05875
ko:K03500	fpo:FPG3_05885
ko:K00382	fpo:FPG3_05945
ko:K04487	fpo:FPG3_05955
ko:K07095	fpo:FPG3_05960
ko:K01524	fpo:FPG3_10590
ko:K00937	fpo:FPG3_10595
ko:K01902	fpo:FPG3_10610
ko:K02536	fpo:FPG3_10620
ko:K02356	fpo:FPG3_10625
ko:K00677	fpo:FPG3_10630
ko:K16363	fpo:FPG3_10635
ko:K02536	fpo:FPG3_10640
ko:K06885	fpo:FPG3_10645
ko:K00979	fpo:FPG3_10655
ko:K10254	fpo:FPG3_10720
ko:K00074	fpo:FPG3_10725
ko:K10254	fpo:FPG3_10730
ko:K03306	fpo:FPG3_10740
ko:K07220	fpo:FPG3_10745
ko:K06910	fpo:FPG3_10770
ko:K01256	fpo:FPG3_10780
ko:K03655	fpo:FPG3_10790
ko:K01669	fpo:FPG3_10810
ko:K18707	fpo:FPG3_03835
ko:K01977	fpo:FPG3_04815
ko:K01977	fpo:FPG3_10205
ko:K01977	fpo:FPG3_11140
ko:K01977	fpo:FPG3_02505
ko:K01977	fpo:FPG3_06570
ko:K01977	fpo:FPG3_04160
ko:K01978	fpo:FPG3_12510
ko:K01985	fpo:FPG3_02525
ko:K01985	fpo:FPG3_11120
ko:K01985	fpo:FPG3_04180
ko:K01985	fpo:FPG3_04835
ko:K01985	fpo:FPG3_10225
ko:K01985	fpo:FPG3_06590
ko:K14219	fpo:FPG3_07715
ko:K14230	fpo:FPG3_07980
ko:K03790	fpo:FPG3_08625
ko:K14220	fpo:FPG3_00440
ko:K14228	fpo:FPG3_00840
ko:K14230	fpo:FPG3_01285
ko:K14221	fpo:FPG3_01450
ko:K14223	fpo:FPG3_01630
ko:K14228	fpo:FPG3_02070
ko:K14225	fpo:FPG3_02075
ko:K14227	fpo:FPG3_02510
ko:K14227	fpo:FPG3_04820
ko:K14227	fpo:FPG3_10210
ko:K14227	fpo:FPG3_11135
ko:K14227	fpo:FPG3_04165
ko:K14227	fpo:FPG3_06575
ko:K14218	fpo:FPG3_02515
ko:K14218	fpo:FPG3_04825
ko:K14218	fpo:FPG3_11130
ko:K14218	fpo:FPG3_10215
ko:K14218	fpo:FPG3_04170
ko:K14218	fpo:FPG3_06580
ko:K14225	fpo:FPG3_07275
ko:K18831	fpo:FPG3_03350
ko:K14230	fpo:FPG3_08205
ko:K14230	fpo:FPG3_08210
ko:K14234	fpo:FPG3_03555
ko:K14234	fpo:FPG3_09115
ko:K14233	fpo:FPG3_10110
ko:K14219	fpo:FPG3_05865
ko:K14226	fpo:FPG3_05670
ko:K14224	fpo:FPG3_04800
ko:K14224	fpo:FPG3_04795
ko:K14229	fpo:FPG3_04550
ko:K14229	fpo:FPG3_04555
ko:K14228	fpo:FPG3_04545
ko:K14235	fpo:FPG3_03575
ko:K14234	fpo:FPG3_03565
ko:K14236	fpo:FPG3_03560
ko:K14233	fpo:FPG3_11660
ko:K14218	fpo:FPG3_12050
ko:K14231	fpo:FPG3_12225
ko:K14222	fpo:FPG3_00020
ko:K01980	fpo:FPG3_04175
ko:K01980	fpo:FPG3_06585
ko:K01980	fpo:FPG3_11125
ko:K01980	fpo:FPG3_10220
ko:K01980	fpo:FPG3_04830
ko:K01980	fpo:FPG3_02520
ko:K03496	fpo:FPG3_03850
ko:K03497	fpo:FPG3_03855
ko:K04565	fpo:FPG3_09365
ko:K00335	fpo:FPG3_11320
ko:K14742	fpo:FPG3_07425
ko:K03111	fpo:FPG3_09730
ko:K03111	fpo:FPG3_00455
ko:K03646	fpo:FPG3_01660
ko:K18979	fpo:FPG3_07315
ko:K11991	fpo:FPG3_01545
ko:K19166	fpo:FPG3_03355
ko:K19159	fpo:FPG3_12295
ko:K19158	fpo:FPG3_12290
ko:K01710	fpo:FPG3_03020
ko:K01710	fpo:FPG3_12440
ko:K01654	fpo:FPG3_03200
ko:K00798	fpo:FPG3_05330
ko:K00336	fpo:FPG3_11310
ko:K19302	fpo:FPG3_07550
ko:K01990	fpo:FPG3_09755
ko:K01990	fpo:FPG3_11560
ko:K07497	fpo:FPG3_06890
ko:K01992	fpo:FPG3_01610
ko:K19294	fpo:FPG3_04725
ko:K06867	fpo:FPG3_04380
ko:K06881	fpo:FPG3_08585
ko:K09690	fpo:FPG3_03130
ko:K10206	fpo:FPG3_01365
ko:K05770	fpo:FPG3_01695
ko:K09691	fpo:FPG3_03135
ko:K20534	fpo:FPG3_09880
ko:K18890	fpo:FPG3_04665
ko:K18889	fpo:FPG3_05090
ko:K20866	fpo:FPG3_07840
ko:K08968	fpo:FPG3_07785
ko:K00632	fpo:FPG3_09420
ko:K06217	fpo:FPG3_04125
ko:K00558	fpo:FPG3_08875
ko:K07313	fpo:FPG3_00790
ko:K02314	fpo:FPG3_05485
ko:K00857	fpo:FPG3_11075
ko:K00287	fpo:FPG3_01790
ko:K00560	fpo:FPG3_01805
ko:K03553	fpo:FPG3_11415
ko:K06223	fpo:FPG3_06655
ko:K01493	fpo:FPG3_02455
ko:K00558	fpo:FPG3_07035
ko:K00558	fpo:FPG3_07095
ko:K01520	fpo:FPG3_12310
ko:K02316	fpo:FPG3_07600
ko:K00525	fpo:FPG3_02415
ko:K02481	fpo:FPG3_09585
ko:K00526	fpo:FPG3_02420
ko:K21470	fpo:FPG3_07260
ko:K01420	fpo:FPG3_10370
ko:K10026	fpo:FPG3_11180
ko:K21572	fpo:FPG3_10165
ko:K00754	fpo:FPG3_06210
ko:K01463	fpo:FPG3_05675
ko:K17758	fpo:FPG3_06285
ko:K22132	fpo:FPG3_09320
ko:K22136	fpo:FPG3_04750
ko:K03595	fpo:FPG3_08215
ko:K08994	fpo:FPG3_05510
ko:K22252	fpo:FPG3_09840
ko:K02257	fpo:FPG3_07420
ko:K01505	fpo:FPG3_03455
ko:K22491	fpo:FPG3_04535
ko:K09516	fpo:FPG3_11605
