ko:K01139	kpq:KPR0928_25190
ko:K01223	kpq:KPR0928_20125
ko:K16077	kpq:KPR0928_20135
ko:K02761	kpq:KPR0928_20140
ko:K02760	kpq:KPR0928_20145
ko:K02761	kpq:KPR0928_20150
ko:K02759	kpq:KPR0928_20155
ko:K00847	kpq:KPR0928_20160
ko:K11604	kpq:KPR0928_20170
ko:K11607	kpq:KPR0928_20175
ko:K11605	kpq:KPR0928_20180
ko:K11606	kpq:KPR0928_20185
ko:K07088	kpq:KPR0928_20200
ko:K01652	kpq:KPR0928_20205
ko:K07401	kpq:KPR0928_20210
ko:K16087	kpq:KPR0928_20215
ko:K07225	kpq:KPR0928_20220
ko:K02016	kpq:KPR0928_20225
ko:K02015	kpq:KPR0928_20230
ko:K02013	kpq:KPR0928_20235
ko:K11903	kpq:KPR0928_20240
ko:K03555	kpq:KPR0928_20250
ko:K03186	kpq:KPR0928_20270
ko:K03087	kpq:KPR0928_20295
ko:K06194	kpq:KPR0928_20300
ko:K00573	kpq:KPR0928_20305
ko:K03787	kpq:KPR0928_20310
ko:K06176	kpq:KPR0928_20315
ko:K01770	kpq:KPR0928_20320
ko:K00991	kpq:KPR0928_20325
ko:K05589	kpq:KPR0928_20330
ko:K07007	kpq:KPR0928_24465
ko:K16322	kpq:KPR0928_24470
ko:K06144	kpq:KPR0928_24475
ko:K06149	kpq:KPR0928_24480
ko:K03305	kpq:KPR0928_24485
ko:K15984	kpq:KPR0928_24490
ko:K01414	kpq:KPR0928_24495
ko:K07115	kpq:KPR0928_24505
ko:K00383	kpq:KPR0928_24510
ko:K00799	kpq:KPR0928_24515
ko:K01194	kpq:KPR0928_24525
ko:K07058	kpq:KPR0928_24545
ko:K07290	kpq:KPR0928_24555
ko:K00874	kpq:KPR0928_24560
ko:K11103	kpq:KPR0928_24570
ko:K00694	kpq:KPR0928_24595
ko:K00694	kpq:KPR0928_24645
ko:K12372	kpq:KPR0928_24660
ko:K12371	kpq:KPR0928_24665
ko:K12370	kpq:KPR0928_24670
ko:K12369	kpq:KPR0928_24675
ko:K12368	kpq:KPR0928_24680
ko:K12975	kpq:KPR0928_24710
ko:K08177	kpq:KPR0928_24715
ko:K01246	kpq:KPR0928_24725
ko:K03826	kpq:KPR0928_24730
ko:K07733	kpq:KPR0928_02825
ko:K11903	kpq:KPR0928_02870
ko:K07454	kpq:KPR0928_02890
ko:K01198	kpq:KPR0928_02900
ko:K03292	kpq:KPR0928_02905
ko:K01805	kpq:KPR0928_02910
ko:K02024	kpq:KPR0928_02915
ko:K00574	kpq:KPR0928_02940
ko:K09701	kpq:KPR0928_02945
ko:K03098	kpq:KPR0928_02970
ko:K07787	kpq:KPR0928_02980
ko:K07798	kpq:KPR0928_02985
ko:K07665	kpq:KPR0928_03000
ko:K07644	kpq:KPR0928_03005
ko:K13926	kpq:KPR0928_03055
ko:K01993	kpq:KPR0928_03060
ko:K01867	kpq:KPR0928_03065
ko:K02058	kpq:KPR0928_03070
ko:K02056	kpq:KPR0928_03075
ko:K02057	kpq:KPR0928_03080
ko:K02057	kpq:KPR0928_03085
ko:K00355	kpq:KPR0928_03090
ko:K10440	kpq:KPR0928_07270
ko:K10440	kpq:KPR0928_07275
ko:K10441	kpq:KPR0928_07280
ko:K10439	kpq:KPR0928_07285
ko:K08351	kpq:KPR0928_07290
ko:K08967	kpq:KPR0928_07295
ko:K09880	kpq:KPR0928_07300
ko:K14287	kpq:KPR0928_07305
ko:K03805	kpq:KPR0928_07325
ko:K03386	kpq:KPR0928_07330
ko:K03387	kpq:KPR0928_07335
ko:K11932	kpq:KPR0928_07340
ko:K06140	kpq:KPR0928_07345
ko:K01169	kpq:KPR0928_07350
ko:K03326	kpq:KPR0928_07355
ko:K12973	kpq:KPR0928_07360
ko:K03704	kpq:KPR0928_07365
ko:K06199	kpq:KPR0928_07370
ko:K03425	kpq:KPR0928_07380
ko:K03644	kpq:KPR0928_07385
ko:K03801	kpq:KPR0928_07395
ko:K09158	kpq:KPR0928_07400
ko:K07258	kpq:KPR0928_07405
ko:K03642	kpq:KPR0928_07410
ko:K05837	kpq:KPR0928_07415
ko:K05515	kpq:KPR0928_07420
ko:K00783	kpq:KPR0928_07425
ko:K09710	kpq:KPR0928_07430
ko:K02226	kpq:KPR0928_07435
ko:K00969	kpq:KPR0928_07440
ko:K02340	kpq:KPR0928_07445
ko:K03643	kpq:KPR0928_07450
ko:K01869	kpq:KPR0928_07455
ko:K10004	kpq:KPR0928_07475
ko:K10002	kpq:KPR0928_07480
ko:K10003	kpq:KPR0928_07485
ko:K10001	kpq:KPR0928_07490
ko:K03820	kpq:KPR0928_07495
ko:K06189	kpq:KPR0928_07500
ko:K07042	kpq:KPR0928_07505
ko:K06168	kpq:KPR0928_07515
ko:K03184	kpq:KPR0928_07520
ko:K03778	kpq:KPR0928_11815
ko:K09978	kpq:KPR0928_11835
ko:K14063	kpq:KPR0928_11840
ko:K00077	kpq:KPR0928_11850
ko:K00276	kpq:KPR0928_11860
ko:K02618	kpq:KPR0928_11865
ko:K02609	kpq:KPR0928_11870
ko:K02610	kpq:KPR0928_11875
ko:K02611	kpq:KPR0928_11880
ko:K02612	kpq:KPR0928_11885
ko:K02613	kpq:KPR0928_11890
ko:K01692	kpq:KPR0928_11895
ko:K15866	kpq:KPR0928_11900
ko:K00074	kpq:KPR0928_11905
ko:K02614	kpq:KPR0928_11910
ko:K01912	kpq:KPR0928_11920
ko:K02616	kpq:KPR0928_11925
ko:K02617	kpq:KPR0928_11930
ko:K01118	kpq:KPR0928_11940
ko:K03578	kpq:KPR0928_11945
ko:K06075	kpq:KPR0928_11970
ko:K00261	kpq:KPR0928_11985
ko:K00840	kpq:KPR0928_11995
ko:K00673	kpq:KPR0928_12000
ko:K06447	kpq:KPR0928_12005
ko:K01484	kpq:KPR0928_12010
ko:K05526	kpq:KPR0928_12015
ko:K07248	kpq:KPR0928_12035
ko:K00134	kpq:KPR0928_12040
ko:K07112	kpq:KPR0928_12060
ko:K08987	kpq:KPR0928_12065
ko:K16074	kpq:KPR0928_12080
ko:K14155	kpq:KPR0928_12085
ko:K03314	kpq:KPR0928_16300
ko:K03611	kpq:KPR0928_16305
ko:K09160	kpq:KPR0928_16315
ko:K09902	kpq:KPR0928_16325
ko:K03610	kpq:KPR0928_16330
ko:K03609	kpq:KPR0928_16335
ko:K03608	kpq:KPR0928_16340
ko:K03684	kpq:KPR0928_16345
ko:K01897	kpq:KPR0928_16350
ko:K07285	kpq:KPR0928_16355
ko:K09917	kpq:KPR0928_16375
ko:K01665	kpq:KPR0928_16380
ko:K01752	kpq:KPR0928_16390
ko:K02793	kpq:KPR0928_16405
ko:K02794	kpq:KPR0928_16405
ko:K02795	kpq:KPR0928_16410
ko:K00563	kpq:KPR0928_16430
ko:K03587	kpq:KPR0928_16435
ko:K03704	kpq:KPR0928_16440
ko:K08169	kpq:KPR0928_16460
ko:K03799	kpq:KPR0928_16465
ko:K03797	kpq:KPR0928_16470
ko:K03607	kpq:KPR0928_16475
ko:K03808	kpq:KPR0928_16485
ko:K11392	kpq:KPR0928_16495
ko:K09824	kpq:KPR0928_16515
ko:K07245	kpq:KPR0928_16530
ko:K07156	kpq:KPR0928_16535
ko:K10857	kpq:KPR0928_16545
ko:K01354	kpq:KPR0928_16550
ko:K09918	kpq:KPR0928_16560
ko:K08289	kpq:KPR0928_16565
ko:K01625	kpq:KPR0928_16570
ko:K02426	kpq:KPR0928_20600
ko:K08304	kpq:KPR0928_20610
ko:K00768	kpq:KPR0928_20630
ko:K02231	kpq:KPR0928_20635
ko:K02232	kpq:KPR0928_20640
ko:K02006	kpq:KPR0928_20645
ko:K02008	kpq:KPR0928_20650
ko:K02009	kpq:KPR0928_20655
ko:K02007	kpq:KPR0928_20660
ko:K03394	kpq:KPR0928_20665
ko:K02190	kpq:KPR0928_20670
ko:K05895	kpq:KPR0928_20675
ko:K02189	kpq:KPR0928_20685
ko:K05936	kpq:KPR0928_20690
ko:K02191	kpq:KPR0928_20695
ko:K03399	kpq:KPR0928_20700
ko:K02188	kpq:KPR0928_20705
ko:K06042	kpq:KPR0928_20710
ko:K02227	kpq:KPR0928_20715
ko:K02224	kpq:KPR0928_20720
ko:K13919	kpq:KPR0928_20760
ko:K13920	kpq:KPR0928_20765
ko:K13923	kpq:KPR0928_20790
ko:K13922	kpq:KPR0928_20810
ko:K13921	kpq:KPR0928_20815
ko:K04031	kpq:KPR0928_20830
ko:K04029	kpq:KPR0928_20835
ko:K16651	kpq:KPR0928_20845
ko:K04720	kpq:KPR0928_20850
ko:K01448	kpq:KPR0928_20855
ko:K14682	kpq:KPR0928_20860
ko:K00639	kpq:KPR0928_25010
ko:K03274	kpq:KPR0928_25015
ko:K02843	kpq:KPR0928_25020
ko:K02841	kpq:KPR0928_25025
ko:K02849	kpq:KPR0928_25050
ko:K02844	kpq:KPR0928_25055
ko:K02527	kpq:KPR0928_25070
ko:K12984	kpq:KPR0928_25075
ko:K00954	kpq:KPR0928_25080
ko:K10563	kpq:KPR0928_25085
ko:K02913	kpq:KPR0928_25090
ko:K02902	kpq:KPR0928_25095
ko:K03630	kpq:KPR0928_25100
ko:K13038	kpq:KPR0928_25105
ko:K05501	kpq:KPR0928_25115
ko:K00762	kpq:KPR0928_25120
ko:K00989	kpq:KPR0928_25125
ko:K01993	kpq:KPR0928_25140
ko:K10778	kpq:KPR0928_25160
ko:K01972	kpq:KPR0928_25175
ko:K00942	kpq:KPR0928_25180
ko:K03060	kpq:KPR0928_25185
ko:K00556	kpq:KPR0928_25195
ko:K03655	kpq:KPR0928_25200
ko:K02446	kpq:KPR0928_25205
ko:K00528	kpq:KPR0928_25210
ko:K01803	kpq:KPR0928_25225
ko:K01521	kpq:KPR0928_25235
ko:K02048	kpq:KPR0928_25240
ko:K09892	kpq:KPR0928_25245
ko:K02440	kpq:KPR0928_25250
ko:K00864	kpq:KPR0928_25255
ko:K03312	kpq:KPR0928_25260
ko:K16345	kpq:KPR0928_25265
ko:K18765	kpq:KPR0928_23360
ko:K01002	kpq:KPR0928_03390
ko:K02317	kpq:KPR0928_03405
ko:K00481	kpq:KPR0928_03420
ko:K02761	kpq:KPR0928_03445
ko:K13255	kpq:KPR0928_03450
ko:K00564	kpq:KPR0928_03480
ko:K02344	kpq:KPR0928_03485
ko:K03789	kpq:KPR0928_03490
ko:K08723	kpq:KPR0928_03495
ko:K02837	kpq:KPR0928_03500
ko:K04065	kpq:KPR0928_03505
ko:K03424	kpq:KPR0928_03520
ko:K03317	kpq:KPR0928_03525
ko:K01619	kpq:KPR0928_03530
ko:K00758	kpq:KPR0928_03535
ko:K01839	kpq:KPR0928_03540
ko:K03784	kpq:KPR0928_03545
ko:K03800	kpq:KPR0928_03550
ko:K07186	kpq:KPR0928_03555
ko:K01079	kpq:KPR0928_03560
ko:K04485	kpq:KPR0928_03565
ko:K06211	kpq:KPR0928_03570
ko:K08309	kpq:KPR0928_03580
ko:K03720	kpq:KPR0928_03585
ko:K05804	kpq:KPR0928_03600
ko:K05805	kpq:KPR0928_03605
ko:K07663	kpq:KPR0928_03610
ko:K07641	kpq:KPR0928_03615
ko:K06143	kpq:KPR0928_03620
ko:K07773	kpq:KPR0928_03625
ko:K02533	kpq:KPR0928_03630
ko:K12524	kpq:KPR0928_03635
ko:K00872	kpq:KPR0928_03640
ko:K01733	kpq:KPR0928_03645
ko:K03641	kpq:KPR0928_07825
ko:K03640	kpq:KPR0928_07830
ko:K03517	kpq:KPR0928_07865
ko:K03811	kpq:KPR0928_07870
ko:K16264	kpq:KPR0928_07875
ko:K01626	kpq:KPR0928_07885
ko:K01834	kpq:KPR0928_07890
ko:K01785	kpq:KPR0928_07895
ko:K00849	kpq:KPR0928_07900
ko:K00965	kpq:KPR0928_07905
ko:K01784	kpq:KPR0928_07910
ko:K05776	kpq:KPR0928_07915
ko:K02019	kpq:KPR0928_07920
ko:K02020	kpq:KPR0928_07930
ko:K02018	kpq:KPR0928_07935
ko:K02017	kpq:KPR0928_07940
ko:K07404	kpq:KPR0928_07955
ko:K01051	kpq:KPR0928_08010
ko:K01468	kpq:KPR0928_08015
ko:K01479	kpq:KPR0928_08020
ko:K05836	kpq:KPR0928_08025
ko:K01712	kpq:KPR0928_08030
ko:K01745	kpq:KPR0928_08035
ko:K16234	kpq:KPR0928_08040
ko:K06910	kpq:KPR0928_08045
ko:K00833	kpq:KPR0928_08050
ko:K01012	kpq:KPR0928_08055
ko:K10111	kpq:KPR0928_01410
ko:K02024	kpq:KPR0928_01415
ko:K05775	kpq:KPR0928_01420
ko:K03181	kpq:KPR0928_01425
ko:K03179	kpq:KPR0928_01430
ko:K00631	kpq:KPR0928_01435
ko:K00901	kpq:KPR0928_01440
ko:K01356	kpq:KPR0928_01445
ko:K03327	kpq:KPR0928_01450
ko:K09823	kpq:KPR0928_01460
ko:K05539	kpq:KPR0928_01470
ko:K01775	kpq:KPR0928_01490
ko:K00832	kpq:KPR0928_01495
ko:K03788	kpq:KPR0928_01500
ko:K03701	kpq:KPR0928_01515
ko:K18325	kpq:KPR0928_01535
ko:K07277	kpq:KPR0928_01550
ko:K01092	kpq:KPR0928_01560
ko:K13631	kpq:KPR0928_01605
ko:K13639	kpq:KPR0928_01610
ko:K00799	kpq:KPR0928_01615
ko:K06901	kpq:KPR0928_01620
ko:K03316	kpq:KPR0928_01625
ko:K06518	kpq:KPR0928_01635
ko:K07347	kpq:KPR0928_01655
ko:K14393	kpq:KPR0928_01670
ko:K01895	kpq:KPR0928_01680
ko:K11102	kpq:KPR0928_01685
ko:K07126	kpq:KPR0928_01690
ko:K02909	kpq:KPR0928_05815
ko:K02919	kpq:KPR0928_05820
ko:K00375	kpq:KPR0928_05830
ko:K00661	kpq:KPR0928_05840
ko:K18138	kpq:KPR0928_05855
ko:K03585	kpq:KPR0928_05860
ko:K03577	kpq:KPR0928_05865
ko:K05802	kpq:KPR0928_05870
ko:K04067	kpq:KPR0928_05885
ko:K09790	kpq:KPR0928_05890
ko:K00759	kpq:KPR0928_05895
ko:K02343	kpq:KPR0928_05900
ko:K09747	kpq:KPR0928_05905
ko:K06187	kpq:KPR0928_05910
ko:K04079	kpq:KPR0928_05915
ko:K00939	kpq:KPR0928_05920
ko:K01772	kpq:KPR0928_05925
ko:K00892	kpq:KPR0928_05930
ko:K03455	kpq:KPR0928_05935
ko:K08223	kpq:KPR0928_05945
ko:K11751	kpq:KPR0928_05950
ko:K09973	kpq:KPR0928_05960
ko:K17686	kpq:KPR0928_05965
ko:K07340	kpq:KPR0928_05975
ko:K02068	kpq:KPR0928_05985
ko:K02069	kpq:KPR0928_05990
ko:K05838	kpq:KPR0928_05995
ko:K10804	kpq:KPR0928_06005
ko:K02003	kpq:KPR0928_06010
ko:K02004	kpq:KPR0928_06015
ko:K06917	kpq:KPR0928_06025
ko:K01589	kpq:KPR0928_06030
ko:K01588	kpq:KPR0928_06035
ko:K03269	kpq:KPR0928_06045
ko:K03768	kpq:KPR0928_06050
ko:K01883	kpq:KPR0928_06055
ko:K14761	kpq:KPR0928_06060
ko:K01491	kpq:KPR0928_06065
ko:K03449	kpq:KPR0928_10400
ko:K00652	kpq:KPR0928_08060
ko:K02169	kpq:KPR0928_08065
ko:K01935	kpq:KPR0928_08070
ko:K11743	kpq:KPR0928_12355
ko:K11742	kpq:KPR0928_12360
ko:K04775	kpq:KPR0928_12370
ko:K01299	kpq:KPR0928_12390
ko:K08224	kpq:KPR0928_12395
ko:K15545	kpq:KPR0928_12405
ko:K01935	kpq:KPR0928_12410
ko:K03281	kpq:KPR0928_12415
ko:K07312	kpq:KPR0928_12425
ko:K07307	kpq:KPR0928_12430
ko:K07309	kpq:KPR0928_12435
ko:K00657	kpq:KPR0928_12450
ko:K09771	kpq:KPR0928_12460
ko:K00040	kpq:KPR0928_12470
ko:K11932	kpq:KPR0928_12475
ko:K16066	kpq:KPR0928_12485
ko:K01284	kpq:KPR0928_12490
ko:K04080	kpq:KPR0928_12535
ko:K03299	kpq:KPR0928_12575
ko:K02532	kpq:KPR0928_12620
ko:K01190	kpq:KPR0928_12625
ko:K13633	kpq:KPR0928_12645
ko:K00549	kpq:KPR0928_12655
ko:K11959	kpq:KPR0928_12660
ko:K01176	kpq:KPR0928_16840
ko:K07781	kpq:KPR0928_16850
ko:K09781	kpq:KPR0928_16870
ko:K07458	kpq:KPR0928_16880
ko:K06950	kpq:KPR0928_16890
ko:K09933	kpq:KPR0928_16910
ko:K13635	kpq:KPR0928_16940
ko:K03316	kpq:KPR0928_16955
ko:K16137	kpq:KPR0928_16960
ko:K01241	kpq:KPR0928_16985
ko:K07316	kpq:KPR0928_17025
ko:K01156	kpq:KPR0928_17030
ko:K07345	kpq:KPR0928_21150
ko:K07357	kpq:KPR0928_21180
ko:K07358	kpq:KPR0928_21195
ko:K07345	kpq:KPR0928_21200
ko:K07351	kpq:KPR0928_21205
ko:K07346	kpq:KPR0928_21210
ko:K07347	kpq:KPR0928_21215
ko:K07348	kpq:KPR0928_21220
ko:K07349	kpq:KPR0928_21225
ko:K07350	kpq:KPR0928_21230
ko:K06975	kpq:KPR0928_21240
ko:K15549	kpq:KPR0928_21255
ko:K15547	kpq:KPR0928_21260
ko:K15550	kpq:KPR0928_21265
ko:K03305	kpq:KPR0928_21275
ko:K00537	kpq:KPR0928_21280
ko:K03893	kpq:KPR0928_21285
ko:K09702	kpq:KPR0928_21300
ko:K01607	kpq:KPR0928_21325
ko:K08169	kpq:KPR0928_21335
ko:K12943	kpq:KPR0928_21345
ko:K01823	kpq:KPR0928_21350
ko:K04567	kpq:KPR0928_21355
ko:K02836	kpq:KPR0928_21360
ko:K07462	kpq:KPR0928_21365
ko:K03981	kpq:KPR0928_21370
ko:K04763	kpq:KPR0928_21375
ko:K03840	kpq:KPR0928_21380
ko:K09159	kpq:KPR0928_21390
ko:K06980	kpq:KPR0928_21395
ko:K11068	kpq:KPR0928_21400
ko:K09900	kpq:KPR0928_21405
ko:K01223	kpq:KPR0928_21415
ko:K08344	kpq:KPR0928_21430
ko:K07726	kpq:KPR0928_25540
ko:K07784	kpq:KPR0928_25550
ko:K07783	kpq:KPR0928_25555
ko:K07675	kpq:KPR0928_25560
ko:K01653	kpq:KPR0928_25570
ko:K01652	kpq:KPR0928_25575
ko:K08154	kpq:KPR0928_25600
ko:K13636	kpq:KPR0928_25605
ko:K13629	kpq:KPR0928_25610
ko:K01753	kpq:KPR0928_25615
ko:K06871	kpq:KPR0928_25620
ko:K00389	kpq:KPR0928_25630
ko:K01232	kpq:KPR0928_25635
ko:K02749	kpq:KPR0928_25640
ko:K02750	kpq:KPR0928_25640
ko:K03482	kpq:KPR0928_25645
ko:K07085	kpq:KPR0928_25650
ko:K04081	kpq:KPR0928_25660
ko:K04080	kpq:KPR0928_25665
ko:K08194	kpq:KPR0928_25680
ko:K01684	kpq:KPR0928_25685
ko:K01631	kpq:KPR0928_25690
ko:K00883	kpq:KPR0928_25695
ko:K02470	kpq:KPR0928_25720
ko:K03629	kpq:KPR0928_25725
ko:K02338	kpq:KPR0928_25730
ko:K02313	kpq:KPR0928_25735
ko:K02914	kpq:KPR0928_25740
ko:K08998	kpq:KPR0928_25750
ko:K03217	kpq:KPR0928_25755
ko:K03650	kpq:KPR0928_25760
ko:K08163	kpq:KPR0928_25770
ko:K06901	kpq:KPR0928_25790
ko:K07214	kpq:KPR0928_25805
ko:K00432	kpq:KPR0928_10470
ko:K09786	kpq:KPR0928_10480
ko:K07180	kpq:KPR0928_10485
ko:K01792	kpq:KPR0928_10500
ko:K00134	kpq:KPR0928_10505
ko:K07305	kpq:KPR0928_10510
ko:K09916	kpq:KPR0928_10515
ko:K01183	kpq:KPR0928_10525
ko:K08369	kpq:KPR0928_10535
ko:K18471	kpq:KPR0928_10555
ko:K08369	kpq:KPR0928_10565
ko:K08281	kpq:KPR0928_10570
ko:K01424	kpq:KPR0928_10575
ko:K04773	kpq:KPR0928_10580
ko:K09474	kpq:KPR0928_10600
ko:K01008	kpq:KPR0928_10605
ko:K00262	kpq:KPR0928_10620
ko:K08320	kpq:KPR0928_10625
ko:K05779	kpq:KPR0928_10640
ko:K05778	kpq:KPR0928_10645
ko:K05777	kpq:KPR0928_10650
ko:K01142	kpq:KPR0928_10670
ko:K17737	kpq:KPR0928_14945
ko:K01028	kpq:KPR0928_14950
ko:K01029	kpq:KPR0928_14955
ko:K00626	kpq:KPR0928_14960
ko:K00074	kpq:KPR0928_14965
ko:K00019	kpq:KPR0928_14975
ko:K01575	kpq:KPR0928_14985
ko:K01652	kpq:KPR0928_14990
ko:K03366	kpq:KPR0928_14995
ko:K18144	kpq:KPR0928_15020
ko:K18143	kpq:KPR0928_15025
ko:K03832	kpq:KPR0928_15040
ko:K02200	kpq:KPR0928_15060
ko:K02199	kpq:KPR0928_15065
ko:K02198	kpq:KPR0928_15070
ko:K02197	kpq:KPR0928_15075
ko:K02196	kpq:KPR0928_15080
ko:K02195	kpq:KPR0928_15085
ko:K02194	kpq:KPR0928_15090
ko:K02193	kpq:KPR0928_15095
ko:K06151	kpq:KPR0928_15105
ko:K06152	kpq:KPR0928_15110
ko:K02010	kpq:KPR0928_15120
ko:K02011	kpq:KPR0928_15125
ko:K02012	kpq:KPR0928_15130
ko:K13574	kpq:KPR0928_15135
ko:K02028	kpq:KPR0928_15175
ko:K02029	kpq:KPR0928_15180
ko:K02030	kpq:KPR0928_15185
ko:K02016	kpq:KPR0928_15195
ko:K02015	kpq:KPR0928_15200
ko:K15977	kpq:KPR0928_19270
ko:K00600	kpq:KPR0928_19275
ko:K05916	kpq:KPR0928_19280
ko:K04751	kpq:KPR0928_19285
ko:K07715	kpq:KPR0928_19290
ko:K07711	kpq:KPR0928_19300
ko:K01952	kpq:KPR0928_19305
ko:K11991	kpq:KPR0928_19320
ko:K00997	kpq:KPR0928_19340
ko:K03474	kpq:KPR0928_19345
ko:K03584	kpq:KPR0928_19350
ko:K03685	kpq:KPR0928_19360
ko:K03100	kpq:KPR0928_19365
ko:K03596	kpq:KPR0928_19370
ko:K03803	kpq:KPR0928_19375
ko:K03598	kpq:KPR0928_19380
ko:K03597	kpq:KPR0928_19385
ko:K03088	kpq:KPR0928_19390
ko:K00278	kpq:KPR0928_19395
ko:K15460	kpq:KPR0928_19400
ko:K05590	kpq:KPR0928_19405
ko:K03648	kpq:KPR0928_19415
ko:K03214	kpq:KPR0928_19420
ko:K03672	kpq:KPR0928_19425
ko:K05812	kpq:KPR0928_19430
ko:K00998	kpq:KPR0928_19440
ko:K05811	kpq:KPR0928_19445
ko:K03695	kpq:KPR0928_19475
ko:K05810	kpq:KPR0928_19480
ko:K06180	kpq:KPR0928_19485
ko:K05807	kpq:KPR0928_19490
ko:K05809	kpq:KPR0928_19495
ko:K14170	kpq:KPR0928_19500
ko:K14187	kpq:KPR0928_19510
ko:K01626	kpq:KPR0928_19515
ko:K02907	kpq:KPR0928_23675
ko:K02988	kpq:KPR0928_23680
ko:K02881	kpq:KPR0928_23685
ko:K02933	kpq:KPR0928_23690
ko:K02994	kpq:KPR0928_23695
ko:K02954	kpq:KPR0928_23700
ko:K02931	kpq:KPR0928_23705
ko:K02895	kpq:KPR0928_23710
ko:K02874	kpq:KPR0928_23715
ko:K02961	kpq:KPR0928_23720
ko:K02904	kpq:KPR0928_23725
ko:K02878	kpq:KPR0928_23730
ko:K02982	kpq:KPR0928_23735
ko:K02890	kpq:KPR0928_23740
ko:K02965	kpq:KPR0928_23745
ko:K02886	kpq:KPR0928_23750
ko:K02892	kpq:KPR0928_23755
ko:K02926	kpq:KPR0928_23760
ko:K02906	kpq:KPR0928_23765
ko:K02946	kpq:KPR0928_23770
ko:K02506	kpq:KPR0928_23775
ko:K03594	kpq:KPR0928_23780
ko:K02192	kpq:KPR0928_23785
ko:K02358	kpq:KPR0928_23790
ko:K02355	kpq:KPR0928_23795
ko:K02992	kpq:KPR0928_23800
ko:K02950	kpq:KPR0928_23805
ko:K07237	kpq:KPR0928_23810
ko:K07236	kpq:KPR0928_23815
ko:K07235	kpq:KPR0928_23820
ko:K03772	kpq:KPR0928_23830
ko:K03745	kpq:KPR0928_23835
ko:K03775	kpq:KPR0928_23840
ko:K07070	kpq:KPR0928_23845
ko:K11747	kpq:KPR0928_23850
ko:K06158	kpq:KPR0928_23860
ko:K07019	kpq:KPR0928_23865
ko:K09898	kpq:KPR0928_23870
ko:K00855	kpq:KPR0928_23875
ko:K07397	kpq:KPR0928_23880
ko:K10914	kpq:KPR0928_23885
ko:K01664	kpq:KPR0928_23900
ko:K04095	kpq:KPR0928_23905
ko:K03767	kpq:KPR0928_23915
ko:K06141	kpq:KPR0928_23920
ko:K01485	kpq:KPR0928_23925
ko:K00362	kpq:KPR0928_23930
ko:K00363	kpq:KPR0928_23935
ko:K02302	kpq:KPR0928_23940
ko:K13409	kpq:KPR0928_01975
ko:K13408	kpq:KPR0928_01980
ko:K07347	kpq:KPR0928_02000
ko:K02356	kpq:KPR0928_02035
ko:K16347	kpq:KPR0928_02040
ko:K16348	kpq:KPR0928_02045
ko:K03098	kpq:KPR0928_02055
ko:K00247	kpq:KPR0928_02060
ko:K02760	kpq:KPR0928_02540
ko:K01222	kpq:KPR0928_02545
ko:K02761	kpq:KPR0928_02550
ko:K01226	kpq:KPR0928_02555
ko:K02818	kpq:KPR0928_02560
ko:K02819	kpq:KPR0928_02560
ko:K03485	kpq:KPR0928_02565
ko:K01531	kpq:KPR0928_02570
ko:K09022	kpq:KPR0928_02575
ko:K00610	kpq:KPR0928_02580
ko:K00609	kpq:KPR0928_02585
ko:K03710	kpq:KPR0928_02615
ko:K00611	kpq:KPR0928_02620
ko:K09893	kpq:KPR0928_02625
ko:K06169	kpq:KPR0928_02630
ko:K03828	kpq:KPR0928_02635
ko:K01873	kpq:KPR0928_02640
ko:K02339	kpq:KPR0928_02645
ko:K01255	kpq:KPR0928_02650
ko:K07091	kpq:KPR0928_02655
ko:K11720	kpq:KPR0928_02660
ko:K06915	kpq:KPR0928_02665
ko:K06606	kpq:KPR0928_02670
ko:K03337	kpq:KPR0928_02680
ko:K03338	kpq:KPR0928_02715
ko:K03336	kpq:KPR0928_02720
ko:K00010	kpq:KPR0928_02725
ko:K06605	kpq:KPR0928_02730
ko:K03335	kpq:KPR0928_02735
ko:K05813	kpq:KPR0928_02740
ko:K05816	kpq:KPR0928_02745
ko:K05815	kpq:KPR0928_02755
ko:K05814	kpq:KPR0928_02760
ko:K12957	kpq:KPR0928_02765
ko:K01673	kpq:KPR0928_02775
ko:K02167	kpq:KPR0928_06995
ko:K02168	kpq:KPR0928_07000
ko:K16053	kpq:KPR0928_07010
ko:K03566	kpq:KPR0928_07015
ko:K17203	kpq:KPR0928_07035
ko:K17204	kpq:KPR0928_07040
ko:K17202	kpq:KPR0928_07050
ko:K00864	kpq:KPR0928_07055
ko:K00615	kpq:KPR0928_07065
ko:K00615	kpq:KPR0928_07070
ko:K02362	kpq:KPR0928_07075
ko:K07214	kpq:KPR0928_07085
ko:K02364	kpq:KPR0928_07095
ko:K02013	kpq:KPR0928_07100
ko:K02015	kpq:KPR0928_07105
ko:K02015	kpq:KPR0928_07110
ko:K08225	kpq:KPR0928_07115
ko:K02016	kpq:KPR0928_07120
ko:K02361	kpq:KPR0928_07125
ko:K02363	kpq:KPR0928_07130
ko:K01252	kpq:KPR0928_07135
ko:K00216	kpq:KPR0928_07140
ko:K06200	kpq:KPR0928_07150
ko:K08317	kpq:KPR0928_07175
ko:K02056	kpq:KPR0928_07185
ko:K02057	kpq:KPR0928_07190
ko:K02058	kpq:KPR0928_07195
ko:K00899	kpq:KPR0928_07205
ko:K08963	kpq:KPR0928_07210
ko:K01093	kpq:KPR0928_07215
ko:K07783	kpq:KPR0928_07220
