ko:K19744	pdk:PADK2_05005
ko:K01756	pdk:PADK2_06785
ko:K10773	pdk:PADK2_06800
ko:K09983	pdk:PADK2_00295
ko:K04063	pdk:PADK2_00315
ko:K01874	pdk:PADK2_06850
ko:K02004	pdk:PADK2_00380
ko:K01494	pdk:PADK2_06860
ko:K01713	pdk:PADK2_06885
ko:K05786	pdk:PADK2_06895
ko:K00647	pdk:PADK2_00510
ko:K16053	pdk:PADK2_06920
ko:K08369	pdk:PADK2_06925
ko:K01953	pdk:PADK2_06965
ko:K07090	pdk:PADK2_06975
ko:K15461	pdk:PADK2_06980
ko:K09915	pdk:PADK2_06995
ko:K00116	pdk:PADK2_07000
ko:K15553	pdk:PADK2_07015
ko:K15554	pdk:PADK2_07020
ko:K00299	pdk:PADK2_07030
ko:K15553	pdk:PADK2_07035
ko:K15554	pdk:PADK2_07045
ko:K09948	pdk:PADK2_07065
ko:K07589	pdk:PADK2_07070
ko:K01495	pdk:PADK2_07075
ko:K13938	pdk:PADK2_07080
ko:K09932	pdk:PADK2_07085
ko:K06205	pdk:PADK2_07090
ko:K02014	pdk:PADK2_12915
ko:K07214	pdk:PADK2_12960
ko:K02014	pdk:PADK2_15205
ko:K08964	pdk:PADK2_17290
ko:K06889	pdk:PADK2_17305
ko:K03386	pdk:PADK2_21465
ko:K05595	pdk:PADK2_25770
ko:K07665	pdk:PADK2_25915
ko:K00508	pdk:PADK2_25930
ko:K06995	pdk:PADK2_07135
ko:K00263	pdk:PADK2_07170
ko:K00161	pdk:PADK2_07175
ko:K00162	pdk:PADK2_07180
ko:K00627	pdk:PADK2_07185
ko:K09918	pdk:PADK2_07200
ko:K03088	pdk:PADK2_07215
ko:K16152	pdk:PADK2_07225
ko:K12536	pdk:PADK2_07235
ko:K12537	pdk:PADK2_07240
ko:K01993	pdk:PADK2_07260
ko:K11735	pdk:PADK2_00660
ko:K02274	pdk:PADK2_00545
ko:K02258	pdk:PADK2_00550
ko:K02348	pdk:PADK2_00590
ko:K02056	pdk:PADK2_00690
ko:K03386	pdk:PADK2_00705
ko:K02014	pdk:PADK2_00765
ko:K01885	pdk:PADK2_08660
ko:K01561	pdk:PADK2_15220
ko:K02014	pdk:PADK2_15295
ko:K00799	pdk:PADK2_17430
ko:K03406	pdk:PADK2_17475
ko:K01482	pdk:PADK2_19665
ko:K01560	pdk:PADK2_21630
ko:K03406	pdk:PADK2_26065
ko:K01916	pdk:PADK2_26090
ko:K03442	pdk:PADK2_26115
ko:K01011	pdk:PADK2_26270
ko:K03316	pdk:PADK2_06040
ko:K00121	pdk:PADK2_06195
ko:K03087	pdk:PADK2_06230
ko:K05524	pdk:PADK2_06235
ko:K03743	pdk:PADK2_06250
ko:K11069	pdk:PADK2_06290
ko:K13777	pdk:PADK2_09915
ko:K13779	pdk:PADK2_09920
ko:K11731	pdk:PADK2_09925
ko:K13778	pdk:PADK2_09930
ko:K13774	pdk:PADK2_09935
ko:K00569	pdk:PADK2_10215
ko:K03406	pdk:PADK2_12365
ko:K03406	pdk:PADK2_12415
ko:K07240	pdk:PADK2_14310
ko:K06889	pdk:PADK2_14565
ko:K03768	pdk:PADK2_16715
ko:K02018	pdk:PADK2_16345
ko:K00381	pdk:PADK2_16475
ko:K03286	pdk:PADK2_16795
ko:K07090	pdk:PADK2_16545
ko:K03426	pdk:PADK2_16550
ko:K03314	pdk:PADK2_16565
ko:K02052	pdk:PADK2_08055
ko:K01584	pdk:PADK2_16575
ko:K04765	pdk:PADK2_21030
ko:K08305	pdk:PADK2_23150
ko:K01652	pdk:PADK2_18625
ko:K11073	pdk:PADK2_18660
ko:K06969	pdk:PADK2_18675
ko:K01923	pdk:PADK2_20675
ko:K07287	pdk:PADK2_20685
ko:K01714	pdk:PADK2_20690
ko:K03567	pdk:PADK2_20695
ko:K03564	pdk:PADK2_20700
ko:K03517	pdk:PADK2_20720
ko:K02427	pdk:PADK2_25230
ko:K01657	pdk:PADK2_20735
ko:K07347	pdk:PADK2_20775
ko:K06199	pdk:PADK2_22840
ko:K04077	pdk:PADK2_22850
ko:K04078	pdk:PADK2_22855
ko:K07113	pdk:PADK2_22860
ko:K07226	pdk:PADK2_22865
ko:K03711	pdk:PADK2_25290
ko:K07443	pdk:PADK2_22890
ko:K08218	pdk:PADK2_22895
ko:K00101	pdk:PADK2_25325
ko:K09767	pdk:PADK2_22905
ko:K00077	pdk:PADK2_22915
ko:K00798	pdk:PADK2_22925
ko:K00620	pdk:PADK2_22940
ko:K08978	pdk:PADK2_28965
ko:K03070	pdk:PADK2_22945
ko:K01653	pdk:PADK2_24940
ko:K01652	pdk:PADK2_24945
ko:K05365	pdk:PADK2_24965
ko:K13590	pdk:PADK2_29175
ko:K02013	pdk:PADK2_24995
ko:K02015	pdk:PADK2_25000
ko:K02016	pdk:PADK2_25005
ko:K07225	pdk:PADK2_25010
ko:K16087	pdk:PADK2_25015
ko:K14261	pdk:PADK2_25040
ko:K09815	pdk:PADK2_29230
ko:K06901	pdk:PADK2_25065
ko:K04761	pdk:PADK2_28455
ko:K03655	pdk:PADK2_28460
ko:K05787	pdk:PADK2_28475
ko:K05297	pdk:PADK2_28480
ko:K11477	pdk:PADK2_28495
ko:K11473	pdk:PADK2_28500
ko:K11472	pdk:PADK2_28505
ko:K11474	pdk:PADK2_28515
ko:K03181	pdk:PADK2_28520
ko:K03179	pdk:PADK2_28525
ko:K07636	pdk:PADK2_28540
ko:K02039	pdk:PADK2_28560
ko:K02036	pdk:PADK2_28565
ko:K02038	pdk:PADK2_28570
ko:K02037	pdk:PADK2_28575
ko:K02040	pdk:PADK2_28580
ko:K10806	pdk:PADK2_28590
ko:K02167	pdk:PADK2_28605
ko:K02168	pdk:PADK2_28610
ko:K02000	pdk:PADK2_28615
ko:K02001	pdk:PADK2_28620
ko:K02002	pdk:PADK2_28625
ko:K01752	pdk:PADK2_28630
ko:K07107	pdk:PADK2_28660
ko:K02002	pdk:PADK2_28675
ko:K01438	pdk:PADK2_28685
ko:K02362	pdk:PADK2_19820
ko:K07090	pdk:PADK2_21730
ko:K01118	pdk:PADK2_21765
ko:K13821	pdk:PADK2_21780
ko:K01338	pdk:PADK2_21795
ko:K15256	pdk:PADK2_21815
ko:K15257	pdk:PADK2_21820
ko:K03474	pdk:PADK2_21825
ko:K03584	pdk:PADK2_21830
ko:K03685	pdk:PADK2_21840
ko:K03100	pdk:PADK2_21850
ko:K03596	pdk:PADK2_21855
ko:K02669	pdk:PADK2_23825
ko:K07038	pdk:PADK2_26300
ko:K09857	pdk:PADK2_26305
ko:K02621	pdk:PADK2_26310
ko:K06985	pdk:PADK2_26315
ko:K02622	pdk:PADK2_26325
ko:K07000	pdk:PADK2_26330
ko:K03651	pdk:PADK2_26335
ko:K09920	pdk:PADK2_26340
ko:K03147	pdk:PADK2_26355
ko:K12340	pdk:PADK2_26360
ko:K12252	pdk:PADK2_26370
ko:K15866	pdk:PADK2_26390
ko:K02205	pdk:PADK2_26395
ko:K02527	pdk:PADK2_26435
ko:K03272	pdk:PADK2_26475
ko:K00612	pdk:PADK2_26520
ko:K02848	pdk:PADK2_26540
ko:K02844	pdk:PADK2_26545
ko:K02841	pdk:PADK2_26550
ko:K00528	pdk:PADK2_07285
ko:K07218	pdk:PADK2_07305
ko:K00376	pdk:PADK2_07310
ko:K02041	pdk:PADK2_07350
ko:K02044	pdk:PADK2_07355
ko:K02042	pdk:PADK2_07360
ko:K02043	pdk:PADK2_07365
ko:K02014	pdk:PADK2_02365
ko:K02238	pdk:PADK2_09435
ko:K01104	pdk:PADK2_09465
ko:K06179	pdk:PADK2_09480
ko:K00059	pdk:PADK2_09520
ko:K02619	pdk:PADK2_09535
ko:K11179	pdk:PADK2_11620
ko:K04091	pdk:PADK2_11660
ko:K02051	pdk:PADK2_11665
ko:K03088	pdk:PADK2_07870
ko:K09930	pdk:PADK2_07885
ko:K09929	pdk:PADK2_07890
ko:K09771	pdk:PADK2_07925
ko:K03724	pdk:PADK2_07940
ko:K01591	pdk:PADK2_09995
ko:K03924	pdk:PADK2_10000
ko:K03424	pdk:PADK2_10045
ko:K15977	pdk:PADK2_10055
ko:K01975	pdk:PADK2_10070
ko:K04760	pdk:PADK2_10080
ko:K02003	pdk:PADK2_10090
ko:K10804	pdk:PADK2_10095
ko:K03101	pdk:PADK2_12225
ko:K01534	pdk:PADK2_12230
ko:K07798	pdk:PADK2_14425
ko:K07787	pdk:PADK2_14430
ko:K07665	pdk:PADK2_12630
ko:K15725	pdk:PADK2_12635
ko:K15727	pdk:PADK2_12640
ko:K06889	pdk:PADK2_14825
ko:K00616	pdk:PADK2_10435
ko:K07027	pdk:PADK2_14895
ko:K00700	pdk:PADK2_14900
ko:K01782	pdk:PADK2_17005
ko:K00626	pdk:PADK2_17010
ko:K01714	pdk:PADK2_01100
ko:K01628	pdk:PADK2_01105
ko:K01040	pdk:PADK2_01120
ko:K07823	pdk:PADK2_01125
ko:K01857	pdk:PADK2_01135
ko:K01055	pdk:PADK2_01140
ko:K01011	pdk:PADK2_19180
ko:K08195	pdk:PADK2_01160
ko:K08167	pdk:PADK2_19235
ko:K08191	pdk:PADK2_01190
ko:K00457	pdk:PADK2_01200
ko:K00014	pdk:PADK2_01210
ko:K03786	pdk:PADK2_01215
ko:K00481	pdk:PADK2_01225
ko:K03827	pdk:PADK2_01235
ko:K03182	pdk:PADK2_01260
ko:K11903	pdk:PADK2_01310
ko:K00375	pdk:PADK2_01330
ko:K03449	pdk:PADK2_01355
ko:K09977	pdk:PADK2_08890
ko:K00858	pdk:PADK2_08895
ko:K09916	pdk:PADK2_08910
ko:K01256	pdk:PADK2_08920
ko:K11689	pdk:PADK2_21275
ko:K11688	pdk:PADK2_21280
ko:K01607	pdk:PADK2_23360
ko:K03924	pdk:PADK2_08985
ko:K15371	pdk:PADK2_08995
ko:K11073	pdk:PADK2_11095
ko:K01738	pdk:PADK2_11105
ko:K09989	pdk:PADK2_11125
ko:K03671	pdk:PADK2_11180
ko:K00127	pdk:PADK2_25525
ko:K03885	pdk:PADK2_11195
ko:K06160	pdk:PADK2_13280
ko:K00124	pdk:PADK2_25530
ko:K05685	pdk:PADK2_13315
ko:K13888	pdk:PADK2_13320
ko:K03088	pdk:PADK2_13330
ko:K00219	pdk:PADK2_25550
ko:K07302	pdk:PADK2_13370
ko:K07303	pdk:PADK2_13375
ko:K05800	pdk:PADK2_15505
ko:K14347	pdk:PADK2_15515
ko:K02116	pdk:PADK2_29545
ko:K00963	pdk:PADK2_15530
ko:K00012	pdk:PADK2_15535
ko:K01969	pdk:PADK2_15580
ko:K13766	pdk:PADK2_15585
ko:K01968	pdk:PADK2_15590
ko:K01640	pdk:PADK2_15595
ko:K00451	pdk:PADK2_15605
ko:K01555	pdk:PADK2_15610
ko:K08195	pdk:PADK2_15620
ko:K01716	pdk:PADK2_17660
ko:K00606	pdk:PADK2_17720
ko:K04079	pdk:PADK2_17730
ko:K03311	pdk:PADK2_17755
ko:K16088	pdk:PADK2_03565
ko:K13063	pdk:PADK2_03600
ko:K01626	pdk:PADK2_03610
ko:K00459	pdk:PADK2_03660
ko:K01921	pdk:PADK2_03665
ko:K02029	pdk:PADK2_03700
ko:K02029	pdk:PADK2_03705
ko:K01714	pdk:PADK2_03730
ko:K08368	pdk:PADK2_03735
ko:K06966	pdk:PADK2_03740
ko:K08159	pdk:PADK2_03750
ko:K09930	pdk:PADK2_03790
ko:K09929	pdk:PADK2_03795
ko:K07267	pdk:PADK2_03830
ko:K09956	pdk:PADK2_03875
ko:K01845	pdk:PADK2_03885
ko:K07345	pdk:PADK2_03895
ko:K07347	pdk:PADK2_03905
ko:K07687	pdk:PADK2_03925
ko:K00067	pdk:PADK2_03980
ko:K07275	pdk:PADK2_03995
ko:K09950	pdk:PADK2_04000
ko:K02003	pdk:PADK2_04010
ko:K05838	pdk:PADK2_04025
ko:K07738	pdk:PADK2_04040
ko:K11752	pdk:PADK2_04045
ko:K00793	pdk:PADK2_04050
ko:K14652	pdk:PADK2_04055
ko:K00794	pdk:PADK2_04060
ko:K03625	pdk:PADK2_04065
ko:K00946	pdk:PADK2_04070
ko:K01095	pdk:PADK2_04075
ko:K06985	pdk:PADK2_04085
ko:K01662	pdk:PADK2_04105
ko:K13789	pdk:PADK2_04110
ko:K03602	pdk:PADK2_04115
ko:K06188	pdk:PADK2_04155
ko:K09933	pdk:PADK2_04175
ko:K03975	pdk:PADK2_04180
ko:K03736	pdk:PADK2_04200
ko:K03735	pdk:PADK2_04205
ko:K02558	pdk:PADK2_04225
ko:K03186	pdk:PADK2_04230
ko:K07157	pdk:PADK2_04265
ko:K03652	pdk:PADK2_04275
ko:K00147	pdk:PADK2_04290
ko:K00969	pdk:PADK2_04295
ko:K09710	pdk:PADK2_04300
ko:K00783	pdk:PADK2_04305
ko:K05515	pdk:PADK2_04310
ko:K05837	pdk:PADK2_04315
ko:K03642	pdk:PADK2_04325
ko:K09158	pdk:PADK2_04335
ko:K03801	pdk:PADK2_04340
ko:K03644	pdk:PADK2_04345
ko:K09890	pdk:PADK2_04370
ko:K02340	pdk:PADK2_04375
ko:K03643	pdk:PADK2_04380
ko:K01869	pdk:PADK2_04385
ko:K04091	pdk:PADK2_11670
ko:K02014	pdk:PADK2_11710
ko:K02014	pdk:PADK2_13830
ko:K09684	pdk:PADK2_16065
ko:K02014	pdk:PADK2_16090
ko:K02200	pdk:PADK2_18310
ko:K02200	pdk:PADK2_18315
ko:K14335	pdk:PADK2_22465
ko:K06986	pdk:PADK2_22470
ko:K00564	pdk:PADK2_24580
ko:K03406	pdk:PADK2_24610
ko:K04750	pdk:PADK2_24660
ko:K02824	pdk:PADK2_24690
ko:K01262	pdk:PADK2_27640
ko:K01934	pdk:PADK2_27660
ko:K01719	pdk:PADK2_27825
ko:K03406	pdk:PADK2_22455
ko:K03406	pdk:PADK2_22460
ko:K11071	pdk:PADK2_06300
ko:K11072	pdk:PADK2_06305
ko:K05812	pdk:PADK2_06310
ko:K00626	pdk:PADK2_06395
ko:K07213	pdk:PADK2_06475
ko:K00882	pdk:PADK2_06560
ko:K02169	pdk:PADK2_02530
ko:K01935	pdk:PADK2_02535
ko:K02170	pdk:PADK2_02525
ko:K07338	pdk:PADK2_22780
ko:K02014	pdk:PADK2_24835
ko:K02035	pdk:PADK2_28320
ko:K02164	pdk:PADK2_02620
ko:K02305	pdk:PADK2_02630
ko:K04561	pdk:PADK2_02635
ko:K02448	pdk:PADK2_02640
ko:K06872	pdk:PADK2_02705
ko:K03744	pdk:PADK2_02710
ko:K08307	pdk:PADK2_16605
ko:K13893	pdk:PADK2_16610
ko:K13893	pdk:PADK2_16615
ko:K13894	pdk:PADK2_16620
ko:K13895	pdk:PADK2_16625
ko:K13896	pdk:PADK2_16630
ko:K00208	pdk:PADK2_16635
ko:K03770	pdk:PADK2_16640
ko:K03530	pdk:PADK2_16645
ko:K01338	pdk:PADK2_16650
ko:K03544	pdk:PADK2_16655
ko:K01358	pdk:PADK2_16660
ko:K03545	pdk:PADK2_16665
ko:K01491	pdk:PADK2_16700
ko:K01883	pdk:PADK2_16705
ko:K00906	pdk:PADK2_18775
ko:K03473	pdk:PADK2_18785
ko:K09458	pdk:PADK2_18795
ko:K03088	pdk:PADK2_18815
ko:K03327	pdk:PADK2_18825
ko:K11939	pdk:PADK2_18830
ko:K03088	pdk:PADK2_18880
ko:K06920	pdk:PADK2_20810
ko:K10026	pdk:PADK2_20815
ko:K03640	pdk:PADK2_20825
ko:K03641	pdk:PADK2_20830
ko:K03562	pdk:PADK2_20845
ko:K01075	pdk:PADK2_20850
ko:K03551	pdk:PADK2_20855
ko:K03550	pdk:PADK2_20860
ko:K01159	pdk:PADK2_20865
ko:K01876	pdk:PADK2_20875
ko:K04047	pdk:PADK2_20880
ko:K03704	pdk:PADK2_20885
ko:K03745	pdk:PADK2_20890
ko:K01881	pdk:PADK2_20910
ko:K02535	pdk:PADK2_22960
ko:K03531	pdk:PADK2_22965
ko:K03590	pdk:PADK2_22970
ko:K03589	pdk:PADK2_22975
ko:K01921	pdk:PADK2_22980
ko:K01924	pdk:PADK2_22985
ko:K02563	pdk:PADK2_22990
ko:K03588	pdk:PADK2_22995
ko:K01925	pdk:PADK2_23000
ko:K01000	pdk:PADK2_23005
ko:K01929	pdk:PADK2_23010
ko:K01928	pdk:PADK2_23015
ko:K03587	pdk:PADK2_23020
ko:K03586	pdk:PADK2_23025
ko:K03438	pdk:PADK2_23030
ko:K03925	pdk:PADK2_23035
ko:K07056	pdk:PADK2_23040
ko:K07121	pdk:PADK2_23045
ko:K07460	pdk:PADK2_23050
ko:K03271	pdk:PADK2_23055
ko:K03600	pdk:PADK2_23065
ko:K03599	pdk:PADK2_23070
ko:K00413	pdk:PADK2_23075
ko:K00412	pdk:PADK2_23080
ko:K06206	pdk:PADK2_25075
ko:K06204	pdk:PADK2_25085
ko:K01894	pdk:PADK2_25090
ko:K00950	pdk:PADK2_25110
ko:K00606	pdk:PADK2_25115
ko:K01918	pdk:PADK2_25120
ko:K01579	pdk:PADK2_25125
ko:K01810	pdk:PADK2_25130
ko:K01895	pdk:PADK2_25135
ko:K00962	pdk:PADK2_25170
ko:K02956	pdk:PADK2_25175
ko:K02834	pdk:PADK2_25185
ko:K02519	pdk:PADK2_25190
ko:K02600	pdk:PADK2_25195
ko:K09748	pdk:PADK2_25200
ko:K06131	pdk:PADK2_28705
ko:K09958	pdk:PADK2_28710
ko:K01273	pdk:PADK2_28715
ko:K03522	pdk:PADK2_28735
ko:K03521	pdk:PADK2_28740
ko:K07727	pdk:PADK2_28750
ko:K00479	pdk:PADK2_28790
ko:K01620	pdk:PADK2_28805
ko:K00303	pdk:PADK2_28815
ko:K00305	pdk:PADK2_28830
ko:K01433	pdk:PADK2_28835
ko:K01792	pdk:PADK2_28845
ko:K09950	pdk:PADK2_28850
ko:K01589	pdk:PADK2_28860
ko:K01588	pdk:PADK2_28865
ko:K01744	pdk:PADK2_28880
ko:K07112	pdk:PADK2_28885
ko:K00375	pdk:PADK2_28890
ko:K03835	pdk:PADK2_28905
ko:K01960	pdk:PADK2_28910
ko:K00036	pdk:PADK2_28935
ko:K08303	pdk:PADK2_28940
ko:K03657	pdk:PADK2_28960
ko:K01902	pdk:PADK2_17760
ko:K01903	pdk:PADK2_17765
ko:K00382	pdk:PADK2_17770
ko:K00658	pdk:PADK2_17775
ko:K00164	pdk:PADK2_17780
ko:K00240	pdk:PADK2_17785
ko:K00563	pdk:PADK2_19840
ko:K03704	pdk:PADK2_19850
ko:K07639	pdk:PADK2_19855
ko:K07661	pdk:PADK2_19860
ko:K14977	pdk:PADK2_19970
ko:K03598	pdk:PADK2_21870
ko:K03088	pdk:PADK2_21885
ko:K00278	pdk:PADK2_21890
ko:K09159	pdk:PADK2_21900
ko:K06980	pdk:PADK2_21905
ko:K07649	pdk:PADK2_21915
ko:K07774	pdk:PADK2_21920
ko:K07795	pdk:PADK2_21930
ko:K03648	pdk:PADK2_21950
ko:K00140	pdk:PADK2_21965
ko:K07118	pdk:PADK2_21995
ko:K03695	pdk:PADK2_24135
ko:K05810	pdk:PADK2_24140
ko:K06180	pdk:PADK2_24145
ko:K05807	pdk:PADK2_24150
ko:K06950	pdk:PADK2_24155
ko:K02668	pdk:PADK2_24160
ko:K00826	pdk:PADK2_26560
ko:K00982	pdk:PADK2_26565
ko:K00163	pdk:PADK2_26570
ko:K00627	pdk:PADK2_26575
ko:K07115	pdk:PADK2_26590
ko:K05802	pdk:PADK2_26605
ko:K07090	pdk:PADK2_26615
ko:K01740	pdk:PADK2_26620
ko:K08224	pdk:PADK2_26645
ko:K01599	pdk:PADK2_26665
ko:K00266	pdk:PADK2_26670
ko:K03112	pdk:PADK2_26680
ko:K01735	pdk:PADK2_26685
ko:K00891	pdk:PADK2_26690
ko:K02666	pdk:PADK2_26695
ko:K02662	pdk:PADK2_26715
ko:K05366	pdk:PADK2_26720
ko:K00029	pdk:PADK2_26725
ko:K02909	pdk:PADK2_26740
ko:K04066	pdk:PADK2_26745
ko:K01887	pdk:PADK2_26750
ko:K01419	pdk:PADK2_26760
ko:K03667	pdk:PADK2_26765
ko:K03821	pdk:PADK2_26775
ko:K03821	pdk:PADK2_26785
ko:K03183	pdk:PADK2_26810
ko:K03690	pdk:PADK2_26815
ko:K03820	pdk:PADK2_04400
ko:K06189	pdk:PADK2_04405
ko:K07042	pdk:PADK2_04410
ko:K06168	pdk:PADK2_04420
ko:K01845	pdk:PADK2_04435
ko:K00788	pdk:PADK2_04440
ko:K00941	pdk:PADK2_04445
ko:K09456	pdk:PADK2_04460
ko:K01241	pdk:PADK2_04470
ko:K06181	pdk:PADK2_04485
ko:K03579	pdk:PADK2_04520
ko:K09945	pdk:PADK2_04565
ko:K07007	pdk:PADK2_04580
ko:K07690	pdk:PADK2_04585
ko:K07679	pdk:PADK2_04595
ko:K10805	pdk:PADK2_04615
ko:K03530	pdk:PADK2_04625
ko:K15551	pdk:PADK2_04635
ko:K15552	pdk:PADK2_04645
ko:K03119	pdk:PADK2_04650
ko:K02168	pdk:PADK2_04660
ko:K02073	pdk:PADK2_04670
ko:K00425	pdk:PADK2_04675
ko:K00426	pdk:PADK2_04680
ko:K03556	pdk:PADK2_04720
ko:K07175	pdk:PADK2_04730
ko:K03637	pdk:PADK2_04735
ko:K03636	pdk:PADK2_04740
ko:K03638	pdk:PADK2_04750
ko:K03750	pdk:PADK2_04755
ko:K08303	pdk:PADK2_04760
ko:K02837	pdk:PADK2_04810
ko:K16091	pdk:PADK2_04820
ko:K03088	pdk:PADK2_04830
ko:K05847	pdk:PADK2_04875
ko:K05846	pdk:PADK2_04880
ko:K05845	pdk:PADK2_04885
ko:K05846	pdk:PADK2_04890
ko:K07673	pdk:PADK2_04945
ko:K02575	pdk:PADK2_04950
ko:K02575	pdk:PADK2_04955
ko:K00370	pdk:PADK2_04960
ko:K00371	pdk:PADK2_04965
ko:K00373	pdk:PADK2_04970
ko:K03639	pdk:PADK2_04985
ko:K10022	pdk:PADK2_04990
ko:K03732	pdk:PADK2_05010
ko:K06999	pdk:PADK2_05020
ko:K09969	pdk:PADK2_05025
ko:K01004	pdk:PADK2_05030
ko:K07461	pdk:PADK2_05045
ko:K06899	pdk:PADK2_05070
ko:K01873	pdk:PADK2_05150
ko:K02339	pdk:PADK2_05160
ko:K01255	pdk:PADK2_05165
ko:K07091	pdk:PADK2_05180
ko:K11720	pdk:PADK2_05185
ko:K07568	pdk:PADK2_05205
ko:K00066	pdk:PADK2_06665
ko:K02010	pdk:PADK2_06675
ko:K03386	pdk:PADK2_06720
ko:K01759	pdk:PADK2_06745
ko:K07213	pdk:PADK2_06765
ko:K03613	pdk:PADK2_06805
ko:K03612	pdk:PADK2_06810
ko:K03614	pdk:PADK2_06815
ko:K03615	pdk:PADK2_06820
ko:K03616	pdk:PADK2_06825
ko:K03611	pdk:PADK2_02715
ko:K00789	pdk:PADK2_02755
ko:K00615	pdk:PADK2_02765
ko:K03472	pdk:PADK2_02780
ko:K00927	pdk:PADK2_02785
ko:K01624	pdk:PADK2_02800
ko:K07007	pdk:PADK2_02820
ko:K07043	pdk:PADK2_02825
ko:K03086	pdk:PADK2_02905
ko:K09117	pdk:PADK2_02915
ko:K02970	pdk:PADK2_02920
ko:K08591	pdk:PADK2_02930
ko:K01633	pdk:PADK2_02935
ko:K00950	pdk:PADK2_02940
ko:K09786	pdk:PADK2_02960
ko:K07180	pdk:PADK2_02965
ko:K02439	pdk:PADK2_02970
ko:K06195	pdk:PADK2_02980
ko:K02528	pdk:PADK2_02985
ko:K00097	pdk:PADK2_02990
ko:K03771	pdk:PADK2_02995
ko:K04744	pdk:PADK2_03000
ko:K07102	pdk:PADK2_03005
ko:K05801	pdk:PADK2_03015
ko:K02053	pdk:PADK2_03055
ko:K01783	pdk:PADK2_03060
ko:K01091	pdk:PADK2_03065
ko:K01657	pdk:PADK2_03070
ko:K00766	pdk:PADK2_03175
ko:K01609	pdk:PADK2_03180
ko:K07397	pdk:PADK2_03190
ko:K01611	pdk:PADK2_03195
ko:K06134	pdk:PADK2_03200
ko:K02503	pdk:PADK2_03205
ko:K07124	pdk:PADK2_03215
ko:K00459	pdk:PADK2_03225
ko:K08973	pdk:PADK2_03230
ko:K00145	pdk:PADK2_03235
ko:K15724	pdk:PADK2_03250
ko:K09001	pdk:PADK2_03255
ko:K01866	pdk:PADK2_03265
ko:K03524	pdk:PADK2_03270
ko:K03525	pdk:PADK2_03275
ko:K02358	pdk:PADK2_03285
ko:K03073	pdk:PADK2_03290
ko:K02601	pdk:PADK2_03295
ko:K02867	pdk:PADK2_03300
ko:K02863	pdk:PADK2_03305
ko:K02864	pdk:PADK2_03310
ko:K02935	pdk:PADK2_03315
ko:K03043	pdk:PADK2_03320
ko:K03046	pdk:PADK2_03325
ko:K02950	pdk:PADK2_03330
ko:K16091	pdk:PADK2_07960
ko:K03704	pdk:PADK2_07970
ko:K03453	pdk:PADK2_07980
ko:K03554	pdk:PADK2_07985
ko:K03773	pdk:PADK2_07990
ko:K03797	pdk:PADK2_08040
ko:K02053	pdk:PADK2_08060
ko:K02356	pdk:PADK2_10120
ko:K07090	pdk:PADK2_10140
ko:K09927	pdk:PADK2_10155
ko:K01626	pdk:PADK2_10160
ko:K05592	pdk:PADK2_10175
ko:K03543	pdk:PADK2_10195
ko:K07387	pdk:PADK2_01375
ko:K07090	pdk:PADK2_01380
ko:K02045	pdk:PADK2_01390
ko:K02047	pdk:PADK2_01395
ko:K02046	pdk:PADK2_01400
ko:K02048	pdk:PADK2_01405
ko:K10536	pdk:PADK2_01450
ko:K12251	pdk:PADK2_01455
ko:K01915	pdk:PADK2_01470
ko:K07010	pdk:PADK2_01475
ko:K01915	pdk:PADK2_01480
ko:K12256	pdk:PADK2_01485
ko:K11073	pdk:PADK2_01490
ko:K11073	pdk:PADK2_01495
ko:K11076	pdk:PADK2_01500
ko:K11075	pdk:PADK2_01505
ko:K11074	pdk:PADK2_01510
ko:K01434	pdk:PADK2_01515
ko:K10009	pdk:PADK2_01560
ko:K02424	pdk:PADK2_01565
ko:K03812	pdk:PADK2_09095
ko:K07259	pdk:PADK2_09110
ko:K09923	pdk:PADK2_09115
ko:K07690	pdk:PADK2_09120
ko:K01129	pdk:PADK2_09130
ko:K03320	pdk:PADK2_09150
ko:K01061	pdk:PADK2_11240
ko:K02455	pdk:PADK2_11270
ko:K02456	pdk:PADK2_11275
ko:K02456	pdk:PADK2_11280
ko:K02458	pdk:PADK2_11285
ko:K02459	pdk:PADK2_11290
ko:K01737	pdk:PADK2_11320
ko:K12266	pdk:PADK2_11325
ko:K05916	pdk:PADK2_11330
ko:K07234	pdk:PADK2_11340
ko:K11907	pdk:PADK2_13415
ko:K11895	pdk:PADK2_13420
ko:K11896	pdk:PADK2_13425
ko:K11903	pdk:PADK2_13435
ko:K11900	pdk:PADK2_13440
ko:K11901	pdk:PADK2_13445
ko:K11893	pdk:PADK2_13455
ko:K11892	pdk:PADK2_13460
ko:K11891	pdk:PADK2_13465
ko:K11902	pdk:PADK2_13470
ko:K00299	pdk:PADK2_13485
ko:K06916	pdk:PADK2_13505
ko:K01126	pdk:PADK2_13510
ko:K02072	pdk:PADK2_13515
ko:K02071	pdk:PADK2_13520
ko:K02073	pdk:PADK2_13525
ko:K00019	pdk:PADK2_15635
ko:K02106	pdk:PADK2_15640
ko:K01029	pdk:PADK2_15650
ko:K01028	pdk:PADK2_15655
ko:K00773	pdk:PADK2_05210
ko:K03210	pdk:PADK2_05215
ko:K03072	pdk:PADK2_05220
ko:K03074	pdk:PADK2_05225
ko:K15396	pdk:PADK2_05240
ko:K00640	pdk:PADK2_05245
ko:K13643	pdk:PADK2_05250
