ko:K06896	spng:HMPREF1038_00771
ko:K03687	spng:HMPREF1038_00547
ko:K04043	spng:HMPREF1038_00548
ko:K03686	spng:HMPREF1038_00550
ko:K02503	spng:HMPREF1038_00553
ko:K07707	spng:HMPREF1038_00558
ko:K03439	spng:HMPREF1038_00575
ko:K09748	spng:HMPREF1038_00576
ko:K02600	spng:HMPREF1038_00577
ko:K07742	spng:HMPREF1038_00578
ko:K02519	spng:HMPREF1038_00580
ko:K02834	spng:HMPREF1038_00581
ko:K01873	spng:HMPREF1038_00593
ko:K01223	spng:HMPREF1038_00602
ko:K01889	spng:HMPREF1038_00603
ko:K01890	spng:HMPREF1038_00605
ko:K00549	spng:HMPREF1038_00610
ko:K00297	spng:HMPREF1038_00611
ko:K00962	spng:HMPREF1038_00613
ko:K00640	spng:HMPREF1038_00614
ko:K01883	spng:HMPREF1038_00616
ko:K11145	spng:HMPREF1038_00617
ko:K02003	spng:HMPREF1038_00623
ko:K01624	spng:HMPREF1038_00627
ko:K10040	spng:HMPREF1038_00630
ko:K10039	spng:HMPREF1038_00631
ko:K07462	spng:HMPREF1038_00633
ko:K03703	spng:HMPREF1038_00639
ko:K03311	spng:HMPREF1038_00647
ko:K02867	spng:HMPREF1038_00654
ko:K02863	spng:HMPREF1038_00655
ko:K07139	spng:HMPREF1038_00678
ko:K07058	spng:HMPREF1038_00683
ko:K12267	spng:HMPREF1038_00686
ko:K07718	spng:HMPREF1038_00688
ko:K00791	spng:HMPREF1038_00698
ko:K03665	spng:HMPREF1038_00699
ko:K07124	spng:HMPREF1038_00702
ko:K06207	spng:HMPREF1038_00708
ko:K06967	spng:HMPREF1038_01596
ko:K07862	spng:HMPREF1038_01732
ko:K03671	spng:HMPREF1038_01736
ko:K09457	spng:HMPREF1038_01737
ko:K06188	spng:HMPREF1038_01739
ko:K09694	spng:HMPREF1038_01741
ko:K09695	spng:HMPREF1038_01742
ko:K09761	spng:HMPREF1038_01745
ko:K02687	spng:HMPREF1038_01746
ko:K07478	spng:HMPREF1038_01754
ko:K01193	spng:HMPREF1038_01757
ko:K02529	spng:HMPREF1038_01761
ko:K07090	spng:HMPREF1038_01770
ko:K02761	spng:HMPREF1038_01773
ko:K02759	spng:HMPREF1038_01774
ko:K02760	spng:HMPREF1038_01775
ko:K02761	spng:HMPREF1038_01778
ko:K01695	spng:HMPREF1038_01785
ko:K01696	spng:HMPREF1038_01786
ko:K01817	spng:HMPREF1038_01787
ko:K01609	spng:HMPREF1038_01788
ko:K00766	spng:HMPREF1038_01789
ko:K01657	spng:HMPREF1038_01791
ko:K07507	spng:HMPREF1038_01796
ko:K02011	spng:HMPREF1038_01797
ko:K02012	spng:HMPREF1038_01799
ko:K01142	spng:HMPREF1038_01811
ko:K03816	spng:HMPREF1038_01815
ko:K16169	spng:HMPREF1038_01816
ko:K00965	spng:HMPREF1038_01821
ko:K00849	spng:HMPREF1038_01822
ko:K02529	spng:HMPREF1038_01823
ko:K16264	spng:HMPREF1038_01826
ko:K03811	spng:HMPREF1038_01828
ko:K05847	spng:HMPREF1038_01830
ko:K02015	spng:HMPREF1038_01836
ko:K02015	spng:HMPREF1038_01837
ko:K02013	spng:HMPREF1038_01838
ko:K02016	spng:HMPREF1038_01839
ko:K08998	spng:HMPREF1038_01840
ko:K06178	spng:HMPREF1038_01841
ko:K06024	spng:HMPREF1038_01842
ko:K05896	spng:HMPREF1038_01843
ko:K07095	spng:HMPREF1038_01846
ko:K01776	spng:HMPREF1038_01848
ko:K15581	spng:HMPREF1038_01862
ko:K00690	spng:HMPREF1038_01866
ko:K10117	spng:HMPREF1038_01869
ko:K07407	spng:HMPREF1038_01870
ko:K03524	spng:HMPREF1038_01872
ko:K03565	spng:HMPREF1038_01894
ko:K04077	spng:HMPREF1038_01898
ko:K04078	spng:HMPREF1038_01899
ko:K06878	spng:HMPREF1038_01902
ko:K06925	spng:HMPREF1038_01934
ko:K02003	spng:HMPREF1038_01938
ko:K00940	spng:HMPREF1038_01940
ko:K03046	spng:HMPREF1038_01941
ko:K03043	spng:HMPREF1038_01942
ko:K00790	spng:HMPREF1038_01947
ko:K00954	spng:HMPREF1038_01950
ko:K01914	spng:HMPREF1038_01953
ko:K06890	spng:HMPREF1038_01954
ko:K03437	spng:HMPREF1038_01955
ko:K01512	spng:HMPREF1038_01956
ko:K03217	spng:HMPREF1038_01957
ko:K04069	spng:HMPREF1038_01958
ko:K01586	spng:HMPREF1038_01959
ko:K09760	spng:HMPREF1038_01962
ko:K01783	spng:HMPREF1038_01964
ko:K06949	spng:HMPREF1038_01965
ko:K02528	spng:HMPREF1038_01968
ko:K02003	spng:HMPREF1038_01970
ko:K05985	spng:HMPREF1038_01974
ko:K03424	spng:HMPREF1038_01975
ko:K02914	spng:HMPREF1038_01978
ko:K14260	spng:HMPREF1038_01979
ko:K02529	spng:HMPREF1038_01985
ko:K07778	spng:HMPREF1038_01987
ko:K02601	spng:HMPREF1038_02004
ko:K03073	spng:HMPREF1038_02005
ko:K06180	spng:HMPREF1038_02007
ko:K00134	spng:HMPREF1038_02008
ko:K00767	spng:HMPREF1038_02012
ko:K02761	spng:HMPREF1038_02018
ko:K02760	spng:HMPREF1038_02019
ko:K02759	spng:HMPREF1038_02020
ko:K04072	spng:HMPREF1038_02021
ko:K03210	spng:HMPREF1038_02024
ko:K00615	spng:HMPREF1038_02025
ko:K03217	spng:HMPREF1038_02036
ko:K03536	spng:HMPREF1038_02037
ko:K00925	spng:HMPREF1038_02039
ko:K01443	spng:HMPREF1038_02053
ko:K00773	spng:HMPREF1038_02055
ko:K01304	spng:HMPREF1038_02057
ko:K08987	spng:HMPREF1038_02058
ko:K01733	spng:HMPREF1038_02063
ko:K01810	spng:HMPREF1038_02080
ko:K07010	spng:HMPREF1038_02082
ko:K03555	spng:HMPREF1038_02086
ko:K03402	spng:HMPREF1038_02087
ko:K01887	spng:HMPREF1038_02088
ko:K07636	spng:HMPREF1038_02092
ko:K02040	spng:HMPREF1038_02093
ko:K02037	spng:HMPREF1038_02094
ko:K02038	spng:HMPREF1038_02095
ko:K02036	spng:HMPREF1038_02096
ko:K02039	spng:HMPREF1038_02097
ko:K00057	spng:HMPREF1038_02100
ko:K00963	spng:HMPREF1038_02102
ko:K05823	spng:HMPREF1038_02107
ko:K01866	spng:HMPREF1038_02111
ko:K00563	spng:HMPREF1038_02114
ko:K00688	spng:HMPREF1038_02118
ko:K00705	spng:HMPREF1038_02119
ko:K02529	spng:HMPREF1038_02124
ko:K01876	spng:HMPREF1038_02127
ko:K01892	spng:HMPREF1038_02136
ko:K01687	spng:HMPREF1038_02142
ko:K00615	spng:HMPREF1038_02143
ko:K00615	spng:HMPREF1038_02144
ko:K02911	spng:HMPREF1038_02150
ko:K02913	spng:HMPREF1038_02151
ko:K00611	spng:HMPREF1038_02159
ko:K00926	spng:HMPREF1038_02160
ko:K01818	spng:HMPREF1038_02168
ko:K02431	spng:HMPREF1038_02175
ko:K01628	spng:HMPREF1038_02176
ko:K00848	spng:HMPREF1038_02177
ko:K11065	spng:HMPREF1038_01635
ko:K02003	spng:HMPREF1038_01638
ko:K01870	spng:HMPREF1038_01643
ko:K04074	spng:HMPREF1038_01644
ko:K02221	spng:HMPREF1038_01646
ko:K09772	spng:HMPREF1038_01647
ko:K06997	spng:HMPREF1038_01648
ko:K03531	spng:HMPREF1038_01649
ko:K03590	spng:HMPREF1038_01650
ko:K01929	spng:HMPREF1038_01652
ko:K01921	spng:HMPREF1038_01653
ko:K06187	spng:HMPREF1038_01654
ko:K00687	spng:HMPREF1038_01655
ko:K01060	spng:HMPREF1038_01676
ko:K03655	spng:HMPREF1038_01677
ko:K01775	spng:HMPREF1038_01678
ko:K00997	spng:HMPREF1038_01679
ko:K01626	spng:HMPREF1038_01680
ko:K01626	spng:HMPREF1038_01681
ko:K00615	spng:HMPREF1038_01602
ko:K00655	spng:HMPREF1038_01610
ko:K02956	spng:HMPREF1038_01612
ko:K07118	spng:HMPREF1038_01613
ko:K01868	spng:HMPREF1038_01615
ko:K07560	spng:HMPREF1038_01627
ko:K03070	spng:HMPREF1038_01682
ko:K03977	spng:HMPREF1038_01689
ko:K07738	spng:HMPREF1038_01693
ko:K00847	spng:HMPREF1038_01701
ko:K01193	spng:HMPREF1038_01704
ko:K03484	spng:HMPREF1038_01705
ko:K03500	spng:HMPREF1038_01714
ko:K00604	spng:HMPREF1038_01715
ko:K04066	spng:HMPREF1038_01716
ko:K03060	spng:HMPREF1038_01717
ko:K00942	spng:HMPREF1038_01718
ko:K09710	spng:HMPREF1038_01722
ko:K00969	spng:HMPREF1038_01725
ko:K07574	spng:HMPREF1038_01726
ko:K07015	spng:HMPREF1038_01728
ko:K09816	spng:HMPREF1038_02180
ko:K05845	spng:HMPREF1038_01829
ko:K05846	spng:HMPREF1038_01829
ko:K01261	spng:HMPREF1038_01834
ko:K01784	spng:HMPREF1038_01835
ko:K02428	spng:HMPREF1038_01847
ko:K09976	spng:HMPREF1038_01849
ko:K01226	spng:HMPREF1038_01850
ko:K02817	spng:HMPREF1038_01851
ko:K02818	spng:HMPREF1038_01851
ko:K02819	spng:HMPREF1038_01851
ko:K03486	spng:HMPREF1038_01852
ko:K05833	spng:HMPREF1038_01853
ko:K10823	spng:HMPREF1038_01859
ko:K15583	spng:HMPREF1038_01860
ko:K15582	spng:HMPREF1038_01861
ko:K02821	spng:HMPREF1038_02031
ko:K02822	spng:HMPREF1038_02032
ko:K03475	spng:HMPREF1038_02033
ko:K06346	spng:HMPREF1038_02035
ko:K02248	spng:HMPREF1038_02045
ko:K02246	spng:HMPREF1038_02047
ko:K02245	spng:HMPREF1038_02048
ko:K02244	spng:HMPREF1038_02049
ko:K02243	spng:HMPREF1038_02050
ko:K09698	spng:HMPREF1038_02079
ko:K09705	spng:HMPREF1038_02090
ko:K07658	spng:HMPREF1038_02091
ko:K01934	spng:HMPREF1038_02106
ko:K00674	spng:HMPREF1038_02108
ko:K03693	spng:HMPREF1038_02110
ko:K07052	spng:HMPREF1038_02130
ko:K07729	spng:HMPREF1038_02133
ko:K03475	spng:HMPREF1038_02145
ko:K02822	spng:HMPREF1038_02146
ko:K01191	spng:HMPREF1038_02154
ko:K09704	spng:HMPREF1038_02155
ko:K01206	spng:HMPREF1038_02157
ko:K01478	spng:HMPREF1038_02158
ko:K02795	spng:HMPREF1038_02172
ko:K02793	spng:HMPREF1038_02174
ko:K09815	spng:HMPREF1038_02179
ko:K01639	spng:HMPREF1038_01658
ko:K02025	spng:HMPREF1038_01664
ko:K01788	spng:HMPREF1038_01667
ko:K01186	spng:HMPREF1038_01669
ko:K02025	spng:HMPREF1038_01671
ko:K01186	spng:HMPREF1038_01674
ko:K02806	spng:HMPREF1038_01607
ko:K03709	spng:HMPREF1038_01622
ko:K07386	spng:HMPREF1038_01631
ko:K11144	spng:HMPREF1038_01691
ko:K03346	spng:HMPREF1038_01692
ko:K02808	spng:HMPREF1038_01702
ko:K02809	spng:HMPREF1038_01702
ko:K02810	spng:HMPREF1038_01702
ko:K00054	spng:HMPREF1038_01706
ko:K01641	spng:HMPREF1038_01707
ko:K06948	spng:HMPREF1038_01727
ko:K16785	spng:HMPREF1038_00521
ko:K02236	spng:HMPREF1038_01781
ko:K02010	spng:HMPREF1038_01798
ko:K07586	spng:HMPREF1038_01895
ko:K06147	spng:HMPREF1038_01910
ko:K06147	spng:HMPREF1038_01911
ko:K11031	spng:HMPREF1038_01915
ko:K03699	spng:HMPREF1038_01944
ko:K15051	spng:HMPREF1038_01945
ko:K07177	spng:HMPREF1038_01949
ko:K09685	spng:HMPREF1038_01960
ko:K03698	spng:HMPREF1038_01961
ko:K00949	spng:HMPREF1038_01963
ko:K01424	spng:HMPREF1038_01983
ko:K12296	spng:HMPREF1038_02003
ko:K12555	spng:HMPREF1038_02006
ko:K03492	spng:HMPREF1038_02016
ko:K05350	spng:HMPREF1038_02017
ko:K01104	spng:HMPREF1038_02023
ko:K03476	spng:HMPREF1038_02026
ko:K03493	spng:HMPREF1038_02027
ko:K01154	spng:HMPREF1038_00538
ko:K15770	spng:HMPREF1038_02120
ko:K01740	spng:HMPREF1038_01220
ko:K15772	spng:HMPREF1038_02122
ko:K15771	spng:HMPREF1038_02121
ko:K09817	spng:HMPREF1038_02181
ko:K03740	spng:HMPREF1038_02183
ko:K14188	spng:HMPREF1038_02184
ko:K03739	spng:HMPREF1038_02185
ko:K03367	spng:HMPREF1038_02186
ko:K02440	spng:HMPREF1038_02191
ko:K00864	spng:HMPREF1038_02193
ko:K16786	spng:HMPREF1038_02229
ko:K16787	spng:HMPREF1038_02228
ko:K04083	spng:HMPREF1038_02196
ko:K03696	spng:HMPREF1038_02203
ko:K02939	spng:HMPREF1038_02212
ko:K05808	spng:HMPREF1038_02214
ko:K01738	spng:HMPREF1038_02218
ko:K02357	spng:HMPREF1038_02222
ko:K02967	spng:HMPREF1038_02223
ko:K03571	spng:HMPREF1038_02225
ko:K03570	spng:HMPREF1038_02226
ko:K00995	spng:HMPREF1038_02230
ko:K03629	spng:HMPREF1038_02235
ko:K01867	spng:HMPREF1038_02237
ko:K16785	spng:HMPREF1038_02227
ko:K00783	spng:HMPREF1038_02247
ko:K16788	spng:HMPREF1038_01237
ko:K10122	spng:HMPREF1038_01758
ko:K02768	spng:HMPREF1038_01606
ko:K01985	spng:HMPREF1038_02253
ko:K03708	spng:HMPREF1038_02204
ko:K02242	spng:HMPREF1038_02215
ko:K02240	spng:HMPREF1038_02216
ko:K00088	spng:HMPREF1038_02236
ko:K02778	spng:HMPREF1038_01666
ko:K02779	spng:HMPREF1038_01666
ko:K18830	spng:HMPREF1038_01133
ko:K01155	spng:HMPREF1038_01817
ko:K10120	spng:HMPREF1038_01760
ko:K10118	spng:HMPREF1038_01868
ko:K10119	spng:HMPREF1038_01867
ko:K01980	spng:HMPREF1038_02260
ko:K14219	spng:HMPREF1038_01252
ko:K14224	spng:HMPREF1038_00015
ko:K14219	spng:HMPREF1038_01993
ko:K01834	spng:HMPREF1038_01640
ko:K14218	spng:HMPREF1038_00016
ko:K16786	spng:HMPREF1038_01425
ko:K16787	spng:HMPREF1038_01425
ko:K14223	spng:HMPREF1038_00874
ko:K02030	spng:HMPREF1038_01483
ko:K02030	spng:HMPREF1038_00222
ko:K02030	spng:HMPREF1038_00641
ko:K02030	spng:HMPREF1038_00724
ko:K14232	spng:HMPREF1038_01882
ko:K14229	spng:HMPREF1038_01888
ko:K14229	spng:HMPREF1038_01756
ko:K14228	spng:HMPREF1038_01884
ko:K14225	spng:HMPREF1038_01885
ko:K16786	spng:HMPREF1038_00520
ko:K16787	spng:HMPREF1038_00520
ko:K16785	spng:HMPREF1038_01424
ko:K01598	spng:HMPREF1038_01235
ko:K08316	spng:HMPREF1038_01951
ko:K08986	spng:HMPREF1038_00923
ko:K16785	spng:HMPREF1038_00737
ko:K14219	spng:HMPREF1038_02246
ko:K11991	spng:HMPREF1038_00084
ko:K16868	spng:HMPREF1038_00996
ko:K16925	spng:HMPREF1038_00735
ko:K16924	spng:HMPREF1038_00518
ko:K16926	spng:HMPREF1038_01423
ko:K16926	spng:HMPREF1038_00227
ko:K14221	spng:HMPREF1038_01889
ko:K14230	spng:HMPREF1038_01881
ko:K14227	spng:HMPREF1038_01875
ko:K14234	spng:HMPREF1038_01172
ko:K14219	spng:HMPREF1038_01298
ko:K14219	spng:HMPREF1038_01883
ko:K14230	spng:HMPREF1038_01880
ko:K14237	spng:HMPREF1038_01890
ko:K14228	spng:HMPREF1038_02065
ko:K14234	spng:HMPREF1038_01886
ko:K14225	spng:HMPREF1038_01876
ko:K14233	spng:HMPREF1038_01879
ko:K14231	spng:HMPREF1038_01877
ko:K14233	spng:HMPREF1038_01874
ko:K14236	spng:HMPREF1038_00873
ko:K14235	spng:HMPREF1038_02068
ko:K16898	spng:HMPREF1038_01045
ko:K16899	spng:HMPREF1038_01046
ko:K14222	spng:HMPREF1038_01943
ko:K01977	spng:HMPREF1038_02250
ko:K01977	spng:HMPREF1038_02258
ko:K01977	spng:HMPREF1038_02261
ko:K01977	spng:HMPREF1038_02255
ko:K14232	spng:HMPREF1038_01992
ko:K14225	spng:HMPREF1038_01995
ko:K14234	spng:HMPREF1038_01996
ko:K14237	spng:HMPREF1038_02075
ko:K14237	spng:HMPREF1038_02000
ko:K03574	spng:HMPREF1038_00828
ko:K11070	spng:HMPREF1038_01375
ko:K15035	spng:HMPREF1038_00886
ko:K17195	spng:HMPREF1038_01603
ko:K02029	spng:HMPREF1038_01244
ko:K02030	spng:HMPREF1038_01244
ko:K01990	spng:HMPREF1038_01698
ko:K10947	spng:HMPREF1038_00799
ko:K17318	spng:HMPREF1038_00154
ko:K17319	spng:HMPREF1038_00152
ko:K01978	spng:HMPREF1038_00423
ko:K01992	spng:HMPREF1038_00555
ko:K01992	spng:HMPREF1038_01368
ko:K01992	spng:HMPREF1038_01410
ko:K01992	spng:HMPREF1038_01697
ko:K01992	spng:HMPREF1038_00661
ko:K14228	spng:HMPREF1038_01994
ko:K01983	spng:HMPREF1038_00085
ko:K01980	spng:HMPREF1038_02251
ko:K01980	spng:HMPREF1038_02257
ko:K01980	spng:HMPREF1038_02254
ko:K01985	spng:HMPREF1038_02252
ko:K01985	spng:HMPREF1038_02259
ko:K01985	spng:HMPREF1038_02256
ko:K02028	spng:HMPREF1038_00725
ko:K01990	spng:HMPREF1038_01695
ko:K01990	spng:HMPREF1038_00554
ko:K01990	spng:HMPREF1038_01369
ko:K14218	spng:HMPREF1038_01891
ko:K14218	spng:HMPREF1038_02076
ko:K14218	spng:HMPREF1038_02001
ko:K02028	spng:HMPREF1038_01446
ko:K02028	spng:HMPREF1038_01484
ko:K03574	spng:HMPREF1038_01028
ko:K03574	spng:HMPREF1038_01747
ko:K02028	spng:HMPREF1038_01245
ko:K00951	spng:HMPREF1038_01628
ko:K17320	spng:HMPREF1038_00153
ko:K14224	spng:HMPREF1038_02002
ko:K14224	spng:HMPREF1038_02077
ko:K14224	spng:HMPREF1038_01892
ko:K14220	spng:HMPREF1038_00017
ko:K14220	spng:HMPREF1038_02243
ko:K14236	spng:HMPREF1038_02069
ko:K14223	spng:HMPREF1038_02066
ko:K14233	spng:HMPREF1038_00887
ko:K14228	spng:HMPREF1038_01566
ko:K14227	spng:HMPREF1038_02073
ko:K14225	spng:HMPREF1038_02074
ko:K14231	spng:HMPREF1038_02070
ko:K14230	spng:HMPREF1038_01878
ko:K14230	spng:HMPREF1038_02071
ko:K14233	spng:HMPREF1038_02072
ko:K14228	spng:HMPREF1038_01887
ko:K14228	spng:HMPREF1038_01997
ko:K14229	spng:HMPREF1038_01998
ko:K14221	spng:HMPREF1038_01999
ko:K14226	spng:HMPREF1038_02067
ko:K01537	spng:HMPREF1038_01538
ko:K02030	spng:HMPREF1038_00173
ko:K02030	spng:HMPREF1038_01382
ko:K17076	spng:HMPREF1038_00494
ko:K02029	spng:HMPREF1038_00834
ko:K00131	spng:HMPREF1038_01059
ko:K17073	spng:HMPREF1038_00495
ko:K17074	spng:HMPREF1038_00495
ko:K10947	spng:HMPREF1038_00160
ko:K10121	spng:HMPREF1038_01759
ko:K01190	spng:HMPREF1038_00674
ko:K07271	spng:HMPREF1038_01276
ko:K15923	spng:HMPREF1038_01639
ko:K01227	spng:HMPREF1038_00985
ko:K01990	spng:HMPREF1038_00723
ko:K01990	spng:HMPREF1038_01411
ko:K01990	spng:HMPREF1038_01684
ko:K01990	spng:HMPREF1038_01989
ko:K10112	spng:HMPREF1038_01565
ko:K01992	spng:HMPREF1038_01988
ko:K17624	spng:HMPREF1038_00418
ko:K17686	spng:HMPREF1038_00745
ko:K01739	spng:HMPREF1038_01508
ko:K02027	spng:HMPREF1038_01672
ko:K01467	spng:HMPREF1038_00010
ko:K01101	spng:HMPREF1038_01394
ko:K12574	spng:HMPREF1038_00194
ko:K00226	spng:HMPREF1038_00774
ko:K00290	spng:HMPREF1038_00939
ko:K02026	spng:HMPREF1038_01663
ko:K02026	spng:HMPREF1038_01670
ko:K07284	spng:HMPREF1038_01222
ko:K01658	spng:HMPREF1038_01790
ko:K17828	spng:HMPREF1038_00984
ko:K00537	spng:HMPREF1038_01448
ko:K03767	spng:HMPREF1038_00781
ko:K02027	spng:HMPREF1038_01665
ko:K12574	spng:HMPREF1038_00634
ko:K01071	spng:HMPREF1038_01395
ko:K02031	spng:HMPREF1038_01321
ko:K02032	spng:HMPREF1038_01321
ko:K02614	spng:HMPREF1038_01820
ko:K06148	spng:HMPREF1038_01345
ko:K02769	spng:HMPREF1038_01605
ko:K02770	spng:HMPREF1038_01604
ko:K02794	spng:HMPREF1038_00125
ko:K02794	spng:HMPREF1038_02173
ko:K01639	spng:HMPREF1038_01317
ko:K08303	spng:HMPREF1038_01412
ko:K18104	spng:HMPREF1038_01511
ko:K08986	spng:HMPREF1038_01071
ko:K07166	spng:HMPREF1038_00293
ko:K07260	spng:HMPREF1038_00652
ko:K18369	spng:HMPREF1038_02052
ko:K03742	spng:HMPREF1038_01931
ko:K18474	spng:HMPREF1038_00458
ko:K00105	spng:HMPREF1038_02192
ko:K18581	spng:HMPREF1038_00371
ko:K18682	spng:HMPREF1038_01719
ko:K18672	spng:HMPREF1038_01547
ko:K18692	spng:HMPREF1038_00772
ko:K06218	spng:HMPREF1038_00028
ko:K18892	spng:HMPREF1038_02083
ko:K18891	spng:HMPREF1038_02085
ko:K03790	spng:HMPREF1038_01098
ko:K06218	spng:HMPREF1038_01226
ko:K03111	spng:HMPREF1038_01526
ko:K16214	spng:HMPREF1038_01132
ko:K07473	spng:HMPREF1038_00330
ko:K03111	spng:HMPREF1038_01900
ko:K03497	spng:HMPREF1038_02249
ko:K06148	spng:HMPREF1038_00208
ko:K07483	spng:HMPREF1038_02014
ko:K07484	spng:HMPREF1038_01430
ko:K07484	spng:HMPREF1038_00822
ko:K07484	spng:HMPREF1038_02221
ko:K19002	spng:HMPREF1038_01104
ko:K13052	spng:HMPREF1038_00008
ko:K07482	spng:HMPREF1038_01497
ko:K08643	spng:HMPREF1038_00690
ko:K00571	spng:HMPREF1038_01818
ko:K12294	spng:HMPREF1038_02244
ko:K19157	spng:HMPREF1038_00331
ko:K01710	spng:HMPREF1038_00412
ko:K00571	spng:HMPREF1038_01418
ko:K12415	spng:HMPREF1038_02245
ko:K03722	spng:HMPREF1038_00812
ko:K19302	spng:HMPREF1038_00524
ko:K12952	spng:HMPREF1038_01609
ko:K04771	spng:HMPREF1038_02248
ko:K08643	spng:HMPREF1038_01042
ko:K00525	spng:HMPREF1038_01189
ko:K07486	spng:HMPREF1038_00497
ko:K01992	spng:HMPREF1038_00978
ko:K02796	spng:HMPREF1038_02171
ko:K06881	spng:HMPREF1038_01304
ko:K18104	spng:HMPREF1038_01509
ko:K02796	spng:HMPREF1038_00127
ko:K02796	spng:HMPREF1038_00337
ko:K01990	spng:HMPREF1038_00977
ko:K07487	spng:HMPREF1038_01768
ko:K00887	spng:HMPREF1038_00988
ko:K00526	spng:HMPREF1038_01190
ko:K02538	spng:HMPREF1038_01608
ko:K21636	spng:HMPREF1038_00260
ko:K19971	spng:HMPREF1038_01634
ko:K19972	spng:HMPREF1038_01633
ko:K10830	spng:HMPREF1038_01632
ko:K20074	spng:HMPREF1038_01713
ko:K12132	spng:HMPREF1038_01712
ko:K20073	spng:HMPREF1038_00425
ko:K20112	spng:HMPREF1038_00669
ko:K20112	spng:HMPREF1038_01205
ko:K15580	spng:HMPREF1038_01863
ko:K02777	spng:HMPREF1038_00770
ko:K20107	spng:HMPREF1038_00770
ko:K20108	spng:HMPREF1038_00770
ko:K20114	spng:HMPREF1038_00671
ko:K20113	spng:HMPREF1038_00670
ko:K20113	spng:HMPREF1038_01204
ko:K20341	spng:HMPREF1038_00569
ko:K20344	spng:HMPREF1038_00562
ko:K20345	spng:HMPREF1038_00561
ko:K20342	spng:HMPREF1038_01973
ko:K20343	spng:HMPREF1038_00560
ko:K18889	spng:HMPREF1038_01807
ko:K18890	spng:HMPREF1038_01806
ko:K13004	spng:HMPREF1038_00400
ko:K01200	spng:HMPREF1038_01061
ko:K21030	spng:HMPREF1038_01274
ko:K21064	spng:HMPREF1038_00342
ko:K08968	spng:HMPREF1038_00876
ko:K01493	spng:HMPREF1038_00757
ko:K07313	spng:HMPREF1038_01208
ko:K00558	spng:HMPREF1038_01337
ko:K00287	spng:HMPREF1038_01556
ko:K06217	spng:HMPREF1038_00968
ko:K02316	spng:HMPREF1038_01108
ko:K00857	spng:HMPREF1038_01167
ko:K06191	spng:HMPREF1038_01188
ko:K02315	spng:HMPREF1038_00043
ko:K06904	spng:HMPREF1038_00063
ko:K01520	spng:HMPREF1038_00086
ko:K04068	spng:HMPREF1038_00263
ko:K00560	spng:HMPREF1038_00696
ko:K06223	spng:HMPREF1038_01819
ko:K03553	spng:HMPREF1038_01930
ko:K02314	spng:HMPREF1038_02211
ko:K02335	spng:HMPREF1038_00095
ko:K00571	spng:HMPREF1038_02040
ko:K07497	spng:HMPREF1038_01576
ko:K07497	spng:HMPREF1038_00825
ko:K07497	spng:HMPREF1038_00826
ko:K07497	spng:HMPREF1038_00862
ko:K07497	spng:HMPREF1038_01002
ko:K07497	spng:HMPREF1038_00596
ko:K07497	spng:HMPREF1038_00597
ko:K07497	spng:HMPREF1038_01598
ko:K07497	spng:HMPREF1038_01599
ko:K21471	spng:HMPREF1038_02224
ko:K21567	spng:HMPREF1038_01548
ko:K21977	spng:HMPREF1038_01234
ko:K22044	spng:HMPREF1038_01730
ko:K03595	spng:HMPREF1038_00989
ko:K03078	spng:HMPREF1038_02030
ko:K22278	spng:HMPREF1038_01466
ko:K17758	spng:HMPREF1038_00837
ko:K03077	spng:HMPREF1038_02028
ko:K03079	spng:HMPREF1038_02029
ko:K22441	spng:HMPREF1038_00604
ko:K22457	spng:HMPREF1038_01530
