ko:K18929	hph:HPLT_00725
ko:K07126	hph:HPLT_01100
ko:K01439	hph:HPLT_01110
ko:K06910	hph:HPLT_01145
ko:K07126	hph:HPLT_05555
ko:K01424	hph:HPLT_03620
ko:K00769	hph:HPLT_03690
ko:K06603	hph:HPLT_03785
ko:K03386	hph:HPLT_08070
ko:K01409	hph:HPLT_08180
ko:K04655	hph:HPLT_00235
ko:K03743	hph:HPLT_04850
ko:K06179	hph:HPLT_04870
ko:K07126	hph:HPLT_01225
ko:K06196	hph:HPLT_01365
ko:K03784	hph:HPLT_05885
ko:K03317	hph:HPLT_05895
ko:K01674	hph:HPLT_05930
ko:K02843	hph:HPLT_05950
ko:K11085	hph:HPLT_01880
ko:K00949	hph:HPLT_06475
ko:K00059	hph:HPLT_02785
ko:K03768	hph:HPLT_07140
ko:K02067	hph:HPLT_07275
ko:K02242	hph:HPLT_07325
ko:K14048	hph:HPLT_00400
ko:K03406	hph:HPLT_00450
ko:K03406	hph:HPLT_00535
ko:K03406	hph:HPLT_00555
ko:K01119	hph:HPLT_00560
ko:K03442	hph:HPLT_04985
ko:K01585	hph:HPLT_05115
ko:K02004	hph:HPLT_03970
ko:K03635	hph:HPLT_04040
ko:K14232	hph:HPLT_t08263
ko:K14219	hph:HPLT_t08257
ko:K16052	hph:HPLT_05150
ko:K14224	hph:HPLT_t08217
ko:K14221	hph:HPLT_t08219
ko:K14237	hph:HPLT_t08221
ko:K14224	hph:HPLT_t08223
ko:K14229	hph:HPLT_t08225
ko:K14237	hph:HPLT_t08227
ko:K14220	hph:HPLT_t08231
ko:K14219	hph:HPLT_t08235
ko:K14233	hph:HPLT_t08237
ko:K14232	hph:HPLT_t08239
ko:K14219	hph:HPLT_t08243
ko:K14230	hph:HPLT_t08241
ko:K14230	hph:HPLT_t08245
ko:K14223	hph:HPLT_t08247
ko:K14225	hph:HPLT_t08249
ko:K14228	hph:HPLT_t08251
ko:K14222	hph:HPLT_t08253
ko:K14233	hph:HPLT_t08255
ko:K01985	hph:HPLT_r08289
ko:K01985	hph:HPLT_r08291
ko:K01980	hph:HPLT_r08297
ko:K01980	hph:HPLT_r08299
ko:K14228	hph:HPLT_t08265
ko:K14227	hph:HPLT_t08267
ko:K14218	hph:HPLT_t08269
ko:K02029	hph:HPLT_05845
ko:K14235	hph:HPLT_t08273
ko:K03196	hph:HPLT_07040
ko:K11028	hph:HPLT_04490
ko:K15847	hph:HPLT_06230
ko:K12086	hph:HPLT_02575
ko:K12088	hph:HPLT_02585
ko:K12089	hph:HPLT_02590
ko:K12090	hph:HPLT_02595
ko:K12092	hph:HPLT_02610
ko:K12093	hph:HPLT_02620
ko:K12094	hph:HPLT_02625
ko:K12095	hph:HPLT_02630
ko:K12096	hph:HPLT_02635
ko:K12097	hph:HPLT_02640
ko:K12098	hph:HPLT_02645
ko:K12101	hph:HPLT_02650
ko:K15842	hph:HPLT_02705
ko:K12102	hph:HPLT_02655
ko:K12103	hph:HPLT_02660
ko:K12104	hph:HPLT_02665
ko:K12105	hph:HPLT_02670
ko:K12106	hph:HPLT_02675
ko:K12107	hph:HPLT_02680
ko:K12108	hph:HPLT_02685
ko:K12109	hph:HPLT_02690
ko:K12110	hph:HPLT_02695
ko:K15848	hph:HPLT_03610
ko:K15843	hph:HPLT_04640
ko:K15844	hph:HPLT_04645
ko:K12091	hph:HPLT_02605
ko:K12087	hph:HPLT_02580
ko:K15845	hph:HPLT_00035
ko:K10009	hph:HPLT_04780
ko:K00970	hph:HPLT_03190
ko:K03321	hph:HPLT_01190
ko:K01426	hph:HPLT_01515
ko:K12371	hph:HPLT_01550
ko:K12369	hph:HPLT_01540
ko:K02424	hph:HPLT_04785
ko:K09477	hph:HPLT_00750
ko:K03559	hph:HPLT_05620
ko:K07318	hph:HPLT_06040
ko:K03559	hph:HPLT_07165
ko:K12049	hph:HPLT_00205
ko:K13689	hph:HPLT_01140
ko:K12977	hph:HPLT_00100
ko:K12048	hph:HPLT_00210
ko:K12050	hph:HPLT_00200
ko:K03191	hph:HPLT_00390
ko:K13797	hph:HPLT_05980
ko:K02003	hph:HPLT_00940
ko:K15895	hph:HPLT_05385
ko:K15896	hph:HPLT_01680
ko:K11782	hph:HPLT_03925
ko:K01738	hph:HPLT_00575
ko:K01760	hph:HPLT_00570
ko:K01992	hph:HPLT_03035
ko:K07316	hph:HPLT_07570
ko:K01990	hph:HPLT_06105
ko:K17103	hph:HPLT_01945
ko:K03559	hph:HPLT_06725
ko:K02484	hph:HPLT_00865
ko:K02484	hph:HPLT_06850
ko:K01992	hph:HPLT_07400
ko:K12053	hph:HPLT_00080
ko:K17686	hph:HPLT_07490
ko:K17686	hph:HPLT_01940
ko:K01155	hph:HPLT_01350
ko:K07318	hph:HPLT_07460
ko:K00971	hph:HPLT_00215
ko:K05540	hph:HPLT_03635
ko:K11928	hph:HPLT_00255
ko:K01658	hph:HPLT_06435
ko:K01156	hph:HPLT_06940
ko:K00290	hph:HPLT_07510
ko:K01497	hph:HPLT_04050
ko:K00254	hph:HPLT_02245
ko:K06148	hph:HPLT_06030
ko:K05922	hph:HPLT_03150
ko:K05927	hph:HPLT_03145
ko:K00104	hph:HPLT_02515
ko:K07812	hph:HPLT_05180
ko:K12051	hph:HPLT_00195
ko:K03605	hph:HPLT_03160
ko:K05366	hph:HPLT_02970
ko:K15847	hph:HPLT_04545
ko:K07126	hph:HPLT_01720
ko:K07501	hph:HPLT_03440
ko:K15848	hph:HPLT_03625
ko:K12048	hph:HPLT_08364
ko:K11784	hph:HPLT_03280
ko:K11785	hph:HPLT_00800
ko:K18284	hph:HPLT_00485
ko:K18285	hph:HPLT_03270
ko:K18480	hph:HPLT_07270
ko:K00681	hph:HPLT_05565
ko:K07316	hph:HPLT_06935
ko:K18930	hph:HPLT_06115
ko:K03497	hph:HPLT_05665
ko:K03496	hph:HPLT_05670
ko:K03111	hph:HPLT_06245
ko:K03196	hph:HPLT_02600
ko:K03205	hph:HPLT_08359
ko:K03761	hph:HPLT_01825
ko:K00335	hph:HPLT_06355
ko:K03526	hph:HPLT_03115
ko:K02483	hph:HPLT_00870
ko:K02483	hph:HPLT_06855
ko:K03296	hph:HPLT_03020
ko:K07448	hph:HPLT_01895
ko:K00571	hph:HPLT_00500
ko:K00571	hph:HPLT_01355
ko:K00571	hph:HPLT_06865
ko:K00525	hph:HPLT_03385
ko:K00020	hph:HPLT_03200
ko:K07317	hph:HPLT_04625
ko:K04771	hph:HPLT_02205
ko:K00336	hph:HPLT_06360
ko:K01992	hph:HPLT_07395
ko:K19302	hph:HPLT_04315
ko:K19416	hph:HPLT_04675
ko:K02483	hph:HPLT_02085
ko:K20151	hph:HPLT_03250
ko:K20810	hph:HPLT_01375
ko:K20151	hph:HPLT_05320
ko:K12052	hph:HPLT_07695
ko:K07100	hph:HPLT_06065
ko:K02335	hph:HPLT_07305
ko:K02335	hph:HPLT_02190
ko:K01520	hph:HPLT_04380
ko:K02316	hph:HPLT_00055
ko:K00558	hph:HPLT_00250
ko:K03553	hph:HPLT_00805
ko:K00558	hph:HPLT_05580
ko:K01185	hph:HPLT_01735
ko:K06223	hph:HPLT_02360
ko:K00558	hph:HPLT_02370
ko:K02314	hph:HPLT_06840
ko:K06223	hph:HPLT_07465
ko:K03465	hph:HPLT_07625
ko:K00558	hph:HPLT_07895
ko:K00526	hph:HPLT_05395
ko:K02481	hph:HPLT_03510
ko:K01139	hph:HPLT_03910
ko:K07097	hph:HPLT_02090
ko:K10026	hph:HPLT_04740
ko:K21929	hph:HPLT_03245
ko:K03595	hph:HPLT_02560
ko:K22278	hph:HPLT_01595
ko:K14441	hph:HPLT_03685
ko:K22391	hph:HPLT_04885
ko:K17758	hph:HPLT_06845
ko:K17759	hph:HPLT_06845
ko:K00590	hph:HPLT_06870
ko:K00590	hph:HPLT_03430
ko:K00571	hph:HPLT_06785
ko:K01007	hph:HPLT_00640
