ko:K07591	ebd:ECBD_0621
ko:K01588	ebd:ECBD_3135
ko:K01589	ebd:ECBD_3136
ko:K00926	ebd:ECBD_3137
ko:K00865	ebd:ECBD_3144
ko:K10975	ebd:ECBD_3147
ko:K09823	ebd:ECBD_3987
ko:K03327	ebd:ECBD_3989
ko:K01356	ebd:ECBD_3990
ko:K00901	ebd:ECBD_3991
ko:K00631	ebd:ECBD_3992
ko:K03179	ebd:ECBD_3993
ko:K03181	ebd:ECBD_3994
ko:K05775	ebd:ECBD_3998
ko:K02024	ebd:ECBD_3999
ko:K10109	ebd:ECBD_4003
ko:K01810	ebd:ECBD_4012
ko:K00928	ebd:ECBD_4013
ko:K06182	ebd:ECBD_4015
ko:K05995	ebd:ECBD_4016
ko:K01637	ebd:ECBD_4022
ko:K01638	ebd:ECBD_4023
ko:K00651	ebd:ECBD_4024
ko:K03827	ebd:ECBD_4025
ko:K00602	ebd:ECBD_4026
ko:K01945	ebd:ECBD_4027
ko:K07803	ebd:ECBD_4030
ko:K05787	ebd:ECBD_4032
ko:K09891	ebd:ECBD_4033
ko:K05982	ebd:ECBD_4034
ko:K01599	ebd:ECBD_4035
ko:K03426	ebd:ECBD_4036
ko:K07740	ebd:ECBD_4037
ko:K03147	ebd:ECBD_4038
ko:K05367	ebd:ECBD_1167
ko:K00940	ebd:ECBD_1168
ko:K06941	ebd:ECBD_1169
ko:K03098	ebd:ECBD_2086
ko:K01284	ebd:ECBD_2101
ko:K08159	ebd:ECBD_2114
ko:K01425	ebd:ECBD_2118
ko:K00041	ebd:ECBD_2121
ko:K08321	ebd:ECBD_2125
ko:K07154	ebd:ECBD_2131
ko:K01581	ebd:ECBD_2968
ko:K03645	ebd:ECBD_2974
ko:K03839	ebd:ECBD_2977
ko:K01886	ebd:ECBD_2981
ko:K02802	ebd:ECBD_2983
ko:K02803	ebd:ECBD_2983
ko:K02804	ebd:ECBD_2983
ko:K01443	ebd:ECBD_2985
ko:K02565	ebd:ECBD_2986
ko:K01953	ebd:ECBD_2988
ko:K03184	ebd:ECBD_2989
ko:K06168	ebd:ECBD_2990
ko:K07042	ebd:ECBD_2992
ko:K06189	ebd:ECBD_2993
ko:K03820	ebd:ECBD_2994
ko:K10001	ebd:ECBD_2996
ko:K10003	ebd:ECBD_2997
ko:K10002	ebd:ECBD_2998
ko:K04045	ebd:ECBD_3003
ko:K01869	ebd:ECBD_3009
ko:K03643	ebd:ECBD_3010
ko:K02340	ebd:ECBD_3011
ko:K00969	ebd:ECBD_3012
ko:K09710	ebd:ECBD_3014
ko:K00783	ebd:ECBD_3015
ko:K05515	ebd:ECBD_3016
ko:K05837	ebd:ECBD_3017
ko:K03642	ebd:ECBD_3018
ko:K09158	ebd:ECBD_3020
ko:K03801	ebd:ECBD_3021
ko:K03644	ebd:ECBD_3023
ko:K03425	ebd:ECBD_3024
ko:K06949	ebd:ECBD_3870
ko:K01613	ebd:ECBD_3871
ko:K04568	ebd:ECBD_3874
ko:K00246	ebd:ECBD_3877
ko:K03098	ebd:ECBD_3880
ko:K02356	ebd:ECBD_3884
ko:K04077	ebd:ECBD_3888
ko:K04078	ebd:ECBD_3889
ko:K07113	ebd:ECBD_3891
ko:K01744	ebd:ECBD_3892
ko:K03926	ebd:ECBD_3894
ko:K04084	ebd:ECBD_3895
ko:K03765	ebd:ECBD_3897
ko:K03305	ebd:ECBD_3900
ko:K04567	ebd:ECBD_3901
ko:K06975	ebd:ECBD_3904
ko:K07703	ebd:ECBD_3907
ko:K01676	ebd:ECBD_3909
ko:K08984	ebd:ECBD_3910
ko:K07406	ebd:ECBD_3912
ko:K01584	ebd:ECBD_3914
ko:K03755	ebd:ECBD_3915
ko:K03759	ebd:ECBD_3916
ko:K03760	ebd:ECBD_3917
ko:K07643	ebd:ECBD_3919
ko:K06193	ebd:ECBD_3923
ko:K02041	ebd:ECBD_3925
ko:K01892	ebd:ECBD_1172
ko:K03977	ebd:ECBD_1175
ko:K03601	ebd:ECBD_1177
ko:K01951	ebd:ECBD_1179
ko:K00937	ebd:ECBD_1187
ko:K11175	ebd:ECBD_1188
ko:K01933	ebd:ECBD_1189
ko:K00761	ebd:ECBD_1190
ko:K10763	ebd:ECBD_1192
ko:K12141	ebd:ECBD_1202
ko:K12140	ebd:ECBD_1203
ko:K03564	ebd:ECBD_1209
ko:K03567	ebd:ECBD_1210
ko:K01714	ebd:ECBD_1211
ko:K07287	ebd:ECBD_1212
ko:K01923	ebd:ECBD_1213
ko:K06999	ebd:ECBD_1216
ko:K07674	ebd:ECBD_1221
ko:K00615	ebd:ECBD_1225
ko:K00029	ebd:ECBD_1227
ko:K04031	ebd:ECBD_1228
ko:K06871	ebd:ECBD_2142
ko:K02471	ebd:ECBD_2143
ko:K08641	ebd:ECBD_2151
ko:K02034	ebd:ECBD_2154
ko:K02972	ebd:ECBD_2159
ko:K08349	ebd:ECBD_2164
ko:K02575	ebd:ECBD_2169
ko:K01821	ebd:ECBD_2177
ko:K11208	ebd:ECBD_2184
ko:K11738	ebd:ECBD_2186
ko:K03823	ebd:ECBD_2191
ko:K09936	ebd:ECBD_2192
ko:K00137	ebd:ECBD_2195
ko:K06199	ebd:ECBD_3026
ko:K03704	ebd:ECBD_3027
ko:K07702	ebd:ECBD_3030
ko:K07700	ebd:ECBD_3031
ko:K01910	ebd:ECBD_3034
ko:K01646	ebd:ECBD_3035
ko:K01644	ebd:ECBD_3036
ko:K01643	ebd:ECBD_3037
ko:K05964	ebd:ECBD_3038
ko:K06140	ebd:ECBD_3042
ko:K11932	ebd:ECBD_3045
ko:K03387	ebd:ECBD_3046
ko:K03805	ebd:ECBD_3048
ko:K08317	ebd:ECBD_3054
ko:K00216	ebd:ECBD_3058
ko:K02363	ebd:ECBD_3060
ko:K02361	ebd:ECBD_3061
ko:K02016	ebd:ECBD_3063
ko:K02015	ebd:ECBD_3065
ko:K02015	ebd:ECBD_3066
ko:K02013	ebd:ECBD_3067
ko:K02362	ebd:ECBD_3073
ko:K06048	ebd:ECBD_3081
ko:K10679	ebd:ECBD_3084
ko:K11732	ebd:ECBD_3086
ko:K07787	ebd:ECBD_3087
ko:K02044	ebd:ECBD_3926
ko:K02042	ebd:ECBD_3927
ko:K02043	ebd:ECBD_3928
ko:K06166	ebd:ECBD_3929
ko:K06165	ebd:ECBD_3930
ko:K06164	ebd:ECBD_3931
ko:K06163	ebd:ECBD_3932
ko:K05781	ebd:ECBD_3933
ko:K05780	ebd:ECBD_3934
ko:K06162	ebd:ECBD_3935
ko:K05774	ebd:ECBD_3936
ko:K06167	ebd:ECBD_3938
ko:K01808	ebd:ECBD_3940
ko:K11102	ebd:ECBD_3955
ko:K04013	ebd:ECBD_3961
ko:K03385	ebd:ECBD_3962
ko:K01895	ebd:ECBD_3963
ko:K06901	ebd:ECBD_3968
ko:K03701	ebd:ECBD_3974
ko:K03788	ebd:ECBD_3977
ko:K00832	ebd:ECBD_3979
ko:K01775	ebd:ECBD_3980
ko:K05539	ebd:ECBD_3984
ko:K04029	ebd:ECBD_1229
ko:K04032	ebd:ECBD_1231
ko:K04020	ebd:ECBD_1232
ko:K04024	ebd:ECBD_1236
ko:K04022	ebd:ECBD_1237
ko:K04023	ebd:ECBD_1239
ko:K04019	ebd:ECBD_1240
ko:K03735	ebd:ECBD_1241
ko:K03736	ebd:ECBD_1242
ko:K04026	ebd:ECBD_1243
ko:K04025	ebd:ECBD_1244
ko:K04033	ebd:ECBD_1245
ko:K00228	ebd:ECBD_1246
ko:K01448	ebd:ECBD_1247
ko:K07223	ebd:ECBD_1251
ko:K11191	ebd:ECBD_1252
ko:K11192	ebd:ECBD_1252
ko:K07106	ebd:ECBD_1253
ko:K02048	ebd:ECBD_1256
ko:K02046	ebd:ECBD_1257
ko:K09997	ebd:ECBD_2731
ko:K09999	ebd:ECBD_2732
ko:K09996	ebd:ECBD_2734
ko:K03212	ebd:ECBD_2735
ko:K11074	ebd:ECBD_2737
ko:K11075	ebd:ECBD_2738
ko:K02194	ebd:ECBD_1460
ko:K02195	ebd:ECBD_1461
ko:K02196	ebd:ECBD_1462
ko:K02197	ebd:ECBD_1463
ko:K02198	ebd:ECBD_1464
ko:K02199	ebd:ECBD_1465
ko:K07685	ebd:ECBD_1467
ko:K00963	ebd:ECBD_2386
ko:K07001	ebd:ECBD_2388
ko:K09858	ebd:ECBD_2389
ko:K01433	ebd:ECBD_2390
ko:K00373	ebd:ECBD_2392
ko:K00371	ebd:ECBD_2393
ko:K00370	ebd:ECBD_2394
ko:K02575	ebd:ECBD_2395
ko:K07673	ebd:ECBD_2397
ko:K07300	ebd:ECBD_2403
ko:K01627	ebd:ECBD_2406
ko:K02493	ebd:ECBD_2409
ko:K02835	ebd:ECBD_2410
ko:K02492	ebd:ECBD_2411
ko:K02494	ebd:ECBD_2412
ko:K00919	ebd:ECBD_2413
ko:K00948	ebd:ECBD_2414
ko:K01056	ebd:ECBD_2417
ko:K06942	ebd:ECBD_2418
ko:K05880	ebd:ECBD_2421
ko:K05878	ebd:ECBD_2422
ko:K05879	ebd:ECBD_2423
ko:K05881	ebd:ECBD_2424
ko:K01194	ebd:ECBD_2425
ko:K08308	ebd:ECBD_2429
ko:K01775	ebd:ECBD_2432
ko:K00285	ebd:ECBD_2433
ko:K03603	ebd:ECBD_2435
ko:K03314	ebd:ECBD_2436
ko:K03611	ebd:ECBD_2437
ko:K09160	ebd:ECBD_2441
ko:K09902	ebd:ECBD_2443
ko:K06920	ebd:ECBD_3211
ko:K12500	ebd:ECBD_3212
ko:K02237	ebd:ECBD_3213
ko:K03770	ebd:ECBD_3214
ko:K03530	ebd:ECBD_3215
ko:K01338	ebd:ECBD_3216
ko:K03544	ebd:ECBD_3219
ko:K01358	ebd:ECBD_3220
ko:K03545	ebd:ECBD_3221
ko:K05527	ebd:ECBD_3223
ko:K07286	ebd:ECBD_3224
ko:K08218	ebd:ECBD_3225
ko:K02297	ebd:ECBD_3226
ko:K02298	ebd:ECBD_3227
ko:K02299	ebd:ECBD_3228
ko:K02300	ebd:ECBD_3229
ko:K09767	ebd:ECBD_3235
ko:K00077	ebd:ECBD_3236
ko:K03152	ebd:ECBD_3237
ko:K03151	ebd:ECBD_3238
ko:K03602	ebd:ECBD_3239
ko:K00795	ebd:ECBD_3240
ko:K01662	ebd:ECBD_3241
ko:K01095	ebd:ECBD_3243
ko:K00946	ebd:ECBD_3244
ko:K03625	ebd:ECBD_3245
ko:K00794	ebd:ECBD_3246
ko:K11752	ebd:ECBD_3247
ko:K07738	ebd:ECBD_3248
ko:K05517	ebd:ECBD_3250
ko:K03074	ebd:ECBD_3252
ko:K03072	ebd:ECBD_3253
ko:K03210	ebd:ECBD_3254
ko:K00773	ebd:ECBD_3255
ko:K07568	ebd:ECBD_3256
ko:K08682	ebd:ECBD_3257
ko:K11736	ebd:ECBD_3259
ko:K03311	ebd:ECBD_3260
ko:K07636	ebd:ECBD_3261
ko:K03547	ebd:ECBD_3263
ko:K00847	ebd:ECBD_3267
ko:K03554	ebd:ECBD_3268
ko:K07014	ebd:ECBD_1469
ko:K09904	ebd:ECBD_1470
ko:K06899	ebd:ECBD_1471
ko:K02897	ebd:ECBD_1472
ko:K07552	ebd:ECBD_1475
ko:K02356	ebd:ECBD_1486
ko:K06940	ebd:ECBD_1487
ko:K03291	ebd:ECBD_1488
ko:K02768	ebd:ECBD_1489
ko:K11183	ebd:ECBD_1489
ko:K02769	ebd:ECBD_1491
ko:K02770	ebd:ECBD_1491
ko:K10213	ebd:ECBD_1496
ko:K01151	ebd:ECBD_1499
ko:K11733	ebd:ECBD_1502
ko:K01495	ebd:ECBD_1505
ko:K07148	ebd:ECBD_1506
ko:K02529	ebd:ECBD_1507
ko:K10542	ebd:ECBD_1509
ko:K05541	ebd:ECBD_1518
ko:K07262	ebd:ECBD_1524
ko:K03777	ebd:ECBD_1525
ko:K05349	ebd:ECBD_1526
ko:K05846	ebd:ECBD_1528
ko:K09913	ebd:ECBD_3273
ko:K00891	ebd:ECBD_3276
ko:K09768	ebd:ECBD_3277
ko:K00286	ebd:ECBD_3278
ko:K01921	ebd:ECBD_3283
ko:K01698	ebd:ECBD_3292
ko:K03119	ebd:ECBD_3293
ko:K09912	ebd:ECBD_3303
ko:K01666	ebd:ECBD_3305
ko:K05818	ebd:ECBD_3311
ko:K02532	ebd:ECBD_3314
ko:K03449	ebd:ECBD_3316
ko:K01725	ebd:ECBD_3317
ko:K01673	ebd:ECBD_3318
ko:K11921	ebd:ECBD_3319
ko:K10974	ebd:ECBD_3321
ko:K01908	ebd:ECBD_3322
ko:K01720	ebd:ECBD_3323
ko:K02688	ebd:ECBD_3327
ko:K11076	ebd:ECBD_2739
ko:K11073	ebd:ECBD_2740
ko:K07085	ebd:ECBD_2747
ko:K08160	ebd:ECBD_2781
ko:K11534	ebd:ECBD_2783
ko:K03720	ebd:ECBD_3627
ko:K08309	ebd:ECBD_3628
ko:K04485	ebd:ECBD_3631
ko:K03800	ebd:ECBD_3634
ko:K01839	ebd:ECBD_3637
ko:K03424	ebd:ECBD_3642
ko:K02837	ebd:ECBD_3646
ko:K08723	ebd:ECBD_3647
ko:K03789	ebd:ECBD_3648
ko:K02344	ebd:ECBD_3649
ko:K02317	ebd:ECBD_3657
ko:K02511	ebd:ECBD_3672
ko:K01153	ebd:ECBD_3680
ko:K03427	ebd:ECBD_3681
ko:K03424	ebd:ECBD_4184
ko:K03118	ebd:ECBD_4185
ko:K03117	ebd:ECBD_4186
ko:K03116	ebd:ECBD_4187
ko:K03688	ebd:ECBD_4188
ko:K03690	ebd:ECBD_4189
ko:K03183	ebd:ECBD_4190
ko:K09760	ebd:ECBD_4191
ko:K00883	ebd:ECBD_4193
ko:K00757	ebd:ECBD_4198
ko:K00926	ebd:ECBD_4205
ko:K00549	ebd:ECBD_4209
ko:K03576	ebd:ECBD_4210
ko:K03654	ebd:ECBD_4216
ko:K01058	ebd:ECBD_4217
ko:K05786	ebd:ECBD_4219
ko:K03284	ebd:ECBD_4224
ko:K03657	ebd:ECBD_4228
ko:K03733	ebd:ECBD_4230
ko:K09921	ebd:ECBD_4231
ko:K01778	ebd:ECBD_4232
ko:K06202	ebd:ECBD_4235
ko:K05851	ebd:ECBD_4236
ko:K01749	ebd:ECBD_4237
ko:K02496	ebd:ECBD_4239
ko:K02498	ebd:ECBD_4240
ko:K06871	ebd:ECBD_4242
ko:K06966	ebd:ECBD_0934
ko:K06175	ebd:ECBD_0938
ko:K01706	ebd:ECBD_0942
ko:K03215	ebd:ECBD_0944
ko:K01937	ebd:ECBD_0949
ko:K01689	ebd:ECBD_0950
ko:K06872	ebd:ECBD_0951
ko:K10026	ebd:ECBD_0953
ko:K00313	ebd:ECBD_0963
ko:K01737	ebd:ECBD_0964
ko:K00381	ebd:ECBD_0966
ko:K00390	ebd:ECBD_0967
ko:K00957	ebd:ECBD_0972
ko:K00860	ebd:ECBD_0974
ko:K05589	ebd:ECBD_0976
ko:K00991	ebd:ECBD_0977
ko:K01770	ebd:ECBD_0978
ko:K06176	ebd:ECBD_0979
ko:K03787	ebd:ECBD_0980
ko:K00573	ebd:ECBD_0981
ko:K06194	ebd:ECBD_0982
ko:K03761	ebd:ECBD_1093
ko:K03555	ebd:ECBD_0991
ko:K01142	ebd:ECBD_1895
ko:K00840	ebd:ECBD_1897
ko:K00673	ebd:ECBD_1898
ko:K06447	ebd:ECBD_1899
ko:K01484	ebd:ECBD_1900
ko:K05526	ebd:ECBD_1901
ko:K09975	ebd:ECBD_1903
ko:K05984	ebd:ECBD_1904
ko:K04064	ebd:ECBD_1906
ko:K02760	ebd:ECBD_1907
ko:K02761	ebd:ECBD_1908
ko:K02759	ebd:ECBD_1909
ko:K03490	ebd:ECBD_1910
ko:K03781	ebd:ECBD_1913
ko:K06956	ebd:ECBD_1916
ko:K01868	ebd:ECBD_1926
ko:K02520	ebd:ECBD_1927
ko:K02916	ebd:ECBD_1928
ko:K02887	ebd:ECBD_1929
ko:K01889	ebd:ECBD_1931
ko:K01890	ebd:ECBD_1932
ko:K04764	ebd:ECBD_1933
ko:K06073	ebd:ECBD_1934
ko:K00432	ebd:ECBD_1935
ko:K06074	ebd:ECBD_1936
ko:K01626	ebd:ECBD_1941
ko:K09773	ebd:ECBD_1942
ko:K12507	ebd:ECBD_1945
ko:K00313	ebd:ECBD_1947
ko:K03785	ebd:ECBD_1953
ko:K05887	ebd:ECBD_1954
ko:K03750	ebd:ECBD_2796
ko:K04069	ebd:ECBD_2799
ko:K00656	ebd:ECBD_2800
ko:K11924	ebd:ECBD_2806
ko:K11934	ebd:ECBD_2809
ko:K11939	ebd:ECBD_2810
ko:K04047	ebd:ECBD_2811
ko:K10036	ebd:ECBD_2812
ko:K10037	ebd:ECBD_2813
ko:K11927	ebd:ECBD_2826
ko:K01993	ebd:ECBD_2828
ko:K06890	ebd:ECBD_2836
ko:K06890	ebd:ECBD_2837
ko:K03636	ebd:ECBD_2839
ko:K03637	ebd:ECBD_2840
ko:K03638	ebd:ECBD_2841
ko:K03639	ebd:ECBD_2842
ko:K03702	ebd:ECBD_2844
ko:K01935	ebd:ECBD_2845
ko:K02169	ebd:ECBD_2846
ko:K01012	ebd:ECBD_2848
ko:K00833	ebd:ECBD_2849
ko:K07559	ebd:ECBD_3700
ko:K01305	ebd:ECBD_3703
ko:K01686	ebd:ECBD_3713
ko:K07348	ebd:ECBD_3717
ko:K07347	ebd:ECBD_3718
ko:K07345	ebd:ECBD_3721
ko:K09982	ebd:ECBD_3730
ko:K02774	ebd:ECBD_3734
ko:K02773	ebd:ECBD_3737
ko:K03088	ebd:ECBD_3745
ko:K02853	ebd:ECBD_4245
ko:K02805	ebd:ECBD_4248
ko:K00973	ebd:ECBD_4250
ko:K02472	ebd:ECBD_4252
ko:K05790	ebd:ECBD_4254
ko:K03628	ebd:ECBD_4257
ko:K03671	ebd:ECBD_4259
ko:K03732	ebd:ECBD_4260
ko:K03656	ebd:ECBD_4262
ko:K00053	ebd:ECBD_4265
ko:K02521	ebd:ECBD_4266
ko:K01754	ebd:ECBD_4267
ko:K01687	ebd:ECBD_4268
ko:K00826	ebd:ECBD_4269
ko:K11258	ebd:ECBD_4270
ko:K01652	ebd:ECBD_4271
ko:K07391	ebd:ECBD_4272
ko:K09897	ebd:ECBD_4273
ko:K02529	ebd:ECBD_4277
ko:K10441	ebd:ECBD_4281
ko:K03549	ebd:ECBD_4285
ko:K03924	ebd:ECBD_4286
ko:K01914	ebd:ECBD_4288
ko:K06205	ebd:ECBD_4290
ko:K03495	ebd:ECBD_4291
ko:K03501	ebd:ECBD_4292
ko:K02108	ebd:ECBD_4294
ko:K02110	ebd:ECBD_4295
ko:K02109	ebd:ECBD_4296
ko:K02113	ebd:ECBD_4297
ko:K04654	ebd:ECBD_0996
ko:K04653	ebd:ECBD_0997
ko:K04651	ebd:ECBD_0999
ko:K08315	ebd:ECBD_1008
ko:K01223	ebd:ECBD_1009
ko:K05796	ebd:ECBD_1012
ko:K04656	ebd:ECBD_1013
ko:K12265	ebd:ECBD_1014
ko:K04564	ebd:ECBD_4115
ko:K02856	ebd:ECBD_4116
ko:K02854	ebd:ECBD_4117
ko:K00848	ebd:ECBD_4120
ko:K03534	ebd:ECBD_4123
ko:K01876	ebd:ECBD_1772
ko:K08310	ebd:ECBD_1773
ko:K01159	ebd:ECBD_1775
ko:K03550	ebd:ECBD_1777
ko:K03551	ebd:ECBD_1778
ko:K09816	ebd:ECBD_1779
ko:K09817	ebd:ECBD_1780
ko:K02560	ebd:ECBD_1783
ko:K00873	ebd:ECBD_1784
ko:K00036	ebd:ECBD_1787
ko:K01690	ebd:ECBD_1788
ko:K01625	ebd:ECBD_1789
ko:K08289	ebd:ECBD_1790
ko:K09918	ebd:ECBD_1791
ko:K01354	ebd:ECBD_1795
ko:K10857	ebd:ECBD_1796
ko:K07156	ebd:ECBD_1799
ko:K03808	ebd:ECBD_1807
ko:K03607	ebd:ECBD_1809
ko:K03797	ebd:ECBD_1810
ko:K03799	ebd:ECBD_1811
ko:K08169	ebd:ECBD_1812
ko:K03704	ebd:ECBD_1818
ko:K00563	ebd:ECBD_1819
ko:K01752	ebd:ECBD_1828
ko:K03633	ebd:ECBD_2673
ko:K06219	ebd:ECBD_2674
ko:K00979	ebd:ECBD_2677
ko:K09791	ebd:ECBD_2678
ko:K09927	ebd:ECBD_2679
ko:K00912	ebd:ECBD_2680
ko:K05788	ebd:ECBD_2683
ko:K02945	ebd:ECBD_2684
ko:K00945	ebd:ECBD_2685
ko:K07387	ebd:ECBD_2686
ko:K00800	ebd:ECBD_2687
ko:K00831	ebd:ECBD_2688
ko:K09136	ebd:ECBD_2690
ko:K00656	ebd:ECBD_2692
ko:K04069	ebd:ECBD_2693
ko:K08219	ebd:ECBD_2697
ko:K07306	ebd:ECBD_2701
ko:K01875	ebd:ECBD_2702
ko:K07478	ebd:ECBD_2703
ko:K03634	ebd:ECBD_2704
ko:K03466	ebd:ECBD_2705
ko:K00384	ebd:ECBD_2707
ko:K00684	ebd:ECBD_2710
ko:K02518	ebd:ECBD_2711
ko:K03694	ebd:ECBD_2712
ko:K06891	ebd:ECBD_2713
ko:K03704	ebd:ECBD_2714
ko:K09824	ebd:ECBD_2717
ko:K06188	ebd:ECBD_2719
ko:K11933	ebd:ECBD_2722
ko:K00156	ebd:ECBD_2723
ko:K01620	ebd:ECBD_2724
ko:K11066	ebd:ECBD_2727
ko:K00097	ebd:ECBD_3563
ko:K02528	ebd:ECBD_3564
ko:K06195	ebd:ECBD_3565
ko:K11746	ebd:ECBD_3569
ko:K00313	ebd:ECBD_3572
ko:K03522	ebd:ECBD_3573
ko:K03521	ebd:ECBD_3574
ko:K05245	ebd:ECBD_3575
ko:K08297	ebd:ECBD_3576
ko:K02182	ebd:ECBD_3578
ko:K08277	ebd:ECBD_3581
ko:K01955	ebd:ECBD_3582
ko:K01956	ebd:ECBD_3583
ko:K03527	ebd:ECBD_3587
ko:K03774	ebd:ECBD_3588
ko:K03101	ebd:ECBD_3589
ko:K01870	ebd:ECBD_3590
ko:K11753	ebd:ECBD_3591
ko:K02968	ebd:ECBD_3593
ko:K03717	ebd:ECBD_3599
ko:K03313	ebd:ECBD_3600
ko:K03686	ebd:ECBD_3604
ko:K04043	ebd:ECBD_3605
ko:K03831	ebd:ECBD_3609
ko:K03310	ebd:ECBD_3611
ko:K09861	ebd:ECBD_3612
ko:K01733	ebd:ECBD_3614
ko:K00872	ebd:ECBD_3615
ko:K12524	ebd:ECBD_3616
ko:K07773	ebd:ECBD_3619
ko:K06143	ebd:ECBD_3620
ko:K07641	ebd:ECBD_3621
ko:K07663	ebd:ECBD_3622
ko:K05805	ebd:ECBD_3623
ko:K05804	ebd:ECBD_3624
ko:K02379	ebd:ECBD_4130
ko:K00123	ebd:ECBD_4131
ko:K02380	ebd:ECBD_4134
ko:K07560	ebd:ECBD_4140
ko:K07058	ebd:ECBD_4141
ko:K06207	ebd:ECBD_4156
ko:K01915	ebd:ECBD_4157
ko:K07708	ebd:ECBD_4158
ko:K07712	ebd:ECBD_4159
ko:K09894	ebd:ECBD_4162
ko:K03978	ebd:ECBD_4163
ko:K09896	ebd:ECBD_4172
ko:K03752	ebd:ECBD_4173
ko:K03753	ebd:ECBD_4174
ko:K05368	ebd:ECBD_4181
ko:K03182	ebd:ECBD_4182
ko:K01815	ebd:ECBD_0879
ko:K01586	ebd:ECBD_0886
ko:K02529	ebd:ECBD_0887
ko:K08227	ebd:ECBD_0889
ko:K03573	ebd:ECBD_0893
ko:K08311	ebd:ECBD_0895
ko:K08484	ebd:ECBD_0896
ko:K02679	ebd:ECBD_0899
ko:K02680	ebd:ECBD_0900
ko:K03583	ebd:ECBD_0903
ko:K01407	ebd:ECBD_0904
ko:K03582	ebd:ECBD_0905
ko:K03581	ebd:ECBD_0906
ko:K01448	ebd:ECBD_0908
ko:K08304	ebd:ECBD_0909
ko:K02426	ebd:ECBD_0911
ko:K06968	ebd:ECBD_0916
ko:K02430	ebd:ECBD_0917
ko:K02431	ebd:ECBD_0918
ko:K01818	ebd:ECBD_0920
ko:K10441	ebd:ECBD_0921
ko:K00048	ebd:ECBD_0929
ko:K01752	ebd:ECBD_0931
ko:K03837	ebd:ECBD_0932
ko:K01665	ebd:ECBD_1830
ko:K09917	ebd:ECBD_1831
ko:K07285	ebd:ECBD_1836
ko:K03684	ebd:ECBD_1838
ko:K11250	ebd:ECBD_1844
ko:K09712	ebd:ECBD_1852
ko:K03449	ebd:ECBD_1854
ko:K09786	ebd:ECBD_1860
ko:K00134	ebd:ECBD_1865
ko:K09916	ebd:ECBD_1867
ko:K08369	ebd:ECBD_1869
ko:K09477	ebd:ECBD_3040
ko:K13051	ebd:ECBD_2795
ko:K00879	ebd:ECBD_0919
ko:K13292	ebd:ECBD_0897
ko:K12961	ebd:ECBD_0591
ko:K12963	ebd:ECBD_1400
ko:K00247	ebd:ECBD_3878
ko:K01119	ebd:ECBD_3816
ko:K05874	ebd:ECBD_3664
ko:K02681	ebd:ECBD_0902
ko:K12985	ebd:ECBD_0102
ko:K13014	ebd:ECBD_1403
ko:K10804	ebd:ECBD_3162
ko:K05877	ebd:ECBD_1753
ko:K02798	ebd:ECBD_0129
ko:K02799	ebd:ECBD_0129
ko:K02800	ebd:ECBD_0129
ko:K01048	ebd:ECBD_4213
ko:K09798	ebd:ECBD_0111
ko:K03071	ebd:ECBD_0116
ko:K00057	ebd:ECBD_0117
ko:K00640	ebd:ECBD_0118
ko:K03216	ebd:ECBD_0119
ko:K00101	ebd:ECBD_0120
ko:K00427	ebd:ECBD_0122
ko:K02562	ebd:ECBD_0127
ko:K00009	ebd:ECBD_0128
ko:K14225	ebd:ECBD_R0091
ko:K02461	ebd:ECBD_0418
ko:K02460	ebd:ECBD_0419
ko:K02459	ebd:ECBD_0420
ko:K02458	ebd:ECBD_0421
ko:K02457	ebd:ECBD_0422
ko:K02456	ebd:ECBD_0423
ko:K02454	ebd:ECBD_0425
ko:K02453	ebd:ECBD_0426
ko:K02452	ebd:ECBD_0427
ko:K02450	ebd:ECBD_0428
ko:K02451	ebd:ECBD_0429
ko:K02946	ebd:ECBD_0430
ko:K02906	ebd:ECBD_0431
ko:K02926	ebd:ECBD_0432
ko:K02892	ebd:ECBD_0433
ko:K02886	ebd:ECBD_0434
ko:K02965	ebd:ECBD_0435
ko:K06871	ebd:ECBD_0028
ko:K02890	ebd:ECBD_0436
ko:K02982	ebd:ECBD_0437
ko:K01631	ebd:ECBD_0010
ko:K01684	ebd:ECBD_0011
ko:K01811	ebd:ECBD_0068
ko:K03312	ebd:ECBD_0071
ko:K03655	ebd:ECBD_0073
ko:K00556	ebd:ECBD_0074
ko:K03060	ebd:ECBD_0076
ko:K00942	ebd:ECBD_0077
ko:K01972	ebd:ECBD_0078
ko:K00989	ebd:ECBD_0083
ko:K00762	ebd:ECBD_0084
ko:K05501	ebd:ECBD_0085
ko:K03630	ebd:ECBD_0088
ko:K02902	ebd:ECBD_0089
ko:K02913	ebd:ECBD_0090
ko:K10563	ebd:ECBD_0091
ko:K00954	ebd:ECBD_0092
ko:K02527	ebd:ECBD_0093
ko:K02844	ebd:ECBD_0095
ko:K02848	ebd:ECBD_0096
ko:K02850	ebd:ECBD_0101
ko:K04080	ebd:ECBD_0016
ko:K04081	ebd:ECBD_0017
ko:K07085	ebd:ECBD_0018
ko:K02749	ebd:ECBD_0020
ko:K02750	ebd:ECBD_0020
ko:K01232	ebd:ECBD_0021
ko:K00389	ebd:ECBD_0026
ko:K03297	ebd:ECBD_3115
ko:K16345	ebd:ECBD_0070
ko:K00024	ebd:ECBD_0511
ko:K05814	ebd:ECBD_0289
ko:K05815	ebd:ECBD_0290
