ko:K16235	bbrs:BS27_1067
ko:K02077	bbrs:BS27_0575
ko:K00128	bbrs:BS27_0577
ko:K01945	bbrs:BS27_0578
ko:K01933	bbrs:BS27_0579
ko:K00764	bbrs:BS27_0580
ko:K01952	bbrs:BS27_0588
ko:K01923	bbrs:BS27_0589
ko:K02769	bbrs:BS27_1404
ko:K02768	bbrs:BS27_1405
ko:K13527	bbrs:BS27_1409
ko:K01079	bbrs:BS27_1411
ko:K04066	bbrs:BS27_1412
ko:K07025	bbrs:BS27_1413
ko:K00604	bbrs:BS27_1414
ko:K01687	bbrs:BS27_1415
ko:K03060	bbrs:BS27_1416
ko:K00789	bbrs:BS27_1417
ko:K15342	bbrs:BS27_1429
ko:K01870	bbrs:BS27_1437
ko:K00852	bbrs:BS27_1438
ko:K06726	bbrs:BS27_1439
ko:K10439	bbrs:BS27_1440
ko:K10440	bbrs:BS27_1441
ko:K10441	bbrs:BS27_1442
ko:K02529	bbrs:BS27_1443
ko:K01091	bbrs:BS27_1449
ko:K01250	bbrs:BS27_1450
ko:K01817	bbrs:BS27_1452
ko:K16787	bbrs:BS27_1453
ko:K16786	bbrs:BS27_1454
ko:K16785	bbrs:BS27_1455
ko:K16923	bbrs:BS27_1456
ko:K00852	bbrs:BS27_1457
ko:K06147	bbrs:BS27_1458
ko:K06147	bbrs:BS27_1459
ko:K06147	bbrs:BS27_1812
ko:K07133	bbrs:BS27_1813
ko:K02939	bbrs:BS27_0264
ko:K01990	bbrs:BS27_0268
ko:K02440	bbrs:BS27_0275
ko:K17686	bbrs:BS27_0276
ko:K09760	bbrs:BS27_0278
ko:K01990	bbrs:BS27_0281
ko:K02435	bbrs:BS27_0284
ko:K02433	bbrs:BS27_0285
ko:K02434	bbrs:BS27_0286
ko:K03628	bbrs:BS27_0290
ko:K10188	bbrs:BS27_0294
ko:K10189	bbrs:BS27_0295
ko:K10190	bbrs:BS27_0296
ko:K07407	bbrs:BS27_0297
ko:K04092	bbrs:BS27_0299
ko:K01873	bbrs:BS27_0301
ko:K10773	bbrs:BS27_0303
ko:K01507	bbrs:BS27_0307
ko:K16147	bbrs:BS27_0308
ko:K00651	bbrs:BS27_0310
ko:K02108	bbrs:BS27_0311
ko:K02110	bbrs:BS27_0312
ko:K02109	bbrs:BS27_0313
ko:K02113	bbrs:BS27_0314
ko:K02111	bbrs:BS27_0315
ko:K02115	bbrs:BS27_0316
ko:K02112	bbrs:BS27_0317
ko:K02114	bbrs:BS27_0318
ko:K02340	bbrs:BS27_1142
ko:K02237	bbrs:BS27_1144
ko:K01869	bbrs:BS27_1145
ko:K03284	bbrs:BS27_1147
ko:K01834	bbrs:BS27_1148
ko:K07006	bbrs:BS27_1150
ko:K09704	bbrs:BS27_1154
ko:K05349	bbrs:BS27_1163
ko:K02026	bbrs:BS27_1165
ko:K02025	bbrs:BS27_1166
ko:K02027	bbrs:BS27_1167
ko:K01191	bbrs:BS27_1168
ko:K01191	bbrs:BS27_1169
ko:K03767	bbrs:BS27_1176
ko:K00951	bbrs:BS27_1177
ko:K02469	bbrs:BS27_1182
ko:K03724	bbrs:BS27_1186
ko:K00852	bbrs:BS27_1188
ko:K02470	bbrs:BS27_1190
ko:K03086	bbrs:BS27_1191
ko:K13787	bbrs:BS27_1193
ko:K00655	bbrs:BS27_1195
ko:K00849	bbrs:BS27_0483
ko:K07166	bbrs:BS27_0484
ko:K09157	bbrs:BS27_0485
ko:K03216	bbrs:BS27_0486
ko:K03575	bbrs:BS27_0487
ko:K03043	bbrs:BS27_0489
ko:K03046	bbrs:BS27_0490
ko:K03657	bbrs:BS27_0496
ko:K00215	bbrs:BS27_0498
ko:K01714	bbrs:BS27_0499
ko:K12574	bbrs:BS27_0500
ko:K01256	bbrs:BS27_0501
ko:K03431	bbrs:BS27_0502
ko:K01462	bbrs:BS27_0503
ko:K02836	bbrs:BS27_0505
ko:K09812	bbrs:BS27_0506
ko:K09811	bbrs:BS27_0507
ko:K03664	bbrs:BS27_0509
ko:K02030	bbrs:BS27_0510
ko:K02030	bbrs:BS27_0511
ko:K02029	bbrs:BS27_0512
ko:K02028	bbrs:BS27_0513
ko:K00820	bbrs:BS27_0514
ko:K06177	bbrs:BS27_0515
ko:K02025	bbrs:BS27_0517
ko:K02026	bbrs:BS27_0519
ko:K12308	bbrs:BS27_0520
ko:K02027	bbrs:BS27_0521
ko:K02027	bbrs:BS27_0522
ko:K03525	bbrs:BS27_0523
ko:K02035	bbrs:BS27_0524
ko:K02033	bbrs:BS27_0525
ko:K02034	bbrs:BS27_0526
ko:K01697	bbrs:BS27_0529
ko:K01739	bbrs:BS27_0530
ko:K03654	bbrs:BS27_0531
ko:K07173	bbrs:BS27_0532
ko:K03294	bbrs:BS27_0534
ko:K01775	bbrs:BS27_0535
ko:K01129	bbrs:BS27_0536
ko:K07478	bbrs:BS27_1356
ko:K06895	bbrs:BS27_1361
ko:K10007	bbrs:BS27_1363
ko:K10006	bbrs:BS27_1364
ko:K10005	bbrs:BS27_1365
ko:K10008	bbrs:BS27_1366
ko:K01876	bbrs:BS27_1368
ko:K01892	bbrs:BS27_1369
ko:K03696	bbrs:BS27_1376
ko:K03704	bbrs:BS27_1379
ko:K02484	bbrs:BS27_1380
ko:K04077	bbrs:BS27_1384
ko:K03648	bbrs:BS27_1386
ko:K03924	bbrs:BS27_1387
ko:K07114	bbrs:BS27_1391
ko:K01756	bbrs:BS27_1395
ko:K03530	bbrs:BS27_1397
ko:K13571	bbrs:BS27_1398
ko:K13570	bbrs:BS27_1399
ko:K01092	bbrs:BS27_1400
ko:K17195	bbrs:BS27_1402
ko:K02770	bbrs:BS27_1403
ko:K02075	bbrs:BS27_0757
ko:K02074	bbrs:BS27_0758
ko:K02077	bbrs:BS27_0759
ko:K01491	bbrs:BS27_0760
ko:K02945	bbrs:BS27_0761
ko:K00859	bbrs:BS27_0762
ko:K03702	bbrs:BS27_0763
ko:K05794	bbrs:BS27_0764
ko:K00873	bbrs:BS27_0765
ko:K01515	bbrs:BS27_0766
ko:K00800	bbrs:BS27_0780
ko:K00925	bbrs:BS27_0781
ko:K13788	bbrs:BS27_0782
ko:K00948	bbrs:BS27_0783
ko:K01951	bbrs:BS27_0785
ko:K04042	bbrs:BS27_0787
ko:K09710	bbrs:BS27_0788
ko:K02073	bbrs:BS27_0791
ko:K02071	bbrs:BS27_0792
ko:K02072	bbrs:BS27_0793
ko:K00656	bbrs:BS27_0796
ko:K04069	bbrs:BS27_0797
ko:K03684	bbrs:BS27_0799
ko:K03545	bbrs:BS27_0800
ko:K01358	bbrs:BS27_0803
ko:K01358	bbrs:BS27_0804
ko:K03544	bbrs:BS27_0805
ko:K02954	bbrs:BS27_1609
ko:K02931	bbrs:BS27_1610
ko:K02895	bbrs:BS27_1611
ko:K02874	bbrs:BS27_1612
ko:K02961	bbrs:BS27_1613
ko:K02904	bbrs:BS27_1614
ko:K02878	bbrs:BS27_1615
ko:K02982	bbrs:BS27_1616
ko:K02890	bbrs:BS27_1617
ko:K02965	bbrs:BS27_1618
ko:K02886	bbrs:BS27_1619
ko:K02892	bbrs:BS27_1620
ko:K02926	bbrs:BS27_1621
ko:K02906	bbrs:BS27_1622
ko:K02946	bbrs:BS27_1623
ko:K01575	bbrs:BS27_1624
ko:K04072	bbrs:BS27_1626
ko:K05351	bbrs:BS27_1628
ko:K02996	bbrs:BS27_1635
ko:K02871	bbrs:BS27_1636
ko:K00705	bbrs:BS27_1637
ko:K07282	bbrs:BS27_1641
ko:K05350	bbrs:BS27_1642
ko:K02026	bbrs:BS27_1643
ko:K02025	bbrs:BS27_1644
ko:K02027	bbrs:BS27_1645
ko:K02529	bbrs:BS27_1646
ko:K02346	bbrs:BS27_1650
ko:K03294	bbrs:BS27_1653
ko:K00075	bbrs:BS27_1654
ko:K02913	bbrs:BS27_1655
ko:K04078	bbrs:BS27_1656
ko:K03790	bbrs:BS27_1658
ko:K00773	bbrs:BS27_0099
ko:K08372	bbrs:BS27_0100
ko:K00528	bbrs:BS27_0102
ko:K03799	bbrs:BS27_0103
ko:K01624	bbrs:BS27_0106
ko:K01939	bbrs:BS27_0107
ko:K16235	bbrs:BS27_1050
ko:K14218	bbrs:BS27_tRNA53
ko:K14218	bbrs:BS27_tRNA12
ko:K14218	bbrs:BS27_tRNA13
ko:K14228	bbrs:BS27_tRNA51
ko:K14228	bbrs:BS27_tRNA48
ko:K14229	bbrs:BS27_tRNA4
ko:K14229	bbrs:BS27_tRNA5
ko:K14230	bbrs:BS27_tRNA49
ko:K14219	bbrs:BS27_tRNA6
ko:K14219	bbrs:BS27_tRNA8
ko:K14219	bbrs:BS27_tRNA14
ko:K14219	bbrs:BS27_tRNA15
ko:K14219	bbrs:BS27_tRNA40
ko:K14234	bbrs:BS27_tRNA47
ko:K14226	bbrs:BS27_tRNA46
ko:K14237	bbrs:BS27_tRNA9
ko:K14237	bbrs:BS27_tRNA18
ko:K14237	bbrs:BS27_tRNA28
ko:K14232	bbrs:BS27_tRNA21
ko:K14232	bbrs:BS27_tRNA23
ko:K14235	bbrs:BS27_tRNA26
ko:K14222	bbrs:BS27_tRNA17
ko:K01985	bbrs:BS27_rRNA5S1
ko:K01985	bbrs:BS27_rRNA5S2
ko:K01985	bbrs:BS27_rRNA5S3
ko:K01980	bbrs:BS27_rRNA23S1
ko:K01980	bbrs:BS27_rRNA23S3
ko:K01980	bbrs:BS27_rRNA23S2
ko:K01200	bbrs:BS27_0137
ko:K14228	bbrs:BS27_tRNA10
ko:K14228	bbrs:BS27_tRNA11
ko:K14228	bbrs:BS27_tRNA43
ko:K14225	bbrs:BS27_tRNA1
ko:K14225	bbrs:BS27_tRNA7
ko:K14225	bbrs:BS27_tRNA16
ko:K14225	bbrs:BS27_tRNA20
ko:K14225	bbrs:BS27_tRNA36
ko:K14224	bbrs:BS27_tRNA2
ko:K14223	bbrs:BS27_tRNA3
ko:K14223	bbrs:BS27_tRNA44
ko:K01977	bbrs:BS27_rRNA16S1
ko:K01977	bbrs:BS27_rRNA16S3
ko:K01977	bbrs:BS27_rRNA16S2
ko:K14221	bbrs:BS27_tRNA38
ko:K14221	bbrs:BS27_tRNA27
ko:K14231	bbrs:BS27_tRNA37
ko:K14233	bbrs:BS27_tRNA35
ko:K14233	bbrs:BS27_tRNA34
ko:K14233	bbrs:BS27_tRNA33
ko:K14227	bbrs:BS27_tRNA52
ko:K14233	bbrs:BS27_tRNA50
ko:K14230	bbrs:BS27_tRNA39
ko:K14237	bbrs:BS27_tRNA19
ko:K14237	bbrs:BS27_tRNA29
ko:K14232	bbrs:BS27_tRNA45
ko:K03574	bbrs:BS27_1767
ko:K13059	bbrs:BS27_1568
ko:K14220	bbrs:BS27_tRNA42
ko:K14234	bbrs:BS27_tRNA31
ko:K14234	bbrs:BS27_tRNA24
ko:K14236	bbrs:BS27_tRNA30
ko:K14218	bbrs:BS27_tRNA25
ko:K14230	bbrs:BS27_tRNA32
ko:K01214	bbrs:BS27_0771
ko:K10231	bbrs:BS27_1683
ko:K07171	bbrs:BS27_0840
ko:K06147	bbrs:BS27_0419
ko:K03502	bbrs:BS27_0581
ko:K08168	bbrs:BS27_1445
ko:K03111	bbrs:BS27_1490
ko:K07473	bbrs:BS27_0695
ko:K07473	bbrs:BS27_0841
ko:K07473	bbrs:BS27_0901
ko:K03497	bbrs:BS27_1910
ko:K03496	bbrs:BS27_1911
ko:K03111	bbrs:BS27_0262
ko:K03169	bbrs:BS27_1103
ko:K03496	bbrs:BS27_1128
ko:K03496	bbrs:BS27_1247
ko:K03976	bbrs:BS27_1256
ko:K03526	bbrs:BS27_0659
ko:K07816	bbrs:BS27_1212
ko:K07464	bbrs:BS27_1430
ko:K00067	bbrs:BS27_1797
ko:K01790	bbrs:BS27_1797
ko:K19119	bbrs:BS27_1433
ko:K19158	bbrs:BS27_0694
ko:K09951	bbrs:BS27_1428
ko:K01710	bbrs:BS27_1798
ko:K19117	bbrs:BS27_1432
ko:K19118	bbrs:BS27_1431
ko:K07062	bbrs:BS27_0385
ko:K01621	bbrs:BS27_0786
ko:K19265	bbrs:BS27_0402
ko:K01239	bbrs:BS27_0372
ko:K01785	bbrs:BS27_1259
ko:K07496	bbrs:BS27_0777
ko:K01990	bbrs:BS27_0877
ko:K12952	bbrs:BS27_1218
ko:K08217	bbrs:BS27_0866
ko:K01785	bbrs:BS27_1258
ko:K16960	bbrs:BS27_1758
ko:K02806	bbrs:BS27_1406
ko:K08156	bbrs:BS27_1559
ko:K00526	bbrs:BS27_1888
ko:K19710	bbrs:BS27_1012
ko:K08744	bbrs:BS27_1041
ko:K02538	bbrs:BS27_1407
ko:K19955	bbrs:BS27_1448
ko:K12132	bbrs:BS27_0077
ko:K18907	bbrs:BS27_1360
ko:K12132	bbrs:BS27_0076
ko:K12132	bbrs:BS27_1194
ko:K14224	bbrs:BS27_tRNA22
ko:K20074	bbrs:BS27_0080
ko:K20444	bbrs:BS27_1793
ko:K01214	bbrs:BS27_1634
ko:K20814	bbrs:BS27_1401
ko:K21011	bbrs:BS27_0052
ko:K21012	bbrs:BS27_0053
ko:K00821	bbrs:BS27_0687
ko:K21636	bbrs:BS27_1471
ko:K04068	bbrs:BS27_1470
ko:K00287	bbrs:BS27_1545
ko:K00560	bbrs:BS27_1546
ko:K06217	bbrs:BS27_0924
ko:K06191	bbrs:BS27_1892
ko:K00558	bbrs:BS27_0224
ko:K02314	bbrs:BS27_0253
ko:K01520	bbrs:BS27_1178
ko:K03553	bbrs:BS27_1203
ko:K06223	bbrs:BS27_0383
ko:K02316	bbrs:BS27_0537
ko:K02031	bbrs:BS27_0527
ko:K02032	bbrs:BS27_0528
ko:K02032	bbrs:BS27_0172
ko:K00525	bbrs:BS27_1890
ko:K02335	bbrs:BS27_0768
ko:K03293	bbrs:BS27_1826
ko:K21471	bbrs:BS27_0508
ko:K03293	bbrs:BS27_1829
ko:K05364	bbrs:BS27_0078
ko:K21495	bbrs:BS27_0386
ko:K21498	bbrs:BS27_0843
ko:K21600	bbrs:BS27_0277
ko:K10914	bbrs:BS27_0477
ko:K21739	bbrs:BS27_1580
ko:K00936	bbrs:BS27_0742
ko:K22010	bbrs:BS27_0767
ko:K03595	bbrs:BS27_0927
ko:K22306	bbrs:BS27_0789
ko:K22397	bbrs:BS27_1733
ko:K22397	bbrs:BS27_1312
ko:K08300	bbrs:BS27_1730
ko:K08301	bbrs:BS27_1730
