ko:K18831	rai:RA0C_0123
ko:K07098	rai:RA0C_0240
ko:K02428	rai:RA0C_0280
ko:K00939	rai:RA0C_0284
ko:K04652	rai:RA0C_1162
ko:K02014	rai:RA0C_1171
ko:K05337	rai:RA0C_1217
ko:K01934	rai:RA0C_1218
ko:K01077	rai:RA0C_0772
ko:K07386	rai:RA0C_0774
ko:K02342	rai:RA0C_0776
ko:K03286	rai:RA0C_0805
ko:K03286	rai:RA0C_0806
ko:K04763	rai:RA0C_1700
ko:K01715	rai:RA0C_1702
ko:K01854	rai:RA0C_1716
ko:K02473	rai:RA0C_0995
ko:K02067	rai:RA0C_1251
ko:K01155	rai:RA0C_0017
ko:K11720	rai:RA0C_1496
ko:K09810	rai:RA0C_0745
ko:K03559	rai:RA0C_1192
ko:K07091	rai:RA0C_0335
ko:K09951	rai:RA0C_1031
ko:K17103	rai:RA0C_0775
ko:K00184	rai:RA0C_1464
ko:K01977	rai:RA0C_1321
ko:K01977	rai:RA0C_1829
ko:K01977	rai:RA0C_1061
ko:K10947	rai:RA0C_1987
ko:K01992	rai:RA0C_0902
ko:K01990	rai:RA0C_0903
ko:K08738	rai:RA0C_1971
ko:K00951	rai:RA0C_0434
ko:K01897	rai:RA0C_0615
ko:K01897	rai:RA0C_0879
ko:K14228	rai:RA0C_1570
ko:K01992	rai:RA0C_0305
ko:K14225	rai:RA0C_1789
ko:K01990	rai:RA0C_1930
ko:K08738	rai:RA0C_0498
ko:K04084	rai:RA0C_1225
ko:K14233	rai:RA0C_0670
ko:K14224	rai:RA0C_1118
ko:K14226	rai:RA0C_1204
ko:K17686	rai:RA0C_1777
ko:K05606	rai:RA0C_0980
ko:K00971	rai:RA0C_1531
ko:K01980	rai:RA0C_1060
ko:K01980	rai:RA0C_1320
ko:K01980	rai:RA0C_1830
ko:K01985	rai:RA0C_1059
ko:K01985	rai:RA0C_1831
ko:K01985	rai:RA0C_1319
ko:K06518	rai:RA0C_0747
ko:K00537	rai:RA0C_0562
ko:K00254	rai:RA0C_1791
ko:K01658	rai:RA0C_0446
ko:K07318	rai:RA0C_2087
ko:K00128	rai:RA0C_1297
ko:K14230	rai:RA0C_0768
ko:K01155	rai:RA0C_1747
ko:K14742	rai:RA0C_1160
ko:K14221	rai:RA0C_0700
ko:K14229	rai:RA0C_0717
ko:K14232	rai:RA0C_0791
ko:K14231	rai:RA0C_0855
ko:K14227	rai:RA0C_1827
ko:K14233	rai:RA0C_0108
ko:K14219	rai:RA0C_0373
ko:K14230	rai:RA0C_0644
ko:K14219	rai:RA0C_0606
ko:K14219	rai:RA0C_0790
ko:K14228	rai:RA0C_2016
ko:K14225	rai:RA0C_1569
ko:K14222	rai:RA0C_1069
ko:K14224	rai:RA0C_1119
ko:K14220	rai:RA0C_1517
ko:K14228	rai:RA0C_1568
ko:K14237	rai:RA0C_1572
ko:K14237	rai:RA0C_1573
ko:K14234	rai:RA0C_1787
ko:K14234	rai:RA0C_1790
ko:K14236	rai:RA0C_1788
ko:K14235	rai:RA0C_1793
ko:K14223	rai:RA0C_1860
ko:K14233	rai:RA0C_0792
ko:K00632	rai:RA0C_0267
ko:K14218	rai:RA0C_1828
ko:K14230	rai:RA0C_0819
ko:K14218	rai:RA0C_0466
ko:K03719	rai:RA0C_1077
ko:K11210	rai:RA0C_0598
ko:K03218	rai:RA0C_2007
ko:K03569	rai:RA0C_1625
ko:K03742	rai:RA0C_0773
ko:K00681	rai:RA0C_0436
ko:K04065	rai:RA0C_1048
ko:K18707	rai:RA0C_1011
ko:K18682	rai:RA0C_0428
ko:K00571	rai:RA0C_0018
ko:K03111	rai:RA0C_0532
ko:K03497	rai:RA0C_0332
ko:K03496	rai:RA0C_0333
ko:K04565	rai:RA0C_1352
ko:K00335	rai:RA0C_0955
ko:K07011	rai:RA0C_0559
ko:K11991	rai:RA0C_1351
ko:K19159	rai:RA0C_0033
ko:K19170	rai:RA0C_0780
ko:K00798	rai:RA0C_1994
ko:K19158	rai:RA0C_0034
ko:K19171	rai:RA0C_0781
ko:K01710	rai:RA0C_0973
ko:K22468	rai:RA0C_0699
ko:K22468	rai:RA0C_0701
ko:K00336	rai:RA0C_0953
ko:K07448	rai:RA0C_0692
ko:K19172	rai:RA0C_0782
ko:K19302	rai:RA0C_0643
ko:K19340	rai:RA0C_1965
ko:K19431	rai:RA0C_1726
ko:K19342	rai:RA0C_1967
ko:K06867	rai:RA0C_0242
ko:K19341	rai:RA0C_1964
ko:K01835	rai:RA0C_0919
ko:K06881	rai:RA0C_1270
ko:K10938	rai:RA0C_1402
ko:K00525	rai:RA0C_1065
ko:K08679	rai:RA0C_1617
ko:K08994	rai:RA0C_0235
ko:K07741	rai:RA0C_0379
ko:K20534	rai:RA0C_0349
ko:K18889	rai:RA0C_1201
ko:K18890	rai:RA0C_1929
ko:K21053	rai:RA0C_1358
ko:K08968	rai:RA0C_2019
ko:K06223	rai:RA0C_0016
ko:K02316	rai:RA0C_0062
ko:K06909	rai:RA0C_0147
ko:K14623	rai:RA0C_0157
ko:K06217	rai:RA0C_0420
ko:K03553	rai:RA0C_0826
ko:K00560	rai:RA0C_0840
ko:K02314	rai:RA0C_0894
ko:K02335	rai:RA0C_0416
ko:K00287	rai:RA0C_0970
ko:K03553	rai:RA0C_1019
ko:K06223	rai:RA0C_2086
ko:K00857	rai:RA0C_1429
ko:K07741	rai:RA0C_0129
ko:K07741	rai:RA0C_0155
ko:K01493	rai:RA0C_1701
ko:K00526	rai:RA0C_1066
ko:K21572	rai:RA0C_1360
ko:K21573	rai:RA0C_0227
ko:K21574	rai:RA0C_0229
ko:K21572	rai:RA0C_1853
ko:K01420	rai:RA0C_1992
ko:K21572	rai:RA0C_2030
ko:K21572	rai:RA0C_1580
ko:K10026	rai:RA0C_0871
ko:K21572	rai:RA0C_1079
ko:K21572	rai:RA0C_2045
ko:K21572	rai:RA0C_0228
ko:K03741	rai:RA0C_0481
ko:K00754	rai:RA0C_1737
ko:K01463	rai:RA0C_1205
ko:K22132	rai:RA0C_1608
ko:K03595	rai:RA0C_0421
ko:K22136	rai:RA0C_1582
ko:K13566	rai:RA0C_1520
ko:K22441	rai:RA0C_1660
