ko:K02548	ypg:YpAngola_A0111
ko:K06901	ypg:YpAngola_A1235
ko:K02377	ypg:YpAngola_A1253
ko:K00892	ypg:YpAngola_A1258
ko:K03455	ypg:YpAngola_A1259
ko:K08223	ypg:YpAngola_A1260
ko:K09975	ypg:YpAngola_A2509
ko:K01468	ypg:YpAngola_A2512
ko:K05526	ypg:YpAngola_A2516
ko:K01484	ypg:YpAngola_A2517
ko:K06447	ypg:YpAngola_A2518
ko:K00673	ypg:YpAngola_A2519
ko:K00840	ypg:YpAngola_A2520
ko:K03577	ypg:YpAngola_A2881
ko:K00759	ypg:YpAngola_A2888
ko:K09747	ypg:YpAngola_A2890
ko:K00939	ypg:YpAngola_A2894
ko:K06959	ypg:YpAngola_A3743
ko:K07400	ypg:YpAngola_A3750
ko:K00705	ypg:YpAngola_A3751
ko:K02441	ypg:YpAngola_A3756
ko:K02444	ypg:YpAngola_A3757
ko:K08160	ypg:YpAngola_A3760
ko:K00135	ypg:YpAngola_A1516
ko:K02768	ypg:YpAngola_A1524
ko:K11183	ypg:YpAngola_A1524
ko:K00882	ypg:YpAngola_A1525
ko:K01151	ypg:YpAngola_A1532
ko:K02016	ypg:YpAngola_A1538
ko:K02015	ypg:YpAngola_A1539
ko:K02013	ypg:YpAngola_A1540
ko:K02073	ypg:YpAngola_A1546
ko:K02072	ypg:YpAngola_A1548
ko:K07258	ypg:YpAngola_A1549
ko:K01619	ypg:YpAngola_A1556
ko:K07085	ypg:YpAngola_A1559
ko:K03674	ypg:YpAngola_A1560
ko:K01129	ypg:YpAngola_A0988
ko:K05594	ypg:YpAngola_A1788
ko:K01690	ypg:YpAngola_A1791
ko:K01591	ypg:YpAngola_A2236
ko:K03113	ypg:YpAngola_A2237
ko:K04062	ypg:YpAngola_A2238
ko:K06200	ypg:YpAngola_A2243
ko:K01804	ypg:YpAngola_A2259
ko:K02853	ypg:YpAngola_A0522
ko:K01719	ypg:YpAngola_A0535
ko:K01749	ypg:YpAngola_A0536
ko:K01778	ypg:YpAngola_A0541
ko:K09921	ypg:YpAngola_A0542
ko:K00640	ypg:YpAngola_A0074
ko:K03216	ypg:YpAngola_A0075
ko:K07662	ypg:YpAngola_A0081
ko:K02048	ypg:YpAngola_A0089
ko:K02020	ypg:YpAngola_A0090
ko:K03319	ypg:YpAngola_A0091
ko:K01803	ypg:YpAngola_A0095
ko:K00528	ypg:YpAngola_A0098
ko:K00864	ypg:YpAngola_A0100
ko:K02440	ypg:YpAngola_A0101
ko:K09892	ypg:YpAngola_A0102
ko:K02553	ypg:YpAngola_A0110
ko:K00554	ypg:YpAngola_A0880
ko:K03473	ypg:YpAngola_A0364
ko:K09906	ypg:YpAngola_A0374
ko:K01736	ypg:YpAngola_A0377
ko:K07320	ypg:YpAngola_A0378
ko:K02199	ypg:YpAngola_A0389
ko:K02198	ypg:YpAngola_A0390
ko:K02197	ypg:YpAngola_A0391
ko:K03744	ypg:YpAngola_A0398
ko:K01465	ypg:YpAngola_A0402
ko:K03485	ypg:YpAngola_A1162
ko:K02669	ypg:YpAngola_A3337
ko:K10536	ypg:YpAngola_A3338
ko:K00820	ypg:YpAngola_A4199
ko:K08307	ypg:YpAngola_A2686
ko:K07345	ypg:YpAngola_A2695
ko:K02012	ypg:YpAngola_A2710
ko:K02011	ypg:YpAngola_A2711
ko:K01639	ypg:YpAngola_A2776
ko:K01952	ypg:YpAngola_A3623
ko:K07711	ypg:YpAngola_A3627
ko:K07715	ypg:YpAngola_A3629
ko:K00050	ypg:YpAngola_A1794
ko:K00851	ypg:YpAngola_A1801
ko:K09161	ypg:YpAngola_A1823
ko:K09899	ypg:YpAngola_A1824
ko:K00925	ypg:YpAngola_A1825
ko:K07340	ypg:YpAngola_A1267
ko:K05838	ypg:YpAngola_A1269
ko:K02003	ypg:YpAngola_A1272
ko:K02025	ypg:YpAngola_A2083
ko:K02014	ypg:YpAngola_A0155
ko:K01581	ypg:YpAngola_A0159
ko:K03710	ypg:YpAngola_A2077
ko:K01951	ypg:YpAngola_A0408
ko:K00088	ypg:YpAngola_A0409
ko:K07088	ypg:YpAngola_A0412
ko:K00940	ypg:YpAngola_A0422
ko:K07751	ypg:YpAngola_A0428
ko:K04488	ypg:YpAngola_A0434
ko:K05820	ypg:YpAngola_A0442
ko:K00600	ypg:YpAngola_A0445
ko:K05916	ypg:YpAngola_A0446
ko:K03210	ypg:YpAngola_A3383
ko:K00773	ypg:YpAngola_A3384
ko:K07236	ypg:YpAngola_A3680
ko:K03745	ypg:YpAngola_A3684
ko:K03775	ypg:YpAngola_A3685
ko:K07070	ypg:YpAngola_A3686
ko:K07019	ypg:YpAngola_A3697
ko:K00855	ypg:YpAngola_A3699
ko:K06915	ypg:YpAngola_A3706
ko:K02014	ypg:YpAngola_A3712
ko:K06141	ypg:YpAngola_A3713
ko:K01867	ypg:YpAngola_A3721
ko:K01783	ypg:YpAngola_A3723
ko:K03112	ypg:YpAngola_A3725
ko:K01735	ypg:YpAngola_A3726
ko:K00891	ypg:YpAngola_A3727
ko:K03776	ypg:YpAngola_A2845
ko:K00566	ypg:YpAngola_A2851
ko:K07153	ypg:YpAngola_A2852
ko:K01756	ypg:YpAngola_A2853
ko:K01258	ypg:YpAngola_A2858
ko:K09808	ypg:YpAngola_A2861
ko:K09808	ypg:YpAngola_A2863
ko:K02806	ypg:YpAngola_A1155
ko:K03284	ypg:YpAngola_A0551
ko:K01126	ypg:YpAngola_A0564
ko:K08993	ypg:YpAngola_A0575
ko:K08316	ypg:YpAngola_A0576
ko:K09812	ypg:YpAngola_A0578
ko:K03089	ypg:YpAngola_A0580
ko:K09475	ypg:YpAngola_A1444
ko:K07173	ypg:YpAngola_A0890
ko:K01919	ypg:YpAngola_A0891
ko:K01872	ypg:YpAngola_A0898
ko:K03743	ypg:YpAngola_A0902
ko:K00864	ypg:YpAngola_A0907
ko:K00615	ypg:YpAngola_A0910
ko:K00615	ypg:YpAngola_A0911
ko:K00880	ypg:YpAngola_A0932
ko:K02026	ypg:YpAngola_A1734
ko:K02025	ypg:YpAngola_A1735
ko:K01226	ypg:YpAngola_A1164
ko:K09889	ypg:YpAngola_A1170
ko:K03623	ypg:YpAngola_A1171
ko:K03568	ypg:YpAngola_A1191
ko:K07147	ypg:YpAngola_A1201
ko:K01887	ypg:YpAngola_A2434
ko:K03790	ypg:YpAngola_A2442
ko:K08162	ypg:YpAngola_A2443
ko:K01627	ypg:YpAngola_A2456
ko:K02493	ypg:YpAngola_A2459
ko:K02492	ypg:YpAngola_A2461
ko:K02494	ypg:YpAngola_A2462
ko:K00919	ypg:YpAngola_A2463
ko:K00948	ypg:YpAngola_A2464
ko:K06942	ypg:YpAngola_A2468
ko:K03424	ypg:YpAngola_A3635
ko:K03117	ypg:YpAngola_A3637
ko:K03690	ypg:YpAngola_A3640
ko:K06200	ypg:YpAngola_A3644
ko:K00757	ypg:YpAngola_A3646
ko:K00549	ypg:YpAngola_A3648
ko:K07088	ypg:YpAngola_A3650
ko:K01126	ypg:YpAngola_A3651
ko:K05816	ypg:YpAngola_A3652
ko:K05815	ypg:YpAngola_A3653
ko:K05814	ypg:YpAngola_A3654
ko:K05813	ypg:YpAngola_A3655
ko:K01999	ypg:YpAngola_A3668
ko:K07223	ypg:YpAngola_A2777
ko:K07014	ypg:YpAngola_A1484
ko:K09904	ypg:YpAngola_A1485
ko:K06899	ypg:YpAngola_A1486
ko:K02897	ypg:YpAngola_A1488
ko:K07552	ypg:YpAngola_A1491
ko:K03451	ypg:YpAngola_A1754
ko:K06970	ypg:YpAngola_A1777
ko:K01661	ypg:YpAngola_A1783
ko:K04761	ypg:YpAngola_A0119
ko:K00322	ypg:YpAngola_A0118
ko:K02406	ypg:YpAngola_A2023
ko:K02406	ypg:YpAngola_A2026
ko:K07243	ypg:YpAngola_A2040
ko:K07224	ypg:YpAngola_A2041
ko:K00995	ypg:YpAngola_A2054
ko:K06907	ypg:YpAngola_A2065
ko:K09803	ypg:YpAngola_A2070
ko:K07447	ypg:YpAngola_A3340
ko:K07735	ypg:YpAngola_A3341
ko:K01920	ypg:YpAngola_A3342
ko:K09761	ypg:YpAngola_A3343
ko:K02109	ypg:YpAngola_A4206
ko:K03225	ypg:YpAngola_B0044
ko:K03222	ypg:YpAngola_B0061
ko:K04055	ypg:YpAngola_B0064
ko:K00789	ypg:YpAngola_A3347
ko:K07387	ypg:YpAngola_A3351
ko:K00615	ypg:YpAngola_A3352
ko:K08191	ypg:YpAngola_A3361
ko:K08302	ypg:YpAngola_A3364
ko:K06871	ypg:YpAngola_A3367
ko:K07685	ypg:YpAngola_A2794
ko:K01923	ypg:YpAngola_A3135
ko:K07054	ypg:YpAngola_A3136
ko:K03800	ypg:YpAngola_A2604
ko:K10011	ypg:YpAngola_A2610
ko:K03831	ypg:YpAngola_A0801
ko:K00616	ypg:YpAngola_A0803
ko:K15581	ypg:YpAngola_A2162
ko:K01921	ypg:YpAngola_A2916
ko:K01924	ypg:YpAngola_A2917
ko:K03588	ypg:YpAngola_A2919
ko:K01925	ypg:YpAngola_A2920
ko:K01000	ypg:YpAngola_A2921
ko:K01929	ypg:YpAngola_A2922
ko:K01928	ypg:YpAngola_A2923
ko:K03435	ypg:YpAngola_A2929
ko:K05798	ypg:YpAngola_A2934
ko:K01649	ypg:YpAngola_A2936
ko:K00052	ypg:YpAngola_A2937
ko:K03291	ypg:YpAngola_A2940
ko:K02064	ypg:YpAngola_A2943
ko:K02063	ypg:YpAngola_A2944
ko:K03580	ypg:YpAngola_A2948
ko:K03840	ypg:YpAngola_A3846
ko:K00384	ypg:YpAngola_A1611
ko:K07478	ypg:YpAngola_A1615
ko:K01875	ypg:YpAngola_A1616
ko:K06167	ypg:YpAngola_A4023
ko:K05774	ypg:YpAngola_A4024
ko:K06162	ypg:YpAngola_A4025
ko:K06163	ypg:YpAngola_A4028
ko:K06164	ypg:YpAngola_A4029
ko:K06165	ypg:YpAngola_A4030
ko:K02043	ypg:YpAngola_A4032
ko:K01703	ypg:YpAngola_A2938
ko:K01652	ypg:YpAngola_A2932
ko:K01653	ypg:YpAngola_A2931
ko:K03925	ypg:YpAngola_A2927
ko:K03586	ypg:YpAngola_A2925
ko:K02563	ypg:YpAngola_A2918
ko:K03590	ypg:YpAngola_A2914
ko:K03531	ypg:YpAngola_A2913
ko:K03070	ypg:YpAngola_A2909
ko:K02505	ypg:YpAngola_A1043
ko:K02504	ypg:YpAngola_A1042
ko:K06194	ypg:YpAngola_A0959
ko:K02761	ypg:YpAngola_A3569
ko:K02108	ypg:YpAngola_A4208
ko:K02412	ypg:YpAngola_A0231
ko:K03224	ypg:YpAngola_A3933
ko:K09903	ypg:YpAngola_A3433
ko:K03220	ypg:YpAngola_A3942
ko:K07269	ypg:YpAngola_A3953
ko:K07322	ypg:YpAngola_A3955
ko:K07109	ypg:YpAngola_A3958
ko:K09767	ypg:YpAngola_A3067
ko:K00077	ypg:YpAngola_A3068
ko:K03152	ypg:YpAngola_A3069
ko:K00795	ypg:YpAngola_A3073
ko:K01662	ypg:YpAngola_A3074
ko:K03273	ypg:YpAngola_A3404
ko:K02619	ypg:YpAngola_A3495
ko:K06903	ypg:YpAngola_A2068
ko:K01664	ypg:YpAngola_A3705
ko:K06181	ypg:YpAngola_A2849
ko:K02299	ypg:YpAngola_A3062
ko:K02298	ypg:YpAngola_A3061
ko:K02297	ypg:YpAngola_A3060
ko:K08218	ypg:YpAngola_A3058
ko:K03544	ypg:YpAngola_A3053
ko:K06187	ypg:YpAngola_A2891
ko:K04079	ypg:YpAngola_A2893
ko:K03269	ypg:YpAngola_A1276
ko:K06199	ypg:YpAngola_A1857
ko:K03777	ypg:YpAngola_A1351
ko:K03748	ypg:YpAngola_A3021
ko:K03837	ypg:YpAngola_A1550
ko:K08276	ypg:YpAngola_A1316
ko:K06891	ypg:YpAngola_A1600
ko:K02390	ypg:YpAngola_A0224
ko:K02389	ypg:YpAngola_A0225
ko:K02399	ypg:YpAngola_A0229
ko:K02410	ypg:YpAngola_A0233
ko:K02408	ypg:YpAngola_A0235
ko:K01845	ypg:YpAngola_A0995
ko:K02015	ypg:YpAngola_A0996
ko:K02016	ypg:YpAngola_A0997
ko:K02013	ypg:YpAngola_A0998
ko:K01975	ypg:YpAngola_A1002
ko:K00950	ypg:YpAngola_A1009
ko:K00606	ypg:YpAngola_A1011
ko:K01918	ypg:YpAngola_A1012
ko:K01579	ypg:YpAngola_A1013
ko:K00760	ypg:YpAngola_A1019
ko:K00797	ypg:YpAngola_A1023
ko:K01611	ypg:YpAngola_A1024
ko:K09910	ypg:YpAngola_A1027
ko:K07347	ypg:YpAngola_A0501
ko:K07345	ypg:YpAngola_A0503
ko:K03732	ypg:YpAngola_A0509
ko:K03671	ypg:YpAngola_A0510
ko:K03628	ypg:YpAngola_A0511
ko:K05790	ypg:YpAngola_A0513
ko:K00973	ypg:YpAngola_A0517
ko:K00981	ypg:YpAngola_A1288
ko:K00901	ypg:YpAngola_A1299
ko:K01356	ypg:YpAngola_A1300
ko:K05539	ypg:YpAngola_A1302
ko:K03497	ypg:YpAngola_B0008
ko:K03305	ypg:YpAngola_A2548
ko:K01866	ypg:YpAngola_A2554
ko:K00275	ypg:YpAngola_A2555
ko:K06077	ypg:YpAngola_A2558
ko:K10680	ypg:YpAngola_A2565
ko:K07262	ypg:YpAngola_A1352
ko:K05541	ypg:YpAngola_A1355
ko:K03664	ypg:YpAngola_A1372
ko:K09801	ypg:YpAngola_A1374
ko:K06186	ypg:YpAngola_A1375
ko:K00858	ypg:YpAngola_A1377
ko:K01647	ypg:YpAngola_A1379
ko:K00927	ypg:YpAngola_A3816
ko:K03442	ypg:YpAngola_A3818
ko:K09807	ypg:YpAngola_A3820
ko:K09888	ypg:YpAngola_A3825
ko:K09895	ypg:YpAngola_A3826
ko:K01262	ypg:YpAngola_A3827
ko:K03185	ypg:YpAngola_A3828
ko:K00857	ypg:YpAngola_A2166
ko:K06223	ypg:YpAngola_A2173
ko:K02890	ypg:YpAngola_A0589
ko:K02878	ypg:YpAngola_A0591
ko:K02874	ypg:YpAngola_A0593
ko:K02895	ypg:YpAngola_A0594
ko:K02954	ypg:YpAngola_A0596
ko:K02994	ypg:YpAngola_A0597
ko:K02881	ypg:YpAngola_A0599
ko:K02988	ypg:YpAngola_A0600
ko:K09917	ypg:YpAngola_A1635
ko:K01752	ypg:YpAngola_A1638
ko:K00151	ypg:YpAngola_A1646
ko:K07043	ypg:YpAngola_A1097
ko:K01685	ypg:YpAngola_A1102
ko:K01812	ypg:YpAngola_A1104
ko:K08191	ypg:YpAngola_A1105
ko:K01698	ypg:YpAngola_A1907
ko:K05785	ypg:YpAngola_A1908
ko:K02012	ypg:YpAngola_A3145
ko:K02011	ypg:YpAngola_A3146
ko:K06871	ypg:YpAngola_A3149
ko:K06966	ypg:YpAngola_A3156
ko:K07738	ypg:YpAngola_A3162
ko:K00946	ypg:YpAngola_A3166
ko:K00765	ypg:YpAngola_A3169
ko:K00013	ypg:YpAngola_A3170
ko:K00817	ypg:YpAngola_A3171
ko:K01814	ypg:YpAngola_A3174
ko:K01521	ypg:YpAngola_A4074
ko:K07058	ypg:YpAngola_A4075
ko:K00865	ypg:YpAngola_A4081
ko:K02647	ypg:YpAngola_A4083
ko:K00383	ypg:YpAngola_A4084
ko:K07115	ypg:YpAngola_A4085
ko:K01414	ypg:YpAngola_A4086
ko:K10012	ypg:YpAngola_A2611
ko:K00432	ypg:YpAngola_A2615
ko:K01868	ypg:YpAngola_A2625
ko:K08308	ypg:YpAngola_A2629
ko:K01815	ypg:YpAngola_A2642
ko:K08169	ypg:YpAngola_A2655
ko:K02014	ypg:YpAngola_A1656
ko:K00563	ypg:YpAngola_A1660
ko:K01914	ypg:YpAngola_A0003
ko:K03924	ypg:YpAngola_A0005
ko:K00852	ypg:YpAngola_A0008
ko:K09896	ypg:YpAngola_A0020
ko:K03978	ypg:YpAngola_A0024
ko:K09894	ypg:YpAngola_A0025
ko:K07712	ypg:YpAngola_A0027
ko:K01915	ypg:YpAngola_A0030
ko:K06193	ypg:YpAngola_A1928
ko:K01716	ypg:YpAngola_A1942
ko:K04770	ypg:YpAngola_A1943
ko:K09911	ypg:YpAngola_A1944
ko:K00656	ypg:YpAngola_A1946
ko:K09136	ypg:YpAngola_A1948
ko:K00831	ypg:YpAngola_A1952
ko:K00800	ypg:YpAngola_A1953
ko:K00945	ypg:YpAngola_A1954
ko:K00912	ypg:YpAngola_A1960
ko:K02419	ypg:YpAngola_A0239
ko:K02421	ypg:YpAngola_A0241
ko:K02401	ypg:YpAngola_A0242
ko:K02016	ypg:YpAngola_A0249
ko:K02278	ypg:YpAngola_A0254
ko:K02279	ypg:YpAngola_A0255
ko:K07007	ypg:YpAngola_A4094
ko:K09988	ypg:YpAngola_A4099
ko:K06911	ypg:YpAngola_A4103
ko:K06145	ypg:YpAngola_A4104
ko:K00851	ypg:YpAngola_A4107
ko:K00133	ypg:YpAngola_A4112
ko:K00700	ypg:YpAngola_A4118
ko:K00688	ypg:YpAngola_A4122
ko:K01407	ypg:YpAngola_A3232
ko:K00560	ypg:YpAngola_A3238
ko:K03414	ypg:YpAngola_A3521
ko:K07058	ypg:YpAngola_A0034
ko:K07560	ypg:YpAngola_A0035
ko:K03312	ypg:YpAngola_A0040
ko:K00556	ypg:YpAngola_A0042
ko:K00942	ypg:YpAngola_A0045
ko:K00989	ypg:YpAngola_A0049
ko:K00762	ypg:YpAngola_A0051
ko:K05501	ypg:YpAngola_A0052
ko:K01520	ypg:YpAngola_A0053
ko:K02913	ypg:YpAngola_A0057
ko:K01839	ypg:YpAngola_A0829
ko:K01619	ypg:YpAngola_A0831
ko:K03424	ypg:YpAngola_A0833
ko:K02283	ypg:YpAngola_A0260
ko:K00655	ypg:YpAngola_A0275
ko:K07000	ypg:YpAngola_A0280
ko:K03651	ypg:YpAngola_A0281
ko:K09920	ypg:YpAngola_A0282
ko:K00982	ypg:YpAngola_A0293
ko:K07393	ypg:YpAngola_A1116
ko:K06911	ypg:YpAngola_A1118
ko:K07056	ypg:YpAngola_A1119
ko:K07121	ypg:YpAngola_A1120
ko:K08311	ypg:YpAngola_A3241
ko:K08227	ypg:YpAngola_A3245
ko:K01586	ypg:YpAngola_A3248
ko:K07396	ypg:YpAngola_A3255
ko:K02460	ypg:YpAngola_A3263
ko:K02456	ypg:YpAngola_A3266
ko:K02454	ypg:YpAngola_A3268
ko:K02452	ypg:YpAngola_A3270
ko:K01673	ypg:YpAngola_A3272
ko:K02040	ypg:YpAngola_A3284
ko:K00845	ypg:YpAngola_A2728
ko:K01885	ypg:YpAngola_A2739
ko:K09962	ypg:YpAngola_A2741
ko:K09954	ypg:YpAngola_A2743
ko:K01972	ypg:YpAngola_A2744
ko:K01626	ypg:YpAngola_A1406
ko:K00849	ypg:YpAngola_A1411
ko:K05776	ypg:YpAngola_A1415
ko:K02020	ypg:YpAngola_A1419
ko:K02018	ypg:YpAngola_A1420
ko:K02849	ypg:YpAngola_A0852
ko:K08321	ypg:YpAngola_A0862
ko:K07178	ypg:YpAngola_A1675
ko:K09912	ypg:YpAngola_A1690
ko:K07460	ypg:YpAngola_A1121
ko:K07648	ypg:YpAngola_A1126
ko:K07139	ypg:YpAngola_A1127
ko:K03599	ypg:YpAngola_A1132
ko:K02996	ypg:YpAngola_A1133
ko:K09908	ypg:YpAngola_A1136
ko:K00790	ypg:YpAngola_A1140
ko:K07323	ypg:YpAngola_A1143
ko:K02067	ypg:YpAngola_A1144
ko:K02066	ypg:YpAngola_A1145
ko:K02065	ypg:YpAngola_A1146
ko:K07301	ypg:YpAngola_A1147
ko:K06041	ypg:YpAngola_A1148
ko:K03270	ypg:YpAngola_A1149
ko:K09774	ypg:YpAngola_A1151
ko:K06861	ypg:YpAngola_A1152
ko:K00610	ypg:YpAngola_A1159
ko:K03832	ypg:YpAngola_A2147
ko:K09780	ypg:YpAngola_A2148
ko:K09901	ypg:YpAngola_A2157
ko:K00164	ypg:YpAngola_A1384
ko:K08484	ypg:YpAngola_A3240
ko:K09022	ypg:YpAngola_A1160
ko:K03704	ypg:YpAngola_A1962
ko:K09791	ypg:YpAngola_A1964
ko:K00979	ypg:YpAngola_A1965
ko:K06219	ypg:YpAngola_A1968
ko:K01745	ypg:YpAngola_A4137
ko:K01712	ypg:YpAngola_A4138
ko:K01738	ypg:YpAngola_A4139
ko:K00759	ypg:YpAngola_A4140
ko:K02016	ypg:YpAngola_A4143
ko:K02015	ypg:YpAngola_A4144
ko:K02015	ypg:YpAngola_A4145
ko:K02013	ypg:YpAngola_A4147
ko:K01805	ypg:YpAngola_A4161
ko:K02914	ypg:YpAngola_A4178
ko:K03536	ypg:YpAngola_A4180
ko:K03217	ypg:YpAngola_A4182
ko:K06901	ypg:YpAngola_A4187
ko:K02045	ypg:YpAngola_A2766
ko:K02047	ypg:YpAngola_A2767
ko:K02046	ypg:YpAngola_A2768
ko:K02048	ypg:YpAngola_A2769
ko:K03290	ypg:YpAngola_A2770
ko:K01788	ypg:YpAngola_A2775
ko:K06199	ypg:YpAngola_A3565
ko:K06199	ypg:YpAngola_A3566
ko:K03635	ypg:YpAngola_A1437
ko:K02026	ypg:YpAngola_A2084
ko:K07345	ypg:YpAngola_A2110
ko:K08990	ypg:YpAngola_A2532
ko:K06918	ypg:YpAngola_A2533
ko:K00075	ypg:YpAngola_A3397
ko:K02071	ypg:YpAngola_A3405
ko:K02072	ypg:YpAngola_A3406
ko:K02073	ypg:YpAngola_A3407
ko:K06080	ypg:YpAngola_A3408
ko:K01881	ypg:YpAngola_A3410
ko:K01042	ypg:YpAngola_A3766
ko:K02379	ypg:YpAngola_A3771
ko:K02562	ypg:YpAngola_A3778
ko:K00009	ypg:YpAngola_A3779
ko:K01246	ypg:YpAngola_A3785
ko:K03826	ypg:YpAngola_A3786
ko:K01641	ypg:YpAngola_A2969
ko:K00645	ypg:YpAngola_A2977
ko:K00012	ypg:YpAngola_A2330
ko:K09858	ypg:YpAngola_A2333
ko:K01433	ypg:YpAngola_A2334
ko:K01142	ypg:YpAngola_A2340
ko:K08320	ypg:YpAngola_A2341
ko:K01008	ypg:YpAngola_A2344
ko:K09916	ypg:YpAngola_A2349
ko:K00134	ypg:YpAngola_A2351
ko:K06911	ypg:YpAngola_A2358
ko:K00285	ypg:YpAngola_A2361
ko:K03314	ypg:YpAngola_A2364
ko:K10001	ypg:YpAngola_A1835
ko:K10002	ypg:YpAngola_A1838
ko:K10004	ypg:YpAngola_A1839
ko:K06890	ypg:YpAngola_A1438
ko:K07507	ypg:YpAngola_A2209
ko:K09978	ypg:YpAngola_A2215
ko:K01118	ypg:YpAngola_A2218
ko:K01940	ypg:YpAngola_A1695
ko:K00101	ypg:YpAngola_A1696
ko:K07146	ypg:YpAngola_A1710
ko:K02527	ypg:YpAngola_A0061
ko:K00639	ypg:YpAngola_A0065
ko:K03676	ypg:YpAngola_A0071
ko:K03071	ypg:YpAngola_A0072
ko:K00057	ypg:YpAngola_A0073
ko:K01893	ypg:YpAngola_A1980
ko:K00763	ypg:YpAngola_A1981
ko:K01256	ypg:YpAngola_A1982
ko:K07140	ypg:YpAngola_A1986
ko:K09857	ypg:YpAngola_A1991
ko:K02391	ypg:YpAngola_A2002
ko:K02392	ypg:YpAngola_A2003
ko:K02397	ypg:YpAngola_A2009
ko:K10014	ypg:YpAngola_A0353
ko:K00764	ypg:YpAngola_A0355
ko:K03749	ypg:YpAngola_A0357
ko:K00847	ypg:YpAngola_A3290
ko:K09913	ypg:YpAngola_A3292
ko:K00891	ypg:YpAngola_A3293
ko:K00147	ypg:YpAngola_A3300
ko:K00931	ypg:YpAngola_A3301
ko:K00769	ypg:YpAngola_A3304
ko:K03933	ypg:YpAngola_A3305
ko:K05952	ypg:YpAngola_A3310
ko:K00899	ypg:YpAngola_A3327
ko:K08963	ypg:YpAngola_A3328
ko:K01669	ypg:YpAngola_A3586
ko:K07160	ypg:YpAngola_A3591
ko:K01304	ypg:YpAngola_A3594
ko:K00278	ypg:YpAngola_A3603
ko:K03088	ypg:YpAngola_A3604
ko:K03100	ypg:YpAngola_A3610
ko:K03474	ypg:YpAngola_A3614
ko:K00997	ypg:YpAngola_A3615
ko:K07106	ypg:YpAngola_A3619
ko:K03799	ypg:YpAngola_A2662
ko:K03797	ypg:YpAngola_A2663
ko:K07347	ypg:YpAngola_A2671
ko:K02557	ypg:YpAngola_A0200
ko:K02556	ypg:YpAngola_A0201
ko:K02405	ypg:YpAngola_A0202
ko:K02415	ypg:YpAngola_A0203
ko:K02422	ypg:YpAngola_A0206
ko:K02407	ypg:YpAngola_A0207
ko:K02406	ypg:YpAngola_A0208
ko:K02406	ypg:YpAngola_A0210
ko:K02406	ypg:YpAngola_A0211
ko:K02406	ypg:YpAngola_A0213
ko:K02397	ypg:YpAngola_A0217
ko:K02396	ypg:YpAngola_A0218
ko:K02395	ypg:YpAngola_A0219
ko:K02394	ypg:YpAngola_A0220
ko:K01425	ypg:YpAngola_A2130
ko:K07243	ypg:YpAngola_A2132
ko:K07230	ypg:YpAngola_A2133
ko:K02003	ypg:YpAngola_A2136
ko:K01945	ypg:YpAngola_A0464
ko:K09897	ypg:YpAngola_A0480
ko:K07391	ypg:YpAngola_A0481
ko:K00826	ypg:YpAngola_A0484
ko:K01687	ypg:YpAngola_A0485
ko:K01754	ypg:YpAngola_A0486
ko:K00053	ypg:YpAngola_A0493
ko:K00677	ypg:YpAngola_A3423
ko:K06142	ypg:YpAngola_A3426
ko:K07277	ypg:YpAngola_A3427
ko:K00981	ypg:YpAngola_A3429
ko:K00806	ypg:YpAngola_A3430
ko:K00099	ypg:YpAngola_A3431
ko:K02357	ypg:YpAngola_A3434
ko:K00990	ypg:YpAngola_A3437
ko:K05792	ypg:YpAngola_A0663
ko:K00605	ypg:YpAngola_A3830
ko:K06980	ypg:YpAngola_A3840
ko:K09159	ypg:YpAngola_A3841
ko:K07663	ypg:YpAngola_A3843
ko:K01772	ypg:YpAngola_A2895
ko:K00978	ypg:YpAngola_A2897
ko:K07283	ypg:YpAngola_A2903
ko:K03212	ypg:YpAngola_A1568
ko:K09996	ypg:YpAngola_A1569
ko:K02013	ypg:YpAngola_A1575
ko:K09998	ypg:YpAngola_A1580
ko:K09999	ypg:YpAngola_A1581
ko:K09997	ypg:YpAngola_A1582
ko:K10000	ypg:YpAngola_A1583
ko:K01620	ypg:YpAngola_A1588
ko:K00156	ypg:YpAngola_A1589
ko:K09824	ypg:YpAngola_A1595
ko:K03704	ypg:YpAngola_A1599
ko:K00684	ypg:YpAngola_A1604
ko:K03807	ypg:YpAngola_A1038
ko:K00767	ypg:YpAngola_A1040
ko:K00364	ypg:YpAngola_A1044
ko:K01869	ypg:YpAngola_A1842
ko:K00969	ypg:YpAngola_A1845
ko:K09710	ypg:YpAngola_A1846
ko:K00783	ypg:YpAngola_A1847
ko:K05837	ypg:YpAngola_A1850
ko:K03642	ypg:YpAngola_A1851
ko:K09158	ypg:YpAngola_A1853
ko:K03801	ypg:YpAngola_A1854
ko:K03704	ypg:YpAngola_A1858
ko:K03337	ypg:YpAngola_A1868
ko:K03335	ypg:YpAngola_A1869
ko:K03338	ypg:YpAngola_A1870
ko:K03336	ypg:YpAngola_A1876
ko:K00140	ypg:YpAngola_A1877
ko:K11107	ypg:YpAngola_A1315
ko:K05846	ypg:YpAngola_A1330
ko:K00033	ypg:YpAngola_A3177
ko:K00963	ypg:YpAngola_A3178
ko:K00963	ypg:YpAngola_A3179
ko:K02016	ypg:YpAngola_A3183
ko:K02015	ypg:YpAngola_A3184
ko:K02015	ypg:YpAngola_A3185
ko:K02013	ypg:YpAngola_A3186
ko:K01494	ypg:YpAngola_A3194
