ko:K02031	ccoo:ATE51_00398
ko:K11743	ccoo:ATE51_01260
ko:K03768	ccoo:ATE51_01264
ko:K00016	ccoo:ATE51_01268
ko:K09981	ccoo:ATE51_01274
ko:K16264	ccoo:ATE51_01276
ko:K01533	ccoo:ATE51_01280
ko:K02343	ccoo:ATE51_01282
ko:K11904	ccoo:ATE51_02852
ko:K04763	ccoo:ATE51_02864
ko:K07171	ccoo:ATE51_02890
ko:K03111	ccoo:ATE51_02932
ko:K12132	ccoo:ATE51_07004
ko:K03197	ccoo:ATE51_07013
ko:K03199	ccoo:ATE51_07014
ko:K03111	ccoo:ATE51_07017
ko:K03200	ccoo:ATE51_07019
ko:K03201	ccoo:ATE51_07020
ko:K03203	ccoo:ATE51_07022
ko:K03204	ccoo:ATE51_07023
ko:K03195	ccoo:ATE51_07024
ko:K03196	ccoo:ATE51_07025
ko:K03205	ccoo:ATE51_07026
ko:K03169	ccoo:ATE51_07032
ko:K03205	ccoo:ATE51_06003
ko:K03111	ccoo:ATE51_06006
ko:K03194	ccoo:ATE51_06008
ko:K20533	ccoo:ATE51_06009
ko:K20532	ccoo:ATE51_06011
ko:K20531	ccoo:ATE51_06012
ko:K07344	ccoo:ATE51_06013
ko:K20266	ccoo:ATE51_06015
ko:K15913	ccoo:ATE51_01358
ko:K15910	ccoo:ATE51_01360
ko:K15912	ccoo:ATE51_01362
ko:K03413	ccoo:ATE51_01364
ko:K02687	ccoo:ATE51_01366
ko:K03798	ccoo:ATE51_01368
ko:K01613	ccoo:ATE51_01370
ko:K17103	ccoo:ATE51_01372
ko:K07305	ccoo:ATE51_01376
ko:K09952	ccoo:ATE51_02960
ko:K01173	ccoo:ATE51_02990
ko:K12057	ccoo:ATE51_03022
ko:K12061	ccoo:ATE51_03024
ko:K12060	ccoo:ATE51_03026
ko:K12056	ccoo:ATE51_03048
ko:K12072	ccoo:ATE51_03058
ko:K03100	ccoo:ATE51_03060
ko:K12063	ccoo:ATE51_03062
ko:K20530	ccoo:ATE51_06018
ko:K20529	ccoo:ATE51_06019
ko:K20528	ccoo:ATE51_06020
ko:K20527	ccoo:ATE51_06021
ko:K03496	ccoo:ATE51_06032
ko:K03100	ccoo:ATE51_06034
ko:K04095	ccoo:ATE51_06035
ko:K15913	ccoo:ATE51_00920
ko:K05595	ccoo:ATE51_01378
ko:K00684	ccoo:ATE51_01380
ko:K03694	ccoo:ATE51_01382
ko:K06891	ccoo:ATE51_01384
ko:K03664	ccoo:ATE51_01388
ko:K00919	ccoo:ATE51_01390
ko:K03563	ccoo:ATE51_01392
ko:K03177	ccoo:ATE51_01394
ko:K03657	ccoo:ATE51_01396
ko:K08602	ccoo:ATE51_01400
ko:K00609	ccoo:ATE51_01402
ko:K07862	ccoo:ATE51_01404
ko:K00789	ccoo:ATE51_01406
ko:K03820	ccoo:ATE51_01414
ko:K03210	ccoo:ATE51_01416
ko:K03072	ccoo:ATE51_01418
ko:K03074	ccoo:ATE51_01420
ko:K01869	ccoo:ATE51_01422
ko:K11754	ccoo:ATE51_01428
ko:K03723	ccoo:ATE51_01434
ko:K06923	ccoo:ATE51_01436
ko:K07457	ccoo:ATE51_01438
ko:K00941	ccoo:ATE51_01440
ko:K00788	ccoo:ATE51_01442
ko:K01719	ccoo:ATE51_01444
ko:K00286	ccoo:ATE51_01452
ko:K13626	ccoo:ATE51_01454
ko:K05807	ccoo:ATE51_01456
ko:K01338	ccoo:ATE51_01458
ko:K02963	ccoo:ATE51_01460
ko:K03111	ccoo:ATE51_01462
ko:K02990	ccoo:ATE51_01464
ko:K09824	ccoo:ATE51_01470
ko:K11749	ccoo:ATE51_01476
ko:K00995	ccoo:ATE51_01478
ko:K03981	ccoo:ATE51_03070
ko:K12065	ccoo:ATE51_03072
ko:K12067	ccoo:ATE51_03076
ko:K12068	ccoo:ATE51_03078
ko:K00384	ccoo:ATE51_03100
ko:K00147	ccoo:ATE51_03102
ko:K02356	ccoo:ATE51_03106
ko:K02422	ccoo:ATE51_03110
ko:K02407	ccoo:ATE51_03112
ko:K06603	ccoo:ATE51_03114
ko:K03182	ccoo:ATE51_03116
ko:K01749	ccoo:ATE51_03118
ko:K01649	ccoo:ATE51_03120
ko:K01881	ccoo:ATE51_03122
ko:K02492	ccoo:ATE51_03124
ko:K02523	ccoo:ATE51_03126
ko:K00177	ccoo:ATE51_03132
ko:K00175	ccoo:ATE51_03134
ko:K00174	ccoo:ATE51_03136
ko:K00176	ccoo:ATE51_03138
ko:K01902	ccoo:ATE51_03140
ko:K01903	ccoo:ATE51_03142
ko:K00024	ccoo:ATE51_03144
ko:K00031	ccoo:ATE51_03146
ko:K07082	ccoo:ATE51_03150
ko:K02387	ccoo:ATE51_03152
ko:K02388	ccoo:ATE51_03154
ko:K02408	ccoo:ATE51_03156
ko:K03587	ccoo:ATE51_03158
ko:K03324	ccoo:ATE51_03160
ko:K04079	ccoo:ATE51_03166
ko:K06199	ccoo:ATE51_03168
ko:K03743	ccoo:ATE51_01486
ko:K01870	ccoo:ATE51_01488
ko:K02433	ccoo:ATE51_01490
ko:K00088	ccoo:ATE51_01492
ko:K03602	ccoo:ATE51_01494
ko:K01924	ccoo:ATE51_01508
ko:K07456	ccoo:ATE51_01512
ko:K12410	ccoo:ATE51_01518
ko:K06895	ccoo:ATE51_01520
ko:K01439	ccoo:ATE51_01522
ko:K03154	ccoo:ATE51_01526
ko:K03148	ccoo:ATE51_01528
ko:K03149	ccoo:ATE51_01530
ko:K03150	ccoo:ATE51_01532
ko:K00788	ccoo:ATE51_01534
ko:K03449	ccoo:ATE51_01540
ko:K02563	ccoo:ATE51_01542
ko:K03588	ccoo:ATE51_01544
ko:K01959	ccoo:ATE51_01546
ko:K03686	ccoo:ATE51_01552
ko:K03596	ccoo:ATE51_01560
ko:K02242	ccoo:ATE51_01564
ko:K02469	ccoo:ATE51_01566
ko:K09860	ccoo:ATE51_01568
ko:K00133	ccoo:ATE51_01574
ko:K01999	ccoo:ATE51_01582
ko:K01999	ccoo:ATE51_01584
ko:K00655	ccoo:ATE51_03170
ko:K01952	ccoo:ATE51_03174
ko:K01952	ccoo:ATE51_03176
ko:K01923	ccoo:ATE51_03178
ko:K03797	ccoo:ATE51_03180
ko:K03695	ccoo:ATE51_03184
ko:K05366	ccoo:ATE51_03186
ko:K06287	ccoo:ATE51_03188
ko:K01872	ccoo:ATE51_03190
ko:K13017	ccoo:ATE51_03192
ko:K01772	ccoo:ATE51_03198
ko:K03320	ccoo:ATE51_03200
ko:K06917	ccoo:ATE51_03202
ko:K01609	ccoo:ATE51_03206
ko:K06940	ccoo:ATE51_03210
ko:K02355	ccoo:ATE51_03218
ko:K02992	ccoo:ATE51_03220
ko:K02950	ccoo:ATE51_03222
ko:K07248	ccoo:ATE51_03224
ko:K03534	ccoo:ATE51_03226
ko:K02429	ccoo:ATE51_03230
ko:K18333	ccoo:ATE51_03232
ko:K16850	ccoo:ATE51_03238
ko:K16849	ccoo:ATE51_03240
ko:K01714	ccoo:ATE51_03242
ko:K03043	ccoo:ATE51_03248
ko:K02935	ccoo:ATE51_03250
ko:K02864	ccoo:ATE51_03252
ko:K02863	ccoo:ATE51_03254
ko:K02867	ccoo:ATE51_03256
ko:K02601	ccoo:ATE51_03258
ko:K03073	ccoo:ATE51_03260
ko:K02913	ccoo:ATE51_03264
ko:K02358	ccoo:ATE51_03266
ko:K11910	ccoo:ATE51_02750
ko:K02313	ccoo:ATE51_00002
ko:K02338	ccoo:ATE51_00004
ko:K02470	ccoo:ATE51_00006
ko:K05797	ccoo:ATE51_00010
ko:K14393	ccoo:ATE51_00016
ko:K07084	ccoo:ATE51_00020
ko:K00265	ccoo:ATE51_00022
ko:K00266	ccoo:ATE51_00024
ko:K03470	ccoo:ATE51_00026
ko:K01687	ccoo:ATE51_00030
ko:K07023	ccoo:ATE51_00032
ko:K06920	ccoo:ATE51_00034
ko:K01997	ccoo:ATE51_01586
ko:K01998	ccoo:ATE51_01588
ko:K01995	ccoo:ATE51_01590
ko:K01996	ccoo:ATE51_01592
ko:K00773	ccoo:ATE51_01608
ko:K09944	ccoo:ATE51_01610
ko:K01735	ccoo:ATE51_01612
ko:K08296	ccoo:ATE51_01624
ko:K03086	ccoo:ATE51_01626
ko:K03501	ccoo:ATE51_01634
ko:K01497	ccoo:ATE51_01636
ko:K01698	ccoo:ATE51_01638
ko:K00611	ccoo:ATE51_01640
ko:K09861	ccoo:ATE51_01652
ko:K02030	ccoo:ATE51_01656
ko:K01270	ccoo:ATE51_01660
ko:K01270	ccoo:ATE51_01662
ko:K15257	ccoo:ATE51_01670
ko:K02110	ccoo:ATE51_01678
ko:K03308	ccoo:ATE51_01680
ko:K03308	ccoo:ATE51_01682
ko:K01960	ccoo:ATE51_01684
ko:K01610	ccoo:ATE51_01686
ko:K01755	ccoo:ATE51_01688
ko:K02028	ccoo:ATE51_03276
ko:K02029	ccoo:ATE51_03278
ko:K02029	ccoo:ATE51_03280
ko:K06886	ccoo:ATE51_03284
ko:K03655	ccoo:ATE51_03286
ko:K11784	ccoo:ATE51_03290
ko:K02600	ccoo:ATE51_03294
ko:K06168	ccoo:ATE51_03298
ko:K09778	ccoo:ATE51_03300
ko:K03147	ccoo:ATE51_03308
ko:K02342	ccoo:ATE51_03310
ko:K01783	ccoo:ATE51_03312
ko:K02902	ccoo:ATE51_03314
ko:K09794	ccoo:ATE51_03316
ko:K08077	ccoo:ATE51_03320
ko:K16089	ccoo:ATE51_03322
ko:K18292	ccoo:ATE51_03324
ko:K18289	ccoo:ATE51_03326
ko:K18291	ccoo:ATE51_03328
ko:K01962	ccoo:ATE51_03332
ko:K09458	ccoo:ATE51_03334
ko:K02078	ccoo:ATE51_03336
ko:K03707	ccoo:ATE51_03338
ko:K00059	ccoo:ATE51_03342
ko:K15633	ccoo:ATE51_03344
ko:K01000	ccoo:ATE51_03346
ko:K01925	ccoo:ATE51_03348
ko:K03406	ccoo:ATE51_03358
ko:K03199	ccoo:ATE51_05052
ko:K12097	ccoo:ATE51_07027
ko:K06180	ccoo:ATE51_00042
ko:K01756	ccoo:ATE51_00044
ko:K06956	ccoo:ATE51_00048
ko:K01937	ccoo:ATE51_00052
ko:K07462	ccoo:ATE51_00054
ko:K01424	ccoo:ATE51_00056
ko:K09797	ccoo:ATE51_00076
ko:K07552	ccoo:ATE51_00078
ko:K06207	ccoo:ATE51_00084
ko:K02389	ccoo:ATE51_00090
ko:K02390	ccoo:ATE51_00092
ko:K03319	ccoo:ATE51_00098
ko:K00566	ccoo:ATE51_00100
ko:K06966	ccoo:ATE51_00102
ko:K06992	ccoo:ATE51_00122
ko:K02417	ccoo:ATE51_00124
ko:K02416	ccoo:ATE51_00126
ko:K02405	ccoo:ATE51_00128
ko:K04562	ccoo:ATE51_00132
ko:K02404	ccoo:ATE51_00134
ko:K00950	ccoo:ATE51_00136
ko:K03786	ccoo:ATE51_00138
ko:K20810	ccoo:ATE51_00140
ko:K04773	ccoo:ATE51_00142
ko:K07216	ccoo:ATE51_00146
ko:K07216	ccoo:ATE51_00148
ko:K06942	ccoo:ATE51_01690
ko:K01255	ccoo:ATE51_01692
ko:K00759	ccoo:ATE51_01696
ko:K01808	ccoo:ATE51_01700
ko:K03412	ccoo:ATE51_01702
ko:K00575	ccoo:ATE51_01704
ko:K10041	ccoo:ATE51_01706
ko:K10039	ccoo:ATE51_01708
ko:K10040	ccoo:ATE51_01710
ko:K10040	ccoo:ATE51_01712
ko:K00948	ccoo:ATE51_01714
ko:K06200	ccoo:ATE51_01716
ko:K10806	ccoo:ATE51_01718
ko:K03530	ccoo:ATE51_01722
ko:K01738	ccoo:ATE51_01724
ko:K07152	ccoo:ATE51_01726
ko:K09796	ccoo:ATE51_01730
ko:K01775	ccoo:ATE51_01736
ko:K03216	ccoo:ATE51_01738
ko:K03310	ccoo:ATE51_01740
ko:K02028	ccoo:ATE51_01742
ko:K02029	ccoo:ATE51_01744
ko:K03152	ccoo:ATE51_01748
ko:K02503	ccoo:ATE51_01750
ko:K01889	ccoo:ATE51_01752
ko:K01890	ccoo:ATE51_01754
ko:K00800	ccoo:ATE51_01756
ko:K03527	ccoo:ATE51_01758
ko:K02945	ccoo:ATE51_01760
ko:K00058	ccoo:ATE51_01764
ko:K15738	ccoo:ATE51_01770
ko:K03750	ccoo:ATE51_01774
ko:K00790	ccoo:ATE51_01776
ko:K01664	ccoo:ATE51_01780
ko:K03342	ccoo:ATE51_01782
ko:K04763	ccoo:ATE51_01784
ko:K03611	ccoo:ATE51_01786
ko:K03673	ccoo:ATE51_01788
ko:K07126	ccoo:ATE51_03388
ko:K00245	ccoo:ATE51_03394
ko:K00244	ccoo:ATE51_03396
ko:K00246	ccoo:ATE51_03398
ko:K13292	ccoo:ATE51_03400
ko:K00014	ccoo:ATE51_03404
ko:K03749	ccoo:ATE51_03406
ko:K00600	ccoo:ATE51_03410
ko:K04567	ccoo:ATE51_03412
ko:K03711	ccoo:ATE51_03414
ko:K03558	ccoo:ATE51_03416
ko:K02435	ccoo:ATE51_03418
ko:K03525	ccoo:ATE51_03426
ko:K00116	ccoo:ATE51_03428
ko:K00873	ccoo:ATE51_03430
ko:K01875	ccoo:ATE51_03436
ko:K01867	ccoo:ATE51_03438
ko:K00891	ccoo:ATE51_03440
ko:K03977	ccoo:ATE51_03442
ko:K01627	ccoo:ATE51_03446
ko:K00794	ccoo:ATE51_03448
ko:K03625	ccoo:ATE51_03450
ko:K01591	ccoo:ATE51_03452
ko:K07147	ccoo:ATE51_03456
ko:K17247	ccoo:ATE51_03458
ko:K09767	ccoo:ATE51_03466
ko:K00549	ccoo:ATE51_03194
ko:K00782	ccoo:ATE51_00150
ko:K18929	ccoo:ATE51_00152
ko:K18928	ccoo:ATE51_00154
ko:K03303	ccoo:ATE51_00156
ko:K00425	ccoo:ATE51_00160
ko:K00426	ccoo:ATE51_00162
ko:K01779	ccoo:ATE51_00170
ko:K03648	ccoo:ATE51_00172
ko:K01744	ccoo:ATE51_00174
ko:K07791	ccoo:ATE51_00176
ko:K09859	ccoo:ATE51_00178
ko:K07337	ccoo:ATE51_00180
ko:K02888	ccoo:ATE51_00184
ko:K02899	ccoo:ATE51_00186
ko:K03979	ccoo:ATE51_00188
ko:K02003	ccoo:ATE51_00194
ko:K02004	ccoo:ATE51_00196
ko:K02004	ccoo:ATE51_00198
ko:K07230	ccoo:ATE51_00202
ko:K07243	ccoo:ATE51_00204
ko:K03313	ccoo:ATE51_00208
ko:K03313	ccoo:ATE51_00210
ko:K01776	ccoo:ATE51_00214
ko:K01265	ccoo:ATE51_00216
ko:K18480	ccoo:ATE51_00220
ko:K02067	ccoo:ATE51_00222
ko:K02065	ccoo:ATE51_00224
ko:K02066	ccoo:ATE51_00226
ko:K00615	ccoo:ATE51_00228
ko:K00795	ccoo:ATE51_00230
ko:K09747	ccoo:ATE51_00234
ko:K01928	ccoo:ATE51_00236
ko:K03469	ccoo:ATE51_00246
ko:K03685	ccoo:ATE51_00248
ko:K01736	ccoo:ATE51_00250
ko:K02400	ccoo:ATE51_01798
ko:K02956	ccoo:ATE51_01802
ko:K03466	ccoo:ATE51_01804
ko:K02397	ccoo:ATE51_01806
ko:K06921	ccoo:ATE51_01814
ko:K02029	ccoo:ATE51_01832
ko:K06143	ccoo:ATE51_01836
ko:K02004	ccoo:ATE51_01838
ko:K03070	ccoo:ATE51_01840
ko:K03634	ccoo:ATE51_01842
ko:K12251	ccoo:ATE51_01850
ko:K03406	ccoo:ATE51_01858
ko:K00602	ccoo:ATE51_01860
ko:K05801	ccoo:ATE51_01862
ko:K01952	ccoo:ATE51_01864
ko:K03650	ccoo:ATE51_01866
ko:K06346	ccoo:ATE51_01868
ko:K03217	ccoo:ATE51_01870
ko:K03536	ccoo:ATE51_01874
ko:K02914	ccoo:ATE51_01876
ko:K07107	ccoo:ATE51_01884
ko:K02970	ccoo:ATE51_03474
ko:K18992	ccoo:ATE51_03478
ko:K03585	ccoo:ATE51_03480
ko:K18138	ccoo:ATE51_03482
ko:K18139	ccoo:ATE51_03484
ko:K08973	ccoo:ATE51_03490
ko:K03101	ccoo:ATE51_03492
ko:K03431	ccoo:ATE51_03494
ko:K00428	ccoo:ATE51_03496
ko:K08591	ccoo:ATE51_03498
ko:K01633	ccoo:ATE51_03500
ko:K01524	ccoo:ATE51_03506
ko:K02417	ccoo:ATE51_03510
ko:K01695	ccoo:ATE51_03514
ko:K01696	ccoo:ATE51_03516
ko:K01817	ccoo:ATE51_03518
ko:K13497	ccoo:ATE51_03520
ko:K01657	ccoo:ATE51_03522
ko:K07090	ccoo:ATE51_03524
ko:K03701	ccoo:ATE51_03526
ko:K02556	ccoo:ATE51_03538
ko:K02557	ccoo:ATE51_03540
ko:K02401	ccoo:ATE51_03542
ko:K03386	ccoo:ATE51_03544
ko:K00940	ccoo:ATE51_03548
ko:K02911	ccoo:ATE51_03552
ko:K03621	ccoo:ATE51_03554
ko:K00648	ccoo:ATE51_03556
ko:K00831	ccoo:ATE51_03558
ko:K03601	ccoo:ATE51_03560
ko:K07795	ccoo:ATE51_03562
ko:K07794	ccoo:ATE51_03564
ko:K07793	ccoo:ATE51_03566
ko:K03183	ccoo:ATE51_03568
ko:K15125	ccoo:ATE51_00260
ko:K07326	ccoo:ATE51_00262
ko:K00566	ccoo:ATE51_00264
ko:K03559	ccoo:ATE51_00270
ko:K03561	ccoo:ATE51_00272
ko:K03837	ccoo:ATE51_00278
ko:K01752	ccoo:ATE51_00280
ko:K11752	ccoo:ATE51_00284
ko:K07216	ccoo:ATE51_00300
ko:K07216	ccoo:ATE51_00302
ko:K07216	ccoo:ATE51_00304
ko:K03575	ccoo:ATE51_00306
ko:K03761	ccoo:ATE51_00308
ko:K02016	ccoo:ATE51_00312
ko:K02013	ccoo:ATE51_00314
ko:K02015	ccoo:ATE51_00316
ko:K02014	ccoo:ATE51_00318
ko:K07226	ccoo:ATE51_00320
ko:K02835	ccoo:ATE51_00322
ko:K02968	ccoo:ATE51_00324
ko:K01095	ccoo:ATE51_00326
ko:K00958	ccoo:ATE51_00328
ko:K12506	ccoo:ATE51_00332
ko:K03593	ccoo:ATE51_00334
ko:K00674	ccoo:ATE51_00336
ko:K11755	ccoo:ATE51_00340
ko:K02500	ccoo:ATE51_00342
ko:K01814	ccoo:ATE51_00344
ko:K02501	ccoo:ATE51_00346
ko:K01089	ccoo:ATE51_00348
ko:K00013	ccoo:ATE51_00350
ko:K00765	ccoo:ATE51_00352
ko:K02879	ccoo:ATE51_00354
ko:K09815	ccoo:ATE51_01926
ko:K03711	ccoo:ATE51_01928
ko:K03100	ccoo:ATE51_01930
ko:K01491	ccoo:ATE51_01932
ko:K01845	ccoo:ATE51_01936
ko:K04061	ccoo:ATE51_01946
ko:K01613	ccoo:ATE51_01948
ko:K07098	ccoo:ATE51_01950
ko:K01885	ccoo:ATE51_01952
ko:K02221	ccoo:ATE51_01954
ko:K08309	ccoo:ATE51_01956
ko:K03753	ccoo:ATE51_01960
ko:K03841	ccoo:ATE51_01962
ko:K01874	ccoo:ATE51_01966
ko:K01977	ccoo:ATE51_00058
ko:K14218	ccoo:ATE51_00060
ko:K00821	ccoo:ATE51_03894
ko:K14218	ccoo:ATE51_02150
ko:K14218	ccoo:ATE51_03354
ko:K14218	ccoo:ATE51_04378
ko:K15035	ccoo:ATE51_00840
ko:K02335	ccoo:ATE51_03536
ko:K18640	ccoo:ATE51_03016
ko:K02314	ccoo:ATE51_03094
ko:K03465	ccoo:ATE51_00050
ko:K02316	ccoo:ATE51_00242
ko:K06905	ccoo:ATE51_03758
ko:K06906	ccoo:ATE51_03762
ko:K06903	ccoo:ATE51_03796
ko:K06907	ccoo:ATE51_03812
ko:K06908	ccoo:ATE51_03814
ko:K06223	ccoo:ATE51_03824
ko:K06223	ccoo:ATE51_04018
ko:K06908	ccoo:ATE51_04028
ko:K06907	ccoo:ATE51_04030
ko:K06903	ccoo:ATE51_04046
ko:K06906	ccoo:ATE51_04080
ko:K06905	ccoo:ATE51_04084
ko:K00857	ccoo:ATE51_02468
ko:K18640	ccoo:ATE51_02590
ko:K10747	ccoo:ATE51_04284
ko:K03553	ccoo:ATE51_04292
ko:K06919	ccoo:ATE51_02714
ko:K00857	ccoo:ATE51_02894
ko:K06919	ccoo:ATE51_07001
ko:K02483	ccoo:ATE51_02392
ko:K02483	ccoo:ATE51_03502
ko:K02483	ccoo:ATE51_01132
ko:K02032	ccoo:ATE51_00400
ko:K02481	ccoo:ATE51_01572
ko:K01139	ccoo:ATE51_02414
ko:K00526	ccoo:ATE51_03886
ko:K13695	ccoo:ATE51_00212
ko:K21420	ccoo:ATE51_01550
ko:K14233	ccoo:ATE51_04372
ko:K14230	ccoo:ATE51_02434
ko:K14230	ccoo:ATE51_04370
ko:K11904	ccoo:ATE51_02762
ko:K01420	ccoo:ATE51_00166
ko:K14227	ccoo:ATE51_00062
ko:K14227	ccoo:ATE51_02148
ko:K01985	ccoo:ATE51_00065
ko:K10026	ccoo:ATE51_03974
ko:K21600	ccoo:ATE51_03182
ko:K14236	ccoo:ATE51_03272
ko:K14228	ccoo:ATE51_01676
ko:K14228	ccoo:ATE51_04274
ko:K14230	ccoo:ATE51_01002
ko:K14224	ccoo:ATE51_03988
ko:K14234	ccoo:ATE51_03274
ko:K14227	ccoo:ATE51_03352
ko:K01985	ccoo:ATE51_02145
ko:K14233	ccoo:ATE51_00850
ko:K01980	ccoo:ATE51_03350
ko:K01980	ccoo:ATE51_00064
ko:K01985	ccoo:ATE51_03349
ko:K14233	ccoo:ATE51_00290
ko:K14222	ccoo:ATE51_00292
ko:K14228	ccoo:ATE51_00294
ko:K14228	ccoo:ATE51_01808
ko:K14225	ccoo:ATE51_00296
ko:K14225	ccoo:ATE51_03270
ko:K14225	ccoo:ATE51_01772
ko:K14219	ccoo:ATE51_04276
ko:K14219	ccoo:ATE51_04278
ko:K14221	ccoo:ATE51_01826
ko:K14237	ccoo:ATE51_04380
ko:K14229	ccoo:ATE51_01824
ko:K14229	ccoo:ATE51_01830
ko:K01980	ccoo:ATE51_02146
ko:K01977	ccoo:ATE51_02152
ko:K01977	ccoo:ATE51_03356
ko:K14235	ccoo:ATE51_03262
ko:K14234	ccoo:ATE51_03268
ko:K14226	ccoo:ATE51_04280
ko:K14232	ccoo:ATE51_04282
ko:K21929	ccoo:ATE51_01880
ko:K03741	ccoo:ATE51_00438
ko:K22278	ccoo:ATE51_01194
ko:K14441	ccoo:ATE51_00664
ko:K17758	ccoo:ATE51_04154
ko:K17759	ccoo:ATE51_04154
ko:K22391	ccoo:ATE51_02212
ko:K22477	ccoo:ATE51_03898
