ko:K18929	ccy:YSS_00385
ko:K07084	ccy:YSS_00055
ko:K00266	ccy:YSS_00065
ko:K03470	ccy:YSS_00070
ko:K01687	ccy:YSS_00085
ko:K07023	ccy:YSS_00090
ko:K06920	ccy:YSS_00095
ko:K03406	ccy:YSS_01925
ko:K01925	ccy:YSS_01955
ko:K01000	ccy:YSS_01960
ko:K15633	ccy:YSS_01965
ko:K00059	ccy:YSS_01970
ko:K02078	ccy:YSS_01985
ko:K09458	ccy:YSS_01990
ko:K01962	ccy:YSS_01995
ko:K18289	ccy:YSS_02010
ko:K18292	ccy:YSS_02015
ko:K08077	ccy:YSS_02025
ko:K09794	ccy:YSS_02035
ko:K02902	ccy:YSS_02040
ko:K01783	ccy:YSS_02045
ko:K02342	ccy:YSS_02050
ko:K03147	ccy:YSS_02055
ko:K09778	ccy:YSS_02075
ko:K06168	ccy:YSS_02080
ko:K02600	ccy:YSS_02090
ko:K11784	ccy:YSS_02100
ko:K03655	ccy:YSS_02110
ko:K06886	ccy:YSS_02115
ko:K02029	ccy:YSS_02125
ko:K02028	ccy:YSS_02135
ko:K02358	ccy:YSS_02160
ko:K02913	ccy:YSS_02165
ko:K03073	ccy:YSS_02175
ko:K02601	ccy:YSS_02180
ko:K02867	ccy:YSS_02185
ko:K02863	ccy:YSS_02190
ko:K02864	ccy:YSS_02195
ko:K02935	ccy:YSS_02200
ko:K03043	ccy:YSS_02205
ko:K07107	ccy:YSS_04380
ko:K02914	ccy:YSS_04400
ko:K03536	ccy:YSS_04405
ko:K03217	ccy:YSS_04415
ko:K06346	ccy:YSS_04420
ko:K03650	ccy:YSS_04425
ko:K01952	ccy:YSS_04430
ko:K05801	ccy:YSS_04435
ko:K00602	ccy:YSS_04440
ko:K03406	ccy:YSS_04445
ko:K12251	ccy:YSS_04465
ko:K03634	ccy:YSS_04485
ko:K03070	ccy:YSS_04490
ko:K02004	ccy:YSS_04495
ko:K06143	ccy:YSS_04500
ko:K02029	ccy:YSS_04510
ko:K02397	ccy:YSS_04620
ko:K03466	ccy:YSS_04625
ko:K02956	ccy:YSS_04630
ko:K02400	ccy:YSS_04640
ko:K02160	ccy:YSS_07010
ko:K01494	ccy:YSS_07015
ko:K15894	ccy:YSS_07020
ko:K15895	ccy:YSS_07025
ko:K00648	ccy:YSS_07065
ko:K00648	ccy:YSS_07110
ko:K15896	ccy:YSS_07135
ko:K02500	ccy:YSS_07140
ko:K02501	ccy:YSS_07145
ko:K15898	ccy:YSS_07155
ko:K18430	ccy:YSS_07200
ko:K18429	ccy:YSS_07205
ko:K02406	ccy:YSS_07255
ko:K02456	ccy:YSS_07280
ko:K01409	ccy:YSS_07285
ko:K00099	ccy:YSS_07295
ko:K00981	ccy:YSS_07300
ko:K12097	ccy:YSS_10035
ko:K01304	ccy:YSS_10100
ko:K06180	ccy:YSS_00115
ko:K01756	ccy:YSS_00120
ko:K06956	ccy:YSS_00130
ko:K01937	ccy:YSS_00140
ko:K07462	ccy:YSS_00145
ko:K01424	ccy:YSS_00150
ko:K07552	ccy:YSS_00215
ko:K06207	ccy:YSS_00230
ko:K02389	ccy:YSS_00245
ko:K02390	ccy:YSS_00250
ko:K03319	ccy:YSS_00270
ko:K03319	ccy:YSS_00275
ko:K00566	ccy:YSS_00280
ko:K06966	ccy:YSS_00285
ko:K02417	ccy:YSS_00310
ko:K02416	ccy:YSS_00315
ko:K02405	ccy:YSS_00320
ko:K04562	ccy:YSS_00330
ko:K02404	ccy:YSS_00335
ko:K00950	ccy:YSS_00340
ko:K03786	ccy:YSS_00345
ko:K04773	ccy:YSS_00355
ko:K00782	ccy:YSS_00380
ko:K03303	ccy:YSS_00395
ko:K00425	ccy:YSS_00405
ko:K00426	ccy:YSS_00410
ko:K01714	ccy:YSS_02220
ko:K16849	ccy:YSS_02225
ko:K16850	ccy:YSS_02230
ko:K18333	ccy:YSS_02240
ko:K02429	ccy:YSS_02245
ko:K03534	ccy:YSS_02255
ko:K07248	ccy:YSS_02260
ko:K02950	ccy:YSS_02265
ko:K02992	ccy:YSS_02270
ko:K02355	ccy:YSS_02275
ko:K06940	ccy:YSS_02295
ko:K01609	ccy:YSS_02305
ko:K06917	ccy:YSS_02315
ko:K03320	ccy:YSS_02320
ko:K01772	ccy:YSS_02325
ko:K13017	ccy:YSS_02340
ko:K01872	ccy:YSS_02345
ko:K06287	ccy:YSS_02350
ko:K05366	ccy:YSS_02355
ko:K03695	ccy:YSS_02360
ko:K03797	ccy:YSS_02370
ko:K01923	ccy:YSS_02375
ko:K01952	ccy:YSS_02380
ko:K01952	ccy:YSS_02385
ko:K00655	ccy:YSS_02395
ko:K06199	ccy:YSS_02400
ko:K04079	ccy:YSS_02405
ko:K03324	ccy:YSS_02420
ko:K03587	ccy:YSS_02425
ko:K02408	ccy:YSS_02430
ko:K02388	ccy:YSS_02435
ko:K02387	ccy:YSS_02440
ko:K07082	ccy:YSS_02445
ko:K00031	ccy:YSS_02455
ko:K00024	ccy:YSS_02460
ko:K01903	ccy:YSS_02465
ko:K01902	ccy:YSS_02470
ko:K00176	ccy:YSS_02475
ko:K00174	ccy:YSS_02480
ko:K00175	ccy:YSS_02485
ko:K00177	ccy:YSS_02490
ko:K02523	ccy:YSS_02505
ko:K03673	ccy:YSS_04665
ko:K03611	ccy:YSS_04670
ko:K04763	ccy:YSS_04675
ko:K03342	ccy:YSS_04680
ko:K01664	ccy:YSS_04685
ko:K00790	ccy:YSS_04695
ko:K03750	ccy:YSS_04700
ko:K15738	ccy:YSS_04710
ko:K00058	ccy:YSS_04725
ko:K02945	ccy:YSS_04735
ko:K03527	ccy:YSS_04740
ko:K00800	ccy:YSS_04745
ko:K01890	ccy:YSS_04750
ko:K01889	ccy:YSS_04755
ko:K02503	ccy:YSS_04760
ko:K03152	ccy:YSS_04765
ko:K02029	ccy:YSS_04775
ko:K02028	ccy:YSS_04780
ko:K03310	ccy:YSS_04785
ko:K03216	ccy:YSS_04790
ko:K01775	ccy:YSS_04795
ko:K07152	ccy:YSS_04820
ko:K01738	ccy:YSS_04825
ko:K03530	ccy:YSS_04830
ko:K10806	ccy:YSS_04840
ko:K06200	ccy:YSS_04850
ko:K00948	ccy:YSS_04855
ko:K10040	ccy:YSS_04860
ko:K10040	ccy:YSS_04865
ko:K10039	ccy:YSS_04870
ko:K10041	ccy:YSS_04875
ko:K00575	ccy:YSS_04880
ko:K03412	ccy:YSS_04885
ko:K01808	ccy:YSS_04890
ko:K00759	ccy:YSS_04900
ko:K01255	ccy:YSS_04910
ko:K06942	ccy:YSS_04915
ko:K01755	ccy:YSS_04920
ko:K01610	ccy:YSS_04925
ko:K01960	ccy:YSS_04930
ko:K03308	ccy:YSS_04935
ko:K03308	ccy:YSS_04940
ko:K03752	ccy:YSS_07315
ko:K01058	ccy:YSS_07320
ko:K02015	ccy:YSS_07325
ko:K02015	ccy:YSS_07330
ko:K02013	ccy:YSS_07335
ko:K03385	ccy:YSS_07355
ko:K15876	ccy:YSS_07360
ko:K00937	ccy:YSS_07365
ko:K03407	ccy:YSS_07375
ko:K03551	ccy:YSS_07380
ko:K01679	ccy:YSS_07390
ko:K00820	ccy:YSS_07400
ko:K00990	ccy:YSS_07405
ko:K18285	ccy:YSS_07410
ko:K06901	ccy:YSS_07415
ko:K00769	ccy:YSS_07420
ko:K04754	ccy:YSS_07425
ko:K07323	ccy:YSS_07430
ko:K07003	ccy:YSS_07435
ko:K02428	ccy:YSS_07440
ko:K03981	ccy:YSS_07460
ko:K03833	ccy:YSS_07465
ko:K01042	ccy:YSS_07470
ko:K03839	ccy:YSS_07480
ko:K03781	ccy:YSS_07495
ko:K03326	ccy:YSS_07515
ko:K01760	ccy:YSS_07520
ko:K01756	ccy:YSS_07525
ko:K04758	ccy:YSS_07535
ko:K04759	ccy:YSS_07540
ko:K05927	ccy:YSS_07545
ko:K00208	ccy:YSS_07550
ko:K01803	ccy:YSS_07555
ko:K00927	ccy:YSS_07560
ko:K00134	ccy:YSS_07565
ko:K00969	ccy:YSS_07570
ko:K09710	ccy:YSS_07575
ko:K15778	ccy:YSS_07580
ko:K02415	ccy:YSS_07585
ko:K00997	ccy:YSS_07590
ko:K01985	ccy:YSS_00175
ko:K01985	ccy:YSS_03435
ko:K01985	ccy:YSS_01950
ko:K14233	ccy:YSS_07350
ko:K14222	ccy:YSS_00725
ko:K14228	ccy:YSS_00730
ko:K14228	ccy:YSS_04950
ko:K14228	ccy:YSS_04615
ko:K14225	ccy:YSS_00735
ko:K14225	ccy:YSS_04705
ko:K14225	ccy:YSS_02150
ko:K14231	ccy:YSS_06965
ko:K14230	ccy:YSS_06960
ko:K14230	ccy:YSS_02630
ko:K14223	ccy:YSS_06955
ko:K14220	ccy:YSS_06615
ko:K14219	ccy:YSS_05460
ko:K14229	ccy:YSS_04515
ko:K14235	ccy:YSS_02170
ko:K14218	ccy:YSS_00160
ko:K14218	ccy:YSS_01935
ko:K14218	ccy:YSS_03420
ko:K14233	ccy:YSS_00720
ko:K14234	ccy:YSS_02155
ko:K14218	ccy:YSS_09735
ko:K01980	ccy:YSS_01945
ko:K14238	ccy:YSS_08000
ko:K14233	ccy:YSS_09725
ko:K14237	ccy:YSS_09740
ko:K14227	ccy:YSS_00165
ko:K14227	ccy:YSS_01940
ko:K14227	ccy:YSS_03425
ko:K14219	ccy:YSS_02280
ko:K14219	ccy:YSS_09485
ko:K14219	ccy:YSS_09490
ko:K14221	ccy:YSS_04525
ko:K14237	ccy:YSS_04520
ko:K14224	ccy:YSS_08755
ko:K01978	ccy:YSS_02555
ko:K14234	ccy:YSS_02140
ko:K14236	ccy:YSS_02145
ko:K14230	ccy:YSS_09720
ko:K01977	ccy:YSS_00155
ko:K01977	ccy:YSS_01930
ko:K01977	ccy:YSS_03415
ko:K01980	ccy:YSS_00170
ko:K07794	ccy:YSS_01400
ko:K18924	ccy:YSS_01320
ko:K18925	ccy:YSS_01315
ko:K10747	ccy:YSS_09505
ko:K18930	ccy:YSS_00935
ko:K18138	ccy:YSS_01605
ko:K00662	ccy:YSS_07040
ko:K03111	ccy:YSS_09980
ko:K03201	ccy:YSS_09995
ko:K03203	ccy:YSS_10005
ko:K03204	ccy:YSS_10010
ko:K03196	ccy:YSS_10020
ko:K03205	ccy:YSS_10030
ko:K03169	ccy:YSS_10060
ko:K18220	ccy:YSS_10080
ko:K05593	ccy:YSS_10105
ko:K09797	ccy:YSS_00210
ko:K03111	ccy:YSS_05805
ko:K03497	ccy:YSS_09430
ko:K03496	ccy:YSS_09435
ko:K00335	ccy:YSS_00995
ko:K18992	ccy:YSS_01615
ko:K03526	ccy:YSS_03175
ko:K11015	ccy:YSS_01210
ko:K07452	ccy:YSS_08195
ko:K07452	ccy:YSS_09235
ko:K07097	ccy:YSS_04645
ko:K07326	ccy:YSS_00645
ko:K07326	ccy:YSS_00650
ko:K15461	ccy:YSS_02700
ko:K00557	ccy:YSS_04155
ko:K00336	ccy:YSS_01000
ko:K17251	ccy:YSS_06095
ko:K19147	ccy:YSS_09230
ko:K17249	ccy:YSS_06110
ko:K15897	ccy:YSS_07130
ko:K15912	ccy:YSS_06070
ko:K15913	ccy:YSS_06080
ko:K15914	ccy:YSS_06090
ko:K15915	ccy:YSS_06085
ko:K15342	ccy:YSS_08110
ko:K00571	ccy:YSS_05020
ko:K17250	ccy:YSS_06105
ko:K18918	ccy:YSS_06590
ko:K00525	ccy:YSS_00125
ko:K01654	ccy:YSS_07645
ko:K22468	ccy:YSS_02765
ko:K09951	ccy:YSS_08105
ko:K15910	ccy:YSS_06075
ko:K04771	ccy:YSS_06630
ko:K19210	ccy:YSS_01260
ko:K15899	ccy:YSS_07125
ko:K03892	ccy:YSS_08365
ko:K00265	ccy:YSS_00060
ko:K03761	ccy:YSS_00760
ko:K19273	ccy:YSS_10110
ko:K06867	ccy:YSS_07500
ko:K19299	ccy:YSS_10115
ko:K19416	ccy:YSS_08485
ko:K18431	ccy:YSS_07220
ko:K06867	ccy:YSS_04170
ko:K00549	ccy:YSS_02335
ko:K07216	ccy:YSS_00375
ko:K07216	ccy:YSS_00750
ko:K10938	ccy:YSS_03890
ko:K07147	ccy:YSS_01670
ko:K09796	ccy:YSS_04810
ko:K20810	ccy:YSS_00350
ko:K00946	ccy:YSS_07790
ko:K03200	ccy:YSS_09990
ko:K03197	ccy:YSS_09960
ko:K03195	ccy:YSS_10015
ko:K03199	ccy:YSS_09965
ko:K00821	ccy:YSS_08530
ko:K02335	ccy:YSS_01470
ko:K03465	ccy:YSS_00135
ko:K02316	ccy:YSS_00600
ko:K02314	ccy:YSS_02615
ko:K06223	ccy:YSS_03530
ko:K06908	ccy:YSS_03560
ko:K06907	ccy:YSS_03565
ko:K06903	ccy:YSS_03605
ko:K06906	ccy:YSS_03690
ko:K06905	ccy:YSS_03700
ko:K06905	ccy:YSS_08925
ko:K06906	ccy:YSS_08935
ko:K06903	ccy:YSS_09020
ko:K06907	ccy:YSS_09060
ko:K06908	ccy:YSS_09065
ko:K06223	ccy:YSS_09095
ko:K03553	ccy:YSS_09525
ko:K06919	ccy:YSS_09915
ko:K02483	ccy:YSS_02735
ko:K02483	ccy:YSS_01555
ko:K02483	ccy:YSS_06625
ko:K02032	ccy:YSS_00960
ko:K02481	ccy:YSS_05545
ko:K01139	ccy:YSS_02680
ko:K00526	ccy:YSS_08510
ko:K07741	ccy:YSS_05040
ko:K13695	ccy:YSS_00525
ko:K21420	ccy:YSS_05600
ko:K10026	ccy:YSS_08715
ko:K21600	ccy:YSS_02365
ko:K21929	ccy:YSS_04390
ko:K03595	ccy:YSS_03015
ko:K22278	ccy:YSS_06480
ko:K14441	ccy:YSS_07770
ko:K17758	ccy:YSS_09170
ko:K17759	ccy:YSS_09170
ko:K22391	ccy:YSS_03265
ko:K22424	ccy:YSS_03100
ko:K22477	ccy:YSS_08540
