ko:K18929	hpyo:HPOK113_0146
ko:K02393	hpyo:HPOK113_0332
ko:K01609	hpyo:HPOK113_0285
ko:K01524	hpyo:HPOK113_0287
ko:K02841	hpyo:HPOK113_0288
ko:K02517	hpyo:HPOK113_0289
ko:K00773	hpyo:HPOK113_0290
ko:K09944	hpyo:HPOK113_0291
ko:K01735	hpyo:HPOK113_0292
ko:K01586	hpyo:HPOK113_0299
ko:K04093	hpyo:HPOK113_0300
ko:K01163	hpyo:HPOK113_0301
ko:K03342	hpyo:HPOK113_0302
ko:K01426	hpyo:HPOK113_0303
ko:K02397	hpyo:HPOK113_0304
ko:K02888	hpyo:HPOK113_0305
ko:K02899	hpyo:HPOK113_0306
ko:K12368	hpyo:HPOK113_0307
ko:K12369	hpyo:HPOK113_0308
ko:K02876	hpyo:HPOK113_1252
ko:K02988	hpyo:HPOK113_1253
ko:K02881	hpyo:HPOK113_1254
ko:K02933	hpyo:HPOK113_1255
ko:K02994	hpyo:HPOK113_1256
ko:K02931	hpyo:HPOK113_1257
ko:K02895	hpyo:HPOK113_1258
ko:K02874	hpyo:HPOK113_1259
ko:K02961	hpyo:HPOK113_1260
ko:K02904	hpyo:HPOK113_1261
ko:K02878	hpyo:HPOK113_1262
ko:K02982	hpyo:HPOK113_1263
ko:K02890	hpyo:HPOK113_1264
ko:K02965	hpyo:HPOK113_1265
ko:K02886	hpyo:HPOK113_1266
ko:K02892	hpyo:HPOK113_1267
ko:K02926	hpyo:HPOK113_1268
ko:K02906	hpyo:HPOK113_1269
ko:K02946	hpyo:HPOK113_1270
ko:K07133	hpyo:HPOK113_1271
ko:K00075	hpyo:HPOK113_1333
ko:K02420	hpyo:HPOK113_1334
ko:K02412	hpyo:HPOK113_1335
ko:K01870	hpyo:HPOK113_1337
ko:K06941	hpyo:HPOK113_1340
ko:K06041	hpyo:HPOK113_1341
ko:K02528	hpyo:HPOK113_1343
ko:K01433	hpyo:HPOK113_1347
ko:K04773	hpyo:HPOK113_1348
ko:K03768	hpyo:HPOK113_1354
ko:K03563	hpyo:HPOK113_1355
ko:K00919	hpyo:HPOK113_1356
ko:K03664	hpyo:HPOK113_1357
ko:K03561	hpyo:HPOK113_1358
ko:K02914	hpyo:HPOK113_1360
ko:K03536	hpyo:HPOK113_1361
ko:K03217	hpyo:HPOK113_1363
ko:K06346	hpyo:HPOK113_1364
ko:K03650	hpyo:HPOK113_1365
ko:K07337	hpyo:HPOK113_1370
ko:K06178	hpyo:HPOK113_1372
ko:K02337	hpyo:HPOK113_1373
ko:K00428	hpyo:HPOK113_1374
ko:K00175	hpyo:HPOK113_0607
ko:K00177	hpyo:HPOK113_0608
ko:K03611	hpyo:HPOK113_0612
ko:K00652	hpyo:HPOK113_0615
ko:K03474	hpyo:HPOK113_1516
ko:K00097	hpyo:HPOK113_1517
ko:K01409	hpyo:HPOK113_1518
ko:K02392	hpyo:HPOK113_1519
ko:K02072	hpyo:HPOK113_1512
ko:K00566	hpyo:HPOK113_0011
ko:K00997	hpyo:HPOK113_0821
ko:K02415	hpyo:HPOK113_0822
ko:K02556	hpyo:HPOK113_0828
ko:K02557	hpyo:HPOK113_0829
ko:K05845	hpyo:HPOK113_0831
ko:K05846	hpyo:HPOK113_0831
ko:K05847	hpyo:HPOK113_0832
ko:K03703	hpyo:HPOK113_0835
ko:K00003	hpyo:HPOK113_0836
ko:K07460	hpyo:HPOK113_0837
ko:K03671	hpyo:HPOK113_0838
ko:K00384	hpyo:HPOK113_0839
ko:K07270	hpyo:HPOK113_0840
ko:K02108	hpyo:HPOK113_0842
ko:K00088	hpyo:HPOK113_0843
ko:K02433	hpyo:HPOK113_0844
ko:K00859	hpyo:HPOK113_0845
ko:K00797	hpyo:HPOK113_0846
ko:K03977	hpyo:HPOK113_0848
ko:K03530	hpyo:HPOK113_0849
ko:K09860	hpyo:HPOK113_0850
ko:K15894	hpyo:HPOK113_0853
ko:K13038	hpyo:HPOK113_0854
ko:K00788	hpyo:HPOK113_0856
ko:K00941	hpyo:HPOK113_0857
ko:K00878	hpyo:HPOK113_0858
ko:K01153	hpyo:HPOK113_0859
ko:K01154	hpyo:HPOK113_0860
ko:K03427	hpyo:HPOK113_0861
ko:K09805	hpyo:HPOK113_0863
ko:K00364	hpyo:HPOK113_0865
ko:K03271	hpyo:HPOK113_0866
ko:K03272	hpyo:HPOK113_0867
ko:K03274	hpyo:HPOK113_0868
ko:K03273	hpyo:HPOK113_0869
ko:K09792	hpyo:HPOK113_0870
ko:K03525	hpyo:HPOK113_0871
ko:K03695	hpyo:HPOK113_0273
ko:K06196	hpyo:HPOK113_0274
ko:K01465	hpyo:HPOK113_0275
ko:K06168	hpyo:HPOK113_0278
ko:K09778	hpyo:HPOK113_0279
ko:K06940	hpyo:HPOK113_0283
ko:K01756	hpyo:HPOK113_1073
ko:K03702	hpyo:HPOK113_1075
ko:K07126	hpyo:HPOK113_1078
ko:K02396	hpyo:HPOK113_1081
ko:K03775	hpyo:HPOK113_1086
ko:K03640	hpyo:HPOK113_1088
ko:K03641	hpyo:HPOK113_1089
ko:K02114	hpyo:HPOK113_1093
ko:K02112	hpyo:HPOK113_1094
ko:K02115	hpyo:HPOK113_1095
ko:K02111	hpyo:HPOK113_1096
ko:K02113	hpyo:HPOK113_1097
ko:K02109	hpyo:HPOK113_1098
ko:K02109	hpyo:HPOK113_1099
ko:K03524	hpyo:HPOK113_1102
ko:K01939	hpyo:HPOK113_0264
ko:K00604	hpyo:HPOK113_1103
ko:K11749	hpyo:HPOK113_0267
ko:K02884	hpyo:HPOK113_1107
ko:K00554	hpyo:HPOK113_1108
ko:K02860	hpyo:HPOK113_1109
ko:K06960	hpyo:HPOK113_1110
ko:K02959	hpyo:HPOK113_1111
ko:K03106	hpyo:HPOK113_1112
ko:K01873	hpyo:HPOK113_1113
ko:K02563	hpyo:HPOK113_1115
ko:K00286	hpyo:HPOK113_1118
ko:K04095	hpyo:HPOK113_1119
ko:K07042	hpyo:HPOK113_1120
ko:K03839	hpyo:HPOK113_1121
ko:K03601	hpyo:HPOK113_0268
ko:K15896	hpyo:HPOK113_0335
ko:K00912	hpyo:HPOK113_0336
ko:K01916	hpyo:HPOK113_0337
ko:K00053	hpyo:HPOK113_0338
ko:K00384	hpyo:HPOK113_1124
ko:K01810	hpyo:HPOK113_1126
ko:K06200	hpyo:HPOK113_1128
ko:K02029	hpyo:HPOK113_1129
ko:K02029	hpyo:HPOK113_1130
ko:K02429	hpyo:HPOK113_1134
ko:K06901	hpyo:HPOK113_1135
ko:K03784	hpyo:HPOK113_1137
ko:K01839	hpyo:HPOK113_1138
ko:K03317	hpyo:HPOK113_1139
ko:K08159	hpyo:HPOK113_1144
ko:K01674	hpyo:HPOK113_1145
ko:K00133	hpyo:HPOK113_1147
ko:K01892	hpyo:HPOK113_1148
ko:K02843	hpyo:HPOK113_1149
ko:K02355	hpyo:HPOK113_1151
ko:K02992	hpyo:HPOK113_1152
ko:K02950	hpyo:HPOK113_1153
ko:K13797	hpyo:HPOK113_1154
ko:K02935	hpyo:HPOK113_1155
ko:K02864	hpyo:HPOK113_1156
ko:K02863	hpyo:HPOK113_1157
ko:K02867	hpyo:HPOK113_1158
ko:K02601	hpyo:HPOK113_1159
ko:K03073	hpyo:HPOK113_1160
ko:K02913	hpyo:HPOK113_1161
ko:K02358	hpyo:HPOK113_1162
ko:K00640	hpyo:HPOK113_1168
ko:K02406	hpyo:HPOK113_0618
ko:K07457	hpyo:HPOK113_0619
ko:K01599	hpyo:HPOK113_0621
ko:K01972	hpyo:HPOK113_0629
ko:K03415	hpyo:HPOK113_0630
ko:K01876	hpyo:HPOK113_0631
ko:K00939	hpyo:HPOK113_0632
ko:K07270	hpyo:HPOK113_0633
ko:K07270	hpyo:HPOK113_0634
ko:K07270	hpyo:HPOK113_0635
ko:K01507	hpyo:HPOK113_0636
ko:K07456	hpyo:HPOK113_0637
ko:K01924	hpyo:HPOK113_0639
ko:K00674	hpyo:HPOK113_0642
ko:K07126	hpyo:HPOK113_0643
ko:K03923	hpyo:HPOK113_0645
ko:K03620	hpyo:HPOK113_0648
ko:K06920	hpyo:HPOK113_0654
ko:K00970	hpyo:HPOK113_0655
ko:K01885	hpyo:HPOK113_0657
ko:K02221	hpyo:HPOK113_0658
ko:K08309	hpyo:HPOK113_0659
ko:K00963	hpyo:HPOK113_0660
ko:K01156	hpyo:HPOK113_1436
ko:K07316	hpyo:HPOK113_1437
ko:K03655	hpyo:HPOK113_1438
ko:K01142	hpyo:HPOK113_1441
ko:K02313	hpyo:HPOK113_1443
ko:K00820	hpyo:HPOK113_1446
ko:K01154	hpyo:HPOK113_1448
ko:K03427	hpyo:HPOK113_1449
ko:K01153	hpyo:HPOK113_1451
ko:K07043	hpyo:HPOK113_1453
ko:K16091	hpyo:HPOK113_1454
ko:K01476	hpyo:HPOK113_1455
ko:K00259	hpyo:HPOK113_1457
ko:K00858	hpyo:HPOK113_1460
ko:K03631	hpyo:HPOK113_1461
ko:K02342	hpyo:HPOK113_1466
ko:K01783	hpyo:HPOK113_1467
ko:K03841	hpyo:HPOK113_1468
ko:K02357	hpyo:HPOK113_1473
ko:K02967	hpyo:HPOK113_1474
ko:K03313	hpyo:HPOK113_1476
ko:K03210	hpyo:HPOK113_1477
ko:K03072	hpyo:HPOK113_1478
ko:K03074	hpyo:HPOK113_1479
ko:K01869	hpyo:HPOK113_1481
ko:K02406	hpyo:HPOK113_0127
ko:K03168	hpyo:HPOK113_0128
ko:K01868	hpyo:HPOK113_0133
ko:K02520	hpyo:HPOK113_0134
ko:K02916	hpyo:HPOK113_0135
ko:K02887	hpyo:HPOK113_0136
ko:K01752	hpyo:HPOK113_0140
ko:K17103	hpyo:HPOK113_0384
ko:K03559	hpyo:HPOK113_1359
ko:K02484	hpyo:HPOK113_0034
ko:K02484	hpyo:HPOK113_0171
ko:K02847	hpyo:HPOK113_0415
ko:K01992	hpyo:HPOK113_1400
ko:K12053	hpyo:HPOK113_0015
ko:K12053	hpyo:HPOK113_0529
ko:K17686	hpyo:HPOK113_1417
ko:K17686	hpyo:HPOK113_0383
ko:K01155	hpyo:HPOK113_0271
ko:K07318	hpyo:HPOK113_1412
ko:K00971	hpyo:HPOK113_1299
ko:K05540	hpyo:HPOK113_0733
ko:K01658	hpyo:HPOK113_1236
ko:K11928	hpyo:HPOK113_0062
ko:K07318	hpyo:HPOK113_1165
ko:K01156	hpyo:HPOK113_1319
ko:K12574	hpyo:HPOK113_1342
ko:K00290	hpyo:HPOK113_1421
ko:K01497	hpyo:HPOK113_0814
ko:K00254	hpyo:HPOK113_0443
ko:K06148	hpyo:HPOK113_1163
ko:K05922	hpyo:HPOK113_0647
ko:K05927	hpyo:HPOK113_0646
ko:K00104	hpyo:HPOK113_0491
ko:K07812	hpyo:HPOK113_1007
ko:K03605	hpyo:HPOK113_0649
ko:K05366	hpyo:HPOK113_0614
ko:K02018	hpyo:HPOK113_0459
ko:K02939	hpyo:HPOK113_0496
ko:K01173	hpyo:HPOK113_1315
ko:K01153	hpyo:HPOK113_1450
ko:K01153	hpyo:HPOK113_1452
ko:K07501	hpyo:HPOK113_0701
ko:K03639	hpyo:HPOK113_0780
ko:K00925	hpyo:HPOK113_0909
ko:K03750	hpyo:HPOK113_0178
ko:K11784	hpyo:HPOK113_0670
ko:K11785	hpyo:HPOK113_0160
ko:K18284	hpyo:HPOK113_0101
ko:K18285	hpyo:HPOK113_0668
ko:K16235	hpyo:HPOK113_0437
ko:K18480	hpyo:HPOK113_1376
ko:K00681	hpyo:HPOK113_1080
ko:K07316	hpyo:HPOK113_1318
ko:K18930	hpyo:HPOK113_1178
ko:K03111	hpyo:HPOK113_1200
ko:K03205	hpyo:HPOK113_0526
ko:K03205	hpyo:HPOK113_0527
ko:K03196	hpyo:HPOK113_0546
ko:K03497	hpyo:HPOK113_1100
ko:K03496	hpyo:HPOK113_1101
ko:K02483	hpyo:HPOK113_0172
ko:K03761	hpyo:HPOK113_0364
ko:K00335	hpyo:HPOK113_1220
ko:K03526	hpyo:HPOK113_0641
ko:K00571	hpyo:HPOK113_0104
ko:K03296	hpyo:HPOK113_0624
ko:K00336	hpyo:HPOK113_1221
ko:K07448	hpyo:HPOK113_0375
ko:K19157	hpyo:HPOK113_0900
ko:K00571	hpyo:HPOK113_0056
ko:K00571	hpyo:HPOK113_0272
ko:K00571	hpyo:HPOK113_1293
ko:K00525	hpyo:HPOK113_0690
ko:K07317	hpyo:HPOK113_0919
ko:K04771	hpyo:HPOK113_0436
ko:K01992	hpyo:HPOK113_1399
ko:K07496	hpyo:HPOK113_0514
ko:K07496	hpyo:HPOK113_0515
ko:K19302	hpyo:HPOK113_0862
ko:K19416	hpyo:HPOK113_0927
ko:K07496	hpyo:HPOK113_0566
ko:K07812	hpyo:HPOK113_1008
ko:K12052	hpyo:HPOK113_1303
ko:K12052	hpyo:HPOK113_0504
ko:K20151	hpyo:HPOK113_0665
ko:K20810	hpyo:HPOK113_0276
ko:K20151	hpyo:HPOK113_1036
ko:K12052	hpyo:HPOK113_0503
ko:K07100	hpyo:HPOK113_1171
ko:K06223	hpyo:HPOK113_0466
ko:K01520	hpyo:HPOK113_0874
ko:K00558	hpyo:HPOK113_1083
ko:K12089	hpyo:HPOK113_0544
ko:K12106	hpyo:HPOK113_0560
ko:K02316	hpyo:HPOK113_0010
ko:K02314	hpyo:HPOK113_0036
ko:K00558	hpyo:HPOK113_0057
ko:K03553	hpyo:HPOK113_0161
ko:K02335	hpyo:HPOK113_1383
ko:K02335	hpyo:HPOK113_0433
ko:K06223	hpyo:HPOK113_1413
ko:K03465	hpyo:HPOK113_1447
ko:K02483	hpyo:HPOK113_0033
ko:K00526	hpyo:HPOK113_1051
ko:K02481	hpyo:HPOK113_0714
ko:K01139	hpyo:HPOK113_0789
ko:K07097	hpyo:HPOK113_0412
ko:K02483	hpyo:HPOK113_0411
ko:K10026	hpyo:HPOK113_0940
ko:K21929	hpyo:HPOK113_0664
ko:K03595	hpyo:HPOK113_0539
ko:K09022	hpyo:HPOK113_0951
ko:K22278	hpyo:HPOK113_0319
ko:K14441	hpyo:HPOK113_0742
ko:K22391	hpyo:HPOK113_0966
ko:K17758	hpyo:HPOK113_0035
ko:K17759	hpyo:HPOK113_0035
ko:K00590	hpyo:HPOK113_0699
ko:K00571	hpyo:HPOK113_0046
ko:K01007	hpyo:HPOK113_0131
