ko:K01006	pav:TIA2EST22_10015
ko:K03664	pav:TIA2EST22_06740
ko:K09811	pav:TIA2EST22_06745
ko:K09812	pav:TIA2EST22_06750
ko:K02836	pav:TIA2EST22_06755
ko:K03466	pav:TIA2EST22_06765
ko:K00946	pav:TIA2EST22_06775
ko:K02911	pav:TIA2EST22_07250
ko:K07040	pav:TIA2EST22_07255
ko:K02034	pav:TIA2EST22_07305
ko:K00954	pav:TIA2EST22_07340
ko:K11737	pav:TIA2EST22_11195
ko:K11737	pav:TIA2EST22_11200
ko:K01775	pav:TIA2EST22_11205
ko:K00849	pav:TIA2EST22_11215
ko:K00973	pav:TIA2EST22_11220
ko:K01921	pav:TIA2EST22_06785
ko:K00645	pav:TIA2EST22_11290
ko:K02781	pav:TIA2EST22_07450
ko:K02834	pav:TIA2EST22_07465
ko:K02519	pav:TIA2EST22_07485
ko:K07742	pav:TIA2EST22_07490
ko:K02600	pav:TIA2EST22_07495
ko:K09748	pav:TIA2EST22_07500
ko:K07090	pav:TIA2EST22_07510
ko:K01881	pav:TIA2EST22_07520
ko:K01704	pav:TIA2EST22_06795
ko:K01703	pav:TIA2EST22_06800
ko:K01703	pav:TIA2EST22_06805
ko:K00826	pav:TIA2EST22_06830
ko:K00052	pav:TIA2EST22_06840
ko:K00053	pav:TIA2EST22_06850
ko:K00849	pav:TIA2EST22_10710
ko:K01940	pav:TIA2EST22_10745
ko:K03523	pav:TIA2EST22_06980
ko:K01866	pav:TIA2EST22_07000
ko:K03402	pav:TIA2EST22_07005
ko:K01012	pav:TIA2EST22_07015
ko:K01890	pav:TIA2EST22_07020
ko:K01889	pav:TIA2EST22_07025
ko:K03437	pav:TIA2EST22_07030
ko:K02887	pav:TIA2EST22_07035
ko:K02916	pav:TIA2EST22_07040
ko:K02520	pav:TIA2EST22_07045
ko:K00765	pav:TIA2EST22_07060
ko:K00099	pav:TIA2EST22_07575
ko:K03671	pav:TIA2EST22_11460
ko:K00057	pav:TIA2EST22_11465
ko:K00615	pav:TIA2EST22_11480
ko:K01808	pav:TIA2EST22_11510
ko:K01686	pav:TIA2EST22_11525
ko:K03811	pav:TIA2EST22_07070
ko:K01812	pav:TIA2EST22_11535
ko:K02013	pav:TIA2EST22_07675
ko:K00208	pav:TIA2EST22_07685
ko:K00563	pav:TIA2EST22_07705
ko:K11717	pav:TIA2EST22_07745
ko:K09013	pav:TIA2EST22_07750
ko:K09015	pav:TIA2EST22_07760
ko:K09014	pav:TIA2EST22_07765
ko:K15987	pav:TIA2EST22_07805
ko:K02259	pav:TIA2EST22_07820
ko:K00036	pav:TIA2EST22_07835
ko:K01057	pav:TIA2EST22_07845
ko:K01873	pav:TIA2EST22_07860
ko:K01647	pav:TIA2EST22_07090
ko:K01151	pav:TIA2EST22_10955
ko:K07124	pav:TIA2EST22_10960
ko:K00655	pav:TIA2EST22_10965
ko:K03652	pav:TIA2EST22_11010
ko:K00113	pav:TIA2EST22_11015
ko:K00112	pav:TIA2EST22_11020
ko:K00111	pav:TIA2EST22_11025
ko:K03281	pav:TIA2EST22_11040
ko:K02959	pav:TIA2EST22_07190
ko:K03106	pav:TIA2EST22_07200
ko:K03110	pav:TIA2EST22_07210
ko:K03685	pav:TIA2EST22_07245
ko:K04567	pav:TIA2EST22_07940
ko:K01808	pav:TIA2EST22_07960
ko:K01972	pav:TIA2EST22_07970
ko:K01256	pav:TIA2EST22_07980
ko:K07107	pav:TIA2EST22_08005
ko:K13288	pav:TIA2EST22_08065
ko:K11737	pav:TIA2EST22_08070
ko:K01207	pav:TIA2EST22_08080
ko:K03564	pav:TIA2EST22_08140
ko:K02346	pav:TIA2EST22_08190
ko:K00989	pav:TIA2EST22_08210
ko:K01776	pav:TIA2EST22_08215
ko:K04758	pav:TIA2EST22_08220
ko:K04759	pav:TIA2EST22_08225
ko:K06891	pav:TIA2EST22_08240
ko:K00763	pav:TIA2EST22_08245
ko:K03530	pav:TIA2EST22_08250
ko:K00705	pav:TIA2EST22_08255
ko:K03786	pav:TIA2EST22_08270
ko:K09791	pav:TIA2EST22_08285
ko:K01588	pav:TIA2EST22_08355
ko:K06287	pav:TIA2EST22_08395
ko:K00868	pav:TIA2EST22_08410
ko:K00382	pav:TIA2EST22_08450
ko:K00876	pav:TIA2EST22_08470
ko:K01874	pav:TIA2EST22_08485
ko:K02057	pav:TIA2EST22_08500
ko:K02057	pav:TIA2EST22_08505
ko:K07335	pav:TIA2EST22_08515
ko:K00031	pav:TIA2EST22_08535
ko:K01433	pav:TIA2EST22_08540
ko:K00024	pav:TIA2EST22_08545
ko:K13922	pav:TIA2EST22_08550
ko:K01491	pav:TIA2EST22_08560
ko:K00602	pav:TIA2EST22_08580
ko:K11175	pav:TIA2EST22_08585
ko:K00794	pav:TIA2EST22_08590
ko:K14652	pav:TIA2EST22_08595
ko:K00793	pav:TIA2EST22_08600
ko:K11752	pav:TIA2EST22_08605
ko:K02926	pav:TIA2EST22_09120
ko:K06207	pav:TIA2EST22_09800
ko:K01624	pav:TIA2EST22_09840
ko:K03975	pav:TIA2EST22_09855
ko:K00886	pav:TIA2EST22_10350
ko:K02919	pav:TIA2EST22_10360
ko:K01887	pav:TIA2EST22_10380
ko:K01810	pav:TIA2EST22_10400
ko:K01625	pav:TIA2EST22_10410
ko:K04047	pav:TIA2EST22_10415
ko:K01207	pav:TIA2EST22_10565
ko:K01712	pav:TIA2EST22_10570
ko:K01468	pav:TIA2EST22_10585
ko:K01745	pav:TIA2EST22_10590
ko:K12410	pav:TIA2EST22_10605
ko:K00761	pav:TIA2EST22_10665
ko:K03549	pav:TIA2EST22_10685
ko:K00313	pav:TIA2EST22_10820
ko:K03522	pav:TIA2EST22_10825
ko:K03521	pav:TIA2EST22_10830
ko:K01875	pav:TIA2EST22_10860
ko:K00684	pav:TIA2EST22_10875
ko:K06153	pav:TIA2EST22_10895
ko:K02217	pav:TIA2EST22_10900
ko:K02939	pav:TIA2EST22_10910
ko:K02963	pav:TIA2EST22_10915
ko:K02990	pav:TIA2EST22_10925
ko:K01950	pav:TIA2EST22_11100
ko:K00850	pav:TIA2EST22_11105
ko:K00259	pav:TIA2EST22_11110
ko:K01647	pav:TIA2EST22_11135
ko:K02078	pav:TIA2EST22_11330
ko:K02372	pav:TIA2EST22_11335
ko:K09458	pav:TIA2EST22_11350
ko:K07778	pav:TIA2EST22_11375
ko:K00865	pav:TIA2EST22_11385
ko:K00864	pav:TIA2EST22_11410
ko:K02440	pav:TIA2EST22_11415
ko:K00384	pav:TIA2EST22_11435
ko:K02529	pav:TIA2EST22_11540
ko:K01195	pav:TIA2EST22_11555
ko:K01921	pav:TIA2EST22_11575
ko:K03501	pav:TIA2EST22_11605
ko:K03217	pav:TIA2EST22_11635
ko:K03536	pav:TIA2EST22_11640
ko:K02914	pav:TIA2EST22_11645
ko:K10947	pav:TIA2EST22_08025
ko:K02004	pav:TIA2EST22_00250
ko:K01222	pav:TIA2EST22_00290
ko:K01191	pav:TIA2EST22_00295
ko:K09704	pav:TIA2EST22_00310
ko:K12373	pav:TIA2EST22_00315
ko:K01784	pav:TIA2EST22_00330
ko:K06994	pav:TIA2EST22_00340
ko:K00135	pav:TIA2EST22_00380
ko:K10200	pav:TIA2EST22_00415
ko:K03405	pav:TIA2EST22_00490
ko:K03404	pav:TIA2EST22_00495
ko:K10254	pav:TIA2EST22_00535
ko:K11189	pav:TIA2EST22_00710
ko:K03436	pav:TIA2EST22_00725
ko:K06147	pav:TIA2EST22_00895
ko:K06877	pav:TIA2EST22_01230
ko:K00274	pav:TIA2EST22_01290
ko:K03488	pav:TIA2EST22_01490
ko:K01719	pav:TIA2EST22_01530
ko:K06196	pav:TIA2EST22_01640
ko:K08483	pav:TIA2EST22_01765
ko:K11189	pav:TIA2EST22_01770
ko:K01727	pav:TIA2EST22_01875
ko:K02025	pav:TIA2EST22_01975
ko:K00639	pav:TIA2EST22_01990
ko:K00595	pav:TIA2EST22_02150
ko:K03475	pav:TIA2EST22_02200
ko:K02821	pav:TIA2EST22_02205
ko:K00616	pav:TIA2EST22_02245
ko:K03709	pav:TIA2EST22_02415
ko:K01934	pav:TIA2EST22_02460
ko:K03635	pav:TIA2EST22_02495
ko:K02428	pav:TIA2EST22_02720
ko:K09009	pav:TIA2EST22_02740
ko:K01478	pav:TIA2EST22_02925
ko:K01847	pav:TIA2EST22_03000
ko:K01847	pav:TIA2EST22_03005
ko:K07588	pav:TIA2EST22_03010
ko:K00674	pav:TIA2EST22_03185
ko:K01439	pav:TIA2EST22_03210
ko:K03593	pav:TIA2EST22_03255
ko:K01262	pav:TIA2EST22_03285
ko:K02351	pav:TIA2EST22_03495
ko:K07245	pav:TIA2EST22_03495
ko:K02274	pav:TIA2EST22_03550
ko:K03299	pav:TIA2EST22_03740
ko:K00016	pav:TIA2EST22_00070
ko:K10440	pav:TIA2EST22_00085
ko:K10439	pav:TIA2EST22_00090
ko:K00852	pav:TIA2EST22_00095
ko:K02775	pav:TIA2EST22_00110
ko:K03491	pav:TIA2EST22_00125
ko:K02798	pav:TIA2EST22_04575
ko:K02799	pav:TIA2EST22_04575
ko:K02800	pav:TIA2EST22_04575
ko:K00972	pav:TIA2EST22_04590
ko:K01259	pav:TIA2EST22_04630
ko:K03711	pav:TIA2EST22_04710
ko:K00241	pav:TIA2EST22_04725
ko:K07114	pav:TIA2EST22_04860
ko:K07114	pav:TIA2EST22_04865
ko:K02823	pav:TIA2EST22_04975
ko:K03743	pav:TIA2EST22_05010
ko:K01192	pav:TIA2EST22_05135
ko:K06902	pav:TIA2EST22_05195
ko:K03499	pav:TIA2EST22_05260
ko:K03499	pav:TIA2EST22_05265
ko:K01507	pav:TIA2EST22_01315
ko:K01243	pav:TIA2EST22_05425
ko:K03768	pav:TIA2EST22_05465
ko:K07503	pav:TIA2EST22_05475
ko:K01835	pav:TIA2EST22_05490
ko:K02755	pav:TIA2EST22_05510
ko:K02756	pav:TIA2EST22_05510
ko:K02757	pav:TIA2EST22_05510
ko:K07067	pav:TIA2EST22_01570
ko:K00027	pav:TIA2EST22_01580
ko:K02433	pav:TIA2EST22_05580
ko:K01496	pav:TIA2EST22_05595
ko:K01814	pav:TIA2EST22_05740
ko:K01817	pav:TIA2EST22_05740
ko:K07776	pav:TIA2EST22_01805
ko:K07768	pav:TIA2EST22_01810
ko:K01424	pav:TIA2EST22_01845
ko:K07442	pav:TIA2EST22_05975
ko:K04517	pav:TIA2EST22_06010
ko:K02009	pav:TIA2EST22_02130
ko:K00010	pav:TIA2EST22_02335
ko:K07052	pav:TIA2EST22_02340
ko:K06201	pav:TIA2EST22_02345
ko:K10843	pav:TIA2EST22_02355
ko:K02564	pav:TIA2EST22_02370
ko:K02033	pav:TIA2EST22_06350
ko:K02035	pav:TIA2EST22_06355
ko:K00374	pav:TIA2EST22_02530
ko:K07307	pav:TIA2EST22_02575
ko:K03153	pav:TIA2EST22_02600
ko:K07654	pav:TIA2EST22_06660
ko:K07670	pav:TIA2EST22_06665
ko:K07304	pav:TIA2EST22_02790
ko:K12503	pav:TIA2EST22_02835
ko:K03727	pav:TIA2EST22_06875
ko:K13573	pav:TIA2EST22_06895
ko:K02074	pav:TIA2EST22_03115
ko:K01885	pav:TIA2EST22_06905
ko:K04763	pav:TIA2EST22_06930
ko:K01515	pav:TIA2EST22_06935
ko:K14761	pav:TIA2EST22_03020
ko:K01206	pav:TIA2EST22_03065
ko:K02077	pav:TIA2EST22_03120
ko:K00567	pav:TIA2EST22_07115
ko:K00241	pav:TIA2EST22_07170
ko:K13671	pav:TIA2EST22_03445
ko:K01186	pav:TIA2EST22_03460
ko:K01186	pav:TIA2EST22_03465
ko:K03177	pav:TIA2EST22_07415
ko:K00088	pav:TIA2EST22_03585
ko:K03891	pav:TIA2EST22_03595
ko:K03890	pav:TIA2EST22_03600
ko:K03889	pav:TIA2EST22_03605
ko:K02342	pav:TIA2EST22_03650
ko:K00845	pav:TIA2EST22_03660
ko:K13787	pav:TIA2EST22_03710
ko:K03405	pav:TIA2EST22_03980
ko:K03404	pav:TIA2EST22_03985
ko:K08676	pav:TIA2EST22_07870
ko:K05794	pav:TIA2EST22_04050
ko:K09762	pav:TIA2EST22_04100
ko:K14162	pav:TIA2EST22_08095
ko:K07009	pav:TIA2EST22_08115
ko:K07048	pav:TIA2EST22_04380
ko:K03079	pav:TIA2EST22_04390
ko:K00016	pav:TIA2EST22_04420
ko:K00027	pav:TIA2EST22_04425
ko:K02238	pav:TIA2EST22_04455
ko:K05341	pav:TIA2EST22_04475
ko:K02549	pav:TIA2EST22_04485
ko:K02552	pav:TIA2EST22_04495
ko:K00088	pav:TIA2EST22_08675
ko:K00088	pav:TIA2EST22_08680
ko:K01409	pav:TIA2EST22_08750
ko:K12583	pav:TIA2EST22_08790
ko:K00867	pav:TIA2EST22_08825
ko:K00059	pav:TIA2EST22_08900
ko:K14335	pav:TIA2EST22_08945
ko:K00939	pav:TIA2EST22_08995
ko:K02035	pav:TIA2EST22_09020
ko:K07305	pav:TIA2EST22_05300
ko:K01885	pav:TIA2EST22_09145
ko:K07386	pav:TIA2EST22_09340
ko:K00700	pav:TIA2EST22_05520
ko:K02228	pav:TIA2EST22_09390
ko:K00805	pav:TIA2EST22_09395
ko:K02552	pav:TIA2EST22_09480
ko:K06147	pav:TIA2EST22_09510
ko:K02004	pav:TIA2EST22_09515
ko:K00016	pav:TIA2EST22_09560
ko:K02566	pav:TIA2EST22_09570
ko:K03386	pav:TIA2EST22_09735
ko:K01788	pav:TIA2EST22_09775
ko:K00852	pav:TIA2EST22_06025
ko:K01619	pav:TIA2EST22_06040
ko:K00721	pav:TIA2EST22_06080
ko:K02004	pav:TIA2EST22_09935
ko:K13640	pav:TIA2EST22_09965
ko:K01619	pav:TIA2EST22_10000
ko:K09992	pav:TIA2EST22_10005
ko:K00564	pav:TIA2EST22_10025
ko:K05602	pav:TIA2EST22_06325
ko:K00058	pav:TIA2EST22_06330
ko:K01081	pav:TIA2EST22_10180
ko:K01104	pav:TIA2EST22_10270
ko:K07669	pav:TIA2EST22_10280
ko:K07653	pav:TIA2EST22_10285
ko:K01823	pav:TIA2EST22_10300
ko:K07177	pav:TIA2EST22_06520
ko:K06910	pav:TIA2EST22_10435
ko:K07052	pav:TIA2EST22_06815
ko:K00758	pav:TIA2EST22_06825
ko:K03307	pav:TIA2EST22_10715
ko:K01523	pav:TIA2EST22_07065
ko:K10563	pav:TIA2EST22_07240
ko:K02025	pav:TIA2EST22_07265
ko:K01191	pav:TIA2EST22_07280
ko:K02035	pav:TIA2EST22_07320
ko:K01679	pav:TIA2EST22_11235
ko:K02025	pav:TIA2EST22_11245
ko:K02783	pav:TIA2EST22_07440
ko:K02782	pav:TIA2EST22_07445
ko:K02783	pav:TIA2EST22_07445
ko:K06976	pav:TIA2EST22_07550
ko:K00853	pav:TIA2EST22_11485
ko:K00059	pav:TIA2EST22_07690
ko:K02348	pav:TIA2EST22_07720
ko:K10797	pav:TIA2EST22_07730
ko:K04488	pav:TIA2EST22_07740
ko:K00033	pav:TIA2EST22_07990
ko:K02025	pav:TIA2EST22_08125
ko:K02428	pav:TIA2EST22_08205
ko:K01966	pav:TIA2EST22_08385
ko:K11263	pav:TIA2EST22_08440
ko:K03783	pav:TIA2EST22_08455
ko:K03469	pav:TIA2EST22_08490
ko:K01489	pav:TIA2EST22_08495
ko:K02056	pav:TIA2EST22_08510
ko:K02025	pav:TIA2EST22_09590
ko:K03776	pav:TIA2EST22_09830
ko:K06147	pav:TIA2EST22_10115
ko:K06147	pav:TIA2EST22_10120
ko:K06221	pav:TIA2EST22_10385
ko:K11105	pav:TIA2EST22_10640
ko:K03855	pav:TIA2EST22_10815
ko:K02619	pav:TIA2EST22_11075
ko:K01488	pav:TIA2EST22_11140
ko:K00059	pav:TIA2EST22_11325
ko:K00970	pav:TIA2EST22_11395
ko:K08372	pav:TIA2EST22_11425
ko:K01209	pav:TIA2EST22_11430
ko:K06177	pav:TIA2EST22_11440
ko:K06346	pav:TIA2EST22_11630
ko:K18682	pav:TIA2EST22_05040
ko:K05342	pav:TIA2EST22_05505
ko:K15771	pav:TIA2EST22_07785
ko:K00259	pav:TIA2EST22_11145
ko:K16147	pav:TIA2EST22_05535
ko:K16148	pav:TIA2EST22_03225
ko:K02032	pav:TIA2EST22_07315
ko:K02031	pav:TIA2EST22_07310
ko:K16163	pav:TIA2EST22_04060
ko:K14232	pav:TIA2EST22_t11702
ko:K03284	pav:TIA2EST22_08430
ko:K14232	pav:TIA2EST22_t11732
ko:K14235	pav:TIA2EST22_t11712
ko:K02018	pav:TIA2EST22_02520
ko:K02017	pav:TIA2EST22_02520
ko:K01840	pav:TIA2EST22_08460
ko:K14230	pav:TIA2EST22_t11690
ko:K01692	pav:TIA2EST22_09285
ko:K00008	pav:TIA2EST22_04570
ko:K03699	pav:TIA2EST22_08525
ko:K01834	pav:TIA2EST22_01830
ko:K01834	pav:TIA2EST22_04075
ko:K11733	pav:TIA2EST22_02965
ko:K01977	pav:TIA2EST22_r11748
ko:K01977	pav:TIA2EST22_r11750
ko:K01977	pav:TIA2EST22_r11752
ko:K11737	pav:TIA2EST22_11115
ko:K11045	pav:TIA2EST22_10260
ko:K00895	pav:TIA2EST22_05415
ko:K10112	pav:TIA2EST22_01950
ko:K03457	pav:TIA2EST22_10810
ko:K10202	pav:TIA2EST22_00425
ko:K10242	pav:TIA2EST22_00270
ko:K10241	pav:TIA2EST22_00275
ko:K10240	pav:TIA2EST22_00280
ko:K16783	pav:TIA2EST22_06970
ko:K01985	pav:TIA2EST22_r11742
ko:K01985	pav:TIA2EST22_r11744
ko:K01985	pav:TIA2EST22_r11746
ko:K16784	pav:TIA2EST22_06975
ko:K02779	pav:TIA2EST22_01500
ko:K02075	pav:TIA2EST22_03110
ko:K10201	pav:TIA2EST22_00420
ko:K02851	pav:TIA2EST22_06215
ko:K02778	pav:TIA2EST22_01500
ko:K02031	pav:TIA2EST22_06340
ko:K14232	pav:TIA2EST22_t11686
ko:K14224	pav:TIA2EST22_t11694
ko:K14224	pav:TIA2EST22_t11722
ko:K14226	pav:TIA2EST22_t11706
ko:K14229	pav:TIA2EST22_t11708
ko:K14229	pav:TIA2EST22_t11720
ko:K14234	pav:TIA2EST22_t11716
ko:K14236	pav:TIA2EST22_t11718
ko:K14221	pav:TIA2EST22_t11724
ko:K14228	pav:TIA2EST22_t11730
ko:K14233	pav:TIA2EST22_t11734
ko:K06016	pav:TIA2EST22_10575
ko:K02006	pav:TIA2EST22_02140
ko:K02008	pav:TIA2EST22_02135
ko:K16785	pav:TIA2EST22_08885
ko:K16786	pav:TIA2EST22_08890
ko:K16787	pav:TIA2EST22_08890
ko:K02768	pav:TIA2EST22_10940
ko:K02769	pav:TIA2EST22_10940
ko:K02770	pav:TIA2EST22_10940
ko:K14218	pav:TIA2EST22_t11664
ko:K14237	pav:TIA2EST22_t11678
ko:K14237	pav:TIA2EST22_t11684
ko:K14237	pav:TIA2EST22_t11692
ko:K14222	pav:TIA2EST22_t11680
ko:K14225	pav:TIA2EST22_t11682
ko:K14233	pav:TIA2EST22_t11740
ko:K14219	pav:TIA2EST22_t11736
ko:K16370	pav:TIA2EST22_00720
ko:K11991	pav:TIA2EST22_10655
ko:K08316	pav:TIA2EST22_07345
ko:K14225	pav:TIA2EST22_t11700
ko:K14225	pav:TIA2EST22_t11728
ko:K02303	pav:TIA2EST22_02165
ko:K16925	pav:TIA2EST22_00785
ko:K16927	pav:TIA2EST22_08895
ko:K16785	pav:TIA2EST22_00790
ko:K16786	pav:TIA2EST22_00790
ko:K16787	pav:TIA2EST22_00790
ko:K14227	pav:TIA2EST22_t11652
ko:K14218	pav:TIA2EST22_t11654
ko:K14218	pav:TIA2EST22_t11672
ko:K14234	pav:TIA2EST22_t11658
ko:K14233	pav:TIA2EST22_t11656
ko:K14234	pav:TIA2EST22_t11660
ko:K14219	pav:TIA2EST22_t11662
ko:K14219	pav:TIA2EST22_t11688
ko:K14219	pav:TIA2EST22_t11704
ko:K14223	pav:TIA2EST22_t11666
ko:K14223	pav:TIA2EST22_t11696
ko:K14228	pav:TIA2EST22_t11668
ko:K14228	pav:TIA2EST22_t11670
ko:K14228	pav:TIA2EST22_t11698
ko:K14228	pav:TIA2EST22_t11710
ko:K01980	pav:TIA2EST22_r11754
ko:K01980	pav:TIA2EST22_r11756
ko:K01980	pav:TIA2EST22_r11758
ko:K14220	pav:TIA2EST22_t11674
ko:K14230	pav:TIA2EST22_t11676
ko:K14230	pav:TIA2EST22_t11714
ko:K14231	pav:TIA2EST22_t11726
ko:K14233	pav:TIA2EST22_t11738
ko:K00096	pav:TIA2EST22_07460
ko:K07308	pav:TIA2EST22_02570
ko:K17317	pav:TIA2EST22_09615
ko:K17316	pav:TIA2EST22_09620
ko:K01992	pav:TIA2EST22_02040
ko:K01992	pav:TIA2EST22_07815
ko:K01992	pav:TIA2EST22_10785
ko:K01992	pav:TIA2EST22_11285
ko:K15581	pav:TIA2EST22_10515
ko:K17315	pav:TIA2EST22_09625
ko:K01990	pav:TIA2EST22_08910
ko:K01992	pav:TIA2EST22_08905
ko:K01990	pav:TIA2EST22_04615
ko:K01990	pav:TIA2EST22_09365
ko:K00096	pav:TIA2EST22_11490
ko:K15583	pav:TIA2EST22_10525
ko:K02028	pav:TIA2EST22_03025
ko:K01897	pav:TIA2EST22_10950
ko:K03574	pav:TIA2EST22_08745
ko:K01992	pav:TIA2EST22_04620
ko:K15580	pav:TIA2EST22_10510
ko:K03416	pav:TIA2EST22_09825
ko:K17489	pav:TIA2EST22_09820
ko:K02027	pav:TIA2EST22_11250
ko:K17490	pav:TIA2EST22_09810
ko:K01186	pav:TIA2EST22_07825
ko:K03671	pav:TIA2EST22_02425
ko:K17489	pav:TIA2EST22_09815
ko:K02026	pav:TIA2EST22_11240
ko:K17686	pav:TIA2EST22_10980
ko:K15923	pav:TIA2EST22_00435
ko:K17686	pav:TIA2EST22_03490
ko:K03292	pav:TIA2EST22_11545
ko:K00226	pav:TIA2EST22_00810
ko:K00971	pav:TIA2EST22_08320
ko:K02026	pav:TIA2EST22_01980
ko:K02026	pav:TIA2EST22_03060
ko:K14337	pav:TIA2EST22_09290
ko:K02026	pav:TIA2EST22_07270
ko:K02026	pav:TIA2EST22_08130
ko:K02026	pav:TIA2EST22_09595
ko:K02768	pav:TIA2EST22_10935
ko:K03767	pav:TIA2EST22_03640
ko:K01267	pav:TIA2EST22_02880
ko:K08485	pav:TIA2EST22_07455
ko:K02021	pav:TIA2EST22_00485
ko:K17828	pav:TIA2EST22_04980
ko:K12574	pav:TIA2EST22_07365
ko:K02027	pav:TIA2EST22_01970
ko:K02027	pav:TIA2EST22_07260
ko:K01187	pav:TIA2EST22_07995
ko:K02027	pav:TIA2EST22_08120
ko:K01187	pav:TIA2EST22_11550
ko:K08221	pav:TIA2EST22_06135
ko:K06148	pav:TIA2EST22_00480
ko:K17883	pav:TIA2EST22_01675
ko:K02809	pav:TIA2EST22_05670
ko:K02810	pav:TIA2EST22_05670
ko:K17898	pav:TIA2EST22_11180
ko:K17899	pav:TIA2EST22_11175
ko:K01906	pav:TIA2EST22_09135
ko:K00652	pav:TIA2EST22_09135
ko:K21469	pav:TIA2EST22_05650
ko:K13572	pav:TIA2EST22_06900
ko:K03719	pav:TIA2EST22_06070
ko:K18118	pav:TIA2EST22_10040
ko:K01788	pav:TIA2EST22_01505
ko:K07173	pav:TIA2EST22_02210
ko:K03402	pav:TIA2EST22_02940
ko:K02003	pav:TIA2EST22_04020
ko:K01895	pav:TIA2EST22_04520
ko:K01895	pav:TIA2EST22_04525
ko:K02003	pav:TIA2EST22_09520
ko:K02002	pav:TIA2EST22_09870
ko:K00052	pav:TIA2EST22_06835
ko:K10038	pav:TIA2EST22_09350
ko:K07693	pav:TIA2EST22_11380
ko:K01791	pav:TIA2EST22_00745
ko:K03574	pav:TIA2EST22_01720
ko:K09820	pav:TIA2EST22_07540
ko:K08300	pav:TIA2EST22_04155
ko:K08301	pav:TIA2EST22_04155
ko:K18955	pav:TIA2EST22_08310
ko:K18955	pav:TIA2EST22_06285
ko:K06147	pav:TIA2EST22_00900
ko:K18929	pav:TIA2EST22_00850
ko:K18928	pav:TIA2EST22_00845
ko:K03496	pav:TIA2EST22_06375
ko:K03496	pav:TIA2EST22_06925
ko:K03111	pav:TIA2EST22_08040
ko:K03111	pav:TIA2EST22_10920
ko:K03497	pav:TIA2EST22_11590
ko:K03496	pav:TIA2EST22_11595
ko:K03761	pav:TIA2EST22_10325
ko:K05991	pav:TIA2EST22_10250
ko:K00335	pav:TIA2EST22_09440
ko:K03976	pav:TIA2EST22_11080
ko:K00336	pav:TIA2EST22_09435
ko:K02483	pav:TIA2EST22_09995
ko:K05991	pav:TIA2EST22_03250
ko:K03526	pav:TIA2EST22_07555
ko:K19221	pav:TIA2EST22_02155
ko:K01167	pav:TIA2EST22_03700
ko:K00798	pav:TIA2EST22_06155
ko:K02777	pav:TIA2EST22_01495
ko:K02802	pav:TIA2EST22_03435
ko:K09951	pav:TIA2EST22_10600
ko:K19265	pav:TIA2EST22_04945
ko:K19270	pav:TIA2EST22_00140
ko:K01066	pav:TIA2EST22_11450
ko:K03722	pav:TIA2EST22_05080
ko:K02804	pav:TIA2EST22_03415
ko:K01785	pav:TIA2EST22_05045
ko:K01990	pav:TIA2EST22_10150
ko:K21400	pav:TIA2EST22_11170
ko:K11045	pav:TIA2EST22_05960
ko:K11045	pav:TIA2EST22_06125
ko:K11045	pav:TIA2EST22_06675
ko:K08744	pav:TIA2EST22_05360
ko:K11045	pav:TIA2EST22_03475
ko:K09819	pav:TIA2EST22_07545
ko:K19710	pav:TIA2EST22_05350
ko:K07119	pav:TIA2EST22_02030
ko:K05346	pav:TIA2EST22_06045
ko:K12132	pav:TIA2EST22_00930
ko:K20074	pav:TIA2EST22_00945
ko:K20265	pav:TIA2EST22_00890
ko:K12132	pav:TIA2EST22_03695
ko:K02803	pav:TIA2EST22_03425
ko:K02803	pav:TIA2EST22_03430
ko:K00525	pav:TIA2EST22_05100
ko:K00526	pav:TIA2EST22_10335
ko:K20370	pav:TIA2EST22_11560
ko:K02081	pav:TIA2EST22_05020
ko:K02438	pav:TIA2EST22_05540
ko:K21029	pav:TIA2EST22_02585
ko:K21071	pav:TIA2EST22_00440
ko:K00821	pav:TIA2EST22_06720
ko:K21636	pav:TIA2EST22_10430
ko:K00525	pav:TIA2EST22_10330
ko:K02335	pav:TIA2EST22_03915
ko:K06217	pav:TIA2EST22_04645
ko:K02316	pav:TIA2EST22_04760
ko:K03553	pav:TIA2EST22_05030
ko:K00857	pav:TIA2EST22_05220
ko:K01520	pav:TIA2EST22_05245
ko:K01493	pav:TIA2EST22_09550
ko:K02314	pav:TIA2EST22_10995
ko:K00287	pav:TIA2EST22_08195
ko:K00560	pav:TIA2EST22_08200
ko:K04068	pav:TIA2EST22_10425
ko:K02032	pav:TIA2EST22_06335
ko:K05710	pav:TIA2EST22_07755
ko:K01802	pav:TIA2EST22_10560
ko:K05364	pav:TIA2EST22_00935
ko:K03293	pav:TIA2EST22_05320
ko:K07005	pav:TIA2EST22_07350
ko:K03293	pav:TIA2EST22_09945
ko:K03293	pav:TIA2EST22_11045
ko:K03636	pav:TIA2EST22_02500
ko:K21399	pav:TIA2EST22_11165
ko:K21401	pav:TIA2EST22_09470
ko:K21471	pav:TIA2EST22_03655
ko:K21600	pav:TIA2EST22_10990
ko:K21672	pav:TIA2EST22_11160
ko:K21739	pav:TIA2EST22_09700
ko:K10914	pav:TIA2EST22_01150
ko:K21929	pav:TIA2EST22_06150
ko:K21949	pav:TIA2EST22_06430
ko:K21949	pav:TIA2EST22_11315
ko:K00936	pav:TIA2EST22_06290
