ko:K06001	deg:DehalGT_0871
ko:K01990	deg:DehalGT_0459
ko:K01990	deg:DehalGT_0681
ko:K01990	deg:DehalGT_1075
ko:K14090	deg:DehalGT_0746
ko:K03711	deg:DehalGT_1208
ko:K03215	deg:DehalGT_0901
ko:K17686	deg:DehalGT_0798
ko:K03551	deg:DehalGT_0106
ko:K03551	deg:DehalGT_0192
ko:K04763	deg:DehalGT_0083
ko:K07658	deg:DehalGT_0909
ko:K01999	deg:DehalGT_0788
ko:K04771	deg:DehalGT_0873
ko:K08966	deg:DehalGT_0647
ko:K06940	deg:DehalGT_0561
ko:K06966	deg:DehalGT_0581
ko:K08591	deg:DehalGT_1405
ko:K05919	deg:DehalGT_1417
ko:K03284	deg:DehalGT_0364
ko:K03798	deg:DehalGT_1263
ko:K00176	deg:DehalGT_1360
ko:K04763	deg:DehalGT_0215
ko:K03790	deg:DehalGT_0276
ko:K07164	deg:DehalGT_0304
ko:K19302	deg:DehalGT_1107
ko:K17758	deg:DehalGT_0368
ko:K17759	deg:DehalGT_0368
ko:K03605	deg:DehalGT_0140
ko:K00329	deg:DehalGT_1060
ko:K00356	deg:DehalGT_1060
ko:K01007	deg:DehalGT_0492
ko:K03469	deg:DehalGT_0305
ko:K18682	deg:DehalGT_1402
ko:K00817	deg:DehalGT_0587
ko:K03733	deg:DehalGT_0613
ko:K02523	deg:DehalGT_0332
ko:K00334	deg:DehalGT_0173
ko:K03526	deg:DehalGT_0313
ko:K19046	deg:DehalGT_1254
ko:K19221	deg:DehalGT_0964
ko:K19123	deg:DehalGT_1255
ko:K03741	deg:DehalGT_0172
ko:K19125	deg:DehalGT_1252
ko:K19126	deg:DehalGT_1251
ko:K09951	deg:DehalGT_1249
ko:K01992	deg:DehalGT_0458
ko:K01992	deg:DehalGT_0682
ko:K01992	deg:DehalGT_0695
ko:K03630	deg:DehalGT_0070
ko:K17734	deg:DehalGT_0207
ko:K17734	deg:DehalGT_0091
ko:K18707	deg:DehalGT_0806
ko:K07668	deg:DehalGT_1313
ko:K01734	deg:DehalGT_1371
ko:K07667	deg:DehalGT_1288
ko:K06075	deg:DehalGT_1345
ko:K07667	deg:DehalGT_1349
ko:K09968	deg:DehalGT_0219
ko:K07025	deg:DehalGT_0472
ko:K19710	deg:DehalGT_1409
ko:K19689	deg:DehalGT_0756
ko:K01992	deg:DehalGT_0145
ko:K19955	deg:DehalGT_0053
ko:K07100	deg:DehalGT_0677
ko:K19244	deg:DehalGT_0161
ko:K12137	deg:DehalGT_1370
ko:K00525	deg:DehalGT_0558
ko:K00525	deg:DehalGT_0295
ko:K01493	deg:DehalGT_0356
ko:K01520	deg:DehalGT_0358
ko:K02314	deg:DehalGT_0479
ko:K03546	deg:DehalGT_0488
ko:K02316	deg:DehalGT_0490
ko:K00560	deg:DehalGT_0699
ko:K03553	deg:DehalGT_1400
ko:K03465	deg:DehalGT_1193
ko:K02335	deg:DehalGT_1108
ko:K11927	deg:DehalGT_0243
ko:K21929	deg:DehalGT_0378
ko:K22044	deg:DehalGT_1373
ko:K22205	deg:DehalGT_1355
ko:K22222	deg:DehalGT_0526
ko:K22222	deg:DehalGT_0887
ko:K22299	deg:DehalGT_0185
ko:K22299	deg:DehalGT_0113
ko:K07755	deg:DehalGT_1138
ko:K00590	deg:DehalGT_1222
