ko:K07497	seo:STM14_3336
ko:K00024	seo:STM14_4052
ko:K03402	seo:STM14_4054
ko:K03623	seo:STM14_4057
ko:K03468	seo:STM14_4058
ko:K15548	seo:STM14_4059
ko:K03568	seo:STM14_4062
ko:K08301	seo:STM14_4064
ko:K06287	seo:STM14_4065
ko:K03571	seo:STM14_4066
ko:K03570	seo:STM14_4067
ko:K03569	seo:STM14_4068
ko:K11216	seo:STM14_4896
ko:K11531	seo:STM14_4897
ko:K10558	seo:STM14_4899
ko:K10556	seo:STM14_4900
ko:K10557	seo:STM14_4901
ko:K10555	seo:STM14_4902
ko:K08321	seo:STM14_4903
ko:K01783	seo:STM14_4905
ko:K01803	seo:STM14_4906
ko:K00528	seo:STM14_4910
ko:K00864	seo:STM14_4912
ko:K02440	seo:STM14_4913
ko:K09892	seo:STM14_4915
ko:K02553	seo:STM14_4917
ko:K02548	seo:STM14_4918
ko:K03667	seo:STM14_4919
ko:K01419	seo:STM14_4920
ko:K03591	seo:STM14_4921
ko:K04066	seo:STM14_4923
ko:K02909	seo:STM14_4924
ko:K03764	seo:STM14_4927
ko:K12525	seo:STM14_4929
ko:K00297	seo:STM14_4935
ko:K03782	seo:STM14_4936
ko:K09974	seo:STM14_4937
ko:K00005	seo:STM14_4939
ko:K08483	seo:STM14_4941
ko:K11189	seo:STM14_4941
ko:K11201	seo:STM14_4941
ko:K11203	seo:STM14_4944
ko:K11202	seo:STM14_4945
ko:K00656	seo:STM14_4946
ko:K04069	seo:STM14_4947
ko:K01271	seo:STM14_4790
ko:K02160	seo:STM14_4076
ko:K01961	seo:STM14_4077
ko:K14392	seo:STM14_4079
ko:K02687	seo:STM14_4080
ko:K03557	seo:STM14_4083
ko:K00014	seo:STM14_4104
ko:K07566	seo:STM14_4105
ko:K07479	seo:STM14_4106
ko:K04096	seo:STM14_4108
ko:K01462	seo:STM14_4109
ko:K00604	seo:STM14_4110
ko:K03500	seo:STM14_4111
ko:K03282	seo:STM14_4113
ko:K09890	seo:STM14_4114
ko:K02879	seo:STM14_4117
ko:K03040	seo:STM14_4118
ko:K02986	seo:STM14_4119
ko:K02948	seo:STM14_4120
ko:K02952	seo:STM14_4121
ko:K02919	seo:STM14_4122
ko:K03076	seo:STM14_4123
ko:K02876	seo:STM14_4124
ko:K02907	seo:STM14_4125
ko:K02988	seo:STM14_4126
ko:K02881	seo:STM14_4127
ko:K02933	seo:STM14_4128
ko:K11202	seo:STM14_4948
ko:K01595	seo:STM14_4954
ko:K01438	seo:STM14_4955
ko:K00145	seo:STM14_4956
ko:K00930	seo:STM14_4957
ko:K01755	seo:STM14_4958
ko:K04761	seo:STM14_4959
ko:K00322	seo:STM14_4960
ko:K01776	seo:STM14_4966
ko:K00075	seo:STM14_4973
ko:K03524	seo:STM14_4974
ko:K03073	seo:STM14_4984
ko:K02601	seo:STM14_4985
ko:K02867	seo:STM14_4986
ko:K02863	seo:STM14_4987
ko:K02864	seo:STM14_4988
ko:K02935	seo:STM14_4989
ko:K03043	seo:STM14_4990
ko:K03046	seo:STM14_4991
ko:K03150	seo:STM14_5000
ko:K03149	seo:STM14_5001
ko:K03154	seo:STM14_5002
ko:K00788	seo:STM14_5004
ko:K02994	seo:STM14_4129
ko:K02954	seo:STM14_4130
ko:K02931	seo:STM14_4131
ko:K02895	seo:STM14_4132
ko:K02874	seo:STM14_4133
ko:K02961	seo:STM14_4134
ko:K02904	seo:STM14_4135
ko:K02878	seo:STM14_4136
ko:K02982	seo:STM14_4137
ko:K02890	seo:STM14_4138
ko:K02965	seo:STM14_4139
ko:K02886	seo:STM14_4140
ko:K02892	seo:STM14_4141
ko:K02926	seo:STM14_4142
ko:K02906	seo:STM14_4143
ko:K02946	seo:STM14_4144
ko:K03594	seo:STM14_4146
ko:K02192	seo:STM14_4147
ko:K02358	seo:STM14_4149
ko:K02355	seo:STM14_4150
ko:K02992	seo:STM14_4151
ko:K02950	seo:STM14_4152
ko:K07237	seo:STM14_4153
ko:K07236	seo:STM14_4154
ko:K07235	seo:STM14_4155
ko:K03745	seo:STM14_4158
ko:K03775	seo:STM14_4159
ko:K07070	seo:STM14_4160
ko:K06158	seo:STM14_4164
ko:K00855	seo:STM14_4170
ko:K07397	seo:STM14_4171
ko:K04095	seo:STM14_4177
ko:K06141	seo:STM14_4181
ko:K03147	seo:STM14_5005
ko:K07740	seo:STM14_5006
ko:K03426	seo:STM14_5007
ko:K01599	seo:STM14_5008
ko:K05982	seo:STM14_5009
ko:K09891	seo:STM14_5010
ko:K05787	seo:STM14_5011
ko:K07803	seo:STM14_5013
ko:K01945	seo:STM14_5016
ko:K00602	seo:STM14_5017
ko:K03827	seo:STM14_5027
ko:K00651	seo:STM14_5028
ko:K01638	seo:STM14_5029
ko:K01637	seo:STM14_5030
ko:K00906	seo:STM14_5032
ko:K03324	seo:STM14_5036
ko:K05995	seo:STM14_5037
ko:K09912	seo:STM14_5039
ko:K06182	seo:STM14_5040
ko:K03453	seo:STM14_5042
ko:K00362	seo:STM14_4183
ko:K00363	seo:STM14_4184
ko:K02598	seo:STM14_4186
ko:K02302	seo:STM14_4187
ko:K01867	seo:STM14_4193
ko:K01091	seo:STM14_4194
ko:K01783	seo:STM14_4195
ko:K03112	seo:STM14_4197
ko:K01735	seo:STM14_4198
ko:K00891	seo:STM14_4199
ko:K02507	seo:STM14_4200
ko:K12291	seo:STM14_4201
ko:K12290	seo:STM14_4202
ko:K12289	seo:STM14_4203
ko:K12288	seo:STM14_4204
ko:K05366	seo:STM14_4205
ko:K08312	seo:STM14_4206
ko:K04762	seo:STM14_4210
ko:K04083	seo:STM14_4211
ko:K01610	seo:STM14_4215
ko:K07638	seo:STM14_4216
ko:K07659	seo:STM14_4217
ko:K04760	seo:STM14_4218
ko:K06959	seo:STM14_4219
ko:K04758	seo:STM14_4221
ko:K04759	seo:STM14_4222
ko:K07490	seo:STM14_4223
ko:K02170	seo:STM14_4226
ko:K07400	seo:STM14_4228
ko:K06155	seo:STM14_4230
ko:K00705	seo:STM14_4231
ko:K00688	seo:STM14_4232
ko:K03556	seo:STM14_4234
ko:K00928	seo:STM14_5074
ko:K01810	seo:STM14_5075
ko:K13256	seo:STM14_5080
ko:K02024	seo:STM14_5087
ko:K05775	seo:STM14_5089
ko:K03181	seo:STM14_5090
ko:K03179	seo:STM14_5091
ko:K00631	seo:STM14_5092
ko:K00901	seo:STM14_5093
ko:K01356	seo:STM14_5094
ko:K03327	seo:STM14_5095
ko:K09823	seo:STM14_5098
ko:K05539	seo:STM14_5100
ko:K01775	seo:STM14_5105
ko:K00832	seo:STM14_5106
ko:K03788	seo:STM14_5107
ko:K03701	seo:STM14_5112
ko:K14415	seo:STM14_4238
ko:K14414	seo:STM14_4241
ko:K02444	seo:STM14_4242
ko:K02439	seo:STM14_4245
ko:K00111	seo:STM14_4246
ko:K02040	seo:STM14_4248
ko:K00005	seo:STM14_4249
ko:K01687	seo:STM14_4251
ko:K00688	seo:STM14_4254
ko:K00703	seo:STM14_4255
ko:K00975	seo:STM14_4256
ko:K00133	seo:STM14_4260
ko:K06156	seo:STM14_4264
ko:K06145	seo:STM14_4266
ko:K06911	seo:STM14_4267
ko:K09936	seo:STM14_4274
ko:K01126	seo:STM14_4279
ko:K05813	seo:STM14_4283
ko:K07341	seo:STM14_4284
ko:K01996	seo:STM14_4286
ko:K01995	seo:STM14_4287
ko:K01998	seo:STM14_4288
ko:K01997	seo:STM14_4289
ko:K13631	seo:STM14_5127
ko:K13639	seo:STM14_5128
ko:K06901	seo:STM14_5133
ko:K14393	seo:STM14_5139
ko:K01895	seo:STM14_5141
ko:K03385	seo:STM14_5143
ko:K04013	seo:STM14_5144
ko:K04016	seo:STM14_5147
ko:K11102	seo:STM14_5151
ko:K09994	seo:STM14_5157
ko:K06193	seo:STM14_5159
ko:K03762	seo:STM14_5161
ko:K07643	seo:STM14_5163
ko:K03760	seo:STM14_5165
ko:K03759	seo:STM14_5166
ko:K03755	seo:STM14_5167
ko:K01584	seo:STM14_5169
ko:K07406	seo:STM14_5171
ko:K01999	seo:STM14_4290
ko:K01999	seo:STM14_4294
ko:K03089	seo:STM14_4295
ko:K09811	seo:STM14_4297
ko:K09812	seo:STM14_4298
ko:K03110	seo:STM14_4299
ko:K08993	seo:STM14_4301
ko:K01534	seo:STM14_4304
ko:K09125	seo:STM14_4307
ko:K06133	seo:STM14_4311
ko:K07722	seo:STM14_4312
ko:K13926	seo:STM14_4314
ko:K01993	seo:STM14_4315
ko:K07007	seo:STM14_4317
ko:K06144	seo:STM14_4319
ko:K03305	seo:STM14_4321
ko:K01414	seo:STM14_4323
ko:K07115	seo:STM14_4326
ko:K03710	seo:STM14_4332
ko:K01194	seo:STM14_4334
ko:K07058	seo:STM14_4342
ko:K01676	seo:STM14_5173
ko:K07703	seo:STM14_5176
ko:K07701	seo:STM14_5177
ko:K07306	seo:STM14_5178
ko:K09474	seo:STM14_5193
ko:K04084	seo:STM14_5199
ko:K03926	seo:STM14_5200
ko:K07791	seo:STM14_5201
ko:K01744	seo:STM14_5202
ko:K07113	seo:STM14_5204
ko:K04078	seo:STM14_5206
ko:K04077	seo:STM14_5207
ko:K02356	seo:STM14_5214
ko:K03098	seo:STM14_5219
ko:K00246	seo:STM14_5221
ko:K04568	seo:STM14_5224
ko:K12541	seo:STM14_3299
ko:K07290	seo:STM14_4345
ko:K00874	seo:STM14_4348
ko:K11103	seo:STM14_4351
ko:K00694	seo:STM14_4358
ko:K12372	seo:STM14_4370
ko:K12371	seo:STM14_4371
ko:K12370	seo:STM14_4372
ko:K12369	seo:STM14_4373
ko:K12368	seo:STM14_4375
ko:K12975	seo:STM14_4382
ko:K07347	seo:STM14_4385
ko:K01246	seo:STM14_4390
ko:K03826	seo:STM14_4391
ko:K07726	seo:STM14_4398
ko:K03704	seo:STM14_4399
ko:K01613	seo:STM14_5229
ko:K06949	seo:STM14_5230
ko:K13288	seo:STM14_5231
ko:K09996	seo:STM14_5232
ko:K06925	seo:STM14_5238
ko:K01448	seo:STM14_5239
ko:K03572	seo:STM14_5240
ko:K00791	seo:STM14_5241
ko:K03666	seo:STM14_5242
ko:K03665	seo:STM14_5243
ko:K04088	seo:STM14_5244
ko:K04087	seo:STM14_5245
ko:K09937	seo:STM14_5246
ko:K01939	seo:STM14_5248
ko:K13771	seo:STM14_5249
ko:K12573	seo:STM14_5250
ko:K03218	seo:STM14_5251
ko:K09980	seo:STM14_5252
ko:K08989	seo:STM14_5256
ko:K09456	seo:STM14_5259
ko:K03477	seo:STM14_5263
ko:K03078	seo:STM14_5268
ko:K02990	seo:STM14_5275
ko:K02686	seo:STM14_5276
ko:K02963	seo:STM14_5277
ko:K02939	seo:STM14_5278
ko:K07269	seo:STM14_5280
ko:K03773	seo:STM14_5281
ko:K11737	seo:STM14_5282
ko:K01879	seo:STM14_4406
ko:K01878	seo:STM14_4407
ko:K01805	seo:STM14_4414
ko:K02529	seo:STM14_4417
ko:K00835	seo:STM14_4421
ko:K08092	seo:STM14_4425
ko:K00880	seo:STM14_4431
ko:K09955	seo:STM14_4436
ko:K00138	seo:STM14_4438
ko:K03833	seo:STM14_4440
ko:K01042	seo:STM14_4441
ko:K00009	seo:STM14_4444
ko:K02562	seo:STM14_4445
ko:K14762	seo:STM14_4447
ko:K00427	seo:STM14_4451
ko:K14348	seo:STM14_4452
ko:K03216	seo:STM14_4454
ko:K06145	seo:STM14_4455
ko:K07322	seo:STM14_5283
ko:K07109	seo:STM14_5290
ko:K07278	seo:STM14_5296
ko:K09800	seo:STM14_5297
ko:K03841	seo:STM14_5302
ko:K02558	seo:STM14_5304
ko:K03337	seo:STM14_5311
ko:K00140	seo:STM14_5312
ko:K03335	seo:STM14_5316
ko:K01201	seo:STM14_5318
ko:K06606	seo:STM14_5319
ko:K03338	seo:STM14_5321
ko:K06606	seo:STM14_5326
ko:K06605	seo:STM14_5327
ko:K09889	seo:STM14_5328
ko:K03592	seo:STM14_5329
ko:K15536	seo:STM14_5330
ko:K01465	seo:STM14_5336
ko:K01042	seo:STM14_5337
ko:K00640	seo:STM14_4459
ko:K00057	seo:STM14_4460
ko:K03071	seo:STM14_4461
ko:K15633	seo:STM14_4464
ko:K09798	seo:STM14_4466
ko:K00060	seo:STM14_4469
ko:K03274	seo:STM14_4471
ko:K02841	seo:STM14_4473
ko:K02847	seo:STM14_4474
ko:K02850	seo:STM14_4477
ko:K02840	seo:STM14_4480
ko:K02848	seo:STM14_4482
ko:K02844	seo:STM14_4483
ko:K02527	seo:STM14_4486
ko:K00954	seo:STM14_4487
ko:K02913	seo:STM14_4489
ko:K02902	seo:STM14_4490
ko:K03630	seo:STM14_4491
ko:K13038	seo:STM14_4492
ko:K05501	seo:STM14_4494
ko:K00762	seo:STM14_4495
ko:K00989	seo:STM14_4496
ko:K01972	seo:STM14_4503
ko:K00942	seo:STM14_4505
ko:K03060	seo:STM14_4506
ko:K00556	seo:STM14_4508
ko:K03485	seo:STM14_5348
ko:K01531	seo:STM14_5349
ko:K00610	seo:STM14_5352
ko:K00609	seo:STM14_5353
ko:K00611	seo:STM14_5358
ko:K00926	seo:STM14_5360
ko:K00611	seo:STM14_5364
ko:K09893	seo:STM14_5365
ko:K06169	seo:STM14_5366
ko:K03828	seo:STM14_5369
ko:K01873	seo:STM14_5371
ko:K02339	seo:STM14_5372
ko:K01255	seo:STM14_5373
ko:K07091	seo:STM14_5375
ko:K11720	seo:STM14_5376
ko:K06146	seo:STM14_5377
ko:K06157	seo:STM14_5378
ko:K00098	seo:STM14_5380
ko:K12957	seo:STM14_5383
ko:K01338	seo:STM14_5388
ko:K03655	seo:STM14_4509
ko:K03312	seo:STM14_4511
ko:K01811	seo:STM14_4515
ko:K01531	seo:STM14_4536
ko:K07507	seo:STM14_4538
ko:K07726	seo:STM14_4557
ko:K02774	seo:STM14_4562
ko:K02773	seo:STM14_4563
ko:K09982	seo:STM14_5401
ko:K01867	seo:STM14_5412
ko:K01779	seo:STM14_5417
ko:K01305	seo:STM14_5419
ko:K01154	seo:STM14_5436
ko:K03427	seo:STM14_5437
ko:K01153	seo:STM14_5438
ko:K09803	seo:STM14_5441
ko:K02498	seo:STM14_4734
ko:K02496	seo:STM14_4735
ko:K01749	seo:STM14_4737
ko:K05851	seo:STM14_4739
ko:K06202	seo:STM14_4744
ko:K01778	seo:STM14_4748
ko:K09921	seo:STM14_4749
ko:K03733	seo:STM14_4750
ko:K03657	seo:STM14_4752
ko:K03284	seo:STM14_4754
ko:K05786	seo:STM14_4757
ko:K01058	seo:STM14_4760
ko:K03654	seo:STM14_4761
ko:K05835	seo:STM14_4762
ko:K05834	seo:STM14_4763
ko:K03576	seo:STM14_4767
ko:K00549	seo:STM14_4769
ko:K06871	seo:STM14_4772
ko:K01061	seo:STM14_4773
ko:K00757	seo:STM14_4774
ko:K09760	seo:STM14_4775
ko:K03183	seo:STM14_4776
ko:K03690	seo:STM14_4777
ko:K03688	seo:STM14_4778
ko:K03116	seo:STM14_4779
ko:K03117	seo:STM14_4780
ko:K03118	seo:STM14_4781
ko:K03424	seo:STM14_4782
ko:K07783	seo:STM14_4569
ko:K02429	seo:STM14_4573
ko:K11534	seo:STM14_4575
ko:K01653	seo:STM14_4576
ko:K01652	seo:STM14_4577
ko:K13629	seo:STM14_4590
ko:K01753	seo:STM14_4591
ko:K06871	seo:STM14_4592
ko:K07085	seo:STM14_4597
ko:K04081	seo:STM14_4599
ko:K04080	seo:STM14_4600
ko:K00428	seo:STM14_4612
ko:K03533	seo:STM14_4613
ko:K07811	seo:STM14_4614
ko:K03532	seo:STM14_4615
ko:K11930	seo:STM14_4617
ko:K07647	seo:STM14_4618
ko:K02317	seo:STM14_5459
ko:K13255	seo:STM14_5466
ko:K02344	seo:STM14_5475
ko:K03789	seo:STM14_5476
ko:K08723	seo:STM14_5477
ko:K02837	seo:STM14_5478
ko:K03424	seo:STM14_5483
ko:K01839	seo:STM14_5489
ko:K03800	seo:STM14_5497
ko:K01079	seo:STM14_5499
ko:K04485	seo:STM14_5500
ko:K06211	seo:STM14_5501
ko:K08309	seo:STM14_5503
ko:K03720	seo:STM14_5504
ko:K05592	seo:STM14_3962
ko:K05803	seo:STM14_3963
ko:K00962	seo:STM14_3964
ko:K02956	seo:STM14_3966
ko:K02834	seo:STM14_3968
ko:K02519	seo:STM14_3969
ko:K02600	seo:STM14_3970
ko:K09748	seo:STM14_3971
ko:K01940	seo:STM14_3973
ko:K03075	seo:STM14_3976
ko:K03431	seo:STM14_3977
ko:K00796	seo:STM14_3978
ko:K03798	seo:STM14_3981
ko:K07574	seo:STM14_3983
ko:K03624	seo:STM14_3984
ko:K07259	seo:STM14_3986
ko:K03979	seo:STM14_3988
ko:K02899	seo:STM14_3990
ko:K02888	seo:STM14_3991
ko:K02523	seo:STM14_3992
ko:K00790	seo:STM14_3994
ko:K07122	seo:STM14_3997
ko:K07323	seo:STM14_3998
ko:K02066	seo:STM14_4000
ko:K02065	seo:STM14_4001
ko:K07301	seo:STM14_4002
ko:K06041	seo:STM14_4003
ko:K03270	seo:STM14_4004
ko:K11719	seo:STM14_4005
ko:K09774	seo:STM14_4006
ko:K06861	seo:STM14_4007
ko:K03092	seo:STM14_4008
ko:K05808	seo:STM14_4009
ko:K06958	seo:STM14_4011
ko:K03182	seo:STM14_4785
ko:K05368	seo:STM14_4786
ko:K01825	seo:STM14_4789
ko:K03753	seo:STM14_4802
ko:K03752	seo:STM14_4803
ko:K09896	seo:STM14_4804
ko:K03673	seo:STM14_4806
ko:K03978	seo:STM14_4812
ko:K09894	seo:STM14_4814
ko:K07712	seo:STM14_4817
ko:K07708	seo:STM14_4818
ko:K01915	seo:STM14_4820
ko:K06207	seo:STM14_4822
ko:K08318	seo:STM14_4836
ko:K01684	seo:STM14_4620
ko:K00883	seo:STM14_4622
ko:K02470	seo:STM14_4628
ko:K03629	seo:STM14_4629
ko:K02338	seo:STM14_4631
ko:K02313	seo:STM14_4632
ko:K02914	seo:STM14_4634
ko:K03536	seo:STM14_4635
ko:K08998	seo:STM14_4636
ko:K03217	seo:STM14_4637
ko:K03650	seo:STM14_4638
ko:K08163	seo:STM14_4642
ko:K06901	seo:STM14_4646
ko:K02039	seo:STM14_4648
ko:K02036	seo:STM14_4649
ko:K02038	seo:STM14_4650
ko:K02037	seo:STM14_4651
ko:K02040	seo:STM14_4652
ko:K02769	seo:STM14_4653
ko:K02770	seo:STM14_4653
ko:K00014	seo:STM14_4654
ko:K00820	seo:STM14_4656
ko:K04042	seo:STM14_4657
ko:K06890	seo:STM14_4659
ko:K02114	seo:STM14_4660
ko:K02112	seo:STM14_4661
ko:K02115	seo:STM14_4662
ko:K02111	seo:STM14_4663
ko:K02113	seo:STM14_4664
ko:K02109	seo:STM14_4665
ko:K02110	seo:STM14_4666
ko:K02108	seo:STM14_4667
ko:K03501	seo:STM14_4670
ko:K05804	seo:STM14_5507
ko:K05805	seo:STM14_5508
ko:K07663	seo:STM14_5509
ko:K07641	seo:STM14_5510
ko:K06143	seo:STM14_5511
ko:K07184	seo:STM14_3879
ko:K06153	seo:STM14_3881
ko:K01633	seo:STM14_3882
ko:K08591	seo:STM14_3883
ko:K02970	seo:STM14_3886
ko:K03086	seo:STM14_3888
ko:K07229	seo:STM14_3891
ko:K07043	seo:STM14_3900
ko:K07862	seo:STM14_3906
ko:K10716	seo:STM14_2105
ko:K15977	seo:STM14_3914
ko:K06911	seo:STM14_3918
ko:K01752	seo:STM14_3922
ko:K00656	seo:STM14_3923
ko:K03838	seo:STM14_3925
ko:K01754	seo:STM14_3926
ko:K07592	seo:STM14_3927
ko:K00865	seo:STM14_3929
ko:K07056	seo:STM14_3945
ko:K07121	seo:STM14_3946
ko:K07460	seo:STM14_3947
ko:K05520	seo:STM14_3951
ko:K09979	seo:STM14_3952
ko:K07461	seo:STM14_3953
ko:K03824	seo:STM14_3954
ko:K08303	seo:STM14_3956
ko:K03835	seo:STM14_3961
ko:K01812	seo:STM14_3797
ko:K01460	seo:STM14_3802
ko:K13918	seo:STM14_3569
ko:K06175	seo:STM14_3573
ko:K15723	seo:STM14_3576
ko:K06879	seo:STM14_3577
ko:K06966	seo:STM14_3578
ko:K03837	seo:STM14_3581
ko:K01752	seo:STM14_3582
ko:K01146	seo:STM14_3584
ko:K00048	seo:STM14_3586
ko:K01628	seo:STM14_3587
ko:K01818	seo:STM14_3590
ko:K02431	seo:STM14_3592
ko:K02430	seo:STM14_3593
ko:K06968	seo:STM14_3594
ko:K01766	seo:STM14_3598
ko:K02426	seo:STM14_3599
ko:K08304	seo:STM14_3603
ko:K01448	seo:STM14_3606
ko:K14682	seo:STM14_3607
ko:K03581	seo:STM14_3608
ko:K03582	seo:STM14_3609
ko:K01407	seo:STM14_3610
ko:K03583	seo:STM14_3611
ko:K02681	seo:STM14_3612
ko:K02680	seo:STM14_3614
ko:K02679	seo:STM14_3615
ko:K13292	seo:STM14_3618
ko:K01706	seo:STM14_3568
ko:K08484	seo:STM14_3620
ko:K02669	seo:STM14_3743
ko:K06997	seo:STM14_3744
ko:K02221	seo:STM14_3745
ko:K09131	seo:STM14_3746
ko:K09923	seo:STM14_3753
ko:K03439	seo:STM14_3754
ko:K03575	seo:STM14_3755
ko:K08306	seo:STM14_3758
ko:K01581	seo:STM14_3761
ko:K07150	seo:STM14_3764
ko:K06871	seo:STM14_3772
ko:K06995	seo:STM14_3780
ko:K11903	seo:STM14_3785
ko:K07447	seo:STM14_3741
ko:K08191	seo:STM14_3791
ko:K01686	seo:STM14_3795
ko:K09933	seo:STM14_2485
ko:K01241	seo:STM14_2495
ko:K00768	seo:STM14_2504
ko:K02233	seo:STM14_2505
ko:K02231	seo:STM14_2506
ko:K02232	seo:STM14_2507
ko:K02032	seo:STM14_1519
ko:K02007	seo:STM14_2511
ko:K03394	seo:STM14_2512
ko:K05895	seo:STM14_2514
ko:K02189	seo:STM14_2516
ko:K05936	seo:STM14_2517
ko:K02191	seo:STM14_2518
ko:K02188	seo:STM14_2520
ko:K06042	seo:STM14_2521
ko:K02227	seo:STM14_2522
ko:K02224	seo:STM14_2523
ko:K13919	seo:STM14_2530
ko:K13920	seo:STM14_2531
ko:K13922	seo:STM14_2540
ko:K04031	seo:STM14_2544
ko:K04029	seo:STM14_2545
ko:K09802	seo:STM14_2548
ko:K07470	seo:STM14_2551
ko:K08354	seo:STM14_2553
ko:K01141	seo:STM14_2559
ko:K00765	seo:STM14_2565
ko:K00013	seo:STM14_2566
ko:K00817	seo:STM14_2567
ko:K01089	seo:STM14_2568
ko:K02501	seo:STM14_2569
ko:K01814	seo:STM14_2570
ko:K02500	seo:STM14_2571
ko:K11755	seo:STM14_2572
ko:K05789	seo:STM14_2573
ko:K00012	seo:STM14_2574
ko:K12452	seo:STM14_2584
ko:K01709	seo:STM14_2585
ko:K00978	seo:STM14_2586
ko:K01790	seo:STM14_2588
ko:K00973	seo:STM14_2589
ko:K00067	seo:STM14_2590
ko:K00963	seo:STM14_2592
ko:K03208	seo:STM14_2601
ko:K03207	seo:STM14_2602
ko:K02377	seo:STM14_2603
ko:K01711	seo:STM14_2604
ko:K03818	seo:STM14_2605
ko:K13683	seo:STM14_2606
ko:K13620	seo:STM14_2607
ko:K13684	seo:STM14_2608
ko:K03819	seo:STM14_2609
ko:K01991	seo:STM14_2613
ko:K07289	seo:STM14_2616
ko:K01494	seo:STM14_2617
ko:K00876	seo:STM14_2618
ko:K01247	seo:STM14_2621
ko:K04046	seo:STM14_2622
ko:K07799	seo:STM14_2624
ko:K07788	seo:STM14_2625
ko:K07789	seo:STM14_2626
ko:K07642	seo:STM14_2628
ko:K07664	seo:STM14_2629
ko:K08303	seo:STM14_2634
ko:K00941	seo:STM14_2647
ko:K00878	seo:STM14_2648
ko:K01874	seo:STM14_2658
ko:K02478	seo:STM14_2663
ko:K07238	seo:STM14_3864
ko:K03673	seo:STM14_3867
ko:K03611	seo:STM14_3868
ko:K03272	seo:STM14_3876
ko:K00982	seo:STM14_3877
ko:K05846	seo:STM14_2666
ko:K05847	seo:STM14_2667
ko:K05846	seo:STM14_2668
ko:K05845	seo:STM14_2669
ko:K05349	seo:STM14_2670
ko:K03777	seo:STM14_2672
ko:K07262	seo:STM14_2673
ko:K05541	seo:STM14_2681
ko:K00450	seo:STM14_2685
ko:K08195	seo:STM14_2686
ko:K10542	seo:STM14_2696
ko:K02529	seo:STM14_2700
ko:K07148	seo:STM14_2702
ko:K01495	seo:STM14_2703
ko:K01070	seo:STM14_2707
ko:K01752	seo:STM14_2709
ko:K07783	seo:STM14_2712
ko:K11733	seo:STM14_2715
ko:K01151	seo:STM14_2720
ko:K02769	seo:STM14_2721
ko:K02770	seo:STM14_2721
ko:K02768	seo:STM14_2723
ko:K11183	seo:STM14_2723
ko:K03291	seo:STM14_2727
ko:K06940	seo:STM14_2731
ko:K02356	seo:STM14_2733
ko:K13694	seo:STM14_2737
ko:K13893	seo:STM14_2740
ko:K13894	seo:STM14_2741
ko:K13895	seo:STM14_2742
ko:K13896	seo:STM14_2743
ko:K07552	seo:STM14_2746
ko:K02897	seo:STM14_2749
ko:K06899	seo:STM14_2752
ko:K09904	seo:STM14_2753
ko:K07014	seo:STM14_2754
ko:K07685	seo:STM14_2775
ko:K02199	seo:STM14_2777
ko:K02198	seo:STM14_2778
ko:K02197	seo:STM14_2779
ko:K02196	seo:STM14_2780
ko:K02195	seo:STM14_2781
ko:K02194	seo:STM14_2782
ko:K02568	seo:STM14_2785
ko:K02573	seo:STM14_2787
ko:K02567	seo:STM14_2788
ko:K02570	seo:STM14_2789
ko:K02572	seo:STM14_2790
ko:K08276	seo:STM14_2792
ko:K06159	seo:STM14_2793
ko:K03919	seo:STM14_2794
ko:K10778	seo:STM14_2795
ko:K03734	seo:STM14_2796
ko:K09475	seo:STM14_2797
ko:K07676	seo:STM14_2800
ko:K07687	seo:STM14_2801
ko:K07677	seo:STM14_2802
ko:K02469	seo:STM14_2804
ko:K11107	seo:STM14_2814
ko:K01126	seo:STM14_2817
ko:K02445	seo:STM14_2818
ko:K00111	seo:STM14_2819
ko:K00112	seo:STM14_2820
ko:K00113	seo:STM14_2821
ko:K12660	seo:STM14_2826
ko:K12661	seo:STM14_2828
ko:K07806	seo:STM14_2835
ko:K10012	seo:STM14_2836
ko:K10011	seo:STM14_2837
ko:K13014	seo:STM14_2838
ko:K07264	seo:STM14_2839
ko:K12962	seo:STM14_2840
ko:K12963	seo:STM14_2841
ko:K01911	seo:STM14_2843
ko:K01661	seo:STM14_2845
ko:K02551	seo:STM14_2847
ko:K05594	seo:STM14_2849
ko:K03415	seo:STM14_2852
ko:K00343	seo:STM14_2857
ko:K00342	seo:STM14_2858
ko:K00341	seo:STM14_2859
ko:K00340	seo:STM14_2860
ko:K00339	seo:STM14_2861
ko:K00338	seo:STM14_2862
ko:K00337	seo:STM14_2863
ko:K00334	seo:STM14_2866
ko:K13378	seo:STM14_2867
ko:K00331	seo:STM14_2868
ko:K00330	seo:STM14_2869
ko:K14260	seo:STM14_2874
ko:K09161	seo:STM14_2878
ko:K07090	seo:STM14_2931
ko:K07261	seo:STM14_2932
ko:K01736	seo:STM14_2933
ko:K07320	seo:STM14_2934
ko:K08296	seo:STM14_2936
ko:K07156	seo:STM14_2280
ko:K10857	seo:STM14_2283
ko:K01354	seo:STM14_2284
ko:K09918	seo:STM14_2287
ko:K08289	seo:STM14_2288
ko:K01625	seo:STM14_2289
ko:K01690	seo:STM14_2290
ko:K00036	seo:STM14_2292
ko:K03407	seo:STM14_2336
ko:K02557	seo:STM14_2337
ko:K02556	seo:STM14_2338
ko:K02402	seo:STM14_2340
ko:K02403	seo:STM14_2341
ko:K14064	seo:STM14_2344
ko:K00697	seo:STM14_2345
