ko:K06896	efn:DENG_01017
ko:K02108	efn:DENG_02552
ko:K03664	efn:DENG_02553
ko:K12573	efn:DENG_02554
ko:K03928	efn:DENG_02555
ko:K03075	efn:DENG_02556
ko:K06975	efn:DENG_02557
ko:K01916	efn:DENG_02560
ko:K00763	efn:DENG_02561
ko:K04077	efn:DENG_02566
ko:K04078	efn:DENG_02568
ko:K07052	efn:DENG_02571
ko:K01926	efn:DENG_02572
ko:K06158	efn:DENG_02573
ko:K02000	efn:DENG_02575
ko:K02647	efn:DENG_02579
ko:K00865	efn:DENG_02580
ko:K03299	efn:DENG_02581
ko:K11069	efn:DENG_02584
ko:K11070	efn:DENG_02585
ko:K11071	efn:DENG_02586
ko:K11072	efn:DENG_02587
ko:K16925	efn:DENG_02714
ko:K00941	efn:DENG_02719
ko:K00788	efn:DENG_02720
ko:K00878	efn:DENG_02721
ko:K09747	efn:DENG_02724
ko:K02343	efn:DENG_02725
ko:K00965	efn:DENG_02727
ko:K01784	efn:DENG_02728
ko:K00845	efn:DENG_02734
ko:K01934	efn:DENG_02737
ko:K06889	efn:DENG_02738
ko:K02913	efn:DENG_02745
ko:K00687	efn:DENG_02746
ko:K01868	efn:DENG_02748
ko:K01821	efn:DENG_02749
ko:K09710	efn:DENG_02765
ko:K00969	efn:DENG_02767
ko:K07574	efn:DENG_02768
ko:K06948	efn:DENG_02769
ko:K07015	efn:DENG_02770
ko:K01962	efn:DENG_02771
ko:K01963	efn:DENG_02773
ko:K01961	efn:DENG_02774
ko:K11754	efn:DENG_02830
ko:K01873	efn:DENG_02833
ko:K11065	efn:DENG_02834
ko:K01926	efn:DENG_02835
ko:K03151	efn:DENG_02836
ko:K06901	efn:DENG_02837
ko:K06216	efn:DENG_02842
ko:K06726	efn:DENG_02843
ko:K00852	efn:DENG_02844
ko:K02529	efn:DENG_02845
ko:K03475	efn:DENG_02847
ko:K02822	efn:DENG_02848
ko:K01077	efn:DENG_02859
ko:K01042	efn:DENG_02862
ko:K17467	efn:DENG_02863
ko:K17466	efn:DENG_02864
ko:K17465	efn:DENG_02865
ko:K17464	efn:DENG_02866
ko:K17473	efn:DENG_02867
ko:K01426	efn:DENG_02869
ko:K02004	efn:DENG_02872
ko:K02003	efn:DENG_02874
ko:K02005	efn:DENG_02875
ko:K09684	efn:DENG_02884
ko:K14977	efn:DENG_02885
ko:K02083	efn:DENG_02886
ko:K01466	efn:DENG_02887
ko:K10975	efn:DENG_02888
ko:K01462	efn:DENG_02953
ko:K02986	efn:DENG_02957
ko:K03523	efn:DENG_02958
ko:K03100	efn:DENG_02959
ko:K01258	efn:DENG_02965
ko:K15580	efn:DENG_02967
ko:K02016	efn:DENG_02968
ko:K02013	efn:DENG_02970
ko:K02015	efn:DENG_02971
ko:K02015	efn:DENG_02972
ko:K01919	efn:DENG_02977
ko:K07032	efn:DENG_02980
ko:K09705	efn:DENG_02981
ko:K03110	efn:DENG_02982
ko:K03529	efn:DENG_02985
ko:K03685	efn:DENG_02986
ko:K02035	efn:DENG_02987
ko:K02034	efn:DENG_02989
ko:K02033	efn:DENG_02990
ko:K02078	efn:DENG_02993
ko:K03621	efn:DENG_02994
ko:K03655	efn:DENG_02995
ko:K07030	efn:DENG_02996
ko:K07707	efn:DENG_02998
ko:K07706	efn:DENG_02999
ko:K01992	efn:DENG_03000
ko:K01990	efn:DENG_03001
ko:K02902	efn:DENG_03002
ko:K00949	efn:DENG_03003
ko:K01783	efn:DENG_03004
ko:K06949	efn:DENG_03005
ko:K03500	efn:DENG_03008
ko:K00604	efn:DENG_03010
ko:K01439	efn:DENG_03071
ko:K03088	efn:DENG_03073
ko:K05339	efn:DENG_03087
ko:K05338	efn:DENG_03088
ko:K07704	efn:DENG_03091
ko:K02073	efn:DENG_03092
ko:K02072	efn:DENG_03093
ko:K02071	efn:DENG_03094
ko:K02954	efn:DENG_03097
ko:K02913	efn:DENG_03098
ko:K09815	efn:DENG_03101
ko:K01992	efn:DENG_03103
ko:K01990	efn:DENG_03104
ko:K02793	efn:DENG_03105
ko:K02794	efn:DENG_03106
ko:K02795	efn:DENG_03107
ko:K02996	efn:DENG_03115
ko:K02871	efn:DENG_03116
ko:K04047	efn:DENG_03117
ko:K00851	efn:DENG_03120
ko:K03046	efn:DENG_03122
ko:K03043	efn:DENG_03123
ko:K07069	efn:DENG_03127
ko:K00928	efn:DENG_00355
ko:K06286	efn:DENG_00357
ko:K04487	efn:DENG_00358
ko:K07341	efn:DENG_00367
ko:K00926	efn:DENG_00374
ko:K00073	efn:DENG_00376
ko:K01485	efn:DENG_00378
ko:K00549	efn:DENG_00381
ko:K01304	efn:DENG_00388
ko:K03315	efn:DENG_00389
ko:K02799	efn:DENG_00393
ko:K02800	efn:DENG_00393
ko:K02798	efn:DENG_00395
ko:K02799	efn:DENG_00397
ko:K02800	efn:DENG_00397
ko:K02798	efn:DENG_00398
ko:K00009	efn:DENG_00399
ko:K02003	efn:DENG_00404
ko:K02004	efn:DENG_00405
ko:K01625	efn:DENG_00412
ko:K00874	efn:DENG_00413
ko:K01815	efn:DENG_00414
ko:K00046	efn:DENG_00415
ko:K15532	efn:DENG_00416
ko:K00848	efn:DENG_00421
ko:K01813	efn:DENG_00422
ko:K01629	efn:DENG_00423
ko:K03534	efn:DENG_00424
ko:K03305	efn:DENG_00428
ko:K01661	efn:DENG_00431
ko:K01911	efn:DENG_00432
ko:K02552	efn:DENG_00433
ko:K02551	efn:DENG_00434
ko:K08680	efn:DENG_00435
ko:K02549	efn:DENG_00436
ko:K07090	efn:DENG_00440
ko:K02795	efn:DENG_00441
ko:K02794	efn:DENG_00444
ko:K07106	efn:DENG_00447
ko:K02793	efn:DENG_00449
ko:K04564	efn:DENG_00451
ko:K01778	efn:DENG_00452
ko:K02564	efn:DENG_00454
ko:K07507	efn:DENG_00455
ko:K03744	efn:DENG_00456
ko:K06872	efn:DENG_00458
ko:K03647	efn:DENG_00461
ko:K04758	efn:DENG_00464
ko:K04759	efn:DENG_00465
ko:K07035	efn:DENG_00474
ko:K00077	efn:DENG_00475
ko:K00012	efn:DENG_00480
ko:K16137	efn:DENG_00489
ko:K02911	efn:DENG_00563
ko:K03320	efn:DENG_00567
ko:K01811	efn:DENG_00575
ko:K02795	efn:DENG_00576
ko:K02794	efn:DENG_00578
ko:K02793	efn:DENG_00579
ko:K01805	efn:DENG_00580
ko:K00854	efn:DENG_00581
ko:K01153	efn:DENG_00585
ko:K01625	efn:DENG_00589
ko:K02773	efn:DENG_00590
ko:K02774	efn:DENG_00591
ko:K02775	efn:DENG_00592
ko:K01684	efn:DENG_00593
ko:K02821	efn:DENG_00604
ko:K02822	efn:DENG_00605
ko:K01834	efn:DENG_00610
ko:K07166	efn:DENG_00611
ko:K09157	efn:DENG_00612
ko:K16785	efn:DENG_00627
ko:K16786	efn:DENG_00628
ko:K16787	efn:DENG_00628
ko:K16926	efn:DENG_00629
ko:K06147	efn:DENG_00630
ko:K06147	efn:DENG_00631
ko:K06999	efn:DENG_00695
ko:K05362	efn:DENG_00697
ko:K06183	efn:DENG_00699
ko:K05847	efn:DENG_00703
ko:K05845	efn:DENG_00704
ko:K05846	efn:DENG_00704
ko:K03402	efn:DENG_00705
ko:K06180	efn:DENG_00708
ko:K12555	efn:DENG_00709
ko:K03698	efn:DENG_00714
ko:K07533	efn:DENG_00717
ko:K02503	efn:DENG_00722
ko:K01990	efn:DENG_00724
ko:K01992	efn:DENG_00725
ko:K03439	efn:DENG_00727
ko:K00882	efn:DENG_00729
ko:K02769	efn:DENG_00731
ko:K02770	efn:DENG_00731
ko:K02768	efn:DENG_00732
ko:K01635	efn:DENG_00733
ko:K07586	efn:DENG_00734
ko:K03699	efn:DENG_00737
ko:K02837	efn:DENG_00738
ko:K04763	efn:DENG_00740
ko:K03697	efn:DENG_00753
ko:K11189	efn:DENG_00758
ko:K08483	efn:DENG_00759
ko:K06207	efn:DENG_02419
ko:K01092	efn:DENG_02440
ko:K06950	efn:DENG_02449
ko:K01887	efn:DENG_02450
ko:K01409	efn:DENG_02451
ko:K03789	efn:DENG_02452
ko:K03789	efn:DENG_02453
ko:K06872	efn:DENG_02458
ko:K01091	efn:DENG_02461
ko:K00981	efn:DENG_02464
ko:K00806	efn:DENG_02465
ko:K02073	efn:DENG_02467
ko:K02072	efn:DENG_02468
ko:K02071	efn:DENG_02469
ko:K02437	efn:DENG_02470
ko:K00537	efn:DENG_02471
ko:K05837	efn:DENG_02472
ko:K01598	efn:DENG_02591
ko:K05363	efn:DENG_02594
ko:K03581	efn:DENG_02597
ko:K03216	efn:DENG_02599
ko:K00563	efn:DENG_02600
ko:K06201	efn:DENG_02603
ko:K06213	efn:DENG_02604
ko:K06180	efn:DENG_02605
ko:K00858	efn:DENG_02606
ko:K07816	efn:DENG_02607
ko:K08602	efn:DENG_02612
ko:K06198	efn:DENG_02614
ko:K16511	efn:DENG_02615
ko:K16509	efn:DENG_02617
ko:K01867	efn:DENG_02618
ko:K06147	efn:DENG_02619
ko:K07025	efn:DENG_02620
ko:K03547	efn:DENG_02631
ko:K00655	efn:DENG_02632
ko:K07461	efn:DENG_02634
ko:K01243	efn:DENG_02635
ko:K01515	efn:DENG_02637
ko:K03575	efn:DENG_02644
ko:K03565	efn:DENG_02645
ko:K12111	efn:DENG_02648
ko:K02372	efn:DENG_02776
ko:K02160	efn:DENG_02777
ko:K09458	efn:DENG_02778
ko:K00059	efn:DENG_02779
ko:K00645	efn:DENG_02780
ko:K02371	efn:DENG_02782
ko:K02078	efn:DENG_02783
ko:K00648	efn:DENG_02784
ko:K07570	efn:DENG_02794
ko:K14155	efn:DENG_02795
ko:K03768	efn:DENG_02797
ko:K01119	efn:DENG_02802
ko:K02027	efn:DENG_02803
ko:K02026	efn:DENG_02806
ko:K02025	efn:DENG_02807
ko:K10112	efn:DENG_02808
ko:K03499	efn:DENG_02811
ko:K11618	efn:DENG_02812
ko:K11617	efn:DENG_02813
ko:K03624	efn:DENG_02815
ko:K07082	efn:DENG_02817
ko:K01091	efn:DENG_02818
ko:K01791	efn:DENG_02819
ko:K09790	efn:DENG_02824
ko:K12574	efn:DENG_02826
ko:K03704	efn:DENG_02827
ko:K03630	efn:DENG_02828
ko:K03321	efn:DENG_02892
ko:K01442	efn:DENG_02893
ko:K07862	efn:DENG_02906
ko:K06173	efn:DENG_02910
ko:K00783	efn:DENG_02918
ko:K06878	efn:DENG_02921
ko:K01261	efn:DENG_02924
ko:K15580	efn:DENG_02926
ko:K02747	efn:DENG_02927
ko:K02746	efn:DENG_02928
ko:K01443	efn:DENG_02929
ko:K02745	efn:DENG_02930
ko:K02744	efn:DENG_02931
ko:K03478	efn:DENG_02933
ko:K01246	efn:DENG_02935
ko:K16789	efn:DENG_02939
ko:K07284	efn:DENG_02942
ko:K01104	efn:DENG_02945
ko:K03571	efn:DENG_02948
ko:K03570	efn:DENG_02949
ko:K00962	efn:DENG_02951
ko:K02956	efn:DENG_02952
ko:K01462	efn:DENG_03011
ko:K04066	efn:DENG_03012
ko:K03060	efn:DENG_03013
ko:K00942	efn:DENG_03014
ko:K01625	efn:DENG_03020
ko:K01686	efn:DENG_03021
ko:K02793	efn:DENG_03022
ko:K02794	efn:DENG_03023
ko:K02795	efn:DENG_03026
ko:K08317	efn:DENG_03027
ko:K00033	efn:DENG_03029
ko:K00995	efn:DENG_03034
ko:K03282	efn:DENG_03044
ko:K03486	efn:DENG_03047
ko:K01838	efn:DENG_03049
ko:K00948	efn:DENG_03054
ko:K07305	efn:DENG_03055
ko:K06287	efn:DENG_03056
ko:K03572	efn:DENG_03057
ko:K03555	efn:DENG_03058
ko:K09769	efn:DENG_03060
ko:K07118	efn:DENG_03067
ko:K03524	efn:DENG_03128
ko:K03734	efn:DENG_03143
ko:K03885	efn:DENG_03147
ko:K00805	efn:DENG_03149
ko:K00805	efn:DENG_03150
ko:K00796	efn:DENG_03153
ko:K01495	efn:DENG_03155
ko:K00950	efn:DENG_03156
ko:K01633	efn:DENG_03157
ko:K00383	efn:DENG_03159
ko:K09703	efn:DENG_03164
ko:K10974	efn:DENG_03165
ko:K08303	efn:DENG_03167
ko:K03696	efn:DENG_03171
ko:K03708	efn:DENG_03172
ko:K02761	efn:DENG_03174
ko:K04086	efn:DENG_00499
ko:K02761	efn:DENG_00508
ko:K02530	efn:DENG_00517
ko:K01819	efn:DENG_00519
ko:K01819	efn:DENG_00520
ko:K00917	efn:DENG_00521
ko:K01635	efn:DENG_00522
ko:K02786	efn:DENG_00523
ko:K02787	efn:DENG_00524
ko:K02788	efn:DENG_00524
ko:K01220	efn:DENG_00525
ko:K01442	efn:DENG_00539
ko:K07343	efn:DENG_00542
ko:K01788	efn:DENG_00558
ko:K02778	efn:DENG_00559
ko:K02779	efn:DENG_00559
ko:K02954	efn:DENG_00632
ko:K02911	efn:DENG_00633
ko:K06131	efn:DENG_00660
ko:K01866	efn:DENG_00661
ko:K03315	efn:DENG_00665
ko:K00016	efn:DENG_00669
ko:K11041	efn:DENG_00673
ko:K01784	efn:DENG_00674
ko:K03800	efn:DENG_00677
ko:K07078	efn:DENG_00683
ko:K07104	efn:DENG_00684
ko:K15975	efn:DENG_00694
ko:K03545	efn:DENG_00764
ko:K02768	efn:DENG_00766
ko:K02769	efn:DENG_00766
ko:K02770	efn:DENG_00766
ko:K00882	efn:DENG_00767
ko:K03436	efn:DENG_00768
ko:K03657	efn:DENG_00770
ko:K01972	efn:DENG_00771
ko:K02435	efn:DENG_00773
ko:K02433	efn:DENG_00774
ko:K02434	efn:DENG_00775
ko:K03215	efn:DENG_00777
ko:K13252	efn:DENG_00782
ko:K10536	efn:DENG_00784
ko:K00926	efn:DENG_00785
ko:K01426	efn:DENG_00786
ko:K03811	efn:DENG_00788
ko:K06956	efn:DENG_00794
ko:K07146	efn:DENG_00800
ko:K01534	efn:DENG_00810
ko:K07507	efn:DENG_00811
ko:K02028	efn:DENG_00813
ko:K02029	efn:DENG_00814
ko:K02030	efn:DENG_00814
ko:K03702	efn:DENG_00815
ko:K03701	efn:DENG_00816
ko:K06958	efn:DENG_00818
ko:K09762	efn:DENG_00820
ko:K01358	efn:DENG_00823
ko:K01126	efn:DENG_00829
ko:K03574	efn:DENG_00830
ko:K03704	efn:DENG_00831
ko:K03092	efn:DENG_00832
ko:K00789	efn:DENG_00835
ko:K03930	efn:DENG_00839
ko:K02004	efn:DENG_00845
ko:K02003	efn:DENG_00846
ko:K07139	efn:DENG_00848
ko:K01869	efn:DENG_00855
ko:K02030	efn:DENG_00859
ko:K02028	efn:DENG_00860
ko:K02029	efn:DENG_00861
ko:K15580	efn:DENG_00862
ko:K02897	efn:DENG_00865
ko:K06183	efn:DENG_00866
ko:K01560	efn:DENG_00867
ko:K00876	efn:DENG_00869
ko:K02761	efn:DENG_00878
ko:K09963	efn:DENG_00880
ko:K01465	efn:DENG_00881
ko:K01042	efn:DENG_00882
ko:K00874	efn:DENG_00885
ko:K09768	efn:DENG_00887
ko:K01921	efn:DENG_00888
ko:K01929	efn:DENG_00889
ko:K05592	efn:DENG_00890
ko:K00997	efn:DENG_00894
ko:K01775	efn:DENG_00895
ko:K03100	efn:DENG_00899
ko:K01104	efn:DENG_00902
ko:K01421	efn:DENG_00904
ko:K05846	efn:DENG_00908
ko:K05845	efn:DENG_00910
ko:K05846	efn:DENG_00911
ko:K05847	efn:DENG_00912
ko:K07568	efn:DENG_00915
ko:K07729	efn:DENG_00916
ko:K03549	efn:DENG_00920
ko:K01533	efn:DENG_00922
ko:K10563	efn:DENG_00927
ko:K00859	efn:DENG_00928
ko:K07738	efn:DENG_00929
ko:K03346	efn:DENG_00930
ko:K11144	efn:DENG_00931
ko:K02028	efn:DENG_00941
ko:K02029	efn:DENG_00944
ko:K02030	efn:DENG_00944
ko:K02529	efn:DENG_01011
ko:K01785	efn:DENG_01012
ko:K01838	efn:DENG_01013
ko:K00691	efn:DENG_01014
ko:K00286	efn:DENG_01018
ko:K02888	efn:DENG_01034
ko:K07584	efn:DENG_01035
ko:K02899	efn:DENG_01036
ko:K03709	efn:DENG_01138
ko:K06206	efn:DENG_01140
ko:K02760	efn:DENG_01145
ko:K02761	efn:DENG_01146
ko:K02760	efn:DENG_01150
ko:K02759	efn:DENG_01151
ko:K02761	efn:DENG_01152
ko:K01223	efn:DENG_01153
ko:K01006	efn:DENG_01158
ko:K09773	efn:DENG_01160
ko:K14205	efn:DENG_01161
ko:K00940	efn:DENG_01169
ko:K09758	efn:DENG_01170
ko:K06901	efn:DENG_01174
ko:K02337	efn:DENG_01177
ko:K00850	efn:DENG_01178
ko:K00873	efn:DENG_01179
ko:K07040	efn:DENG_01180
ko:K02911	efn:DENG_01181
ko:K00033	efn:DENG_01182
ko:K16899	efn:DENG_01248
ko:K16898	efn:DENG_01249
ko:K01889	efn:DENG_01251
ko:K01890	efn:DENG_01252
ko:K10040	efn:DENG_01253
ko:K10040	efn:DENG_01254
ko:K10039	efn:DENG_01255
ko:K10041	efn:DENG_01257
ko:K01776	efn:DENG_01258
ko:K07095	efn:DENG_01260
ko:K03476	efn:DENG_01262
ko:K02821	efn:DENG_01263
ko:K03475	efn:DENG_01264
ko:K02822	efn:DENG_01265
ko:K05822	efn:DENG_01271
ko:K05823	efn:DENG_01272
ko:K07010	efn:DENG_01277
ko:K01759	efn:DENG_01278
ko:K03574	efn:DENG_01279
ko:K06885	efn:DENG_01281
ko:K03048	efn:DENG_01284
ko:K01937	efn:DENG_01286
ko:K05366	efn:DENG_01288
ko:K03700	efn:DENG_01289
ko:K07444	efn:DENG_01292
ko:K01299	efn:DENG_01294
ko:K02086	efn:DENG_01295
ko:K10773	efn:DENG_01297
ko:K03710	efn:DENG_01298
ko:K02760	efn:DENG_01301
ko:K02761	efn:DENG_01302
ko:K01424	efn:DENG_01305
ko:K09767	efn:DENG_01309
ko:K14219	efn:DENG_t007
ko:K14219	efn:DENG_t056
ko:K14227	efn:DENG_t016
ko:K14227	efn:DENG_t023
ko:K01977	efn:DENG_r001
ko:K01980	efn:DENG_r002
ko:K01980	efn:DENG_r011
ko:K01980	efn:DENG_r005
ko:K01980	efn:DENG_r008
ko:K01985	efn:DENG_r003
ko:K01985	efn:DENG_r006
ko:K01985	efn:DENG_r007
ko:K01985	efn:DENG_r010
ko:K07862	efn:DENG_00602
ko:K07862	efn:DENG_00603
ko:K03475	efn:DENG_00606
ko:K15580	efn:DENG_00617
ko:K03710	efn:DENG_00506
ko:K07025	efn:DENG_00516
ko:K09815	efn:DENG_00639
ko:K02747	efn:DENG_00654
ko:K02747	efn:DENG_00655
ko:K01126	efn:DENG_01097
ko:K14228	efn:DENG_t003
ko:K14228	efn:DENG_t060
ko:K03588	efn:DENG_01451
ko:K07035	efn:DENG_01829
ko:K15580	efn:DENG_01974
ko:K12308	efn:DENG_02009
ko:K02760	efn:DENG_02293
ko:K07668	efn:DENG_02565
ko:K06889	efn:DENG_02739
ko:K01727	efn:DENG_02916
ko:K14228	efn:DENG_t006
ko:K14228	efn:DENG_t057
ko:K14232	efn:DENG_t008
ko:K14232	efn:DENG_t055
ko:K14219	efn:DENG_t028
ko:K14231	efn:DENG_t039
ko:K14234	efn:DENG_t004
ko:K14234	efn:DENG_t059
ko:K14229	efn:DENG_t027
ko:K14225	efn:DENG_t015
ko:K14225	efn:DENG_t022
ko:K14230	efn:DENG_t013
ko:K14230	efn:DENG_t019
ko:K14218	efn:DENG_t033
ko:K14218	efn:DENG_t054
ko:K14218	efn:DENG_t009
ko:K14230	efn:DENG_t010
ko:K14231	efn:DENG_t021
ko:K14237	efn:DENG_t001
ko:K14237	efn:DENG_t037
ko:K14237	efn:DENG_t062
ko:K14225	efn:DENG_t005
ko:K14225	efn:DENG_t058
ko:K14221	efn:DENG_t014
ko:K14221	efn:DENG_t020
ko:K14224	efn:DENG_t017
ko:K14224	efn:DENG_t025
ko:K14224	efn:DENG_t036
ko:K14230	efn:DENG_t026
ko:K14230	efn:DENG_t031
ko:K14235	efn:DENG_t030
ko:K14219	efn:DENG_t032
ko:K14221	efn:DENG_t038
ko:K14236	efn:DENG_t040
ko:K14236	efn:DENG_t047
ko:K14226	efn:DENG_t042
ko:K14223	efn:DENG_t043
ko:K14223	efn:DENG_t048
ko:K14228	efn:DENG_t046
ko:K14229	efn:DENG_t049
ko:K14234	efn:DENG_t051
ko:K14233	efn:DENG_t052
ko:K14229	efn:DENG_t002
ko:K14229	efn:DENG_t061
ko:K14235	efn:DENG_t041
ko:K14228	efn:DENG_t045
ko:K14233	efn:DENG_t012
ko:K14233	efn:DENG_t018
ko:K14234	efn:DENG_t050
ko:K14230	efn:DENG_t011
ko:K14220	efn:DENG_t034
ko:K14220	efn:DENG_t053
ko:K14219	efn:DENG_t029
ko:K14233	efn:DENG_t024
ko:K14222	efn:DENG_t044
ko:K00984	efn:DENG_01212
ko:K04750	efn:DENG_00036
ko:K00634	efn:DENG_01836
ko:K03742	efn:DENG_03065
ko:K01071	efn:DENG_00352
ko:K00571	efn:DENG_02142
ko:K03328	efn:DENG_00237
ko:K02003	efn:DENG_01501
ko:K02004	efn:DENG_01501
ko:K03293	efn:DENG_01239
ko:K00020	efn:DENG_02787
ko:K01239	efn:DENG_02525
ko:K00001	efn:DENG_00115
ko:K09684	efn:DENG_00370
ko:K02005	efn:DENG_00403
ko:K16869	efn:DENG_01282
ko:K04028	efn:DENG_01789
ko:K07705	efn:DENG_03090
ko:K07483	efn:DENG_02012
ko:K06889	efn:DENG_01672
ko:K18581	efn:DENG_02287
ko:K03703	efn:DENG_01929
ko:K02031	efn:DENG_02992
ko:K02001	efn:DENG_02576
ko:K02002	efn:DENG_02576
ko:K07104	efn:DENG_02530
ko:K02428	efn:DENG_03154
ko:K18672	efn:DENG_02198
ko:K18682	efn:DENG_03062
ko:K18692	efn:DENG_01538
ko:K18924	efn:DENG_00348
ko:K18925	efn:DENG_00349
ko:K07171	efn:DENG_00870
ko:K18892	efn:DENG_00842
ko:K03790	efn:DENG_02964
ko:K18891	efn:DENG_00841
ko:K07171	efn:DENG_00896
ko:K09693	efn:DENG_02229
ko:K02107	efn:DENG_01655
ko:K18929	efn:DENG_01244
ko:K18888	efn:DENG_02821
ko:K18887	efn:DENG_02822
ko:K18928	efn:DENG_01243
ko:K03111	efn:DENG_00009
ko:K03502	efn:DENG_01215
ko:K18231	efn:DENG_01575
ko:K07467	efn:DENG_02043
ko:K03169	efn:DENG_02165
ko:K05593	efn:DENG_02754
ko:K03832	efn:DENG_03075
ko:K18220	efn:DENG_02426
ko:K07467	efn:DENG_02436
ko:K03497	efn:DENG_03188
ko:K03496	efn:DENG_03189
ko:K00335	efn:DENG_01551
ko:K19002	efn:DENG_02788
ko:K13052	efn:DENG_00240
ko:K07483	efn:DENG_00485
ko:K07498	efn:DENG_00479
ko:K18979	efn:DENG_01746
ko:K19005	efn:DENG_01995
ko:K19005	efn:DENG_01409
ko:K19225	efn:DENG_02736
ko:K02777	efn:DENG_00560
ko:K02475	efn:DENG_01354
ko:K00798	efn:DENG_01809
ko:K05881	efn:DENG_01519
ko:K01710	efn:DENG_02236
ko:K07448	efn:DENG_02909
ko:K01215	efn:DENG_01508
ko:K00839	efn:DENG_02883
ko:K12952	efn:DENG_01413
ko:K03722	efn:DENG_02321
ko:K07496	efn:DENG_00967
ko:K12952	efn:DENG_01685
ko:K19505	efn:DENG_02115
ko:K19302	efn:DENG_00850
ko:K19350	efn:DENG_02660
ko:K08605	efn:DENG_02000
ko:K06867	efn:DENG_00365
ko:K21977	efn:DENG_02590
ko:K19507	efn:DENG_02113
ko:K19504	efn:DENG_02109
ko:K02476	efn:DENG_01353
ko:K06881	efn:DENG_01534
ko:K03483	efn:DENG_00394
ko:K19506	efn:DENG_02114
ko:K19510	efn:DENG_02108
ko:K19508	efn:DENG_02111
ko:K19509	efn:DENG_02110
ko:K02796	efn:DENG_00021
ko:K02796	efn:DENG_00442
ko:K02796	efn:DENG_00443
ko:K02796	efn:DENG_00577
ko:K02796	efn:DENG_03108
ko:K02796	efn:DENG_03024
ko:K00526	efn:DENG_00459
ko:K02796	efn:DENG_01983
ko:K03700	efn:DENG_01598
ko:K19784	efn:DENG_01874
ko:K19802	efn:DENG_01678
ko:K21636	efn:DENG_02696
ko:K19971	efn:DENG_00624
ko:K10830	efn:DENG_00622
ko:K19972	efn:DENG_00623
ko:K05770	efn:DENG_02248
ko:K19976	efn:DENG_02177
ko:K20074	efn:DENG_03007
ko:K12132	efn:DENG_03006
ko:K20265	efn:DENG_00664
ko:K20265	efn:DENG_00783
ko:K02777	efn:DENG_01016
ko:K20107	efn:DENG_01016
ko:K20108	efn:DENG_01016
ko:K20379	efn:DENG_03145
ko:K20444	efn:DENG_02228
ko:K20444	efn:DENG_02227
ko:K00525	efn:DENG_00460
ko:K18889	efn:DENG_01911
ko:K18890	efn:DENG_01910
ko:K20534	efn:DENG_02206
ko:K22103	efn:DENG_00685
ko:K02790	efn:DENG_00027
ko:K02791	efn:DENG_00027
ko:K02777	efn:DENG_02396
ko:K22457	efn:DENG_02319
ko:K01208	efn:DENG_01507
ko:K21064	efn:DENG_01172
ko:K01768	efn:DENG_00746
ko:K08968	efn:DENG_01199
ko:K01977	efn:DENG_r009
ko:K01977	efn:DENG_r012
ko:K02314	efn:DENG_00013
ko:K01520	efn:DENG_00040
ko:K06191	efn:DENG_00462
ko:K07455	efn:DENG_01053
ko:K02315	efn:DENG_01429
ko:K07313	efn:DENG_01465
ko:K07474	efn:DENG_01617
ko:K09961	efn:DENG_01619
ko:K00560	efn:DENG_01743
ko:K00287	efn:DENG_01744
ko:K09960	efn:DENG_01624
ko:K00857	efn:DENG_02491
ko:K04068	efn:DENG_02697
ko:K02316	efn:DENG_01686
ko:K06217	efn:DENG_02369
ko:K01493	efn:DENG_02407
ko:K03546	efn:DENG_02630
ko:K01286	efn:DENG_03015
ko:K03553	efn:DENG_03064
ko:K21298	efn:DENG_01384
ko:K02335	efn:DENG_00926
ko:K01271	efn:DENG_01922
ko:K00980	efn:DENG_02216
ko:K19577	efn:DENG_02717
ko:K05910	efn:DENG_01355
ko:K02032	efn:DENG_02991
ko:K01977	efn:DENG_r004
ko:K01759	efn:DENG_00795
ko:K01101	efn:DENG_01331
ko:K07741	efn:DENG_01609
ko:K21471	efn:DENG_02947
ko:K21471	efn:DENG_00380
ko:K09809	efn:DENG_02217
ko:K21713	efn:DENG_00351
ko:K21567	efn:DENG_02798
ko:K21828	efn:DENG_00110
ko:K21929	efn:DENG_00687
ko:K02334	efn:DENG_00312
ko:K22010	efn:DENG_01803
ko:K21993	efn:DENG_00097
ko:K21993	efn:DENG_01548
ko:K22043	efn:DENG_02377
ko:K00936	efn:DENG_01802
ko:K22044	efn:DENG_01273
ko:K03547	efn:DENG_00711
ko:K03595	efn:DENG_02365
ko:K07456	efn:DENG_02860
ko:K03078	efn:DENG_01266
ko:K03079	efn:DENG_01267
ko:K22278	efn:DENG_00637
ko:K17758	efn:DENG_01973
ko:K03077	efn:DENG_01268
ko:K22330	efn:DENG_00663
ko:K22441	efn:DENG_02889
ko:K22441	efn:DENG_01759
