ko:K21344	rsm:CMR15_20031
ko:K10126	rsm:CMR15_30612
ko:K10125	rsm:CMR15_30613
ko:K11103	rsm:CMR15_30614
ko:K07018	rsm:CMR15_30616
ko:K09158	rsm:CMR15_30618
ko:K03801	rsm:CMR15_30621
ko:K03644	rsm:CMR15_30622
ko:K02065	rsm:CMR15_30632
ko:K02066	rsm:CMR15_30633
ko:K08223	rsm:CMR15_mp10425
ko:K03088	rsm:CMR15_mp10428
ko:K01586	rsm:CMR15_mp10437
ko:K03543	rsm:CMR15_mp10441
ko:K06911	rsm:CMR15_mp10445
ko:K02029	rsm:CMR15_mp10457
ko:K00574	rsm:CMR15_mp30094
ko:K00873	rsm:CMR15_mp30096
ko:K01476	rsm:CMR15_mp30100
ko:K02003	rsm:CMR15_mp30124
ko:K09962	rsm:CMR15_mp30267
ko:K07267	rsm:CMR15_mp30271
ko:K10543	rsm:CMR15_mp30272
ko:K10545	rsm:CMR15_mp30273
ko:K10544	rsm:CMR15_mp30274
ko:K02529	rsm:CMR15_mp30276
ko:K01821	rsm:CMR15_mp30291
ko:K13486	rsm:CMR15_mp30296
ko:K03088	rsm:CMR15_mp30299
ko:K02275	rsm:CMR15_mp30301
ko:K02837	rsm:CMR15_mp30305
ko:K14226	rsm:CMR15_tRNA32
ko:K14233	rsm:CMR15_tRNA11
ko:K02529	rsm:CMR15_20129
ko:K10441	rsm:CMR15_20131
ko:K13643	rsm:CMR15_20133
ko:K04487	rsm:CMR15_20134
ko:K04082	rsm:CMR15_20138
ko:K04044	rsm:CMR15_20139
ko:K04755	rsm:CMR15_20140
ko:K04567	rsm:CMR15_20144
ko:K02836	rsm:CMR15_20146
ko:K00763	rsm:CMR15_20148
ko:K00782	rsm:CMR15_20149
ko:K09760	rsm:CMR15_20152
ko:K03750	rsm:CMR15_20154
ko:K07112	rsm:CMR15_30172
ko:K06920	rsm:CMR15_30173
ko:K03640	rsm:CMR15_30175
ko:K03641	rsm:CMR15_30176
ko:K03562	rsm:CMR15_30179
ko:K07107	rsm:CMR15_30180
ko:K16066	rsm:CMR15_30181
ko:K00600	rsm:CMR15_30182
ko:K07738	rsm:CMR15_30183
ko:K02671	rsm:CMR15_30184
ko:K02672	rsm:CMR15_30185
ko:K02673	rsm:CMR15_30186
ko:K02655	rsm:CMR15_30188
ko:K08084	rsm:CMR15_30189
ko:K02672	rsm:CMR15_30191
ko:K11752	rsm:CMR15_30196
ko:K00793	rsm:CMR15_30197
ko:K14652	rsm:CMR15_30198
ko:K00794	rsm:CMR15_30199
ko:K03625	rsm:CMR15_30200
ko:K03182	rsm:CMR15_30204
ko:K03704	rsm:CMR15_mp10003
ko:K00963	rsm:CMR15_mp10007
ko:K10125	rsm:CMR15_mp10009
ko:K10126	rsm:CMR15_mp10010
ko:K01999	rsm:CMR15_mp10014
ko:K01997	rsm:CMR15_mp10015
ko:K01998	rsm:CMR15_mp10016
ko:K01995	rsm:CMR15_mp10017
ko:K01996	rsm:CMR15_mp10018
ko:K03281	rsm:CMR15_mp10021
ko:K09945	rsm:CMR15_mp10033
ko:K09461	rsm:CMR15_mp10034
ko:K08295	rsm:CMR15_mp10039
ko:K01075	rsm:CMR15_mp10040
ko:K11890	rsm:CMR15_mp10730
ko:K11891	rsm:CMR15_mp10731
ko:K00612	rsm:CMR15_mp10754
ko:K14160	rsm:CMR15_mp10764
ko:K14161	rsm:CMR15_mp10765
ko:K02355	rsm:CMR15_mp10770
ko:K07259	rsm:CMR15_30315
ko:K03753	rsm:CMR15_30316
ko:K07566	rsm:CMR15_30318
ko:K01589	rsm:CMR15_30319
ko:K01588	rsm:CMR15_30320
ko:K01923	rsm:CMR15_30321
ko:K01624	rsm:CMR15_30322
ko:K00873	rsm:CMR15_30323
ko:K00927	rsm:CMR15_30324
ko:K05786	rsm:CMR15_30325
ko:K00826	rsm:CMR15_30328
ko:K03637	rsm:CMR15_30335
ko:K01902	rsm:CMR15_30345
ko:K01903	rsm:CMR15_30346
ko:K03565	rsm:CMR15_30348
ko:K07649	rsm:CMR15_30351
ko:K07090	rsm:CMR15_mp10159
ko:K16872	rsm:CMR15_mp10168
ko:K01241	rsm:CMR15_mp10181
ko:K01915	rsm:CMR15_mp10870
ko:K01821	rsm:CMR15_mp10877
ko:K01666	rsm:CMR15_mp10879
ko:K08195	rsm:CMR15_mp10880
ko:K03673	rsm:CMR15_mp10882
ko:K03337	rsm:CMR15_20443
ko:K03335	rsm:CMR15_20444
ko:K03336	rsm:CMR15_20445
ko:K03338	rsm:CMR15_20446
ko:K17215	rsm:CMR15_20448
ko:K06605	rsm:CMR15_20450
ko:K06606	rsm:CMR15_20451
ko:K03335	rsm:CMR15_20453
ko:K14682	rsm:CMR15_20456
ko:K03578	rsm:CMR15_20457
ko:K07708	rsm:CMR15_20466
ko:K07712	rsm:CMR15_20467
ko:K05813	rsm:CMR15_20470
ko:K01126	rsm:CMR15_20474
ko:K00164	rsm:CMR15_20475
ko:K00658	rsm:CMR15_20476
ko:K00382	rsm:CMR15_20477
ko:K06916	rsm:CMR15_20478
ko:K05979	rsm:CMR15_20479
ko:K00404	rsm:CMR15_20482
ko:K00405	rsm:CMR15_20483
ko:K00407	rsm:CMR15_20484
ko:K00406	rsm:CMR15_20485
ko:K06041	rsm:CMR15_30493
ko:K03270	rsm:CMR15_30494
ko:K11719	rsm:CMR15_30495
ko:K09774	rsm:CMR15_30496
ko:K06861	rsm:CMR15_30497
ko:K03092	rsm:CMR15_30498
ko:K05808	rsm:CMR15_30499
ko:K06958	rsm:CMR15_30503
ko:K07157	rsm:CMR15_30504
ko:K03575	rsm:CMR15_30505
ko:K02494	rsm:CMR15_30509
ko:K00919	rsm:CMR15_30510
ko:K00948	rsm:CMR15_30511
ko:K02897	rsm:CMR15_30512
ko:K01056	rsm:CMR15_30513
ko:K00954	rsm:CMR15_30516
ko:K03110	rsm:CMR15_30520
ko:K06895	rsm:CMR15_30521
ko:K16165	rsm:CMR15_30523
ko:K06911	rsm:CMR15_30530
ko:K07397	rsm:CMR15_30531
ko:K03089	rsm:CMR15_30533
ko:K07152	rsm:CMR15_30534
ko:K02396	rsm:CMR15_mp10326
ko:K02397	rsm:CMR15_mp10327
ko:K09458	rsm:CMR15_mp10334
ko:K07107	rsm:CMR15_mp10340
ko:K01745	rsm:CMR15_mp10341
ko:K02078	rsm:CMR15_mp10345
ko:K02078	rsm:CMR15_mp10346
ko:K02421	rsm:CMR15_mp10349
ko:K02420	rsm:CMR15_mp10350
ko:K02419	rsm:CMR15_mp10351
ko:K02418	rsm:CMR15_mp10352
ko:K02417	rsm:CMR15_mp10353
ko:K02416	rsm:CMR15_mp10354
ko:K02415	rsm:CMR15_mp10355
ko:K02406	rsm:CMR15_mp10358
ko:K02407	rsm:CMR15_mp10359
ko:K02422	rsm:CMR15_mp10360
ko:K02423	rsm:CMR15_mp10361
ko:K02408	rsm:CMR15_mp10365
ko:K02409	rsm:CMR15_mp10366
ko:K02410	rsm:CMR15_mp10367
ko:K07246	rsm:CMR15_mp20118
ko:K01087	rsm:CMR15_mp20209
ko:K00697	rsm:CMR15_mp20210
ko:K09122	rsm:CMR15_mp20214
ko:K01620	rsm:CMR15_mp20221
ko:K13979	rsm:CMR15_mp20232
ko:K10001	rsm:CMR15_mp20248
ko:K09712	rsm:CMR15_mp20298
ko:K07638	rsm:CMR15_mp20300
ko:K07659	rsm:CMR15_mp20301
ko:K07799	rsm:CMR15_mp20302
ko:K07788	rsm:CMR15_mp20303
ko:K07789	rsm:CMR15_mp20304
ko:K00426	rsm:CMR15_mp20311
ko:K00425	rsm:CMR15_mp20312
ko:K06131	rsm:CMR15_mp20316
ko:K09965	rsm:CMR15_mp20320
ko:K00372	rsm:CMR15_mp20322
ko:K00362	rsm:CMR15_mp20323
ko:K00363	rsm:CMR15_mp20324
ko:K00362	rsm:CMR15_mp20325
ko:K02575	rsm:CMR15_mp20326
ko:K04046	rsm:CMR15_mp30004
ko:K07798	rsm:CMR15_mp30007
ko:K07787	rsm:CMR15_mp30008
ko:K03734	rsm:CMR15_mp30013
ko:K00376	rsm:CMR15_mp30016
ko:K07218	rsm:CMR15_mp30018
ko:K07396	rsm:CMR15_mp30026
ko:K15125	rsm:CMR15_mp30191
ko:K01057	rsm:CMR15_mp30205
ko:K00036	rsm:CMR15_mp30206
ko:K01690	rsm:CMR15_mp30207
ko:K02275	rsm:CMR15_mp30211
ko:K02276	rsm:CMR15_mp30213
ko:K02276	rsm:CMR15_mp30214
ko:K01775	rsm:CMR15_20581
ko:K04485	rsm:CMR15_20582
ko:K03611	rsm:CMR15_20583
ko:K06158	rsm:CMR15_20586
ko:K13051	rsm:CMR15_20588
ko:K13892	rsm:CMR15_20589
ko:K13889	rsm:CMR15_20590
ko:K13890	rsm:CMR15_20591
ko:K13891	rsm:CMR15_20592
ko:K01266	rsm:CMR15_20593
ko:K16203	rsm:CMR15_20594
ko:K01495	rsm:CMR15_20597
ko:K07320	rsm:CMR15_20598
ko:K14267	rsm:CMR15_20604
ko:K03529	rsm:CMR15_20607
ko:K01972	rsm:CMR15_20609
ko:K01462	rsm:CMR15_20610
ko:K06182	rsm:CMR15_20612
ko:K00990	rsm:CMR15_20613
ko:K01265	rsm:CMR15_20614
ko:K02967	rsm:CMR15_20615
ko:K02357	rsm:CMR15_20616
ko:K09903	rsm:CMR15_20617
ko:K02838	rsm:CMR15_20618
ko:K00806	rsm:CMR15_20619
ko:K00981	rsm:CMR15_20620
ko:K00099	rsm:CMR15_20621
ko:K11749	rsm:CMR15_20622
ko:K07277	rsm:CMR15_20623
ko:K06142	rsm:CMR15_20624
ko:K02536	rsm:CMR15_20625
ko:K02372	rsm:CMR15_20626
ko:K00677	rsm:CMR15_20627
ko:K03524	rsm:CMR15_30634
ko:K03525	rsm:CMR15_30635
ko:K00432	rsm:CMR15_30639
ko:K07001	rsm:CMR15_30640
ko:K16171	rsm:CMR15_30645
ko:K01055	rsm:CMR15_30648
ko:K01887	rsm:CMR15_30660
ko:K03673	rsm:CMR15_30662
ko:K00253	rsm:CMR15_30668
ko:K00906	rsm:CMR15_30669
ko:K01673	rsm:CMR15_30670
ko:K09858	rsm:CMR15_30677
ko:K01969	rsm:CMR15_30678
ko:K13766	rsm:CMR15_30680
ko:K01012	rsm:CMR15_30681
ko:K01091	rsm:CMR15_mp10462
ko:K07644	rsm:CMR15_mp10466
ko:K15726	rsm:CMR15_mp10471
ko:K02503	rsm:CMR15_mp10472
ko:K11740	rsm:CMR15_mp10484
ko:K03322	rsm:CMR15_mp10496
ko:K04045	rsm:CMR15_mp10497
ko:K07118	rsm:CMR15_mp10501
ko:K07058	rsm:CMR15_mp30308
ko:K03092	rsm:CMR15_mp30315
ko:K06901	rsm:CMR15_mp30320
ko:K07458	rsm:CMR15_p0023
ko:K07168	rsm:CMR15_30780
ko:K10001	rsm:CMR15_30788
ko:K09456	rsm:CMR15_30789
ko:K00459	rsm:CMR15_30796
ko:K03147	rsm:CMR15_30797
ko:K03154	rsm:CMR15_30799
ko:K03149	rsm:CMR15_30800
ko:K00788	rsm:CMR15_30801
ko:K00941	rsm:CMR15_30806
ko:K01251	rsm:CMR15_30810
ko:K08972	rsm:CMR15_30811
ko:K00297	rsm:CMR15_30812
ko:K08309	rsm:CMR15_30815
ko:K10001	rsm:CMR15_30819
ko:K00140	rsm:CMR15_mp10603
ko:K01895	rsm:CMR15_mp10604
ko:K07644	rsm:CMR15_mp10607
ko:K07233	rsm:CMR15_mp10610
ko:K07156	rsm:CMR15_mp10611
ko:K06995	rsm:CMR15_mp10616
ko:K11735	rsm:CMR15_mp10618
ko:K07124	rsm:CMR15_mp10630
ko:K03284	rsm:CMR15_mp10633
ko:K01246	rsm:CMR15_mp10634
ko:K03449	rsm:CMR15_mp10635
ko:K02300	rsm:CMR15_10498
ko:K03669	rsm:CMR15_10504
ko:K03670	rsm:CMR15_10505
ko:K03186	rsm:CMR15_10508
ko:K07390	rsm:CMR15_10509
ko:K02493	rsm:CMR15_10510
ko:K02835	rsm:CMR15_10512
ko:K02492	rsm:CMR15_10513
ko:K06942	rsm:CMR15_10515
ko:K02423	rsm:CMR15_10516
ko:K03981	rsm:CMR15_10521
ko:K03648	rsm:CMR15_10527
ko:K01609	rsm:CMR15_10529
ko:K00766	rsm:CMR15_10530
ko:K01657	rsm:CMR15_10533
ko:K01091	rsm:CMR15_10534
ko:K01783	rsm:CMR15_10535
ko:K06195	rsm:CMR15_10536
ko:K08304	rsm:CMR15_10538
ko:K01912	rsm:CMR15_10539
ko:K15866	rsm:CMR15_10541
ko:K07552	rsm:CMR15_11206
ko:K07160	rsm:CMR15_11209
ko:K01304	rsm:CMR15_11213
ko:K07002	rsm:CMR15_11217
ko:K07124	rsm:CMR15_11219
ko:K00989	rsm:CMR15_11225
ko:K00942	rsm:CMR15_11229
ko:K03060	rsm:CMR15_11230
ko:K04760	rsm:CMR15_11232
ko:K03841	rsm:CMR15_11238
ko:K01256	rsm:CMR15_11239
ko:K00029	rsm:CMR15_11242
ko:K13485	rsm:CMR15_11244
ko:K15738	rsm:CMR15_20081
ko:K02622	rsm:CMR15_20082
ko:K02621	rsm:CMR15_20084
ko:K07240	rsm:CMR15_20085
ko:K07240	rsm:CMR15_20086
ko:K03303	rsm:CMR15_20088
ko:K05825	rsm:CMR15_20092
ko:K04079	rsm:CMR15_20097
ko:K09989	rsm:CMR15_20110
ko:K09019	rsm:CMR15_20119
ko:K10773	rsm:CMR15_20120
ko:K00832	rsm:CMR15_20125
ko:K03702	rsm:CMR15_20126
ko:K02034	rsm:CMR15_10547
ko:K02769	rsm:CMR15_10552
ko:K02770	rsm:CMR15_10552
ko:K03435	rsm:CMR15_10555
ko:K06134	rsm:CMR15_10561
ko:K03925	rsm:CMR15_10562
ko:K03438	rsm:CMR15_10563
ko:K03586	rsm:CMR15_10564
ko:K03587	rsm:CMR15_10565
ko:K01928	rsm:CMR15_10566
ko:K01929	rsm:CMR15_10567
ko:K01000	rsm:CMR15_10568
ko:K01925	rsm:CMR15_10569
ko:K03588	rsm:CMR15_10570
ko:K02563	rsm:CMR15_10571
ko:K01924	rsm:CMR15_10572
ko:K01921	rsm:CMR15_10573
ko:K03589	rsm:CMR15_10574
ko:K03590	rsm:CMR15_10575
ko:K03531	rsm:CMR15_10576
ko:K02535	rsm:CMR15_10578
ko:K03070	rsm:CMR15_10581
ko:K00620	rsm:CMR15_10582
ko:K06923	rsm:CMR15_10583
ko:K09862	rsm:CMR15_10585
ko:K00859	rsm:CMR15_10587
ko:K07127	rsm:CMR15_11249
ko:K08368	rsm:CMR15_11260
ko:K01714	rsm:CMR15_11261
ko:K02029	rsm:CMR15_11272
ko:K02029	rsm:CMR15_11273
ko:K07402	rsm:CMR15_11280
ko:K13482	rsm:CMR15_11281
ko:K13481	rsm:CMR15_11282
ko:K05772	rsm:CMR15_11284
ko:K06886	rsm:CMR15_11287
ko:K00901	rsm:CMR15_11292
ko:K02654	rsm:CMR15_10588
ko:K02652	rsm:CMR15_10590
ko:K03752	rsm:CMR15_20155
ko:K03639	rsm:CMR15_20156
ko:K08300	rsm:CMR15_20157
ko:K01091	rsm:CMR15_20159
ko:K04773	rsm:CMR15_20161
ko:K07056	rsm:CMR15_20162
ko:K06287	rsm:CMR15_20163
ko:K07040	rsm:CMR15_20164
ko:K02911	rsm:CMR15_20165
ko:K03621	rsm:CMR15_20166
ko:K00648	rsm:CMR15_20167
ko:K00645	rsm:CMR15_20168
ko:K02078	rsm:CMR15_20170
ko:K09458	rsm:CMR15_20171
ko:K03088	rsm:CMR15_20173
ko:K03597	rsm:CMR15_20174
ko:K03598	rsm:CMR15_20175
ko:K03596	rsm:CMR15_20178
ko:K03100	rsm:CMR15_20179
ko:K03685	rsm:CMR15_20181
ko:K03595	rsm:CMR15_20182
ko:K03584	rsm:CMR15_20183
ko:K03474	rsm:CMR15_20184
ko:K00997	rsm:CMR15_20185
ko:K07462	rsm:CMR15_20319
ko:K09808	rsm:CMR15_20321
ko:K09810	rsm:CMR15_20322
ko:K03424	rsm:CMR15_20323
ko:K07395	rsm:CMR15_20328
ko:K01937	rsm:CMR15_20330
ko:K01627	rsm:CMR15_20331
ko:K01689	rsm:CMR15_20333
ko:K05589	rsm:CMR15_20334
ko:K04083	rsm:CMR15_20336
ko:K00384	rsm:CMR15_20343
ko:K07053	rsm:CMR15_20344
ko:K01867	rsm:CMR15_20347
ko:K01714	rsm:CMR15_20349
ko:K07287	rsm:CMR15_20350
ko:K03775	rsm:CMR15_20354
ko:K06911	rsm:CMR15_30359
ko:K11927	rsm:CMR15_30362
ko:K06955	rsm:CMR15_30369
ko:K06168	rsm:CMR15_30371
ko:K07042	rsm:CMR15_30373
ko:K06189	rsm:CMR15_30374
ko:K03820	rsm:CMR15_30375
ko:K01878	rsm:CMR15_30376
ko:K01879	rsm:CMR15_30378
ko:K03273	rsm:CMR15_30379
ko:K00655	rsm:CMR15_30380
ko:K07043	rsm:CMR15_30381
ko:K02528	rsm:CMR15_30384
ko:K00097	rsm:CMR15_30385
ko:K03771	rsm:CMR15_30386
ko:K04744	rsm:CMR15_30387
ko:K07102	rsm:CMR15_30388
ko:K03185	rsm:CMR15_30394
ko:K03557	rsm:CMR15_30399
ko:K00602	rsm:CMR15_30400
ko:K12508	rsm:CMR15_mp10199
ko:K00141	rsm:CMR15_mp10201
ko:K06044	rsm:CMR15_mp10208
ko:K00705	rsm:CMR15_mp10209
ko:K01236	rsm:CMR15_mp10210
ko:K05343	rsm:CMR15_mp10213
ko:K00703	rsm:CMR15_mp10215
ko:K03387	rsm:CMR15_mp10219
ko:K04759	rsm:CMR15_mp10224
ko:K04758	rsm:CMR15_mp10225
ko:K01304	rsm:CMR15_mp10232
ko:K02029	rsm:CMR15_mp20014
ko:K02029	rsm:CMR15_mp20015
ko:K07160	rsm:CMR15_mp20017
ko:K01961	rsm:CMR15_mp20021
ko:K02160	rsm:CMR15_mp20022
ko:K00812	rsm:CMR15_mp20024
ko:K00098	rsm:CMR15_mp20029
ko:K00324	rsm:CMR15_mp20030
ko:K00324	rsm:CMR15_mp20031
ko:K00325	rsm:CMR15_mp20032
ko:K02523	rsm:CMR15_10592
ko:K02888	rsm:CMR15_10593
ko:K02899	rsm:CMR15_10594
ko:K03979	rsm:CMR15_10595
ko:K00931	rsm:CMR15_10596
ko:K08311	rsm:CMR15_10598
ko:K01881	rsm:CMR15_10599
ko:K00472	rsm:CMR15_10601
ko:K00760	rsm:CMR15_10603
ko:K03106	rsm:CMR15_10604
ko:K06950	rsm:CMR15_10606
ko:K02668	rsm:CMR15_10607
ko:K02667	rsm:CMR15_10608
ko:K03806	rsm:CMR15_10609
ko:K11939	rsm:CMR15_10615
ko:K06077	rsm:CMR15_10624
ko:K11065	rsm:CMR15_10626
ko:K02687	rsm:CMR15_10629
ko:K01961	rsm:CMR15_10630
ko:K02160	rsm:CMR15_10631
ko:K03786	rsm:CMR15_10632
ko:K03088	rsm:CMR15_11299
ko:K01652	rsm:CMR15_11300
ko:K01653	rsm:CMR15_11301
ko:K00053	rsm:CMR15_11302
ko:K01613	rsm:CMR15_11303
ko:K17103	rsm:CMR15_11304
ko:K01649	rsm:CMR15_11305
ko:K01999	rsm:CMR15_11307
ko:K02956	rsm:CMR15_11308
ko:K00962	rsm:CMR15_11309
ko:K01803	rsm:CMR15_11312
ko:K03075	rsm:CMR15_11313
ko:K00330	rsm:CMR15_11314
ko:K00331	rsm:CMR15_11315
ko:K00332	rsm:CMR15_11316
ko:K00333	rsm:CMR15_11317
ko:K00334	rsm:CMR15_11318
ko:K00337	rsm:CMR15_11321
ko:K00338	rsm:CMR15_11322
ko:K00339	rsm:CMR15_11323
ko:K00340	rsm:CMR15_11324
ko:K00341	rsm:CMR15_11325
ko:K00342	rsm:CMR15_11326
ko:K00343	rsm:CMR15_11327
ko:K11959	rsm:CMR15_11335
ko:K11960	rsm:CMR15_11336
ko:K11961	rsm:CMR15_11337
ko:K11962	rsm:CMR15_11338
ko:K11963	rsm:CMR15_11339
ko:K03190	rsm:CMR15_11340
ko:K01430	rsm:CMR15_11341
ko:K03192	rsm:CMR15_11342
ko:K01429	rsm:CMR15_11343
ko:K01428	rsm:CMR15_11344
ko:K03187	rsm:CMR15_11345
ko:K03188	rsm:CMR15_11346
ko:K02558	rsm:CMR15_10635
ko:K07000	rsm:CMR15_10636
ko:K03181	rsm:CMR15_10637
ko:K01147	rsm:CMR15_10638
ko:K03832	rsm:CMR15_10639
ko:K00014	rsm:CMR15_10640
ko:K03814	rsm:CMR15_10641
ko:K03284	rsm:CMR15_10643
ko:K01591	rsm:CMR15_10644
ko:K01095	rsm:CMR15_10647
ko:K00946	rsm:CMR15_10648
ko:K00029	rsm:CMR15_10649
ko:K09761	rsm:CMR15_10653
ko:K00883	rsm:CMR15_10657
ko:K13874	rsm:CMR15_10659
ko:K01631	rsm:CMR15_10661
ko:K01684	rsm:CMR15_10662
ko:K00615	rsm:CMR15_10663
ko:K00134	rsm:CMR15_10664
ko:K06186	rsm:CMR15_10667
ko:K00215	rsm:CMR15_10668
ko:K01869	rsm:CMR15_10669
ko:K03643	rsm:CMR15_10670
ko:K02340	rsm:CMR15_10671
ko:K00147	rsm:CMR15_10672
ko:K08973	rsm:CMR15_10673
ko:K07444	rsm:CMR15_10674
ko:K00325	rsm:CMR15_10681
ko:K03189	rsm:CMR15_11347
ko:K06895	rsm:CMR15_11349
ko:K00074	rsm:CMR15_11361
ko:K14287	rsm:CMR15_11363
ko:K09861	rsm:CMR15_11365
ko:K01681	rsm:CMR15_11371
ko:K01720	rsm:CMR15_11372
ko:K01644	rsm:CMR15_11375
ko:K00024	rsm:CMR15_11376
ko:K03710	rsm:CMR15_11377
ko:K00242	rsm:CMR15_11379
ko:K00239	rsm:CMR15_11380
ko:K00240	rsm:CMR15_11381
ko:K09159	rsm:CMR15_11382
ko:K01647	rsm:CMR15_11383
ko:K01703	rsm:CMR15_11384
ko:K01704	rsm:CMR15_11385
ko:K00052	rsm:CMR15_11386
ko:K00133	rsm:CMR15_11388
ko:K06173	rsm:CMR15_11390
ko:K01817	rsm:CMR15_11391
ko:K01696	rsm:CMR15_11392
ko:K01695	rsm:CMR15_11394
ko:K00324	rsm:CMR15_10682
ko:K01579	rsm:CMR15_10683
ko:K00324	rsm:CMR15_10684
ko:K03446	rsm:CMR15_10687
ko:K03543	rsm:CMR15_10688
ko:K00566	rsm:CMR15_10691
ko:K01756	rsm:CMR15_10694
ko:K12262	rsm:CMR15_10695
ko:K03074	rsm:CMR15_10700
ko:K03072	rsm:CMR15_10701
ko:K03210	rsm:CMR15_10702
ko:K00773	rsm:CMR15_10703
ko:K07568	rsm:CMR15_10704
ko:K03655	rsm:CMR15_10705
ko:K01751	rsm:CMR15_10715
ko:K06016	rsm:CMR15_10716
ko:K04761	rsm:CMR15_10719
ko:K04047	rsm:CMR15_10723
ko:K03179	rsm:CMR15_10724
ko:K00286	rsm:CMR15_10726
ko:K06997	rsm:CMR15_10727
ko:K02669	rsm:CMR15_10728
ko:K02670	rsm:CMR15_10729
ko:K02655	rsm:CMR15_10730
ko:K01963	rsm:CMR15_11395
ko:K11754	rsm:CMR15_11396
ko:K03749	rsm:CMR15_11397
ko:K03558	rsm:CMR15_11398
ko:K00764	rsm:CMR15_11399
ko:K09694	rsm:CMR15_11400
ko:K09695	rsm:CMR15_11401
ko:K04062	rsm:CMR15_11402
ko:K03561	rsm:CMR15_11411
ko:K03832	rsm:CMR15_11412
ko:K01776	rsm:CMR15_11420
ko:K01676	rsm:CMR15_11421
ko:K01895	rsm:CMR15_11424
ko:K14393	rsm:CMR15_11425
ko:K07302	rsm:CMR15_11434
ko:K07303	rsm:CMR15_11435
ko:K02034	rsm:CMR15_11441
ko:K07043	rsm:CMR15_10018
ko:K01153	rsm:CMR15_10019
ko:K03427	rsm:CMR15_10022
ko:K09760	rsm:CMR15_10039
ko:K02029	rsm:CMR15_10053
ko:K08084	rsm:CMR15_10731
ko:K02671	rsm:CMR15_10732
ko:K02672	rsm:CMR15_10733
ko:K00432	rsm:CMR15_10736
ko:K06996	rsm:CMR15_10739
ko:K11473	rsm:CMR15_10742
ko:K11472	rsm:CMR15_10743
ko:K00798	rsm:CMR15_10747
ko:K07154	rsm:CMR15_10750
ko:K01626	rsm:CMR15_10751
ko:K03568	rsm:CMR15_10752
ko:K00982	rsm:CMR15_10755
ko:K14645	rsm:CMR15_10757
ko:K14645	rsm:CMR15_10758
ko:K03631	rsm:CMR15_10761
ko:K00858	rsm:CMR15_10762
ko:K03705	rsm:CMR15_10763
ko:K05836	rsm:CMR15_10764
ko:K01712	rsm:CMR15_10765
ko:K01745	rsm:CMR15_10766
ko:K01468	rsm:CMR15_10768
ko:K01772	rsm:CMR15_10769
ko:K04762	rsm:CMR15_10770
ko:K03687	rsm:CMR15_10773
ko:K06140	rsm:CMR15_10775
ko:K04043	rsm:CMR15_10776
ko:K03686	rsm:CMR15_10777
ko:K01433	rsm:CMR15_11453
ko:K07152	rsm:CMR15_11459
ko:K08307	rsm:CMR15_11470
ko:K01956	rsm:CMR15_11473
ko:K11250	rsm:CMR15_11474
ko:K01955	rsm:CMR15_11475
ko:K03624	rsm:CMR15_11476
ko:K03798	rsm:CMR15_11480
ko:K00796	rsm:CMR15_11481
ko:K03431	rsm:CMR15_11482
ko:K02040	rsm:CMR15_11483
ko:K02037	rsm:CMR15_11484
ko:K02038	rsm:CMR15_11485
ko:K02036	rsm:CMR15_11486
ko:K02039	rsm:CMR15_11487
ko:K07636	rsm:CMR15_11489
ko:K09926	rsm:CMR15_20487
ko:K09792	rsm:CMR15_20490
ko:K06024	rsm:CMR15_20491
ko:K06178	rsm:CMR15_20492
ko:K09748	rsm:CMR15_20493
ko:K02600	rsm:CMR15_20494
ko:K02519	rsm:CMR15_20495
ko:K02834	rsm:CMR15_20496
ko:K03446	rsm:CMR15_20498
ko:K03543	rsm:CMR15_20499
ko:K06207	rsm:CMR15_20502
ko:K05539	rsm:CMR15_20507
ko:K01356	rsm:CMR15_20512
ko:K00528	rsm:CMR15_20513
ko:K02990	rsm:CMR15_20515
ko:K02686	rsm:CMR15_20516
ko:K02963	rsm:CMR15_20517
ko:K02939	rsm:CMR15_20518
ko:K07220	rsm:CMR15_20520
ko:K03306	rsm:CMR15_20521
ko:K07175	rsm:CMR15_20524
ko:K06133	rsm:CMR15_20525
ko:K03564	rsm:CMR15_20528
ko:K00604	rsm:CMR15_20531
ko:K10012	rsm:CMR15_20532
ko:K02259	rsm:CMR15_30536
ko:K02276	rsm:CMR15_30540
ko:K02275	rsm:CMR15_30545
ko:K02169	rsm:CMR15_30547
ko:K03216	rsm:CMR15_30549
ko:K00057	rsm:CMR15_30550
ko:K03071	rsm:CMR15_30551
ko:K00748	rsm:CMR15_20628
ko:K03470	rsm:CMR15_20629
ko:K03437	rsm:CMR15_20630
ko:K09773	rsm:CMR15_20632
ko:K03664	rsm:CMR15_20636
ko:K09801	rsm:CMR15_20638
ko:K01951	rsm:CMR15_20643
ko:K00449	rsm:CMR15_20649
ko:K00448	rsm:CMR15_20650
ko:K01975	rsm:CMR15_20651
ko:K07396	rsm:CMR15_20652
ko:K07154	rsm:CMR15_20654
ko:K01737	rsm:CMR15_20658
ko:K11991	rsm:CMR15_20659
ko:K06938	rsm:CMR15_20666
ko:K07507	rsm:CMR15_20670
ko:K07402	rsm:CMR15_20672
ko:K01968	rsm:CMR15_30682
ko:K12972	rsm:CMR15_30685
ko:K01640	rsm:CMR15_30686
ko:K06938	rsm:CMR15_30688
ko:K00459	rsm:CMR15_30692
ko:K00074	rsm:CMR15_30702
ko:K15977	rsm:CMR15_30706
ko:K11942	rsm:CMR15_30709
