ko:K18137	abad:ABD1_20050
ko:K00928	abad:ABD1_11180
ko:K02769	abad:ABD1_19690
ko:K02770	abad:ABD1_19690
ko:K00117	abad:ABD1_19740
ko:K03321	abad:ABD1_19760
ko:K01556	abad:ABD1_19800
ko:K04762	abad:ABD1_19870
ko:K03565	abad:ABD1_19890
ko:K00677	abad:ABD1_19910
ko:K02372	abad:ABD1_19920
ko:K02536	abad:ABD1_19930
ko:K06142	abad:ABD1_19940
ko:K07277	abad:ABD1_19950
ko:K11749	abad:ABD1_19960
ko:K00099	abad:ABD1_19970
ko:K00981	abad:ABD1_19980
ko:K00806	abad:ABD1_19990
ko:K02838	abad:ABD1_20000
ko:K09903	abad:ABD1_20010
ko:K14441	abad:ABD1_20020
ko:K07708	abad:ABD1_20030
ko:K07712	abad:ABD1_20040
ko:K02837	abad:ABD1_05180
ko:K03424	abad:ABD1_05210
ko:K01681	abad:ABD1_05220
ko:K05539	abad:ABD1_05270
ko:K09161	abad:ABD1_05340
ko:K00261	abad:ABD1_05410
ko:K00840	abad:ABD1_05420
ko:K06447	abad:ABD1_05440
ko:K12972	abad:ABD1_05480
ko:K06016	abad:ABD1_05490
ko:K03427	abad:ABD1_05630
ko:K01154	abad:ABD1_05660
ko:K01153	abad:ABD1_05690
ko:K03781	abad:ABD1_13870
ko:K06975	abad:ABD1_13970
ko:K02029	abad:ABD1_13990
ko:K02029	abad:ABD1_14000
ko:K11717	abad:ABD1_14070
ko:K00640	abad:ABD1_14090
ko:K00375	abad:ABD1_14180
ko:K07734	abad:ABD1_14190
ko:K13929	abad:ABD1_14220
ko:K13930	abad:ABD1_14230
ko:K13931	abad:ABD1_14240
ko:K13932	abad:ABD1_14250
ko:K13933	abad:ABD1_14260
ko:K13934	abad:ABD1_14270
ko:K13935	abad:ABD1_14280
ko:K13928	abad:ABD1_14310
ko:K00426	abad:ABD1_14340
ko:K11735	abad:ABD1_22320
ko:K00140	abad:ABD1_22330
ko:K00822	abad:ABD1_22340
ko:K06923	abad:ABD1_22380
ko:K02970	abad:ABD1_22410
ko:K09117	abad:ABD1_22420
ko:K00764	abad:ABD1_22470
ko:K03558	abad:ABD1_22480
ko:K02462	abad:ABD1_22500
ko:K02461	abad:ABD1_22510
ko:K08296	abad:ABD1_22520
ko:K00057	abad:ABD1_22530
ko:K03732	abad:ABD1_22560
ko:K03704	abad:ABD1_22570
ko:K03089	abad:ABD1_22590
ko:K03154	abad:ABD1_22610
ko:K03149	abad:ABD1_22620
ko:K09861	abad:ABD1_22640
ko:K07018	abad:ABD1_22650
ko:K14414	abad:ABD1_22660
ko:K14415	abad:ABD1_22680
ko:K14170	abad:ABD1_22750
ko:K11103	abad:ABD1_22780
ko:K02672	abad:ABD1_30540
ko:K02671	abad:ABD1_30550
ko:K08084	abad:ABD1_30560
ko:K03527	abad:ABD1_30570
ko:K00942	abad:ABD1_30580
ko:K03060	abad:ABD1_30590
ko:K02192	abad:ABD1_30620
ko:K03594	abad:ABD1_30630
ko:K06872	abad:ABD1_30680
ko:K03744	abad:ABD1_30690
ko:K07044	abad:ABD1_30700
ko:K00266	abad:ABD1_30710
ko:K01735	abad:ABD1_30740
ko:K00891	abad:ABD1_30750
ko:K02666	abad:ABD1_30760
ko:K02662	abad:ABD1_30800
ko:K05366	abad:ABD1_30810
ko:K00563	abad:ABD1_30820
ko:K01000	abad:ABD1_30840
ko:K01929	abad:ABD1_30850
ko:K01928	abad:ABD1_30860
ko:K03587	abad:ABD1_30870
ko:K03586	abad:ABD1_30880
ko:K03438	abad:ABD1_30890
ko:K02048	abad:ABD1_30900
ko:K16264	abad:ABD1_30970
ko:K15726	abad:ABD1_30980
ko:K03773	abad:ABD1_00470
ko:K16692	abad:ABD1_00490
ko:K01991	abad:ABD1_00510
ko:K02474	abad:ABD1_00520
ko:K02473	abad:ABD1_00530
ko:K13007	abad:ABD1_00630
ko:K00963	abad:ABD1_00650
ko:K00012	abad:ABD1_00660
ko:K01810	abad:ABD1_00670
ko:K00427	abad:ABD1_00700
ko:K14348	abad:ABD1_00710
ko:K03777	abad:ABD1_00730
ko:K00832	abad:ABD1_00740
ko:K16137	abad:ABD1_00880
ko:K00285	abad:ABD1_00970
ko:K01775	abad:ABD1_00980
ko:K11737	abad:ABD1_01000
ko:K11103	abad:ABD1_08880
ko:K11931	abad:ABD1_08910
ko:K11936	abad:ABD1_08920
ko:K03811	abad:ABD1_08950
ko:K06989	abad:ABD1_09080
ko:K01652	abad:ABD1_09100
ko:K01462	abad:ABD1_09140
ko:K01425	abad:ABD1_09150
ko:K08223	abad:ABD1_09170
ko:K00615	abad:ABD1_09230
ko:K00615	abad:ABD1_09240
ko:K03306	abad:ABD1_09260
ko:K01753	abad:ABD1_09270
ko:K07400	abad:ABD1_09330
ko:K01673	abad:ABD1_09370
ko:K01273	abad:ABD1_17560
ko:K07154	abad:ABD1_17830
ko:K03543	abad:ABD1_17920
ko:K00297	abad:ABD1_17990
ko:K00948	abad:ABD1_18020
ko:K02379	abad:ABD1_25930
ko:K00865	abad:ABD1_25950
ko:K16137	abad:ABD1_25960
ko:K07124	abad:ABD1_25970
ko:K07044	abad:ABD1_26000
ko:K09982	abad:ABD1_26020
ko:K03824	abad:ABD1_26030
ko:K04760	abad:ABD1_26060
ko:K14058	abad:ABD1_26090
ko:K03799	abad:ABD1_26110
ko:K01126	abad:ABD1_26140
ko:K00901	abad:ABD1_26160
ko:K04077	abad:ABD1_26170
ko:K04078	abad:ABD1_26180
ko:K00111	abad:ABD1_26220
ko:K00864	abad:ABD1_26230
ko:K01491	abad:ABD1_26270
ko:K00796	abad:ABD1_26310
ko:K03798	abad:ABD1_26320
ko:K07574	abad:ABD1_26340
ko:K01956	abad:ABD1_26370
ko:K01955	abad:ABD1_26380
ko:K03624	abad:ABD1_26390
ko:K01770	abad:ABD1_20080
ko:K00285	abad:ABD1_20100
ko:K07235	abad:ABD1_20150
ko:K11068	abad:ABD1_28030
ko:K03070	abad:ABD1_28060
ko:K11754	abad:ABD1_28110
ko:K01963	abad:ABD1_28120
ko:K01695	abad:ABD1_28130
ko:K07044	abad:ABD1_28150
ko:K01696	abad:ABD1_28180
ko:K01817	abad:ABD1_28190
ko:K16092	abad:ABD1_28200
ko:K00798	abad:ABD1_28210
ko:K01126	abad:ABD1_28220
ko:K07664	abad:ABD1_28260
ko:K07642	abad:ABD1_28270
ko:K01876	abad:ABD1_28370
ko:K07276	abad:ABD1_28470
ko:K00826	abad:ABD1_28480
ko:K00982	abad:ABD1_28490
ko:K09748	abad:ABD1_03080
ko:K02600	abad:ABD1_03090
ko:K02519	abad:ABD1_03100
ko:K02834	abad:ABD1_03110
ko:K05564	abad:ABD1_03120
ko:K05563	abad:ABD1_03130
ko:K05562	abad:ABD1_03140
ko:K05561	abad:ABD1_03150
ko:K05560	abad:ABD1_03160
ko:K05559	abad:ABD1_03170
ko:K11755	abad:ABD1_03200
ko:K03688	abad:ABD1_03220
ko:K03690	abad:ABD1_03230
ko:K03183	abad:ABD1_03240
ko:K03583	abad:ABD1_03280
ko:K03582	abad:ABD1_03290
ko:K03581	abad:ABD1_03300
ko:K02956	abad:ABD1_03320
ko:K00962	abad:ABD1_03330
ko:K05516	abad:ABD1_03360
ko:K04083	abad:ABD1_03380
ko:K04066	abad:ABD1_03400
ko:K02455	abad:ABD1_03410
ko:K02456	abad:ABD1_03420
ko:K06878	abad:ABD1_03440
ko:K03820	abad:ABD1_03450
ko:K06189	abad:ABD1_03460
ko:K00311	abad:ABD1_03490
ko:K09986	abad:ABD1_03500
ko:K01776	abad:ABD1_03510
ko:K01772	abad:ABD1_03530
ko:K09862	abad:ABD1_03550
ko:K01872	abad:ABD1_11860
ko:K00134	abad:ABD1_11870
ko:K02502	abad:ABD1_11880
ko:K01939	abad:ABD1_11890
ko:K07397	abad:ABD1_11940
ko:K03695	abad:ABD1_11970
ko:K12297	abad:ABD1_12000
ko:K00609	abad:ABD1_12020
ko:K01465	abad:ABD1_12030
ko:K02030	abad:ABD1_14020
ko:K02030	abad:ABD1_14030
ko:K00528	abad:ABD1_07210
ko:K07007	abad:ABD1_07260
ko:K01874	abad:ABD1_07330
ko:K09928	abad:ABD1_07380
ko:K01494	abad:ABD1_07410
ko:K05541	abad:ABD1_07470
ko:K03106	abad:ABD1_07490
ko:K03525	abad:ABD1_07500
ko:K03524	abad:ABD1_07510
ko:K03529	abad:ABD1_07540
ko:K03528	abad:ABD1_07550
ko:K01972	abad:ABD1_07560
ko:K03594	abad:ABD1_07570
ko:K00697	abad:ABD1_07590
ko:K01087	abad:ABD1_07600
ko:K02170	abad:ABD1_07610
ko:K00833	abad:ABD1_07620
ko:K02169	abad:ABD1_07640
ko:K01935	abad:ABD1_07650
ko:K06178	abad:ABD1_07660
ko:K06024	abad:ABD1_07670
ko:K05896	abad:ABD1_07680
ko:K09906	abad:ABD1_07700
ko:K07040	abad:ABD1_07710
ko:K02911	abad:ABD1_07720
ko:K00645	abad:ABD1_07730
ko:K02078	abad:ABD1_07750
ko:K02034	abad:ABD1_15990
ko:K02968	abad:ABD1_16050
ko:K02553	abad:ABD1_16070
ko:K07223	abad:ABD1_16090
ko:K03723	abad:ABD1_16110
ko:K04755	abad:ABD1_16140
ko:K04044	abad:ABD1_16150
ko:K04082	abad:ABD1_16160
ko:K04487	abad:ABD1_16190
ko:K13643	abad:ABD1_16200
ko:K03530	abad:ABD1_16230
ko:K03770	abad:ABD1_16240
ko:K00496	abad:ABD1_16260
ko:K02231	abad:ABD1_16450
ko:K00768	abad:ABD1_16460
ko:K02037	abad:ABD1_24340
ko:K02040	abad:ABD1_24350
ko:K11734	abad:ABD1_24360
ko:K13745	abad:ABD1_24400
ko:K00836	abad:ABD1_24410
ko:K03580	abad:ABD1_24490
ko:K01845	abad:ABD1_24520
ko:K00788	abad:ABD1_24530
ko:K06956	abad:ABD1_24600
ko:K00031	abad:ABD1_24650
ko:K06181	abad:ABD1_24660
ko:K00031	abad:ABD1_24670
ko:K03885	abad:ABD1_24700
ko:K03775	abad:ABD1_24710
ko:K01669	abad:ABD1_24720
ko:K00459	abad:ABD1_24810
ko:K00931	abad:ABD1_24850
ko:K03979	abad:ABD1_24860
ko:K03611	abad:ABD1_32680
ko:K01919	abad:ABD1_32690
ko:K14287	abad:ABD1_32730
ko:K07636	abad:ABD1_32780
ko:K01613	abad:ABD1_32800
ko:K00763	abad:ABD1_32820
ko:K03781	abad:ABD1_32840
ko:K07560	abad:ABD1_32850
ko:K01079	abad:ABD1_32880
ko:K14652	abad:ABD1_32900
ko:K00794	abad:ABD1_32910
ko:K03625	abad:ABD1_32920
ko:K00946	abad:ABD1_32930
ko:K01095	abad:ABD1_32950
ko:K04042	abad:ABD1_32960
ko:K00820	abad:ABD1_32970
ko:K01776	abad:ABD1_33010
ko:K01091	abad:ABD1_33020
ko:K01468	abad:ABD1_33050
ko:K01745	abad:ABD1_33070
ko:K01712	abad:ABD1_33080
ko:K09975	abad:ABD1_33090
ko:K05836	abad:ABD1_33100
ko:K03439	abad:ABD1_12070
ko:K03387	abad:ABD1_12110
ko:K03578	abad:ABD1_12160
ko:K16872	abad:ABD1_12170
ko:K05548	abad:ABD1_12190
ko:K05782	abad:ABD1_12200
ko:K03750	abad:ABD1_20220
ko:K03639	abad:ABD1_20260
ko:K03752	abad:ABD1_20280
ko:K00372	abad:ABD1_20290
ko:K00362	abad:ABD1_20310
ko:K03786	abad:ABD1_20350
ko:K02160	abad:ABD1_20360
ko:K01961	abad:ABD1_20370
ko:K05820	abad:ABD1_20390
ko:K00075	abad:ABD1_20460
ko:K07107	abad:ABD1_20500
ko:K01114	abad:ABD1_20510
ko:K02343	abad:ABD1_20520
ko:K11250	abad:ABD1_20620
ko:K05782	abad:ABD1_20640
ko:K07507	abad:ABD1_20650
ko:K01531	abad:ABD1_20660
ko:K07568	abad:ABD1_28510
ko:K03744	abad:ABD1_28540
ko:K00773	abad:ABD1_28550
ko:K03210	abad:ABD1_28560
ko:K03072	abad:ABD1_28570
ko:K03074	abad:ABD1_28580
ko:K13038	abad:ABD1_28590
ko:K03630	abad:ABD1_28600
ko:K07053	abad:ABD1_28620
ko:K06190	abad:ABD1_28630
ko:K09780	abad:ABD1_28640
ko:K15461	abad:ABD1_28660
ko:K09767	abad:ABD1_28680
ko:K10806	abad:ABD1_28700
ko:K03672	abad:ABD1_28710
ko:K00382	abad:ABD1_28750
ko:K03665	abad:ABD1_28820
ko:K02528	abad:ABD1_28870
ko:K00097	abad:ABD1_28880
ko:K02871	abad:ABD1_28890
ko:K02996	abad:ABD1_28900
ko:K03599	abad:ABD1_28910
ko:K03600	abad:ABD1_28920
ko:K13777	abad:ABD1_28940
ko:K13779	abad:ABD1_28950
ko:K11731	abad:ABD1_28960
ko:K13778	abad:ABD1_28970
ko:K13774	abad:ABD1_28980
ko:K11737	abad:ABD1_01010
ko:K00140	abad:ABD1_01030
ko:K01895	abad:ABD1_01050
ko:K01586	abad:ABD1_01100
ko:K01599	abad:ABD1_01140
ko:K06133	abad:ABD1_01250
ko:K05527	abad:ABD1_01260
ko:K03975	abad:ABD1_01310
ko:K15977	abad:ABD1_01320
ko:K01951	abad:ABD1_01340
ko:K06911	abad:ABD1_01380
ko:K07397	abad:ABD1_01390
ko:K01887	abad:ABD1_01420
ko:K07223	abad:ABD1_01440
ko:K05834	abad:ABD1_01450
ko:K09816	abad:ABD1_01460
ko:K09817	abad:ABD1_01470
ko:K09823	abad:ABD1_01480
ko:K02108	abad:ABD1_01510
ko:K02110	abad:ABD1_01520
ko:K02109	abad:ABD1_01530
ko:K10804	abad:ABD1_09380
ko:K02003	abad:ABD1_09390
ko:K03814	abad:ABD1_09420
ko:K00937	abad:ABD1_09430
ko:K04761	abad:ABD1_09450
ko:K05297	abad:ABD1_09470
ko:K04567	abad:ABD1_09510
ko:K00957	abad:ABD1_09540
ko:K09965	abad:ABD1_09560
ko:K03300	abad:ABD1_09590
ko:K01637	abad:ABD1_09620
ko:K03190	abad:ABD1_09660
ko:K01430	abad:ABD1_09670
ko:K01429	abad:ABD1_09680
ko:K01428	abad:ABD1_09690
ko:K03187	abad:ABD1_09700
ko:K03188	abad:ABD1_09710
ko:K03189	abad:ABD1_09720
ko:K03192	abad:ABD1_09730
ko:K05515	abad:ABD1_09750
ko:K10773	abad:ABD1_09800
ko:K00262	abad:ABD1_09820
ko:K00783	abad:ABD1_09850
ko:K01338	abad:ABD1_09860
ko:K02013	abad:ABD1_18110
ko:K02015	abad:ABD1_18120
ko:K02016	abad:ABD1_18130
ko:K13979	abad:ABD1_18140
ko:K03543	abad:ABD1_18250
ko:K03710	abad:ABD1_18300
ko:K03453	abad:ABD1_18400
ko:K03885	abad:ABD1_18520
ko:K07443	abad:ABD1_26420
ko:K07282	abad:ABD1_26440
ko:K09781	abad:ABD1_26470
ko:K01867	abad:ABD1_26480
ko:K01902	abad:ABD1_26490
ko:K01903	abad:ABD1_26500
ko:K00382	abad:ABD1_26510
ko:K00658	abad:ABD1_26520
ko:K00164	abad:ABD1_26530
ko:K00240	abad:ABD1_26540
ko:K00239	abad:ABD1_26550
ko:K00242	abad:ABD1_26560
ko:K01647	abad:ABD1_26580
ko:K06938	abad:ABD1_26590
ko:K07146	abad:ABD1_26600
ko:K07039	abad:ABD1_26620
ko:K03086	abad:ABD1_26640
ko:K09158	abad:ABD1_26650
ko:K03801	abad:ABD1_26660
ko:K03216	abad:ABD1_26720
ko:K02302	abad:ABD1_26730
ko:K01875	abad:ABD1_26740
ko:K03634	abad:ABD1_26760
ko:K02899	abad:ABD1_26770
ko:K02888	abad:ABD1_26780
ko:K02523	abad:ABD1_26790
ko:K03585	abad:ABD1_26820
ko:K01873	abad:ABD1_26900
ko:K07088	abad:ABD1_26930
ko:K00324	abad:ABD1_05730
ko:K00324	abad:ABD1_05740
ko:K00325	abad:ABD1_05750
ko:K09710	abad:ABD1_05770
ko:K07678	abad:ABD1_05810
ko:K12339	abad:ABD1_05820
ko:K07501	abad:ABD1_05830
ko:K03215	abad:ABD1_05840
ko:K02237	abad:ABD1_05880
ko:K00950	abad:ABD1_05900
ko:K00606	abad:ABD1_05910
ko:K01918	abad:ABD1_05920
ko:K06958	abad:ABD1_05930
ko:K09889	abad:ABD1_05950
ko:K01868	abad:ABD1_05970
ko:K02520	abad:ABD1_05980
ko:K02916	abad:ABD1_06020
ko:K02887	abad:ABD1_06030
ko:K01889	abad:ABD1_06070
ko:K01890	abad:ABD1_06080
ko:K04764	abad:ABD1_06090
ko:K03628	abad:ABD1_06110
ko:K03671	abad:ABD1_06120
ko:K01524	abad:ABD1_06130
ko:K01962	abad:ABD1_06140
ko:K04075	abad:ABD1_06150
ko:K00286	abad:ABD1_06160
ko:K02221	abad:ABD1_06170
ko:K00425	abad:ABD1_14350
ko:K15551	abad:ABD1_14420
ko:K15552	abad:ABD1_14440
ko:K03119	abad:ABD1_14450
ko:K16841	abad:ABD1_14460
ko:K03387	abad:ABD1_14580
ko:K00640	abad:ABD1_14610
ko:K15396	abad:ABD1_14620
ko:K02337	abad:ABD1_14630
ko:K05597	abad:ABD1_14640
ko:K14260	abad:ABD1_14660
ko:K00432	abad:ABD1_14680
ko:K14267	abad:ABD1_14710
ko:K00990	abad:ABD1_14720
ko:K08289	abad:ABD1_14730
ko:K06942	abad:ABD1_14810
ko:K02072	abad:ABD1_14820
ko:K02071	abad:ABD1_14830
ko:K02073	abad:ABD1_14840
ko:K02073	abad:ABD1_14850
ko:K09916	abad:ABD1_22800
ko:K00858	abad:ABD1_22810
ko:K05365	abad:ABD1_22820
ko:K00528	abad:ABD1_22920
ko:K08303	abad:ABD1_22950
ko:K10017	abad:ABD1_22980
ko:K10015	abad:ABD1_22990
ko:K10016	abad:ABD1_23000
ko:K00600	abad:ABD1_23060
ko:K10857	abad:ABD1_23100
ko:K06879	abad:ABD1_23140
ko:K05837	abad:ABD1_23160
ko:K03642	abad:ABD1_23180
ko:K02357	abad:ABD1_23230
ko:K02967	abad:ABD1_23240
ko:K01265	abad:ABD1_23250
ko:K02575	abad:ABD1_23270
ko:K00322	abad:ABD1_23300
ko:K03644	abad:ABD1_23310
ko:K01740	abad:ABD1_31050
ko:K01673	abad:ABD1_31070
ko:K06959	abad:ABD1_31080
ko:K07659	abad:ABD1_31090
ko:K07638	abad:ABD1_31100
ko:K01693	abad:ABD1_31140
ko:K02501	abad:ABD1_31150
ko:K01814	abad:ABD1_31180
ko:K02204	abad:ABD1_31230
ko:K02500	abad:ABD1_31240
ko:K06188	abad:ABD1_31270
ko:K01173	abad:ABD1_31300
ko:K03549	abad:ABD1_31320
ko:K07007	abad:ABD1_03570
ko:K06199	abad:ABD1_03590
ko:K02909	abad:ABD1_03610
ko:K03327	abad:ABD1_03650
ko:K09936	abad:ABD1_03660
ko:K13776	abad:ABD1_03700
ko:K08300	abad:ABD1_03710
ko:K01091	abad:ABD1_03740
ko:K05817	abad:ABD1_03780
ko:K03782	abad:ABD1_03810
ko:K08484	abad:ABD1_03820
ko:K08311	abad:ABD1_03830
ko:K01703	abad:ABD1_03870
ko:K01704	abad:ABD1_03880
ko:K00052	abad:ABD1_03900
ko:K02518	abad:ABD1_03920
ko:K06173	abad:ABD1_03940
ko:K00133	abad:ABD1_03980
ko:K11102	abad:ABD1_04000
ko:K02517	abad:ABD1_04020
ko:K15738	abad:ABD1_04040
ko:K03745	abad:ABD1_04050
ko:K05783	abad:ABD1_12210
ko:K05784	abad:ABD1_12220
ko:K05550	abad:ABD1_12230
ko:K05549	abad:ABD1_12240
ko:K03601	abad:ABD1_12350
ko:K03704	abad:ABD1_12410
ko:K00286	abad:ABD1_12430
ko:K08995	abad:ABD1_12520
ko:K07458	abad:ABD1_12570
ko:K01883	abad:ABD1_12580
ko:K06041	abad:ABD1_12590
ko:K03270	abad:ABD1_12600
ko:K11719	abad:ABD1_12610
ko:K09774	abad:ABD1_12620
ko:K06861	abad:ABD1_12630
ko:K12543	abad:ABD1_12640
ko:K12541	abad:ABD1_12650
ko:K12542	abad:ABD1_12660
ko:K07275	abad:ABD1_20730
ko:K16088	abad:ABD1_20740
ko:K03824	abad:ABD1_20750
ko:K16053	abad:ABD1_20800
ko:K01256	abad:ABD1_20930
ko:K00878	abad:ABD1_20960
ko:K13954	abad:ABD1_20990
ko:K03735	abad:ABD1_21040
ko:K03736	abad:ABD1_21050
ko:K01951	abad:ABD1_21060
ko:K01886	abad:ABD1_21070
ko:K03269	abad:ABD1_21090
ko:K10679	abad:ABD1_21100
ko:K03666	abad:ABD1_21120
ko:K00791	abad:ABD1_21130
ko:K03572	abad:ABD1_21140
ko:K06925	abad:ABD1_21150
ko:K07115	abad:ABD1_29060
ko:K07394	abad:ABD1_29070
ko:K00024	abad:ABD1_29100
ko:K01166	abad:ABD1_29110
ko:K08309	abad:ABD1_29120
ko:K06168	abad:ABD1_29130
ko:K07042	abad:ABD1_29150
ko:K03832	abad:ABD1_29160
ko:K03816	abad:ABD1_29190
ko:K03809	abad:ABD1_29200
ko:K07058	abad:ABD1_29210
ko:K07078	abad:ABD1_29260
ko:K12573	abad:ABD1_29290
ko:K01414	abad:ABD1_29300
ko:K07070	abad:ABD1_29310
ko:K09159	abad:ABD1_29370
ko:K02879	abad:ABD1_29400
ko:K03040	abad:ABD1_29410
ko:K02986	abad:ABD1_29420
ko:K02948	abad:ABD1_29430
ko:K02952	abad:ABD1_29440
ko:K02919	abad:ABD1_29450
ko:K03076	abad:ABD1_29460
ko:K02876	abad:ABD1_29470
ko:K03417	abad:ABD1_00760
ko:K17716	abad:ABD1_00580
ko:K03559	abad:ABD1_15630
ko:K03559	abad:ABD1_15900
ko:K03559	abad:ABD1_15910
ko:K08316	abad:ABD1_09740
ko:K03559	abad:ABD1_04250
ko:K00265	abad:ABD1_30720
ko:K09966	abad:ABD1_15510
ko:K11085	abad:ABD1_15640
ko:K01759	abad:ABD1_24150
ko:K07258	abad:ABD1_24230
ko:K04774	abad:ABD1_24310
ko:K00088	abad:ABD1_32160
ko:K02014	abad:ABD1_32190
ko:K02014	abad:ABD1_32350
ko:K16839	abad:ABD1_32520
ko:K01104	abad:ABD1_00500
ko:K01784	abad:ABD1_00680
ko:K00101	abad:ABD1_00720
ko:K07126	abad:ABD1_00830
ko:K06177	abad:ABD1_00910
ko:K02014	abad:ABD1_00940
ko:K01785	abad:ABD1_09180
ko:K00548	abad:ABD1_09250
ko:K00121	abad:ABD1_17650
ko:K01596	abad:ABD1_26210
ko:K01113	abad:ABD1_26280
ko:K02427	abad:ABD1_26330
ko:K04763	abad:ABD1_02250
ko:K01515	abad:ABD1_02340
ko:K03298	abad:ABD1_02380
ko:K01719	abad:ABD1_02460
ko:K02463	abad:ABD1_02510
ko:K01262	abad:ABD1_10570
ko:K02014	abad:ABD1_10800
ko:K00219	abad:ABD1_10850
ko:K07019	abad:ABD1_19220
ko:K00219	abad:ABD1_19250
ko:K03499	abad:ABD1_19390
ko:K03498	abad:ABD1_19400
ko:K09909	abad:ABD1_19500
ko:K00380	abad:ABD1_27470
ko:K01439	abad:ABD1_27530
ko:K02660	abad:ABD1_27570
ko:K02659	abad:ABD1_27580
ko:K02658	abad:ABD1_27590
ko:K02657	abad:ABD1_27600
ko:K02014	abad:ABD1_27740
ko:K10563	abad:ABD1_27760
ko:K03769	abad:ABD1_27770
ko:K00564	abad:ABD1_27820
ko:K04085	abad:ABD1_03470
ko:K10914	abad:ABD1_11920
ko:K03743	abad:ABD1_11980
ko:K00799	abad:ABD1_12060
ko:K07004	abad:ABD1_12080
ko:K00799	abad:ABD1_12090
ko:K03386	abad:ABD1_12150
ko:K11179	abad:ABD1_20180
ko:K03635	abad:ABD1_20240
ko:K01104	abad:ABD1_20470
ko:K08167	abad:ABD1_20530
ko:K00059	abad:ABD1_20570
ko:K00626	abad:ABD1_20580
ko:K00616	abad:ABD1_20610
ko:K07098	abad:ABD1_28790
ko:K01525	abad:ABD1_28860
ko:K00970	abad:ABD1_05890
ko:K00666	abad:ABD1_05960
ko:K10831	abad:ABD1_14430
ko:K03325	abad:ABD1_14550
ko:K07305	abad:ABD1_14670
ko:K03574	abad:ABD1_22840
ko:K02454	abad:ABD1_22890
ko:K08305	abad:ABD1_23170
ko:K06179	abad:ABD1_03730
ko:K00799	abad:ABD1_03760
ko:K01424	abad:ABD1_03950
ko:K07213	abad:ABD1_12260
ko:K05524	abad:ABD1_12720
ko:K02014	abad:ABD1_20810
ko:K04093	abad:ABD1_20850
ko:K00799	abad:ABD1_20880
ko:K07346	abad:ABD1_20910
ko:K01826	abad:ABD1_20970
ko:K03768	abad:ABD1_21080
ko:K06177	abad:ABD1_21160
ko:K06183	abad:ABD1_21190
ko:K03593	abad:ABD1_07350
ko:K01243	abad:ABD1_07370
ko:K00652	abad:ABD1_07630
ko:K00059	abad:ABD1_07740
ko:K02014	abad:ABD1_15940
ko:K02033	abad:ABD1_15980
ko:K01082	abad:ABD1_16030
ko:K13628	abad:ABD1_16170
ko:K04488	abad:ABD1_16180
ko:K02014	abad:ABD1_16390
ko:K00508	abad:ABD1_24450
ko:K06177	abad:ABD1_24500
ko:K07263	abad:ABD1_24580
ko:K07258	abad:ABD1_24690
ko:K07657	abad:ABD1_32770
ko:K01011	abad:ABD1_32810
ko:K01479	abad:ABD1_33040
ko:K02014	abad:ABD1_01700
ko:K07273	abad:ABD1_01850
ko:K01507	abad:ABD1_01960
ko:K09806	abad:ABD1_02030
ko:K02014	abad:ABD1_10500
ko:K00276	abad:ABD1_18770
ko:K00059	abad:ABD1_18810
ko:K01426	abad:ABD1_18870
ko:K01607	abad:ABD1_19070
ko:K07666	abad:ABD1_26980
ko:K02433	abad:ABD1_27300
ko:K07386	abad:ABD1_27360
ko:K03455	abad:ABD1_04170
ko:K07304	abad:ABD1_04260
ko:K02428	abad:ABD1_04400
ko:K03299	abad:ABD1_04580
ko:K00851	abad:ABD1_04590
ko:K11263	abad:ABD1_12950
ko:K07126	abad:ABD1_12970
ko:K01941	abad:ABD1_13050
ko:K02051	abad:ABD1_13120
ko:K02050	abad:ABD1_13140
ko:K01760	abad:ABD1_29690
ko:K03574	abad:ABD1_29820
ko:K02067	abad:ABD1_29870
ko:K01092	abad:ABD1_29920
ko:K01243	abad:ABD1_00220
ko:K00568	abad:ABD1_00340
ko:K03711	abad:ABD1_08410
ko:K03153	abad:ABD1_08510
ko:K02051	abad:ABD1_17120
ko:K02050	abad:ABD1_17130
ko:K02049	abad:ABD1_17140
ko:K02014	abad:ABD1_17180
ko:K00626	abad:ABD1_17240
ko:K02017	abad:ABD1_17450
ko:K01081	abad:ABD1_17490
ko:K03560	abad:ABD1_25440
ko:K02238	abad:ABD1_25630
ko:K00799	abad:ABD1_33650
ko:K05794	abad:ABD1_33840
ko:K01692	abad:ABD1_01070
ko:K00799	abad:ABD1_01400
ko:K00027	abad:ABD1_01430
ko:K09815	abad:ABD1_01490
ko:K02116	abad:ABD1_01500
ko:K02004	abad:ABD1_09400
ko:K00939	abad:ABD1_09780
ko:K03616	abad:ABD1_09810
ko:K01934	abad:ABD1_09900
ko:K03316	abad:ABD1_26450
ko:K07054	abad:ABD1_26460
ko:K00241	abad:ABD1_26570
ko:K02454	abad:ABD1_06220
ko:K00567	abad:ABD1_06600
ko:K01488	abad:ABD1_06630
ko:K00799	abad:ABD1_14890
ko:K06445	abad:ABD1_23320
ko:K01607	abad:ABD1_23330
ko:K00974	abad:ABD1_23400
ko:K03286	abad:ABD1_27860
ko:K00626	abad:ABD1_27880
ko:K04750	abad:ABD1_27890
ko:K00626	abad:ABD1_27970
ko:K02653	abad:ABD1_03040
ko:K00882	abad:ABD1_19680
ko:K01679	abad:ABD1_20130
ko:K01784	abad:ABD1_20140
