ko:K02495	seen:SE451236_00885
ko:K04020	seen:SE451236_18555
ko:K04032	seen:SE451236_18560
ko:K04030	seen:SE451236_18565
ko:K04029	seen:SE451236_18570
ko:K04031	seen:SE451236_18575
ko:K02956	seen:SE451236_22510
ko:K02834	seen:SE451236_22520
ko:K02519	seen:SE451236_22525
ko:K02600	seen:SE451236_22530
ko:K09748	seen:SE451236_22535
ko:K01940	seen:SE451236_22545
ko:K03075	seen:SE451236_22560
ko:K03431	seen:SE451236_22565
ko:K00796	seen:SE451236_22570
ko:K03798	seen:SE451236_22580
ko:K07574	seen:SE451236_22590
ko:K03624	seen:SE451236_22595
ko:K07259	seen:SE451236_22605
ko:K03979	seen:SE451236_22615
ko:K02899	seen:SE451236_22625
ko:K02888	seen:SE451236_22630
ko:K02523	seen:SE451236_22635
ko:K00790	seen:SE451236_22645
ko:K01223	seen:SE451236_02040
ko:K07507	seen:SE451236_02095
ko:K01531	seen:SE451236_02100
ko:K01811	seen:SE451236_02170
ko:K06145	seen:SE451236_02440
ko:K03216	seen:SE451236_02445
ko:K14348	seen:SE451236_02455
ko:K00427	seen:SE451236_02460
ko:K14762	seen:SE451236_02475
ko:K02562	seen:SE451236_02485
ko:K00009	seen:SE451236_02490
ko:K01042	seen:SE451236_02505
ko:K03833	seen:SE451236_02510
ko:K00138	seen:SE451236_02520
ko:K09955	seen:SE451236_02525
ko:K00880	seen:SE451236_02550
ko:K08092	seen:SE451236_02580
ko:K00835	seen:SE451236_02595
ko:K02529	seen:SE451236_02615
ko:K01805	seen:SE451236_02620
ko:K01878	seen:SE451236_02645
ko:K01879	seen:SE451236_02650
ko:K03704	seen:SE451236_02675
ko:K07726	seen:SE451236_02680
ko:K03826	seen:SE451236_02705
ko:K01246	seen:SE451236_02710
ko:K07347	seen:SE451236_02730
ko:K12975	seen:SE451236_02740
ko:K12368	seen:SE451236_02765
ko:K12369	seen:SE451236_02770
ko:K12370	seen:SE451236_02775
ko:K00694	seen:SE451236_02820
ko:K11103	seen:SE451236_02845
ko:K00874	seen:SE451236_02855
ko:K07290	seen:SE451236_02865
ko:K07058	seen:SE451236_02875
ko:K01194	seen:SE451236_02900
ko:K03710	seen:SE451236_02905
ko:K07115	seen:SE451236_02935
ko:K01414	seen:SE451236_02945
ko:K15984	seen:SE451236_02950
ko:K03305	seen:SE451236_02955
ko:K06144	seen:SE451236_02965
ko:K16322	seen:SE451236_02970
ko:K07007	seen:SE451236_02975
ko:K01993	seen:SE451236_02980
ko:K13926	seen:SE451236_02985
ko:K07722	seen:SE451236_02995
ko:K06133	seen:SE451236_03000
ko:K09125	seen:SE451236_03020
ko:K01534	seen:SE451236_03035
ko:K08993	seen:SE451236_03050
ko:K03110	seen:SE451236_03060
ko:K09812	seen:SE451236_03065
ko:K09811	seen:SE451236_03070
ko:K03089	seen:SE451236_03075
ko:K01999	seen:SE451236_03080
ko:K01999	seen:SE451236_03090
ko:K01997	seen:SE451236_03095
ko:K01998	seen:SE451236_03100
ko:K01995	seen:SE451236_03105
ko:K01996	seen:SE451236_03110
ko:K07341	seen:SE451236_03120
ko:K05813	seen:SE451236_03125
ko:K01126	seen:SE451236_03145
ko:K09936	seen:SE451236_03165
ko:K06911	seen:SE451236_03195
ko:K06145	seen:SE451236_03200
ko:K06156	seen:SE451236_03210
ko:K00133	seen:SE451236_03215
ko:K00975	seen:SE451236_03230
ko:K00703	seen:SE451236_03235
ko:K00688	seen:SE451236_03240
ko:K01687	seen:SE451236_03255
ko:K00005	seen:SE451236_03265
ko:K02040	seen:SE451236_03270
ko:K00111	seen:SE451236_03280
ko:K02439	seen:SE451236_03285
ko:K02444	seen:SE451236_03295
ko:K14414	seen:SE451236_03300
ko:K14415	seen:SE451236_03310
ko:K03556	seen:SE451236_03330
ko:K00688	seen:SE451236_03335
ko:K00705	seen:SE451236_03340
ko:K06155	seen:SE451236_03345
ko:K07400	seen:SE451236_03350
ko:K02170	seen:SE451236_03360
ko:K07490	seen:SE451236_03370
ko:K04759	seen:SE451236_03375
ko:K04758	seen:SE451236_03380
ko:K06959	seen:SE451236_03385
ko:K04760	seen:SE451236_03390
ko:K07659	seen:SE451236_03395
ko:K07638	seen:SE451236_03400
ko:K01610	seen:SE451236_03405
ko:K04083	seen:SE451236_03415
ko:K04762	seen:SE451236_03420
ko:K08312	seen:SE451236_03435
ko:K05366	seen:SE451236_03440
ko:K12288	seen:SE451236_03445
ko:K12289	seen:SE451236_03450
ko:K12290	seen:SE451236_03455
ko:K12291	seen:SE451236_03460
ko:K02507	seen:SE451236_03465
ko:K00891	seen:SE451236_03470
ko:K01735	seen:SE451236_03475
ko:K03112	seen:SE451236_03480
ko:K01783	seen:SE451236_03490
ko:K01091	seen:SE451236_03495
ko:K01867	seen:SE451236_03500
ko:K12516	seen:SE451236_03515
ko:K02302	seen:SE451236_03520
ko:K02598	seen:SE451236_03525
ko:K00363	seen:SE451236_03530
ko:K00362	seen:SE451236_03535
ko:K06141	seen:SE451236_03540
ko:K04095	seen:SE451236_03555
ko:K07397	seen:SE451236_03580
ko:K00855	seen:SE451236_03585
ko:K06158	seen:SE451236_03610
ko:K07070	seen:SE451236_03625
ko:K03775	seen:SE451236_03630
ko:K03745	seen:SE451236_03635
ko:K07235	seen:SE451236_03650
ko:K07236	seen:SE451236_03655
ko:K07237	seen:SE451236_03660
ko:K02950	seen:SE451236_03665
ko:K02992	seen:SE451236_03670
ko:K02355	seen:SE451236_03675
ko:K02358	seen:SE451236_03680
ko:K02192	seen:SE451236_03685
ko:K03594	seen:SE451236_03690
ko:K02946	seen:SE451236_03700
ko:K02906	seen:SE451236_03705
ko:K02926	seen:SE451236_03710
ko:K02892	seen:SE451236_03715
ko:K02886	seen:SE451236_03720
ko:K02965	seen:SE451236_03725
ko:K02890	seen:SE451236_03730
ko:K02982	seen:SE451236_03735
ko:K02878	seen:SE451236_03740
ko:K02904	seen:SE451236_03745
ko:K02961	seen:SE451236_03750
ko:K02874	seen:SE451236_03755
ko:K02895	seen:SE451236_03760
ko:K02931	seen:SE451236_03765
ko:K02954	seen:SE451236_03770
ko:K02994	seen:SE451236_03775
ko:K02933	seen:SE451236_03780
ko:K02881	seen:SE451236_03785
ko:K02988	seen:SE451236_03790
ko:K02907	seen:SE451236_03795
ko:K02876	seen:SE451236_03800
ko:K03076	seen:SE451236_03805
ko:K02952	seen:SE451236_03810
ko:K02948	seen:SE451236_03815
ko:K02986	seen:SE451236_03820
ko:K03040	seen:SE451236_03825
ko:K07122	seen:SE451236_22655
ko:K07323	seen:SE451236_22660
ko:K02066	seen:SE451236_22670
ko:K02065	seen:SE451236_22675
ko:K07301	seen:SE451236_22680
ko:K06041	seen:SE451236_22685
ko:K03270	seen:SE451236_22690
ko:K11719	seen:SE451236_22695
ko:K09774	seen:SE451236_22700
ko:K06861	seen:SE451236_22705
ko:K03092	seen:SE451236_22710
ko:K05808	seen:SE451236_22715
ko:K06958	seen:SE451236_22725
ko:K03814	seen:SE451236_22740
ko:K07648	seen:SE451236_22750
ko:K07139	seen:SE451236_22755
ko:K02879	seen:SE451236_03830
ko:K03282	seen:SE451236_03845
ko:K03500	seen:SE451236_03855
ko:K00604	seen:SE451236_03860
ko:K01462	seen:SE451236_03865
ko:K04096	seen:SE451236_03870
ko:K07479	seen:SE451236_03880
ko:K07566	seen:SE451236_03885
ko:K00014	seen:SE451236_03890
ko:K03827	seen:SE451236_03935
ko:K00651	seen:SE451236_03940
ko:K01638	seen:SE451236_03945
ko:K01637	seen:SE451236_03950
ko:K00906	seen:SE451236_03955
ko:K03324	seen:SE451236_03975
ko:K05995	seen:SE451236_03980
ko:K09912	seen:SE451236_03985
ko:K06182	seen:SE451236_03990
ko:K03453	seen:SE451236_04000
ko:K00928	seen:SE451236_04135
ko:K01810	seen:SE451236_04140
ko:K13256	seen:SE451236_04165
ko:K10110	seen:SE451236_04170
ko:K10109	seen:SE451236_04175
ko:K10108	seen:SE451236_04180
ko:K10111	seen:SE451236_04185
ko:K02024	seen:SE451236_04190
ko:K05775	seen:SE451236_04195
ko:K03181	seen:SE451236_04200
ko:K03179	seen:SE451236_04205
ko:K00631	seen:SE451236_04210
ko:K00901	seen:SE451236_04215
ko:K01356	seen:SE451236_04220
ko:K03327	seen:SE451236_04225
ko:K09823	seen:SE451236_04240
ko:K05539	seen:SE451236_04250
ko:K01775	seen:SE451236_04270
ko:K00832	seen:SE451236_04275
ko:K03788	seen:SE451236_04280
ko:K03701	seen:SE451236_04305
ko:K13631	seen:SE451236_04355
ko:K13639	seen:SE451236_04360
ko:K06901	seen:SE451236_04370
ko:K14393	seen:SE451236_04400
ko:K01895	seen:SE451236_04410
ko:K03385	seen:SE451236_04415
ko:K04013	seen:SE451236_04420
ko:K04014	seen:SE451236_04425
ko:K04016	seen:SE451236_04435
ko:K11102	seen:SE451236_04445
ko:K09994	seen:SE451236_04470
ko:K06193	seen:SE451236_04480
ko:K03762	seen:SE451236_04485
ko:K07643	seen:SE451236_04495
ko:K07771	seen:SE451236_04500
ko:K03760	seen:SE451236_04505
ko:K03759	seen:SE451236_04510
ko:K03755	seen:SE451236_04515
ko:K01584	seen:SE451236_04525
ko:K07406	seen:SE451236_04535
ko:K01676	seen:SE451236_04545
ko:K07703	seen:SE451236_04555
ko:K07306	seen:SE451236_04565
ko:K09474	seen:SE451236_04625
ko:K04084	seen:SE451236_04650
ko:K03926	seen:SE451236_04655
ko:K07791	seen:SE451236_04660
ko:K01744	seen:SE451236_04665
ko:K07113	seen:SE451236_04670
ko:K16263	seen:SE451236_04675
ko:K04078	seen:SE451236_04680
ko:K04077	seen:SE451236_04685
ko:K02356	seen:SE451236_04705
ko:K16347	seen:SE451236_04710
ko:K16348	seen:SE451236_04715
ko:K03098	seen:SE451236_04730
ko:K00246	seen:SE451236_04740
ko:K04568	seen:SE451236_04755
ko:K01613	seen:SE451236_04775
ko:K06949	seen:SE451236_04780
ko:K13288	seen:SE451236_04785
ko:K09996	seen:SE451236_04790
ko:K06925	seen:SE451236_04820
ko:K01448	seen:SE451236_04825
ko:K03572	seen:SE451236_04830
ko:K00791	seen:SE451236_04835
ko:K03666	seen:SE451236_04840
ko:K03665	seen:SE451236_04845
ko:K04088	seen:SE451236_04850
ko:K04087	seen:SE451236_04855
ko:K09937	seen:SE451236_04860
ko:K01939	seen:SE451236_04865
ko:K13771	seen:SE451236_04870
ko:K12573	seen:SE451236_04875
ko:K03218	seen:SE451236_04880
ko:K09980	seen:SE451236_04885
ko:K10716	seen:SE451236_04895
ko:K08989	seen:SE451236_04905
ko:K09456	seen:SE451236_04920
ko:K03477	seen:SE451236_04940
ko:K03078	seen:SE451236_04965
ko:K02990	seen:SE451236_04985
ko:K02686	seen:SE451236_04990
ko:K02963	seen:SE451236_04995
ko:K02939	seen:SE451236_05000
ko:K07269	seen:SE451236_05010
ko:K03773	seen:SE451236_05015
ko:K11737	seen:SE451236_05020
ko:K07322	seen:SE451236_05025
ko:K07109	seen:SE451236_05055
ko:K07278	seen:SE451236_05075
ko:K09800	seen:SE451236_05080
ko:K03839	seen:SE451236_09495
ko:K03645	seen:SE451236_09510
ko:K01581	seen:SE451236_09530
ko:K07667	seen:SE451236_09540
ko:K07646	seen:SE451236_09545
ko:K01548	seen:SE451236_09550
ko:K01547	seen:SE451236_09555
ko:K01546	seen:SE451236_09560
ko:K01669	seen:SE451236_09575
ko:K03305	seen:SE451236_09580
ko:K07160	seen:SE451236_09600
ko:K07357	seen:SE451236_09610
ko:K01647	seen:SE451236_09675
ko:K00242	seen:SE451236_09685
ko:K00239	seen:SE451236_09690
ko:K00240	seen:SE451236_09695
ko:K00164	seen:SE451236_09700
ko:K00658	seen:SE451236_09705
ko:K01903	seen:SE451236_09710
ko:K01902	seen:SE451236_09715
ko:K00425	seen:SE451236_09725
ko:K00426	seen:SE451236_09730
ko:K03315	seen:SE451236_13685
ko:K14155	seen:SE451236_13690
ko:K06044	seen:SE451236_13700
ko:K02972	seen:SE451236_13730
ko:K08349	seen:SE451236_13750
ko:K02575	seen:SE451236_13790
ko:K00370	seen:SE451236_13795
ko:K00371	seen:SE451236_13800
ko:K00373	seen:SE451236_13805
ko:K00675	seen:SE451236_13820
ko:K11738	seen:SE451236_13830
ko:K03823	seen:SE451236_13860
ko:K09936	seen:SE451236_13865
ko:K00137	seen:SE451236_13900
ko:K08641	seen:SE451236_13910
ko:K08303	seen:SE451236_13930
ko:K05782	seen:SE451236_13940
ko:K00334	seen:SE451236_17825
ko:K13378	seen:SE451236_17830
ko:K00331	seen:SE451236_17835
ko:K00330	seen:SE451236_17840
ko:K14260	seen:SE451236_17850
ko:K09161	seen:SE451236_17870
ko:K09899	seen:SE451236_17875
ko:K00925	seen:SE451236_17880
ko:K13788	seen:SE451236_17885
ko:K00615	seen:SE451236_17895
ko:K00615	seen:SE451236_17900
ko:K07095	seen:SE451236_17935
ko:K07071	seen:SE451236_17950
ko:K10017	seen:SE451236_17955
ko:K10015	seen:SE451236_17960
ko:K10016	seen:SE451236_17965
ko:K10013	seen:SE451236_17975
ko:K03186	seen:SE451236_17980
ko:K01586	seen:SE451236_18000
ko:K06714	seen:SE451236_18005
ko:K00764	seen:SE451236_18010
ko:K03558	seen:SE451236_18015
ko:K03749	seen:SE451236_18025
ko:K11754	seen:SE451236_18030
ko:K01963	seen:SE451236_18035
ko:K03975	seen:SE451236_18040
ko:K06173	seen:SE451236_18045
ko:K03473	seen:SE451236_18055
ko:K00655	seen:SE451236_21990
ko:K02621	seen:SE451236_21995
ko:K13652	seen:SE451236_22000
ko:K03923	seen:SE451236_22020
ko:K02622	seen:SE451236_22030
ko:K07000	seen:SE451236_22035
ko:K03651	seen:SE451236_22040
ko:K09920	seen:SE451236_22045
ko:K12340	seen:SE451236_22055
ko:K07238	seen:SE451236_22075
ko:K03673	seen:SE451236_22090
ko:K03611	seen:SE451236_22095
ko:K03272	seen:SE451236_22125
ko:K00982	seen:SE451236_22130
ko:K07184	seen:SE451236_22140
ko:K06153	seen:SE451236_22150
ko:K01633	seen:SE451236_22155
ko:K08591	seen:SE451236_22160
ko:K02970	seen:SE451236_22175
ko:K03086	seen:SE451236_22185
ko:K07229	seen:SE451236_22200
ko:K11391	seen:SE451236_22230
ko:K07043	seen:SE451236_22235
ko:K02015	seen:SE451236_08975
ko:K02015	seen:SE451236_08980
ko:K02016	seen:SE451236_08990
ko:K02361	seen:SE451236_08995
ko:K02363	seen:SE451236_09000
ko:K01252	seen:SE451236_09005
ko:K00216	seen:SE451236_09010
ko:K06200	seen:SE451236_09020
ko:K08317	seen:SE451236_09030
ko:K14287	seen:SE451236_09035
ko:K03805	seen:SE451236_09055
ko:K03387	seen:SE451236_09065
ko:K11932	seen:SE451236_09090
ko:K06140	seen:SE451236_09100
ko:K01169	seen:SE451236_09105
ko:K05964	seen:SE451236_09125
ko:K01643	seen:SE451236_09130
ko:K01644	seen:SE451236_09135
ko:K01646	seen:SE451236_09140
ko:K01910	seen:SE451236_09145
ko:K07700	seen:SE451236_09150
ko:K07702	seen:SE451236_09155
ko:K12973	seen:SE451236_09165
ko:K03704	seen:SE451236_09170
ko:K06199	seen:SE451236_09175
ko:K03425	seen:SE451236_09185
ko:K03644	seen:SE451236_09190
ko:K03801	seen:SE451236_09200
ko:K09158	seen:SE451236_09205
ko:K03642	seen:SE451236_09215
ko:K05837	seen:SE451236_09220
ko:K19697	seen:SE451236_16495
ko:K05515	seen:SE451236_09225
ko:K00783	seen:SE451236_09230
ko:K01809	seen:SE451236_13200
ko:K01676	seen:SE451236_13205
ko:K07639	seen:SE451236_13220
ko:K07661	seen:SE451236_13240
ko:K03758	seen:SE451236_13250
ko:K00324	seen:SE451236_13260
ko:K00325	seen:SE451236_13265
ko:K11744	seen:SE451236_13270
ko:K11743	seen:SE451236_13280
ko:K11742	seen:SE451236_13285
ko:K04775	seen:SE451236_13290
ko:K08224	seen:SE451236_13305
ko:K15545	seen:SE451236_13315
ko:K01935	seen:SE451236_13320
ko:K03281	seen:SE451236_13325
ko:K05847	seen:SE451236_13330
ko:K05846	seen:SE451236_13335
ko:K05845	seen:SE451236_13340
ko:K05846	seen:SE451236_13345
ko:K07310	seen:SE451236_13365
ko:K09771	seen:SE451236_13395
ko:K08323	seen:SE451236_13400
ko:K08322	seen:SE451236_13405
ko:K06899	seen:SE451236_17330
ko:K09904	seen:SE451236_17335
ko:K07014	seen:SE451236_17340
ko:K07685	seen:SE451236_17430
ko:K02199	seen:SE451236_17440
ko:K02198	seen:SE451236_17445
ko:K02197	seen:SE451236_17450
ko:K02196	seen:SE451236_17455
ko:K02195	seen:SE451236_17460
ko:K02194	seen:SE451236_17465
ko:K02568	seen:SE451236_17480
ko:K02573	seen:SE451236_17490
ko:K02567	seen:SE451236_17495
ko:K02570	seen:SE451236_17500
ko:K02572	seen:SE451236_17505
ko:K08276	seen:SE451236_17510
ko:K06159	seen:SE451236_17515
ko:K03919	seen:SE451236_17520
ko:K10778	seen:SE451236_17525
ko:K03734	seen:SE451236_17530
ko:K09475	seen:SE451236_17535
ko:K07676	seen:SE451236_17540
ko:K07687	seen:SE451236_17545
ko:K07677	seen:SE451236_17550
ko:K02469	seen:SE451236_17555
ko:K01624	seen:SE451236_21455
ko:K00927	seen:SE451236_21460
ko:K03472	seen:SE451236_21465
ko:K16785	seen:SE451236_21480
ko:K00615	seen:SE451236_21495
ko:K07387	seen:SE451236_21500
ko:K00789	seen:SE451236_21565
ko:K08137	seen:SE451236_21570
ko:K02742	seen:SE451236_21575
ko:K01150	seen:SE451236_21580
ko:K09761	seen:SE451236_21585
ko:K01920	seen:SE451236_21590
ko:K07735	seen:SE451236_21595
ko:K07447	seen:SE451236_21600
ko:K02669	seen:SE451236_21610
ko:K06997	seen:SE451236_21615
ko:K02221	seen:SE451236_21620
ko:K09131	seen:SE451236_21625
ko:K09923	seen:SE451236_21655
ko:K03439	seen:SE451236_21660
ko:K03575	seen:SE451236_21665
ko:K08306	seen:SE451236_21675
ko:K01581	seen:SE451236_21680
ko:K07150	seen:SE451236_21690
ko:K02343	seen:SE451236_08440
ko:K09747	seen:SE451236_08445
ko:K06187	seen:SE451236_08450
ko:K04079	seen:SE451236_08455
ko:K01772	seen:SE451236_08465
ko:K08223	seen:SE451236_08490
ko:K09973	seen:SE451236_08505
ko:K07340	seen:SE451236_08525
ko:K02068	seen:SE451236_08535
ko:K02069	seen:SE451236_08540
ko:K05838	seen:SE451236_08545
ko:K10804	seen:SE451236_08555
ko:K02003	seen:SE451236_08560
ko:K02073	seen:SE451236_08580
ko:K02071	seen:SE451236_08585
ko:K02072	seen:SE451236_08590
ko:K06917	seen:SE451236_08595
ko:K10972	seen:SE451236_08600
ko:K01483	seen:SE451236_08605
ko:K10973	seen:SE451236_08610
ko:K01608	seen:SE451236_08615
ko:K10975	seen:SE451236_08635
ko:K00865	seen:SE451236_08650
ko:K14977	seen:SE451236_08655
ko:K02083	seen:SE451236_08660
ko:K00926	seen:SE451236_08685
ko:K01589	seen:SE451236_08690
ko:K01588	seen:SE451236_08695
ko:K03269	seen:SE451236_08700
ko:K03785	seen:SE451236_12660
ko:K05887	seen:SE451236_12665
ko:K06956	seen:SE451236_12705
ko:K05997	seen:SE451236_12710
ko:K09014	seen:SE451236_12715
ko:K09013	seen:SE451236_12720
ko:K09015	seen:SE451236_12725
ko:K11717	seen:SE451236_12730
ko:K02426	seen:SE451236_12735
ko:K00873	seen:SE451236_12755
ko:K03219	seen:SE451236_12835
ko:K03220	seen:SE451236_12840
ko:K03221	seen:SE451236_12895
ko:K07289	seen:SE451236_16810
ko:K01494	seen:SE451236_16815
ko:K00876	seen:SE451236_16820
ko:K01247	seen:SE451236_16830
ko:K04046	seen:SE451236_16835
ko:K07799	seen:SE451236_16840
ko:K07788	seen:SE451236_16845
ko:K07789	seen:SE451236_16850
ko:K07642	seen:SE451236_16860
ko:K07664	seen:SE451236_16865
ko:K08303	seen:SE451236_16885
ko:K00941	seen:SE451236_16930
ko:K00878	seen:SE451236_16935
ko:K07347	seen:SE451236_16950
ko:K01874	seen:SE451236_16975
ko:K02478	seen:SE451236_17000
ko:K05846	seen:SE451236_17015
ko:K05847	seen:SE451236_17020
ko:K05846	seen:SE451236_17025
ko:K05845	seen:SE451236_17030
ko:K05349	seen:SE451236_17035
ko:K03777	seen:SE451236_17040
ko:K07262	seen:SE451236_17045
ko:K06879	seen:SE451236_20935
ko:K06966	seen:SE451236_20940
ko:K03837	seen:SE451236_20945
ko:K01752	seen:SE451236_20950
ko:K01146	seen:SE451236_20955
ko:K00048	seen:SE451236_20960
ko:K01628	seen:SE451236_20965
ko:K02429	seen:SE451236_20970
ko:K01818	seen:SE451236_20975
ko:K02431	seen:SE451236_20985
ko:K02430	seen:SE451236_20990
ko:K06968	seen:SE451236_20995
ko:K01766	seen:SE451236_21015
ko:K02426	seen:SE451236_21020
ko:K08304	seen:SE451236_21035
ko:K01448	seen:SE451236_21050
ko:K14682	seen:SE451236_21055
ko:K03581	seen:SE451236_21060
ko:K03582	seen:SE451236_21065
ko:K01407	seen:SE451236_21070
ko:K03583	seen:SE451236_21075
ko:K02681	seen:SE451236_21080
ko:K02680	seen:SE451236_21090
ko:K02679	seen:SE451236_21095
ko:K13292	seen:SE451236_21110
ko:K08484	seen:SE451236_21115
ko:K08311	seen:SE451236_21120
ko:K03573	seen:SE451236_21125
ko:K08227	seen:SE451236_21145
ko:K05939	seen:SE451236_21150
ko:K02529	seen:SE451236_21155
ko:K01586	seen:SE451236_21165
ko:K01815	seen:SE451236_21190
ko:K00286	seen:SE451236_07945
ko:K09768	seen:SE451236_07950
ko:K00891	seen:SE451236_07955
ko:K14591	seen:SE451236_07965
ko:K09913	seen:SE451236_07970
ko:K03554	seen:SE451236_07975
ko:K00847	seen:SE451236_07980
ko:K03547	seen:SE451236_07995
ko:K07636	seen:SE451236_08010
ko:K03311	seen:SE451236_08015
ko:K11736	seen:SE451236_08020
ko:K08682	seen:SE451236_08035
ko:K07568	seen:SE451236_08040
ko:K00773	seen:SE451236_08045
ko:K03210	seen:SE451236_08050
ko:K03072	seen:SE451236_08055
ko:K03074	seen:SE451236_08060
ko:K06996	seen:SE451236_08065
ko:K05517	seen:SE451236_08085
ko:K07738	seen:SE451236_08095
ko:K11752	seen:SE451236_08100
ko:K00794	seen:SE451236_08105
ko:K03625	seen:SE451236_08110
ko:K00946	seen:SE451236_08115
ko:K01095	seen:SE451236_08120
ko:K01662	seen:SE451236_08130
ko:K00795	seen:SE451236_08135
ko:K03602	seen:SE451236_08140
ko:K03151	seen:SE451236_08145
ko:K11082	seen:SE451236_08150
ko:K11083	seen:SE451236_08155
ko:K11084	seen:SE451236_08160
ko:K11081	seen:SE451236_08165
ko:K02034	seen:SE451236_12145
ko:K11250	seen:SE451236_12210
ko:K09712	seen:SE451236_12235
ko:K03449	seen:SE451236_12250
ko:K09786	seen:SE451236_12280
ko:K07180	seen:SE451236_12285
ko:K06871	seen:SE451236_12295
ko:K01792	seen:SE451236_12305
ko:K00134	seen:SE451236_12315
ko:K09916	seen:SE451236_12325
ko:K08281	seen:SE451236_12330
ko:K04773	seen:SE451236_12340
ko:K01008	seen:SE451236_12350
ko:K00262	seen:SE451236_12360
ko:K08320	seen:SE451236_12370
ko:K01142	seen:SE451236_12375
ko:K00840	seen:SE451236_12380
ko:K00673	seen:SE451236_12385
ko:K02008	seen:SE451236_16315
ko:K02007	seen:SE451236_16325
ko:K03394	seen:SE451236_16330
ko:K05895	seen:SE451236_16340
ko:K02189	seen:SE451236_16350
ko:K05936	seen:SE451236_16355
ko:K02191	seen:SE451236_16360
ko:K02188	seen:SE451236_16370
ko:K06042	seen:SE451236_16375
ko:K02227	seen:SE451236_16380
ko:K02224	seen:SE451236_16385
ko:K13919	seen:SE451236_16415
ko:K13920	seen:SE451236_16420
ko:K13922	seen:SE451236_16465
ko:K04031	seen:SE451236_16485
ko:K04029	seen:SE451236_16490
ko:K16651	seen:SE451236_16500
ko:K09802	seen:SE451236_16505
ko:K07470	seen:SE451236_16515
ko:K08354	seen:SE451236_16525
ko:K01141	seen:SE451236_16545
ko:K03221	seen:SE451236_20460
ko:K02078	seen:SE451236_20500
ko:K03225	seen:SE451236_20550
ko:K03230	seen:SE451236_20575
ko:K07314	seen:SE451236_20630
ko:K03555	seen:SE451236_20640
ko:K11209	seen:SE451236_17945
ko:K13051	seen:SE451236_10270
ko:K13892	seen:SE451236_10275
ko:K13889	seen:SE451236_10280
ko:K13890	seen:SE451236_10285
ko:K13891	seen:SE451236_10290
ko:K14441	seen:SE451236_10295
ko:K03521	seen:SE451236_10310
ko:K03522	seen:SE451236_10315
ko:K00311	seen:SE451236_10330
ko:K11534	seen:SE451236_10355
ko:K08160	seen:SE451236_10365
ko:K07085	seen:SE451236_10385
ko:K11073	seen:SE451236_10420
ko:K11076	seen:SE451236_10425
ko:K11075	seen:SE451236_10430
ko:K11074	seen:SE451236_10435
ko:K03212	seen:SE451236_10445
ko:K09996	seen:SE451236_10465
ko:K09999	seen:SE451236_10475
ko:K09997	seen:SE451236_10480
ko:K11066	seen:SE451236_10500
ko:K01620	seen:SE451236_10515
ko:K00156	seen:SE451236_10520
ko:K01681	seen:SE451236_14495
ko:K13634	seen:SE451236_14510
ko:K03168	seen:SE451236_14515
ko:K06178	seen:SE451236_14540
ko:K07053	seen:SE451236_14550
ko:K01657	seen:SE451236_14555
ko:K13497	seen:SE451236_14560
ko:K13498	seen:SE451236_14565
ko:K01696	seen:SE451236_14570
ko:K01695	seen:SE451236_14575
ko:K07217	seen:SE451236_14595
ko:K07275	seen:SE451236_14600
ko:K06940	seen:SE451236_14605
ko:K06190	seen:SE451236_14615
ko:K10806	seen:SE451236_14620
ko:K03832	seen:SE451236_14625
ko:K09780	seen:SE451236_14630
ko:K06131	seen:SE451236_14640
ko:K09901	seen:SE451236_14645
ko:K10716	seen:SE451236_14650
ko:K15581	seen:SE451236_14670
ko:K15580	seen:SE451236_14675
ko:K04072	seen:SE451236_14685
ko:K00963	seen:SE451236_14700
ko:K07001	seen:SE451236_14710
ko:K09858	seen:SE451236_14715
ko:K01433	seen:SE451236_14720
ko:K00029	seen:SE451236_18585
ko:K00615	seen:SE451236_18595
ko:K12945	seen:SE451236_18610
ko:K07674	seen:SE451236_18630
ko:K06957	seen:SE451236_18655
ko:K01923	seen:SE451236_18665
ko:K07287	seen:SE451236_18670
ko:K01714	seen:SE451236_18675
ko:K03567	seen:SE451236_18680
ko:K03564	seen:SE451236_18685
ko:K10763	seen:SE451236_18710
ko:K00761	seen:SE451236_18720
ko:K01933	seen:SE451236_18725
ko:K11175	seen:SE451236_18730
ko:K00937	seen:SE451236_18735
ko:K01524	seen:SE451236_18740
ko:K01951	seen:SE451236_18770
ko:K03601	seen:SE451236_18780
ko:K13735	seen:SE451236_18800
ko:K03977	seen:SE451236_18810
ko:K01892	seen:SE451236_18825
ko:K15539	seen:SE451236_18835
ko:K06941	seen:SE451236_18840
ko:K00266	seen:SE451236_22770
ko:K10974	seen:SE451236_22780
ko:K00885	seen:SE451236_22795
ko:K03290	seen:SE451236_22805
ko:K03600	seen:SE451236_22820
ko:K03599	seen:SE451236_22825
ko:K02996	seen:SE451236_22835
ko:K02871	seen:SE451236_22840
ko:K06916	seen:SE451236_22845
ko:K09908	seen:SE451236_22850
ko:K04691	seen:SE451236_22860
ko:K01573	seen:SE451236_22880
ko:K03780	seen:SE451236_22885
ko:K00024	seen:SE451236_22910
ko:K03402	seen:SE451236_22915
ko:K03623	seen:SE451236_22935
ko:K03468	seen:SE451236_22940
ko:K15548	seen:SE451236_22945
ko:K03568	seen:SE451236_22960
ko:K08301	seen:SE451236_22970
ko:K06287	seen:SE451236_22975
