ko:K07407	snm:SP70585_2287
ko:K02011	snm:SP70585_1884
ko:K02012	snm:SP70585_1886
ko:K00625	snm:SP70585_1173
ko:K02004	snm:SP70585_0661
ko:K02004	snm:SP70585_0663
ko:K10040	snm:SP70585_0670
ko:K10039	snm:SP70585_0671
ko:K10041	snm:SP70585_0672
ko:K02030	snm:SP70585_0681
ko:K01190	snm:SP70585_0707
ko:K03316	snm:SP70585_0715
ko:K08643	snm:SP70585_0723
ko:K06183	snm:SP70585_0739
ko:K10530	snm:SP70585_0761
ko:K01220	snm:SP70585_0540
ko:K02787	snm:SP70585_0541
ko:K02788	snm:SP70585_0541
ko:K03498	snm:SP70585_0542
ko:K03499	snm:SP70585_0543
ko:K03216	snm:SP70585_0549
ko:K03048	snm:SP70585_0554
ko:K12415	snm:SP70585_2366
ko:K11072	snm:SP70585_1427
ko:K01491	snm:SP70585_0862
ko:K12296	snm:SP70585_0015
ko:K12295	snm:SP70585_2364
ko:K12294	snm:SP70585_2365
ko:K12293	snm:SP70585_0110
ko:K03574	snm:SP70585_0855
ko:K03492	snm:SP70585_2106
ko:K07133	snm:SP70585_0363
ko:K02073	snm:SP70585_0223
ko:K01439	snm:SP70585_0224
ko:K02071	snm:SP70585_0225
ko:K02072	snm:SP70585_0226
ko:K03647	snm:SP70585_0232
ko:K00794	snm:SP70585_0238
ko:K00793	snm:SP70585_0240
ko:K11752	snm:SP70585_0241
ko:K03550	snm:SP70585_0242
ko:K01246	snm:SP70585_0243
ko:K03284	snm:SP70585_0247
ko:K03701	snm:SP70585_0248
ko:K01262	snm:SP70585_0249
ko:K07447	snm:SP70585_0253
ko:K06131	snm:SP70585_0257
ko:K04068	snm:SP70585_0262
ko:K02946	snm:SP70585_0264
ko:K02906	snm:SP70585_0265
ko:K02926	snm:SP70585_0266
ko:K02892	snm:SP70585_0267
ko:K02886	snm:SP70585_0268
ko:K02965	snm:SP70585_0269
ko:K02890	snm:SP70585_0270
ko:K02982	snm:SP70585_0271
ko:K02878	snm:SP70585_0272
ko:K02904	snm:SP70585_0273
ko:K02961	snm:SP70585_0274
ko:K02874	snm:SP70585_0275
ko:K02895	snm:SP70585_0276
ko:K02931	snm:SP70585_0277
ko:K00627	snm:SP70585_1214
ko:K00162	snm:SP70585_1215
ko:K00161	snm:SP70585_1216
ko:K03327	snm:SP70585_1217
ko:K01465	snm:SP70585_1218
ko:K03648	snm:SP70585_1220
ko:K08483	snm:SP70585_1228
ko:K06191	snm:SP70585_1231
ko:K00525	snm:SP70585_1232
ko:K00526	snm:SP70585_1233
ko:K02530	snm:SP70585_1234
ko:K01220	snm:SP70585_1236
ko:K02787	snm:SP70585_1237
ko:K02788	snm:SP70585_1237
ko:K01635	snm:SP70585_1240
ko:K03596	snm:SP70585_1250
ko:K07313	snm:SP70585_1251
ko:K03631	snm:SP70585_1252
ko:K03402	snm:SP70585_1253
ko:K06442	snm:SP70585_1254
ko:K03602	snm:SP70585_1256
ko:K03601	snm:SP70585_1257
ko:K00876	snm:SP70585_1258
ko:K03177	snm:SP70585_1260
ko:K01740	snm:SP70585_1262
ko:K03217	snm:SP70585_2127
ko:K03536	snm:SP70585_2128
ko:K00925	snm:SP70585_2130
ko:K02245	snm:SP70585_2139
ko:K02244	snm:SP70585_2140
ko:K02243	snm:SP70585_2141
ko:K01443	snm:SP70585_2144
ko:K00773	snm:SP70585_2146
ko:K08987	snm:SP70585_2151
ko:K01733	snm:SP70585_2157
ko:K09698	snm:SP70585_2176
ko:K01810	snm:SP70585_2177
ko:K07010	snm:SP70585_2179
ko:K03555	snm:SP70585_2183
ko:K03402	snm:SP70585_2184
ko:K01887	snm:SP70585_2185
ko:K09705	snm:SP70585_2187
ko:K07658	snm:SP70585_2188
ko:K07636	snm:SP70585_2189
ko:K02040	snm:SP70585_2190
ko:K01071	snm:SP70585_1447
ko:K03768	snm:SP70585_1577
ko:K07491	snm:SP70585_0380
ko:K12270	snm:SP70585_1801
ko:K04767	snm:SP70585_0799
ko:K03693	snm:SP70585_2205
ko:K10681	snm:SP70585_0147
ko:K07025	snm:SP70585_1222
ko:K02770	snm:SP70585_1659
ko:K02769	snm:SP70585_1660
ko:K02768	snm:SP70585_1661
ko:K00054	snm:SP70585_1765
ko:K01424	snm:SP70585_2070
ko:K01104	snm:SP70585_2114
ko:K12373	snm:SP70585_0124
ko:K13747	snm:SP70585_0959
ko:K07720	snm:SP70585_0230
ko:K02823	snm:SP70585_1003
ko:K01193	snm:SP70585_1763
ko:K01193	snm:SP70585_1846
ko:K00917	snm:SP70585_1241
ko:K02503	snm:SP70585_0578
ko:K01990	snm:SP70585_0579
ko:K10947	snm:SP70585_0833
ko:K07335	snm:SP70585_0881
ko:K02056	snm:SP70585_0882
ko:K02824	snm:SP70585_1351
ko:K00131	snm:SP70585_1190
ko:K04518	snm:SP70585_1408
ko:K11189	snm:SP70585_1230
ko:K02531	snm:SP70585_1239
ko:K01739	snm:SP70585_1564
ko:K12554	snm:SP70585_0677
ko:K12555	snm:SP70585_2097
ko:K12573	snm:SP70585_1015
ko:K13925	snm:SP70585_1890
ko:K01227	snm:SP70585_1005
ko:K07284	snm:SP70585_1265
ko:K01154	snm:SP70585_0925
ko:K01992	snm:SP70585_0698
ko:K11754	snm:SP70585_0255
ko:K01916	snm:SP70585_1458
ko:K13789	snm:SP70585_1255
ko:K01784	snm:SP70585_1647
ko:K00215	snm:SP70585_1598
ko:K03294	snm:SP70585_1041
ko:K07271	snm:SP70585_1336
ko:K00687	snm:SP70585_1713
ko:K03574	snm:SP70585_1829
ko:K01537	snm:SP70585_1594
ko:K09457	snm:SP70585_1822
ko:K04072	snm:SP70585_2111
ko:K13953	snm:SP70585_0344
ko:K01155	snm:SP70585_1903
ko:K07729	snm:SP70585_2226
ko:K02778	snm:SP70585_1723
ko:K02779	snm:SP70585_1723
ko:K12556	snm:SP70585_0399
ko:K05363	snm:SP70585_0676
ko:K00290	snm:SP70585_0958
ko:K03574	snm:SP70585_1219
ko:K10819	snm:SP70585_0666
ko:K07718	snm:SP70585_0721
ko:K01060	snm:SP70585_1734
ko:K02793	snm:SP70585_0130
ko:K07718	snm:SP70585_0229
ko:K01835	snm:SP70585_1536
ko:K07052	snm:SP70585_1302
ko:K00974	snm:SP70585_1597
ko:K01191	snm:SP70585_2271
ko:K03342	snm:SP70585_0724
ko:K13678	snm:SP70585_1149
ko:K02003	snm:SP70585_0829
ko:K14228	snm:SP70585_1970
ko:K14228	snm:SP70585_2081
ko:K02004	snm:SP70585_0743
ko:K02004	snm:SP70585_0830
ko:K02004	snm:SP70585_0950
ko:K02004	snm:SP70585_1693
ko:K02004	snm:SP70585_2059
ko:K00951	snm:SP70585_1686
ko:K01740	snm:SP70585_1263
ko:K00564	snm:SP70585_0877
ko:K13940	snm:SP70585_0351
ko:K03709	snm:SP70585_1679
ko:K11754	snm:SP70585_0349
ko:K01819	snm:SP70585_1243
ko:K01961	snm:SP70585_0496
ko:K00941	snm:SP70585_0773
ko:K10118	snm:SP70585_1954
ko:K14233	snm:SP70585_1965
ko:K14233	snm:SP70585_2165
ko:K01784	snm:SP70585_1923
ko:K00949	snm:SP70585_2053
ko:K02248	snm:SP70585_2136
ko:K02246	snm:SP70585_2138
ko:K14225	snm:SP70585_1962
ko:K14225	snm:SP70585_2167
ko:K02057	snm:SP70585_0884
ko:K08177	snm:SP70585_1629
ko:K14228	snm:SP70585_2159
ko:K05847	snm:SP70585_1917
ko:K02027	snm:SP70585_1722
ko:K02027	snm:SP70585_1729
ko:K07052	snm:SP70585_2223
ko:K03491	snm:SP70585_0370
ko:K01990	snm:SP70585_1754
ko:K14228	snm:SP70585_1973
ko:K14228	snm:SP70585_2084
ko:K14228	snm:SP70585_1622
ko:K14230	snm:SP70585_1967
ko:K14221	snm:SP70585_1975
ko:K14221	snm:SP70585_2086
ko:K14219	snm:SP70585_1311
ko:K07341	snm:SP70585_0927
ko:K02786	snm:SP70585_1238
ko:K07407	snm:SP70585_1956
ko:K02786	snm:SP70585_0539
ko:K14219	snm:SP70585_2367
ko:K02029	snm:SP70585_0758
ko:K02029	snm:SP70585_1502
ko:K02029	snm:SP70585_1540
ko:K14225	snm:SP70585_1971
ko:K14225	snm:SP70585_2082
ko:K02010	snm:SP70585_1885
ko:K14223	snm:SP70585_0898
ko:K14223	snm:SP70585_2160
ko:K14260	snm:SP70585_2066
ko:K14219	snm:SP70585_1357
ko:K14219	snm:SP70585_1969
ko:K14219	snm:SP70585_2080
ko:K10119	snm:SP70585_1953
ko:K14233	snm:SP70585_1960
ko:K14155	snm:SP70585_1563
ko:K14233	snm:SP70585_0912
ko:K01934	snm:SP70585_2201
ko:K14236	snm:SP70585_2374
ko:K14236	snm:SP70585_0897
ko:K14230	snm:SP70585_1966
ko:K14234	snm:SP70585_1052
ko:K01992	snm:SP70585_1101
ko:K14218	snm:SP70585_0018
ko:K14218	snm:SP70585_2172
ko:K14218	snm:SP70585_1979
ko:K14218	snm:SP70585_2090
ko:K02012	snm:SP70585_0302
ko:K14237	snm:SP70585_2168
ko:K14237	snm:SP70585_2373
ko:K14237	snm:SP70585_2375
ko:K14220	snm:SP70585_0022
ko:K14220	snm:SP70585_2362
ko:K14229	snm:SP70585_1974
ko:K14229	snm:SP70585_2085
ko:K14229	snm:SP70585_1837
ko:K00868	snm:SP70585_1637
ko:K01207	snm:SP70585_2233
ko:K14230	snm:SP70585_1964
ko:K14230	snm:SP70585_2164
ko:K07052	snm:SP70585_0609
ko:K02030	snm:SP70585_1538
ko:K01978	snm:SP70585_2378
ko:K13052	snm:SP70585_0008
ko:K14231	snm:SP70585_1963
ko:K14231	snm:SP70585_2163
ko:K14222	snm:SP70585_2033
ko:K00674	snm:SP70585_2203
ko:K01983	snm:SP70585_2371
ko:K06147	snm:SP70585_1371
ko:K06147	snm:SP70585_1396
ko:K14982	snm:SP70585_0844
ko:K19271	snm:SP70585_1092
ko:K11618	snm:SP70585_0458
ko:K11617	snm:SP70585_0457
ko:K02035	snm:SP70585_0892
ko:K01186	snm:SP70585_1726
ko:K14983	snm:SP70585_0843
ko:K02005	snm:SP70585_0828
ko:K01980	snm:SP70585_0020
ko:K01980	snm:SP70585_2088
ko:K01980	snm:SP70585_1977
ko:K01980	snm:SP70585_2170
ko:K10117	snm:SP70585_2292
ko:K03324	snm:SP70585_0557
ko:K01985	snm:SP70585_0021
ko:K01985	snm:SP70585_2169
ko:K01985	snm:SP70585_1976
ko:K01985	snm:SP70585_2087
ko:K06148	snm:SP70585_1397
ko:K01992	snm:SP70585_1418
ko:K01628	snm:SP70585_2285
ko:K01977	snm:SP70585_0017
ko:K01977	snm:SP70585_2091
ko:K01977	snm:SP70585_1980
ko:K01977	snm:SP70585_2173
ko:K14188	snm:SP70585_2301
ko:K05337	snm:SP70585_1645
ko:K07052	snm:SP70585_1386
ko:K14227	snm:SP70585_1961
ko:K14227	snm:SP70585_2166
ko:K15051	snm:SP70585_2036
ko:K02817	snm:SP70585_1939
ko:K02538	snm:SP70585_1663
ko:K15035	snm:SP70585_2372
ko:K07729	snm:SP70585_0396
ko:K14234	snm:SP70585_1972
ko:K14234	snm:SP70585_2083
ko:K14232	snm:SP70585_1968
ko:K14232	snm:SP70585_2079
ko:K10117	snm:SP70585_1955
ko:K07052	snm:SP70585_0964
ko:K02057	snm:SP70585_0883
ko:K00965	snm:SP70585_1907
ko:K03436	snm:SP70585_0913
ko:K10122	snm:SP70585_1847
ko:K14226	snm:SP70585_2161
ko:K14235	snm:SP70585_2162
ko:K01990	snm:SP70585_1419
ko:K07404	snm:SP70585_1543
ko:K02614	snm:SP70585_1906
ko:K07273	snm:SP70585_1028
ko:K01271	snm:SP70585_1633
ko:K01261	snm:SP70585_1921
ko:K12960	snm:SP70585_1395
ko:K07052	snm:SP70585_0501
ko:K01990	snm:SP70585_1757
ko:K10120	snm:SP70585_1849
ko:K07484	snm:SP70585_0429
ko:K01274	snm:SP70585_0683
ko:K03930	snm:SP70585_0675
ko:K15051	snm:SP70585_2245
ko:K14540	snm:SP70585_1208
ko:K06948	snm:SP70585_1788
ko:K11749	snm:SP70585_0323
ko:K06198	snm:SP70585_1018
ko:K19689	snm:SP70585_0336
ko:K14652	snm:SP70585_0239
ko:K00105	snm:SP70585_2311
ko:K15383	snm:SP70585_0368
ko:K10040	snm:SP70585_0669
ko:K16169	snm:SP70585_1902
ko:K08316	snm:SP70585_2042
ko:K06147	snm:SP70585_1475
ko:K06147	snm:SP70585_1476
ko:K00571	snm:SP70585_2131
ko:K01992	snm:SP70585_1756
ko:K14224	snm:SP70585_2363
ko:K14224	snm:SP70585_1981
ko:K14224	snm:SP70585_2092
ko:K14224	snm:SP70585_2174
ko:K14224	snm:SP70585_0016
ko:K03493	snm:SP70585_2118
ko:K10947	snm:SP70585_0159
ko:K01101	snm:SP70585_1446
ko:K01819	snm:SP70585_1242
ko:K02808	snm:SP70585_1761
ko:K02809	snm:SP70585_1761
ko:K02810	snm:SP70585_1761
ko:K06147	snm:SP70585_1999
ko:K06148	snm:SP70585_1382
ko:K03215	snm:SP70585_1067
ko:K15581	snm:SP70585_1948
ko:K15580	snm:SP70585_1567
ko:K15583	snm:SP70585_1946
ko:K02428	snm:SP70585_1935
ko:K15738	snm:SP70585_1596
ko:K05352	snm:SP70585_1333
ko:K15582	snm:SP70585_1947
ko:K10823	snm:SP70585_1945
ko:K00001	snm:SP70585_1910
ko:K15986	snm:SP70585_1573
ko:K12296	snm:SP70585_2093
ko:K01104	snm:SP70585_1094
ko:K02030	snm:SP70585_0755
ko:K02029	snm:SP70585_0757
ko:K10716	snm:SP70585_1268
ko:K01390	snm:SP70585_1207
ko:K16511	snm:SP70585_1401
ko:K16786	snm:SP70585_0767
ko:K16787	snm:SP70585_0767
ko:K16509	snm:SP70585_1444
ko:K16214	snm:SP70585_1129
ko:K06147	snm:SP70585_1294
ko:K16264	snm:SP70585_1912
ko:K16785	snm:SP70585_0548
ko:K03699	snm:SP70585_2035
ko:K01223	snm:SP70585_0325
ko:K15770	snm:SP70585_2213
ko:K15772	snm:SP70585_2215
ko:K15771	snm:SP70585_2214
ko:K16786	snm:SP70585_2348
ko:K16787	snm:SP70585_2347
ko:K16785	snm:SP70585_2346
ko:K16788	snm:SP70585_1279
ko:K18830	snm:SP70585_1128
ko:K16786	snm:SP70585_1479
ko:K16787	snm:SP70585_1479
ko:K02028	snm:SP70585_0861
ko:K16786	snm:SP70585_0547
ko:K16787	snm:SP70585_0547
ko:K16785	snm:SP70585_1478
ko:K16785	snm:SP70585_0768
ko:K00882	snm:SP70585_0914
ko:K11991	snm:SP70585_0081
ko:K16868	snm:SP70585_1017
ko:K16925	snm:SP70585_0766
ko:K16924	snm:SP70585_0545
ko:K16926	snm:SP70585_1477
ko:K16926	snm:SP70585_0227
ko:K16898	snm:SP70585_1205
ko:K16899	snm:SP70585_1204
ko:K17195	snm:SP70585_1658
ko:K02029	snm:SP70585_1303
ko:K02030	snm:SP70585_1303
ko:K17319	snm:SP70585_0151
ko:K17318	snm:SP70585_0153
ko:K17716	snm:SP70585_0424
ko:K02028	snm:SP70585_1304
ko:K17320	snm:SP70585_0152
ko:K17076	snm:SP70585_0522
ko:K02029	snm:SP70585_0860
ko:K17073	snm:SP70585_0523
ko:K17074	snm:SP70585_0523
ko:K02030	snm:SP70585_0175
ko:K02030	snm:SP70585_1433
ko:K01992	snm:SP70585_0697
ko:K01992	snm:SP70585_2075
ko:K10121	snm:SP70585_1848
ko:K10119	snm:SP70585_2290
ko:K10118	snm:SP70585_2291
ko:K15923	snm:SP70585_1695
ko:K01990	snm:SP70585_0696
ko:K01990	snm:SP70585_0754
ko:K01990	snm:SP70585_1463
ko:K01990	snm:SP70585_1465
ko:K01990	snm:SP70585_1742
ko:K01990	snm:SP70585_2076
ko:K17624	snm:SP70585_0439
ko:K17686	snm:SP70585_0776
ko:K01467	snm:SP70585_0010
ko:K01990	snm:SP70585_1293
ko:K17828	snm:SP70585_1004
ko:K00537	snm:SP70585_1503
ko:K12574	snm:SP70585_0674
ko:K07260	snm:SP70585_0690
ko:K18369	snm:SP70585_2143
ko:K18474	snm:SP70585_0486
ko:K03742	snm:SP70585_2020
ko:K18581	snm:SP70585_0386
ko:K18682	snm:SP70585_1779
ko:K18672	snm:SP70585_1603
ko:K18692	snm:SP70585_0805
ko:K06218	snm:SP70585_1269
ko:K18892	snm:SP70585_2180
ko:K18891	snm:SP70585_2182
ko:K03790	snm:SP70585_1156
ko:K18816	snm:SP70585_1139
ko:K07484	snm:SP70585_0853
ko:K07484	snm:SP70585_1483
ko:K07484	snm:SP70585_1283
ko:K07484	snm:SP70585_2340
ko:K19002	snm:SP70585_1150
ko:K19159	snm:SP70585_1780
ko:K00571	snm:SP70585_1904
ko:K00571	snm:SP70585_1472
ko:K19068	snm:SP70585_0426
ko:K12952	snm:SP70585_1664
ko:K07485	snm:SP70585_0014
ko:K04771	snm:SP70585_2369
ko:K07486	snm:SP70585_0524
ko:K01992	snm:SP70585_0998
ko:K06881	snm:SP70585_1363
ko:K01990	snm:SP70585_0997
ko:K00887	snm:SP70585_1008
ko:K07497	snm:SP70585_1634
ko:K21636	snm:SP70585_0259
ko:K19971	snm:SP70585_1691
ko:K19972	snm:SP70585_1690
ko:K10830	snm:SP70585_1689
ko:K20074	snm:SP70585_1773
ko:K12132	snm:SP70585_1772
ko:K20073	snm:SP70585_0445
ko:K20112	snm:SP70585_0703
ko:K15580	snm:SP70585_1949
ko:K02777	snm:SP70585_0803
ko:K20107	snm:SP70585_0803
ko:K20108	snm:SP70585_0803
ko:K20112	snm:SP70585_1248
ko:K20114	snm:SP70585_0705
ko:K20113	snm:SP70585_0704
ko:K20113	snm:SP70585_1247
ko:K20341	snm:SP70585_0595
ko:K20342	snm:SP70585_2061
ko:K20345	snm:SP70585_0586
ko:K20487	snm:SP70585_1289
ko:K20488	snm:SP70585_1290
ko:K20345	snm:SP70585_0182
ko:K20344	snm:SP70585_0180
ko:K20343	snm:SP70585_0585
ko:K18889	snm:SP70585_1894
ko:K18890	snm:SP70585_1893
ko:K01208	snm:SP70585_1125
ko:K21030	snm:SP70585_1334
ko:K21064	snm:SP70585_0345
ko:K08968	snm:SP70585_0902
ko:K21471	snm:SP70585_2343
ko:K21567	snm:SP70585_1604
ko:K21977	snm:SP70585_1276
ko:K22044	snm:SP70585_1791
ko:K03078	snm:SP70585_2121
ko:K22278	snm:SP70585_1520
ko:K17758	snm:SP70585_0863
ko:K03077	snm:SP70585_2119
ko:K03079	snm:SP70585_2120
ko:K22441	snm:SP70585_0644
ko:K22457	snm:SP70585_1583
