ko:K07497	ecr:ECIAI1_0380
ko:K00266	ecr:ECIAI1_3361
ko:K03149	ecr:ECIAI1_4205
ko:K03154	ecr:ECIAI1_4206
ko:K00788	ecr:ECIAI1_4208
ko:K03147	ecr:ECIAI1_4209
ko:K07740	ecr:ECIAI1_4210
ko:K03426	ecr:ECIAI1_4211
ko:K01599	ecr:ECIAI1_4212
ko:K05982	ecr:ECIAI1_4213
ko:K09891	ecr:ECIAI1_4214
ko:K05787	ecr:ECIAI1_4215
ko:K07803	ecr:ECIAI1_4217
ko:K07709	ecr:ECIAI1_4218
ko:K01945	ecr:ECIAI1_4220
ko:K03827	ecr:ECIAI1_4232
ko:K00651	ecr:ECIAI1_4233
ko:K01638	ecr:ECIAI1_4234
ko:K01637	ecr:ECIAI1_4235
ko:K00548	ecr:ECIAI1_4241
ko:K05995	ecr:ECIAI1_4243
ko:K06182	ecr:ECIAI1_4244
ko:K00928	ecr:ECIAI1_4249
ko:K01810	ecr:ECIAI1_4250
ko:K10110	ecr:ECIAI1_4260
ko:K10109	ecr:ECIAI1_4261
ko:K10108	ecr:ECIAI1_4262
ko:K10111	ecr:ECIAI1_4264
ko:K02455	ecr:ECIAI1_3108
ko:K05839	ecr:ECIAI1_0463
ko:K03577	ecr:ECIAI1_0467
ko:K05802	ecr:ECIAI1_0468
ko:K04067	ecr:ECIAI1_0470
ko:K09790	ecr:ECIAI1_0471
ko:K00759	ecr:ECIAI1_0472
ko:K02343	ecr:ECIAI1_0473
ko:K09747	ecr:ECIAI1_0474
ko:K06187	ecr:ECIAI1_0475
ko:K04079	ecr:ECIAI1_0476
ko:K00939	ecr:ECIAI1_0477
ko:K01772	ecr:ECIAI1_0478
ko:K00892	ecr:ECIAI1_0480
ko:K03455	ecr:ECIAI1_0481
ko:K08223	ecr:ECIAI1_0482
ko:K09973	ecr:ECIAI1_0485
ko:K01425	ecr:ECIAI1_0488
ko:K07340	ecr:ECIAI1_0491
ko:K05838	ecr:ECIAI1_0495
ko:K02003	ecr:ECIAI1_0498
ko:K06917	ecr:ECIAI1_0506
ko:K01483	ecr:ECIAI1_0508
ko:K01608	ecr:ECIAI1_0510
ko:K01816	ecr:ECIAI1_0511
ko:K03113	ecr:ECIAI1_1305
ko:K04062	ecr:ECIAI1_1307
ko:K00208	ecr:ECIAI1_1313
ko:K09472	ecr:ECIAI1_1325
ko:K09471	ecr:ECIAI1_1326
ko:K03974	ecr:ECIAI1_1328
ko:K03969	ecr:ECIAI1_1329
ko:K02025	ecr:ECIAI1_1336
ko:K02026	ecr:ECIAI1_1337
ko:K10112	ecr:ECIAI1_1343
ko:K06918	ecr:ECIAI1_1346
ko:K08990	ecr:ECIAI1_1347
ko:K03721	ecr:ECIAI1_1348
ko:K11065	ecr:ECIAI1_1349
ko:K07788	ecr:ECIAI1_2151
ko:K07789	ecr:ECIAI1_2152
ko:K07664	ecr:ECIAI1_2155
ko:K08303	ecr:ECIAI1_2160
ko:K02775	ecr:ECIAI1_2166
ko:K02774	ecr:ECIAI1_2167
ko:K02773	ecr:ECIAI1_2168
ko:K08302	ecr:ECIAI1_2170
ko:K00878	ecr:ECIAI1_2178
ko:K03593	ecr:ECIAI1_2188
ko:K01874	ecr:ECIAI1_2189
ko:K05846	ecr:ECIAI1_2206
ko:K00615	ecr:ECIAI1_3060
ko:K07387	ecr:ECIAI1_3061
ko:K01480	ecr:ECIAI1_3069
ko:K01585	ecr:ECIAI1_3071
ko:K00789	ecr:ECIAI1_3075
ko:K02742	ecr:ECIAI1_3077
ko:K09761	ecr:ECIAI1_3079
ko:K01920	ecr:ECIAI1_3080
ko:K07735	ecr:ECIAI1_3081
ko:K07447	ecr:ECIAI1_3082
ko:K02669	ecr:ECIAI1_3083
ko:K06997	ecr:ECIAI1_3084
ko:K02221	ecr:ECIAI1_3085
ko:K09131	ecr:ECIAI1_3086
ko:K09923	ecr:ECIAI1_3092
ko:K03439	ecr:ECIAI1_3093
ko:K03575	ecr:ECIAI1_3094
ko:K08306	ecr:ECIAI1_3096
ko:K03289	ecr:ECIAI1_3097
ko:K01581	ecr:ECIAI1_3098
ko:K07150	ecr:ECIAI1_3100
ko:K00820	ecr:ECIAI1_3913
ko:K04042	ecr:ECIAI1_3914
ko:K02114	ecr:ECIAI1_3915
ko:K02112	ecr:ECIAI1_3916
ko:K02115	ecr:ECIAI1_3917
ko:K02111	ecr:ECIAI1_3918
ko:K02113	ecr:ECIAI1_3919
ko:K02109	ecr:ECIAI1_3920
ko:K02110	ecr:ECIAI1_3921
ko:K02108	ecr:ECIAI1_3922
ko:K03501	ecr:ECIAI1_3924
ko:K03495	ecr:ECIAI1_3925
ko:K06205	ecr:ECIAI1_3926
ko:K03718	ecr:ECIAI1_3927
ko:K01914	ecr:ECIAI1_3928
ko:K03924	ecr:ECIAI1_3930
ko:K03549	ecr:ECIAI1_3931
ko:K06726	ecr:ECIAI1_3932
ko:K10441	ecr:ECIAI1_3933
ko:K10440	ecr:ECIAI1_3934
ko:K10439	ecr:ECIAI1_3935
ko:K00852	ecr:ECIAI1_3936
ko:K02529	ecr:ECIAI1_3937
ko:K07646	ecr:ECIAI1_0671
ko:K01548	ecr:ECIAI1_0672
ko:K01547	ecr:ECIAI1_0673
ko:K01546	ecr:ECIAI1_0674
ko:K01669	ecr:ECIAI1_0682
ko:K03305	ecr:ECIAI1_0683
ko:K07160	ecr:ECIAI1_0687
ko:K05522	ecr:ECIAI1_0688
ko:K07120	ecr:ECIAI1_0689
ko:K01647	ecr:ECIAI1_0694
ko:K00241	ecr:ECIAI1_0695
ko:K00242	ecr:ECIAI1_0696
ko:K00239	ecr:ECIAI1_0697
ko:K00240	ecr:ECIAI1_0698
ko:K00164	ecr:ECIAI1_0699
ko:K00658	ecr:ECIAI1_0700
ko:K01903	ecr:ECIAI1_0701
ko:K01902	ecr:ECIAI1_0702
ko:K00425	ecr:ECIAI1_0708
ko:K00426	ecr:ECIAI1_0709
ko:K07107	ecr:ECIAI1_0711
ko:K03562	ecr:ECIAI1_0712
ko:K07351	ecr:ECIAI1_4531
ko:K04336	ecr:ECIAI1_1077
ko:K03560	ecr:ECIAI1_0713
ko:K03841	ecr:ECIAI1_4464
ko:K02558	ecr:ECIAI1_4465
ko:K09889	ecr:ECIAI1_4466
ko:K03592	ecr:ECIAI1_4467
ko:K01531	ecr:ECIAI1_4474
ko:K09022	ecr:ECIAI1_4475
ko:K00610	ecr:ECIAI1_4476
ko:K00609	ecr:ECIAI1_4477
ko:K00611	ecr:ECIAI1_4485
ko:K09893	ecr:ECIAI1_4486
ko:K03828	ecr:ECIAI1_4487
ko:K04068	ecr:ECIAI1_4469
ko:K01226	ecr:ECIAI1_4471
ko:K02818	ecr:ECIAI1_4472
ko:K02819	ecr:ECIAI1_4472
ko:K03485	ecr:ECIAI1_4473
ko:K04078	ecr:ECIAI1_4375
ko:K04077	ecr:ECIAI1_4376
ko:K02356	ecr:ECIAI1_4382
ko:K03098	ecr:ECIAI1_4386
ko:K00246	ecr:ECIAI1_4389
ko:K00245	ecr:ECIAI1_4390
ko:K04568	ecr:ECIAI1_4392
ko:K01613	ecr:ECIAI1_4395
ko:K06949	ecr:ECIAI1_4396
ko:K06925	ecr:ECIAI1_4401
ko:K01448	ecr:ECIAI1_4402
ko:K03572	ecr:ECIAI1_4403
ko:K00791	ecr:ECIAI1_4404
ko:K03666	ecr:ECIAI1_4405
ko:K03665	ecr:ECIAI1_4406
ko:K04088	ecr:ECIAI1_4407
ko:K04087	ecr:ECIAI1_4408
ko:K09937	ecr:ECIAI1_4409
ko:K01939	ecr:ECIAI1_4410
ko:K03218	ecr:ECIAI1_4413
ko:K09980	ecr:ECIAI1_4414
ko:K09456	ecr:ECIAI1_4420
ko:K03477	ecr:ECIAI1_4424
ko:K03476	ecr:ECIAI1_4425
ko:K03475	ecr:ECIAI1_4426
ko:K02822	ecr:ECIAI1_4427
ko:K02821	ecr:ECIAI1_4428
ko:K08989	ecr:ECIAI1_4417
ko:K01873	ecr:ECIAI1_4489
ko:K02339	ecr:ECIAI1_4490
ko:K01255	ecr:ECIAI1_4491
ko:K07091	ecr:ECIAI1_4492
ko:K06915	ecr:ECIAI1_4494
ko:K00558	ecr:ECIAI1_4498
ko:K01305	ecr:ECIAI1_4545
ko:K07559	ecr:ECIAI1_4548
ko:K07345	ecr:ECIAI1_4530
ko:K07347	ecr:ECIAI1_4533
ko:K01686	ecr:ECIAI1_4538
ko:K00040	ecr:ECIAI1_4539
ko:K00151	ecr:ECIAI1_4574
ko:K02317	ecr:ECIAI1_4584
ko:K03646	ecr:ECIAI1_0714
ko:K03641	ecr:ECIAI1_0715
ko:K03640	ecr:ECIAI1_0716
ko:K03517	ecr:ECIAI1_0718
ko:K03811	ecr:ECIAI1_0719
ko:K07347	ecr:ECIAI1_1515
ko:K07345	ecr:ECIAI1_1518
ko:K07154	ecr:ECIAI1_1520
ko:K11216	ecr:ECIAI1_1523
ko:K11531	ecr:ECIAI1_1524
ko:K10558	ecr:ECIAI1_1525
ko:K10556	ecr:ECIAI1_1526
ko:K10557	ecr:ECIAI1_1527
ko:K10555	ecr:ECIAI1_1528
ko:K08321	ecr:ECIAI1_1529
ko:K11530	ecr:ECIAI1_1530
ko:K00598	ecr:ECIAI1_1531
ko:K08994	ecr:ECIAI1_1532
ko:K00041	ecr:ECIAI1_1533
ko:K01425	ecr:ECIAI1_1536
ko:K08159	ecr:ECIAI1_1541
ko:K01223	ecr:ECIAI1_1546
ko:K02759	ecr:ECIAI1_1548
ko:K02761	ecr:ECIAI1_1549
ko:K02760	ecr:ECIAI1_1550
ko:K01284	ecr:ECIAI1_1557
ko:K00331	ecr:ECIAI1_2361
ko:K00330	ecr:ECIAI1_2362
ko:K08722	ecr:ECIAI1_2365
ko:K09161	ecr:ECIAI1_2368
ko:K09899	ecr:ECIAI1_2369
ko:K00925	ecr:ECIAI1_2371
ko:K07095	ecr:ECIAI1_2376
ko:K07589	ecr:ECIAI1_2379
ko:K07071	ecr:ECIAI1_2380
ko:K10017	ecr:ECIAI1_2382
ko:K10015	ecr:ECIAI1_2383
ko:K10016	ecr:ECIAI1_2384
ko:K10014	ecr:ECIAI1_2385
ko:K03186	ecr:ECIAI1_2388
ko:K00764	ecr:ECIAI1_2389
ko:K03558	ecr:ECIAI1_2390
ko:K03749	ecr:ECIAI1_2391
ko:K01963	ecr:ECIAI1_2393
ko:K03975	ecr:ECIAI1_2394
ko:K06173	ecr:ECIAI1_2395
ko:K03473	ecr:ECIAI1_2397
ko:K00647	ecr:ECIAI1_2400
ko:K09906	ecr:ECIAI1_2403
ko:K07090	ecr:ECIAI1_2404
ko:K07261	ecr:ECIAI1_2405
ko:K01736	ecr:ECIAI1_2406
ko:K07320	ecr:ECIAI1_2407
ko:K00656	ecr:ECIAI1_3263
ko:K01754	ecr:ECIAI1_3266
ko:K00865	ecr:ECIAI1_3272
ko:K02745	ecr:ECIAI1_3281
ko:K02746	ecr:ECIAI1_3282
ko:K02747	ecr:ECIAI1_3283
ko:K02744	ecr:ECIAI1_3284
ko:K02079	ecr:ECIAI1_3285
ko:K02082	ecr:ECIAI1_3286
ko:K08302	ecr:ECIAI1_3287
ko:K07056	ecr:ECIAI1_3296
ko:K07121	ecr:ECIAI1_3297
ko:K07460	ecr:ECIAI1_3298
ko:K07089	ecr:ECIAI1_3301
ko:K07461	ecr:ECIAI1_3305
ko:K03824	ecr:ECIAI1_3306
ko:K08303	ecr:ECIAI1_3308
ko:K03835	ecr:ECIAI1_3311
ko:K05592	ecr:ECIAI1_3312
ko:K05803	ecr:ECIAI1_3313
ko:K00962	ecr:ECIAI1_3314
ko:K03764	ecr:ECIAI1_4147
ko:K00005	ecr:ECIAI1_4154
ko:K08483	ecr:ECIAI1_4156
ko:K11189	ecr:ECIAI1_4156
ko:K11201	ecr:ECIAI1_4156
ko:K11203	ecr:ECIAI1_4157
ko:K11202	ecr:ECIAI1_4158
ko:K00656	ecr:ECIAI1_4159
ko:K04069	ecr:ECIAI1_4160
ko:K11202	ecr:ECIAI1_4161
ko:K01595	ecr:ECIAI1_4164
ko:K01438	ecr:ECIAI1_4165
ko:K00145	ecr:ECIAI1_4166
ko:K00930	ecr:ECIAI1_4167
ko:K01755	ecr:ECIAI1_4168
ko:K04761	ecr:ECIAI1_4171
ko:K00322	ecr:ECIAI1_4172
ko:K01776	ecr:ECIAI1_4177
ko:K00075	ecr:ECIAI1_4189
ko:K00867	ecr:ECIAI1_4191
ko:K02358	ecr:ECIAI1_4194
ko:K03073	ecr:ECIAI1_4195
ko:K02601	ecr:ECIAI1_4196
ko:K02867	ecr:ECIAI1_4197
ko:K02863	ecr:ECIAI1_4198
ko:K02864	ecr:ECIAI1_4199
ko:K02935	ecr:ECIAI1_4200
ko:K03043	ecr:ECIAI1_4201
ko:K03046	ecr:ECIAI1_4202
ko:K03150	ecr:ECIAI1_4204
ko:K00782	ecr:ECIAI1_0305
ko:K02167	ecr:ECIAI1_0310
ko:K02168	ecr:ECIAI1_0311
ko:K00926	ecr:ECIAI1_0320
ko:K02688	ecr:ECIAI1_0332
ko:K01908	ecr:ECIAI1_0336
ko:K10974	ecr:ECIAI1_0338
ko:K01673	ecr:ECIAI1_0341
ko:K01725	ecr:ECIAI1_0342
ko:K03449	ecr:ECIAI1_0343
ko:K03723	ecr:ECIAI1_1151
ko:K09808	ecr:ECIAI1_1153
ko:K09808	ecr:ECIAI1_1155
ko:K11069	ecr:ECIAI1_1160
ko:K11070	ecr:ECIAI1_1161
ko:K11071	ecr:ECIAI1_1162
ko:K01258	ecr:ECIAI1_1165
ko:K07660	ecr:ECIAI1_1168
ko:K01756	ecr:ECIAI1_1169
ko:K07153	ecr:ECIAI1_1170
ko:K00566	ecr:ECIAI1_1171
ko:K06181	ecr:ECIAI1_1173
ko:K00031	ecr:ECIAI1_1174
ko:K03608	ecr:ECIAI1_1190
ko:K03609	ecr:ECIAI1_1191
ko:K03610	ecr:ECIAI1_1192
ko:K02217	ecr:ECIAI1_1990
ko:K09160	ecr:ECIAI1_1197
ko:K00995	ecr:ECIAI1_1996
ko:K03703	ecr:ECIAI1_1997
ko:K07689	ecr:ECIAI1_1998
ko:K10010	ecr:ECIAI1_2002
ko:K10009	ecr:ECIAI1_2003
ko:K05396	ecr:ECIAI1_2004
ko:K02424	ecr:ECIAI1_2005
ko:K02425	ecr:ECIAI1_2006
ko:K02405	ecr:ECIAI1_2007
ko:K02406	ecr:ECIAI1_2009
ko:K02407	ecr:ECIAI1_2010
ko:K02422	ecr:ECIAI1_2011
ko:K07112	ecr:ECIAI1_2015
ko:K02408	ecr:ECIAI1_2018
ko:K02409	ecr:ECIAI1_2019
ko:K02410	ecr:ECIAI1_2020
ko:K02411	ecr:ECIAI1_2021
ko:K02412	ecr:ECIAI1_2022
ko:K02413	ecr:ECIAI1_2023
ko:K02415	ecr:ECIAI1_2025
ko:K02416	ecr:ECIAI1_2026
ko:K02417	ecr:ECIAI1_2027
ko:K02418	ecr:ECIAI1_2028
ko:K02419	ecr:ECIAI1_2029
ko:K02420	ecr:ECIAI1_2030
ko:K02421	ecr:ECIAI1_2031
ko:K07026	ecr:ECIAI1_2035
ko:K09781	ecr:ECIAI1_2039
ko:K07458	ecr:ECIAI1_2041
ko:K00558	ecr:ECIAI1_2042
ko:K06950	ecr:ECIAI1_2043
ko:K05523	ecr:ECIAI1_2047
ko:K01937	ecr:ECIAI1_2888
ko:K03215	ecr:ECIAI1_2893
ko:K07678	ecr:ECIAI1_2894
ko:K01706	ecr:ECIAI1_2895
ko:K06175	ecr:ECIAI1_2900
ko:K06966	ecr:ECIAI1_2905
ko:K03837	ecr:ECIAI1_2906
ko:K01752	ecr:ECIAI1_2907
ko:K00048	ecr:ECIAI1_2909
ko:K02429	ecr:ECIAI1_2911
ko:K01818	ecr:ECIAI1_2912
ko:K02431	ecr:ECIAI1_2914
ko:K02430	ecr:ECIAI1_2915
ko:K06968	ecr:ECIAI1_2916
ko:K08304	ecr:ECIAI1_2923
ko:K01448	ecr:ECIAI1_2925
ko:K03581	ecr:ECIAI1_2927
ko:K03582	ecr:ECIAI1_2928
ko:K01407	ecr:ECIAI1_2929
ko:K03583	ecr:ECIAI1_2930
ko:K02680	ecr:ECIAI1_2933
ko:K02679	ecr:ECIAI1_2934
ko:K00560	ecr:ECIAI1_2935
ko:K08484	ecr:ECIAI1_2937
ko:K08311	ecr:ECIAI1_2938
ko:K03833	ecr:ECIAI1_3758
ko:K01042	ecr:ECIAI1_3759
ko:K02798	ecr:ECIAI1_3769
ko:K02799	ecr:ECIAI1_3769
ko:K02800	ecr:ECIAI1_3769
ko:K00009	ecr:ECIAI1_3770
ko:K02562	ecr:ECIAI1_3771
ko:K00427	ecr:ECIAI1_3776
ko:K00101	ecr:ECIAI1_3778
ko:K03216	ecr:ECIAI1_3779
ko:K00640	ecr:ECIAI1_3780
ko:K00057	ecr:ECIAI1_3781
ko:K03071	ecr:ECIAI1_3782
ko:K03676	ecr:ECIAI1_3783
ko:K09798	ecr:ECIAI1_3787
ko:K00639	ecr:ECIAI1_3790
ko:K03274	ecr:ECIAI1_3791
ko:K02843	ecr:ECIAI1_3792
ko:K02841	ecr:ECIAI1_3793
ko:K02848	ecr:ECIAI1_3800
ko:K02844	ecr:ECIAI1_3801
ko:K02849	ecr:ECIAI1_3802
ko:K02527	ecr:ECIAI1_3803
ko:K01465	ecr:ECIAI1_1097
ko:K03675	ecr:ECIAI1_1099
ko:K08162	ecr:ECIAI1_1100
ko:K03790	ecr:ECIAI1_1101
ko:K09915	ecr:ECIAI1_1102
ko:K03980	ecr:ECIAI1_1104
ko:K02399	ecr:ECIAI1_1105
ko:K02398	ecr:ECIAI1_1106
ko:K02386	ecr:ECIAI1_1107
ko:K02387	ecr:ECIAI1_1108
ko:K02388	ecr:ECIAI1_1109
ko:K02389	ecr:ECIAI1_1110
ko:K02391	ecr:ECIAI1_1113
ko:K02392	ecr:ECIAI1_1114
ko:K02393	ecr:ECIAI1_1115
ko:K02394	ecr:ECIAI1_1116
ko:K02395	ecr:ECIAI1_1117
ko:K02396	ecr:ECIAI1_1118
ko:K02397	ecr:ECIAI1_1119
ko:K08300	ecr:ECIAI1_1120
ko:K06179	ecr:ECIAI1_1121
ko:K07040	ecr:ECIAI1_1123
ko:K02911	ecr:ECIAI1_1124
ko:K03621	ecr:ECIAI1_1125
ko:K00648	ecr:ECIAI1_1126
ko:K00645	ecr:ECIAI1_1127
ko:K00059	ecr:ECIAI1_1128
ko:K02078	ecr:ECIAI1_1129
ko:K09458	ecr:ECIAI1_1130
ko:K02619	ecr:ECIAI1_1131
ko:K07082	ecr:ECIAI1_1132
ko:K00943	ecr:ECIAI1_1133
ko:K02341	ecr:ECIAI1_1134
ko:K03424	ecr:ECIAI1_1135
ko:K07337	ecr:ECIAI1_1142
ko:K01207	ecr:ECIAI1_1144
ko:K07000	ecr:ECIAI1_1145
ko:K03885	ecr:ECIAI1_1146
ko:K09816	ecr:ECIAI1_1946
ko:K03551	ecr:ECIAI1_1947
ko:K03550	ecr:ECIAI1_1948
ko:K01159	ecr:ECIAI1_1950
ko:K08310	ecr:ECIAI1_1952
ko:K01876	ecr:ECIAI1_1953
ko:K07136	ecr:ECIAI1_1956
ko:K06201	ecr:ECIAI1_1961
ko:K09907	ecr:ECIAI1_1962
ko:K01887	ecr:ECIAI1_1963
ko:K03516	ecr:ECIAI1_1965
ko:K02400	ecr:ECIAI1_1966
ko:K02401	ecr:ECIAI1_1967
ko:K03414	ecr:ECIAI1_1968
ko:K03413	ecr:ECIAI1_1969
ko:K03412	ecr:ECIAI1_1970
ko:K03408	ecr:ECIAI1_1974
ko:K03407	ecr:ECIAI1_1975
ko:K02557	ecr:ECIAI1_1976
ko:K02556	ecr:ECIAI1_1977
ko:K02402	ecr:ECIAI1_1978
ko:K02403	ecr:ECIAI1_1979
ko:K00697	ecr:ECIAI1_1981
ko:K10538	ecr:ECIAI1_1983
ko:K10539	ecr:ECIAI1_1984
ko:K10537	ecr:ECIAI1_1985
ko:K03074	ecr:ECIAI1_0409
ko:K05517	ecr:ECIAI1_0411
ko:K07738	ecr:ECIAI1_0413
ko:K00794	ecr:ECIAI1_0415
ko:K03625	ecr:ECIAI1_0416
ko:K00946	ecr:ECIAI1_0417
ko:K01095	ecr:ECIAI1_0418
ko:K01662	ecr:ECIAI1_0420
ko:K00795	ecr:ECIAI1_0421
ko:K03602	ecr:ECIAI1_0422
ko:K03151	ecr:ECIAI1_0423
ko:K03152	ecr:ECIAI1_0424
ko:K00077	ecr:ECIAI1_0425
ko:K09767	ecr:ECIAI1_0426
ko:K02300	ecr:ECIAI1_0432
ko:K02299	ecr:ECIAI1_0433
ko:K02298	ecr:ECIAI1_0434
ko:K02297	ecr:ECIAI1_0435
ko:K08218	ecr:ECIAI1_0436
ko:K07286	ecr:ECIAI1_0437
ko:K05527	ecr:ECIAI1_0438
ko:K03545	ecr:ECIAI1_0440
ko:K03544	ecr:ECIAI1_0442
ko:K01338	ecr:ECIAI1_0443
ko:K03530	ecr:ECIAI1_0444
ko:K03770	ecr:ECIAI1_0445
ko:K06920	ecr:ECIAI1_0448
ko:K05800	ecr:ECIAI1_0451
ko:K04752	ecr:ECIAI1_0454
ko:K03320	ecr:ECIAI1_0455
ko:K10805	ecr:ECIAI1_0456
ko:K09914	ecr:ECIAI1_0457
ko:K07443	ecr:ECIAI1_0458
ko:K09897	ecr:ECIAI1_3952
ko:K07391	ecr:ECIAI1_3953
ko:K01652	ecr:ECIAI1_3955
ko:K11258	ecr:ECIAI1_3956
ko:K00826	ecr:ECIAI1_3957
ko:K01687	ecr:ECIAI1_3958
ko:K01754	ecr:ECIAI1_3959
ko:K02521	ecr:ECIAI1_3960
ko:K00053	ecr:ECIAI1_3961
ko:K03769	ecr:ECIAI1_3962
ko:K03656	ecr:ECIAI1_3964
ko:K03732	ecr:ECIAI1_3966
ko:K03671	ecr:ECIAI1_3967
ko:K03628	ecr:ECIAI1_3969
ko:K05595	ecr:ECIAI1_1542
ko:K07001	ecr:ECIAI1_1254
ko:K00963	ecr:ECIAI1_1256
ko:K03746	ecr:ECIAI1_1257
ko:K00857	ecr:ECIAI1_1258
ko:K09901	ecr:ECIAI1_1267
ko:K06131	ecr:ECIAI1_1268
ko:K09780	ecr:ECIAI1_1271
ko:K03832	ecr:ECIAI1_1272
ko:K10806	ecr:ECIAI1_1273
ko:K06190	ecr:ECIAI1_1274
ko:K07275	ecr:ECIAI1_1276
ko:K01695	ecr:ECIAI1_1280
ko:K01696	ecr:ECIAI1_1281
ko:K01657	ecr:ECIAI1_1284
ko:K07053	ecr:ECIAI1_1285
ko:K06178	ecr:ECIAI1_1287
ko:K03168	ecr:ECIAI1_1294
ko:K01681	ecr:ECIAI1_1299
ko:K01591	ecr:ECIAI1_1304
ko:K09691	ecr:ECIAI1_2101
ko:K09690	ecr:ECIAI1_2102
ko:K00012	ecr:ECIAI1_2108
ko:K00033	ecr:ECIAI1_2109
ko:K00963	ecr:ECIAI1_2116
ko:K03606	ecr:ECIAI1_2122
ko:K03207	ecr:ECIAI1_2126
ko:K02377	ecr:ECIAI1_2127
ko:K01711	ecr:ECIAI1_2128
ko:K03818	ecr:ECIAI1_2129
ko:K01991	ecr:ECIAI1_2138
ko:K07289	ecr:ECIAI1_2140
ko:K01494	ecr:ECIAI1_2141
ko:K00876	ecr:ECIAI1_2142
ko:K01247	ecr:ECIAI1_2144
ko:K04046	ecr:ECIAI1_2146
ko:K07799	ecr:ECIAI1_2150
ko:K07141	ecr:ECIAI1_2997
ko:K06901	ecr:ECIAI1_3004
ko:K01823	ecr:ECIAI1_3008
ko:K04567	ecr:ECIAI1_3009
ko:K02836	ecr:ECIAI1_3010
ko:K07462	ecr:ECIAI1_3011
ko:K03981	ecr:ECIAI1_3012
ko:K04763	ecr:ECIAI1_3013
ko:K03840	ecr:ECIAI1_3014
ko:K09159	ecr:ECIAI1_3016
ko:K06980	ecr:ECIAI1_3017
ko:K11068	ecr:ECIAI1_3018
ko:K09900	ecr:ECIAI1_3019
ko:K01223	ecr:ECIAI1_3020
ko:K02437	ecr:ECIAI1_3023
ko:K00605	ecr:ECIAI1_3024
ko:K03185	ecr:ECIAI1_3026
ko:K01262	ecr:ECIAI1_3027
ko:K09895	ecr:ECIAI1_3028
ko:K09888	ecr:ECIAI1_3029
ko:K01807	ecr:ECIAI1_3034
ko:K05596	ecr:ECIAI1_3036
ko:K01847	ecr:ECIAI1_3037
ko:K07588	ecr:ECIAI1_3038
ko:K09807	ecr:ECIAI1_3042
ko:K03442	ecr:ECIAI1_3044
ko:K01624	ecr:ECIAI1_3045
ko:K00927	ecr:ECIAI1_3046
ko:K02749	ecr:ECIAI1_3861
ko:K02750	ecr:ECIAI1_3861
ko:K07085	ecr:ECIAI1_3863
ko:K04081	ecr:ECIAI1_3864
ko:K04080	ecr:ECIAI1_3865
ko:K00883	ecr:ECIAI1_3872
ko:K02470	ecr:ECIAI1_3877
ko:K03629	ecr:ECIAI1_3878
ko:K02338	ecr:ECIAI1_3879
ko:K02313	ecr:ECIAI1_3880
ko:K02914	ecr:ECIAI1_3882
ko:K03536	ecr:ECIAI1_3883
ko:K08998	ecr:ECIAI1_3884
ko:K03217	ecr:ECIAI1_3885
ko:K03650	ecr:ECIAI1_3886
ko:K01667	ecr:ECIAI1_3887
ko:K06901	ecr:ECIAI1_3894
ko:K01223	ecr:ECIAI1_3901
ko:K02755	ecr:ECIAI1_3902
ko:K02756	ecr:ECIAI1_3902
ko:K02757	ecr:ECIAI1_3902
ko:K03488	ecr:ECIAI1_3903
ko:K02039	ecr:ECIAI1_3904
ko:K02036	ecr:ECIAI1_3905
ko:K02038	ecr:ECIAI1_3906
ko:K02037	ecr:ECIAI1_3907
ko:K02040	ecr:ECIAI1_3908
ko:K07345	ecr:ECIAI1_3912
ko:K00872	ecr:ECIAI1_0003
ko:K01733	ecr:ECIAI1_0004
ko:K09861	ecr:ECIAI1_0006
ko:K03310	ecr:ECIAI1_0007
ko:K00616	ecr:ECIAI1_0009
ko:K03831	ecr:ECIAI1_0010
ko:K07034	ecr:ECIAI1_0011
ko:K04043	ecr:ECIAI1_0014
ko:K03686	ecr:ECIAI1_0015
ko:K03313	ecr:ECIAI1_0017
ko:K03717	ecr:ECIAI1_0018
ko:K03722	ecr:ECIAI1_0837
ko:K07336	ecr:ECIAI1_0842
ko:K04047	ecr:ECIAI1_0850
ko:K00656	ecr:ECIAI1_0862
ko:K04069	ecr:ECIAI1_0863
ko:K03750	ecr:ECIAI1_0866
ko:K07258	ecr:ECIAI1_0878
ko:K11534	ecr:ECIAI1_0879
ko:K08160	ecr:ECIAI1_0881
ko:K07085	ecr:ECIAI1_0886
ko:K03617	ecr:ECIAI1_1679
ko:K03616	ecr:ECIAI1_1680
ko:K03615	ecr:ECIAI1_1681
ko:K03614	ecr:ECIAI1_1682
ko:K03612	ecr:ECIAI1_1683
ko:K03613	ecr:ECIAI1_1684
ko:K10773	ecr:ECIAI1_1685
ko:K03305	ecr:ECIAI1_1686
ko:K00868	ecr:ECIAI1_1688
ko:K01866	ecr:ECIAI1_1689
ko:K00275	ecr:ECIAI1_1690
ko:K09001	ecr:ECIAI1_1692
ko:K06077	ecr:ECIAI1_1693
ko:K04565	ecr:ECIAI1_1698
ko:K06938	ecr:ECIAI1_1700
ko:K10680	ecr:ECIAI1_1702
ko:K03683	ecr:ECIAI1_1704
ko:K03724	ecr:ECIAI1_1705
ko:K07390	ecr:ECIAI1_1706
ko:K04564	ecr:ECIAI1_1708
ko:K00574	ecr:ECIAI1_1713
ko:K00793	ecr:ECIAI1_1714
ko:K03327	ecr:ECIAI1_1715
