ko:K16567	smer:DU99_28090
ko:K01607	smer:DU99_20020
ko:K01130	smer:DU99_21425
ko:K01478	smer:DU99_21475
ko:K03758	smer:DU99_21480
ko:K03758	smer:DU99_21485
ko:K03585	smer:DU99_21495
ko:K16841	smer:DU99_21520
ko:K15584	smer:DU99_21525
ko:K02033	smer:DU99_21530
ko:K02034	smer:DU99_21535
ko:K07807	smer:DU99_21565
ko:K02031	smer:DU99_23055
ko:K02032	smer:DU99_23055
ko:K07282	smer:DU99_23060
ko:K01258	smer:DU99_23065
ko:K01130	smer:DU99_23075
ko:K00135	smer:DU99_24715
ko:K00697	smer:DU99_24785
ko:K06140	smer:DU99_24795
ko:K00262	smer:DU99_24800
ko:K08167	smer:DU99_24810
ko:K02058	smer:DU99_24830
ko:K02056	smer:DU99_24840
ko:K01815	smer:DU99_24845
ko:K10439	smer:DU99_24875
ko:K10441	smer:DU99_24880
ko:K10440	smer:DU99_24885
ko:K10440	smer:DU99_24890
ko:K01053	smer:DU99_24895
ko:K08167	smer:DU99_24930
ko:K10255	smer:DU99_25100
ko:K03704	smer:DU99_25110
ko:K04078	smer:DU99_25115
ko:K04077	smer:DU99_25120
ko:K02034	smer:DU99_25190
ko:K02033	smer:DU99_25195
ko:K02035	smer:DU99_25200
ko:K01266	smer:DU99_25215
ko:K00824	smer:DU99_25220
ko:K02028	smer:DU99_25245
ko:K01706	smer:DU99_25330
ko:K03833	smer:DU99_25430
ko:K07126	smer:DU99_25435
ko:K01042	smer:DU99_25440
ko:K02380	smer:DU99_25445
ko:K00127	smer:DU99_25450
ko:K00124	smer:DU99_25455
ko:K00123	smer:DU99_25460
ko:K00123	smer:DU99_25465
ko:K00014	smer:DU99_25515
ko:K01190	smer:DU99_25695
ko:K10190	smer:DU99_25700
ko:K06222	smer:DU99_22160
ko:K00064	smer:DU99_22180
ko:K03521	smer:DU99_22205
ko:K03522	smer:DU99_22210
ko:K02035	smer:DU99_22240
ko:K02035	smer:DU99_22255
ko:K02033	smer:DU99_22260
ko:K02034	smer:DU99_22265
ko:K07090	smer:DU99_22280
ko:K02027	smer:DU99_22295
ko:K10189	smer:DU99_25705
ko:K10188	smer:DU99_25710
ko:K02529	smer:DU99_25725
ko:K07406	smer:DU99_25735
ko:K02033	smer:DU99_25745
ko:K02034	smer:DU99_25750
ko:K02031	smer:DU99_25755
ko:K02032	smer:DU99_25755
ko:K07406	smer:DU99_25760
ko:K02616	smer:DU99_25770
ko:K02609	smer:DU99_25775
ko:K02610	smer:DU99_25780
ko:K02611	smer:DU99_25785
ko:K02612	smer:DU99_25790
ko:K02613	smer:DU99_25795
ko:K02618	smer:DU99_25800
ko:K15866	smer:DU99_25810
ko:K13747	smer:DU99_25820
ko:K02529	smer:DU99_25830
ko:K02027	smer:DU99_25835
ko:K02025	smer:DU99_25840
ko:K11959	smer:DU99_25985
ko:K11960	smer:DU99_25990
ko:K11961	smer:DU99_25995
ko:K11962	smer:DU99_26000
ko:K11963	smer:DU99_26005
ko:K15977	smer:DU99_26025
ko:K03466	smer:DU99_26030
ko:K08995	smer:DU99_26040
ko:K03088	smer:DU99_26045
ko:K01512	smer:DU99_26055
ko:K01040	smer:DU99_26065
ko:K01039	smer:DU99_26070
ko:K02624	smer:DU99_26075
ko:K00681	smer:DU99_26080
ko:K00481	smer:DU99_26090
ko:K00457	smer:DU99_26100
ko:K02623	smer:DU99_26105
ko:K01055	smer:DU99_26110
ko:K01607	smer:DU99_26115
ko:K00449	smer:DU99_26120
ko:K06163	smer:DU99_26265
ko:K06164	smer:DU99_26270
ko:K06165	smer:DU99_26275
ko:K06166	smer:DU99_26280
ko:K02043	smer:DU99_26285
ko:K01847	smer:DU99_26290
ko:K01965	smer:DU99_26295
ko:K01966	smer:DU99_26300
ko:K01692	smer:DU99_26315
ko:K00046	smer:DU99_26325
ko:K00040	smer:DU99_26330
ko:K01915	smer:DU99_26350
ko:K07793	smer:DU99_26375
ko:K07794	smer:DU99_26380
ko:K07795	smer:DU99_26385
ko:K02012	smer:DU99_26390
ko:K07649	smer:DU99_26400
ko:K10439	smer:DU99_26405
ko:K10440	smer:DU99_26410
ko:K01142	smer:DU99_26570
ko:K07020	smer:DU99_26575
ko:K10979	smer:DU99_26585
ko:K14977	smer:DU99_26595
ko:K13641	smer:DU99_26605
ko:K01608	smer:DU99_26610
ko:K01483	smer:DU99_26630
ko:K09702	smer:DU99_26640
ko:K02529	smer:DU99_26645
ko:K10441	smer:DU99_26650
ko:K10439	smer:DU99_26660
ko:K10112	smer:DU99_26705
ko:K02027	smer:DU99_26710
ko:K03585	smer:DU99_26925
ko:K14998	smer:DU99_26955
ko:K02300	smer:DU99_26960
ko:K02299	smer:DU99_26965
ko:K02298	smer:DU99_26970
ko:K02297	smer:DU99_26975
ko:K03088	smer:DU99_26995
ko:K09022	smer:DU99_27210
ko:K06016	smer:DU99_27230
ko:K02016	smer:DU99_27245
ko:K02015	smer:DU99_27250
ko:K02013	smer:DU99_27255
ko:K01790	smer:DU99_27260
ko:K06978	smer:DU99_27280
ko:K10440	smer:DU99_27285
ko:K10441	smer:DU99_27290
ko:K10439	smer:DU99_27295
ko:K01804	smer:DU99_27300
ko:K01709	smer:DU99_27320
ko:K00978	smer:DU99_27325
ko:K03885	smer:DU99_27675
ko:K07506	smer:DU99_27685
ko:K06859	smer:DU99_27690
ko:K10439	smer:DU99_27695
ko:K10441	smer:DU99_27700
ko:K00008	smer:DU99_27710
ko:K05346	smer:DU99_27720
ko:K00101	smer:DU99_27725
ko:K01487	smer:DU99_27730
ko:K03566	smer:DU99_27740
ko:K13482	smer:DU99_27750
ko:K13481	smer:DU99_27755
ko:K00019	smer:DU99_27760
ko:K00864	smer:DU99_27765
ko:K01265	smer:DU99_27800
ko:K17938	smer:DU99_27810
ko:K03704	smer:DU99_11865
ko:K01653	smer:DU99_11875
ko:K01652	smer:DU99_11880
ko:K06915	smer:DU99_11885
ko:K00791	smer:DU99_11900
ko:K01079	smer:DU99_11905
ko:K09707	smer:DU99_11920
ko:K09937	smer:DU99_11925
ko:K04087	smer:DU99_11930
ko:K04088	smer:DU99_11935
ko:K00799	smer:DU99_11945
ko:K09985	smer:DU99_11985
ko:K01251	smer:DU99_00190
ko:K11189	smer:DU99_00195
ko:K02793	smer:DU99_00200
ko:K14980	smer:DU99_00210
ko:K14981	smer:DU99_00215
ko:K01610	smer:DU99_00220
ko:K15034	smer:DU99_00225
ko:K03919	smer:DU99_00235
ko:K00867	smer:DU99_00240
ko:K01523	smer:DU99_00245
ko:K02500	smer:DU99_00250
ko:K01814	smer:DU99_00255
ko:K02501	smer:DU99_00260
ko:K01693	smer:DU99_00270
ko:K01419	smer:DU99_00275
ko:K03667	smer:DU99_00285
ko:K01638	smer:DU99_00305
ko:K15012	smer:DU99_00330
ko:K15011	smer:DU99_00335
ko:K03579	smer:DU99_00340
ko:K05779	smer:DU99_00345
ko:K05778	smer:DU99_00350
ko:K05777	smer:DU99_00355
ko:K01739	smer:DU99_00420
ko:K07168	smer:DU99_00435
ko:K01491	smer:DU99_00445
ko:K00305	smer:DU99_00450
ko:K00303	smer:DU99_00465
ko:K06193	smer:DU99_04975
ko:K06915	smer:DU99_04980
ko:K00598	smer:DU99_05000
ko:K01560	smer:DU99_05005
ko:K00826	smer:DU99_05020
ko:K04564	smer:DU99_05030
ko:K17836	smer:DU99_05065
ko:K00117	smer:DU99_05070
ko:K01354	smer:DU99_05085
ko:K07104	smer:DU99_05090
ko:K11068	smer:DU99_05105
ko:K07305	smer:DU99_05120
ko:K05565	smer:DU99_05125
ko:K05566	smer:DU99_05130
ko:K05567	smer:DU99_05135
ko:K05568	smer:DU99_05140
ko:K05569	smer:DU99_05145
ko:K05570	smer:DU99_05150
ko:K05571	smer:DU99_05155
ko:K02426	smer:DU99_05165
ko:K11357	smer:DU99_05175
ko:K05366	smer:DU99_05225
ko:K09160	smer:DU99_05230
ko:K13587	smer:DU99_09850
ko:K06204	smer:DU99_09860
ko:K08296	smer:DU99_09865
ko:K06918	smer:DU99_09870
ko:K08990	smer:DU99_09875
ko:K00950	smer:DU99_09885
ko:K01633	smer:DU99_09890
ko:K00796	smer:DU99_09895
ko:K04755	smer:DU99_09905
ko:K00413	smer:DU99_09920
ko:K00412	smer:DU99_09925
ko:K00411	smer:DU99_09930
ko:K03216	smer:DU99_09945
ko:K13639	smer:DU99_09955
ko:K00228	smer:DU99_09970
ko:K18480	smer:DU99_09990
ko:K02067	smer:DU99_09995
ko:K03566	smer:DU99_13910
ko:K00128	smer:DU99_13925
ko:K09471	smer:DU99_13935
ko:K01915	smer:DU99_13940
ko:K02027	smer:DU99_13960
ko:K02025	smer:DU99_13965
ko:K02026	smer:DU99_13970
ko:K10112	smer:DU99_13975
ko:K08738	smer:DU99_13980
ko:K02275	smer:DU99_13985
ko:K02274	smer:DU99_13990
ko:K02276	smer:DU99_13995
ko:K02276	smer:DU99_14000
ko:K05351	smer:DU99_14035
ko:K07058	smer:DU99_14645
ko:K03521	smer:DU99_14670
ko:K03522	smer:DU99_14675
ko:K00074	smer:DU99_14680
ko:K01755	smer:DU99_14690
ko:K01586	smer:DU99_14700
ko:K00760	smer:DU99_14720
ko:K09812	smer:DU99_14730
ko:K09811	smer:DU99_14735
ko:K00655	smer:DU99_14745
ko:K07232	smer:DU99_14750
ko:K00220	smer:DU99_14760
ko:K00817	smer:DU99_14765
ko:K01069	smer:DU99_14775
ko:K09705	smer:DU99_14780
ko:K07090	smer:DU99_15385
ko:K00963	smer:DU99_15515
ko:K00266	smer:DU99_15530
ko:K00265	smer:DU99_15535
ko:K01620	smer:DU99_15540
ko:K14347	smer:DU99_15545
ko:K18457	smer:DU99_15550
ko:K07782	smer:DU99_15555
ko:K01259	smer:DU99_15560
ko:K02033	smer:DU99_15565
ko:K02034	smer:DU99_15570
ko:K02031	smer:DU99_15575
ko:K02032	smer:DU99_15575
ko:K02035	smer:DU99_15580
ko:K04080	smer:DU99_15585
ko:K01048	smer:DU99_15590
ko:K13589	smer:DU99_15605
ko:K01687	smer:DU99_15625
ko:K03088	smer:DU99_15655
ko:K06996	smer:DU99_15670
ko:K02379	smer:DU99_16585
ko:K00123	smer:DU99_16590
ko:K02313	smer:DU99_01975
ko:K03088	smer:DU99_01985
ko:K04750	smer:DU99_01995
ko:K02428	smer:DU99_02005
ko:K00989	smer:DU99_02015
ko:K03705	smer:DU99_02020
ko:K03687	smer:DU99_02025
ko:K02806	smer:DU99_02030
ko:K03092	smer:DU99_02040
ko:K06861	smer:DU99_02045
ko:K09774	smer:DU99_02050
ko:K11719	smer:DU99_02055
ko:K04773	smer:DU99_02060
ko:K05788	smer:DU99_02065
ko:K06969	smer:DU99_02080
ko:K03437	smer:DU99_02085
ko:K03101	smer:DU99_02090
ko:K00029	smer:DU99_02105
ko:K03555	smer:DU99_02110
ko:K00990	smer:DU99_02115
ko:K03980	smer:DU99_02120
ko:K01867	smer:DU99_02130
ko:K03789	smer:DU99_02150
ko:K06168	smer:DU99_02160
ko:K07042	smer:DU99_02170
ko:K03820	smer:DU99_02180
ko:K00789	smer:DU99_02190
ko:K03439	smer:DU99_02195
ko:K03406	smer:DU99_02215
ko:K00852	smer:DU99_02220
ko:K09760	smer:DU99_02225
ko:K01462	smer:DU99_02230
ko:K00604	smer:DU99_02235
ko:K06173	smer:DU99_02240
ko:K01439	smer:DU99_02255
ko:K12573	smer:DU99_06775
ko:K03168	smer:DU99_06780
ko:K04096	smer:DU99_06785
ko:K08591	smer:DU99_06790
ko:K01465	smer:DU99_06795
ko:K00609	smer:DU99_06800
ko:K09456	smer:DU99_06805
ko:K07088	smer:DU99_06810
ko:K07447	smer:DU99_06825
ko:K02435	smer:DU99_06835
ko:K02433	smer:DU99_06840
ko:K09982	smer:DU99_06845
ko:K02434	smer:DU99_06850
ko:K00684	smer:DU99_06870
ko:K01961	smer:DU99_06875
ko:K02160	smer:DU99_06880
ko:K03786	smer:DU99_06885
ko:K08300	smer:DU99_06920
ko:K01448	smer:DU99_06930
ko:K05366	smer:DU99_06935
ko:K02836	smer:DU99_06945
ko:K00858	smer:DU99_06955
ko:K01118	smer:DU99_06975
ko:K03218	smer:DU99_06985
ko:K02358	smer:DU99_07000
ko:K03073	smer:DU99_07020
ko:K02601	smer:DU99_07025
ko:K02867	smer:DU99_07030
ko:K02863	smer:DU99_07035
ko:K02864	smer:DU99_07040
ko:K02935	smer:DU99_07045
ko:K03043	smer:DU99_07050
ko:K03046	smer:DU99_07055
ko:K02950	smer:DU99_07065
ko:K02992	smer:DU99_07070
ko:K00548	smer:DU99_10785
ko:K18554	smer:DU99_10800
ko:K00124	smer:DU99_16600
ko:K00127	smer:DU99_16605
ko:K00059	smer:DU99_16615
ko:K02444	smer:DU99_16620
ko:K00111	smer:DU99_16625
ko:K17324	smer:DU99_16630
ko:K17325	smer:DU99_16635
ko:K17322	smer:DU99_16640
ko:K17323	smer:DU99_16645
ko:K17321	smer:DU99_16655
ko:K03711	smer:DU99_16675
ko:K11604	smer:DU99_16680
ko:K11607	smer:DU99_16685
ko:K11605	smer:DU99_16690
ko:K11606	smer:DU99_16695
ko:K02114	smer:DU99_16715
ko:K02112	smer:DU99_16720
ko:K02115	smer:DU99_16725
ko:K10112	smer:DU99_17765
ko:K17317	smer:DU99_17770
ko:K17316	smer:DU99_17775
ko:K17315	smer:DU99_17780
ko:K02529	smer:DU99_17805
ko:K01284	smer:DU99_17815
ko:K00052	smer:DU99_17825
ko:K00133	smer:DU99_17855
ko:K01673	smer:DU99_17865
ko:K00868	smer:DU99_17870
ko:K15371	smer:DU99_17875
ko:K06902	smer:DU99_17880
ko:K00602	smer:DU99_17885
ko:K05836	smer:DU99_19120
ko:K03648	smer:DU99_19140
ko:K07335	smer:DU99_19155
ko:K02056	smer:DU99_19160
ko:K02057	smer:DU99_19165
ko:K02057	smer:DU99_19170
ko:K07032	smer:DU99_19175
ko:K12960	smer:DU99_19185
ko:K07726	smer:DU99_19190
ko:K00122	smer:DU99_19220
ko:K02029	smer:DU99_19255
ko:K03313	smer:DU99_20645
ko:K07304	smer:DU99_20700
ko:K07305	smer:DU99_20705
ko:K00384	smer:DU99_20715
ko:K00375	smer:DU99_20750
ko:K17226	smer:DU99_20755
ko:K17227	smer:DU99_20760
ko:K07152	smer:DU99_20790
ko:K00643	smer:DU99_20795
ko:K04077	smer:DU99_20800
ko:K02025	smer:DU99_22300
ko:K02026	smer:DU99_22305
ko:K00058	smer:DU99_22360
ko:K10112	smer:DU99_22365
ko:K10112	smer:DU99_22370
ko:K02026	smer:DU99_22380
ko:K02025	smer:DU99_22385
ko:K02027	smer:DU99_22390
ko:K00799	smer:DU99_22435
ko:K03455	smer:DU99_21640
ko:K07346	smer:DU99_21645
ko:K02278	smer:DU99_21715
ko:K02279	smer:DU99_21720
ko:K02282	smer:DU99_21725
ko:K14162	smer:DU99_23210
ko:K14160	smer:DU99_23220
ko:K00820	smer:DU99_23250
ko:K02592	smer:DU99_23270
ko:K14658	smer:DU99_23290
ko:K14659	smer:DU99_23295
ko:K14666	smer:DU99_23300
ko:K09695	smer:DU99_23305
ko:K09694	smer:DU99_23310
ko:K00955	smer:DU99_23325
ko:K00957	smer:DU99_23330
ko:K00059	smer:DU99_23335
ko:K14660	smer:DU99_23340
ko:K00448	smer:DU99_26125
ko:K01857	smer:DU99_26130
ko:K06044	smer:DU99_26135
ko:K00299	smer:DU99_26140
ko:K15554	smer:DU99_26150
ko:K15555	smer:DU99_26165
ko:K01999	smer:DU99_26170
ko:K01997	smer:DU99_26175
ko:K01998	smer:DU99_26180
ko:K01995	smer:DU99_26185
ko:K01996	smer:DU99_26190
ko:K00097	smer:DU99_26220
ko:K05780	smer:DU99_26255
ko:K05781	smer:DU99_26260
ko:K10441	smer:DU99_26415
ko:K05499	smer:DU99_26420
ko:K17215	smer:DU99_26445
ko:K17213	smer:DU99_26450
ko:K06606	smer:DU99_26455
ko:K03652	smer:DU99_26470
ko:K00567	smer:DU99_26475
ko:K02030	smer:DU99_26485
ko:K00703	smer:DU99_26495
ko:K06910	smer:DU99_26500
ko:K03543	smer:DU99_26520
ko:K03446	smer:DU99_26525
ko:K00065	smer:DU99_26550
ko:K00046	smer:DU99_26555
ko:K06145	smer:DU99_26680
ko:K02025	smer:DU99_26720
ko:K02026	smer:DU99_26725
ko:K01953	smer:DU99_26755
ko:K01916	smer:DU99_26770
ko:K03610	smer:DU99_26790
ko:K03609	smer:DU99_26795
ko:K03608	smer:DU99_26800
ko:K01714	smer:DU99_26855
ko:K09799	smer:DU99_27070
ko:K03710	smer:DU99_27090
ko:K01222	smer:DU99_27095
ko:K10236	smer:DU99_27105
ko:K10111	smer:DU99_27110
ko:K10237	smer:DU99_27115
ko:K10238	smer:DU99_27120
ko:K09003	smer:DU99_27130
ko:K00799	smer:DU99_27160
ko:K03168	smer:DU99_27180
ko:K10979	smer:DU99_27365
ko:K10979	smer:DU99_27370
ko:K10545	smer:DU99_27440
ko:K10544	smer:DU99_27445
ko:K10543	smer:DU99_27450
ko:K00010	smer:DU99_27465
ko:K10546	smer:DU99_27490
ko:K10548	smer:DU99_27495
ko:K10547	smer:DU99_27500
ko:K03977	smer:DU99_27830
ko:K07403	smer:DU99_27855
ko:K02302	smer:DU99_27870
ko:K00372	smer:DU99_27875
ko:K00363	smer:DU99_27880
ko:K00362	smer:DU99_27885
ko:K02030	smer:DU99_27920
ko:K02029	smer:DU99_27925
ko:K10111	smer:DU99_27940
ko:K02027	smer:DU99_27945
ko:K02025	smer:DU99_27950
ko:K02026	smer:DU99_27955
ko:K02471	smer:DU99_28125
ko:K10439	smer:DU99_28150
ko:K10440	smer:DU99_28160
ko:K01209	smer:DU99_28185
ko:K02027	smer:DU99_28195
ko:K02025	smer:DU99_28200
ko:K02026	smer:DU99_28205
ko:K01467	smer:DU99_28215
ko:K02027	smer:DU99_28240
ko:K02025	smer:DU99_28245
ko:K02026	smer:DU99_28250
ko:K10112	smer:DU99_28255
ko:K02057	smer:DU99_28265
ko:K02057	smer:DU99_28270
ko:K13483	smer:DU99_28440
ko:K11178	smer:DU99_28445
ko:K11177	smer:DU99_28450
ko:K11747	smer:DU99_28455
ko:K07112	smer:DU99_28490
ko:K02477	smer:DU99_28510
ko:K02011	smer:DU99_28525
ko:K02010	smer:DU99_28530
ko:K02012	smer:DU99_28535
ko:K03430	smer:DU99_28550
ko:K03324	smer:DU99_28555
ko:K07058	smer:DU99_28730
ko:K07058	smer:DU99_28760
ko:K01812	smer:DU99_28770
ko:K01815	smer:DU99_28795
ko:K00065	smer:DU99_28800
ko:K02529	smer:DU99_28810
ko:K10439	smer:DU99_28815
ko:K10441	smer:DU99_28820
ko:K10440	smer:DU99_28825
ko:K10440	smer:DU99_28830
ko:K11177	smer:DU99_28840
ko:K11178	smer:DU99_28845
ko:K13483	smer:DU99_28850
ko:K07506	smer:DU99_28855
ko:K04079	smer:DU99_29155
ko:K00252	smer:DU99_29165
ko:K02041	smer:DU99_29185
ko:K02044	smer:DU99_29190
ko:K02042	smer:DU99_29195
ko:K02042	smer:DU99_29200
ko:K06162	smer:DU99_29210
ko:K05774	smer:DU99_29215
ko:K01468	smer:DU99_29235
ko:K01745	smer:DU99_29240
ko:K01479	smer:DU99_29245
ko:K01712	smer:DU99_29250
ko:K12373	smer:DU99_29265
ko:K13015	smer:DU99_29590
ko:K00604	smer:DU99_29690
ko:K13013	smer:DU99_29695
ko:K01955	smer:DU99_29720
ko:K01915	smer:DU99_00490
ko:K01433	smer:DU99_00530
ko:K00605	smer:DU99_00535
ko:K18277	smer:DU99_00555
ko:K00605	smer:DU99_00560
ko:K00799	smer:DU99_00595
ko:K10111	smer:DU99_00600
ko:K02026	smer:DU99_00615
ko:K02025	smer:DU99_00620
ko:K02027	smer:DU99_00625
ko:K01534	smer:DU99_00660
ko:K02056	smer:DU99_00665
ko:K02057	smer:DU99_00670
ko:K02057	smer:DU99_00675
ko:K01489	smer:DU99_00680
ko:K03783	smer:DU99_00685
ko:K00758	smer:DU99_00690
ko:K00761	smer:DU99_00695
ko:K01488	smer:DU99_00700
ko:K01839	smer:DU99_00705
ko:K02651	smer:DU99_00725
ko:K02278	smer:DU99_00730
ko:K02279	smer:DU99_00735
ko:K02280	smer:DU99_00740
ko:K02281	smer:DU99_00745
ko:K02282	smer:DU99_00750
ko:K02283	smer:DU99_00755
ko:K12510	smer:DU99_00760
ko:K12511	smer:DU99_00765
ko:K02200	smer:DU99_05270
ko:K02197	smer:DU99_05275
ko:K02198	smer:DU99_05280
ko:K02200	smer:DU99_05285
ko:K00982	smer:DU99_05305
ko:K07716	smer:DU99_05310
ko:K01256	smer:DU99_05315
ko:K04046	smer:DU99_05350
ko:K00311	smer:DU99_05355
ko:K02002	smer:DU99_05360
ko:K02001	smer:DU99_05365
ko:K01241	smer:DU99_05400
ko:K09771	smer:DU99_05405
ko:K07126	smer:DU99_05430
ko:K00817	smer:DU99_05435
ko:K08309	smer:DU99_05485
ko:K01714	smer:DU99_05490
ko:K03664	smer:DU99_05495
ko:K03060	smer:DU99_05515
ko:K09928	smer:DU99_05540
ko:K00997	smer:DU99_05545
ko:K03100	smer:DU99_05550
ko:K03685	smer:DU99_05555
ko:K00537	smer:DU99_05570
ko:K02065	smer:DU99_10000
ko:K02066	smer:DU99_10005
ko:K05820	smer:DU99_10015
ko:K00029	smer:DU99_10025
ko:K04719	smer:DU99_10045
ko:K02529	smer:DU99_10060
ko:K01916	smer:DU99_10070
ko:K01626	smer:DU99_10100
ko:K00383	smer:DU99_10105
ko:K09924	smer:DU99_10110
ko:K01807	smer:DU99_10115
ko:K01091	smer:DU99_10120
ko:K01679	smer:DU99_10130
ko:K07006	smer:DU99_10135
ko:K02902	smer:DU99_14795
ko:K09125	smer:DU99_14800
ko:K09883	smer:DU99_14810
ko:K05527	smer:DU99_14825
ko:K01735	smer:DU99_14835
ko:K00891	smer:DU99_14840
ko:K04763	smer:DU99_14870
ko:K01962	smer:DU99_14875
ko:K04085	smer:DU99_14885
ko:K03719	smer:DU99_14915
ko:K13979	smer:DU99_14920
ko:K00688	smer:DU99_15700
ko:K00700	smer:DU99_15705
ko:K00975	smer:DU99_15710
ko:K00703	smer:DU99_15715
ko:K01835	smer:DU99_15720
ko:K00305	smer:DU99_15745
ko:K00303	smer:DU99_15760
ko:K02970	smer:DU99_15765
ko:K00325	smer:DU99_15785
ko:K00324	smer:DU99_15790
ko:K00324	smer:DU99_15795
ko:K07010	smer:DU99_15810
ko:K01470	smer:DU99_15830
ko:K02111	smer:DU99_16730
ko:K02113	smer:DU99_16735
ko:K04066	smer:DU99_16745
ko:K00616	smer:DU99_16750
ko:K03733	smer:DU99_16780
ko:K09973	smer:DU99_16785
ko:K00382	smer:DU99_16790
ko:K00658	smer:DU99_16810
ko:K00164	smer:DU99_16815
ko:K01902	smer:DU99_16820
ko:K01903	smer:DU99_16825
ko:K00024	smer:DU99_16830
ko:K06916	smer:DU99_16835
ko:K10112	smer:DU99_16855
ko:K10119	smer:DU99_16860
ko:K10118	smer:DU99_16865
ko:K03500	smer:DU99_17895
ko:K03799	smer:DU99_17900
ko:K01895	smer:DU99_17910
ko:K09987	smer:DU99_17915
ko:K01908	smer:DU99_17920
ko:K06997	smer:DU99_17925
ko:K01869	smer:DU99_17930
ko:K03643	smer:DU99_17935
ko:K02340	smer:DU99_17940
ko:K03501	smer:DU99_17955
ko:K03495	smer:DU99_17960
ko:K03650	smer:DU99_17965
ko:K03628	smer:DU99_17970
ko:K08973	smer:DU99_17975
ko:K01599	smer:DU99_17980
ko:K00128	smer:DU99_18035
ko:K02030	smer:DU99_19260
ko:K05592	smer:DU99_02285
ko:K00674	smer:DU99_02295
ko:K06966	smer:DU99_02305
ko:K07025	smer:DU99_02310
ko:K10778	smer:DU99_02320
ko:K00930	smer:DU99_02330
ko:K07305	smer:DU99_02340
ko:K03978	smer:DU99_02350
ko:K03217	smer:DU99_02355
ko:K03536	smer:DU99_02360
ko:K02914	smer:DU99_02365
ko:K03406	smer:DU99_02370
ko:K00101	smer:DU99_02415
ko:K13821	smer:DU99_02490
ko:K06940	smer:DU99_02495
ko:K15977	smer:DU99_02525
ko:K02431	smer:DU99_02530
ko:K10552	smer:DU99_02545
ko:K10553	smer:DU99_02550
ko:K10554	smer:DU99_02555
ko:K01465	smer:DU99_02565
ko:K00762	smer:DU99_02570
ko:K00847	smer:DU99_02575
ko:K02355	smer:DU99_07075
ko:K02358	smer:DU99_07080
ko:K02946	smer:DU99_07085
ko:K02906	smer:DU99_07090
ko:K02926	smer:DU99_07095
ko:K02892	smer:DU99_07100
ko:K02886	smer:DU99_07105
ko:K02965	smer:DU99_07110
ko:K02890	smer:DU99_07115
ko:K02982	smer:DU99_07120
ko:K02878	smer:DU99_07125
ko:K02904	smer:DU99_07130
ko:K02961	smer:DU99_07135
ko:K02874	smer:DU99_07140
ko:K02895	smer:DU99_07145
ko:K02931	smer:DU99_07150
ko:K02954	smer:DU99_07155
ko:K02994	smer:DU99_07160
ko:K02933	smer:DU99_07165
ko:K02881	smer:DU99_07170
ko:K02988	smer:DU99_07175
ko:K02907	smer:DU99_07180
ko:K02876	smer:DU99_07185
ko:K03076	smer:DU99_07190
ko:K00939	smer:DU99_07195
ko:K02952	smer:DU99_07200
ko:K02948	smer:DU99_07205
ko:K03040	smer:DU99_07210
ko:K02879	smer:DU99_07215
ko:K17247	smer:DU99_07220
ko:K07478	smer:DU99_07235
ko:K01091	smer:DU99_07250
ko:K06179	smer:DU99_07255
ko:K06199	smer:DU99_07260
ko:K01070	smer:DU99_07265
ko:K09768	smer:DU99_07275
ko:K00121	smer:DU99_07280
ko:K03801	smer:DU99_07290
ko:K07180	smer:DU99_07305
ko:K09786	smer:DU99_07310
ko:K01462	smer:DU99_07335
ko:K06213	smer:DU99_07340
ko:K01752	smer:DU99_07370
ko:K03088	smer:DU99_11040
ko:K07165	smer:DU99_11045
ko:K16087	smer:DU99_11050
ko:K02587	smer:DU99_23445
ko:K02591	smer:DU99_23450
ko:K02586	smer:DU99_23455
ko:K02588	smer:DU99_23460
ko:K03521	smer:DU99_23475
ko:K03522	smer:DU99_23480
ko:K00313	smer:DU99_23485
ko:K03855	smer:DU99_23490
ko:K02584	smer:DU99_23495
ko:K02585	smer:DU99_23500
ko:K02593	smer:DU99_23510
ko:K00135	smer:DU99_23525
ko:K02052	smer:DU99_23530
ko:K02053	smer:DU99_23535
ko:K02054	smer:DU99_23540
ko:K07798	smer:DU99_27565
ko:K07787	smer:DU99_27570
ko:K11927	smer:DU99_27580
ko:K01483	smer:DU99_27615
ko:K07127	smer:DU99_27620
ko:K12308	smer:DU99_27970
ko:K00941	smer:DU99_27985
ko:K00963	smer:DU99_28000
ko:K16555	smer:DU99_28005
ko:K16556	smer:DU99_28010
ko:K16557	smer:DU99_28015
ko:K16558	smer:DU99_28020
ko:K16566	smer:DU99_28080
ko:K01784	smer:DU99_28100
ko:K06147	smer:DU99_28105
ko:K06920	smer:DU99_28110
ko:K01737	smer:DU99_28115
ko:K10026	smer:DU99_28120
ko:K02056	smer:DU99_28275
ko:K02058	smer:DU99_28285
ko:K01920	smer:DU99_28290
ko:K07213	smer:DU99_28335
ko:K02002	smer:DU99_28365
ko:K02029	smer:DU99_19280
ko:K02029	smer:DU99_19285
ko:K02030	smer:DU99_19290
ko:K02028	smer:DU99_19295
ko:K00098	smer:DU99_19305
ko:K00046	smer:DU99_19310
ko:K00851	smer:DU99_19315
ko:K02012	smer:DU99_19335
ko:K02011	smer:DU99_19340
ko:K02010	smer:DU99_19345
ko:K06889	smer:DU99_20695
ko:K07397	smer:DU99_20695
ko:K00404	smer:DU99_20810
ko:K00405	smer:DU99_20815
