ko:K10109	aat:D11S_1010
ko:K09471	aat:D11S_0288
ko:K07237	aat:D11S_0292
ko:K07236	aat:D11S_0293
ko:K07235	aat:D11S_0294
ko:K09908	aat:D11S_1159
ko:K09136	aat:D11S_1160
ko:K01809	aat:D11S_1161
ko:K09946	aat:D11S_1162
ko:K02492	aat:D11S_1166
ko:K02565	aat:D11S_1167
ko:K00939	aat:D11S_1172
ko:K08218	aat:D11S_1173
ko:K04651	aat:D11S_1174
ko:K06901	aat:D11S_1177
ko:K04075	aat:D11S_1179
ko:K00868	aat:D11S_1180
ko:K01962	aat:D11S_1181
ko:K07504	aat:D11S_1188
ko:K01951	aat:D11S_1193
ko:K07473	aat:D11S_1195
ko:K03326	aat:D11S_1197
ko:K09748	aat:D11S_1199
ko:K02600	aat:D11S_1200
ko:K02519	aat:D11S_1201
ko:K02834	aat:D11S_1202
ko:K03177	aat:D11S_1203
ko:K01866	aat:D11S_1206
ko:K06206	aat:D11S_1207
ko:K00324	aat:D11S_1208
ko:K00325	aat:D11S_1209
ko:K01008	aat:D11S_1213
ko:K00865	aat:D11S_2060
ko:K02647	aat:D11S_2062
ko:K05592	aat:D11S_2064
ko:K05803	aat:D11S_2065
ko:K00962	aat:D11S_2066
ko:K03806	aat:D11S_2069
ko:K02682	aat:D11S_2070
ko:K00859	aat:D11S_2074
ko:K09862	aat:D11S_2075
ko:K06975	aat:D11S_2076
ko:K03310	aat:D11S_2077
ko:K05809	aat:D11S_2078
ko:K03557	aat:D11S_2080
ko:K02687	aat:D11S_2082
ko:K04095	aat:D11S_2083
ko:K02160	aat:D11S_2090
ko:K03786	aat:D11S_2092
ko:K02549	aat:D11S_2093
ko:K01661	aat:D11S_2096
ko:K01803	aat:D11S_2097
ko:K09894	aat:D11S_2101
ko:K11991	aat:D11S_2102
ko:K00560	aat:D11S_2103
ko:K08311	aat:D11S_2106
ko:K06726	aat:D11S_2107
ko:K10441	aat:D11S_2108
ko:K10440	aat:D11S_2109
ko:K10439	aat:D11S_2110
ko:K00852	aat:D11S_2111
ko:K03704	aat:D11S_2112
ko:K01885	aat:D11S_2114
ko:K03745	aat:D11S_0297
ko:K04761	aat:D11S_0299
ko:K07792	aat:D11S_0303
ko:K03071	aat:D11S_0305
ko:K00057	aat:D11S_0306
ko:K00640	aat:D11S_0307
ko:K02446	aat:D11S_0310
ko:K09892	aat:D11S_0311
ko:K06205	aat:D11S_0312
ko:K03495	aat:D11S_0313
ko:K03501	aat:D11S_0316
ko:K02108	aat:D11S_0318
ko:K02110	aat:D11S_0319
ko:K02109	aat:D11S_0320
ko:K02113	aat:D11S_0321
ko:K02111	aat:D11S_0322
ko:K02115	aat:D11S_0323
ko:K02112	aat:D11S_0324
ko:K02114	aat:D11S_0325
ko:K11069	aat:D11S_0326
ko:K01153	aat:D11S_0328
ko:K01154	aat:D11S_0331
ko:K03427	aat:D11S_0333
ko:K02796	aat:D11S_0334
ko:K02795	aat:D11S_0335
ko:K02793	aat:D11S_0336
ko:K02794	aat:D11S_0336
ko:K02529	aat:D11S_0338
ko:K10544	aat:D11S_0343
ko:K10545	aat:D11S_0344
ko:K10543	aat:D11S_0345
ko:K01805	aat:D11S_0346
ko:K00854	aat:D11S_0347
ko:K03703	aat:D11S_1218
ko:K00979	aat:D11S_1219
ko:K09791	aat:D11S_1220
ko:K00912	aat:D11S_1221
ko:K02238	aat:D11S_1223
ko:K06204	aat:D11S_1224
ko:K00925	aat:D11S_1228
ko:K09899	aat:D11S_1229
ko:K03558	aat:D11S_1230
ko:K00705	aat:D11S_1232
ko:K00688	aat:D11S_1233
ko:K03556	aat:D11S_1234
ko:K00163	aat:D11S_1236
ko:K00627	aat:D11S_1237
ko:K00382	aat:D11S_1238
ko:K04773	aat:D11S_1241
ko:K06178	aat:D11S_1244
ko:K00674	aat:D11S_1246
ko:K09901	aat:D11S_1247
ko:K03604	aat:D11S_1249
ko:K00641	aat:D11S_1250
ko:K03748	aat:D11S_1251
ko:K03435	aat:D11S_1252
ko:K06196	aat:D11S_1256
ko:K12267	aat:D11S_1257
ko:K01673	aat:D11S_1258
ko:K03271	aat:D11S_1260
ko:K07460	aat:D11S_1261
ko:K07121	aat:D11S_1262
ko:K07056	aat:D11S_1263
ko:K00111	aat:D11S_1264
ko:K03885	aat:D11S_1265
ko:K01118	aat:D11S_1266
ko:K01868	aat:D11S_1270
ko:K01755	aat:D11S_2119
ko:K00262	aat:D11S_2120
ko:K03781	aat:D11S_2121
ko:K02337	aat:D11S_2123
ko:K04068	aat:D11S_2131
ko:K03424	aat:D11S_2132
ko:K03768	aat:D11S_2135
ko:K01883	aat:D11S_2136
ko:K03644	aat:D11S_2137
ko:K03801	aat:D11S_2138
ko:K09158	aat:D11S_2139
ko:K07258	aat:D11S_2140
ko:K03642	aat:D11S_2141
ko:K05837	aat:D11S_2142
ko:K05515	aat:D11S_2143
ko:K00783	aat:D11S_2144
ko:K09710	aat:D11S_2145
ko:K03732	aat:D11S_2146
ko:K03628	aat:D11S_2147
ko:K02078	aat:D11S_2150
ko:K00059	aat:D11S_2151
ko:K00645	aat:D11S_2152
ko:K00648	aat:D11S_2153
ko:K03621	aat:D11S_2154
ko:K02911	aat:D11S_2155
ko:K07040	aat:D11S_2156
ko:K01935	aat:D11S_2157
ko:K02169	aat:D11S_2158
ko:K00998	aat:D11S_0352
ko:K03214	aat:D11S_0353
ko:K00927	aat:D11S_0356
ko:K01624	aat:D11S_0357
ko:K01652	aat:D11S_0362
ko:K01754	aat:D11S_0363
ko:K09811	aat:D11S_0365
ko:K09812	aat:D11S_0366
ko:K01091	aat:D11S_0367
ko:K01783	aat:D11S_0368
ko:K05589	aat:D11S_0369
ko:K00991	aat:D11S_0370
ko:K01770	aat:D11S_0371
ko:K06176	aat:D11S_0372
ko:K03787	aat:D11S_0373
ko:K06194	aat:D11S_0376
ko:K12984	aat:D11S_0378
ko:K02527	aat:D11S_0379
ko:K00954	aat:D11S_0380
ko:K11211	aat:D11S_0381
ko:K00631	aat:D11S_0386
ko:K01356	aat:D11S_0387
ko:K02990	aat:D11S_0389
ko:K02686	aat:D11S_0390
ko:K02963	aat:D11S_0391
ko:K02939	aat:D11S_0392
ko:K04096	aat:D11S_0393
ko:K01126	aat:D11S_0394
ko:K02445	aat:D11S_0395
ko:K03218	aat:D11S_0397
ko:K12573	aat:D11S_0398
ko:K03569	aat:D11S_0399
ko:K03570	aat:D11S_0400
ko:K03571	aat:D11S_0401
ko:K02884	aat:D11S_0402
ko:K00554	aat:D11S_0403
ko:K02860	aat:D11S_0404
ko:K02959	aat:D11S_0405
ko:K01262	aat:D11S_0408
ko:K00528	aat:D11S_1276
ko:K02520	aat:D11S_1277
ko:K02887	aat:D11S_1279
ko:K04082	aat:D11S_0876
ko:K04488	aat:D11S_0878
ko:K04487	aat:D11S_0879
ko:K01092	aat:D11S_0882
ko:K02011	aat:D11S_0885
ko:K02012	aat:D11S_0887
ko:K00876	aat:D11S_0888
ko:K01494	aat:D11S_0889
ko:K08159	aat:D11S_0891
ko:K03977	aat:D11S_0892
ko:K05516	aat:D11S_0893
ko:K01939	aat:D11S_0895
ko:K11928	aat:D11S_0897
ko:K08301	aat:D11S_0898
ko:K03675	aat:D11S_0899
ko:K12410	aat:D11S_0900
ko:K00995	aat:D11S_0916
ko:K01760	aat:D11S_0917
ko:K03686	aat:D11S_0921
ko:K04043	aat:D11S_0922
ko:K01887	aat:D11S_0924
ko:K09907	aat:D11S_0925
ko:K06077	aat:D11S_0926
ko:K02835	aat:D11S_0927
ko:K02493	aat:D11S_0928
ko:K01627	aat:D11S_0929
ko:K09902	aat:D11S_0931
ko:K03610	aat:D11S_0932
ko:K02436	aat:D11S_1285
ko:K01662	aat:D11S_1286
ko:K00795	aat:D11S_1287
ko:K03602	aat:D11S_1288
ko:K01963	aat:D11S_1289
ko:K06131	aat:D11S_1292
ko:K06193	aat:D11S_1297
ko:K01886	aat:D11S_1306
ko:K09160	aat:D11S_1307
ko:K00700	aat:D11S_1309
ko:K02438	aat:D11S_1310
ko:K00975	aat:D11S_1311
ko:K00703	aat:D11S_1312
ko:K00688	aat:D11S_1313
ko:K02897	aat:D11S_1316
ko:K07262	aat:D11S_1318
ko:K03633	aat:D11S_1319
ko:K03804	aat:D11S_1322
ko:K03632	aat:D11S_1323
ko:K01141	aat:D11S_1325
ko:K06952	aat:D11S_2199
ko:K09895	aat:D11S_0409
ko:K09888	aat:D11S_0410
ko:K05807	aat:D11S_0412
ko:K06180	aat:D11S_0413
ko:K05810	aat:D11S_0414
ko:K09131	aat:D11S_0417
ko:K02221	aat:D11S_0418
ko:K03284	aat:D11S_0419
ko:K03591	aat:D11S_0425
ko:K04066	aat:D11S_0426
ko:K07270	aat:D11S_0429
ko:K02909	aat:D11S_0431
ko:K07270	aat:D11S_0432
ko:K10563	aat:D11S_0435
ko:K02913	aat:D11S_0436
ko:K02902	aat:D11S_0437
ko:K03630	aat:D11S_0438
ko:K01520	aat:D11S_0441
ko:K05501	aat:D11S_0442
ko:K09898	aat:D11S_0443
ko:K10914	aat:D11S_0444
ko:K00383	aat:D11S_0445
ko:K07115	aat:D11S_0446
ko:K05366	aat:D11S_0447
ko:K02507	aat:D11S_0452
ko:K00891	aat:D11S_0453
ko:K01735	aat:D11S_0454
ko:K06223	aat:D11S_0455
ko:K03111	aat:D11S_0456
ko:K03701	aat:D11S_0457
ko:K03070	aat:D11S_0461
ko:K02340	aat:D11S_0463
ko:K03643	aat:D11S_0464
ko:K01869	aat:D11S_0466
ko:K02217	aat:D11S_1330
ko:K02217	aat:D11S_1331
ko:K03168	aat:D11S_1336
ko:K01256	aat:D11S_1339
ko:K00813	aat:D11S_1340
ko:K01993	aat:D11S_1343
ko:K02015	aat:D11S_1348
ko:K02013	aat:D11S_1349
ko:K02016	aat:D11S_1350
ko:K02013	aat:D11S_1355
ko:K02015	aat:D11S_1356
ko:K02016	aat:D11S_1357
ko:K02014	aat:D11S_1359
ko:K04764	aat:D11S_1364
ko:K01890	aat:D11S_1365
ko:K01889	aat:D11S_1366
ko:K03799	aat:D11S_1367
ko:K06041	aat:D11S_1368
ko:K03270	aat:D11S_1369
ko:K01657	aat:D11S_1370
ko:K01658	aat:D11S_1371
ko:K00766	aat:D11S_1373
ko:K04653	aat:D11S_1376
ko:K01573	aat:D11S_1379
ko:K01571	aat:D11S_1380
ko:K01572	aat:D11S_1381
ko:K01525	aat:D11S_0471
ko:K02528	aat:D11S_0472
ko:K03771	aat:D11S_0473
ko:K02825	aat:D11S_0474
ko:K07153	aat:D11S_0476
ko:K01756	aat:D11S_0477
ko:K03106	aat:D11S_0484
ko:K03561	aat:D11S_0487
ko:K03559	aat:D11S_0488
ko:K03832	aat:D11S_0489
ko:K07306	aat:D11S_0493
ko:K07307	aat:D11S_0494
ko:K01878	aat:D11S_0498
ko:K01879	aat:D11S_0502
ko:K01698	aat:D11S_0503
ko:K03118	aat:D11S_0504
ko:K03117	aat:D11S_0505
ko:K03116	aat:D11S_0506
ko:K04083	aat:D11S_0507
ko:K04762	aat:D11S_0508
ko:K08312	aat:D11S_0510
ko:K00036	aat:D11S_0516
ko:K01057	aat:D11S_0517
ko:K00033	aat:D11S_0524
ko:K09458	aat:D11S_0525
ko:K01696	aat:D11S_1386
ko:K01695	aat:D11S_1387
ko:K00525	aat:D11S_1388
ko:K00526	aat:D11S_1389
ko:K00873	aat:D11S_1390
ko:K11530	aat:D11S_1391
ko:K08321	aat:D11S_1392
ko:K10555	aat:D11S_1393
ko:K10557	aat:D11S_1394
ko:K10556	aat:D11S_1395
ko:K10558	aat:D11S_1396
ko:K11531	aat:D11S_1397
ko:K11216	aat:D11S_1398
ko:K01935	aat:D11S_1399
ko:K01893	aat:D11S_1401
ko:K03600	aat:D11S_1402
ko:K03599	aat:D11S_1403
ko:K03635	aat:D11S_1404
ko:K03636	aat:D11S_1405
ko:K03637	aat:D11S_1406
ko:K03639	aat:D11S_1407
ko:K05995	aat:D11S_1410
ko:K03151	aat:D11S_1411
ko:K07821	aat:D11S_1412
ko:K07812	aat:D11S_1413
ko:K03319	aat:D11S_1415
ko:K06173	aat:D11S_1419
ko:K02996	aat:D11S_1421
ko:K02871	aat:D11S_1422
ko:K03581	aat:D11S_1424
ko:K03582	aat:D11S_1425
ko:K06039	aat:D11S_1426
ko:K01716	aat:D11S_1428
ko:K04770	aat:D11S_1429
ko:K09911	aat:D11S_1430
ko:K03704	aat:D11S_1431
ko:K09917	aat:D11S_1432
ko:K06175	aat:D11S_1433
ko:K08476	aat:D11S_1437
ko:K08475	aat:D11S_1438
ko:K08478	aat:D11S_1439
ko:K00059	aat:D11S_0526
ko:K00647	aat:D11S_0528
ko:K07107	aat:D11S_0532
ko:K02078	aat:D11S_0538
ko:K02078	aat:D11S_0539
ko:K03733	aat:D11S_0545
ko:K01778	aat:D11S_0546
ko:K01933	aat:D11S_0548
ko:K03695	aat:D11S_0551
ko:K02237	aat:D11S_0552
ko:K00133	aat:D11S_0553
ko:K07400	aat:D11S_0556
ko:K03311	aat:D11S_0558
ko:K01937	aat:D11S_0559
ko:K02895	aat:D11S_0560
ko:K02931	aat:D11S_0561
ko:K02994	aat:D11S_0562
ko:K02933	aat:D11S_0563
ko:K02881	aat:D11S_0564
ko:K02988	aat:D11S_0565
ko:K02876	aat:D11S_0566
ko:K03076	aat:D11S_0567
ko:K02919	aat:D11S_0568
ko:K02952	aat:D11S_0569
ko:K02948	aat:D11S_0570
ko:K02986	aat:D11S_0571
ko:K03040	aat:D11S_0572
ko:K02879	aat:D11S_0573
ko:K03834	aat:D11S_0574
ko:K03498	aat:D11S_0581
ko:K00230	aat:D11S_0582
ko:K02012	aat:D11S_1440
ko:K03798	aat:D11S_1444
ko:K02427	aat:D11S_1445
ko:K01433	aat:D11S_1446
ko:K03746	aat:D11S_1447
ko:K01776	aat:D11S_1455
ko:K03181	aat:D11S_1456
ko:K03655	aat:D11S_1457
ko:K03060	aat:D11S_1459
ko:K00942	aat:D11S_1460
ko:K00134	aat:D11S_1462
ko:K08978	aat:D11S_1463
ko:K09801	aat:D11S_1465
ko:K03601	aat:D11S_1467
ko:K06958	aat:D11S_1468
ko:K02806	aat:D11S_1469
ko:K06861	aat:D11S_1470
ko:K09774	aat:D11S_1471
ko:K11719	aat:D11S_1472
ko:K02065	aat:D11S_1473
ko:K02066	aat:D11S_1474
ko:K02067	aat:D11S_1475
ko:K07323	aat:D11S_1476
ko:K07122	aat:D11S_1477
ko:K00790	aat:D11S_1479
ko:K06076	aat:D11S_1481
ko:K00567	aat:D11S_1482
ko:K03573	aat:D11S_1483
ko:K01915	aat:D11S_1485
ko:K06207	aat:D11S_1486
ko:K03564	aat:D11S_1489
ko:K01714	aat:D11S_1490
ko:K07287	aat:D11S_1491
ko:K05845	aat:D11S_1492
ko:K14058	aat:D11S_1361
ko:K06211	aat:D11S_0576
ko:K03078	aat:D11S_1046
ko:K13888	aat:D11S_1305
ko:K07666	aat:D11S_1136
ko:K04072	aat:D11S_1811
ko:K07343	aat:D11S_0216
ko:K04774	aat:D11S_1267
ko:K01491	aat:D11S_0601
ko:K12145	aat:D11S_1746
ko:K12144	aat:D11S_1745
ko:K12143	aat:D11S_1744
ko:K12142	aat:D11S_1743
ko:K07133	aat:D11S_0806
ko:K00965	aat:D11S_0851
ko:K01079	aat:D11S_1919
ko:K07275	aat:D11S_0836
ko:K11014	aat:D11S_0909
ko:K11015	aat:D11S_0910
ko:K12137	aat:D11S_1737
ko:K06183	aat:D11S_2003
ko:K07268	aat:D11S_1936
ko:K12509	aat:D11S_0760
ko:K02651	aat:D11S_0764
ko:K00297	aat:D11S_1097
ko:K02778	aat:D11S_1163
ko:K02779	aat:D11S_1163
ko:K01069	aat:D11S_1165
ko:K02062	aat:D11S_1155
ko:K01096	aat:D11S_1692
ko:K00884	aat:D11S_1691
ko:K01176	aat:D11S_1008
ko:K11085	aat:D11S_1222
ko:K02053	aat:D11S_1216
ko:K07133	aat:D11S_0176
ko:K01048	aat:D11S_0360
ko:K13643	aat:D11S_0880
ko:K10094	aat:D11S_1087
ko:K03297	aat:D11S_0741
ko:K13695	aat:D11S_1363
ko:K00121	aat:D11S_0481
ko:K01792	aat:D11S_1682
ko:K00124	aat:D11S_1732
ko:K14219	aat:D11S_0603
ko:K14237	aat:D11S_2115
ko:K14237	aat:D11S_2117
ko:K14237	aat:D11S_2116
ko:K01977	aat:D11S_0110
ko:K01977	aat:D11S_0944
ko:K01977	aat:D11S_1546
ko:K01977	aat:D11S_1454
ko:K01977	aat:D11S_0583
ko:K01977	aat:D11S_0266
ko:K14221	aat:D11S_1797
ko:K14221	aat:D11S_1540
ko:K14221	aat:D11S_1796
ko:K14229	aat:D11S_0913
ko:K14229	aat:D11S_1834
ko:K14229	aat:D11S_1835
ko:K14228	aat:D11S_1169
ko:K14233	aat:D11S_0191
ko:K14228	aat:D11S_0825
ko:K14228	aat:D11S_1663
ko:K14233	aat:D11S_1894
ko:K01070	aat:D11S_0482
ko:K13498	aat:D11S_1374
ko:K13634	aat:D11S_1245
ko:K00941	aat:D11S_1152
ko:K00127	aat:D11S_1733
ko:K14220	aat:D11S_0629
ko:K14220	aat:D11S_1590
ko:K02010	aat:D11S_1006
ko:K02011	aat:D11S_1005
ko:K02010	aat:D11S_1441
ko:K14236	aat:D11S_0720
ko:K14392	aat:D11S_2084
ko:K14234	aat:D11S_0718
ko:K14224	aat:D11S_0584
ko:K14224	aat:D11S_1545
ko:K14224	aat:D11S_0945
ko:K14228	aat:D11S_0914
ko:K14218	aat:D11S_0108
ko:K14218	aat:D11S_1452
ko:K14218	aat:D11S_0264
ko:K14230	aat:D11S_0752
ko:K14230	aat:D11S_1168
ko:K11604	aat:D11S_1641
ko:K11605	aat:D11S_1643
ko:K14219	aat:D11S_1549
ko:K14225	aat:D11S_0719
ko:K14223	aat:D11S_1171
ko:K14223	aat:D11S_1170
ko:K14445	aat:D11S_1105
ko:K14225	aat:D11S_0915
ko:K14225	aat:D11S_0970
ko:K14225	aat:D11S_1901
ko:K09789	aat:D11S_2159
ko:K14235	aat:D11S_1539
ko:K14234	aat:D11S_0721
ko:K14231	aat:D11S_0628
ko:K14260	aat:D11S_2017
ko:K00996	aat:D11S_1699
ko:K14441	aat:D11S_0094
ko:K14227	aat:D11S_0109
ko:K14227	aat:D11S_0265
ko:K14227	aat:D11S_1453
ko:K11606	aat:D11S_1644
ko:K01524	aat:D11S_0690
ko:K07464	aat:D11S_1148
ko:K14226	aat:D11S_1548
ko:K14237	aat:D11S_1427
ko:K14222	aat:D11S_1902
ko:K15396	aat:D11S_0881
ko:K14233	aat:D11S_1521
ko:K06133	aat:D11S_1501
ko:K14230	aat:D11S_1198
ko:K14230	aat:D11S_1913
ko:K11607	aat:D11S_1642
ko:K14232	aat:D11S_0602
ko:K14232	aat:D11S_1547
ko:K14219	aat:D11S_0190
ko:K14219	aat:D11S_0189
ko:K14155	aat:D11S_0342
ko:K18893	aat:D11S_0385
ko:K14742	aat:D11S_1680
ko:K16013	aat:D11S_1685
ko:K10823	aat:D11S_1887
ko:K16012	aat:D11S_1686
ko:K15256	aat:D11S_1856
ko:K15257	aat:D11S_0896
ko:K03194	aat:D11S_2319
ko:K01190	aat:D11S_1055
ko:K01560	aat:D11S_0593
ko:K13694	aat:D11S_0930
ko:K07733	aat:D11S_1183
ko:K03111	aat:D11S_2320
ko:K03169	aat:D11S_2301
ko:K03496	aat:D11S_2342
ko:K06148	aat:D11S_0301
ko:K06148	aat:D11S_0302
ko:K05847	aat:D11S_1493
ko:K03194	aat:D11S_2280
ko:K03197	aat:D11S_2281
ko:K03197	aat:D11S_2318
ko:K03200	aat:D11S_2357
ko:K03204	aat:D11S_2288
ko:K01175	aat:D11S_1617
ko:K07473	aat:D11S_2279
ko:K07473	aat:D11S_2338
ko:K07483	aat:D11S_0901
ko:K07186	aat:D11S_1920
ko:K07000	aat:D11S_1059
ko:K06218	aat:D11S_1418
ko:K09910	aat:D11S_1555
ko:K15342	aat:D11S_1150
ko:K15584	aat:D11S_0145
ko:K15545	aat:D11S_1400
ko:K15738	aat:D11S_1659
ko:K15773	aat:D11S_1070
ko:K03929	aat:D11S_0675
ko:K02428	aat:D11S_1506
ko:K04765	aat:D11S_0657
ko:K15539	aat:D11S_2029
ko:K15724	aat:D11S_1554
ko:K15461	aat:D11S_0843
ko:K15460	aat:D11S_0179
ko:K15583	aat:D11S_1886
ko:K15581	aat:D11S_1884
ko:K15582	aat:D11S_1885
ko:K18136	aat:D11S_0424
ko:K01082	aat:D11S_0515
ko:K03204	aat:D11S_2352
ko:K03201	aat:D11S_2355
ko:K03203	aat:D11S_2353
ko:K03195	aat:D11S_2289
ko:K03195	aat:D11S_2351
ko:K03199	aat:D11S_2282
ko:K03199	aat:D11S_2358
ko:K03196	aat:D11S_2350
ko:K03205	aat:D11S_2293
ko:K03205	aat:D11S_2349
ko:K15977	aat:D11S_1893
ko:K16087	aat:D11S_1864
ko:K15984	aat:D11S_0039
ko:K15977	aat:D11S_1360
ko:K02424	aat:D11S_0289
ko:K10009	aat:D11S_0290
ko:K16087	aat:D11S_1809
ko:K16087	aat:D11S_0842
ko:K10010	aat:D11S_0291
ko:K16066	aat:D11S_1385
ko:K16371	aat:D11S_1284
ko:K19227	aat:D11S_0952
ko:K16087	aat:D11S_1383
ko:K03299	aat:D11S_2061
ko:K01156	aat:D11S_0130
ko:K04014	aat:D11S_1987
ko:K04015	aat:D11S_1986
ko:K13283	aat:D11S_1957
ko:K14229	aat:D11S_1833
ko:K14228	aat:D11S_0854
ko:K01166	aat:D11S_0355
ko:K19230	aat:D11S_0949
ko:K02055	aat:D11S_1217
ko:K12136	aat:D11S_1736
ko:K16915	aat:D11S_1088
ko:K19229	aat:D11S_0950
ko:K16868	aat:D11S_1235
ko:K03585	aat:D11S_0423
ko:K02503	aat:D11S_1951
ko:K17214	aat:D11S_1812
ko:K02010	aat:D11S_1443
ko:K17686	aat:D11S_2047
ko:K00254	aat:D11S_1338
ko:K00123	aat:D11S_1731
ko:K17948	aat:D11S_1586
ko:K18138	aat:D11S_0422
ko:K00001	aat:D11S_0807
ko:K07076	aat:D11S_0469
ko:K21449	aat:D11S_2127
ko:K03203	aat:D11S_2287
ko:K03462	aat:D11S_1495
ko:K18691	aat:D11S_2012
ko:K03427	aat:D11S_1858
ko:K18841	aat:D11S_0920
ko:K07171	aat:D11S_0906
ko:K18829	aat:D11S_0907
ko:K20862	aat:D11S_0544
ko:K18923	aat:D11S_1417
ko:K02847	aat:D11S_0359
ko:K18842	aat:D11S_0919
ko:K18843	aat:D11S_1187
ko:K18850	aat:D11S_1466
ko:K10747	aat:D11S_1722
ko:K03976	aat:D11S_1027
ko:K03526	aat:D11S_2030
ko:K18991	aat:D11S_0384
ko:K18997	aat:D11S_0894
ko:K19157	aat:D11S_1194
ko:K19226	aat:D11S_0953
ko:K09951	aat:D11S_1151
ko:K19180	aat:D11S_1703
ko:K19158	aat:D11S_1719
ko:K19159	aat:D11S_1718
ko:K19228	aat:D11S_0951
ko:K01992	aat:D11S_1346
ko:K19267	aat:D11S_0314
ko:K19416	aat:D11S_1639
ko:K19431	aat:D11S_1717
ko:K19611	aat:D11S_1354
ko:K19804	aat:D11S_1624
ko:K19810	aat:D11S_1937
ko:K21636	aat:D11S_2128
ko:K11751	aat:D11S_0198
ko:K09796	aat:D11S_0475
ko:K20881	aat:D11S_0509
ko:K21029	aat:D11S_1017
ko:K18991	aat:D11S_0511
ko:K07127	aat:D11S_02635
ko:K00950	aat:D11S_02660
ko:K02950	aat:D11S_02275
ko:K02954	aat:D11S_02380
ko:K02965	aat:D11S_02225
ko:K02874	aat:D11S_02375
ko:K02907	aat:D11S_02385
ko:K03671	aat:D11S_02935
ko:K02012	aat:D11S_02490
ko:K10439	aat:D11S_02440
ko:K03286	aat:D11S_1588
ko:K12513	aat:D11S_02470
ko:K12514	aat:D11S_02465
ko:K07316	aat:D11S_0131
ko:K07491	aat:D11S_02855
ko:K07090	aat:D11S_2105
ko:K09747	aat:D11S_02480
ko:K02495	aat:D11S_2099
ko:K21470	aat:D11S_1758
ko:K10026	aat:D11S_1078
ko:K21948	aat:D11S_0029
ko:K19591	aat:D11S_2049
ko:K22015	aat:D11S_1749
ko:K22015	aat:D11S_1748
ko:K22132	aat:D11S_1915
ko:K08319	aat:D11S_0028
ko:K22131	aat:D11S_0031
ko:K22105	aat:D11S_0300
ko:K22130	aat:D11S_0030
ko:K03079	aat:D11S_1051
ko:K03077	aat:D11S_1052
ko:K18446	aat:D11S_1777
ko:K22306	aat:D11S_0705
