ko:K02051	sams:NI36_00795
ko:K03544	sams:NI36_08955
ko:K03545	sams:NI36_08960
ko:K02887	sams:NI36_08985
ko:K02916	sams:NI36_08990
ko:K02520	sams:NI36_08995
ko:K11733	sams:NI36_09000
ko:K01868	sams:NI36_09005
ko:K11144	sams:NI36_09015
ko:K03346	sams:NI36_09020
ko:K00384	sams:NI36_03870
ko:K06958	sams:NI36_03880
ko:K09762	sams:NI36_03890
ko:K01358	sams:NI36_03900
ko:K07071	sams:NI36_03910
ko:K05311	sams:NI36_03925
ko:K00134	sams:NI36_03930
ko:K00927	sams:NI36_03935
ko:K01803	sams:NI36_03940
ko:K15633	sams:NI36_03945
ko:K01689	sams:NI36_03950
ko:K03075	sams:NI36_03960
ko:K03928	sams:NI36_03965
ko:K12573	sams:NI36_03970
ko:K03664	sams:NI36_03975
ko:K14201	sams:NI36_04005
ko:K01174	sams:NI36_04025
ko:K03704	sams:NI36_04030
ko:K06895	sams:NI36_04075
ko:K03785	sams:NI36_04090
ko:K02437	sams:NI36_04110
ko:K07476	sams:NI36_04130
ko:K02071	sams:NI36_04140
ko:K02072	sams:NI36_04145
ko:K02073	sams:NI36_04150
ko:K11040	sams:NI36_04160
ko:K11040	sams:NI36_04165
ko:K01092	sams:NI36_05320
ko:K06207	sams:NI36_05330
ko:K03588	sams:NI36_05350
ko:K01958	sams:NI36_05355
ko:K02259	sams:NI36_05360
ko:K08976	sams:NI36_05370
ko:K01126	sams:NI36_05390
ko:K00954	sams:NI36_05410
ko:K07040	sams:NI36_05420
ko:K02911	sams:NI36_05430
ko:K14193	sams:NI36_05440
ko:K02016	sams:NI36_05455
ko:K02015	sams:NI36_05460
ko:K08600	sams:NI36_05465
ko:K07145	sams:NI36_05470
ko:K03437	sams:NI36_05480
ko:K01889	sams:NI36_05485
ko:K01890	sams:NI36_05490
ko:K03471	sams:NI36_05495
ko:K09888	sams:NI36_05500
ko:K02347	sams:NI36_05510
ko:K07456	sams:NI36_05515
ko:K03671	sams:NI36_05520
ko:K03703	sams:NI36_05530
ko:K00241	sams:NI36_05535
ko:K00239	sams:NI36_05540
ko:K00240	sams:NI36_05545
ko:K01776	sams:NI36_05550
ko:K02428	sams:NI36_05555
ko:K07095	sams:NI36_05560
ko:K14203	sams:NI36_05580
ko:K14200	sams:NI36_05590
ko:K14199	sams:NI36_05595
ko:K09125	sams:NI36_07075
ko:K03469	sams:NI36_07085
ko:K08170	sams:NI36_07095
ko:K03294	sams:NI36_07100
ko:K01754	sams:NI36_07105
ko:K00259	sams:NI36_07110
ko:K07444	sams:NI36_07135
ko:K03700	sams:NI36_07160
ko:K05366	sams:NI36_07165
ko:K10773	sams:NI36_07175
ko:K02086	sams:NI36_07180
ko:K01893	sams:NI36_07185
ko:K03722	sams:NI36_07190
ko:K03524	sams:NI36_07195
ko:K00974	sams:NI36_07200
ko:K06973	sams:NI36_07215
ko:K00800	sams:NI36_07235
ko:K01735	sams:NI36_07240
ko:K01736	sams:NI36_07245
ko:K00940	sams:NI36_07255
ko:K00805	sams:NI36_07260
ko:K03183	sams:NI36_07265
ko:K03530	sams:NI36_07280
ko:K00057	sams:NI36_07285
ko:K03977	sams:NI36_07290
ko:K02945	sams:NI36_07295
ko:K00945	sams:NI36_07315
ko:K01424	sams:NI36_07320
ko:K07738	sams:NI36_09025
ko:K00134	sams:NI36_09030
ko:K00859	sams:NI36_09035
ko:K10563	sams:NI36_09040
ko:K02335	sams:NI36_09045
ko:K07636	sams:NI36_09055
ko:K07658	sams:NI36_09060
ko:K00031	sams:NI36_09070
ko:K01647	sams:NI36_09075
ko:K11737	sams:NI36_09080
ko:K00873	sams:NI36_09085
ko:K00850	sams:NI36_09090
ko:K01962	sams:NI36_09095
ko:K01963	sams:NI36_09100
ko:K00027	sams:NI36_09105
ko:K02337	sams:NI36_09110
ko:K06881	sams:NI36_09115
ko:K00259	sams:NI36_09145
ko:K00925	sams:NI36_09155
ko:K11065	sams:NI36_09165
ko:K07090	sams:NI36_09170
ko:K03151	sams:NI36_09175
ko:K04487	sams:NI36_09180
ko:K06286	sams:NI36_09185
ko:K08968	sams:NI36_09190
ko:K02986	sams:NI36_09195
ko:K01126	sams:NI36_09205
ko:K00058	sams:NI36_09220
ko:K02803	sams:NI36_09245
ko:K02804	sams:NI36_09245
ko:K00655	sams:NI36_09250
ko:K01866	sams:NI36_09260
ko:K12551	sams:NI36_09265
ko:K01938	sams:NI36_09285
ko:K01895	sams:NI36_09290
ko:K04766	sams:NI36_09295
ko:K04768	sams:NI36_09300
ko:K11032	sams:NI36_05625
ko:K00611	sams:NI36_05655
ko:K00926	sams:NI36_05660
ko:K11041	sams:NI36_05675
ko:K20337	sams:NI36_05690
ko:K20337	sams:NI36_05695
ko:K07025	sams:NI36_05700
ko:K03925	sams:NI36_05715
ko:K03438	sams:NI36_05720
ko:K12552	sams:NI36_05730
ko:K01000	sams:NI36_05735
ko:K01925	sams:NI36_05740
ko:K03589	sams:NI36_05745
ko:K03590	sams:NI36_05750
ko:K03531	sams:NI36_05755
ko:K05810	sams:NI36_05760
ko:K06997	sams:NI36_05765
ko:K09772	sams:NI36_05770
ko:K02221	sams:NI36_05775
ko:K04074	sams:NI36_05785
ko:K01870	sams:NI36_05790
ko:K07104	sams:NI36_05795
ko:K03101	sams:NI36_05810
ko:K06180	sams:NI36_05815
ko:K02825	sams:NI36_05820
ko:K02824	sams:NI36_05825
ko:K00609	sams:NI36_05830
ko:K01465	sams:NI36_05835
ko:K01956	sams:NI36_05840
ko:K01955	sams:NI36_05845
ko:K01591	sams:NI36_05850
ko:K00762	sams:NI36_05855
ko:K00942	sams:NI36_05875
ko:K03060	sams:NI36_05880
ko:K13038	sams:NI36_05885
ko:K04066	sams:NI36_05890
ko:K01462	sams:NI36_05905
ko:K03654	sams:NI36_07340
ko:K05337	sams:NI36_07350
ko:K11038	sams:NI36_07380
ko:K11038	sams:NI36_07385
ko:K02315	sams:NI36_07580
ko:K03111	sams:NI36_07600
ko:K02529	sams:NI36_09305
ko:K13853	sams:NI36_09315
ko:K01924	sams:NI36_09335
ko:K03466	sams:NI36_09340
ko:K06878	sams:NI36_09345
ko:K01261	sams:NI36_09360
ko:K03439	sams:NI36_09375
ko:K00824	sams:NI36_09385
ko:K01439	sams:NI36_09390
ko:K06183	sams:NI36_09400
ko:K07007	sams:NI36_09410
ko:K01869	sams:NI36_09425
ko:K07139	sams:NI36_09435
ko:K20338	sams:NI36_09445
ko:K00318	sams:NI36_09460
ko:K00794	sams:NI36_09465
ko:K14652	sams:NI36_09470
ko:K00793	sams:NI36_09475
ko:K11752	sams:NI36_09480
ko:K03893	sams:NI36_09495
ko:K07052	sams:NI36_09530
ko:K07052	sams:NI36_09535
ko:K00616	sams:NI36_09540
ko:K06199	sams:NI36_09550
ko:K06199	sams:NI36_09555
ko:K00789	sams:NI36_09570
ko:K01610	sams:NI36_09575
ko:K03574	sams:NI36_09585
ko:K07741	sams:NI36_07650
ko:K11038	sams:NI36_07715
ko:K11038	sams:NI36_07720
ko:K08998	sams:NI36_09590
ko:K02549	sams:NI36_09595
ko:K01911	sams:NI36_09600
ko:K14199	sams:NI36_09675
ko:K07483	sams:NI36_09715
ko:K07002	sams:NI36_09760
ko:K00231	sams:NI36_09770
ko:K01772	sams:NI36_09775
ko:K01599	sams:NI36_09780
ko:K01992	sams:NI36_09795
ko:K01990	sams:NI36_09800
ko:K02503	sams:NI36_09805
ko:K07533	sams:NI36_09820
ko:K03698	sams:NI36_09825
ko:K06180	sams:NI36_09870
ko:K01679	sams:NI36_09875
ko:K03095	sams:NI36_10080
ko:K06959	sams:NI36_10085
ko:K03090	sams:NI36_10090
ko:K04757	sams:NI36_10095
ko:K04749	sams:NI36_10100
ko:K07315	sams:NI36_10105
ko:K07171	sams:NI36_10115
ko:K07723	sams:NI36_10120
ko:K01775	sams:NI36_10125
ko:K00997	sams:NI36_10130
ko:K09167	sams:NI36_10135
ko:K08981	sams:NI36_10140
ko:K01548	sams:NI36_10150
ko:K01547	sams:NI36_10155
ko:K01546	sams:NI36_10160
ko:K07646	sams:NI36_10170
ko:K07667	sams:NI36_10175
ko:K03216	sams:NI36_09905
ko:K18979	sams:NI36_09910
ko:K02028	sams:NI36_09915
ko:K07035	sams:NI36_09925
ko:K09680	sams:NI36_10460
ko:K07173	sams:NI36_10480
ko:K00756	sams:NI36_10490
ko:K01619	sams:NI36_10500
ko:K03784	sams:NI36_10505
ko:K04047	sams:NI36_10510
ko:K01809	sams:NI36_10530
ko:K16264	sams:NI36_10545
ko:K02013	sams:NI36_10585
ko:K00820	sams:NI36_10590
ko:K02799	sams:NI36_10595
ko:K02800	sams:NI36_10595
ko:K03483	sams:NI36_10600
ko:K02798	sams:NI36_10605
ko:K00009	sams:NI36_10610
ko:K03431	sams:NI36_10620
ko:K18672	sams:NI36_10630
ko:K01476	sams:NI36_10635
ko:K03593	sams:NI36_10690
ko:K18934	sams:NI36_10695
ko:K18935	sams:NI36_10705
ko:K11068	sams:NI36_10710
ko:K11442	sams:NI36_10715
ko:K07038	sams:NI36_10720
ko:K02015	sams:NI36_10735
ko:K02015	sams:NI36_10740
ko:K02016	sams:NI36_10745
ko:K05020	sams:NI36_10790
ko:K07119	sams:NI36_10800
ko:K01220	sams:NI36_10810
ko:K02787	sams:NI36_10815
ko:K02788	sams:NI36_10815
ko:K02786	sams:NI36_10820
ko:K01635	sams:NI36_10825
ko:K00917	sams:NI36_10830
ko:K01819	sams:NI36_10835
ko:K01819	sams:NI36_10840
ko:K02530	sams:NI36_10845
ko:K12410	sams:NI36_10850
ko:K01727	sams:NI36_10880
ko:K01575	sams:NI36_10900
ko:K01652	sams:NI36_10905
ko:K03655	sams:NI36_10915
ko:K02996	sams:NI36_10920
ko:K02871	sams:NI36_10925
ko:K06173	sams:NI36_10930
ko:K16785	sams:NI36_10935
ko:K16787	sams:NI36_10940
ko:K16786	sams:NI36_10945
ko:K02879	sams:NI36_10950
ko:K03040	sams:NI36_10955
ko:K02948	sams:NI36_10960
ko:K02952	sams:NI36_10965
ko:K02919	sams:NI36_10970
ko:K02518	sams:NI36_10975
ko:K00939	sams:NI36_10980
ko:K03076	sams:NI36_10985
ko:K02876	sams:NI36_10990
ko:K02907	sams:NI36_10995
ko:K02988	sams:NI36_11000
ko:K02881	sams:NI36_11005
ko:K02933	sams:NI36_11010
ko:K02994	sams:NI36_11015
ko:K02954	sams:NI36_11020
ko:K02931	sams:NI36_11025
ko:K02895	sams:NI36_11030
ko:K02874	sams:NI36_11035
ko:K02961	sams:NI36_11040
ko:K02904	sams:NI36_11045
ko:K02878	sams:NI36_11050
ko:K02982	sams:NI36_11055
ko:K02890	sams:NI36_11060
ko:K02965	sams:NI36_11065
ko:K02886	sams:NI36_11070
ko:K02892	sams:NI36_11075
ko:K02926	sams:NI36_11080
ko:K02906	sams:NI36_11085
ko:K02946	sams:NI36_11090
ko:K06901	sams:NI36_11100
ko:K03169	sams:NI36_11105
ko:K05340	sams:NI36_11120
ko:K07088	sams:NI36_11130
ko:K11693	sams:NI36_11150
ko:K03639	sams:NI36_11185
ko:K03752	sams:NI36_11190
ko:K03636	sams:NI36_11195
ko:K03635	sams:NI36_11200
ko:K03753	sams:NI36_11205
ko:K03750	sams:NI36_11210
ko:K03637	sams:NI36_11215
ko:K03638	sams:NI36_11220
ko:K21029	sams:NI36_11225
ko:K02017	sams:NI36_11230
ko:K02018	sams:NI36_11235
ko:K02020	sams:NI36_11240
ko:K02379	sams:NI36_11245
ko:K03523	sams:NI36_11255
ko:K01239	sams:NI36_11260
ko:K02016	sams:NI36_11265
ko:K08717	sams:NI36_11275
ko:K01430	sams:NI36_11280
ko:K01429	sams:NI36_11285
ko:K01428	sams:NI36_11290
ko:K03187	sams:NI36_11295
ko:K03188	sams:NI36_11300
ko:K03189	sams:NI36_11305
ko:K03190	sams:NI36_11310
ko:K03315	sams:NI36_11350
ko:K04940	sams:NI36_11355
ko:K09940	sams:NI36_11360
ko:K00123	sams:NI36_11405
ko:K07052	sams:NI36_11425
ko:K03293	sams:NI36_11440
ko:K03453	sams:NI36_11465
ko:K02749	sams:NI36_11475
ko:K02750	sams:NI36_11475
ko:K03481	sams:NI36_11480
ko:K01468	sams:NI36_11510
ko:K01712	sams:NI36_11515
ko:K01479	sams:NI36_11525
ko:K01807	sams:NI36_11535
ko:K01785	sams:NI36_11550
ko:K01992	sams:NI36_11560
ko:K01990	sams:NI36_11565
ko:K00374	sams:NI36_11855
ko:K00373	sams:NI36_11860
ko:K00371	sams:NI36_11865
ko:K00370	sams:NI36_11870
ko:K02303	sams:NI36_11875
ko:K00363	sams:NI36_11880
ko:K00362	sams:NI36_11885
ko:K09815	sams:NI36_11915
ko:K19158	sams:NI36_11920
ko:K19159	sams:NI36_11925
ko:K10010	sams:NI36_11950
ko:K10009	sams:NI36_11955
ko:K02424	sams:NI36_11960
ko:K18936	sams:NI36_11965
ko:K01834	sams:NI36_11975
ko:K14197	sams:NI36_11990
ko:K11038	sams:NI36_12000
ko:K11038	sams:NI36_12005
ko:K11038	sams:NI36_12010
ko:K01906	sams:NI36_12020
ko:K00652	sams:NI36_12025
ko:K01012	sams:NI36_12030
ko:K00833	sams:NI36_12035
ko:K01935	sams:NI36_12040
ko:K06147	sams:NI36_12060
ko:K06147	sams:NI36_12065
ko:K00865	sams:NI36_12080
ko:K11737	sams:NI36_12110
ko:K01835	sams:NI36_12410
ko:K00963	sams:NI36_12455
ko:K13733	sams:NI36_12460
ko:K13732	sams:NI36_12465
ko:K03299	sams:NI36_12475
ko:K00851	sams:NI36_12480
ko:K11476	sams:NI36_12485
ko:K07816	sams:NI36_12495
ko:K03535	sams:NI36_12510
ko:K01990	sams:NI36_12525
ko:K01992	sams:NI36_12530
ko:K06889	sams:NI36_12535
ko:K06889	sams:NI36_12545
ko:K04041	sams:NI36_12565
ko:K06999	sams:NI36_12575
ko:K15975	sams:NI36_12580
ko:K15973	sams:NI36_12585
ko:K06975	sams:NI36_12590
ko:K07491	sams:NI36_12595
ko:K07104	sams:NI36_12600
ko:K03778	sams:NI36_12610
ko:K16917	sams:NI36_12620
ko:K16916	sams:NI36_12625
ko:K07284	sams:NI36_12630
ko:K03823	sams:NI36_12635
ko:K01752	sams:NI36_12650
ko:K01752	sams:NI36_12655
ko:K07107	sams:NI36_12685
ko:K20116	sams:NI36_12690
ko:K20117	sams:NI36_12690
ko:K20118	sams:NI36_12690
ko:K06978	sams:NI36_12990
ko:K07498	sams:NI36_13000
ko:K01579	sams:NI36_13015
ko:K01918	sams:NI36_13020
ko:K00606	sams:NI36_13025
ko:K00077	sams:NI36_13030
ko:K01575	sams:NI36_13035
ko:K00016	sams:NI36_13040
ko:K03294	sams:NI36_13050
ko:K00823	sams:NI36_13055
ko:K01623	sams:NI36_13065
ko:K00116	sams:NI36_13070
ko:K01895	sams:NI36_13080
ko:K00108	sams:NI36_13095
ko:K03451	sams:NI36_13115
ko:K04068	sams:NI36_13130
ko:K21636	sams:NI36_13135
ko:K03300	sams:NI36_13140
ko:K02304	sams:NI36_13145
ko:K00380	sams:NI36_13150
ko:K00432	sams:NI36_13160
ko:K19084	sams:NI36_13180
ko:K19083	sams:NI36_13185
ko:K19081	sams:NI36_13190
ko:K19082	sams:NI36_13195
ko:K01077	sams:NI36_13210
ko:K14192	sams:NI36_13225
ko:K00926	sams:NI36_13235
ko:K03758	sams:NI36_13240
ko:K00611	sams:NI36_13245
ko:K01478	sams:NI36_13250
ko:K03652	sams:NI36_11575
ko:K03312	sams:NI36_11580
ko:K01823	sams:NI36_11585
ko:K03284	sams:NI36_11590
ko:K07107	sams:NI36_11595
ko:K07552	sams:NI36_11635
ko:K21463	sams:NI36_11645
ko:K21454	sams:NI36_11655
ko:K09814	sams:NI36_11665
ko:K09813	sams:NI36_11670
ko:K02483	sams:NI36_11675
ko:K01990	sams:NI36_11700
ko:K01992	sams:NI36_11705
ko:K00116	sams:NI36_11710
ko:K03303	sams:NI36_11715
ko:K21567	sams:NI36_11745
ko:K02809	sams:NI36_11780
ko:K02810	sams:NI36_11780
ko:K11102	sams:NI36_11805
ko:K10850	sams:NI36_11825
ko:K07696	sams:NI36_11840
ko:K07683	sams:NI36_11845
ko:K10851	sams:NI36_11850
ko:K00077	sams:NI36_12150
ko:K08170	sams:NI36_12155
ko:K05846	sams:NI36_12160
ko:K05845	sams:NI36_12165
ko:K05846	sams:NI36_12170
ko:K05847	sams:NI36_12175
ko:K03929	sams:NI36_12200
ko:K02069	sams:NI36_12210
ko:K02068	sams:NI36_12215
ko:K10824	sams:NI36_12245
ko:K15587	sams:NI36_12250
ko:K15586	sams:NI36_12255
ko:K15585	sams:NI36_12260
ko:K15584	sams:NI36_12265
ko:K12942	sams:NI36_12295
ko:K03574	sams:NI36_12405
ko:K00158	sams:NI36_12695
ko:K06518	sams:NI36_12705
ko:K00054	sams:NI36_12725
ko:K01641	sams:NI36_12730
ko:K11040	sams:NI36_12735
ko:K00567	sams:NI36_12740
ko:K04086	sams:NI36_12745
ko:K04759	sams:NI36_12755
ko:K04758	sams:NI36_12760
ko:K06994	sams:NI36_12765
ko:K00294	sams:NI36_12780
ko:K17686	sams:NI36_12795
ko:K07213	sams:NI36_12800
ko:K03778	sams:NI36_12805
ko:K10209	sams:NI36_12815
ko:K10208	sams:NI36_12820
ko:K10211	sams:NI36_12825
ko:K10210	sams:NI36_12830
ko:K10212	sams:NI36_12835
ko:K07035	sams:NI36_12860
ko:K07032	sams:NI36_12890
ko:K07045	sams:NI36_12915
ko:K00226	sams:NI36_12960
ko:K09765	sams:NI36_12970
ko:K04750	sams:NI36_12975
ko:K01401	sams:NI36_13265
ko:K02538	sams:NI36_13280
ko:K02768	sams:NI36_13285
ko:K02769	sams:NI36_13285
ko:K02770	sams:NI36_13285
ko:K01809	sams:NI36_13290
ko:K01421	sams:NI36_13295
ko:K03070	sams:NI36_13325
ko:K12270	sams:NI36_13330
ko:K12269	sams:NI36_13335
ko:K12268	sams:NI36_13340
ko:K03076	sams:NI36_13345
ko:K07304	sams:NI36_13390
ko:K01104	sams:NI36_13400
ko:K21453	sams:NI36_13415
ko:K11936	sams:NI36_13420
ko:K21461	sams:NI36_13425
ko:K21478	sams:NI36_13430
ko:K21462	sams:NI36_13435
ko:K11755	sams:NI36_13465
ko:K02500	sams:NI36_13470
ko:K01814	sams:NI36_13475
ko:K02501	sams:NI36_13480
ko:K01693	sams:NI36_13485
ko:K00817	sams:NI36_13490
ko:K00013	sams:NI36_13495
ko:K00765	sams:NI36_13500
ko:K16785	sams:NI36_13520
ko:K16786	sams:NI36_13525
ko:K16787	sams:NI36_13525
ko:K16924	sams:NI36_13530
ko:K02352	sams:NI36_13545
ko:K07146	sams:NI36_13550
ko:K01304	sams:NI36_13555
ko:K10947	sams:NI36_13565
ko:K03319	sams:NI36_13575
ko:K05786	sams:NI36_13580
ko:K07241	sams:NI36_13590
ko:K11631	sams:NI36_13605
ko:K11632	sams:NI36_13610
ko:K03704	sams:NI36_13635
ko:K03497	sams:NI36_13655
ko:K03501	sams:NI36_13660
ko:K03495	sams:NI36_13665
ko:K03650	sams:NI36_13670
ko:K03536	sams:NI36_13675
ko:K02914	sams:NI36_13680
ko:K21828	sams:NI36_13230
ko:K14235	sams:NI36_09955
ko:K21949	sams:NI36_00500
ko:K22043	sams:NI36_10540
ko:K03741	sams:NI36_09500
ko:K22136	sams:NI36_05710
ko:K00754	sams:NI36_07205
ko:K22135	sams:NI36_02825
ko:K14219	sams:NI36_02520
ko:K14221	sams:NI36_09750
ko:K22132	sams:NI36_08755
ko:K22109	sams:NI36_13110
ko:K03892	sams:NI36_09490
ko:K22212	sams:NI36_03905
ko:K03547	sams:NI36_09835
ko:K17758	sams:NI36_00040
ko:K01046	sams:NI36_01510
ko:K01046	sams:NI36_13450
ko:K02257	sams:NI36_05365
ko:K14230	sams:NI36_09755
ko:K14225	sams:NI36_09735
ko:K14237	sams:NI36_02495
ko:K14229	sams:NI36_10040
ko:K14218	sams:NI36_02530
ko:K14230	sams:NI36_10005
ko:K14230	sams:NI36_10000
ko:K14220	sams:NI36_04885
ko:K14233	sams:NI36_02220
ko:K14231	sams:NI36_09745
ko:K14219	sams:NI36_05685
ko:K14224	sams:NI36_00095
ko:K14222	sams:NI36_09940
ko:K14228	sams:NI36_10035
ko:K22409	sams:NI36_02175
ko:K14225	sams:NI36_02510
ko:K14227	sams:NI36_02540
ko:K14236	sams:NI36_10650
ko:K14234	sams:NI36_02500
ko:K14228	sams:NI36_02515
ko:K14221	sams:NI36_00100
ko:K22441	sams:NI36_11730
