ko:K00105	sagr:SAIL_3440
ko:K01955	sagr:SAIL_11560
ko:K01956	sagr:SAIL_11570
ko:K00609	sagr:SAIL_11580
ko:K01465	sagr:SAIL_11590
ko:K00762	sagr:SAIL_11600
ko:K01591	sagr:SAIL_11620
ko:K00133	sagr:SAIL_11660
ko:K06131	sagr:SAIL_11680
ko:K01938	sagr:SAIL_11690
ko:K03800	sagr:SAIL_11700
ko:K01462	sagr:SAIL_19120
ko:K02747	sagr:SAIL_19150
ko:K02746	sagr:SAIL_19160
ko:K00874	sagr:SAIL_19220
ko:K01625	sagr:SAIL_19230
ko:K07078	sagr:SAIL_19260
ko:K03763	sagr:SAIL_19280
ko:K01881	sagr:SAIL_19300
ko:K11749	sagr:SAIL_19310
ko:K00981	sagr:SAIL_19320
ko:K00806	sagr:SAIL_19330
ko:K03210	sagr:SAIL_19350
ko:K09962	sagr:SAIL_1430
ko:K03705	sagr:SAIL_1540
ko:K03687	sagr:SAIL_1550
ko:K04043	sagr:SAIL_1560
ko:K03686	sagr:SAIL_1570
ko:K06173	sagr:SAIL_1600
ko:K00868	sagr:SAIL_1610
ko:K03545	sagr:SAIL_1650
ko:K01937	sagr:SAIL_1670
ko:K04485	sagr:SAIL_1710
ko:K01673	sagr:SAIL_1720
ko:K10441	sagr:SAIL_1780
ko:K06726	sagr:SAIL_1790
ko:K02529	sagr:SAIL_1810
ko:K16785	sagr:SAIL_9820
ko:K03707	sagr:SAIL_9830
ko:K00941	sagr:SAIL_9840
ko:K00878	sagr:SAIL_9850
ko:K00788	sagr:SAIL_9860
ko:K00790	sagr:SAIL_9870
ko:K01265	sagr:SAIL_9900
ko:K07058	sagr:SAIL_9910
ko:K01972	sagr:SAIL_9940
ko:K00975	sagr:SAIL_9980
ko:K00975	sagr:SAIL_9990
ko:K00703	sagr:SAIL_10000
ko:K02110	sagr:SAIL_10010
ko:K02108	sagr:SAIL_10020
ko:K02109	sagr:SAIL_10030
ko:K02113	sagr:SAIL_10040
ko:K02111	sagr:SAIL_10050
ko:K02115	sagr:SAIL_10060
ko:K02112	sagr:SAIL_10070
ko:K02114	sagr:SAIL_10080
ko:K00790	sagr:SAIL_10100
ko:K01889	sagr:SAIL_10130
ko:K01890	sagr:SAIL_10150
ko:K16898	sagr:SAIL_10180
ko:K03650	sagr:SAIL_10200
ko:K06158	sagr:SAIL_10210
ko:K00161	sagr:SAIL_10220
ko:K00162	sagr:SAIL_10230
ko:K00627	sagr:SAIL_10240
ko:K00382	sagr:SAIL_10250
ko:K03800	sagr:SAIL_10260
ko:K01928	sagr:SAIL_10280
ko:K03431	sagr:SAIL_10310
ko:K03701	sagr:SAIL_17650
ko:K03284	sagr:SAIL_17670
ko:K02963	sagr:SAIL_17680
ko:K02990	sagr:SAIL_17710
ko:K03575	sagr:SAIL_17720
ko:K03671	sagr:SAIL_17740
ko:K07456	sagr:SAIL_17770
ko:K03100	sagr:SAIL_17810
ko:K03581	sagr:SAIL_17820
ko:K02346	sagr:SAIL_17840
ko:K00656	sagr:SAIL_17850
ko:K02440	sagr:SAIL_17900
ko:K00426	sagr:SAIL_18000
ko:K00425	sagr:SAIL_18010
ko:K03885	sagr:SAIL_18020
ko:K02548	sagr:SAIL_18030
ko:K03427	sagr:SAIL_18050
ko:K09747	sagr:SAIL_18060
ko:K00574	sagr:SAIL_18070
ko:K00864	sagr:SAIL_3430
ko:K02440	sagr:SAIL_3450
ko:K00615	sagr:SAIL_3480
ko:K00931	sagr:SAIL_3540
ko:K00147	sagr:SAIL_3550
ko:K03438	sagr:SAIL_3560
ko:K01000	sagr:SAIL_3590
ko:K02029	sagr:SAIL_3620
ko:K00384	sagr:SAIL_3650
ko:K00763	sagr:SAIL_3660
ko:K05366	sagr:SAIL_3690
ko:K07444	sagr:SAIL_3740
ko:K07173	sagr:SAIL_3770
ko:K07778	sagr:SAIL_3830
ko:K00942	sagr:SAIL_3860
ko:K03060	sagr:SAIL_3870
ko:K04066	sagr:SAIL_3880
ko:K00604	sagr:SAIL_3890
ko:K03500	sagr:SAIL_3900
ko:K00600	sagr:SAIL_11870
ko:K07566	sagr:SAIL_11880
ko:K02493	sagr:SAIL_11890
ko:K02835	sagr:SAIL_11900
ko:K01821	sagr:SAIL_11920
ko:K03734	sagr:SAIL_11930
ko:K16169	sagr:SAIL_11970
ko:K03816	sagr:SAIL_11980
ko:K00364	sagr:SAIL_11990
ko:K03549	sagr:SAIL_12020
ko:K06180	sagr:SAIL_12050
ko:K00858	sagr:SAIL_12060
ko:K00948	sagr:SAIL_12090
ko:K04487	sagr:SAIL_12100
ko:K01926	sagr:SAIL_12120
ko:K03630	sagr:SAIL_12130
ko:K01223	sagr:SAIL_12150
ko:K00075	sagr:SAIL_12250
ko:K00950	sagr:SAIL_12260
ko:K01633	sagr:SAIL_12270
ko:K07560	sagr:SAIL_19630
ko:K02012	sagr:SAIL_19700
ko:K07707	sagr:SAIL_19870
ko:K07636	sagr:SAIL_19910
ko:K02039	sagr:SAIL_19930
ko:K02036	sagr:SAIL_19940
ko:K02038	sagr:SAIL_19950
ko:K02037	sagr:SAIL_19960
ko:K02040	sagr:SAIL_19970
ko:K09761	sagr:SAIL_19990
ko:K02687	sagr:SAIL_20000
ko:K14237	sagr:SAIL_t1270
ko:K14237	sagr:SAIL_t200
ko:K14237	sagr:SAIL_t3030
ko:K14237	sagr:SAIL_t4980
ko:K14237	sagr:SAIL_t330
ko:K14233	sagr:SAIL_t490
ko:K14236	sagr:SAIL_t1370
ko:K14236	sagr:SAIL_t3100
ko:K14236	sagr:SAIL_t12700
ko:K14235	sagr:SAIL_t1380
ko:K14235	sagr:SAIL_t3110
ko:K14226	sagr:SAIL_t1390
ko:K14226	sagr:SAIL_t3120
ko:K14218	sagr:SAIL_t1240
ko:K14218	sagr:SAIL_t4950
ko:K14218	sagr:SAIL_t170
ko:K14218	sagr:SAIL_t3000
ko:K14218	sagr:SAIL_t300
ko:K14218	sagr:SAIL_t4150
ko:K14218	sagr:SAIL_t2180
ko:K14220	sagr:SAIL_t2210
ko:K14220	sagr:SAIL_t4180
ko:K14220	sagr:SAIL_t21680
ko:K14222	sagr:SAIL_t19020
ko:K01990	sagr:SAIL_3800
ko:K01990	sagr:SAIL_7150
ko:K01990	sagr:SAIL_7170
ko:K10112	sagr:SAIL_19440
ko:K01788	sagr:SAIL_690
ko:K02025	sagr:SAIL_710
ko:K01639	sagr:SAIL_750
ko:K01104	sagr:SAIL_870
ko:K13953	sagr:SAIL_910
ko:K00939	sagr:SAIL_1160
ko:K09698	sagr:SAIL_1740
ko:K10439	sagr:SAIL_1760
ko:K10440	sagr:SAIL_1770
ko:K00852	sagr:SAIL_1800
ko:K02004	sagr:SAIL_1820
ko:K00016	sagr:SAIL_1900
ko:K07030	sagr:SAIL_1930
ko:K17076	sagr:SAIL_1970
ko:K17073	sagr:SAIL_1980
ko:K17074	sagr:SAIL_1980
ko:K04488	sagr:SAIL_2080
ko:K07258	sagr:SAIL_2110
ko:K15582	sagr:SAIL_2140
ko:K15583	sagr:SAIL_2150
ko:K10823	sagr:SAIL_2160
ko:K07729	sagr:SAIL_2790
ko:K02775	sagr:SAIL_5350
ko:K01629	sagr:SAIL_5360
ko:K02775	sagr:SAIL_5380
ko:K02025	sagr:SAIL_5420
ko:K01784	sagr:SAIL_5470
ko:K01785	sagr:SAIL_5480
ko:K07177	sagr:SAIL_5720
ko:K00626	sagr:SAIL_5830
ko:K02236	sagr:SAIL_5870
ko:K00845	sagr:SAIL_5890
ko:K03574	sagr:SAIL_6050
ko:K03697	sagr:SAIL_6060
ko:K02028	sagr:SAIL_6090
ko:K12296	sagr:SAIL_6820
ko:K17686	sagr:SAIL_4670
ko:K07052	sagr:SAIL_7950
ko:K07052	sagr:SAIL_7960
ko:K07025	sagr:SAIL_8040
ko:K02004	sagr:SAIL_8280
ko:K15051	sagr:SAIL_8320
ko:K07035	sagr:SAIL_8380
ko:K01176	sagr:SAIL_8530
ko:K10041	sagr:SAIL_8630
ko:K07668	sagr:SAIL_8640
ko:K07652	sagr:SAIL_8650
ko:K03095	sagr:SAIL_8780
ko:K06023	sagr:SAIL_8810
ko:K06198	sagr:SAIL_9490
ko:K07533	sagr:SAIL_9530
ko:K07729	sagr:SAIL_9600
ko:K16789	sagr:SAIL_9620
ko:K11189	sagr:SAIL_9660
ko:K08483	sagr:SAIL_9670
ko:K12554	sagr:SAIL_6250
ko:K05363	sagr:SAIL_6260
ko:K05363	sagr:SAIL_6280
ko:K01537	sagr:SAIL_6320
ko:K16923	sagr:SAIL_6480
ko:K09762	sagr:SAIL_6540
ko:K09815	sagr:SAIL_6560
ko:K01488	sagr:SAIL_6590
ko:K04516	sagr:SAIL_6610
ko:K06286	sagr:SAIL_6680
ko:K15051	sagr:SAIL_6730
ko:K01834	sagr:SAIL_7780
ko:K07305	sagr:SAIL_10490
ko:K02028	sagr:SAIL_10660
ko:K02030	sagr:SAIL_10670
ko:K00867	sagr:SAIL_10690
ko:K00564	sagr:SAIL_10700
ko:K01489	sagr:SAIL_10710
ko:K02056	sagr:SAIL_10730
ko:K00016	sagr:SAIL_10770
ko:K08234	sagr:SAIL_10800
ko:K02004	sagr:SAIL_10920
ko:K09787	sagr:SAIL_11010
ko:K14982	sagr:SAIL_11020
ko:K14983	sagr:SAIL_11030
ko:K01092	sagr:SAIL_11140
ko:K16509	sagr:SAIL_11160
ko:K03177	sagr:SAIL_11190
ko:K07052	sagr:SAIL_11230
ko:K02004	sagr:SAIL_11240
ko:K00625	sagr:SAIL_12040
ko:K07816	sagr:SAIL_12070
ko:K11069	sagr:SAIL_12210
ko:K11071	sagr:SAIL_12230
ko:K11072	sagr:SAIL_12240
ko:K05020	sagr:SAIL_12360
ko:K07025	sagr:SAIL_8960
ko:K03976	sagr:SAIL_8980
ko:K07273	sagr:SAIL_9000
ko:K01834	sagr:SAIL_9080
ko:K02238	sagr:SAIL_9280
ko:K03488	sagr:SAIL_9350
ko:K02755	sagr:SAIL_9360
ko:K02756	sagr:SAIL_9360
ko:K02757	sagr:SAIL_9360
ko:K03299	sagr:SAIL_9400
ko:K02564	sagr:SAIL_9450
ko:K07393	sagr:SAIL_9460
ko:K06183	sagr:SAIL_9470
ko:K00700	sagr:SAIL_9970
ko:K15051	sagr:SAIL_10120
ko:K07054	sagr:SAIL_10160
ko:K16899	sagr:SAIL_10170
ko:K07009	sagr:SAIL_10270
ko:K09952	sagr:SAIL_10380
ko:K01104	sagr:SAIL_12920
ko:K03784	sagr:SAIL_12960
ko:K03783	sagr:SAIL_12980
ko:K03930	sagr:SAIL_13030
ko:K05833	sagr:SAIL_13050
ko:K05832	sagr:SAIL_13060
ko:K01989	sagr:SAIL_13070
ko:K03574	sagr:SAIL_13140
ko:K01727	sagr:SAIL_13150
ko:K02086	sagr:SAIL_13220
ko:K00784	sagr:SAIL_13270
ko:K11041	sagr:SAIL_13320
ko:K04750	sagr:SAIL_13420
ko:K04086	sagr:SAIL_13490
ko:K00547	sagr:SAIL_13500
ko:K01641	sagr:SAIL_13610
ko:K00054	sagr:SAIL_13620
ko:K01823	sagr:SAIL_13680
ko:K00938	sagr:SAIL_13690
ko:K01597	sagr:SAIL_13710
ko:K00869	sagr:SAIL_13720
ko:K06147	sagr:SAIL_13760
ko:K01081	sagr:SAIL_13800
ko:K00974	sagr:SAIL_13890
ko:K00882	sagr:SAIL_13960
ko:K03436	sagr:SAIL_13970
ko:K07035	sagr:SAIL_14030
ko:K02004	sagr:SAIL_14130
ko:K02005	sagr:SAIL_14150
ko:K07584	sagr:SAIL_14240
ko:K01372	sagr:SAIL_3680
ko:K03700	sagr:SAIL_3700
ko:K11617	sagr:SAIL_3940
ko:K11618	sagr:SAIL_3950
ko:K03768	sagr:SAIL_3970
ko:K07570	sagr:SAIL_3980
ko:K02240	sagr:SAIL_4110
ko:K02242	sagr:SAIL_4120
ko:K09825	sagr:SAIL_4730
ko:K01934	sagr:SAIL_4860
ko:K06346	sagr:SAIL_4930
ko:K07586	sagr:SAIL_5020
ko:K02348	sagr:SAIL_5090
ko:K03647	sagr:SAIL_5130
ko:K01607	sagr:SAIL_5190
ko:K01835	sagr:SAIL_11810
ko:K06147	sagr:SAIL_11820
ko:K00135	sagr:SAIL_12370
ko:K02824	sagr:SAIL_12560
ko:K00383	sagr:SAIL_14300
ko:K05337	sagr:SAIL_14420
ko:K01258	sagr:SAIL_14440
ko:K05362	sagr:SAIL_14460
ko:K15986	sagr:SAIL_14520
ko:K03699	sagr:SAIL_14540
ko:K09153	sagr:SAIL_14800
ko:K12997	sagr:SAIL_14820
ko:K12996	sagr:SAIL_14830
ko:K02030	sagr:SAIL_14920
ko:K15770	sagr:SAIL_15020
ko:K03574	sagr:SAIL_15060
ko:K12270	sagr:SAIL_15110
ko:K12269	sagr:SAIL_15120
ko:K12268	sagr:SAIL_15130
ko:K07052	sagr:SAIL_15250
ko:K02029	sagr:SAIL_15270
ko:K02030	sagr:SAIL_15270
ko:K02028	sagr:SAIL_15280
ko:K06183	sagr:SAIL_15360
ko:K01759	sagr:SAIL_15390
ko:K12999	sagr:SAIL_15400
ko:K10563	sagr:SAIL_15490
ko:K10254	sagr:SAIL_15680
ko:K01992	sagr:SAIL_3820
ko:K01992	sagr:SAIL_7160
ko:K14230	sagr:SAIL_t1350
ko:K14230	sagr:SAIL_t450
ko:K14230	sagr:SAIL_t3080
ko:K14221	sagr:SAIL_t1280
ko:K14221	sagr:SAIL_t210
ko:K14221	sagr:SAIL_t340
ko:K01985	sagr:SAIL_r1260
ko:K01985	sagr:SAIL_r4970
ko:K01985	sagr:SAIL_r4170
ko:K01985	sagr:SAIL_r3020
ko:K01985	sagr:SAIL_r320
ko:K01985	sagr:SAIL_r190
ko:K01985	sagr:SAIL_r2200
ko:K14229	sagr:SAIL_t1290
ko:K14229	sagr:SAIL_t350
ko:K14229	sagr:SAIL_t220
ko:K14228	sagr:SAIL_t1300
ko:K14228	sagr:SAIL_t360
ko:K14228	sagr:SAIL_t230
ko:K14228	sagr:SAIL_t260
ko:K14228	sagr:SAIL_t390
ko:K14234	sagr:SAIL_t1310
ko:K14234	sagr:SAIL_t240
ko:K14234	sagr:SAIL_t370
ko:K14225	sagr:SAIL_t250
ko:K14225	sagr:SAIL_t380
ko:K14225	sagr:SAIL_t3040
ko:K14225	sagr:SAIL_t4990
ko:K14225	sagr:SAIL_t470
ko:K14219	sagr:SAIL_t270
ko:K14219	sagr:SAIL_t400
ko:K14232	sagr:SAIL_t280
ko:K14232	sagr:SAIL_t410
ko:K14230	sagr:SAIL_t420
ko:K14230	sagr:SAIL_t430
ko:K14233	sagr:SAIL_t1340
ko:K14233	sagr:SAIL_t3070
ko:K14233	sagr:SAIL_t440
ko:K14231	sagr:SAIL_t1360
ko:K14231	sagr:SAIL_t460
ko:K14231	sagr:SAIL_t3090
ko:K14227	sagr:SAIL_t1320
ko:K14227	sagr:SAIL_t480
ko:K14227	sagr:SAIL_t5000
ko:K14227	sagr:SAIL_t3050
ko:K14224	sagr:SAIL_t1330
ko:K14224	sagr:SAIL_t21690
ko:K14224	sagr:SAIL_t5010
ko:K14224	sagr:SAIL_t14070
ko:K14224	sagr:SAIL_t3060
ko:K14223	sagr:SAIL_t12690
ko:K14223	sagr:SAIL_t3130
ko:K14223	sagr:SAIL_t14080
ko:K14223	sagr:SAIL_t1400
ko:K14228	sagr:SAIL_t1690
ko:K14234	sagr:SAIL_t5270
ko:K14219	sagr:SAIL_t6640
ko:K14219	sagr:SAIL_t12670
ko:K14219	sagr:SAIL_t21700
ko:K14229	sagr:SAIL_t20120
ko:K14233	sagr:SAIL_t4570
ko:K01980	sagr:SAIL_r4160
ko:K01980	sagr:SAIL_r4960
ko:K01980	sagr:SAIL_r180
ko:K01980	sagr:SAIL_r2190
ko:K01980	sagr:SAIL_r310
ko:K01980	sagr:SAIL_r1250
ko:K01980	sagr:SAIL_r3010
ko:K00131	sagr:SAIL_9680
ko:K01156	sagr:SAIL_20130
ko:K01101	sagr:SAIL_10360
ko:K02027	sagr:SAIL_5410
ko:K00226	sagr:SAIL_6240
ko:K03767	sagr:SAIL_15880
ko:K06518	sagr:SAIL_12590
ko:K01658	sagr:SAIL_5790
ko:K07284	sagr:SAIL_10790
ko:K02026	sagr:SAIL_720
ko:K02026	sagr:SAIL_5430
ko:K02027	sagr:SAIL_700
ko:K01467	sagr:SAIL_120
ko:K00537	sagr:SAIL_12990
ko:K00661	sagr:SAIL_11340
ko:K12574	sagr:SAIL_13040
ko:K07284	sagr:SAIL_14590
ko:K07284	sagr:SAIL_14610
ko:K18220	sagr:SAIL_7320
ko:K01071	sagr:SAIL_10350
ko:K02614	sagr:SAIL_12550
ko:K02809	sagr:SAIL_3530
ko:K02810	sagr:SAIL_3530
ko:K03366	sagr:SAIL_6420
ko:K02476	sagr:SAIL_19390
ko:K02476	sagr:SAIL_19400
ko:K06148	sagr:SAIL_11840
ko:K02794	sagr:SAIL_19750
ko:K00831	sagr:SAIL_16220
ko:K01996	sagr:SAIL_16310
ko:K07456	sagr:SAIL_17760
ko:K03696	sagr:SAIL_18940
ko:K03316	sagr:SAIL_19040
ko:K07386	sagr:SAIL_19070
ko:K02433	sagr:SAIL_17210
ko:K01006	sagr:SAIL_17240
ko:K01424	sagr:SAIL_17330
ko:K01626	sagr:SAIL_17420
ko:K00847	sagr:SAIL_17460
ko:K01876	sagr:SAIL_21100
ko:K00880	sagr:SAIL_18660
ko:K09815	sagr:SAIL_19610
ko:K01834	sagr:SAIL_20310
ko:K01361	sagr:SAIL_20550
ko:K01361	sagr:SAIL_20560
ko:K00764	sagr:SAIL_610
ko:K02034	sagr:SAIL_2560
ko:K01879	sagr:SAIL_3390
ko:K17686	sagr:SAIL_4660
ko:K03551	sagr:SAIL_850
ko:K09698	sagr:SAIL_1750
ko:K17073	sagr:SAIL_1990
ko:K17074	sagr:SAIL_1990
ko:K03655	sagr:SAIL_6980
ko:K01990	sagr:SAIL_3810
ko:K03768	sagr:SAIL_3960
ko:K01738	sagr:SAIL_4080
ko:K11050	sagr:SAIL_8140
ko:K02004	sagr:SAIL_8290
ko:K05363	sagr:SAIL_6270
ko:K01537	sagr:SAIL_6330
ko:K03367	sagr:SAIL_7860
ko:K01256	sagr:SAIL_11040
ko:K01092	sagr:SAIL_11130
ko:K03168	sagr:SAIL_11270
ko:K04096	sagr:SAIL_11290
ko:K14540	sagr:SAIL_11370
ko:K01223	sagr:SAIL_12160
ko:K00003	sagr:SAIL_12340
ko:K06187	sagr:SAIL_9110
ko:K02238	sagr:SAIL_9270
ko:K01839	sagr:SAIL_13000
ko:K01597	sagr:SAIL_13700
ko:K02768	sagr:SAIL_13950
ko:K02769	sagr:SAIL_13950
ko:K02770	sagr:SAIL_13950
ko:K03436	sagr:SAIL_13980
ko:K12554	sagr:SAIL_13990
ko:K01955	sagr:SAIL_14160
ko:K01591	sagr:SAIL_11610
ko:K02445	sagr:SAIL_14970
ko:K02029	sagr:SAIL_15260
ko:K02030	sagr:SAIL_15260
ko:K18369	sagr:SAIL_16900
ko:K07260	sagr:SAIL_1520
ko:K02032	sagr:SAIL_2590
ko:K03742	sagr:SAIL_20980
ko:K18474	sagr:SAIL_4210
ko:K16235	sagr:SAIL_13510
ko:K02001	sagr:SAIL_18590
ko:K02002	sagr:SAIL_18590
ko:K02031	sagr:SAIL_2580
ko:K07705	sagr:SAIL_2510
ko:K18581	sagr:SAIL_19180
ko:K00983	sagr:SAIL_12780
ko:K18682	sagr:SAIL_3790
ko:K18682	sagr:SAIL_3780
ko:K18672	sagr:SAIL_10290
ko:K18692	sagr:SAIL_3600
ko:K18888	sagr:SAIL_13840
ko:K18887	sagr:SAIL_13850
ko:K03790	sagr:SAIL_3220
ko:K18887	sagr:SAIL_13860
ko:K03790	sagr:SAIL_9880
ko:K06147	sagr:SAIL_13770
ko:K03111	sagr:SAIL_17690
ko:K03111	sagr:SAIL_17700
ko:K03497	sagr:SAIL_21730
ko:K05593	sagr:SAIL_20270
ko:K03111	sagr:SAIL_2480
ko:K07467	sagr:SAIL_7230
ko:K03169	sagr:SAIL_7480
ko:K03205	sagr:SAIL_7620
ko:K07029	sagr:SAIL_9950
ko:K19055	sagr:SAIL_16040
ko:K02315	sagr:SAIL_7650
ko:K19002	sagr:SAIL_8550
ko:K18979	sagr:SAIL_6360
ko:K13052	sagr:SAIL_100
ko:K19005	sagr:SAIL_14360
ko:K00986	sagr:SAIL_7440
ko:K11054	sagr:SAIL_8190
ko:K11049	sagr:SAIL_8110
ko:K11048	sagr:SAIL_8100
ko:K08652	sagr:SAIL_5100
ko:K02475	sagr:SAIL_19410
ko:K09951	sagr:SAIL_5620
ko:K11052	sagr:SAIL_8170
ko:K11047	sagr:SAIL_8090
ko:K01621	sagr:SAIL_18620
ko:K01239	sagr:SAIL_6490
ko:K01239	sagr:SAIL_6500
ko:K11056	sagr:SAIL_8210
ko:K11055	sagr:SAIL_8200
ko:K05881	sagr:SAIL_17030
ko:K01710	sagr:SAIL_13160
ko:K19119	sagr:SAIL_5560
ko:K09951	sagr:SAIL_10400
ko:K14989	sagr:SAIL_7400
ko:K19118	sagr:SAIL_5590
ko:K19137	sagr:SAIL_10410
ko:K03722	sagr:SAIL_6430
ko:K03722	sagr:SAIL_6450
ko:K01992	sagr:SAIL_3290
ko:K19302	sagr:SAIL_14570
ko:K04771	sagr:SAIL_21720
ko:K06881	sagr:SAIL_6580
ko:K01654	sagr:SAIL_12810
ko:K02796	sagr:SAIL_19730
ko:K00887	sagr:SAIL_15590
ko:K02796	sagr:SAIL_4390
ko:K11045	sagr:SAIL_20450
ko:K01271	sagr:SAIL_8510
ko:K00526	sagr:SAIL_9630
ko:K19689	sagr:SAIL_15330
ko:K00297	sagr:SAIL_20500
ko:K00547	sagr:SAIL_20500
ko:K00297	sagr:SAIL_20510
ko:K00547	sagr:SAIL_20510
ko:K21636	sagr:SAIL_20900
ko:K11706	sagr:SAIL_15900
ko:K20074	sagr:SAIL_3910
ko:K12132	sagr:SAIL_3920
ko:K20073	sagr:SAIL_3760
ko:K20112	sagr:SAIL_19550
ko:K20114	sagr:SAIL_19520
ko:K20114	sagr:SAIL_19530
ko:K02777	sagr:SAIL_19900
ko:K20107	sagr:SAIL_19900
ko:K20108	sagr:SAIL_19900
ko:K20113	sagr:SAIL_19540
ko:K20342	sagr:SAIL_840
ko:K20343	sagr:SAIL_19850
ko:K20373	sagr:SAIL_15500
ko:K00525	sagr:SAIL_9640
ko:K00526	sagr:SAIL_5120
ko:K20344	sagr:SAIL_19840
ko:K18889	sagr:SAIL_5770
ko:K18890	sagr:SAIL_5780
ko:K02525	sagr:SAIL_18730
ko:K12990	sagr:SAIL_14690
ko:K01200	sagr:SAIL_9960
ko:K21064	sagr:SAIL_4420
ko:K08968	sagr:SAIL_9720
ko:K00525	sagr:SAIL_5140
ko:K01493	sagr:SAIL_17600
ko:K04068	sagr:SAIL_20860
ko:K03553	sagr:SAIL_20970
ko:K02314	sagr:SAIL_21340
ko:K01520	sagr:SAIL_1700
ko:K01286	sagr:SAIL_2100
ko:K00558	sagr:SAIL_6790
ko:K00558	sagr:SAIL_7040
ko:K06191	sagr:SAIL_9650
ko:K00558	sagr:SAIL_7470
ko:K00857	sagr:SAIL_11910
ko:K00287	sagr:SAIL_13590
ko:K00560	sagr:SAIL_13600
ko:K02316	sagr:SAIL_14870
ko:K06217	sagr:SAIL_15670
ko:K02335	sagr:SAIL_4710
ko:K00571	sagr:SAIL_2360
ko:K01759	sagr:SAIL_15980
ko:K14198	sagr:SAIL_12400
ko:K21471	sagr:SAIL_500
ko:K00863	sagr:SAIL_16980
ko:K21567	sagr:SAIL_14040
ko:K21828	sagr:SAIL_21560
ko:K21977	sagr:SAIL_11780
ko:K21977	sagr:SAIL_11770
ko:K22044	sagr:SAIL_1640
ko:K00015	sagr:SAIL_18700
ko:K03595	sagr:SAIL_15580
ko:K03077	sagr:SAIL_18750
ko:K03078	sagr:SAIL_18770
ko:K22278	sagr:SAIL_9690
ko:K17758	sagr:SAIL_6120
ko:K03079	sagr:SAIL_18760
ko:K22441	sagr:SAIL_10140
ko:K22457	sagr:SAIL_6460
