ko:K08153	bthi:BTK_04825
ko:K01442	bthi:BTK_05880
ko:K03698	bthi:BTK_05905
ko:K15975	bthi:BTK_05930
ko:K15975	bthi:BTK_05935
ko:K01569	bthi:BTK_05970
ko:K02443	bthi:BTK_05980
ko:K02440	bthi:BTK_05985
ko:K00864	bthi:BTK_05990
ko:K00111	bthi:BTK_05995
ko:K03088	bthi:BTK_06010
ko:K03657	bthi:BTK_06025
ko:K07533	bthi:BTK_06030
ko:K09682	bthi:BTK_06045
ko:K02503	bthi:BTK_06055
ko:K01990	bthi:BTK_06060
ko:K01992	bthi:BTK_06065
ko:K09167	bthi:BTK_06090
ko:K08981	bthi:BTK_06095
ko:K00016	bthi:BTK_10550
ko:K00274	bthi:BTK_10555
ko:K01999	bthi:BTK_10565
ko:K01995	bthi:BTK_10570
ko:K01996	bthi:BTK_10575
ko:K01997	bthi:BTK_10580
ko:K01998	bthi:BTK_10585
ko:K00425	bthi:BTK_10615
ko:K00426	bthi:BTK_10620
ko:K16013	bthi:BTK_10625
ko:K16012	bthi:BTK_10630
ko:K07078	bthi:BTK_10685
ko:K18104	bthi:BTK_10705
ko:K00059	bthi:BTK_10720
ko:K07006	bthi:BTK_10750
ko:K00003	bthi:BTK_10760
ko:K01733	bthi:BTK_10765
ko:K00872	bthi:BTK_10770
ko:K06342	bthi:BTK_15405
ko:K06341	bthi:BTK_15410
ko:K06342	bthi:BTK_15415
ko:K05946	bthi:BTK_15430
ko:K01243	bthi:BTK_15435
ko:K06889	bthi:BTK_15440
ko:K07533	bthi:BTK_15465
ko:K01281	bthi:BTK_15470
ko:K15580	bthi:BTK_15530
ko:K03740	bthi:BTK_15540
ko:K01714	bthi:BTK_15605
ko:K00128	bthi:BTK_15610
ko:K03310	bthi:BTK_15615
ko:K06949	bthi:BTK_15625
ko:K06518	bthi:BTK_19875
ko:K03489	bthi:BTK_19890
ko:K01223	bthi:BTK_19895
ko:K01771	bthi:BTK_19900
ko:K01449	bthi:BTK_19910
ko:K07137	bthi:BTK_19915
ko:K03572	bthi:BTK_19935
ko:K03555	bthi:BTK_19940
ko:K06328	bthi:BTK_19945
ko:K06168	bthi:BTK_19955
ko:K00175	bthi:BTK_19960
ko:K00174	bthi:BTK_19965
ko:K01273	bthi:BTK_19970
ko:K06416	bthi:BTK_19975
ko:K09769	bthi:BTK_19980
ko:K18682	bthi:BTK_19985
ko:K03742	bthi:BTK_19995
ko:K00995	bthi:BTK_20000
ko:K00059	bthi:BTK_20020
ko:K02057	bthi:BTK_20035
ko:K02057	bthi:BTK_20040
ko:K02056	bthi:BTK_20045
ko:K07335	bthi:BTK_20050
ko:K03710	bthi:BTK_20055
ko:K03466	bthi:BTK_20060
ko:K12574	bthi:BTK_20075
ko:K01714	bthi:BTK_20080
ko:K00928	bthi:BTK_20085
ko:K00133	bthi:BTK_20090
ko:K06411	bthi:BTK_20095
ko:K06410	bthi:BTK_20100
ko:K00962	bthi:BTK_20120
ko:K02956	bthi:BTK_20125
ko:K11753	bthi:BTK_20130
ko:K06147	bthi:BTK_13175
ko:K09936	bthi:BTK_13005
ko:K06994	bthi:BTK_13040
ko:K03825	bthi:BTK_13065
ko:K00231	bthi:BTK_13090
ko:K03704	bthi:BTK_13110
ko:K07052	bthi:BTK_13115
ko:K00133	bthi:BTK_13135
ko:K09702	bthi:BTK_13170
ko:K00059	bthi:BTK_17660
ko:K01992	bthi:BTK_17665
ko:K01990	bthi:BTK_17670
ko:K01560	bthi:BTK_17695
ko:K01104	bthi:BTK_17705
ko:K01867	bthi:BTK_17730
ko:K00099	bthi:BTK_17735
ko:K02116	bthi:BTK_17800
ko:K00978	bthi:BTK_17820
ko:K01709	bthi:BTK_17825
ko:K09984	bthi:BTK_17865
ko:K07404	bthi:BTK_17870
ko:K00851	bthi:BTK_17875
ko:K00616	bthi:BTK_17885
ko:K00033	bthi:BTK_17890
ko:K00615	bthi:BTK_17895
ko:K00036	bthi:BTK_17900
ko:K00036	bthi:BTK_17905
ko:K06901	bthi:BTK_01685
ko:K06889	bthi:BTK_01700
ko:K06153	bthi:BTK_01715
ko:K01784	bthi:BTK_01770
ko:K09167	bthi:BTK_06135
ko:K08981	bthi:BTK_06140
ko:K12555	bthi:BTK_06150
ko:K01599	bthi:BTK_06155
ko:K01772	bthi:BTK_06160
ko:K00231	bthi:BTK_06165
ko:K07004	bthi:BTK_06175
ko:K03800	bthi:BTK_06265
ko:K01897	bthi:BTK_06275
ko:K02048	bthi:BTK_06285
ko:K02046	bthi:BTK_06290
ko:K02047	bthi:BTK_06295
ko:K02045	bthi:BTK_06300
ko:K11032	bthi:BTK_06380
ko:K06889	bthi:BTK_06390
ko:K07098	bthi:BTK_06395
ko:K06885	bthi:BTK_06400
ko:K03088	bthi:BTK_06410
ko:K07507	bthi:BTK_10815
ko:K00666	bthi:BTK_10860
ko:K15652	bthi:BTK_10875
ko:K08221	bthi:BTK_10885
ko:K06895	bthi:BTK_10890
ko:K07001	bthi:BTK_10905
ko:K01916	bthi:BTK_10930
ko:K11636	bthi:BTK_10935
ko:K13275	bthi:BTK_10945
ko:K06949	bthi:BTK_10990
ko:K03406	bthi:BTK_10995
ko:K04047	bthi:BTK_11015
ko:K00274	bthi:BTK_11050
ko:K00657	bthi:BTK_11075
ko:K09815	bthi:BTK_11080
ko:K15986	bthi:BTK_15645
ko:K01448	bthi:BTK_15660
ko:K03654	bthi:BTK_15715
ko:K03657	bthi:BTK_15725
ko:K03823	bthi:BTK_15755
ko:K01807	bthi:BTK_15825
ko:K03088	bthi:BTK_15835
ko:K01358	bthi:BTK_15840
ko:K02002	bthi:BTK_15845
ko:K02000	bthi:BTK_15850
ko:K02001	bthi:BTK_15855
ko:K03177	bthi:BTK_20135
ko:K00850	bthi:BTK_24135
ko:K01962	bthi:BTK_24140
ko:K01963	bthi:BTK_24145
ko:K00027	bthi:BTK_24155
ko:K02337	bthi:BTK_24160
ko:K00259	bthi:BTK_24250
ko:K00259	bthi:BTK_24255
ko:K00259	bthi:BTK_24260
ko:K00059	bthi:BTK_24265
ko:K01755	bthi:BTK_24290
ko:K01940	bthi:BTK_24295
ko:K00925	bthi:BTK_24340
ko:K11065	bthi:BTK_24350
ko:K00858	bthi:BTK_24365
ko:K04750	bthi:BTK_24375
ko:K01895	bthi:BTK_24380
ko:K03151	bthi:BTK_24390
ko:K04487	bthi:BTK_24395
ko:K06286	bthi:BTK_24400
ko:K00003	bthi:BTK_28670
ko:K00651	bthi:BTK_28675
ko:K01740	bthi:BTK_28680
ko:K01560	bthi:BTK_28695
ko:K01118	bthi:BTK_28705
ko:K00868	bthi:BTK_28720
ko:K06200	bthi:BTK_28735
ko:K08369	bthi:BTK_28745
ko:K05946	bthi:BTK_28750
ko:K09153	bthi:BTK_28795
ko:K12267	bthi:BTK_28840
ko:K05339	bthi:BTK_28850
ko:K05338	bthi:BTK_28855
ko:K07705	bthi:BTK_28860
ko:K07704	bthi:BTK_28865
ko:K00491	bthi:BTK_28880
ko:K04564	bthi:BTK_28885
ko:K01784	bthi:BTK_28920
ko:K15580	bthi:BTK_33861
ko:K02279	bthi:BTK_33996
ko:K02283	bthi:BTK_34006
ko:K00004	bthi:BTK_03815
ko:K01114	bthi:BTK_03835
ko:K07729	bthi:BTK_03865
ko:K07090	bthi:BTK_03900
ko:K06153	bthi:BTK_04035
ko:K03406	bthi:BTK_04040
ko:K07284	bthi:BTK_04060
ko:K03305	bthi:BTK_04070
ko:K03311	bthi:BTK_04080
ko:K07729	bthi:BTK_04105
ko:K11622	bthi:BTK_08480
ko:K11617	bthi:BTK_08485
ko:K11618	bthi:BTK_08490
ko:K03311	bthi:BTK_08500
ko:K05916	bthi:BTK_08535
ko:K07090	bthi:BTK_08550
ko:K03306	bthi:BTK_08555
ko:K07220	bthi:BTK_08560
ko:K12555	bthi:BTK_08565
ko:K03784	bthi:BTK_08605
ko:K14205	bthi:BTK_08615
ko:K04564	bthi:BTK_08630
ko:K06373	bthi:BTK_08640
ko:K06374	bthi:BTK_08645
ko:K06178	bthi:BTK_08650
ko:K07399	bthi:BTK_08660
ko:K07775	bthi:BTK_08670
ko:K07651	bthi:BTK_08675
ko:K05337	bthi:BTK_08700
ko:K03654	bthi:BTK_08710
ko:K07052	bthi:BTK_08715
ko:K16511	bthi:BTK_08735
ko:K00260	bthi:BTK_08740
ko:K00384	bthi:BTK_08760
ko:K03088	bthi:BTK_13245
ko:K02760	bthi:BTK_13275
ko:K02761	bthi:BTK_13280
ko:K09001	bthi:BTK_13290
ko:K01754	bthi:BTK_13310
ko:K05592	bthi:BTK_13345
ko:K01834	bthi:BTK_13395
ko:K01270	bthi:BTK_13420
ko:K06284	bthi:BTK_13445
ko:K07090	bthi:BTK_13465
ko:K07258	bthi:BTK_13475
ko:K06133	bthi:BTK_13505
ko:K03406	bthi:BTK_17925
ko:K05967	bthi:BTK_17935
ko:K11752	bthi:BTK_17940
ko:K01497	bthi:BTK_17945
ko:K07078	bthi:BTK_17955
ko:K03837	bthi:BTK_17965
ko:K16509	bthi:BTK_17985
ko:K03093	bthi:BTK_18095
ko:K01992	bthi:BTK_18120
ko:K01990	bthi:BTK_18125
ko:K05601	bthi:BTK_18150
ko:K17837	bthi:BTK_18160
ko:K07222	bthi:BTK_18180
ko:K09936	bthi:BTK_18195
ko:K02834	bthi:BTK_20140
ko:K09764	bthi:BTK_20145
ko:K02519	bthi:BTK_20150
ko:K07742	bthi:BTK_20160
ko:K02600	bthi:BTK_20165
ko:K09748	bthi:BTK_20170
ko:K03763	bthi:BTK_20175
ko:K01881	bthi:BTK_20180
ko:K11749	bthi:BTK_20185
ko:K00099	bthi:BTK_20190
ko:K00981	bthi:BTK_20195
ko:K00806	bthi:BTK_20200
ko:K02838	bthi:BTK_20205
ko:K09903	bthi:BTK_20210
ko:K02357	bthi:BTK_20215
ko:K02967	bthi:BTK_20220
ko:K03706	bthi:BTK_20225
ko:K03667	bthi:BTK_20230
ko:K01419	bthi:BTK_20235
ko:K03733	bthi:BTK_20240
ko:K04094	bthi:BTK_20245
ko:K03168	bthi:BTK_20250
ko:K04096	bthi:BTK_20255
ko:K01902	bthi:BTK_20260
ko:K01903	bthi:BTK_20265
ko:K03470	bthi:BTK_20270
ko:K14540	bthi:BTK_20275
ko:K03100	bthi:BTK_20280
ko:K02884	bthi:BTK_20285
ko:K00554	bthi:BTK_20290
ko:K02860	bthi:BTK_20295
ko:K06960	bthi:BTK_20300
ko:K02959	bthi:BTK_20305
ko:K03106	bthi:BTK_20310
ko:K09787	bthi:BTK_20315
ko:K03110	bthi:BTK_20320
ko:K03529	bthi:BTK_20325
ko:K03529	bthi:BTK_20335
ko:K03685	bthi:BTK_20340
ko:K02078	bthi:BTK_20345
ko:K00059	bthi:BTK_20350
ko:K00645	bthi:BTK_20355
ko:K03621	bthi:BTK_20360
ko:K03655	bthi:BTK_20370
ko:K07030	bthi:BTK_20375
ko:K02902	bthi:BTK_20385
ko:K06414	bthi:BTK_20390
ko:K03596	bthi:BTK_22780
ko:K06012	bthi:BTK_22790
ko:K02968	bthi:BTK_22795
ko:K02340	bthi:BTK_22800
ko:K02238	bthi:BTK_22810
ko:K02237	bthi:BTK_22820
ko:K02239	bthi:BTK_22825
ko:K09710	bthi:BTK_22835
ko:K00969	bthi:BTK_22845
ko:K07574	bthi:BTK_22850
ko:K00014	bthi:BTK_22855
ko:K06948	bthi:BTK_22860
ko:K07015	bthi:BTK_22865
ko:K06371	bthi:BTK_22870
ko:K01613	bthi:BTK_22875
ko:K03091	bthi:BTK_22880
ko:K02913	bthi:BTK_22895
ko:K15976	bthi:BTK_22900
ko:K01077	bthi:BTK_22915
ko:K16937	bthi:BTK_22930
ko:K00500	bthi:BTK_22980
ko:K01724	bthi:BTK_22985
ko:K07104	bthi:BTK_22990
ko:K02013	bthi:BTK_23025
ko:K02015	bthi:BTK_23030
ko:K02016	bthi:BTK_23035
ko:K06407	bthi:BTK_27250
ko:K01358	bthi:BTK_27265
ko:K11184	bthi:BTK_27270
ko:K09762	bthi:BTK_27275
ko:K06958	bthi:BTK_27285
ko:K03574	bthi:BTK_27290
ko:K08974	bthi:BTK_27295
ko:K00384	bthi:BTK_27300
ko:K06019	bthi:BTK_27315
ko:K13292	bthi:BTK_27320
ko:K06023	bthi:BTK_27325
ko:K08972	bthi:BTK_27330
ko:K03701	bthi:BTK_27340
ko:K03702	bthi:BTK_27345
ko:K07729	bthi:BTK_27370
ko:K06147	bthi:BTK_27405
ko:K03797	bthi:BTK_27415
ko:K09811	bthi:BTK_27420
ko:K09812	bthi:BTK_27425
ko:K12263	bthi:BTK_27430
ko:K01990	bthi:BTK_27460
ko:K05808	bthi:BTK_27490
ko:K03704	bthi:BTK_27495
ko:K02242	bthi:BTK_27500
ko:K02240	bthi:BTK_27505
ko:K01791	bthi:BTK_27535
ko:K00012	bthi:BTK_27540
ko:K03168	bthi:BTK_32226
ko:K03611	bthi:BTK_32251
ko:K00675	bthi:BTK_32301
ko:K07491	bthi:BTK_32326
ko:K11035	bthi:BTK_32391
ko:K03885	bthi:BTK_25760
ko:K07491	bthi:BTK_30709
ko:K01725	bthi:BTK_30754
ko:K01673	bthi:BTK_30759
ko:K03719	bthi:BTK_30764
ko:K09384	bthi:BTK_30769
ko:K03574	bthi:BTK_30794
ko:K03406	bthi:BTK_30829
ko:K03752	bthi:BTK_25005
ko:K03638	bthi:BTK_25010
ko:K00789	bthi:BTK_25030
ko:K01610	bthi:BTK_25035
ko:K02116	bthi:BTK_25040
ko:K02051	bthi:BTK_25120
ko:K02049	bthi:BTK_25125
ko:K02050	bthi:BTK_25130
ko:K07025	bthi:BTK_25145
ko:K07173	bthi:BTK_25175
ko:K08998	bthi:BTK_25180
ko:K01673	bthi:BTK_25185
ko:K00425	bthi:BTK_25190
ko:K00426	bthi:BTK_25195
ko:K03969	bthi:BTK_25230
ko:K04759	bthi:BTK_25245
ko:K04758	bthi:BTK_25250
ko:K16789	bthi:BTK_25255
ko:K07284	bthi:BTK_25270
ko:K03611	bthi:BTK_29779
ko:K07491	bthi:BTK_29794
ko:K17103	bthi:BTK_29844
ko:K02003	bthi:BTK_29894
ko:K02004	bthi:BTK_29899
ko:K03305	bthi:BTK_29984
ko:K07260	bthi:BTK_30014
ko:K03321	bthi:BTK_30054
ko:K12574	bthi:BTK_30064
ko:K03700	bthi:BTK_34831
ko:K03088	bthi:BTK_34841
ko:K01356	bthi:BTK_34971
ko:K02395	bthi:BTK_35031
ko:K03499	bthi:BTK_04125
ko:K02829	bthi:BTK_04130
ko:K02828	bthi:BTK_04135
ko:K02827	bthi:BTK_04140
ko:K02826	bthi:BTK_04145
ko:K03307	bthi:BTK_04170
ko:K06310	bthi:BTK_04175
ko:K06311	bthi:BTK_04180
ko:K06312	bthi:BTK_04185
ko:K04759	bthi:BTK_04195
ko:K04758	bthi:BTK_04205
ko:K02040	bthi:BTK_04210
ko:K02037	bthi:BTK_04215
ko:K02038	bthi:BTK_04220
ko:K10810	bthi:BTK_04255
ko:K03707	bthi:BTK_04285
ko:K15600	bthi:BTK_04290
ko:K15599	bthi:BTK_04295
ko:K15598	bthi:BTK_04300
ko:K10810	bthi:BTK_04305
ko:K01424	bthi:BTK_08765
ko:K00945	bthi:BTK_08775
ko:K02945	bthi:BTK_08780
ko:K01823	bthi:BTK_08785
ko:K05739	bthi:BTK_08800
ko:K03977	bthi:BTK_08810
ko:K00057	bthi:BTK_08815
ko:K06398	bthi:BTK_08835
ko:K03530	bthi:BTK_08840
ko:K01495	bthi:BTK_08845
ko:K00805	bthi:BTK_08850
ko:K03183	bthi:BTK_08855
ko:K00805	bthi:BTK_08860
ko:K00940	bthi:BTK_08865
ko:K01736	bthi:BTK_08870
ko:K01735	bthi:BTK_08875
ko:K00817	bthi:BTK_08885
ko:K03886	bthi:BTK_08905
ko:K03887	bthi:BTK_08910
ko:K03888	bthi:BTK_08915
ko:K06973	bthi:BTK_08940
ko:K00215	bthi:BTK_08970
ko:K01734	bthi:BTK_08975
ko:K00974	bthi:BTK_08990
ko:K03524	bthi:BTK_08995
ko:K00606	bthi:BTK_09005
ko:K01918	bthi:BTK_09010
ko:K01579	bthi:BTK_09015
ko:K00812	bthi:BTK_09035
ko:K02086	bthi:BTK_09040
ko:K17836	bthi:BTK_13530
ko:K06213	bthi:BTK_13570
ko:K01531	bthi:BTK_13575
ko:K11035	bthi:BTK_13610
ko:K00831	bthi:BTK_13685
ko:K00058	bthi:BTK_13690
ko:K02004	bthi:BTK_13735
ko:K02003	bthi:BTK_13740
ko:K14338	bthi:BTK_13800
ko:K17836	bthi:BTK_13815
ko:K02016	bthi:BTK_18275
ko:K02015	bthi:BTK_18280
ko:K02015	bthi:BTK_18285
ko:K02493	bthi:BTK_18345
ko:K01176	bthi:BTK_18365
ko:K00675	bthi:BTK_18370
ko:K08602	bthi:BTK_18375
ko:K10536	bthi:BTK_18380
ko:K13256	bthi:BTK_18395
ko:K10536	bthi:BTK_18400
ko:K01126	bthi:BTK_18430
ko:K01985	bthi:BTK_r29364
ko:K01985	bthi:BTK_r29366
ko:K01985	bthi:BTK_r29376
ko:K01985	bthi:BTK_r29370
ko:K01985	bthi:BTK_r29374
ko:K01985	bthi:BTK_r29378
ko:K01985	bthi:BTK_r29372
ko:K01985	bthi:BTK_r29380
ko:K01985	bthi:BTK_r29382
ko:K01985	bthi:BTK_r29386
ko:K01985	bthi:BTK_r29388
ko:K01985	bthi:BTK_r29384
ko:K01985	bthi:BTK_r29368
ko:K03800	bthi:BTK_22235
ko:K01992	bthi:BTK_22280
ko:K01992	bthi:BTK_22285
ko:K01992	bthi:BTK_22290
ko:K01990	bthi:BTK_22295
ko:K07979	bthi:BTK_22300
ko:K00283	bthi:BTK_22315
ko:K00282	bthi:BTK_22320
ko:K00605	bthi:BTK_22325
ko:K00891	bthi:BTK_22360
ko:K00472	bthi:BTK_22365
ko:K02249	bthi:BTK_22370
ko:K02248	bthi:BTK_22375
ko:K02247	bthi:BTK_22380
ko:K02246	bthi:BTK_22385
ko:K02245	bthi:BTK_22390
ko:K02244	bthi:BTK_22395
ko:K02243	bthi:BTK_22400
ko:K06956	bthi:BTK_22415
ko:K02563	bthi:BTK_22450
ko:K00548	bthi:BTK_22455
ko:K01739	bthi:BTK_22465
ko:K01760	bthi:BTK_22470
ko:K01874	bthi:BTK_26685
ko:K03406	bthi:BTK_26695
ko:K03406	bthi:BTK_26700
ko:K08777	bthi:BTK_26710
ko:K06911	bthi:BTK_26715
ko:K03455	bthi:BTK_26735
ko:K07228	bthi:BTK_26740
ko:K03310	bthi:BTK_26745
ko:K04047	bthi:BTK_26750
ko:K06966	bthi:BTK_26765
ko:K02217	bthi:BTK_26775
ko:K07148	bthi:BTK_26780
ko:K11535	bthi:BTK_26785
ko:K03317	bthi:BTK_26810
ko:K03310	bthi:BTK_26815
ko:K07118	bthi:BTK_26830
ko:K03885	bthi:BTK_26865
ko:K01866	bthi:BTK_26870
ko:K00075	bthi:BTK_26875
ko:K07117	bthi:BTK_26880
ko:K03406	bthi:BTK_26885
ko:K06199	bthi:BTK_26895
ko:K06199	bthi:BTK_26900
ko:K00657	bthi:BTK_26925
ko:K13256	bthi:BTK_26930
ko:K11031	bthi:BTK_26945
ko:K02013	bthi:BTK_26955
ko:K02283	bthi:BTK_31781
ko:K02279	bthi:BTK_31791
ko:K02428	bthi:BTK_23590
ko:K00989	bthi:BTK_23595
ko:K06298	bthi:BTK_23600
ko:K01776	bthi:BTK_23605
ko:K01994	bthi:BTK_23620
ko:K01992	bthi:BTK_23665
ko:K01990	bthi:BTK_23670
ko:K02557	bthi:BTK_23680
ko:K02556	bthi:BTK_23685
ko:K07260	bthi:BTK_23690
ko:K07107	bthi:BTK_23695
ko:K00240	bthi:BTK_23700
ko:K00239	bthi:BTK_23705
ko:K00241	bthi:BTK_23710
ko:K03703	bthi:BTK_23720
ko:K03671	bthi:BTK_23725
ko:K03522	bthi:BTK_23730
ko:K03521	bthi:BTK_23735
ko:K13767	bthi:BTK_23740
ko:K13770	bthi:BTK_23745
ko:K01897	bthi:BTK_23750
ko:K03088	bthi:BTK_23770
ko:K06969	bthi:BTK_23830
ko:K07145	bthi:BTK_23835
ko:K08600	bthi:BTK_23840
ko:K02013	bthi:BTK_23845
ko:K02015	bthi:BTK_23850
ko:K02016	bthi:BTK_23855
ko:K02110	bthi:BTK_28110
ko:K02108	bthi:BTK_28115
ko:K02116	bthi:BTK_28120
ko:K00761	bthi:BTK_28135
ko:K00600	bthi:BTK_28140
ko:K01808	bthi:BTK_28150
ko:K15977	bthi:BTK_28165
ko:K07566	bthi:BTK_28190
ko:K06387	bthi:BTK_28200
ko:K02493	bthi:BTK_28205
ko:K02835	bthi:BTK_28210
ko:K02909	bthi:BTK_28220
ko:K03628	bthi:BTK_28230
ko:K02446	bthi:BTK_28235
ko:K00790	bthi:BTK_28245
ko:K01624	bthi:BTK_28250
ko:K02490	bthi:BTK_28255
ko:K01937	bthi:BTK_28265
ko:K03048	bthi:BTK_28270
ko:K02313	bthi:BTK_00005
ko:K02338	bthi:BTK_00010
ko:K03629	bthi:BTK_00020
ko:K02470	bthi:BTK_00025
ko:K02469	bthi:BTK_00030
ko:K02469	bthi:BTK_00035
ko:K02470	bthi:BTK_00040
ko:K02470	bthi:BTK_00045
ko:K02469	bthi:BTK_00050
ko:K00088	bthi:BTK_00060
ko:K06215	bthi:BTK_00075
ko:K08681	bthi:BTK_00080
ko:K01875	bthi:BTK_00085
ko:K15519	bthi:BTK_00095
ko:K15518	bthi:BTK_00100
ko:K11991	bthi:BTK_00110
ko:K02343	bthi:BTK_00115
ko:K09747	bthi:BTK_00120
ko:K06187	bthi:BTK_00125
ko:K06317	bthi:BTK_00135
ko:K00943	bthi:BTK_00150
ko:K02341	bthi:BTK_00155
ko:K07461	bthi:BTK_00175
ko:K07056	bthi:BTK_00180
ko:K06284	bthi:BTK_00185
ko:K01874	bthi:BTK_00190
ko:K03424	bthi:BTK_00195
ko:K05985	bthi:BTK_00200
ko:K02528	bthi:BTK_00205
ko:K06436	bthi:BTK_00210
ko:K06423	bthi:BTK_00220
ko:K00919	bthi:BTK_00225
ko:K09685	bthi:BTK_00230
ko:K09022	bthi:BTK_00235
ko:K06412	bthi:BTK_00240
ko:K04042	bthi:BTK_00245
ko:K00948	bthi:BTK_00250
ko:K03153	bthi:BTK_04310
ko:K03154	bthi:BTK_04315
ko:K03149	bthi:BTK_04320
ko:K00941	bthi:BTK_04330
ko:K01546	bthi:BTK_04350
ko:K01547	bthi:BTK_04355
ko:K01548	bthi:BTK_04360
ko:K07646	bthi:BTK_04365
ko:K02004	bthi:BTK_04390
ko:K02003	bthi:BTK_04400
ko:K06901	bthi:BTK_04410
ko:K03611	bthi:BTK_04440
ko:K03611	bthi:BTK_04475
ko:K03324	bthi:BTK_04575
ko:K09963	bthi:BTK_04585
ko:K03491	bthi:BTK_04590
ko:K02759	bthi:BTK_04595
ko:K10773	bthi:BTK_09045
ko:K05366	bthi:BTK_09055
ko:K03700	bthi:BTK_09060
ko:K06327	bthi:BTK_09095
ko:K07444	bthi:BTK_09110
ko:K01299	bthi:BTK_09125
ko:K01265	bthi:BTK_09135
ko:K03816	bthi:BTK_09140
ko:K16169	bthi:BTK_09145
ko:K07148	bthi:BTK_09150
ko:K01011	bthi:BTK_09180
ko:K08989	bthi:BTK_09200
ko:K03469	bthi:BTK_09295
ko:K03469	bthi:BTK_09310
ko:K03704	bthi:BTK_09325
ko:K09190	bthi:BTK_09330
ko:K02004	bthi:BTK_13820
ko:K06880	bthi:BTK_13835
ko:K01759	bthi:BTK_13870
ko:K03325	bthi:BTK_13915
ko:K02548	bthi:BTK_13935
ko:K09822	bthi:BTK_13965
ko:K01669	bthi:BTK_14000
ko:K06889	bthi:BTK_14030
ko:K01387	bthi:BTK_14070
ko:K15973	bthi:BTK_14085
ko:K09932	bthi:BTK_14100
ko:K03453	bthi:BTK_18475
ko:K17103	bthi:BTK_18505
ko:K01069	bthi:BTK_18520
ko:K17218	bthi:BTK_18525
ko:K01771	bthi:BTK_18535
ko:K00978	bthi:BTK_18575
ko:K01709	bthi:BTK_18590
ko:K03406	bthi:BTK_18605
ko:K07697	bthi:BTK_18685
ko:K01387	bthi:BTK_18690
ko:K07507	bthi:BTK_18695
ko:K07104	bthi:BTK_18705
ko:K03704	bthi:BTK_18740
ko:K03839	bthi:BTK_18750
ko:K00074	bthi:BTK_28290
ko:K00626	bthi:BTK_28295
ko:K00626	bthi:BTK_28300
ko:K06131	bthi:BTK_28310
ko:K00626	bthi:BTK_28320
ko:K00074	bthi:BTK_28340
ko:K00626	bthi:BTK_28345
ko:K06131	bthi:BTK_28355
ko:K13292	bthi:BTK_33366
ko:K00389	bthi:BTK_33371
ko:K03719	bthi:BTK_33381
ko:K03321	bthi:BTK_33396
ko:K03455	bthi:BTK_33456
ko:K07228	bthi:BTK_33466
ko:K04763	bthi:BTK_33476
ko:K01761	bthi:BTK_24425
ko:K02986	bthi:BTK_24430
ko:K01866	bthi:BTK_24455
ko:K03088	bthi:BTK_24465
ko:K00661	bthi:BTK_24470
ko:K01895	bthi:BTK_24475
ko:K04766	bthi:BTK_24480
ko:K04767	bthi:BTK_24485
ko:K04768	bthi:BTK_24490
ko:K01259	bthi:BTK_24495
ko:K03810	bthi:BTK_24545
ko:K03282	bthi:BTK_24550
ko:K02529	bthi:BTK_24575
ko:K13853	bthi:BTK_24580
ko:K03817	bthi:BTK_24615
ko:K01924	bthi:BTK_24620
ko:K00763	bthi:BTK_24625
ko:K03466	bthi:BTK_24630
ko:K06878	bthi:BTK_24650
ko:K03439	bthi:BTK_24685
ko:K11068	bthi:BTK_28925
ko:K11068	bthi:BTK_28945
ko:K00364	bthi:BTK_28985
ko:K00783	bthi:BTK_29015
ko:K07652	bthi:BTK_29045
ko:K01778	bthi:BTK_26195
ko:K03885	bthi:BTK_26205
ko:K02068	bthi:BTK_26215
ko:K02069	bthi:BTK_26220
ko:K06193	bthi:BTK_26225
ko:K00355	bthi:BTK_26320
ko:K02446	bthi:BTK_26340
ko:K01834	bthi:BTK_26380
ko:K02279	bthi:BTK_31024
ko:K02283	bthi:BTK_31034
ko:K03488	bthi:BTK_31089
ko:K02755	bthi:BTK_31094
ko:K02756	bthi:BTK_31094
ko:K02757	bthi:BTK_31094
ko:K01223	bthi:BTK_31099
ko:K07052	bthi:BTK_31209
ko:K01056	bthi:BTK_00255
ko:K03723	bthi:BTK_00265
ko:K04769	bthi:BTK_00270
ko:K02499	bthi:BTK_00280
ko:K07571	bthi:BTK_00305
ko:K06382	bthi:BTK_00310
ko:K04075	bthi:BTK_00315
ko:K00760	bthi:BTK_00320
ko:K03798	bthi:BTK_00325
ko:K03525	bthi:BTK_00330
ko:K04083	bthi:BTK_00335
ko:K01738	bthi:BTK_00340
ko:K01665	bthi:BTK_00345
ko:K01664	bthi:BTK_00350
ko:K02619	bthi:BTK_00355
ko:K00796	bthi:BTK_00360
ko:K01633	bthi:BTK_00365
ko:K00950	bthi:BTK_00370
ko:K04567	bthi:BTK_00385
ko:K03708	bthi:BTK_00390
ko:K03696	bthi:BTK_00405
ko:K04485	bthi:BTK_00410
ko:K07067	bthi:BTK_00415
ko:K00991	bthi:BTK_00425
ko:K01770	bthi:BTK_00430
ko:K09698	bthi:BTK_00435
ko:K00640	bthi:BTK_00440
ko:K01883	bthi:BTK_00445
ko:K11145	bthi:BTK_00450
ko:K03218	bthi:BTK_00455
ko:K06962	bthi:BTK_00460
ko:K03091	bthi:BTK_00465
ko:K02913	bthi:BTK_00470
ko:K03073	bthi:BTK_00475
ko:K02760	bthi:BTK_04600
ko:K02761	bthi:BTK_04605
ko:K02004	bthi:BTK_04630
