ko:K19079	saun:SAKOR_00656
ko:K02112	saun:SAKOR_02070
ko:K02115	saun:SAKOR_02071
ko:K02111	saun:SAKOR_02072
ko:K02113	saun:SAKOR_02073
ko:K02109	saun:SAKOR_02074
ko:K02110	saun:SAKOR_02075
ko:K02108	saun:SAKOR_02076
ko:K00761	saun:SAKOR_02079
ko:K00600	saun:SAKOR_02080
ko:K07566	saun:SAKOR_02083
ko:K02493	saun:SAKOR_02084
ko:K02835	saun:SAKOR_02085
ko:K02909	saun:SAKOR_02087
ko:K03628	saun:SAKOR_02088
ko:K00790	saun:SAKOR_02091
ko:K01624	saun:SAKOR_02092
ko:K01937	saun:SAKOR_02095
ko:K02768	saun:SAKOR_00697
ko:K02769	saun:SAKOR_00697
ko:K02770	saun:SAKOR_00697
ko:K01443	saun:SAKOR_00698
ko:K10681	saun:SAKOR_00702
ko:K10682	saun:SAKOR_00703
ko:K16937	saun:SAKOR_00704
ko:K10026	saun:SAKOR_00707
ko:K01737	saun:SAKOR_00708
ko:K06920	saun:SAKOR_00709
ko:K01665	saun:SAKOR_00711
ko:K15738	saun:SAKOR_00718
ko:K03654	saun:SAKOR_00719
ko:K05847	saun:SAKOR_00720
ko:K00817	saun:SAKOR_00722
ko:K03305	saun:SAKOR_00726
ko:K09457	saun:SAKOR_00728
ko:K02015	saun:SAKOR_00735
ko:K02015	saun:SAKOR_00736
ko:K02013	saun:SAKOR_00737
ko:K02016	saun:SAKOR_00738
ko:K00075	saun:SAKOR_00740
ko:K00865	saun:SAKOR_00744
ko:K00282	saun:SAKOR_01482
ko:K00605	saun:SAKOR_01483
ko:K00891	saun:SAKOR_01484
ko:K02913	saun:SAKOR_01498
ko:K12553	saun:SAKOR_01499
ko:K04564	saun:SAKOR_01500
ko:K09816	saun:SAKOR_01502
ko:K09817	saun:SAKOR_01503
ko:K01151	saun:SAKOR_01504
ko:K06967	saun:SAKOR_01507
ko:K03086	saun:SAKOR_01508
ko:K09773	saun:SAKOR_01510
ko:K01880	saun:SAKOR_01512
ko:K03584	saun:SAKOR_01513
ko:K07042	saun:SAKOR_01517
ko:K02970	saun:SAKOR_01522
ko:K09761	saun:SAKOR_01524
ko:K02687	saun:SAKOR_01525
ko:K03686	saun:SAKOR_01526
ko:K04043	saun:SAKOR_01527
ko:K03687	saun:SAKOR_01528
ko:K03705	saun:SAKOR_01529
ko:K03596	saun:SAKOR_01532
ko:K03315	saun:SAKOR_02266
ko:K09940	saun:SAKOR_02268
ko:K00123	saun:SAKOR_02276
ko:K03453	saun:SAKOR_02290
ko:K02749	saun:SAKOR_02292
ko:K02750	saun:SAKOR_02292
ko:K03481	saun:SAKOR_02293
ko:K01468	saun:SAKOR_02300
ko:K01712	saun:SAKOR_02301
ko:K11210	saun:SAKOR_02303
ko:K01807	saun:SAKOR_02306
ko:K09771	saun:SAKOR_02310
ko:K03652	saun:SAKOR_02317
ko:K03311	saun:SAKOR_00297
ko:K02003	saun:SAKOR_00302
ko:K03800	saun:SAKOR_00322
ko:K09888	saun:SAKOR_01062
ko:K02347	saun:SAKOR_01064
ko:K07456	saun:SAKOR_01065
ko:K03671	saun:SAKOR_01066
ko:K03703	saun:SAKOR_01068
ko:K00239	saun:SAKOR_01070
ko:K00240	saun:SAKOR_01071
ko:K01776	saun:SAKOR_01072
ko:K07095	saun:SAKOR_01074
ko:K14200	saun:SAKOR_01079
ko:K11032	saun:SAKOR_01084
ko:K00611	saun:SAKOR_01090
ko:K00926	saun:SAKOR_01091
ko:K03925	saun:SAKOR_01104
ko:K03438	saun:SAKOR_01105
ko:K12552	saun:SAKOR_01107
ko:K01000	saun:SAKOR_01108
ko:K01925	saun:SAKOR_01109
ko:K03589	saun:SAKOR_01110
ko:K03590	saun:SAKOR_01111
ko:K03531	saun:SAKOR_01112
ko:K05810	saun:SAKOR_01113
ko:K06997	saun:SAKOR_01114
ko:K09772	saun:SAKOR_01115
ko:K01972	saun:SAKOR_01864
ko:K03657	saun:SAKOR_01866
ko:K01756	saun:SAKOR_01869
ko:K08258	saun:SAKOR_01871
ko:K00763	saun:SAKOR_01876
ko:K00491	saun:SAKOR_01877
ko:K14445	saun:SAKOR_01879
ko:K01814	saun:SAKOR_02677
ko:K02501	saun:SAKOR_02678
ko:K01693	saun:SAKOR_02679
ko:K00817	saun:SAKOR_02680
ko:K00013	saun:SAKOR_02681
ko:K00765	saun:SAKOR_02682
ko:K16785	saun:SAKOR_02686
ko:K16786	saun:SAKOR_02687
ko:K16787	saun:SAKOR_02687
ko:K07146	saun:SAKOR_02693
ko:K01304	saun:SAKOR_02694
ko:K03319	saun:SAKOR_02696
ko:K05786	saun:SAKOR_02697
ko:K07241	saun:SAKOR_02699
ko:K11631	saun:SAKOR_02702
ko:K11632	saun:SAKOR_02703
ko:K03704	saun:SAKOR_02705
ko:K03501	saun:SAKOR_02711
ko:K03495	saun:SAKOR_02712
ko:K03650	saun:SAKOR_02713
ko:K03536	saun:SAKOR_02714
ko:K02914	saun:SAKOR_02715
ko:K07173	saun:SAKOR_02102
ko:K00756	saun:SAKOR_02104
ko:K04047	saun:SAKOR_02107
ko:K01809	saun:SAKOR_02111
ko:K16264	saun:SAKOR_02114
ko:K02013	saun:SAKOR_02120
ko:K02042	saun:SAKOR_00117
ko:K02041	saun:SAKOR_00118
ko:K02044	saun:SAKOR_00119
ko:K04072	saun:SAKOR_00128
ko:K13012	saun:SAKOR_00141
ko:K02472	saun:SAKOR_00143
ko:K09790	saun:SAKOR_00146
ko:K16264	saun:SAKOR_00148
ko:K08996	saun:SAKOR_00161
ko:K00930	saun:SAKOR_00162
ko:K00620	saun:SAKOR_00163
ko:K00145	saun:SAKOR_00164
ko:K03311	saun:SAKOR_00166
ko:K02548	saun:SAKOR_00962
ko:K02551	saun:SAKOR_00964
ko:K01661	saun:SAKOR_00966
ko:K13715	saun:SAKOR_00968
ko:K02829	saun:SAKOR_00979
ko:K02828	saun:SAKOR_00980
ko:K02827	saun:SAKOR_00981
ko:K02826	saun:SAKOR_00982
ko:K01491	saun:SAKOR_00985
ko:K01588	saun:SAKOR_00986
ko:K01589	saun:SAKOR_00987
ko:K01923	saun:SAKOR_00988
ko:K01952	saun:SAKOR_00990
ko:K01952	saun:SAKOR_00991
ko:K00764	saun:SAKOR_00992
ko:K01933	saun:SAKOR_00993
ko:K11175	saun:SAKOR_00994
ko:K00602	saun:SAKOR_00995
ko:K01945	saun:SAKOR_00996
ko:K16785	saun:SAKOR_00997
ko:K16786	saun:SAKOR_00998
ko:K16787	saun:SAKOR_00998
ko:K16925	saun:SAKOR_00999
ko:K06969	saun:SAKOR_01002
ko:K00425	saun:SAKOR_01007
ko:K00426	saun:SAKOR_01008
ko:K00789	saun:SAKOR_01735
ko:K01610	saun:SAKOR_01736
ko:K08998	saun:SAKOR_01739
ko:K01911	saun:SAKOR_01741
ko:K01154	saun:SAKOR_01756
ko:K03427	saun:SAKOR_01757
ko:K07002	saun:SAKOR_01782
ko:K07107	saun:SAKOR_02527
ko:K04759	saun:SAKOR_02540
ko:K04758	saun:SAKOR_02541
ko:K03778	saun:SAKOR_02550
ko:K10208	saun:SAKOR_02554
ko:K10211	saun:SAKOR_02555
ko:K10210	saun:SAKOR_02556
ko:K02355	saun:SAKOR_00533
ko:K02358	saun:SAKOR_00534
ko:K05523	saun:SAKOR_00537
ko:K00826	saun:SAKOR_00540
ko:K01091	saun:SAKOR_00542
ko:K15519	saun:SAKOR_00543
ko:K15518	saun:SAKOR_00544
ko:K11991	saun:SAKOR_00545
ko:K14194	saun:SAKOR_00549
ko:K14194	saun:SAKOR_00550
ko:K14194	saun:SAKOR_00551
ko:K09007	saun:SAKOR_00555
ko:K08094	saun:SAKOR_00560
ko:K03762	saun:SAKOR_00562
ko:K00868	saun:SAKOR_00569
ko:K03648	saun:SAKOR_00570
ko:K16869	saun:SAKOR_00579
ko:K00133	saun:SAKOR_01330
ko:K01714	saun:SAKOR_01331
ko:K00215	saun:SAKOR_01332
ko:K01775	saun:SAKOR_01335
ko:K01586	saun:SAKOR_01336
ko:K03704	saun:SAKOR_01339
ko:K01512	saun:SAKOR_01341
ko:K03311	saun:SAKOR_01344
ko:K00658	saun:SAKOR_01349
ko:K00164	saun:SAKOR_01350
ko:K02563	saun:SAKOR_01355
ko:K03797	saun:SAKOR_01357
ko:K09125	saun:SAKOR_01369
ko:K08170	saun:SAKOR_01378
ko:K01754	saun:SAKOR_01380
ko:K00820	saun:SAKOR_02121
ko:K00009	saun:SAKOR_02126
ko:K03431	saun:SAKOR_02128
ko:K01476	saun:SAKOR_02131
ko:K11068	saun:SAKOR_02136
ko:K07038	saun:SAKOR_02138
ko:K02015	saun:SAKOR_02141
ko:K02015	saun:SAKOR_02143
ko:K02016	saun:SAKOR_02144
ko:K02787	saun:SAKOR_02158
ko:K02788	saun:SAKOR_02158
ko:K03070	saun:SAKOR_00755
ko:K02836	saun:SAKOR_00756
ko:K07023	saun:SAKOR_00758
ko:K03702	saun:SAKOR_00760
ko:K03701	saun:SAKOR_00761
ko:K13292	saun:SAKOR_00763
ko:K00384	saun:SAKOR_00766
ko:K01358	saun:SAKOR_00772
ko:K07071	saun:SAKOR_00773
ko:K05311	saun:SAKOR_00775
ko:K00134	saun:SAKOR_00776
ko:K00927	saun:SAKOR_00777
ko:K01803	saun:SAKOR_00778
ko:K15633	saun:SAKOR_00779
ko:K01689	saun:SAKOR_00780
ko:K03075	saun:SAKOR_00782
ko:K03928	saun:SAKOR_00783
ko:K12573	saun:SAKOR_00784
ko:K03664	saun:SAKOR_00785
ko:K03704	saun:SAKOR_00796
ko:K02968	saun:SAKOR_01533
ko:K02340	saun:SAKOR_01534
ko:K02237	saun:SAKOR_01537
ko:K09710	saun:SAKOR_01539
ko:K00969	saun:SAKOR_01541
ko:K07574	saun:SAKOR_01542
ko:K00014	saun:SAKOR_01543
ko:K07015	saun:SAKOR_01545
ko:K07160	saun:SAKOR_01552
ko:K01961	saun:SAKOR_01553
ko:K02160	saun:SAKOR_01554
ko:K03624	saun:SAKOR_01557
ko:K00876	saun:SAKOR_01558
ko:K08303	saun:SAKOR_01559
ko:K07447	saun:SAKOR_01563
ko:K01872	saun:SAKOR_01565
ko:K03581	saun:SAKOR_01566
ko:K00566	saun:SAKOR_01569
ko:K04487	saun:SAKOR_01570
ko:K17472	saun:SAKOR_01574
ko:K07478	saun:SAKOR_01575
ko:K01876	saun:SAKOR_01577
ko:K01892	saun:SAKOR_01578
ko:K01448	saun:SAKOR_01579
ko:K07560	saun:SAKOR_01580
ko:K00759	saun:SAKOR_01582
ko:K07462	saun:SAKOR_01583
ko:K03312	saun:SAKOR_02319
ko:K03284	saun:SAKOR_02321
ko:K07107	saun:SAKOR_02322
ko:K07552	saun:SAKOR_02330
ko:K09814	saun:SAKOR_02335
ko:K09813	saun:SAKOR_02336
ko:K00116	saun:SAKOR_02341
ko:K03303	saun:SAKOR_02342
ko:K11102	saun:SAKOR_02364
ko:K10850	saun:SAKOR_02368
ko:K07696	saun:SAKOR_02369
ko:K07683	saun:SAKOR_02370
ko:K02445	saun:SAKOR_00332
ko:K00299	saun:SAKOR_00335
ko:K03817	saun:SAKOR_00338
ko:K07224	saun:SAKOR_00339
ko:K16301	saun:SAKOR_00340
ko:K07243	saun:SAKOR_00341
ko:K03118	saun:SAKOR_00342
ko:K03116	saun:SAKOR_00343
ko:K00549	saun:SAKOR_00353
ko:K06942	saun:SAKOR_00361
ko:K02990	saun:SAKOR_00363
ko:K02963	saun:SAKOR_00365
ko:K03387	saun:SAKOR_00379
ko:K02221	saun:SAKOR_01116
ko:K04074	saun:SAKOR_01118
ko:K01870	saun:SAKOR_01119
ko:K03101	saun:SAKOR_01122
ko:K06180	saun:SAKOR_01123
ko:K02825	saun:SAKOR_01124
ko:K00609	saun:SAKOR_01126
ko:K01465	saun:SAKOR_01127
ko:K01956	saun:SAKOR_01128
ko:K01955	saun:SAKOR_01129
ko:K01591	saun:SAKOR_01130
ko:K00762	saun:SAKOR_01131
ko:K00942	saun:SAKOR_01136
ko:K03060	saun:SAKOR_01137
ko:K13038	saun:SAKOR_01138
ko:K04066	saun:SAKOR_01139
ko:K01462	saun:SAKOR_01142
ko:K00604	saun:SAKOR_01143
ko:K03500	saun:SAKOR_01144
ko:K06941	saun:SAKOR_01145
ko:K06949	saun:SAKOR_01148
ko:K01783	saun:SAKOR_01149
ko:K02902	saun:SAKOR_01151
ko:K03655	saun:SAKOR_01154
ko:K03621	saun:SAKOR_01156
ko:K00645	saun:SAKOR_01157
ko:K02078	saun:SAKOR_01159
ko:K03685	saun:SAKOR_01160
ko:K03529	saun:SAKOR_01161
ko:K03110	saun:SAKOR_01162
ko:K03106	saun:SAKOR_01164
ko:K02959	saun:SAKOR_01165
ko:K02860	saun:SAKOR_01166
ko:K00554	saun:SAKOR_01167
ko:K02884	saun:SAKOR_01168
ko:K02313	saun:SAKOR_00001
ko:K02338	saun:SAKOR_00002
ko:K03629	saun:SAKOR_00004
ko:K02470	saun:SAKOR_00005
ko:K02469	saun:SAKOR_00006
ko:K06895	saun:SAKOR_00805
ko:K03785	saun:SAKOR_00808
ko:K02437	saun:SAKOR_00812
ko:K07476	saun:SAKOR_00816
ko:K02071	saun:SAKOR_00818
ko:K02072	saun:SAKOR_00819
ko:K02073	saun:SAKOR_00820
ko:K09013	saun:SAKOR_00823
ko:K09015	saun:SAKOR_00824
ko:K11717	saun:SAKOR_00825
ko:K09014	saun:SAKOR_00827
ko:K00459	saun:SAKOR_00832
ko:K07090	saun:SAKOR_00834
ko:K03644	saun:SAKOR_00836
ko:K03367	saun:SAKOR_00844
ko:K03739	saun:SAKOR_00845
ko:K14188	saun:SAKOR_00846
ko:K03740	saun:SAKOR_00847
ko:K03885	saun:SAKOR_00850
ko:K03885	saun:SAKOR_00853
ko:K01255	saun:SAKOR_00854
ko:K07084	saun:SAKOR_00855
ko:K12257	saun:SAKOR_01584
ko:K03210	saun:SAKOR_01585
ko:K00773	saun:SAKOR_01586
ko:K07568	saun:SAKOR_01587
ko:K03551	saun:SAKOR_01588
ko:K03550	saun:SAKOR_01589
ko:K06209	saun:SAKOR_01590
ko:K03979	saun:SAKOR_01591
ko:K02899	saun:SAKOR_01592
ko:K02888	saun:SAKOR_01594
ko:K03571	saun:SAKOR_01596
ko:K03570	saun:SAKOR_01597
ko:K03630	saun:SAKOR_01601
ko:K11754	saun:SAKOR_01603
ko:K01873	saun:SAKOR_01604
ko:K01246	saun:SAKOR_01605
ko:K01845	saun:SAKOR_01607
ko:K01698	saun:SAKOR_01608
ko:K01749	saun:SAKOR_01610
ko:K02497	saun:SAKOR_01611
ko:K02492	saun:SAKOR_01612
ko:K03978	saun:SAKOR_01613
ko:K03544	saun:SAKOR_01614
ko:K03545	saun:SAKOR_01615
ko:K02887	saun:SAKOR_01618
ko:K02916	saun:SAKOR_01619
ko:K02520	saun:SAKOR_01620
ko:K11733	saun:SAKOR_01621
ko:K01868	saun:SAKOR_01622
ko:K07738	saun:SAKOR_01626
ko:K00134	saun:SAKOR_01627
ko:K00859	saun:SAKOR_01628
ko:K07636	saun:SAKOR_01632
ko:K10851	saun:SAKOR_02371
ko:K00373	saun:SAKOR_02373
ko:K00371	saun:SAKOR_02374
ko:K00370	saun:SAKOR_02375
ko:K00363	saun:SAKOR_02377
ko:K00362	saun:SAKOR_02378
ko:K10010	saun:SAKOR_02390
ko:K07106	saun:SAKOR_00171
ko:K01153	saun:SAKOR_00175
ko:K02034	saun:SAKOR_00181
ko:K01118	saun:SAKOR_00185
ko:K15771	saun:SAKOR_00189
ko:K15772	saun:SAKOR_00190
ko:K02012	saun:SAKOR_00198
ko:K00656	saun:SAKOR_00199
ko:K04069	saun:SAKOR_00200
ko:K01126	saun:SAKOR_00202
ko:K07516	saun:SAKOR_00207
ko:K00252	saun:SAKOR_00208
ko:K05916	saun:SAKOR_00215
ko:K00122	saun:SAKOR_00157
ko:K01980	saun:SAKOR_r067
ko:K14221	saun:SAKOR_r002
ko:K14221	saun:SAKOR_r038
ko:K14221	saun:SAKOR_r027
ko:K14221	saun:SAKOR_r040
ko:K14233	saun:SAKOR_r018
ko:K14228	saun:SAKOR_r059
ko:K14222	saun:SAKOR_r031
ko:K14223	saun:SAKOR_r032
ko:K14223	saun:SAKOR_r061
ko:K14236	saun:SAKOR_r062
ko:K14236	saun:SAKOR_r035
ko:K14219	saun:SAKOR_r017
ko:K01985	saun:SAKOR_r069
ko:K01985	saun:SAKOR_r074
ko:K01985	saun:SAKOR_r072
ko:K01985	saun:SAKOR_r070
ko:K01985	saun:SAKOR_r073
ko:K01985	saun:SAKOR_r071
ko:K14232	saun:SAKOR_r012
ko:K14232	saun:SAKOR_r044
ko:K01977	saun:SAKOR_r014
ko:K14228	saun:SAKOR_r048
ko:K02851	saun:SAKOR_00749
ko:K02240	saun:SAKOR_00752
ko:K02242	saun:SAKOR_00753
ko:K06023	saun:SAKOR_00762
ko:K09762	saun:SAKOR_00771
ko:K02238	saun:SAKOR_01535
ko:K06948	saun:SAKOR_01544
ko:K01243	saun:SAKOR_01546
ko:K01823	saun:SAKOR_02320
ko:K01977	saun:SAKOR_r057
ko:K01977	saun:SAKOR_r068
ko:K01980	saun:SAKOR_r053
ko:K01977	saun:SAKOR_r054
ko:K01980	saun:SAKOR_r015
ko:K14225	saun:SAKOR_r030
ko:K01980	saun:SAKOR_r056
ko:K09963	saun:SAKOR_00170
ko:K02033	saun:SAKOR_00180
ko:K02035	saun:SAKOR_00182
ko:K10112	saun:SAKOR_00187
ko:K15770	saun:SAKOR_00188
ko:K07784	saun:SAKOR_00195
ko:K07720	saun:SAKOR_00196
ko:K02035	saun:SAKOR_00212
ko:K00016	saun:SAKOR_00216
ko:K08974	saun:SAKOR_00822
ko:K04488	saun:SAKOR_00826
ko:K13628	saun:SAKOR_00852
ko:K07584	saun:SAKOR_01593
ko:K02236	saun:SAKOR_01602
ko:K07120	saun:SAKOR_01606
ko:K01719	saun:SAKOR_01609
ko:K11144	saun:SAKOR_01624
ko:K03346	saun:SAKOR_01625
ko:K10563	saun:SAKOR_01629
ko:K00374	saun:SAKOR_02372
ko:K02303	saun:SAKOR_02376
ko:K09815	saun:SAKOR_02384
ko:K01834	saun:SAKOR_02395
ko:K00652	saun:SAKOR_02405
ko:K06147	saun:SAKOR_02411
ko:K06147	saun:SAKOR_02412
ko:K17686	saun:SAKOR_02548
ko:K03976	saun:SAKOR_00694
ko:K03436	saun:SAKOR_00695
ko:K00882	saun:SAKOR_00696
ko:K01664	saun:SAKOR_00710
ko:K02619	saun:SAKOR_00712
ko:K05845	saun:SAKOR_00721
ko:K05846	saun:SAKOR_00721
ko:K03647	saun:SAKOR_00731
ko:K01258	saun:SAKOR_00745
ko:K02246	saun:SAKOR_01488
ko:K02245	saun:SAKOR_01489
ko:K02244	saun:SAKOR_01490
ko:K02243	saun:SAKOR_01491
ko:K00845	saun:SAKOR_01494
ko:K02076	saun:SAKOR_01501
ko:K01489	saun:SAKOR_01515
ko:K07052	saun:SAKOR_02282
ko:K01479	saun:SAKOR_02304
ko:K01785	saun:SAKOR_02309
ko:K01992	saun:SAKOR_02312
ko:K01990	saun:SAKOR_02313
ko:K07668	saun:SAKOR_00018
ko:K07652	saun:SAKOR_00019
ko:K05570	saun:SAKOR_00859
ko:K05568	saun:SAKOR_00861
ko:K05565	saun:SAKOR_00864
ko:K03768	saun:SAKOR_00866
ko:K00819	saun:SAKOR_00869
ko:K16899	saun:SAKOR_00879
ko:K06910	saun:SAKOR_00897
ko:K15582	saun:SAKOR_00904
ko:K15583	saun:SAKOR_00905
ko:K10823	saun:SAKOR_00906
ko:K02035	saun:SAKOR_00908
ko:K07658	saun:SAKOR_01633
ko:K00027	saun:SAKOR_01642
ko:K06286	saun:SAKOR_01659
ko:K00058	saun:SAKOR_01665
ko:K03929	saun:SAKOR_02435
ko:K12942	saun:SAKOR_02458
ko:K14224	saun:SAKOR_r001
ko:K14224	saun:SAKOR_r064
ko:K14224	saun:SAKOR_r022
ko:K14233	saun:SAKOR_r021
ko:K01977	saun:SAKOR_r003
ko:K14219	saun:SAKOR_r020
ko:K14219	saun:SAKOR_r011
ko:K14219	saun:SAKOR_r045
ko:K14220	saun:SAKOR_r019
ko:K14220	saun:SAKOR_r023
ko:K14220	saun:SAKOR_r065
ko:K14225	saun:SAKOR_r024
ko:K14225	saun:SAKOR_r058
ko:K14225	saun:SAKOR_r009
ko:K14225	saun:SAKOR_r047
ko:K14226	saun:SAKOR_r025
ko:K14226	saun:SAKOR_r033
ko:K14231	saun:SAKOR_r026
ko:K14231	saun:SAKOR_r037
ko:K14230	saun:SAKOR_r028
ko:K14230	saun:SAKOR_r039
ko:K14230	saun:SAKOR_r041
ko:K14230	saun:SAKOR_r042
ko:K14228	saun:SAKOR_r029
ko:K06889	saun:SAKOR_00063
ko:K01771	saun:SAKOR_00068
ko:K10254	saun:SAKOR_00080
ko:K01784	saun:SAKOR_00104
ko:K03784	saun:SAKOR_00112
ko:K01619	saun:SAKOR_00114
ko:K02033	saun:SAKOR_00911
ko:K16509	saun:SAKOR_00914
ko:K06198	saun:SAKOR_00916
ko:K07816	saun:SAKOR_00922
ko:K03455	saun:SAKOR_00926
ko:K05362	saun:SAKOR_00936
ko:K07052	saun:SAKOR_00948
ko:K01261	saun:SAKOR_01686
ko:K01439	saun:SAKOR_01693
ko:K06183	saun:SAKOR_01695
ko:K07052	saun:SAKOR_01723
ko:K00616	saun:SAKOR_01724
ko:K03574	saun:SAKOR_02478
ko:K01835	saun:SAKOR_02479
ko:K03299	saun:SAKOR_02491
ko:K00851	saun:SAKOR_02492
ko:K03535	saun:SAKOR_02499
ko:K01990	saun:SAKOR_02502
ko:K07104	saun:SAKOR_02511
ko:K14228	saun:SAKOR_r046
ko:K14228	saun:SAKOR_r010
ko:K14235	saun:SAKOR_r034
ko:K14234	saun:SAKOR_r007
ko:K14234	saun:SAKOR_r036
ko:K14234	saun:SAKOR_r050
ko:K14218	saun:SAKOR_r013
ko:K14218	saun:SAKOR_r043
ko:K14229	saun:SAKOR_r049
ko:K14229	saun:SAKOR_r060
ko:K14229	saun:SAKOR_r008
ko:K14237	saun:SAKOR_r006
ko:K14237	saun:SAKOR_r051
ko:K14237	saun:SAKOR_r063
ko:K07491	saun:SAKOR_00127
ko:K01104	saun:SAKOR_00131
ko:K01784	saun:SAKOR_00142
ko:K02049	saun:SAKOR_00152
ko:K02051	saun:SAKOR_00153
ko:K02050	saun:SAKOR_00154
ko:K00819	saun:SAKOR_00165
ko:K02552	saun:SAKOR_00963
ko:K08680	saun:SAKOR_00965
ko:K00841	saun:SAKOR_00970
ko:K11189	saun:SAKOR_01004
ko:K08483	saun:SAKOR_01005
ko:K03499	saun:SAKOR_01009
ko:K02549	saun:SAKOR_01740
ko:K00158	saun:SAKOR_02529
ko:K00054	saun:SAKOR_02535
ko:K01641	saun:SAKOR_02536
ko:K00567	saun:SAKOR_02537
ko:K04086	saun:SAKOR_02538
ko:K06994	saun:SAKOR_02542
ko:K00294	saun:SAKOR_02545
ko:K07213	saun:SAKOR_02549
ko:K10209	saun:SAKOR_02552
ko:K07035	saun:SAKOR_02564
ko:K07032	saun:SAKOR_02569
ko:K02547	saun:SAKOR_00040
ko:K11928	saun:SAKOR_01862
ko:K01658	saun:SAKOR_01305
ko:K06518	saun:SAKOR_02531
ko:K04757	saun:SAKOR_02030
ko:K07284	saun:SAKOR_02517
ko:K01739	saun:SAKOR_00356
ko:K02171	saun:SAKOR_01887
ko:K00226	saun:SAKOR_02583
ko:K07979	saun:SAKOR_01908
ko:K10212	saun:SAKOR_02557
ko:K01791	saun:SAKOR_02078
ko:K00128	saun:SAKOR_01884
ko:K00128	saun:SAKOR_02089
ko:K00128	saun:SAKOR_00147
ko:K01187	saun:SAKOR_01452
ko:K01791	saun:SAKOR_00135
ko:K01791	saun:SAKOR_00144
ko:K02031	saun:SAKOR_00179
ko:K02032	saun:SAKOR_00179
ko:K19080	saun:SAKOR_00657
ko:K00561	saun:SAKOR_02720
ko:K18104	saun:SAKOR_00637
ko:K02479	saun:SAKOR_01804
ko:K08168	saun:SAKOR_00113
ko:K02483	saun:SAKOR_02337
ko:K14204	saun:SAKOR_01913
ko:K03293	saun:SAKOR_01269
ko:K02809	saun:SAKOR_00172
ko:K02810	saun:SAKOR_00172
ko:K00130	saun:SAKOR_02607
ko:K02809	saun:SAKOR_02358
ko:K02810	saun:SAKOR_02358
ko:K03366	saun:SAKOR_00101
ko:K17882	saun:SAKOR_00035
ko:K00008	saun:SAKOR_00227
ko:K07145	saun:SAKOR_01057
ko:K01046	saun:SAKOR_02673
ko:K22580	saun:SAKOR_00978
ko:K00632	saun:SAKOR_00206
ko:K01046	saun:SAKOR_00314
ko:K02172	saun:SAKOR_01888
ko:K21462	saun:SAKOR_02671
ko:K21463	saun:SAKOR_02331
ko:K00008	saun:SAKOR_00225
ko:K08255	saun:SAKOR_00886
ko:K01972	saun:SAKOR_01865
ko:K03427	saun:SAKOR_00415
ko:K03168	saun:SAKOR_01177
ko:K06131	saun:SAKOR_02053
ko:K02015	saun:SAKOR_02142
ko:K09762	saun:SAKOR_00770
ko:K01649	saun:SAKOR_00893
ko:K12942	saun:SAKOR_02457
ko:K00681	saun:SAKOR_00183
ko:K07705	saun:SAKOR_00240
ko:K11040	saun:SAKOR_01549
ko:K04749	saun:SAKOR_02031
ko:K18707	saun:SAKOR_01523
ko:K18766	saun:SAKOR_01889
ko:K05592	saun:SAKOR_02046
ko:K18672	saun:SAKOR_02130
ko:K18704	saun:SAKOR_00230
ko:K18682	saun:SAKOR_01214
ko:K18692	saun:SAKOR_01505
ko:K18906	saun:SAKOR_00683
ko:K09692	saun:SAKOR_01826
ko:K07723	saun:SAKOR_02034
ko:K18908	saun:SAKOR_00330
ko:K18909	saun:SAKOR_00329
ko:K18941	saun:SAKOR_01352
ko:K07171	saun:SAKOR_02033
ko:K04940	saun:SAKOR_02267
ko:K18907	saun:SAKOR_00082
ko:K03497	saun:SAKOR_02710
ko:K03497	saun:SAKOR_00358
ko:K03111	saun:SAKOR_00364
ko:K03111	saun:SAKOR_01963
ko:K05593	saun:SAKOR_00397
ko:K03111	saun:SAKOR_02064
ko:K03502	saun:SAKOR_01301
ko:K03169	saun:SAKOR_02216
ko:K14201	saun:SAKOR_00790
ko:K11040	saun:SAKOR_01550
ko:K11040	saun:SAKOR_01776
ko:K11040	saun:SAKOR_01777
ko:K11040	saun:SAKOR_01778
ko:K11040	saun:SAKOR_01779
ko:K11040	saun:SAKOR_01780
ko:K11040	saun:SAKOR_01781
ko:K05881	saun:SAKOR_00646
ko:K03892	saun:SAKOR_01716
ko:K07029	saun:SAKOR_01857
ko:K01271	saun:SAKOR_01648
ko:K03498	saun:SAKOR_01992
ko:K07483	saun:SAKOR_01771
ko:K09145	saun:SAKOR_00667
ko:K18979	saun:SAKOR_01813
ko:K13052	saun:SAKOR_00492
ko:K00949	saun:SAKOR_01150
ko:K01318	saun:SAKOR_00969
ko:K07816	saun:SAKOR_02495
ko:K07498	saun:SAKOR_00027
ko:K13733	saun:SAKOR_02488
ko:K03429	saun:SAKOR_00935
ko:K07498	saun:SAKOR_00036
ko:K07498	saun:SAKOR_00037
ko:K03293	saun:SAKOR_02285
ko:K19077	saun:SAKOR_00655
ko:K01174	saun:SAKOR_01259
ko:K14202	saun:SAKOR_01920
ko:K14203	saun:SAKOR_01077
ko:K07741	saun:SAKOR_01974
ko:K01239	saun:SAKOR_02249
ko:K19078	saun:SAKOR_00654
ko:K19158	saun:SAKOR_02385
ko:K19225	saun:SAKOR_01496
ko:K02777	saun:SAKOR_01359
ko:K02755	saun:SAKOR_00244
