ko:K18928	bpsh:DR55_5026
ko:K00548	bpsh:DR55_700
ko:K01887	bpsh:DR55_702
ko:K03673	bpsh:DR55_704
ko:K03979	bpsh:DR55_1512
ko:K00931	bpsh:DR55_1513
ko:K08311	bpsh:DR55_1515
ko:K01881	bpsh:DR55_1516
ko:K00760	bpsh:DR55_1518
ko:K03106	bpsh:DR55_1519
ko:K06950	bpsh:DR55_1521
ko:K03806	bpsh:DR55_1522
ko:K06077	bpsh:DR55_1527
ko:K00856	bpsh:DR55_1528
ko:K11065	bpsh:DR55_1529
ko:K02687	bpsh:DR55_1531
ko:K01961	bpsh:DR55_1532
ko:K02160	bpsh:DR55_1533
ko:K03786	bpsh:DR55_1534
ko:K02558	bpsh:DR55_1537
ko:K07000	bpsh:DR55_1538
ko:K01147	bpsh:DR55_1539
ko:K00014	bpsh:DR55_1540
ko:K03814	bpsh:DR55_1541
ko:K00883	bpsh:DR55_1545
ko:K01631	bpsh:DR55_1546
ko:K10537	bpsh:DR55_1548
ko:K10539	bpsh:DR55_1549
ko:K10538	bpsh:DR55_1550
ko:K01591	bpsh:DR55_1553
ko:K03743	bpsh:DR55_1554
ko:K01095	bpsh:DR55_1555
ko:K00946	bpsh:DR55_1556
ko:K00029	bpsh:DR55_1557
ko:K09761	bpsh:DR55_1560
ko:K00797	bpsh:DR55_1562
ko:K03119	bpsh:DR55_2353
ko:K00615	bpsh:DR55_2357
ko:K00615	bpsh:DR55_2358
ko:K00831	bpsh:DR55_2361
ko:K00957	bpsh:DR55_2363
ko:K01755	bpsh:DR55_2366
ko:K01265	bpsh:DR55_2368
ko:K05524	bpsh:DR55_2371
ko:K00528	bpsh:DR55_2372
ko:K00208	bpsh:DR55_2375
ko:K13893	bpsh:DR55_2376
ko:K13894	bpsh:DR55_2377
ko:K13895	bpsh:DR55_2378
ko:K13896	bpsh:DR55_2379
ko:K07001	bpsh:DR55_2381
ko:K01885	bpsh:DR55_2382
ko:K02553	bpsh:DR55_2390
ko:K01638	bpsh:DR55_2392
ko:K01560	bpsh:DR55_2393
ko:K01637	bpsh:DR55_2396
ko:K03789	bpsh:DR55_2400
ko:K05973	bpsh:DR55_3193
ko:K16147	bpsh:DR55_3194
ko:K05343	bpsh:DR55_3195
ko:K00700	bpsh:DR55_3196
ko:K01236	bpsh:DR55_3198
ko:K00705	bpsh:DR55_3199
ko:K06044	bpsh:DR55_3200
ko:K00375	bpsh:DR55_3203
ko:K06153	bpsh:DR55_3212
ko:K01895	bpsh:DR55_3216
ko:K03327	bpsh:DR55_3218
ko:K08296	bpsh:DR55_3222
ko:K01524	bpsh:DR55_3230
ko:K00937	bpsh:DR55_3231
ko:K07636	bpsh:DR55_3232
ko:K07657	bpsh:DR55_3233
ko:K02039	bpsh:DR55_3234
ko:K02036	bpsh:DR55_3235
ko:K02038	bpsh:DR55_3236
ko:K02037	bpsh:DR55_3237
ko:K02040	bpsh:DR55_3238
ko:K03431	bpsh:DR55_3239
ko:K00796	bpsh:DR55_3240
ko:K01495	bpsh:DR55_4041
ko:K02575	bpsh:DR55_4047
ko:K00362	bpsh:DR55_4048
ko:K00363	bpsh:DR55_4049
ko:K00380	bpsh:DR55_4050
ko:K03587	bpsh:DR55_4052
ko:K07258	bpsh:DR55_4053
ko:K00854	bpsh:DR55_4054
ko:K10112	bpsh:DR55_4056
ko:K05351	bpsh:DR55_4057
ko:K02026	bpsh:DR55_4058
ko:K02025	bpsh:DR55_4059
ko:K02027	bpsh:DR55_4060
ko:K16074	bpsh:DR55_4064
ko:K07044	bpsh:DR55_4069
ko:K03455	bpsh:DR55_4070
ko:K02058	bpsh:DR55_4072
ko:K03587	bpsh:DR55_4073
ko:K03406	bpsh:DR55_4074
ko:K07141	bpsh:DR55_4076
ko:K03762	bpsh:DR55_4077
ko:K07126	bpsh:DR55_4086
ko:K16090	bpsh:DR55_4087
ko:K04078	bpsh:DR55_4875
ko:K01480	bpsh:DR55_4877
ko:K07010	bpsh:DR55_4880
ko:K01915	bpsh:DR55_4881
ko:K12256	bpsh:DR55_4882
ko:K11073	bpsh:DR55_4883
ko:K11076	bpsh:DR55_4884
ko:K11075	bpsh:DR55_4885
ko:K11074	bpsh:DR55_4886
ko:K09471	bpsh:DR55_4889
ko:K07245	bpsh:DR55_4891
ko:K07156	bpsh:DR55_4892
ko:K02347	bpsh:DR55_4898
ko:K07262	bpsh:DR55_4899
ko:K06911	bpsh:DR55_4921
ko:K02806	bpsh:DR55_547
ko:K06023	bpsh:DR55_548
ko:K06958	bpsh:DR55_549
ko:K07157	bpsh:DR55_550
ko:K03575	bpsh:DR55_551
ko:K10563	bpsh:DR55_552
ko:K02494	bpsh:DR55_554
ko:K00919	bpsh:DR55_555
ko:K00948	bpsh:DR55_557
ko:K02897	bpsh:DR55_558
ko:K01056	bpsh:DR55_559
ko:K00817	bpsh:DR55_560
ko:K00954	bpsh:DR55_562
ko:K03110	bpsh:DR55_564
ko:K00362	bpsh:DR55_566
ko:K00363	bpsh:DR55_567
ko:K00372	bpsh:DR55_568
ko:K01649	bpsh:DR55_571
ko:K03089	bpsh:DR55_574
ko:K00425	bpsh:DR55_576
ko:K00426	bpsh:DR55_577
ko:K12373	bpsh:DR55_580
ko:K02803	bpsh:DR55_581
ko:K02804	bpsh:DR55_581
ko:K02768	bpsh:DR55_582
ko:K08483	bpsh:DR55_582
ko:K11183	bpsh:DR55_582
ko:K01443	bpsh:DR55_584
ko:K03710	bpsh:DR55_585
ko:K01586	bpsh:DR55_594
ko:K12340	bpsh:DR55_1409
ko:K13409	bpsh:DR55_1410
ko:K13408	bpsh:DR55_1411
ko:K01256	bpsh:DR55_1414
ko:K09941	bpsh:DR55_1419
ko:K04046	bpsh:DR55_1423
ko:K03704	bpsh:DR55_1424
ko:K03186	bpsh:DR55_1427
ko:K07390	bpsh:DR55_1428
ko:K02493	bpsh:DR55_1429
ko:K02835	bpsh:DR55_1430
ko:K02492	bpsh:DR55_1431
ko:K01262	bpsh:DR55_1434
ko:K01560	bpsh:DR55_1436
ko:K01126	bpsh:DR55_1439
ko:K11735	bpsh:DR55_1441
ko:K00331	bpsh:DR55_1443
ko:K06942	bpsh:DR55_1445
ko:K03981	bpsh:DR55_1449
ko:K01118	bpsh:DR55_1451
ko:K03648	bpsh:DR55_1452
ko:K01609	bpsh:DR55_1454
ko:K00766	bpsh:DR55_1455
ko:K01658	bpsh:DR55_1456
ko:K01657	bpsh:DR55_1457
ko:K01091	bpsh:DR55_1458
ko:K04567	bpsh:DR55_2240
ko:K02836	bpsh:DR55_2241
ko:K07462	bpsh:DR55_2242
ko:K09808	bpsh:DR55_2244
ko:K09810	bpsh:DR55_2245
ko:K03424	bpsh:DR55_2246
ko:K02238	bpsh:DR55_2247
ko:K01937	bpsh:DR55_2249
ko:K01627	bpsh:DR55_2250
ko:K01689	bpsh:DR55_2251
ko:K05589	bpsh:DR55_2252
ko:K04083	bpsh:DR55_2254
ko:K07053	bpsh:DR55_2258
ko:K01867	bpsh:DR55_2261
ko:K01714	bpsh:DR55_2263
ko:K07287	bpsh:DR55_2264
ko:K03775	bpsh:DR55_2268
ko:K03555	bpsh:DR55_2269
ko:K03406	bpsh:DR55_3087
ko:K08223	bpsh:DR55_3088
ko:K01243	bpsh:DR55_3089
ko:K03657	bpsh:DR55_3090
ko:K01873	bpsh:DR55_3091
ko:K00963	bpsh:DR55_3092
ko:K00010	bpsh:DR55_3099
ko:K00010	bpsh:DR55_3100
ko:K02058	bpsh:DR55_3102
ko:K02057	bpsh:DR55_3103
ko:K02056	bpsh:DR55_3104
ko:K03338	bpsh:DR55_3105
ko:K03336	bpsh:DR55_3106
ko:K03335	bpsh:DR55_3107
ko:K03337	bpsh:DR55_3108
ko:K01996	bpsh:DR55_3109
ko:K01995	bpsh:DR55_3110
ko:K01998	bpsh:DR55_3110
ko:K01997	bpsh:DR55_3111
ko:K07107	bpsh:DR55_3112
ko:K01872	bpsh:DR55_3121
ko:K04062	bpsh:DR55_3123
ko:K01886	bpsh:DR55_3124
ko:K01207	bpsh:DR55_3127
ko:K00428	bpsh:DR55_3129
ko:K00209	bpsh:DR55_3131
ko:K03543	bpsh:DR55_3132
ko:K03446	bpsh:DR55_3133
ko:K02167	bpsh:DR55_3926
ko:K18100	bpsh:DR55_3927
ko:K18101	bpsh:DR55_3928
ko:K12990	bpsh:DR55_3930
ko:K03543	bpsh:DR55_3932
ko:K01322	bpsh:DR55_3933
ko:K00640	bpsh:DR55_3935
ko:K11717	bpsh:DR55_3938
ko:K07112	bpsh:DR55_3942
ko:K07112	bpsh:DR55_3943
ko:K03710	bpsh:DR55_3952
ko:K01870	bpsh:DR55_3965
ko:K01114	bpsh:DR55_3968
ko:K02168	bpsh:DR55_3971
ko:K13051	bpsh:DR55_3973
ko:K13892	bpsh:DR55_3974
ko:K13889	bpsh:DR55_3975
ko:K13890	bpsh:DR55_3976
ko:K13891	bpsh:DR55_3977
ko:K01266	bpsh:DR55_3978
ko:K16203	bpsh:DR55_3979
ko:K01998	bpsh:DR55_4774
ko:K01997	bpsh:DR55_4775
ko:K01999	bpsh:DR55_4776
ko:K00285	bpsh:DR55_4777
ko:K07107	bpsh:DR55_4782
ko:K17735	bpsh:DR55_4783
ko:K02002	bpsh:DR55_4785
ko:K17736	bpsh:DR55_4786
ko:K05994	bpsh:DR55_4788
ko:K08720	bpsh:DR55_4789
ko:K02002	bpsh:DR55_4790
ko:K01133	bpsh:DR55_4791
ko:K01433	bpsh:DR55_4793
ko:K02002	bpsh:DR55_4795
ko:K00479	bpsh:DR55_4797
ko:K03521	bpsh:DR55_4798
ko:K03522	bpsh:DR55_4799
ko:K01273	bpsh:DR55_4803
ko:K00600	bpsh:DR55_4804
ko:K02529	bpsh:DR55_4807
ko:K00692	bpsh:DR55_4808
ko:K03543	bpsh:DR55_4810
ko:K12990	bpsh:DR55_4813
ko:K18101	bpsh:DR55_4815
ko:K18100	bpsh:DR55_4816
ko:K11891	bpsh:DR55_4820
ko:K11892	bpsh:DR55_4821
ko:K11893	bpsh:DR55_4822
ko:K00925	bpsh:DR55_5777
ko:K00625	bpsh:DR55_5778
ko:K03821	bpsh:DR55_5779
ko:K02112	bpsh:DR55_5780
ko:K02114	bpsh:DR55_5781
ko:K02116	bpsh:DR55_5782
ko:K02108	bpsh:DR55_5784
ko:K02110	bpsh:DR55_5785
ko:K02109	bpsh:DR55_5786
ko:K02111	bpsh:DR55_5787
ko:K02115	bpsh:DR55_5788
ko:K13953	bpsh:DR55_5789
ko:K03406	bpsh:DR55_5792
ko:K13926	bpsh:DR55_5795
ko:K01993	bpsh:DR55_5796
ko:K02004	bpsh:DR55_5801
ko:K02003	bpsh:DR55_5802
ko:K02005	bpsh:DR55_5803
ko:K03406	bpsh:DR55_5807
ko:K00860	bpsh:DR55_5808
ko:K06966	bpsh:DR55_5813
ko:K13953	bpsh:DR55_5817
ko:K00023	bpsh:DR55_5819
ko:K07576	bpsh:DR55_5820
ko:K07044	bpsh:DR55_5821
ko:K11733	bpsh:DR55_5822
ko:K05783	bpsh:DR55_5828
ko:K02622	bpsh:DR55_63
ko:K15738	bpsh:DR55_64
ko:K02518	bpsh:DR55_69
ko:K15125	bpsh:DR55_77
ko:K07262	bpsh:DR55_80
ko:K08276	bpsh:DR55_81
ko:K06910	bpsh:DR55_86
ko:K08169	bpsh:DR55_87
ko:K00697	bpsh:DR55_90
ko:K02049	bpsh:DR55_93
ko:K02050	bpsh:DR55_94
ko:K07638	bpsh:DR55_97
ko:K07659	bpsh:DR55_98
ko:K06911	bpsh:DR55_100
ko:K10014	bpsh:DR55_101
ko:K10016	bpsh:DR55_102
ko:K10015	bpsh:DR55_103
ko:K10017	bpsh:DR55_104
ko:K04751	bpsh:DR55_106
ko:K01950	bpsh:DR55_107
ko:K09919	bpsh:DR55_108
ko:K07461	bpsh:DR55_110
ko:K01507	bpsh:DR55_111
ko:K00128	bpsh:DR55_112
ko:K00059	bpsh:DR55_113
ko:K02498	bpsh:DR55_115
ko:K01749	bpsh:DR55_117
ko:K01595	bpsh:DR55_118
ko:K00604	bpsh:DR55_923
ko:K01462	bpsh:DR55_924
ko:K04096	bpsh:DR55_925
ko:K00058	bpsh:DR55_929
ko:K11071	bpsh:DR55_944
ko:K11070	bpsh:DR55_945
ko:K11069	bpsh:DR55_946
ko:K12251	bpsh:DR55_948
ko:K02055	bpsh:DR55_950
ko:K03086	bpsh:DR55_954
ko:K01919	bpsh:DR55_955
ko:K01247	bpsh:DR55_956
ko:K10778	bpsh:DR55_957
ko:K08234	bpsh:DR55_959
ko:K00657	bpsh:DR55_962
ko:K03650	bpsh:DR55_974
ko:K00252	bpsh:DR55_1771
ko:K05712	bpsh:DR55_1776
ko:K08195	bpsh:DR55_1778
ko:K00451	bpsh:DR55_1779
ko:K01555	bpsh:DR55_1780
ko:K04719	bpsh:DR55_1783
ko:K03778	bpsh:DR55_1784
ko:K07506	bpsh:DR55_1787
ko:K13481	bpsh:DR55_1791
ko:K13482	bpsh:DR55_1792
ko:K02014	bpsh:DR55_1795
ko:K02013	bpsh:DR55_1796
ko:K02016	bpsh:DR55_1797
ko:K02015	bpsh:DR55_1798
ko:K07518	bpsh:DR55_1803
ko:K07090	bpsh:DR55_1805
ko:K01126	bpsh:DR55_1807
ko:K07275	bpsh:DR55_1815
ko:K03671	bpsh:DR55_2612
ko:K02343	bpsh:DR55_2613
ko:K09747	bpsh:DR55_2614
ko:K06187	bpsh:DR55_2615
ko:K03787	bpsh:DR55_2617
ko:K00573	bpsh:DR55_2618
ko:K06194	bpsh:DR55_2619
ko:K03087	bpsh:DR55_2620
ko:K07501	bpsh:DR55_2621
ko:K03215	bpsh:DR55_2623
ko:K00940	bpsh:DR55_2625
ko:K06941	bpsh:DR55_2626
ko:K15539	bpsh:DR55_2627
ko:K01892	bpsh:DR55_2629
ko:K17713	bpsh:DR55_2631
ko:K03977	bpsh:DR55_2632
ko:K03666	bpsh:DR55_2633
ko:K03665	bpsh:DR55_2634
ko:K04088	bpsh:DR55_2635
ko:K04087	bpsh:DR55_2636
ko:K09937	bpsh:DR55_2637
ko:K02502	bpsh:DR55_2638
ko:K01939	bpsh:DR55_2639
ko:K07101	bpsh:DR55_2640
ko:K03549	bpsh:DR55_2641
ko:K06959	bpsh:DR55_2642
ko:K05807	bpsh:DR55_2646
ko:K06180	bpsh:DR55_2647
ko:K05810	bpsh:DR55_2648
ko:K03821	bpsh:DR55_2649
ko:K00626	bpsh:DR55_2650
ko:K00023	bpsh:DR55_2651
ko:K14441	bpsh:DR55_2653
ko:K00874	bpsh:DR55_2654
ko:K00626	bpsh:DR55_2655
ko:K01760	bpsh:DR55_2657
ko:K01079	bpsh:DR55_2658
ko:K02069	bpsh:DR55_2660
ko:K02068	bpsh:DR55_2661
ko:K07290	bpsh:DR55_2662
ko:K00128	bpsh:DR55_2665
ko:K01945	bpsh:DR55_3446
ko:K00228	bpsh:DR55_3447
ko:K00969	bpsh:DR55_3448
ko:K09710	bpsh:DR55_3449
ko:K00783	bpsh:DR55_3450
ko:K06287	bpsh:DR55_3451
ko:K08301	bpsh:DR55_3452
ko:K16345	bpsh:DR55_3453
ko:K15256	bpsh:DR55_3463
ko:K00788	bpsh:DR55_3465
ko:K06147	bpsh:DR55_438
ko:K10806	bpsh:DR55_439
ko:K02379	bpsh:DR55_441
ko:K07516	bpsh:DR55_444
ko:K08310	bpsh:DR55_448
ko:K01876	bpsh:DR55_449
ko:K03688	bpsh:DR55_453
ko:K03690	bpsh:DR55_454
ko:K03183	bpsh:DR55_456
ko:K01754	bpsh:DR55_460
ko:K06879	bpsh:DR55_461
ko:K06015	bpsh:DR55_463
ko:K01753	bpsh:DR55_465
ko:K05520	bpsh:DR55_466
ko:K01991	bpsh:DR55_474
ko:K03606	bpsh:DR55_475
ko:K01192	bpsh:DR55_483
ko:K02931	bpsh:DR55_1300
ko:K02954	bpsh:DR55_1301
ko:K02994	bpsh:DR55_1302
ko:K02933	bpsh:DR55_1303
ko:K02881	bpsh:DR55_1304
ko:K02988	bpsh:DR55_1305
ko:K02907	bpsh:DR55_1306
ko:K02876	bpsh:DR55_1307
ko:K03076	bpsh:DR55_1308
ko:K02518	bpsh:DR55_1309
ko:K02919	bpsh:DR55_1310
ko:K02952	bpsh:DR55_1311
ko:K02948	bpsh:DR55_1312
ko:K02986	bpsh:DR55_1313
ko:K03040	bpsh:DR55_1314
ko:K02879	bpsh:DR55_1315
ko:K03926	bpsh:DR55_1316
ko:K04084	bpsh:DR55_1317
ko:K01698	bpsh:DR55_1318
ko:K03978	bpsh:DR55_1319
ko:K07399	bpsh:DR55_1321
ko:K17247	bpsh:DR55_1324
ko:K01586	bpsh:DR55_1325
ko:K06202	bpsh:DR55_1327
ko:K05366	bpsh:DR55_1328
ko:K02666	bpsh:DR55_1332
ko:K00891	bpsh:DR55_1333
ko:K01735	bpsh:DR55_1334
ko:K01129	bpsh:DR55_1335
ko:K05813	bpsh:DR55_1336
ko:K05814	bpsh:DR55_1337
ko:K05815	bpsh:DR55_1338
ko:K05816	bpsh:DR55_1339
ko:K01126	bpsh:DR55_1340
ko:K07275	bpsh:DR55_1341
ko:K07491	bpsh:DR55_1342
ko:K00265	bpsh:DR55_1343
ko:K00266	bpsh:DR55_1344
ko:K03310	bpsh:DR55_1345
ko:K01975	bpsh:DR55_1346
ko:K02471	bpsh:DR55_1347
ko:K03153	bpsh:DR55_1348
ko:K03154	bpsh:DR55_1349
ko:K03149	bpsh:DR55_1350
ko:K00788	bpsh:DR55_1351
ko:K02065	bpsh:DR55_1352
ko:K05526	bpsh:DR55_2136
ko:K00799	bpsh:DR55_2137
ko:K10013	bpsh:DR55_2138
ko:K10255	bpsh:DR55_2139
ko:K02300	bpsh:DR55_2140
ko:K02299	bpsh:DR55_2141
ko:K02298	bpsh:DR55_2142
ko:K02297	bpsh:DR55_2143
ko:K13771	bpsh:DR55_2145
ko:K04488	bpsh:DR55_2148
ko:K11717	bpsh:DR55_2149
ko:K09015	bpsh:DR55_2150
ko:K09013	bpsh:DR55_2151
ko:K09014	bpsh:DR55_2152
ko:K07234	bpsh:DR55_2153
ko:K00459	bpsh:DR55_2158
ko:K08303	bpsh:DR55_2159
ko:K04561	bpsh:DR55_2169
ko:K00496	bpsh:DR55_2170
ko:K01669	bpsh:DR55_2171
ko:K00860	bpsh:DR55_2172
ko:K07782	bpsh:DR55_2173
ko:K06133	bpsh:DR55_2175
ko:K01745	bpsh:DR55_2176
ko:K05836	bpsh:DR55_2177
ko:K01712	bpsh:DR55_2178
ko:K09975	bpsh:DR55_2179
ko:K01468	bpsh:DR55_2180
ko:K05603	bpsh:DR55_2181
ko:K07010	bpsh:DR55_2183
ko:K01915	bpsh:DR55_2184
ko:K12256	bpsh:DR55_2185
ko:K03218	bpsh:DR55_2978
ko:K12573	bpsh:DR55_2979
ko:K03406	bpsh:DR55_2982
ko:K01114	bpsh:DR55_2983
ko:K08178	bpsh:DR55_2988
ko:K01897	bpsh:DR55_2990
ko:K03666	bpsh:DR55_2994
ko:K12511	bpsh:DR55_3000
ko:K12510	bpsh:DR55_3001
ko:K02283	bpsh:DR55_3002
ko:K02282	bpsh:DR55_3003
ko:K02280	bpsh:DR55_3004
ko:K02279	bpsh:DR55_3005
ko:K02278	bpsh:DR55_3007
ko:K02651	bpsh:DR55_3008
ko:K06916	bpsh:DR55_3014
ko:K00382	bpsh:DR55_3015
ko:K00658	bpsh:DR55_3016
ko:K00164	bpsh:DR55_3017
ko:K06207	bpsh:DR55_3019
ko:K03543	bpsh:DR55_3022
ko:K03446	bpsh:DR55_3023
ko:K03177	bpsh:DR55_3025
ko:K02834	bpsh:DR55_3026
ko:K02519	bpsh:DR55_3027
ko:K12368	bpsh:DR55_709
ko:K00906	bpsh:DR55_712
ko:K01673	bpsh:DR55_713
ko:K00626	bpsh:DR55_714
ko:K09858	bpsh:DR55_716
ko:K00833	bpsh:DR55_718
ko:K00652	bpsh:DR55_719
ko:K01935	bpsh:DR55_720
ko:K01012	bpsh:DR55_721
ko:K06201	bpsh:DR55_722
ko:K01077	bpsh:DR55_724
ko:K01077	bpsh:DR55_725
ko:K03316	bpsh:DR55_728
ko:K04090	bpsh:DR55_729
ko:K08715	bpsh:DR55_730
ko:K02048	bpsh:DR55_733
ko:K01714	bpsh:DR55_739
ko:K01114	bpsh:DR55_747
ko:K07002	bpsh:DR55_749
ko:K06991	bpsh:DR55_750
ko:K12972	bpsh:DR55_751
ko:K01640	bpsh:DR55_752
ko:K06938	bpsh:DR55_754
ko:K03719	bpsh:DR55_756
ko:K01561	bpsh:DR55_757
ko:K00459	bpsh:DR55_758
ko:K14347	bpsh:DR55_762
ko:K00615	bpsh:DR55_1563
ko:K00134	bpsh:DR55_1564
ko:K01725	bpsh:DR55_1566
ko:K01673	bpsh:DR55_1567
ko:K11921	bpsh:DR55_1568
ko:K11103	bpsh:DR55_1570
ko:K01477	bpsh:DR55_1571
ko:K01483	bpsh:DR55_1572
ko:K03711	bpsh:DR55_1573
ko:K06186	bpsh:DR55_1574
ko:K00215	bpsh:DR55_1575
ko:K03561	bpsh:DR55_1576
ko:K03559	bpsh:DR55_1577
ko:K01869	bpsh:DR55_1578
ko:K03643	bpsh:DR55_1579
ko:K02340	bpsh:DR55_1580
ko:K00147	bpsh:DR55_1581
ko:K08973	bpsh:DR55_1582
ko:K01690	bpsh:DR55_1584
ko:K01625	bpsh:DR55_1585
ko:K03299	bpsh:DR55_1586
ko:K00851	bpsh:DR55_1587
ko:K01756	bpsh:DR55_1588
ko:K02575	bpsh:DR55_1589
ko:K00261	bpsh:DR55_1591
ko:K10001	bpsh:DR55_1592
ko:K10003	bpsh:DR55_1593
ko:K10002	bpsh:DR55_1594
ko:K10004	bpsh:DR55_1595
ko:K04078	bpsh:DR55_1598
ko:K13993	bpsh:DR55_1599
ko:K01465	bpsh:DR55_1603
ko:K07397	bpsh:DR55_1605
ko:K02871	bpsh:DR55_1606
ko:K02996	bpsh:DR55_1607
ko:K15724	bpsh:DR55_1608
ko:K09001	bpsh:DR55_1612
ko:K01866	bpsh:DR55_1613
ko:K07560	bpsh:DR55_1614
ko:K09977	bpsh:DR55_2402
ko:K00941	bpsh:DR55_2403
ko:K01775	bpsh:DR55_2405
ko:K04485	bpsh:DR55_2406
ko:K06158	bpsh:DR55_2408
ko:K00432	bpsh:DR55_2409
ko:K06131	bpsh:DR55_2410
ko:K07320	bpsh:DR55_2411
ko:K01439	bpsh:DR55_2412
ko:K00674	bpsh:DR55_2414
ko:K14267	bpsh:DR55_2415
ko:K03529	bpsh:DR55_2417
ko:K01972	bpsh:DR55_2419
ko:K01462	bpsh:DR55_2420
ko:K06182	bpsh:DR55_2421
ko:K00990	bpsh:DR55_2422
ko:K01265	bpsh:DR55_2423
ko:K02967	bpsh:DR55_2424
ko:K02357	bpsh:DR55_2425
ko:K09903	bpsh:DR55_2426
ko:K02838	bpsh:DR55_2427
ko:K00806	bpsh:DR55_2428
ko:K00981	bpsh:DR55_2429
ko:K00099	bpsh:DR55_2430
ko:K11749	bpsh:DR55_2431
ko:K07277	bpsh:DR55_2432
ko:K06142	bpsh:DR55_2433
ko:K02536	bpsh:DR55_2434
ko:K02372	bpsh:DR55_2435
ko:K00677	bpsh:DR55_2436
ko:K00748	bpsh:DR55_2437
ko:K03470	bpsh:DR55_2438
ko:K03437	bpsh:DR55_2439
ko:K09773	bpsh:DR55_2440
ko:K05998	bpsh:DR55_2441
ko:K03664	bpsh:DR55_2448
ko:K09801	bpsh:DR55_2450
ko:K03798	bpsh:DR55_3241
ko:K02427	bpsh:DR55_3242
ko:K03624	bpsh:DR55_3245
ko:K01955	bpsh:DR55_3246
ko:K11250	bpsh:DR55_3247
ko:K01956	bpsh:DR55_3248
ko:K08307	bpsh:DR55_3252
ko:K01069	bpsh:DR55_3253
ko:K03469	bpsh:DR55_3255
ko:K02342	bpsh:DR55_3256
ko:K09771	bpsh:DR55_3257
ko:K03762	bpsh:DR55_3258
ko:K00645	bpsh:DR55_3263
ko:K13930	bpsh:DR55_3264
ko:K13934	bpsh:DR55_3265
ko:K13933	bpsh:DR55_3266
ko:K13932	bpsh:DR55_3267
ko:K13931	bpsh:DR55_3268
ko:K13929	bpsh:DR55_3269
ko:K01821	bpsh:DR55_3470
ko:K02019	bpsh:DR55_3473
ko:K02017	bpsh:DR55_3474
ko:K02018	bpsh:DR55_3475
ko:K02020	bpsh:DR55_3476
ko:K02204	bpsh:DR55_3484
ko:K01241	bpsh:DR55_3486
ko:K06966	bpsh:DR55_3492
ko:K03885	bpsh:DR55_3494
ko:K01061	bpsh:DR55_3496
ko:K01011	bpsh:DR55_3497
ko:K10440	bpsh:DR55_4303
ko:K02014	bpsh:DR55_4304
ko:K07165	bpsh:DR55_4305
ko:K03088	bpsh:DR55_4306
ko:K03088	bpsh:DR55_4310
ko:K16165	bpsh:DR55_4313
ko:K07052	bpsh:DR55_4314
ko:K05595	bpsh:DR55_4315
ko:K07300	bpsh:DR55_4316
ko:K07168	bpsh:DR55_4318
ko:K14257	bpsh:DR55_4322
ko:K15311	bpsh:DR55_4331
ko:K15312	bpsh:DR55_4332
ko:K15313	bpsh:DR55_4333
ko:K15337	bpsh:DR55_4334
ko:K00646	bpsh:DR55_4335
ko:K03781	bpsh:DR55_4340
ko:K00790	bpsh:DR55_4348
ko:K10017	bpsh:DR55_4349
ko:K10015	bpsh:DR55_4350
ko:K10016	bpsh:DR55_4351
ko:K07507	bpsh:DR55_5142
ko:K01659	bpsh:DR55_5154
ko:K03417	bpsh:DR55_5155
ko:K02688	bpsh:DR55_5156
ko:K01259	bpsh:DR55_5160
ko:K01434	bpsh:DR55_5161
ko:K07160	bpsh:DR55_5163
ko:K01961	bpsh:DR55_5165
ko:K01941	bpsh:DR55_5166
ko:K01740	bpsh:DR55_5172
ko:K00355	bpsh:DR55_5174
ko:K11904	bpsh:DR55_5181
ko:K11902	bpsh:DR55_5182
ko:K11895	bpsh:DR55_5183
ko:K11896	bpsh:DR55_5184
ko:K11897	bpsh:DR55_5185
ko:K11898	bpsh:DR55_5186
ko:K11907	bpsh:DR55_5188
ko:K02600	bpsh:DR55_3028
ko:K09748	bpsh:DR55_3029
ko:K13747	bpsh:DR55_3822
ko:K00368	bpsh:DR55_3823
ko:K04561	bpsh:DR55_3824
ko:K04561	bpsh:DR55_3826
ko:K00253	bpsh:DR55_3828
ko:K01969	bpsh:DR55_3829
ko:K13766	bpsh:DR55_3830
ko:K01968	bpsh:DR55_3831
ko:K03325	bpsh:DR55_3842
ko:K00299	bpsh:DR55_3848
ko:K02000	bpsh:DR55_3849
ko:K02001	bpsh:DR55_3850
ko:K02002	bpsh:DR55_3852
ko:K03220	bpsh:DR55_3868
ko:K03227	bpsh:DR55_3870
ko:K07302	bpsh:DR55_4670
ko:K07303	bpsh:DR55_4671
ko:K01953	bpsh:DR55_4673
ko:K02164	bpsh:DR55_4677
ko:K01194	bpsh:DR55_4679
ko:K09927	bpsh:DR55_4681
ko:K01387	bpsh:DR55_4684
ko:K01281	bpsh:DR55_4696
ko:K13633	bpsh:DR55_4702
ko:K07771	bpsh:DR55_4707
ko:K00799	bpsh:DR55_4711
ko:K07023	bpsh:DR55_4717
ko:K03569	bpsh:DR55_4719
ko:K07001	bpsh:DR55_4720
ko:K02484	bpsh:DR55_4721
ko:K07217	bpsh:DR55_5513
ko:K03092	bpsh:DR55_5515
ko:K03781	bpsh:DR55_5519
ko:K10979	bpsh:DR55_5521
ko:K00832	bpsh:DR55_5534
ko:K12511	bpsh:DR55_5536
ko:K12510	bpsh:DR55_5537
ko:K02283	bpsh:DR55_5538
ko:K02282	bpsh:DR55_5539
ko:K02280	bpsh:DR55_5544
