ko:K19586	ecly:LI62_17630
ko:K03470	ecly:LI62_04655
ko:K02337	ecly:LI62_04660
ko:K01962	ecly:LI62_04665
ko:K08234	ecly:LI62_04675
ko:K04075	ecly:LI62_04680
ko:K19000	ecly:LI62_04685
ko:K15034	ecly:LI62_04700
ko:K06079	ecly:LI62_04705
ko:K01881	ecly:LI62_04710
ko:K06080	ecly:LI62_04720
ko:K02073	ecly:LI62_04725
ko:K02072	ecly:LI62_04730
ko:K02071	ecly:LI62_04735
ko:K03273	ecly:LI62_04740
ko:K06222	ecly:LI62_04775
ko:K08307	ecly:LI62_04800
ko:K01069	ecly:LI62_04805
ko:K03469	ecly:LI62_04815
ko:K02342	ecly:LI62_04820
ko:K02035	ecly:LI62_04845
ko:K02033	ecly:LI62_04850
ko:K02034	ecly:LI62_04855
ko:K00681	ecly:LI62_04860
ko:K00645	ecly:LI62_09050
ko:K00059	ecly:LI62_09055
ko:K02078	ecly:LI62_09060
ko:K09458	ecly:LI62_09065
ko:K02619	ecly:LI62_09070
ko:K07082	ecly:LI62_09075
ko:K00943	ecly:LI62_09080
ko:K02341	ecly:LI62_09085
ko:K03424	ecly:LI62_09090
ko:K02778	ecly:LI62_09095
ko:K02779	ecly:LI62_09095
ko:K16088	ecly:LI62_09100
ko:K02503	ecly:LI62_09105
ko:K07337	ecly:LI62_09115
ko:K07251	ecly:LI62_09120
ko:K01207	ecly:LI62_09125
ko:K07000	ecly:LI62_09130
ko:K03885	ecly:LI62_09135
ko:K12151	ecly:LI62_09150
ko:K19236	ecly:LI62_09155
ko:K03723	ecly:LI62_09160
ko:K09808	ecly:LI62_09170
ko:K09810	ecly:LI62_09175
ko:K09808	ecly:LI62_09180
ko:K00884	ecly:LI62_09185
ko:K12410	ecly:LI62_09190
ko:K11069	ecly:LI62_09195
ko:K11070	ecly:LI62_09200
ko:K11071	ecly:LI62_09205
ko:K11072	ecly:LI62_09210
ko:K01258	ecly:LI62_09220
ko:K07491	ecly:LI62_09225
ko:K18850	ecly:LI62_09230
ko:K07637	ecly:LI62_09235
ko:K07660	ecly:LI62_09240
ko:K01756	ecly:LI62_09250
ko:K07153	ecly:LI62_09255
ko:K00566	ecly:LI62_09260
ko:K12152	ecly:LI62_09265
ko:K06181	ecly:LI62_09270
ko:K00031	ecly:LI62_09275
ko:K13069	ecly:LI62_09300
ko:K09712	ecly:LI62_09305
ko:K14058	ecly:LI62_13630
ko:K05591	ecly:LI62_13635
ko:K16074	ecly:LI62_13645
ko:K11911	ecly:LI62_13660
ko:K11905	ecly:LI62_13665
ko:K11904	ecly:LI62_13705
ko:K11906	ecly:LI62_13710
ko:K11895	ecly:LI62_13715
ko:K11896	ecly:LI62_13720
ko:K11910	ecly:LI62_13725
ko:K11891	ecly:LI62_13730
ko:K11907	ecly:LI62_13755
ko:K11903	ecly:LI62_13760
ko:K11892	ecly:LI62_13770
ko:K11893	ecly:LI62_13775
ko:K11900	ecly:LI62_13780
ko:K11901	ecly:LI62_13785
ko:K15580	ecly:LI62_13790
ko:K14054	ecly:LI62_13795
ko:K11065	ecly:LI62_13805
ko:K03721	ecly:LI62_13810
ko:K08990	ecly:LI62_13815
ko:K06918	ecly:LI62_13820
ko:K14053	ecly:LI62_13830
ko:K10112	ecly:LI62_13835
ko:K01838	ecly:LI62_13840
ko:K04844	ecly:LI62_13845
ko:K02026	ecly:LI62_13865
ko:K02025	ecly:LI62_13870
ko:K02027	ecly:LI62_13875
ko:K03971	ecly:LI62_13885
ko:K03970	ecly:LI62_13895
ko:K07751	ecly:LI62_18025
ko:K04755	ecly:LI62_18035
ko:K04044	ecly:LI62_18040
ko:K04082	ecly:LI62_18045
ko:K13628	ecly:LI62_18050
ko:K04488	ecly:LI62_18055
ko:K04487	ecly:LI62_18060
ko:K13643	ecly:LI62_18065
ko:K15396	ecly:LI62_18070
ko:K01092	ecly:LI62_18075
ko:K05820	ecly:LI62_18095
ko:K15977	ecly:LI62_18100
ko:K00600	ecly:LI62_18105
ko:K05916	ecly:LI62_18115
ko:K04751	ecly:LI62_18120
ko:K07715	ecly:LI62_18125
ko:K07711	ecly:LI62_18135
ko:K01952	ecly:LI62_18140
ko:K18691	ecly:LI62_18145
ko:K11991	ecly:LI62_18150
ko:K18697	ecly:LI62_18155
ko:K02809	ecly:LI62_18160
ko:K02810	ecly:LI62_18160
ko:K07106	ecly:LI62_18165
ko:K00997	ecly:LI62_18180
ko:K03474	ecly:LI62_18185
ko:K03584	ecly:LI62_18190
ko:K03595	ecly:LI62_18195
ko:K03685	ecly:LI62_18200
ko:K03100	ecly:LI62_18205
ko:K03596	ecly:LI62_18210
ko:K03803	ecly:LI62_18215
ko:K03598	ecly:LI62_18220
ko:K03597	ecly:LI62_18225
ko:K03088	ecly:LI62_18230
ko:K00278	ecly:LI62_18235
ko:K15460	ecly:LI62_18240
ko:K05590	ecly:LI62_18245
ko:K03648	ecly:LI62_18255
ko:K03214	ecly:LI62_18260
ko:K03672	ecly:LI62_18265
ko:K05812	ecly:LI62_18270
ko:K00998	ecly:LI62_18280
ko:K05811	ecly:LI62_18285
ko:K03761	ecly:LI62_18290
ko:K03747	ecly:LI62_22460
ko:K04096	ecly:LI62_22465
ko:K01462	ecly:LI62_22470
ko:K00604	ecly:LI62_22475
ko:K03500	ecly:LI62_22480
ko:K03499	ecly:LI62_22485
ko:K03282	ecly:LI62_22490
ko:K09890	ecly:LI62_22495
ko:K02879	ecly:LI62_22510
ko:K03040	ecly:LI62_22515
ko:K02986	ecly:LI62_22520
ko:K02948	ecly:LI62_22525
ko:K02952	ecly:LI62_22530
ko:K02919	ecly:LI62_22535
ko:K03076	ecly:LI62_22540
ko:K02876	ecly:LI62_22545
ko:K02907	ecly:LI62_22550
ko:K02988	ecly:LI62_22555
ko:K02881	ecly:LI62_22560
ko:K02933	ecly:LI62_22565
ko:K02994	ecly:LI62_22570
ko:K02954	ecly:LI62_22575
ko:K02931	ecly:LI62_22580
ko:K02895	ecly:LI62_22585
ko:K02874	ecly:LI62_22590
ko:K02961	ecly:LI62_22595
ko:K02904	ecly:LI62_22600
ko:K02878	ecly:LI62_22605
ko:K02982	ecly:LI62_22610
ko:K02890	ecly:LI62_22615
ko:K02965	ecly:LI62_22620
ko:K02886	ecly:LI62_22625
ko:K02892	ecly:LI62_22630
ko:K02926	ecly:LI62_22635
ko:K02906	ecly:LI62_22640
ko:K02946	ecly:LI62_22645
ko:K02506	ecly:LI62_22650
ko:K03594	ecly:LI62_22655
ko:K02192	ecly:LI62_22660
ko:K02358	ecly:LI62_22665
ko:K02355	ecly:LI62_22670
ko:K02992	ecly:LI62_22675
ko:K02950	ecly:LI62_22680
ko:K07237	ecly:LI62_22685
ko:K07236	ecly:LI62_22690
ko:K07235	ecly:LI62_22695
ko:K03772	ecly:LI62_22705
ko:K03745	ecly:LI62_22710
ko:K03775	ecly:LI62_22715
ko:K07070	ecly:LI62_22720
ko:K11747	ecly:LI62_22725
ko:K03655	ecly:LI62_00955
ko:K00556	ecly:LI62_00960
ko:K03060	ecly:LI62_00970
ko:K00942	ecly:LI62_00975
ko:K01972	ecly:LI62_00980
ko:K01991	ecly:LI62_01005
ko:K01104	ecly:LI62_01010
ko:K16692	ecly:LI62_01015
ko:K00989	ecly:LI62_01030
ko:K00762	ecly:LI62_01035
ko:K05501	ecly:LI62_01040
ko:K13038	ecly:LI62_01050
ko:K03630	ecly:LI62_01055
ko:K02902	ecly:LI62_01060
ko:K02913	ecly:LI62_01065
ko:K10563	ecly:LI62_01070
ko:K00954	ecly:LI62_01075
ko:K12984	ecly:LI62_01080
ko:K02527	ecly:LI62_01085
ko:K02844	ecly:LI62_01100
ko:K02849	ecly:LI62_01105
ko:K02847	ecly:LI62_01115
ko:K02841	ecly:LI62_01130
ko:K02843	ecly:LI62_01135
ko:K03274	ecly:LI62_01140
ko:K00639	ecly:LI62_01145
ko:K00060	ecly:LI62_01150
ko:K09798	ecly:LI62_01170
ko:K15633	ecly:LI62_01180
ko:K03071	ecly:LI62_01195
ko:K00057	ecly:LI62_01200
ko:K00640	ecly:LI62_01205
ko:K03769	ecly:LI62_01210
ko:K03656	ecly:LI62_01215
ko:K01524	ecly:LI62_01220
ko:K07286	ecly:LI62_05420
ko:K05527	ecly:LI62_05425
ko:K03545	ecly:LI62_05430
ko:K01358	ecly:LI62_05435
ko:K03544	ecly:LI62_05440
ko:K01338	ecly:LI62_05445
ko:K03530	ecly:LI62_05450
ko:K03770	ecly:LI62_05455
ko:K02237	ecly:LI62_05460
ko:K12500	ecly:LI62_05465
ko:K06920	ecly:LI62_05470
ko:K11938	ecly:LI62_05480
ko:K01738	ecly:LI62_05485
ko:K05800	ecly:LI62_05490
ko:K18889	ecly:LI62_05495
ko:K18890	ecly:LI62_05500
ko:K04752	ecly:LI62_05505
ko:K03320	ecly:LI62_05510
ko:K10805	ecly:LI62_05515
ko:K09914	ecly:LI62_05520
ko:K07443	ecly:LI62_05525
ko:K01190	ecly:LI62_05555
ko:K02909	ecly:LI62_05575
ko:K02919	ecly:LI62_05580
ko:K00375	ecly:LI62_05590
ko:K00661	ecly:LI62_05600
ko:K05839	ecly:LI62_05605
ko:K19162	ecly:LI62_05610
ko:K18138	ecly:LI62_05615
ko:K03585	ecly:LI62_05620
ko:K03577	ecly:LI62_05625
ko:K05802	ecly:LI62_05630
ko:K04067	ecly:LI62_05640
ko:K09790	ecly:LI62_05645
ko:K00759	ecly:LI62_05650
ko:K02343	ecly:LI62_05655
ko:K09747	ecly:LI62_05660
ko:K06187	ecly:LI62_05665
ko:K04079	ecly:LI62_05670
ko:K00939	ecly:LI62_05675
ko:K01772	ecly:LI62_05680
ko:K00892	ecly:LI62_05685
ko:K03455	ecly:LI62_05690
ko:K08223	ecly:LI62_05695
ko:K11751	ecly:LI62_05700
ko:K16370	ecly:LI62_09900
ko:K07283	ecly:LI62_09905
ko:K01868	ecly:LI62_09915
ko:K02520	ecly:LI62_09920
ko:K02916	ecly:LI62_09925
ko:K02887	ecly:LI62_09930
ko:K01889	ecly:LI62_09935
ko:K01890	ecly:LI62_09940
ko:K04764	ecly:LI62_09945
ko:K06073	ecly:LI62_09950
ko:K00432	ecly:LI62_09955
ko:K06074	ecly:LI62_09960
ko:K08997	ecly:LI62_09975
ko:K02013	ecly:LI62_09980
ko:K02015	ecly:LI62_09985
ko:K02016	ecly:LI62_09990
ko:K07225	ecly:LI62_09995
ko:K16087	ecly:LI62_10000
ko:K01626	ecly:LI62_10010
ko:K09773	ecly:LI62_10015
ko:K05349	ecly:LI62_10030
ko:K19222	ecly:LI62_10045
ko:K07345	ecly:LI62_10065
ko:K07347	ecly:LI62_10075
ko:K07349	ecly:LI62_10085
ko:K05997	ecly:LI62_10125
ko:K09014	ecly:LI62_10130
ko:K09013	ecly:LI62_10135
ko:K09015	ecly:LI62_10140
ko:K11717	ecly:LI62_10145
ko:K02426	ecly:LI62_10150
ko:K19234	ecly:LI62_10155
ko:K06078	ecly:LI62_10160
ko:K00873	ecly:LI62_10165
ko:K01758	ecly:LI62_10170
ko:K01697	ecly:LI62_10175
ko:K11904	ecly:LI62_14470
ko:K11907	ecly:LI62_14490
ko:K11895	ecly:LI62_14495
ko:K11896	ecly:LI62_14500
ko:K11897	ecly:LI62_14505
ko:K11898	ecly:LI62_14510
ko:K07169	ecly:LI62_14525
ko:K11903	ecly:LI62_14540
ko:K11900	ecly:LI62_14555
ko:K11901	ecly:LI62_14560
ko:K11902	ecly:LI62_14565
ko:K11890	ecly:LI62_14570
ko:K11891	ecly:LI62_14575
ko:K11892	ecly:LI62_14580
ko:K11893	ecly:LI62_14585
ko:K11906	ecly:LI62_14590
ko:K00134	ecly:LI62_14605
ko:K01194	ecly:LI62_14615
ko:K02014	ecly:LI62_14620
ko:K08308	ecly:LI62_14630
ko:K01297	ecly:LI62_14635
ko:K11105	ecly:LI62_14640
ko:K01775	ecly:LI62_14645
ko:K00285	ecly:LI62_14650
ko:K03603	ecly:LI62_14665
ko:K03314	ecly:LI62_14670
ko:K03611	ecly:LI62_14675
ko:K09160	ecly:LI62_14680
ko:K09902	ecly:LI62_14690
ko:K03610	ecly:LI62_14695
ko:K03609	ecly:LI62_14700
ko:K03608	ecly:LI62_14705
ko:K03684	ecly:LI62_14710
ko:K01897	ecly:LI62_14715
ko:K07285	ecly:LI62_14720
ko:K14742	ecly:LI62_14725
ko:K00926	ecly:LI62_18850
ko:K06901	ecly:LI62_18855
ko:K11685	ecly:LI62_18890
ko:K03647	ecly:LI62_18915
ko:K02000	ecly:LI62_18930
ko:K02001	ecly:LI62_18935
ko:K02002	ecly:LI62_18940
ko:K15974	ecly:LI62_18950
ko:K03543	ecly:LI62_18955
ko:K03446	ecly:LI62_18960
ko:K01649	ecly:LI62_18965
ko:K07173	ecly:LI62_18975
ko:K01919	ecly:LI62_18980
ko:K03563	ecly:LI62_19020
ko:K01872	ecly:LI62_19025
ko:K03565	ecly:LI62_19030
ko:K03743	ecly:LI62_19040
ko:K02077	ecly:LI62_19045
ko:K02075	ecly:LI62_19050
ko:K02074	ecly:LI62_19055
ko:K08305	ecly:LI62_19060
ko:K02783	ecly:LI62_19065
ko:K02782	ecly:LI62_19070
ko:K02783	ecly:LI62_19070
ko:K02781	ecly:LI62_19075
ko:K00068	ecly:LI62_19080
ko:K02466	ecly:LI62_19085
ko:K02468	ecly:LI62_19090
ko:K02467	ecly:LI62_19095
ko:K12266	ecly:LI62_19100
ko:K12264	ecly:LI62_19105
ko:K12265	ecly:LI62_19110
ko:K07241	ecly:LI62_19115
ko:K04085	ecly:LI62_23285
ko:K09125	ecly:LI62_23290
ko:K02078	ecly:LI62_23315
ko:K02078	ecly:LI62_23320
ko:K07107	ecly:LI62_23345
ko:K00647	ecly:LI62_23365
ko:K00059	ecly:LI62_23375
ko:K09458	ecly:LI62_23380
ko:K06133	ecly:LI62_23385
ko:K12963	ecly:LI62_23390
ko:K12962	ecly:LI62_23395
ko:K07264	ecly:LI62_23400
ko:K13014	ecly:LI62_23405
ko:K10011	ecly:LI62_23410
ko:K10012	ecly:LI62_23415
ko:K07806	ecly:LI62_23420
ko:K13727	ecly:LI62_23425
ko:K05794	ecly:LI62_23445
ko:K07644	ecly:LI62_23460
ko:K07665	ecly:LI62_23465
ko:K07245	ecly:LI62_23470
ko:K07156	ecly:LI62_23475
ko:K07233	ecly:LI62_23480
ko:K17686	ecly:LI62_23505
ko:K07787	ecly:LI62_23515
ko:K07798	ecly:LI62_23520
ko:K07810	ecly:LI62_23525
ko:K07796	ecly:LI62_23530
ko:K07726	ecly:LI62_01505
ko:K03704	ecly:LI62_01520
ko:K00090	ecly:LI62_01525
ko:K00874	ecly:LI62_01535
ko:K02525	ecly:LI62_01545
ko:K08351	ecly:LI62_01555
ko:K03826	ecly:LI62_01560
ko:K01246	ecly:LI62_01565
ko:K08177	ecly:LI62_01575
ko:K12975	ecly:LI62_01580
ko:K12368	ecly:LI62_01590
ko:K12369	ecly:LI62_01595
ko:K12370	ecly:LI62_01600
ko:K12371	ecly:LI62_01605
ko:K12372	ecly:LI62_01610
ko:K00867	ecly:LI62_01615
ko:K02358	ecly:LI62_01640
ko:K03073	ecly:LI62_01650
ko:K02601	ecly:LI62_01655
ko:K02867	ecly:LI62_01660
ko:K02863	ecly:LI62_01665
ko:K02864	ecly:LI62_01670
ko:K02935	ecly:LI62_01675
ko:K03043	ecly:LI62_01680
ko:K03046	ecly:LI62_01685
ko:K02759	ecly:LI62_01690
ko:K02760	ecly:LI62_01695
ko:K03150	ecly:LI62_01705
ko:K03149	ecly:LI62_01710
ko:K03154	ecly:LI62_01715
ko:K03148	ecly:LI62_01720
ko:K00788	ecly:LI62_01725
ko:K03147	ecly:LI62_01730
ko:K07740	ecly:LI62_01735
ko:K03426	ecly:LI62_01740
ko:K01599	ecly:LI62_01745
ko:K05982	ecly:LI62_01750
ko:K09891	ecly:LI62_01755
ko:K05787	ecly:LI62_01760
ko:K01945	ecly:LI62_01770
ko:K00602	ecly:LI62_01775
ko:K02345	ecly:LI62_06035
ko:K03502	ecly:LI62_06255
ko:K02014	ecly:LI62_06270
ko:K07093	ecly:LI62_06275
ko:K11732	ecly:LI62_06280
ko:K01488	ecly:LI62_10485
ko:K14155	ecly:LI62_10490
ko:K16136	ecly:LI62_10500
ko:K01809	ecly:LI62_10510
ko:K01676	ecly:LI62_10515
ko:K01679	ecly:LI62_10520
ko:K10748	ecly:LI62_10525
ko:K07639	ecly:LI62_10530
ko:K03704	ecly:LI62_10540
ko:K07661	ecly:LI62_10550
ko:K13938	ecly:LI62_10560
ko:K03758	ecly:LI62_10565
ko:K00324	ecly:LI62_10575
ko:K00325	ecly:LI62_10580
ko:K14055	ecly:LI62_10590
ko:K00567	ecly:LI62_10600
ko:K12942	ecly:LI62_10605
ko:K12941	ecly:LI62_10610
ko:K12940	ecly:LI62_10615
ko:K14057	ecly:LI62_10620
ko:K03406	ecly:LI62_10630
ko:K03503	ecly:LI62_10645
ko:K05358	ecly:LI62_10650
ko:K06139	ecly:LI62_10660
ko:K06138	ecly:LI62_10665
ko:K06137	ecly:LI62_10670
ko:K06136	ecly:LI62_10675
ko:K01273	ecly:LI62_10680
ko:K03502	ecly:LI62_10685
ko:K11744	ecly:LI62_10710
ko:K11743	ecly:LI62_10715
ko:K11742	ecly:LI62_10720
ko:K04775	ecly:LI62_10725
ko:K08310	ecly:LI62_15010
ko:K01876	ecly:LI62_15015
ko:K07136	ecly:LI62_15030
ko:K15256	ecly:LI62_15035
ko:K15257	ecly:LI62_15040
ko:K06201	ecly:LI62_15045
ko:K09907	ecly:LI62_15050
ko:K01887	ecly:LI62_15055
ko:K15532	ecly:LI62_15060
ko:K16210	ecly:LI62_15065
ko:K03516	ecly:LI62_15070
ko:K02400	ecly:LI62_15075
ko:K02401	ecly:LI62_15080
ko:K03414	ecly:LI62_15085
ko:K03413	ecly:LI62_15090
ko:K03412	ecly:LI62_15095
ko:K00575	ecly:LI62_15100
ko:K05877	ecly:LI62_15105
ko:K07347	ecly:LI62_15120
ko:K07346	ecly:LI62_15125
ko:K03408	ecly:LI62_15145
ko:K03407	ecly:LI62_15150
ko:K02557	ecly:LI62_15155
ko:K02556	ecly:LI62_15160
ko:K02402	ecly:LI62_15165
ko:K02403	ecly:LI62_15170
ko:K14064	ecly:LI62_15175
ko:K00697	ecly:LI62_15180
ko:K01087	ecly:LI62_15185
ko:K10538	ecly:LI62_15190
ko:K10539	ecly:LI62_15195
ko:K10537	ecly:LI62_15200
ko:K02255	ecly:LI62_15210
ko:K07792	ecly:LI62_15215
ko:K02217	ecly:LI62_15240
ko:K03834	ecly:LI62_15250
ko:K07039	ecly:LI62_15255
ko:K01999	ecly:LI62_15260
ko:K01997	ecly:LI62_15265
ko:K01998	ecly:LI62_15270
ko:K01995	ecly:LI62_15275
ko:K01788	ecly:LI62_19380
ko:K01689	ecly:LI62_19395
ko:K01937	ecly:LI62_19400
ko:K04765	ecly:LI62_19405
ko:K00951	ecly:LI62_19410
ko:K03215	ecly:LI62_19415
ko:K07678	ecly:LI62_19420
ko:K00865	ecly:LI62_19425
ko:K01706	ecly:LI62_19430
ko:K13918	ecly:LI62_19435
ko:K03535	ecly:LI62_19440
ko:K06175	ecly:LI62_19450
ko:K15723	ecly:LI62_19465
ko:K06879	ecly:LI62_19470
ko:K06966	ecly:LI62_19475
ko:K03837	ecly:LI62_19480
ko:K01752	ecly:LI62_19485
ko:K01146	ecly:LI62_19490
ko:K06968	ecly:LI62_19495
ko:K03566	ecly:LI62_19505
ko:K01766	ecly:LI62_19515
ko:K02426	ecly:LI62_19520
ko:K08304	ecly:LI62_19530
ko:K01448	ecly:LI62_19550
ko:K14682	ecly:LI62_19555
ko:K03581	ecly:LI62_19560
ko:K03582	ecly:LI62_19565
ko:K01407	ecly:LI62_19570
ko:K03583	ecly:LI62_19575
ko:K02681	ecly:LI62_19580
ko:K02680	ecly:LI62_19590
ko:K02679	ecly:LI62_19595
ko:K13292	ecly:LI62_19605
ko:K08484	ecly:LI62_19610
ko:K08311	ecly:LI62_19615
ko:K03573	ecly:LI62_19620
ko:K08227	ecly:LI62_19635
ko:K05939	ecly:LI62_19640
ko:K02529	ecly:LI62_19645
ko:K01825	ecly:LI62_23820
ko:K01879	ecly:LI62_23830
ko:K01878	ecly:LI62_23835
ko:K00854	ecly:LI62_23850
ko:K01805	ecly:LI62_23855
ko:K10543	ecly:LI62_23860
ko:K10545	ecly:LI62_23865
ko:K10544	ecly:LI62_23870
ko:K02529	ecly:LI62_23875
ko:K03796	ecly:LI62_23880
ko:K01176	ecly:LI62_23885
ko:K00835	ecly:LI62_23890
ko:K08092	ecly:LI62_23905
ko:K00880	ecly:LI62_23925
ko:K09955	ecly:LI62_23955
ko:K00138	ecly:LI62_23965
ko:K03833	ecly:LI62_23975
ko:K01042	ecly:LI62_23980
ko:K02798	ecly:LI62_23990
ko:K02799	ecly:LI62_23990
ko:K02800	ecly:LI62_23990
ko:K00009	ecly:LI62_23995
ko:K02562	ecly:LI62_24000
ko:K14762	ecly:LI62_24005
ko:K07347	ecly:LI62_24015
ko:K07345	ecly:LI62_24025
ko:K00427	ecly:LI62_24030
ko:K14348	ecly:LI62_24035
ko:K00101	ecly:LI62_24040
ko:K08195	ecly:LI62_24045
ko:K03216	ecly:LI62_24050
ko:K00053	ecly:LI62_24055
ko:K02521	ecly:LI62_24060
ko:K01754	ecly:LI62_24065
ko:K01687	ecly:LI62_24070
ko:K00826	ecly:LI62_24075
ko:K11258	ecly:LI62_24080
ko:K01652	ecly:LI62_24085
ko:K19048	ecly:LI62_03225
ko:K11903	ecly:LI62_03255
ko:K01867	ecly:LI62_03270
ko:K02529	ecly:LI62_03280
ko:K15977	ecly:LI62_03305
ko:K01759	ecly:LI62_03345
ko:K01358	ecly:LI62_03350
ko:K18850	ecly:LI62_03355
ko:K02014	ecly:LI62_03375
ko:K00375	ecly:LI62_03390
ko:K09803	ecly:LI62_03430
ko:K00135	ecly:LI62_03450
ko:K00484	ecly:LI62_03485
ko:K00483	ecly:LI62_03490
ko:K18895	ecly:LI62_07665
ko:K13888	ecly:LI62_07675
ko:K05685	ecly:LI62_07680
ko:K01223	ecly:LI62_07690
ko:K02761	ecly:LI62_07695
ko:K03492	ecly:LI62_07700
ko:K19235	ecly:LI62_07705
ko:K01187	ecly:LI62_07715
ko:K08191	ecly:LI62_07720
ko:K07757	ecly:LI62_07735
ko:K00656	ecly:LI62_07740
ko:K04069	ecly:LI62_07745
ko:K08313	ecly:LI62_07750
ko:K03750	ecly:LI62_07760
ko:K13051	ecly:LI62_07765
ko:K13892	ecly:LI62_07770
ko:K13889	ecly:LI62_07775
ko:K13890	ecly:LI62_07780
ko:K13891	ecly:LI62_07785
ko:K14441	ecly:LI62_07790
ko:K07258	ecly:LI62_07810
ko:K11534	ecly:LI62_07815
ko:K00537	ecly:LI62_07850
ko:K03893	ecly:LI62_07855
ko:K11903	ecly:LI62_07865
ko:K07085	ecly:LI62_07875
ko:K03674	ecly:LI62_07885
ko:K05844	ecly:LI62_07895
ko:K11073	ecly:LI62_07905
ko:K11076	ecly:LI62_07910
ko:K11075	ecly:LI62_07915
ko:K11074	ecly:LI62_07920
ko:K03212	ecly:LI62_07930
ko:K07687	ecly:LI62_16650
ko:K07677	ecly:LI62_16655
ko:K02469	ecly:LI62_16660
ko:K00568	ecly:LI62_16665
ko:K11107	ecly:LI62_16680
ko:K01126	ecly:LI62_16685
ko:K02445	ecly:LI62_16690
ko:K00111	ecly:LI62_16695
ko:K00112	ecly:LI62_16700
ko:K00113	ecly:LI62_16705
ko:K07649	ecly:LI62_16720
ko:K07774	ecly:LI62_16725
ko:K07795	ecly:LI62_16730
ko:K07794	ecly:LI62_16735
ko:K07793	ecly:LI62_16740
ko:K01911	ecly:LI62_16745
ko:K02549	ecly:LI62_16750
ko:K01661	ecly:LI62_16755
ko:K08680	ecly:LI62_16760
ko:K02551	ecly:LI62_16765
ko:K02552	ecly:LI62_16770
ko:K05594	ecly:LI62_16775
ko:K02348	ecly:LI62_16780
ko:K00784	ecly:LI62_16785
ko:K03415	ecly:LI62_16790
ko:K00343	ecly:LI62_16795
ko:K00342	ecly:LI62_16800
ko:K00341	ecly:LI62_16805
ko:K00340	ecly:LI62_16810
ko:K00339	ecly:LI62_16815
ko:K00338	ecly:LI62_16820
ko:K00337	ecly:LI62_16825
ko:K00336	ecly:LI62_16830
ko:K00335	ecly:LI62_16835
ko:K00334	ecly:LI62_16840
ko:K13378	ecly:LI62_16845
ko:K00331	ecly:LI62_16850
ko:K00330	ecly:LI62_16855
ko:K14260	ecly:LI62_16865
ko:K08722	ecly:LI62_16870
ko:K09161	ecly:LI62_16885
ko:K09899	ecly:LI62_16890
ko:K00925	ecly:LI62_16895
ko:K13788	ecly:LI62_16900
ko:K00615	ecly:LI62_16905
ko:K00615	ecly:LI62_16910
ko:K10680	ecly:LI62_21085
ko:K07483	ecly:LI62_21100
ko:K00655	ecly:LI62_21140
ko:K02621	ecly:LI62_21145
ko:K07666	ecly:LI62_21155
ko:K07645	ecly:LI62_21160
ko:K03923	ecly:LI62_21165
ko:K18581	ecly:LI62_21180
ko:K02532	ecly:LI62_21185
ko:K02016	ecly:LI62_21205
ko:K02015	ecly:LI62_21210
ko:K02015	ecly:LI62_21215
ko:K02013	ecly:LI62_21220
ko:K02014	ecly:LI62_21225
ko:K02622	ecly:LI62_21230
ko:K07000	ecly:LI62_21235
ko:K03651	ecly:LI62_21240
ko:K09920	ecly:LI62_21245
ko:K01515	ecly:LI62_21250
ko:K04084	ecly:LI62_02360
ko:K03926	ecly:LI62_02365
ko:K07791	ecly:LI62_02370
ko:K01744	ecly:LI62_02375
ko:K07113	ecly:LI62_02380
ko:K16263	ecly:LI62_02385
ko:K04078	ecly:LI62_02390
ko:K04077	ecly:LI62_02395
ko:K01305	ecly:LI62_02400
ko:K02356	ecly:LI62_02425
ko:K16347	ecly:LI62_02430
ko:K16348	ecly:LI62_02435
ko:K11741	ecly:LI62_02445
ko:K03098	ecly:LI62_02450
ko:K17850	ecly:LI62_02460
ko:K00247	ecly:LI62_02465
ko:K00246	ecly:LI62_02470
ko:K00245	ecly:LI62_02475
ko:K00244	ecly:LI62_02480
ko:K04568	ecly:LI62_02485
ko:K01613	ecly:LI62_02500
ko:K06949	ecly:LI62_02505
ko:K13288	ecly:LI62_02510
ko:K18979	ecly:LI62_02530
ko:K17758	ecly:LI62_02535
ko:K17759	ecly:LI62_02535
ko:K06925	ecly:LI62_02540
ko:K01448	ecly:LI62_02545
ko:K03572	ecly:LI62_02550
ko:K00791	ecly:LI62_02555
ko:K03666	ecly:LI62_02560
ko:K03665	ecly:LI62_02565
ko:K04088	ecly:LI62_02570
ko:K04087	ecly:LI62_02575
ko:K09937	ecly:LI62_02580
ko:K01939	ecly:LI62_02585
ko:K13771	ecly:LI62_02590
ko:K12573	ecly:LI62_02595
ko:K03218	ecly:LI62_02600
ko:K09456	ecly:LI62_02610
ko:K06889	ecly:LI62_02630
ko:K03477	ecly:LI62_02635
ko:K05837	ecly:LI62_06845
ko:K05515	ecly:LI62_06850
ko:K00783	ecly:LI62_06855
ko:K09710	ecly:LI62_06860
ko:K00969	ecly:LI62_06865
ko:K02340	ecly:LI62_06870
ko:K03643	ecly:LI62_06875
ko:K01869	ecly:LI62_06880
ko:K01250	ecly:LI62_06890
ko:K10004	ecly:LI62_06895
ko:K10002	ecly:LI62_06900
ko:K10003	ecly:LI62_06905
ko:K10001	ecly:LI62_06910
ko:K03820	ecly:LI62_06915
ko:K06189	ecly:LI62_06920
ko:K07042	ecly:LI62_06925
ko:K06168	ecly:LI62_06935
ko:K03184	ecly:LI62_06940
