ko:K14222	hie:R2846_0559
ko:K01928	hie:R2846_1209
ko:K03587	hie:R2846_1210
ko:K03586	hie:R2846_1211
ko:K03438	hie:R2846_1212
ko:K03925	hie:R2846_1213
ko:K15580	hie:R2846_1217
ko:K15581	hie:R2846_1218
ko:K09824	hie:R2846_1222
ko:K03978	hie:R2846_1223
ko:K07391	hie:R2846_1224
ko:K03274	hie:R2846_1227
ko:K01805	hie:R2846_1229
ko:K14155	hie:R2846_1230
ko:K03315	hie:R2846_1231
ko:K02529	hie:R2846_1232
ko:K01738	hie:R2846_1235
ko:K06203	hie:R2846_1236
ko:K03528	hie:R2846_1237
ko:K01972	hie:R2846_1238
ko:K03607	hie:R2846_0725
ko:K03797	hie:R2846_0726
ko:K03424	hie:R2846_0729
ko:K00164	hie:R2846_0731
ko:K00658	hie:R2846_0732
ko:K03271	hie:R2846_0736
ko:K07460	hie:R2846_0737
ko:K07121	hie:R2846_0738
ko:K07056	hie:R2846_0739
ko:K03568	hie:R2846_0740
ko:K13694	hie:R2846_0741
ko:K03777	hie:R2846_0743
ko:K08681	hie:R2846_0744
ko:K06215	hie:R2846_0745
ko:K00945	hie:R2846_0746
ko:K02945	hie:R2846_0747
ko:K05788	hie:R2846_0748
ko:K01591	hie:R2846_0751
ko:K03113	hie:R2846_0752
ko:K10763	hie:R2846_0753
ko:K00761	hie:R2846_0755
ko:K02343	hie:R2846_0756
ko:K00759	hie:R2846_0757
ko:K00382	hie:R2846_0758
ko:K00627	hie:R2846_0759
ko:K00163	hie:R2846_0760
ko:K01734	hie:R2846_0761
ko:K04043	hie:R2846_0763
ko:K03686	hie:R2846_0764
ko:K00147	hie:R2846_0765
ko:K07552	hie:R2846_0768
ko:K00029	hie:R2846_0771
ko:K03702	hie:R2846_0773
ko:K02886	hie:R2846_1548
ko:K02892	hie:R2846_1549
ko:K02926	hie:R2846_1550
ko:K02906	hie:R2846_1551
ko:K02946	hie:R2846_1552
ko:K09811	hie:R2846_1553
ko:K09812	hie:R2846_1554
ko:K03110	hie:R2846_1555
ko:K03216	hie:R2846_1557
ko:K07270	hie:R2846_1558
ko:K06211	hie:R2846_1560
ko:K08306	hie:R2846_1564
ko:K03575	hie:R2846_1566
ko:K02909	hie:R2846_1567
ko:K09798	hie:R2846_1570
ko:K07270	hie:R2846_1571
ko:K01952	hie:R2846_1573
ko:K08996	hie:R2846_1574
ko:K11065	hie:R2846_1575
ko:K01778	hie:R2846_1576
ko:K01356	hie:R2846_1577
ko:K00631	hie:R2846_1578
ko:K03885	hie:R2846_1579
ko:K03071	hie:R2846_1583
ko:K02337	hie:R2846_1586
ko:K01754	hie:R2846_1587
ko:K01687	hie:R2846_1588
ko:K01652	hie:R2846_1589
ko:K03308	hie:R2846_1590
ko:K03269	hie:R2846_1591
ko:K00655	hie:R2846_1592
ko:K04744	hie:R2846_1594
ko:K01881	hie:R2846_1595
ko:K03654	hie:R2846_1596
ko:K06202	hie:R2846_1597
ko:K01646	hie:R2846_0623
ko:K01644	hie:R2846_0624
ko:K01643	hie:R2846_0625
ko:K03319	hie:R2846_0627
ko:K06168	hie:R2846_0628
ko:K03648	hie:R2846_0629
ko:K03596	hie:R2846_0631
ko:K03100	hie:R2846_0632
ko:K03685	hie:R2846_0633
ko:K02344	hie:R2846_0636
ko:K03789	hie:R2846_0637
ko:K02380	hie:R2846_0638
ko:K02379	hie:R2846_0642
ko:K07042	hie:R2846_0643
ko:K00134	hie:R2846_0646
ko:K00942	hie:R2846_0647
ko:K03060	hie:R2846_0648
ko:K03655	hie:R2846_0650
ko:K01776	hie:R2846_0651
ko:K03576	hie:R2846_0658
ko:K02837	hie:R2846_0662
ko:K00208	hie:R2846_0663
ko:K01147	hie:R2846_0664
ko:K01940	hie:R2846_0667
ko:K01923	hie:R2846_0668
ko:K05365	hie:R2846_0669
ko:K09910	hie:R2846_0670
ko:K15724	hie:R2846_0671
ko:K01265	hie:R2846_0672
ko:K00990	hie:R2846_0673
ko:K01915	hie:R2846_1452
ko:K06207	hie:R2846_1453
ko:K00275	hie:R2846_1454
ko:K09125	hie:R2846_1455
ko:K02020	hie:R2846_1461
ko:K02015	hie:R2846_1463
ko:K02016	hie:R2846_1464
ko:K12573	hie:R2846_1466
ko:K03218	hie:R2846_1467
ko:K03695	hie:R2846_1468
ko:K09888	hie:R2846_1471
ko:K07226	hie:R2846_1474
ko:K03753	hie:R2846_1477
ko:K15984	hie:R2846_1479
ko:K09897	hie:R2846_1481
ko:K03673	hie:R2846_1482
ko:K05787	hie:R2846_0150
ko:K00820	hie:R2846_0151
ko:K03611	hie:R2846_0152
ko:K03314	hie:R2846_0153
ko:K03603	hie:R2846_0154
ko:K00998	hie:R2846_0155
ko:K03214	hie:R2846_0156
ko:K05590	hie:R2846_0158
ko:K08303	hie:R2846_0159
ko:K00788	hie:R2846_0161
ko:K00941	hie:R2846_0162
ko:K00878	hie:R2846_0163
ko:K08300	hie:R2846_0165
ko:K03666	hie:R2846_0167
ko:K03721	hie:R2846_0168
ko:K09817	hie:R2846_0170
ko:K09816	hie:R2846_0171
ko:K01962	hie:R2846_0172
ko:K00868	hie:R2846_0173
ko:K04075	hie:R2846_0174
ko:K03573	hie:R2846_0175
ko:K06076	hie:R2846_0177
ko:K03651	hie:R2846_0179
ko:K03601	hie:R2846_0181
ko:K09801	hie:R2846_0183
ko:K09896	hie:R2846_1483
ko:K03752	hie:R2846_1484
ko:K07014	hie:R2846_1486
ko:K09904	hie:R2846_1487
ko:K06899	hie:R2846_1488
ko:K06186	hie:R2846_1489
ko:K04568	hie:R2846_1491
ko:K00246	hie:R2846_1494
ko:K01056	hie:R2846_0184
ko:K06942	hie:R2846_0185
ko:K03684	hie:R2846_0187
ko:K07285	hie:R2846_0189
ko:K07107	hie:R2846_0192
ko:K03562	hie:R2846_0193
ko:K03641	hie:R2846_0196
ko:K03640	hie:R2846_0197
ko:K15396	hie:R2846_0200
ko:K13643	hie:R2846_0201
ko:K04487	hie:R2846_0202
ko:K02471	hie:R2846_0992
ko:K02013	hie:R2846_0994
ko:K02015	hie:R2846_0995
ko:K02016	hie:R2846_0996
ko:K03813	hie:R2846_0997
ko:K02018	hie:R2846_0999
ko:K02020	hie:R2846_1000
ko:K03272	hie:R2846_1001
ko:K02517	hie:R2846_1002
ko:K02622	hie:R2846_1003
ko:K02621	hie:R2846_1004
ko:K03312	hie:R2846_1005
ko:K15461	hie:R2846_1009
ko:K04773	hie:R2846_1016
ko:K07862	hie:R2846_1020
ko:K01626	hie:R2846_1022
ko:K09808	hie:R2846_1023
ko:K01935	hie:R2846_1025
ko:K02169	hie:R2846_1026
ko:K09789	hie:R2846_1027
ko:K00833	hie:R2846_1029
ko:K09808	hie:R2846_1030
ko:K01627	hie:R2846_1032
ko:K02493	hie:R2846_1034
ko:K02835	hie:R2846_1036
ko:K02424	hie:R2846_1258
ko:K10009	hie:R2846_1259
ko:K16087	hie:R2846_1127
ko:K16087	hie:R2846_0323
ko:K16087	hie:R2846_1618
ko:K16087	hie:R2846_1673
ko:K16087	hie:R2846_0530
ko:K16087	hie:R2846_1317
ko:K07645	hie:R2846_0684
ko:K14235	hie:R2846_0386
ko:K04067	hie:R2846_0255
ko:K01759	hie:R2846_0258
ko:K04763	hie:R2846_0270
ko:K02506	hie:R2846_0283
ko:K07213	hie:R2846_0287
ko:K07213	hie:R2846_0288
ko:K02552	hie:R2846_0296
ko:K08680	hie:R2846_0298
ko:K07126	hie:R2846_1100
ko:K00674	hie:R2846_1112
ko:K01243	hie:R2846_1128
ko:K00383	hie:R2846_0476
ko:K00059	hie:R2846_0482
ko:K07792	hie:R2846_0484
ko:K01788	hie:R2846_0492
ko:K01639	hie:R2846_0495
ko:K02564	hie:R2846_0496
ko:K03469	hie:R2846_0499
ko:K02342	hie:R2846_0500
ko:K01507	hie:R2846_0509
ko:K01760	hie:R2846_0514
ko:K09815	hie:R2846_0517
ko:K02549	hie:R2846_1341
ko:K03548	hie:R2846_0364
ko:K00088	hie:R2846_0379
ko:K06177	hie:R2846_0405
ko:K02441	hie:R2846_0406
ko:K02806	hie:R2846_1195
ko:K00616	hie:R2846_1216
ko:K15582	hie:R2846_1219
ko:K01619	hie:R2846_1225
ko:K00854	hie:R2846_1228
ko:K02843	hie:R2846_1233
ko:K02200	hie:R2846_1242
ko:K10010	hie:R2846_1260
ko:K04488	hie:R2846_0203
ko:K13628	hie:R2846_0204
ko:K11604	hie:R2846_0217
ko:K11607	hie:R2846_0218
ko:K15599	hie:R2846_0223
ko:K01784	hie:R2846_0226
ko:K00939	hie:R2846_0228
ko:K02569	hie:R2846_0229
ko:K02574	hie:R2846_0231
ko:K07126	hie:R2846_1040
ko:K00974	hie:R2846_1082
ko:K02035	hie:R2846_0426
ko:K03711	hie:R2846_0448
ko:K00121	hie:R2846_0454
ko:K06212	hie:R2846_0458
ko:K02193	hie:R2846_1249
ko:K02067	hie:R2846_1253
ko:K01156	hie:R2846_1279
ko:K07307	hie:R2846_1287
ko:K07308	hie:R2846_1288
ko:K01885	hie:R2846_0309
ko:K02428	hie:R2846_0326
ko:K03325	hie:R2846_0344
ko:K10000	hie:R2846_1163
ko:K09998	hie:R2846_1166
ko:K02619	hie:R2846_1173
ko:K03286	hie:R2846_1178
ko:K16013	hie:R2846_1184
ko:K16012	hie:R2846_1185
ko:K04753	hie:R2846_1593
ko:K09471	hie:R2846_0084
ko:K11069	hie:R2846_0085
ko:K02116	hie:R2846_0094
ko:K07729	hie:R2846_0890
ko:K06196	hie:R2846_0932
ko:K00867	hie:R2846_1713
ko:K03499	hie:R2846_1719
ko:K07343	hie:R2846_1732
ko:K01119	hie:R2846_1744
ko:K00058	hie:R2846_0114
ko:K04765	hie:R2846_0119
ko:K00882	hie:R2846_0132
ko:K02427	hie:R2846_0943
ko:K00700	hie:R2846_0836
ko:K07263	hie:R2846_0847
ko:K11179	hie:R2846_0850
ko:K07657	hie:R2846_0859
ko:K01679	hie:R2846_0881
ko:K02446	hie:R2846_1667
ko:K12984	hie:R2846_1682
ko:K00564	hie:R2846_0635
ko:K00124	hie:R2846_0640
ko:K00101	hie:R2846_0652
ko:K01934	hie:R2846_1469
ko:K03803	hie:R2846_1478
ko:K00244	hie:R2846_1492
ko:K00245	hie:R2846_1493
ko:K08992	hie:R2846_0749
ko:K02824	hie:R2846_0754
ko:K06183	hie:R2846_0769
ko:K02858	hie:R2846_1559
ko:K07792	hie:R2846_1580
ko:K01424	hie:R2846_1581
ko:K00799	hie:R2846_0531
ko:K01439	hie:R2846_0544
ko:K02010	hie:R2846_0546
ko:K03768	hie:R2846_0567
ko:K10914	hie:R2846_1352
ko:K09898	hie:R2846_1353
ko:K10563	hie:R2846_1364
ko:K01092	hie:R2846_1373
ko:K02200	hie:R2846_1376
ko:K01270	hie:R2846_1644
ko:K03748	hie:R2846_0787
ko:K03593	hie:R2846_0797
ko:K03177	hie:R2846_0810
ko:K11071	hie:R2846_0823
ko:K11072	hie:R2846_0824
ko:K01258	hie:R2846_0825
ko:K01489	hie:R2846_0827
ko:K03498	hie:R2846_1607
ko:K04085	hie:R2846_1609
ko:K09022	hie:R2846_1611
ko:K00769	hie:R2846_1645
ko:K15460	hie:R2846_0157
ko:K06179	hie:R2846_0166
ko:K00567	hie:R2846_0176
ko:K01515	hie:R2846_0180
ko:K03560	hie:R2846_0194
ko:K05844	hie:R2846_1006
ko:K00647	hie:R2846_1008
ko:K00652	hie:R2846_1028
ko:K15583	hie:R2846_1220
ko:K02851	hie:R2846_0674
ko:K02784	hie:R2846_0678
ko:K08483	hie:R2846_0679
ko:K00970	hie:R2846_0583
ko:K02238	hie:R2846_0585
ko:K11085	hie:R2846_0586
ko:K13637	hie:R2846_0592
ko:K06177	hie:R2846_0605
ko:K07258	hie:R2846_0618
ko:K10541	hie:R2846_1503
ko:K07666	hie:R2846_0683
ko:K02017	hie:R2846_0700
ko:K03613	hie:R2846_0703
ko:K03612	hie:R2846_0704
ko:K10540	hie:R2846_1505
ko:K01785	hie:R2846_1509
ko:K03614	hie:R2846_0705
ko:K01262	hie:R2846_1511
ko:K06149	hie:R2846_1512
ko:K03615	hie:R2846_0706
ko:K03616	hie:R2846_0707
ko:K03617	hie:R2846_0708
ko:K04774	hie:R2846_0709
ko:K09909	hie:R2846_0710
ko:K03635	hie:R2846_0722
ko:K00247	hie:R2846_1495
ko:K19227	hie:R2846_1119
ko:K01977	hie:R2846_0381
ko:K01977	hie:R2846_1731
ko:K01977	hie:R2846_0653
ko:K01977	hie:R2846_1606
ko:K01977	hie:R2846_0412
ko:K01977	hie:R2846_0525
ko:K01139	hie:R2846_0649
ko:K14219	hie:R2846_0522
ko:K01048	hie:R2846_1691
ko:K01980	hie:R2846_1729
ko:K01980	hie:R2846_0528
ko:K01980	hie:R2846_0656
ko:K01980	hie:R2846_0414
ko:K01980	hie:R2846_0383
ko:K01980	hie:R2846_1603
ko:K02062	hie:R2846_1302
ko:K01983	hie:R2846_1186
ko:K01840	hie:R2846_1585
ko:K01739	hie:R2846_0561
ko:K01069	hie:R2846_0794
ko:K12982	hie:R2846_0324
ko:K03299	hie:R2846_0551
ko:K04015	hie:R2846_1271
ko:K04014	hie:R2846_1270
ko:K03566	hie:R2846_1150
ko:K08364	hie:R2846_1283
ko:K10823	hie:R2846_1221
ko:K00879	hie:R2846_0401
ko:K03495	hie:R2846_0001
ko:K03043	hie:R2846_0070
ko:K14228	hie:R2846_0134
ko:K14225	hie:R2846_0512
ko:K14225	hie:R2846_0675
ko:K14225	hie:R2846_0560
ko:K14238	hie:R2846_1623
ko:K14233	hie:R2846_1694
ko:K14236	hie:R2846_1711
ko:K14233	hie:R2846_0254
ko:K14233	hie:R2846_0602
ko:K14233	hie:R2846_0328
ko:K14228	hie:R2846_0511
ko:K14228	hie:R2846_0558
ko:K14228	hie:R2846_0901
ko:K14228	hie:R2846_1108
ko:K14229	hie:R2846_0198
ko:K14229	hie:R2846_0557
ko:K14229	hie:R2846_0510
ko:K14229	hie:R2846_0199
ko:K14232	hie:R2846_0396
ko:K14232	hie:R2846_0524
ko:K14230	hie:R2846_0520
ko:K14230	hie:R2846_0801
ko:K14230	hie:R2846_1387
ko:K14230	hie:R2846_1109
ko:K14221	hie:R2846_0385
ko:K14221	hie:R2846_0501
ko:K14221	hie:R2846_0502
ko:K14218	hie:R2846_0527
ko:K14218	hie:R2846_1604
ko:K14218	hie:R2846_0655
ko:K14218	hie:R2846_0310
ko:K14237	hie:R2846_1048
ko:K14219	hie:R2846_0397
ko:K14219	hie:R2846_1696
ko:K14219	hie:R2846_1695
ko:K14234	hie:R2846_1712
ko:K14234	hie:R2846_1709
ko:K14225	hie:R2846_1710
ko:K14231	hie:R2846_1563
ko:K14220	hie:R2846_1562
ko:K14220	hie:R2846_0774
ko:K14223	hie:R2846_1106
ko:K14223	hie:R2846_1107
ko:K14224	hie:R2846_0382
ko:K14224	hie:R2846_1730
ko:K14224	hie:R2846_0413
ko:K12368	hie:R2846_1475
ko:K01166	hie:R2846_0059
ko:K01985	hie:R2846_0384
ko:K01985	hie:R2846_0415
ko:K01985	hie:R2846_1728
ko:K01985	hie:R2846_1602
ko:K01985	hie:R2846_0529
ko:K01985	hie:R2846_0657
ko:K15600	hie:R2846_0224
ko:K01978	hie:R2846_0717
ko:K14237	hie:R2846_0305
ko:K14237	hie:R2846_0308
ko:K14237	hie:R2846_0306
ko:K14237	hie:R2846_0307
ko:K10094	hie:R2846_1098
ko:K19230	hie:R2846_1122
ko:K01096	hie:R2846_0428
ko:K05789	hie:R2846_1451
ko:K00557	hie:R2846_1480
ko:K00537	hie:R2846_0365
ko:K01347	hie:R2846_1321
ko:K01347	hie:R2846_0355
ko:K00785	hie:R2846_0692
ko:K16915	hie:R2846_1097
ko:K13927	hie:R2846_0626
ko:K07268	hie:R2846_0251
ko:K09810	hie:R2846_1024
ko:K01420	hie:R2846_0902
ko:K07271	hie:R2846_1013
ko:K16868	hie:R2846_0795
ko:K14742	hie:R2846_0190
ko:K01834	hie:R2846_1568
ko:K02008	hie:R2846_1095
ko:K02006	hie:R2846_1094
ko:K07662	hie:R2846_1490
ko:K08316	hie:R2846_1556
ko:K11070	hie:R2846_0822
ko:K03585	hie:R2846_1422
ko:K00123	hie:R2846_0641
ko:K02503	hie:R2846_1348
ko:K10439	hie:R2846_0079
ko:K00884	hie:R2846_0457
ko:K01664	hie:R2846_1171
ko:K03574	hie:R2846_1407
ko:K06218	hie:R2846_1392
ko:K01897	hie:R2846_0188
ko:K03559	hie:R2846_0334
ko:K00951	hie:R2846_0243
ko:K03604	hie:R2846_1113
ko:K01897	hie:R2846_0645
ko:K07271	hie:R2846_1015
ko:K00813	hie:R2846_1093
ko:K17686	hie:R2846_0291
ko:K06518	hie:R2846_0817
ko:K00254	hie:R2846_0884
ko:K11928	hie:R2846_0829
ko:K01658	hie:R2846_0868
ko:K00537	hie:R2846_0343
ko:K05540	hie:R2846_1332
ko:K00018	hie:R2846_1031
ko:K01497	hie:R2846_0427
ko:K13695	hie:R2846_0971
ko:K03772	hie:R2846_0010
ko:K07812	hie:R2846_1693
ko:K06148	hie:R2846_1672
ko:K03719	hie:R2846_0376
ko:K03719	hie:R2846_1069
ko:K17948	hie:R2846_0489
ko:K18138	hie:R2846_1421
ko:K00996	hie:R2846_1445
ko:K21449	hie:R2846_0665
ko:K07090	hie:R2846_1414
ko:K01175	hie:R2846_0446
ko:K03325	hie:R2846_0347
ko:K01766	hie:R2846_0986
ko:K03798	hie:R2846_0990
ko:K02956	hie:R2846_0993
ko:K07741	hie:R2846_0899
ko:K21498	hie:R2846_0778
ko:K18691	hie:R2846_0368
ko:K18829	hie:R2846_0260
ko:K18829	hie:R2846_1361
ko:K18828	hie:R2846_0259
ko:K00526	hie:R2846_0733
ko:K19239	hie:R2846_1123
ko:K02847	hie:R2846_1443
ko:K18850	hie:R2846_0182
ko:K10747	hie:R2846_1161
ko:K18893	hie:R2846_1282
ko:K03746	hie:R2846_1061
ko:K07480	hie:R2846_0338
ko:K03111	hie:R2846_0353
ko:K08363	hie:R2846_1284
ko:K07473	hie:R2846_1620
ko:K03169	hie:R2846_0136
ko:K03646	hie:R2846_0195
ko:K03674	hie:R2846_1007
ko:K03976	hie:R2846_0911
ko:K03526	hie:R2846_0212
ko:K18991	hie:R2846_1281
ko:K00355	hie:R2846_1019
ko:K19226	hie:R2846_1118
ko:K00983	hie:R2846_0799
ko:K02777	hie:R2846_0680
ko:K04772	hie:R2846_0784
ko:K19157	hie:R2846_1619
ko:K01710	hie:R2846_1444
ko:K19228	hie:R2846_1120
ko:K03722	hie:R2846_0191
ko:K07149	hie:R2846_0063
ko:K19416	hie:R2846_0603
ko:K19804	hie:R2846_0750
ko:K19810	hie:R2846_0252
ko:K21636	hie:R2846_0571
ko:K11751	hie:R2846_0432
ko:K16066	hie:R2846_0907
ko:K20074	hie:R2846_0962
ko:K07126	hie:R2846_1038
ko:K02438	hie:R2846_0837
ko:K21029	hie:R2846_0929
ko:K02314	hie:R2846_1050
ko:K00558	hie:R2846_1064
ko:K00558	hie:R2846_1115
ko:K04068	hie:R2846_1187
ko:K06223	hie:R2846_0429
ko:K01520	hie:R2846_1355
ko:K06866	hie:R2846_0630
ko:K00560	hie:R2846_1412
ko:K00287	hie:R2846_1417
ko:K02316	hie:R2846_0053
ko:K00857	hie:R2846_0056
ko:K02335	hie:R2846_1472
ko:K00525	hie:R2846_0734
ko:K21394	hie:R2846_0595
ko:K21395	hie:R2846_0594
ko:K03892	hie:R2846_0342
ko:K21393	hie:R2846_0596
ko:K21470	hie:R2846_0727
ko:K07334	hie:R2846_0777
ko:K10026	hie:R2846_1155
ko:K19591	hie:R2846_0286
ko:K22132	hie:R2846_0518
ko:K22105	hie:R2846_0014
ko:K03595	hie:R2846_0634
ko:K18446	hie:R2846_1071
