ko:K10026	sic:SiL_1387
ko:K02035	sic:SiL_2486
ko:K02033	sic:SiL_2487
ko:K01992	sic:SiL_0308
ko:K01992	sic:SiL_1919
ko:K01992	sic:SiL_2507
ko:K00721	sic:SiL_0802
ko:K00966	sic:SiL_1674
ko:K03856	sic:SiL_1688
ko:K00626	sic:SiL_2528
ko:K02033	sic:SiL_2536
ko:K01990	sic:SiL_2555
ko:K07048	sic:SiL_0299
ko:K01426	sic:SiL_0331
ko:K03386	sic:SiL_0332
ko:K03307	sic:SiL_0337
ko:K10726	sic:SiL_1225
ko:K06963	sic:SiL_1227
ko:K06910	sic:SiL_1233
ko:K02433	sic:SiL_1235
ko:K01990	sic:SiL_2049
ko:K01992	sic:SiL_2050
ko:K01724	sic:SiL_0005
ko:K07491	sic:SiL_0880
ko:K01439	sic:SiL_0895
ko:K01990	sic:SiL_0899
ko:K01992	sic:SiL_0900
ko:K03136	sic:SiL_1724
ko:K04518	sic:SiL_1743
ko:K09685	sic:SiL_1754
ko:K07025	sic:SiL_2616
ko:K01515	sic:SiL_2625
ko:K06928	sic:SiL_2629
ko:K01916	sic:SiL_2630
ko:K03726	sic:SiL_0243
ko:K02050	sic:SiL_0247
ko:K02049	sic:SiL_0248
ko:K03307	sic:SiL_0258
ko:K07457	sic:SiL_0267
ko:K00567	sic:SiL_0270
ko:K00626	sic:SiL_0278
ko:K00059	sic:SiL_0281
ko:K13953	sic:SiL_0282
ko:K00666	sic:SiL_0290
ko:K02433	sic:SiL_1129
ko:K13280	sic:SiL_1164
ko:K00058	sic:SiL_1175
ko:K12589	sic:SiL_1266
ko:K14561	sic:SiL_1268
ko:K03234	sic:SiL_1271
ko:K07025	sic:SiL_1272
ko:K01259	sic:SiL_2095
ko:K00059	sic:SiL_2097
ko:K07503	sic:SiL_0025
ko:K07055	sic:SiL_0039
ko:K09825	sic:SiL_0057
ko:K01478	sic:SiL_0963
ko:K01990	sic:SiL_0966
ko:K01992	sic:SiL_0967
ko:K05966	sic:SiL_1777
ko:K08093	sic:SiL_1785
ko:K01719	sic:SiL_1805
ko:K03232	sic:SiL_1814
ko:K02927	sic:SiL_1820
ko:K13953	sic:SiL_0426
ko:K01596	sic:SiL_0427
ko:K00294	sic:SiL_0430
ko:K02033	sic:SiL_0441
ko:K02033	sic:SiL_0450
ko:K02035	sic:SiL_0451
ko:K09963	sic:SiL_0452
ko:K00939	sic:SiL_1302
ko:K01206	sic:SiL_2150
ko:K02033	sic:SiL_2152
ko:K02035	sic:SiL_2155
ko:K02033	sic:SiL_2160
ko:K02035	sic:SiL_2164
ko:K05989	sic:SiL_2179
ko:K01191	sic:SiL_2200
ko:K07588	sic:SiL_0074
ko:K00059	sic:SiL_0085
ko:K00059	sic:SiL_0099
ko:K03399	sic:SiL_0105
ko:K07114	sic:SiL_1017
ko:K07114	sic:SiL_1020
ko:K01039	sic:SiL_1024
ko:K01784	sic:SiL_1827
ko:K05830	sic:SiL_1832
ko:K07991	sic:SiL_1848
ko:K07744	sic:SiL_1868
ko:K00772	sic:SiL_0131
ko:K05844	sic:SiL_0134
ko:K03718	sic:SiL_0135
ko:K00241	sic:SiL_0148
ko:K03236	sic:SiL_0165
ko:K00626	sic:SiL_0166
ko:K06944	sic:SiL_0172
ko:K01507	sic:SiL_0176
ko:K01679	sic:SiL_1029
ko:K07151	sic:SiL_1050
ko:K11130	sic:SiL_1051
ko:K06883	sic:SiL_1058
ko:K00784	sic:SiL_1061
ko:K15496	sic:SiL_1071
ko:K01885	sic:SiL_1884
ko:K07129	sic:SiL_1890
ko:K07388	sic:SiL_1897
ko:K06990	sic:SiL_1907
ko:K01823	sic:SiL_1910
ko:K13787	sic:SiL_1911
ko:K10197	sic:SiL_2305
ko:K01990	sic:SiL_0457
ko:K00374	sic:SiL_0476
ko:K03709	sic:SiL_1347
ko:K01597	sic:SiL_2212
ko:K00938	sic:SiL_2213
ko:K02035	sic:SiL_2240
ko:K02033	sic:SiL_2241
ko:K08676	sic:SiL_0520
ko:K01990	sic:SiL_0186
ko:K01992	sic:SiL_0187
ko:K01092	sic:SiL_0202
ko:K01848	sic:SiL_0208
ko:K03518	sic:SiL_0216
ko:K03519	sic:SiL_0217
ko:K02303	sic:SiL_0218
ko:K01974	sic:SiL_0227
ko:K00852	sic:SiL_0230
ko:K00389	sic:SiL_1103
ko:K00059	sic:SiL_1109
ko:K06877	sic:SiL_1952
ko:K00852	sic:SiL_1965
ko:K00721	sic:SiL_1979
ko:K07575	sic:SiL_1980
ko:K16933	sic:SiL_1928
ko:K15017	sic:SiL_2637
ko:K01990	sic:SiL_0309
ko:K01990	sic:SiL_1918
ko:K01990	sic:SiL_2506
ko:K10199	sic:SiL_2303
ko:K10112	sic:SiL_2438
ko:K07064	sic:SiL_0383
ko:K10198	sic:SiL_2143
ko:K06930	sic:SiL_0669
ko:K15771	sic:SiL_0939
ko:K15770	sic:SiL_0938
ko:K15772	sic:SiL_0940
ko:K10112	sic:SiL_0941
ko:K10844	sic:SiL_1679
ko:K01739	sic:SiL_0158
ko:K17758	sic:SiL_0066
ko:K17759	sic:SiL_0066
ko:K01658	sic:SiL_1186
ko:K00483	sic:SiL_0742
ko:K15039	sic:SiL_1369
ko:K01964	sic:SiL_0246
ko:K15036	sic:SiL_0244
ko:K15037	sic:SiL_0245
ko:K07577	sic:SiL_1800
ko:K14465	sic:SiL_1519
ko:K00226	sic:SiL_1400
ko:K01187	sic:SiL_2157
ko:K02027	sic:SiL_2439
ko:K14259	sic:SiL_2093
ko:K07579	sic:SiL_2615
ko:K03520	sic:SiL_2608
ko:K07068	sic:SiL_2286
ko:K01533	sic:SiL_2504
ko:K07068	sic:SiL_1462
ko:K02031	sic:SiL_2153
ko:K02032	sic:SiL_2153
ko:K07068	sic:SiL_0289
ko:K02614	sic:SiL_2531
ko:K01485	sic:SiL_2388
ko:K00020	sic:SiL_0501
ko:K07045	sic:SiL_0338
ko:K17884	sic:SiL_1449
ko:K15018	sic:SiL_2010
ko:K09022	sic:SiL_2007
ko:K18021	sic:SiL_2516
ko:K10196	sic:SiL_2145
ko:K10199	sic:SiL_2142
ko:K22585	sic:SiL_1202
ko:K18020	sic:SiL_2514
ko:K18022	sic:SiL_2515
ko:K18125	sic:SiL_2203
ko:K00020	sic:SiL_1110
ko:K15019	sic:SiL_1361
ko:K15863	sic:SiL_1662
ko:K00104	sic:SiL_2058
ko:K00104	sic:SiL_0411
ko:K07068	sic:SiL_0751
ko:K07068	sic:SiL_2527
ko:K01473	sic:SiL_2261
ko:K01473	sic:SiL_0573
ko:K07076	sic:SiL_0947
ko:K07064	sic:SiL_0635
ko:K18125	sic:SiL_2009
ko:K18126	sic:SiL_2016
ko:K02614	sic:SiL_0471
ko:K00008	sic:SiL_1983
ko:K01897	sic:SiL_1623
ko:K06921	sic:SiL_0438
ko:K06921	sic:SiL_0591
ko:K06921	sic:SiL_0770
ko:K07068	sic:SiL_0752
ko:K02031	sic:SiL_0448
ko:K07076	sic:SiL_0782
ko:K02032	sic:SiL_2483
ko:K13048	sic:SiL_0368
ko:K01239	sic:SiL_1491
ko:K01239	sic:SiL_0624
ko:K01090	sic:SiL_1018
ko:K01271	sic:SiL_1629
ko:K01239	sic:SiL_0056
ko:K07076	sic:SiL_0925
ko:K07405	sic:SiL_1096
ko:K07076	sic:SiL_0945
ko:K07076	sic:SiL_0487
ko:K03239	sic:SiL_2223
ko:K15449	sic:SiL_1130
ko:K07064	sic:SiL_2135
ko:K00864	sic:SiL_0304
ko:K03118	sic:SiL_2103
ko:K06921	sic:SiL_0407
ko:K06137	sic:SiL_0421
ko:K07241	sic:SiL_0467
ko:K01907	sic:SiL_0481
ko:K02440	sic:SiL_0535
ko:K00836	sic:SiL_0640
ko:K01480	sic:SiL_0644
ko:K06153	sic:SiL_0677
ko:K01790	sic:SiL_0760
ko:K01790	sic:SiL_0761
ko:K07133	sic:SiL_0952
ko:K07133	sic:SiL_0953
ko:K07332	sic:SiL_0118
ko:K09386	sic:SiL_0214
ko:K18367	sic:SiL_0093
ko:K01007	sic:SiL_1194
ko:K07092	sic:SiL_2127
ko:K16936	sic:SiL_0682
ko:K00681	sic:SiL_1996
ko:K18532	sic:SiL_1532
ko:K19076	sic:SiL_0787
ko:K07466	sic:SiL_0152
ko:K07475	sic:SiL_0387
ko:K18861	sic:SiL_0542
ko:K07012	sic:SiL_0388
ko:K09723	sic:SiL_1226
ko:K02493	sic:SiL_1253
ko:K18859	sic:SiL_0149
ko:K00520	sic:SiL_2462
ko:K00446	sic:SiL_0743
ko:K04794	sic:SiL_1816
ko:K03496	sic:SiL_1936
ko:K01409	sic:SiL_1561
ko:K01872	sic:SiL_0453
ko:K01872	sic:SiL_0495
ko:K08851	sic:SiL_1562
ko:K15450	sic:SiL_1388
ko:K07464	sic:SiL_0394
ko:K07464	sic:SiL_0590
ko:K07464	sic:SiL_1967
ko:K07725	sic:SiL_0502
ko:K19142	sic:SiL_0602
ko:K19121	sic:SiL_0608
ko:K01239	sic:SiL_2147
ko:K09127	sic:SiL_0786
ko:K19142	sic:SiL_0788
ko:K19135	sic:SiL_0490
ko:K19076	sic:SiL_0601
ko:K09127	sic:SiL_0600
ko:K19146	sic:SiL_0386
ko:K01710	sic:SiL_0868
ko:K09951	sic:SiL_0395
ko:K19120	sic:SiL_0607
ko:K19122	sic:SiL_0609
ko:K19074	sic:SiL_0390
ko:K19085	sic:SiL_0397
ko:K19089	sic:SiL_0389
ko:K07725	sic:SiL_0392
ko:K07725	sic:SiL_0610
ko:K01066	sic:SiL_0276
ko:K19412	sic:SiL_1371
ko:K01066	sic:SiL_0298
ko:K07496	sic:SiL_0403
ko:K07496	sic:SiL_2562
ko:K07496	sic:SiL_0881
ko:K07496	sic:SiL_0972
ko:K01785	sic:SiL_2411
ko:K16934	sic:SiL_1927
ko:K16935	sic:SiL_1926
ko:K07068	sic:SiL_2099
ko:K02025	sic:SiL_2437
ko:K02026	sic:SiL_2437
ko:K08176	sic:SiL_2033
ko:K21268	sic:SiL_0133
ko:K19244	sic:SiL_1615
ko:K18828	sic:SiL_0359
ko:K07092	sic:SiL_1635
ko:K07092	sic:SiL_0984
ko:K19590	sic:SiL_0583
ko:K19710	sic:SiL_1741
ko:K19664	sic:SiL_1222
ko:K15016	sic:SiL_0292
ko:K20215	sic:SiL_1133
ko:K00302	sic:SiL_1802
ko:K01214	sic:SiL_0518
ko:K21029	sic:SiL_1692
ko:K00525	sic:SiL_1153
ko:K13075	sic:SiL_0593
ko:K19588	sic:SiL_2094
ko:K07033	sic:SiL_1154
ko:K07087	sic:SiL_2554
ko:K07096	sic:SiL_0643
ko:K02032	sic:SiL_2163
ko:K02032	sic:SiL_2244
ko:K21220	sic:SiL_1929
ko:K04801	sic:SiL_1232
ko:K04802	sic:SiL_1586
ko:K04802	sic:SiL_1594
ko:K02032	sic:SiL_0447
ko:K03465	sic:SiL_1670
ko:K00558	sic:SiL_1725
ko:K03546	sic:SiL_0062
ko:K04799	sic:SiL_1811
ko:K04802	sic:SiL_1057
ko:K07096	sic:SiL_0511
ko:K08194	sic:SiL_2434
ko:K02319	sic:SiL_1893
ko:K02319	sic:SiL_0654
ko:K07097	sic:SiL_0237
ko:K21142	sic:SiL_0179
ko:K02319	sic:SiL_1453
ko:K07096	sic:SiL_0053
ko:K07096	sic:SiL_2431
ko:K07486	sic:SiL_0598
ko:K07486	sic:SiL_1826
ko:K02031	sic:SiL_0443
ko:K21219	sic:SiL_0178
ko:K13798	sic:SiL_1763
ko:K00526	sic:SiL_0280
ko:K02827	sic:SiL_2228
ko:K02828	sic:SiL_2228
ko:K01101	sic:SiL_0145
ko:K06148	sic:SiL_2194
ko:K02031	sic:SiL_2162
ko:K02031	sic:SiL_2243
ko:K02031	sic:SiL_2484
ko:K07045	sic:SiL_2594
ko:K21417	sic:SiL_2377
ko:K21416	sic:SiL_2378
ko:K21567	sic:SiL_0038
ko:K21929	sic:SiL_0084
ko:K21929	sic:SiL_2425
ko:K03564	sic:SiL_2541
ko:K14274	sic:SiL_2447
ko:K14274	sic:SiL_2166
ko:K07108	sic:SiL_1152
ko:K02316	sic:SiL_1894
ko:K06927	sic:SiL_1338
ko:K22206	sic:SiL_1525
ko:K03547	sic:SiL_0063
ko:K22205	sic:SiL_1736
ko:K15634	sic:SiL_0052
ko:K02257	sic:SiL_1359
ko:K19302	sic:SiL_2501
ko:K03795	sic:SiL_1582
ko:K15865	sic:SiL_0167
ko:K22447	sic:SiL_1710
ko:K09759	sic:SiL_1818
ko:K03800	sic:SiL_1042
ko:K22469	sic:SiL_1015
ko:K03389	sic:SiL_0976
ko:K03389	sic:SiL_0980
