ko:K00805	bcer:BCK_00805
ko:K06153	bcer:BCK_21310
ko:K02338	bcer:BCK_21395
ko:K08177	bcer:BCK_21415
ko:K05995	bcer:BCK_25730
ko:K03315	bcer:BCK_25760
ko:K16264	bcer:BCK_25800
ko:K03088	bcer:BCK_25815
ko:K01953	bcer:BCK_25820
ko:K02011	bcer:BCK_25895
ko:K02012	bcer:BCK_25900
ko:K06425	bcer:BCK_25930
ko:K06312	bcer:BCK_26238
ko:K02761	bcer:BCK_04210
ko:K02760	bcer:BCK_04215
ko:K02759	bcer:BCK_04220
ko:K03324	bcer:BCK_04240
ko:K03611	bcer:BCK_04365
ko:K06901	bcer:BCK_04395
ko:K07646	bcer:BCK_04420
ko:K01548	bcer:BCK_04425
ko:K01547	bcer:BCK_04430
ko:K01546	bcer:BCK_04435
ko:K00941	bcer:BCK_04465
ko:K06436	bcer:BCK_07665
ko:K02528	bcer:BCK_07670
ko:K05985	bcer:BCK_07675
ko:K03424	bcer:BCK_07680
ko:K01874	bcer:BCK_07685
ko:K06284	bcer:BCK_07690
ko:K07056	bcer:BCK_07695
ko:K07461	bcer:BCK_07700
ko:K02341	bcer:BCK_07720
ko:K00943	bcer:BCK_07725
ko:K06317	bcer:BCK_07740
ko:K06187	bcer:BCK_07750
ko:K09747	bcer:BCK_07755
ko:K02343	bcer:BCK_07760
ko:K15518	bcer:BCK_07775
ko:K15519	bcer:BCK_07780
ko:K01875	bcer:BCK_07790
ko:K08681	bcer:BCK_07795
ko:K06215	bcer:BCK_07800
ko:K02469	bcer:BCK_07820
ko:K02470	bcer:BCK_07825
ko:K03629	bcer:BCK_07830
ko:K02338	bcer:BCK_07840
ko:K02313	bcer:BCK_07845
ko:K02914	bcer:BCK_07850
ko:K03536	bcer:BCK_07855
ko:K03217	bcer:BCK_07860
ko:K03650	bcer:BCK_07870
ko:K03495	bcer:BCK_07875
ko:K03501	bcer:BCK_07880
ko:K06193	bcer:BCK_10550
ko:K02069	bcer:BCK_10555
ko:K02068	bcer:BCK_10560
ko:K03885	bcer:BCK_10570
ko:K01778	bcer:BCK_10580
ko:K03885	bcer:BCK_10620
ko:K01255	bcer:BCK_10640
ko:K00963	bcer:BCK_10655
ko:K03523	bcer:BCK_10665
ko:K01880	bcer:BCK_10680
ko:K06348	bcer:BCK_10700
ko:K06347	bcer:BCK_10705
ko:K14155	bcer:BCK_10720
ko:K10907	bcer:BCK_10745
ko:K09779	bcer:BCK_10755
ko:K01810	bcer:BCK_10760
ko:K10716	bcer:BCK_10770
ko:K07507	bcer:BCK_10775
ko:K02970	bcer:BCK_13635
ko:K09117	bcer:BCK_13640
ko:K06438	bcer:BCK_13650
ko:K07037	bcer:BCK_13660
ko:K07042	bcer:BCK_13665
ko:K03584	bcer:BCK_13690
ko:K09773	bcer:BCK_13700
ko:K03086	bcer:BCK_13715
ko:K06967	bcer:BCK_13725
ko:K03527	bcer:BCK_13735
ko:K01151	bcer:BCK_13750
ko:K09817	bcer:BCK_13765
ko:K09816	bcer:BCK_13770
ko:K04564	bcer:BCK_13795
ko:K08222	bcer:BCK_13800
ko:K02040	bcer:BCK_13810
ko:K02037	bcer:BCK_13815
ko:K02038	bcer:BCK_13820
ko:K02036	bcer:BCK_13825
ko:K02039	bcer:BCK_13830
ko:K02913	bcer:BCK_13840
ko:K03837	bcer:BCK_18210
ko:K00036	bcer:BCK_18225
ko:K00615	bcer:BCK_18230
ko:K09984	bcer:BCK_18260
ko:K01709	bcer:BCK_18310
ko:K00978	bcer:BCK_18315
ko:K00099	bcer:BCK_18405
ko:K01867	bcer:BCK_18410
ko:K07238	bcer:BCK_22935
ko:K02034	bcer:BCK_22945
ko:K02003	bcer:BCK_22970
ko:K01868	bcer:BCK_22975
ko:K06182	bcer:BCK_22980
ko:K03310	bcer:BCK_23005
ko:K06133	bcer:BCK_23040
ko:K04780	bcer:BCK_23055
ko:K01252	bcer:BCK_23060
ko:K02363	bcer:BCK_23065
ko:K02361	bcer:BCK_23070
ko:K00216	bcer:BCK_23075
ko:K08177	bcer:BCK_23080
ko:K03547	bcer:BCK_23105
ko:K00140	bcer:BCK_23130
ko:K01720	bcer:BCK_23150
ko:K01647	bcer:BCK_23155
ko:K05366	bcer:BCK_23165
ko:K02502	bcer:BCK_01355
ko:K01704	bcer:BCK_01360
ko:K01703	bcer:BCK_01365
ko:K00052	bcer:BCK_01370
ko:K01649	bcer:BCK_01375
ko:K00053	bcer:BCK_01380
ko:K01653	bcer:BCK_01385
ko:K01652	bcer:BCK_01390
ko:K00826	bcer:BCK_01395
ko:K06153	bcer:BCK_01465
ko:K03327	bcer:BCK_01470
ko:K03839	bcer:BCK_01505
ko:K03367	bcer:BCK_01525
ko:K03739	bcer:BCK_01530
ko:K14188	bcer:BCK_01535
ko:K03740	bcer:BCK_01540
ko:K00459	bcer:BCK_01545
ko:K03300	bcer:BCK_05340
ko:K09786	bcer:BCK_05390
ko:K07180	bcer:BCK_05395
ko:K03216	bcer:BCK_05410
ko:K03564	bcer:BCK_05455
ko:K08713	bcer:BCK_05460
ko:K01845	bcer:BCK_05480
ko:K05823	bcer:BCK_15320
ko:K00426	bcer:BCK_15325
ko:K01462	bcer:BCK_15360
ko:K00161	bcer:BCK_15370
ko:K00162	bcer:BCK_15375
ko:K00627	bcer:BCK_15380
ko:K00382	bcer:BCK_15385
ko:K00686	bcer:BCK_15420
ko:K06207	bcer:BCK_15455
ko:K07175	bcer:BCK_15480
ko:K03588	bcer:BCK_15495
ko:K02259	bcer:BCK_15505
ko:K02275	bcer:BCK_15515
ko:K02276	bcer:BCK_15525
ko:K00954	bcer:BCK_15585
ko:K07001	bcer:BCK_15595
ko:K11216	bcer:BCK_20020
ko:K10558	bcer:BCK_20030
ko:K10556	bcer:BCK_20035
ko:K10557	bcer:BCK_20040
ko:K10555	bcer:BCK_20045
ko:K00116	bcer:BCK_20050
ko:K13853	bcer:BCK_20115
ko:K01736	bcer:BCK_20120
ko:K00817	bcer:BCK_20125
ko:K00800	bcer:BCK_20135
ko:K15553	bcer:BCK_20275
ko:K15554	bcer:BCK_20280
ko:K07001	bcer:BCK_24620
ko:K06895	bcer:BCK_24635
ko:K08221	bcer:BCK_24640
ko:K07507	bcer:BCK_24655
ko:K00872	bcer:BCK_24690
ko:K01733	bcer:BCK_24695
ko:K00003	bcer:BCK_24700
ko:K07006	bcer:BCK_24710
ko:K07078	bcer:BCK_24785
ko:K00426	bcer:BCK_24850
ko:K00425	bcer:BCK_24855
ko:K13653	bcer:BCK_02800
ko:K03088	bcer:BCK_02805
ko:K06885	bcer:BCK_02825
ko:K11032	bcer:BCK_02835
ko:K02045	bcer:BCK_02840
ko:K02047	bcer:BCK_02845
ko:K02046	bcer:BCK_02850
ko:K02048	bcer:BCK_02855
ko:K03800	bcer:BCK_02880
ko:K01421	bcer:BCK_02940
ko:K00231	bcer:BCK_02970
ko:K01772	bcer:BCK_02975
ko:K01599	bcer:BCK_02980
ko:K08987	bcer:BCK_03015
ko:K06901	bcer:BCK_06545
ko:K01951	bcer:BCK_06565
ko:K04077	bcer:BCK_06580
ko:K04078	bcer:BCK_06585
ko:K01926	bcer:BCK_06600
ko:K06158	bcer:BCK_06605
ko:K03789	bcer:BCK_06615
ko:K06925	bcer:BCK_06625
ko:K06959	bcer:BCK_06640
ko:K07723	bcer:BCK_06650
ko:K01775	bcer:BCK_06655
ko:K00997	bcer:BCK_06665
ko:K05592	bcer:BCK_06680
ko:K01929	bcer:BCK_06685
ko:K01921	bcer:BCK_06690
ko:K00451	bcer:BCK_06705
ko:K00457	bcer:BCK_06715
ko:K00012	bcer:BCK_09050
ko:K08679	bcer:BCK_09055
ko:K02012	bcer:BCK_09090
ko:K02445	bcer:BCK_09095
ko:K02003	bcer:BCK_09115
ko:K02250	bcer:BCK_09140
ko:K00824	bcer:BCK_09220
ko:K03303	bcer:BCK_09245
ko:K03147	bcer:BCK_09250
ko:K03893	bcer:BCK_09255
ko:K00426	bcer:BCK_09260
ko:K00425	bcer:BCK_09265
ko:K01421	bcer:BCK_09290
ko:K02760	bcer:BCK_09325
ko:K02761	bcer:BCK_09330
ko:K01963	bcer:BCK_12215
ko:K01962	bcer:BCK_12220
ko:K00850	bcer:BCK_12225
ko:K00873	bcer:BCK_12230
ko:K07113	bcer:BCK_12235
ko:K01647	bcer:BCK_12250
ko:K00031	bcer:BCK_12255
ko:K00024	bcer:BCK_12260
ko:K07636	bcer:BCK_12280
ko:K00859	bcer:BCK_12300
ko:K00134	bcer:BCK_12305
ko:K01611	bcer:BCK_12310
ko:K07738	bcer:BCK_12315
ko:K01868	bcer:BCK_12335
ko:K02520	bcer:BCK_12340
ko:K02916	bcer:BCK_12345
ko:K02887	bcer:BCK_12350
ko:K06950	bcer:BCK_12420
ko:K06426	bcer:BCK_12425
ko:K03437	bcer:BCK_12430
ko:K01889	bcer:BCK_12435
ko:K01890	bcer:BCK_12440
ko:K01893	bcer:BCK_12445
ko:K09888	bcer:BCK_12470
ko:K02347	bcer:BCK_12480
ko:K07456	bcer:BCK_12485
ko:K01356	bcer:BCK_16745
ko:K02044	bcer:BCK_16765
ko:K02041	bcer:BCK_16770
ko:K02042	bcer:BCK_16775
ko:K02042	bcer:BCK_16780
ko:K00615	bcer:BCK_16785
ko:K07090	bcer:BCK_16835
ko:K09683	bcer:BCK_16945
ko:K01745	bcer:BCK_16950
ko:K01712	bcer:BCK_16955
ko:K01468	bcer:BCK_16960
ko:K10680	bcer:BCK_16970
ko:K15975	bcer:BCK_16990
ko:K06999	bcer:BCK_16995
ko:K01430	bcer:BCK_17030
ko:K01126	bcer:BCK_21475
ko:K13955	bcer:BCK_21600
ko:K07697	bcer:BCK_21630
ko:K01779	bcer:BCK_21655
ko:K13653	bcer:BCK_26288
ko:K00604	bcer:BCK_26303
ko:K13993	bcer:BCK_26348
ko:K07006	bcer:BCK_26468
ko:K00375	bcer:BCK_26493
ko:K01714	bcer:BCK_26503
ko:K06878	bcer:BCK_26538
ko:K09457	bcer:BCK_01665
ko:K10026	bcer:BCK_01670
ko:K01737	bcer:BCK_01675
ko:K06920	bcer:BCK_01680
ko:K07697	bcer:BCK_01685
ko:K15973	bcer:BCK_01705
ko:K13532	bcer:BCK_01710
ko:K09798	bcer:BCK_01720
ko:K03430	bcer:BCK_01755
ko:K05306	bcer:BCK_01760
ko:K02011	bcer:BCK_01765
ko:K02012	bcer:BCK_01775
ko:K03821	bcer:BCK_01800
ko:K00023	bcer:BCK_01805
ko:K02598	bcer:BCK_01850
ko:K00782	bcer:BCK_01865
ko:K02647	bcer:BCK_01900
ko:K11473	bcer:BCK_01910
ko:K03575	bcer:BCK_05520
ko:K07038	bcer:BCK_05525
ko:K06428	bcer:BCK_05535
ko:K03565	bcer:BCK_05550
ko:K07071	bcer:BCK_05555
ko:K04069	bcer:BCK_05580
ko:K00656	bcer:BCK_05585
ko:K01425	bcer:BCK_05630
ko:K06714	bcer:BCK_05670
ko:K06173	bcer:BCK_05680
ko:K01247	bcer:BCK_05690
ko:K01676	bcer:BCK_05700
ko:K07300	bcer:BCK_05720
ko:K03100	bcer:BCK_05750
ko:K03149	bcer:BCK_04475
ko:K03154	bcer:BCK_04480
ko:K15598	bcer:BCK_04495
ko:K03707	bcer:BCK_04510
ko:K02038	bcer:BCK_04555
ko:K02037	bcer:BCK_04560
ko:K02040	bcer:BCK_04565
ko:K04758	bcer:BCK_04570
ko:K04759	bcer:BCK_04580
ko:K06312	bcer:BCK_04590
ko:K06311	bcer:BCK_04595
ko:K06310	bcer:BCK_04600
ko:K02826	bcer:BCK_04640
ko:K02827	bcer:BCK_04645
ko:K02828	bcer:BCK_04650
ko:K06942	bcer:BCK_07915
ko:K02990	bcer:BCK_07920
ko:K02963	bcer:BCK_07930
ko:K02939	bcer:BCK_07945
ko:K01939	bcer:BCK_07955
ko:K00783	bcer:BCK_07995
ko:K00364	bcer:BCK_08060
ko:K11068	bcer:BCK_08075
ko:K04564	bcer:BCK_08125
ko:K00491	bcer:BCK_08130
ko:K07704	bcer:BCK_08145
ko:K05338	bcer:BCK_08155
ko:K05339	bcer:BCK_08160
ko:K00975	bcer:BCK_10800
ko:K00975	bcer:BCK_10805
ko:K00703	bcer:BCK_10810
ko:K00688	bcer:BCK_10815
ko:K03704	bcer:BCK_10840
ko:K02548	bcer:BCK_10850
ko:K02551	bcer:BCK_10860
ko:K01661	bcer:BCK_10870
ko:K01911	bcer:BCK_10875
ko:K01465	bcer:BCK_10910
ko:K01042	bcer:BCK_10915
ko:K00874	bcer:BCK_10925
ko:K02563	bcer:BCK_13910
ko:K06956	bcer:BCK_13945
ko:K02247	bcer:BCK_13980
ko:K00472	bcer:BCK_13995
ko:K00891	bcer:BCK_14000
ko:K00605	bcer:BCK_14045
ko:K00282	bcer:BCK_14050
ko:K00283	bcer:BCK_14055
ko:K03800	bcer:BCK_14140
ko:K03716	bcer:BCK_14160
ko:K03786	bcer:BCK_14190
ko:K00873	bcer:BCK_18500
ko:K01892	bcer:BCK_18520
ko:K02553	bcer:BCK_18560
ko:K02106	bcer:BCK_18610
ko:K01434	bcer:BCK_18725
ko:K00831	bcer:BCK_18755
ko:K06304	bcer:BCK_23195
ko:K06714	bcer:BCK_23345
ko:K01438	bcer:BCK_23355
ko:K01034	bcer:BCK_23365
ko:K11686	bcer:BCK_23405
ko:K03758	bcer:BCK_23430
ko:K05847	bcer:BCK_23440
ko:K07040	bcer:BCK_15610
ko:K02911	bcer:BCK_15615
ko:K00077	bcer:BCK_15630
ko:K03438	bcer:BCK_15640
ko:K08384	bcer:BCK_15655
ko:K01928	bcer:BCK_15660
ko:K01000	bcer:BCK_15665
ko:K01925	bcer:BCK_15670
ko:K03588	bcer:BCK_15675
ko:K02563	bcer:BCK_15680
ko:K00075	bcer:BCK_15685
ko:K03589	bcer:BCK_15690
ko:K03590	bcer:BCK_15700
ko:K03531	bcer:BCK_15705
ko:K06383	bcer:BCK_15710
ko:K03091	bcer:BCK_15715
ko:K03091	bcer:BCK_15720
ko:K05810	bcer:BCK_15730
ko:K06997	bcer:BCK_15735
ko:K09772	bcer:BCK_15740
ko:K02221	bcer:BCK_15745
ko:K04074	bcer:BCK_15755
ko:K01870	bcer:BCK_15760
ko:K03101	bcer:BCK_15770
ko:K06180	bcer:BCK_15775
ko:K02825	bcer:BCK_15780
ko:K00609	bcer:BCK_15790
ko:K01465	bcer:BCK_15795
ko:K01956	bcer:BCK_15800
ko:K01955	bcer:BCK_15805
ko:K01591	bcer:BCK_15820
ko:K00762	bcer:BCK_15825
ko:K02372	bcer:BCK_20380
ko:K16263	bcer:BCK_20525
ko:K05946	bcer:BCK_20535
ko:K01998	bcer:BCK_24890
ko:K01997	bcer:BCK_24895
ko:K01996	bcer:BCK_24900
ko:K01995	bcer:BCK_24905
ko:K01999	bcer:BCK_24910
ko:K14166	bcer:BCK_24975
ko:K05606	bcer:BCK_25015
ko:K03311	bcer:BCK_25020
ko:K01118	bcer:BCK_25025
ko:K00756	bcer:BCK_25130
ko:K11535	bcer:BCK_25135
ko:K02503	bcer:BCK_03055
ko:K09682	bcer:BCK_03065
ko:K03657	bcer:BCK_03085
ko:K03088	bcer:BCK_03110
ko:K00111	bcer:BCK_03125
ko:K00864	bcer:BCK_03130
ko:K02440	bcer:BCK_03135
ko:K15975	bcer:BCK_03165
ko:K15975	bcer:BCK_03170
ko:K03407	bcer:BCK_03260
ko:K03594	bcer:BCK_03275
ko:K02034	bcer:BCK_06765
ko:K03424	bcer:BCK_06825
ko:K00655	bcer:BCK_06865
ko:K07219	bcer:BCK_06905
ko:K02020	bcer:BCK_06910
ko:K02018	bcer:BCK_06915
ko:K05340	bcer:BCK_06920
ko:K03811	bcer:BCK_06925
ko:K00286	bcer:BCK_06935
ko:K15580	bcer:BCK_06950
ko:K15580	bcer:BCK_06975
ko:K02759	bcer:BCK_09335
ko:K02760	bcer:BCK_09340
ko:K02761	bcer:BCK_09345
ko:K02759	bcer:BCK_09350
ko:K07240	bcer:BCK_09365
ko:K00012	bcer:BCK_09390
ko:K03704	bcer:BCK_09440
ko:K05808	bcer:BCK_09445
ko:K03070	bcer:BCK_09450
ko:K09812	bcer:BCK_09470
ko:K09811	bcer:BCK_09475
ko:K03797	bcer:BCK_09480
ko:K03702	bcer:BCK_09555
ko:K03701	bcer:BCK_09560
ko:K08972	bcer:BCK_09575
ko:K13292	bcer:BCK_09585
ko:K06019	bcer:BCK_09590
ko:K00384	bcer:BCK_09605
ko:K06958	bcer:BCK_09620
ko:K06182	bcer:BCK_12495
ko:K03311	bcer:BCK_12500
ko:K02016	bcer:BCK_12515
ko:K02015	bcer:BCK_12520
ko:K02013	bcer:BCK_12525
ko:K08600	bcer:BCK_12530
ko:K06969	bcer:BCK_12540
ko:K13770	bcer:BCK_12605
ko:K13767	bcer:BCK_12610
ko:K03521	bcer:BCK_12615
ko:K03522	bcer:BCK_12620
ko:K03671	bcer:BCK_12625
ko:K03703	bcer:BCK_12630
ko:K00239	bcer:BCK_12645
ko:K00240	bcer:BCK_12650
ko:K07107	bcer:BCK_12655
ko:K02556	bcer:BCK_12665
ko:K02557	bcer:BCK_12670
ko:K06188	bcer:BCK_12695
ko:K01994	bcer:BCK_12725
ko:K01776	bcer:BCK_12760
ko:K00989	bcer:BCK_12770
ko:K01429	bcer:BCK_17035
ko:K01428	bcer:BCK_17040
ko:K03187	bcer:BCK_17045
ko:K03188	bcer:BCK_17050
ko:K03189	bcer:BCK_17055
ko:K03190	bcer:BCK_17060
ko:K07241	bcer:BCK_17070
ko:K03523	bcer:BCK_17110
ko:K06335	bcer:BCK_17150
ko:K06433	bcer:BCK_17155
ko:K06432	bcer:BCK_17170
ko:K01681	bcer:BCK_17175
ko:K06431	bcer:BCK_17205
ko:K06434	bcer:BCK_17210
ko:K06306	bcer:BCK_17215
ko:K07107	bcer:BCK_17220
ko:K08591	bcer:BCK_17230
ko:K02622	bcer:BCK_17260
ko:K02621	bcer:BCK_17265
ko:K03088	bcer:BCK_17305
ko:K01921	bcer:BCK_21790
ko:K00003	bcer:BCK_21800
ko:K01449	bcer:BCK_21865
ko:K04566	bcer:BCK_21870
ko:K01928	bcer:BCK_21885
ko:K08602	bcer:BCK_21930
ko:K03273	bcer:BCK_26678
ko:K02283	bcer:BCK_26858
ko:K02279	bcer:BCK_26868
ko:K02829	bcer:BCK_04655
ko:K03311	bcer:BCK_04705
ko:K03305	bcer:BCK_04710
ko:K06153	bcer:BCK_04740
ko:K01114	bcer:BCK_04770
ko:K10441	bcer:BCK_04810
ko:K06726	bcer:BCK_04815
ko:K02529	bcer:BCK_04825
ko:K02445	bcer:BCK_04840
ko:K02034	bcer:BCK_04860
ko:K03088	bcer:BCK_04925
ko:K12267	bcer:BCK_08170
ko:K05946	bcer:BCK_08260
ko:K06180	bcer:BCK_01925
ko:K00164	bcer:BCK_02050
ko:K00658	bcer:BCK_02055
ko:K09136	bcer:BCK_02065
ko:K03303	bcer:BCK_02120
ko:K01695	bcer:BCK_02130
ko:K01696	bcer:BCK_02135
ko:K01817	bcer:BCK_02140
ko:K01609	bcer:BCK_02145
ko:K00766	bcer:BCK_02150
ko:K01657	bcer:BCK_02160
ko:K01534	bcer:BCK_05770
ko:K07058	bcer:BCK_05780
ko:K05795	bcer:BCK_05820
ko:K05795	bcer:BCK_05825
ko:K01881	bcer:BCK_05845
ko:K07791	bcer:BCK_05945
ko:K00788	bcer:BCK_05955
ko:K00878	bcer:BCK_05960
ko:K01421	bcer:BCK_05970
ko:K00926	bcer:BCK_06005
ko:K03758	bcer:BCK_06010
ko:K00611	bcer:BCK_06015
ko:K03402	bcer:BCK_06025
ko:K03637	bcer:BCK_11565
ko:K03750	bcer:BCK_11570
ko:K03753	bcer:BCK_11575
ko:K03636	bcer:BCK_11585
ko:K05340	bcer:BCK_11595
ko:K09777	bcer:BCK_15885
ko:K00942	bcer:BCK_15890
ko:K03060	bcer:BCK_15895
ko:K13038	bcer:BCK_15900
ko:K04066	bcer:BCK_15905
ko:K01462	bcer:BCK_15910
ko:K00604	bcer:BCK_15915
ko:K03500	bcer:BCK_15920
ko:K06941	bcer:BCK_15925
ko:K06949	bcer:BCK_15940
ko:K01783	bcer:BCK_15945
ko:K02902	bcer:BCK_15960
ko:K03655	bcer:BCK_15975
ko:K03621	bcer:BCK_15985
ko:K00645	bcer:BCK_15990
ko:K02078	bcer:BCK_16000
ko:K03685	bcer:BCK_16005
ko:K03529	bcer:BCK_16010
ko:K03110	bcer:BCK_16015
ko:K03106	bcer:BCK_16025
ko:K02959	bcer:BCK_16030
ko:K06960	bcer:BCK_16035
ko:K02860	bcer:BCK_16040
ko:K00554	bcer:BCK_16045
ko:K02884	bcer:BCK_16050
ko:K03100	bcer:BCK_16055
ko:K14540	bcer:BCK_16060
ko:K03470	bcer:BCK_16065
ko:K01903	bcer:BCK_16070
ko:K01902	bcer:BCK_16075
ko:K04096	bcer:BCK_16080
ko:K03168	bcer:BCK_16085
ko:K04094	bcer:BCK_16090
ko:K03733	bcer:BCK_16095
ko:K01419	bcer:BCK_16100
ko:K03667	bcer:BCK_16105
ko:K03706	bcer:BCK_16110
ko:K02967	bcer:BCK_16115
ko:K02357	bcer:BCK_16120
ko:K09903	bcer:BCK_16125
ko:K02838	bcer:BCK_16130
ko:K00806	bcer:BCK_16135
ko:K00981	bcer:BCK_16140
ko:K00099	bcer:BCK_16145
ko:K11749	bcer:BCK_16150
ko:K01881	bcer:BCK_16155
ko:K03763	bcer:BCK_16160
ko:K15580	bcer:BCK_20630
ko:K03740	bcer:BCK_20640
ko:K01714	bcer:BCK_20710
ko:K08369	bcer:BCK_08265
ko:K06200	bcer:BCK_08275
ko:K00868	bcer:BCK_08290
ko:K01118	bcer:BCK_08305
ko:K01740	bcer:BCK_08325
ko:K00651	bcer:BCK_08330
ko:K00003	bcer:BCK_08335
ko:K03648	bcer:BCK_08365
ko:K10716	bcer:BCK_08385
ko:K06305	bcer:BCK_08400
ko:K01449	bcer:BCK_08405
ko:K06314	bcer:BCK_08430
ko:K02015	bcer:BCK_08440
ko:K13653	bcer:BCK_11000
ko:K02003	bcer:BCK_11005
ko:K00760	bcer:BCK_11045
ko:K04758	bcer:BCK_11085
ko:K04759	bcer:BCK_11090
ko:K03969	bcer:BCK_11115
ko:K00426	bcer:BCK_11160
ko:K00425	bcer:BCK_11165
ko:K01673	bcer:BCK_11170
ko:K08998	bcer:BCK_11175
ko:K07173	bcer:BCK_11180
ko:K02356	bcer:BCK_14200
ko:K06390	bcer:BCK_14220
ko:K06391	bcer:BCK_14225
ko:K06392	bcer:BCK_14230
ko:K06393	bcer:BCK_14235
ko:K06394	bcer:BCK_14240
ko:K06395	bcer:BCK_14245
ko:K06396	bcer:BCK_14250
ko:K06397	bcer:BCK_14255
ko:K02160	bcer:BCK_14260
ko:K01961	bcer:BCK_14265
ko:K03625	bcer:BCK_14275
ko:K01491	bcer:BCK_14280
ko:K03601	bcer:BCK_14285
ko:K03602	bcer:BCK_14290
ko:K13789	bcer:BCK_14295
ko:K01662	bcer:BCK_14300
ko:K06442	bcer:BCK_14305
ko:K03402	bcer:BCK_14310
ko:K03631	bcer:BCK_14315
ko:K06399	bcer:BCK_14320
ko:K07699	bcer:BCK_14325
ko:K01126	bcer:BCK_14335
ko:K00263	bcer:BCK_14355
ko:K00382	bcer:BCK_14365
ko:K00166	bcer:BCK_14370
ko:K00167	bcer:BCK_14375
ko:K09699	bcer:BCK_14380
ko:K03790	bcer:BCK_14450
ko:K02346	bcer:BCK_14465
ko:K07507	bcer:BCK_14470
ko:K01531	bcer:BCK_14475
ko:K00782	bcer:BCK_18810
ko:K07734	bcer:BCK_18825
ko:K02003	bcer:BCK_18875
ko:K03603	bcer:BCK_19080
ko:K03152	bcer:BCK_23485
ko:K13993	bcer:BCK_23530
ko:K00824	bcer:BCK_23555
ko:K02016	bcer:BCK_23560
ko:K01953	bcer:BCK_23575
ko:K07152	bcer:BCK_23585
ko:K03118	bcer:BCK_23605
ko:K03116	bcer:BCK_23610
ko:K11068	bcer:BCK_23615
ko:K00655	bcer:BCK_23620
ko:K01118	bcer:BCK_23625
ko:K01091	bcer:BCK_23665
ko:K01779	bcer:BCK_23705
ko:K01091	bcer:BCK_23720
ko:K09962	bcer:BCK_23730
ko:K03308	bcer:BCK_23740
ko:K03310	bcer:BCK_20720
ko:K01448	bcer:BCK_20775
ko:K03654	bcer:BCK_20805
ko:K03657	bcer:BCK_20825
ko:K03823	bcer:BCK_20845
ko:K05346	bcer:BCK_25145
ko:K11034	bcer:BCK_25170
ko:K11034	bcer:BCK_25175
ko:K00077	bcer:BCK_25200
ko:K07146	bcer:BCK_25210
ko:K03322	bcer:BCK_25215
ko:K15580	bcer:BCK_25245
ko:K12960	bcer:BCK_25260
ko:K07150	bcer:BCK_25310
ko:K07282	bcer:BCK_25315
ko:K01754	bcer:BCK_25320
ko:K01687	bcer:BCK_25325
ko:K00053	bcer:BCK_25330
ko:K01653	bcer:BCK_25335
ko:K01652	bcer:BCK_25340
ko:K00826	bcer:BCK_25345
ko:K03308	bcer:BCK_25395
ko:K01738	bcer:BCK_25415
ko:K08223	bcer:BCK_25420
ko:K01223	bcer:BCK_03450
ko:K07010	bcer:BCK_03535
ko:K07090	bcer:BCK_03550
ko:K07552	bcer:BCK_07010
ko:K00820	bcer:BCK_07080
ko:K03431	bcer:BCK_07090
ko:K01476	bcer:BCK_07105
ko:K00865	bcer:BCK_07110
ko:K06349	bcer:BCK_07125
ko:K06294	bcer:BCK_07130
ko:K01448	bcer:BCK_07140
ko:K02996	bcer:BCK_07150
ko:K02871	bcer:BCK_07155
ko:K06173	bcer:BCK_07160
ko:K02879	bcer:BCK_07180
ko:K03040	bcer:BCK_07185
ko:K02948	bcer:BCK_07190
ko:K02952	bcer:BCK_07195
ko:K02919	bcer:BCK_07200
ko:K02518	bcer:BCK_07205
ko:K01265	bcer:BCK_07210
ko:K11184	bcer:BCK_09635
ko:K01358	bcer:BCK_09645
ko:K06407	bcer:BCK_09660
ko:K06406	bcer:BCK_09665
ko:K06405	bcer:BCK_09670
ko:K03092	bcer:BCK_09690
ko:K05311	bcer:BCK_09700
ko:K00134	bcer:BCK_09705
ko:K00927	bcer:BCK_09710
ko:K01803	bcer:BCK_09715
ko:K15633	bcer:BCK_09720
ko:K01689	bcer:BCK_09725
ko:K03075	bcer:BCK_09745
ko:K03928	bcer:BCK_09750
ko:K12573	bcer:BCK_09755
ko:K03664	bcer:BCK_09760
ko:K07148	bcer:BCK_09770
ko:K02003	bcer:BCK_09800
ko:K02016	bcer:BCK_09835
ko:K02015	bcer:BCK_09840
ko:K02015	bcer:BCK_09845
ko:K02013	bcer:BCK_09850
ko:K13256	bcer:BCK_09860
ko:K06199	bcer:BCK_09880
ko:K06199	bcer:BCK_09885
ko:K00075	bcer:BCK_09905
ko:K01866	bcer:BCK_09910
ko:K03885	bcer:BCK_09915
ko:K07095	bcer:BCK_12780
ko:K03545	bcer:BCK_12830
ko:K18682	bcer:BCK_16350
ko:K16785	bcer:BCK_21640
ko:K16654	bcer:BCK_02095
ko:K00575	bcer:BCK_00255
ko:K03469	bcer:BCK_00445
ko:K03469	bcer:BCK_00460
ko:K01011	bcer:BCK_00500
ko:K03700	bcer:BCK_00625
ko:K02086	bcer:BCK_00645
ko:K00974	bcer:BCK_00695
ko:K03886	bcer:BCK_00765
ko:K11618	bcer:BCK_01180
ko:K11617	bcer:BCK_01185
ko:K00366	bcer:BCK_01255
ko:K01523	bcer:BCK_01315
ko:K01496	bcer:BCK_01320
ko:K00027	bcer:BCK_05245
ko:K03406	bcer:BCK_05265
ko:K05815	bcer:BCK_05300
ko:K05814	bcer:BCK_05305
