ko:K19079	saur:SABB_00708
ko:K03544	saur:SABB_01802
ko:K03545	saur:SABB_01803
ko:K02887	saur:SABB_01806
ko:K02916	saur:SABB_05527
ko:K02520	saur:SABB_01807
ko:K11733	saur:SABB_01808
ko:K01868	saur:SABB_01809
ko:K11144	saur:SABB_01810
ko:K03346	saur:SABB_01811
ko:K07738	saur:SABB_01812
ko:K00134	saur:SABB_01813
ko:K00859	saur:SABB_01814
ko:K10563	saur:SABB_01815
ko:K07636	saur:SABB_04830
ko:K07658	saur:SABB_01819
ko:K00031	saur:SABB_01820
ko:K01647	saur:SABB_01821
ko:K11737	saur:SABB_01822
ko:K00873	saur:SABB_01824
ko:K00850	saur:SABB_01825
ko:K01962	saur:SABB_01826
ko:K01963	saur:SABB_01827
ko:K00027	saur:SABB_01828
ko:K02337	saur:SABB_01829
ko:K00259	saur:SABB_01835
ko:K00925	saur:SABB_01837
ko:K11065	saur:SABB_01839
ko:K07090	saur:SABB_01840
ko:K03151	saur:SABB_01841
ko:K04487	saur:SABB_01842
ko:K06286	saur:SABB_01843
ko:K02986	saur:SABB_01845
ko:K01126	saur:SABB_01846
ko:K07052	saur:SABB_01904
ko:K00616	saur:SABB_01905
ko:K06199	saur:SABB_01907
ko:K06199	saur:SABB_01908
ko:K00789	saur:SABB_01912
ko:K01610	saur:SABB_01913
ko:K08998	saur:SABB_03607
ko:K02549	saur:SABB_01918
ko:K01911	saur:SABB_01919
ko:K01154	saur:SABB_01930
ko:K03427	saur:SABB_05336
ko:K09825	saur:SABB_02287
ko:K03564	saur:SABB_02289
ko:K01845	saur:SABB_02290
ko:K11085	saur:SABB_02292
ko:K07586	saur:SABB_02293
ko:K03575	saur:SABB_02294
ko:K07038	saur:SABB_02295
ko:K09693	saur:SABB_02297
ko:K03565	saur:SABB_02299
ko:K05520	saur:SABB_02301
ko:K01104	saur:SABB_02306
ko:K07058	saur:SABB_02308
ko:K07694	saur:SABB_03965
ko:K07681	saur:SABB_02310
ko:K01265	saur:SABB_02313
ko:K07009	saur:SABB_03531
ko:K02217	saur:SABB_02318
ko:K02342	saur:SABB_02319
ko:K02346	saur:SABB_02320
ko:K03215	saur:SABB_02322
ko:K01114	saur:SABB_02524
ko:K01439	saur:SABB_04265
ko:K04077	saur:SABB_02516
ko:K04078	saur:SABB_02515
ko:K07052	saur:SABB_02514
ko:K07078	saur:SABB_02512
ko:K00756	saur:SABB_02461
ko:K01619	saur:SABB_02462
ko:K03784	saur:SABB_02463
ko:K04047	saur:SABB_02464
ko:K01809	saur:SABB_04506
ko:K16264	saur:SABB_03258
ko:K02013	saur:SABB_02475
ko:K00820	saur:SABB_04165
ko:K02799	saur:SABB_02477
ko:K02800	saur:SABB_02477
ko:K02798	saur:SABB_02479
ko:K00009	saur:SABB_02480
ko:K03431	saur:SABB_02482
ko:K01476	saur:SABB_02485
ko:K03593	saur:SABB_01496
ko:K11068	saur:SABB_01492
ko:K07038	saur:SABB_01490
ko:K02015	saur:SABB_01487
ko:K02015	saur:SABB_03039
ko:K02016	saur:SABB_03038
ko:K01429	saur:SABB_01383
ko:K01428	saur:SABB_01382
ko:K03187	saur:SABB_01381
ko:K03188	saur:SABB_01380
ko:K03189	saur:SABB_01379
ko:K03190	saur:SABB_01378
ko:K03315	saur:SABB_02678
ko:K09940	saur:SABB_01370
ko:K00123	saur:SABB_03019
ko:K07052	saur:SABB_01359
ko:K03453	saur:SABB_03424
ko:K02749	saur:SABB_01351
ko:K02750	saur:SABB_01351
ko:K03481	saur:SABB_01350
ko:K01468	saur:SABB_01344
ko:K01712	saur:SABB_01343
ko:K11210	saur:SABB_01341
ko:K01479	saur:SABB_01340
ko:K01807	saur:SABB_01338
ko:K01785	saur:SABB_01336
ko:K09771	saur:SABB_01335
ko:K01992	saur:SABB_01334
ko:K01990	saur:SABB_01333
ko:K11032	saur:SABB_00339
ko:K14200	saur:SABB_00342
ko:K07095	saur:SABB_00346
ko:K02428	saur:SABB_00347
ko:K01776	saur:SABB_00348
ko:K00240	saur:SABB_00349
ko:K00239	saur:SABB_00350
ko:K00241	saur:SABB_00351
ko:K03703	saur:SABB_05209
ko:K03671	saur:SABB_02829
ko:K07456	saur:SABB_00354
ko:K02347	saur:SABB_00355
ko:K09888	saur:SABB_00357
ko:K03471	saur:SABB_00358
ko:K01890	saur:SABB_00359
ko:K01889	saur:SABB_00360
ko:K03437	saur:SABB_00361
ko:K07145	saur:SABB_00362
ko:K08600	saur:SABB_02601
ko:K02015	saur:SABB_00364
ko:K02016	saur:SABB_04955
ko:K14193	saur:SABB_00368
ko:K06967	saur:SABB_00480
ko:K03086	saur:SABB_00481
ko:K09773	saur:SABB_00483
ko:K01880	saur:SABB_00485
ko:K03584	saur:SABB_00486
ko:K01489	saur:SABB_00488
ko:K07042	saur:SABB_00490
ko:K02970	saur:SABB_05522
ko:K09761	saur:SABB_00496
ko:K02687	saur:SABB_00497
ko:K03686	saur:SABB_00498
ko:K04043	saur:SABB_02612
ko:K03687	saur:SABB_00500
ko:K03705	saur:SABB_00501
ko:K03596	saur:SABB_00503
ko:K02968	saur:SABB_02856
ko:K02340	saur:SABB_00505
ko:K02238	saur:SABB_00506
ko:K02237	saur:SABB_00508
ko:K09710	saur:SABB_00511
ko:K07574	saur:SABB_00514
ko:K00014	saur:SABB_03336
ko:K06948	saur:SABB_00516
ko:K07015	saur:SABB_02859
ko:K01243	saur:SABB_03802
ko:K07160	saur:SABB_00523
ko:K01961	saur:SABB_00524
ko:K02160	saur:SABB_00525
ko:K03624	saur:SABB_00528
ko:K00876	saur:SABB_00529
ko:K08303	saur:SABB_00530
ko:K00058	saur:SABB_01849
ko:K02803	saur:SABB_01851
ko:K02804	saur:SABB_01851
ko:K00655	saur:SABB_01852
ko:K01866	saur:SABB_01854
ko:K12551	saur:SABB_01855
ko:K01938	saur:SABB_01857
ko:K01895	saur:SABB_01858
ko:K04766	saur:SABB_01859
ko:K04768	saur:SABB_01860
ko:K02529	saur:SABB_01861
ko:K13853	saur:SABB_01862
ko:K01924	saur:SABB_01865
ko:K03466	saur:SABB_01866
ko:K06878	saur:SABB_01867
ko:K01261	saur:SABB_01870
ko:K03439	saur:SABB_01873
ko:K00824	saur:SABB_01875
ko:K01439	saur:SABB_01876
ko:K06183	saur:SABB_01878
ko:K07007	saur:SABB_01880
ko:K01869	saur:SABB_01883
ko:K07139	saur:SABB_01885
ko:K00318	saur:SABB_01891
ko:K00794	saur:SABB_01892
ko:K14652	saur:SABB_05223
ko:K00793	saur:SABB_01894
ko:K11752	saur:SABB_01895
ko:K03893	saur:SABB_01897
ko:K07002	saur:SABB_01950
ko:K00231	saur:SABB_03705
ko:K01772	saur:SABB_01952
ko:K01599	saur:SABB_01953
ko:K01992	saur:SABB_01955
ko:K01990	saur:SABB_01956
ko:K02503	saur:SABB_01957
ko:K07533	saur:SABB_01960
ko:K03698	saur:SABB_03147
ko:K06180	saur:SABB_01969
ko:K01679	saur:SABB_01970
ko:K03216	saur:SABB_01973
ko:K02028	saur:SABB_01975
ko:K02029	saur:SABB_03150
ko:K02030	saur:SABB_03150
ko:K07035	saur:SABB_01977
ko:K02434	saur:SABB_03532
ko:K02433	saur:SABB_02325
ko:K02435	saur:SABB_02326
ko:K11928	saur:SABB_02327
ko:K01972	saur:SABB_02329
ko:K03657	saur:SABB_02330
ko:K07094	saur:SABB_02331
ko:K01756	saur:SABB_02333
ko:K08258	saur:SABB_02334
ko:K01916	saur:SABB_02337
ko:K00763	saur:SABB_02338
ko:K00491	saur:SABB_02339
ko:K04518	saur:SABB_02340
ko:K14445	saur:SABB_02341
ko:K15986	saur:SABB_02344
ko:K00128	saur:SABB_02345
ko:K01992	saur:SABB_02353
ko:K01990	saur:SABB_02354
ko:K01990	saur:SABB_02356
ko:K07979	saur:SABB_03881
ko:K07813	saur:SABB_02510
ko:K07800	saur:SABB_05516
ko:K07706	saur:SABB_03265
ko:K07707	saur:SABB_03264
ko:K00847	saur:SABB_02507
ko:K01193	saur:SABB_02506
ko:K03484	saur:SABB_02505
ko:K03320	saur:SABB_02761
ko:K07112	saur:SABB_02502
ko:K01926	saur:SABB_02501
ko:K06158	saur:SABB_02500
ko:K01409	saur:SABB_02498
ko:K03789	saur:SABB_02497
ko:K06925	saur:SABB_02495
ko:K01687	saur:SABB_03556
ko:K01652	saur:SABB_02493
ko:K01653	saur:SABB_02492
ko:K00053	saur:SABB_02491
ko:K01649	saur:SABB_02490
ko:K00052	saur:SABB_02489
ko:K01703	saur:SABB_02488
ko:K01704	saur:SABB_02487
ko:K01754	saur:SABB_02486
ko:K03095	saur:SABB_02392
ko:K06959	saur:SABB_02393
ko:K03090	saur:SABB_02394
ko:K04757	saur:SABB_02395
ko:K07315	saur:SABB_02397
ko:K01775	saur:SABB_03240
ko:K00997	saur:SABB_02400
ko:K09167	saur:SABB_03241
ko:K08981	saur:SABB_02402
ko:K01548	saur:SABB_03242
ko:K01547	saur:SABB_02405
ko:K01546	saur:SABB_03243
ko:K07646	saur:SABB_02407
ko:K07667	saur:SABB_02408
ko:K01220	saur:SABB_01471
ko:K02787	saur:SABB_03032
ko:K02788	saur:SABB_03032
ko:K02786	saur:SABB_01469
ko:K01635	saur:SABB_01468
ko:K00917	saur:SABB_01467
ko:K01819	saur:SABB_01466
ko:K01819	saur:SABB_01465
ko:K02530	saur:SABB_01464
ko:K12410	saur:SABB_01463
ko:K01727	saur:SABB_04270
ko:K01575	saur:SABB_01455
ko:K01652	saur:SABB_01454
ko:K02996	saur:SABB_01448
ko:K02871	saur:SABB_01447
ko:K06173	saur:SABB_01446
ko:K16785	saur:SABB_01445
ko:K16787	saur:SABB_05410
ko:K16786	saur:SABB_01443
ko:K02879	saur:SABB_01442
ko:K03040	saur:SABB_01441
ko:K02948	saur:SABB_01440
ko:K02952	saur:SABB_01439
ko:K02919	saur:SABB_05201
ko:K02518	saur:SABB_01438
ko:K00939	saur:SABB_05418
ko:K03076	saur:SABB_03434
ko:K02876	saur:SABB_01435
ko:K02907	saur:SABB_05200
ko:K02988	saur:SABB_01434
ko:K02881	saur:SABB_01433
ko:K03652	saur:SABB_01331
ko:K03312	saur:SABB_01330
ko:K01823	saur:SABB_01329
ko:K03284	saur:SABB_01328
ko:K07107	saur:SABB_01327
ko:K07552	saur:SABB_01320
ko:K09814	saur:SABB_01314
ko:K09813	saur:SABB_02675
ko:K00116	saur:SABB_01308
ko:K03303	saur:SABB_01307
ko:K02809	saur:SABB_01296
ko:K02810	saur:SABB_01296
ko:K11102	saur:SABB_03418
ko:K10850	saur:SABB_04645
ko:K07696	saur:SABB_01284
ko:K07683	saur:SABB_01283
ko:K10851	saur:SABB_01282
ko:K00374	saur:SABB_01281
ko:K00373	saur:SABB_03416
ko:K05846	saur:SABB_01229
ko:K05847	saur:SABB_01228
ko:K03929	saur:SABB_01225
ko:K02069	saur:SABB_01223
ko:K02068	saur:SABB_01222
ko:K10824	saur:SABB_01214
ko:K15587	saur:SABB_01213
ko:K15586	saur:SABB_01212
ko:K15585	saur:SABB_01211
ko:K15584	saur:SABB_01210
ko:K12942	saur:SABB_01204
ko:K03574	saur:SABB_01194
ko:K01835	saur:SABB_01193
ko:K00963	saur:SABB_01184
ko:K13732	saur:SABB_04295
ko:K17686	saur:SABB_01127
ko:K07213	saur:SABB_01126
ko:K03778	saur:SABB_01125
ko:K10209	saur:SABB_01123
ko:K10208	saur:SABB_03587
ko:K10211	saur:SABB_02662
ko:K10210	saur:SABB_01120
ko:K10212	saur:SABB_01119
ko:K07035	saur:SABB_02956
ko:K07032	saur:SABB_01111
ko:K07045	saur:SABB_02660
ko:K00226	saur:SABB_02002
ko:K07241	saur:SABB_02104
ko:K11631	saur:SABB_02107
ko:K11632	saur:SABB_02108
ko:K03704	saur:SABB_02113
ko:K03501	saur:SABB_02118
ko:K03495	saur:SABB_02119
ko:K03650	saur:SABB_02120
ko:K03536	saur:SABB_02121
ko:K02914	saur:SABB_05515
ko:K01929	saur:SABB_02410
ko:K01921	saur:SABB_02411
ko:K05837	saur:SABB_02412
ko:K06131	saur:SABB_02414
ko:K06950	saur:SABB_03249
ko:K03217	saur:SABB_02416
ko:K00788	saur:SABB_02755
ko:K00878	saur:SABB_02418
ko:K00941	saur:SABB_02419
ko:K03707	saur:SABB_02420
ko:K02372	saur:SABB_02424
ko:K00790	saur:SABB_02425
ko:K02114	saur:SABB_02427
ko:K02112	saur:SABB_02428
ko:K02115	saur:SABB_02429
ko:K02111	saur:SABB_02430
ko:K02113	saur:SABB_02431
ko:K02109	saur:SABB_02432
ko:K02110	saur:SABB_02433
ko:K02108	saur:SABB_03252
ko:K02116	saur:SABB_02435
ko:K01791	saur:SABB_02436
ko:K00761	saur:SABB_02437
ko:K00600	saur:SABB_02438
ko:K01104	saur:SABB_02440
ko:K07566	saur:SABB_02441
ko:K02493	saur:SABB_05021
ko:K02835	saur:SABB_02443
ko:K02909	saur:SABB_02445
ko:K03628	saur:SABB_02446
ko:K00128	saur:SABB_02447
ko:K00790	saur:SABB_02449
ko:K01624	saur:SABB_02756
ko:K01937	saur:SABB_02452
ko:K03048	saur:SABB_02453
ko:K09680	saur:SABB_02455
ko:K07173	saur:SABB_02459
ko:K02933	saur:SABB_01432
ko:K02994	saur:SABB_01431
ko:K02954	saur:SABB_05199
ko:K02931	saur:SABB_01430
ko:K02895	saur:SABB_01429
ko:K02874	saur:SABB_01428
ko:K02961	saur:SABB_01427
ko:K02904	saur:SABB_01426
ko:K02878	saur:SABB_01425
ko:K02982	saur:SABB_01424
ko:K02890	saur:SABB_01423
ko:K02965	saur:SABB_01422
ko:K02886	saur:SABB_01421
ko:K02892	saur:SABB_01420
ko:K02926	saur:SABB_01419
ko:K02906	saur:SABB_03028
ko:K02946	saur:SABB_01417
ko:K06901	saur:SABB_01415
ko:K05340	saur:SABB_01412
ko:K07088	saur:SABB_01411
ko:K11693	saur:SABB_01408
ko:K03639	saur:SABB_03850
ko:K03752	saur:SABB_01402
ko:K03636	saur:SABB_01401
ko:K03635	saur:SABB_01400
ko:K03753	saur:SABB_01399
ko:K03750	saur:SABB_01398
ko:K03637	saur:SABB_01397
ko:K03638	saur:SABB_01396
ko:K02017	saur:SABB_01394
ko:K02018	saur:SABB_01393
ko:K02020	saur:SABB_01392
ko:K02379	saur:SABB_01391
ko:K03523	saur:SABB_01389
ko:K02016	saur:SABB_01387
ko:K08717	saur:SABB_01385
ko:K01430	saur:SABB_01384
ko:K00371	saur:SABB_03001
ko:K00370	saur:SABB_01278
ko:K02303	saur:SABB_01277
ko:K00363	saur:SABB_01276
ko:K00362	saur:SABB_01275
ko:K09815	saur:SABB_01270
ko:K10010	saur:SABB_01264
ko:K10009	saur:SABB_01263
ko:K02424	saur:SABB_02996
ko:K01834	saur:SABB_01260
ko:K14197	saur:SABB_01258
ko:K00652	saur:SABB_01251
ko:K01012	saur:SABB_01250
ko:K00833	saur:SABB_01249
ko:K01935	saur:SABB_02992
ko:K06147	saur:SABB_01247
ko:K06147	saur:SABB_02671
ko:K00865	saur:SABB_01244
ko:K11737	saur:SABB_01238
ko:K00077	saur:SABB_01233
ko:K08170	saur:SABB_01232
ko:K05846	saur:SABB_01231
ko:K05845	saur:SABB_01230
ko:K03299	saur:SABB_01180
ko:K00851	saur:SABB_01179
ko:K11476	saur:SABB_02666
ko:K03535	saur:SABB_02971
ko:K01990	saur:SABB_01169
ko:K04041	saur:SABB_01167
ko:K06999	saur:SABB_01165
ko:K15975	saur:SABB_01164
ko:K15973	saur:SABB_03589
ko:K06975	saur:SABB_01162
ko:K07104	saur:SABB_01161
ko:K03778	saur:SABB_01159
ko:K16917	saur:SABB_01157
ko:K16916	saur:SABB_01156
ko:K07284	saur:SABB_01155
ko:K03823	saur:SABB_01154
ko:K01752	saur:SABB_01153
ko:K01752	saur:SABB_01152
ko:K07107	saur:SABB_01146
ko:K00158	saur:SABB_01144
ko:K06518	saur:SABB_05425
ko:K00054	saur:SABB_01137
ko:K01641	saur:SABB_02664
ko:K00567	saur:SABB_02961
ko:K04086	saur:SABB_01134
ko:K04759	saur:SABB_01133
ko:K04758	saur:SABB_01132
ko:K06994	saur:SABB_01131
ko:K00294	saur:SABB_01129
ko:K09765	saur:SABB_02004
ko:K04750	saur:SABB_02005
ko:K06978	saur:SABB_03156
ko:K01579	saur:SABB_04367
ko:K01918	saur:SABB_04412
ko:K00606	saur:SABB_02010
ko:K00077	saur:SABB_02011
ko:K01575	saur:SABB_02012
ko:K00016	saur:SABB_02013
ko:K03294	saur:SABB_02014
ko:K00823	saur:SABB_02015
ko:K01623	saur:SABB_03499
ko:K00116	saur:SABB_03159
ko:K01895	saur:SABB_03160
ko:K03451	saur:SABB_02024
ko:K03300	saur:SABB_03161
ko:K02304	saur:SABB_02029
ko:K00380	saur:SABB_02030
ko:K00432	saur:SABB_02031
ko:K01077	saur:SABB_02036
ko:K14192	saur:SABB_02039
ko:K00926	saur:SABB_02041
ko:K03758	saur:SABB_02723
ko:K00611	saur:SABB_02043
ko:K01478	saur:SABB_02044
ko:K01401	saur:SABB_04255
ko:K02768	saur:SABB_02050
ko:K02769	saur:SABB_02050
ko:K02770	saur:SABB_02050
ko:K01809	saur:SABB_02051
ko:K01421	saur:SABB_02052
ko:K22580	saur:SABB_01023
ko:K02172	saur:SABB_01982
ko:K21462	saur:SABB_02078
ko:K21463	saur:SABB_01319
ko:K00008	saur:SABB_01604
ko:K00008	saur:SABB_01603
ko:K00632	saur:SABB_01621
ko:K14222	saur:SABB_05498
ko:K05352	saur:SABB_01596
ko:K07491	saur:SABB_05412
ko:K07491	saur:SABB_05438
ko:K07491	saur:SABB_05288
ko:K08255	saur:SABB_00939
ko:K14228	saur:SABB_05500
ko:K14236	saur:SABB_05468
ko:K14236	saur:SABB_05494
ko:K14228	saur:SABB_05480
ko:K14228	saur:SABB_05459
ko:K14232	saur:SABB_05461
ko:K14232	saur:SABB_05482
ko:K14220	saur:SABB_05465
ko:K14220	saur:SABB_05506
ko:K14220	saur:SABB_05509
ko:K14221	saur:SABB_05453
ko:K14221	saur:SABB_05488
ko:K14221	saur:SABB_05491
ko:K14221	saur:SABB_05502
ko:K14233	saur:SABB_05454
ko:K14233	saur:SABB_05486
ko:K14233	saur:SABB_05489
ko:K14233	saur:SABB_05510
ko:K14237	saur:SABB_05455
ko:K14237	saur:SABB_05475
ko:K14237	saur:SABB_05467
ko:K14228	saur:SABB_05478
ko:K14229	saur:SABB_05470
ko:K14229	saur:SABB_05477
ko:K14229	saur:SABB_05457
ko:K14235	saur:SABB_05495
ko:K14219	saur:SABB_05460
ko:K14219	saur:SABB_05481
ko:K14231	saur:SABB_05492
ko:K14231	saur:SABB_05503
ko:K14219	saur:SABB_05511
ko:K14218	saur:SABB_05462
ko:K14218	saur:SABB_05483
ko:K14218	saur:SABB_05474
ko:K14225	saur:SABB_05458
ko:K14225	saur:SABB_05479
ko:K14219	saur:SABB_05464
ko:K14225	saur:SABB_05472
ko:K14225	saur:SABB_05505
ko:K14230	saur:SABB_05487
ko:K14230	saur:SABB_05490
ko:K14230	saur:SABB_05501
ko:K14225	saur:SABB_05499
ko:K14223	saur:SABB_05469
ko:K14223	saur:SABB_05497
ko:K14230	saur:SABB_05485
ko:K14230	saur:SABB_05484
ko:K14233	saur:SABB_05508
ko:K00108	saur:SABB_02021
ko:K14227	saur:SABB_05463
ko:K14227	saur:SABB_05473
ko:K01980	saur:SABB_05542
ko:K01977	saur:SABB_05530
ko:K01977	saur:SABB_05531
ko:K01977	saur:SABB_05529
ko:K01977	saur:SABB_05532
ko:K01977	saur:SABB_05533
ko:K07705	saur:SABB_01591
ko:K01980	saur:SABB_05541
ko:K04749	saur:SABB_02396
ko:K18707	saur:SABB_00495
ko:K18766	saur:SABB_01983
ko:K18672	saur:SABB_03555
ko:K18704	saur:SABB_01600
ko:K18682	saur:SABB_04950
ko:K18692	saur:SABB_00478
ko:K18906	saur:SABB_00733
ko:K01262	saur:SABB_02845
ko:K09692	saur:SABB_02296
ko:K18908	saur:SABB_01514
ko:K18909	saur:SABB_01515
ko:K18941	saur:SABB_00098
ko:K09692	saur:SABB_00686
ko:K07171	saur:SABB_02398
ko:K00520	saur:SABB_01778
ko:K07467	saur:SABB_02225
ko:K05593	saur:SABB_02283
ko:K03497	saur:SABB_02269
ko:K03111	saur:SABB_02265
ko:K14201	saur:SABB_00836
ko:K04940	saur:SABB_01371
ko:K03111	saur:SABB_05287
ko:K03502	saur:SABB_00148
ko:K03111	saur:SABB_05293
ko:K11040	saur:SABB_00520
ko:K07467	saur:SABB_01994
ko:K03497	saur:SABB_02117
ko:K03111	saur:SABB_02422
ko:K03169	saur:SABB_01414
ko:K07029	saur:SABB_02323
ko:K07497	saur:SABB_01979
ko:K07497	saur:SABB_05217
ko:K03741	saur:SABB_03133
ko:K07132	saur:SABB_01978
ko:K02315	saur:SABB_02388
ko:K01271	saur:SABB_01834
ko:K03498	saur:SABB_02518
ko:K09145	saur:SABB_04451
ko:K18979	saur:SABB_03492
ko:K00949	saur:SABB_02596
ko:K01318	saur:SABB_01932
ko:K01318	saur:SABB_01014
ko:K07498	saur:SABB_05253
ko:K00221	saur:SABB_01777
ko:K13052	saur:SABB_02562
ko:K07132	saur:SABB_05218
ko:K07816	saur:SABB_01176
ko:K07498	saur:SABB_05254
ko:K13733	saur:SABB_04988
ko:K03429	saur:SABB_00985
ko:K07452	saur:SABB_03106
ko:K03293	saur:SABB_01356
ko:K19077	saur:SABB_03565
ko:K01174	saur:SABB_00184
ko:K14203	saur:SABB_00344
ko:K14202	saur:SABB_02361
ko:K19147	saur:SABB_04341
ko:K11039	saur:SABB_05202
ko:K01239	saur:SABB_01388
ko:K19078	saur:SABB_00706
ko:K19158	saur:SABB_01269
ko:K19225	saur:SABB_00470
ko:K02777	saur:SABB_00091
ko:K14195	saur:SABB_05407
ko:K14198	saur:SABB_02363
ko:K19068	saur:SABB_01687
ko:K19081	saur:SABB_03163
ko:K19082	saur:SABB_02035
ko:K19083	saur:SABB_03162
ko:K19084	saur:SABB_02032
ko:K08259	saur:SABB_01575
ko:K19159	saur:SABB_01268
ko:K02031	saur:SABB_00959
ko:K02032	saur:SABB_00134
ko:K19273	saur:SABB_02282
ko:K11442	saur:SABB_01491
ko:K03722	saur:SABB_00060
ko:K01992	saur:SABB_01168
ko:K19411	saur:SABB_00573
ko:K01046	saur:SABB_01528
ko:K19302	saur:SABB_00096
ko:K19405	saur:SABB_04416
ko:K19299	saur:SABB_02281
ko:K07485	saur:SABB_05221
ko:K07485	saur:SABB_05315
ko:K03574	saur:SABB_01916
ko:K02031	saur:SABB_04358
ko:K19576	saur:SABB_00744
ko:K01906	saur:SABB_02993
ko:K06881	saur:SABB_03121
ko:K03483	saur:SABB_02759
ko:K21721	saur:SABB_01723
ko:K19689	saur:SABB_02304
ko:K01258	saur:SABB_00435
ko:K20483	saur:SABB_03490
ko:K20482	saur:SABB_05423
ko:K07119	saur:SABB_01473
ko:K00547	saur:SABB_02272
ko:K00297	saur:SABB_02272
ko:K02538	saur:SABB_02724
ko:K21636	saur:SABB_02026
ko:K19883	saur:SABB_05319
ko:K19976	saur:SABB_00680
ko:K20074	saur:SABB_00286
ko:K12132	saur:SABB_00285
ko:K20116	saur:SABB_03462
ko:K20117	saur:SABB_03462
ko:K20118	saur:SABB_03462
ko:K20116	saur:SABB_01145
ko:K20117	saur:SABB_01145
ko:K20118	saur:SABB_01145
ko:K20338	saur:SABB_01887
ko:K20491	saur:SABB_01940
ko:K20494	saur:SABB_01939
ko:K20482	saur:SABB_05518
ko:K20484	saur:SABB_01944
ko:K20486	saur:SABB_03142
ko:K20490	saur:SABB_01941
ko:K20335	saur:SABB_05449
ko:K20335	saur:SABB_05450
ko:K20336	saur:SABB_05512
ko:K20534	saur:SABB_00753
ko:K02790	saur:SABB_01610
ko:K02791	saur:SABB_01610
ko:K21029	saur:SABB_01395
ko:K21030	saur:SABB_03069
ko:K00525	saur:SABB_04974
ko:K21030	saur:SABB_01597
ko:K21064	saur:SABB_00940
ko:K08968	saur:SABB_01844
ko:K01980	saur:SABB_05540
ko:K01980	saur:SABB_05543
ko:K01980	saur:SABB_05544
ko:K00435	saur:SABB_00636
ko:K00526	saur:SABB_00782
ko:K02314	saur:SABB_02137
ko:K14199	saur:SABB_01623
ko:K01174	saur:SABB_04455
ko:K07474	saur:SABB_00879
ko:K00857	saur:SABB_03255
ko:K11038	saur:SABB_04076
ko:K11038	saur:SABB_01255
ko:K11038	saur:SABB_01254
ko:K04068	saur:SABB_02025
ko:K01520	saur:SABB_05352
ko:K00560	saur:SABB_00086
ko:K00287	saur:SABB_00087
ko:K03546	saur:SABB_00163
ko:K03553	saur:SABB_00221
ko:K14199	saur:SABB_00341
ko:K01520	saur:SABB_05264
ko:K02316	saur:SABB_00482
ko:K06217	saur:SABB_00491
ko:K01493	saur:SABB_00507
ko:K11038	saur:SABB_01946
ko:K11038	saur:SABB_01947
ko:K14199	saur:SABB_02360
ko:K02315	saur:SABB_05247
ko:K11038	saur:SABB_05239
ko:K11038	saur:SABB_05442
ko:K07474	saur:SABB_02517
ko:K06958	saur:SABB_00815
ko:K05020	saur:SABB_01475
ko:K13714	saur:SABB_01019
ko:K02335	saur:SABB_01816
ko:K02032	saur:SABB_00960
ko:K03296	saur:SABB_01409
ko:K00980	saur:SABB_00689
ko:K07741	saur:SABB_01096
ko:K22044	saur:SABB_02268
ko:K21453	saur:SABB_02075
ko:K21478	saur:SABB_04391
ko:K21567	saur:SABB_01301
ko:K21591	saur:SABB_01598
ko:K21600	saur:SABB_03247
ko:K18704	saur:SABB_01595
ko:K21828	saur:SABB_02040
ko:K21949	saur:SABB_01724
ko:K02334	saur:SABB_00399
ko:K22043	saur:SABB_02470
ko:K21903	saur:SABB_01762
ko:K22136	saur:SABB_00327
ko:K00754	saur:SABB_03768
ko:K22135	saur:SABB_00618
ko:K03595	saur:SABB_00487
ko:K22132	saur:SABB_00544
ko:K22109	saur:SABB_02023
ko:K03547	saur:SABB_01963
ko:K17758	saur:SABB_03183
ko:K02257	saur:SABB_01078
ko:K22409	saur:SABB_02171
ko:K13566	saur:SABB_02511
ko:K22441	saur:SABB_01304
