ko:K07050	bsf:BSS2_I1026
ko:K05807	bsf:BSS2_I1382
ko:K02535	bsf:BSS2_I1384
ko:K03531	bsf:BSS2_I1385
ko:K03590	bsf:BSS2_I1386
ko:K03589	bsf:BSS2_I1387
ko:K01921	bsf:BSS2_I1388
ko:K00075	bsf:BSS2_I1389
ko:K01924	bsf:BSS2_I1390
ko:K02563	bsf:BSS2_I1391
ko:K03588	bsf:BSS2_I1392
ko:K01925	bsf:BSS2_I1393
ko:K01000	bsf:BSS2_I1394
ko:K01929	bsf:BSS2_I1395
ko:K01928	bsf:BSS2_I1396
ko:K03587	bsf:BSS2_I1397
ko:K03438	bsf:BSS2_I1400
ko:K03322	bsf:BSS2_I1401
ko:K05801	bsf:BSS2_I1405
ko:K07273	bsf:BSS2_I1407
ko:K00297	bsf:BSS2_I1408
ko:K00598	bsf:BSS2_I1413
ko:K09709	bsf:BSS2_II0158
ko:K01644	bsf:BSS2_II0159
ko:K08738	bsf:BSS2_II0164
ko:K09794	bsf:BSS2_II0165
ko:K00104	bsf:BSS2_II0170
ko:K11472	bsf:BSS2_II0171
ko:K11473	bsf:BSS2_II0172
ko:K06221	bsf:BSS2_II0173
ko:K01246	bsf:BSS2_II0175
ko:K01892	bsf:BSS2_II0177
ko:K02502	bsf:BSS2_II0178
ko:K00765	bsf:BSS2_II0179
ko:K15977	bsf:BSS2_II0180
ko:K01679	bsf:BSS2_II0181
ko:K04077	bsf:BSS2_II0184
ko:K04078	bsf:BSS2_II0185
ko:K11753	bsf:BSS2_II0190
ko:K01870	bsf:BSS2_II0191
ko:K12262	bsf:BSS2_II0193
ko:K06178	bsf:BSS2_II0195
ko:K08316	bsf:BSS2_II0196
ko:K07001	bsf:BSS2_II0197
ko:K03455	bsf:BSS2_II0198
ko:K03592	bsf:BSS2_II0199
ko:K01092	bsf:BSS2_II0200
ko:K09778	bsf:BSS2_II0202
ko:K02527	bsf:BSS2_II0203
ko:K00912	bsf:BSS2_II0204
ko:K03572	bsf:BSS2_II0206
ko:K08196	bsf:BSS2_II0207
ko:K06446	bsf:BSS2_II0208
ko:K00074	bsf:BSS2_II0211
ko:K01775	bsf:BSS2_II0875
ko:K00285	bsf:BSS2_II0876
ko:K00822	bsf:BSS2_II0878
ko:K05836	bsf:BSS2_II0879
ko:K01468	bsf:BSS2_II0881
ko:K01745	bsf:BSS2_II0882
ko:K01479	bsf:BSS2_II0883
ko:K01712	bsf:BSS2_II0884
ko:K09975	bsf:BSS2_II0885
ko:K00824	bsf:BSS2_II0886
ko:K10547	bsf:BSS2_II0887
ko:K10548	bsf:BSS2_II0888
ko:K10546	bsf:BSS2_II0889
ko:K01631	bsf:BSS2_II0890
ko:K00883	bsf:BSS2_II0891
ko:K03608	bsf:BSS2_II0308
ko:K02055	bsf:BSS2_II0311
ko:K02052	bsf:BSS2_II0312
ko:K02054	bsf:BSS2_II0313
ko:K02053	bsf:BSS2_II0314
ko:K03585	bsf:BSS2_II0320
ko:K01425	bsf:BSS2_II0323
ko:K07010	bsf:BSS2_II0932
ko:K01470	bsf:BSS2_II0935
ko:K06999	bsf:BSS2_II0938
ko:K17247	bsf:BSS2_II0940
ko:K10440	bsf:BSS2_II0942
ko:K10440	bsf:BSS2_II0943
ko:K10441	bsf:BSS2_II0944
ko:K10439	bsf:BSS2_II0945
ko:K02014	bsf:BSS2_II0948
ko:K00799	bsf:BSS2_II0951
ko:K15736	bsf:BSS2_II0954
ko:K02342	bsf:BSS2_II0955
ko:K12257	bsf:BSS2_I1287
ko:K03455	bsf:BSS2_I1288
ko:K07027	bsf:BSS2_I1289
ko:K07002	bsf:BSS2_I1290
ko:K02047	bsf:BSS2_I1291
ko:K02046	bsf:BSS2_I1292
ko:K02048	bsf:BSS2_I1293
ko:K02431	bsf:BSS2_I1299
ko:K02056	bsf:BSS2_I1301
ko:K02057	bsf:BSS2_I1302
ko:K13589	bsf:BSS2_II0042
ko:K01048	bsf:BSS2_II0045
ko:K04080	bsf:BSS2_II0050
ko:K01620	bsf:BSS2_II0051
ko:K00265	bsf:BSS2_II0053
ko:K00266	bsf:BSS2_II0054
ko:K11737	bsf:BSS2_II0055
ko:K09795	bsf:BSS2_II0056
ko:K08305	bsf:BSS2_II0069
ko:K00963	bsf:BSS2_II0070
ko:K07340	bsf:BSS2_II0073
ko:K01772	bsf:BSS2_II0075
ko:K00808	bsf:BSS2_II0077
ko:K02619	bsf:BSS2_II0078
ko:K01665	bsf:BSS2_II0079
ko:K08602	bsf:BSS2_II0080
ko:K07146	bsf:BSS2_II0083
ko:K02020	bsf:BSS2_II0085
ko:K02018	bsf:BSS2_II0086
ko:K02017	bsf:BSS2_II0087
ko:K01426	bsf:BSS2_II0095
ko:K01581	bsf:BSS2_II0096
ko:K01624	bsf:BSS2_II0825
ko:K03841	bsf:BSS2_II0826
ko:K06207	bsf:BSS2_II0829
ko:K06213	bsf:BSS2_II0830
ko:K01284	bsf:BSS2_II0832
ko:K01704	bsf:BSS2_II0836
ko:K00133	bsf:BSS2_II0840
ko:K10778	bsf:BSS2_II0842
ko:K00052	bsf:BSS2_II0843
ko:K09791	bsf:BSS2_II0844
ko:K01687	bsf:BSS2_II0892
ko:K01652	bsf:BSS2_II0896
ko:K01266	bsf:BSS2_II0898
ko:K09969	bsf:BSS2_II0899
ko:K05800	bsf:BSS2_I0849
ko:K07126	bsf:BSS2_I0853
ko:K01142	bsf:BSS2_I0854
ko:K01129	bsf:BSS2_I0857
ko:K01887	bsf:BSS2_I0858
ko:K01207	bsf:BSS2_I0860
ko:K05896	bsf:BSS2_I0861
ko:K06024	bsf:BSS2_I0862
ko:K03116	bsf:BSS2_I0863
ko:K03117	bsf:BSS2_I0864
ko:K03118	bsf:BSS2_I0865
ko:K01875	bsf:BSS2_I0866
ko:K03787	bsf:BSS2_I0867
ko:K00573	bsf:BSS2_I0868
ko:K06923	bsf:BSS2_I0870
ko:K03210	bsf:BSS2_I0871
ko:K12257	bsf:BSS2_I0872
ko:K02291	bsf:BSS2_I0874
ko:K04094	bsf:BSS2_I0875
ko:K03545	bsf:BSS2_I0879
ko:K02434	bsf:BSS2_I0880
ko:K00684	bsf:BSS2_I0886
ko:K01961	bsf:BSS2_I0887
ko:K02160	bsf:BSS2_I0888
ko:K03786	bsf:BSS2_I0889
ko:K08300	bsf:BSS2_I0893
ko:K01448	bsf:BSS2_I0896
ko:K05366	bsf:BSS2_I0897
ko:K03564	bsf:BSS2_I0902
ko:K00790	bsf:BSS2_I0247
ko:K03190	bsf:BSS2_I0263
ko:K01430	bsf:BSS2_I0264
ko:K01429	bsf:BSS2_I0265
ko:K01428	bsf:BSS2_I0266
ko:K03187	bsf:BSS2_I0267
ko:K03188	bsf:BSS2_I0268
ko:K03189	bsf:BSS2_I0269
ko:K01464	bsf:BSS2_I0274
ko:K06016	bsf:BSS2_I0275
ko:K17723	bsf:BSS2_I0278
ko:K01810	bsf:BSS2_I0281
ko:K06987	bsf:BSS2_I0282
ko:K01091	bsf:BSS2_I0283
ko:K01897	bsf:BSS2_I0285
ko:K03577	bsf:BSS2_I0286
ko:K03585	bsf:BSS2_I0287
ko:K18138	bsf:BSS2_I0288
ko:K02030	bsf:BSS2_I0291
ko:K07636	bsf:BSS2_I0294
ko:K13583	bsf:BSS2_I0295
ko:K04083	bsf:BSS2_I0299
ko:K06195	bsf:BSS2_I0300
ko:K10764	bsf:BSS2_I0301
ko:K01494	bsf:BSS2_I0302
ko:K02874	bsf:BSS2_I1191
ko:K02961	bsf:BSS2_I1192
ko:K02904	bsf:BSS2_I1193
ko:K02878	bsf:BSS2_I1194
ko:K02982	bsf:BSS2_I1195
ko:K02890	bsf:BSS2_I1196
ko:K02965	bsf:BSS2_I1197
ko:K02886	bsf:BSS2_I1198
ko:K02892	bsf:BSS2_I1199
ko:K02926	bsf:BSS2_I1200
ko:K02906	bsf:BSS2_I1201
ko:K02946	bsf:BSS2_I1202
ko:K02355	bsf:BSS2_I1203
ko:K02992	bsf:BSS2_I1204
ko:K02950	bsf:BSS2_I1205
ko:K03046	bsf:BSS2_I1209
ko:K03043	bsf:BSS2_I1211
ko:K02935	bsf:BSS2_I1212
ko:K02864	bsf:BSS2_I1213
ko:K02863	bsf:BSS2_I1214
ko:K02867	bsf:BSS2_I1215
ko:K02601	bsf:BSS2_I1216
ko:K03073	bsf:BSS2_I1217
ko:K02358	bsf:BSS2_I1219
ko:K03218	bsf:BSS2_I1222
ko:K00640	bsf:BSS2_I1229
ko:K09005	bsf:BSS2_I1232
ko:K03704	bsf:BSS2_I1233
ko:K01759	bsf:BSS2_I1235
ko:K07462	bsf:BSS2_I1237
ko:K01921	bsf:BSS2_I1238
ko:K11532	bsf:BSS2_I1240
ko:K00003	bsf:BSS2_I1241
ko:K14261	bsf:BSS2_I1242
ko:K09956	bsf:BSS2_I1245
ko:K02956	bsf:BSS2_I2102
ko:K00962	bsf:BSS2_I2103
ko:K00564	bsf:BSS2_I2104
ko:K00208	bsf:BSS2_I2105
ko:K00647	bsf:BSS2_I2106
ko:K01716	bsf:BSS2_I2107
ko:K09826	bsf:BSS2_I2108
ko:K02073	bsf:BSS2_I2109
ko:K01255	bsf:BSS2_I2115
ko:K01692	bsf:BSS2_I2118
ko:K02968	bsf:BSS2_I2119
ko:K00852	bsf:BSS2_II0005
ko:K02057	bsf:BSS2_II0007
ko:K02057	bsf:BSS2_II0008
ko:K02056	bsf:BSS2_II0009
ko:K07335	bsf:BSS2_II0010
ko:K02362	bsf:BSS2_II0012
ko:K00216	bsf:BSS2_II0013
ko:K01252	bsf:BSS2_II0014
ko:K02363	bsf:BSS2_II0015
ko:K02361	bsf:BSS2_II0016
ko:K02364	bsf:BSS2_II0017
ko:K03088	bsf:BSS2_II0021
ko:K01999	bsf:BSS2_II0024
ko:K01998	bsf:BSS2_II0025
ko:K01995	bsf:BSS2_II0026
ko:K01996	bsf:BSS2_II0027
ko:K00059	bsf:BSS2_II0029
ko:K11381	bsf:BSS2_II0031
ko:K00627	bsf:BSS2_II0032
ko:K00014	bsf:BSS2_II0033
ko:K01531	bsf:BSS2_II0036
ko:K07507	bsf:BSS2_II0039
ko:K03427	bsf:BSS2_II0796
ko:K01154	bsf:BSS2_II0797
ko:K01153	bsf:BSS2_II0798
ko:K07043	bsf:BSS2_II0799
ko:K17202	bsf:BSS2_II0813
ko:K17203	bsf:BSS2_II0814
ko:K17204	bsf:BSS2_II0815
ko:K00937	bsf:BSS2_I0730
ko:K01866	bsf:BSS2_I0904
ko:K09001	bsf:BSS2_I0905
ko:K06902	bsf:BSS2_I1759
ko:K15371	bsf:BSS2_I1760
ko:K08988	bsf:BSS2_I1761
ko:K06872	bsf:BSS2_I1762
ko:K03744	bsf:BSS2_I1763
ko:K02959	bsf:BSS2_I1765
ko:K04092	bsf:BSS2_I1766
ko:K03106	bsf:BSS2_I1767
ko:K01673	bsf:BSS2_I1770
ko:K00868	bsf:BSS2_I1771
ko:K00140	bsf:BSS2_I1773
ko:K08311	bsf:BSS2_I1777
ko:K03797	bsf:BSS2_I1778
ko:K00783	bsf:BSS2_I1781
ko:K09710	bsf:BSS2_I1782
ko:K00969	bsf:BSS2_I1783
ko:K00147	bsf:BSS2_I1784
ko:K00931	bsf:BSS2_I1785
ko:K03979	bsf:BSS2_I1786
ko:K02899	bsf:BSS2_I1790
ko:K02888	bsf:BSS2_I1791
ko:K03695	bsf:BSS2_I1803
ko:K02493	bsf:BSS2_I1807
ko:K02835	bsf:BSS2_I1808
ko:K08484	bsf:BSS2_I1809
ko:K00928	bsf:BSS2_I1810
ko:K00568	bsf:BSS2_I1811
ko:K14205	bsf:BSS2_II0557
ko:K03801	bsf:BSS2_II0561
ko:K02622	bsf:BSS2_II0563
ko:K02433	bsf:BSS2_II0566
ko:K02435	bsf:BSS2_II0567
ko:K07447	bsf:BSS2_II0569
ko:K09456	bsf:BSS2_II0570
ko:K00609	bsf:BSS2_II0571
ko:K01465	bsf:BSS2_II0572
ko:K08591	bsf:BSS2_II0573
ko:K04096	bsf:BSS2_II0574
ko:K03168	bsf:BSS2_II0576
ko:K12573	bsf:BSS2_II0577
ko:K02913	bsf:BSS2_II0581
ko:K02488	bsf:BSS2_II0582
ko:K11443	bsf:BSS2_II0584
ko:K06140	bsf:BSS2_II0586
ko:K02346	bsf:BSS2_II0587
ko:K02342	bsf:BSS2_II0597
ko:K00285	bsf:BSS2_II0601
ko:K02030	bsf:BSS2_II0602
ko:K02030	bsf:BSS2_II0603
ko:K01032	bsf:BSS2_II0608
ko:K01031	bsf:BSS2_II0609
ko:K02624	bsf:BSS2_II0610
ko:K09823	bsf:BSS2_II1064
ko:K02421	bsf:BSS2_II1070
ko:K02400	bsf:BSS2_II1071
ko:K02420	bsf:BSS2_II1072
ko:K02389	bsf:BSS2_II1073
ko:K06601	bsf:BSS2_II1074
ko:K06602	bsf:BSS2_II1075
ko:K02397	bsf:BSS2_II1076
ko:K02396	bsf:BSS2_II1077
ko:K02390	bsf:BSS2_II1078
ko:K10565	bsf:BSS2_II1081
ko:K02557	bsf:BSS2_II1082
ko:K02409	bsf:BSS2_II1084
ko:K02406	bsf:BSS2_II1085
ko:K10543	bsf:BSS2_II1088
ko:K10545	bsf:BSS2_II1089
ko:K10544	bsf:BSS2_II1090
ko:K02348	bsf:BSS2_I0127
ko:K15011	bsf:BSS2_I0129
ko:K15012	bsf:BSS2_I0135
ko:K01867	bsf:BSS2_I0140
ko:K03980	bsf:BSS2_I0141
ko:K00990	bsf:BSS2_I0142
ko:K03555	bsf:BSS2_I0144
ko:K03101	bsf:BSS2_I0146
ko:K03437	bsf:BSS2_I0147
ko:K06969	bsf:BSS2_I0148
ko:K05788	bsf:BSS2_I0150
ko:K04773	bsf:BSS2_I0151
ko:K11719	bsf:BSS2_I0152
ko:K09774	bsf:BSS2_I0153
ko:K06861	bsf:BSS2_I0154
ko:K03092	bsf:BSS2_I0155
ko:K02806	bsf:BSS2_I0158
ko:K10773	bsf:BSS2_I0163
ko:K06203	bsf:BSS2_I0164
ko:K03687	bsf:BSS2_I0168
ko:K03705	bsf:BSS2_I0169
ko:K00989	bsf:BSS2_I0170
ko:K02428	bsf:BSS2_I0172
ko:K07056	bsf:BSS2_I0174
ko:K07460	bsf:BSS2_I0175
ko:K02302	bsf:BSS2_I0176
ko:K00381	bsf:BSS2_I0178
ko:K00390	bsf:BSS2_I0179
ko:K00567	bsf:BSS2_I0182
ko:K00548	bsf:BSS2_I0185
ko:K07782	bsf:BSS2_I0187
ko:K16871	bsf:BSS2_I0188
ko:K00957	bsf:BSS2_I0190
ko:K01338	bsf:BSS2_I1075
ko:K03544	bsf:BSS2_I1077
ko:K01358	bsf:BSS2_I1078
ko:K03665	bsf:BSS2_I1079
ko:K03666	bsf:BSS2_I1080
ko:K03499	bsf:BSS2_I1083
ko:K13599	bsf:BSS2_I1084
ko:K13598	bsf:BSS2_I1085
ko:K07712	bsf:BSS2_I1086
ko:K07708	bsf:BSS2_I1087
ko:K12506	bsf:BSS2_I1089
ko:K03743	bsf:BSS2_I1090
ko:K03644	bsf:BSS2_I1093
ko:K00382	bsf:BSS2_I1095
ko:K00627	bsf:BSS2_I1096
ko:K00162	bsf:BSS2_I1097
ko:K00161	bsf:BSS2_I1098
ko:K01689	bsf:BSS2_I1101
ko:K01627	bsf:BSS2_I1102
ko:K01937	bsf:BSS2_I1103
ko:K03075	bsf:BSS2_I1106
ko:K01803	bsf:BSS2_I1107
ko:K03770	bsf:BSS2_I1108
ko:K00766	bsf:BSS2_I1109
ko:K01609	bsf:BSS2_I1110
ko:K03637	bsf:BSS2_I1111
ko:K03750	bsf:BSS2_I1112
ko:K01356	bsf:BSS2_I1113
ko:K01885	bsf:BSS2_I1116
ko:K01647	bsf:BSS2_I1117
ko:K00748	bsf:BSS2_I1118
ko:K09949	bsf:BSS2_I1119
ko:K00677	bsf:BSS2_I1120
ko:K02372	bsf:BSS2_I1121
ko:K02536	bsf:BSS2_I1122
ko:K07277	bsf:BSS2_I1123
ko:K11749	bsf:BSS2_I1125
ko:K00981	bsf:BSS2_I1126
ko:K00806	bsf:BSS2_I1127
ko:K02838	bsf:BSS2_I1128
ko:K09903	bsf:BSS2_I1129
ko:K02357	bsf:BSS2_I1130
ko:K02967	bsf:BSS2_I1131
ko:K02529	bsf:BSS2_I1983
ko:K01989	bsf:BSS2_I1987
ko:K05832	bsf:BSS2_I1989
ko:K05833	bsf:BSS2_I1990
ko:K00817	bsf:BSS2_I0617
ko:K08309	bsf:BSS2_I0625
ko:K01714	bsf:BSS2_I0628
ko:K03664	bsf:BSS2_I0629
ko:K03060	bsf:BSS2_I0633
ko:K00762	bsf:BSS2_I0635
ko:K08223	bsf:BSS2_I0638
ko:K09928	bsf:BSS2_I0640
ko:K00997	bsf:BSS2_I0641
ko:K01524	bsf:BSS2_I0731
ko:K03684	bsf:BSS2_I0732
ko:K01876	bsf:BSS2_I0733
ko:K02621	bsf:BSS2_I0736
ko:K01698	bsf:BSS2_I0739
ko:K00600	bsf:BSS2_I0747
ko:K07738	bsf:BSS2_I0748
ko:K11752	bsf:BSS2_I0749
ko:K00793	bsf:BSS2_I0750
ko:K00794	bsf:BSS2_I0751
ko:K03625	bsf:BSS2_I0752
ko:K15987	bsf:BSS2_I0753
ko:K17662	bsf:BSS2_I0755
ko:K03621	bsf:BSS2_I0757
ko:K00648	bsf:BSS2_I0759
ko:K04764	bsf:BSS2_I0760
ko:K01991	bsf:BSS2_I0766
ko:K02259	bsf:BSS2_I0769
ko:K00145	bsf:BSS2_I0770
ko:K01480	bsf:BSS2_I0771
ko:K02996	bsf:BSS2_I0772
ko:K02871	bsf:BSS2_I0773
ko:K00330	bsf:BSS2_I0784
ko:K00331	bsf:BSS2_I0785
ko:K00332	bsf:BSS2_I0786
ko:K00333	bsf:BSS2_I0787
ko:K00334	bsf:BSS2_I0788
ko:K03640	bsf:BSS2_I1641
ko:K03641	bsf:BSS2_I1643
ko:K03560	bsf:BSS2_I1645
ko:K03562	bsf:BSS2_I1646
ko:K07107	bsf:BSS2_I1647
ko:K03551	bsf:BSS2_I1648
ko:K03550	bsf:BSS2_I1649
ko:K01159	bsf:BSS2_I1650
ko:K13592	bsf:BSS2_I1651
ko:K00788	bsf:BSS2_I1653
ko:K07126	bsf:BSS2_I1654
ko:K02356	bsf:BSS2_I1656
ko:K01092	bsf:BSS2_I1657
ko:K02557	bsf:BSS2_I1660
ko:K06147	bsf:BSS2_I1661
ko:K02909	bsf:BSS2_I1662
ko:K03523	bsf:BSS2_I1664
ko:K09706	bsf:BSS2_I1665
ko:K09769	bsf:BSS2_I1667
ko:K01934	bsf:BSS2_I1668
ko:K09888	bsf:BSS2_I1669
ko:K00615	bsf:BSS2_I1672
ko:K00134	bsf:BSS2_I1673
ko:K00927	bsf:BSS2_I1674
ko:K01908	bsf:BSS2_I1676
ko:K09987	bsf:BSS2_I1682
ko:K01588	bsf:BSS2_I1689
ko:K01589	bsf:BSS2_I1690
ko:K02919	bsf:BSS2_I1691
ko:K00873	bsf:BSS2_I1693
ko:K15738	bsf:BSS2_I1698
ko:K02050	bsf:BSS2_II0445
ko:K02049	bsf:BSS2_II0446
ko:K02051	bsf:BSS2_II0447
ko:K03885	bsf:BSS2_II0456
ko:K06996	bsf:BSS2_II0458
ko:K03310	bsf:BSS2_II0460
ko:K00651	bsf:BSS2_II0462
ko:K07273	bsf:BSS2_II0463
ko:K00648	bsf:BSS2_II0464
ko:K00833	bsf:BSS2_II0465
ko:K01935	bsf:BSS2_II0466
ko:K00652	bsf:BSS2_II0467
ko:K01012	bsf:BSS2_II0468
ko:K03831	bsf:BSS2_II0472
ko:K07078	bsf:BSS2_II0473
ko:K05559	bsf:BSS2_II0476
ko:K05560	bsf:BSS2_II0477
ko:K05561	bsf:BSS2_II0478
ko:K05562	bsf:BSS2_II0479
ko:K05563	bsf:BSS2_II0480
ko:K05564	bsf:BSS2_II0481
ko:K16013	bsf:BSS2_II0484
ko:K16012	bsf:BSS2_II0485
ko:K00425	bsf:BSS2_II0486
ko:K00426	bsf:BSS2_II0487
ko:K03710	bsf:BSS2_II0489
ko:K10117	bsf:BSS2_II0492
ko:K10118	bsf:BSS2_II0494
ko:K10119	bsf:BSS2_II0495
ko:K10111	bsf:BSS2_II0497
ko:K00166	bsf:BSS2_II0499
ko:K00167	bsf:BSS2_II0500
ko:K03183	bsf:BSS2_II1014
ko:K00761	bsf:BSS2_II1015
ko:K03745	bsf:BSS2_II1016
ko:K07304	bsf:BSS2_II1017
ko:K00135	bsf:BSS2_II1026
ko:K02034	bsf:BSS2_II1030
ko:K02033	bsf:BSS2_II1031
ko:K02035	bsf:BSS2_II1032
ko:K00074	bsf:BSS2_II1033
ko:K06446	bsf:BSS2_II1035
ko:K01434	bsf:BSS2_II1036
ko:K02035	bsf:BSS2_II1037
ko:K02033	bsf:BSS2_II1039
ko:K02034	bsf:BSS2_II1040
ko:K13895	bsf:BSS2_I0007
ko:K13894	bsf:BSS2_I0008
ko:K13893	bsf:BSS2_I0009
ko:K13893	bsf:BSS2_I0010
ko:K01999	bsf:BSS2_I0014
ko:K13766	bsf:BSS2_I0016
ko:K01968	bsf:BSS2_I0017
ko:K01969	bsf:BSS2_I0018
ko:K00253	bsf:BSS2_I0019
ko:K01907	bsf:BSS2_I0020
ko:K00800	bsf:BSS2_I0024
ko:K00945	bsf:BSS2_I0025
ko:K02945	bsf:BSS2_I0026
ko:K06187	bsf:BSS2_I0031
ko:K09747	bsf:BSS2_I0032
ko:K02343	bsf:BSS2_I0033
ko:K03426	bsf:BSS2_I0035
ko:K04518	bsf:BSS2_I0036
ko:K00979	bsf:BSS2_I0037
ko:K08738	bsf:BSS2_I0038
ko:K02297	bsf:BSS2_I0041
ko:K02298	bsf:BSS2_I0042
ko:K02299	bsf:BSS2_I0043
ko:K02300	bsf:BSS2_I0044
ko:K07278	bsf:BSS2_I0047
ko:K09800	bsf:BSS2_I0048
ko:K01759	bsf:BSS2_I0055
ko:K03593	bsf:BSS2_I0056
ko:K01835	bsf:BSS2_I0057
ko:K06889	bsf:BSS2_I0060
ko:K16165	bsf:BSS2_I0062
ko:K00537	bsf:BSS2_I0963
ko:K03642	bsf:BSS2_I0964
ko:K07258	bsf:BSS2_I0965
ko:K00943	bsf:BSS2_I0966
ko:K02341	bsf:BSS2_I0967
ko:K01874	bsf:BSS2_I0969
ko:K03424	bsf:BSS2_I0970
ko:K06167	bsf:BSS2_I0971
ko:K06147	bsf:BSS2_I0972
ko:K06179	bsf:BSS2_I0974
ko:K01091	bsf:BSS2_I0976
ko:K01915	bsf:BSS2_I0978
ko:K04751	bsf:BSS2_I0979
ko:K01091	bsf:BSS2_I0982
ko:K01807	bsf:BSS2_I0984
ko:K09924	bsf:BSS2_I0985
ko:K00383	bsf:BSS2_I0986
ko:K01626	bsf:BSS2_I0987
ko:K00901	bsf:BSS2_I0988
ko:K01916	bsf:BSS2_I0989
ko:K01885	bsf:BSS2_I0990
ko:K00029	bsf:BSS2_I0991
ko:K02066	bsf:BSS2_I0993
ko:K02065	bsf:BSS2_I0994
ko:K02067	bsf:BSS2_I0995
ko:K18480	bsf:BSS2_I0996
ko:K04755	bsf:BSS2_I1000
ko:K00796	bsf:BSS2_I1002
ko:K01633	bsf:BSS2_I1003
ko:K00950	bsf:BSS2_I1004
ko:K08990	bsf:BSS2_I1006
ko:K06918	bsf:BSS2_I1007
ko:K08296	bsf:BSS2_I1008
ko:K06204	bsf:BSS2_I1009
ko:K13587	bsf:BSS2_I1012
ko:K07007	bsf:BSS2_I1013
ko:K00769	bsf:BSS2_I1018
ko:K03110	bsf:BSS2_I1870
ko:K06190	bsf:BSS2_I1871
ko:K01069	bsf:BSS2_I1872
ko:K03574	bsf:BSS2_I1875
ko:K00620	bsf:BSS2_I1877
ko:K03769	bsf:BSS2_I1879
ko:K03070	bsf:BSS2_I1881
ko:K03760	bsf:BSS2_I1884
ko:K02030	bsf:BSS2_I1889
ko:K02029	bsf:BSS2_I1890
ko:K02028	bsf:BSS2_I1891
ko:K01480	bsf:BSS2_I1892
ko:K01744	bsf:BSS2_I1893
ko:K09972	bsf:BSS2_I1894
ko:K01424	bsf:BSS2_I1895
ko:K01424	bsf:BSS2_I1897
ko:K01761	bsf:BSS2_I1900
ko:K00074	bsf:BSS2_I1903
ko:K03522	bsf:BSS2_I1904
ko:K03521	bsf:BSS2_I1905
ko:K06920	bsf:BSS2_I1906
ko:K01737	bsf:BSS2_I1907
ko:K10026	bsf:BSS2_I1908
ko:K07058	bsf:BSS2_I1912
ko:K09768	bsf:BSS2_I1913
ko:K01755	bsf:BSS2_I1915
ko:K01586	bsf:BSS2_I1917
ko:K00760	bsf:BSS2_I1919
ko:K00817	bsf:BSS2_I1921
ko:K00220	bsf:BSS2_I1922
ko:K07232	bsf:BSS2_I1924
ko:K14588	bsf:BSS2_II0669
ko:K04756	bsf:BSS2_II0672
ko:K03386	bsf:BSS2_II0673
ko:K04761	bsf:BSS2_II0674
ko:K00010	bsf:BSS2_II0676
ko:K03336	bsf:BSS2_II0678
ko:K03335	bsf:BSS2_II0679
ko:K01092	bsf:BSS2_II0680
ko:K02010	bsf:BSS2_II0681
ko:K02011	bsf:BSS2_II0682
ko:K02012	bsf:BSS2_II0684
ko:K13821	bsf:BSS2_II0685
ko:K03719	bsf:BSS2_II0686
ko:K00281	bsf:BSS2_II0688
ko:K02437	bsf:BSS2_II0689
ko:K00605	bsf:BSS2_II0690
ko:K01915	bsf:BSS2_II0695
ko:K02002	bsf:BSS2_II0701
ko:K02001	bsf:BSS2_II0702
ko:K02000	bsf:BSS2_II0703
ko:K02340	bsf:BSS2_I1991
ko:K03501	bsf:BSS2_I1994
ko:K03495	bsf:BSS2_I1995
ko:K03650	bsf:BSS2_I1996
ko:K06888	bsf:BSS2_I1997
ko:K03628	bsf:BSS2_I1998
ko:K08973	bsf:BSS2_I1999
ko:K01599	bsf:BSS2_I2000
ko:K09773	bsf:BSS2_I2001
ko:K06287	bsf:BSS2_I2002
ko:K00014	bsf:BSS2_I2003
ko:K00859	bsf:BSS2_I2004
ko:K02342	bsf:BSS2_I2005
ko:K03071	bsf:BSS2_I2006
ko:K07113	bsf:BSS2_I2007
ko:K08304	bsf:BSS2_I2009
ko:K03667	bsf:BSS2_I2013
ko:K01419	bsf:BSS2_I2014
ko:K01693	bsf:BSS2_I2015
ko:K02501	bsf:BSS2_I2017
ko:K01814	bsf:BSS2_I2018
ko:K02500	bsf:BSS2_I2019
ko:K01523	bsf:BSS2_I2020
ko:K00867	bsf:BSS2_I2021
ko:K15034	bsf:BSS2_I2022
ko:K01610	bsf:BSS2_I2023
ko:K14981	bsf:BSS2_I2024
ko:K14980	bsf:BSS2_I2025
ko:K02793	bsf:BSS2_I2028
ko:K11189	bsf:BSS2_I2029
ko:K01251	bsf:BSS2_I2031
ko:K03671	bsf:BSS2_I2039
ko:K11754	bsf:BSS2_I2040
ko:K01963	bsf:BSS2_I2041
ko:K00059	bsf:BSS2_II0739
ko:K00036	bsf:BSS2_II0740
ko:K01057	bsf:BSS2_II0741
ko:K01491	bsf:BSS2_II0742
ko:K00286	bsf:BSS2_II0743
ko:K02034	bsf:BSS2_II0744
ko:K02033	bsf:BSS2_II0745
ko:K02035	bsf:BSS2_II0746
ko:K01673	bsf:BSS2_II0748
ko:K04566	bsf:BSS2_II0750
ko:K01782	bsf:BSS2_II0753
ko:K00626	bsf:BSS2_II0754
ko:K10824	bsf:BSS2_II0759
ko:K15587	bsf:BSS2_II0760
ko:K15586	bsf:BSS2_II0761
ko:K15585	bsf:BSS2_II0762
ko:K03100	bsf:BSS2_I0642
ko:K03685	bsf:BSS2_I0643
ko:K03584	bsf:BSS2_I0646
