ko:K13060	yet:CH48_48
ko:K08717	yet:CH48_645
ko:K03190	yet:CH48_646
ko:K03189	yet:CH48_647
ko:K03188	yet:CH48_648
ko:K03187	yet:CH48_649
ko:K01428	yet:CH48_650
ko:K01429	yet:CH48_651
ko:K01430	yet:CH48_652
ko:K02034	yet:CH48_655
ko:K02033	yet:CH48_656
ko:K02035	yet:CH48_657
ko:K03704	yet:CH48_662
ko:K00375	yet:CH48_672
ko:K03647	yet:CH48_675
ko:K02000	yet:CH48_678
ko:K02001	yet:CH48_679
ko:K01676	yet:CH48_1488
ko:K02303	yet:CH48_1490
ko:K16651	yet:CH48_1491
ko:K01846	yet:CH48_1492
ko:K04835	yet:CH48_1495
ko:K07007	yet:CH48_1499
ko:K16322	yet:CH48_1500
ko:K06144	yet:CH48_1501
ko:K06149	yet:CH48_1502
ko:K00262	yet:CH48_1503
ko:K15984	yet:CH48_1505
ko:K01414	yet:CH48_1506
ko:K07115	yet:CH48_1507
ko:K00383	yet:CH48_1508
ko:K07058	yet:CH48_1510
ko:K01521	yet:CH48_1511
ko:K07290	yet:CH48_1512
ko:K01821	yet:CH48_1514
ko:K00874	yet:CH48_1516
ko:K11103	yet:CH48_1518
ko:K01728	yet:CH48_1520
ko:K00694	yet:CH48_1527
ko:K12372	yet:CH48_1533
ko:K12371	yet:CH48_1534
ko:K12370	yet:CH48_1535
ko:K12369	yet:CH48_1536
ko:K12368	yet:CH48_1537
ko:K02556	yet:CH48_2349
ko:K02557	yet:CH48_2350
ko:K06077	yet:CH48_2351
ko:K06282	yet:CH48_2353
ko:K06281	yet:CH48_2356
ko:K03605	yet:CH48_2357
ko:K04651	yet:CH48_2359
ko:K04652	yet:CH48_2360
ko:K04653	yet:CH48_2361
ko:K04654	yet:CH48_2362
ko:K04655	yet:CH48_2363
ko:K04656	yet:CH48_2364
ko:K00878	yet:CH48_2366
ko:K03762	yet:CH48_2372
ko:K03324	yet:CH48_2375
ko:K02529	yet:CH48_2377
ko:K08173	yet:CH48_2378
ko:K00375	yet:CH48_2379
ko:K02016	yet:CH48_2384
ko:K02015	yet:CH48_2385
ko:K02015	yet:CH48_2386
ko:K02013	yet:CH48_2387
ko:K01265	yet:CH48_2388
ko:K15549	yet:CH48_2392
ko:K02846	yet:CH48_17
ko:K11744	yet:CH48_19
ko:K07146	yet:CH48_20
ko:K08357	yet:CH48_22
ko:K08358	yet:CH48_25
ko:K13040	yet:CH48_26
ko:K13041	yet:CH48_27
ko:K02517	yet:CH48_28
ko:K15977	yet:CH48_31
ko:K03305	yet:CH48_34
ko:K03669	yet:CH48_39
ko:K03670	yet:CH48_41
ko:K11941	yet:CH48_42
ko:K11105	yet:CH48_45
ko:K03406	yet:CH48_252
ko:K16210	yet:CH48_254
ko:K18988	yet:CH48_255
ko:K09475	yet:CH48_258
ko:K12542	yet:CH48_259
ko:K12542	yet:CH48_260
ko:K07676	yet:CH48_262
ko:K07687	yet:CH48_263
ko:K07677	yet:CH48_264
ko:K02469	yet:CH48_266
ko:K00568	yet:CH48_267
ko:K11107	yet:CH48_270
ko:K08276	yet:CH48_271
ko:K03834	yet:CH48_276
ko:K03781	yet:CH48_278
ko:K01911	yet:CH48_279
ko:K02549	yet:CH48_280
ko:K01661	yet:CH48_281
ko:K08680	yet:CH48_282
ko:K02551	yet:CH48_283
ko:K02552	yet:CH48_284
ko:K05594	yet:CH48_286
ko:K00046	yet:CH48_294
ko:K00851	yet:CH48_295
ko:K02043	yet:CH48_1115
ko:K06166	yet:CH48_1116
ko:K06165	yet:CH48_1117
ko:K06164	yet:CH48_1118
ko:K06163	yet:CH48_1119
ko:K05781	yet:CH48_1120
ko:K05780	yet:CH48_1121
ko:K06162	yet:CH48_1122
ko:K05774	yet:CH48_1123
ko:K06167	yet:CH48_1125
ko:K06218	yet:CH48_1126
ko:K18923	yet:CH48_1127
ko:K09979	yet:CH48_1128
ko:K10112	yet:CH48_1130
ko:K02026	yet:CH48_1131
ko:K02025	yet:CH48_1132
ko:K02027	yet:CH48_1133
ko:K01581	yet:CH48_1136
ko:K03756	yet:CH48_1137
ko:K07461	yet:CH48_1139
ko:K03824	yet:CH48_1138
ko:K08303	yet:CH48_1141
ko:K18139	yet:CH48_1145
ko:K05592	yet:CH48_1148
ko:K05803	yet:CH48_1149
ko:K00962	yet:CH48_1150
ko:K02956	yet:CH48_1151
ko:K03177	yet:CH48_1152
ko:K02834	yet:CH48_1153
ko:K02519	yet:CH48_1154
ko:K02600	yet:CH48_1155
ko:K09748	yet:CH48_1156
ko:K03075	yet:CH48_1159
ko:K03431	yet:CH48_1160
ko:K00796	yet:CH48_1161
ko:K03798	yet:CH48_1162
ko:K01825	yet:CH48_1966
ko:K03498	yet:CH48_1970
ko:K00230	yet:CH48_1971
ko:K00075	yet:CH48_1979
ko:K03524	yet:CH48_1980
ko:K00867	yet:CH48_1981
ko:K02358	yet:CH48_1987
ko:K03073	yet:CH48_1988
ko:K02601	yet:CH48_1989
ko:K02867	yet:CH48_1990
ko:K02863	yet:CH48_1991
ko:K02864	yet:CH48_1992
ko:K02935	yet:CH48_1993
ko:K03043	yet:CH48_1994
ko:K03046	yet:CH48_1995
ko:K03150	yet:CH48_1997
ko:K03149	yet:CH48_1998
ko:K03154	yet:CH48_1999
ko:K03148	yet:CH48_2000
ko:K00788	yet:CH48_2001
ko:K03147	yet:CH48_2002
ko:K07740	yet:CH48_2003
ko:K03426	yet:CH48_2004
ko:K01599	yet:CH48_2005
ko:K05982	yet:CH48_2006
ko:K09891	yet:CH48_2007
ko:K05787	yet:CH48_2008
ko:K01945	yet:CH48_2010
ko:K00602	yet:CH48_2011
ko:K00651	yet:CH48_2021
ko:K01638	yet:CH48_2022
ko:K01637	yet:CH48_2023
ko:K01953	yet:CH48_2837
ko:K02566	yet:CH48_2838
ko:K02565	yet:CH48_2839
ko:K01443	yet:CH48_2840
ko:K02564	yet:CH48_2841
ko:K02802	yet:CH48_2842
ko:K02803	yet:CH48_2842
ko:K02804	yet:CH48_2842
ko:K01886	yet:CH48_2843
ko:K12373	yet:CH48_2846
ko:K03711	yet:CH48_2847
ko:K03839	yet:CH48_2848
ko:K03406	yet:CH48_2849
ko:K03645	yet:CH48_2853
ko:K01835	yet:CH48_2854
ko:K08978	yet:CH48_2856
ko:K07667	yet:CH48_2857
ko:K07646	yet:CH48_2858
ko:K01548	yet:CH48_2859
ko:K01547	yet:CH48_2860
ko:K01546	yet:CH48_2861
ko:K07389	yet:CH48_2864
ko:K01669	yet:CH48_2867
ko:K07160	yet:CH48_2873
ko:K01304	yet:CH48_2876
ko:K01647	yet:CH48_2877
ko:K00241	yet:CH48_2878
ko:K00242	yet:CH48_2879
ko:K00239	yet:CH48_2880
ko:K00240	yet:CH48_2881
ko:K00164	yet:CH48_2882
ko:K00658	yet:CH48_2883
ko:K01903	yet:CH48_2884
ko:K01902	yet:CH48_2885
ko:K03974	yet:CH48_3706
ko:K03969	yet:CH48_3707
ko:K03970	yet:CH48_3708
ko:K03971	yet:CH48_3710
ko:K06918	yet:CH48_3711
ko:K08990	yet:CH48_3712
ko:K03721	yet:CH48_3715
ko:K11065	yet:CH48_3716
ko:K14054	yet:CH48_3717
ko:K15580	yet:CH48_3719
ko:K16074	yet:CH48_3720
ko:K14058	yet:CH48_3721
ko:K01771	yet:CH48_3722
ko:K03737	yet:CH48_3723
ko:K03297	yet:CH48_3724
ko:K07507	yet:CH48_3725
ko:K03778	yet:CH48_3727
ko:K09978	yet:CH48_3730
ko:K01118	yet:CH48_3731
ko:K03578	yet:CH48_3732
ko:K04775	yet:CH48_3735
ko:K01299	yet:CH48_3737
ko:K07639	yet:CH48_3738
ko:K07661	yet:CH48_3739
ko:K03758	yet:CH48_3741
ko:K00324	yet:CH48_3743
ko:K00325	yet:CH48_3744
ko:K14055	yet:CH48_3745
ko:K00567	yet:CH48_3747
ko:K07470	yet:CH48_3750
ko:K00059	yet:CH48_3751
ko:K02466	yet:CH48_514
ko:K02468	yet:CH48_515
ko:K02467	yet:CH48_516
ko:K00941	yet:CH48_520
ko:K01951	yet:CH48_527
ko:K00088	yet:CH48_528
ko:K03601	yet:CH48_529
ko:K07088	yet:CH48_531
ko:K03977	yet:CH48_533
ko:K17713	yet:CH48_534
ko:K01892	yet:CH48_536
ko:K03526	yet:CH48_537
ko:K15539	yet:CH48_538
ko:K02656	yet:CH48_539
ko:K06941	yet:CH48_540
ko:K00940	yet:CH48_541
ko:K05367	yet:CH48_543
ko:K06894	yet:CH48_544
ko:K07751	yet:CH48_548
ko:K04755	yet:CH48_550
ko:K04044	yet:CH48_551
ko:K04082	yet:CH48_552
ko:K13628	yet:CH48_553
ko:K04488	yet:CH48_554
ko:K04487	yet:CH48_555
ko:K13643	yet:CH48_556
ko:K15396	yet:CH48_557
ko:K01092	yet:CH48_558
ko:K05820	yet:CH48_561
ko:K00600	yet:CH48_563
ko:K05916	yet:CH48_564
ko:K07070	yet:CH48_1381
ko:K11747	yet:CH48_1382
ko:K06158	yet:CH48_1384
ko:K03119	yet:CH48_1387
ko:K15552	yet:CH48_1388
ko:K10831	yet:CH48_1389
ko:K15551	yet:CH48_1390
ko:K07019	yet:CH48_1393
ko:K09898	yet:CH48_1394
ko:K00855	yet:CH48_1395
ko:K07397	yet:CH48_1396
ko:K10914	yet:CH48_1397
ko:K01664	yet:CH48_1400
ko:K06915	yet:CH48_1401
ko:K03767	yet:CH48_1402
ko:K01222	yet:CH48_1404
ko:K06141	yet:CH48_1406
ko:K01485	yet:CH48_1407
ko:K00362	yet:CH48_1408
ko:K00363	yet:CH48_1409
ko:K02598	yet:CH48_1410
ko:K02302	yet:CH48_1411
ko:K01867	yet:CH48_1412
ko:K01091	yet:CH48_1413
ko:K01783	yet:CH48_1414
ko:K03112	yet:CH48_1416
ko:K01735	yet:CH48_1417
ko:K00891	yet:CH48_1418
ko:K02507	yet:CH48_1419
ko:K12291	yet:CH48_1420
ko:K12290	yet:CH48_1421
ko:K12289	yet:CH48_1422
ko:K12288	yet:CH48_1423
ko:K05366	yet:CH48_1424
ko:K08312	yet:CH48_1425
ko:K04762	yet:CH48_1428
ko:K04083	yet:CH48_1429
ko:K01610	yet:CH48_1430
ko:K07638	yet:CH48_1432
ko:K01633	yet:CH48_2241
ko:K06153	yet:CH48_2242
ko:K00974	yet:CH48_2243
ko:K07184	yet:CH48_2244
ko:K18446	yet:CH48_2245
ko:K00982	yet:CH48_2246
ko:K03272	yet:CH48_2247
ko:K16263	yet:CH48_2248
ko:K09806	yet:CH48_2249
ko:K02858	yet:CH48_2250
ko:K12340	yet:CH48_2254
ko:K01515	yet:CH48_2255
ko:K09920	yet:CH48_2256
ko:K03651	yet:CH48_2257
ko:K07000	yet:CH48_2258
ko:K02622	yet:CH48_2259
ko:K03923	yet:CH48_2262
ko:K02621	yet:CH48_2263
ko:K00655	yet:CH48_2264
ko:K06221	yet:CH48_2267
ko:K08325	yet:CH48_2268
ko:K01760	yet:CH48_2271
ko:K03561	yet:CH48_2272
ko:K03559	yet:CH48_2273
ko:K12515	yet:CH48_2274
ko:K12514	yet:CH48_2275
ko:K12513	yet:CH48_2276
ko:K12512	yet:CH48_2277
ko:K12511	yet:CH48_2278
ko:K12510	yet:CH48_2279
ko:K02283	yet:CH48_2280
ko:K02282	yet:CH48_2281
ko:K02280	yet:CH48_2283
ko:K02279	yet:CH48_2284
ko:K02278	yet:CH48_2285
ko:K03919	yet:CH48_2288
ko:K07787	yet:CH48_2289
ko:K12995	yet:CH48_3105
ko:K00033	yet:CH48_3106
ko:K11755	yet:CH48_3107
ko:K02500	yet:CH48_3108
ko:K01814	yet:CH48_3109
ko:K02501	yet:CH48_3110
ko:K01089	yet:CH48_3111
ko:K00817	yet:CH48_3112
ko:K00013	yet:CH48_3113
ko:K00765	yet:CH48_3114
ko:K02057	yet:CH48_3117
ko:K02056	yet:CH48_3118
ko:K01141	yet:CH48_3123
ko:K09802	yet:CH48_3126
ko:K02057	yet:CH48_3127
ko:K02057	yet:CH48_3128
ko:K02056	yet:CH48_3129
ko:K02058	yet:CH48_3130
ko:K16651	yet:CH48_3131
ko:K04720	yet:CH48_3132
ko:K02303	yet:CH48_3133
ko:K04029	yet:CH48_3135
ko:K04031	yet:CH48_3136
ko:K13921	yet:CH48_3139
ko:K13922	yet:CH48_3140
ko:K13923	yet:CH48_3144
ko:K13920	yet:CH48_3150
ko:K13919	yet:CH48_3151
ko:K09907	yet:CH48_3974
ko:K01887	yet:CH48_3975
ko:K11937	yet:CH48_3979
ko:K11936	yet:CH48_3980
ko:K11931	yet:CH48_3981
ko:K11935	yet:CH48_3982
ko:K13255	yet:CH48_3985
ko:K16868	yet:CH48_3988
ko:K02003	yet:CH48_3991
ko:K02004	yet:CH48_3992
ko:K02004	yet:CH48_3993
ko:K07230	yet:CH48_3995
ko:K07243	yet:CH48_3996
ko:K01425	yet:CH48_3999
ko:K07701	yet:CH48_4004
ko:K07703	yet:CH48_4005
ko:K11616	yet:CH48_4006
ko:K11738	yet:CH48_4007
ko:K10974	yet:CH48_4018
ko:K15547	yet:CH48_2393
ko:K01581	yet:CH48_2395
ko:K03756	yet:CH48_2396
ko:K01442	yet:CH48_2398
ko:K07480	yet:CH48_2400
ko:K03415	yet:CH48_3212
ko:K16137	yet:CH48_3213
ko:K07124	yet:CH48_3214
ko:K00077	yet:CH48_3216
ko:K02010	yet:CH48_3218
ko:K02011	yet:CH48_3219
ko:K02012	yet:CH48_3220
ko:K07783	yet:CH48_3221
ko:K07702	yet:CH48_3224
ko:K07700	yet:CH48_3226
ko:K01646	yet:CH48_3229
ko:K01644	yet:CH48_3230
ko:K01643	yet:CH48_3231
ko:K05964	yet:CH48_3232
ko:K05966	yet:CH48_3233
ko:K09477	yet:CH48_3234
ko:K09912	yet:CH48_3242
ko:K06177	yet:CH48_3243
ko:K02016	yet:CH48_3244
ko:K07347	yet:CH48_3248
ko:K07345	yet:CH48_3250
ko:K07679	yet:CH48_3251
ko:K07688	yet:CH48_3252
ko:K09933	yet:CH48_3254
ko:K10439	yet:CH48_3256
ko:K01740	yet:CH48_4088
ko:K03503	yet:CH48_4090
ko:K03502	yet:CH48_4091
ko:K03776	yet:CH48_4092
ko:K01193	yet:CH48_4095
ko:K02532	yet:CH48_4096
ko:K00031	yet:CH48_4100
ko:K09953	yet:CH48_4101
ko:K00031	yet:CH48_4106
ko:K06181	yet:CH48_4107
ko:K12152	yet:CH48_4108
ko:K00566	yet:CH48_4109
ko:K07153	yet:CH48_4110
ko:K01756	yet:CH48_4111
ko:K07660	yet:CH48_4113
ko:K07637	yet:CH48_4114
ko:K18850	yet:CH48_4115
ko:K01258	yet:CH48_4116
ko:K12410	yet:CH48_4117
ko:K00884	yet:CH48_4118
ko:K09808	yet:CH48_4119
ko:K09810	yet:CH48_4120
ko:K09808	yet:CH48_4121
ko:K03723	yet:CH48_4122
ko:K03885	yet:CH48_4125
ko:K07000	yet:CH48_4126
ko:K01207	yet:CH48_4127
ko:K07251	yet:CH48_4128
ko:K07337	yet:CH48_4129
ko:K02503	yet:CH48_4131
ko:K00014	yet:CH48_4132
ko:K04018	yet:CH48_49
ko:K02200	yet:CH48_50
ko:K02199	yet:CH48_51
ko:K02198	yet:CH48_52
ko:K04015	yet:CH48_53
ko:K04014	yet:CH48_54
ko:K04013	yet:CH48_55
ko:K03385	yet:CH48_56
ko:K11179	yet:CH48_58
ko:K01512	yet:CH48_59
ko:K06969	yet:CH48_62
ko:K11940	yet:CH48_63
ko:K06929	yet:CH48_64
ko:K09909	yet:CH48_65
ko:K01734	yet:CH48_66
ko:K03658	yet:CH48_67
ko:K07343	yet:CH48_70
ko:K13053	yet:CH48_71
ko:K03286	yet:CH48_72
ko:K09911	yet:CH48_73
ko:K04770	yet:CH48_74
ko:K01716	yet:CH48_75
ko:K00382	yet:CH48_906
ko:K00627	yet:CH48_907
ko:K00163	yet:CH48_908
ko:K11734	yet:CH48_910
ko:K03807	yet:CH48_911
ko:K03806	yet:CH48_912
ko:K00767	yet:CH48_913
ko:K02682	yet:CH48_914
ko:K02504	yet:CH48_915
ko:K02505	yet:CH48_916
ko:K00364	yet:CH48_917
ko:K00859	yet:CH48_918
ko:K18778	yet:CH48_919
ko:K09862	yet:CH48_920
ko:K03574	yet:CH48_921
ko:K03070	yet:CH48_922
ko:K13301	yet:CH48_923
ko:K02535	yet:CH48_925
ko:K03531	yet:CH48_926
ko:K03590	yet:CH48_927
ko:K03589	yet:CH48_928
ko:K01921	yet:CH48_929
ko:K01924	yet:CH48_930
ko:K02563	yet:CH48_931
ko:K03588	yet:CH48_932
ko:K01925	yet:CH48_933
ko:K01000	yet:CH48_934
ko:K01929	yet:CH48_935
ko:K01928	yet:CH48_936
ko:K03587	yet:CH48_937
ko:K03586	yet:CH48_938
ko:K03438	yet:CH48_939
ko:K03925	yet:CH48_940
ko:K03435	yet:CH48_942
ko:K01653	yet:CH48_943
ko:K01652	yet:CH48_944
ko:K01897	yet:CH48_945
ko:K05798	yet:CH48_946
ko:K01649	yet:CH48_948
ko:K00052	yet:CH48_949
ko:K01703	yet:CH48_950
ko:K01704	yet:CH48_951
ko:K01667	yet:CH48_953
ko:K02841	yet:CH48_1751
ko:K02843	yet:CH48_1752
ko:K03274	yet:CH48_1753
ko:K00639	yet:CH48_1754
ko:K00060	yet:CH48_1755
ko:K09798	yet:CH48_1758
ko:K15633	yet:CH48_1760
ko:K03071	yet:CH48_1763
ko:K00057	yet:CH48_1764
ko:K00640	yet:CH48_1765
ko:K03216	yet:CH48_1766
ko:K10778	yet:CH48_1767
ko:K07640	yet:CH48_1768
ko:K06006	yet:CH48_1770
ko:K13283	yet:CH48_1771
ko:K00850	yet:CH48_1772
ko:K02048	yet:CH48_1773
ko:K01803	yet:CH48_1775
ko:K00528	yet:CH48_1778
ko:K08154	yet:CH48_1781
ko:K02446	yet:CH48_1782
ko:K00864	yet:CH48_1783
ko:K02440	yet:CH48_1784
ko:K09892	yet:CH48_1785
ko:K02553	yet:CH48_1786
ko:K02548	yet:CH48_1787
ko:K03667	yet:CH48_1788
ko:K01419	yet:CH48_1789
ko:K03591	yet:CH48_1790
ko:K05499	yet:CH48_1791
ko:K04066	yet:CH48_1792
ko:K02909	yet:CH48_1793
ko:K03764	yet:CH48_1794
ko:K01739	yet:CH48_1795
ko:K12525	yet:CH48_1796
ko:K00297	yet:CH48_1797
ko:K01595	yet:CH48_1798
ko:K01438	yet:CH48_1799
ko:K00145	yet:CH48_1800
ko:K00930	yet:CH48_1801
ko:K01755	yet:CH48_1802
ko:K00350	yet:CH48_2621
ko:K00351	yet:CH48_2622
ko:K03734	yet:CH48_2623
ko:K05952	yet:CH48_2624
ko:K01921	yet:CH48_2626
ko:K02346	yet:CH48_2630
ko:K01270	yet:CH48_2631
ko:K00769	yet:CH48_2632
ko:K11750	yet:CH48_2633
ko:K11926	yet:CH48_2634
ko:K00931	yet:CH48_2635
ko:K00147	yet:CH48_2636
ko:K03482	yet:CH48_2637
ko:K02749	yet:CH48_2638
ko:K02750	yet:CH48_2638
ko:K01232	yet:CH48_2639
ko:K13688	yet:CH48_2641
ko:K02016	yet:CH48_2647
ko:K02014	yet:CH48_2648
ko:K00891	yet:CH48_2649
ko:K09913	yet:CH48_2650
ko:K03554	yet:CH48_2651
ko:K00847	yet:CH48_2652
ko:K03547	yet:CH48_2654
ko:K07657	yet:CH48_2655
ko:K07636	yet:CH48_2656
ko:K02040	yet:CH48_2657
ko:K03311	yet:CH48_2658
ko:K11736	yet:CH48_2659
ko:K01187	yet:CH48_2660
ko:K00681	yet:CH48_2662
ko:K18921	yet:CH48_2663
ko:K03386	yet:CH48_2664
ko:K08682	yet:CH48_2665
ko:K07568	yet:CH48_2666
ko:K00773	yet:CH48_2669
ko:K03210	yet:CH48_2670
ko:K03072	yet:CH48_2671
ko:K03074	yet:CH48_2672
ko:K00673	yet:CH48_3483
ko:K06447	yet:CH48_3484
ko:K01484	yet:CH48_3485
ko:K05526	yet:CH48_3486
ko:K01479	yet:CH48_3491
ko:K01468	yet:CH48_3492
ko:K05836	yet:CH48_3493
ko:K05603	yet:CH48_3494
ko:K09975	yet:CH48_3495
ko:K12943	yet:CH48_3500
ko:K08302	yet:CH48_3501
ko:K02082	yet:CH48_3502
ko:K02744	yet:CH48_3503
ko:K02747	yet:CH48_3504
ko:K02746	yet:CH48_3505
ko:K02745	yet:CH48_3506
ko:K16371	yet:CH48_3507
ko:K06182	yet:CH48_3512
ko:K03312	yet:CH48_3513
ko:K15257	yet:CH48_3517
ko:K15256	yet:CH48_3518
ko:K07136	yet:CH48_3519
ko:K01876	yet:CH48_3522
ko:K08310	yet:CH48_3523
ko:K01159	yet:CH48_3525
ko:K03550	yet:CH48_3526
ko:K03551	yet:CH48_3527
ko:K03305	yet:CH48_3528
ko:K09816	yet:CH48_3529
ko:K09817	yet:CH48_3530
ko:K09815	yet:CH48_3531
ko:K02560	yet:CH48_3533
ko:K03976	yet:CH48_2764
ko:K02002	yet:CH48_680
ko:K02342	yet:CH48_682
ko:K03469	yet:CH48_683
ko:K01069	yet:CH48_685
ko:K08307	yet:CH48_686
ko:K06222	yet:CH48_692
ko:K09458	yet:CH48_693
ko:K03273	yet:CH48_702
ko:K02071	yet:CH48_703
ko:K02072	yet:CH48_704
ko:K02073	yet:CH48_705
ko:K06080	yet:CH48_706
ko:K01881	yet:CH48_708
ko:K06079	yet:CH48_709
ko:K15034	yet:CH48_710
ko:K19000	yet:CH48_713
ko:K04075	yet:CH48_715
ko:K08234	yet:CH48_716
ko:K01962	yet:CH48_718
ko:K02337	yet:CH48_719
ko:K03470	yet:CH48_720
ko:K00748	yet:CH48_721
ko:K00677	yet:CH48_722
ko:K02372	yet:CH48_723
ko:K02536	yet:CH48_724
ko:K06142	yet:CH48_725
ko:K07277	yet:CH48_726
ko:K11749	yet:CH48_727
ko:K00981	yet:CH48_728
ko:K00806	yet:CH48_729
ko:K00099	yet:CH48_730
ko:K02838	yet:CH48_731
ko:K09903	yet:CH48_732
ko:K02357	yet:CH48_733
ko:K02967	yet:CH48_734
ko:K12975	yet:CH48_1540
ko:K07675	yet:CH48_1542
ko:K07783	yet:CH48_1543
ko:K18837	yet:CH48_1550
ko:K00847	yet:CH48_1555
ko:K02759	yet:CH48_1556
ko:K02761	yet:CH48_1557
ko:K02760	yet:CH48_1558
ko:K02761	yet:CH48_1559
ko:K16077	yet:CH48_1561
ko:K01223	yet:CH48_1563
ko:K01809	yet:CH48_1564
ko:K07347	yet:CH48_1566
ko:K01712	yet:CH48_1568
ko:K01745	yet:CH48_1569
ko:K16234	yet:CH48_1570
ko:K02529	yet:CH48_1580
ko:K10544	yet:CH48_1581
ko:K00343	yet:CH48_299
ko:K00342	yet:CH48_300
ko:K00341	yet:CH48_301
ko:K00340	yet:CH48_302
ko:K00339	yet:CH48_303
ko:K00338	yet:CH48_304
ko:K00337	yet:CH48_305
ko:K00334	yet:CH48_308
ko:K13378	yet:CH48_309
ko:K00331	yet:CH48_310
ko:K00330	yet:CH48_311
ko:K14260	yet:CH48_313
ko:K08722	yet:CH48_314
ko:K09161	yet:CH48_318
ko:K09899	yet:CH48_319
ko:K00925	yet:CH48_320
ko:K13788	yet:CH48_321
ko:K02821	yet:CH48_323
ko:K02822	yet:CH48_324
ko:K03475	yet:CH48_325
ko:K07095	yet:CH48_329
ko:K07071	yet:CH48_331
ko:K10017	yet:CH48_333
ko:K10015	yet:CH48_334
ko:K10016	yet:CH48_335
ko:K10014	yet:CH48_336
ko:K03186	yet:CH48_337
ko:K00764	yet:CH48_338
ko:K03558	yet:CH48_339
ko:K03749	yet:CH48_340
ko:K11754	yet:CH48_341
ko:K01963	yet:CH48_342
ko:K03975	yet:CH48_343
ko:K06173	yet:CH48_344
ko:K03473	yet:CH48_348
ko:K02427	yet:CH48_1163
ko:K07574	yet:CH48_1164
ko:K03624	yet:CH48_1165
ko:K07259	yet:CH48_1166
ko:K07771	yet:CH48_1167
ko:K07643	yet:CH48_1168
ko:K03979	yet:CH48_1169
ko:K02899	yet:CH48_1171
ko:K02888	yet:CH48_1172
ko:K02523	yet:CH48_1173
ko:K07724	yet:CH48_1175
ko:K00024	yet:CH48_1176
ko:K03402	yet:CH48_1177
ko:K02558	yet:CH48_1179
ko:K02558	yet:CH48_1182
ko:K03841	yet:CH48_1183
ko:K01507	yet:CH48_1185
ko:K09800	yet:CH48_1190
ko:K07278	yet:CH48_1191
ko:K07304	yet:CH48_1192
ko:K07109	yet:CH48_1195
ko:K01082	yet:CH48_1196
ko:K01119	yet:CH48_1197
ko:K07322	yet:CH48_1198
ko:K03773	yet:CH48_1199
ko:K07269	yet:CH48_1200
ko:K02939	yet:CH48_1202
ko:K02963	yet:CH48_1203
ko:K02990	yet:CH48_1204
ko:K06889	yet:CH48_1206
ko:K09456	yet:CH48_1208
ko:K03218	yet:CH48_1209
ko:K12573	yet:CH48_1210
ko:K13771	yet:CH48_1211
ko:K01939	yet:CH48_1212
ko:K09937	yet:CH48_1213
ko:K04087	yet:CH48_1214
ko:K04088	yet:CH48_1215
ko:K03665	yet:CH48_1216
ko:K00906	yet:CH48_2024
ko:K13641	yet:CH48_2025
ko:K00548	yet:CH48_2026
ko:K11016	yet:CH48_2027
ko:K11017	yet:CH48_2028
ko:K03453	yet:CH48_2029
ko:K00928	yet:CH48_2030
ko:K01810	yet:CH48_2031
ko:K13256	yet:CH48_2032
ko:K10110	yet:CH48_2033
ko:K10109	yet:CH48_2034
ko:K10108	yet:CH48_2035
ko:K10111	yet:CH48_2036
ko:K02024	yet:CH48_2037
ko:K05775	yet:CH48_2038
ko:K03181	yet:CH48_2040
ko:K03179	yet:CH48_2041
ko:K00631	yet:CH48_2042
ko:K00901	yet:CH48_2043
ko:K01356	yet:CH48_2044
ko:K09823	yet:CH48_2046
ko:K05539	yet:CH48_2048
ko:K01775	yet:CH48_2053
ko:K00832	yet:CH48_2054
ko:K03701	yet:CH48_2057
ko:K03111	yet:CH48_2058
ko:K07154	yet:CH48_2059
ko:K15773	yet:CH48_2060
ko:K00799	yet:CH48_2061
ko:K06901	yet:CH48_2062
ko:K03316	yet:CH48_2063
ko:K06518	yet:CH48_2065
ko:K09972	yet:CH48_2067
ko:K09971	yet:CH48_2068
ko:K09970	yet:CH48_2069
ko:K09969	yet:CH48_2070
ko:K12974	yet:CH48_2072
ko:K03319	yet:CH48_2073
ko:K03704	yet:CH48_2074
ko:K03704	yet:CH48_2075
ko:K01119	yet:CH48_2887
ko:K00425	yet:CH48_2888
ko:K00426	yet:CH48_2889
ko:K07107	yet:CH48_2892
ko:K03562	yet:CH48_2893
ko:K03560	yet:CH48_2894
ko:K03646	yet:CH48_2895
ko:K03641	yet:CH48_2896
ko:K03640	yet:CH48_2897
ko:K03517	yet:CH48_2903
ko:K03811	yet:CH48_2904
ko:K16264	yet:CH48_2905
ko:K01626	yet:CH48_2906
ko:K01834	yet:CH48_2907
ko:K01173	yet:CH48_2908
ko:K01785	yet:CH48_2912
ko:K00849	yet:CH48_2913
ko:K00965	yet:CH48_2914
ko:K01784	yet:CH48_2915
ko:K07052	yet:CH48_2916
ko:K05776	yet:CH48_2917
ko:K02019	yet:CH48_2918
ko:K02020	yet:CH48_2920
ko:K01077	yet:CH48_3752
ko:K00852	yet:CH48_3753
ko:K02429	yet:CH48_3755
ko:K01653	yet:CH48_3758
ko:K01652	yet:CH48_3759
ko:K07783	yet:CH48_3766
ko:K01092	yet:CH48_3767
ko:K01241	yet:CH48_3769
ko:K01482	yet:CH48_3776
ko:K10014	yet:CH48_3777
ko:K06987	yet:CH48_3781
ko:K01993	yet:CH48_3783
ko:K01992	yet:CH48_3784
ko:K11209	yet:CH48_3785
