ko:K16235	bbrj:B7017_1059
ko:K02803	bbrj:B7017_2084
ko:K02804	bbrj:B7017_2084
ko:K03218	bbrj:B7017_2086
ko:K01792	bbrj:B7017_2087
ko:K00965	bbrj:B7017_2088
ko:K07284	bbrj:B7017_2091
ko:K10112	bbrj:B7017_2094
ko:K03710	bbrj:B7017_2095
ko:K03475	bbrj:B7017_2096
ko:K02822	bbrj:B7017_2097
ko:K02821	bbrj:B7017_2098
ko:K03647	bbrj:B7017_2105
ko:K01744	bbrj:B7017_0304
ko:K00567	bbrj:B7017_0310
ko:K00997	bbrj:B7017_0311
ko:K05341	bbrj:B7017_0312
ko:K02956	bbrj:B7017_0321
ko:K00962	bbrj:B7017_0322
ko:K02003	bbrj:B7017_0324
ko:K03744	bbrj:B7017_0326
ko:K02860	bbrj:B7017_0333
ko:K06960	bbrj:B7017_0334
ko:K02959	bbrj:B7017_0335
ko:K03106	bbrj:B7017_0337
ko:K01883	bbrj:B7017_0339
ko:K01653	bbrj:B7017_0344
ko:K01652	bbrj:B7017_0345
ko:K03685	bbrj:B7017_0346
ko:K02911	bbrj:B7017_0347
ko:K07040	bbrj:B7017_0348
ko:K00954	bbrj:B7017_0350
ko:K00763	bbrj:B7017_0355
ko:K00989	bbrj:B7017_0356
ko:K02428	bbrj:B7017_0357
ko:K02003	bbrj:B7017_1186
ko:K02004	bbrj:B7017_1187
ko:K08369	bbrj:B7017_1188
ko:K04487	bbrj:B7017_1189
ko:K00767	bbrj:B7017_1190
ko:K00278	bbrj:B7017_1191
ko:K03517	bbrj:B7017_1192
ko:K06024	bbrj:B7017_1194
ko:K05896	bbrj:B7017_1195
ko:K04763	bbrj:B7017_1197
ko:K00865	bbrj:B7017_1198
ko:K02887	bbrj:B7017_1199
ko:K02916	bbrj:B7017_1200
ko:K02520	bbrj:B7017_1201
ko:K00949	bbrj:B7017_1202
ko:K00134	bbrj:B7017_1203
ko:K03527	bbrj:B7017_1205
ko:K03088	bbrj:B7017_1209
ko:K01928	bbrj:B7017_1210
ko:K03529	bbrj:B7017_1214
ko:K11754	bbrj:B7017_1215
ko:K01262	bbrj:B7017_1216
ko:K01443	bbrj:B7017_1218
ko:K02564	bbrj:B7017_1219
ko:K00847	bbrj:B7017_1223
ko:K07560	bbrj:B7017_1225
ko:K03589	bbrj:B7017_1226
ko:K01924	bbrj:B7017_1227
ko:K02563	bbrj:B7017_1228
ko:K03588	bbrj:B7017_1229
ko:K01925	bbrj:B7017_1230
ko:K01000	bbrj:B7017_1231
ko:K01929	bbrj:B7017_1232
ko:K03587	bbrj:B7017_1234
ko:K03438	bbrj:B7017_1236
ko:K01183	bbrj:B7017_0587
ko:K02069	bbrj:B7017_0589
ko:K02068	bbrj:B7017_0590
ko:K02356	bbrj:B7017_0591
ko:K03625	bbrj:B7017_0592
ko:K01956	bbrj:B7017_0593
ko:K01955	bbrj:B7017_0594
ko:K01591	bbrj:B7017_0595
ko:K00942	bbrj:B7017_0596
ko:K02342	bbrj:B7017_0597
ko:K06999	bbrj:B7017_0600
ko:K01760	bbrj:B7017_0601
ko:K01776	bbrj:B7017_0607
ko:K01778	bbrj:B7017_0608
ko:K07053	bbrj:B7017_0610
ko:K03657	bbrj:B7017_0613
ko:K07177	bbrj:B7017_0615
ko:K00099	bbrj:B7017_0618
ko:K03584	bbrj:B7017_0621
ko:K00806	bbrj:B7017_0622
ko:K16784	bbrj:B7017_0626
ko:K01972	bbrj:B7017_0630
ko:K03593	bbrj:B7017_0631
ko:K01915	bbrj:B7017_0632
ko:K00382	bbrj:B7017_0634
ko:K00845	bbrj:B7017_1684
ko:K10805	bbrj:B7017_1687
ko:K13940	bbrj:B7017_1689
ko:K00796	bbrj:B7017_1690
ko:K01495	bbrj:B7017_1691
ko:K03798	bbrj:B7017_1692
ko:K00760	bbrj:B7017_1693
ko:K04075	bbrj:B7017_1694
ko:K07259	bbrj:B7017_1695
ko:K01992	bbrj:B7017_1696
ko:K01990	bbrj:B7017_1697
ko:K00048	bbrj:B7017_1701
ko:K00574	bbrj:B7017_1702
ko:K03439	bbrj:B7017_1703
ko:K01079	bbrj:B7017_1713
ko:K03671	bbrj:B7017_0432
ko:K03426	bbrj:B7017_0435
ko:K02437	bbrj:B7017_0436
ko:K01354	bbrj:B7017_0438
ko:K00052	bbrj:B7017_0439
ko:K03800	bbrj:B7017_0440
ko:K00226	bbrj:B7017_0444
ko:K00965	bbrj:B7017_0446
ko:K00849	bbrj:B7017_0447
ko:K07166	bbrj:B7017_0448
ko:K09157	bbrj:B7017_0449
ko:K03216	bbrj:B7017_0450
ko:K03575	bbrj:B7017_0451
ko:K03043	bbrj:B7017_0453
ko:K03046	bbrj:B7017_0454
ko:K03657	bbrj:B7017_0460
ko:K00215	bbrj:B7017_0462
ko:K01714	bbrj:B7017_0463
ko:K12574	bbrj:B7017_0464
ko:K01256	bbrj:B7017_0465
ko:K03431	bbrj:B7017_0466
ko:K01462	bbrj:B7017_0467
ko:K02836	bbrj:B7017_0469
ko:K09812	bbrj:B7017_0470
ko:K09811	bbrj:B7017_0471
ko:K03664	bbrj:B7017_0473
ko:K08369	bbrj:B7017_1521
ko:K02529	bbrj:B7017_1526
ko:K02532	bbrj:B7017_1527
ko:K01193	bbrj:B7017_1528
ko:K00886	bbrj:B7017_1529
ko:K07574	bbrj:B7017_1534
ko:K08972	bbrj:B7017_1535
ko:K07478	bbrj:B7017_1541
ko:K06895	bbrj:B7017_1546
ko:K10007	bbrj:B7017_1548
ko:K10006	bbrj:B7017_1549
ko:K10005	bbrj:B7017_1550
ko:K10008	bbrj:B7017_1551
ko:K01876	bbrj:B7017_1553
ko:K01892	bbrj:B7017_1554
ko:K03696	bbrj:B7017_1560
ko:K03704	bbrj:B7017_1563
ko:K02484	bbrj:B7017_1564
ko:K04077	bbrj:B7017_1568
ko:K03648	bbrj:B7017_1570
ko:K03924	bbrj:B7017_1571
ko:K07114	bbrj:B7017_1575
ko:K00688	bbrj:B7017_0813
ko:K01443	bbrj:B7017_0814
ko:K02564	bbrj:B7017_0815
ko:K01792	bbrj:B7017_0818
ko:K06871	bbrj:B7017_0821
ko:K07090	bbrj:B7017_0822
ko:K07090	bbrj:B7017_0824
ko:K03306	bbrj:B7017_0832
ko:K07220	bbrj:B7017_0833
ko:K05995	bbrj:B7017_0844
ko:K08281	bbrj:B7017_0845
ko:K07727	bbrj:B7017_0848
ko:K03816	bbrj:B7017_0851
ko:K03657	bbrj:B7017_0852
ko:K02004	bbrj:B7017_0854
ko:K02003	bbrj:B7017_0855
ko:K02986	bbrj:B7017_0856
ko:K07010	bbrj:B7017_0857
ko:K01489	bbrj:B7017_0858
ko:K01243	bbrj:B7017_1891
ko:K01626	bbrj:B7017_1892
ko:K01626	bbrj:B7017_1893
ko:K01372	bbrj:B7017_1894
ko:K01304	bbrj:B7017_1896
ko:K08303	bbrj:B7017_1899
ko:K00554	bbrj:B7017_1900
ko:K08316	bbrj:B7017_1901
ko:K03655	bbrj:B7017_1902
ko:K02902	bbrj:B7017_1903
ko:K06902	bbrj:B7017_1905
ko:K11533	bbrj:B7017_1913
ko:K11263	bbrj:B7017_1915
ko:K03523	bbrj:B7017_1916
ko:K03524	bbrj:B7017_1917
ko:K02863	bbrj:B7017_1920
ko:K02867	bbrj:B7017_1921
ko:K02601	bbrj:B7017_1923
ko:K03073	bbrj:B7017_1924
ko:K00931	bbrj:B7017_1927
ko:K03979	bbrj:B7017_1928
ko:K02899	bbrj:B7017_1929
ko:K02888	bbrj:B7017_1930
ko:K01439	bbrj:B7017_1932
ko:K07088	bbrj:B7017_1933
ko:K02429	bbrj:B7017_1936
ko:K18333	bbrj:B7017_1937
ko:K18334	bbrj:B7017_1938
ko:K02529	bbrj:B7017_1939
ko:K02003	bbrj:B7017_1941
ko:K16235	bbrj:B7017_0942
ko:K14218	bbrj:B7017_tRNA1
ko:K14218	bbrj:B7017_tRNA22
ko:K14218	bbrj:B7017_tRNA23
ko:K14228	bbrj:B7017_tRNA3
ko:K14228	bbrj:B7017_tRNA13
ko:K14229	bbrj:B7017_tRNA8
ko:K14229	bbrj:B7017_tRNA9
ko:K14230	bbrj:B7017_tRNA10
ko:K14219	bbrj:B7017_tRNA11
ko:K14219	bbrj:B7017_tRNA15
ko:K14219	bbrj:B7017_tRNA24
ko:K14219	bbrj:B7017_tRNA25
ko:K14219	bbrj:B7017_tRNA35
ko:K14234	bbrj:B7017_tRNA14
ko:K14226	bbrj:B7017_tRNA16
ko:K14237	bbrj:B7017_tRNA17
ko:K14237	bbrj:B7017_tRNA30
ko:K14237	bbrj:B7017_tRNA49
ko:K14232	bbrj:B7017_tRNA27
ko:K14232	bbrj:B7017_tRNA41
ko:K14235	bbrj:B7017_tRNA51
ko:K14222	bbrj:B7017_tRNA31
ko:K01985	bbrj:B7017_rRNA5S1
ko:K01985	bbrj:B7017_rRNA5S2
ko:K01980	bbrj:B7017_rRNA23S2
ko:K01980	bbrj:B7017_rRNA23S1
ko:K14228	bbrj:B7017_tRNA18
ko:K14228	bbrj:B7017_tRNA19
ko:K14228	bbrj:B7017_tRNA26
ko:K14225	bbrj:B7017_tRNA4
ko:K14225	bbrj:B7017_tRNA12
ko:K14225	bbrj:B7017_tRNA32
ko:K14225	bbrj:B7017_tRNA28
ko:K14225	bbrj:B7017_tRNA50
ko:K14224	bbrj:B7017_tRNA5
ko:K14223	bbrj:B7017_tRNA6
ko:K14223	bbrj:B7017_tRNA21
ko:K01977	bbrj:B7017_rRNA16S1
ko:K01977	bbrj:B7017_rRNA16S2
ko:K14221	bbrj:B7017_tRNA37
ko:K14221	bbrj:B7017_tRNA39
ko:K14231	bbrj:B7017_tRNA38
ko:K14233	bbrj:B7017_tRNA42
ko:K14233	bbrj:B7017_tRNA43
ko:K14227	bbrj:B7017_tRNA2
ko:K14233	bbrj:B7017_tRNA7
ko:K14230	bbrj:B7017_tRNA36
ko:K14237	bbrj:B7017_tRNA29
ko:K14237	bbrj:B7017_tRNA48
ko:K03574	bbrj:B7017_1968
ko:K13059	bbrj:B7017_1781
ko:K14220	bbrj:B7017_tRNA33
ko:K14220	bbrj:B7017_tRNA34
ko:K14233	bbrj:B7017_tRNA44
ko:K14234	bbrj:B7017_tRNA46
ko:K14234	bbrj:B7017_tRNA53
ko:K14236	bbrj:B7017_tRNA47
ko:K14218	bbrj:B7017_tRNA52
ko:K14232	bbrj:B7017_tRNA20
ko:K14230	bbrj:B7017_tRNA45
ko:K03710	bbrj:B7017_0502
ko:K01214	bbrj:B7017_0729
ko:K07171	bbrj:B7017_0804
ko:K06147	bbrj:B7017_0371
ko:K03502	bbrj:B7017_0537
ko:K03111	bbrj:B7017_1655
ko:K03496	bbrj:B7017_1709
ko:K03205	bbrj:B7017_1725
ko:K07473	bbrj:B7017_0654
ko:K03497	bbrj:B7017_1737
ko:K07473	bbrj:B7017_0805
ko:K07473	bbrj:B7017_0862
ko:K07473	bbrj:B7017_0922
ko:K07467	bbrj:B7017_1053
ko:K03497	bbrj:B7017_2124
ko:K03496	bbrj:B7017_2125
ko:K03111	bbrj:B7017_0239
ko:K03496	bbrj:B7017_1196
ko:K03976	bbrj:B7017_1204
ko:K07483	bbrj:B7017_0422
ko:K03526	bbrj:B7017_0619
ko:K07816	bbrj:B7017_1161
ko:K07464	bbrj:B7017_1611
ko:K00067	bbrj:B7017_2011
ko:K01790	bbrj:B7017_2011
ko:K19119	bbrj:B7017_1614
ko:K19180	bbrj:B7017_2005
ko:K19157	bbrj:B7017_0921
ko:K19158	bbrj:B7017_0653
ko:K09951	bbrj:B7017_1609
ko:K01710	bbrj:B7017_2010
ko:K19117	bbrj:B7017_1613
ko:K19118	bbrj:B7017_1612
ko:K07062	bbrj:B7017_0342
ko:K01621	bbrj:B7017_0749
ko:K19265	bbrj:B7017_0352
ko:K01239	bbrj:B7017_0332
ko:K01785	bbrj:B7017_1207
ko:K01990	bbrj:B7017_0837
ko:K12952	bbrj:B7017_1167
ko:K08217	bbrj:B7017_0826
ko:K01785	bbrj:B7017_1206
ko:K08156	bbrj:B7017_1772
ko:K12132	bbrj:B7017_0741
ko:K00526	bbrj:B7017_2102
ko:K20459	bbrj:B7017_1087
ko:K19710	bbrj:B7017_0980
ko:K08744	bbrj:B7017_0951
ko:K02538	bbrj:B7017_1591
ko:K18907	bbrj:B7017_1545
ko:K12132	bbrj:B7017_0079
ko:K12132	bbrj:B7017_1145
ko:K12132	bbrj:B7017_0080
ko:K20074	bbrj:B7017_0083
ko:K20461	bbrj:B7017_1089
ko:K20460	bbrj:B7017_1088
ko:K20534	bbrj:B7017_2007
ko:K02529	bbrj:B7017_0189
ko:K01214	bbrj:B7017_1849
ko:K20814	bbrj:B7017_1585
ko:K21011	bbrj:B7017_0052
ko:K21012	bbrj:B7017_0053
ko:K00821	bbrj:B7017_0647
ko:K21636	bbrj:B7017_1636
ko:K02316	bbrj:B7017_0499
ko:K04068	bbrj:B7017_1635
ko:K00287	bbrj:B7017_1757
ko:K00560	bbrj:B7017_1758
ko:K06223	bbrj:B7017_0735
ko:K06217	bbrj:B7017_0885
ko:K06191	bbrj:B7017_2106
ko:K02314	bbrj:B7017_0231
ko:K01520	bbrj:B7017_1130
ko:K03553	bbrj:B7017_1152
ko:K02031	bbrj:B7017_0489
ko:K02032	bbrj:B7017_0490
ko:K02032	bbrj:B7017_0174
ko:K00525	bbrj:B7017_2104
ko:K02335	bbrj:B7017_0726
ko:K07005	bbrj:B7017_0094
ko:K03293	bbrj:B7017_2050
ko:K21471	bbrj:B7017_0472
ko:K03293	bbrj:B7017_2053
ko:K05364	bbrj:B7017_0081
ko:K21495	bbrj:B7017_0343
ko:K21498	bbrj:B7017_0807
ko:K21600	bbrj:B7017_0244
ko:K10914	bbrj:B7017_0441
ko:K21739	bbrj:B7017_1794
ko:K00936	bbrj:B7017_0700
ko:K22010	bbrj:B7017_0725
ko:K03595	bbrj:B7017_0888
ko:K22306	bbrj:B7017_0752
ko:K22397	bbrj:B7017_1934
ko:K22397	bbrj:B7017_1260
ko:K08300	bbrj:B7017_1931
ko:K08301	bbrj:B7017_1931
