ko:K19079	suc:ECTR2_612
ko:K02112	suc:ECTR2_1959
ko:K02115	suc:ECTR2_1960
ko:K02111	suc:ECTR2_1961
ko:K02113	suc:ECTR2_1962
ko:K02109	suc:ECTR2_1963
ko:K02110	suc:ECTR2_1964
ko:K02108	suc:ECTR2_1965
ko:K00761	suc:ECTR2_1968
ko:K00600	suc:ECTR2_1969
ko:K07566	suc:ECTR2_1972
ko:K02493	suc:ECTR2_1973
ko:K02835	suc:ECTR2_1974
ko:K02909	suc:ECTR2_1976
ko:K03628	suc:ECTR2_1977
ko:K00790	suc:ECTR2_1980
ko:K01624	suc:ECTR2_1981
ko:K01937	suc:ECTR2_1983
ko:K07173	suc:ECTR2_1990
ko:K00756	suc:ECTR2_1992
ko:K04047	suc:ECTR2_1995
ko:K00111	suc:ECTR2_1158
ko:K02313	suc:ECTR2_1
ko:K02338	suc:ECTR2_2
ko:K03629	suc:ECTR2_4
ko:K02470	suc:ECTR2_5
ko:K02469	suc:ECTR2_6
ko:K01745	suc:ECTR2_8
ko:K01875	suc:ECTR2_9
ko:K00641	suc:ECTR2_12
ko:K02939	suc:ECTR2_15
ko:K15581	suc:ECTR2_841
ko:K15580	suc:ECTR2_845
ko:K02034	suc:ECTR2_850
ko:K01867	suc:ECTR2_851
ko:K08602	suc:ECTR2_855
ko:K06886	suc:ECTR2_857
ko:K00858	suc:ECTR2_861
ko:K06180	suc:ECTR2_862
ko:K06213	suc:ECTR2_863
ko:K00208	suc:ECTR2_865
ko:K03310	suc:ECTR2_867
ko:K02837	suc:ECTR2_875
ko:K02250	suc:ECTR2_882
ko:K03800	suc:ECTR2_884
ko:K02003	suc:ECTR2_889
ko:K15977	suc:ECTR2_892
ko:K02016	suc:ECTR2_893
ko:K12574	suc:ECTR2_944
ko:K09692	suc:ECTR2_590
ko:K01939	suc:ECTR2_17
ko:K00783	suc:ECTR2_27
ko:K07090	suc:ECTR2_42
ko:K08170	suc:ECTR2_60
ko:K03324	suc:ECTR2_61
ko:K03303	suc:ECTR2_66
ko:K02015	suc:ECTR2_69
ko:K02015	suc:ECTR2_70
ko:K02016	suc:ECTR2_71
ko:K02548	suc:ECTR2_897
ko:K02551	suc:ECTR2_899
ko:K01661	suc:ECTR2_901
ko:K02829	suc:ECTR2_913
ko:K02828	suc:ECTR2_914
ko:K02827	suc:ECTR2_915
ko:K02826	suc:ECTR2_916
ko:K01491	suc:ECTR2_919
ko:K01588	suc:ECTR2_920
ko:K01589	suc:ECTR2_921
ko:K01923	suc:ECTR2_922
ko:K01952	suc:ECTR2_924
ko:K01952	suc:ECTR2_925
ko:K00764	suc:ECTR2_926
ko:K01933	suc:ECTR2_927
ko:K11175	suc:ECTR2_928
ko:K00602	suc:ECTR2_929
ko:K01945	suc:ECTR2_930
ko:K06969	suc:ECTR2_936
ko:K00425	suc:ECTR2_941
ko:K00426	suc:ECTR2_942
ko:K03703	suc:ECTR2_1000
ko:K00239	suc:ECTR2_1002
ko:K00240	suc:ECTR2_1003
ko:K01776	suc:ECTR2_1004
ko:K07095	suc:ECTR2_1006
ko:K11032	suc:ECTR2_1018
ko:K00130	suc:ECTR2_2466
ko:K11442	suc:ECTR2_2032
ko:K01586	suc:ECTR2_79
ko:K01839	suc:ECTR2_95
ko:K02042	suc:ECTR2_96
ko:K02042	suc:ECTR2_97
ko:K02041	suc:ECTR2_98
ko:K02044	suc:ECTR2_99
ko:K04072	suc:ECTR2_105
ko:K13012	suc:ECTR2_118
ko:K02472	suc:ECTR2_120
ko:K01462	suc:ECTR2_946
ko:K00161	suc:ECTR2_948
ko:K00162	suc:ECTR2_949
ko:K00627	suc:ECTR2_950
ko:K00382	suc:ECTR2_951
ko:K03322	suc:ECTR2_960
ko:K06207	suc:ECTR2_964
ko:K03588	suc:ECTR2_968
ko:K02259	suc:ECTR2_970
ko:K08976	suc:ECTR2_972
ko:K01126	suc:ECTR2_975
ko:K00954	suc:ECTR2_979
ko:K07040	suc:ECTR2_981
ko:K02911	suc:ECTR2_982
ko:K02016	suc:ECTR2_987
ko:K02015	suc:ECTR2_988
ko:K08600	suc:ECTR2_989
ko:K03437	suc:ECTR2_991
ko:K01889	suc:ECTR2_992
ko:K01890	suc:ECTR2_993
ko:K09888	suc:ECTR2_995
ko:K02347	suc:ECTR2_997
ko:K07456	suc:ECTR2_998
ko:K03671	suc:ECTR2_999
ko:K00611	suc:ECTR2_1023
ko:K00926	suc:ECTR2_1024
ko:K03925	suc:ECTR2_1034
ko:K03438	suc:ECTR2_1035
ko:K01000	suc:ECTR2_1038
ko:K01925	suc:ECTR2_1039
ko:K03589	suc:ECTR2_1040
ko:K03590	suc:ECTR2_1041
ko:K03531	suc:ECTR2_1042
ko:K05810	suc:ECTR2_1043
ko:K06997	suc:ECTR2_1044
ko:K09772	suc:ECTR2_1045
ko:K02221	suc:ECTR2_1046
ko:K04074	suc:ECTR2_1048
ko:K01870	suc:ECTR2_1049
ko:K03101	suc:ECTR2_1051
ko:K06180	suc:ECTR2_1052
ko:K02825	suc:ECTR2_1053
ko:K00609	suc:ECTR2_1055
ko:K01465	suc:ECTR2_1056
ko:K01956	suc:ECTR2_1057
ko:K01955	suc:ECTR2_1058
ko:K01591	suc:ECTR2_1059
ko:K00762	suc:ECTR2_1060
ko:K00942	suc:ECTR2_1065
ko:K03060	suc:ECTR2_1066
ko:K13038	suc:ECTR2_1067
ko:K04066	suc:ECTR2_1068
ko:K01114	suc:ECTR2_1875
ko:K04077	suc:ECTR2_1880
ko:K04078	suc:ECTR2_1881
ko:K07078	suc:ECTR2_1884
ko:K07813	suc:ECTR2_1887
ko:K07707	suc:ECTR2_1890
ko:K00847	suc:ECTR2_1891
ko:K01193	suc:ECTR2_1892
ko:K03484	suc:ECTR2_1893
ko:K03320	suc:ECTR2_1894
ko:K07112	suc:ECTR2_1896
ko:K01926	suc:ECTR2_1897
ko:K06158	suc:ECTR2_1898
ko:K18934	suc:ECTR2_2028
ko:K18936	suc:ECTR2_2274
ko:K14234	suc:ECTR2_1711
ko:K14234	suc:ECTR2_460
ko:K14234	suc:ECTR2_1727
ko:K18935	suc:ECTR2_2030
ko:K06216	suc:ECTR2_231
ko:K03328	suc:ECTR2_88
ko:K03328	suc:ECTR2_444
ko:K14236	suc:ECTR2_2020
ko:K14236	suc:ECTR2_1710
ko:K02424	suc:ECTR2_2273
ko:K14222	suc:ECTR2_1706
ko:K10009	suc:ECTR2_2272
ko:K07030	suc:ECTR2_1082
ko:K00059	suc:ECTR2_1087
ko:K02035	suc:ECTR2_169
ko:K09787	suc:ECTR2_1092
ko:K01409	suc:ECTR2_1900
ko:K03095	suc:ECTR2_1918
ko:K03090	suc:ECTR2_1920
ko:K10112	suc:ECTR2_174
ko:K07315	suc:ECTR2_1923
ko:K09167	suc:ECTR2_1928
ko:K08981	suc:ECTR2_1929
ko:K15770	suc:ECTR2_175
ko:K02238	suc:ECTR2_1437
ko:K06948	suc:ECTR2_1446
ko:K01243	suc:ECTR2_1448
ko:K09815	suc:ECTR2_2265
ko:K00652	suc:ECTR2_2283
ko:K06147	suc:ECTR2_2287
ko:K06147	suc:ECTR2_2288
ko:K00088	suc:ECTR2_349
ko:K03469	suc:ECTR2_1288
ko:K03294	suc:ECTR2_1291
ko:K03700	suc:ECTR2_1303
ko:K02086	suc:ECTR2_1307
ko:K00974	suc:ECTR2_1311
ko:K00805	suc:ECTR2_1322
ko:K01424	suc:ECTR2_1330
ko:K03635	suc:ECTR2_2132
ko:K02017	suc:ECTR2_2138
ko:K09705	suc:ECTR2_621
ko:K16013	suc:ECTR2_636
ko:K16012	suc:ECTR2_637
ko:K06934	suc:ECTR2_645
ko:K03976	suc:ECTR2_648
ko:K03436	suc:ECTR2_649
ko:K02619	suc:ECTR2_666
ko:K05845	suc:ECTR2_673
ko:K05846	suc:ECTR2_673
ko:K07658	suc:ECTR2_1533
ko:K00027	suc:ECTR2_1541
ko:K06286	suc:ECTR2_1558
ko:K00058	suc:ECTR2_1564
ko:K00851	suc:ECTR2_2358
ko:K03535	suc:ECTR2_2364
ko:K07104	suc:ECTR2_2374
ko:K02033	suc:ECTR2_849
ko:K07816	suc:ECTR2_860
ko:K03455	suc:ECTR2_864
ko:K05362	suc:ECTR2_873
ko:K07052	suc:ECTR2_886
ko:K09693	suc:ECTR2_1742
ko:K01104	suc:ECTR2_1752
ko:K07009	suc:ECTR2_1762
ko:K02342	suc:ECTR2_1765
ko:K02433	suc:ECTR2_1772
ko:K07094	suc:ECTR2_1778
ko:K01916	suc:ECTR2_1784
ko:K04518	suc:ECTR2_1787
ko:K15582	suc:ECTR2_842
ko:K10823	suc:ECTR2_844
ko:K02035	suc:ECTR2_846
ko:K00054	suc:ECTR2_2397
ko:K01641	suc:ECTR2_2398
ko:K00567	suc:ECTR2_2399
ko:K04086	suc:ECTR2_2400
ko:K06994	suc:ECTR2_2404
ko:K00294	suc:ECTR2_2407
ko:K00158	suc:ECTR2_2391
ko:K07784	suc:ECTR2_182
ko:K07720	suc:ECTR2_183
ko:K02035	suc:ECTR2_197
ko:K00016	suc:ECTR2_201
ko:K02775	suc:ECTR2_208
ko:K00852	suc:ECTR2_229
ko:K03177	suc:ECTR2_1127
ko:K00059	suc:ECTR2_1136
ko:K02443	suc:ECTR2_1154
ko:K03713	suc:ECTR2_1165
ko:K02116	suc:ECTR2_1966
ko:K01104	suc:ECTR2_1971
ko:K03048	suc:ECTR2_1984
ko:K09680	suc:ECTR2_1986
ko:K01619	suc:ECTR2_1993
ko:K03784	suc:ECTR2_1994
ko:K03647	suc:ECTR2_680
ko:K01258	suc:ECTR2_693
ko:K02240	suc:ECTR2_700
ko:K02242	suc:ECTR2_701
ko:K06023	suc:ECTR2_710
ko:K09762	suc:ECTR2_717
ko:K01261	suc:ECTR2_1585
ko:K01439	suc:ECTR2_1591
ko:K06183	suc:ECTR2_1593
ko:K07052	suc:ECTR2_1616
ko:K00616	suc:ECTR2_1617
ko:K07213	suc:ECTR2_2411
ko:K10209	suc:ECTR2_2414
ko:K01226	suc:ECTR2_409
ko:K03486	suc:ECTR2_410
ko:K09685	suc:ECTR2_436
ko:K02499	suc:ECTR2_445
ko:K05337	suc:ECTR2_1335
ko:K09763	suc:ECTR2_1347
ko:K04763	suc:ECTR2_1348
ko:K03711	suc:ECTR2_1349
ko:K01515	suc:ECTR2_1350
ko:K00784	suc:ECTR2_1355
ko:K00033	suc:ECTR2_1362
ko:K07052	suc:ECTR2_2172
ko:K01479	suc:ECTR2_2194
ko:K01785	suc:ECTR2_2199
ko:K07035	suc:ECTR2_2424
ko:K07032	suc:ECTR2_2429
ko:K04750	suc:ECTR2_2446
ko:K00016	suc:ECTR2_2456
ko:K03294	suc:ECTR2_2457
ko:K07668	suc:ECTR2_20
ko:K07652	suc:ECTR2_21
ko:K01771	suc:ECTR2_52
ko:K10254	suc:ECTR2_62
ko:K00241	suc:ECTR2_1001
ko:K02428	suc:ECTR2_1005
ko:K15986	suc:ECTR2_1791
ko:K02552	suc:ECTR2_898
ko:K08680	suc:ECTR2_900
ko:K00841	suc:ECTR2_905
ko:K11189	suc:ECTR2_938
ko:K08483	suc:ECTR2_939
ko:K03499	suc:ECTR2_943
ko:K08974	suc:ECTR2_768
ko:K04488	suc:ECTR2_772
ko:K02549	suc:ECTR2_1629
ko:K07533	suc:ECTR2_1683
ko:K03451	suc:ECTR2_2468
ko:K00380	suc:ECTR2_2474
ko:K02004	suc:ECTR2_268
ko:K03307	suc:ECTR2_274
ko:K01639	suc:ECTR2_275
ko:K01788	suc:ECTR2_278
ko:K03475	suc:ECTR2_289
ko:K09976	suc:ECTR2_1202
ko:K05020	suc:ECTR2_1207
ko:K07304	suc:ECTR2_1218
ko:K04517	suc:ECTR2_1222
ko:K02799	suc:ECTR2_2009
ko:K02800	suc:ECTR2_2009
ko:K02798	suc:ECTR2_2011
ko:K03593	suc:ECTR2_2027
ko:K01220	suc:ECTR2_2050
ko:K05565	suc:ECTR2_574
ko:K05568	suc:ECTR2_577
ko:K05570	suc:ECTR2_579
ko:K03316	suc:ECTR2_581
ko:K03709	suc:ECTR2_586
ko:K09693	suc:ECTR2_589
ko:K07258	suc:ECTR2_594
ko:K07584	suc:ECTR2_1494
ko:K02236	suc:ECTR2_1502
ko:K07120	suc:ECTR2_1506
ko:K01719	suc:ECTR2_1510
ko:K11144	suc:ECTR2_1524
ko:K03346	suc:ECTR2_1525
ko:K10563	suc:ECTR2_1529
ko:K03929	suc:ECTR2_2309
ko:K12942	suc:ECTR2_2330
ko:K01835	suc:ECTR2_2347
ko:K03299	suc:ECTR2_2357
ko:K12270	suc:ECTR2_2504
ko:K12269	suc:ECTR2_2505
ko:K12268	suc:ECTR2_2506
ko:K01077	suc:ECTR2_2481
ko:K01478	suc:ECTR2_2489
ko:K03708	suc:ECTR2_475
ko:K09698	suc:ECTR2_481
ko:K00639	suc:ECTR2_504
ko:K00853	suc:ECTR2_506
ko:K01262	suc:ECTR2_1381
ko:K02246	suc:ECTR2_1392
ko:K02245	suc:ECTR2_1393
ko:K02244	suc:ECTR2_1394
ko:K02243	suc:ECTR2_1395
ko:K00845	suc:ECTR2_1398
ko:K02076	suc:ECTR2_1404
ko:K01489	suc:ECTR2_1418
ko:K01823	suc:ECTR2_2206
ko:K00374	suc:ECTR2_2253
ko:K02822	suc:ECTR2_290
ko:K02821	suc:ECTR2_291
ko:K07729	suc:ECTR2_310
ko:K00626	suc:ECTR2_315
ko:K01760	suc:ECTR2_319
ko:K03386	suc:ECTR2_341
ko:K02033	suc:ECTR2_1239
ko:K05822	suc:ECTR2_1254
ko:K07305	suc:ECTR2_1279
ko:K07304	suc:ECTR2_1280
ko:K02786	suc:ECTR2_2052
ko:K01635	suc:ECTR2_2053
ko:K00917	suc:ECTR2_2054
ko:K01819	suc:ECTR2_2055
ko:K01819	suc:ECTR2_2056
ko:K02530	suc:ECTR2_2057
ko:K01727	suc:ECTR2_2063
ko:K00939	suc:ECTR2_2091
ko:K13628	suc:ECTR2_796
ko:K05570	suc:ECTR2_803
ko:K05568	suc:ECTR2_805
ko:K05565	suc:ECTR2_808
ko:K03768	suc:ECTR2_810
ko:K00819	suc:ECTR2_813
ko:K06910	suc:ECTR2_835
ko:K03698	suc:ECTR2_1684
ko:K01679	suc:ECTR2_1693
ko:K01784	suc:ECTR2_84
ko:K03784	suc:ECTR2_92
ko:K01619	suc:ECTR2_94
ko:K01104	suc:ECTR2_108
ko:K01784	suc:ECTR2_119
ko:K04763	suc:ECTR2_122
ko:K11072	suc:ECTR2_954
ko:K11071	suc:ECTR2_955
ko:K11069	suc:ECTR2_957
ko:K01092	suc:ECTR2_962
ko:K01958	suc:ECTR2_969
ko:K03471	suc:ECTR2_994
ko:K11041	suc:ECTR2_1027
ko:K07025	suc:ECTR2_1031
ko:K07104	suc:ECTR2_1050
ko:K02824	suc:ECTR2_1054
ko:K01439	suc:ECTR2_1878
ko:K07052	suc:ECTR2_1882
ko:K07706	suc:ECTR2_1889
ko:K02049	suc:ECTR2_135
ko:K02051	suc:ECTR2_136
ko:K02050	suc:ECTR2_137
ko:K00819	suc:ECTR2_148
ko:K09963	suc:ECTR2_153
ko:K02005	suc:ECTR2_159
ko:K02004	suc:ECTR2_161
ko:K02033	suc:ECTR2_167
ko:K00712	suc:ECTR2_518
ko:K00712	suc:ECTR2_519
ko:K02564	suc:ECTR2_523
ko:K08093	suc:ECTR2_524
ko:K00626	suc:ECTR2_529
ko:K00625	suc:ECTR2_541
ko:K00869	suc:ECTR2_543
ko:K01597	suc:ECTR2_544
ko:K00938	suc:ECTR2_545
ko:K13953	suc:ECTR2_558
ko:K07457	suc:ECTR2_561
ko:K07025	suc:ECTR2_564
ko:K09825	suc:ECTR2_1732
ko:K11085	suc:ECTR2_1737
ko:K07586	suc:ECTR2_1738
ko:K07304	suc:ECTR2_2514
ko:K07035	suc:ECTR2_1701
ko:K01104	suc:ECTR2_2516
ko:K14232	suc:ECTR2_1721
ko:K14232	suc:ECTR2_465
ko:K14235	suc:ECTR2_1709
ko:K14230	suc:ECTR2_1718
ko:K00122	suc:ECTR2_140
ko:K18940	suc:ECTR2_1271
ko:K00887	suc:ECTR2_1419
ko:K21454	suc:ECTR2_2217
ko:K01977	suc:ECTR2_1731
ko:K01977	suc:ECTR2_2026
ko:K01977	suc:ECTR2_467
ko:K01977	suc:ECTR2_416
ko:K01977	suc:ECTR2_1915
ko:K07038	suc:ECTR2_1740
ko:K16509	suc:ECTR2_852
ko:K01834	suc:ECTR2_2275
ko:K01834	suc:ECTR2_336
ko:K16511	suc:ECTR2_853
ko:K11733	suc:ECTR2_1522
ko:K14229	suc:ECTR2_461
ko:K16264	suc:ECTR2_132
ko:K06198	suc:ECTR2_854
ko:K15583	suc:ECTR2_843
ko:K14220	suc:ECTR2_1667
ko:K16329	suc:ECTR2_272
ko:K16323	suc:ECTR2_596
ko:K16169	suc:ECTR2_348
ko:K11737	suc:ECTR2_2296
ko:K05340	suc:ECTR2_2118
ko:K16264	suc:ECTR2_2002
ko:K02851	suc:ECTR2_697
ko:K07045	suc:ECTR2_2434
ko:K09814	suc:ECTR2_2219
ko:K13052	suc:ECTR2_447
ko:K11040	suc:ECTR2_2580
ko:K11040	suc:ECTR2_2582
ko:K10010	suc:ECTR2_2271
ko:K16786	suc:ECTR2_2084
ko:K16787	suc:ECTR2_2083
ko:K04564	suc:ECTR2_89
ko:K16785	suc:ECTR2_2082
ko:K04757	suc:ECTR2_1921
ko:K01985	suc:ECTR2_1729
ko:K01985	suc:ECTR2_1913
ko:K01985	suc:ECTR2_470
ko:K01985	suc:ECTR2_2024
ko:K01985	suc:ECTR2_420
ko:K01985	suc:ECTR2_458
ko:K07705	suc:ECTR2_222
ko:K02032	suc:ECTR2_848
ko:K03429	suc:ECTR2_872
ko:K09813	suc:ECTR2_2220
ko:K01401	suc:ECTR2_2491
ko:K14198	suc:ECTR2_1817
ko:K14204	suc:ECTR2_1810
ko:K13733	suc:ECTR2_2354
ko:K11039	suc:ECTR2_1886
ko:K14200	suc:ECTR2_1012
ko:K14201	suc:ECTR2_739
ko:K10208	suc:ECTR2_2415
ko:K14195	suc:ECTR2_2350
ko:K07800	suc:ECTR2_1888
ko:K02755	suc:ECTR2_226
ko:K00128	suc:ECTR2_131
ko:K00128	suc:ECTR2_1978
ko:K08259	suc:ECTR2_237
ko:K12553	suc:ECTR2_1402
ko:K07683	suc:ECTR2_2251
ko:K01239	suc:ECTR2_2144
ko:K00128	suc:ECTR2_1793
ko:K01906	suc:ECTR2_2282
ko:K14230	suc:ECTR2_1672
ko:K14230	suc:ECTR2_1714
ko:K14229	suc:ECTR2_1726
ko:K14229	suc:ECTR2_2018
ko:K03483	suc:ECTR2_2010
ko:K11631	suc:ECTR2_2553
ko:K02803	suc:ECTR2_1566
ko:K02804	suc:ECTR2_1566
ko:K11042	suc:ECTR2_357
ko:K13715	suc:ECTR2_903
ko:K13732	suc:ECTR2_2355
ko:K10210	suc:ECTR2_2417
ko:K11695	suc:ECTR2_1232
ko:K11693	suc:ECTR2_2124
ko:K01271	suc:ECTR2_1548
ko:K16785	suc:ECTR2_931
ko:K16786	suc:ECTR2_932
ko:K16787	suc:ECTR2_932
ko:K16785	suc:ECTR2_2536
ko:K16786	suc:ECTR2_2537
ko:K16787	suc:ECTR2_2537
ko:K02768	suc:ECTR2_2495
ko:K02769	suc:ECTR2_2495
ko:K02770	suc:ECTR2_2495
ko:K11632	suc:ECTR2_2554
ko:K13714	suc:ECTR2_908
ko:K04478	suc:ECTR2_1745
ko:K00980	suc:ECTR2_593
ko:K16937	suc:ECTR2_658
ko:K16869	suc:ECTR2_542
ko:K11991	suc:ECTR2_512
ko:K17716	suc:ECTR2_110
ko:K10851	suc:ECTR2_2252
ko:K00882	suc:ECTR2_650
ko:K00108	suc:ECTR2_2465
ko:K16916	suc:ECTR2_2379
ko:K16917	suc:ECTR2_2378
ko:K16925	suc:ECTR2_933
ko:K14202	suc:ECTR2_1815
ko:K14196	suc:ECTR2_67
ko:K14203	suc:ECTR2_1010
ko:K16924	suc:ECTR2_2538
ko:K14192	suc:ECTR2_2484
ko:K14193	suc:ECTR2_984
ko:K14197	suc:ECTR2_2277
ko:K08258	suc:ECTR2_1781
ko:K10211	suc:ECTR2_2416
ko:K10850	suc:ECTR2_2247
ko:K11694	suc:ECTR2_1231
ko:K12552	suc:ECTR2_1037
ko:K07681	suc:ECTR2_1756
ko:K07694	suc:ECTR2_1755
ko:K02352	suc:ECTR2_2541
ko:K12551	suc:ECTR2_1570
ko:K02303	suc:ECTR2_2257
ko:K16898	suc:ECTR2_823
ko:K16899	suc:ECTR2_822
ko:K14224	suc:ECTR2_18
ko:K14224	suc:ECTR2_2022
ko:K14224	suc:ECTR2_1666
ko:K14221	suc:ECTR2_1671
ko:K14221	suc:ECTR2_1713
ko:K14221	suc:ECTR2_1716
ko:K14221	suc:ECTR2_19
ko:K14233	suc:ECTR2_407
ko:K14233	suc:ECTR2_1717
ko:K14233	suc:ECTR2_1715
ko:K14233	suc:ECTR2_880
ko:K01980	suc:ECTR2_1730
ko:K01980	suc:ECTR2_1914
ko:K01980	suc:ECTR2_2025
ko:K01980	suc:ECTR2_419
ko:K01980	suc:ECTR2_469
ko:K14237	suc:ECTR2_1728
ko:K14237	suc:ECTR2_2021
ko:K14237	suc:ECTR2_459
ko:K14225	suc:ECTR2_1668
ko:K14225	suc:ECTR2_1916
ko:K14225	suc:ECTR2_1724
ko:K14225	suc:ECTR2_462
ko:K14228	suc:ECTR2_463
ko:K14228	suc:ECTR2_1723
ko:K14228	suc:ECTR2_1703
ko:K14228	suc:ECTR2_1725
ko:K14228	suc:ECTR2_1917
ko:K14219	suc:ECTR2_464
ko:K14219	suc:ECTR2_1722
ko:K14219	suc:ECTR2_718
ko:K14219	suc:ECTR2_1028
ko:K14218	suc:ECTR2_1720
ko:K14218	suc:ECTR2_466
ko:K14218	suc:ECTR2_418
ko:K14227	suc:ECTR2_417
ko:K14227	suc:ECTR2_468
ko:K14220	suc:ECTR2_881
ko:K14220	suc:ECTR2_2023
ko:K14226	suc:ECTR2_1669
ko:K14226	suc:ECTR2_1708
ko:K14231	suc:ECTR2_1670
ko:K14231	suc:ECTR2_1712
ko:K14230	suc:ECTR2_1719
ko:K14225	suc:ECTR2_1705
ko:K14225	suc:ECTR2_1704
ko:K14223	suc:ECTR2_1707
ko:K14223	suc:ECTR2_2019
ko:K11070	suc:ECTR2_956
ko:K02029	suc:ECTR2_1700
ko:K02030	suc:ECTR2_1700
ko:K01992	suc:ECTR2_2201
ko:K07284	suc:ECTR2_2380
ko:K10947	suc:ECTR2_2545
ko:K01990	suc:ECTR2_238
ko:K01990	suc:ECTR2_2366
ko:K14233	suc:ECTR2_1665
ko:K01990	suc:ECTR2_2202
ko:K01990	suc:ECTR2_312
ko:K01990	suc:ECTR2_1679
ko:K01990	suc:ECTR2_1805
ko:K01990	suc:ECTR2_165
ko:K01664	suc:ECTR2_664
ko:K01992	suc:ECTR2_1678
ko:K01992	suc:ECTR2_1802
ko:K01992	suc:ECTR2_239
ko:K01992	suc:ECTR2_240
ko:K02028	suc:ECTR2_1699
ko:K03574	suc:ECTR2_2346
ko:K17217	suc:ECTR2_394
ko:K17216	suc:ECTR2_393
ko:K00265	suc:ECTR2_405
ko:K00951	suc:ECTR2_1482
ko:K17218	suc:ECTR2_46
ko:K01897	suc:ECTR2_194
ko:K01992	suc:ECTR2_1179
ko:K01990	suc:ECTR2_1178
ko:K01990	suc:ECTR2_1803
ko:K17472	suc:ECTR2_1475
ko:K17686	suc:ECTR2_2410
ko:K01739	suc:ECTR2_320
ko:K01791	suc:ECTR2_1967
ko:K00226	suc:ECTR2_2443
ko:K06518	suc:ECTR2_2393
ko:K01791	suc:ECTR2_112
ko:K01791	suc:ECTR2_128
ko:K01658	suc:ECTR2_1225
ko:K11928	suc:ECTR2_1774
ko:K02171	suc:ECTR2_2589
ko:K07979	suc:ECTR2_1806
ko:K10212	suc:ECTR2_2418
ko:K01187	suc:ECTR2_1358
ko:K19080	suc:ECTR2_613
ko:K00561	suc:ECTR2_126
ko:K18104	suc:ECTR2_595
ko:K02479	suc:ECTR2_1690
ko:K08168	suc:ECTR2_93
ko:K02483	suc:ECTR2_2221
ko:K03293	suc:ECTR2_1192
ko:K02031	suc:ECTR2_166
ko:K02032	suc:ECTR2_166
ko:K02809	suc:ECTR2_155
ko:K02810	suc:ECTR2_155
ko:K02809	suc:ECTR2_2238
ko:K02810	suc:ECTR2_2238
ko:K03366	suc:ECTR2_82
ko:K17882	suc:ECTR2_35
ko:K00008	suc:ECTR2_211
ko:K07145	suc:ECTR2_990
ko:K22580	suc:ECTR2_912
ko:K00632	suc:ECTR2_191
ko:K01046	suc:ECTR2_2523
ko:K01046	suc:ECTR2_280
ko:K02172	suc:ECTR2_2590
ko:K21462	suc:ECTR2_2522
ko:K21463	suc:ECTR2_2216
ko:K00008	suc:ECTR2_209
ko:K03572	suc:ECTR2_1153
ko:K00027	suc:ECTR2_1542
ko:K02015	suc:ECTR2_684
ko:K01791	suc:ECTR2_121
ko:K08255	suc:ECTR2_826
ko:K07483	suc:ECTR2_353
ko:K00681	suc:ECTR2_170
ko:K04749	suc:ECTR2_1922
ko:K18707	suc:ECTR2_1426
ko:K18766	suc:ECTR2_2591
ko:K05592	suc:ECTR2_1937
ko:K18672	suc:ECTR2_2016
ko:K18704	suc:ECTR2_214
ko:K18682	suc:ECTR2_1142
ko:K18692	suc:ECTR2_1408
ko:K18906	suc:ECTR2_638
ko:K09692	suc:ECTR2_1741
ko:K07723	suc:ECTR2_1925
ko:K18909	suc:ECTR2_293
ko:K18941	suc:ECTR2_1272
ko:K18908	suc:ECTR2_294
ko:K07171	suc:ECTR2_1924
ko:K04940	suc:ECTR2_2161
ko:K18907	suc:ECTR2_64
ko:K03111	suc:ECTR2_1953
ko:K03502	suc:ECTR2_1221
ko:K03497	suc:ECTR2_321
ko:K03111	suc:ECTR2_327
ko:K03169	suc:ECTR2_2116
ko:K11040	suc:ECTR2_1451
ko:K11040	suc:ECTR2_1658
ko:K11040	suc:ECTR2_1659
ko:K11040	suc:ECTR2_1660
ko:K11040	suc:ECTR2_1661
ko:K11040	suc:ECTR2_1662
ko:K11040	suc:ECTR2_1663
ko:K11040	suc:ECTR2_1664
ko:K03497	suc:ECTR2_2560
ko:K11040	suc:ECTR2_2583
ko:K11040	suc:ECTR2_1821
ko:K03111	suc:ECTR2_1856
ko:K07029	suc:ECTR2_1769
ko:K03498	suc:ECTR2_1879
ko:K09145	suc:ECTR2_623
ko:K18979	suc:ECTR2_1698
ko:K00949	suc:ECTR2_1079
ko:K01318	suc:ECTR2_1642
ko:K01318	suc:ECTR2_904
ko:K07816	suc:ECTR2_2361
ko:K07498	suc:ECTR2_30
ko:K07498	suc:ECTR2_36
ko:K03293	suc:ECTR2_2175
ko:K19077	suc:ECTR2_611
ko:K01174	suc:ECTR2_1183
ko:K07741	suc:ECTR2_1865
ko:K19158	suc:ECTR2_2266
ko:K19225	suc:ECTR2_1399
ko:K02777	suc:ECTR2_1278
ko:K19068	suc:ECTR2_111
ko:K19078	suc:ECTR2_610
ko:K19081	suc:ECTR2_2478
ko:K19082	suc:ECTR2_2479
ko:K19083	suc:ECTR2_2477
ko:K19084	suc:ECTR2_2476
ko:K19159	suc:ECTR2_2267
ko:K02031	suc:ECTR2_847
ko:K02032	suc:ECTR2_1236
ko:K07485	suc:ECTR2_1017
ko:K03722	suc:ECTR2_1309
ko:K01992	suc:ECTR2_2367
ko:K19411	suc:ECTR2_476
ko:K02031	suc:ECTR2_1237
ko:K19302	suc:ECTR2_1273
ko:K07485	suc:ECTR2_1702
