ko:K09796	vcf:IR04_00165
ko:K01972	vcf:IR04_10195
ko:K07340	vcf:IR04_10215
ko:K05838	vcf:IR04_10225
ko:K07071	vcf:IR04_10240
ko:K07095	vcf:IR04_10245
ko:K07401	vcf:IR04_10250
ko:K10922	vcf:IR04_10255
ko:K04079	vcf:IR04_10265
ko:K00939	vcf:IR04_10270
ko:K01772	vcf:IR04_10275
ko:K03305	vcf:IR04_10280
ko:K05785	vcf:IR04_10285
ko:K01953	vcf:IR04_10290
ko:K02565	vcf:IR04_10300
ko:K01443	vcf:IR04_10305
ko:K02803	vcf:IR04_10310
ko:K02804	vcf:IR04_10310
ko:K01886	vcf:IR04_10315
ko:K08086	vcf:IR04_10320
ko:K06173	vcf:IR04_10325
ko:K01963	vcf:IR04_10330
ko:K11754	vcf:IR04_10335
ko:K03749	vcf:IR04_10340
ko:K03558	vcf:IR04_10345
ko:K00764	vcf:IR04_10350
ko:K07084	vcf:IR04_10355
ko:K08992	vcf:IR04_14725
ko:K05788	vcf:IR04_14730
ko:K02945	vcf:IR04_14735
ko:K00945	vcf:IR04_14740
ko:K02237	vcf:IR04_14745
ko:K03770	vcf:IR04_14750
ko:K03530	vcf:IR04_14755
ko:K01338	vcf:IR04_14760
ko:K03544	vcf:IR04_14765
ko:K01358	vcf:IR04_14770
ko:K03545	vcf:IR04_14775
ko:K10125	vcf:IR04_14785
ko:K10126	vcf:IR04_14790
ko:K11689	vcf:IR04_14800
ko:K11688	vcf:IR04_14805
ko:K00981	vcf:IR04_14835
ko:K07107	vcf:IR04_14845
ko:K01491	vcf:IR04_14870
ko:K07812	vcf:IR04_14900
ko:K07821	vcf:IR04_14905
ko:K01183	vcf:IR04_14910
ko:K03317	vcf:IR04_14915
ko:K08305	vcf:IR04_14930
ko:K09902	vcf:IR04_14935
ko:K03610	vcf:IR04_14940
ko:K03609	vcf:IR04_14945
ko:K03608	vcf:IR04_14950
ko:K09948	vcf:IR04_14960
ko:K05782	vcf:IR04_14995
ko:K01911	vcf:IR04_15000
ko:K02549	vcf:IR04_15005
ko:K01661	vcf:IR04_15010
ko:K03784	vcf:IR04_00230
ko:K01669	vcf:IR04_00245
ko:K19236	vcf:IR04_00250
ko:K06078	vcf:IR04_00255
ko:K01354	vcf:IR04_00265
ko:K02014	vcf:IR04_00270
ko:K03406	vcf:IR04_00290
ko:K02040	vcf:IR04_00295
ko:K02037	vcf:IR04_00300
ko:K02038	vcf:IR04_00305
ko:K02036	vcf:IR04_00310
ko:K03321	vcf:IR04_00330
ko:K13639	vcf:IR04_00360
ko:K00763	vcf:IR04_00425
ko:K03972	vcf:IR04_00435
ko:K06177	vcf:IR04_00455
ko:K11901	vcf:IR04_00470
ko:K11900	vcf:IR04_00475
ko:K11905	vcf:IR04_00480
ko:K11896	vcf:IR04_00485
ko:K11895	vcf:IR04_00490
ko:K11906	vcf:IR04_00500
ko:K11893	vcf:IR04_00505
ko:K11892	vcf:IR04_00510
ko:K11907	vcf:IR04_00515
ko:K11908	vcf:IR04_00520
ko:K06911	vcf:IR04_04250
ko:K09913	vcf:IR04_04255
ko:K03406	vcf:IR04_04275
ko:K10823	vcf:IR04_04290
ko:K15583	vcf:IR04_04290
ko:K02030	vcf:IR04_04295
ko:K03406	vcf:IR04_04300
ko:K03303	vcf:IR04_04320
ko:K00101	vcf:IR04_04325
ko:K18930	vcf:IR04_04330
ko:K09773	vcf:IR04_04335
ko:K03406	vcf:IR04_04350
ko:K06205	vcf:IR04_04935
ko:K03650	vcf:IR04_04940
ko:K03217	vcf:IR04_04945
ko:K03536	vcf:IR04_04950
ko:K02914	vcf:IR04_04955
ko:K16963	vcf:IR04_04960
ko:K16962	vcf:IR04_04965
ko:K11065	vcf:IR04_09495
ko:K10939	vcf:IR04_09605
ko:K03664	vcf:IR04_09620
ko:K09801	vcf:IR04_09630
ko:K06186	vcf:IR04_09635
ko:K03631	vcf:IR04_09640
ko:K00858	vcf:IR04_09645
ko:K03687	vcf:IR04_09650
ko:K04043	vcf:IR04_09655
ko:K03686	vcf:IR04_09660
ko:K02655	vcf:IR04_09665
ko:K08084	vcf:IR04_09670
ko:K02672	vcf:IR04_09675
ko:K02671	vcf:IR04_09685
ko:K11991	vcf:IR04_09695
ko:K18691	vcf:IR04_09705
ko:K07491	vcf:IR04_09720
ko:K01881	vcf:IR04_09740
ko:K02909	vcf:IR04_09750
ko:K02919	vcf:IR04_09755
ko:K12942	vcf:IR04_09760
ko:K09768	vcf:IR04_09765
ko:K06946	vcf:IR04_14220
ko:K07733	vcf:IR04_14230
ko:K01669	vcf:IR04_14250
ko:K00138	vcf:IR04_14270
ko:K02768	vcf:IR04_14275
ko:K11202	vcf:IR04_14280
ko:K11203	vcf:IR04_14280
ko:K02769	vcf:IR04_14290
ko:K02806	vcf:IR04_14295
ko:K02768	vcf:IR04_14305
ko:K02769	vcf:IR04_14305
ko:K02770	vcf:IR04_14305
ko:K01809	vcf:IR04_14310
ko:K07039	vcf:IR04_14325
ko:K03517	vcf:IR04_14330
ko:K03640	vcf:IR04_14340
ko:K03641	vcf:IR04_14345
ko:K03646	vcf:IR04_14350
ko:K03560	vcf:IR04_14355
ko:K03562	vcf:IR04_14360
ko:K07107	vcf:IR04_14365
ko:K00426	vcf:IR04_14380
ko:K00425	vcf:IR04_14385
ko:K03550	vcf:IR04_14395
ko:K01159	vcf:IR04_14400
ko:K01883	vcf:IR04_14405
ko:K03768	vcf:IR04_14410
ko:K03269	vcf:IR04_14415
ko:K09858	vcf:IR04_14425
ko:K07659	vcf:IR04_18620
ko:K04760	vcf:IR04_18625
ko:K06959	vcf:IR04_18630
ko:K02170	vcf:IR04_18640
ko:K07400	vcf:IR04_18650
ko:K08312	vcf:IR04_18655
ko:K01082	vcf:IR04_18660
ko:K02463	vcf:IR04_18665
ko:K02462	vcf:IR04_18670
ko:K02461	vcf:IR04_18675
ko:K02460	vcf:IR04_18680
ko:K02459	vcf:IR04_18685
ko:K02458	vcf:IR04_18690
ko:K02457	vcf:IR04_18695
ko:K02456	vcf:IR04_18700
ko:K02455	vcf:IR04_18705
ko:K02454	vcf:IR04_18710
ko:K02453	vcf:IR04_18715
ko:K02452	vcf:IR04_18720
ko:K04762	vcf:IR04_18725
ko:K04083	vcf:IR04_18730
ko:K01610	vcf:IR04_18735
ko:K07560	vcf:IR04_18750
ko:K07058	vcf:IR04_18755
ko:K06207	vcf:IR04_18765
ko:K01915	vcf:IR04_18775
ko:K07708	vcf:IR04_18790
ko:K07712	vcf:IR04_18795
ko:K01488	vcf:IR04_18805
ko:K00230	vcf:IR04_18870
ko:K03498	vcf:IR04_18875
ko:K01825	vcf:IR04_18885
ko:K00036	vcf:IR04_03920
ko:K01057	vcf:IR04_03925
ko:K00033	vcf:IR04_03930
ko:K07396	vcf:IR04_03945
ko:K00865	vcf:IR04_03955
ko:K03299	vcf:IR04_03960
ko:K02647	vcf:IR04_03965
ko:K07226	vcf:IR04_03975
ko:K07227	vcf:IR04_03980
ko:K03832	vcf:IR04_03990
ko:K03561	vcf:IR04_03995
ko:K02016	vcf:IR04_04005
ko:K02015	vcf:IR04_04010
ko:K02013	vcf:IR04_04015
ko:K03406	vcf:IR04_04045
ko:K07140	vcf:IR04_04050
ko:K01465	vcf:IR04_04055
ko:K18552	vcf:IR04_08310
ko:K04343	vcf:IR04_08325
ko:K10673	vcf:IR04_08330
ko:K18824	vcf:IR04_08335
ko:K03502	vcf:IR04_08355
ko:K03503	vcf:IR04_08360
ko:K02342	vcf:IR04_08370
ko:K01338	vcf:IR04_08410
ko:K12070	vcf:IR04_08425
ko:K12071	vcf:IR04_08430
ko:K12068	vcf:IR04_08455
ko:K12067	vcf:IR04_08460
ko:K12066	vcf:IR04_08465
ko:K12065	vcf:IR04_08470
ko:K12064	vcf:IR04_08475
ko:K12069	vcf:IR04_08480
ko:K03981	vcf:IR04_08495
ko:K12063	vcf:IR04_08500
ko:K12062	vcf:IR04_08510
ko:K12061	vcf:IR04_08515
ko:K12060	vcf:IR04_08520
ko:K12058	vcf:IR04_08525
ko:K01150	vcf:IR04_08550
ko:K03111	vcf:IR04_08565
ko:K05814	vcf:IR04_12980
ko:K05815	vcf:IR04_12985
ko:K05816	vcf:IR04_12990
ko:K02444	vcf:IR04_12995
ko:K01126	vcf:IR04_13000
ko:K01223	vcf:IR04_13020
ko:K02005	vcf:IR04_13040
ko:K02004	vcf:IR04_13050
ko:K02004	vcf:IR04_13055
ko:K02003	vcf:IR04_13060
ko:K00426	vcf:IR04_13065
ko:K00425	vcf:IR04_13070
ko:K01679	vcf:IR04_13080
ko:K09922	vcf:IR04_13085
ko:K09900	vcf:IR04_13095
ko:K03717	vcf:IR04_13115
ko:K05577	vcf:IR04_13120
ko:K09822	vcf:IR04_13125
ko:K04565	vcf:IR04_13130
ko:K01652	vcf:IR04_13160
ko:K18009	vcf:IR04_13165
ko:K01785	vcf:IR04_13180
ko:K00849	vcf:IR04_13185
ko:K00965	vcf:IR04_13190
ko:K02030	vcf:IR04_13200
ko:K03415	vcf:IR04_13230
ko:K01993	vcf:IR04_13260
ko:K01649	vcf:IR04_17525
ko:K00052	vcf:IR04_17530
ko:K01703	vcf:IR04_17535
ko:K01704	vcf:IR04_17540
ko:K11720	vcf:IR04_17600
ko:K07091	vcf:IR04_17605
ko:K01255	vcf:IR04_17610
ko:K02339	vcf:IR04_17615
ko:K01873	vcf:IR04_17620
ko:K00018	vcf:IR04_17625
ko:K06177	vcf:IR04_17630
ko:K03580	vcf:IR04_17635
ko:K07175	vcf:IR04_17645
ko:K00611	vcf:IR04_17650
ko:K00609	vcf:IR04_17660
ko:K00610	vcf:IR04_17665
ko:K09022	vcf:IR04_17670
ko:K00655	vcf:IR04_17675
ko:K00790	vcf:IR04_17680
ko:K07122	vcf:IR04_17690
ko:K07323	vcf:IR04_17695
ko:K02067	vcf:IR04_17700
ko:K02066	vcf:IR04_17705
ko:K02065	vcf:IR04_17710
ko:K07301	vcf:IR04_17715
ko:K06041	vcf:IR04_17720
ko:K03270	vcf:IR04_17725
ko:K11719	vcf:IR04_17730
ko:K09774	vcf:IR04_17735
ko:K06861	vcf:IR04_17740
ko:K03092	vcf:IR04_17745
ko:K05808	vcf:IR04_17750
ko:K02806	vcf:IR04_17755
ko:K06958	vcf:IR04_17760
ko:K08485	vcf:IR04_17765
ko:K06213	vcf:IR04_17770
ko:K03592	vcf:IR04_17775
ko:K09889	vcf:IR04_17780
ko:K01515	vcf:IR04_03320
ko:K01620	vcf:IR04_03325
ko:K11927	vcf:IR04_03340
ko:K08682	vcf:IR04_03345
ko:K03834	vcf:IR04_03355
ko:K03406	vcf:IR04_03360
ko:K01784	vcf:IR04_03365
ko:K07160	vcf:IR04_03370
ko:K00012	vcf:IR04_03390
ko:K02004	vcf:IR04_03395
ko:K02003	vcf:IR04_03400
ko:K10804	vcf:IR04_03405
ko:K00209	vcf:IR04_03410
ko:K08984	vcf:IR04_03435
ko:K07483	vcf:IR04_03450
ko:K01626	vcf:IR04_08890
ko:K14187	vcf:IR04_08895
ko:K08309	vcf:IR04_08910
ko:K03720	vcf:IR04_08915
ko:K11069	vcf:IR04_08930
ko:K14170	vcf:IR04_08935
ko:K05809	vcf:IR04_08940
ko:K05807	vcf:IR04_08945
ko:K06180	vcf:IR04_08950
ko:K05810	vcf:IR04_08955
ko:K03695	vcf:IR04_08960
ko:K08303	vcf:IR04_09005
ko:K03554	vcf:IR04_09010
ko:K07657	vcf:IR04_09015
ko:K07636	vcf:IR04_09020
ko:K02040	vcf:IR04_09025
ko:K01524	vcf:IR04_09030
ko:K00937	vcf:IR04_09035
ko:K02037	vcf:IR04_09040
ko:K02038	vcf:IR04_09045
ko:K02036	vcf:IR04_09050
ko:K02039	vcf:IR04_09055
ko:K06201	vcf:IR04_09065
ko:K03386	vcf:IR04_09070
ko:K04761	vcf:IR04_09075
ko:K01638	vcf:IR04_09080
ko:K01637	vcf:IR04_09085
ko:K07568	vcf:IR04_09095
ko:K00773	vcf:IR04_09100
ko:K03210	vcf:IR04_09105
ko:K03072	vcf:IR04_09110
ko:K03074	vcf:IR04_09115
ko:K01092	vcf:IR04_09120
ko:K15396	vcf:IR04_09125
ko:K13643	vcf:IR04_09130
ko:K04487	vcf:IR04_09135
ko:K04488	vcf:IR04_09140
ko:K13628	vcf:IR04_09145
ko:K04082	vcf:IR04_09150
ko:K04044	vcf:IR04_09155
ko:K04755	vcf:IR04_09160
ko:K07751	vcf:IR04_09170
ko:K00940	vcf:IR04_09175
ko:K03308	vcf:IR04_13565
ko:K06131	vcf:IR04_13570
ko:K01760	vcf:IR04_13575
ko:K01246	vcf:IR04_13580
ko:K03970	vcf:IR04_13605
ko:K03969	vcf:IR04_13610
ko:K03974	vcf:IR04_13615
ko:K19226	vcf:IR04_13620
ko:K19227	vcf:IR04_13625
ko:K19228	vcf:IR04_13630
ko:K19229	vcf:IR04_13635
ko:K19230	vcf:IR04_13640
ko:K15986	vcf:IR04_13655
ko:K07407	vcf:IR04_13670
ko:K07811	vcf:IR04_13675
ko:K03532	vcf:IR04_13680
ko:K02571	vcf:IR04_13685
ko:K06212	vcf:IR04_13695
ko:K06190	vcf:IR04_13720
ko:K10806	vcf:IR04_13725
ko:K09780	vcf:IR04_13730
ko:K00549	vcf:IR04_13740
ko:K03576	vcf:IR04_13745
ko:K07263	vcf:IR04_13760
ko:K03632	vcf:IR04_13785
ko:K03804	vcf:IR04_13790
ko:K06219	vcf:IR04_13800
ko:K07772	vcf:IR04_13810
ko:K03533	vcf:IR04_13815
ko:K03604	vcf:IR04_13820
ko:K07343	vcf:IR04_13825
ko:K00703	vcf:IR04_13845
ko:K02892	vcf:IR04_18055
ko:K02926	vcf:IR04_18060
ko:K02906	vcf:IR04_18065
ko:K02946	vcf:IR04_18070
ko:K12573	vcf:IR04_18080
ko:K07014	vcf:IR04_18085
ko:K01939	vcf:IR04_18095
ko:K13051	vcf:IR04_18100
ko:K03775	vcf:IR04_18105
ko:K07070	vcf:IR04_18110
ko:K11747	vcf:IR04_18115
ko:K11748	vcf:IR04_18120
ko:K06158	vcf:IR04_18125
ko:K07019	vcf:IR04_18135
ko:K09898	vcf:IR04_18140
ko:K00855	vcf:IR04_18145
ko:K10914	vcf:IR04_18150
ko:K00673	vcf:IR04_18165
ko:K01664	vcf:IR04_18175
ko:K14441	vcf:IR04_18180
ko:K07004	vcf:IR04_18185
ko:K02030	vcf:IR04_18190
ko:K01867	vcf:IR04_18195
ko:K01091	vcf:IR04_18200
ko:K01783	vcf:IR04_18205
ko:K03112	vcf:IR04_18215
ko:K01735	vcf:IR04_18220
ko:K00891	vcf:IR04_18225
ko:K02666	vcf:IR04_18230
ko:K02665	vcf:IR04_18235
ko:K02664	vcf:IR04_18240
ko:K02663	vcf:IR04_18245
ko:K02662	vcf:IR04_18250
ko:K05366	vcf:IR04_18255
ko:K04761	vcf:IR04_18260
ko:K00382	vcf:IR04_18270
ko:K14681	vcf:IR04_18280
ko:K01940	vcf:IR04_18285
ko:K00930	vcf:IR04_18290
ko:K00145	vcf:IR04_18295
ko:K01438	vcf:IR04_18300
ko:K01595	vcf:IR04_18305
ko:K00640	vcf:IR04_18315
ko:K00057	vcf:IR04_18320
ko:K03071	vcf:IR04_18325
ko:K00661	vcf:IR04_03650
ko:K07397	vcf:IR04_03660
ko:K00134	vcf:IR04_03670
ko:K16263	vcf:IR04_03685
ko:K02004	vcf:IR04_03720
ko:K02003	vcf:IR04_03725
ko:K01176	vcf:IR04_03745
ko:K06076	vcf:IR04_03760
ko:K03406	vcf:IR04_03770
ko:K03565	vcf:IR04_07665
ko:K01872	vcf:IR04_07670
ko:K00928	vcf:IR04_07675
ko:K03563	vcf:IR04_07680
ko:K01573	vcf:IR04_07730
ko:K01571	vcf:IR04_07735
ko:K01572	vcf:IR04_07740
ko:K07263	vcf:IR04_07755
ko:K01919	vcf:IR04_07760
ko:K07173	vcf:IR04_07765
ko:K03106	vcf:IR04_07780
ko:K02959	vcf:IR04_07785
ko:K02860	vcf:IR04_07790
ko:K00554	vcf:IR04_07795
ko:K02884	vcf:IR04_07800
ko:K04691	vcf:IR04_07805
ko:K09908	vcf:IR04_07815
ko:K06916	vcf:IR04_07820
ko:K02871	vcf:IR04_07825
ko:K02996	vcf:IR04_07830
ko:K00411	vcf:IR04_07835
ko:K00413	vcf:IR04_07845
ko:K03599	vcf:IR04_07850
ko:K03600	vcf:IR04_07855
ko:K12961	vcf:IR04_07865
ko:K07460	vcf:IR04_07870
ko:K07121	vcf:IR04_07875
ko:K07056	vcf:IR04_07880
ko:K00760	vcf:IR04_07890
ko:K01673	vcf:IR04_07895
ko:K03321	vcf:IR04_07900
ko:K01990	vcf:IR04_07905
ko:K01992	vcf:IR04_07910
ko:K01918	vcf:IR04_07915
ko:K00606	vcf:IR04_07920
ko:K00950	vcf:IR04_07925
ko:K00970	vcf:IR04_07930
ko:K01894	vcf:IR04_07935
ko:K06204	vcf:IR04_07940
ko:K06206	vcf:IR04_07945
ko:K03579	vcf:IR04_07955
ko:K05365	vcf:IR04_07960
ko:K07001	vcf:IR04_07965
ko:K14055	vcf:IR04_12405
ko:K09792	vcf:IR04_12415
ko:K01533	vcf:IR04_12425
ko:K09926	vcf:IR04_12430
ko:K00406	vcf:IR04_12435
ko:K00407	vcf:IR04_12440
ko:K00405	vcf:IR04_12445
ko:K00404	vcf:IR04_12450
ko:K12531	vcf:IR04_12470
ko:K12532	vcf:IR04_12475
ko:K12530	vcf:IR04_12480
ko:K07389	vcf:IR04_12490
ko:K10953	vcf:IR04_12495
ko:K07467	vcf:IR04_12510
ko:K07467	vcf:IR04_12560
ko:K07483	vcf:IR04_12630
ko:K09911	vcf:IR04_12650
ko:K04770	vcf:IR04_12655
ko:K01716	vcf:IR04_12660
ko:K15738	vcf:IR04_12670
ko:K12297	vcf:IR04_12680
ko:K18657	vcf:IR04_12685
ko:K00254	vcf:IR04_12690
ko:K15371	vcf:IR04_12695
ko:K00266	vcf:IR04_16970
ko:K01243	vcf:IR04_16980
ko:K02227	vcf:IR04_16985
ko:K06858	vcf:IR04_16990
ko:K07090	vcf:IR04_17005
ko:K01955	vcf:IR04_17035
ko:K01956	vcf:IR04_17040
ko:K00215	vcf:IR04_17050
ko:K03574	vcf:IR04_17055
ko:K03070	vcf:IR04_17060
ko:K02535	vcf:IR04_17070
ko:K03531	vcf:IR04_17075
ko:K03590	vcf:IR04_17080
ko:K03589	vcf:IR04_17085
ko:K01924	vcf:IR04_17090
ko:K02563	vcf:IR04_17095
ko:K03588	vcf:IR04_17100
ko:K01925	vcf:IR04_17105
ko:K01000	vcf:IR04_17110
ko:K01929	vcf:IR04_17115
ko:K01928	vcf:IR04_17120
ko:K03587	vcf:IR04_17125
ko:K03586	vcf:IR04_17130
ko:K03438	vcf:IR04_17135
ko:K00382	vcf:IR04_17140
ko:K00627	vcf:IR04_17145
ko:K00163	vcf:IR04_17150
ko:K01119	vcf:IR04_17160
ko:K07462	vcf:IR04_17165
ko:K03981	vcf:IR04_17170
ko:K04763	vcf:IR04_17175
ko:K03840	vcf:IR04_17180
ko:K03806	vcf:IR04_17185
ko:K00767	vcf:IR04_17190
ko:K02652	vcf:IR04_17200
ko:K02653	vcf:IR04_17205
ko:K02654	vcf:IR04_17210
ko:K00859	vcf:IR04_17215
ko:K18778	vcf:IR04_17220
ko:K07112	vcf:IR04_02735
ko:K06996	vcf:IR04_02755
ko:K02809	vcf:IR04_02795
ko:K02810	vcf:IR04_02795
ko:K03484	vcf:IR04_02800
ko:K01193	vcf:IR04_02805
ko:K00847	vcf:IR04_02810
ko:K00111	vcf:IR04_02815
ko:K03406	vcf:IR04_02820
ko:K03406	vcf:IR04_02840
ko:K03326	vcf:IR04_02845
ko:K01752	vcf:IR04_02850
ko:K03307	vcf:IR04_02855
ko:K07685	vcf:IR04_02875
ko:K07674	vcf:IR04_02880
ko:K02572	vcf:IR04_02885
ko:K02570	vcf:IR04_02890
ko:K02567	vcf:IR04_02895
ko:K02568	vcf:IR04_02900
ko:K02569	vcf:IR04_02905
ko:K07783	vcf:IR04_02930
ko:K02012	vcf:IR04_02935
ko:K02011	vcf:IR04_02940
ko:K02010	vcf:IR04_02945
ko:K03821	vcf:IR04_02950
ko:K00626	vcf:IR04_02960
ko:K00023	vcf:IR04_02965
ko:K03074	vcf:IR04_02970
ko:K03072	vcf:IR04_02975
ko:K00975	vcf:IR04_02995
ko:K08325	vcf:IR04_03005
ko:K08476	vcf:IR04_03015
ko:K08475	vcf:IR04_03020
ko:K08478	vcf:IR04_03025
ko:K02742	vcf:IR04_07370
ko:K00789	vcf:IR04_07375
ko:K00615	vcf:IR04_07385
ko:K16089	vcf:IR04_07395
ko:K03472	vcf:IR04_07400
ko:K00927	vcf:IR04_07405
ko:K01624	vcf:IR04_07415
ko:K03442	vcf:IR04_07425
ko:K06895	vcf:IR04_07430
ko:K05596	vcf:IR04_07435
ko:K09807	vcf:IR04_07440
ko:K00873	vcf:IR04_07445
ko:K00820	vcf:IR04_07455
ko:K07483	vcf:IR04_07505
ko:K03086	vcf:IR04_07535
ko:K09117	vcf:IR04_07545
ko:K02970	vcf:IR04_07550
ko:K01409	vcf:IR04_07555
ko:K08591	vcf:IR04_07565
ko:K01633	vcf:IR04_07570
ko:K00950	vcf:IR04_07575
ko:K06153	vcf:IR04_07580
ko:K05589	vcf:IR04_07585
ko:K00991	vcf:IR04_07590
ko:K01770	vcf:IR04_07595
ko:K06176	vcf:IR04_07600
ko:K03787	vcf:IR04_07605
ko:K00573	vcf:IR04_07610
ko:K06194	vcf:IR04_07615
ko:K03555	vcf:IR04_07625
ko:K12339	vcf:IR04_07630
ko:K02048	vcf:IR04_07635
ko:K02046	vcf:IR04_07640
ko:K02047	vcf:IR04_07645
ko:K02045	vcf:IR04_07650
ko:K03743	vcf:IR04_07655
ko:K03578	vcf:IR04_12170
ko:K04046	vcf:IR04_12180
ko:K01669	vcf:IR04_12205
ko:K11741	vcf:IR04_12210
ko:K03406	vcf:IR04_12215
ko:K03413	vcf:IR04_12220
ko:K03407	vcf:IR04_12230
ko:K03413	vcf:IR04_12235
ko:K00575	vcf:IR04_12240
ko:K03412	vcf:IR04_12250
ko:K03408	vcf:IR04_12255
ko:K03406	vcf:IR04_12265
ko:K03406	vcf:IR04_12270
ko:K03543	vcf:IR04_12290
ko:K03446	vcf:IR04_12295
ko:K03406	vcf:IR04_12300
ko:K01299	vcf:IR04_12305
ko:K11903	vcf:IR04_12310
ko:K11904	vcf:IR04_12315
ko:K03310	vcf:IR04_12345
ko:K11069	vcf:IR04_12360
ko:K11069	vcf:IR04_12365
ko:K11070	vcf:IR04_12370
ko:K11071	vcf:IR04_12375
ko:K11072	vcf:IR04_12380
ko:K03796	vcf:IR04_12390
ko:K14058	vcf:IR04_12400
ko:K01766	vcf:IR04_16680
ko:K02426	vcf:IR04_16685
ko:K08304	vcf:IR04_16695
ko:K14682	vcf:IR04_16705
ko:K03581	vcf:IR04_16720
ko:K03582	vcf:IR04_16725
ko:K03583	vcf:IR04_16730
ko:K09918	vcf:IR04_16745
ko:K00674	vcf:IR04_16750
ko:K07234	vcf:IR04_16755
ko:K16074	vcf:IR04_16775
ko:K06878	vcf:IR04_16785
ko:K02529	vcf:IR04_16790
ko:K01190	vcf:IR04_16795
ko:K07240	vcf:IR04_16800
ko:K02355	vcf:IR04_16815
ko:K04485	vcf:IR04_16820
ko:K01079	vcf:IR04_16830
ko:K07186	vcf:IR04_16835
ko:K03784	vcf:IR04_16840
ko:K01839	vcf:IR04_16845
ko:K00758	vcf:IR04_16850
ko:K01619	vcf:IR04_16855
ko:K03317	vcf:IR04_16860
ko:K03424	vcf:IR04_16865
ko:K09861	vcf:IR04_16870
ko:K03310	vcf:IR04_16875
ko:K03648	vcf:IR04_16890
ko:K01151	vcf:IR04_16895
ko:K01733	vcf:IR04_16905
ko:K00872	vcf:IR04_16910
ko:K12524	vcf:IR04_16915
ko:K02553	vcf:IR04_16925
ko:K07773	vcf:IR04_16935
ko:K07648	vcf:IR04_16940
ko:K07139	vcf:IR04_16950
ko:K00265	vcf:IR04_16955
ko:K00266	vcf:IR04_16960
ko:K00265	vcf:IR04_16965
ko:K14761	vcf:IR04_02465
ko:K02030	vcf:IR04_02470
ko:K06934	vcf:IR04_02490
ko:K13896	vcf:IR04_02495
ko:K13895	vcf:IR04_02500
ko:K13894	vcf:IR04_02505
ko:K13893	vcf:IR04_02510
ko:K09712	vcf:IR04_02525
ko:K02011	vcf:IR04_02550
ko:K02358	vcf:IR04_06775
ko:K02192	vcf:IR04_06780
ko:K03594	vcf:IR04_06785
ko:K02990	vcf:IR04_06790
ko:K02686	vcf:IR04_06795
ko:K02963	vcf:IR04_06800
ko:K02939	vcf:IR04_06805
ko:K07283	vcf:IR04_06810
ko:K01775	vcf:IR04_06820
ko:K01810	vcf:IR04_06830
ko:K03409	vcf:IR04_06840
ko:K09823	vcf:IR04_06845
ko:K05539	vcf:IR04_06850
ko:K00380	vcf:IR04_06870
ko:K00381	vcf:IR04_06875
ko:K00390	vcf:IR04_06880
ko:K03316	vcf:IR04_06915
ko:K00548	vcf:IR04_06920
ko:K00928	vcf:IR04_06925
ko:K00830	vcf:IR04_06930
ko:K13009	vcf:IR04_06935
ko:K03701	vcf:IR04_06940
ko:K03111	vcf:IR04_06955
ko:K18765	vcf:IR04_06960
ko:K12279	vcf:IR04_06965
ko:K12280	vcf:IR04_06970
ko:K12281	vcf:IR04_06975
ko:K12282	vcf:IR04_06980
ko:K12283	vcf:IR04_06985
ko:K12284	vcf:IR04_06990
ko:K12276	vcf:IR04_06995
ko:K12278	vcf:IR04_07000
ko:K12277	vcf:IR04_07005
ko:K10925	vcf:IR04_07010
ko:K10924	vcf:IR04_07015
ko:K10926	vcf:IR04_07020
ko:K10927	vcf:IR04_07025
ko:K12285	vcf:IR04_07030
ko:K12286	vcf:IR04_07035
ko:K12287	vcf:IR04_07040
ko:K03569	vcf:IR04_07045
ko:K03570	vcf:IR04_07050
ko:K03571	vcf:IR04_07055
ko:K06287	vcf:IR04_07060
ko:K08301	vcf:IR04_07065
ko:K03406	vcf:IR04_11545
ko:K11107	vcf:IR04_11570
ko:K00568	vcf:IR04_11585
ko:K02469	vcf:IR04_11590
ko:K07146	vcf:IR04_11595
ko:K03291	vcf:IR04_11605
ko:K01497	vcf:IR04_11615
ko:K07231	vcf:IR04_11620
ko:K07338	vcf:IR04_11630
ko:K09947	vcf:IR04_11635
ko:K02480	vcf:IR04_11680
ko:K03451	vcf:IR04_11695
ko:K18454	vcf:IR04_11700
ko:K02760	vcf:IR04_11705
ko:K02761	vcf:IR04_11710
ko:K02759	vcf:IR04_11715
ko:K01222	vcf:IR04_11720
ko:K03478	vcf:IR04_11725
ko:K03669	vcf:IR04_11735
ko:K03670	vcf:IR04_11740
ko:K03406	vcf:IR04_11745
ko:K02342	vcf:IR04_11750
ko:K07182	vcf:IR04_11755
ko:K00832	vcf:IR04_11760
ko:K00941	vcf:IR04_11775
ko:K01893	vcf:IR04_11780
ko:K03406	vcf:IR04_11785
ko:K01737	vcf:IR04_11790
ko:K01752	vcf:IR04_11795
ko:K03837	vcf:IR04_11800
ko:K01665	vcf:IR04_11810
ko:K01676	vcf:IR04_11815
ko:K02388	vcf:IR04_16150
ko:K02387	vcf:IR04_16155
ko:K00575	vcf:IR04_16160
ko:K03415	vcf:IR04_16165
ko:K02386	vcf:IR04_16170
ko:K02398	vcf:IR04_16175
ko:K02399	vcf:IR04_16180
ko:K09860	vcf:IR04_16185
ko:K03286	vcf:IR04_16220
ko:K01885	vcf:IR04_16225
ko:K17686	vcf:IR04_16230
ko:K12373	vcf:IR04_16240
