ko:K13060	ypc:BZ23_2820
ko:K02494	ypc:BZ23_1563
ko:K02492	ypc:BZ23_1564
ko:K02835	ypc:BZ23_1565
ko:K02493	ypc:BZ23_1566
ko:K01627	ypc:BZ23_1569
ko:K03321	ypc:BZ23_1570
ko:K02055	ypc:BZ23_1573
ko:K00537	ypc:BZ23_2378
ko:K10763	ypc:BZ23_2379
ko:K02824	ypc:BZ23_2380
ko:K00761	ypc:BZ23_2381
ko:K01933	ypc:BZ23_2382
ko:K11175	ypc:BZ23_2383
ko:K00657	ypc:BZ23_2384
ko:K18475	ypc:BZ23_2385
ko:K02036	ypc:BZ23_2386
ko:K02038	ypc:BZ23_2387
ko:K02037	ypc:BZ23_2388
ko:K00937	ypc:BZ23_2389
ko:K01524	ypc:BZ23_2390
ko:K06213	ypc:BZ23_2391
ko:K04046	ypc:BZ23_2392
ko:K02053	ypc:BZ23_2394
ko:K02054	ypc:BZ23_2395
ko:K02055	ypc:BZ23_2396
ko:K00823	ypc:BZ23_2397
ko:K00375	ypc:BZ23_2398
ko:K02052	ypc:BZ23_2399
ko:K07799	ypc:BZ23_2400
ko:K07788	ypc:BZ23_2401
ko:K07789	ypc:BZ23_2402
ko:K18326	ypc:BZ23_2403
ko:K07642	ypc:BZ23_2404
ko:K07664	ypc:BZ23_2405
ko:K09946	ypc:BZ23_2406
ko:K08303	ypc:BZ23_2407
ko:K00941	ypc:BZ23_2411
ko:K06887	ypc:BZ23_2417
ko:K01951	ypc:BZ23_2418
ko:K00088	ypc:BZ23_2419
ko:K03601	ypc:BZ23_2420
ko:K07088	ypc:BZ23_2422
ko:K03977	ypc:BZ23_2423
ko:K17713	ypc:BZ23_2424
ko:K01892	ypc:BZ23_2426
ko:K03526	ypc:BZ23_2427
ko:K15539	ypc:BZ23_2428
ko:K02656	ypc:BZ23_2429
ko:K11904	ypc:BZ23_3233
ko:K11911	ypc:BZ23_3234
ko:K11891	ypc:BZ23_3235
ko:K11910	ypc:BZ23_3236
ko:K11909	ypc:BZ23_3237
ko:K11907	ypc:BZ23_3239
ko:K11892	ypc:BZ23_3240
ko:K11893	ypc:BZ23_3241
ko:K11906	ypc:BZ23_3242
ko:K11895	ypc:BZ23_3244
ko:K11896	ypc:BZ23_3245
ko:K11905	ypc:BZ23_3246
ko:K11900	ypc:BZ23_3247
ko:K11901	ypc:BZ23_3248
ko:K11903	ypc:BZ23_3249
ko:K05775	ypc:BZ23_3251
ko:K02024	ypc:BZ23_3252
ko:K10111	ypc:BZ23_3253
ko:K10108	ypc:BZ23_3254
ko:K10109	ypc:BZ23_3255
ko:K10110	ypc:BZ23_3256
ko:K13256	ypc:BZ23_3257
ko:K01810	ypc:BZ23_3258
ko:K00928	ypc:BZ23_3259
ko:K13014	ypc:BZ23_1901
ko:K10011	ypc:BZ23_1902
ko:K10012	ypc:BZ23_1903
ko:K07806	ypc:BZ23_1904
ko:K06074	ypc:BZ23_1905
ko:K00432	ypc:BZ23_1906
ko:K06073	ypc:BZ23_1907
ko:K04764	ypc:BZ23_1909
ko:K01890	ypc:BZ23_1910
ko:K01889	ypc:BZ23_1911
ko:K02887	ypc:BZ23_1912
ko:K02916	ypc:BZ23_1913
ko:K02520	ypc:BZ23_1914
ko:K01868	ypc:BZ23_1915
ko:K05595	ypc:BZ23_1918
ko:K08308	ypc:BZ23_1919
ko:K11604	ypc:BZ23_1920
ko:K11607	ypc:BZ23_1921
ko:K11605	ypc:BZ23_1922
ko:K11606	ypc:BZ23_1923
ko:K01815	ypc:BZ23_1928
ko:K00065	ypc:BZ23_1929
ko:K01731	ypc:BZ23_1930
ko:K10193	ypc:BZ23_1931
ko:K10194	ypc:BZ23_1932
ko:K10195	ypc:BZ23_1933
ko:K10192	ypc:BZ23_1934
ko:K07038	ypc:BZ23_1936
ko:K06956	ypc:BZ23_1937
ko:K11066	ypc:BZ23_1938
ko:K01730	ypc:BZ23_1940
ko:K08169	ypc:BZ23_1941
ko:K07346	ypc:BZ23_1942
ko:K07345	ypc:BZ23_1943
ko:K07347	ypc:BZ23_1944
ko:K15540	ypc:BZ23_1945
ko:K07345	ypc:BZ23_1946
ko:K03799	ypc:BZ23_1947
ko:K03797	ypc:BZ23_1949
ko:K03607	ypc:BZ23_1950
ko:K03808	ypc:BZ23_1952
ko:K02437	ypc:BZ23_2745
ko:K00605	ypc:BZ23_2746
ko:K18800	ypc:BZ23_2747
ko:K03185	ypc:BZ23_2748
ko:K01262	ypc:BZ23_2749
ko:K09895	ypc:BZ23_2750
ko:K09888	ypc:BZ23_2751
ko:K01934	ypc:BZ23_2752
ko:K00058	ypc:BZ23_2753
ko:K01807	ypc:BZ23_2754
ko:K05596	ypc:BZ23_2755
ko:K09807	ypc:BZ23_2756
ko:K06895	ypc:BZ23_2757
ko:K03442	ypc:BZ23_2758
ko:K01624	ypc:BZ23_2759
ko:K00927	ypc:BZ23_2760
ko:K03472	ypc:BZ23_2761
ko:K00615	ypc:BZ23_2762
ko:K07387	ypc:BZ23_2763
ko:K07491	ypc:BZ23_2764
ko:K01585	ypc:BZ23_2766
ko:K00789	ypc:BZ23_2768
ko:K02742	ypc:BZ23_2769
ko:K01150	ypc:BZ23_2770
ko:K09761	ypc:BZ23_2771
ko:K01920	ypc:BZ23_2772
ko:K07735	ypc:BZ23_2773
ko:K07447	ypc:BZ23_2774
ko:K12251	ypc:BZ23_2775
ko:K10536	ypc:BZ23_2776
ko:K02669	ypc:BZ23_2777
ko:K06997	ypc:BZ23_2778
ko:K00286	ypc:BZ23_2779
ko:K02221	ypc:BZ23_2780
ko:K09131	ypc:BZ23_2781
ko:K02428	ypc:BZ23_2782
ko:K01425	ypc:BZ23_2786
ko:K09923	ypc:BZ23_2787
ko:K03439	ypc:BZ23_2788
ko:K03575	ypc:BZ23_2789
ko:K08306	ypc:BZ23_2791
ko:K02016	ypc:BZ23_2792
ko:K02014	ypc:BZ23_2793
ko:K10440	ypc:BZ23_2794
ko:K10441	ypc:BZ23_2795
ko:K10439	ypc:BZ23_2796
ko:K01581	ypc:BZ23_2797
ko:K02112	ypc:BZ23_3603
ko:K02115	ypc:BZ23_3604
ko:K02111	ypc:BZ23_3605
ko:K02113	ypc:BZ23_3606
ko:K02109	ypc:BZ23_3607
ko:K02110	ypc:BZ23_3608
ko:K02108	ypc:BZ23_3609
ko:K02116	ypc:BZ23_3610
ko:K03501	ypc:BZ23_3611
ko:K03495	ypc:BZ23_3612
ko:K06205	ypc:BZ23_3613
ko:K03718	ypc:BZ23_3614
ko:K01914	ypc:BZ23_3615
ko:K03924	ypc:BZ23_3617
ko:K03549	ypc:BZ23_3618
ko:K06726	ypc:BZ23_3619
ko:K00852	ypc:BZ23_3620
ko:K03753	ypc:BZ23_3629
ko:K03752	ypc:BZ23_3630
ko:K09896	ypc:BZ23_3631
ko:K03673	ypc:BZ23_3633
ko:K03978	ypc:BZ23_3635
ko:K09894	ypc:BZ23_3636
ko:K07712	ypc:BZ23_3638
ko:K07708	ypc:BZ23_3639
ko:K01915	ypc:BZ23_3640
ko:K06207	ypc:BZ23_3641
ko:K07058	ypc:BZ23_3643
ko:K07560	ypc:BZ23_3644
ko:K16345	ypc:BZ23_3647
ko:K03312	ypc:BZ23_3648
ko:K03655	ypc:BZ23_3649
ko:K00556	ypc:BZ23_3650
ko:K03060	ypc:BZ23_3652
ko:K00942	ypc:BZ23_3653
ko:K01972	ypc:BZ23_3654
ko:K11017	ypc:BZ23_3260
ko:K11016	ypc:BZ23_3261
ko:K00548	ypc:BZ23_3262
ko:K13641	ypc:BZ23_3263
ko:K00906	ypc:BZ23_3264
ko:K01637	ypc:BZ23_3265
ko:K01638	ypc:BZ23_3266
ko:K00651	ypc:BZ23_3267
ko:K00014	ypc:BZ23_3279
ko:K07566	ypc:BZ23_3280
ko:K07479	ypc:BZ23_3281
ko:K03747	ypc:BZ23_3282
ko:K04096	ypc:BZ23_3283
ko:K01462	ypc:BZ23_3284
ko:K00604	ypc:BZ23_3285
ko:K03500	ypc:BZ23_3286
ko:K03499	ypc:BZ23_3287
ko:K01119	ypc:BZ23_4090
ko:K01082	ypc:BZ23_4091
ko:K07109	ypc:BZ23_4092
ko:K07304	ypc:BZ23_4095
ko:K07278	ypc:BZ23_4096
ko:K09800	ypc:BZ23_4097
ko:K01507	ypc:BZ23_4099
ko:K03841	ypc:BZ23_4100
ko:K02558	ypc:BZ23_4101
ko:K03402	ypc:BZ23_4103
ko:K00024	ypc:BZ23_4104
ko:K07724	ypc:BZ23_4105
ko:K02523	ypc:BZ23_4107
ko:K02888	ypc:BZ23_4108
ko:K02899	ypc:BZ23_4109
ko:K03979	ypc:BZ23_4111
ko:K07643	ypc:BZ23_4112
ko:K07771	ypc:BZ23_4113
ko:K07259	ypc:BZ23_4114
ko:K03624	ypc:BZ23_4115
ko:K07574	ypc:BZ23_4116
ko:K02427	ypc:BZ23_4117
ko:K03798	ypc:BZ23_4118
ko:K00796	ypc:BZ23_4119
ko:K03431	ypc:BZ23_4120
ko:K03075	ypc:BZ23_4121
ko:K09748	ypc:BZ23_4124
ko:K02600	ypc:BZ23_4125
ko:K02519	ypc:BZ23_4126
ko:K02834	ypc:BZ23_4127
ko:K03177	ypc:BZ23_4128
ko:K02956	ypc:BZ23_4129
ko:K00962	ypc:BZ23_4130
ko:K05803	ypc:BZ23_4131
ko:K05592	ypc:BZ23_4132
ko:K03585	ypc:BZ23_4137
ko:K18138	ypc:BZ23_4138
ko:K18139	ypc:BZ23_4139
ko:K08303	ypc:BZ23_4141
ko:K03824	ypc:BZ23_4143
ko:K07461	ypc:BZ23_4144
ko:K02777	ypc:BZ23_2306
ko:K02053	ypc:BZ23_1574
ko:K02054	ypc:BZ23_1575
ko:K04477	ypc:BZ23_1580
ko:K08162	ypc:BZ23_1583
ko:K03790	ypc:BZ23_1584
ko:K03980	ypc:BZ23_1587
ko:K11017	ypc:BZ23_1588
ko:K11016	ypc:BZ23_1589
ko:K01887	ypc:BZ23_1590
ko:K09907	ypc:BZ23_1591
ko:K06201	ypc:BZ23_1592
ko:K15257	ypc:BZ23_1593
ko:K15256	ypc:BZ23_1594
ko:K07136	ypc:BZ23_1595
ko:K01876	ypc:BZ23_1597
ko:K08310	ypc:BZ23_1598
ko:K01159	ypc:BZ23_1600
ko:K03550	ypc:BZ23_1601
ko:K03551	ypc:BZ23_1602
ko:K09816	ypc:BZ23_1603
ko:K09817	ypc:BZ23_1604
ko:K09815	ypc:BZ23_1605
ko:K02560	ypc:BZ23_1607
ko:K00873	ypc:BZ23_1608
ko:K00036	ypc:BZ23_1610
ko:K01625	ypc:BZ23_1612
ko:K11743	ypc:BZ23_1613
ko:K11742	ypc:BZ23_1614
ko:K14742	ypc:BZ23_1617
ko:K07285	ypc:BZ23_1618
ko:K01897	ypc:BZ23_1619
ko:K03684	ypc:BZ23_1620
ko:K03608	ypc:BZ23_1621
ko:K03609	ypc:BZ23_1622
ko:K03610	ypc:BZ23_1623
ko:K09902	ypc:BZ23_1624
ko:K08305	ypc:BZ23_1625
ko:K09160	ypc:BZ23_1627
ko:K06941	ypc:BZ23_2430
ko:K00940	ypc:BZ23_2431
ko:K07751	ypc:BZ23_2436
ko:K04755	ypc:BZ23_2438
ko:K04044	ypc:BZ23_2439
ko:K04082	ypc:BZ23_2440
ko:K13628	ypc:BZ23_2441
ko:K04488	ypc:BZ23_2442
ko:K04487	ypc:BZ23_2443
ko:K13643	ypc:BZ23_2444
ko:K15396	ypc:BZ23_2445
ko:K01092	ypc:BZ23_2446
ko:K05820	ypc:BZ23_2449
ko:K00600	ypc:BZ23_2452
ko:K05916	ypc:BZ23_2453
ko:K04751	ypc:BZ23_2455
ko:K01950	ypc:BZ23_2456
ko:K07715	ypc:BZ23_2457
ko:K07711	ypc:BZ23_2459
ko:K01952	ypc:BZ23_2462
ko:K18691	ypc:BZ23_2463
ko:K11991	ypc:BZ23_2464
ko:K18697	ypc:BZ23_2465
ko:K07106	ypc:BZ23_2466
ko:K00997	ypc:BZ23_2469
ko:K03474	ypc:BZ23_2470
ko:K03584	ypc:BZ23_2471
ko:K03685	ypc:BZ23_2473
ko:K03100	ypc:BZ23_2474
ko:K03596	ypc:BZ23_2475
ko:K03803	ypc:BZ23_2477
ko:K03598	ypc:BZ23_2478
ko:K03597	ypc:BZ23_2479
ko:K03088	ypc:BZ23_2480
ko:K00278	ypc:BZ23_2481
ko:K03282	ypc:BZ23_3288
ko:K09890	ypc:BZ23_3289
ko:K02879	ypc:BZ23_3291
ko:K03040	ypc:BZ23_3292
ko:K02986	ypc:BZ23_3293
ko:K02948	ypc:BZ23_3294
ko:K02952	ypc:BZ23_3295
ko:K02919	ypc:BZ23_3296
ko:K03076	ypc:BZ23_3297
ko:K02876	ypc:BZ23_3298
ko:K02907	ypc:BZ23_3299
ko:K02988	ypc:BZ23_3300
ko:K02881	ypc:BZ23_3301
ko:K02933	ypc:BZ23_3302
ko:K02994	ypc:BZ23_3303
ko:K02954	ypc:BZ23_3304
ko:K02931	ypc:BZ23_3305
ko:K07346	ypc:BZ23_1957
ko:K07347	ypc:BZ23_1958
ko:K01775	ypc:BZ23_1967
ko:K03414	ypc:BZ23_1972
ko:K03413	ypc:BZ23_1973
ko:K03412	ypc:BZ23_1974
ko:K00575	ypc:BZ23_1975
ko:K05877	ypc:BZ23_1976
ko:K03408	ypc:BZ23_1980
ko:K03407	ypc:BZ23_1981
ko:K02557	ypc:BZ23_1982
ko:K02556	ypc:BZ23_1983
ko:K02402	ypc:BZ23_1984
ko:K02403	ypc:BZ23_1985
ko:K01531	ypc:BZ23_1986
ko:K07507	ypc:BZ23_1987
ko:K05876	ypc:BZ23_1988
ko:K03704	ypc:BZ23_1990
ko:K01190	ypc:BZ23_1991
ko:K03719	ypc:BZ23_1995
ko:K01093	ypc:BZ23_1998
ko:K03776	ypc:BZ23_2002
ko:K00031	ypc:BZ23_2005
ko:K06181	ypc:BZ23_2006
ko:K12152	ypc:BZ23_2007
ko:K07480	ypc:BZ23_2801
ko:K11904	ypc:BZ23_2805
ko:K11907	ypc:BZ23_2806
ko:K11907	ypc:BZ23_2807
ko:K11903	ypc:BZ23_2808
ko:K11892	ypc:BZ23_2810
ko:K11893	ypc:BZ23_2811
ko:K11900	ypc:BZ23_2812
ko:K11901	ypc:BZ23_2813
ko:K07052	ypc:BZ23_2818
ko:K03894	ypc:BZ23_2824
ko:K03896	ypc:BZ23_2825
ko:K03895	ypc:BZ23_2826
ko:K03897	ypc:BZ23_2827
ko:K02014	ypc:BZ23_2828
ko:K02529	ypc:BZ23_2831
ko:K14445	ypc:BZ23_2832
ko:K11904	ypc:BZ23_2847
ko:K16321	ypc:BZ23_2850
ko:K00989	ypc:BZ23_3657
ko:K00762	ypc:BZ23_3658
ko:K05501	ypc:BZ23_3659
ko:K13038	ypc:BZ23_3661
ko:K03630	ypc:BZ23_3662
ko:K02902	ypc:BZ23_3663
ko:K02913	ypc:BZ23_3664
ko:K10563	ypc:BZ23_3665
ko:K00954	ypc:BZ23_3666
ko:K12984	ypc:BZ23_3667
ko:K02527	ypc:BZ23_3668
ko:K02841	ypc:BZ23_3669
ko:K02843	ypc:BZ23_3670
ko:K03274	ypc:BZ23_3671
ko:K00639	ypc:BZ23_3672
ko:K00060	ypc:BZ23_3673
ko:K09798	ypc:BZ23_3674
ko:K15633	ypc:BZ23_3676
ko:K03071	ypc:BZ23_3679
ko:K00057	ypc:BZ23_3680
ko:K00640	ypc:BZ23_3681
ko:K03216	ypc:BZ23_3682
ko:K10778	ypc:BZ23_3683
ko:K07640	ypc:BZ23_3684
ko:K06006	ypc:BZ23_3686
ko:K13283	ypc:BZ23_3688
ko:K00850	ypc:BZ23_3689
ko:K02048	ypc:BZ23_3691
ko:K02020	ypc:BZ23_3692
ko:K03319	ypc:BZ23_3693
ko:K10218	ypc:BZ23_3694
ko:K16515	ypc:BZ23_3695
ko:K16516	ypc:BZ23_3696
ko:K01803	ypc:BZ23_3697
ko:K00528	ypc:BZ23_3700
ko:K02446	ypc:BZ23_3701
ko:K00864	ypc:BZ23_3702
ko:K02440	ypc:BZ23_3703
ko:K09892	ypc:BZ23_3704
ko:K13409	ypc:BZ23_3705
ko:K13408	ypc:BZ23_3706
ko:K07319	ypc:BZ23_689
ko:K02895	ypc:BZ23_3306
ko:K02874	ypc:BZ23_3307
ko:K02961	ypc:BZ23_3308
ko:K02904	ypc:BZ23_3309
ko:K02878	ypc:BZ23_3310
ko:K02982	ypc:BZ23_3311
ko:K02890	ypc:BZ23_3312
ko:K02965	ypc:BZ23_3313
ko:K02886	ypc:BZ23_3314
ko:K02892	ypc:BZ23_3315
ko:K02926	ypc:BZ23_3316
ko:K02906	ypc:BZ23_3317
ko:K02946	ypc:BZ23_3318
ko:K03594	ypc:BZ23_3319
ko:K02192	ypc:BZ23_3320
ko:K02358	ypc:BZ23_3321
ko:K02355	ypc:BZ23_3322
ko:K02992	ypc:BZ23_3323
ko:K02950	ypc:BZ23_3324
ko:K07237	ypc:BZ23_3325
ko:K07236	ypc:BZ23_3326
ko:K07235	ypc:BZ23_3327
ko:K03772	ypc:BZ23_3329
ko:K03745	ypc:BZ23_3330
ko:K03775	ypc:BZ23_3331
ko:K07070	ypc:BZ23_3332
ko:K11747	ypc:BZ23_3333
ko:K06158	ypc:BZ23_3335
ko:K03119	ypc:BZ23_3338
ko:K15552	ypc:BZ23_3339
ko:K10831	ypc:BZ23_3340
ko:K02027	ypc:BZ23_4147
ko:K02025	ypc:BZ23_4148
ko:K02026	ypc:BZ23_4149
ko:K10112	ypc:BZ23_4150
ko:K09979	ypc:BZ23_4152
ko:K06167	ypc:BZ23_4154
ko:K05774	ypc:BZ23_4155
ko:K06162	ypc:BZ23_4156
ko:K05780	ypc:BZ23_4157
ko:K05781	ypc:BZ23_4158
ko:K06163	ypc:BZ23_4159
ko:K06164	ypc:BZ23_4160
ko:K06165	ypc:BZ23_4161
ko:K06166	ypc:BZ23_4162
ko:K02043	ypc:BZ23_4163
ko:K02034	ypc:BZ23_4169
ko:K04487	ypc:BZ23_1630
ko:K03611	ypc:BZ23_1633
ko:K03314	ypc:BZ23_1634
ko:K03603	ypc:BZ23_1635
ko:K00285	ypc:BZ23_1637
ko:K07552	ypc:BZ23_1638
ko:K06911	ypc:BZ23_1639
ko:K09786	ypc:BZ23_1642
ko:K07180	ypc:BZ23_1643
ko:K01792	ypc:BZ23_1645
ko:K00134	ypc:BZ23_1646
ko:K07305	ypc:BZ23_1647
ko:K09916	ypc:BZ23_1648
ko:K08281	ypc:BZ23_1649
ko:K01424	ypc:BZ23_1650
ko:K04773	ypc:BZ23_1651
ko:K01008	ypc:BZ23_1653
ko:K03169	ypc:BZ23_1654
ko:K08320	ypc:BZ23_1656
ko:K01142	ypc:BZ23_1657
ko:K01433	ypc:BZ23_1662
ko:K09858	ypc:BZ23_1663
ko:K00012	ypc:BZ23_1665
ko:K03746	ypc:BZ23_1666
ko:K04072	ypc:BZ23_1668
ko:K15580	ypc:BZ23_1670
ko:K15581	ypc:BZ23_1671
ko:K15582	ypc:BZ23_1672
ko:K15583	ypc:BZ23_1673
ko:K10823	ypc:BZ23_1674
ko:K09901	ypc:BZ23_1676
ko:K06131	ypc:BZ23_1677
ko:K09981	ypc:BZ23_1680
ko:K09780	ypc:BZ23_1681
ko:K03832	ypc:BZ23_1683
ko:K10806	ypc:BZ23_1684
ko:K06190	ypc:BZ23_1685
ko:K15460	ypc:BZ23_2482
ko:K05590	ypc:BZ23_2483
ko:K03648	ypc:BZ23_2489
ko:K01304	ypc:BZ23_2490
ko:K07160	ypc:BZ23_2493
ko:K01669	ypc:BZ23_2499
ko:K01546	ypc:BZ23_2502
ko:K01547	ypc:BZ23_2503
ko:K01548	ypc:BZ23_2504
ko:K07646	ypc:BZ23_2505
ko:K07667	ypc:BZ23_2506
ko:K08978	ypc:BZ23_2507
ko:K01835	ypc:BZ23_2508
ko:K03645	ypc:BZ23_2509
ko:K03478	ypc:BZ23_2512
ko:K03490	ypc:BZ23_2513
ko:K02759	ypc:BZ23_2514
ko:K02761	ypc:BZ23_2515
ko:K02760	ypc:BZ23_2516
ko:K06199	ypc:BZ23_2517
ko:K06199	ypc:BZ23_2518
ko:K10716	ypc:BZ23_2519
ko:K07241	ypc:BZ23_2521
ko:K08717	ypc:BZ23_2522
ko:K03190	ypc:BZ23_2523
ko:K03189	ypc:BZ23_2524
ko:K03188	ypc:BZ23_2525
ko:K03187	ypc:BZ23_2526
ko:K01428	ypc:BZ23_2527
ko:K01429	ypc:BZ23_2528
ko:K01430	ypc:BZ23_2529
ko:K02034	ypc:BZ23_2533
ko:K15551	ypc:BZ23_3341
ko:K07019	ypc:BZ23_3343
ko:K09898	ypc:BZ23_3344
ko:K00855	ypc:BZ23_3345
ko:K10914	ypc:BZ23_3349
ko:K01664	ypc:BZ23_3352
ko:K06915	ypc:BZ23_3353
ko:K03767	ypc:BZ23_3354
ko:K01222	ypc:BZ23_3355
ko:K02014	ypc:BZ23_3357
ko:K06141	ypc:BZ23_3358
ko:K01485	ypc:BZ23_3359
ko:K00566	ypc:BZ23_2008
ko:K07153	ypc:BZ23_2009
ko:K01756	ypc:BZ23_2010
ko:K07660	ypc:BZ23_2012
ko:K07637	ypc:BZ23_2013
ko:K18850	ypc:BZ23_2014
ko:K01258	ypc:BZ23_2015
ko:K12410	ypc:BZ23_2016
ko:K00884	ypc:BZ23_2017
ko:K09808	ypc:BZ23_2018
ko:K09810	ypc:BZ23_2019
ko:K09808	ypc:BZ23_2020
ko:K03723	ypc:BZ23_2021
ko:K03885	ypc:BZ23_2025
ko:K07000	ypc:BZ23_2026
ko:K01207	ypc:BZ23_2027
ko:K07251	ypc:BZ23_2028
ko:K07337	ypc:BZ23_2029
ko:K02503	ypc:BZ23_2031
ko:K00014	ypc:BZ23_2032
ko:K02778	ypc:BZ23_2043
ko:K02779	ypc:BZ23_2043
ko:K03424	ypc:BZ23_2044
ko:K02341	ypc:BZ23_2045
ko:K00943	ypc:BZ23_2046
ko:K07082	ypc:BZ23_2047
ko:K02619	ypc:BZ23_2048
ko:K09458	ypc:BZ23_2049
ko:K02078	ypc:BZ23_2050
ko:K00059	ypc:BZ23_2051
ko:K00645	ypc:BZ23_2052
ko:K00648	ypc:BZ23_2053
ko:K03621	ypc:BZ23_2054
ko:K02911	ypc:BZ23_2055
ko:K07040	ypc:BZ23_2056
ko:K06179	ypc:BZ23_2058
ko:K08300	ypc:BZ23_2060
ko:K06147	ypc:BZ23_2854
ko:K06147	ypc:BZ23_2855
ko:K02014	ypc:BZ23_2862
ko:K01258	ypc:BZ23_2863
ko:K12942	ypc:BZ23_2864
ko:K07491	ypc:BZ23_2866
ko:K12678	ypc:BZ23_2869
ko:K07483	ypc:BZ23_2875
ko:K06077	ypc:BZ23_2877
ko:K02557	ypc:BZ23_2881
ko:K02556	ypc:BZ23_2882
ko:K02405	ypc:BZ23_2883
ko:K02415	ypc:BZ23_2884
ko:K02414	ypc:BZ23_2885
ko:K02422	ypc:BZ23_2887
ko:K02407	ypc:BZ23_2888
ko:K02406	ypc:BZ23_2889
ko:K02406	ypc:BZ23_2892
ko:K02397	ypc:BZ23_2896
ko:K02396	ypc:BZ23_2897
ko:K02395	ypc:BZ23_2898
ko:K02394	ypc:BZ23_2899
ko:K02393	ypc:BZ23_2900
ko:K02392	ypc:BZ23_2901
ko:K02391	ypc:BZ23_2902
ko:K02390	ypc:BZ23_2903
ko:K02389	ypc:BZ23_2904
ko:K02388	ypc:BZ23_2905
ko:K02553	ypc:BZ23_3709
ko:K02548	ypc:BZ23_3710
ko:K03667	ypc:BZ23_3711
ko:K01419	ypc:BZ23_3712
ko:K03591	ypc:BZ23_3713
ko:K05499	ypc:BZ23_3714
ko:K04066	ypc:BZ23_3716
ko:K02909	ypc:BZ23_3717
ko:K03764	ypc:BZ23_3719
ko:K01739	ypc:BZ23_3720
ko:K12525	ypc:BZ23_3721
ko:K00297	ypc:BZ23_3722
ko:K07483	ypc:BZ23_3723
ko:K01595	ypc:BZ23_3726
ko:K01438	ypc:BZ23_3727
ko:K00145	ypc:BZ23_3728
ko:K00930	ypc:BZ23_3729
ko:K01755	ypc:BZ23_3730
ko:K16152	ypc:BZ23_3731
ko:K12545	ypc:BZ23_3732
ko:K12536	ypc:BZ23_3733
ko:K12537	ypc:BZ23_3734
ko:K03832	ypc:BZ23_3735
ko:K00382	ypc:BZ23_3736
ko:K04761	ypc:BZ23_3739
ko:K00322	ypc:BZ23_3738
ko:K16092	ypc:BZ23_3744
ko:K01776	ypc:BZ23_3745
ko:K02058	ypc:BZ23_3752
ko:K02056	ypc:BZ23_3753
ko:K02057	ypc:BZ23_3754
ko:K02057	ypc:BZ23_3756
ko:K09897	ypc:BZ23_3757
ko:K07391	ypc:BZ23_3758
ko:K01652	ypc:BZ23_3759
ko:K00362	ypc:BZ23_3360
ko:K00363	ypc:BZ23_3361
ko:K02598	ypc:BZ23_3362
ko:K02302	ypc:BZ23_3363
ko:K01867	ypc:BZ23_3364
ko:K01091	ypc:BZ23_3365
ko:K01783	ypc:BZ23_3366
ko:K03112	ypc:BZ23_3368
ko:K01735	ypc:BZ23_3369
ko:K00891	ypc:BZ23_3370
ko:K02507	ypc:BZ23_3371
ko:K12291	ypc:BZ23_3372
ko:K12290	ypc:BZ23_3373
ko:K12289	ypc:BZ23_3374
ko:K12288	ypc:BZ23_3375
ko:K05366	ypc:BZ23_3376
ko:K08312	ypc:BZ23_3377
ko:K04762	ypc:BZ23_3381
ko:K04083	ypc:BZ23_3382
ko:K01610	ypc:BZ23_3383
ko:K07638	ypc:BZ23_3384
ko:K07659	ypc:BZ23_3385
ko:K04760	ypc:BZ23_3386
ko:K06959	ypc:BZ23_3387
ko:K04758	ypc:BZ23_3388
ko:K04759	ypc:BZ23_3389
ko:K07490	ypc:BZ23_3390
ko:K02170	ypc:BZ23_3392
ko:K01710	ypc:BZ23_3795
ko:K07275	ypc:BZ23_1688
ko:K01695	ypc:BZ23_1690
ko:K01696	ypc:BZ23_1691
ko:K13498	ypc:BZ23_1692
ko:K00766	ypc:BZ23_1693
ko:K01658	ypc:BZ23_1694
ko:K01657	ypc:BZ23_1695
ko:K07053	ypc:BZ23_1696
ko:K06178	ypc:BZ23_1698
ko:K04774	ypc:BZ23_1701
ko:K03168	ypc:BZ23_1704
ko:K07491	ypc:BZ23_1705
ko:K13634	ypc:BZ23_1706
ko:K01681	ypc:BZ23_1708
ko:K01497	ypc:BZ23_1709
ko:K08992	ypc:BZ23_1711
ko:K01591	ypc:BZ23_1714
ko:K03113	ypc:BZ23_1715
ko:K04062	ypc:BZ23_1716
ko:K08313	ypc:BZ23_1719
ko:K06200	ypc:BZ23_1721
ko:K01147	ypc:BZ23_1722
ko:K10773	ypc:BZ23_1725
ko:K03613	ypc:BZ23_1726
ko:K03612	ypc:BZ23_1727
ko:K03614	ypc:BZ23_1728
ko:K03615	ypc:BZ23_1730
ko:K03616	ypc:BZ23_1731
ko:K03617	ypc:BZ23_1732
ko:K12530	ypc:BZ23_1734
ko:K12532	ypc:BZ23_1735
ko:K12531	ypc:BZ23_1736
ko:K01804	ypc:BZ23_1738
ko:K02033	ypc:BZ23_2534
ko:K02035	ypc:BZ23_2535
ko:K03704	ypc:BZ23_2536
ko:K03647	ypc:BZ23_2542
ko:K02000	ypc:BZ23_2545
ko:K02001	ypc:BZ23_2546
ko:K02002	ypc:BZ23_2547
ko:K16842	ypc:BZ23_2548
ko:K03457	ypc:BZ23_2549
ko:K02342	ypc:BZ23_2551
ko:K03469	ypc:BZ23_2552
ko:K01069	ypc:BZ23_2554
ko:K08307	ypc:BZ23_2555
ko:K06222	ypc:BZ23_2558
