ko:K08744	mtut:HKBT1_1911
ko:K02600	mtut:HKBT1_2984
ko:K09748	mtut:HKBT1_2985
ko:K01881	mtut:HKBT1_2988
ko:K02302	mtut:HKBT1_2990
ko:K02224	mtut:HKBT1_2991
ko:K03404	mtut:HKBT1_2993
ko:K02348	mtut:HKBT1_2994
ko:K00116	mtut:HKBT1_2995
ko:K17883	mtut:HKBT1_2998
ko:K07241	mtut:HKBT1_2999
ko:K04652	mtut:HKBT1_3000
ko:K04652	mtut:HKBT1_3001
ko:K00800	mtut:HKBT1_3404
ko:K07228	mtut:HKBT1_3413
ko:K03070	mtut:HKBT1_3416
ko:K07654	mtut:HKBT1_3421
ko:K07670	mtut:HKBT1_3422
ko:K00943	mtut:HKBT1_3423
ko:K01251	mtut:HKBT1_3424
ko:K00496	mtut:HKBT1_3428
ko:K03294	mtut:HKBT1_3429
ko:K01809	mtut:HKBT1_3431
ko:K01840	mtut:HKBT1_3433
ko:K11212	mtut:HKBT1_3437
ko:K12234	mtut:HKBT1_3438
ko:K12510	mtut:HKBT1_3860
ko:K02283	mtut:HKBT1_3861
ko:K02031	mtut:HKBT1_3866
ko:K02032	mtut:HKBT1_3866
ko:K15582	mtut:HKBT1_3867
ko:K15581	mtut:HKBT1_3868
ko:K15580	mtut:HKBT1_3869
ko:K01895	mtut:HKBT1_3870
ko:K10773	mtut:HKBT1_3877
ko:K16653	mtut:HKBT1_4002
ko:K16652	mtut:HKBT1_4003
ko:K13686	mtut:HKBT1_4004
ko:K11387	mtut:HKBT1_4005
ko:K11385	mtut:HKBT1_4006
ko:K11386	mtut:HKBT1_4007
ko:K12437	mtut:HKBT1_4012
ko:K12428	mtut:HKBT1_4013
ko:K03437	mtut:HKBT1_1734
ko:K01889	mtut:HKBT1_1739
ko:K01890	mtut:HKBT1_1740
ko:K00145	mtut:HKBT1_1742
ko:K00620	mtut:HKBT1_1743
ko:K00930	mtut:HKBT1_1744
ko:K00611	mtut:HKBT1_1746
ko:K03402	mtut:HKBT1_1747
ko:K01940	mtut:HKBT1_1748
ko:K01755	mtut:HKBT1_1749
ko:K16167	mtut:HKBT1_1750
ko:K12434	mtut:HKBT1_1751
ko:K16167	mtut:HKBT1_1755
ko:K01990	mtut:HKBT1_1777
ko:K03652	mtut:HKBT1_1778
ko:K01866	mtut:HKBT1_1779
ko:K06442	mtut:HKBT1_1784
ko:K00858	mtut:HKBT1_1785
ko:K03631	mtut:HKBT1_1786
ko:K01937	mtut:HKBT1_1789
ko:K00163	mtut:HKBT1_2364
ko:K00645	mtut:HKBT1_2367
ko:K02078	mtut:HKBT1_2368
ko:K11609	mtut:HKBT1_2369
ko:K11609	mtut:HKBT1_2370
ko:K18472	mtut:HKBT1_2371
ko:K00111	mtut:HKBT1_2373
ko:K00803	mtut:HKBT1_2375
ko:K00153	mtut:HKBT1_2383
ko:K03820	mtut:HKBT1_2385
ko:K06916	mtut:HKBT1_2814
ko:K16647	mtut:HKBT1_2816
ko:K07305	mtut:HKBT1_2817
ko:K00231	mtut:HKBT1_2820
ko:K01599	mtut:HKBT1_2821
ko:K01692	mtut:HKBT1_2822
ko:K03684	mtut:HKBT1_2824
ko:K01662	mtut:HKBT1_2825
ko:K16905	mtut:HKBT1_2829
ko:K16906	mtut:HKBT1_2830
ko:K16907	mtut:HKBT1_2831
ko:K03664	mtut:HKBT1_3257
ko:K09811	mtut:HKBT1_3258
ko:K09812	mtut:HKBT1_3259
ko:K02836	mtut:HKBT1_3262
ko:K00528	mtut:HKBT1_3263
ko:K00803	mtut:HKBT1_3264
ko:K03639	mtut:HKBT1_3266
ko:K01724	mtut:HKBT1_3267
ko:K03637	mtut:HKBT1_3268
ko:K03636	mtut:HKBT1_3269
ko:K01011	mtut:HKBT1_3274
ko:K00697	mtut:HKBT1_3692
ko:K18481	mtut:HKBT1_3694
ko:K18481	mtut:HKBT1_3695
ko:K02067	mtut:HKBT1_3696
ko:K02067	mtut:HKBT1_3697
ko:K02067	mtut:HKBT1_3698
ko:K02067	mtut:HKBT1_3699
ko:K02067	mtut:HKBT1_3700
ko:K02067	mtut:HKBT1_3701
ko:K02066	mtut:HKBT1_3702
ko:K02066	mtut:HKBT1_3703
ko:K00059	mtut:HKBT1_3704
ko:K05337	mtut:HKBT1_3705
ko:K00666	mtut:HKBT1_3708
ko:K01652	mtut:HKBT1_3711
ko:K07045	mtut:HKBT1_3712
ko:K01692	mtut:HKBT1_3717
ko:K03980	mtut:HKBT1_4125
ko:K03088	mtut:HKBT1_4126
ko:K00384	mtut:HKBT1_4128
ko:K03671	mtut:HKBT1_4129
ko:K03501	mtut:HKBT1_4134
ko:K06346	mtut:HKBT1_4135
ko:K03217	mtut:HKBT1_4136
ko:K08998	mtut:HKBT1_4137
ko:K03536	mtut:HKBT1_4138
ko:K02914	mtut:HKBT1_4139
ko:K06147	mtut:HKBT1_1351
ko:K06147	mtut:HKBT1_1352
ko:K08296	mtut:HKBT1_1355
ko:K02035	mtut:HKBT1_1359
ko:K02031	mtut:HKBT1_1360
ko:K02032	mtut:HKBT1_1360
ko:K02034	mtut:HKBT1_1361
ko:K02033	mtut:HKBT1_1362
ko:K01673	mtut:HKBT1_1363
ko:K00957	mtut:HKBT1_1364
ko:K00955	mtut:HKBT1_1365
ko:K01887	mtut:HKBT1_1372
ko:K01586	mtut:HKBT1_1373
ko:K00003	mtut:HKBT1_1374
ko:K01733	mtut:HKBT1_1375
ko:K00872	mtut:HKBT1_1376
ko:K03628	mtut:HKBT1_1378
ko:K02909	mtut:HKBT1_1379
ko:K02835	mtut:HKBT1_1380
ko:K02493	mtut:HKBT1_1381
ko:K02851	mtut:HKBT1_1383
ko:K02108	mtut:HKBT1_1385
ko:K02110	mtut:HKBT1_1386
ko:K02109	mtut:HKBT1_1387
ko:K02111	mtut:HKBT1_1389
ko:K02115	mtut:HKBT1_1390
ko:K02112	mtut:HKBT1_1391
ko:K02114	mtut:HKBT1_1392
ko:K00790	mtut:HKBT1_1396
ko:K00567	mtut:HKBT1_1398
ko:K13529	mtut:HKBT1_1399
ko:K03820	mtut:HKBT1_2166
ko:K07113	mtut:HKBT1_2168
ko:K01061	mtut:HKBT1_2169
ko:K02963	mtut:HKBT1_2170
ko:K02954	mtut:HKBT1_2171
ko:K02913	mtut:HKBT1_2172
ko:K02902	mtut:HKBT1_2173
ko:K02077	mtut:HKBT1_2174
ko:K07006	mtut:HKBT1_2175
ko:K02230	mtut:HKBT1_2176
ko:K02229	mtut:HKBT1_2179
ko:K06042	mtut:HKBT1_2180
ko:K13540	mtut:HKBT1_2181
ko:K17836	mtut:HKBT1_2183
ko:K03088	mtut:HKBT1_2184
ko:K05895	mtut:HKBT1_2185
ko:K05936	mtut:HKBT1_2186
ko:K00595	mtut:HKBT1_2187
ko:K15371	mtut:HKBT1_2615
ko:K00631	mtut:HKBT1_2619
ko:K15781	mtut:HKBT1_2620
ko:K01692	mtut:HKBT1_2624
ko:K06966	mtut:HKBT1_2630
ko:K00627	mtut:HKBT1_2634
ko:K00162	mtut:HKBT1_2635
ko:K00161	mtut:HKBT1_2636
ko:K01644	mtut:HKBT1_2638
ko:K03106	mtut:HKBT1_3061
ko:K00990	mtut:HKBT1_3063
ko:K04751	mtut:HKBT1_3064
ko:K03320	mtut:HKBT1_3065
ko:K03110	mtut:HKBT1_3066
ko:K03529	mtut:HKBT1_3067
ko:K01512	mtut:HKBT1_3068
ko:K10563	mtut:HKBT1_3070
ko:K03685	mtut:HKBT1_3071
ko:K07040	mtut:HKBT1_3072
ko:K12426	mtut:HKBT1_3076
ko:K12440	mtut:HKBT1_3077
ko:K12441	mtut:HKBT1_3078
ko:K12442	mtut:HKBT1_3079
ko:K12443	mtut:HKBT1_3080
ko:K12444	mtut:HKBT1_3081
ko:K01990	mtut:HKBT1_3082
ko:K01992	mtut:HKBT1_3083
ko:K01992	mtut:HKBT1_3084
ko:K01489	mtut:HKBT1_3495
ko:K00241	mtut:HKBT1_3496
ko:K00242	mtut:HKBT1_3497
ko:K00239	mtut:HKBT1_3498
ko:K00240	mtut:HKBT1_3499
ko:K03637	mtut:HKBT1_3504
ko:K01724	mtut:HKBT1_3505
ko:K03639	mtut:HKBT1_3506
ko:K03088	mtut:HKBT1_3514
ko:K07258	mtut:HKBT1_3516
ko:K01443	mtut:HKBT1_3518
ko:K07058	mtut:HKBT1_3521
ko:K07001	mtut:HKBT1_3936
ko:K06937	mtut:HKBT1_3937
ko:K09129	mtut:HKBT1_3943
ko:K09966	mtut:HKBT1_3954
ko:K12433	mtut:HKBT1_1628
ko:K01870	mtut:HKBT1_1637
ko:K02346	mtut:HKBT1_1638
ko:K01424	mtut:HKBT1_1639
ko:K03101	mtut:HKBT1_1640
ko:K06180	mtut:HKBT1_1641
ko:K06886	mtut:HKBT1_1643
ko:K07124	mtut:HKBT1_1645
ko:K02337	mtut:HKBT1_1648
ko:K00631	mtut:HKBT1_1652
ko:K00631	mtut:HKBT1_1653
ko:K00244	mtut:HKBT1_1655
ko:K00245	mtut:HKBT1_1656
ko:K00246	mtut:HKBT1_1657
ko:K00247	mtut:HKBT1_1658
ko:K06994	mtut:HKBT1_1660
ko:K01754	mtut:HKBT1_1662
ko:K01236	mtut:HKBT1_1665
ko:K06044	mtut:HKBT1_1666
ko:K00833	mtut:HKBT1_1671
ko:K00652	mtut:HKBT1_1672
ko:K01935	mtut:HKBT1_1673
ko:K01012	mtut:HKBT1_1677
ko:K01897	mtut:HKBT1_2306
ko:K13668	mtut:HKBT1_2307
ko:K02342	mtut:HKBT1_2311
ko:K00766	mtut:HKBT1_2312
ko:K02276	mtut:HKBT1_2313
ko:K03889	mtut:HKBT1_2314
ko:K03890	mtut:HKBT1_2315
ko:K03891	mtut:HKBT1_2316
ko:K02275	mtut:HKBT1_2320
ko:K01953	mtut:HKBT1_2321
ko:K00856	mtut:HKBT1_2322
ko:K00865	mtut:HKBT1_2325
ko:K00768	mtut:HKBT1_2327
ko:K02233	mtut:HKBT1_2328
ko:K00826	mtut:HKBT1_2330
ko:K00605	mtut:HKBT1_2331
ko:K01255	mtut:HKBT1_2333
ko:K08256	mtut:HKBT1_2753
ko:K00995	mtut:HKBT1_2755
ko:K01868	mtut:HKBT1_2757
ko:K14415	mtut:HKBT1_2775
ko:K02013	mtut:HKBT1_3196
ko:K01079	mtut:HKBT1_3197
ko:K02274	mtut:HKBT1_3198
ko:K02016	mtut:HKBT1_3199
ko:K13979	mtut:HKBT1_3200
ko:K03647	mtut:HKBT1_3207
ko:K02346	mtut:HKBT1_3211
ko:K06200	mtut:HKBT1_3218
ko:K15977	mtut:HKBT1_3219
ko:K01580	mtut:HKBT1_3635
ko:K00820	mtut:HKBT1_3640
ko:K03431	mtut:HKBT1_3645
ko:K02996	mtut:HKBT1_3646
ko:K02871	mtut:HKBT1_3647
ko:K03466	mtut:HKBT1_3651
ko:K14743	mtut:HKBT1_3653
ko:K06173	mtut:HKBT1_3658
ko:K02879	mtut:HKBT1_3659
ko:K03040	mtut:HKBT1_3660
ko:K10215	mtut:HKBT1_4069
ko:K04477	mtut:HKBT1_4071
ko:K00266	mtut:HKBT1_4073
ko:K00265	mtut:HKBT1_4074
ko:K02471	mtut:HKBT1_1908
ko:K01652	mtut:HKBT1_1909
ko:K03070	mtut:HKBT1_1910
ko:K02437	mtut:HKBT1_1915
ko:K08999	mtut:HKBT1_1918
ko:K00281	mtut:HKBT1_1921
ko:K06978	mtut:HKBT1_1924
ko:K01638	mtut:HKBT1_1926
ko:K00088	mtut:HKBT1_1932
ko:K00033	mtut:HKBT1_1933
ko:K01430	mtut:HKBT1_1937
ko:K01429	mtut:HKBT1_1938
ko:K01428	mtut:HKBT1_1939
ko:K03188	mtut:HKBT1_1940
ko:K03189	mtut:HKBT1_1941
ko:K03190	mtut:HKBT1_1942
ko:K03885	mtut:HKBT1_1943
ko:K02020	mtut:HKBT1_1946
ko:K02018	mtut:HKBT1_1947
ko:K02017	mtut:HKBT1_1948
ko:K13953	mtut:HKBT1_1951
ko:K07052	mtut:HKBT1_1952
ko:K00626	mtut:HKBT1_1956
ko:K16785	mtut:HKBT1_2451
ko:K16786	mtut:HKBT1_2452
ko:K16787	mtut:HKBT1_2452
ko:K02575	mtut:HKBT1_2455
ko:K00027	mtut:HKBT1_2459
ko:K01738	mtut:HKBT1_2462
ko:K00640	mtut:HKBT1_2463
ko:K06994	mtut:HKBT1_2468
ko:K01129	mtut:HKBT1_2473
ko:K00995	mtut:HKBT1_2890
ko:K00619	mtut:HKBT1_2891
ko:K03466	mtut:HKBT1_2893
ko:K12574	mtut:HKBT1_2896
ko:K01714	mtut:HKBT1_2897
ko:K01154	mtut:HKBT1_2899
ko:K03427	mtut:HKBT1_2900
ko:K09927	mtut:HKBT1_2906
ko:K01061	mtut:HKBT1_2910
ko:K00274	mtut:HKBT1_3334
ko:K01426	mtut:HKBT1_3339
ko:K07133	mtut:HKBT1_3344
ko:K15983	mtut:HKBT1_3773
ko:K03893	mtut:HKBT1_3780
ko:K03218	mtut:HKBT1_3781
ko:K01883	mtut:HKBT1_3782
ko:K01770	mtut:HKBT1_3783
ko:K00991	mtut:HKBT1_3784
ko:K07736	mtut:HKBT1_3785
ko:K04485	mtut:HKBT1_3787
ko:K07067	mtut:HKBT1_3788
ko:K01673	mtut:HKBT1_3791
ko:K03575	mtut:HKBT1_3790
ko:K03696	mtut:HKBT1_3798
ko:K00373	mtut:HKBT1_1240
ko:K00374	mtut:HKBT1_1241
ko:K06207	mtut:HKBT1_1242
ko:K15525	mtut:HKBT1_1247
ko:K11779	mtut:HKBT1_1250
ko:K06958	mtut:HKBT1_1511
ko:K09762	mtut:HKBT1_1513
ko:K00134	mtut:HKBT1_1525
ko:K00927	mtut:HKBT1_1526
ko:K01803	mtut:HKBT1_1527
ko:K03075	mtut:HKBT1_1530
ko:K08351	mtut:HKBT1_1532
ko:K01057	mtut:HKBT1_1537
ko:K00036	mtut:HKBT1_1539
ko:K00616	mtut:HKBT1_1540
ko:K00615	mtut:HKBT1_1541
ko:K02259	mtut:HKBT1_1550
ko:K01992	mtut:HKBT1_1551
ko:K01990	mtut:HKBT1_1552
ko:K14339	mtut:HKBT1_1553
ko:K09014	mtut:HKBT1_1555
ko:K09015	mtut:HKBT1_1556
ko:K09013	mtut:HKBT1_1557
ko:K11717	mtut:HKBT1_1558
ko:K04488	mtut:HKBT1_1559
ko:K12951	mtut:HKBT1_1565
ko:K01082	mtut:HKBT1_2249
ko:K06153	mtut:HKBT1_2254
ko:K00254	mtut:HKBT1_2258
ko:K06910	mtut:HKBT1_2259
ko:K02221	mtut:HKBT1_2266
ko:K09772	mtut:HKBT1_2267
ko:K06997	mtut:HKBT1_2268
ko:K05810	mtut:HKBT1_2269
ko:K03531	mtut:HKBT1_2270
ko:K03589	mtut:HKBT1_2271
ko:K01924	mtut:HKBT1_2272
ko:K02563	mtut:HKBT1_2273
ko:K03588	mtut:HKBT1_2274
ko:K01925	mtut:HKBT1_2275
ko:K07082	mtut:HKBT1_2696
ko:K07447	mtut:HKBT1_2697
ko:K01872	mtut:HKBT1_2698
ko:K07478	mtut:HKBT1_2702
ko:K02004	mtut:HKBT1_2705
ko:K02003	mtut:HKBT1_2706
ko:K07001	mtut:HKBT1_2707
ko:K01876	mtut:HKBT1_2714
ko:K00077	mtut:HKBT1_2715
ko:K07054	mtut:HKBT1_2717
ko:K01892	mtut:HKBT1_2722
ko:K01885	mtut:HKBT1_3142
ko:K00052	mtut:HKBT1_3145
ko:K00058	mtut:HKBT1_3146
ko:K02069	mtut:HKBT1_3151
ko:K00053	mtut:HKBT1_3153
ko:K01653	mtut:HKBT1_3154
ko:K01652	mtut:HKBT1_3155
ko:K15977	mtut:HKBT1_3157
ko:K02434	mtut:HKBT1_3161
ko:K02433	mtut:HKBT1_3163
ko:K02435	mtut:HKBT1_3164
ko:K00574	mtut:HKBT1_3582
ko:K14161	mtut:HKBT1_3584
ko:K01951	mtut:HKBT1_3587
ko:K02291	mtut:HKBT1_3588
ko:K13787	mtut:HKBT1_3589
ko:K03333	mtut:HKBT1_3600
ko:K00088	mtut:HKBT1_3601
ko:K00088	mtut:HKBT1_3602
ko:K13687	mtut:HKBT1_4017
ko:K14136	mtut:HKBT1_4018
ko:K16650	mtut:HKBT1_4020
ko:K01854	mtut:HKBT1_4021
ko:K14952	mtut:HKBT1_4031
ko:K06994	mtut:HKBT1_4036
ko:K12425	mtut:HKBT1_4039
ko:K00219	mtut:HKBT1_1252
ko:K12432	mtut:HKBT1_1257
ko:K06994	mtut:HKBT1_1259
ko:K12423	mtut:HKBT1_1261
ko:K00294	mtut:HKBT1_1263
ko:K00318	mtut:HKBT1_1264
ko:K03088	mtut:HKBT1_1265
ko:K00674	mtut:HKBT1_1277
ko:K01439	mtut:HKBT1_1278
ko:K06966	mtut:HKBT1_1281
ko:K00666	mtut:HKBT1_1282
ko:K00796	mtut:HKBT1_1284
ko:K13693	mtut:HKBT1_1285
ko:K01246	mtut:HKBT1_1287
ko:K16148	mtut:HKBT1_1289
ko:K00975	mtut:HKBT1_1290
ko:K06978	mtut:HKBT1_1292
ko:K01992	mtut:HKBT1_1294
ko:K12953	mtut:HKBT1_2103
ko:K03294	mtut:HKBT1_2105
ko:K00038	mtut:HKBT1_2108
ko:K07028	mtut:HKBT1_2110
ko:K01194	mtut:HKBT1_2112
ko:K07133	mtut:HKBT1_2114
ko:K07161	mtut:HKBT1_2560
ko:K00147	mtut:HKBT1_2562
ko:K03386	mtut:HKBT1_2564
ko:K04756	mtut:HKBT1_2565
ko:K00852	mtut:HKBT1_2574
ko:K01950	mtut:HKBT1_2577
ko:K00931	mtut:HKBT1_2578
ko:K03979	mtut:HKBT1_2579
ko:K02899	mtut:HKBT1_2580
ko:K02888	mtut:HKBT1_2581
ko:K11103	mtut:HKBT1_2582
ko:K00940	mtut:HKBT1_2584
ko:K11754	mtut:HKBT1_2586
ko:K07010	mtut:HKBT1_3004
ko:K01915	mtut:HKBT1_3005
ko:K01265	mtut:HKBT1_3006
ko:K06976	mtut:HKBT1_3012
ko:K00099	mtut:HKBT1_3015
ko:K06941	mtut:HKBT1_3025
ko:K00981	mtut:HKBT1_3026
ko:K02838	mtut:HKBT1_3027
ko:K09903	mtut:HKBT1_3028
ko:K00966	mtut:HKBT1_3442
ko:K16870	mtut:HKBT1_3443
ko:K00067	mtut:HKBT1_3444
ko:K12950	mtut:HKBT1_3448
ko:K01673	mtut:HKBT1_3451
ko:K01588	mtut:HKBT1_3453
ko:K01589	mtut:HKBT1_3455
ko:K03524	mtut:HKBT1_3457
ko:K01966	mtut:HKBT1_3458
ko:K06287	mtut:HKBT1_3460
ko:K01011	mtut:HKBT1_3461
ko:K02426	mtut:HKBT1_3462
ko:K11263	mtut:HKBT1_3463
ko:K03090	mtut:HKBT1_3464
ko:K01738	mtut:HKBT1_3889
ko:K09117	mtut:HKBT1_3893
ko:K03924	mtut:HKBT1_3897
ko:K00864	mtut:HKBT1_3901
ko:K07008	mtut:HKBT1_3907
ko:K01990	mtut:HKBT1_1295
ko:K03088	mtut:HKBT1_1298
ko:K03117	mtut:HKBT1_1301
ko:K08981	mtut:HKBT1_1303
ko:K09167	mtut:HKBT1_1304
ko:K03593	mtut:HKBT1_1307
ko:K02027	mtut:HKBT1_1313
ko:K02025	mtut:HKBT1_1314
ko:K02026	mtut:HKBT1_1315
ko:K10112	mtut:HKBT1_1316
ko:K03284	mtut:HKBT1_1317
ko:K00024	mtut:HKBT1_1318
ko:K01616	mtut:HKBT1_1326
ko:K05592	mtut:HKBT1_1331
ko:K00104	mtut:HKBT1_1335
ko:K01426	mtut:HKBT1_1342
ko:K14955	mtut:HKBT1_1349
ko:K16370	mtut:HKBT1_2143
ko:K07001	mtut:HKBT1_2152
ko:K10112	mtut:HKBT1_2153
ko:K02026	mtut:HKBT1_2154
ko:K02025	mtut:HKBT1_2155
ko:K02027	mtut:HKBT1_2156
ko:K08281	mtut:HKBT1_2158
ko:K03929	mtut:HKBT1_2160
ko:K01873	mtut:HKBT1_2587
ko:K03752	mtut:HKBT1_2591
ko:K00175	mtut:HKBT1_2592
ko:K00174	mtut:HKBT1_2593
ko:K03544	mtut:HKBT1_2595
ko:K00547	mtut:HKBT1_2596
ko:K01358	mtut:HKBT1_2598
ko:K01358	mtut:HKBT1_2599
ko:K03545	mtut:HKBT1_2600
ko:K05522	mtut:HKBT1_2602
ko:K01808	mtut:HKBT1_2603
ko:K01256	mtut:HKBT1_2605
ko:K06886	mtut:HKBT1_2609
ko:K01187	mtut:HKBT1_2610
ko:K07107	mtut:HKBT1_2614
ko:K01426	mtut:HKBT1_3033
ko:K02357	mtut:HKBT1_3034
ko:K02967	mtut:HKBT1_3035
ko:K03733	mtut:HKBT1_3039
ko:K04096	mtut:HKBT1_3041
ko:K07391	mtut:HKBT1_3042
ko:K07460	mtut:HKBT1_3043
ko:K02379	mtut:HKBT1_3044
ko:K03470	mtut:HKBT1_3047
ko:K03100	mtut:HKBT1_3048
ko:K02884	mtut:HKBT1_3049
ko:K00554	mtut:HKBT1_3051
ko:K02860	mtut:HKBT1_3052
ko:K06960	mtut:HKBT1_3053
ko:K02959	mtut:HKBT1_3054
ko:K07258	mtut:HKBT1_3056
ko:K03918	mtut:HKBT1_3468
ko:K03719	mtut:HKBT1_3469
ko:K00128	mtut:HKBT1_3471
ko:K03724	mtut:HKBT1_3474
ko:K05522	mtut:HKBT1_3475
ko:K03932	mtut:HKBT1_3476
ko:K01130	mtut:HKBT1_3477
ko:K06177	mtut:HKBT1_3478
ko:K02039	mtut:HKBT1_3479
ko:K00111	mtut:HKBT1_3480
ko:K00382	mtut:HKBT1_3481
ko:K03783	mtut:HKBT1_3485
ko:K01840	mtut:HKBT1_3486
ko:K00761	mtut:HKBT1_3487
ko:K01488	mtut:HKBT1_3493
ko:K00758	mtut:HKBT1_3494
ko:K01919	mtut:HKBT1_3909
ko:K00133	mtut:HKBT1_3914
ko:K00928	mtut:HKBT1_3915
ko:K01649	mtut:HKBT1_3916
ko:K02342	mtut:HKBT1_3917
ko:K07009	mtut:HKBT1_3919
ko:K06187	mtut:HKBT1_3921
ko:K09747	mtut:HKBT1_3922
ko:K01448	mtut:HKBT1_3923
ko:K00574	mtut:HKBT1_3926
ko:K02343	mtut:HKBT1_3927
ko:K01515	mtut:HKBT1_1790
ko:K04763	mtut:HKBT1_1791
ko:K00545	mtut:HKBT1_1794
ko:K11737	mtut:HKBT1_1795
ko:K03321	mtut:HKBT1_1799
ko:K05896	mtut:HKBT1_1801
ko:K06024	mtut:HKBT1_1802
ko:K06178	mtut:HKBT1_1803
ko:K00945	mtut:HKBT1_1804
ko:K03977	mtut:HKBT1_1805
ko:K00074	mtut:HKBT1_1807
ko:K02575	mtut:HKBT1_1832
ko:K01823	mtut:HKBT1_1840
ko:K00389	mtut:HKBT1_2396
ko:K00104	mtut:HKBT1_2402
ko:K03306	mtut:HKBT1_2403
ko:K03316	mtut:HKBT1_2408
ko:K01521	mtut:HKBT1_2410
ko:K01011	mtut:HKBT1_2412
ko:K14155	mtut:HKBT1_2414
ko:K09925	mtut:HKBT1_2415
ko:K04079	mtut:HKBT1_2419
ko:K03499	mtut:HKBT1_2834
ko:K03499	mtut:HKBT1_2835
ko:K01092	mtut:HKBT1_2844
ko:K00886	mtut:HKBT1_2845
ko:K03086	mtut:HKBT1_2846
ko:K07058	mtut:HKBT1_2850
ko:K03087	mtut:HKBT1_2853
ko:K03709	mtut:HKBT1_2854
ko:K00322	mtut:HKBT1_2856
ko:K07491	mtut:HKBT1_3279
ko:K05602	mtut:HKBT1_3301
ko:K04069	mtut:HKBT1_3302
ko:K16046	mtut:HKBT1_3719
ko:K07068	mtut:HKBT1_3722
ko:K00626	mtut:HKBT1_3724
ko:K15982	mtut:HKBT1_3727
ko:K01666	mtut:HKBT1_3735
ko:K04073	mtut:HKBT1_3736
ko:K02554	mtut:HKBT1_3737
ko:K07503	mtut:HKBT1_1404
ko:K00626	mtut:HKBT1_1407
ko:K05838	mtut:HKBT1_1408
ko:K00700	mtut:HKBT1_1410
ko:K16147	mtut:HKBT1_1411
ko:K00688	mtut:HKBT1_1412
ko:K00763	mtut:HKBT1_1414
ko:K06891	mtut:HKBT1_1415
ko:K01776	mtut:HKBT1_1422
ko:K00989	mtut:HKBT1_1424
ko:K02428	mtut:HKBT1_1425
ko:K02078	mtut:HKBT1_1428
ko:K01909	mtut:HKBT1_1429
ko:K14698	mtut:HKBT1_1432
ko:K14699	mtut:HKBT1_1433
ko:K00059	mtut:HKBT1_1434
ko:K18481	mtut:HKBT1_1448
ko:K18481	mtut:HKBT1_1449
ko:K03727	mtut:HKBT1_2209
ko:K03118	mtut:HKBT1_2210
ko:K03116	mtut:HKBT1_2211
ko:K13573	mtut:HKBT1_2212
ko:K13571	mtut:HKBT1_2214
ko:K11263	mtut:HKBT1_2641
ko:K01969	mtut:HKBT1_2642
ko:K01029	mtut:HKBT1_2643
ko:K01028	mtut:HKBT1_2644
ko:K00666	mtut:HKBT1_2645
ko:K06902	mtut:HKBT1_2648
ko:K07124	mtut:HKBT1_2649
ko:K06915	mtut:HKBT1_2650
ko:K13288	mtut:HKBT1_2651
ko:K03564	mtut:HKBT1_2662
ko:K00997	mtut:HKBT1_2664
ko:K11533	mtut:HKBT1_2665
ko:K11628	mtut:HKBT1_3086
ko:K12427	mtut:HKBT1_3087
ko:K06994	mtut:HKBT1_3088
ko:K12430	mtut:HKBT1_3093
ko:K12424	mtut:HKBT1_3094
ko:K14728	mtut:HKBT1_3097
ko:K12445	mtut:HKBT1_3099
ko:K07089	mtut:HKBT1_3111
ko:K01433	mtut:HKBT1_3112
ko:K01867	mtut:HKBT1_3522
ko:K00031	mtut:HKBT1_3524
ko:K01740	mtut:HKBT1_3526
ko:K00641	mtut:HKBT1_3527
ko:K01491	mtut:HKBT1_3544
ko:K11991	mtut:HKBT1_3961
ko:K04517	mtut:HKBT1_3963
ko:K09957	mtut:HKBT1_3964
ko:K05846	mtut:HKBT1_3965
ko:K05846	mtut:HKBT1_3966
ko:K05847	mtut:HKBT1_3967
ko:K05845	mtut:HKBT1_3968
ko:K14953	mtut:HKBT1_3972
ko:K02484	mtut:HKBT1_3973
ko:K00817	mtut:HKBT1_3983
ko:K03517	mtut:HKBT1_1682
ko:K00278	mtut:HKBT1_1683
ko:K00767	mtut:HKBT1_1684
ko:K00013	mtut:HKBT1_1687
ko:K00817	mtut:HKBT1_1688
ko:K01693	mtut:HKBT1_1689
ko:K02501	mtut:HKBT1_1690
ko:K01814	mtut:HKBT1_1691
ko:K01817	mtut:HKBT1_1691
ko:K01092	mtut:HKBT1_1692
ko:K02500	mtut:HKBT1_1693
ko:K01496	mtut:HKBT1_1694
ko:K07300	mtut:HKBT1_1695
ko:K03564	mtut:HKBT1_1696
ko:K00666	mtut:HKBT1_1119
ko:K07001	mtut:HKBT1_1123
ko:K07001	mtut:HKBT1_1124
ko:K00101	mtut:HKBT1_1961
ko:K03594	mtut:HKBT1_1965
ko:K01915	mtut:HKBT1_1967
ko:K07045	mtut:HKBT1_1968
ko:K04093	mtut:HKBT1_1974
ko:K07560	mtut:HKBT1_1988
ko:K03742	mtut:HKBT1_1992
ko:K08178	mtut:HKBT1_1993
ko:K08972	mtut:HKBT1_1994
ko:K03782	mtut:HKBT1_2000
ko:K06910	mtut:HKBT1_2002
ko:K06910	mtut:HKBT1_2003
ko:K01637	mtut:HKBT1_2007
ko:K01114	mtut:HKBT1_2478
ko:K01114	mtut:HKBT1_2479
ko:K01114	mtut:HKBT1_2480
ko:K01880	mtut:HKBT1_2487
ko:K03711	mtut:HKBT1_2489
ko:K03584	mtut:HKBT1_2492
ko:K01426	mtut:HKBT1_2493
