ko:K18917	cod:Cp106_0615
ko:K02077	cod:Cp106_0430
ko:K03709	cod:Cp106_0434
ko:K07258	cod:Cp106_0454
ko:K01488	cod:Cp106_0455
ko:K01958	cod:Cp106_0464
ko:K11263	cod:Cp106_0467
ko:K01011	cod:Cp106_0468
ko:K00852	cod:Cp106_0474
ko:K01966	cod:Cp106_0477
ko:K10563	cod:Cp106_1315
ko:K01496	cod:Cp106_1332
ko:K01092	cod:Cp106_1334
ko:K01814	cod:Cp106_1335
ko:K01817	cod:Cp106_1335
ko:K02342	cod:Cp106_1347
ko:K12503	cod:Cp106_0709
ko:K00867	cod:Cp106_0711
ko:K01679	cod:Cp106_0721
ko:K02446	cod:Cp106_0722
ko:K09146	cod:Cp106_0749
ko:K15525	cod:Cp106_0753
ko:K02351	cod:Cp106_1587
ko:K07245	cod:Cp106_1587
ko:K02428	cod:Cp106_1613
ko:K01692	cod:Cp106_0595
ko:K02035	cod:Cp106_0607
ko:K02033	cod:Cp106_0608
ko:K02228	cod:Cp106_0614
ko:K01082	cod:Cp106_0618
ko:K03649	cod:Cp106_0620
ko:K05522	cod:Cp106_0621
ko:K03326	cod:Cp106_0289
ko:K02549	cod:Cp106_0290
ko:K12583	cod:Cp106_0293
ko:K00016	cod:Cp106_0295
ko:K00805	cod:Cp106_0297
ko:K01372	cod:Cp106_0303
ko:K03768	cod:Cp106_1147
ko:K02035	cod:Cp106_1151
ko:K08256	cod:Cp106_1164
ko:K07305	cod:Cp106_1174
ko:K02004	cod:Cp106_2010
ko:K02564	cod:Cp106_2016
ko:K01788	cod:Cp106_2018
ko:K00845	cod:Cp106_2019
ko:K02035	cod:Cp106_2021
ko:K02033	cod:Cp106_2022
ko:K02031	cod:Cp106_2023
ko:K01834	cod:Cp106_0251
ko:K02034	cod:Cp106_2023
ko:K07052	cod:Cp106_2027
ko:K02025	cod:Cp106_0486
ko:K07670	cod:Cp106_0505
ko:K07654	cod:Cp106_0506
ko:K00508	cod:Cp106_0515
ko:K01424	cod:Cp106_1362
ko:K13787	cod:Cp106_1390
ko:K00845	cod:Cp106_1398
ko:K13668	cod:Cp106_1399
ko:K03891	cod:Cp106_1404
ko:K03890	cod:Cp106_1405
ko:K03932	cod:Cp106_1713
ko:K00666	cod:Cp106_0820
ko:K07503	cod:Cp106_0836
ko:K00700	cod:Cp106_0840
ko:K02342	cod:Cp106_0851
ko:K02433	cod:Cp106_0856
ko:K15520	cod:Cp106_1672
ko:K02619	cod:Cp106_1676
ko:K03647	cod:Cp106_1682
ko:K03499	cod:Cp106_1693
ko:K01840	cod:Cp106_0497
ko:K02056	cod:Cp106_0016
ko:K07052	cod:Cp106_0037
ko:K00058	cod:Cp106_0881
ko:K01885	cod:Cp106_0888
ko:K03932	cod:Cp106_0889
ko:K07030	cod:Cp106_0903
ko:K08974	cod:Cp106_0913
ko:K02755	cod:Cp106_0918
ko:K02756	cod:Cp106_0918
ko:K02757	cod:Cp106_0918
ko:K01507	cod:Cp106_1755
ko:K05565	cod:Cp106_1771
ko:K05568	cod:Cp106_1773
ko:K05570	cod:Cp106_1775
ko:K08372	cod:Cp106_0648
ko:K01934	cod:Cp106_0653
ko:K01259	cod:Cp106_0680
ko:K02428	cod:Cp106_0696
ko:K09009	cod:Cp106_0700
ko:K02035	cod:Cp106_1523
ko:K02035	cod:Cp106_0347
ko:K02033	cod:Cp106_0350
ko:K01424	cod:Cp106_0358
ko:K03087	cod:Cp106_1194
ko:K03709	cod:Cp106_1195
ko:K01784	cod:Cp106_1196
ko:K03386	cod:Cp106_1201
ko:K03436	cod:Cp106_1208
ko:K08483	cod:Cp106_1209
ko:K03436	cod:Cp106_1210
ko:K00882	cod:Cp106_1211
ko:K11189	cod:Cp106_1214
ko:K03743	cod:Cp106_1236
ko:K05794	cod:Cp106_1239
ko:K00970	cod:Cp106_2051
ko:K00674	cod:Cp106_0760
ko:K00674	cod:Cp106_0762
ko:K01439	cod:Cp106_0763
ko:K13693	cod:Cp106_0766
ko:K03593	cod:Cp106_0778
ko:K01616	cod:Cp106_0782
ko:K03929	cod:Cp106_0786
ko:K03307	cod:Cp106_0790
ko:K04750	cod:Cp106_0796
ko:K02274	cod:Cp106_1627
ko:K03647	cod:Cp106_1633
ko:K01916	cod:Cp106_1637
ko:K01835	cod:Cp106_1646
ko:K02004	cod:Cp106_1649
ko:K16013	cod:Cp106_1662
ko:K16012	cod:Cp106_1663
ko:K07120	cod:Cp106_0080
ko:K03475	cod:Cp106_0084
ko:K07386	cod:Cp106_0098
ko:K01515	cod:Cp106_0953
ko:K04763	cod:Cp106_0954
ko:K07792	cod:Cp106_0965
ko:K06889	cod:Cp106_0976
ko:K07397	cod:Cp106_0976
ko:K03574	cod:Cp106_1787
ko:K02348	cod:Cp106_1794
ko:K10947	cod:Cp106_1818
ko:K01011	cod:Cp106_1825
ko:K07177	cod:Cp106_0538
ko:K00939	cod:Cp106_0376
ko:K14743	cod:Cp106_0389
ko:K01409	cod:Cp106_0408
ko:K00088	cod:Cp106_0415
ko:K00088	cod:Cp106_0416
ko:K03177	cod:Cp106_1251
ko:K00567	cod:Cp106_1267
ko:K03404	cod:Cp106_1271
ko:K00135	cod:Cp106_0624
ko:K04093	cod:Cp106_0625
ko:K07669	cod:Cp106_0645
ko:K07653	cod:Cp106_0646
ko:K02566	cod:Cp106_1463
ko:K03711	cod:Cp106_1481
ko:K01823	cod:Cp106_1501
ko:K02035	cod:Cp106_1512
ko:K02033	cod:Cp106_1513
ko:K11387	cod:Cp106_0102
ko:K13686	cod:Cp106_0103
ko:K11710	cod:Cp106_0113
ko:K11708	cod:Cp106_0114
ko:K11709	cod:Cp106_0115
ko:K04517	cod:Cp106_0133
ko:K06994	cod:Cp106_0136
ko:K01885	cod:Cp106_0138
ko:K03299	cod:Cp106_0139
ko:K00851	cod:Cp106_0140
ko:K00046	cod:Cp106_0142
ko:K03299	cod:Cp106_0149
ko:K01322	cod:Cp106_0230
ko:K15521	cod:Cp106_0250
ko:K07768	cod:Cp106_0252
ko:K07776	cod:Cp106_0253
ko:K09762	cod:Cp106_1090
ko:K07054	cod:Cp106_1134
ko:K03317	cod:Cp106_1945
ko:K01489	cod:Cp106_1946
ko:K00758	cod:Cp106_1947
ko:K00016	cod:Cp106_1948
ko:K07304	cod:Cp106_1949
ko:K06177	cod:Cp106_1972
ko:K01977	cod:Cp106_r09
ko:K01977	cod:Cp106_r12
ko:K01977	cod:Cp106_r11
ko:K01977	cod:Cp106_r10
ko:K09118	cod:Cp106_0541
ko:K00368	cod:Cp106_0545
ko:K05602	cod:Cp106_0557
ko:K12942	cod:Cp106_0561
ko:K10843	cod:Cp106_0575
ko:K01962	cod:Cp106_0591
ko:K01963	cod:Cp106_0591
ko:K03889	cod:Cp106_1406
ko:K07035	cod:Cp106_1433
ko:K00088	cod:Cp106_1434
ko:K01104	cod:Cp106_1456
ko:K00033	cod:Cp106_0987
ko:K00721	cod:Cp106_0998
ko:K13540	cod:Cp106_1004
ko:K00595	cod:Cp106_1007
ko:K03727	cod:Cp106_1010
ko:K13573	cod:Cp106_1013
ko:K13571	cod:Cp106_1015
ko:K13570	cod:Cp106_1016
ko:K13527	cod:Cp106_1018
ko:K07442	cod:Cp106_1019
ko:K01523	cod:Cp106_1027
ko:K15526	cod:Cp106_1031
ko:K02005	cod:Cp106_1841
ko:K13953	cod:Cp106_1846
ko:K13640	cod:Cp106_1850
ko:K02033	cod:Cp106_1861
ko:K14222	cod:Cp106_t23
ko:K16264	cod:Cp106_0878
ko:K15772	cod:Cp106_0370
ko:K16653	cod:Cp106_0105
ko:K15770	cod:Cp106_0368
ko:K16783	cod:Cp106_1233
ko:K02484	cod:Cp106_1698
ko:K01985	cod:Cp106_r01
ko:K01985	cod:Cp106_r02
ko:K01985	cod:Cp106_r04
ko:K01985	cod:Cp106_r03
ko:K16784	cod:Cp106_1232
ko:K16652	cod:Cp106_0104
ko:K16647	cod:Cp106_1173
ko:K16650	cod:Cp106_1918
ko:K16649	cod:Cp106_0111
ko:K02851	cod:Cp106_0825
ko:K16648	cod:Cp106_1893
ko:K02030	cod:Cp106_0912
ko:K02030	cod:Cp106_1789
ko:K11991	cod:Cp106_0135
ko:K01906	cod:Cp106_1161
ko:K02031	cod:Cp106_0746
ko:K02032	cod:Cp106_0746
ko:K14224	cod:Cp106_t19
ko:K14224	cod:Cp106_t20
ko:K14219	cod:Cp106_t47
ko:K14225	cod:Cp106_t30
ko:K14228	cod:Cp106_t38
ko:K14233	cod:Cp106_t49
ko:K14219	cod:Cp106_t46
ko:K01980	cod:Cp106_r05
ko:K01980	cod:Cp106_r07
ko:K01980	cod:Cp106_r08
ko:K01980	cod:Cp106_r06
ko:K14228	cod:Cp106_t45
ko:K14228	cod:Cp106_t21
ko:K14231	cod:Cp106_t36
ko:K14219	cod:Cp106_t07
ko:K14219	cod:Cp106_t08
ko:K14237	cod:Cp106_t24
ko:K14237	cod:Cp106_t42
ko:K14220	cod:Cp106_t26
ko:K14218	cod:Cp106_t37
ko:K02768	cod:Cp106_1301
ko:K02769	cod:Cp106_1301
ko:K02770	cod:Cp106_1301
ko:K14234	cod:Cp106_t12
ko:K14225	cod:Cp106_t39
ko:K08316	cod:Cp106_0906
ko:K14225	cod:Cp106_t22
ko:K14225	cod:Cp106_t25
ko:K00108	cod:Cp106_1742
ko:K16870	cod:Cp106_0491
ko:K02303	cod:Cp106_1264
ko:K16925	cod:Cp106_0738
ko:K16786	cod:Cp106_0739
ko:K16787	cod:Cp106_0739
ko:K16785	cod:Cp106_0740
ko:K14227	cod:Cp106_t01
ko:K14228	cod:Cp106_t04
ko:K14233	cod:Cp106_t06
ko:K14234	cod:Cp106_t10
ko:K14236	cod:Cp106_t11
ko:K14223	cod:Cp106_t16
ko:K14223	cod:Cp106_t18
ko:K14224	cod:Cp106_t33
ko:K14229	cod:Cp106_t29
ko:K14229	cod:Cp106_t32
ko:K14237	cod:Cp106_t43
ko:K14221	cod:Cp106_t34
ko:K14221	cod:Cp106_t35
ko:K14218	cod:Cp106_t02
ko:K14218	cod:Cp106_t03
ko:K14233	cod:Cp106_t05
ko:K14233	cod:Cp106_t09
ko:K14219	cod:Cp106_t27
ko:K14230	cod:Cp106_t13
ko:K14230	cod:Cp106_t15
ko:K14230	cod:Cp106_t41
ko:K14234	cod:Cp106_t31
ko:K15582	cod:Cp106_0745
ko:K15581	cod:Cp106_0744
ko:K01990	cod:Cp106_1833
ko:K01992	cod:Cp106_1834
ko:K01992	cod:Cp106_1814
ko:K01990	cod:Cp106_1815
ko:K01990	cod:Cp106_1974
ko:K00951	cod:Cp106_1149
ko:K01897	cod:Cp106_0249
ko:K15580	cod:Cp106_0743
ko:K10112	cod:Cp106_0374
ko:K03416	cod:Cp106_0552
ko:K17489	cod:Cp106_0553
ko:K01990	cod:Cp106_0319
ko:K01990	cod:Cp106_1076
ko:K01990	cod:Cp106_1586
ko:K14226	cod:Cp106_t28
ko:K14228	cod:Cp106_t17
ko:K17490	cod:Cp106_0555
ko:K17489	cod:Cp106_0554
ko:K17686	cod:Cp106_1980
ko:K03671	cod:Cp106_1978
ko:K02010	cod:Cp106_0178
ko:K03767	cod:Cp106_0018
ko:K00537	cod:Cp106_0748
ko:K19745	cod:Cp106_1591
ko:K02026	cod:Cp106_0485
ko:K07284	cod:Cp106_1830
ko:K01658	cod:Cp106_2040
ko:K11928	cod:Cp106_0799
ko:K12574	cod:Cp106_1243
ko:K01267	cod:Cp106_1020
ko:K14337	cod:Cp106_1391
ko:K02027	cod:Cp106_0488
ko:K07284	cod:Cp106_1857
ko:K00254	cod:Cp106_1035
ko:K08168	cod:Cp106_0162
ko:K02031	cod:Cp106_0348
ko:K02032	cod:Cp106_0348
ko:K02031	cod:Cp106_0610
ko:K02032	cod:Cp106_0610
ko:K02031	cod:Cp106_1515
ko:K02032	cod:Cp106_1515
ko:K17883	cod:Cp106_1274
ko:K00130	cod:Cp106_1740
ko:K21480	cod:Cp106_1443
ko:K18118	cod:Cp106_1664
ko:K21687	cod:Cp106_0578
ko:K21688	cod:Cp106_0667
ko:K14267	cod:Cp106_0572
ko:K02078	cod:Cp106_1462
ko:K03929	cod:Cp106_1500
ko:K02238	cod:Cp106_1533
ko:K09136	cod:Cp106_1579
ko:K07052	cod:Cp106_1610
ko:K07052	cod:Cp106_1735
ko:K00375	cod:Cp106_0130
ko:K13671	cod:Cp106_1913
ko:K01619	cod:Cp106_0242
ko:K00299	cod:Cp106_1139
ko:K00652	cod:Cp106_1162
ko:K02483	cod:Cp106_1699
ko:K16237	cod:Cp106_0761
ko:K16237	cod:Cp106_0759
ko:K18455	cod:Cp106_0707
ko:K03574	cod:Cp106_0896
ko:K01992	cod:Cp106_0119
ko:K02032	cod:Cp106_1859
ko:K02032	cod:Cp106_2024
ko:K18955	cod:Cp106_0195
ko:K18955	cod:Cp106_0522
ko:K06147	cod:Cp106_0783
ko:K18929	cod:Cp106_0811
ko:K18928	cod:Cp106_0812
ko:K03497	cod:Cp106_2060
ko:K03496	cod:Cp106_2061
ko:K04565	cod:Cp106_0592
ko:K03111	cod:Cp106_1576
ko:K03496	cod:Cp106_0955
ko:K03111	cod:Cp106_1987
ko:K03976	cod:Cp106_0519
ko:K03526	cod:Cp106_1279
ko:K19125	cod:Cp106_0022
ko:K00067	cod:Cp106_0227
ko:K01790	cod:Cp106_0227
ko:K10563	cod:Cp106_2001
ko:K19221	cod:Cp106_1269
ko:K00798	cod:Cp106_1653
ko:K01710	cod:Cp106_0228
ko:K00525	cod:Cp106_1632
ko:K01239	cod:Cp106_1733
ko:K01239	cod:Cp106_1249
ko:K19302	cod:Cp106_0117
ko:K00020	cod:Cp106_0150
ko:K19265	cod:Cp106_0866
ko:K01990	cod:Cp106_1786
ko:K01785	cod:Cp106_0789
ko:K03722	cod:Cp106_1621
ko:K19302	cod:Cp106_1920
ko:K00526	cod:Cp106_1629
ko:K01992	cod:Cp106_1785
ko:K06867	cod:Cp106_1494
ko:K06867	cod:Cp106_1531
ko:K06881	cod:Cp106_1255
ko:K19577	cod:Cp106_0448
ko:K06221	cod:Cp106_0594
ko:K19710	cod:Cp106_1167
ko:K19784	cod:Cp106_1951
ko:K02033	cod:Cp106_1522
ko:K02034	cod:Cp106_1522
ko:K07119	cod:Cp106_1596
ko:K00666	cod:Cp106_0224
ko:K09796	cod:Cp106_1170
ko:K12132	cod:Cp106_0030
ko:K12132	cod:Cp106_1393
ko:K12132	cod:Cp106_0031
ko:K20468	cod:Cp106_1903
ko:K01214	cod:Cp106_1346
ko:K01200	cod:Cp106_0688
ko:K20814	cod:Cp106_1017
ko:K21071	cod:Cp106_0864
ko:K01768	cod:Cp106_0221
ko:K01520	cod:Cp106_1182
ko:K03553	cod:Cp106_1229
ko:K03465	cod:Cp106_1245
ko:K00560	cod:Cp106_0617
ko:K06217	cod:Cp106_1489
ko:K06191	cod:Cp106_1635
ko:K21636	cod:Cp106_0324
ko:K07465	cod:Cp106_1021
ko:K02314	cod:Cp106_1982
ko:K02335	cod:Cp106_0914
ko:K09820	cod:Cp106_0310
ko:K01436	cod:Cp106_0462
ko:K09819	cod:Cp106_0311
ko:K22468	cod:Cp106_0673
ko:K02075	cod:Cp106_0433
ko:K02075	cod:Cp106_0432
ko:K02074	cod:Cp106_0431
ko:K00526	cod:Cp106_1683
ko:K21481	cod:Cp106_1598
ko:K21473	cod:Cp106_1057
ko:K21471	cod:Cp106_1400
ko:K05364	cod:Cp106_0032
ko:K21401	cod:Cp106_0296
ko:K21498	cod:Cp106_1022
ko:K10914	cod:Cp106_0199
ko:K21685	cod:Cp106_1654
ko:K21962	cod:Cp106_1060
ko:K22044	cod:Cp106_0874
ko:K22044	cod:Cp106_1570
ko:K03595	cod:Cp106_1485
ko:K01046	cod:Cp106_0069
ko:K17758	cod:Cp106_2002
ko:K17759	cod:Cp106_2002
ko:K22316	cod:Cp106_1451
ko:K22306	cod:Cp106_1537
ko:K02257	cod:Cp106_1079
ko:K22311	cod:Cp106_1165
ko:K22476	cod:Cp106_1782
ko:K00728	cod:Cp106_0660
ko:K22468	cod:Cp106_1763
ko:K08300	cod:Cp106_1547
ko:K08301	cod:Cp106_1547
ko:K07566	cod:Cp106_0824
