ko:K14224	cjy:QZ67_02024
ko:K03559	cjy:QZ67_00116
ko:K03832	cjy:QZ67_00117
ko:K03641	cjy:QZ67_00118
ko:K03640	cjy:QZ67_00119
ko:K03775	cjy:QZ67_00121
ko:K00645	cjy:QZ67_00122
ko:K18284	cjy:QZ67_00123
ko:K07042	cjy:QZ67_00127
ko:K05540	cjy:QZ67_00129
ko:K06204	cjy:QZ67_00131
ko:K00783	cjy:QZ67_00132
ko:K01963	cjy:QZ67_00133
ko:K01092	cjy:QZ67_00134
ko:K07277	cjy:QZ67_00135
ko:K04517	cjy:QZ67_00136
ko:K02535	cjy:QZ67_00138
ko:K00872	cjy:QZ67_00140
ko:K02519	cjy:QZ67_00142
ko:K02834	cjy:QZ67_00143
ko:K09748	cjy:QZ67_00144
ko:K07452	cjy:QZ67_00145
ko:K19147	cjy:QZ67_00146
ko:K09816	cjy:QZ67_00147
ko:K09817	cjy:QZ67_00148
ko:K09815	cjy:QZ67_00149
ko:K03406	cjy:QZ67_00150
ko:K01465	cjy:QZ67_00153
ko:K00901	cjy:QZ67_00155
ko:K03760	cjy:QZ67_00156
ko:K01142	cjy:QZ67_00157
ko:K03637	cjy:QZ67_00161
ko:K02887	cjy:QZ67_00169
ko:K02916	cjy:QZ67_00170
ko:K04487	cjy:QZ67_00173
ko:K13819	cjy:QZ67_00174
ko:K16052	cjy:QZ67_00175
ko:K01673	cjy:QZ67_00176
ko:K03075	cjy:QZ67_00178
ko:K02838	cjy:QZ67_00179
ko:K00762	cjy:QZ67_00180
ko:K00763	cjy:QZ67_00183
ko:K00573	cjy:QZ67_00185
ko:K00930	cjy:QZ67_00187
ko:K00145	cjy:QZ67_00189
ko:K07318	cjy:QZ67_00199
ko:K02520	cjy:QZ67_00200
ko:K01868	cjy:QZ67_00201
ko:K06153	cjy:QZ67_00202
ko:K03300	cjy:QZ67_00204
ko:K07478	cjy:QZ67_00209
ko:K00215	cjy:QZ67_00210
ko:K00764	cjy:QZ67_00211
ko:K02412	cjy:QZ67_00212
ko:K01495	cjy:QZ67_00213
ko:K01495	cjy:QZ67_00214
ko:K03545	cjy:QZ67_00215
ko:K01358	cjy:QZ67_00216
ko:K01462	cjy:QZ67_00217
ko:K07391	cjy:QZ67_00218
ko:K11175	cjy:QZ67_00221
ko:K06193	cjy:QZ67_00223
ko:K17938	cjy:QZ67_00226
ko:K03832	cjy:QZ67_00227
ko:K03559	cjy:QZ67_00228
ko:K03561	cjy:QZ67_00229
ko:K16087	cjy:QZ67_00230
ko:K02012	cjy:QZ67_00232
ko:K02011	cjy:QZ67_00233
ko:K02010	cjy:QZ67_00234
ko:K00290	cjy:QZ67_00235
ko:K04564	cjy:QZ67_00237
ko:K10041	cjy:QZ67_00988
ko:K00575	cjy:QZ67_00989
ko:K03412	cjy:QZ67_00990
ko:K01808	cjy:QZ67_00991
ko:K00759	cjy:QZ67_00993
ko:K01255	cjy:QZ67_00995
ko:K06942	cjy:QZ67_00996
ko:K01755	cjy:QZ67_00997
ko:K01755	cjy:QZ67_00998
ko:K01610	cjy:QZ67_00999
ko:K01960	cjy:QZ67_01000
ko:K03308	cjy:QZ67_01001
ko:K03308	cjy:QZ67_01002
ko:K03308	cjy:QZ67_01003
ko:K02110	cjy:QZ67_01004
ko:K07088	cjy:QZ67_01006
ko:K05939	cjy:QZ67_01007
ko:K02029	cjy:QZ67_01016
ko:K02004	cjy:QZ67_01017
ko:K02004	cjy:QZ67_01018
ko:K03070	cjy:QZ67_01019
ko:K03634	cjy:QZ67_01020
ko:K12251	cjy:QZ67_01024
ko:K03406	cjy:QZ67_01028
ko:K03406	cjy:QZ67_01029
ko:K00602	cjy:QZ67_01030
ko:K00602	cjy:QZ67_01031
ko:K05801	cjy:QZ67_01032
ko:K01952	cjy:QZ67_01033
ko:K03650	cjy:QZ67_01034
ko:K06346	cjy:QZ67_01035
ko:K03217	cjy:QZ67_01036
ko:K03536	cjy:QZ67_01038
ko:K02914	cjy:QZ67_01039
ko:K00133	cjy:QZ67_01096
ko:K09860	cjy:QZ67_01099
ko:K02469	cjy:QZ67_01100
ko:K02242	cjy:QZ67_01101
ko:K03596	cjy:QZ67_01103
ko:K03686	cjy:QZ67_01107
ko:K01959	cjy:QZ67_01110
ko:K03588	cjy:QZ67_01111
ko:K02563	cjy:QZ67_01112
ko:K03449	cjy:QZ67_01113
ko:K00788	cjy:QZ67_01116
ko:K03150	cjy:QZ67_01117
ko:K03149	cjy:QZ67_01118
ko:K03148	cjy:QZ67_01119
ko:K03154	cjy:QZ67_01120
ko:K01439	cjy:QZ67_01121
ko:K06895	cjy:QZ67_01122
ko:K12410	cjy:QZ67_01123
ko:K07456	cjy:QZ67_01125
ko:K01924	cjy:QZ67_01127
ko:K03602	cjy:QZ67_01130
ko:K00088	cjy:QZ67_01131
ko:K02433	cjy:QZ67_01132
ko:K01870	cjy:QZ67_01134
ko:K03743	cjy:QZ67_01135
ko:K00995	cjy:QZ67_01139
ko:K11749	cjy:QZ67_01140
ko:K00016	cjy:QZ67_01242
ko:K03768	cjy:QZ67_01246
ko:K11743	cjy:QZ67_01248
ko:K11742	cjy:QZ67_01249
ko:K01887	cjy:QZ67_01250
ko:K03116	cjy:QZ67_01251
ko:K00942	cjy:QZ67_01252
ko:K02421	cjy:QZ67_01254
ko:K02003	cjy:QZ67_01255
ko:K02357	cjy:QZ67_01256
ko:K02967	cjy:QZ67_01257
ko:K00574	cjy:QZ67_01258
ko:K00413	cjy:QZ67_01259
ko:K00412	cjy:QZ67_01260
ko:K00411	cjy:QZ67_01261
ko:K03893	cjy:QZ67_01262
ko:K03893	cjy:QZ67_01263
ko:K03495	cjy:QZ67_01264
ko:K11103	cjy:QZ67_01268
ko:K03306	cjy:QZ67_01270
ko:K01465	cjy:QZ67_01271
ko:K00057	cjy:QZ67_01272
ko:K02434	cjy:QZ67_01273
ko:K07173	cjy:QZ67_01274
ko:K02073	cjy:QZ67_01276
ko:K00549	cjy:QZ67_01277
ko:K00297	cjy:QZ67_01278
ko:K02108	cjy:QZ67_01279
ko:K04485	cjy:QZ67_01280
ko:K03110	cjy:QZ67_01281
ko:K18682	cjy:QZ67_01283
ko:K02238	cjy:QZ67_01285
ko:K07058	cjy:QZ67_01286
ko:K00104	cjy:QZ67_01287
ko:K00104	cjy:QZ67_01288
ko:K05810	cjy:QZ67_01292
ko:K05922	cjy:QZ67_01345
ko:K05927	cjy:QZ67_01346
ko:K15461	cjy:QZ67_01347
ko:K01448	cjy:QZ67_01348
ko:K00459	cjy:QZ67_01349
ko:K01866	cjy:QZ67_01350
ko:K03060	cjy:QZ67_01352
ko:K09903	cjy:QZ67_01353
ko:K09811	cjy:QZ67_01355
ko:K09812	cjy:QZ67_01356
ko:K03439	cjy:QZ67_01357
ko:K06180	cjy:QZ67_01359
ko:K05837	cjy:QZ67_01360
ko:K02342	cjy:QZ67_01385
ko:K18285	cjy:QZ67_01505
ko:K06901	cjy:QZ67_01506
ko:K00769	cjy:QZ67_01507
ko:K04754	cjy:QZ67_01508
ko:K07323	cjy:QZ67_01509
ko:K07003	cjy:QZ67_01510
ko:K02428	cjy:QZ67_01511
ko:K02557	cjy:QZ67_00615
ko:K03308	cjy:QZ67_00617
ko:K04084	cjy:QZ67_00619
ko:K13888	cjy:QZ67_00622
ko:K05685	cjy:QZ67_00623
ko:K09795	cjy:QZ67_00626
ko:K02217	cjy:QZ67_00628
ko:K02040	cjy:QZ67_00629
ko:K02037	cjy:QZ67_00630
ko:K02038	cjy:QZ67_00631
ko:K02036	cjy:QZ67_00632
ko:K07043	cjy:QZ67_00636
ko:K04656	cjy:QZ67_00638
ko:K04652	cjy:QZ67_00639
ko:K04653	cjy:QZ67_00640
ko:K04654	cjy:QZ67_00641
ko:K04655	cjy:QZ67_00642
ko:K04651	cjy:QZ67_00643
ko:K07504	cjy:QZ67_00644
ko:K02340	cjy:QZ67_00645
ko:K12573	cjy:QZ67_00646
ko:K00053	cjy:QZ67_00648
ko:K09798	cjy:QZ67_00649
ko:K04096	cjy:QZ67_00650
ko:K07447	cjy:QZ67_00651
ko:K07304	cjy:QZ67_00653
ko:K01507	cjy:QZ67_00654
ko:K00939	cjy:QZ67_00655
ko:K01876	cjy:QZ67_00656
ko:K00858	cjy:QZ67_00657
ko:K03631	cjy:QZ67_00658
ko:K03424	cjy:QZ67_00660
ko:K08307	cjy:QZ67_00661
ko:K03642	cjy:QZ67_00662
ko:K03270	cjy:QZ67_00663
ko:K09774	cjy:QZ67_00665
ko:K01042	cjy:QZ67_01514
ko:K03833	cjy:QZ67_01515
ko:K03833	cjy:QZ67_01516
ko:K03981	cjy:QZ67_01517
ko:K03839	cjy:QZ67_01519
ko:K03781	cjy:QZ67_01522
ko:K03326	cjy:QZ67_01526
ko:K01760	cjy:QZ67_01527
ko:K01756	cjy:QZ67_01528
ko:K04758	cjy:QZ67_01530
ko:K04759	cjy:QZ67_01531
ko:K04759	cjy:QZ67_01532
ko:K05927	cjy:QZ67_01533
ko:K05927	cjy:QZ67_01534
ko:K00208	cjy:QZ67_01535
ko:K01803	cjy:QZ67_01536
ko:K00927	cjy:QZ67_01537
ko:K00134	cjy:QZ67_01538
ko:K00969	cjy:QZ67_01539
ko:K09710	cjy:QZ67_01540
ko:K15778	cjy:QZ67_01542
ko:K02415	cjy:QZ67_01543
ko:K00997	cjy:QZ67_01544
ko:K07265	cjy:QZ67_01548
ko:K07266	cjy:QZ67_01549
ko:K00860	cjy:QZ67_01550
ko:K07010	cjy:QZ67_01552
ko:K03737	cjy:QZ67_01606
ko:K01091	cjy:QZ67_01607
ko:K03286	cjy:QZ67_01608
ko:K02996	cjy:QZ67_01609
ko:K02871	cjy:QZ67_01610
ko:K03582	cjy:QZ67_01611
ko:K00406	cjy:QZ67_01617
ko:K00405	cjy:QZ67_01618
ko:K00404	cjy:QZ67_01619
ko:K09792	cjy:QZ67_01622
ko:K01956	cjy:QZ67_01623
ko:K09804	cjy:QZ67_01624
ko:K01939	cjy:QZ67_01627
ko:K07112	cjy:QZ67_01629
ko:K11928	cjy:QZ67_01631
ko:K13821	cjy:QZ67_01632
ko:K01008	cjy:QZ67_01633
ko:K03406	cjy:QZ67_01635
ko:K02379	cjy:QZ67_01637
ko:K00127	cjy:QZ67_01638
ko:K00124	cjy:QZ67_01639
ko:K00123	cjy:QZ67_01640
ko:K00123	cjy:QZ67_01641
ko:K13747	cjy:QZ67_01644
ko:K03636	cjy:QZ67_01646
ko:K03635	cjy:QZ67_01647
ko:K03750	cjy:QZ67_01648
ko:K09951	cjy:QZ67_01649
ko:K15342	cjy:QZ67_01650
ko:K09952	cjy:QZ67_01651
ko:K09952	cjy:QZ67_01652
ko:K03326	cjy:QZ67_01654
ko:K01933	cjy:QZ67_01655
ko:K00859	cjy:QZ67_01656
ko:K02033	cjy:QZ67_01706
ko:K02033	cjy:QZ67_01707
ko:K02035	cjy:QZ67_01708
ko:K18930	cjy:QZ67_01709
ko:K18930	cjy:QZ67_01710
ko:K06159	cjy:QZ67_01712
ko:K02518	cjy:QZ67_01716
ko:K02952	cjy:QZ67_01717
ko:K02948	cjy:QZ67_01718
ko:K02986	cjy:QZ67_01719
ko:K03040	cjy:QZ67_01720
ko:K02879	cjy:QZ67_01721
ko:K00765	cjy:QZ67_01722
ko:K00013	cjy:QZ67_01723
ko:K01089	cjy:QZ67_01724
ko:K02501	cjy:QZ67_01725
ko:K01814	cjy:QZ67_01726
ko:K09805	cjy:QZ67_01727
ko:K02500	cjy:QZ67_01728
ko:K11755	cjy:QZ67_01729
ko:K00674	cjy:QZ67_01730
ko:K03593	cjy:QZ67_01731
ko:K12506	cjy:QZ67_01732
ko:K00958	cjy:QZ67_01734
ko:K01095	cjy:QZ67_01735
ko:K02968	cjy:QZ67_01736
ko:K02835	cjy:QZ67_01737
ko:K07226	cjy:QZ67_01738
ko:K02014	cjy:QZ67_01739
ko:K02015	cjy:QZ67_01740
ko:K02013	cjy:QZ67_01741
ko:K02016	cjy:QZ67_01742
ko:K03761	cjy:QZ67_01744
ko:K03761	cjy:QZ67_01745
ko:K03575	cjy:QZ67_01746
ko:K11752	cjy:QZ67_01752
ko:K01752	cjy:QZ67_01754
ko:K03837	cjy:QZ67_01755
ko:K03561	cjy:QZ67_01758
ko:K01082	cjy:QZ67_01817
ko:K01647	cjy:QZ67_01818
ko:K01012	cjy:QZ67_01820
ko:K03168	cjy:QZ67_01821
ko:K03076	cjy:QZ67_01824
ko:K02876	cjy:QZ67_01825
ko:K02988	cjy:QZ67_01826
ko:K02881	cjy:QZ67_01827
ko:K02933	cjy:QZ67_01828
ko:K02994	cjy:QZ67_01829
ko:K02954	cjy:QZ67_01830
ko:K02931	cjy:QZ67_01831
ko:K02895	cjy:QZ67_01832
ko:K02874	cjy:QZ67_01833
ko:K02961	cjy:QZ67_01834
ko:K02904	cjy:QZ67_01835
ko:K02878	cjy:QZ67_01836
ko:K02982	cjy:QZ67_01837
ko:K02890	cjy:QZ67_01838
ko:K02965	cjy:QZ67_01839
ko:K02886	cjy:QZ67_01840
ko:K02892	cjy:QZ67_01841
ko:K02926	cjy:QZ67_01842
ko:K02906	cjy:QZ67_01843
ko:K02946	cjy:QZ67_01844
ko:K06178	cjy:QZ67_01845
ko:K06178	cjy:QZ67_01846
ko:K12574	cjy:QZ67_01847
ko:K02528	cjy:QZ67_01848
ko:K06941	cjy:QZ67_01850
ko:K01704	cjy:QZ67_01857
ko:K01703	cjy:QZ67_01858
ko:K00052	cjy:QZ67_01859
ko:K01649	cjy:QZ67_01860
ko:K09457	cjy:QZ67_01864
ko:K00651	cjy:QZ67_01866
ko:K02030	cjy:QZ67_00748
ko:K22468	cjy:QZ67_00620
ko:K04771	cjy:QZ67_01304
ko:K19210	cjy:QZ67_00299
ko:K17250	cjy:QZ67_01206
ko:K06867	cjy:QZ67_01523
ko:K07496	cjy:QZ67_00820
ko:K14218	cjy:QZ67_01879
ko:K14218	cjy:QZ67_01979
ko:K14218	cjy:QZ67_01909
ko:K02031	cjy:QZ67_01704
ko:K19416	cjy:QZ67_00177
ko:K18431	cjy:QZ67_01467
ko:K06867	cjy:QZ67_00902
ko:K15669	cjy:QZ67_01562
ko:K07216	cjy:QZ67_00078
ko:K07216	cjy:QZ67_00079
ko:K10938	cjy:QZ67_00289
ko:K15899	cjy:QZ67_01446
ko:K19713	cjy:QZ67_00940
ko:K07147	cjy:QZ67_00381
ko:K09796	cjy:QZ67_00973
ko:K20810	cjy:QZ67_00074
ko:K01977	cjy:QZ67_01974
ko:K01977	cjy:QZ67_01874
ko:K14227	cjy:QZ67_01884
ko:K14227	cjy:QZ67_01914
ko:K14227	cjy:QZ67_01984
ko:K01985	cjy:QZ67_01894
ko:K01985	cjy:QZ67_01924
ko:K01985	cjy:QZ67_01994
ko:K14224	cjy:QZ67_01899
ko:K14234	cjy:QZ67_01929
ko:K14234	cjy:QZ67_01944
ko:K14236	cjy:QZ67_01934
ko:K14225	cjy:QZ67_01939
ko:K14225	cjy:QZ67_02004
ko:K14225	cjy:QZ67_02079
ko:K14219	cjy:QZ67_01954
ko:K14219	cjy:QZ67_02049
ko:K14219	cjy:QZ67_02104
ko:K14230	cjy:QZ67_01964
ko:K14230	cjy:QZ67_02059
ko:K14223	cjy:QZ67_01969
ko:K14228	cjy:QZ67_01999
ko:K14228	cjy:QZ67_02009
ko:K14228	cjy:QZ67_02084
ko:K14221	cjy:QZ67_02014
ko:K14221	cjy:QZ67_02034
ko:K14237	cjy:QZ67_02019
ko:K14237	cjy:QZ67_02039
ko:K14237	cjy:QZ67_02139
ko:K14229	cjy:QZ67_02029
ko:K14229	cjy:QZ67_02044
ko:K14220	cjy:QZ67_02054
ko:K14231	cjy:QZ67_02064
ko:K14233	cjy:QZ67_02069
ko:K14233	cjy:QZ67_02094
ko:K14233	cjy:QZ67_02129
ko:K14222	cjy:QZ67_02089
ko:K14232	cjy:QZ67_02119
ko:K14218	cjy:QZ67_02134
ko:K01980	cjy:QZ67_01919
ko:K01980	cjy:QZ67_01889
ko:K01980	cjy:QZ67_01989
ko:K14228	cjy:QZ67_02099
ko:K14226	cjy:QZ67_02114
ko:K01023	cjy:QZ67_00935
ko:K00821	cjy:QZ67_00186
ko:K02335	cjy:QZ67_00339
ko:K02316	cjy:QZ67_01767
ko:K10747	cjy:QZ67_01804
ko:K03553	cjy:QZ67_01808
ko:K03465	cjy:QZ67_00028
ko:K02314	cjy:QZ67_00573
ko:K06223	cjy:QZ67_00757
ko:K06908	cjy:QZ67_00763
ko:K06907	cjy:QZ67_00764
ko:K06903	cjy:QZ67_00771
ko:K06906	cjy:QZ67_00787
ko:K06905	cjy:QZ67_00789
ko:K02483	cjy:QZ67_01340
ko:K02483	cjy:QZ67_00358
ko:K02483	cjy:QZ67_01303
ko:K00525	cjy:QZ67_00026
ko:K02032	cjy:QZ67_01703
ko:K02481	cjy:QZ67_01097
ko:K01139	cjy:QZ67_01351
ko:K00526	cjy:QZ67_00182
ko:K10938	cjy:QZ67_00845
ko:K03668	cjy:QZ67_01027
ko:K07741	cjy:QZ67_01379
ko:K21420	cjy:QZ67_01108
ko:K13695	cjy:QZ67_01783
ko:K01451	cjy:QZ67_01059
ko:K10026	cjy:QZ67_00247
ko:K21600	cjy:QZ67_00521
ko:K21929	cjy:QZ67_01041
ko:K03595	cjy:QZ67_00675
ko:K14441	cjy:QZ67_01585
ko:K17758	cjy:QZ67_00220
ko:K17759	cjy:QZ67_00220
ko:K22391	cjy:QZ67_00718
ko:K22424	cjy:QZ67_01553
ko:K22477	cjy:QZ67_00188
