ko:K18929	hef:HPF16_0147
ko:K03784	hef:HPF16_1117
ko:K03317	hef:HPF16_1119
ko:K01674	hef:HPF16_1125
ko:K00626	hef:HPF16_0702
ko:K07126	hef:HPF16_0732
ko:K00674	hef:HPF16_0733
ko:K01507	hef:HPF16_0739
ko:K00939	hef:HPF16_0743
ko:K03711	hef:HPF16_0424
ko:K13640	hef:HPF16_0426
ko:K00076	hef:HPF16_0436
ko:K03455	hef:HPF16_0451
ko:K02017	hef:HPF16_0455
ko:K01885	hef:HPF16_0457
ko:K03279	hef:HPF16_1313
ko:K03768	hef:HPF16_1337
ko:K04517	hef:HPF16_0023
ko:K02238	hef:HPF16_0038
ko:K03743	hef:HPF16_0931
ko:K06179	hef:HPF16_0935
ko:K03442	hef:HPF16_0965
ko:K06196	hef:HPF16_0272
ko:K04093	hef:HPF16_0299
ko:K03342	hef:HPF16_0301
ko:K02843	hef:HPF16_1129
ko:K01719	hef:HPF16_1158
ko:K01455	hef:HPF16_1172
ko:K07457	hef:HPF16_0757
ko:K14048	hef:HPF16_0085
ko:K03406	hef:HPF16_0095
ko:K03406	hef:HPF16_0112
ko:K06346	hef:HPF16_1347
ko:K02067	hef:HPF16_1360
ko:K02242	hef:HPF16_1370
ko:K00616	hef:HPF16_1392
ko:K00652	hef:HPF16_0761
ko:K00059	hef:HPF16_0798
ko:K01119	hef:HPF16_0117
ko:K01585	hef:HPF16_0975
ko:K00058	hef:HPF16_0999
ko:K06013	hef:HPF16_1015
ko:K03406	hef:HPF16_0116
ko:K14232	hef:HPF16_t24
ko:K14219	hef:HPF16_t21
ko:K16052	hef:HPF16_0982
ko:K14221	hef:HPF16_t02
ko:K14237	hef:HPF16_t03
ko:K14224	hef:HPF16_t04
ko:K14229	hef:HPF16_t05
ko:K14237	hef:HPF16_t06
ko:K14220	hef:HPF16_t08
ko:K14219	hef:HPF16_t10
ko:K14233	hef:HPF16_t11
ko:K14232	hef:HPF16_t12
ko:K14219	hef:HPF16_t13
ko:K14230	hef:HPF16_t14
ko:K14230	hef:HPF16_t15
ko:K14223	hef:HPF16_t16
ko:K14225	hef:HPF16_t17
ko:K14228	hef:HPF16_t18
ko:K14222	hef:HPF16_t19
ko:K14233	hef:HPF16_t20
ko:K01985	hef:HPF16_r01
ko:K01985	hef:HPF16_r04
ko:K01980	hef:HPF16_r02
ko:K01980	hef:HPF16_r05
ko:K14228	hef:HPF16_t25
ko:K14227	hef:HPF16_t26
ko:K15035	hef:HPF16_tm01
ko:K02029	hef:HPF16_1110
ko:K14235	hef:HPF16_t29
ko:K03196	hef:HPF16_1319
ko:K11028	hef:HPF16_0872
ko:K15847	hef:HPF16_0879
ko:K05847	hef:HPF16_0542
ko:K12086	hef:HPF16_0834
ko:K12088	hef:HPF16_0833
ko:K12089	hef:HPF16_0832
ko:K12090	hef:HPF16_0831
ko:K12092	hef:HPF16_0828
ko:K12093	hef:HPF16_0827
ko:K12094	hef:HPF16_0826
ko:K12095	hef:HPF16_0825
ko:K12096	hef:HPF16_0824
ko:K12097	hef:HPF16_0823
ko:K12098	hef:HPF16_0822
ko:K12101	hef:HPF16_0821
ko:K15842	hef:HPF16_0811
ko:K12102	hef:HPF16_0820
ko:K12103	hef:HPF16_0819
ko:K12104	hef:HPF16_0818
ko:K12105	hef:HPF16_0817
ko:K12106	hef:HPF16_0816
ko:K12107	hef:HPF16_0815
ko:K12108	hef:HPF16_0814
ko:K12109	hef:HPF16_0813
ko:K12110	hef:HPF16_0812
ko:K15848	hef:HPF16_0638
ko:K15843	hef:HPF16_0893
ko:K15844	hef:HPF16_0894
ko:K12091	hef:HPF16_0829
ko:K06013	hef:HPF16_1014
ko:K15845	hef:HPF16_0007
ko:K10009	hef:HPF16_0918
ko:K00970	hef:HPF16_0650
ko:K03321	hef:HPF16_0236
ko:K01426	hef:HPF16_0302
ko:K12371	hef:HPF16_0309
ko:K12369	hef:HPF16_0307
ko:K01155	hef:HPF16_0104
ko:K07316	hef:HPF16_0033
ko:K02424	hef:HPF16_0919
ko:K11782	hef:HPF16_0582
ko:K09477	hef:HPF16_0152
ko:K03559	hef:HPF16_1071
ko:K03559	hef:HPF16_1271
ko:K03559	hef:HPF16_1342
ko:K07318	hef:HPF16_1145
ko:K12049	hef:HPF16_1281
ko:K13689	hef:HPF16_0226
ko:K12977	hef:HPF16_0019
ko:K12048	hef:HPF16_1280
ko:K12052	hef:HPF16_1283
ko:K12050	hef:HPF16_1282
ko:K12053	hef:HPF16_0015
ko:K03191	hef:HPF16_0083
ko:K13797	hef:HPF16_1134
ko:K02003	hef:HPF16_0187
ko:K15895	hef:HPF16_1032
ko:K15896	hef:HPF16_0335
ko:K01738	hef:HPF16_0120
ko:K01760	hef:HPF16_0119
ko:K01992	hef:HPF16_0749
ko:K01990	hef:HPF16_1154
ko:K17103	hef:HPF16_0381
ko:K02484	hef:HPF16_0172
ko:K02484	hef:HPF16_0035
ko:K02847	hef:HPF16_0412
ko:K01992	hef:HPF16_1384
ko:K17686	hef:HPF16_1403
ko:K17686	hef:HPF16_0380
ko:K01155	hef:HPF16_0269
ko:K07318	hef:HPF16_1396
ko:K05540	hef:HPF16_0636
ko:K01658	hef:HPF16_1215
ko:K11928	hef:HPF16_0060
ko:K01156	hef:HPF16_1297
ko:K00971	hef:HPF16_1279
ko:K00290	hef:HPF16_1407
ko:K01497	hef:HPF16_0560
ko:K00254	hef:HPF16_0439
ko:K06148	hef:HPF16_1143
ko:K05922	hef:HPF16_0728
ko:K05927	hef:HPF16_0729
ko:K03605	hef:HPF16_0726
ko:K05366	hef:HPF16_0762
ko:K07812	hef:HPF16_0988
ko:K12410	hef:HPF16_1193
ko:K01173	hef:HPF16_1295
ko:K01153	hef:HPF16_0514
ko:K03639	hef:HPF16_0593
ko:K07090	hef:HPF16_0683
ko:K07501	hef:HPF16_0701
ko:K11784	hef:HPF16_0665
ko:K11785	hef:HPF16_0161
ko:K18284	hef:HPF16_0102
ko:K18285	hef:HPF16_0663
ko:K16235	hef:HPF16_0433
ko:K18480	hef:HPF16_1359
ko:K00681	hef:HPF16_1060
ko:K07316	hef:HPF16_1296
ko:K18930	hef:HPF16_1156
ko:K03497	hef:HPF16_1080
ko:K03496	hef:HPF16_1081
ko:K03111	hef:HPF16_1179
ko:K03196	hef:HPF16_0830
ko:K03761	hef:HPF16_0362
ko:K00335	hef:HPF16_1200
ko:K02483	hef:HPF16_0173
ko:K03526	hef:HPF16_0734
ko:K00571	hef:HPF16_0105
ko:K02483	hef:HPF16_0034
ko:K03296	hef:HPF16_0752
ko:K00336	hef:HPF16_1201
ko:K07448	hef:HPF16_0373
ko:K19157	hef:HPF16_0877
ko:K00571	hef:HPF16_0057
ko:K00571	hef:HPF16_0270
ko:K00571	hef:HPF16_1273
ko:K00525	hef:HPF16_0689
ko:K07317	hef:HPF16_0891
ko:K04771	hef:HPF16_0432
ko:K01992	hef:HPF16_1383
ko:K07496	hef:HPF16_0464
ko:K07496	hef:HPF16_0810
ko:K07496	hef:HPF16_0943
ko:K19353	hef:HPF16_1469
ko:K19416	hef:HPF16_0899
ko:K02483	hef:HPF16_0408
ko:K20151	hef:HPF16_0660
ko:K20810	hef:HPF16_0274
ko:K20151	hef:HPF16_1018
ko:K07100	hef:HPF16_1149
ko:K02335	hef:HPF16_1366
ko:K02335	hef:HPF16_0429
ko:K03553	hef:HPF16_0162
ko:K00558	hef:HPF16_1063
ko:K06223	hef:HPF16_0463
ko:K02316	hef:HPF16_0468
ko:K14059	hef:HPF16_0476
ko:K01520	hef:HPF16_0499
ko:K06223	hef:HPF16_1397
ko:K03465	hef:HPF16_1427
ko:K02316	hef:HPF16_0010
ko:K02314	hef:HPF16_0037
ko:K00558	hef:HPF16_0058
ko:K00558	hef:HPF16_0059
ko:K00526	hef:HPF16_1033
ko:K02481	hef:HPF16_0714
ko:K01139	hef:HPF16_0585
ko:K07097	hef:HPF16_0409
ko:K10026	hef:HPF16_0912
ko:K21929	hef:HPF16_0659
ko:K03595	hef:HPF16_0837
ko:K22278	hef:HPF16_0318
ko:K14441	hef:HPF16_0629
ko:K22391	hef:HPF16_0938
ko:K17758	hef:HPF16_0036
ko:K17759	hef:HPF16_0036
ko:K00590	hef:HPF16_0699
ko:K00571	hef:HPF16_0047
ko:K01007	hef:HPF16_0132
