ko:K22220	mavd:NF84_17360
ko:K07341	mavd:NF84_18130
ko:K01835	mavd:NF84_18150
ko:K06199	mavd:NF84_18155
ko:K06199	mavd:NF84_18160
ko:K01644	mavd:NF84_18180
ko:K13640	mavd:NF84_22200
ko:K03686	mavd:NF84_22205
ko:K03687	mavd:NF84_22210
ko:K04043	mavd:NF84_22215
ko:K14260	mavd:NF84_22265
ko:K00973	mavd:NF84_22275
ko:K00012	mavd:NF84_22290
ko:K01494	mavd:NF84_22315
ko:K00045	mavd:NF84_22370
ko:K14340	mavd:NF84_22395
ko:K04719	mavd:NF84_22465
ko:K00598	mavd:NF84_22475
ko:K03767	mavd:NF84_00065
ko:K18472	mavd:NF84_09870
ko:K11609	mavd:NF84_09875
ko:K11609	mavd:NF84_09880
ko:K02078	mavd:NF84_09885
ko:K00645	mavd:NF84_09890
ko:K00163	mavd:NF84_09900
ko:K00873	mavd:NF84_14255
ko:K01695	mavd:NF84_14270
ko:K01696	mavd:NF84_14275
ko:K01609	mavd:NF84_14280
ko:K01657	mavd:NF84_14290
ko:K03564	mavd:NF84_14295
ko:K07300	mavd:NF84_14300
ko:K01496	mavd:NF84_14305
ko:K02500	mavd:NF84_14310
ko:K01092	mavd:NF84_14315
ko:K01814	mavd:NF84_14320
ko:K01817	mavd:NF84_14320
ko:K02501	mavd:NF84_14325
ko:K01693	mavd:NF84_14330
ko:K00817	mavd:NF84_14335
ko:K00013	mavd:NF84_14340
ko:K00767	mavd:NF84_14350
ko:K00278	mavd:NF84_14355
ko:K03517	mavd:NF84_14360
ko:K01012	mavd:NF84_14385
ko:K01935	mavd:NF84_14425
ko:K00652	mavd:NF84_14430
ko:K00833	mavd:NF84_14435
ko:K06044	mavd:NF84_14460
ko:K01236	mavd:NF84_14465
ko:K01754	mavd:NF84_14485
ko:K00631	mavd:NF84_14500
ko:K02337	mavd:NF84_14520
ko:K00343	mavd:NF84_18495
ko:K03924	mavd:NF84_18520
ko:K00274	mavd:NF84_18575
ko:K03412	mavd:NF84_18595
ko:K13924	mavd:NF84_18600
ko:K03412	mavd:NF84_18610
ko:K03781	mavd:NF84_18615
ko:K00612	mavd:NF84_18690
ko:K03271	mavd:NF84_18705
ko:K00012	mavd:NF84_18725
ko:K00156	mavd:NF84_18730
ko:K03885	mavd:NF84_18780
ko:K01687	mavd:NF84_23090
ko:K05349	mavd:NF84_23110
ko:K03088	mavd:NF84_23130
ko:K06911	mavd:NF84_23150
ko:K18481	mavd:NF84_23170
ko:K18481	mavd:NF84_23175
ko:K18481	mavd:NF84_23180
ko:K18481	mavd:NF84_23185
ko:K02067	mavd:NF84_23190
ko:K02067	mavd:NF84_23195
ko:K02067	mavd:NF84_23200
ko:K02067	mavd:NF84_23205
ko:K02067	mavd:NF84_23210
ko:K02067	mavd:NF84_23215
ko:K02066	mavd:NF84_23220
ko:K02066	mavd:NF84_23225
ko:K00666	mavd:NF84_23230
ko:K07107	mavd:NF84_23245
ko:K01153	mavd:NF84_23260
ko:K03427	mavd:NF84_23275
ko:K06877	mavd:NF84_02285
ko:K03704	mavd:NF84_02290
ko:K03168	mavd:NF84_02300
ko:K02341	mavd:NF84_02310
ko:K01784	mavd:NF84_02325
ko:K09153	mavd:NF84_02330
ko:K09799	mavd:NF84_02345
ko:K01507	mavd:NF84_02350
ko:K07259	mavd:NF84_02355
ko:K04075	mavd:NF84_02365
ko:K00760	mavd:NF84_02370
ko:K09807	mavd:NF84_02375
ko:K14733	mavd:NF84_02400
ko:K01495	mavd:NF84_02420
ko:K00796	mavd:NF84_02425
ko:K01633	mavd:NF84_02430
ko:K00950	mavd:NF84_02435
ko:K01918	mavd:NF84_02455
ko:K01579	mavd:NF84_02460
ko:K03525	mavd:NF84_02465
ko:K04567	mavd:NF84_02470
ko:K03696	mavd:NF84_02480
ko:K11159	mavd:NF84_02500
ko:K03575	mavd:NF84_02520
ko:K01673	mavd:NF84_02525
ko:K07067	mavd:NF84_02535
ko:K04485	mavd:NF84_02540
ko:K07736	mavd:NF84_02550
ko:K00991	mavd:NF84_02555
ko:K01770	mavd:NF84_02560
ko:K01883	mavd:NF84_02565
ko:K03218	mavd:NF84_02570
ko:K01126	mavd:NF84_02575
ko:K00059	mavd:NF84_06960
ko:K00626	mavd:NF84_06965
ko:K14470	mavd:NF84_06970
ko:K15866	mavd:NF84_07015
ko:K01714	mavd:NF84_07040
ko:K00666	mavd:NF84_07060
ko:K01421	mavd:NF84_07165
ko:K00626	mavd:NF84_11655
ko:K08299	mavd:NF84_11720
ko:K06281	mavd:NF84_11945
ko:K03499	mavd:NF84_16265
ko:K03499	mavd:NF84_16270
ko:K01092	mavd:NF84_16320
ko:K00886	mavd:NF84_16325
ko:K03086	mavd:NF84_16330
ko:K03087	mavd:NF84_16370
ko:K03709	mavd:NF84_16375
ko:K00322	mavd:NF84_16385
ko:K07738	mavd:NF84_16415
ko:K01356	mavd:NF84_16425
ko:K03665	mavd:NF84_16440
ko:K01778	mavd:NF84_16445
ko:K00791	mavd:NF84_16450
ko:K06168	mavd:NF84_16480
ko:K03565	mavd:NF84_16485
ko:K10533	mavd:NF84_16515
ko:K02040	mavd:NF84_20510
ko:K01130	mavd:NF84_20515
ko:K02961	mavd:NF84_20520
ko:K02904	mavd:NF84_20525
ko:K02878	mavd:NF84_20530
ko:K02982	mavd:NF84_20535
ko:K02890	mavd:NF84_20540
ko:K02965	mavd:NF84_20545
ko:K02886	mavd:NF84_20550
ko:K02892	mavd:NF84_20555
ko:K02926	mavd:NF84_20560
ko:K02906	mavd:NF84_20565
ko:K02946	mavd:NF84_20570
ko:K00101	mavd:NF84_20595
ko:K01092	mavd:NF84_20630
ko:K02358	mavd:NF84_20655
ko:K02355	mavd:NF84_20660
ko:K02992	mavd:NF84_20665
ko:K02950	mavd:NF84_20670
ko:K01692	mavd:NF84_20690
ko:K02616	mavd:NF84_20695
ko:K01692	mavd:NF84_20700
ko:K09456	mavd:NF84_20705
ko:K01151	mavd:NF84_20710
ko:K03046	mavd:NF84_20715
ko:K03043	mavd:NF84_20720
ko:K02065	mavd:NF84_20725
ko:K11159	mavd:NF84_20730
ko:K02935	mavd:NF84_20740
ko:K02864	mavd:NF84_20745
ko:K00845	mavd:NF84_20755
ko:K00645	mavd:NF84_20760
ko:K00831	mavd:NF84_04390
ko:K00528	mavd:NF84_04400
ko:K04750	mavd:NF84_04405
ko:K01647	mavd:NF84_04410
ko:K00275	mavd:NF84_04415
ko:K01647	mavd:NF84_04420
ko:K07655	mavd:NF84_04435
ko:K07671	mavd:NF84_04440
ko:K01962	mavd:NF84_04465
ko:K01963	mavd:NF84_04465
ko:K01692	mavd:NF84_04470
ko:K03322	mavd:NF84_04535
ko:K00076	mavd:NF84_04545
ko:K02040	mavd:NF84_04550
ko:K02037	mavd:NF84_04555
ko:K02038	mavd:NF84_04560
ko:K10979	mavd:NF84_04565
ko:K00847	mavd:NF84_04570
ko:K00045	mavd:NF84_04575
ko:K00045	mavd:NF84_04585
ko:K02228	mavd:NF84_04635
ko:K10563	mavd:NF84_04640
ko:K04790	mavd:NF84_09030
ko:K04791	mavd:NF84_09035
ko:K04789	mavd:NF84_09040
ko:K04792	mavd:NF84_09045
ko:K04793	mavd:NF84_09050
ko:K03088	mavd:NF84_09070
ko:K03705	mavd:NF84_09085
ko:K03686	mavd:NF84_09090
ko:K09761	mavd:NF84_09095
ko:K07042	mavd:NF84_09105
ko:K01426	mavd:NF84_09130
ko:K03584	mavd:NF84_09135
ko:K03711	mavd:NF84_09150
ko:K01880	mavd:NF84_09160
ko:K01129	mavd:NF84_09180
ko:K00640	mavd:NF84_09225
ko:K01738	mavd:NF84_09230
ko:K11717	mavd:NF84_09245
ko:K02066	mavd:NF84_09260
ko:K02066	mavd:NF84_09265
ko:K02067	mavd:NF84_09275
ko:K02067	mavd:NF84_09280
ko:K02067	mavd:NF84_09285
ko:K02067	mavd:NF84_09310
ko:K18481	mavd:NF84_09315
ko:K18481	mavd:NF84_09320
ko:K03977	mavd:NF84_13730
ko:K00945	mavd:NF84_13735
ko:K06178	mavd:NF84_13740
ko:K06024	mavd:NF84_13745
ko:K05896	mavd:NF84_13750
ko:K00545	mavd:NF84_13760
ko:K04763	mavd:NF84_13765
ko:K01515	mavd:NF84_13770
ko:K01937	mavd:NF84_13775
ko:K03631	mavd:NF84_13790
ko:K00858	mavd:NF84_13795
ko:K06442	mavd:NF84_13800
ko:K01866	mavd:NF84_13825
ko:K03652	mavd:NF84_13830
ko:K03320	mavd:NF84_13835
ko:K01990	mavd:NF84_13840
ko:K18481	mavd:NF84_00525
ko:K02039	mavd:NF84_00610
ko:K03762	mavd:NF84_00615
ko:K00574	mavd:NF84_00625
ko:K15555	mavd:NF84_00670
ko:K15553	mavd:NF84_00675
ko:K15554	mavd:NF84_00680
ko:K03088	mavd:NF84_00785
ko:K00265	mavd:NF84_00795
ko:K07001	mavd:NF84_05230
ko:K07001	mavd:NF84_05235
ko:K01692	mavd:NF84_05260
ko:K01692	mavd:NF84_05265
ko:K00626	mavd:NF84_05275
ko:K01697	mavd:NF84_05290
ko:K01739	mavd:NF84_05300
ko:K03624	mavd:NF84_05305
ko:K18455	mavd:NF84_05315
ko:K06888	mavd:NF84_05325
ko:K11068	mavd:NF84_05335
ko:K12503	mavd:NF84_05340
ko:K00867	mavd:NF84_05355
ko:K00600	mavd:NF84_05360
ko:K03922	mavd:NF84_05365
ko:K07175	mavd:NF84_05370
ko:K01679	mavd:NF84_05390
ko:K02446	mavd:NF84_05395
ko:K03929	mavd:NF84_05410
ko:K16045	mavd:NF84_05415
ko:K03602	mavd:NF84_05420
ko:K03601	mavd:NF84_05425
ko:K03527	mavd:NF84_05435
ko:K06942	mavd:NF84_05445
ko:K03386	mavd:NF84_09915
ko:K02227	mavd:NF84_09940
ko:K01104	mavd:NF84_09950
ko:K00817	mavd:NF84_09960
ko:K07164	mavd:NF84_09970
ko:K09990	mavd:NF84_10000
ko:K00606	mavd:NF84_10085
ko:K01915	mavd:NF84_10105
ko:K00982	mavd:NF84_10110
ko:K01915	mavd:NF84_10195
ko:K07124	mavd:NF84_14530
ko:K06886	mavd:NF84_14540
ko:K06180	mavd:NF84_14550
ko:K03101	mavd:NF84_14555
ko:K01424	mavd:NF84_14560
ko:K02346	mavd:NF84_14565
ko:K01870	mavd:NF84_14575
ko:K06994	mavd:NF84_14650
ko:K06994	mavd:NF84_14655
ko:K01990	mavd:NF84_14660
ko:K01992	mavd:NF84_14665
ko:K01992	mavd:NF84_14670
ko:K05303	mavd:NF84_14715
ko:K05303	mavd:NF84_14740
ko:K17947	mavd:NF84_14750
ko:K07588	mavd:NF84_14785
ko:K01847	mavd:NF84_14790
ko:K01847	mavd:NF84_14795
ko:K13993	mavd:NF84_18795
ko:K07044	mavd:NF84_18870
ko:K02067	mavd:NF84_18900
ko:K00432	mavd:NF84_18915
ko:K09118	mavd:NF84_18950
ko:K07177	mavd:NF84_18955
ko:K03657	mavd:NF84_18980
ko:K03426	mavd:NF84_18990
ko:K10716	mavd:NF84_18995
ko:K03657	mavd:NF84_19000
ko:K16167	mavd:NF84_13945
ko:K12434	mavd:NF84_13960
ko:K16167	mavd:NF84_13965
ko:K01755	mavd:NF84_13970
ko:K03893	mavd:NF84_02590
ko:K07160	mavd:NF84_02600
ko:K02075	mavd:NF84_02605
ko:K02074	mavd:NF84_02610
ko:K02077	mavd:NF84_02615
ko:K15983	mavd:NF84_02650
ko:K16047	mavd:NF84_02655
ko:K16050	mavd:NF84_02660
ko:K16049	mavd:NF84_02665
ko:K00622	mavd:NF84_02675
ko:K18687	mavd:NF84_02700
ko:K00059	mavd:NF84_02710
ko:K00626	mavd:NF84_02720
ko:K01692	mavd:NF84_02750
ko:K00626	mavd:NF84_02775
ko:K15981	mavd:NF84_02780
ko:K02554	mavd:NF84_02825
ko:K04073	mavd:NF84_02830
ko:K01666	mavd:NF84_02835
ko:K05337	mavd:NF84_07270
ko:K02182	mavd:NF84_07285
ko:K11533	mavd:NF84_07330
ko:K00997	mavd:NF84_07335
ko:K03564	mavd:NF84_07345
ko:K06994	mavd:NF84_07375
ko:K13288	mavd:NF84_07400
ko:K06915	mavd:NF84_07405
ko:K07124	mavd:NF84_07410
ko:K06902	mavd:NF84_07415
ko:K01969	mavd:NF84_07430
ko:K11263	mavd:NF84_07435
ko:K01644	mavd:NF84_07450
ko:K00161	mavd:NF84_07455
ko:K00162	mavd:NF84_07460
ko:K00627	mavd:NF84_07465
ko:K01692	mavd:NF84_07470
ko:K15781	mavd:NF84_07515
ko:K02351	mavd:NF84_07540
ko:K07245	mavd:NF84_07540
ko:K01560	mavd:NF84_11975
ko:K01782	mavd:NF84_12010
ko:K00626	mavd:NF84_12015
ko:K03151	mavd:NF84_12095
ko:K13993	mavd:NF84_12100
ko:K13993	mavd:NF84_12110
ko:K01644	mavd:NF84_12150
ko:K00036	mavd:NF84_12160
ko:K03578	mavd:NF84_12175
ko:K07140	mavd:NF84_12210
ko:K00995	mavd:NF84_16540
ko:K00619	mavd:NF84_16545
ko:K03466	mavd:NF84_16550
ko:K12574	mavd:NF84_16570
ko:K01714	mavd:NF84_16575
ko:K01153	mavd:NF84_16590
ko:K01061	mavd:NF84_16610
ko:K00215	mavd:NF84_16650
ko:K00215	mavd:NF84_16665
ko:K07044	mavd:NF84_16690
ko:K00259	mavd:NF84_16700
ko:K00459	mavd:NF84_16705
ko:K00962	mavd:NF84_16715
ko:K02956	mavd:NF84_16720
ko:K11753	mavd:NF84_16725
ko:K03709	mavd:NF84_16730
ko:K03177	mavd:NF84_16745
ko:K06978	mavd:NF84_16765
ko:K01692	mavd:NF84_16780
ko:K02834	mavd:NF84_16795
ko:K07742	mavd:NF84_16805
ko:K02600	mavd:NF84_16810
ko:K00574	mavd:NF84_20785
ko:K00574	mavd:NF84_20790
ko:K03088	mavd:NF84_20800
ko:K02863	mavd:NF84_20805
ko:K02867	mavd:NF84_20810
ko:K02601	mavd:NF84_20815
ko:K03073	mavd:NF84_20820
ko:K02913	mavd:NF84_20845
ko:K01692	mavd:NF84_20875
ko:K07001	mavd:NF84_20890
ko:K01725	mavd:NF84_20895
ko:K00574	mavd:NF84_20910
ko:K03583	mavd:NF84_20915
ko:K03582	mavd:NF84_20920
ko:K03581	mavd:NF84_20925
ko:K02067	mavd:NF84_20935
ko:K02067	mavd:NF84_20940
ko:K02067	mavd:NF84_20945
ko:K02067	mavd:NF84_20950
ko:K00266	mavd:NF84_00800
ko:K04477	mavd:NF84_00815
ko:K02346	mavd:NF84_00820
ko:K10215	mavd:NF84_00830
ko:K02553	mavd:NF84_00835
ko:K07156	mavd:NF84_00845
ko:K04564	mavd:NF84_00870
ko:K01126	mavd:NF84_00880
ko:K04518	mavd:NF84_00895
ko:K01875	mavd:NF84_00920
ko:K14952	mavd:NF84_00955
ko:K01854	mavd:NF84_00990
ko:K16650	mavd:NF84_00995
ko:K14136	mavd:NF84_01005
ko:K13687	mavd:NF84_01010
ko:K12428	mavd:NF84_01030
ko:K12437	mavd:NF84_01035
ko:K11386	mavd:NF84_01065
ko:K11385	mavd:NF84_01070
ko:K11387	mavd:NF84_01090
ko:K00036	mavd:NF84_05540
ko:K00033	mavd:NF84_05545
ko:K01006	mavd:NF84_05575
ko:K15977	mavd:NF84_05580
ko:K00549	mavd:NF84_05590
ko:K04748	mavd:NF84_05630
ko:K08299	mavd:NF84_05665
ko:K16168	mavd:NF84_05675
ko:K16167	mavd:NF84_05680
ko:K07052	mavd:NF84_05690
ko:K01692	mavd:NF84_05695
ko:K01796	mavd:NF84_05700
ko:K06994	mavd:NF84_05710
ko:K12410	mavd:NF84_05720
ko:K13669	mavd:NF84_05760
ko:K01724	mavd:NF84_05765
ko:K03574	mavd:NF84_05775
ko:K00370	mavd:NF84_05780
ko:K00371	mavd:NF84_05785
ko:K00373	mavd:NF84_05790
ko:K00374	mavd:NF84_05795
ko:K03644	mavd:NF84_10210
ko:K03801	mavd:NF84_10215
ko:K07071	mavd:NF84_10220
ko:K01255	mavd:NF84_10245
ko:K00605	mavd:NF84_10250
ko:K00826	mavd:NF84_10255
ko:K02233	mavd:NF84_10260
ko:K00768	mavd:NF84_10265
ko:K02231	mavd:NF84_10270
ko:K00865	mavd:NF84_10280
ko:K00856	mavd:NF84_10295
ko:K01953	mavd:NF84_10300
ko:K02275	mavd:NF84_10305
ko:K03891	mavd:NF84_10330
ko:K03890	mavd:NF84_10335
ko:K03889	mavd:NF84_10340
ko:K02276	mavd:NF84_10345
ko:K02342	mavd:NF84_10350
ko:K13668	mavd:NF84_10365
ko:K01897	mavd:NF84_10370
ko:K00655	mavd:NF84_10395
ko:K13671	mavd:NF84_10400
ko:K01626	mavd:NF84_10415
ko:K14337	mavd:NF84_10435
ko:K13787	mavd:NF84_10440
ko:K03925	mavd:NF84_10465
ko:K03438	mavd:NF84_10470
ko:K03587	mavd:NF84_10480
ko:K01772	mavd:NF84_14860
ko:K11611	mavd:NF84_14865
ko:K11610	mavd:NF84_14870
ko:K07114	mavd:NF84_14880
ko:K03924	mavd:NF84_14890
ko:K01681	mavd:NF84_14910
ko:K01692	mavd:NF84_14930
ko:K00384	mavd:NF84_14935
ko:K04488	mavd:NF84_14965
ko:K11717	mavd:NF84_14970
ko:K09013	mavd:NF84_14975
ko:K09015	mavd:NF84_14980
ko:K09014	mavd:NF84_14985
ko:K14339	mavd:NF84_14995
ko:K01990	mavd:NF84_15000
ko:K01992	mavd:NF84_15005
ko:K02259	mavd:NF84_15010
ko:K00615	mavd:NF84_15030
ko:K00616	mavd:NF84_15035
ko:K00036	mavd:NF84_15040
ko:K01057	mavd:NF84_15050
ko:K01595	mavd:NF84_15075
ko:K03075	mavd:NF84_15085
ko:K01803	mavd:NF84_15090
ko:K00927	mavd:NF84_15095
ko:K00134	mavd:NF84_15100
ko:K02361	mavd:NF84_19080
ko:K03088	mavd:NF84_19120
ko:K02067	mavd:NF84_20955
ko:K02067	mavd:NF84_20960
ko:K02066	mavd:NF84_20965
ko:K02066	mavd:NF84_20970
ko:K09122	mavd:NF84_21020
ko:K00849	mavd:NF84_21025
ko:K00965	mavd:NF84_21030
ko:K00800	mavd:NF84_19175
ko:K06949	mavd:NF84_19180
ko:K00508	mavd:NF84_19220
ko:K03455	mavd:NF84_19250
ko:K07228	mavd:NF84_19255
ko:K03070	mavd:NF84_19275
ko:K07654	mavd:NF84_19295
ko:K07670	mavd:NF84_19300
ko:K00943	mavd:NF84_19305
ko:K01251	mavd:NF84_19310
ko:K00496	mavd:NF84_19330
ko:K03294	mavd:NF84_19335
ko:K01809	mavd:NF84_19345
ko:K01840	mavd:NF84_19355
ko:K15982	mavd:NF84_02865
ko:K00626	mavd:NF84_02880
ko:K07068	mavd:NF84_02890
ko:K16046	mavd:NF84_02905
ko:K01692	mavd:NF84_02915
ko:K18688	mavd:NF84_02920
ko:K07045	mavd:NF84_02930
ko:K01652	mavd:NF84_02935
ko:K00666	mavd:NF84_02945
ko:K05337	mavd:NF84_02960
ko:K00059	mavd:NF84_02965
ko:K02066	mavd:NF84_02970
ko:K02066	mavd:NF84_02975
ko:K02067	mavd:NF84_02980
ko:K02067	mavd:NF84_02985
ko:K02067	mavd:NF84_02990
ko:K02067	mavd:NF84_02995
ko:K02067	mavd:NF84_03000
ko:K02067	mavd:NF84_03005
ko:K18481	mavd:NF84_03010
ko:K18481	mavd:NF84_03015
ko:K00697	mavd:NF84_03025
ko:K02068	mavd:NF84_03035
ko:K02069	mavd:NF84_03040
ko:K01692	mavd:NF84_03045
ko:K14953	mavd:NF84_03085
ko:K15371	mavd:NF84_07555
ko:K07107	mavd:NF84_07560
ko:K01187	mavd:NF84_07575
ko:K06886	mavd:NF84_07580
ko:K01256	mavd:NF84_07600
ko:K01808	mavd:NF84_07610
ko:K05522	mavd:NF84_07615
ko:K03545	mavd:NF84_07640
ko:K01358	mavd:NF84_07645
ko:K13686	mavd:NF84_01095
ko:K16652	mavd:NF84_01100
ko:K16653	mavd:NF84_01105
ko:K16649	mavd:NF84_01130
ko:K01692	mavd:NF84_01180
ko:K00817	mavd:NF84_01195
ko:K02484	mavd:NF84_01375
ko:K14953	mavd:NF84_01380
ko:K06207	mavd:NF84_05800
ko:K15525	mavd:NF84_05815
ko:K11779	mavd:NF84_05830
ko:K12432	mavd:NF84_05860
ko:K00860	mavd:NF84_05885
ko:K00958	mavd:NF84_05890
ko:K12423	mavd:NF84_05900
ko:K00294	mavd:NF84_05915
ko:K00318	mavd:NF84_05920
ko:K12429	mavd:NF84_05980
ko:K00674	mavd:NF84_05990
ko:K01439	mavd:NF84_06005
ko:K06966	mavd:NF84_06015
ko:K00666	mavd:NF84_06020
ko:K00796	mavd:NF84_06025
ko:K13693	mavd:NF84_06030
ko:K01246	mavd:NF84_06040
ko:K16148	mavd:NF84_06050
ko:K00975	mavd:NF84_06055
ko:K06978	mavd:NF84_06060
ko:K01992	mavd:NF84_06070
ko:K01990	mavd:NF84_06075
ko:K01928	mavd:NF84_10485
ko:K01000	mavd:NF84_10495
ko:K01925	mavd:NF84_10500
ko:K03588	mavd:NF84_10505
ko:K02563	mavd:NF84_10510
ko:K01924	mavd:NF84_10515
ko:K03589	mavd:NF84_10520
ko:K03531	mavd:NF84_10525
ko:K05810	mavd:NF84_10530
ko:K06997	mavd:NF84_10535
ko:K09772	mavd:NF84_10540
ko:K02221	mavd:NF84_10545
ko:K06910	mavd:NF84_10580
ko:K00254	mavd:NF84_10590
ko:K01082	mavd:NF84_10625
ko:K15526	mavd:NF84_10630
ko:K01652	mavd:NF84_10650
ko:K12433	mavd:NF84_10670
ko:K00548	mavd:NF84_10710
ko:K02067	mavd:NF84_10745
ko:K02066	mavd:NF84_10755
ko:K02066	mavd:NF84_10760
ko:K09762	mavd:NF84_15170
ko:K06958	mavd:NF84_15180
ko:K03703	mavd:NF84_15185
ko:K00794	mavd:NF84_15205
ko:K14652	mavd:NF84_15210
ko:K00793	mavd:NF84_15215
ko:K14954	mavd:NF84_15220
ko:K11752	mavd:NF84_15230
ko:K01783	mavd:NF84_15235
ko:K03500	mavd:NF84_15240
ko:K00604	mavd:NF84_15245
ko:K04066	mavd:NF84_15260
ko:K00789	mavd:NF84_15295
ko:K13038	mavd:NF84_15300
ko:K03060	mavd:NF84_15305
ko:K00942	mavd:NF84_15310
ko:K01591	mavd:NF84_15325
ko:K01955	mavd:NF84_15330
ko:K01358	mavd:NF84_07650
ko:K00547	mavd:NF84_07655
ko:K03544	mavd:NF84_07660
ko:K00174	mavd:NF84_07665
ko:K00175	mavd:NF84_07670
ko:K03752	mavd:NF84_07675
ko:K01873	mavd:NF84_07690
ko:K11754	mavd:NF84_07695
ko:K00940	mavd:NF84_07705
ko:K02888	mavd:NF84_07715
ko:K02899	mavd:NF84_07720
ko:K03979	mavd:NF84_07725
ko:K00931	mavd:NF84_07730
ko:K01950	mavd:NF84_07755
ko:K01704	mavd:NF84_07765
ko:K01703	mavd:NF84_07770
ko:K03710	mavd:NF84_07785
ko:K00852	mavd:NF84_07790
ko:K00147	mavd:NF84_07805
ko:K07161	mavd:NF84_07815
ko:K00969	mavd:NF84_07820
ko:K09710	mavd:NF84_07825
ko:K06994	mavd:NF84_07845
ko:K03782	mavd:NF84_12255
ko:K02371	mavd:NF84_12330
ko:K11065	mavd:NF84_12335
ko:K00666	mavd:NF84_12365
ko:K14733	mavd:NF84_12375
ko:K01637	mavd:NF84_12385
ko:K06910	mavd:NF84_12410
ko:K00459	mavd:NF84_12435
ko:K07045	mavd:NF84_12460
ko:K08178	mavd:NF84_12465
ko:K03742	mavd:NF84_12470
ko:K07560	mavd:NF84_12480
ko:K14520	mavd:NF84_12495
ko:K15981	mavd:NF84_12525
ko:K09748	mavd:NF84_16815
ko:K01881	mavd:NF84_16830
ko:K02302	mavd:NF84_16845
ko:K02224	mavd:NF84_16850
ko:K03404	mavd:NF84_16860
ko:K02348	mavd:NF84_16865
ko:K00116	mavd:NF84_16870
ko:K17883	mavd:NF84_16880
ko:K07241	mavd:NF84_16885
ko:K07010	mavd:NF84_16915
ko:K01915	mavd:NF84_16920
ko:K02232	mavd:NF84_16930
ko:K01265	mavd:NF84_16935
ko:K06976	mavd:NF84_16950
ko:K00099	mavd:NF84_16965
ko:K06941	mavd:NF84_16985
ko:K00981	mavd:NF84_16990
ko:K02838	mavd:NF84_16995
ko:K09903	mavd:NF84_17000
ko:K01426	mavd:NF84_17040
ko:K02357	mavd:NF84_17045
ko:K02967	mavd:NF84_17050
ko:K03733	mavd:NF84_17060
ko:K04096	mavd:NF84_17075
ko:K07391	mavd:NF84_17085
ko:K07460	mavd:NF84_17090
ko:K09767	mavd:NF84_21080
ko:K00057	mavd:NF84_21090
ko:K03799	mavd:NF84_21105
ko:K00805	mavd:NF84_21110
ko:K03183	mavd:NF84_21125
ko:K12583	mavd:NF84_21135
ko:K02551	mavd:NF84_21145
ko:K02549	mavd:NF84_21155
ko:K00666	mavd:NF84_21165
ko:K01661	mavd:NF84_21185
ko:K03306	mavd:NF84_21200
ko:K01911	mavd:NF84_21215
ko:K09931	mavd:NF84_21225
ko:K17947	mavd:NF84_21245
ko:K00772	mavd:NF84_21250
ko:K02548	mavd:NF84_21255
ko:K11608	mavd:NF84_21260
ko:K07399	mavd:NF84_21285
ko:K06196	mavd:NF84_21290
ko:K01845	mavd:NF84_21305
ko:K00077	mavd:NF84_21325
ko:K01956	mavd:NF84_15335
ko:K01465	mavd:NF84_15345
ko:K00609	mavd:NF84_15350
ko:K02825	mavd:NF84_15355
ko:K02049	mavd:NF84_15375
ko:K02050	mavd:NF84_15380
ko:K11212	mavd:NF84_19375
ko:K12234	mavd:NF84_19380
ko:K00966	mavd:NF84_19395
ko:K16870	mavd:NF84_19400
ko:K00067	mavd:NF84_19405
ko:K12950	mavd:NF84_19425
ko:K02040	mavd:NF84_19445
ko:K01588	mavd:NF84_19470
ko:K01589	mavd:NF84_19475
ko:K03524	mavd:NF84_19490
ko:K01966	mavd:NF84_19500
ko:K06287	mavd:NF84_19510
ko:K01011	mavd:NF84_19515
ko:K02426	mavd:NF84_19520
ko:K11263	mavd:NF84_19525
ko:K03090	mavd:NF84_19535
ko:K03918	mavd:NF84_19555
ko:K03719	mavd:NF84_19560
ko:K00128	mavd:NF84_19570
ko:K03724	mavd:NF84_19580
ko:K05522	mavd:NF84_19585
ko:K03932	mavd:NF84_19590
ko:K06177	mavd:NF84_19620
ko:K00111	mavd:NF84_19625
ko:K00382	mavd:NF84_19630
ko:K05845	mavd:NF84_01435
ko:K05847	mavd:NF84_01440
ko:K05846	mavd:NF84_01445
ko:K05846	mavd:NF84_01450
ko:K09957	mavd:NF84_01455
ko:K04517	mavd:NF84_01460
ko:K11991	mavd:NF84_01470
ko:K09966	mavd:NF84_01520
ko:K01644	mavd:NF84_01560
ko:K01958	mavd:NF84_01565
ko:K01647	mavd:NF84_01570
ko:K03417	mavd:NF84_01575
ko:K01720	mavd:NF84_01580
ko:K00852	mavd:NF84_01590
ko:K02470	mavd:NF84_00025
ko:K02469	mavd:NF84_00030
ko:K02338	mavd:NF84_00010
ko:K02313	mavd:NF84_00005
ko:K03629	mavd:NF84_00015
ko:K02493	mavd:NF84_01970
ko:K01990	mavd:NF84_01135
ko:K21672	mavd:NF84_07855
ko:K01992	mavd:NF84_01125
ko:K21672	mavd:NF84_11095
ko:K21672	mavd:NF84_04540
ko:K01214	mavd:NF84_18765
ko:K01978	mavd:NF84_23325
ko:K01977	mavd:NF84_06760
ko:K14237	mavd:NF84_16025
ko:K18917	mavd:NF84_18985
ko:K14221	mavd:NF84_03575
ko:K14233	mavd:NF84_01160
ko:K18955	mavd:NF84_02065
ko:K18955	mavd:NF84_20030
