ko:K02029	lhl:LBHH_0678
ko:K03346	lhl:LBHH_0564
ko:K11144	lhl:LBHH_0565
ko:K11069	lhl:LBHH_1404
ko:K11071	lhl:LBHH_1406
ko:K11072	lhl:LBHH_1407
ko:K02342	lhl:LBHH_1409
ko:K00625	lhl:LBHH_1411
ko:K09762	lhl:LBHH_1427
ko:K01835	lhl:LBHH_1433
ko:K06023	lhl:LBHH_1437
ko:K02242	lhl:LBHH_1442
ko:K02240	lhl:LBHH_1443
ko:K00059	lhl:LBHH_1450
ko:K01537	lhl:LBHH_0690
ko:K02056	lhl:LBHH_0693
ko:K01281	lhl:LBHH_0732
ko:K02433	lhl:LBHH_1583
ko:K03095	lhl:LBHH_1589
ko:K01916	lhl:LBHH_1594
ko:K06948	lhl:LBHH_0576
ko:K00016	lhl:LBHH_0599
ko:K01934	lhl:LBHH_0605
ko:K01784	lhl:LBHH_0617
ko:K07404	lhl:LBHH_1459
ko:K10254	lhl:LBHH_1461
ko:K07816	lhl:LBHH_1464
ko:K06198	lhl:LBHH_1467
ko:K08483	lhl:LBHH_1470
ko:K11189	lhl:LBHH_1471
ko:K03697	lhl:LBHH_1473
ko:K03699	lhl:LBHH_1476
ko:K06889	lhl:LBHH_1481
ko:K01641	lhl:LBHH_1489
ko:K00054	lhl:LBHH_1490
ko:K00626	lhl:LBHH_1491
ko:K03294	lhl:LBHH_1503
ko:K10040	lhl:LBHH_1540
ko:K01372	lhl:LBHH_0324
ko:K09698	lhl:LBHH_0330
ko:K00851	lhl:LBHH_0336
ko:K00564	lhl:LBHH_0352
ko:K00016	lhl:LBHH_1205
ko:K00244	lhl:LBHH_1207
ko:K01679	lhl:LBHH_1208
ko:K03492	lhl:LBHH_1230
ko:K03492	lhl:LBHH_1239
ko:K15051	lhl:LBHH_p0020
ko:K10039	lhl:LBHH_1541
ko:K10041	lhl:LBHH_1542
ko:K01409	lhl:LBHH_0367
ko:K01619	lhl:LBHH_0368
ko:K01577	lhl:LBHH_0375
ko:K02808	lhl:LBHH_0382
ko:K02809	lhl:LBHH_0382
ko:K02810	lhl:LBHH_0382
ko:K02428	lhl:LBHH_0407
ko:K00841	lhl:LBHH_1249
ko:K05822	lhl:LBHH_1253
ko:K02238	lhl:LBHH_1267
ko:K07177	lhl:LBHH_1269
ko:K01243	lhl:LBHH_1285
ko:K01515	lhl:LBHH_1287
ko:K01081	lhl:LBHH_0630
ko:K01785	lhl:LBHH_0637
ko:K04488	lhl:LBHH_1519
ko:K00852	lhl:LBHH_1531
ko:K07491	lhl:LBHH_1544
ko:K02824	lhl:LBHH_1559
ko:K02795	lhl:LBHH_1562
ko:K07027	lhl:LBHH_0423
ko:K02077	lhl:LBHH_0429
ko:K00805	lhl:LBHH_0432
ko:K08724	lhl:LBHH_1300
ko:K00244	lhl:LBHH_1321
ko:K06183	lhl:LBHH_1335
ko:K06286	lhl:LBHH_1339
ko:K17836	lhl:LBHH_1658
ko:K01834	lhl:LBHH_0190
ko:K16209	lhl:LBHH_0623
ko:K01834	lhl:LBHH_1080
ko:K16509	lhl:LBHH_1469
ko:K01834	lhl:LBHH_0318
ko:K01838	lhl:LBHH_1934
ko:K16264	lhl:LBHH_0316
ko:K16511	lhl:LBHH_1468
ko:K16169	lhl:LBHH_0233
ko:K05340	lhl:LBHH_1916
ko:K15772	lhl:LBHH_1930
ko:K02851	lhl:LBHH_1445
ko:K15770	lhl:LBHH_1932
ko:K11991	lhl:LBHH_0353
ko:K16786	lhl:LBHH_0305
ko:K16787	lhl:LBHH_0306
ko:K16785	lhl:LBHH_0307
ko:K02027	lhl:LBHH_1660
ko:K02075	lhl:LBHH_1784
ko:K02808	lhl:LBHH_2009
ko:K02809	lhl:LBHH_2009
ko:K02810	lhl:LBHH_2009
ko:K02029	lhl:LBHH_0677
ko:K16925	lhl:LBHH_1547
ko:K16898	lhl:LBHH_0886
ko:K02030	lhl:LBHH_0680
ko:K02030	lhl:LBHH_0948
ko:K16785	lhl:LBHH_1190
ko:K16786	lhl:LBHH_1189
ko:K16787	lhl:LBHH_1189
ko:K07012	lhl:LBHH_0544
ko:K16786	lhl:LBHH_0111
ko:K16787	lhl:LBHH_0111
ko:K14225	lhl:LBHH_tRNA007
ko:K14225	lhl:LBHH_tRNA008
ko:K14225	lhl:LBHH_tRNA016
ko:K14221	lhl:LBHH_tRNA023
ko:K14221	lhl:LBHH_tRNA030
ko:K14231	lhl:LBHH_tRNA024
ko:K14231	lhl:LBHH_tRNA031
ko:K01190	lhl:LBHH_0619
ko:K16785	lhl:LBHH_0110
ko:K14220	lhl:LBHH_tRNA002
ko:K14220	lhl:LBHH_tRNA058
ko:K14220	lhl:LBHH_tRNA038
ko:K14229	lhl:LBHH_tRNA003
ko:K14229	lhl:LBHH_tRNA004
ko:K14229	lhl:LBHH_tRNA013
ko:K14225	lhl:LBHH_tRNA006
ko:K14232	lhl:LBHH_tRNA009
ko:K14232	lhl:LBHH_tRNA019
ko:K14232	lhl:LBHH_tRNA062
ko:K14227	lhl:LBHH_tRNA010
ko:K14227	lhl:LBHH_tRNA026
ko:K14227	lhl:LBHH_tRNA060
ko:K14218	lhl:LBHH_tRNA011
ko:K14218	lhl:LBHH_tRNA059
ko:K14237	lhl:LBHH_tRNA012
ko:K14237	lhl:LBHH_tRNA041
ko:K14237	lhl:LBHH_tRNA049
ko:K14228	lhl:LBHH_tRNA014
ko:K14228	lhl:LBHH_tRNA017
ko:K14219	lhl:LBHH_tRNA018
ko:K14219	lhl:LBHH_tRNA061
ko:K14230	lhl:LBHH_tRNA020
ko:K14230	lhl:LBHH_tRNA022
ko:K14230	lhl:LBHH_tRNA029
ko:K14236	lhl:LBHH_tRNA032
ko:K14236	lhl:LBHH_tRNA055
ko:K14235	lhl:LBHH_tRNA033
ko:K14226	lhl:LBHH_tRNA034
ko:K14226	lhl:LBHH_tRNA050
ko:K14223	lhl:LBHH_tRNA054
ko:K14223	lhl:LBHH_tRNA056
ko:K14228	lhl:LBHH_tRNA037
ko:K14228	lhl:LBHH_tRNA042
ko:K14219	lhl:LBHH_tRNA043
ko:K14219	lhl:LBHH_tRNA047
ko:K14219	lhl:LBHH_tRNA048
ko:K14221	lhl:LBHH_tRNA051
ko:K14228	lhl:LBHH_tRNA053
ko:K16924	lhl:LBHH_1188
ko:K16899	lhl:LBHH_0885
ko:K14234	lhl:LBHH_tRNA001
ko:K14234	lhl:LBHH_tRNA005
ko:K14234	lhl:LBHH_tRNA015
ko:K01980	lhl:LBHH_rRNA002
ko:K01980	lhl:LBHH_rRNA011
ko:K01980	lhl:LBHH_rRNA005
ko:K01980	lhl:LBHH_rRNA008
ko:K01985	lhl:LBHH_rRNA003
ko:K01985	lhl:LBHH_rRNA006
ko:K01985	lhl:LBHH_rRNA009
ko:K01985	lhl:LBHH_rRNA010
ko:K14225	lhl:LBHH_tRNA025
ko:K14224	lhl:LBHH_tRNA027
ko:K14224	lhl:LBHH_tRNA040
ko:K14224	lhl:LBHH_tRNA046
ko:K14233	lhl:LBHH_tRNA052
ko:K14233	lhl:LBHH_tRNA028
ko:K14233	lhl:LBHH_tRNA044
ko:K14233	lhl:LBHH_tRNA039
ko:K14223	lhl:LBHH_tRNA035
ko:K14223	lhl:LBHH_tRNA045
ko:K14222	lhl:LBHH_tRNA036
ko:K14234	lhl:LBHH_tRNA057
ko:K11070	lhl:LBHH_1405
ko:K01992	lhl:LBHH_0487
ko:K01992	lhl:LBHH_0486
ko:K01992	lhl:LBHH_0106
ko:K02029	lhl:LBHH_0143
ko:K02030	lhl:LBHH_0143
ko:K02028	lhl:LBHH_0679
ko:K01992	lhl:LBHH_0520
ko:K01990	lhl:LBHH_0872
ko:K01990	lhl:LBHH_0485
ko:K01990	lhl:LBHH_0519
ko:K02028	lhl:LBHH_0949
ko:K02032	lhl:LBHH_0775
ko:K00951	lhl:LBHH_1175
ko:K02028	lhl:LBHH_0144
ko:K17076	lhl:LBHH_0124
ko:K17073	lhl:LBHH_0125
ko:K17074	lhl:LBHH_0125
ko:K02026	lhl:LBHH_1662
ko:K10112	lhl:LBHH_1933
ko:K01990	lhl:LBHH_0105
ko:K01990	lhl:LBHH_1037
ko:K01990	lhl:LBHH_1042
ko:K01992	lhl:LBHH_1035
ko:K01992	lhl:LBHH_1036
ko:K10112	lhl:LBHH_1664
ko:K17686	lhl:LBHH_2025
ko:K01533	lhl:LBHH_0463
ko:K07284	lhl:LBHH_0828
ko:K06921	lhl:LBHH_1833
ko:K00226	lhl:LBHH_0706
ko:K01791	lhl:LBHH_1498
ko:K17810	lhl:LBHH_0166
ko:K02027	lhl:LBHH_1533
ko:K02027	lhl:LBHH_1699
ko:K00537	lhl:LBHH_0735
ko:K06921	lhl:LBHH_1789
ko:K12574	lhl:LBHH_1277
ko:K01190	lhl:LBHH_0618
ko:K00018	lhl:LBHH_p0008
ko:K00661	lhl:LBHH_0955
ko:K00661	lhl:LBHH_1107
ko:K12574	lhl:LBHH_1263
ko:K01187	lhl:LBHH_1828
ko:K01187	lhl:LBHH_1937
ko:K01071	lhl:LBHH_0363
ko:K21469	lhl:LBHH_2007
ko:K00104	lhl:LBHH_1238
ko:K00928	lhl:LBHH_0848
ko:K01779	lhl:LBHH_1708
ko:K06921	lhl:LBHH_1759
ko:K07478	lhl:LBHH_0962
ko:K00783	lhl:LBHH_0102
ko:K03294	lhl:LBHH_2046
ko:K00925	lhl:LBHH_0998
ko:K02428	lhl:LBHH_1046
ko:K00925	lhl:LBHH_1938
ko:K00925	lhl:LBHH_1940
ko:K07010	lhl:LBHH_1960
ko:K03697	lhl:LBHH_1965
ko:K01223	lhl:LBHH_1231
ko:K03671	lhl:LBHH_0446
ko:K00018	lhl:LBHH_0627
ko:K01752	lhl:LBHH_0682
ko:K02372	lhl:LBHH_0698
ko:K18672	lhl:LBHH_1403
ko:K18682	lhl:LBHH_1446
ko:K18640	lhl:LBHH_p0018
ko:K18692	lhl:LBHH_0395
ko:K18909	lhl:LBHH_0784
ko:K07171	lhl:LBHH_0701
ko:K07497	lhl:LBHH_0976
ko:K07497	lhl:LBHH_0277
ko:K07171	lhl:LBHH_0494
ko:K18892	lhl:LBHH_1548
ko:K06147	lhl:LBHH_1795
ko:K18891	lhl:LBHH_1549
ko:K07473	lhl:LBHH_1685
ko:K03111	lhl:LBHH_0008
ko:K03497	lhl:LBHH_1799
ko:K03496	lhl:LBHH_1800
ko:K03497	lhl:LBHH_1801
ko:K18231	lhl:LBHH_1952
ko:K03502	lhl:LBHH_p0005
ko:K03169	lhl:LBHH_p0011
ko:K03502	lhl:LBHH_0459
ko:K00662	lhl:LBHH_1525
ko:K07473	lhl:LBHH_0723
ko:K00662	lhl:LBHH_0731
ko:K07029	lhl:LBHH_1581
ko:K07483	lhl:LBHH_1920
ko:K19055	lhl:LBHH_0591
ko:K07484	lhl:LBHH_0054
ko:K19005	lhl:LBHH_0424
ko:K13052	lhl:LBHH_0260
ko:K19005	lhl:LBHH_1371
ko:K07498	lhl:LBHH_1673
ko:K09951	lhl:LBHH_0550
ko:K19159	lhl:LBHH_1992
ko:K19158	lhl:LBHH_2056
ko:K02777	lhl:LBHH_1508
ko:K19119	lhl:LBHH_0545
ko:K19157	lhl:LBHH_1065
ko:K05881	lhl:LBHH_0438
ko:K07319	lhl:LBHH_p0023
ko:K01239	lhl:LBHH_1242
ko:K01621	lhl:LBHH_1514
ko:K19117	lhl:LBHH_0546
ko:K19118	lhl:LBHH_0547
ko:K19225	lhl:LBHH_0606
ko:K19167	lhl:LBHH_0371
ko:K00020	lhl:LBHH_0963
ko:K03722	lhl:LBHH_0887
ko:K07496	lhl:LBHH_0824
ko:K07496	lhl:LBHH_1690
ko:K07496	lhl:LBHH_1703
ko:K07496	lhl:LBHH_1707
ko:K07496	lhl:LBHH_1764
ko:K07496	lhl:LBHH_1819
ko:K07496	lhl:LBHH_0091
ko:K07496	lhl:LBHH_1863
ko:K07496	lhl:LBHH_1876
ko:K07496	lhl:LBHH_0187
ko:K07496	lhl:LBHH_1045
ko:K07496	lhl:LBHH_1890
ko:K07496	lhl:LBHH_0219
ko:K07496	lhl:LBHH_0247
ko:K07496	lhl:LBHH_1089
ko:K07496	lhl:LBHH_1115
ko:K07496	lhl:LBHH_1987
ko:K07496	lhl:LBHH_1997
ko:K07496	lhl:LBHH_2016
ko:K07496	lhl:LBHH_0326
ko:K07496	lhl:LBHH_1389
ko:K07496	lhl:LBHH_0695
ko:K07496	lhl:LBHH_1598
ko:K12952	lhl:LBHH_1214
ko:K04771	lhl:LBHH_0101
ko:K08217	lhl:LBHH_0465
ko:K19302	lhl:LBHH_0433
ko:K19350	lhl:LBHH_1077
ko:K06881	lhl:LBHH_0394
ko:K02796	lhl:LBHH_1641
ko:K02796	lhl:LBHH_1563
ko:K21636	lhl:LBHH_0168
ko:K00527	lhl:LBHH_0061
ko:K18889	lhl:LBHH_0798
ko:K20074	lhl:LBHH_0762
ko:K12132	lhl:LBHH_0763
ko:K07484	lhl:LBHH_0847
ko:K20112	lhl:LBHH_0154
ko:K20265	lhl:LBHH_0079
ko:K18890	lhl:LBHH_0799
ko:K07571	lhl:LBHH_0261
ko:K01104	lhl:LBHH_1942
ko:K01208	lhl:LBHH_1936
ko:K06147	lhl:LBHH_1038
ko:K08968	lhl:LBHH_0268
ko:K00526	lhl:LBHH_1883
ko:K02314	lhl:LBHH_0020
ko:K00857	lhl:LBHH_1362
ko:K03553	lhl:LBHH_1447
ko:K07313	lhl:LBHH_1612
ko:K06217	lhl:LBHH_0858
ko:K02316	lhl:LBHH_0864
ko:K04068	lhl:LBHH_0169
ko:K01493	lhl:LBHH_0207
ko:K01520	lhl:LBHH_0328
ko:K00287	lhl:LBHH_1216
ko:K00560	lhl:LBHH_1217
ko:K03293	lhl:LBHH_1962
ko:K02003	lhl:LBHH_2001
ko:K02004	lhl:LBHH_2001
ko:K00525	lhl:LBHH_1881
ko:K02335	lhl:LBHH_0560
ko:K02031	lhl:LBHH_0774
ko:K01101	lhl:LBHH_0417
ko:K03293	lhl:LBHH_1961
ko:K03293	lhl:LBHH_1218
ko:K07025	lhl:LBHH_0069
ko:K08728	lhl:LBHH_0153
ko:K07497	lhl:LBHH_1070
ko:K07497	lhl:LBHH_0272
ko:K21567	lhl:LBHH_0420
ko:K21498	lhl:LBHH_0108
ko:K21562	lhl:LBHH_1018
ko:K21929	lhl:LBHH_0793
ko:K22044	lhl:LBHH_0408
ko:K03547	lhl:LBHH_0509
ko:K17758	lhl:LBHH_0473
ko:K22393	lhl:LBHH_1807
ko:K22394	lhl:LBHH_1806
ko:K22441	lhl:LBHH_1696
