ko:K03293	sage:EN72_08165
ko:K02906	sage:EN72_00470
ko:K02926	sage:EN72_00475
ko:K02892	sage:EN72_00480
ko:K02886	sage:EN72_00485
ko:K02965	sage:EN72_00490
ko:K02890	sage:EN72_00495
ko:K02982	sage:EN72_00500
ko:K02878	sage:EN72_00505
ko:K02904	sage:EN72_00510
ko:K02961	sage:EN72_00515
ko:K02874	sage:EN72_00520
ko:K02895	sage:EN72_00525
ko:K02931	sage:EN72_00530
ko:K02954	sage:EN72_00535
ko:K02994	sage:EN72_00540
ko:K02933	sage:EN72_00545
ko:K02881	sage:EN72_00550
ko:K02988	sage:EN72_00555
ko:K02907	sage:EN72_00560
ko:K02876	sage:EN72_00565
ko:K03076	sage:EN72_00570
ko:K00939	sage:EN72_00575
ko:K02518	sage:EN72_00580
ko:K02952	sage:EN72_00585
ko:K02948	sage:EN72_00590
ko:K03040	sage:EN72_00595
ko:K02879	sage:EN72_00600
ko:K07729	sage:EN72_01615
ko:K03790	sage:EN72_01625
ko:K03088	sage:EN72_01640
ko:K01990	sage:EN72_01660
ko:K10947	sage:EN72_01670
ko:K01443	sage:EN72_01680
ko:K01878	sage:EN72_01690
ko:K01118	sage:EN72_01695
ko:K01879	sage:EN72_01700
ko:K00864	sage:EN72_01715
ko:K00105	sage:EN72_01720
ko:K02440	sage:EN72_01725
ko:K00615	sage:EN72_01740
ko:K01990	sage:EN72_01750
ko:K01992	sage:EN72_01755
ko:K02809	sage:EN72_01760
ko:K02810	sage:EN72_01760
ko:K00931	sage:EN72_01765
ko:K00147	sage:EN72_01770
ko:K03438	sage:EN72_01775
ko:K12556	sage:EN72_01785
ko:K01000	sage:EN72_01790
ko:K18692	sage:EN72_01795
ko:K02030	sage:EN72_01800
ko:K02029	sage:EN72_01805
ko:K02028	sage:EN72_01810
ko:K00384	sage:EN72_01820
ko:K00763	sage:EN72_01825
ko:K01916	sage:EN72_01830
ko:K01372	sage:EN72_01835
ko:K05366	sage:EN72_01840
ko:K03700	sage:EN72_01845
ko:K07444	sage:EN72_01860
ko:K07173	sage:EN72_01870
ko:K18682	sage:EN72_01875
ko:K02935	sage:EN72_07275
ko:K02864	sage:EN72_07280
ko:K04086	sage:EN72_07285
ko:K00547	sage:EN72_07290
ko:K16235	sage:EN72_07295
ko:K02821	sage:EN72_09810
ko:K02822	sage:EN72_09815
ko:K03475	sage:EN72_09820
ko:K01939	sage:EN72_09835
ko:K01919	sage:EN72_09850
ko:K04083	sage:EN72_09865
ko:K03823	sage:EN72_09880
ko:K03696	sage:EN72_09885
ko:K03708	sage:EN72_09890
ko:K02357	sage:EN72_09900
ko:K02967	sage:EN72_09905
ko:K03386	sage:EN72_09910
ko:K03387	sage:EN72_09915
ko:K03316	sage:EN72_09925
ko:K07386	sage:EN72_09940
ko:K01462	sage:EN72_09960
ko:K02747	sage:EN72_09975
ko:K02746	sage:EN72_09980
ko:K02745	sage:EN72_09985
ko:K18581	sage:EN72_09990
ko:K02744	sage:EN72_09995
ko:K00046	sage:EN72_10000
ko:K00874	sage:EN72_10010
ko:K01625	sage:EN72_10015
ko:K07078	sage:EN72_10020
ko:K03763	sage:EN72_10030
ko:K01881	sage:EN72_10040
ko:K11749	sage:EN72_10045
ko:K00981	sage:EN72_10050
ko:K00806	sage:EN72_10055
ko:K03210	sage:EN72_10060
ko:K02110	sage:EN72_05020
ko:K02108	sage:EN72_05025
ko:K02109	sage:EN72_05030
ko:K02113	sage:EN72_05035
ko:K02111	sage:EN72_05040
ko:K02115	sage:EN72_05045
ko:K09962	sage:EN72_00715
ko:K12296	sage:EN72_00725
ko:K07260	sage:EN72_00735
ko:K03705	sage:EN72_00745
ko:K03687	sage:EN72_00750
ko:K04043	sage:EN72_00755
ko:K03686	sage:EN72_00760
ko:K06173	sage:EN72_00770
ko:K00868	sage:EN72_00775
ko:K03545	sage:EN72_00795
ko:K03048	sage:EN72_00800
ko:K01937	sage:EN72_00805
ko:K06889	sage:EN72_00810
ko:K04485	sage:EN72_00825
ko:K01673	sage:EN72_00830
ko:K09698	sage:EN72_00840
ko:K10439	sage:EN72_00845
ko:K10440	sage:EN72_00850
ko:K10441	sage:EN72_00855
ko:K06726	sage:EN72_00860
ko:K00852	sage:EN72_00865
ko:K02529	sage:EN72_00870
ko:K02004	sage:EN72_00875
ko:K02003	sage:EN72_00880
ko:K01940	sage:EN72_00895
ko:K01755	sage:EN72_00900
ko:K01624	sage:EN72_00905
ko:K00016	sage:EN72_00910
ko:K02902	sage:EN72_00915
ko:K07030	sage:EN72_00925
ko:K17076	sage:EN72_00945
ko:K17073	sage:EN72_00950
ko:K17074	sage:EN72_00950
ko:K06153	sage:EN72_00960
ko:K16511	sage:EN72_00965
ko:K01990	sage:EN72_01880
ko:K01992	sage:EN72_01885
ko:K07778	sage:EN72_01890
ko:K00942	sage:EN72_01905
ko:K03060	sage:EN72_01910
ko:K04066	sage:EN72_01915
ko:K00604	sage:EN72_01920
ko:K03500	sage:EN72_01925
ko:K11617	sage:EN72_01945
ko:K11618	sage:EN72_01950
ko:K03768	sage:EN72_01955
ko:K07570	sage:EN72_01960
ko:K04069	sage:EN72_01965
ko:K02759	sage:EN72_01980
ko:K02760	sage:EN72_01985
ko:K02761	sage:EN72_01990
ko:K00656	sage:EN72_01995
ko:K00005	sage:EN72_02005
ko:K01738	sage:EN72_02010
ko:K02240	sage:EN72_02020
ko:K05808	sage:EN72_02030
ko:K00928	sage:EN72_02060
ko:K18474	sage:EN72_02070
ko:K00648	sage:EN72_02080
ko:K02078	sage:EN72_02085
ko:K02371	sage:EN72_02090
ko:K00645	sage:EN72_02095
ko:K00059	sage:EN72_02100
ko:K09458	sage:EN72_02105
ko:K02160	sage:EN72_02110
ko:K02372	sage:EN72_02115
ko:K01961	sage:EN72_02120
ko:K01963	sage:EN72_02125
ko:K01962	sage:EN72_02130
ko:K01875	sage:EN72_02140
ko:K02795	sage:EN72_02160
ko:K02793	sage:EN72_02165
ko:K02794	sage:EN72_02165
ko:K03589	sage:EN72_02775
ko:K03590	sage:EN72_02780
ko:K03531	sage:EN72_02785
ko:K06997	sage:EN72_02790
ko:K09772	sage:EN72_02795
ko:K02221	sage:EN72_02800
ko:K04074	sage:EN72_02810
ko:K01870	sage:EN72_02815
ko:K03574	sage:EN72_02825
ko:K03697	sage:EN72_02830
ko:K02029	sage:EN72_02840
ko:K02028	sage:EN72_02845
ko:K01491	sage:EN72_02855
ko:K03601	sage:EN72_02865
ko:K03602	sage:EN72_02870
ko:K13789	sage:EN72_02875
ko:K06442	sage:EN72_02880
ko:K03402	sage:EN72_02885
ko:K03631	sage:EN72_02890
ko:K03530	sage:EN72_02910
ko:K00226	sage:EN72_02920
ko:K12554	sage:EN72_02925
ko:K05363	sage:EN72_02930
ko:K05363	sage:EN72_02935
ko:K06885	sage:EN72_02945
ko:K01537	sage:EN72_02955
ko:K04041	sage:EN72_02965
ko:K02836	sage:EN72_02975
ko:K09812	sage:EN72_02980
ko:K09811	sage:EN72_02985
ko:K03366	sage:EN72_03000
ko:K01893	sage:EN72_03015
ko:K16923	sage:EN72_03020
ko:K06958	sage:EN72_03035
ko:K09762	sage:EN72_03045
ko:K08659	sage:EN72_03050
ko:K09815	sage:EN72_03055
ko:K02909	sage:EN72_03060
ko:K03978	sage:EN72_07315
ko:K03544	sage:EN72_07320
ko:K01641	sage:EN72_07340
ko:K00054	sage:EN72_07345
ko:K11068	sage:EN72_07355
ko:K01823	sage:EN72_07375
ko:K00938	sage:EN72_07380
ko:K01597	sage:EN72_07385
ko:K00869	sage:EN72_07390
ko:K06147	sage:EN72_07410
ko:K06147	sage:EN72_07415
ko:K01081	sage:EN72_07425
ko:K01462	sage:EN72_07430
ko:K00262	sage:EN72_07435
ko:K18888	sage:EN72_07445
ko:K18887	sage:EN72_07450
ko:K03828	sage:EN72_07455
ko:K15738	sage:EN72_07460
ko:K00974	sage:EN72_07465
ko:K02768	sage:EN72_07490
ko:K02769	sage:EN72_07490
ko:K02770	sage:EN72_07490
ko:K00882	sage:EN72_07495
ko:K03436	sage:EN72_07500
ko:K12554	sage:EN72_07505
ko:K00077	sage:EN72_07515
ko:K07035	sage:EN72_07520
ko:K00554	sage:EN72_07530
ko:K02860	sage:EN72_07535
ko:K06960	sage:EN72_07555
ko:K02959	sage:EN72_07560
ko:K02004	sage:EN72_07565
ko:K02003	sage:EN72_07570
ko:K02005	sage:EN72_07575
ko:K00027	sage:EN72_10070
ko:K01784	sage:EN72_10090
ko:K10112	sage:EN72_10100
ko:K01635	sage:EN72_10115
ko:K00917	sage:EN72_10120
ko:K01819	sage:EN72_10125
ko:K01819	sage:EN72_10130
ko:K01186	sage:EN72_10135
ko:K02530	sage:EN72_10155
ko:K09815	sage:EN72_10165
ko:K07560	sage:EN72_10170
ko:K00951	sage:EN72_10175
ko:K01119	sage:EN72_10180
ko:K03647	sage:EN72_10185
ko:K02012	sage:EN72_10205
ko:K07720	sage:EN72_10210
ko:K02795	sage:EN72_10225
ko:K02794	sage:EN72_10230
ko:K02793	sage:EN72_10235
ko:K01071	sage:EN72_05190
ko:K03111	sage:EN72_09225
ko:K03169	sage:EN72_07045
ko:K03205	sage:EN72_07135
ko:K03205	sage:EN72_07225
ko:K03111	sage:EN72_01215
ko:K03111	sage:EN72_03250
ko:K07473	sage:EN72_10545
ko:K07473	sage:EN72_10625
ko:K05593	sage:EN72_10640
ko:K07467	sage:EN72_03610
ko:K18220	sage:EN72_03650
ko:K07029	sage:EN72_04990
ko:K02315	sage:EN72_07150
ko:K19002	sage:EN72_04295
ko:K19055	sage:EN72_08445
ko:K18979	sage:EN72_02970
ko:K13052	sage:EN72_00055
ko:K07483	sage:EN72_06780
ko:K07483	sage:EN72_06830
ko:K15051	sage:EN72_03565
ko:K19005	sage:EN72_07675
ko:K11049	sage:EN72_04055
ko:K11048	sage:EN72_04050
ko:K08652	sage:EN72_06820
ko:K02476	sage:EN72_10080
ko:K02475	sage:EN72_10085
ko:K08652	sage:EN72_02485
ko:K11052	sage:EN72_04080
ko:K11047	sage:EN72_04045
ko:K11056	sage:EN72_04100
ko:K11055	sage:EN72_04095
ko:K11054	sage:EN72_04090
ko:K01621	sage:EN72_09740
ko:K01239	sage:EN72_03025
ko:K01897	sage:EN72_02725
ko:K05881	sage:EN72_08935
ko:K01710	sage:EN72_06635
ko:K09951	sage:EN72_05215
ko:K19137	sage:EN72_05220
ko:K03722	sage:EN72_03005
ko:K01992	sage:EN72_01655
ko:K19302	sage:EN72_07780
ko:K04771	sage:EN72_11485
ko:K21977	sage:EN72_05940
ko:K00561	sage:EN72_06990
ko:K06881	sage:EN72_03065
ko:K01654	sage:EN72_06455
ko:K00887	sage:EN72_08250
ko:K02796	sage:EN72_02155
ko:K02796	sage:EN72_10220
ko:K11045	sage:EN72_10715
ko:K01271	sage:EN72_04275
ko:K00526	sage:EN72_04825
ko:K19689	sage:EN72_08125
ko:K01978	sage:EN72_11495
ko:K00547	sage:EN72_10735
ko:K00297	sage:EN72_10735
ko:K02538	sage:EN72_09430
ko:K12990	sage:EN72_07825
ko:K21636	sage:EN72_10910
ko:K11706	sage:EN72_08380
ko:K11705	sage:EN72_08375
ko:K20074	sage:EN72_01930
ko:K12132	sage:EN72_01935
ko:K20073	sage:EN72_01865
ko:K20112	sage:EN72_10150
ko:K02777	sage:EN72_10275
ko:K20107	sage:EN72_10275
ko:K20108	sage:EN72_10275
ko:K20114	sage:EN72_10140
ko:K20113	sage:EN72_10145
ko:K20342	sage:EN72_00415
ko:K20373	sage:EN72_08210
ko:K00525	sage:EN72_04830
ko:K00526	sage:EN72_02495
ko:K20344	sage:EN72_10255
ko:K18889	sage:EN72_02690
ko:K18890	sage:EN72_02695
ko:K02525	sage:EN72_09785
ko:K01200	sage:EN72_04995
ko:K14233	sage:EN72_00225
ko:K14233	sage:EN72_00660
ko:K14233	sage:EN72_01550
ko:K01977	sage:EN72_00085
ko:K01977	sage:EN72_02035
ko:K01977	sage:EN72_00150
ko:K01977	sage:EN72_01510
ko:K01977	sage:EN72_00605
ko:K01977	sage:EN72_01035
ko:K01977	sage:EN72_02420
ko:K01980	sage:EN72_00095
ko:K01980	sage:EN72_00615
ko:K01980	sage:EN72_00160
ko:K01980	sage:EN72_02430
ko:K01980	sage:EN72_01520
ko:K01980	sage:EN72_01045
ko:K01980	sage:EN72_02045
ko:K21064	sage:EN72_02170
ko:K08968	sage:EN72_04870
ko:K01985	sage:EN72_00100
ko:K01985	sage:EN72_01525
ko:K01985	sage:EN72_00620
ko:K01985	sage:EN72_00165
ko:K01985	sage:EN72_02050
ko:K14220	sage:EN72_01055
ko:K14228	sage:EN72_00815
ko:K14225	sage:EN72_02445
ko:K14225	sage:EN72_01535
ko:K14219	sage:EN72_06385
ko:K14230	sage:EN72_00230
ko:K14230	sage:EN72_01555
ko:K14230	sage:EN72_00665
ko:K14227	sage:EN72_00245
ko:K14227	sage:EN72_02450
ko:K14227	sage:EN72_01540
ko:K14227	sage:EN72_00650
ko:K14233	sage:EN72_00250
ko:K14233	sage:EN72_02245
ko:K14233	sage:EN72_03310
ko:K14224	sage:EN72_00655
ko:K14224	sage:EN72_02455
ko:K14224	sage:EN72_01545
ko:K14224	sage:EN72_11470
ko:K14224	sage:EN72_07540
ko:K14236	sage:EN72_00675
ko:K14236	sage:EN72_01565
ko:K14236	sage:EN72_06400
ko:K14226	sage:EN72_00685
ko:K14226	sage:EN72_01575
ko:K14226	sage:EN72_00690
ko:K01985	sage:EN72_01050
ko:K01985	sage:EN72_02435
ko:K00558	sage:EN72_07040
ko:K00558	sage:EN72_07255
ko:K01520	sage:EN72_00820
ko:K00287	sage:EN72_07330
ko:K00560	sage:EN72_07335
ko:K01286	sage:EN72_01000
ko:K02315	sage:EN72_03220
ko:K07451	sage:EN72_03760
ko:K00558	sage:EN72_03775
ko:K00525	sage:EN72_02505
ko:K14221	sage:EN72_00110
ko:K14221	sage:EN72_00630
ko:K14221	sage:EN72_00175
ko:K06191	sage:EN72_04835
ko:K02316	sage:EN72_07905
ko:K06217	sage:EN72_08275
ko:K04068	sage:EN72_10890
ko:K03553	sage:EN72_10945
ko:K06919	sage:EN72_11205
ko:K00857	sage:EN72_06005
ko:K02314	sage:EN72_11295
ko:K01493	sage:EN72_09185
ko:K14235	sage:EN72_00680
ko:K14235	sage:EN72_01570
ko:K02335	sage:EN72_02310
ko:K02032	sage:EN72_01265
ko:K00571	sage:EN72_01155
ko:K14220	sage:EN72_02055
ko:K14220	sage:EN72_11465
ko:K14222	sage:EN72_09920
ko:K14218	sage:EN72_00090
ko:K14218	sage:EN72_01515
ko:K14218	sage:EN72_02425
ko:K14218	sage:EN72_00610
ko:K14218	sage:EN72_00155
ko:K14218	sage:EN72_02040
ko:K14218	sage:EN72_01040
ko:K14228	sage:EN72_00120
ko:K14228	sage:EN72_00640
ko:K14228	sage:EN72_00185
ko:K14228	sage:EN72_00135
ko:K14228	sage:EN72_00200
ko:K14228	sage:EN72_00700
ko:K14228	sage:EN72_01585
ko:K14234	sage:EN72_00125
ko:K14234	sage:EN72_00190
ko:K14234	sage:EN72_00645
ko:K14234	sage:EN72_02580
ko:K14225	sage:EN72_00130
ko:K14225	sage:EN72_00195
ko:K14225	sage:EN72_00240
ko:K14219	sage:EN72_00140
ko:K14219	sage:EN72_00205
ko:K14219	sage:EN72_03095
ko:K14219	sage:EN72_11475
ko:K14230	sage:EN72_00215
ko:K14230	sage:EN72_00220
ko:K14229	sage:EN72_10380
ko:K14232	sage:EN72_00145
ko:K14232	sage:EN72_00210
ko:K14231	sage:EN72_00235
ko:K14231	sage:EN72_00670
ko:K14231	sage:EN72_01560
ko:K14223	sage:EN72_00695
ko:K14223	sage:EN72_06395
ko:K14223	sage:EN72_07545
ko:K14223	sage:EN72_01580
ko:K14229	sage:EN72_00115
ko:K14229	sage:EN72_00635
ko:K14229	sage:EN72_00180
ko:K14237	sage:EN72_00105
ko:K14237	sage:EN72_01530
ko:K14237	sage:EN72_00625
ko:K14237	sage:EN72_02440
ko:K14237	sage:EN72_00170
ko:K01101	sage:EN72_05195
ko:K01759	sage:EN72_08420
ko:K07497	sage:EN72_06800
ko:K21471	sage:EN72_00255
ko:K00863	sage:EN72_08910
ko:K21567	sage:EN72_07525
ko:K21828	sage:EN72_11405
ko:K22044	sage:EN72_00790
ko:K00015	sage:EN72_09775
ko:K03595	sage:EN72_08245
ko:K03077	sage:EN72_09795
ko:K03078	sage:EN72_09805
ko:K22278	sage:EN72_04855
ko:K17758	sage:EN72_02860
ko:K03079	sage:EN72_09800
ko:K22441	sage:EN72_05085
ko:K22457	sage:EN72_03010
