ko:K00343	xfn:XfasM23_0253
ko:K02988	xfn:XfasM23_0450
ko:K02907	xfn:XfasM23_0451
ko:K02876	xfn:XfasM23_0452
ko:K02952	xfn:XfasM23_0454
ko:K02948	xfn:XfasM23_0455
ko:K02986	xfn:XfasM23_0456
ko:K02967	xfn:XfasM23_2066
ko:K00573	xfn:XfasM23_2068
ko:K03269	xfn:XfasM23_2070
ko:K00937	xfn:XfasM23_2072
ko:K03676	xfn:XfasM23_2076
ko:K09159	xfn:XfasM23_0346
ko:K09808	xfn:XfasM23_0348
ko:K03559	xfn:XfasM23_0352
ko:K02914	xfn:XfasM23_2226
ko:K01356	xfn:XfasM23_0085
ko:K06894	xfn:XfasM23_0541
ko:K01007	xfn:XfasM23_0548
ko:K09773	xfn:XfasM23_0549
ko:K09920	xfn:XfasM23_0550
ko:K03111	xfn:XfasM23_2263
ko:K02837	xfn:XfasM23_0130
ko:K03424	xfn:XfasM23_0133
ko:K02437	xfn:XfasM23_0135
ko:K00605	xfn:XfasM23_0136
ko:K07340	xfn:XfasM23_0137
ko:K08312	xfn:XfasM23_0141
ko:K00891	xfn:XfasM23_0611
ko:K03557	xfn:XfasM23_0858
ko:K03609	xfn:XfasM23_0597
ko:K03110	xfn:XfasM23_0936
ko:K03703	xfn:XfasM23_1410
ko:K02358	xfn:XfasM23_2101
ko:K02355	xfn:XfasM23_2102
ko:K02992	xfn:XfasM23_2103
ko:K02950	xfn:XfasM23_2104
ko:K03046	xfn:XfasM23_2105
ko:K03215	xfn:XfasM23_1470
ko:K02014	xfn:XfasM23_1806
ko:K00783	xfn:XfasM23_1807
ko:K03702	xfn:XfasM23_1833
ko:K01714	xfn:XfasM23_1836
ko:K03567	xfn:XfasM23_1837
ko:K03564	xfn:XfasM23_1838
ko:K07175	xfn:XfasM23_1840
ko:K00946	xfn:XfasM23_1843
ko:K03625	xfn:XfasM23_1844
ko:K00793	xfn:XfasM23_1847
ko:K02935	xfn:XfasM23_2107
ko:K02864	xfn:XfasM23_2108
ko:K02863	xfn:XfasM23_2110
ko:K02867	xfn:XfasM23_2111
ko:K02601	xfn:XfasM23_2112
ko:K06942	xfn:XfasM23_2115
ko:K02897	xfn:XfasM23_2117
ko:K00948	xfn:XfasM23_2118
ko:K00919	xfn:XfasM23_2119
ko:K02494	xfn:XfasM23_2120
ko:K02492	xfn:XfasM23_2122
ko:K02835	xfn:XfasM23_2123
ko:K07738	xfn:XfasM23_1849
ko:K01142	xfn:XfasM23_0121
ko:K01991	xfn:XfasM23_1482
ko:K00052	xfn:XfasM23_1483
ko:K08218	xfn:XfasM23_0122
ko:K01866	xfn:XfasM23_0125
ko:K07400	xfn:XfasM23_2084
ko:K01724	xfn:XfasM23_2085
ko:K03832	xfn:XfasM23_2086
ko:K06179	xfn:XfasM23_2087
ko:K08300	xfn:XfasM23_2088
ko:K07146	xfn:XfasM23_2090
ko:K03704	xfn:XfasM23_2098
ko:K03799	xfn:XfasM23_2100
ko:K03585	xfn:XfasM23_0828
ko:K01154	xfn:XfasM23_2176
ko:K03590	xfn:XfasM23_1965
ko:K05516	xfn:XfasM23_1364
ko:K03666	xfn:XfasM23_0058
ko:K00239	xfn:XfasM23_0344
ko:K06941	xfn:XfasM23_1716
ko:K03594	xfn:XfasM23_1768
ko:K07799	xfn:XfasM23_1488
ko:K00558	xfn:XfasM23_0606
ko:K03667	xfn:XfasM23_0738
ko:K03610	xfn:XfasM23_0598
ko:K09007	xfn:XfasM23_0825
ko:K06178	xfn:XfasM23_1556
ko:K03592	xfn:XfasM23_0414
ko:K02460	xfn:XfasM23_0775
ko:K02600	xfn:XfasM23_0178
ko:K03608	xfn:XfasM23_0596
ko:K02650	xfn:XfasM23_1143
ko:K02114	xfn:XfasM23_0423
ko:K01673	xfn:XfasM23_1903
ko:K02160	xfn:XfasM23_0033
ko:K01903	xfn:XfasM23_2037
ko:K00163	xfn:XfasM23_1590
ko:K07345	xfn:XfasM23_0054
ko:K10914	xfn:XfasM23_0792
ko:K08084	xfn:XfasM23_1834
ko:K08084	xfn:XfasM23_0019
ko:K02665	xfn:XfasM23_1786
ko:K01902	xfn:XfasM23_2038
ko:K03655	xfn:XfasM23_1798
ko:K01623	xfn:XfasM23_1946
ko:K08296	xfn:XfasM23_0378
ko:K01883	xfn:XfasM23_0281
ko:K03786	xfn:XfasM23_0032
ko:K02335	xfn:XfasM23_0390
ko:K09823	xfn:XfasM23_1951
ko:K03582	xfn:XfasM23_1746
ko:K00957	xfn:XfasM23_0753
ko:K01588	xfn:XfasM23_2137
ko:K03581	xfn:XfasM23_1744
ko:K03583	xfn:XfasM23_1747
ko:K01448	xfn:XfasM23_2003
ko:K02462	xfn:XfasM23_0777
ko:K02463	xfn:XfasM23_0778
ko:K09696	xfn:XfasM23_1445
ko:K09697	xfn:XfasM23_1446
ko:K02343	xfn:XfasM23_1123
ko:K01662	xfn:XfasM23_1378
ko:K00111	xfn:XfasM23_1387
ko:K02440	xfn:XfasM23_1388
ko:K00864	xfn:XfasM23_1389
ko:K00549	xfn:XfasM23_1392
ko:K09765	xfn:XfasM23_1393
ko:K01875	xfn:XfasM23_1402
ko:K03832	xfn:XfasM23_1403
ko:K00995	xfn:XfasM23_1411
ko:K01698	xfn:XfasM23_1414
ko:K01845	xfn:XfasM23_1419
ko:K03593	xfn:XfasM23_1420
ko:K00979	xfn:XfasM23_1421
ko:K03470	xfn:XfasM23_0317
ko:K03469	xfn:XfasM23_1297
ko:K02529	xfn:XfasM23_0717
ko:K00799	xfn:XfasM23_0484
ko:K10715	xfn:XfasM23_0400
ko:K00658	xfn:XfasM23_0802
ko:K02657	xfn:XfasM23_0893
ko:K02659	xfn:XfasM23_0894
ko:K02455	xfn:XfasM23_0770
ko:K01962	xfn:XfasM23_0152
ko:K09001	xfn:XfasM23_0123
ko:K02674	xfn:XfasM23_0023
ko:K03466	xfn:XfasM23_0704
ko:K03760	xfn:XfasM23_1783
ko:K03169	xfn:XfasM23_1087
ko:K03569	xfn:XfasM23_0587
ko:K00567	xfn:XfasM23_2079
ko:K06958	xfn:XfasM23_0667
ko:K03316	xfn:XfasM23_0840
ko:K00832	xfn:XfasM23_0026
ko:K01895	xfn:XfasM23_1381
ko:K03772	xfn:XfasM23_1245
ko:K00030	xfn:XfasM23_2077
ko:K07774	xfn:XfasM23_0257
ko:K01834	xfn:XfasM23_0953
ko:K07637	xfn:XfasM23_1772
ko:K07660	xfn:XfasM23_1773
ko:K01625	xfn:XfasM23_0334
ko:K00265	xfn:XfasM23_2166
ko:K07052	xfn:XfasM23_0006
ko:K07657	xfn:XfasM23_2074
ko:K01525	xfn:XfasM23_1290
ko:K01259	xfn:XfasM23_0763
ko:K07788	xfn:XfasM23_1489
ko:K12297	xfn:XfasM23_2125
ko:K01768	xfn:XfasM23_1469
ko:K03169	xfn:XfasM23_2246
ko:K01056	xfn:XfasM23_2116
ko:K02622	xfn:XfasM23_0564
ko:K02621	xfn:XfasM23_0624
ko:K12251	xfn:XfasM23_1545
ko:K08964	xfn:XfasM23_1343
ko:K04517	xfn:XfasM23_1453
ko:K12308	xfn:XfasM23_1933
ko:K09164	xfn:XfasM23_2001
ko:K04763	xfn:XfasM23_0684
ko:K03686	xfn:XfasM23_1454
ko:K01953	xfn:XfasM23_0082
ko:K04047	xfn:XfasM23_0650
ko:K00970	xfn:XfasM23_0171
ko:K00821	xfn:XfasM23_0686
ko:K01874	xfn:XfasM23_1678
ko:K01890	xfn:XfasM23_2015
ko:K02563	xfn:XfasM23_1969
ko:K03075	xfn:XfasM23_0239
ko:K03092	xfn:XfasM23_0670
ko:K04567	xfn:XfasM23_0398
ko:K03648	xfn:XfasM23_2152
ko:K02674	xfn:XfasM23_1703
ko:K11103	xfn:XfasM23_0264
ko:K03040	xfn:XfasM23_0457
ko:K03551	xfn:XfasM23_0944
ko:K11211	xfn:XfasM23_1292
ko:K02664	xfn:XfasM23_1787
ko:K02501	xfn:XfasM23_1349
ko:K10954	xfn:XfasM23_0988
ko:K06187	xfn:XfasM23_1121
ko:K03553	xfn:XfasM23_0086
ko:K03076	xfn:XfasM23_0453
ko:K03789	xfn:XfasM23_1731
ko:K03554	xfn:XfasM23_1662
ko:K01447	xfn:XfasM23_2127
ko:K01682	xfn:XfasM23_0227
ko:K11085	xfn:XfasM23_0353
ko:K01878	xfn:XfasM23_0888
ko:K02316	xfn:XfasM23_1739
ko:K01892	xfn:XfasM23_1355
ko:K02673	xfn:XfasM23_0022
ko:K03070	xfn:XfasM23_1959
ko:K07636	xfn:XfasM23_2073
ko:K07568	xfn:XfasM23_0592
ko:K09811	xfn:XfasM23_2154
ko:K07090	xfn:XfasM23_1999
ko:K01159	xfn:XfasM23_0941
ko:K03496	xfn:XfasM23_1400
ko:K01658	xfn:XfasM23_0158
ko:K01879	xfn:XfasM23_0889
ko:K07347	xfn:XfasM23_0052
ko:K02652	xfn:XfasM23_2034
ko:K03497	xfn:XfasM23_2256
ko:K02500	xfn:XfasM23_1347
ko:K00341	xfn:XfasM23_0251
ko:K04485	xfn:XfasM23_0646
ko:K01814	xfn:XfasM23_1348
ko:K00342	xfn:XfasM23_0252
ko:K01951	xfn:XfasM23_1531
ko:K03529	xfn:XfasM23_2049
ko:K03685	xfn:XfasM23_1375
ko:K01676	xfn:XfasM23_1000
ko:K01679	xfn:XfasM23_0807
ko:K00817	xfn:XfasM23_1351
ko:K00760	xfn:XfasM23_1467
ko:K03733	xfn:XfasM23_0736
ko:K01961	xfn:XfasM23_0034
ko:K03705	xfn:XfasM23_1457
ko:K01983	xfn:XfasM23_R0019
ko:K03555	xfn:XfasM23_1146
ko:K00088	xfn:XfasM23_1532
ko:K02111	xfn:XfasM23_0426
ko:K01424	xfn:XfasM23_0383
ko:K03787	xfn:XfasM23_1918
ko:K06024	xfn:XfasM23_1555
ko:K04564	xfn:XfasM23_2092
ko:K05896	xfn:XfasM23_1554
ko:K05794	xfn:XfasM23_1762
ko:K04075	xfn:XfasM23_1601
ko:K02078	xfn:XfasM23_1993
ko:K02298	xfn:XfasM23_0655
ko:K01652	xfn:XfasM23_1108
ko:K11068	xfn:XfasM23_0131
ko:K03570	xfn:XfasM23_0588
ko:K04564	xfn:XfasM23_0923
ko:K01681	xfn:XfasM23_0224
ko:K00331	xfn:XfasM23_0241
ko:K01153	xfn:XfasM23_2179
ko:K02453	xfn:XfasM23_0779
ko:K02115	xfn:XfasM23_0425
ko:K00631	xfn:XfasM23_0310
ko:K02653	xfn:XfasM23_2030
ko:K00901	xfn:XfasM23_1451
ko:K06891	xfn:XfasM23_0698
ko:K00333	xfn:XfasM23_0243
ko:K00338	xfn:XfasM23_0248
ko:K02297	xfn:XfasM23_0656
ko:K02674	xfn:XfasM23_0497
ko:K03561	xfn:XfasM23_0010
ko:K01053	xfn:XfasM23_0573
ko:K00652	xfn:XfasM23_0628
ko:K03711	xfn:XfasM23_1459
ko:K07122	xfn:XfasM23_1752
ko:K01154	xfn:XfasM23_2180
ko:K07278	xfn:XfasM23_0504
ko:K05349	xfn:XfasM23_1929
ko:K00820	xfn:XfasM23_0718
ko:K05527	xfn:XfasM23_1552
ko:K01104	xfn:XfasM23_1422
ko:K00031	xfn:XfasM23_2159
ko:K04042	xfn:XfasM23_0421
ko:K01897	xfn:XfasM23_0222
ko:K01759	xfn:XfasM23_0662
ko:K01950	xfn:XfasM23_0887
ko:K00228	xfn:XfasM23_0015
ko:K11749	xfn:XfasM23_0323
ko:K11927	xfn:XfasM23_0145
ko:K11755	xfn:XfasM23_1346
ko:K12979	xfn:XfasM23_0821
ko:K02458	xfn:XfasM23_0773
ko:K02671	xfn:XfasM23_1706
ko:K02671	xfn:XfasM23_0020
ko:K12982	xfn:XfasM23_1293
ko:K08305	xfn:XfasM23_1315
ko:K12526	xfn:XfasM23_0402
ko:K06905	xfn:XfasM23_1152
ko:K06597	xfn:XfasM23_0897
ko:K06598	xfn:XfasM23_0898
ko:K01139	xfn:XfasM23_1800
ko:K04751	xfn:XfasM23_1089
ko:K11754	xfn:XfasM23_0902
ko:K07473	xfn:XfasM23_1163
ko:K01515	xfn:XfasM23_0849
ko:K00748	xfn:XfasM23_0318
ko:K01207	xfn:XfasM23_1468
ko:K00059	xfn:XfasM23_0129
ko:K10026	xfn:XfasM23_0952
ko:K13292	xfn:XfasM23_1450
ko:K08967	xfn:XfasM23_1344
ko:K02650	xfn:XfasM23_2033
ko:K00647	xfn:XfasM23_1215
ko:K01069	xfn:XfasM23_1299
ko:K07304	xfn:XfasM23_0908
ko:K11719	xfn:XfasM23_0673
ko:K09810	xfn:XfasM23_0349
ko:K09158	xfn:XfasM23_0556
ko:K01081	xfn:XfasM23_0831
ko:K00568	xfn:XfasM23_1574
ko:K03496	xfn:XfasM23_2257
ko:K03496	xfn:XfasM23_0377
ko:K03574	xfn:XfasM23_0551
ko:K01710	xfn:XfasM23_0195
ko:K11752	xfn:XfasM23_1848
ko:K01185	xfn:XfasM23_1053
ko:K03417	xfn:XfasM23_0506
ko:K03524	xfn:XfasM23_1136
ko:K11753	xfn:XfasM23_1522
ko:K00059	xfn:XfasM23_1588
ko:K06168	xfn:XfasM23_1882
ko:K00023	xfn:XfasM23_0254
ko:K01179	xfn:XfasM23_2164
ko:K01358	xfn:XfasM23_0467
ko:K01476	xfn:XfasM23_0540
ko:K02650	xfn:XfasM23_2031
ko:K00058	xfn:XfasM23_1340
ko:K01089	xfn:XfasM23_1350
ko:K01179	xfn:XfasM23_1953
ko:K03286	xfn:XfasM23_1802
ko:K11717	xfn:XfasM23_0726
ko:K11720	xfn:XfasM23_0100
ko:K03768	xfn:XfasM23_0486
ko:K02237	xfn:XfasM23_1644
ko:K12262	xfn:XfasM23_0603
ko:K01092	xfn:XfasM23_1579
ko:K00602	xfn:XfasM23_0876
ko:K02474	xfn:XfasM23_0464
ko:K13815	xfn:XfasM23_0399
ko:K00215	xfn:XfasM23_0391
ko:K06183	xfn:XfasM23_0478
ko:K13038	xfn:XfasM23_0111
ko:K00297	xfn:XfasM23_0406
ko:K13288	xfn:XfasM23_0546
ko:K00974	xfn:XfasM23_0632
ko:K03386	xfn:XfasM23_0781
ko:K00029	xfn:XfasM23_0265
ko:K00951	xfn:XfasM23_0593
ko:K03294	xfn:XfasM23_1760
ko:K09806	xfn:XfasM23_0459
ko:K05349	xfn:XfasM23_1732
ko:K12686	xfn:XfasM23_1985
ko:K12573	xfn:XfasM23_0868
ko:K07221	xfn:XfasM23_0256
ko:K14058	xfn:XfasM23_1661
ko:K07344	xfn:XfasM23_2235
ko:K01184	xfn:XfasM23_1570
ko:K07733	xfn:XfasM23_1045
ko:K05524	xfn:XfasM23_2082
ko:K01697	xfn:XfasM23_1633
ko:K12373	xfn:XfasM23_1927
ko:K03328	xfn:XfasM23_1475
ko:K03294	xfn:XfasM23_1341
ko:K03294	xfn:XfasM23_1342
ko:K12524	xfn:XfasM23_1358
ko:K00721	xfn:XfasM23_1397
ko:K03154	xfn:XfasM23_1984
ko:K06879	xfn:XfasM23_1487
ko:K00281	xfn:XfasM23_0652
ko:K01491	xfn:XfasM23_1533
ko:K09961	xfn:XfasM23_1040
ko:K01739	xfn:XfasM23_1914
ko:K09880	xfn:XfasM23_1345
ko:K09945	xfn:XfasM23_1956
ko:K06983	xfn:XfasM23_1957
ko:K13979	xfn:XfasM23_1492
ko:K07496	xfn:XfasM23_2259
ko:K01077	xfn:XfasM23_1602
ko:K03782	xfn:XfasM23_1363
ko:K00955	xfn:XfasM23_0754
ko:K07276	xfn:XfasM23_1093
ko:K00024	xfn:XfasM23_0485
ko:K11189	xfn:XfasM23_0665
ko:K13979	xfn:XfasM23_0418
ko:K03793	xfn:XfasM23_0711
ko:K01271	xfn:XfasM23_0164
ko:K06147	xfn:XfasM23_2067
ko:K00795	xfn:XfasM23_1599
ko:K09805	xfn:XfasM23_2191
ko:K02663	xfn:XfasM23_1788
ko:K13656	xfn:XfasM23_1480
ko:K13660	xfn:XfasM23_1473
ko:K13662	xfn:XfasM23_1479
ko:K13663	xfn:XfasM23_1478
ko:K13816	xfn:XfasM23_0401
ko:K13993	xfn:XfasM23_1365
ko:K01792	xfn:XfasM23_1391
ko:K14230	xfn:XfasM23_R0001
ko:K14223	xfn:XfasM23_R0045
ko:K14229	xfn:XfasM23_R0033
ko:K14229	xfn:XfasM23_R0030
ko:K14225	xfn:XfasM23_R0053
ko:K13628	xfn:XfasM23_2053
ko:K14228	xfn:XfasM23_R0026
ko:K08081	xfn:XfasM23_1875
ko:K02673	xfn:XfasM23_1704
ko:K01977	xfn:XfasM23_R0009
ko:K01977	xfn:XfasM23_R0003
ko:K14229	xfn:XfasM23_R0060
ko:K14228	xfn:XfasM23_R0021
ko:K14233	xfn:XfasM23_R0008
ko:K14225	xfn:XfasM23_R0048
ko:K14233	xfn:XfasM23_R0042
ko:K14228	xfn:XfasM23_R0018
ko:K14232	xfn:XfasM23_R0057
ko:K08281	xfn:XfasM23_1394
ko:K01497	xfn:XfasM23_0864
ko:K01154	xfn:XfasM23_0232
ko:K13657	xfn:XfasM23_1477
ko:K13659	xfn:XfasM23_1474
ko:K13661	xfn:XfasM23_1481
ko:K07221	xfn:XfasM23_0263
ko:K13651	xfn:XfasM23_0362
ko:K13655	xfn:XfasM23_0363
ko:K14224	xfn:XfasM23_R0015
ko:K14232	xfn:XfasM23_R0049
ko:K14233	xfn:XfasM23_R0038
ko:K14287	xfn:XfasM23_1559
ko:K14260	xfn:XfasM23_1498
ko:K14221	xfn:XfasM23_R0028
ko:K06867	xfn:XfasM23_1214
ko:K06218	xfn:XfasM23_1261
ko:K01934	xfn:XfasM23_0844
ko:K14218	xfn:XfasM23_R0014
ko:K14234	xfn:XfasM23_R0052
ko:K14228	xfn:XfasM23_R0025
ko:K01912	xfn:XfasM23_0929
ko:K14230	xfn:XfasM23_R0044
ko:K14219	xfn:XfasM23_R0037
ko:K14393	xfn:XfasM23_1379
ko:K14237	xfn:XfasM23_R0046
ko:K14231	xfn:XfasM23_R0017
ko:K14224	xfn:XfasM23_R0022
ko:K14237	xfn:XfasM23_R0041
ko:K14236	xfn:XfasM23_R0054
ko:K00674	xfn:XfasM23_0079
ko:K14228	xfn:XfasM23_R0024
ko:K14205	xfn:XfasM23_1213
ko:K01185	xfn:XfasM23_1178
ko:K14170	xfn:XfasM23_1442
ko:K03574	xfn:XfasM23_0405
ko:K14235	xfn:XfasM23_R0051
ko:K14232	xfn:XfasM23_R0047
ko:K00941	xfn:XfasM23_1619
ko:K14234	xfn:XfasM23_R0035
ko:K14219	xfn:XfasM23_R0002
ko:K14234	xfn:XfasM23_R0040
ko:K14227	xfn:XfasM23_R0005
ko:K14227	xfn:XfasM23_R0011
ko:K14225	xfn:XfasM23_R0036
ko:K14225	xfn:XfasM23_R0039
ko:K03309	xfn:XfasM23_0909
ko:K01524	xfn:XfasM23_2071
ko:K15125	xfn:XfasM23_1895
ko:K14623	xfn:XfasM23_1124
ko:K15125	xfn:XfasM23_2221
ko:K14219	xfn:XfasM23_R0058
ko:K14226	xfn:XfasM23_R0059
ko:K01978	xfn:XfasM23_R0020
ko:K14218	xfn:XfasM23_R0004
ko:K14218	xfn:XfasM23_R0010
ko:K14222	xfn:XfasM23_R0031
ko:K14233	xfn:XfasM23_R0034
ko:K14220	xfn:XfasM23_R0043
ko:K06133	xfn:XfasM23_0912
ko:K01980	xfn:XfasM23_R0012
ko:K01980	xfn:XfasM23_R0006
ko:K14230	xfn:XfasM23_R0016
ko:K14219	xfn:XfasM23_R0050
ko:K01985	xfn:XfasM23_R0007
ko:K01985	xfn:XfasM23_R0013
ko:K04093	xfn:XfasM23_0422
ko:K03628	xfn:XfasM23_2158
ko:K07075	xfn:XfasM23_1812
ko:K14237	xfn:XfasM23_R0027
ko:K14742	xfn:XfasM23_0784
ko:K19696	xfn:XfasM23_1466
ko:K00423	xfn:XfasM23_2141
ko:K01046	xfn:XfasM23_0462
ko:K08316	xfn:XfasM23_0267
ko:K03699	xfn:XfasM23_0562
ko:K06919	xfn:XfasM23_2244
ko:K01990	xfn:XfasM23_1247
ko:K05889	xfn:XfasM23_1384
ko:K14652	xfn:XfasM23_1846
ko:K07273	xfn:XfasM23_1494
ko:K06977	xfn:XfasM23_0599
ko:K07011	xfn:XfasM23_1219
ko:K07117	xfn:XfasM23_0731
ko:K06919	xfn:XfasM23_0834
ko:K06919	xfn:XfasM23_1180
ko:K01802	xfn:XfasM23_1612
ko:K18138	xfn:XfasM23_0827
ko:K13409	xfn:XfasM23_0494
ko:K13408	xfn:XfasM23_0489
ko:K15011	xfn:XfasM23_2063
ko:K12340	xfn:XfasM23_2069
ko:K15396	xfn:XfasM23_1578
ko:K15012	xfn:XfasM23_2064
ko:K01467	xfn:XfasM23_1230
ko:K01992	xfn:XfasM23_1248
ko:K02358	xfn:XfasM23_2114
ko:K15738	xfn:XfasM23_2095
ko:K02428	xfn:XfasM23_0759
ko:K04765	xfn:XfasM23_0139
ko:K15371	xfn:XfasM23_0829
ko:K16011	xfn:XfasM23_0199
ko:K15724	xfn:XfasM23_1763
ko:K15539	xfn:XfasM23_1714
ko:K08086	xfn:XfasM23_0641
ko:K15778	xfn:XfasM23_0200
ko:K01082	xfn:XfasM23_0140
ko:K15778	xfn:XfasM23_0113
ko:K08679	xfn:XfasM23_1398
ko:K11004	xfn:XfasM23_1499
ko:K10716	xfn:XfasM23_0685
ko:K15974	xfn:XfasM23_0162
ko:K05886	xfn:XfasM23_0107
ko:K16090	xfn:XfasM23_1637
ko:K10563	xfn:XfasM23_0126
ko:K06903	xfn:XfasM23_1162
ko:K02014	xfn:XfasM23_2168
ko:K16053	xfn:XfasM23_1733
ko:K00209	xfn:XfasM23_1096
ko:K11003	xfn:XfasM23_1500
ko:K16264	xfn:XfasM23_1912
ko:K02025	xfn:XfasM23_1549
ko:K10112	xfn:XfasM23_0339
ko:K14223	xfn:XfasM23_R0055
ko:K02026	xfn:XfasM23_1548
ko:K02027	xfn:XfasM23_1550
ko:K18918	xfn:XfasM23_1260
ko:K02196	xfn:XfasM23_1563
ko:K15035	xfn:XfasM23_R0056
ko:K17103	xfn:XfasM23_1729
ko:K17713	xfn:XfasM23_1712
ko:K01990	xfn:XfasM23_0496
ko:K01992	xfn:XfasM23_0495
ko:K17758	xfn:XfasM23_2005
ko:K17759	xfn:XfasM23_2005
ko:K00254	xfn:XfasM23_2058
ko:K21449	xfn:XfasM23_0872
ko:K18240	xfn:XfasM23_1994
ko:K07467	xfn:XfasM23_0965
ko:K07789	xfn:XfasM23_1490
ko:K07260	xfn:XfasM23_1902
ko:K18480	xfn:XfasM23_0576
ko:K18697	xfn:XfasM23_0161
ko:K02847	xfn:XfasM23_0861
ko:K07316	xfn:XfasM23_0882
ko:K09892	xfn:XfasM23_0846
ko:K18850	xfn:XfasM23_0804
ko:K19033	xfn:XfasM23_1778
ko:K03526	xfn:XfasM23_2062
ko:K07467	xfn:XfasM23_0979
ko:K07467	xfn:XfasM23_0517
ko:K07467	xfn:XfasM23_0994
ko:K19157	xfn:XfasM23_1164
ko:K00571	xfn:XfasM23_1409
ko:K08678	xfn:XfasM23_1628
ko:K19267	xfn:XfasM23_0185
ko:K19302	xfn:XfasM23_2061
ko:K04771	xfn:XfasM23_1371
ko:K00571	xfn:XfasM23_1423
ko:K00571	xfn:XfasM23_1741
ko:K20074	xfn:XfasM23_1295
ko:K00992	xfn:XfasM23_1646
ko:K12960	xfn:XfasM23_1575
ko:K19668	xfn:XfasM23_0553
ko:K22292	xfn:XfasM23_1573
ko:K08992	xfn:XfasM23_1538
ko:K19804	xfn:XfasM23_1537
ko:K21420	xfn:XfasM23_0304
ko:K20266	xfn:XfasM23_2233
ko:K20455	xfn:XfasM23_0534
ko:K09788	xfn:XfasM23_0535
ko:K20455	xfn:XfasM23_0533
ko:K20527	xfn:XfasM23_2265
ko:K20531	xfn:XfasM23_2229
ko:K20529	xfn:XfasM23_2227
ko:K20532	xfn:XfasM23_2230
ko:K20533	xfn:XfasM23_2232
ko:K20528	xfn:XfasM23_2266
ko:K20530	xfn:XfasM23_2228
ko:K20534	xfn:XfasM23_0132
ko:K20628	xfn:XfasM23_1958
ko:K22132	xfn:XfasM23_0797
ko:K21071	xfn:XfasM23_0209
ko:K21025	xfn:XfasM23_2099
ko:K08968	xfn:XfasM23_0503
ko:K21449	xfn:XfasM23_0780
ko:K21498	xfn:XfasM23_0361
ko:K07334	xfn:XfasM23_1424
ko:K07334	xfn:XfasM23_0360
ko:K21498	xfn:XfasM23_1425
ko:K02334	xfn:XfasM23_1206
ko:K02334	xfn:XfasM23_1407
ko:K02334	xfn:XfasM23_1826
ko:K03442	xfn:XfasM23_0547
ko:K22318	xfn:XfasM23_0885
ko:K22252	xfn:XfasM23_1629
ko:K22319	xfn:XfasM23_1395
ko:K02257	xfn:XfasM23_0630
ko:K22317	xfn:XfasM23_0881
ko:K22320	xfn:XfasM23_1105
ko:K13566	xfn:XfasM23_1558
ko:K22478	xfn:XfasM23_0287
